[00:00:00.000 --> 00:00:23.280]  MUSIC PLAYS Thank you.
[01:09:59.020 --> 01:10:00.560]  Flimsy garbage argument.
[01:10:14.130 --> 01:10:16.350]  Here's the key.
[01:10:21.229 --> 01:10:35.270]  The liquidation comes after the bankruptcy court in June, converted Jones' personal 11 to Chapter 7, and tossed out free speech systems' separate bankruptcy, allowing the Sandy Hook victims' families, because, you know, I killed the kids, and others to pursue their judgments in state courts.
[01:10:35.489 --> 01:10:45.970]  The Chapter 7 trustee is represented by Jones-Murray LLP and Pointer-Hedges LLP. Is the feed frozen?
[01:10:46.069 --> 01:10:47.689]  Because I see myself frozen up there on screen.
[01:10:52.449 --> 01:10:53.430]  Well, we'll take a break.
[01:10:55.850 --> 01:10:56.569]  Slight crash.
[01:10:56.729 --> 01:10:58.350]  We're just testing out the backup system.
[01:10:58.510 --> 01:10:59.189]  So we're still on air?
[01:11:01.970 --> 01:11:02.470]  All right.
[01:11:02.590 --> 01:11:02.949]  Fabulous.
[01:11:04.109 --> 01:11:04.710]  All right.
[01:11:05.829 --> 01:11:07.270]  Well, this studio's been here for years.
[01:11:07.270 --> 01:11:07.930]  This is a backup.
[01:11:08.449 --> 01:11:14.130]  We're not going to reveal the other stuff till certain points, obviously, with the great folks we're working with.
[01:11:15.789 --> 01:11:18.729]  And I'm, you know, certain they'll continue to attack that.
[01:11:18.789 --> 01:11:19.149]  That's fine.
[01:11:19.170 --> 01:11:20.149]  People are here for the fight.
[01:11:21.820 --> 01:11:29.880]  But continuing here, ladies and gentlemen, let me actually show you now the actual document.
[01:11:31.039 --> 01:11:34.920]  You know, did I bring that filing?
[01:11:35.199 --> 01:11:35.939]  Yeah, here it is.
[01:11:37.159 --> 01:11:37.920]  Here it is.
[01:11:38.800 --> 01:11:40.460]  So, let me actually show you the document.
[01:11:40.600 --> 01:11:41.779]  I think we posted this on the next.
[01:11:41.859 --> 01:11:43.239]  I'm not sure if we did, but it's all over the news.
[01:11:43.340 --> 01:11:44.600]  It's a link to the Bloomberg article.
[01:11:44.760 --> 01:11:48.220]  Because I've been telling people about this for months, and they're like, let's see the document!
[01:11:48.420 --> 01:11:53.159]  When I'd already put each document up ten times, but it wouldn't be in my show talking about it.
[01:11:53.300 --> 01:11:54.340]  I'd be just referencing it.
[01:11:54.500 --> 01:11:55.539]  Oh, that's not happening.
[01:11:55.939 --> 01:11:56.539]  Yeah, right.
[01:11:56.680 --> 01:11:58.300]  Nobody's trying to take your social media.
[01:11:58.560 --> 01:12:00.739]  Yeah, nobody's trying to use your name and say they own it.
[01:12:00.880 --> 01:12:02.020]  I mean, come on, man.
[01:12:02.199 --> 01:12:03.060]  This is America.
[01:12:04.600 --> 01:12:05.720]  That's not going on.
[01:12:07.340 --> 01:12:14.199]  And it's all right here where they say, oh, it doesn't violate his 13th Amendment to take his name, the Alex Jones Show.
[01:12:14.199 --> 01:12:19.180]  It doesn't violate the 13th Amendment to say we take away his social media.
[01:12:21.340 --> 01:12:22.300]  No, no, no.
[01:12:22.340 --> 01:12:28.239]  It's all just fine what we're doing.
[01:12:35.659 --> 01:12:40.550]  Now, I'm going to take a break.
[01:12:41.890 --> 01:12:43.289]  And I'm going to air clip one.
[01:12:47.069 --> 01:12:47.569]  Okay.
[01:12:49.970 --> 01:12:57.850]  And then I will continue here, ladies and gentlemen.
[01:12:59.420 --> 01:13:06.899]  You know, we've all been brought up watching TV and sports and everything's fine and we're in a quasi-free country and everything's woo-woo-woo-woo-woo.
[01:13:07.300 --> 01:13:09.579]  Are you noticing how it's getting dark?
[01:13:09.619 --> 01:13:11.220]  Are you noticing the tyranny all around you?
[01:13:11.279 --> 01:13:14.880]  Are you noticing the crime and the homelessness and the police not responding?
[01:13:15.000 --> 01:13:16.560]  I mean, are you noticing the inflation?
[01:13:16.739 --> 01:13:18.060]  Are you noticing the death?
[01:13:18.319 --> 01:13:21.539]  Are you noticing your neighbors dropping dead from heart attacks when they're 35 years old?
[01:13:21.739 --> 01:13:31.470]  Are you noticing all of the garbage that That is unfolding and happening and going on.
[01:13:32.130 --> 01:13:39.949]  Because it's only going to get more intense As all of this unfolds.
[01:13:40.069 --> 01:13:41.829]  And I don't know what I can say.
[01:13:42.210 --> 01:13:43.770]  I don't know what I can do.
[01:13:44.590 --> 01:13:47.289]  I don't know what it's going to take for you to wake up.
[01:13:47.630 --> 01:13:49.529]  But they are preparing martial law.
[01:13:49.630 --> 01:13:51.350]  They are preparing all the control grids.
[01:13:51.449 --> 01:13:54.069]  They are preparing the total enslavement systems.
[01:13:54.670 --> 01:13:57.850]  They are working out the kinks here tonight.
[01:13:58.350 --> 01:13:59.310]  That happens anywhere.
[01:14:00.210 --> 01:14:02.649]  And I mean, I just don't even know what to say.
[01:14:02.850 --> 01:14:04.050]  It's so in your face.
[01:14:04.050 --> 01:14:04.869]  It's so obvious.
[01:14:05.109 --> 01:14:06.090]  It's so ridiculous.
[01:14:06.899 --> 01:14:17.539]  So I hope that you will follow the new operations and folks I'm working with at AJNLive on X. Obviously, there's going to be a big fight where they try to take real Alex Jones.
[01:14:17.600 --> 01:14:18.779]  It's going to blow up in their face.
[01:14:19.199 --> 01:14:24.560]  And they're going to try to take a new handle of, I get it, and Musk is going to have to come in in court and beat them.
[01:14:24.859 --> 01:14:27.460]  And it's very heartening to be reached out to by those folks.
[01:14:28.199 --> 01:14:30.800]  And because they understand this is an attack on everyone.
[01:14:31.560 --> 01:14:33.840]  And that's basically just what it comes down to.
[01:14:34.140 --> 01:14:34.520]  So...
[01:14:37.750 --> 01:14:41.109]  I'm just very, very thankful for all of the incredible support.
[01:14:41.909 --> 01:14:45.689]  I'm very, very thankful to all the people that have supported us.
[01:14:45.789 --> 01:14:55.909]  I'm very thankful to the crew and the work that they have done and how tirelessly they have been through hell in this fight as well.
[01:14:55.989 --> 01:15:04.489]  But they understand that freedom isn't free and that history is happening right now in front of everyone, in front of the world.
[01:15:04.630 --> 01:15:06.229]  And we'll go live again tomorrow night.
[01:15:07.140 --> 01:15:09.640]  We're going live again tomorrow night to work the bugs out here.
[01:15:10.460 --> 01:15:15.260]  As I told you, I'm going to start multiple shows a day in the interim to see what happens to Infowars.
[01:15:15.579 --> 01:15:17.479]  And we've got the podcasting area set up.
[01:15:17.520 --> 01:15:18.220]  That's really cool.
[01:15:18.720 --> 01:15:23.979]  And a lot more that we'll be debuting here with the folks that we're working for, working with.
[01:15:24.819 --> 01:15:27.560]  And, you know, the system will try to say, oh, we're going to shut them down too.
[01:15:27.640 --> 01:15:29.359]  Well, the law is 100% clear on that too.
[01:15:29.520 --> 01:15:30.479]  I can work for people.
[01:15:30.600 --> 01:15:31.439]  I've got my First Amendment.
[01:15:31.800 --> 01:15:34.180]  Sure, Hillary Clinton and the Deep State and all of them are trying to get rid of it.
[01:15:34.819 --> 01:15:36.260]  They're trying to shut it all down.
[01:15:36.899 --> 01:15:46.619]  But if we simply do not submit and simply do not roll over to the globalists, we can and we will have a future.
[01:15:46.779 --> 01:15:52.680]  But Our forebearers were not cowardly, dumb idiots that wanted to roll over and die.
[01:15:53.300 --> 01:15:55.819]  And Zapata said it's better to die on your feet than live on your knees.
[01:15:56.060 --> 01:16:03.420]  In my experience historically, looking at history and my own experiences, people that live on their feet live longer and better than those that try to live on their knees.
[01:16:03.680 --> 01:16:05.640]  People that live on their knees get fed on by the wolves.
[01:16:06.590 --> 01:16:07.750]  So this is really common sense.
[01:16:07.850 --> 01:16:08.909]  I'm going to end the broadcast now.
[01:16:09.229 --> 01:16:10.630]  I appreciate everybody.
[01:16:10.850 --> 01:16:12.489]  Appreciate everybody tuning in.
[01:16:12.989 --> 01:16:17.649]  And we're going to archive this now to X. I hope that everybody shares it.
[01:16:17.789 --> 01:16:18.810]  We'll do a hard cut here.
[01:16:18.989 --> 01:16:20.869]  And I appreciate the crew coming in tonight.
[01:16:21.010 --> 01:16:30.949]  And now you've seen the history of them saying the 13th Amendment does not exist for Alex Jones, literally in the federal filing that's linked in the Bloomberg article that I showed you 10 times.
[01:16:32.609 --> 01:16:33.869]  So thank you very much.
[01:16:34.069 --> 01:16:34.829]  God bless you all.
[01:16:44.949 --> 01:16:51.090]  The preacher man says it's the end of time In the Mississippi River she's a golden driver
