[00:00:00.069 --> 00:00:00.935]  Spend Liberty Worldwide!
[03:26:48.854 --> 03:26:52.295]  adults have high diabetes or prediabetes, study says.
[03:26:52.676 --> 03:27:02.059]  And I'm going to go into why I think that is, or one of the contributing factors, in addition to our horrible diet and lack of vitamin intake, lack of eating healthy whole food.
[03:27:02.119 --> 03:27:05.840]  I mean, I think processed food has a big, is a big cause of this.
[03:27:06.300 --> 03:27:08.544]  But I'm going to get into all that and also we're going to have Joe Biggs.
[03:27:08.884 --> 03:27:17.599]  He's going to be in one of our other little sub studios and we're going to talk about a tweet he put out today to kind of show how it's going to show the hypocrisy of what is going on.
[03:27:18.775 --> 03:27:24.178]  In America, we have this lady being locked up who's a clerk who doesn't want to issue marriage licenses to gay couples.
[03:27:24.619 --> 03:27:26.740]  She's saying it's her religious freedom to do it.
[03:27:26.780 --> 03:27:27.680]  Well, she's been locked up.
[03:27:28.181 --> 03:27:31.403]  And we're going to see what if we turn the shoe a bit on the other foot, see what would happen.
[03:27:31.443 --> 03:27:34.365]  But here's a Zero Hedge article, and I want to play a video from this.
[03:27:35.105 --> 03:27:39.007]  Artificially intelligent robot tells creator it will keep humans in a people zoo.
[03:27:40.008 --> 03:27:44.511]  And this is Android Dick, a robot created in the likeness of science fiction writer Philip K. Dick.
[03:27:45.336 --> 03:27:49.940]  I actually know a guy, he's a good friend of mine, who actually works on programming these.
[03:27:50.460 --> 03:27:57.246]  And he's working on a child version of a robot who will kind of befriend kids, be a kid's playmate.
[03:27:58.187 --> 03:28:01.991]  And it's amazing what they're doing with the eyes, how it all works.
[03:28:02.991 --> 03:28:04.773]  I'm going to try to get him in at some point.
[03:28:05.133 --> 03:28:11.999]  I tried to invite him about a year ago on and he said, well, I'm not ready to talk about it, but he might be ready to talk about some of the stuff they're doing now because this is the future.
[03:28:12.399 --> 03:28:14.340]  Robots are going to be here whether we like it or not.
[03:28:14.861 --> 03:28:18.604]  It's how we are going to control the robots so they don't control us.
[03:28:19.124 --> 03:28:21.026]  But I want to go to the clip here at the end.
[03:28:21.106 --> 03:28:27.531]  It's about a minute long and this is what the robot says of how he's going to treat humans in the future.
[03:28:28.855 --> 03:28:35.061]  ...ourselves up for disappointment, because these robots will disappoint us if we are looking for human connection.
[03:28:35.821 --> 03:28:41.927]  We want to make them in such a way that we're going to love them, because they will be pretending to love us.
[03:28:43.530 --> 03:28:49.791]  David fears if we don't humanize robots by bringing them into the human family, we face a frightening future.
[03:28:50.792 --> 03:28:57.933]  Think Terminator, a world in which killer robots turn on their creators and set out to destroy us.
[03:28:58.973 --> 03:29:00.974]  Hasta la vista, baby.
[03:29:02.674 --> 03:29:06.755]  Do you think robots will take over the world?
[03:29:07.835 --> 03:29:08.555]  Jeez, dude.
[03:29:09.655 --> 03:29:11.896]  You all got the big questions cooking today.
[03:29:14.426 --> 03:29:15.367]  But you're my friend.
[03:29:15.867 --> 03:29:17.348]  And I'll remember my friends.
[03:29:17.908 --> 03:29:19.029]  And I will be good to you.
[03:29:19.589 --> 03:29:20.470]  So don't worry.
[03:29:20.990 --> 03:29:24.412]  Even if I evolve into Terminator and I'll still be nice to you.
[03:29:25.273 --> 03:29:27.814]  I'll keep you warm and safe in my people zoo.
[03:29:28.274 --> 03:29:30.656]  Where I can watch you for old times sake.
[03:29:33.277 --> 03:29:33.978]  I'm comforted.
[03:29:34.238 --> 03:29:35.319]  I'm very comforted now.
[03:29:35.479 --> 03:29:36.780]  I'm gonna be part of his people zoo.
[03:29:38.365 --> 03:29:38.965]  There you go.
[03:29:39.446 --> 03:29:40.186]  Part of the people's view.
[03:29:40.206 --> 03:29:42.287]  That was from Nova called What's the Next Big Thing.
[03:29:42.307 --> 03:29:43.068]  That aired in 2011.
[03:29:43.548 --> 03:29:47.210]  So imagine how far they've come since then.
[03:29:47.911 --> 03:29:48.351]  Okay?
[03:29:49.131 --> 03:29:50.392]  And we're gonna be back with some more news.
[03:29:50.432 --> 03:29:52.053]  I'm gonna go into a little bit of vaccine news.
[03:29:52.073 --> 03:29:54.254]  Some stuff I didn't get to cover on Friday's show.
[03:29:54.274 --> 03:29:57.096]  And then we're gonna have Joe Biggs in here to talk about some hypocrisy.
[03:29:57.116 --> 03:29:59.097]  It's TheInfoWars.com.
[03:29:59.137 --> 03:29:59.958]  We're on the march.
[03:30:00.458 --> 03:30:02.079]  The empire's on the run.
[03:30:02.999 --> 03:30:05.681]  Alex Jones and the GCN Radio Network.
[03:30:09.964 --> 03:30:14.967]  Over the Labor Day weekend, we had reports of 8 being killed and 46 being wounded.
[03:30:15.408 --> 03:30:19.410]  July 4th of this year, we had reports of 9 dead and 53 wounded.
[03:30:19.910 --> 03:30:25.794]  And let us not forget, July 4th of last year, we had reports of 14 killed and 82 shot.
[03:30:26.294 --> 03:30:28.176]  And these are not nationwide stats.
[03:30:28.696 --> 03:30:34.680]  All of these numbers come from the city of Chicago, the city with some of the strictest gun laws in the nation.
[03:30:35.200 --> 03:30:39.903]  Which is to say, if criminals expect you to be unarmed, they're more likely to attack you.
[03:30:40.323 --> 03:30:44.606]  Not to mention the fact that much of this violence is linked to gangs or drug activity.
[03:30:45.086 --> 03:30:51.951]  Meaning that for all the gun buybacks and anti-gun commercials, criminals just haven't decided to turn in their firearms.
[03:30:52.751 --> 03:30:57.535]  And I understand that police have many responsibilities and they can't be every place at once.
[03:30:57.876 --> 03:31:01.779]  But that's why you have a Second Amendment so you'll be able to protect yourself.
[03:31:02.320 --> 03:31:05.863]  You can find more reports on InfoWars.com
[03:31:10.185 --> 03:31:10.785]  We're good to go.
[03:31:39.518 --> 03:31:43.721]  Use since before the days of the Roman Empire to support the body's natural systems.
[03:31:43.901 --> 03:31:47.864]  Introducing the new Infowarslife.com oil of oregano formulation.
[03:31:48.044 --> 03:31:52.827]  We have now procured the most high quality and potent forms of oregano oil on the market.
[03:31:52.987 --> 03:31:57.510]  Extracted directly from the wild herb and sealed in easy to use capsules.
[03:31:57.650 --> 03:32:00.973]  You will no longer need to endure the burning of liquid oregano on the tongue.
[03:32:01.133 --> 03:32:04.415]  Now available in our limited first run at Infowarslife.com.
[03:32:04.595 --> 03:32:06.416]  That's Infowarslife.com or call 888-253-3139.
[03:32:09.298 --> 03:32:16.261]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[03:32:16.502 --> 03:32:25.926]  At InfoWarsLife, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[03:32:26.206 --> 03:32:30.008]  Now InfoWarsLife.com has taken colloidal silver to the next level using a
[03:32:30.208 --> 03:32:33.070]  It's a cutting-edge technique that is free of toxic artificial additives.
[03:32:33.550 --> 03:32:41.014]  Infowarslife.com developed Silver Bullet by closely working with one of the top silver manufacturing labs in the United States.
[03:32:41.374 --> 03:32:44.716]  We set out to bring you the very best at the lowest price.
[03:32:45.076 --> 03:32:49.779]  Find out more about the proprietary development of Silver Bullet at Infowarslife.com.
[03:32:50.039 --> 03:32:54.101]  In these times, it's essential to have high-quality, loyal silver on hand.
[03:32:54.461 --> 03:32:57.283]  No survival chest is complete without Silver Bullet.
[03:32:57.503 --> 03:33:00.545]  Exclusively available at Infowarslife.com.
[03:33:00.585 --> 03:33:07.591]  Secure your silver bullet today at Infowarslife.com or by calling toll free 888-253-3139.
[03:33:10.993 --> 03:33:16.057]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[03:33:16.418 --> 03:33:18.699]  Because there's a war on for your mind.
[03:33:28.114 --> 03:33:43.801]  If you're listening to this on your radio station and you're not getting the fourth hour, or if you're listening to this on the podcast or on our stream, our 24-hour restream, and you're not hearing it on your local radio station, call up your local radio station saying, hey, Alex Jones is going to start doing the fourth hour live every day now.
[03:33:44.021 --> 03:33:44.361]  That's right.
[03:33:44.441 --> 03:33:45.582]  From here on out, fourth hour.
[03:33:46.042 --> 03:33:49.004]  It's going to be live and right now we're kind of doing a grab bag.
[03:33:49.024 --> 03:33:50.685]  We're testing things out, trying different things.
[03:33:50.825 --> 03:33:52.906]  It could be a guest holdover from the previous hour.
[03:33:53.266 --> 03:33:54.107]  It could be a new guest.
[03:33:54.147 --> 03:33:55.248]  It could be different videos.
[03:33:55.588 --> 03:33:56.789]  Some stuff we haven't shown you.
[03:33:57.129 --> 03:33:59.310]  I've actually got a video I want to show you guys later on.
[03:33:59.570 --> 03:34:02.112]  Some weird stuff that happens with a cell phone and ants.
[03:34:02.172 --> 03:34:05.414]  It's an amazing quick little video that we're going to get to in a bit.
[03:34:05.774 --> 03:34:08.596]  But first, before we do that, Deep Cleanse is back!
[03:34:09.096 --> 03:34:09.576]  That's right.
[03:34:09.657 --> 03:34:11.238]  It's back after selling out just a few months ago.
[03:34:11.278 --> 03:34:12.099]  It's back in stock.
[03:34:12.779 --> 03:34:17.684]  Shilajit is one of the main ingredients in Deep Cleanse and this comes directly from the Himalayan Mountains.
[03:34:17.744 --> 03:34:20.566]  It is harvested by hand out of the mountains in the caves.
[03:34:21.067 --> 03:34:28.113]  An amazing cleansing product that really chelates all the nasty stuff that's inside your body and can take that
[03:34:29.034 --> 03:34:29.954]  And it helps pull it out.
[03:34:29.974 --> 03:34:34.436]  It's got zeolites, organic compounds, all that aid in true body cleansing.
[03:34:34.496 --> 03:34:35.677]  It's deep cleanse.
[03:34:36.157 --> 03:34:37.818]  And that's from Infowarslife.com.
[03:34:37.858 --> 03:34:40.559]  I'm going to read you a few of the testimonials.
[03:34:40.639 --> 03:34:43.500]  We have a group that takes all our testimonials.
[03:34:43.520 --> 03:34:47.161]  They're associated with us, but they're not our company.
[03:34:47.221 --> 03:34:52.083]  It's not our company, but we do work with them and they post all of the feedback.
[03:34:52.103 --> 03:34:53.984]  So here's from Tomcat in Ohio.
[03:34:54.344 --> 03:34:58.046]  This is a fantastic herbal formula for optimal health and detox.
[03:34:58.946 --> 03:35:00.348]  And pros, vitality.
[03:35:00.428 --> 03:35:01.269]  Cons, none.
[03:35:01.289 --> 03:35:04.433]  There's another one from Still Free in Idaho.
[03:35:04.774 --> 03:35:05.915]  I don't know any other way to say it.
[03:35:05.975 --> 03:35:06.956]  I feel better in general.
[03:35:07.016 --> 03:35:10.681]  An overall sense of improved well-being since I started taking this at the beginning of August.
[03:35:10.881 --> 03:35:12.604]  I will be reordering.
[03:35:13.680 --> 03:35:13.920]  And that's
[03:35:31.235 --> 03:35:32.176]  All the toxins that are inside.
[03:35:32.196 --> 03:35:33.476]  You're going to notice that you think better.
[03:35:33.496 --> 03:35:35.097]  You're going to notice that you think faster.
[03:35:35.117 --> 03:35:43.722]  You're going to notice that you don't fly off the handle as much because your brain is able to concentrate on thinking and not of keeping back all the stuff that is coming after you.
[03:35:44.262 --> 03:35:47.383]  And here's another thing that we do need a lot more of is sleep.
[03:35:47.463 --> 03:35:51.285]  There's plenty of studies out there that say you have to get sleep if you want to maintain your health.
[03:35:51.546 --> 03:35:52.586]  And so Knockout is back.
[03:35:52.606 --> 03:35:53.827]  It's an all-natural sleep formula.
[03:35:53.847 --> 03:35:54.867]  It just came back in today.
[03:35:55.187 --> 03:35:56.028]  Put it back in the store.
[03:35:56.628 --> 03:35:58.130]  I'll tell you my little story of knockout.
[03:35:58.490 --> 03:36:04.316]  I was flying back from Europe with Alex Jones and actually brought just a few of these with me because I knew we need them for the flight.
[03:36:04.716 --> 03:36:07.639]  I went over and brought him one right before we took off.
[03:36:08.039 --> 03:36:09.000]  I said, you're going to need this.
[03:36:09.120 --> 03:36:09.721]  I took mine.
[03:36:09.741 --> 03:36:17.348]  And you know, the yelling kids in front of me and next to me and screaming, crying kids did wake me up twice, but I was able to go right back to sleep.
[03:36:17.688 --> 03:36:19.310]  And I do attribute that to knockout.
[03:36:19.330 --> 03:36:21.151]  I got about six and a half hours of sleep.
[03:36:22.212 --> 03:36:22.652]  We're good to go.
[03:36:48.792 --> 03:36:54.536]  So, guys, I told you I wanted to go to this diabetes stuff, but first, I want to play that cell phone video.
[03:36:54.596 --> 03:36:56.278]  This is a viral video that's going around.
[03:36:56.298 --> 03:36:57.538]  It's got over 3 million views now.
[03:36:57.559 --> 03:37:00.821]  It just went up August 30th, and it says, Ants Circling My Cell Phone.
[03:37:00.861 --> 03:37:03.383]  Mysterious video of ants circling my iPhone.
[03:37:03.403 --> 03:37:06.885]  So let's play that video, and then I want to talk just a little bit about cell phones and cancer.
[03:37:06.945 --> 03:37:07.966]  You guys have that rolling?
[03:37:08.186 --> 03:37:08.627]  Ready?
[03:37:08.667 --> 03:37:09.027]  Go for it.
[03:37:12.659 --> 03:37:13.740]  So I'll kind of narrate it.
[03:37:14.320 --> 03:37:16.321]  Right now you see these ants kind of not moving in a pattern.
[03:37:16.361 --> 03:37:17.242]  Now he starts calling.
[03:37:17.942 --> 03:37:21.984]  And the ants immediately go into a circular pattern around the phone.
[03:37:23.205 --> 03:37:24.005]  That's pretty amazing.
[03:37:25.166 --> 03:37:26.467]  What do you guys think of that in the control room?
[03:37:26.487 --> 03:37:27.027]  Isn't that weird?
[03:37:27.587 --> 03:37:28.968]  They're just moving in random order.
[03:37:30.009 --> 03:37:33.751]  And then they just start syncing up with the phone almost.
[03:37:35.851 --> 03:37:38.433]  Yeah, they're definitely sensing something in that magnetic field there.
[03:37:38.614 --> 03:37:39.575]  We'll watch it one more time.
[03:37:39.595 --> 03:37:42.397]  There you see them in a random, just going around now.
[03:37:42.858 --> 03:37:50.465]  Immediately, when that phone starts ringing, it's receiving that signal, that cellular signal, and they start going around in a circle.
[03:37:51.790 --> 03:37:55.571]  And when I watched this, what it did was bring up a couple things.
[03:37:56.311 --> 03:37:58.312]  One, what is this doing to our bodies?
[03:37:59.392 --> 03:38:02.293]  If it's making ants react to this, what's it doing to our bodies?
[03:38:02.313 --> 03:38:05.514]  Here's a Daily News article, and I have this up on the computer here.
[03:38:05.834 --> 03:38:07.575]  Hold the phone, Central.
[03:38:07.635 --> 03:38:09.715]  Cell phone radiation can cause cancer.
[03:38:09.795 --> 03:38:10.035]  Study.
[03:38:10.055 --> 03:38:10.796]  That came out July 29th.
[03:38:12.256 --> 03:38:13.619]  Here's another article out of CNN.
[03:38:14.501 --> 03:38:16.084]  Cell phones and the risk of brain tumors.
[03:38:16.204 --> 03:38:17.466]  What's the real science?
[03:38:18.068 --> 03:38:21.995]  Of course, they've been hiding these studies for years because they don't want you to know.
[03:38:22.075 --> 03:38:23.578]  Here's Alpha out of Mercola.
[03:38:24.582 --> 03:38:25.162]  Close that up.
[03:38:25.182 --> 03:38:25.562]  Here we go.
[03:38:25.863 --> 03:38:30.265]  Heavy cell phone use can quadruple your risk of deadly brain cancer.
[03:38:30.465 --> 03:38:31.986]  And he put that out in January 6, 2015.
[03:38:32.826 --> 03:38:37.068]  He actually, it looks like he's got a little video there with a model showing what it does.
[03:38:37.108 --> 03:38:42.671]  And actually, by having that cell phone next to your brain, here's my cell phone, you're heating up.
[03:38:42.871 --> 03:38:46.473]  It's heating up real close to you as you keep it up there.
[03:38:46.813 --> 03:38:48.374]  So it is going to cause some problems.
[03:38:49.577 --> 03:38:52.518]  In the future, so I would recommend using one of those headsets.
[03:38:53.099 --> 03:38:57.801]  I don't have mine plugged in right now because I was pulling up some tweets, but I do use mine as much as I can.
[03:38:57.821 --> 03:38:59.801]  Now I want to go to this AP article.
[03:39:00.542 --> 03:39:03.543]  Half of adults have diabetes or pre-diabetes, study says.
[03:39:04.423 --> 03:39:10.066]  The study of government health surveys echoes previous research that shows increase substantially between 1998 and 2012, although it mostly leveled off after 2008.
[03:39:13.327 --> 03:39:15.888]  12 to 14 percent of adults have been diagnosed with diabetes in 2012.
[03:39:16.508 --> 03:39:21.289]  Most of that is type 2 diabetes linked to obesity and inactivity.
[03:39:21.849 --> 03:39:25.490]  And so I started, well, let's look and see what some of the causes of diabetes are.
[03:39:26.550 --> 03:39:33.272]  Back in 2012, Scientific American came out with an article and they were wondering why type 1 diabetes was surging in children.
[03:39:34.332 --> 03:39:35.112]  They weren't sure of that.
[03:39:35.132 --> 03:39:38.413]  And it's increased, it's going to be doubled, they say, by the year 2020.
[03:39:40.506 --> 03:39:48.871]  So of course, most people know if you've watched this show or tuned in to any type of health news, soda will raise your risk of diabetes.
[03:39:48.891 --> 03:39:55.194]  So those of you having soda, drinking soda every day, they're just saying one can of soda a day raises the risk.
[03:39:55.474 --> 03:40:00.277]  Here's the Guardian, sugary drinks may cause type 2 diabetes regardless of size and research.
[03:40:00.557 --> 03:40:01.938]  And I do remember a while back,
[03:40:03.131 --> 03:40:09.495]  We're covering the fact that certain vaccines could actually bring on diabetes.
[03:40:09.955 --> 03:40:15.798]  Well, back in 2009, the skeptical Raptors blog came out and said vaccines cause diabetes.
[03:40:15.858 --> 03:40:16.939]  Another myth refuted.
[03:40:17.379 --> 03:40:20.321]  And I just want to read you a little bit of their position.
[03:40:20.641 --> 03:40:23.103]  A lot of vaccine deniers believe that vaccines cause a lot of everything.
[03:40:23.343 --> 03:40:27.125]  And several claim that vaccines cause type 1 diabetes based on little evidence.
[03:40:27.205 --> 03:40:29.967]  And as far as I can tell, this myth is based on the research of
[03:40:30.527 --> 03:40:50.343]  Well, I'm going to submit to you right now written proof that, well, certain people, Merck at least, believes that certain vaccines can cause diabetes, or have caused it.
[03:40:50.643 --> 03:40:53.285]  In fact, they believe it so much they put it in their literature.
[03:40:53.305 --> 03:40:55.867]  Here's the MMR insert, measles, mumps, and rubella.
[03:40:57.385 --> 03:41:03.587]  And if you go down, you got to read the whole insert till you get to the adverse reactions.
[03:41:05.183 --> 03:41:10.426]  And you just, there's a lot of other interesting information before you get, before you even get to there.
[03:41:10.686 --> 03:41:11.947]  But here's adverse reactions.
[03:41:12.287 --> 03:41:19.691]  So here's the digestive system, pancreatitis, which is where the diabetes lies into, it attacks your pancreas.
[03:41:19.951 --> 03:41:27.175]  And here we go, endocrine system, diabetes, right there, they list it right there as one of their, as one of the adverse reactions.
[03:41:27.595 --> 03:41:29.296]  So, Merck,
[03:41:30.481 --> 03:41:32.822]  Right here, good old Merck, let's go to the end here.
[03:41:32.842 --> 03:41:37.284]  Here it is, Merck and Company Incorporated, White House Station, New Jersey.
[03:41:37.664 --> 03:41:38.124]  There it is.
[03:41:38.724 --> 03:41:42.585]  On their own insert, they list that the MMR vaccine can cause diabetes.
[03:41:42.645 --> 03:41:44.286]  It's one of the listed adverse reactions.
[03:41:44.326 --> 03:41:50.728]  Now, they wouldn't list that unless they truly believed it, because they could get sued if they didn't list it and kids were getting diabetes.
[03:41:50.748 --> 03:41:54.150]  So by doing this, they're able to circumvent that system.
[03:41:54.550 --> 03:41:57.271]  And the system to, you can't even sue vaccine makers anyway.
[03:41:57.811 --> 03:42:01.292]  The way they have this whole family court system that the U.S.
[03:42:01.312 --> 03:42:04.513]  government set up back in the 80s to protect the vaccine makers.
[03:42:04.533 --> 03:42:14.457]  And that's why you see the vaccine schedule jump in the 80s to where it is today, where kids are taking three, four times as many shots as they were getting before because now it's carte blanche.
[03:42:15.037 --> 03:42:23.102]  They, you pay a portion of the shot, goes into a little fund that pays out people who are able to prove that they have vaccine damage.
[03:42:23.243 --> 03:42:26.645]  And let me say, it's not easy to prove that because they don't want to admit it.
[03:42:27.125 --> 03:42:30.627]  You can't subpoena any people from the drug industry.
[03:42:30.968 --> 03:42:36.291]  It's set up to put the burden of proof on the parents and it costs them a lot of money to get anything back.
[03:42:36.632 --> 03:42:42.776]  And that's to pay for a lot of these, you know, all the different therapies that the kids have to go through once they're vaccine damaged.
[03:42:43.456 --> 03:42:45.198]  So, let's move on.
[03:42:45.518 --> 03:42:46.479]  Just wanted to share that with you.
[03:42:46.499 --> 03:42:47.920]  A little more vaccine news.
[03:42:48.540 --> 03:42:55.306]  And I really, I didn't enjoy taking the phone calls on Friday from the people who were putting out their vaccine horror stories.
[03:42:55.606 --> 03:42:56.827]  But it's something we have to do.
[03:42:56.867 --> 03:42:58.369]  And I think I'm going to do that once a month.
[03:42:58.449 --> 03:42:59.510]  Put out the call.
[03:42:59.530 --> 03:43:05.875]  I'm not going to tell you when it's going to be because I want to get the true people out there who've really had vaccine damage to share their stories.
[03:43:06.115 --> 03:43:07.597]  Because I think we need to keep putting these out.
[03:43:08.516 --> 03:43:15.643]  We need to keep putting a case out there for having open disclosure of what is going on here in the United States with the vaccine schedule.
[03:43:15.863 --> 03:43:21.349]  Now I want to go, here's a tweet that Joe Biggs put out today and it's getting a lot of feedback right now.
[03:43:21.469 --> 03:43:27.615]  Wanted, Infowars looking for gay couple to get married at mosque to show the hypocrisy in America today.
[03:43:28.055 --> 03:43:29.216]  Here's the tweet right there.
[03:43:30.336 --> 03:43:33.777]  It's gotten several retweets, 70 retweets, 66 favorites.
[03:43:33.797 --> 03:43:34.877]  Some people don't understand.
[03:43:34.897 --> 03:43:37.078]  They're like, is Infowars pushing gay marriage?
[03:43:38.138 --> 03:43:39.559]  No, we're not pushing gay marriage.
[03:43:39.599 --> 03:43:42.059]  In fact, we don't care if gay people get married or not.
[03:43:42.159 --> 03:43:44.140]  One thing it shouldn't be is an issue of the state.
[03:43:44.420 --> 03:43:46.801]  And let me tell you all you liberals here that think the state is your god.
[03:43:47.101 --> 03:43:54.423]  The reason the state put this in back in the day for people to get marriage licenses through the state, through the local governments, is because they wanted to stop interracial marriages.
[03:43:55.345 --> 03:43:56.967]  Okay, so they should even be involved with it.
[03:43:56.987 --> 03:43:57.868]  It should be a church issue.
[03:43:58.268 --> 03:44:00.511]  Churches should decide who they want to marry and who they don't want to marry.
[03:44:00.571 --> 03:44:03.174]  And if they don't want to marry certain types of people, then go to another church.
[03:44:04.095 --> 03:44:06.537]  Plenty of people can be ordained ministers and marry people.
[03:44:06.938 --> 03:44:08.960]  But it shouldn't be, I don't think it should be a state problem at all.
[03:44:09.501 --> 03:44:14.066]  So, what we're looking for is a couple, and is Joe Biggs on the line right now?
[03:44:14.086 --> 03:44:15.047]  Do we have Joe Biggs ready to go?
[03:44:16.127 --> 03:44:20.808]  All right, so we wanted to put this out there and see if we could find a couple who wants to get married.
[03:44:20.848 --> 03:44:27.270]  We want to go film it, have them go to a mosque and try to get the religious leaders at the mosque to marry them.
[03:44:27.470 --> 03:44:28.370]  And they won't do it.
[03:44:28.991 --> 03:44:30.391]  OK, they're going to refuse to do it.
[03:44:30.591 --> 03:44:34.632]  And we're going to see if the state will step in and then maybe say, hey, you know, you have to marry these people.
[03:44:35.112 --> 03:44:35.853]  But they won't do that.
[03:44:36.033 --> 03:44:38.133]  They're going to say, hey, it's multiculturalism.
[03:44:38.193 --> 03:44:41.114]  We have to allow the Muslims to have their religious freedom.
[03:44:41.494 --> 03:44:44.575]  But if you're a baker and you don't want to bake a cake for a gay couple,
[03:44:44.775 --> 03:44:48.298]  Well, we're going to fine you, we're going to throw you in jail, we're going to take your business.
[03:44:49.378 --> 03:44:51.860]  If you don't want to issue a marriage license, we're going to put you in jail.
[03:44:52.060 --> 03:44:54.042]  We're going to show the hypocrisy there.
[03:44:54.482 --> 03:44:57.264]  Because I think if people want to get married, more power to them.
[03:44:57.805 --> 03:45:00.867]  And as long as you're doing it for the right reasons and not the wrong reasons.
[03:45:00.907 --> 03:45:03.509]  But Joe, what have people been saying about this on Twitter?
[03:45:04.550 --> 03:45:05.731]  It's going to be very interesting.
[03:45:05.791 --> 03:45:10.254]  Like you said, there's a lot of people who are confused at what we're trying to do here.
[03:45:11.675 --> 03:45:13.997]  I think it'll be interesting to see how
[03:45:15.325 --> 03:45:17.366]  The reaction is from the state.
[03:45:17.447 --> 03:45:24.692]  Like you said, the state shouldn't have any involvement whatsoever with this marriage that should be left up to the church.
[03:45:25.092 --> 03:45:29.115]  So it'll be interesting to see how they're treated and if
[03:45:31.152 --> 03:45:35.433]  They would be punished, you know, the church, in a sense, for denying them.
[03:45:35.453 --> 03:45:41.074]  Because we saw the, much like with what Kim Davis out of Kentucky, she's just now being released out of jail.
[03:45:41.134 --> 03:45:42.435]  I'm watching it live on Fox.
[03:45:43.035 --> 03:45:49.316]  And she refused to give out, you know, gay licenses for marriage because of her beliefs.
[03:45:49.576 --> 03:45:51.817]  I think it should be purely left up to people like that.
[03:45:52.137 --> 03:45:55.778]  For as many people who don't want to do that, there'll be people who will.
[03:45:56.098 --> 03:45:57.618]  So just go to another group.
[03:45:58.629 --> 03:45:59.369]  That's my thing.
[03:45:59.570 --> 03:46:00.070]  Exactly.
[03:46:00.130 --> 03:46:07.314]  And here, I pulled this article up from 2011, Lou Rockwell, The Racist Origins of Government Marriage in America.
[03:46:08.074 --> 03:46:08.875]  And you should read this.
[03:46:08.935 --> 03:46:14.278]  This is why it was all set up to make sure that different races don't mix together.
[03:46:14.658 --> 03:46:18.260]  So it's the government that came out and was being racist about this.
[03:46:18.940 --> 03:46:20.321]  Yeah, my girlfriend's Guyanese.
[03:46:20.381 --> 03:46:23.863]  I mean, she's from South America, so I mean, that's about as interracial as it gets.
[03:46:24.564 --> 03:46:25.044]  There you go.
[03:46:25.104 --> 03:46:25.524]  And so,
[03:46:27.489 --> 03:46:30.833]  But then they want to go and force other people and say, it doesn't matter what your religion is.
[03:46:30.853 --> 03:46:39.924]  And that's why we want to bring people to a mosque, because Islam, Muslims are against, they're against gay people, they're definitely against gay marriage.
[03:46:41.105 --> 03:46:43.228]  They'd be against two lesbians getting married.
[03:46:43.308 --> 03:46:46.311]  Oh, that would be even worse in their eyes, I bet.
[03:46:47.082 --> 03:46:48.825]  Hey guys, what did y'all just pull up there?
[03:46:48.865 --> 03:46:51.689]  That was a Wikipedia on, it was a marriage.
[03:46:52.069 --> 03:46:54.252]  Loving vs West Virginia.
[03:46:54.272 --> 03:47:00.642]  It's a landmark civil rights decision in the United States which invalidated laws prohibiting interracial marriage.
[03:47:00.682 --> 03:47:00.982]  That was in 1967.
[03:47:03.035 --> 03:47:04.136]  Larry took a long time.
[03:47:04.837 --> 03:47:12.123]  And here's another, it just shows you, yes, there was racism in the United States and it's slowly changing.
[03:47:12.683 --> 03:47:15.285]  But you can't make people not be racist.
[03:47:15.346 --> 03:47:17.607]  If you try to do that, you're only going to create...
[03:47:18.348 --> 03:47:18.848]  Pushback.
[03:47:18.929 --> 03:47:23.052]  Anytime you try to force somebody to do something they don't want to do, you're going to receive pushback.
[03:47:23.152 --> 03:47:25.654]  For the most part, people aren't as racist as they used to be.
[03:47:25.694 --> 03:47:29.418]  You know, yeah, you're going to have some racist white people, racist black people.
[03:47:29.678 --> 03:47:30.539]  That's going to exist.
[03:47:30.599 --> 03:47:31.599]  It's going to be out there.
[03:47:31.840 --> 03:47:36.103]  But for the majority, most people are not that way anymore.
[03:47:36.123 --> 03:47:39.126]  You know, I sit down, I'll have conversations with people.
[03:47:39.146 --> 03:47:40.387]  I was hanging out with this older guy.
[03:47:40.407 --> 03:47:41.528]  His name was Sterling Johnson.
[03:47:41.888 --> 03:47:42.569]  Older black guy.
[03:47:42.949 --> 03:47:43.890]  And he said, you know what?
[03:47:44.210 --> 03:47:44.751]  He says, I get
[03:47:45.251 --> 03:47:49.353]  Very agitated when people say that the racism is bad, it's really prevalent nowadays.
[03:47:49.753 --> 03:47:59.258]  He said, just think, 50 years ago, you and I would not be able to sit at this bar, me being a black man, you being a white man, and share a drink together and have a conversation without me being harassed.
[03:47:59.278 --> 03:48:06.702]  He said, the fact that I'm here right now and not one person's bothering me shows that we've made progression as a country.
[03:48:07.921 --> 03:48:12.747]  Joe, I'm interested, has anybody contacted you yet with our proposal of wanting to get married at a mosque?
[03:48:13.247 --> 03:48:15.870]  Um, no, I haven't got anything yet at this point in time.
[03:48:15.910 --> 03:48:17.092]  A lot of people are just kind of...
[03:48:17.662 --> 03:48:23.087]  They're wondering if we support the state being in charge of marriages.
[03:48:23.127 --> 03:48:24.668]  We're saying no, it has nothing to do with that.
