[00:00:00.550 --> 00:00:01.190]  Ha ha ha ha!
[02:58:33.282 --> 02:58:37.103]  I'm going to keep hosting into that with Rob Dew with more breaking analysis.
[02:58:37.103 --> 02:58:37.963]  History's happening.
[02:58:37.963 --> 02:58:39.623]  Please spread the word, everybody you know.
[02:58:39.623 --> 02:58:43.804]  Infowars.com, DrudgeReport.com, PrisonPlanet.com, Tip of the Spear.
[02:58:43.804 --> 02:58:46.785]  The Genesis Communications Radio Network.
[02:58:50.106 --> 02:58:59.453]  You know, in the coming election, no matter who gets in, one of the biggest issues nobody's talking about in the debates or anywhere is the vulnerability of the power grid.
[02:58:59.453 --> 02:59:02.355]  The potential for power grid chaos.
[02:59:02.355 --> 02:59:10.521]  EMP, cyber warfare, not to mention dangerous weather, hurricanes, ice storms, all a very real threat to our grid.
[02:59:10.521 --> 02:59:13.463]  My friends, chaos is already here, and it's gonna get a lot worse.
[02:59:13.703 --> 02:59:19.768]  That's why I believe that all my listeners need to have a way to produce their own supply of backup electricity.
[02:59:19.768 --> 02:59:23.692]  Now I've got the perfect power solar generator system at my house.
[02:59:23.692 --> 02:59:25.553]  The Solutions from Science system.
[02:59:25.553 --> 02:59:28.076]  Simply put, this thing is amazing.
[02:59:28.076 --> 02:59:30.578]  Solutions from Science only makes the best equipment.
[02:59:30.578 --> 02:59:33.340]  Go to PowerGridChaos.com.
[02:59:33.340 --> 02:59:36.383]  That's PowerGridChaos.com to check it out.
[02:59:36.383 --> 02:59:37.464]  Now this is key.
[02:59:37.464 --> 02:59:38.905]  Right now, get 70% off their
[02:59:40.086 --> 02:59:43.047]  Top of the line, perfect power solar generator.
[02:59:43.047 --> 02:59:45.048]  This is the one I use in my home.
[02:59:45.048 --> 02:59:52.130]  Go to powergridchaos.com and get 70% off.
[02:59:52.130 --> 02:59:54.771]  You're listening to the Alex Jones Show.
[03:00:10.285 --> 03:00:12.286]  That's right.
[03:00:12.286 --> 03:00:13.347]  I'm not playing games.
[03:00:13.347 --> 03:00:14.708]  I'm not bragging.
[03:00:14.708 --> 03:00:15.809]  I'm telling you.
[03:00:15.809 --> 03:00:17.550]  I'm going to the end.
[03:00:17.550 --> 03:00:21.753]  Nothing's going to stop me but death.
[03:00:21.753 --> 03:00:24.695]  And of course, the good Lord above.
[03:00:24.695 --> 03:00:31.139]  But... God knows that I'm a wicked, fallen creature, but I love justice and I love God.
[03:00:31.139 --> 03:00:34.902]  Even down here in my foul nest, I know what side I want to be on.
[03:00:37.409 --> 03:00:44.372]  When you study history, God tends to use people a lot of times that aren't the sweetest or the cutest creatures.
[03:00:44.372 --> 03:00:47.334]  And I'm certainly not one of those, but I'll tell you one thing.
[03:00:47.334 --> 03:00:49.415]  I don't like con artists.
[03:00:49.415 --> 03:00:51.996]  I don't like people that hurt children.
[03:00:51.996 --> 03:00:58.699]  And I got so mad Saturday that I was mad all the way through Sunday, and I had to really pray about it last night and just ask God for peace again.
[03:00:58.699 --> 03:01:04.762]  Because I'd had peace for about a week or two, and it was really helping me get a lot more done.
[03:01:06.897 --> 03:01:07.578]  I saw a big L.A.
[03:01:07.578 --> 03:01:14.883]  Times article with the headline that, oh my gosh, a huge mystery, hundreds of kids are being paralyzed and nobody knows why.
[03:01:14.883 --> 03:01:21.327]  The vaccine insert says it causes that in a certain percentage.
[03:01:21.327 --> 03:01:22.708]  Her toddler is suddenly paralyzed.
[03:01:22.708 --> 03:01:24.709]  Mother tries to solve a vexing medical mystery.
[03:01:24.709 --> 03:01:26.371]  They change it after we started covering it.
[03:01:26.371 --> 03:01:27.411]  This is weird.
[03:01:27.411 --> 03:01:34.576]  The headline was, you know, mystery, medical mystery, hundreds of children paralyzed.
[03:01:34.576 --> 03:01:35.177]  And what happens is,
[03:01:36.823 --> 03:01:44.906]  They get, Guillaume Baret is one name of one neurological disorder that just lists a bunch of different spectrums of this.
[03:01:44.906 --> 03:01:52.349]  And folks, David Knight and Rob Dew and myself have interviewed the nurses and the doctors.
[03:01:52.349 --> 03:01:56.650]  And sometimes at night I go through the tip boxes for like hours when I don't have the time.
[03:01:56.650 --> 03:01:59.972]  And my kids are in the room next to me wanting to see me because I feel so guilty.
[03:01:59.972 --> 03:02:02.793]  And it's not because I'm some goody two-shoes, I literally
[03:02:03.686 --> 03:02:08.593]  Get feelings of burning, angry, nasty guilt.
[03:02:08.593 --> 03:02:09.734]  I mean, I feel dirty.
[03:02:09.734 --> 03:02:14.801]  I feel evil when I can't get the word out and defeat these people.
[03:02:14.801 --> 03:02:16.523]  People think I'm the opposite of a power.
[03:02:16.523 --> 03:02:20.949]  People need to know I am burning sometimes with nausea to fight these people.
[03:02:22.580 --> 03:02:25.702]  Like a pit bull on a chain.
[03:02:25.702 --> 03:02:29.303]  Because I can't stop them and be like, oh my gosh, you're such a great... No.
[03:02:29.303 --> 03:02:32.105]  I know they're giving kids shots now, hundreds of them.
[03:02:32.105 --> 03:02:35.126]  We've gone from 1 in 30-something thousand to 1 in 58.
[03:02:35.126 --> 03:02:36.647]  South Korea is like 1 in 30-something.
[03:02:36.647 --> 03:02:37.828]  There's retarded kids everywhere.
[03:02:37.828 --> 03:02:39.048]  They go, don't use the word retarded.
[03:02:39.048 --> 03:02:40.089]  I'll use the word retarded.
[03:02:40.089 --> 03:02:41.930]  You're the ones covering up for them being brain damaged.
[03:02:44.411 --> 03:02:47.655]  And they've got polio-like illness paralyzing children all across the U.S.
[03:02:47.655 --> 03:02:50.059]  They're testing soft kills.
[03:02:50.059 --> 03:02:56.588]  I told you this 15 years ago about Bill and Melinda Gates Foundation, the vaccines they give, and then the kids all getting paralyzed.
[03:02:56.588 --> 03:02:59.552]  Sometimes 60,000 a year in places like India alone.
[03:03:01.303 --> 03:03:03.544]  It's okay that you can't walk now, son.
[03:03:03.544 --> 03:03:05.805]  The doctors won't tell us, but they're good.
[03:03:05.805 --> 03:03:07.206]  So, you know, we trust them.
[03:03:07.206 --> 03:03:10.167]  Then they go to the Child Development Center, to the state.
[03:03:10.167 --> 03:03:16.330]  You know, they came up with the 223, or the 556 in Vietnam, and the Colt M16.
[03:03:16.330 --> 03:03:21.932]  Because they couldn't have a full metal, a soft-tipped, under the Geneva Convention, bullet.
[03:03:21.932 --> 03:03:22.392]  What a joke.
[03:03:22.392 --> 03:03:23.673]  You can't shoot bullets that kill people.
[03:03:26.624 --> 03:03:27.804]  Or maim them.
[03:03:27.804 --> 03:03:28.845]  Anti-personnel weapons.
[03:03:28.845 --> 03:03:35.326]  So they did the .223, .556 because it's so high velocity it breaks up and actually has a fragmentation effect.
[03:03:35.326 --> 03:03:38.427]  That's the big secret about it.
[03:03:38.427 --> 03:03:47.430]  And I personally, if you're not too far away, I can take down elk better with a .223 or .556 than I can with a 7 mag or you name it.
[03:03:47.430 --> 03:03:48.890]  And I've shot elk with 7 mags.
[03:03:48.890 --> 03:03:51.791]  I've shot them with 500 Smith & Wesson handguns.
[03:03:51.791 --> 03:03:54.291]  And I'm telling you, .223 if you're close is better.
[03:03:54.291 --> 03:03:55.932]  But I'm digressing.
[03:03:59.198 --> 03:03:59.838]  It's the same thing.
[03:03:59.838 --> 03:04:01.979]  It's an anti-personnel weapon.
[03:04:01.979 --> 03:04:05.381]  Vaccines are a soft-kill, anti-personnel weapon.
[03:04:05.381 --> 03:04:06.662]  Folks, that's not my opinion.
[03:04:06.662 --> 03:04:08.823]  I am completely weaponized in this whole thing.
[03:04:08.823 --> 03:04:10.904]  All I do is track the enemy.
[03:04:10.904 --> 03:04:11.264]  Okay?
[03:04:11.264 --> 03:04:12.724]  I know everything they're up to, basically.
[03:04:12.724 --> 03:04:15.366]  When I say everything, everything that's public, I'm on it.
[03:04:15.366 --> 03:04:20.448]  Because they do the same couple hundred things over and over again, I basically know all their programs.
[03:04:20.448 --> 03:04:28.212]  And you understand the level of anger I have because I have children, and I have empathy for my children, so please have empathy for your kids.
[03:04:29.209 --> 03:04:32.052]  It's like if I saw some guy beating a woman up in the parking lot, I'm gonna go stop him.
[03:04:32.052 --> 03:04:32.833]  Because I have empathy.
[03:04:32.833 --> 03:04:33.935]  I'm not a hero.
[03:04:33.935 --> 03:04:34.756]  I have instincts.
[03:04:34.756 --> 03:04:37.319]  I'm going to stop them.
[03:04:37.319 --> 03:04:37.399]  And...
[03:04:39.386 --> 03:04:41.367]  I've just somehow got to learn I care too much.
[03:04:41.367 --> 03:04:43.047]  See, I see the public doesn't care at all.
[03:04:43.047 --> 03:04:49.889]  I care too much because I get so angry when I see the LA Times and everybody else going, CNN, gee, school just started.
[03:04:49.889 --> 03:04:54.050]  Suddenly tens of thousands of kids nationwide, hundreds in LA are paralyzed.
[03:04:54.050 --> 03:04:54.651]  What happened?
[03:04:54.651 --> 03:04:58.152]  The frickin' demon insert says it, you murdering filth.
[03:04:58.152 --> 03:04:58.972]  You know what you did.
[03:05:00.103 --> 03:05:03.245]  Well, it's good that families are brought together by something, right?
[03:05:03.245 --> 03:05:08.087]  Well, a former assistant FBI director says that the Clintons are brought together by crime.
[03:05:08.087 --> 03:05:09.447]  They're a crime family.
[03:05:09.447 --> 03:05:10.888]  It's like organized crime.
[03:05:10.888 --> 03:05:13.009]  I mean, the Clinton Foundation is a cesspool.
[03:05:13.009 --> 03:05:14.390]  This article is up on our website.
[03:05:14.390 --> 03:05:25.435]  It's written by Steve Watson, and it highlights how the former assistant FBI director slams Hillary Clinton and her foundation, calling it a cesspool and that the family is like an organized crime syndicate.
[03:05:25.635 --> 03:05:32.198]  Now, appearing on a radio show this week, the FBI, it's known, is reopening the case of Hillary Clinton and her homebrew server.
[03:05:32.198 --> 03:05:37.720]  James Kallstrom made these remarks while praising Donald Trump as a good human being and a patriot.
[03:05:37.720 --> 03:05:45.543]  He goes on to say, the Clintons, that's a crime family basically, and he's a 27-year-old FBI veteran, he says it's like organized crime.
[03:05:45.543 --> 03:05:47.803]  I mean, the Clinton Foundation is a cesspool.
[03:05:47.803 --> 03:05:50.264]  God forbid we put someone like that in the White House.
[03:05:50.264 --> 03:05:51.925]  Of course he's referring to Hillary Clinton.
[03:05:52.185 --> 03:05:53.446]  Yes, God forbid.
[03:05:53.446 --> 03:05:56.828]  May I remind you, November 8th is Take Out the Trash Day.
[03:05:56.828 --> 03:05:59.891]  I'm Margaret Halver reporting for InfoWars.com.
[03:05:59.891 --> 03:06:03.934]  There was a mighty nation, blessed above all of creation.
[03:06:03.934 --> 03:06:06.916]  Charlie Daniels, he's always loved America.
[03:06:06.916 --> 03:06:08.597]  He's always defended the Second Amendment.
[03:06:08.797 --> 03:06:11.541]  Let me just read a little thing here from Agenda 21.
[03:06:11.541 --> 03:06:15.727]  The American system of justice must be changed to conform to the rest of the world.
[03:06:15.727 --> 03:06:19.692]  Individual rights will have to take a back seat to the collective.
[03:06:19.692 --> 03:06:21.655]  Well, you know what the next move's gonna be, don't you?
[03:06:21.655 --> 03:06:23.257]  It's gonna be coming after you, good?
[03:06:23.257 --> 03:06:24.038]  Oh, yeah.
[03:06:24.038 --> 03:06:25.580]  I tell you, it ain't gonna sit well down my way.
[03:06:26.141 --> 03:06:27.123]  At all.
[03:06:27.123 --> 03:06:28.184]  It ain't gonna sit well.
[03:06:28.184 --> 03:06:30.367]  Do you ever wonder what happened to America?
[03:06:30.367 --> 03:06:31.549]  It's time to ride, boys.
[03:06:31.549 --> 03:06:33.552]  We need a thousand Paul Revere's.
[03:06:33.552 --> 03:06:39.600]  When I was a boy, it was okay to be proud of the flag, heritage, mom, and apple pie.
[03:06:39.600 --> 03:06:41.463]  And beef was for supper.
[03:06:42.163 --> 03:06:44.646]  Revelation, dawn of global government.
[03:06:44.646 --> 03:06:46.507]  Theatrical screenings on demand.
[03:06:46.507 --> 03:06:48.149]  DVDs now available.
[03:06:48.149 --> 03:06:52.813]  Starring Alex Jones, Charlie Daniels, Special Ops General Jerry Boykin.
[03:06:52.813 --> 03:06:56.216]  Wanna shed some tears over the red, white, and blue?
[03:06:56.216 --> 03:06:58.578]  Revelation, themovie.info.
[03:06:58.578 --> 03:06:59.359]  Let's fix it.
[03:06:59.779 --> 03:07:04.842]  Over the years, there have been a lot of powerful advancements in the field of science and nutraceuticals.
[03:07:04.842 --> 03:07:13.686]  Longevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals, and much more.
[03:07:13.686 --> 03:07:17.648]  Longevity also offers you an ingenious way to augment your income.
[03:07:17.648 --> 03:07:18.428]  And the best part?
[03:07:18.428 --> 03:07:21.309]  You'll be helping your friends and family along the way.
[03:07:21.309 --> 03:07:23.911]  Visit infowarsteam.com today.
[03:07:23.911 --> 03:07:24.691]  Become a member.
[03:07:24.691 --> 03:07:28.753]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[03:07:28.973 --> 03:07:35.717]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[03:07:35.717 --> 03:07:36.657]  Another win-win.
[03:07:36.657 --> 03:07:40.400]  That's why I'm a member of the Longevity Team at InfoWarsTeam.com.
[03:07:40.400 --> 03:07:41.640]  And you can be too.
[03:07:41.640 --> 03:07:42.201]  It's simple.
[03:07:42.201 --> 03:07:45.142]  Just go to InfoWarsTeam.com today.
[03:07:45.142 --> 03:07:47.244]  Complete a short sign-up and you're part of the team.
[03:07:47.244 --> 03:07:50.485]  That's InfoWarsTeam.com or InfoWarsHealth.com.
[03:07:50.485 --> 03:07:56.809]  So many people call into my radio show and tell me how Longevity and the products at InfoWarsTeam.com have changed their lives.
[03:07:56.809 --> 03:07:58.110]  Check it out for yourself today.
[03:08:11.736 --> 03:08:17.381]  He aligns himself with the truth, and it's time for you to choose a side.
[03:08:17.381 --> 03:08:22.265]  You're listening to Alex Jones.
[03:08:22.265 --> 03:08:30.932]  So, I was spending time this weekend with family, and I went to drugreport.com, and I saw a link to this article.
[03:08:30.932 --> 03:08:32.433]  Her toddler suddenly paralyzed.
[03:08:32.433 --> 03:08:34.375]  Mother tries to solve a vexing medical mystery.
[03:08:35.259 --> 03:08:36.821]  And they changed the headline on Sunday.
[03:08:36.821 --> 03:08:38.703]  On Saturday, it was medical.
[03:08:38.703 --> 03:08:39.744]  We even have a screenshot of it.
[03:08:39.744 --> 03:08:41.105]  Rob Dewey edited a video piece.
[03:08:41.105 --> 03:08:42.287]  I shot it.
[03:08:42.287 --> 03:08:43.808]  We uploaded it to him.
[03:08:43.808 --> 03:08:44.589]  And he got it out.
[03:08:44.589 --> 03:08:47.172]  Because even when I'm off, I have a camera person following me around.
[03:08:47.172 --> 03:08:48.093]  Now, that's a harbor fighting.
[03:08:48.093 --> 03:08:49.074]  I'm not complaining.
[03:08:49.074 --> 03:08:50.335]  I mean, you can't drag me away from this.
[03:08:50.335 --> 03:08:55.321]  I was thumbing at the mouth, actually, Saturday and Sunday, working like 10 hours a day on top of regular stuff.
[03:08:55.321 --> 03:08:56.142]  And I just can't stop.
[03:08:56.142 --> 03:08:56.422]  I mean, I...
[03:08:57.723 --> 03:09:00.825]  I know the inserts say it causes kids to be paralyzed.
[03:09:00.825 --> 03:09:04.787]  I know it causes cancer, neurological disorders, type 1 diabetes because it eats your pancreas.
[03:09:04.787 --> 03:09:09.950]  It says it can cause pancreatitis, diabetes, flu shot, hepatitis shot.
[03:09:09.950 --> 03:09:11.070]  All of them say it.
[03:09:11.070 --> 03:09:11.611]  I know this!
[03:09:11.611 --> 03:09:12.591]  I've got the inserts.
[03:09:12.591 --> 03:09:18.534]  I've probably done a hundred special reports or more showing it to you.
[03:09:18.534 --> 03:09:23.117]  And then I get angry because I uploaded one video, got like half a million views in a couple hours.
[03:09:23.117 --> 03:09:24.397]  This one I did, only got like 35,000 views.
[03:09:27.588 --> 03:09:28.849]  He needs to get a hundred million views.
[03:09:28.849 --> 03:09:34.473]  The people involved need to... You know what they need to have done to him.
[03:09:34.473 --> 03:09:36.194]  Imagine how they'd like.
[03:09:36.194 --> 03:09:38.976]  Being paralyzed from the neck down surgically.
[03:09:38.976 --> 03:09:41.098]  I'm not saying I want to do that, because I don't want to do that to kids.
[03:09:41.098 --> 03:09:50.445]  I don't want to do it to you, but I got a little idea in my head that if you think it's so funny... How about you're living out of a straw for the rest of your life?
[03:09:50.445 --> 03:09:51.245]  I got three kids.
[03:09:51.245 --> 03:09:52.186]  Rob Dews got four kids.
[03:09:54.179 --> 03:09:56.641]  And it flips a switch when you have kids.
[03:09:56.641 --> 03:10:01.984]  The people that mess with kids is why the media is always for the children manipulating us.
[03:10:01.984 --> 03:10:03.044]  It makes me want to throw up.
[03:10:03.044 --> 03:10:05.326]  They know vaccines have social control.
[03:10:05.326 --> 03:10:06.927]  They know they've done secret testing in them.
[03:10:06.927 --> 03:10:11.309]  They know there's secret government program giving liability protection of the companies.
[03:10:11.309 --> 03:10:14.491]  The program's public, but what they do is secret in it.
[03:10:14.491 --> 03:10:17.133]  They know all this.
[03:10:17.133 --> 03:10:19.254]  And they know why the kids are paralyzed.
[03:10:19.254 --> 03:10:20.595]  We've had the nurses on.
[03:10:21.910 --> 03:10:36.837]  In fact, I link in the report, articles a year ago, where we have nurses and doctors on, they go, no, they tell us under bioethics we've got to give all the preemies vaccines, and about half of them quit breathing or die when we do within an hour or two, so we put them on respirators.
[03:10:36.837 --> 03:10:39.478]  So they give them the shot, they know it's making them sick, to follow orders.
[03:10:39.478 --> 03:10:42.800]  It's like Nazis shooting Jews, but then putting them on respirators.
[03:10:43.780 --> 03:10:46.821]  And then they put them on respirators to keep them alive, and I'm like, we'll go public.
[03:10:46.821 --> 03:10:48.741]  Well, they'll fire me if I do.
[03:10:48.741 --> 03:10:49.962]  This is the crazy town.
[03:10:49.962 --> 03:11:09.546]  So, with everything else toxic that we've proven is bad, bisphenol A, aspartame, MSG, you know, all the things they pulled out of food and water, they won't do this because it's big pharma and the government in collaboration with an agenda to make you take something.
[03:11:09.546 --> 03:11:10.726]  Now, I'm very pleased.
[03:11:10.726 --> 03:11:12.607]  I had great feelings of satisfaction today.
[03:11:14.318 --> 03:11:17.241]  See, I don't get satisfaction peacocking in front of a crowd getting an award.
[03:11:17.241 --> 03:11:20.424]  I don't get satisfaction pulling out the coolest car at the country club.
[03:11:20.424 --> 03:11:21.145]  I don't get satisfaction.
[03:11:21.145 --> 03:11:21.285]  No, no.
[03:11:21.285 --> 03:11:23.987]  I get satisfaction on seeing little plants grow in my backyard and...
[03:11:24.909 --> 03:11:28.332]  You know, seeing my kids grow up and be strong and do the right thing.
[03:11:28.332 --> 03:11:37.738]  Not because I'm some goody two-shoes, but because you read Conrad Lorenz's Animal Psychology, the biggest meanest predators have the biggest sweetest sides as well to govern themselves.
[03:11:37.738 --> 03:11:44.243]  It's little cowardly filth that want to sneak around and do jackass evil against people and innocents and think that's power.
[03:11:44.243 --> 03:11:51.669]  Exercising oppression against innocents is not because you're powerful, it's because you're a piece of filth and we will get our metaphysical hands around your necks.
[03:11:52.429 --> 03:11:53.510]  And we're very close.
[03:11:53.510 --> 03:11:59.694]  And you can feel our fingers sliding lovingly around your throats right now.
[03:11:59.694 --> 03:12:04.177]  Like Moby Dick with Captain Ahab.
[03:12:04.177 --> 03:12:04.958]  Who are you?
[03:12:04.958 --> 03:12:06.239]  You're going to the bottom.
[03:12:06.239 --> 03:12:07.900]  You're going down 10,000 feet.
[03:12:07.900 --> 03:12:09.481]  You want to dive?
[03:12:09.481 --> 03:12:10.702]  You want to play the game?
[03:12:10.702 --> 03:12:11.983]  We're going down now.
[03:12:13.308 --> 03:12:16.751]  And I can feel the outcry of the maimed children.
[03:12:16.751 --> 03:12:18.312]  They're on respirators all over the country.
[03:12:18.312 --> 03:12:20.894]  They're dying every day all over the country.
[03:12:20.894 --> 03:12:27.059]  I know they pack the Dell Children's Facility every year when the shots start before school.
[03:12:27.059 --> 03:12:39.268]  In the pre-kindergartner grade, the 3 and 4 year olds, they give them the shots and then it causes them to have pancreatitis and they lose their pancreas.
[03:12:39.268 --> 03:12:42.371]  So suddenly they tell them, oh it's genetic, you have type 1 diabetes.
[03:12:46.340 --> 03:12:51.082]  They're just hitting them and hitting them hard and they know full well what they're doing with pleasure.
[03:12:51.082 --> 03:12:55.104]  And then they go, there's a mystery why there's so many autistic.
[03:12:55.104 --> 03:12:56.864]  Now there's a mystery why you're paralyzed.
[03:12:56.864 --> 03:12:59.065]  Oh, we didn't get your brain, you're still talking.
[03:12:59.065 --> 03:13:00.626]  Too bad, he can talk.
[03:13:00.626 --> 03:13:03.667]  Oh, we don't know what that is.
[03:13:03.667 --> 03:13:08.269]  Now the average doctor isn't actually going, but behind the scenes they know.
[03:13:08.269 --> 03:13:10.690]  They bring these kids in and it's the vaccines.
[03:13:10.690 --> 03:13:14.731]  That was in the 2000 document from the CDC that came out in 2002.
[03:13:16.403 --> 03:13:21.812]  Or a congressman got in trouble leaking it because his grandson was brain damaged?
[03:13:21.812 --> 03:13:26.199]  I think the congressman had to have his kid on a ventilator for a while, but he came back.
[03:13:26.199 --> 03:13:27.040]  Too bad for them, I guess.
[03:13:27.040 --> 03:13:28.242]  Too bad for the globalists.
[03:13:28.242 --> 03:13:29.544]  They didn't get him, you know, right away.
[03:13:30.902 --> 03:13:35.225]  And he leaked it for the congressman's name, but it's famous.
[03:13:35.225 --> 03:13:37.327]  ABC News picked it up to their credit.
[03:13:37.327 --> 03:13:38.548]  Well, they were totally controlled.
[03:13:38.548 --> 03:13:40.909]  But they said, I wouldn't give my grandkids or kids this.
[03:13:40.909 --> 03:13:42.731]  We've brain damaged tens of millions.
[03:13:42.731 --> 03:13:44.672]  And they said, well, we can't cover it up.
[03:13:44.672 --> 03:13:47.454]  We've just got to make sure they clean it up.
[03:13:47.454 --> 03:13:49.876]  You see, well, they didn't clean it up because it's on purpose.
[03:13:51.471 --> 03:14:02.277]  It's on purpose, just like injecting black people with syphilis at Tuskegee, and the airmen being sprayed with biologicals, and all the other secret testing, and the radiological testing that killed over 3 million U.S.
[03:14:02.277 --> 03:14:02.777]  troops.
[03:14:02.777 --> 03:14:06.039]  That was Time Magazine last week.
[03:14:06.039 --> 03:14:08.901]  They're doing it on purpose.
[03:14:08.901 --> 03:14:10.582]  So let's play this little boy from the L.A.
[03:14:10.582 --> 03:14:10.842]  Times.
[03:14:10.842 --> 03:14:12.143]  Let's analyze their piece.
[03:14:12.143 --> 03:14:13.984]  Let's humanize him.
[03:14:13.984 --> 03:14:15.124]  But hey, he can walk now.
[03:14:15.124 --> 03:14:15.765]  He got better.
[03:14:15.765 --> 03:14:20.508]  Yeah, they have treatments for Yom Beret, where he could have been walking probably in a day, not months.
[03:14:21.496 --> 03:14:29.623]  But see, sometimes they won't even tell you what the treatment is because they've got to say it while your kid gets where they can't even breathe and they'd have to go in a ventilator.
[03:14:29.623 --> 03:14:33.667]  And they're all standing there at the hospital going, sorry, we don't know what's wrong with him.
[03:14:33.667 --> 03:14:35.849]  You know, you could tell him and fix him right now.
[03:14:35.849 --> 03:14:36.590]  Shut up, we can't.
[03:14:36.590 --> 03:14:37.751]  We're not the ones who gave him the shots.
[03:14:37.751 --> 03:14:40.994]  And if the doctors tell you, they're fired.
[03:14:43.066 --> 03:14:44.628]  So you talk about a test for control.
[03:14:44.628 --> 03:14:46.029]  It's how corruption works.
[03:14:46.029 --> 03:14:50.414]  You think Hillary was bad getting thousands of people involved in her illegal emails to blackmail and control people?
[03:14:50.414 --> 03:14:51.295]  Turns out that's what she was doing.
[03:14:51.295 --> 03:14:52.276]  She did it on purpose.
[03:14:52.276 --> 03:14:55.079]  They were tired of her blackmailing her, so other agencies leaked it.
[03:14:55.079 --> 03:15:00.324]  The Solicitor General of Intelligence released that info four years ago.
[03:15:00.324 --> 03:15:00.945]  Now let's go back.
[03:15:01.977 --> 03:15:06.060]  They're corrupting you all, the nurses and doctors getting you in on it, letting you know.
[03:15:06.060 --> 03:15:09.623]  It's alright if you put them on a ventilator after, get the ventilators ready.
[03:15:09.623 --> 03:15:11.505]  We're loving children!
[03:15:11.505 --> 03:15:18.830]  The bad justifies the good, or the good justifies the bad, when statistically it's even worse than what it, quote, protects you from.
[03:15:18.830 --> 03:15:22.814]  Then the big lie that, oh, you've got to take the vaccine, or you're hurting other people.
[03:15:22.814 --> 03:15:25.716]  Well, if you've had the vaccine, aren't you protected, Snow White?
[03:15:30.509 --> 03:15:35.392]  Gardasil's been banned in more than 30 countries last time I checked from Japan to India.
[03:15:35.392 --> 03:15:42.936]  Eight years before it was even approved it was killing people right here in Texas where it had been approved for limited use.
[03:15:42.936 --> 03:15:49.239]  I've seen hundreds of local newscasts where the young daughter at age 12 takes it and becomes paralyzed or dies.
[03:15:50.899 --> 03:15:54.660]  And in some cases, their doctor even tells them, the guard has still killed your daughter.
[03:15:54.660 --> 03:15:57.681]  Rob Dew, you know, I guess I want to apologize though.
[03:15:57.681 --> 03:16:00.301]  It's, you know, because it is bad that I got upset.
[03:16:00.301 --> 03:16:05.202]  I should not get upset knowing this fact, that they're just murdering kids and maiming them nationwide.
[03:16:05.202 --> 03:16:11.484]  I should just accept it and let them call me conspiracy theorist over at CNN while they get their talking points from Hillary.
[03:16:11.484 --> 03:16:13.464]  What a bunch of snot-nosed demons.
[03:16:13.464 --> 03:16:16.065]  They've made their bed, they've got to sleep in it, don't they?
[03:16:16.485 --> 03:16:22.787]  Yeah, it's really despicable the way they poison young children from the second day they're born.
[03:16:22.787 --> 03:16:28.530]  They're trying to inject them with these toxic compounds, calling it medicine and safe and effective.
[03:16:28.530 --> 03:16:31.011]  And Alex, I just want to book in what you're saying.
[03:16:31.011 --> 03:16:33.111]  Back in August, end of August, here's an article.
[03:16:33.111 --> 03:16:36.573]  Prominent district attorney blames vaccines for his children's autism.
[03:16:36.573 --> 03:16:39.454]  Now this is a DA down in San Antonio, just south of us.
[03:16:40.114 --> 03:16:44.578]  His daughter and son were both affected by vaccines after taking them.
[03:16:44.578 --> 03:16:45.839]  His name is Niko LaHood.
[03:16:45.839 --> 03:16:48.881]  He went on camera to promote this Vaxxed movie.
[03:16:48.881 --> 03:16:55.106]  But his daughter, his infant daughter, suffered an autoimmune reaction shortly after receiving her scheduled immunizations.
[03:16:55.106 --> 03:16:55.927]  And it was really bad.
[03:16:55.927 --> 03:17:02.372]  It was bad where I had to tie her down to sleep because she would scratch herself and start bleeding and had eczema-like symptoms.
[03:17:02.372 --> 03:17:03.974]  Does that sound like safe and effective?
[03:17:04.734 --> 03:17:06.515]  But do, do, do, I know they love it.
[03:17:06.515 --> 03:17:09.237]  The thing is, it's in the insert, it could cause you to be paralyzed.
[03:17:09.237 --> 03:17:09.737]  I know.
[03:17:09.737 --> 03:17:20.004]  So they just go, we don't know, when we, you've interviewed, we've interviewed the nurses, so has David Knight, who call us, more should call us, but you should go public, it's all over, who cares?
[03:17:20.004 --> 03:17:20.244]  Exactly.
[03:17:20.244 --> 03:17:22.966]  The murder charges against the people on your bioethics board.
[03:17:22.966 --> 03:17:24.547]  There are a bunch of you, I'm going to explain something.
[03:17:25.367 --> 03:17:27.108]  People ask how this happened.
[03:17:27.108 --> 03:17:32.312]  Margaret Sanger got David Rockefeller's father's money in 1901.
[03:17:32.312 --> 03:17:38.776]  By 1910, they had a bunch of clinics in New York targeting blacks and Puerto Ricans, for whatever reason, and Jamaicans.
[03:17:38.776 --> 03:17:43.620]  And then they had IBM involved with these first computers called the Hollerith machine.
[03:17:43.620 --> 03:17:44.960]  That was like the Hollerith 1.
[03:17:44.960 --> 03:17:47.262]  One the Nazis used was Hollerith 7 through 15.
[03:17:48.823 --> 03:17:52.008]  There's been Pulitzer Prizes given for this, folks.
[03:17:52.008 --> 03:17:52.489]  Look it up.
[03:17:52.489 --> 03:17:53.831]  This is well documented.
