[00:00.000 --> 00:26.000]  Live from Austin, Texas, broadcasting world-wide, it's Alex Jones.
[1:16:08.000 --> 1:16:10.000]  amino acids, vitamins and minerals
[1:16:10.000 --> 1:16:12.000]  needed daily
[1:16:12.000 --> 1:16:14.000]  that's why info wars life
[1:16:14.000 --> 1:16:16.000]  created the powerful vitamin mineral fusion formula
[1:16:16.000 --> 1:16:18.000]  the new platinum standard
[1:16:18.000 --> 1:16:20.000]  of advanced multivitamin formulation
[1:16:20.000 --> 1:16:22.000]  vitamin mineral fusion
[1:16:22.000 --> 1:16:24.000]  uses a unique delivery system
[1:16:24.000 --> 1:16:26.000]  to maximize the effects
[1:16:26.000 --> 1:16:28.000]  and give your body the tools it needs to support your body
[1:16:28.000 --> 1:16:30.000]  using a proprietary process
[1:16:30.000 --> 1:16:32.000]  we've managed to make this powerhouse formula
[1:16:32.000 --> 1:16:34.000]  into a delicious concentrated drink mix
[1:16:34.000 --> 1:16:36.000]  that's loaded with high quality ingredients
[1:16:36.000 --> 1:16:38.000]  perfect for a hot summer day
[1:16:38.000 --> 1:16:40.000]  or relaxing at home
[1:16:40.000 --> 1:16:42.000]  vitamin mineral fusion is loaded with
[1:16:42.000 --> 1:16:44.000]  34 different essential vitamins, minerals
[1:16:44.000 --> 1:16:46.000]  amino acids and more
[1:16:46.000 --> 1:16:48.000]  start supporting your body's needs in a great tasting
[1:16:48.000 --> 1:16:50.000]  natural and affordable drink mix
[1:16:50.000 --> 1:16:52.000]  with vitamin mineral fusion today
[1:16:52.000 --> 1:16:54.000]  available at infowarstore.com
[1:16:56.000 --> 1:16:58.000]  we can extend
[1:16:58.000 --> 1:17:00.000]  this free shipping
[1:17:00.000 --> 1:17:02.000]  sale much longer with our best selling items
[1:17:02.000 --> 1:17:04.000]  at infowarstore.com
[1:17:04.000 --> 1:17:06.000]  in fact we can only run it
[1:17:06.000 --> 1:17:08.000]  a few more days
[1:17:08.000 --> 1:17:10.000]  we're also running out of some of our best selling items
[1:17:10.000 --> 1:17:12.000]  like our amazing Neutropic Rain Force
[1:17:12.000 --> 1:17:14.000]  it's $19.95
[1:17:14.000 --> 1:17:16.000]  leading competitors are $60 and aren't even as good
[1:17:16.000 --> 1:17:18.000]  it's a great deal normally at $39.95
[1:17:18.000 --> 1:17:20.000]  Rain Force you've never tried it
[1:17:20.000 --> 1:17:22.000]  this is a great opportunity
[1:17:22.000 --> 1:17:24.000]  $19.95 also alpha power is 50% off
[1:17:24.000 --> 1:17:26.000]  if you don't know what it's done for me
[1:17:26.000 --> 1:17:28.000]  and so many others for stamina
[1:17:28.000 --> 1:17:30.000]  focus, libido it does
[1:17:30.000 --> 1:17:32.000]  things at X2
[1:17:32.000 --> 1:17:34.000]  even though we're having trouble sourcing the deep earth
[1:17:34.000 --> 1:17:36.000]  crystals of the good halogen iodine
[1:17:36.000 --> 1:17:38.000]  I am blowing out
[1:17:38.000 --> 1:17:40.000]  the stockpile of it
[1:17:40.000 --> 1:17:42.000]  we have at least for another few days
[1:17:42.000 --> 1:17:44.000]  at 50% off and then after that
[1:17:44.000 --> 1:17:46.000]  it's going to go back to full price
[1:17:46.000 --> 1:17:48.000]  until we secure more of it
[1:17:48.000 --> 1:17:50.000]  infowarslife.com
[1:17:50.000 --> 1:17:52.000]  infowarsstore.com or triple A
[1:17:52.000 --> 1:17:54.000]  2533139 and thank you all
[1:17:54.000 --> 1:17:56.000]  for helping fund the second American Global Revolution
[1:17:56.000 --> 1:17:58.000]  infowarslife is bringing you
[1:17:58.000 --> 1:18:00.000]  a breakthrough in modern medicine
[1:18:00.000 --> 1:18:02.000]  introducing pollen block
[1:18:02.000 --> 1:18:04.000]  we have found an extraordinary
[1:18:04.000 --> 1:18:06.000]  new natural way to alleviate
[1:18:06.000 --> 1:18:08.000]  seasonal distress symptoms
[1:18:08.000 --> 1:18:10.000]  including promoting clear nasal
[1:18:10.000 --> 1:18:12.000]  and sinus passageways
[1:18:12.000 --> 1:18:14.000]  eye comfort and respiratory function
[1:18:14.000 --> 1:18:16.000]  in the 1960s
[1:18:16.000 --> 1:18:18.000]  researchers in France
[1:18:18.000 --> 1:18:20.000]  noticed that people who ate certain quail eggs
[1:18:20.000 --> 1:18:22.000]  experienced less seasonal
[1:18:22.000 --> 1:18:24.000]  immune and inflammatory responses
[1:18:24.000 --> 1:18:26.000]  they began studying this effect
[1:18:26.000 --> 1:18:28.000]  in published trials and decades later
[1:18:28.000 --> 1:18:30.000]  we now have the fruit of this research
[1:18:30.000 --> 1:18:32.000]  a fast-acting, chewable
[1:18:32.000 --> 1:18:34.000]  tablet that helps alleviate
[1:18:34.000 --> 1:18:36.000]  seasonal distress symptoms
[1:18:36.000 --> 1:18:38.000]  pollen block is natural and effective
[1:18:38.000 --> 1:18:40.000]  it is not an antihistamine
[1:18:40.000 --> 1:18:42.000]  in fact, current research has found
[1:18:42.000 --> 1:18:44.000]  that it actually acts by blocking
[1:18:44.000 --> 1:18:46.000]  the activity of triptase
[1:18:46.000 --> 1:18:48.000]  which is an enzyme that amplifies immune
[1:18:48.000 --> 1:18:50.000]  and inflammatory responses in the body
[1:18:50.000 --> 1:18:52.000]  go outside and enjoy the air you breathe
[1:18:52.000 --> 1:18:54.000]  head to infowarslife.com
[1:18:54.000 --> 1:18:56.000]  and grab a pack of our pollen block
[1:18:56.000 --> 1:18:58.000]  chewable tablets
[1:18:58.000 --> 1:19:00.000]  Patrick, in the great
[1:19:00.000 --> 1:19:02.000]  nation of Australia
[1:19:02.000 --> 1:19:04.000]  you're on the air worldwide, thanks for holding
[1:19:04.000 --> 1:19:06.000]  Hey, Alex, mate
[1:19:06.000 --> 1:19:08.000]  I've been following you since I was 14
[1:19:08.000 --> 1:19:10.000]  and I'm 32 now
[1:19:10.000 --> 1:19:12.000]  I remember back when info wars and prison planet
[1:19:12.000 --> 1:19:14.000]  it was just blue text on a white screen
[1:19:14.000 --> 1:19:16.000]  and I had to load down the page
[1:19:16.000 --> 1:19:18.000]  on my dial up into there
[1:19:18.000 --> 1:19:20.000]  and I thought it was pretty cool and read all the books
[1:19:20.000 --> 1:19:22.000]  and all the DVDs and followed all your guests
[1:19:22.000 --> 1:19:24.000]  and I've been using your product since
[1:19:24.000 --> 1:19:26.000]  the first iteration of survival shield
[1:19:26.000 --> 1:19:28.000]  and since then I'm on the X2
[1:19:28.000 --> 1:19:30.000]  the super male vitality, the caveman
[1:19:30.000 --> 1:19:32.000]  the real red pill, micro ZX
[1:19:32.000 --> 1:19:34.000]  body, it's all amazing
[1:19:34.000 --> 1:19:36.000]  Thank you, brother! Yeah, and I wanted to say
[1:19:36.000 --> 1:19:38.000]  that by following you so much
[1:19:38.000 --> 1:19:40.000]  it's like you're just detoxing the mind
[1:19:40.000 --> 1:19:42.000]  you're detoxing the body, you're detoxing
[1:19:42.000 --> 1:19:44.000]  the spirit and it's just the more
[1:19:44.000 --> 1:19:46.000]  you know God, the more you fear God
[1:19:46.000 --> 1:19:48.000]  but the more you chase God
[1:19:48.000 --> 1:19:50.000]  and I wanted to say that it's an un-understand
[1:19:50.000 --> 1:19:52.000]  side-by-side with you, the crew
[1:19:52.000 --> 1:19:55.000]  and the listeners out there, 1776 World War
[1:19:55.000 --> 1:20:21.000]  You're listening to the Alex Jones show
[1:20:21.000 --> 1:20:23.000]  You know how it seems bad
[1:20:23.000 --> 1:20:25.000]  and it's chaotic
[1:20:25.000 --> 1:20:27.000]  and the enemy's going crazy
[1:20:27.000 --> 1:20:29.000]  Well, when you step with your heel
[1:20:29.000 --> 1:20:31.000]  on the head of a snake, what happens
[1:20:31.000 --> 1:20:33.000]  the rest of that snake's body
[1:20:33.000 --> 1:20:35.000]  rides around, wraps around your leg
[1:20:35.000 --> 1:20:37.000]  goes crazy causing chaos
[1:20:37.000 --> 1:20:39.000]  but it's death throws
[1:20:39.000 --> 1:20:41.000]  that's really the key, it's death throws
[1:20:41.000 --> 1:20:43.000]  because your heel is still on that snake's head
[1:20:43.000 --> 1:20:45.000]  it doesn't matter what the rest of its body is doing
[1:20:45.000 --> 1:20:47.000]  its head is pinned and it's over for that snake
[1:20:47.000 --> 1:20:49.000]  that's what we're seeing the Illuminati doing
[1:20:49.000 --> 1:20:51.000]  That's a beautiful analogy, that's amazing
[1:20:51.000 --> 1:20:53.000]  They are riding around in pain
[1:20:53.000 --> 1:20:55.000]  and they're going crazy and you see all this chaos
[1:20:55.000 --> 1:20:57.000]  because they're in their death rows
[1:20:57.000 --> 1:20:59.000]  we're literally witnessing the Illuminati's death rows
[1:20:59.000 --> 1:21:01.000]  it's grab your popcorn time
[1:21:01.000 --> 1:21:03.000]  sit back, relax, pray to God
[1:21:03.000 --> 1:21:05.000]  and enjoy the show
[1:21:11.000 --> 1:21:13.000]  We're here with John Abiskaran
[1:21:13.000 --> 1:21:15.000]  he's a Coptic Christian
[1:21:15.000 --> 1:21:17.000]  and he was breaking down
[1:21:17.000 --> 1:21:19.000]  the prophecies of Mark Taylor
[1:21:19.000 --> 1:21:21.000]  who in 2011
[1:21:21.000 --> 1:21:23.000]  was documented in 2012
[1:21:23.000 --> 1:21:25.000]  in major Christian magazines
[1:21:25.000 --> 1:21:27.000]  predicting that Donald J. Trump
[1:21:27.000 --> 1:21:29.000]  would become the 45th president of the United States
[1:21:29.000 --> 1:21:31.000]  and that it would signal
[1:21:31.000 --> 1:21:33.000]  a major global revival
[1:21:33.000 --> 1:21:35.000]  and I've talked to so many great pastors
[1:21:35.000 --> 1:21:37.000]  that I really respect
[1:21:37.000 --> 1:21:39.000]  like Rodney Howard Brown and others
[1:21:39.000 --> 1:21:41.000]  and they've talked about this fact and now that you see
[1:21:41.000 --> 1:21:43.000]  Trump delivering on the mass
[1:21:43.000 --> 1:21:45.000]  arrest of pedophiles worldwide
[1:21:45.000 --> 1:21:47.000]  delivering on the return of our republic
[1:21:47.000 --> 1:21:49.000]  for Christian rights
[1:21:49.000 --> 1:21:51.000]  it is unprecedented
[1:21:51.000 --> 1:21:53.000]  you have the Pope who's not a real Catholic
[1:21:53.000 --> 1:21:55.000]  but a Jesuit globalist
[1:21:55.000 --> 1:21:57.000]  openly calling for the end of Christianity
[1:21:57.000 --> 1:21:59.000]  open borders to Islam
[1:21:59.000 --> 1:22:01.000]  not defending Christians being slaughtered
[1:22:01.000 --> 1:22:03.000]  all over Africa and the Middle East
[1:22:03.000 --> 1:22:05.000]  this is biblical times
[1:22:05.000 --> 1:22:07.000]  but John, he was here with his children
[1:22:07.000 --> 1:22:09.000]  I was here with my children
[1:22:09.000 --> 1:22:11.000]  we're here in the Middle Pacific Ocean
[1:22:11.000 --> 1:22:13.000]  in the newest land on the earth
[1:22:13.000 --> 1:22:15.000]  last touched by God here
[1:22:15.000 --> 1:22:17.000]  very charismatic, very passionate
[1:22:17.000 --> 1:22:19.000]  so I wanted him from another angle
[1:22:19.000 --> 1:22:21.000]  just to get into the current state we are
[1:22:21.000 --> 1:22:23.000]  how we're witnessing
[1:22:23.000 --> 1:22:25.000]  prophecy right now
[1:22:25.000 --> 1:22:27.000]  and what an amazing time this is
[1:22:27.000 --> 1:22:29.000]  and I hope he'll repeat the things he said
[1:22:29.000 --> 1:22:31.000]  in the last few hours to me
[1:22:31.000 --> 1:22:33.000]  but he's got the floor right now
[1:22:33.000 --> 1:22:35.000]  to lay this out to you
[1:22:35.000 --> 1:22:37.000]  thank you Alex
[1:22:37.000 --> 1:22:39.000]  thank you very much
[1:22:39.000 --> 1:22:41.000]  great to be here
[1:22:41.000 --> 1:22:43.000]  so basically what I was talking with Alex
[1:22:43.000 --> 1:22:45.000]  really the heart of the matter
[1:22:45.000 --> 1:22:47.000]  of what's really going on here
[1:22:47.000 --> 1:22:49.000]  why the whole establishment is against Donald Trump
[1:22:49.000 --> 1:22:51.000]  it's not because they don't like him
[1:22:51.000 --> 1:22:53.000]  and they don't like his personality
[1:22:53.000 --> 1:22:55.000]  they got a beef with him, no no no no
[1:22:55.000 --> 1:22:57.000]  because they understand what's really going on
[1:22:57.000 --> 1:22:59.000]  with Donald Trump
[1:22:59.000 --> 1:23:01.000]  you see, Donald Trump, according to this prophecy
[1:23:01.000 --> 1:23:03.000]  that came out back in 2011, look it up
[1:23:03.000 --> 1:23:05.000]  Mark Taylor, just look up Trump prophecies
[1:23:05.000 --> 1:23:07.000]  it's going to open up a whole world to what's really going on here
[1:23:07.000 --> 1:23:09.000]  so basically
[1:23:09.000 --> 1:23:11.000]  imagine if I came to you, Alex
[1:23:11.000 --> 1:23:13.000]  A in 2024, whatever the next election
[1:23:13.000 --> 1:23:15.000]  in a few years Eddie Murphy is going to run
[1:23:15.000 --> 1:23:17.000]  and win and be president
[1:23:17.000 --> 1:23:19.000]  that's out of left field, you'd be like what are you talking about
[1:23:19.000 --> 1:23:21.000]  it's the same thing as if somebody said
[1:23:21.000 --> 1:23:23.000]  Donald Trump is going to win
[1:23:23.000 --> 1:23:25.000]  and the purpose of it is, and if you look up the prophecy
[1:23:25.000 --> 1:23:27.000]  you'll see what it was
[1:23:27.000 --> 1:23:29.000]  you see, the New World Order, the Illuminati
[1:23:29.000 --> 1:23:31.000]  they've been wanting to make a one-world government
[1:23:31.000 --> 1:23:33.000]  the problem is that there's a big boy in the way
[1:23:33.000 --> 1:23:35.000]  it's called America and our Constitution
[1:23:35.000 --> 1:23:37.000]  which is protecting us
[1:23:37.000 --> 1:23:39.000]  so what you saw for the last several years
[1:23:39.000 --> 1:23:41.000]  is that they've all been on the same page, the agenda
[1:23:41.000 --> 1:23:43.000]  to bring America down to its knees
[1:23:43.000 --> 1:23:45.000]  to the level of the rest of the world
[1:23:45.000 --> 1:23:47.000]  in order for them to implement a one-world government
[1:23:47.000 --> 1:23:49.000]  you can't deal with a big boy in the neighborhood like America
[1:23:49.000 --> 1:23:51.000]  it's in the way, the West too
[1:23:51.000 --> 1:23:53.000]  the West has to fall, America has to fall
[1:23:53.000 --> 1:23:55.000]  for them to make a one-world government
[1:23:55.000 --> 1:23:57.000]  now, you know that God's a nationalist
[1:23:57.000 --> 1:23:59.000]  and Satan is a globalist
[1:23:59.000 --> 1:24:01.000]  and I can prove it to you right now
[1:24:01.000 --> 1:24:03.000]  it's the Tower of Babel story
[1:24:03.000 --> 1:24:05.000]  that was the first one-world government in the ancient world
[1:24:05.000 --> 1:24:07.000]  and they wanted to build a tower
[1:24:07.000 --> 1:24:09.000]  to smash the throne of God and de-thrown God
[1:24:09.000 --> 1:24:11.000]  idiots, whatever, Nimrods, fine
[1:24:11.000 --> 1:24:13.000]  but the point is, this world first one-world government
[1:24:13.000 --> 1:24:15.000]  what did God do to stop it?
[1:24:15.000 --> 1:24:17.000]  He smote them with the different languages
[1:24:17.000 --> 1:24:19.000]  instantly creating the different nations of the world
[1:24:19.000 --> 1:24:21.000]  he wants to separate it into different nations
[1:24:21.000 --> 1:24:23.000]  he's basically saying look
[1:24:23.000 --> 1:24:25.000]  we're going to have a one-world government
[1:24:25.000 --> 1:24:27.000]  in heaven, in my kingdom
[1:24:27.000 --> 1:24:29.000]  but while you're on earth and Satan's running around
[1:24:29.000 --> 1:24:31.000]  I want you to separate it into nations
[1:24:31.000 --> 1:24:33.000]  because when you get together with a one-world government
[1:24:33.000 --> 1:24:35.000]  you become arrogant and do stupid stuff
[1:24:35.000 --> 1:24:37.000]  what happened in the ancient world
[1:24:37.000 --> 1:24:39.000]  with the Tower of Babel under Nimrod
[1:24:39.000 --> 1:24:41.000]  and that's what's happening what they're trying to do now
[1:24:41.000 --> 1:24:43.000]  the New World Order, the Illuminati, whatever you want to call it
[1:24:43.000 --> 1:24:45.000]  they are Luciferians
[1:24:45.000 --> 1:24:47.000]  straight up and they want to make a one-world government
[1:24:47.000 --> 1:24:49.000]  in order for the Antichrist to take his seat
[1:24:49.000 --> 1:24:51.000]  see, they know the Bible better than you and me
[1:24:51.000 --> 1:24:53.000]  and they're trying to make things happen
[1:24:53.000 --> 1:24:55.000]  in order for the Antichrist to take his seat
[1:24:55.000 --> 1:24:57.000]  however God
[1:24:57.000 --> 1:24:59.000]  has made his move
[1:24:59.000 --> 1:25:01.000]  and what that is, is he brought in this guy
[1:25:01.000 --> 1:25:03.000]  out of left field, the last person we would have ever expected
[1:25:03.000 --> 1:25:05.000]  to be president
[1:25:05.000 --> 1:25:07.000]  Donald Trump and he prepared Donald Trump
[1:25:07.000 --> 1:25:09.000]  his entire life for this job
[1:25:09.000 --> 1:25:11.000]  the job of dismantling the Illuminati
[1:25:11.000 --> 1:25:13.000]  think about it, look at all that's been happening
[1:25:13.000 --> 1:25:15.000]  no man could go through what this man went through
[1:25:15.000 --> 1:25:17.000]  and is going through now with the entire world
[1:25:17.000 --> 1:25:19.000]  the entire establishment against him like this
[1:25:19.000 --> 1:25:21.000]  and with all the money and power
[1:25:21.000 --> 1:25:23.000]  and elitism trying to stop him
[1:25:23.000 --> 1:25:25.000]  this man should have been dead a long time ago
[1:25:25.000 --> 1:25:27.000]  and he certainly shouldn't be president
[1:25:27.000 --> 1:25:29.000]  the fact that he's president alone, we witnessed a miracle
[1:25:29.000 --> 1:25:31.000]  that's all
[1:25:31.000 --> 1:25:33.000]  it had to be a miracle for him to win
[1:25:33.000 --> 1:25:35.000]  I mean they were cheating in the elections
[1:25:35.000 --> 1:25:37.000]  everything was against him
[1:25:37.000 --> 1:25:39.000]  the entire media and everything and somehow he still wins
[1:25:39.000 --> 1:25:41.000]  that alone is a hint that it was an act of God
[1:25:41.000 --> 1:25:43.000]  Hillary's on camera
[1:25:43.000 --> 1:25:45.000]  they couldn't believe it
[1:25:45.000 --> 1:25:47.000]  nobody could believe it
[1:25:47.000 --> 1:25:49.000]  as you're speaking right now
[1:25:49.000 --> 1:25:51.000]  a rainbow has disappeared
[1:25:51.000 --> 1:25:53.000]  suddenly an act of God and in the last few seconds
[1:25:53.000 --> 1:25:55.000]  that's pretty cool
[1:25:55.000 --> 1:25:57.000]  because God's around, he's doing everything
[1:25:57.000 --> 1:25:59.000]  and he's in the trenches right now
[1:25:59.000 --> 1:26:01.000]  what's really going on is a lot of fun
[1:26:01.000 --> 1:26:03.000]  because you get to watch God
[1:26:03.000 --> 1:26:05.000]  dismantle the Illuminati
[1:26:05.000 --> 1:26:07.000]  before your eyes
[1:26:07.000 --> 1:26:09.000]  and he's using Donald Trump like a blunt force object
[1:26:09.000 --> 1:26:11.000]  Donald Trump is basically
[1:26:11.000 --> 1:26:13.000]  an agent for God
[1:26:13.000 --> 1:26:15.000]  it's not that it's Donald Trump doing everything
[1:26:15.000 --> 1:26:17.000]  it's God doing everything using Donald Trump
[1:26:17.000 --> 1:26:19.000]  even Newt Gingrich, I don't know if you guys saw this interview
[1:26:19.000 --> 1:26:21.000]  during the election they asked Newt Gingrich
[1:26:21.000 --> 1:26:23.000]  how come both sides are against Donald Trump
[1:26:23.000 --> 1:26:25.000]  including the Republicans
[1:26:25.000 --> 1:26:27.000]  I mean aren't the Republicans risking Hillary winning
[1:26:27.000 --> 1:26:29.000]  and in a moment
[1:26:29.000 --> 1:26:31.000]  where God seemed to have zapped
[1:26:31.000 --> 1:26:33.000]  Newt Gingrich
[1:26:33.000 --> 1:26:35.000]  tell the truth, he did
[1:26:35.000 --> 1:26:37.000]  look at his words, he said well that's because
[1:26:37.000 --> 1:26:39.000]  Donald Trump was never initiated
[1:26:39.000 --> 1:26:41.000]  he was never part of the club
[1:26:41.000 --> 1:26:43.000]  he was never part of the secret society
[1:26:43.000 --> 1:26:45.000]  he was never part of the Illuminati
[1:26:45.000 --> 1:26:47.000]  but then Newt Gingrich said
[1:26:47.000 --> 1:26:49.000]  however, he knows everything that
[1:26:49.000 --> 1:26:51.000]  goes on in the club
[1:26:51.000 --> 1:26:53.000]  and that's why everybody that's in the club is afraid
[1:26:53.000 --> 1:26:55.000]  you see the reason why they're against him
[1:26:55.000 --> 1:26:57.000]  is because they hate him
[1:26:57.000 --> 1:26:59.000]  they don't like his personality
[1:26:59.000 --> 1:27:01.000]  the fact that they call him orange or whatever
[1:27:01.000 --> 1:27:03.000]  all this stuff, that's nothing
[1:27:03.000 --> 1:27:05.000]  that's why
[1:27:05.000 --> 1:27:07.000]  this is a spiritual thing
[1:27:07.000 --> 1:27:09.000]  even the demons that these people are possessed with
[1:27:09.000 --> 1:27:11.000]  they can't stand it
[1:27:11.000 --> 1:27:13.000]  they understand exactly what's going on
[1:27:13.000 --> 1:27:15.000]  that Donald Trump was sent and anointed by God
[1:27:15.000 --> 1:27:17.000]  to dismantle the Illuminati
[1:27:17.000 --> 1:27:19.000]  now you might ask yourself why
[1:27:19.000 --> 1:27:21.000]  because a lot of people think that America is under judgment
[1:27:21.000 --> 1:27:23.000]  and that it deserves judgment
[1:27:23.000 --> 1:27:25.000]  all you see
[1:27:25.000 --> 1:27:27.000]  we have an example in the Bible of Sodom and Gomorrah
[1:27:27.000 --> 1:27:29.000]  which received judgment and was destroyed
[1:27:29.000 --> 1:27:31.000]  but there's another city in our nation
[1:27:31.000 --> 1:27:33.000]  in the Bible that we should concern ourselves
[1:27:33.000 --> 1:27:35.000]  or think about
[1:27:35.000 --> 1:27:37.000]  Nineveh, remember the story of Jonah in the whale
[1:27:37.000 --> 1:27:39.000]  and Jonah went and told the people of Nineveh
[1:27:39.000 --> 1:27:41.000]  and they actually repented
[1:27:41.000 --> 1:27:43.000]  America is Nineveh
[1:27:43.000 --> 1:27:45.000]  not Sodom and Gomorrah
[1:27:45.000 --> 1:27:47.000]  and America is anointed by God
[1:27:47.000 --> 1:27:49.000]  think about it, it was created in the last
[1:27:49.000 --> 1:27:51.000]  in the recent times of our timeline
[1:27:51.000 --> 1:27:53.000]  and it was built up in the neighborhood
[1:27:53.000 --> 1:27:55.000]  I mean it's only 200 years old
[1:27:55.000 --> 1:27:57.000]  it's like God preserved it for the end
[1:27:57.000 --> 1:27:59.000]  and it's used and it's the only country in the history
[1:27:59.000 --> 1:28:01.000]  of existence created
[1:28:01.000 --> 1:28:03.000]  in the name of the Judeo-Christian Bible
[1:28:03.000 --> 1:28:05.000]  the forefathers
[1:28:05.000 --> 1:28:07.000]  our forefathers of this great country
[1:28:07.000 --> 1:28:09.000]  they mentioned in their memoirs
[1:28:09.000 --> 1:28:11.000]  look it up, when they were writing the constitution
[1:28:11.000 --> 1:28:13.000]  they had an open Bible there and they got every idea
[1:28:13.000 --> 1:28:15.000]  for the constitution straight out of the Bible
[1:28:15.000 --> 1:28:17.000]  inalienable rights, what's that?
[1:28:17.000 --> 1:28:19.000]  it was a radical idea at the time
[1:28:19.000 --> 1:28:21.000]  that was given to you directly from God
[1:28:21.000 --> 1:28:23.000]  and only God could take away those rights
[1:28:23.000 --> 1:28:25.000]  before that your rights was given to you by
[1:28:25.000 --> 1:28:27.000]  the government or the king
[1:28:27.000 --> 1:28:29.000]  but no, not in America
[1:28:29.000 --> 1:28:31.000]  in America your rights are given to you by God
[1:28:31.000 --> 1:28:33.000]  whether you believe in God or not
[1:28:33.000 --> 1:28:35.000]  that's the case
[1:28:35.000 --> 1:28:37.000]  however
[1:28:37.000 --> 1:28:39.000]  the enemy's been attacking
[1:28:39.000 --> 1:28:41.000]  you see, there's people in this world
[1:28:41.000 --> 1:28:43.000]  that are jealous of America, that hate America
[1:28:43.000 --> 1:28:45.000]  that don't want America to be America
[1:28:45.000 --> 1:28:47.000]  but they could never come at his head strong
[1:28:47.000 --> 1:28:49.000]  in this economy in the world
[1:28:49.000 --> 1:28:51.000]  they could never come at his in conventional terms
[1:28:51.000 --> 1:28:53.000]  and attack his head on in a battle or in a war
[1:28:53.000 --> 1:29:19.000]  no, no, no, no, no
[1:29:19.000 --> 1:29:45.000]  no, no, no
[1:29:45.000 --> 1:29:59.240]  No, no,
[1:29:59.240 --> 1:30:08.920]  no, no, no,
[1:30:08.920 --> 1:30:14.200]  It is you, the Info Warriors, across the planet that stood against the bullying, that stood
[1:30:14.200 --> 1:30:18.080]  against the peer pressure, that stood against the threats that have now changed the world.
[1:30:18.080 --> 1:30:22.960]  And that's why you've been on the team supporting us, praying for us, and spreading the word.
[1:30:22.960 --> 1:30:23.960]  You are the Info War.
[1:30:23.960 --> 1:30:29.040]  And now because of their intensifying censorship, it's more important than ever that everyone
[1:30:29.040 --> 1:30:34.120]  go to infowars.com forward slash newsletter and sign up via email so there's no way the
[1:30:34.120 --> 1:30:39.960]  censors can get between us with critical videos, articles, breaking news, intel, you name it.
[1:30:39.960 --> 1:30:45.520]  And so now I ask you more than ever to share the infowars.com articles, to share the videos,
[1:30:45.520 --> 1:30:48.760]  to tell people about the local stations you're listening to, but the bare minimum you can
[1:30:48.760 --> 1:30:55.000]  do is sign up for the free newsletter at infowars.com forward slash newsletter.
[1:30:55.000 --> 1:30:58.160]  We are the Renaissance and we are winning.
[1:30:58.160 --> 1:31:02.520]  We've taken thousands of years of known research and put it together with our own four years
[1:31:02.520 --> 1:31:07.280]  of seeking and testing to find the very best systems that God gave us through Mother Nature
[1:31:07.280 --> 1:31:08.800]  to detoxify the body.
[1:31:08.800 --> 1:31:13.680]  That's why I'm introducing Z Shield, Toxic Metal and Chemical Defense Support.
[1:31:13.680 --> 1:31:15.200]  It's made in the USA.
[1:31:15.200 --> 1:31:20.120]  It's filled with known compounds from nature that are absolutely associated with detoxifying
[1:31:20.120 --> 1:31:21.960]  the body and it supports the Info War.
[1:31:21.960 --> 1:31:24.200]  It is a classical 360 win.
[1:31:24.200 --> 1:31:27.760]  This is the formula that I personally have been taking for over a year.
[1:31:27.760 --> 1:31:32.640]  And now we believe we have come as close to perfection when it comes to a detoxifier as
[1:31:32.640 --> 1:31:33.640]  you can possibly get.
[1:31:33.640 --> 1:31:37.560]  You owe it to yourself, you owe it to your family, and you owe it to the future of this
[1:31:37.560 --> 1:31:42.600]  country and the world that Patriots stay as healthy and as clean and as focused as you
[1:31:42.600 --> 1:31:47.840]  can be because we need you, the remnant of America, to reignite those brush fires the
[1:31:47.840 --> 1:31:50.520]  next level and to be healthy and as focused as you can be.
[1:31:50.520 --> 1:31:53.840]  Thanks to your support and your prayers together, we're changing the world.
[1:31:53.840 --> 1:32:00.840]  Now it's time to change our bodies with Z Shield and InfoWarsLife.com.
[1:32:23.840 --> 1:32:49.520]  It's time to take care of your morning routine.
[1:32:49.520 --> 1:33:15.520]  Get a bag of Patriot Blend coffee to support the show while enhancing your morning routine
[1:33:15.520 --> 1:33:22.520]  with Z Shield and InfoWarsLife.com.
[1:33:22.520 --> 1:33:48.520]  Thanks to your support and your prayers together, we're changing the world.
[1:33:48.520 --> 1:33:55.520]  Thanks to your support and your prayers together, we're changing the world.
[1:34:18.520 --> 1:34:44.520]  Thanks to your support and your prayers together, we're changing the world.
[1:34:44.520 --> 1:34:51.520]  Thanks to your support and your prayers together, we're changing the world.
[1:35:14.520 --> 1:35:36.520]  Thanks to your support and your prayers together, we're changing the world.
[1:35:36.520 --> 1:36:03.520]  Thanks to your support and your prayers together, we're changing the world.
[1:36:03.520 --> 1:36:28.520]  Thanks to your support and your prayers together, we're changing the world.
[1:36:28.520 --> 1:36:32.520]  Thanks to your support and your prayers together, we're changing the world.
[1:36:32.520 --> 1:36:52.520]  Thanks to your support and your prayers together, we're changing the world.
[1:36:52.520 --> 1:37:01.520]  Thanks to your support and your prayers together, we're changing the world.
[1:37:01.520 --> 1:37:27.520]  Thanks to your support and your prayers together, we're changing the world.
[1:37:27.520 --> 1:37:53.520]  Thanks to your support and your prayers together, we're changing the world.
[1:37:53.520 --> 1:38:20.520]  Thanks to your support and your prayers together, we're changing the world.
[1:38:20.520 --> 1:38:44.520]  Thanks to your support and your prayers together, we're changing the world.
[1:38:44.520 --> 1:39:11.520]  Thanks to your support and your prayers together, we're changing the world.
