[00:00.000 --> 00:26.000]  Now I know parents out there anxiously waiting for a vaccine for children ages 5 to 11.
[3:04:15.920 --> 3:04:20.480]  thing to come out of this is that basically I'm back in court in December
[3:04:20.480 --> 3:04:27.040]  as related so everything is still standing pat as it was previously and I am
[3:04:27.040 --> 3:04:31.480]  due back in court in December and we may have another update for you then of
[3:04:31.480 --> 3:04:35.600]  course this means that the other cases I'm involved with are pending on the
[3:04:35.600 --> 3:04:41.400]  results of this case so it's just all being delayed right now but that's just
[3:04:41.400 --> 3:04:44.680]  an update on that again can't thank everybody enough for the prayers the
[3:04:44.680 --> 3:04:47.520]  words of encouragement and all the support that I've been getting in this
[3:04:47.520 --> 3:04:52.880]  process so Mike Adams now takes over with breaking news and Alex Jones is
[3:04:52.880 --> 3:04:55.880]  coming in studio to follow some exclusive reports that'll be on band-aid
[3:04:55.880 --> 3:05:01.080]  video tonight and in addition we were really finding that we were stressing
[3:05:01.080 --> 3:05:05.040]  the cardiopulmonary systems of these employees because when you cover the
[3:05:05.040 --> 3:05:09.560]  mouth and nose and you exert physical energy
[3:05:16.200 --> 3:05:21.800]  and forcibly exhale that taxes the heart it taxes the lungs and we have given
[3:05:21.800 --> 3:05:26.400]  people heart attacks by allowing them to work with their mouth and nose covered
[3:05:26.400 --> 3:05:32.640]  with absolutely no regulation no oversight no medical oversight the
[3:05:32.640 --> 3:05:36.040]  globalists have told us we're a disease they've told us they want to eradicate
[3:05:36.040 --> 3:05:39.640]  us and all the studies show that when you wear these masks it lowers your
[3:05:39.640 --> 3:05:44.800]  oxygen level up to one-third and gives you dangerous levels of carbon dioxide
[3:05:44.800 --> 3:05:49.120]  poisoning this is a sick cult and we've got to say no but the only way the real
[3:05:49.120 --> 3:05:54.100]  science is out of the public is if we tell them get your copy today of coven
[3:05:54.100 --> 3:05:59.120]  land and expose them it's coven land dot com go there now
[3:06:07.120 --> 3:06:12.200]  all right welcome folks to the fourth hour of the infowars broadcast for today
[3:06:12.200 --> 3:06:16.320]  October 15th Friday I'm Mike Adams filling in today for the rest of the hour
[3:06:16.320 --> 3:06:20.280]  I've got two great guests coming up first for the first half of this hour
[3:06:20.280 --> 3:06:25.480]  we've got a guest who's blowing the whistle on the COVID relief fund money
[3:06:25.480 --> 3:06:29.520]  and how it's being distributed to states cities and counties across America and
[3:06:29.520 --> 3:06:34.320]  it comes with strings attached everybody who receives the money or who even uses
[3:06:34.320 --> 3:06:39.200]  that money to fund contractors or subcontractors is beholden to Biden's
[3:06:39.200 --> 3:06:45.520]  illegal executive orders including vaccine mandates you guessed it so we
[3:06:45.520 --> 3:06:48.240]  got a guest coming on it's going to detail that break it down and right now
[3:06:48.240 --> 3:06:52.920]  in the state of Texas the Senate and the House are moving forward the bill to
[3:06:52.920 --> 3:06:58.200]  distribute over 16 billion dollars in funds that comes with those strings
[3:06:58.200 --> 3:07:04.840]  attached so this is kind of a medical fascism almost an economic communism it's
[3:07:04.840 --> 3:07:08.720]  an infestation of the Texas economy and this is happening all across the
[3:07:08.720 --> 3:07:14.080]  country with COVID relief money that's actually a vaccine mandate but there's
[3:07:14.080 --> 3:07:18.040]  even more to that story that I'll reveal shortly the second guest coming up at
[3:07:18.040 --> 3:07:22.200]  the bottom half of this hour for the second half of the hour is Dr. Brian
[3:07:22.200 --> 3:07:26.960]  artists who's been a guest here on Info Wars previously and he has
[3:07:26.960 --> 3:07:31.000]  information warning us about the effects of these vaccines as well as
[3:07:31.000 --> 3:07:35.880]  remdesivir what's really happening in the hospitals and where we are headed
[3:07:35.880 --> 3:07:40.160]  when all of these nurses and doctors who refuse to be injected with a spike
[3:07:40.160 --> 3:07:48.960]  protein end up being destroyed harmed or even in some cases killed I'm sorry
[3:07:48.960 --> 3:07:51.880]  the ones that stay and take the vaccine end up getting killed the ones that
[3:07:51.880 --> 3:07:56.880]  leave are the ones who have natural immunity and of course are living
[3:07:56.880 --> 3:08:04.800]  safely now we're going to bring in now our first guest here and let's bring in
[3:08:04.800 --> 3:08:09.920]  Sheila Hemphill from Texas right to know calm let's just do a check on that
[3:08:09.920 --> 3:08:16.280]  Sheila are you with us here today yes hello my hello Sheila it's great to see
[3:08:16.280 --> 3:08:19.680]  you and I want to thank you for the work that you're doing you are on the scene
[3:08:19.680 --> 3:08:24.320]  at the Texas Capitol following the legislature and their decisions what's
[3:08:24.320 --> 3:08:28.640]  happening give us a brief overview I just gave a little hint of it right there
[3:08:28.640 --> 3:08:31.920]  but tell us what's happening right now in Texas and for those of you listening
[3:08:31.920 --> 3:08:35.640]  outside of Texas understand that this is happening across the country so go ahead
[3:08:35.640 --> 3:08:43.720]  Sheila yes thank you Mike I think everyone's been watching what the
[3:08:43.720 --> 3:08:47.400]  Congress has been doing and they pass what is referred to as the American
[3:08:47.400 --> 3:08:52.520]  Rescue Act of 2021 this is a document that allocated what are known as
[3:08:52.520 --> 3:08:59.640]  Corona virus state fiscal recovery funds in Texas we are allocated 16.3
[3:08:59.640 --> 3:09:06.760]  billion dollars so the monies are distributed through state appropriation
[3:09:06.760 --> 3:09:13.800]  bills currently SB 8 authored by Jane Nelson has already made it through the
[3:09:13.800 --> 3:09:19.760]  Senate it has made it through the House committees and is on the calendars to go
[3:09:19.760 --> 3:09:24.240]  before a vote before the House of Representatives here in Texas once that
[3:09:24.240 --> 3:09:29.360]  happens the next step would be for the Senate Speaker of the House to sign off
[3:09:29.360 --> 3:09:32.560]  on it the lieutenant governor to sign off on it and then it goes on to the
[3:09:32.560 --> 3:09:38.520]  governor's office what happens what happens when this money gets
[3:09:38.520 --> 3:09:41.640]  distributed to the cities and counties and schools and so on tell us about the
[3:09:41.640 --> 3:09:46.080]  requirements that come with that our audience is maybe not that interested in
[3:09:46.080 --> 3:09:49.080]  the process of what's happening there because this is going to become law it
[3:09:49.080 --> 3:09:55.280]  seems what happens after after this is signed and the money's distributed the
[3:09:55.280 --> 3:10:01.160]  individuals the recipients are going to be asked to sign a contract with the
[3:10:01.160 --> 3:10:05.960]  US Department of Treasury awards terms and conditions and in these terms can
[3:10:05.960 --> 3:10:11.000]  conditions on page three section nine is compliance of applicable law and
[3:10:11.000 --> 3:10:16.520]  regulations the major concerning statements are that recipients also
[3:10:16.520 --> 3:10:21.560]  agrees to comply with all other applicable federal statutes regulations
[3:10:21.560 --> 3:10:27.360]  and executive orders and recipient shall provide for such compliance by other
[3:10:27.360 --> 3:10:32.800]  parties in any agreements it in enters into with other parties relating to this
[3:10:32.800 --> 3:10:38.280]  award so this binds every recipient to the executive orders that describe
[3:10:38.280 --> 3:10:46.400]  vaccine mandates well this this contract was given to me from a city
[3:10:46.400 --> 3:10:51.840]  council when I spoke to my county treasurer she said the funds just showed
[3:10:51.840 --> 3:10:55.440]  up in their bank account they didn't ask for them and they're just receiving
[3:10:55.440 --> 3:11:01.640]  money people can go to the Texas Department of Emergency Management PDE
[3:11:01.640 --> 3:11:07.320]  Elma dot Texas dot gov and if you click on the American recovery plan you can
[3:11:07.320 --> 3:11:13.560]  see the allocations that are slated by counties and by also municipalities so
[3:11:13.560 --> 3:11:17.160]  this is what these appropriation bills are doing right now there's two other
[3:11:17.160 --> 3:11:21.040]  ones that are in the house that will still need to go through the Senate to be
[3:11:21.040 --> 3:11:27.760]  able to come into law all right so it's this hasn't been legally challenged yet
[3:11:27.760 --> 3:11:32.240]  but it comes with the presumption that they must comply with all of these
[3:11:32.240 --> 3:11:37.160]  executive orders now the this grant money is also enforced by federal auditors
[3:11:37.160 --> 3:11:43.960]  correct that's correct it's not uncommon at all for federal money to have federal
[3:11:43.960 --> 3:11:51.080]  strings but as the your guest you had on your whistleblower with 24 years of
[3:11:51.080 --> 3:11:57.400]  experience when asked if he had seen executive orders as a term of compliance
[3:11:57.400 --> 3:12:03.320]  he said no all right so so adding executive orders to to the strings of
[3:12:03.320 --> 3:12:07.760]  this grant money that's a new thing that that he has not seen and and by the way
[3:12:07.760 --> 3:12:10.480]  for those watching what Sheila is referring to is an interview I did with
[3:12:10.480 --> 3:12:16.240]  a whistleblower who is 24 years of experience in federal grant money and
[3:12:16.240 --> 3:12:20.040]  grant money compliance but there's something else Sheila that's very
[3:12:20.040 --> 3:12:23.200]  concerning about all of this that came out of that interview which is that this
[3:12:23.200 --> 3:12:27.680]  federal grant money can be used by local municipalities to set up their own
[3:12:27.680 --> 3:12:33.880]  service organizations that bankrupt local private sector businesses so for
[3:12:33.880 --> 3:12:38.280]  for example they could set up a telecom service provider an ISP they could set
[3:12:38.280 --> 3:12:42.320]  up an ambulance service they could set up you know an emergency room and then
[3:12:42.320 --> 3:12:45.960]  drive out the private sector businesses that might still hire unvaccinated
[3:12:45.960 --> 3:12:50.040]  people so this is a government communist style takeover of local economies
[3:12:50.040 --> 3:12:56.240]  under the guise of COVID relief funds does that sound accurate Mike I have to
[3:12:56.240 --> 3:13:00.440]  admit you brought up some things in that interview that I hadn't even really
[3:13:00.440 --> 3:13:05.480]  thought of and it was incredibly sobering to hear your oration of where we
[3:13:05.480 --> 3:13:11.480]  are and where we're headed which I know to a lot of individuals is going to be
[3:13:11.480 --> 3:13:15.520]  very difficult to believe but when you're able to talk to people who are in
[3:13:15.520 --> 3:13:20.360]  the field who are seeing the money come through here and thank God we got a hold
[3:13:20.360 --> 3:13:28.560]  of this contract just now I'm asking the offices up here to investigate and in
[3:13:28.560 --> 3:13:34.200]  fact today I have a bit of a video on my website Texas right to know calm
[3:13:34.200 --> 3:13:41.080]  standing in front of the west wing of the Capitol where the House Republicans
[3:13:41.080 --> 3:13:47.240]  were in caucus asking them to please pause and research what's happening here
[3:13:47.240 --> 3:13:52.240]  the session ends on Tuesday so everything is an incredible warp speed of
[3:13:52.240 --> 3:13:58.160]  what's happening right now and we can't well what I'm sorry to interrupt but what
[3:13:58.160 --> 3:14:03.480]  what are what is Texas supposed to do or any other state that because there's so
[3:14:03.480 --> 3:14:07.160]  much money printing in in Washington they're destroying the value of the
[3:14:07.160 --> 3:14:12.400]  dollar people see price inflation in food in fuel in used cars everything so
[3:14:12.400 --> 3:14:16.760]  every city every county every school every state desperately needs this money
[3:14:16.760 --> 3:14:20.720]  and the money comes with strings attached what are they supposed to do say
[3:14:20.720 --> 3:14:25.280]  no to 16 billion dollars for the state of Texas who's gonna say no at this
[3:14:25.280 --> 3:14:33.320]  point when the dollars is nose diving everyone should be saying no until we
[3:14:33.320 --> 3:14:38.520]  get it right and what is getting it right look like that means the governor of
[3:14:38.520 --> 3:14:43.640]  the state of Texas our Attorney General our congressman to go to the U.S.
[3:14:43.640 --> 3:14:49.160]  Department of Treasury and remove those words of compliance with executive
[3:14:49.160 --> 3:14:57.200]  orders it's not uncommon to have to comply with statutes and regulations but
[3:14:57.200 --> 3:15:01.760]  those are fixed and known attributes that you can investigate and you can say
[3:15:01.760 --> 3:15:08.040]  yeah we can comply with that and executive order is moving okay so then
[3:15:08.040 --> 3:15:11.520]  the other thing is that governor Abbott on October 11th signed his executive
[3:15:11.520 --> 3:15:16.520]  order outlawing or banning a vaccine mandates even by private organizations
[3:15:16.520 --> 3:15:20.120]  and public organizations across the state of Texas so now we end up with this
[3:15:20.120 --> 3:15:23.680]  conflict where the governor of Texas says you can't have a vaccine mandate
[3:15:23.680 --> 3:15:28.240]  but federal money from the Biden regime says you must require vaccine mandates
[3:15:28.240 --> 3:15:31.920]  now well Sheila hold on with us we're about to go to break here in just a few
[3:15:31.920 --> 3:15:35.520]  seconds we're gonna be right back with you after that break to explore that
[3:15:35.520 --> 3:15:40.720]  issue a Texas business who are they supposed to follow the governor of Texas
[3:15:40.720 --> 3:15:47.160]  or Joe Biden or maybe follow the rules of God and just respect humanity how
[3:15:47.160 --> 3:15:50.160]  about that maybe we don't need governors and presidents to tell us to be human
[3:15:50.160 --> 3:15:55.200]  beings we'll be right back after this break stay with us here on Info Wars
[3:15:56.440 --> 3:16:00.480]  what if you could cut your heating bills this winter with your existing
[3:16:00.480 --> 3:16:04.600]  wood-burning fireplace and not spend thousands doing it you can with great
[3:16:04.600 --> 3:16:08.760]  wall of fire fireplace grates our U.S. patented made in America wall of fire
[3:16:08.760 --> 3:16:12.920]  grates increase fireplace efficiency eliminate fireplace smoke problems and
[3:16:12.920 --> 3:16:16.920]  come with a 30-day money back guarantee see our greats in action and get free
[3:16:16.920 --> 3:16:23.480]  shipping from wall of fire dot com or call 800-274-7364 fireplace heat without
[3:16:23.480 --> 3:16:29.880]  fireplace smoke wall of fire dot com hey everybody confused about staying healthy
[3:16:29.880 --> 3:16:34.480]  in a crazy COVID culture me too but listen after all the research all the
[3:16:34.480 --> 3:16:38.000]  conflicting studies after all the squabbling there's one thing almost
[3:16:38.000 --> 3:16:42.120]  everyone agrees on it's that immune system health can literally be the
[3:16:42.120 --> 3:16:45.800]  difference between life and death you probably already believe that I
[3:16:45.800 --> 3:16:49.480]  certainly do so here's the thing I wanted to get past the craziness and
[3:16:49.480 --> 3:16:53.840]  find out which plant-based substances actually have studies that demonstrate
[3:16:53.840 --> 3:16:58.680]  some efficacy in immune support now you'll have to sign a waiver but you can
[3:16:58.680 --> 3:17:02.640]  check out what I've discovered at stronger defense dot com no cures or
[3:17:02.640 --> 3:17:07.440]  treatments there instead little known but shocking immune system research and a
[3:17:07.440 --> 3:17:12.200]  breakthrough immune support product based on that research called immune 10x
[3:17:12.200 --> 3:17:15.960]  in the best part you can go to the stronger defense website right now and
[3:17:15.960 --> 3:17:20.640]  claim your own supply of immune 10x without paying anything today crazy
[3:17:20.640 --> 3:17:24.360]  right learn more about this unusual limited time offer at stronger defense
[3:17:24.360 --> 3:17:29.600]  dot com that's stronger defense dot com hi I'm Dan Pilla I started fighting the
[3:17:29.600 --> 3:17:33.480]  IRS over 40 years ago when they tried to seize my mother's house I sued the IRS
[3:17:33.480 --> 3:17:37.720]  in one I beat the IRS then and I've been beating them ever since I wrote the book
[3:17:37.720 --> 3:17:41.040]  on tax debt settlement and I've helped thousands of people deal with tax problems
[3:17:41.040 --> 3:17:45.080]  they thought might never be solved I can help you to if you owe taxes you can't
[3:17:45.080 --> 3:17:49.280]  pay don't wait another day there's no such thing as a hopeless tax case call
[3:17:49.280 --> 3:17:55.440]  834 no tax or go to my website Dan Pilla dot com that's Dan Pilla dot com Dan
[3:17:55.440 --> 3:18:03.040]  Pilla dot com I want to be very clear the fact that info wars is having trouble
[3:18:03.040 --> 3:18:07.560]  funding itself is not the fault of our amazing listeners and supporters it is
[3:18:07.560 --> 3:18:11.680]  the fault of the globalist when we can get enough of our great supplements of
[3:18:11.680 --> 3:18:14.880]  the products in we're able to sell enough of it to stay on air and quite
[3:18:14.880 --> 3:18:18.960]  frankly even expand in the face of the new world war but because of the supply
[3:18:18.960 --> 3:18:22.680]  chain breakdowns that were very easy to predict for the global lockdowns are
[3:18:22.680 --> 3:18:26.160]  designed to do that we have had real problems getting our best selling
[3:18:26.160 --> 3:18:29.920]  products in some of them take up to 10 months to get in we've had to just
[3:18:29.920 --> 3:18:34.080]  continue some of our products because we just can't get the ingredients anymore
[3:18:34.080 --> 3:18:38.760]  it's pretty scary stuff so please take advantage of sales we're running for one
[3:18:38.760 --> 3:18:43.440]  week only there's only one week left from October 11th for seven days kicks off
[3:18:43.440 --> 3:18:48.480]  October 11th on things like DNA force plus at 40% off winter sun at 50% off
[3:18:48.480 --> 3:18:54.920]  ultra 12 at 50% off and more at infowarstore.com one week left check out
[3:18:54.920 --> 3:19:00.280]  these incredible deals the average person on the face of this incredible
[3:19:00.280 --> 3:19:05.160]  planet is still unaware there's a war between free individuals and nation
[3:19:05.160 --> 3:19:09.520]  states on one side and the globalist on the other who are literally trying to
[3:19:09.520 --> 3:19:13.800]  create a post human world from the United States of Brazil and of course
[3:19:13.800 --> 3:19:17.600]  triggered by the Brexit the UK nations were pulling out of the private
[3:19:17.600 --> 3:19:22.520]  corporate fascist world that's why they launched their great recess and their
[3:19:22.520 --> 3:19:28.320]  program after collapsing us of build back better this is nothing more than a
[3:19:28.320 --> 3:19:33.800]  top-down vertical consolidation of the world economy because they couldn't take
[3:19:33.800 --> 3:19:38.400]  our guns because we wouldn't bow because the left which is the ideology of this
[3:19:38.400 --> 3:19:44.000]  world government system could win they released a biological weapon on us now
[3:19:44.000 --> 3:19:48.760]  we know two years ago you learned about it about 20 months ago it's that simple
[3:19:48.760 --> 3:19:52.400]  they can't beat us because of our free speech and our guns so the global
[3:19:52.400 --> 3:19:56.560]  corporate combine released COVID-19 and you know the rest is history expose this
[3:19:56.560 --> 3:19:59.480]  paradigm and we win
[3:19:59.480 --> 3:20:19.680]  you're listening to the Alex Jones show all right welcome back to the Alex
[3:20:19.680 --> 3:20:22.960]  Jones show fourth hour today and Mike Adams filling in for the rest of the
[3:20:22.960 --> 3:20:28.000]  hour we're currently talking with Sheila Hemphill of Texas right to know dot
[3:20:28.000 --> 3:20:34.320]  com and Sheila is on at the Austin Capitol every day it seems and she's on
[3:20:34.320 --> 3:20:38.200]  top of this developing news we're covering the fact that these federal
[3:20:38.200 --> 3:20:42.440]  COVID relief funds that are being distributed to states and Texas it's
[3:20:42.440 --> 3:20:47.920]  16 billion plus and this money then trickles down to the cities and local
[3:20:47.920 --> 3:20:51.840]  municipalities counties some schools and even some private businesses in these
[3:20:51.840 --> 3:20:55.640]  states that this money comes with strings attached that requires compliance
[3:20:55.640 --> 3:21:01.600]  with federal executive orders which are as we know unconstitutional and unlawful
[3:21:01.600 --> 3:21:06.320]  orders rooted in quack science when it comes to vaccine mandates so Sheila I
[3:21:06.320 --> 3:21:10.000]  want to thank you for taking the time to join us and I know you scrambled to get
[3:21:10.000 --> 3:21:13.560]  with us here today because this is breaking this is real time breaking news
[3:21:13.560 --> 3:21:18.360]  so quick question now this has already passed through the Senate committee in
[3:21:18.360 --> 3:21:23.000]  Texas correct and it's it's being discussed in the house
[3:21:23.000 --> 3:21:29.480]  appropriation bills SB 8 is already through the Senate and it's on the floor
[3:21:29.480 --> 3:21:36.120]  today and will probably come out and be ready for signature to be turned into
[3:21:36.120 --> 3:21:43.760]  law HB 160 and 161 are two house bills that will then need to go to the Senate
[3:21:43.760 --> 3:21:47.960]  and so they will have a hearing so I want your audience to stay tuned because
[3:21:47.960 --> 3:21:53.720]  of all quote rallies or things that people have ever attended when these
[3:21:53.720 --> 3:21:58.560]  hearings take place we need to call out and we need people so that they
[3:21:58.560 --> 3:22:07.160]  understand they must have an answer for us that the recipients of these funds
[3:22:07.160 --> 3:22:16.200]  will not be in jeopardy by having to comply with presidential executive
[3:22:16.200 --> 3:22:21.480]  orders and speak with the legislators on a daily basis are are the legislators
[3:22:21.480 --> 3:22:26.720]  aware of this kind of gotcha the executive orders in the compliance that
[3:22:26.720 --> 3:22:30.400]  comes with this federal money do they have any knowledge that this is in in
[3:22:30.400 --> 3:22:36.520]  place well to their defense none of us knew about it until last Tuesday so this
[3:22:36.520 --> 3:22:43.840]  is what we're 14 enemies nine days into this to their defense because the
[3:22:43.840 --> 3:22:49.400]  problem is not in the law but it's in the contracts in the contracts and we
[3:22:49.400 --> 3:22:52.960]  know that it's in the contracts for cities we're not sure what's going on
[3:22:52.960 --> 3:22:57.880]  with counties so I really need your audience if you have knowledge please
[3:22:57.880 --> 3:23:04.760]  email info at TexasRiteToKnow.com and put in the subject line COVID city
[3:23:04.760 --> 3:23:09.960]  contract or COVID county contract or COVID school contract we need to see
[3:23:09.960 --> 3:23:16.120]  what these contracts are these are the documents that were delivered to
[3:23:16.120 --> 3:23:20.400]  every one of the office's and just did a call out and had some amazing people
[3:23:20.400 --> 3:23:24.480]  just show up and do whatever they could so this is a you can do you don't get
[3:23:24.480 --> 3:23:28.400]  more grassroots than this when all we have to
[3:23:28.400 --> 3:23:34.000]  sorry Sheila exactly folks go to TexasRiteToKnow.com get more information
[3:23:34.000 --> 3:23:37.640]  there and help make your local legislators aware of this but I want to
[3:23:37.640 --> 3:23:44.280]  mention this is a way for Biden and his handlers to bypass the 100 employee
[3:23:44.280 --> 3:23:49.760]  threshold for requiring vaccine mandates because let's say you work locally
[3:23:49.760 --> 3:23:54.480]  at a local construction company you're an employee of say a drywall company
[3:23:54.480 --> 3:23:59.840]  that drywall company gets a contract from a county to go do drywall in a
[3:23:59.840 --> 3:24:03.760]  county building but it turns out that that contract is paid for by this
[3:24:03.760 --> 3:24:08.040]  federal money that came through these COVID relief funds that mandates you
[3:24:08.040 --> 3:24:12.640]  and all of your co-workers and your company and your subcontractors to take
[3:24:12.640 --> 3:24:16.600]  the vaccine even if you have fewer than 100 employees that's what's
[3:24:16.600 --> 3:24:22.720]  astonishing about this Sheila it's a workaround by the Biden. At this point all
[3:24:22.720 --> 3:24:27.080]  that's so fresh it's very difficult to have gotten accurate information but I'm
[3:24:27.080 --> 3:24:31.720]  saying I want to hear from the US Department of Treasury I want to hear
[3:24:31.720 --> 3:24:36.360]  how they deem the recipients who signed these contracts by virtue of
[3:24:36.360 --> 3:24:42.360]  signing the contract are you deemed a federal contractor? I think the answer
[3:24:42.360 --> 3:24:46.480]  is very clearly yes obviously the Biden regime is going to assume that in their
[3:24:46.480 --> 3:24:49.880]  favor so they can push vaccine mandates but I'm glad you mentioned we do need
[3:24:49.880 --> 3:24:53.480]  additional clarifications and the lawmakers in Texas and other states
[3:24:53.480 --> 3:24:57.400]  need to absolutely get answers on this and clarify it before voting on it but
[3:24:57.400 --> 3:25:01.120]  let me ask you about something else this is starting to feel like a universal
[3:25:01.120 --> 3:25:07.120]  basic income to counties and cities and states where all of all of these
[3:25:07.120 --> 3:25:10.920]  municipalities across America are going to be dependent on endless COVID
[3:25:10.920 --> 3:25:16.120]  stimulus bailout money a money printing machine from Washington from the swamp
[3:25:16.120 --> 3:25:21.360]  in order to stay afloat and then doesn't that mean their loyalty shift to
[3:25:21.360 --> 3:25:25.000]  Washington DC instead of the loyalties being local where they belong they're
[3:25:25.000 --> 3:25:28.600]  not getting the revenues locally they're getting them from Washington. We're
[3:25:28.600 --> 3:25:33.560]  already seeing that situation with hospitals that are tied to a CDC and
[3:25:33.560 --> 3:25:41.440]  NIH and medicines because they receive Medicare funds we are already hearing
[3:25:41.440 --> 3:25:46.240]  from employees who are still having to be vaccinated even with the governor's
[3:25:46.240 --> 3:25:52.680]  explicit executive order so the moral the story is we need to get action from
[3:25:52.680 --> 3:25:57.960]  your audience visit TexasRiteToKnow.com and there's a button to take action how
[3:25:57.960 --> 3:26:03.440]  to find your legislator and though this is only happening in Texas I want your
[3:26:03.440 --> 3:26:08.040]  audience to understand it's not just Texas but you have to address your
[3:26:08.040 --> 3:26:14.640]  politicians at a local level we need to be asking right now for the governor to
[3:26:14.640 --> 3:26:22.040]  not proceed with these appropriation funds until we have confirmation from our
[3:26:22.040 --> 3:26:28.560]  congressional representatives our Senator Cruz Senator Cornyn give us these
[3:26:28.560 --> 3:26:33.760]  answers from the US Department of Treasury we must have protection for
[3:26:33.760 --> 3:26:41.320]  Texans we cannot turn over Texans to be subservient to a presidential executive
[3:26:41.320 --> 3:26:46.880]  orders. Well this is this is economic Marxism what's going on so I concur with
[3:26:46.880 --> 3:26:49.520]  what you just said Sheila I'm sorry to cut you off there's a bit of a delay in
[3:26:49.520 --> 3:26:53.560]  our signal but this is economic Marxism if you think about it the federal
[3:26:53.560 --> 3:26:57.040]  government is printing COVID stimulus money and handing it out to individuals
[3:26:57.040 --> 3:27:02.120]  that's been going on for quite some time free money so they become dependent on
[3:27:02.120 --> 3:27:06.920]  the government and then they don't work or many of them refuse to work because
[3:27:06.920 --> 3:27:11.160]  they make more money on the bailout checks and then now this is bailouts for
[3:27:11.160 --> 3:27:14.560]  municipalities and you just mentioned something key that the hospitals the
[3:27:14.560 --> 3:27:19.160]  reason the hospitals are refusing to prescribe ivermectin and hydroxychloroquine
[3:27:19.160 --> 3:27:23.960]  is because they have been ordered not to by the federal government because those
[3:27:23.960 --> 3:27:28.520]  hospitals take Medicare money you just nailed it Sheila that's exactly right so
[3:27:28.520 --> 3:27:32.200]  these strings that are attached to this money are resulting in hospital
[3:27:32.200 --> 3:27:37.640]  homicide or medical murder by withholding treatments like ivermectin from
[3:27:37.640 --> 3:27:42.880]  patients who need it to live and so again I just can't overstate this your
[3:27:42.880 --> 3:27:51.760]  comments Sheila Mike we had we've had two hearings on proposed vaccination bills
[3:27:51.760 --> 3:27:57.920]  one by Oliverson in the house and yesterday was Senate bill 51 by
[3:27:57.920 --> 3:28:04.040]  senator Hughes in state affairs I will be putting up incredible testimonies that
[3:28:04.040 --> 3:28:10.600]  took place there my in particular addressed the aspect that we are
[3:28:10.600 --> 3:28:20.360]  currently violating FDA law of 21 US 3 21 USC 360 which is regarding
[3:28:20.360 --> 3:28:27.360]  authorization of medical products for use in emergency in this section E for
[3:28:27.360 --> 3:28:30.480]  healthcare professionals and individuals to whom the product is
[3:28:30.480 --> 3:28:37.960]  administered are to be informed number three is of the option to accept or
[3:28:37.960 --> 3:28:43.680]  refuse I'm sorry to cut you off we are running out of time here we've only got
[3:28:43.680 --> 3:28:46.400]  a few seconds left let me just encourage people to go to your website
[3:28:46.400 --> 3:28:51.440]  texasrighttunow.com and I want to thank you for bringing this to our
[3:28:51.440 --> 3:28:56.280]  attention this isn't where this ends stay with us folks here on infowars.com
[3:28:56.280 --> 3:28:59.600]  we'll be right back you know listeners call into the cell when they thank me
[3:28:59.600 --> 3:29:05.200]  and it makes me feel pathetic because I sit there and I beg you for support
[3:29:05.200 --> 3:29:10.200]  constantly for prayer for financial support and for word of mouth and then
[3:29:10.200 --> 3:29:13.920]  we're all this together and I you know it gets old having to come to you say hey
[3:29:13.920 --> 3:29:17.560]  I got great products please bomb or we won't be here on air but it's true for
[3:29:17.560 --> 3:29:20.400]  the only media organization in the United States that promotes liberty at
[3:29:20.400 --> 3:29:24.720]  this level that is not beholden to big corporate sponsors and they've harassed
[3:29:24.720 --> 3:29:28.000]  and almost shut down everybody else they crippled all the other groups and
[3:29:28.000 --> 3:29:32.080]  we're still here and as this whole new world order comes out in the open our
[3:29:32.080 --> 3:29:35.120]  credibility is going up that's why we've got to be taken off there that's why
[3:29:35.120 --> 3:29:38.160]  America has got to be taken down you can't have all these other nations
[3:29:38.160 --> 3:29:42.680]  enslaved and America still quasi free you can't have info wars has been
[3:29:42.680 --> 3:29:46.680]  proven right be on air with all the craziness that's about to unfold because
[3:29:46.680 --> 3:29:50.560]  if you think stuff's bad now just get ready so thank you all and get an info
[3:29:50.560 --> 3:29:54.360]  or store.com get some great 2020 election shirts supplements and so much more
[3:29:54.360 --> 3:29:58.640]  they're wonderful products and they support the info we're thanking back in
[3:29:58.640 --> 3:30:03.440]  stock down and out liquid sleep support it's been out of stock for a while it's
[3:30:03.440 --> 3:30:07.840]  one of three sleep aids we have at infowarstore.com this one has been very
[3:30:07.840 --> 3:30:12.360]  popular it sold off the shelves it's back in stock down and out liquid sleep
[3:30:12.360 --> 3:30:19.400]  support this is probably the strongest sleep aid that we have I would say knock
[3:30:19.400 --> 3:30:25.040]  out rocket rest both great comes in pill form this is the liquid tincture and I
[3:30:25.040 --> 3:30:28.800]  think this is probably the most powerful one survival shield execute nascent
[3:30:28.800 --> 3:30:33.040]  iodine this is if you haven't done an iodine challenge yet have you haven't
[3:30:33.040 --> 3:30:36.920]  done the iodine challenge what are you waiting for now is the time super male
[3:30:36.920 --> 3:30:42.560]  and super female vitality living defense plus and the organic greens fiber caps
[3:30:42.560 --> 3:30:47.200]  we have a limited supply of these right now but we want to sell them all out so
[3:30:47.200 --> 3:30:50.680]  we can order a new batch it was very popular the organic greens fiber caps
[3:30:50.680 --> 3:30:54.880]  but we have all kinds of other great supplements that are great for so many
[3:30:54.880 --> 3:30:59.840]  different things take advantage of those I've been fighting as hard as I can for
