[00:00:00.149 --> 00:00:01.049]  And so on.
[03:25:45.232 --> 03:25:47.094]  Okay, Lindsey, recap.
[03:25:47.094 --> 03:25:50.617]  Going into what's happening to the farmers, not just here, but worldwide.
[03:25:50.617 --> 03:25:53.078]  Riots are breaking out all over the planet over the last year.
[03:25:53.078 --> 03:25:54.519]  Countries are falling all over Africa.
[03:25:56.701 --> 03:25:58.903]  I mean, you name it, it is getting crazy.
[03:25:58.903 --> 03:26:02.506]  I listen to the BBC every day in my car on XM, and it's another country falling.
[03:26:02.506 --> 03:26:03.787]  Revolutions everywhere.
[03:26:03.787 --> 03:26:05.248]  CIA-backed coups.
[03:26:05.248 --> 03:26:07.250]  The globalists are moving on all fronts right now.
[03:26:07.250 --> 03:26:08.871]  Please continue.
[03:26:08.871 --> 03:26:21.522]  Everything that the elitists planned a year ago, a year and a half ago, what they've planned for many years in the financial crisis, with what's happening in real estate and banking in America right now, all of this was planned many, many years ago.
[03:26:21.522 --> 03:26:25.585]  They knew everything they were going to do in advance, and now it comes down to the one thing,
[03:26:26.129 --> 03:26:29.152]  That whenever you control that, you control the masses of population.
[03:26:29.152 --> 03:26:31.353]  Now, there are two things that every human being must have.
[03:26:31.353 --> 03:26:33.235]  You've got to have water.
[03:26:33.235 --> 03:26:36.397]  At least once every 24 hours, you must drink water.
[03:26:36.397 --> 03:26:38.599]  There's something else you have to have to live.
[03:26:38.599 --> 03:26:42.943]  You might do without a house or an automobile or some of these other things, like a boat and so on.
[03:26:42.943 --> 03:26:45.505]  You can not do without food.
[03:26:45.505 --> 03:26:47.246]  It finally has come to that.
[03:26:47.246 --> 03:26:49.568]  They've gotten the farmers right where they want them.
[03:26:49.568 --> 03:26:51.530]  Beedle Rock, Tampo, Colorado.
[03:26:52.014 --> 03:26:53.015]  Thousands of acres.
[03:26:53.015 --> 03:26:55.876]  40% of the food supply of America.
[03:26:55.876 --> 03:26:59.758]  Corn right now, they're selling it for $3 a bushel.
[03:26:59.758 --> 03:27:01.699]  Now, this was this weekend.
[03:27:01.699 --> 03:27:05.761]  It cost them to raise that corn $5.50 a bushel.
[03:27:05.761 --> 03:27:07.942]  They cannot put their crops in this spring.
[03:27:07.942 --> 03:27:08.782]  Wheat.
[03:27:08.782 --> 03:27:11.664]  Wheat, they're getting for it right now $5 a bushel.
[03:27:11.664 --> 03:27:16.026]  It cost them to raise that wheat $6 to $7 a bushel.
[03:27:16.026 --> 03:27:17.947]  And the farmers, what are they going to do?
[03:27:17.947 --> 03:27:19.407]  They can't plant.
[03:27:19.407 --> 03:27:20.348]  I asked Vita.
[03:27:20.348 --> 03:27:20.608]  I said,
[03:27:21.193 --> 03:27:22.514]  Where are the farmers going?
[03:27:22.514 --> 03:27:27.676]  She said, the only farmers that are going to plant this spring are those who have irrigated crops.
[03:27:27.676 --> 03:27:30.998]  And she said, they know they aren't going to be able to produce enough.
[03:27:30.998 --> 03:27:38.241]  And she said, they are planning, and they're depending on the insurance to bail them out, regardless of what happens to the weather.
[03:27:38.241 --> 03:27:41.022]  She said, Lindsey, there's going to be a major crisis.
[03:27:41.022 --> 03:27:43.163]  Folks, please listen to this.
[03:27:43.163 --> 03:27:44.644]  This startled me to no end.
[03:27:44.644 --> 03:27:46.004]  She said one other thing.
[03:27:46.004 --> 03:27:49.226]  She said, Chaplain Williams, she said, listen,
[03:27:49.724 --> 03:27:51.165]  There was nothing.
[03:27:51.165 --> 03:27:52.825]  Folks, please.
[03:27:52.825 --> 03:27:55.366]  You've got to see what our President is doing.
[03:27:55.366 --> 03:27:58.107]  Nothing in the stimulus package.
[03:27:58.107 --> 03:28:02.909]  Not one penny in the stimulus package was earmarked for farmers.
[03:28:02.909 --> 03:28:04.190]  It's all for the bankers.
[03:28:04.190 --> 03:28:04.910]  All for the bankers.
[03:28:04.910 --> 03:28:06.250]  All for the bankers.
[03:28:06.250 --> 03:28:09.191]  All for the bailout of the money people.
[03:28:09.191 --> 03:28:11.292]  All of their friends and their cronies.
[03:28:11.292 --> 03:28:12.253]  But nothing.
[03:28:12.253 --> 03:28:13.633]  Not one penny.
[03:28:13.633 --> 03:28:14.313]  Think of it now.
[03:28:14.313 --> 03:28:16.394]  Go back to the stimulus package for yourself.
[03:28:16.394 --> 03:28:18.595]  Think of everything you've heard about it for the last few weeks.
[03:28:19.233 --> 03:28:25.794]  Nothing in the stimulus package was earmarked for the farmers of America, and yet they cannot plant their crops this spring.
[03:28:25.794 --> 03:28:33.036]  And I said to Vita, I said, Vita, how long is this going to, how long before this is going to show up on the store shelves?
[03:28:33.036 --> 03:28:36.516]  She said, Lindsey, we can't plant this spring.
[03:28:36.516 --> 03:28:39.197]  She said, there's nothing we can do about it.
[03:28:39.197 --> 03:28:41.737]  Our farms, many of them are going to be lost.
[03:28:41.737 --> 03:28:44.698]  She said, next fall, the crop's not going to be there.
[03:28:45.151 --> 03:28:52.514]  For those who do irrigate and will dare to plant, knowing that about all they're going to get is the insurance out of it, she said the food's not going to be there.
[03:28:52.514 --> 03:28:57.436]  She said, you have about six to nine... Now, Alex, this is what's so amazing.
[03:28:57.436 --> 03:29:11.621]  This man indicated to me that nine to twelve months, six to nine to twelve, he didn't say exactly how long, there would be this crisis that would appear in America, and it is going exactly almost to the month
[03:29:12.267 --> 03:29:15.629]  What this man told me was going to happen when I broke it on you folks.
[03:29:15.629 --> 03:29:18.991]  I am so glad you allowed me to tell it on July the 28th.
[03:29:18.991 --> 03:29:26.496]  Otherwise, many people in the listening audience would have difficulty believing today that they had all this planned in advance.
[03:29:26.496 --> 03:29:27.837]  But they did!
[03:29:27.837 --> 03:29:34.802]  And now I would come down to the one control item that if you want to control the masses of people, you control the food.
[03:29:34.802 --> 03:29:37.624]  And this weekend, Vito Locke said to me, folks, don't do it.
[03:29:37.624 --> 03:29:38.644]  Look in the phone directory.
[03:29:38.644 --> 03:29:39.085]  Call her up.
[03:29:39.910 --> 03:29:41.954]  If you doubt what I'm saying... No, no, no.
[03:29:41.954 --> 03:29:43.516]  Listen, listen, listen.
[03:29:43.516 --> 03:29:49.586]  Beef is more in the stores, but because the meat packers, four companies, have bought up all of the processing...
[03:29:50.825 --> 03:29:53.646]  The people raising cattle are literally going bankrupt.
[03:29:53.646 --> 03:29:56.328]  They can't even make the money they put into it on selling them.
[03:29:56.328 --> 03:29:57.428]  They're losing money.
[03:29:57.428 --> 03:29:59.189]  The cows are stacking up.
[03:29:59.189 --> 03:30:00.350]  The beef is more.
[03:30:00.350 --> 03:30:09.194]  Just like all the raw materials, the corn, the wheat is more at the store, but they've gotten it so imploded at the grassroots level of the economy that they've got a shortage of it.
[03:30:09.194 --> 03:30:13.016]  You know, just like when they have a shortage of gold, its price doesn't go up.
[03:30:13.016 --> 03:30:13.596]  This is not a
[03:30:14.156 --> 03:30:14.816]  Free market.
[03:30:14.816 --> 03:30:17.678]  This is a controlled system.
[03:30:17.678 --> 03:30:22.281]  And they're coming in with the Animal Society, the Prima Society, shutting down the farms, controlling them.
[03:30:22.281 --> 03:30:30.205]  With carbon taxes in New Zealand and Australia, the headlines are just shutting down their farms because there's hundreds of thousands of dollars in taxes just on a few sheep.
[03:30:30.205 --> 03:30:33.127]  I mean, this is total feudalism, total control.
[03:30:33.587 --> 03:30:34.587]  By design.
[03:30:34.587 --> 03:30:37.828]  I promised we're gonna have Lindsey on for an hour and a half, but we got the time zones messed up.
[03:30:37.828 --> 03:30:39.009]  We're gonna have him back up soon.
[03:30:39.009 --> 03:30:40.489]  We're gonna come back with him for the rest of the hour.
[03:30:40.489 --> 03:30:41.830]  I've canceled the state rep.
[03:30:41.830 --> 03:30:43.610]  We'll have him back on about the Second Amendment.
[03:30:43.610 --> 03:30:46.611]  This is too important with Lindsey Williams, and I promised to take a few calls.
[03:30:46.611 --> 03:30:51.733]  So specifically for Lindsey Williams, 1-800-259-9231.
[03:30:51.733 --> 03:30:53.133]  We're on the march.
[03:30:53.133 --> 03:30:55.654]  The Empire's on the run.
[03:30:55.654 --> 03:30:58.355]  Alex Jones and the GCN Radio Network.
[03:31:01.858 --> 03:31:05.399]  The United States is bankrupt and the bankers want you bankrupt also.
[03:31:05.399 --> 03:31:07.879]  How would you like to be debt free in 90 days?
[03:31:07.879 --> 03:31:08.920]  Guaranteed!
[03:31:08.920 --> 03:31:15.861]  DebtCrisisSolutions.com has helped tens of thousands out of debt since 1993 and will free you from the debt trap.
[03:31:15.861 --> 03:31:23.563]  DebtCrisisSolutions.com legally guarantees to put an end to wage garnishment, bank levies and liens and you won't pay one dime to creditors.
[03:31:23.823 --> 03:31:31.911]  With Debt Crisis Solutions Program, you'll also restore your credit history and be protected from legal action without making one more payment to creditors.
[03:31:31.911 --> 03:31:39.538]  DebtCrisisSolutions.com specializes in credit report restoration, preventing wage garnishment and bank levies, liens and judgments.
[03:31:39.538 --> 03:31:41.840]  Doing nothing doesn't make the debt go away.
[03:31:41.840 --> 03:31:44.582]  Become debt-free in 90 days, guaranteed!
[03:31:44.582 --> 03:31:47.445]  Call Debt Crisis Solutions now for a free consultation
[03:31:47.685 --> 03:31:50.286]  That's 718-615-0123.
[03:31:50.286 --> 03:31:53.587]  That's 718-615-0123.
[03:31:53.587 --> 03:31:58.049]  Or visit them online at DebtCrisisSolutions.com.
[03:31:58.049 --> 03:32:01.831]  That's DebtCrisisSolutions.com today.
[03:32:01.831 --> 03:32:08.573]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[03:32:08.573 --> 03:32:10.274]  The enemy struck America on September 11th.
[03:32:11.412 --> 03:32:12.774]  Who is the enemy?
[03:32:12.774 --> 03:32:13.595]  Bin Laden.
[03:32:13.595 --> 03:32:14.576]  This is his M.O.
[03:32:14.576 --> 03:32:15.917]  We have to look to the Middle East.
[03:32:15.917 --> 03:32:17.939]  We have to look to Osama Bin Laden.
[03:32:17.939 --> 03:32:25.086]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[03:32:25.086 --> 03:32:25.567]  Some U.S.
[03:32:25.567 --> 03:32:31.213]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[03:32:31.913 --> 03:32:35.415]  I'm aware that some Israeli citizens have been detained.
[03:32:35.415 --> 03:32:37.576]  Either you are with us, or you are with the terrorists.
[03:33:01.750 --> 03:33:11.677]  SouthSummit.com is the place for top name brand knives such as Kershaw, Spyderco, Cold Steel, Gerber, Ka-Bar, Boker, Leatherman, and more.
[03:33:11.677 --> 03:33:15.760]  South Summit has one of the largest selections of self-defense products on the web.
[03:33:15.760 --> 03:33:25.667]  Knives, stun guns, police batons, pepper spray, LED flashlights, emergency kits, binoculars, and tactical gear are just some of the great products found on SouthSummit.com.
[03:33:25.667 --> 03:33:30.210]  Receive discounted prices on camping and preparedness products from Camelbak, Kelty, and Eureka.
[03:33:30.450 --> 03:33:36.812]  Check out our water storage barrels, water purification systems, and Mountain House freeze-dried foods that have a 30-year shelf life.
[03:33:36.812 --> 03:33:41.393]  Keep an eye on your family and keep them safe with our do-it-yourself spy camera systems.
[03:33:41.393 --> 03:33:45.414]  Mention that you heard this ad on the radio and you'll receive a free LED flashlight with your order.
[03:33:45.414 --> 03:33:47.314]  Visit SouthSummit.com.
[03:33:47.314 --> 03:33:48.795]  That's South Summit.
[03:33:48.795 --> 03:33:51.035]  S-U-M-M-I-T.
[03:33:51.035 --> 03:33:52.856]  SouthSummit.com.
[03:33:52.856 --> 03:33:53.976]  Or call toll-free.
[03:33:54.196 --> 03:33:54.716]  1-800-234-8654.
[03:33:54.716 --> 03:33:58.158]  That's 1-800-234-8654.
[03:33:58.158 --> 03:34:08.505]  The globalists are militarily and economically moving against us on every front, but the people are awakening.
[03:34:08.505 --> 03:34:11.507]  This is their point of greatest strength and greatest weakness.
[03:34:11.507 --> 03:34:14.308]  Their operations are being launched worldwide.
[03:34:14.308 --> 03:34:19.231]  Coups, murders, just Google African presidents being killed, prime ministers, generals.
[03:34:21.744 --> 03:34:24.846]  Madagascar, Eastern Europe, Asia.
[03:34:24.846 --> 03:34:26.987]  They are moving on every front.
[03:34:26.987 --> 03:34:31.369]  Fights between Russia and the United States over who controls what countries.
[03:34:31.369 --> 03:34:33.230]  Payoffs going on on both sides.
[03:34:33.230 --> 03:34:34.951]  It's all happening.
[03:34:34.951 --> 03:34:38.313]  Historians say that more happens sometimes in a year than happens in the previous hundred.
[03:34:39.053 --> 03:34:45.575]  Lennon had another wicked quote along those lines about sometimes things happen more in a week than happen in a decade.
[03:34:45.575 --> 03:34:46.255]  We're in that now.
[03:34:46.255 --> 03:34:53.697]  We're about to go back to Lindsey Williams right now, but I have been rampaging here on air with all this key info for two hours, three hours and thirty-three minutes.
[03:34:53.697 --> 03:34:56.077]  Three hours and thirty-three minutes.
[03:34:56.077 --> 03:35:01.778]  And it is sponsors that make this show possible, so I want to name a few of those sponsors right now that I believe in, that I use.
[03:35:01.778 --> 03:35:03.479]  I'm drinking a color blue water right here, baby.
[03:35:05.359 --> 03:35:05.980]  I love it.
[03:35:05.980 --> 03:35:07.102]  Right here in the office, right out of the air.
[03:35:07.102 --> 03:35:07.703]  People go, what is it?
[03:35:07.703 --> 03:35:09.085]  There's no water bottle on top of it.
[03:35:09.085 --> 03:35:09.886]  No, it's out of the air.
[03:35:11.252 --> 03:35:12.552]  Atmospheric water generator for the home.
[03:35:12.552 --> 03:35:13.413]  Pays for itself in one year.
[03:35:13.413 --> 03:35:14.373]  You buy your water from the store.
[03:35:14.373 --> 03:35:16.134]  Pure, clean water without the flora, without anything.
[03:35:16.134 --> 03:35:18.474]  Goes through seven filters inside.
[03:35:18.474 --> 03:35:19.715]  You hear the ad I run, it's wrong.
[03:35:19.715 --> 03:35:21.035]  I've got to recut it and say five filters.
[03:35:21.035 --> 03:35:21.936]  It's seven.
[03:35:21.936 --> 03:35:23.056]  Just an amazing system.
[03:35:23.056 --> 03:35:23.996]  Great tasting, pure H2O.
[03:35:23.996 --> 03:35:25.937]  Exactly the way nature makes it.
[03:35:25.937 --> 03:35:26.217]  1-800-691-6043.
[03:35:26.217 --> 03:35:29.318]  Hook it up to a solar panel.
[03:35:29.318 --> 03:35:30.619]  Don't even need a well, folks.
[03:35:30.619 --> 03:35:32.839]  By the way, we just drilled another well in our family land.
[03:35:32.839 --> 03:35:33.880]  We had one 300-footer.
[03:35:33.880 --> 03:35:35.980]  We went in 800 feet to secure water.
[03:35:35.980 --> 03:35:37.401]  I mean, I'm getting ready, okay?
[03:35:38.041 --> 03:35:43.326]  And we hope to avert all this, but I mean, I got guns and food and I'm going to take care of my family, folks.
[03:35:43.326 --> 03:35:44.447]  What I'm telling you, I believe in.
[03:35:44.447 --> 03:35:44.967]  1-800-691-6043.
[03:35:44.967 --> 03:35:45.027]  1-800-691-6043.
[03:35:51.206 --> 03:35:56.410]  NicolaBlue.com, E-C-O-L-O, blue.com, get yours today.
[03:35:56.410 --> 03:36:10.681]  Another fine sponsor that makes this show possible is the best storable foods company out there, the biggest storable foods company out there, non-GMO, it's just amazing quality food, great prices, 800-409-5633, efoodsdirect.com.
[03:36:10.681 --> 03:36:12.603]  You'll never stand in the bread line if you have your own food.
[03:36:12.603 --> 03:36:13.023]  The U.N.
[03:36:13.023 --> 03:36:14.244]  has said, just Google, U.N.
[03:36:14.244 --> 03:36:15.525]  says, use food as a weapon.
[03:36:15.525 --> 03:36:16.526]  You'll read the official U.N.
[03:36:16.526 --> 03:36:17.947]  website saying they use it as a weapon.
[03:36:18.587 --> 03:36:19.087]  800-409-5633, 800-409-5633.
[03:36:19.087 --> 03:36:29.331]  Our job is to get folks prepared, and it's symbiotic that the sponsors also make this show possible, and the incredible amount of funds it takes to run this.
[03:36:29.331 --> 03:36:31.132]  So we thank efoodsdirect.com, 800-409-5633.
[03:36:31.132 --> 03:36:45.458]  And one other sponsor that I wanted to tell you about, and it also goes along the lines of preparedness, and that's mysolarbackup.com, from the great folks at Solutions from Science.
[03:36:46.650 --> 03:36:52.994]  You get an emergency power backup kit which consists of a power source, 1800 power plant, and a high-efficiency solar plant designed to provide endless electricity.
[03:36:52.994 --> 03:36:55.276]  That's right, it generates free electricity once you have the unit.
[03:36:55.276 --> 03:37:00.299]  Remember, too, that gas generators need gas, but in blackouts gas pumps can't work because they run on electricity.
[03:37:00.299 --> 03:37:04.002]  The solar generator is like having your own power plant hidden in your home.
[03:37:04.002 --> 03:37:05.883]  It's the perfect emergency backup for troubled times.
[03:37:05.883 --> 03:37:07.764]  If you need more power, get more units.
[03:37:07.764 --> 03:37:09.105]  MySolarBackup.com.
[03:37:09.105 --> 03:37:10.366]  MySolarBackup.com or 877-327-0365.
[03:37:10.366 --> 03:37:10.406]  877-327-0365.
[03:37:16.790 --> 03:37:20.835]  Again, MySolarBackup.com.
[03:37:20.835 --> 03:37:29.787]  Another group I want to plug, not really even a sponsor, they are on the website, but I just want to have them on as guests, period, to promote it, not even as sponsors, is TruthRadio.com.
[03:37:29.787 --> 03:37:30.688]  Or is it Truth AM?
[03:37:31.834 --> 03:37:37.657]  That's right, trutham.com, trutham.com, trutham.com, trutham.com.
[03:37:37.657 --> 03:37:42.939]  These little AMs, FCC license, legal, they go out three miles.
[03:37:42.939 --> 03:37:46.641]  You put that in your area, on your house, put up signs all over the three miles.
[03:37:46.641 --> 03:37:47.841]  That's how we're going to beat them.
[03:37:47.841 --> 03:37:50.022]  Trutham.com is throwing that in too.
[03:37:50.022 --> 03:37:51.583]  They're not even paying for me to do that.
[03:37:51.583 --> 03:37:52.123]  I believe in it.
[03:37:52.123 --> 03:37:54.364]  We've got to get micro-FMs up, whatever.
[03:37:54.364 --> 03:37:56.025]  I mean, we've got to do it now, folks.
[03:37:56.025 --> 03:37:57.886]  We've got to move now to fight these people.
[03:37:57.886 --> 03:37:59.006]  Okay.
[03:37:59.006 --> 03:38:00.047]  That said, that done.
[03:38:02.322 --> 03:38:05.664]  It's just, it's just amazing.
[03:38:05.664 --> 03:38:15.890]  Lindsey Williams, please continue, sir, with what this guy told you, because when you came on six months ago, you told, seven months ago, you told Dr. Stan Monteith about this.
[03:38:15.890 --> 03:38:22.554]  You couldn't go public at the time, but then six months ago you did, when oil was right up at 147, 148 a barrel, now below 40.
[03:38:22.554 --> 03:38:27.596]  He said they were going to implode that, bring in World Depression, you know, have crises in the U.S.
[03:38:27.596 --> 03:38:29.698]  He told you, you better get out of the U.S.
[03:38:29.698 --> 03:38:30.458]  There's nowhere to run.
[03:38:30.458 --> 03:38:31.199]  This is worldwide.
[03:38:31.199 --> 03:38:31.759]  Please continue.
[03:38:32.742 --> 03:38:34.443]  How fast can it happen?
[03:38:34.443 --> 03:38:36.424]  I do not want to frighten you.
[03:38:36.424 --> 03:38:38.665]  And I'm sure Alex doesn't want to frighten you.
[03:38:38.665 --> 03:38:41.046]  He just tells you the truth like it is.
[03:38:41.046 --> 03:38:42.467]  This is how fast it can happen.
[03:38:42.467 --> 03:38:45.588]  Two weeks ago, the Latvian government collapsed.
[03:38:45.588 --> 03:38:47.669]  Now, the first government to collapse was Iceland.
[03:38:47.669 --> 03:38:49.550]  You remember that about three to four months ago?
[03:38:49.550 --> 03:38:49.810]  Yes.
[03:38:49.810 --> 03:38:52.032]  It was havoc in that country shortly afterwards.
[03:38:52.032 --> 03:38:52.732]  And it's still havoc!
[03:38:53.527 --> 03:38:54.967]  Yeah, and this is it.
[03:38:54.967 --> 03:38:58.288]  Oh yeah, it won't be anything but bankrupt from now on.
[03:38:58.288 --> 03:39:01.569]  I've been the second country to declare bankruptcy.
[03:39:01.569 --> 03:39:04.089]  Latvian government two weeks ago.
[03:39:04.089 --> 03:39:07.610]  Now, I want you to see just how fast things can happen.
[03:39:07.610 --> 03:39:12.491]  And folks, this is just how fast it will happen in the United States of America.
[03:39:12.491 --> 03:39:13.751]  I beg of you.
[03:39:13.751 --> 03:39:16.832]  Understand, it can take place within a matter of hours.
[03:39:16.832 --> 03:39:17.472]  Here it is.
[03:39:17.472 --> 03:39:19.813]  Latvian government collapsed.
[03:39:19.813 --> 03:39:21.993]  Government is cutting spending wherever it can.
[03:39:22.481 --> 03:39:27.165]  Hospitals, schools throughout the country are on threat of closure.
[03:39:27.165 --> 03:39:28.566]  In two weeks!
[03:39:28.566 --> 03:39:35.652]  As local administrations find their budgets reduced to as much as 40 percent, government salaries have been cut 25 percent.
[03:39:35.652 --> 03:39:37.033]  Two weeks!
[03:39:37.033 --> 03:39:39.515]  Do you know how fast this can happen in America?
[03:39:39.515 --> 03:39:47.022]  Meanwhile, the country's export-driven economy, which burned red-hot at the height of everything going so well, has ground to a halt.
[03:39:47.022 --> 03:39:49.564]  Unemployment has rocketed in Latvia.
[03:39:50.089 --> 03:39:54.311]  Those who have managed to hold on to their jobs are receiving significantly less pay.
[03:39:54.311 --> 03:40:12.561]  And they're predicting that every Eastern European country is going to basically completely collapse, a domino effect into Asia, the Middle East, the United States, and then meanwhile Fox News is blaming it on Russia and saying the Russians want us to collapse in these weird spin articles when Russia has nothing to do with it.
[03:40:12.561 --> 03:40:16.083]  Yeah, and construction, real estate, farming has ground to a halt.
[03:40:17.275 --> 03:40:21.716]  Folks, this is just how fast it can happen in the United States of America.
[03:40:21.716 --> 03:40:23.257]  Don't think that we're alarmists.
[03:40:23.257 --> 03:40:23.717]  We aren't.
[03:40:23.717 --> 03:40:27.038]  We're realists, and we're trying our best to tell you.
[03:40:27.038 --> 03:40:30.679]  I was told seven months ago that this was going to happen.
[03:40:30.679 --> 03:40:32.759]  They had it planned in advance.
[03:40:32.759 --> 03:40:37.961]  He said America will see a financial collapse that will be so great it will take years to come out of it.
[03:40:37.961 --> 03:40:39.121]  Don't think it's going to
[03:40:39.774 --> 03:40:41.555]  Come out in 24 hours.
[03:40:41.555 --> 03:40:45.177]  Our president is not going to bring it out in six months to a year.
[03:40:45.177 --> 03:40:51.021]  This is going to be a long-term thing that you must make preparations for right now.
[03:40:51.021 --> 03:41:01.267]  Already, OPEC has lost, in four months' time, all producing countries of the world, have lost $2.5 trillion in four months' time.
[03:41:01.267 --> 03:41:03.529]  They cannot buy our Treasury bills.
[03:41:03.529 --> 03:41:04.969]  Now, here's the next.
[03:41:04.969 --> 03:41:07.031]  This is the thing that is startling so much.
[03:41:07.031 --> 03:41:09.192]  Whenever you consider that Macy's
[03:41:10.095 --> 03:41:12.696]  Their profit's down 59%.
[03:41:12.696 --> 03:41:14.216]  Target's down 41%.
[03:41:14.216 --> 03:41:15.056]  JCPenney down 41%.
[03:41:15.056 --> 03:41:21.437]  Office Depot lost $1.5 billion in the last quarter.
[03:41:21.437 --> 03:41:33.379]  Now think of all the taxes that would have gone to the federal government and the state governments if these stores had still been doing 100% of business.
[03:41:33.379 --> 03:41:38.080]  Think, 75% of the taxes that come in at the gas pump on the gallon of gasoline
[03:41:38.433 --> 03:41:41.816]  I'm no longer going to the federal government and state governments.
[03:41:41.816 --> 03:42:01.291]  The thing I am so drastically concerned about at this point is every state in America, whenever they figure up their books, which usually takes two to three months for them to catch up with where their bookkeeping is, they are going to realize that they have lost 60 to 70 to 75% depending on the product in the store of their tax structure.
[03:42:01.291 --> 03:42:03.513]  They're not going to be able to support the schools.
[03:42:03.513 --> 03:42:04.974]  I mean, don't go out there and riot.
[03:42:05.644 --> 03:42:08.367]  And say, oh, we ought to have more for our children.
[03:42:08.367 --> 03:42:09.908]  Well, the tax structure's not there.
[03:42:09.908 --> 03:42:11.450]  They want you to play into that.
[03:42:11.450 --> 03:42:13.872]  That's why they're hyping the thing to do is riots.
[03:42:13.872 --> 03:42:18.597]  They have provocateur groups on record, Ford Foundation, Rockefeller Foundation funding it.
[03:42:18.597 --> 03:42:22.461]  So when everything implodes, they're going to put us into forced labor camps, officially built.
[03:42:22.461 --> 03:42:24.342]  I'm holding up the Army list of 24 mass camps.
[03:42:25.984 --> 03:42:27.624]  This will hold tens of millions of Americans.
[03:42:27.624 --> 03:42:29.005]  This is not a game.
[03:42:29.005 --> 03:42:30.985]  This is not a joke, ladies and gentlemen.
[03:42:30.985 --> 03:42:34.226]  If you don't say no to this, if you don't realize who the enemy is, it's all over.
[03:42:34.226 --> 03:42:36.727]  Go ahead, CIA, FBI, police, play along.
[03:42:36.727 --> 03:42:38.408]  You're going to ruin your future, too.
[03:42:38.408 --> 03:42:42.509]  It's time to gut up and decide who you're with and who you stand with.
[03:42:42.509 --> 03:42:47.650]  And someone said to me the other day, they said, Pastor Williams, these people live in America.
[03:42:47.650 --> 03:42:48.711]  They said, you know who they are?
[03:42:48.711 --> 03:42:50.471]  I said, yes, I know many of them.
[03:42:50.471 --> 03:42:52.672]  They said, do they live in the United States of America?
[03:42:52.672 --> 03:42:53.552]  I said, most of them do.
[03:42:54.266 --> 03:42:56.988]  They said, well, do they want to destroy their own country?
[03:42:56.988 --> 03:42:59.630]  I said, no, they're not destroying their own country.
[03:42:59.630 --> 03:43:02.492]  They have everything in the world to gain by this.
[03:43:02.492 --> 03:43:04.933]  They are going to hold the banks of America.
[03:43:04.933 --> 03:43:07.675]  They're going to own the lending institutions of America.
[03:43:07.675 --> 03:43:09.817]  They're going to own the mom and pop businesses.
[03:43:09.817 --> 03:43:13.859]  Go to the shopping centers and see how many stores are vacant now.
[03:43:13.859 --> 03:43:15.641]  Look what's happening to the banking system.
[03:43:15.641 --> 03:43:17.582]  They're going to own the real estate of America.
[03:43:17.972 --> 03:43:21.395]  You realize that every mortgage house was mortgaged?
[03:43:21.395 --> 03:43:33.327]  You got your mortgage from some lending institution which now belongs to the elite by way of the Federal Reserve through the Treasury of the United States of America bailing them out and they are going to own the majority of the real estate of America.
[03:43:33.327 --> 03:43:36.369]  They have everything to gain by what they're doing.
[03:43:36.369 --> 03:43:41.074]  David Walker, former Comptroller General of the United States of America, said it so well.
[03:43:41.553 --> 03:43:44.154]  Now, he held the currency for a while until he retired.
[03:43:44.154 --> 03:43:50.015]  He said, America's unfunded liability is $66 trillion.
[03:43:50.015 --> 03:43:54.215]  That includes the national debt, Social Security, Medicare, Medicaid.
[03:43:54.215 --> 03:44:00.577]  $66 trillion is more than the GDP, the Gross Domestic Product, of the entire world.
[03:44:00.577 --> 03:44:06.818]  The whole world's GDP is only $65 trillion, and America's unfunded liability is $66 trillion.
[03:44:08.453 --> 03:44:13.195]  And America has more debt than all the rest of the world combined.
[03:44:13.195 --> 03:44:22.059]  America must attract 17% of the world's capital in any given day just to service the debt, the interest on the national debt.
[03:44:22.059 --> 03:44:23.300]  Alex, there is no way out.
[03:44:23.300 --> 03:44:31.663]  I mean, they have it all set so that when it's all over with and the smoke is cleared, if they have their way, they will control this.
[03:44:31.663 --> 03:44:32.844]  But Alex, they're not going to do it.
[03:44:32.844 --> 03:44:35.585]  They're not going to do it because of programs like yours.
[03:44:36.258 --> 03:44:39.121]  And there's one thing that I found that these people fear.
[03:44:39.121 --> 03:44:45.266]  When I lived with them for those three years, they are scared to death of the masses of people in America waking up.
[03:44:45.266 --> 03:44:47.028]  It's the only thing that bothers them.
[03:44:47.028 --> 03:44:48.429]  Everything else is secondary.
[03:44:48.869 --> 03:44:50.851]  And the American people are waking up.
[03:44:50.851 --> 03:44:54.456]  I am amazed at what I'm hearing lately as to how many are taking action.
[03:45:08.872 --> 03:45:20.400]  They've had people secretly for 11 years on these, and now they're just announcing it all, throwing it in everyone's face, and Glenn Beck's making jokes about it like we can trust him, saying he'll look into it, and then giggling and snickering.
[03:45:20.400 --> 03:45:24.662]  I mean, they're being forced to talk about this because everybody's starting to wake up to them.
[03:45:24.662 --> 03:45:25.743]  Yes, they are, exactly.
[03:45:25.743 --> 03:45:31.367]  Now, Alex, would you let me say just a brief word about the two presentations I've just presented?
[03:45:31.367 --> 03:45:32.047]  Absolutely!
