[00:00.000 --> 00:01.200]  We'll protect voting rights.
[02:23:03.040 --> 02:23:12.640]  intelligent is just so terrified of talking about the notion of quote conspiracy well why would we
[02:23:12.640 --> 02:23:18.400]  think that quote conspiracy is something abnormal when if you read even just history let's not talk
[02:23:18.400 --> 02:23:25.360]  about geopolitics let's talk about history isn't history full of conspiracy courtly intrigues
[02:23:25.360 --> 02:23:32.880]  well absolutely history is full of assassinations and wars and spies and espionage it's all across
[02:23:32.880 --> 02:23:39.920]  everybody's history so the norm in history is actually conspiracy it's not abnormal but we live
[02:23:39.920 --> 02:23:43.600]  in a pot in a in a day when the population is so dumbed down that they don't even know american
[02:23:43.600 --> 02:23:48.080]  history they can't find america on a map but we have to know these things that we're going to
[02:23:48.080 --> 02:23:52.800]  figure out the solution to what we're really up against don't go anywhere this is the alexa
[02:23:52.800 --> 02:23:58.880]  johnson i'm your guest host j dire of j's analysis welcome back to the alexa johnson i'm your guest
[02:23:58.880 --> 02:24:02.800]  host j dire of j's analysis we're charting the history of the 20th century up to today
[02:24:03.440 --> 02:24:10.880]  which got us to this disastrous place of the emergence the uncloaking of the technocratic
[02:24:10.880 --> 02:24:16.880]  post-human world order and i'm charting that course from the cold war to the war on terror to
[02:24:16.880 --> 02:24:24.080]  where we are now and after the cold war as the cold war began to wind down when we had entities like
[02:24:24.800 --> 02:24:30.240]  harvard and the economists out of harvard and studies that were done in the rand corporation
[02:24:30.240 --> 02:24:35.840]  preparing for the sort of dissecting and looting of russia which occurred in the 1990s this was
[02:24:35.840 --> 02:24:40.880]  actually covered i think in some congressional inquiries in the 1990s the harvard crew that went
[02:24:40.880 --> 02:24:47.760]  in and sort of divvied up divided up russia and a lot of the the resources privatized it this was
[02:24:47.760 --> 02:24:54.800]  through collusion with a lot of former kgb kernels as well as russian mafia individuals some of whom
[02:24:55.440 --> 02:25:03.680]  putin later arrested and sort of deported and that that has a lot to do with today's drama
[02:25:03.680 --> 02:25:08.320]  when it comes to russia i'm not going to go into all that but if you don't know of course the rand
[02:25:08.320 --> 02:25:15.280]  corporation was founded in concert with the air force under kurtis lame that's who's lampooned
[02:25:15.280 --> 02:25:21.280]  in dr strangelove then we have the under jfk a lot of studies being done in terms of the cold war
[02:25:21.280 --> 02:25:28.960]  via rand and by the time we get to brzezinski who helps to basically end the cold war and bring the
[02:25:28.960 --> 02:25:36.480]  soviet union to a halt to a collapse this is done through the afghanistan operation when brzezinski
[02:25:36.480 --> 02:25:48.320]  utilizes the mujahideen as a way to bog down russia in the soviet conflict there and this leads to
[02:25:49.360 --> 02:25:55.840]  further pressure on russia or the soviet union i should say and as we as we said when that when
[02:25:55.840 --> 02:26:00.960]  the wall falls when that when the soviet union collapses the imf is who really is the key player
[02:26:00.960 --> 02:26:07.920]  to come in with these harvard economists and to divvy up and loot the country and so this was
[02:26:07.920 --> 02:26:17.680]  done as a kind of privatization personal private corporate debt restructuring you could say to
[02:26:17.680 --> 02:26:23.200]  to try again to further dismantle and destroy this country and this is no different action
[02:26:23.200 --> 02:26:27.760]  than what we saw in world war one and world war two when according to dr quigley you had a lot of
[02:26:27.760 --> 02:26:32.880]  these elite planners a lot of these people that came in and restructured these countries after
[02:26:32.880 --> 02:26:39.760]  the wars to be in an imf world bank debt model and we saw the imf world bank those are fabian
[02:26:39.760 --> 02:26:44.720]  institutions that are intended ultimately to bring about a kind of fabian socialism which is not
[02:26:44.720 --> 02:26:52.480]  anti-capitalist but united with monopoly capital this is what helps us understand the last few
[02:26:52.480 --> 02:26:58.400]  months of news when it comes to ukraine and the norstream pipeline because turns out the pipeline
[02:26:58.400 --> 02:27:04.800]  battles are a huge issue a key factor in a lot of this because in terms of the new world order from
[02:27:04.800 --> 02:27:10.880]  the western atlantis's perspective this is about the control of energy and the control and dominance
[02:27:10.880 --> 02:27:16.640]  of resources and so a lot of times when we hear about the human rights abuses and the need to go
[02:27:16.640 --> 02:27:21.680]  into these various countries for human rights abuses it turns out that was a cloak for western
[02:27:21.680 --> 02:27:29.840]  black ops western operations ultimately as serving private interests so this doesn't benefit us
[02:27:29.840 --> 02:27:36.000]  average americans the fact that a private corporation is getting access to a market
[02:27:36.800 --> 02:27:41.600]  isn't really helping us out it's only helping out those private interests and i'm not a socialist
[02:27:41.600 --> 02:27:47.760]  i'm not saying that we should nationalize all the oil or anything it doesn't work that way
[02:27:47.760 --> 02:27:54.640]  it's more of a bigger power play and if it was really about the resources in terms of you know
[02:27:54.640 --> 02:27:58.400]  if if we were told well we have to get those resources because we need it for our country
[02:27:58.400 --> 02:28:04.000]  because we use so much oil we're overextended but then why does biden shut down pipelines
[02:28:05.680 --> 02:28:12.000]  why does biden shut down american oil so this is just a further level of excuse
[02:28:12.000 --> 02:28:19.280]  for these foreign escapades to go into these other countries and it's not even in the long
[02:28:19.280 --> 02:28:24.240]  long term about getting the oil that's a big piece of this that was a big part of desert
[02:28:24.240 --> 02:28:29.440]  storm and all that as well and it's a big part of who's going to give you know put their pipeline
[02:28:29.440 --> 02:28:36.640]  and their oil and their natural gas and all that into the ukraine and servicing europe right
[02:28:36.640 --> 02:28:42.240]  right and so the pipeline battle is a big part of it but even that isn't really the end goal the
[02:28:42.240 --> 02:28:49.440]  end goal here goes beyond entities like haliburton and the different contractors and rathion and
[02:28:49.440 --> 02:28:54.800]  bowing and all the military industrial complex it actually goes to a long-term game of bringing
[02:28:54.800 --> 02:29:01.040]  about a full-on global technocracy and a lot of people think that in order to get to that stage
[02:29:01.040 --> 02:29:06.560]  to shut off you know uh it's necessary at this phase to shut off russian energy russian oil
[02:29:06.560 --> 02:29:13.120]  throughout that corridor and eventually bring about a giant global conflict now i don't know
[02:29:13.120 --> 02:29:17.200]  whether that'll happen a lot of people think it might happen it's very necessary people think
[02:29:17.200 --> 02:29:21.680]  that what's going on now might trigger that people thought that when that we had the south
[02:29:21.680 --> 02:29:31.120]  of cesia uh crisis uh what in 28 2008 2010 somewhere in there and so i don't know uh what will cause
[02:29:31.120 --> 02:29:36.560]  this people thought oh it'll be uh north korea it'll be china who knows but in my view it's very
[02:29:36.560 --> 02:29:42.560]  possible that given what we have in state department memorandum 200 which is a an official document
[02:29:42.560 --> 02:29:49.600]  under nixon through um uh henry kissinger to accept population control first on the third world
[02:29:49.600 --> 02:29:57.280]  but also eventually in the domestic population so that we know that the eventual goal is to have a
[02:29:57.280 --> 02:30:03.360]  drastic re uh reduction in global population and we know that that could come about through global
[02:30:03.360 --> 02:30:08.560]  war but it also might come about about through other means new viruses new releases this kind of
[02:30:08.560 --> 02:30:17.600]  stuff monkeypox Ebola whatever right COVID 2300 whatever the next instantiation of the mutation
[02:30:17.600 --> 02:30:22.960]  of COVID might be any of those things might be the way to eventually reduce the population because
[02:30:22.960 --> 02:30:29.280]  remember population is also a human resource according to the global leap and they believe
[02:30:29.280 --> 02:30:33.600]  that eventually the human resource of human population will no longer be needed and in
[02:30:33.600 --> 02:30:38.240]  fact that they're just something in the way of progress and so the reduction of the population
[02:30:38.240 --> 02:30:45.760]  down to uh 90 95 percent in other words getting rid of 99 95 percent is an actual government
[02:30:45.760 --> 02:30:51.440]  project and policy now i don't think kissinger's documents say i want to kill 95 percent of the
[02:30:51.440 --> 02:30:57.360]  world but other uh people in uh government other people who are advising the consultants do have
[02:30:57.360 --> 02:31:02.640]  that philosophy do have that view and we have to understand that that's the overall objective
[02:31:02.640 --> 02:31:06.480]  that's never going to change from the vantage point of these people they really have adopted
[02:31:06.480 --> 02:31:10.880]  that malphusian perspective it's the official philosophy of the united nations which is one
[02:31:10.880 --> 02:31:17.200]  of the fabian institutions that these people put together the rockfellers especially in concert with
[02:31:17.200 --> 02:31:23.440]  the millner fabian group that philosophy of unesco according to julian huxley who wrote the
[02:31:23.440 --> 02:31:28.960]  philosophy of unesco is a drastic reduction in the world's population by any and all means
[02:31:28.960 --> 02:31:34.480]  so the real reason for the uh pushing of the sexual confusion degeneracy all of this stuff
[02:31:34.480 --> 02:31:39.920]  isn't about anyone's rights it's about the population the real reason for going into these
[02:31:39.920 --> 02:31:44.400]  countries aside from the control of resources and energy isn't really about anyone's rights
[02:31:45.440 --> 02:31:48.880]  it's not even ultimately about the control of resources although that is a key
[02:31:48.880 --> 02:31:56.880]  important factor here it's about the eventual drastic reduction of population so again people
[02:31:56.880 --> 02:32:01.760]  on our side who analyze this stuff that that are called conspiracy theorists we don't know the exact
[02:32:01.760 --> 02:32:06.400]  means by which they're going to play all these cards or try to bring this about it might be global
[02:32:06.400 --> 02:32:12.080]  war and there's a good possibility that we could see world war three or world war four to be specific
[02:32:12.640 --> 02:32:17.760]  it could kick off as a result of this conflict who knows i don't think that putin wants that
[02:32:18.320 --> 02:32:22.800]  but i also feel like you know with bio labs and all the information that came out about the bio labs
[02:32:22.800 --> 02:32:28.960]  in ukraine that russian and in the several years eight years or so of attacks on that border
[02:32:30.080 --> 02:32:34.160]  they felt the necessity to make this move whether you think it was a wise move or not
[02:32:34.160 --> 02:32:38.640]  not that was the reason for it don't go anywhere when we come out we're going to look at the global
[02:32:38.640 --> 02:32:46.240]  conflict welcome back to the auto show we were covering the history of the cold war and now i
[02:32:46.240 --> 02:32:52.400]  want to talk about how that will transition into the war on terror when we come to the late 80s
[02:32:52.400 --> 02:32:59.280]  and early 90s and this again sets the stage for the next phase of the empire in terms of its
[02:32:59.280 --> 02:33:05.840]  decay and in terms of its transformation into its next business phase and again i'm not anti-american
[02:33:05.840 --> 02:33:10.640]  i'm not criticizing america american proper i think there's a lot that's positive to be said for
[02:33:10.640 --> 02:33:16.560]  the classic idea of america in terms of what its founders envisioned it to be in terms of the
[02:33:16.560 --> 02:33:21.920]  constitution and a non-interventionist republic you know a lot of the stuff that ron paul talks
[02:33:21.920 --> 02:33:25.760]  about all the time i think those are great points and positive things to be said about
[02:33:25.760 --> 02:33:32.160]  uh uh classic americana but as everybody knows if you listen to a lot of my talks if you listen to
[02:33:32.160 --> 02:33:36.160]  the lectures that we've done over the years going through quickly and others um you know this was
[02:33:36.160 --> 02:33:42.320]  basically transformed out of a non-interventionist uh non-involved we don't want to be involved in
[02:33:42.320 --> 02:33:48.720]  european wars and conflicts in the 1940s and 50s that changed when the national security
[02:33:48.720 --> 02:33:53.600]  uh stat uh state was established right when we got this uh sort of shadow intelligence
[02:33:53.600 --> 02:33:58.560]  government set up now it was already being co-opted back under woodrow wilson uh under
[02:33:58.560 --> 02:34:03.600]  the inquiry under a colonel edwin mandel house that was already in process but it didn't really
[02:34:03.600 --> 02:34:11.200]  occur until we get up to the time of f dr and then we get up into the the time of um bill donovan
[02:34:11.200 --> 02:34:17.360]  the beginning of the os s that's when we really get this uh this inner group set up again by
[02:34:17.360 --> 02:34:22.640]  british intelligence to bring back things back into the attitude of the european conflict and the
[02:34:22.640 --> 02:34:30.640]  european the british imperial model remember this uh halford mckinder strategy and and set up and
[02:34:30.640 --> 02:34:35.440]  characterization of the world is out of the british imperial model of running the world
[02:34:35.440 --> 02:34:41.440]  and so america de facto sort of adopted that strategy that model this is what we get with
[02:34:41.440 --> 02:34:46.880]  brzezinski and and his his many decades of strategizing as well as kissinger then both
[02:34:46.880 --> 02:34:54.960]  both working together in a concert with uh you know the the rockefeller model for global population
[02:34:56.000 --> 02:35:01.360]  depopulation and control and remember as well that this is not disconnected from uh clouse
[02:35:01.360 --> 02:35:06.640]  and davos and the world economic forum in fact it was kissinger the cia they're the ones that
[02:35:06.640 --> 02:35:12.480]  really uh picked out clouse and set up the world economic forum it's an extension of that harvard
[02:35:12.480 --> 02:35:18.640]  project so there's these are not different things they're all just extensions of the same group the
[02:35:18.640 --> 02:35:24.480]  same power structure the same model of global governance and it is not about the stuff that
[02:35:24.480 --> 02:35:29.120]  they portray in the propaganda it's not about bringing freedom and democracy to these people
[02:35:29.760 --> 02:35:36.320]  it's about extending the strategies of control and the techniques of control including things like
[02:35:36.320 --> 02:35:42.240]  color revolution which are a technology according to gene sharp according to other people in the
[02:35:42.960 --> 02:35:47.360]  national endowment for democracy these think tanks that that sit around and cook up rank
[02:35:47.360 --> 02:35:52.480]  corporation they cook up these techniques of regime change not because they want to make
[02:35:52.480 --> 02:35:58.480]  things better but because they want to extend the model ultimately of malthusianism that is the
[02:35:58.480 --> 02:36:03.280]  modus operandi the operating system of the elandesis western power block that's the ultimate goal
[02:36:03.280 --> 02:36:10.480]  and so it's a post modern imperialism it's a post human imperialism that is being extended
[02:36:11.520 --> 02:36:16.400]  and there may be uh of course there's bad uh stuff going on by the people that are picked out right
[02:36:16.400 --> 02:36:22.320]  we pick a a dictator in another country right you pick saddam or you pick a a leader like
[02:36:22.320 --> 02:36:27.440]  Assad right who is actually very popular and is there corruption in government sure there's
[02:36:27.440 --> 02:36:31.680]  corruption in every government but you'll notice that it's very arbitrary it's very low level oh
[02:36:31.680 --> 02:36:37.360]  they threw a baby out of an incubator which is all fake oh somebody uh used sarin gas
[02:36:37.360 --> 02:36:40.640]  so uh Assad is gassing his people that turned out to be all fake
[02:36:42.960 --> 02:36:46.960]  and so we notice that again it's a constant provocation and i think that it's very possible
[02:36:46.960 --> 02:36:51.200]  that we'll see more of that we've seen the ghost of Kiev you know a bunch of fake stories already
[02:36:51.200 --> 02:36:56.400]  in regard to the the ukraine conflict so it could get much worse it could get in in in terms of a
[02:36:56.400 --> 02:37:04.080]  you know big scale false flag involving uh big scale bombs right it could get really bad excuse me
[02:37:04.080 --> 02:37:10.000]  but the point here is that as we move out of the cold war uh what we what the reason that we have
[02:37:10.000 --> 02:37:14.800]  the war on terror was that this was seen to be a useful strategy for primarily targeting
[02:37:14.800 --> 02:37:19.520]  and reorganizing the middle east russia had been looted in the 90s and so they weren't really seen
[02:37:19.520 --> 02:37:25.840]  as a huge conflict but remember at this time uh putin had booted out several of the uh the
[02:37:25.840 --> 02:37:31.920]  the oligarchs uh so to speak who then went back i think to the uk and uh we're kind of hiding out
[02:37:31.920 --> 02:37:40.000]  in london and at the same time we had this uh breaking up and the destabilizing of the
[02:37:40.000 --> 02:37:44.480]  soviet bloc after this period this was a brzezinski strategy as well known as the arc of crisis
[02:37:45.200 --> 02:37:50.800]  and this is an engine strategy of engineered chaos engineered crisis partly for regime change
[02:37:50.800 --> 02:37:56.880]  but also to reorganize and reorient all of the post the soviet bloc satellite nations into
[02:37:57.600 --> 02:38:03.280]  a pro-western pro-democratic pro-american strategy but again it's not about america not about
[02:38:03.280 --> 02:38:09.040]  democracy not about free markets it's about uh fortune 100 fortune 500 having access to these
[02:38:09.040 --> 02:38:14.000]  countries and to control these markets and we saw that when we covered wall street in the bolshevik
[02:38:14.000 --> 02:38:18.640]  revolution that was an old strategy back then the bolshevik revolution was engineered by wall street
[02:38:18.640 --> 02:38:27.600]  no different we fast forward to today go 100 years into the future from that time bolshevik to to
[02:38:27.600 --> 02:38:35.840]  now it's the exact same fortune 100 fortune 500 big banks big fans of revolution regime change
[02:38:36.400 --> 02:38:44.640]  toppling leaders and that doesn't mean that the leaders in in charge were angels were were uh
[02:38:44.640 --> 02:38:49.360]  swede cakes uh were not corrupt i'm sure every government had obviously every government has
[02:38:49.360 --> 02:38:54.320]  corruption that's a reality here and it doesn't mean that i agreed necessarily with uh if they were
[02:38:54.320 --> 02:39:01.200]  uh socializing and nationalizing their resources i don't necessarily agree with that but that was
[02:39:01.200 --> 02:39:06.400]  the decision of those countries right and so what godofi right he tried to nationalize things
[02:39:06.400 --> 02:39:12.880]  Assad doesn't he uh i think he believes in nationalizing oil and and the bathast approach right
[02:39:12.880 --> 02:39:18.000]  of the bathast party uh that was actually set up by an older cia plan by the way if you read the
[02:39:18.000 --> 02:39:23.040]  mall's copland text but mall's cloaking in his famous uh game of nations memoirs you know the
[02:39:23.040 --> 02:39:28.480]  cia operative he talks at length about utilizing terror utilizing terrorists all throughout the
[02:39:28.480 --> 02:39:33.600]  middle east as a strategy that the cia had had used quite profusely and of course the same thing
[02:39:33.600 --> 02:39:41.520]  occurred in the 1979 uh conflict when it was the brzezinski strategy to recruit the muja hadeen
[02:39:41.520 --> 02:39:47.600]  then the muja hadeen begins to they sort of in my view they stay on the uh western intelligence
[02:39:48.320 --> 02:39:53.520]  payroll and uh roll a deck to give them a call if they need if they're needed and this
[02:39:53.520 --> 02:39:57.600]  might have something to do with the 1993 world trade center mommy it might have something to do
[02:39:57.600 --> 02:40:04.880]  with the big nine event so this takes us up to uh the time of 9 11 uh well actually before that we
[02:40:04.880 --> 02:40:11.680]  should mention other conflicts like nato bombing bosnia uh nato bombing syria and this uh allowed
[02:40:11.680 --> 02:40:18.400]  for uh certain conflicts certain strategies against again russian influence areas to be pushed back
[02:40:19.440 --> 02:40:23.120]  and then we had in 1999 the bombing of the chinese embassy
[02:40:24.880 --> 02:40:30.640]  and this was done by us jet which was a false flag to enrage and embarrass the chinese i'm not pro-china
[02:40:30.640 --> 02:40:36.640]  i'm just saying that this was part of this overall phases of these conflicts uh towards the end of the
[02:40:36.640 --> 02:40:42.240]  cold war moving into the war on terror then of course we have the big night 2001 big nine event of
[02:40:42.240 --> 02:40:47.920]  the ben laden uh you know gets the blame immediately within seconds after the big nine event this kicks
[02:40:47.920 --> 02:40:55.520]  off the international global war on terror and some people thought that the really the big nine
[02:40:55.520 --> 02:41:01.200]  event was kind of the initiation of the the big world war four right uh we could say if the cold
[02:41:01.200 --> 02:41:06.960]  war is world war three then big the big nine event 9 11 is the initiation perhaps of world
[02:41:06.960 --> 02:41:11.760]  war four because today's conflicts that we see in the ukraine although this this is still part of
[02:41:11.760 --> 02:41:21.120]  this big global war now it's a global war fought not by nation states primarily but by shadow
[02:41:21.120 --> 02:41:28.160]  inner core groups utilizing various things like in the case of the big nine event we have the
[02:41:28.160 --> 02:41:33.840]  seven nations plan of general resley clark right which kicks off and utilizes again a lot of these
[02:41:33.840 --> 02:41:39.840]  arc of crisis model that was for the middle east the seven nations plan uh and then utilizing
[02:41:39.840 --> 02:41:45.520]  still that principle of arc of crisis according to brzezinski and the war on terror then is the
[02:41:45.520 --> 02:41:49.920]  in many ways many people think and many analysts think really the beginning of the degradation
[02:41:49.920 --> 02:41:55.200]  of the u.s. military so the u.s. military begins to be degraded demoralized and you might even argue
[02:41:55.200 --> 02:42:04.000]  that the ever since 9 11 this is a long term demoralization and degradation strategy by
[02:42:04.000 --> 02:42:11.280]  some of these global elites to eventually shed america to to displace the importance of america
[02:42:11.280 --> 02:42:16.320]  in the global scheme and move on into that full on global governance we're going to get there
[02:42:16.320 --> 02:42:21.360]  and we got to eventually shed the engine of america pushing the global order and move into
[02:42:21.360 --> 02:42:25.440]  something future that's where we get to great reset when we come back welcome back to the house
[02:42:25.440 --> 02:42:32.000]  don't show me guest host j dire of j's analysis and when we were covering the the last 20 years
[02:42:32.000 --> 02:42:38.240]  at least since the the big nine event we were getting to the point of how the neoconservative
[02:42:38.240 --> 02:42:43.680]  model the bush the bush era preemptive strikes and and false flags and this kind of stuff
[02:42:43.680 --> 02:42:51.520]  kind of cave way to a different model excuse me of the brzezinski era with obama and that
[02:42:51.520 --> 02:42:56.480]  doesn't mean that there was any change in the game in the long-term goal or game plan in fact
[02:42:56.480 --> 02:43:00.960]  they all have the exact same long-term goal and game plan in fact there's a great book called a
[02:43:00.960 --> 02:43:05.200]  afghanistan invisible empire by golden fist real which argues basically that
[02:43:05.200 --> 02:43:08.800]  brzezinski more or less is a neocon it really doesn't matter at that level
[02:43:08.800 --> 02:43:15.520]  what the political party differences are but when we get to that level of a kissinger or
[02:43:15.520 --> 02:43:21.120]  brzezinski you know these big global strategists they may just disagree on the game plan not the
[02:43:21.120 --> 02:43:29.280]  end goal and so but this helps to explain by the way why today's democrat party all the democrat
[02:43:29.280 --> 02:43:35.200]  leaders the top democratic people they don't really seem too different than a lot of the neocons in
[02:43:35.200 --> 02:43:41.040]  fact they enforce all of the same top-down tyrannical control they they try to shut down
[02:43:41.040 --> 02:43:47.280]  anybody who disagrees the censorship all of these which are supposedly right-wing fascist ideas
[02:43:47.280 --> 02:43:54.000]  right and we know the neocons were influenced by Strauss who was a big fan of the nazi
[02:43:55.040 --> 02:44:00.400]  strategy we know that the neocons were influenced by Trotsky they were neotrotzkyite so they had
[02:44:00.400 --> 02:44:08.720]  a weird mix of revolutionary tyrannical top-down fascist control the democrats nowadays are pretty
[02:44:08.720 --> 02:44:13.280]  much the same they operate with the same type of strategy and that's why we don't see any difference
[02:44:13.280 --> 02:44:19.760]  in terms of foreign policy with today's democrats they do the exact same stuff that that we saw
[02:44:21.680 --> 02:44:25.920]  neocons doing several years ago the only difference might be that you know with somebody
[02:44:25.920 --> 02:44:30.560]  like bush you might get a just a straight up preemptive strike right and then what we have
[02:44:30.560 --> 02:44:36.720]  with the brzezinski obama style or today's a biden administration which is really just an extension
[02:44:36.720 --> 02:44:45.280]  of kind of the obama approach is to use the proxy war use proxy soldiers use these you know
[02:44:45.280 --> 02:44:50.160]  the these other strategic approaches rather than the straight up warfare approach of the neocons so
[02:44:50.160 --> 02:44:54.640]  really that's kind of the only difference it's just a difference in approach but it's exact
[02:44:54.640 --> 02:45:00.400]  same strategy so there's no difference in these strategies and this is why we never see any change
[02:45:00.400 --> 02:45:04.240]  in the foreign policy foreign policy is never any different it doesn't because it doesn't matter
[02:45:04.240 --> 02:45:08.000]  who's in in charge there might be a little bit of difference here and there on something like
[02:45:08.000 --> 02:45:12.640]  iran but other than that there's not a whole lot of difference between these different groups
[02:45:13.360 --> 02:45:20.960]  of the neocons and the so-called liberals when we come to the ukraine crisis this kicked off
[02:45:20.960 --> 02:45:26.800]  right around 2014 with the western aided coup in the ukraine and that is i mean the previous
[02:45:26.800 --> 02:45:31.680]  governments were good guys it just means that for many years you had for example on record
[02:45:31.680 --> 02:45:37.040]  soros putting money into the orange revolution in ukraine going back to the 80s and 90s and that
[02:45:37.040 --> 02:45:41.920]  was part of that color revolution model and the the cia and the national endowment for democracy
[02:45:41.920 --> 02:45:47.360]  and the republican institute all these different groups these ngos and private groups which formerly
[02:45:47.360 --> 02:45:53.360]  this stuff in the cold war might have been done by the cia now it's being done by these cover
[02:45:53.360 --> 02:45:58.400]  ngo operations and that's nothing new either we saw that going all the way back to the wall street
[02:45:58.400 --> 02:46:03.760]  the bolstering revolution when the corporations that were running the bolstering revolution
[02:46:03.760 --> 02:46:12.400]  were using foreign aid as cover the red cross remember this well now it's us aid right it's
[02:46:12.400 --> 02:46:17.760]  these kinds of covers that are used for this stuff and in 2014 you had the coup in the in
[02:46:17.760 --> 02:46:22.000]  ukraine and we're never told in the west what the real reasons for that are of course we're
[02:46:22.000 --> 02:46:28.800]  told that putin wants to take over the world he wants to set up a new soviet union and we're
[02:46:28.800 --> 02:46:33.440]  not told about you know the the warfare for many years on the border we're not told about the
[02:46:34.000 --> 02:46:38.880]  bio labs that are there that are working on you know genetic gene specific
[02:46:38.880 --> 02:46:43.120]  uh race specific bio weapons which is mentioned in the peanut document by the way race specific
[02:46:43.120 --> 02:46:48.960]  bio weapons uh gene specific bio weapons but it's important to get to the end goal which is
[02:46:48.960 --> 02:46:55.360]  that we don't know where things are going to go we know that the covid pandemic was a big uh
[02:46:55.360 --> 02:47:01.120]  uh step forward for this click for the global elites to move us towards the post human world
[02:47:01.600 --> 02:47:06.960]  and it's very possible that this war might move us in that direction if it kicks off into something
[02:47:06.960 --> 02:47:12.960]  bigger now a lot of analysts think that it won't turn into a global war uh in fact i had a conversation
[02:47:12.960 --> 02:47:18.000]  with a prominent uh colonel and he was of the opinion that you know putin doesn't want this
[02:47:18.000 --> 02:47:24.560]  kind of a war and so it's very possible that that won't happen but we don't know but if it does
[02:47:24.560 --> 02:47:29.200]  and or if it's something else you know if it's a bio release i mean this seems to be a very hot
[02:47:29.200 --> 02:47:34.080]  topic when it comes to the global elites given that they had a wuhan lab where we have this
[02:47:34.080 --> 02:47:38.080]  alleged leak or well i don't know is alleged i think it's proven now to come out of the wuhan
[02:47:38.080 --> 02:47:42.800]  lab according to the mainstream narrative now which is admitted and you had these labs in
[02:47:42.800 --> 02:47:49.200]  ukraine which were uh admitted eventually to be very dangerous very important right there next
[02:47:49.200 --> 02:47:55.200]  to to russia so it's starting to look like you know they they really like this uh this virus
[02:47:55.200 --> 02:48:02.160]  narrative or this a bio release or this uh you know uh the zombie virus release story or something
[02:48:02.160 --> 02:48:07.040]  like this who knows where it's going to go but if that's the route then you know we might have two
[02:48:07.040 --> 02:48:13.440]  things we might have a global uh uh war and a bio release and i think alex usually talks about how
[02:48:13.440 --> 02:48:17.440]  they'll probably do uh both they'll probably we might have a global war and then they'll release
[02:48:17.440 --> 02:48:22.160]  the bio weapons or they'll release the bio weapons then we'll have a global war maybe the bio weapon
[02:48:22.160 --> 02:48:27.920]  stuff is a false flag maybe the bio weapon is the cause for the global war to ramp ramp up to
[02:48:27.920 --> 02:48:35.200]  ramp ramp up to ratchet up who knows but regardless the we do know what the uh end goal is and that
[02:48:35.200 --> 02:48:41.120]  there's every possibility that we will eventually see in our lifetime a giant global war we can't
[02:48:41.120 --> 02:48:47.200]  control that we can try to stop that but if we understand the dangers here then we can be aware
[02:48:47.200 --> 02:48:52.320]  of you know avoiding this conflict at all costs it's not going to be good for anybody to to have
[02:48:52.320 --> 02:48:59.760]  that happen and remember that the people in the west pushing this do explicitly have a doctrine
[02:48:59.760 --> 02:49:06.160]  of malthusianism where they do want a post-human world and to bring in after a mass depopulation
[02:49:06.160 --> 02:49:14.640]  event or series of events a final transhumanist government a top down uh robot run global
[02:49:14.640 --> 02:49:20.080]  government now that might take it might be 2050 before they get to that but that is the admitted
[02:49:20.080 --> 02:49:24.480]  and stated goal by the people who run the west and who have this attitude and this this this
[02:49:24.480 --> 02:49:32.480]  strategy now uh i think Vladimir Putin is a real realist he's pragmatic and so i'm sure he's
[02:49:32.480 --> 02:49:37.280]  interested in integrating technology that he sees as useful for his his country as well
[02:49:37.840 --> 02:49:43.680]  but i don't know that you have on the part of russia earning these other countries outside of the
[02:49:43.680 --> 02:49:48.640]  the nato sphere an explicit doctrine of attempting to bring about a post-human world
[02:49:48.640 --> 02:49:55.520]  and that's that's the big thing here so does that make everybody in the west party to this no i don't
[02:49:55.520 --> 02:50:00.960]  think so i think most people in the west wouldn't agree uh that we need to get rid of most people
[02:50:00.960 --> 02:50:06.960]  on the planet right they would see this as something kind of weird and and uh sort of maniacal uh very
[02:50:06.960 --> 02:50:12.720]  uh you know mad science uh tyrannical type of thing and so most people don't believe that but
[02:50:12.720 --> 02:50:17.840]  they don't we don't understand that our elite in the west do believe this they're 100% committed
[02:50:17.840 --> 02:50:23.040]  to this they have meetings where they publicly talk about it and how to get to these goals
[02:50:23.040 --> 02:50:28.320]  and so we have to be aware of this and we have to realize that it's entirely possible that they
[02:50:28.320 --> 02:50:34.800]  could use uh you know global war or uh bio-release you know the first time i called into alex jones
[02:50:34.800 --> 02:50:42.960]  many many years ago i think back in 2006 or 2007 and i had just seen the movie i am legend
[02:50:42.960 --> 02:50:49.520]  and i had a conversation with alex uh over that and he said hey call back call back monday call
[02:50:49.520 --> 02:50:53.360]  back monday so i call back monday and we had a longer conversation about the movie because
[02:50:53.360 --> 02:51:01.040]  that dystopian movie presented a post-war bio-release zombie virus scenario right
[02:51:02.560 --> 02:51:11.760]  and it's just wild to see you know here we are in 2020 after this fake crisis of the the last
[02:51:11.760 --> 02:51:18.560]  three years or ramped up fake crisis which was uh now proven to be related to a leak from the west
[02:51:19.840 --> 02:51:26.240]  and in terms of wuhan lab and here we are uh with a a vast bio-release and then a bunch of
[02:51:26.240 --> 02:51:31.200]  death stabbies that everybody has uh unfortunately submitted to and gone along with
[02:51:32.640 --> 02:51:37.360]  and so uh are we looking at an i am legend scenario you know the great irony here is that
