[00:00:05.875 --> 00:00:10.418]  July 4th!
[02:23:27.995 --> 02:23:31.917]  Clean water at home, clean water at the office, clean water on the go.
[02:23:31.917 --> 02:23:38.161]  The Berkey Guy has a Berkey water filtration model for anywhere you are and one that fits any budget.
[02:23:38.161 --> 02:23:41.323]  Thousands of satisfied customers can't be wrong.
[02:23:41.323 --> 02:23:45.585]  For free shipping within the U.S., go to GoBerkey.com or call 877-886-3653.
[02:23:45.585 --> 02:23:46.065]  That's 877-886-3653.
[02:23:46.065 --> 02:23:47.446]  Helping thousands prepare since 2005.
[02:23:47.446 --> 02:23:47.786]  GoBerkey.com.
[02:24:03.038 --> 02:24:09.506]  The preacher man says it's the end of time in the Mississippi River she's a gold drive
[02:24:21.788 --> 02:24:24.731]  Undoubtedly, the globalists are after free will.
[02:24:24.731 --> 02:24:27.493]  Undoubtedly, they're into the occult.
[02:24:27.493 --> 02:24:34.520]  Every society, even though they didn't communicate with each other, built pyramids, stepped pyramids, or temples, and sacrificed children.
[02:24:35.220 --> 02:24:36.801]  Ritual abuse of children.
[02:24:36.801 --> 02:24:38.502]  And David, I know you're a busy guy.
[02:24:38.502 --> 02:24:39.702]  It's always great to have you up.
[02:24:39.702 --> 02:24:40.743]  I appreciate you coming on.
[02:24:40.743 --> 02:24:42.604]  In closing, I want you to talk about your new book.
[02:24:42.604 --> 02:24:52.949]  But I want you to answer the question, because I've thrown it out there a few times, and I know you're not into your ego or whatever, but we need to analyze why you've been successful, myself.
[02:24:53.729 --> 02:25:01.493]  And a handful of others as kind of the icons of the awakening to understand what's made us successful at waking people up.
[02:25:01.493 --> 02:25:05.136]  So briefly, why do you think you've been so successful?
[02:25:05.136 --> 02:25:13.680]  Why do you think I've been so successful when there's been so many other articulate people out there saying, you know, some of the same things?
[02:25:13.680 --> 02:25:14.381]  Why has that been?
[02:25:15.441 --> 02:25:25.349]  Well, I think the only way to succeed in this arena is one word, persistence.
[02:25:25.349 --> 02:25:36.979]  When you refuse to take no for an answer, when you refuse to even accept the possibility that you will give up, and that you know that
[02:25:39.821 --> 02:25:47.266]  The day you keel over and leave this reality, you'll still be doing it, and you'll still be trying, and you'll still be doing what you can.
[02:25:47.266 --> 02:26:05.998]  Then when big challenges come up, when you get the abuse, when you get people trying to undermine you, when people attack you, when people ridicule you, because giving up is simply not an option,
[02:26:06.878 --> 02:26:35.000]  It means that instead of feeling sorry for yourself and walking away and sitting in a corner or walking away and thinking, you know, I'm not doing this anymore, you keep walking, you keep moving, you do more, you are persistent and when you do that you break down barriers and the key to that over the years is that what people have said
[02:26:36.241 --> 02:26:38.022]  Is shown to have validity.
[02:26:38.022 --> 02:27:03.172]  I mean, when I was at the height of my ridicule, which was almost of historic proportions in this country in the 1990s, early 1990s, I was of the belief that if what I said had any validity, then it would be shown eventually to be so.
[02:27:04.031 --> 02:27:08.313]  And then all that abuse and ridicule would start to fade away.
[02:27:08.313 --> 02:27:09.314]  What do you mean it will go?
[02:27:09.314 --> 02:27:10.415]  My goodness me, it hasn't.
[02:27:10.415 --> 02:27:15.417]  But it would start to fade as more and more people went, hold on a second.
[02:27:15.417 --> 02:27:17.899]  What this bloke said then, it's happening.
[02:27:17.899 --> 02:27:21.080]  And then you go on to the next thing.
[02:27:21.080 --> 02:27:23.041]  More persistence, more persistence.
[02:27:23.041 --> 02:27:25.943]  And that process repeats itself and repeats itself.
[02:27:25.943 --> 02:27:30.025]  And eventually, you part the seas, if you like.
[02:27:30.025 --> 02:27:32.767]  And more and more people start to see, actually,
[02:27:33.547 --> 02:27:38.571]  This person, whoever it is, is actually worth listening to because they've got a track record.
[02:27:38.571 --> 02:27:40.992]  Look, it's happening, what they said.
[02:27:40.992 --> 02:28:00.026]  And this is why I say to people, if you hide and keep your mouth shut and don't speak your truth because you fear the reaction of others, then you are not going to have that process of eventually people saying, hold on a second,
[02:28:01.158 --> 02:28:02.319]  What he said is happening.
[02:28:02.319 --> 02:28:04.440]  My goodness, what else is he saying?
[02:28:04.440 --> 02:28:06.080]  Because you've never said it.
[02:28:06.080 --> 02:28:07.401]  Because you were frightened to.
[02:28:07.401 --> 02:28:11.683]  Because people would ridicule you or condemn you or whatever.
[02:28:11.683 --> 02:28:22.508]  If we don't have the backbone to speak our truth, whatever that truth may be, then how can any of us talk about freedom?
[02:28:22.508 --> 02:28:27.290]  Because there's no greater freedom than being able to speak your truth, no matter what it is.
[02:28:27.290 --> 02:28:27.851]  That's right.
[02:28:27.851 --> 02:28:30.412]  Without that fundamental freedom, there is no other freedom.
[02:28:31.892 --> 02:28:49.399]  It's persistence and it's having the balls basically to say things that are unacceptable to society at that time, take the consequences of that but keep saying them until the day dawns when people start to say, hold on a second, he's not as mad as we thought he was.
[02:28:50.519 --> 02:28:56.267]  And without those two things, then you're never going to be successful in communicating this information.
[02:28:56.267 --> 02:28:57.969]  And it's like that anywhere in life.
[02:28:57.969 --> 02:29:07.422]  They want people to be spectators who aren't on the field, and I didn't really know the answer to that when I asked it, but that's total truth what you said, Veritas, sage advice.
[02:29:08.223 --> 02:29:15.048]  Having the basic fundamentals, having your instincts, having the research, the history, and knowing you're right, and never stopping.
[02:29:15.048 --> 02:29:18.170]  That's what they're scared of, and that's why we've been successful.
[02:29:18.170 --> 02:29:20.171]  We haven't been caught off in the infighting.
[02:29:20.171 --> 02:29:22.112]  It's because we had a passion for freedom and truth.
[02:29:22.112 --> 02:29:23.293]  We've been successful.
[02:29:23.293 --> 02:29:24.794]  David Icke, it's great to know you.
[02:29:24.794 --> 02:29:25.655]  Davidicke.com.
[02:29:25.655 --> 02:29:27.796]  The new book's out.
[02:29:27.796 --> 02:29:29.677]  Thank you so much for coming on with us.
[02:29:29.677 --> 02:29:34.961]  We really appreciate you spending time with us, and hopefully you'll be back with us again very soon.
[02:29:35.561 --> 02:29:35.961]  Thank you.
[02:29:35.961 --> 02:29:39.623]  Um, at Wembley Arena, 25th of October, I'm putting it all together.
[02:29:39.623 --> 02:29:42.505]  Oh, we'd love to promote that before you come back on about that.
[02:29:42.505 --> 02:29:44.506]  Wembley Arena, DavidIke.com.
[02:29:44.506 --> 02:29:46.267]  We'll be back with a report from the border.
[02:29:46.267 --> 02:29:47.768]  Thank you so much, David.
[02:29:47.768 --> 02:29:49.409]  Cheers, Alex.
[02:29:49.409 --> 02:29:50.810]  We're on the march.
[02:29:50.810 --> 02:29:53.331]  The Empire's on the run.
[02:29:53.331 --> 02:29:56.013]  Alex Jones and the GCN Radio Network.
[02:30:00.433 --> 02:30:06.595]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[02:30:06.595 --> 02:30:11.157]  Most people know that iodine deficiency has been a crisis around the world.
[02:30:11.157 --> 02:30:15.719]  Iodine is key to so many of the body's functions, especially the thyroid.
[02:30:16.119 --> 02:30:19.060]  I discovered a product being developed by Dr. Group.
[02:30:19.060 --> 02:30:24.502]  You now know it as Survival Shield True Nascent Iodine that your body can really absorb.
[02:30:24.502 --> 02:30:31.884]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[02:30:31.884 --> 02:30:36.025]  And the results that I personally have had have been life-changing.
[02:30:36.025 --> 02:30:41.127]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[02:30:41.127 --> 02:30:41.987]  This is innovating.
[02:30:42.267 --> 02:30:49.750]  And the best part is it helps fund InfoWars.com, the radio show, the TV show, the whole media operation promoting true libertarian ideas.
[02:30:49.750 --> 02:30:54.011]  For a limited time, experience the ancient power of Survival Shield X2.
[02:30:54.011 --> 02:30:59.173]  Take advantage of this unprecedented 30% off super detox special at InfoWarsLive.com.
[02:31:00.623 --> 02:31:02.925]  Hi, I'm Dr. Edward Group.
[02:31:02.925 --> 02:31:10.369]  It took me 20 years of searching the globe to find the deposit of the highest purity iodine available.
[02:31:10.369 --> 02:31:21.197]  The new Survival Shield X2 is mined from 7,000 to 10,000 feet below the earth in pristine, environmentally clean conditions.
[02:31:21.197 --> 02:31:30.443]  The iodine crystals we use are extracted from an ancient 300 million plus year old deposit deep in the earth.
[02:31:31.163 --> 02:31:35.227]  It's the strongest nascent iodine on the market today.
[02:31:35.227 --> 02:31:38.990]  It delivers 650 micrograms per drop.
[02:31:38.990 --> 02:31:41.031]  Experience the new formula.
[02:31:41.031 --> 02:31:43.614]  Experience the ancient purity.
[02:31:43.614 --> 02:31:44.955]  Shield your family.
[02:31:44.955 --> 02:31:46.776]  Survival Shield X2.
[02:31:46.776 --> 02:31:49.919]  Available now at Infowarslife.com.
[02:31:49.919 --> 02:31:53.882]  X2 from Infowarslife.com or call toll free 888-253-3139.
[02:31:59.207 --> 02:32:01.989]  Alex Jones here for InfoWars.com.
[02:32:01.989 --> 02:32:07.472]  In the month of July, we have got giant specials on everything at MadeIn1776.com.
[02:32:07.472 --> 02:32:13.996]  The already discounted Made in 1776 t-shirts are only $17.76.
[02:32:13.996 --> 02:32:18.579]  We have the new belt buckles that in only two weeks of sale are very close to selling out.
[02:32:18.579 --> 02:32:20.580]  There's only 500 of each.
[02:32:20.580 --> 02:32:23.282]  We're talking about Made in America belt buckles.
[02:32:24.763 --> 02:32:27.023]  This is more than a summer blowout special.
[02:32:27.023 --> 02:32:30.165]  This is a new declaration of independence.
[02:32:30.165 --> 02:32:36.287]  But to expand the info war, we're offering the equivalent of more than five months free.
[02:32:36.287 --> 02:32:41.909]  Right now, when you get a membership at PrisonPlanet.tv, for a limited time, only $39.95 a year.
[02:32:41.909 --> 02:32:45.411]  That's more than five months free off the regular price.
[02:32:45.771 --> 02:32:49.615]  Not just this July 4th weekend, but the entire month of July.
[02:32:49.615 --> 02:32:52.378]  At MadeIn1776.com.
[02:32:52.378 --> 02:32:53.840]  Molon Labe.
[02:32:53.840 --> 02:32:57.484]  You can take my gun from my cold, dead hands.
[02:33:09.398 --> 02:33:24.970]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[02:33:24.970 --> 02:33:29.393]  In South Texas, our reporters are at the Farr International Bridge.
[02:33:31.118 --> 02:33:36.003]  They had to get out of there because of, quote, a dangerous situation.
[02:33:36.003 --> 02:33:38.745]  So they're going to be connecting with us soon.
[02:33:38.745 --> 02:33:44.231]  I didn't intend to come in with danger zone when the reporters said to disconnect and get out of there.
[02:33:44.231 --> 02:33:48.335]  So I don't know what's happening right now down there on the border.
[02:33:49.035 --> 02:33:51.476]  The trains of death are arriving daily.
[02:33:51.476 --> 02:33:54.177]  All the way from Central America, they're given passage.
[02:33:54.177 --> 02:33:59.519]  As long as they do not jump off the train, they are not taken to forced labor camps in Mexico.
[02:33:59.519 --> 02:34:04.561]  Mexico has always had the most draconian immigration laws in this hemisphere.
[02:34:05.581 --> 02:34:07.421]  Even the New York Times admits that.
[02:34:07.421 --> 02:34:13.283]  The shame of Mexico's immigration law, I think was the headline last year.
[02:34:13.283 --> 02:34:20.185]  But now they've made a deal that unlimited from Guatemala all the way down to El Salvador.
[02:34:20.185 --> 02:34:29.647]  The Gazette.com, Colorado Gazette reports with the charities, the Catholic Church and others that are loading up the people.
[02:34:31.047 --> 02:34:43.014]  And bringing them up into the United States where the Border Patrol militarily salutes, puts them on buses to bring them in deeper, gives them vouchers to be sent to whoever they want to go to.
[02:34:43.014 --> 02:34:53.920]  I mean, just open borders with the government conduiting the Central and South American people of the destitute with their children.
[02:34:53.920 --> 02:34:56.722]  I mean, just pouring in.
[02:34:56.722 --> 02:34:59.043]  This is an unbelievable criminal operation.
[02:35:00.490 --> 02:35:02.371]  And they're going to get away with it.
[02:35:02.371 --> 02:35:10.775]  And they're going to get away with funding Al-Qaeda to take over Iraq and Syria, calling them ISIS, and they're going to get away with anything, I guess, if we let them.
[02:35:10.775 --> 02:35:12.916]  And here's the issue about crime.
[02:35:12.916 --> 02:35:17.779]  Once a government gets to this level of tyranny, the sky's the limit.
[02:35:17.779 --> 02:35:18.579]  And we've now reached it.
[02:35:18.579 --> 02:35:19.640]  You think this is crazy?
[02:35:21.255 --> 02:35:25.178]  They'll probably start arresting people like me and just shooting patriots in the street or something.
[02:35:25.178 --> 02:35:28.181]  And then a civil war will start.
[02:35:28.181 --> 02:35:30.202]  Staff Sergeant Joe Biggs has no criminal record.
[02:35:30.202 --> 02:35:32.104]  I'm going to get him on the air about this.
[02:35:32.104 --> 02:35:32.584]  Maybe tomorrow.
[02:35:32.584 --> 02:35:34.385]  I just got swamped with the news.
[02:35:34.385 --> 02:35:36.547]  And he sold the three or four guns he had.
[02:35:36.547 --> 02:35:38.328]  He's been in the Army gone for years.
[02:35:38.328 --> 02:35:39.750]  Before he moved down here to raise some cash.
[02:35:40.734 --> 02:35:44.876]  He got down here and he wants to get a rifle and stuff to go shooting with us.
[02:35:44.876 --> 02:35:49.158]  He goes in, time after time they go, oh sorry, you've been denied, we'll call you back, and they never do.
[02:35:49.158 --> 02:35:53.340]  Well it's supposed to then trigger that they're supposed to give you the gun, there's no record, they won't do it.
[02:35:53.340 --> 02:36:04.485]  He, honorable discharge, he's got the plaque on his office, Purple Heart plaques, the whole nine yards, Esquire magazine articles about him jumping off armored vehicles and stabbing Al-Qaeda in the neck and all the rest of them.
[02:36:04.485 --> 02:36:05.365]  He's a well-known soldier.
[02:36:07.193 --> 02:36:13.537]  He cannot get a gun, and most vets I know, Korea War vets, Vietnam vets, I know guys that are grandpas.
[02:36:13.537 --> 02:36:19.921]  One guy's a famous NFL football player, was a UT football player, and I talked to him at a party, a birthday party years ago.
[02:36:19.921 --> 02:36:29.006]  It's been going on for a while, about five years ago, and he cannot get a rifle for his grandson, and he can't buy guns.
[02:36:29.006 --> 02:36:34.470]  I mean, he's got dozens of guns, has no criminal record, they just, no one will sell him a gun.
[02:36:35.839 --> 02:36:38.302]  And that's because there's this lawlessness.
[02:36:38.302 --> 02:36:39.623]  I mean, the illegals are legal.
[02:36:39.623 --> 02:36:40.364]  There's no law.
[02:36:40.364 --> 02:36:41.065]  They just do it.
[02:36:41.065 --> 02:36:43.528]  It's violating the law.
[02:36:43.528 --> 02:36:46.511]  There's no law.
[02:36:46.511 --> 02:36:49.474]  They can't give him a gun.
[02:36:49.474 --> 02:36:51.236]  But they won't sell him one.
[02:36:51.236 --> 02:36:54.700]  Because it's all digital under FBI control and the NICS system.
[02:36:56.835 --> 02:36:59.495]  And you've seen Bill Clinton when he left office.
[02:36:59.495 --> 02:37:02.656]  They denied 87,000 troops being able to have guns.
[02:37:02.656 --> 02:37:06.397]  They just put them on a list if they'd ever even been interviewed for PTSD.
[02:37:06.397 --> 02:37:10.217]  Well, you're not not allowed to own guns if you have PTSD.
[02:37:10.217 --> 02:37:12.998]  Half the time the diagnosis is wrong.
[02:37:12.998 --> 02:37:24.800]  But the issue here is this is the undemocratic extrajudicial purge where the bureaucracy does whatever it wants and selectively enforces laws or doesn't even follow the law.
[02:37:26.536 --> 02:37:28.657]  And that's what this whole digital system's about.
[02:37:28.657 --> 02:37:36.459]  That's why they want to ban private sales, that's why they want to ban you selling your neighbor a gun, or giving your son a gun, or giving grandpa a gun, or vice versa.
[02:37:36.459 --> 02:37:39.479]  I've given my dad probably four guns over the years.
[02:37:39.479 --> 02:37:42.680]  He's probably given me ten guns.
[02:37:42.680 --> 02:37:44.081]  And I've got them all.
[02:37:44.081 --> 02:37:46.961]  And they've all gone up in value.
[02:37:46.961 --> 02:37:52.103]  And the reason you get more guns is they're cool, you want to have more, you shoot them, you talk to them, it's a culture.
[02:37:54.821 --> 02:37:58.205]  Extra-judicially, folks, if they can get the veterans, they're gonna get us all.
[02:37:58.205 --> 02:38:02.951]  A lot of people go, I don't care, I'm not a veteran, I don't care if they take their guns.
[02:38:02.951 --> 02:38:06.195]  I love this self-centered way people think.
[02:38:06.195 --> 02:38:08.458]  As if, oh, it's not happening to me today.
[02:38:08.458 --> 02:38:10.500]  Like, I don't care, I don't own a coal power plant.
[02:38:10.500 --> 02:38:11.762]  Why do I care if they shut it off?
[02:38:11.762 --> 02:38:13.264]  Because half your energy comes from it, dummy.
[02:38:14.960 --> 02:38:18.802]  People think their ignorance and their arrogance is a shield.
[02:38:18.802 --> 02:38:19.182]  It's not.
[02:38:19.182 --> 02:38:20.243]  It's an enslavement.
[02:38:20.243 --> 02:38:22.784]  Okay, they just reconnected from the Far Bridge.
[02:38:22.784 --> 02:38:23.845]  That's the name of the bridge.
[02:38:23.845 --> 02:38:25.246]  They'll tell you the town they're near.
[02:38:25.246 --> 02:38:32.290]  This is where Breitbart was, Sunday, where the Border Patrol told them they couldn't be there, quote, for their safety.
[02:38:33.513 --> 02:38:51.319]  They're at the International Bridge, right down on the edge of the border, and the Rio Grande on the United States side, right there by Military Highway 281, and they are reporting from that area.
[02:38:51.319 --> 02:38:56.600]  I wanted to tell us why they just had to pull out a moment ago to a safer place, what run-ins they've had with the Border Patrol.
[02:38:56.600 --> 02:38:57.981]  He's trying to get the press out of the area.
[02:38:58.621 --> 02:39:05.045]  Because I don't want people getting video of this train of death coming in and other things that happened since I talked to him on the Sunday show last night.
[02:39:05.045 --> 02:39:07.547]  Kit Daniels and Rob Jacobson reporting from the border.
[02:39:07.547 --> 02:39:09.388]  Kit, what can you tell us?
[02:39:09.388 --> 02:39:17.294]  Well, we just drove from Brownsville, Texas, about 60 miles parallel to the Mexican border to reach the Far International Bridge.
[02:39:17.294 --> 02:39:20.576]  And this entire time we've seen only one Border Patrol vehicle.
[02:39:20.576 --> 02:39:23.858]  This entire trip.
[02:39:23.858 --> 02:39:27.621]  Yet, we've seen maybe four or five state troopers on the way up here.
[02:39:28.926 --> 02:39:39.450]  And we, uh, last night we randomly took a side road near the border near Brownsville, and we encountered a wide open border gate.
[02:39:39.450 --> 02:39:41.971]  Completely wide open, unguarded.
[02:39:41.971 --> 02:39:53.316]  And I wanted to come here to emphasize the fact that here, an international bridge, which is very well known, is, it looks like an actual, what you would expect on the border.
[02:39:53.316 --> 02:39:57.498]  But, going back to the south where we came from, on this
[02:39:58.536 --> 02:40:03.724]  To reach here, we've only seen several holes in the border fence.
[02:40:03.724 --> 02:40:06.589]  It's just unbelievable.
[02:40:06.589 --> 02:40:08.251]  And only one Border Patrol agent.
[02:40:09.198 --> 02:40:12.401]  Well, you know, I told you this basically was the headline yesterday.
[02:40:12.401 --> 02:40:15.705]  National Review went with it today.
[02:40:15.705 --> 02:40:18.327]  What an open border looks like in the Rio Grande Valley.
[02:40:18.327 --> 02:40:21.991]  Illegal border crossers are surrendering voluntarily.
[02:40:21.991 --> 02:40:24.433]  That is the headline today, Kit.
[02:40:24.433 --> 02:40:25.154]  That's what's happening.
[02:40:25.154 --> 02:40:31.440]  The Border Patrol is now a delivery agent, a taxi service, to get them to Greyhound buses and pay for the ticket.
[02:40:34.659 --> 02:40:43.105]  And so, what we want to do here is go with that, and then go with the headline in the video, Border Patrol Leaves Border Gates Open.
[02:40:43.105 --> 02:40:44.926]  Border Patrol Stands Down.
[02:40:44.926 --> 02:40:48.608]  Sub-headline, Border Effectively Erased.
[02:40:48.608 --> 02:40:58.375]  And then just write about how they're a taxi service, showing the Jakari Jackson video of them admitting they pay to now get them into the interior, and we have total treason documented.
[02:40:58.375 --> 02:41:02.478]  Then cherry on top, in the article you're going to write tonight, and again, you've done a fabulous job,
[02:41:03.178 --> 02:41:07.200]  And I read Kurt Nemo's article this morning about Senator Feinstein saying, hey, another 9-11 is going to happen.
[02:41:07.200 --> 02:41:12.762]  The terrorists are just going to... We've got to have intelligence, abuse of force of amendment to save us from terrorists.
[02:41:31.724 --> 02:41:40.029]  What I've seen the past two days is wide open borders where illegal aliens can just roam across the border with impunity.
[02:41:40.029 --> 02:41:50.135]  And when they do encounter Border Patrol agents, a few that actually do, they are treated better than what we're treated when we are in line at the airport, the TSA.
[02:41:50.135 --> 02:41:56.739]  So it shows, to look into the border collapse that's now occurring,
[02:41:57.802 --> 02:42:03.027]  It's key to understanding how government spins reality.
[02:42:03.027 --> 02:42:08.351]  It goes back to the Roman Emperor Deal Clinton's problem-reaction solution.
[02:42:08.351 --> 02:42:18.780]  They're going to take a crisis, or a government-created crisis, and spin it to their agenda to take away our rights, but at the same time expand government powers.
[02:42:18.780 --> 02:42:21.823]  That's what we're seeing right now.
[02:42:21.823 --> 02:42:23.865]  It's key to understand that the
[02:42:25.780 --> 02:42:34.682]  Government is using this to, not only their own agenda, but they're also spinning the war on terrorism to fit their own agenda as well.
[02:42:34.682 --> 02:42:35.882]  Well, Kit, you've done a great job.
[02:42:35.882 --> 02:42:37.503]  We're going to come back to you in a few minutes.
[02:42:37.503 --> 02:42:40.103]  That lav's a little windy there in the high wind.
[02:42:40.103 --> 02:42:41.864]  We're going to try to go to handheld here.
[02:42:41.864 --> 02:42:44.324]  So I'm going to go back to you in just a moment there.
[02:42:44.324 --> 02:42:52.366]  Our reporters down on the south Texas border with Mexico confirming just all sorts of critical data.
[02:42:53.366 --> 02:42:57.027]  Again, we broke last week, and Drudge Report carried it.
[02:42:57.027 --> 02:43:08.310]  DrudgeReport.com carried the Infowars.com and PrisonPlanet.com articles confirming that the Border Patrol buses them in from the border and then pays to put them on Greyhound to ship them anywhere they want to go.
[02:43:08.310 --> 02:43:10.311]  That's confirmed on video.
[02:43:10.311 --> 02:43:16.592]  The border is wide open, but if I want to go to a UT football game, they now have TSA-style checkpoints.
[02:43:16.592 --> 02:43:19.453]  A man will grab my genitals.
[02:43:19.453 --> 02:43:21.694]  So, I'm not going, even though I don't want to see the game anyways.
[02:43:21.694 --> 02:43:22.154]  I'm not going.
[02:43:23.315 --> 02:43:33.344]  You know, when families in town might want to go, I still occasionally every few years will go to a UT football game just to see the spectacle of the simulated warfare and people being turned into animals.
[02:43:33.344 --> 02:43:38.369]  But expanding on all of that, it is just absolutely incredible.
[02:43:39.457 --> 02:43:49.967]  That we have gotten to this point as a society that the government can openly fund Al-Qaeda, and we cover it for three years plus, the proxy war in Syria.
[02:43:49.967 --> 02:43:55.773]  Then they change the name from Al-Qaeda to ISIS, have them invade Iraq, and Obama goes, I don't think I'll help the President.
[02:43:55.773 --> 02:43:57.535]  I don't think I'll help the Prime Minister.
[02:43:57.535 --> 02:44:01.018]  We're just gonna, you know, let them take over.
[02:44:01.018 --> 02:44:01.799]  Because they run them.
[02:44:03.211 --> 02:44:11.315]  I mean, I'm getting to the point now, with cops or anybody, running around all paranoid like there's terrorists everywhere, it's an excuse to take over.
[02:44:11.315 --> 02:44:24.463]  And to be down there and see border gates just open, and to have the border patrol come up to our guys, I want to have them go back down to the border checkpoint that's only about 100 yards away, because guaranteed they'll run up and say, get out of here, get out of here, then we can say, hey,
[02:44:25.182 --> 02:44:29.248]  We're here to report that you guys are busing them into the country and giving them vouchers.
[02:44:29.248 --> 02:44:34.355]  We need that interaction with them showing that they're being told this.
[02:44:34.355 --> 02:44:36.578]  That is absolutely essential.
[02:44:36.578 --> 02:44:37.359]  But there's the headline.
[02:44:37.359 --> 02:44:41.065]  City official admits Border Patrol fronting cash to bus illegals.
[02:44:42.250 --> 02:44:48.815]  Border Patrol purchasing bus tickets, vouchers for illegal immigrants while saddling border towns with housing burden.
[02:44:48.815 --> 02:44:52.937]  I mean, it literally is to collapse the country.
[02:44:52.937 --> 02:45:02.804]  The most poor, no jobs, no school, multiple kids, women just showing up to go directly on the welfare roll and to vote 100% Democratic.
[02:45:05.751 --> 02:45:09.484]  The Republican leadership's going along with it because they want to defeat the Tea Party.
[02:45:09.484 --> 02:45:11.370]  They want to balkanize and break the country up.
[02:45:11.370 --> 02:45:12.293]  Were we able to get a better mic?
[02:45:15.717 --> 02:45:19.300]  All right, well, we'll have to go back to that one if it's done that.
[02:45:19.300 --> 02:45:21.221]  Maybe it broke, I don't know.
[02:45:21.221 --> 02:45:28.847]  But maybe we can get them to go down by the Border Patrol checkpoint itself or tell us why they moved from that position to where they're at.
[02:45:28.847 --> 02:45:33.771]  Maybe get into an area where there's not a bunch of wind so we can talk to them.
[02:45:33.771 --> 02:45:39.896]  But again, ladies and gentlemen, reporting for InfoWars.com from the border.
[02:45:41.724 --> 02:45:47.970]  I mean, listen, they say it's racist if you point out that totally undocumented illegals carry diseases.
[02:45:47.970 --> 02:45:50.753]  I mean, have you been to South America, Central America?
[02:45:50.753 --> 02:45:54.317]  Doctors warn of looming health crisis due to flood of young illegal immigrants.
[02:45:54.317 --> 02:45:57.800]  Well, that's what it's supposed to do, is bankrupt the country.
[02:45:57.800 --> 02:45:59.001]  What do you think Obamacare is?
[02:45:59.001 --> 02:46:00.543]  What do you think Cloward and Pivitt is?
[02:46:00.543 --> 02:46:01.964]  What do you think Senate 21 is?
[02:46:01.964 --> 02:46:04.227]  What do you think shutting down the power plants is?
[02:46:07.884 --> 02:46:09.465]  This is the reality.
[02:46:09.465 --> 02:46:13.406]  New sensors will scoop up big data on Chicago.
[02:46:13.406 --> 02:46:25.170]  Metal fixtures going up will grab, that look like pieces of sculpture, but they'll provide big step forward that Chicago understands itself observing the city's people and surroundings.
[02:46:25.170 --> 02:46:32.213]  Inside of the sculptures will be, quote, data collection sensors, and see,
[02:46:33.368 --> 02:46:37.830]  They call it a air quality, light intensity, sound volume.
[02:46:37.830 --> 02:46:39.271]  That's microphones.
[02:46:39.271 --> 02:46:42.533]  See, they're not putting up light poles that have microphones that listen to you.
[02:46:42.533 --> 02:46:47.335]  It's a sound volume or gunshot detector, though it's used to listen to you, see?
[02:46:48.616 --> 02:46:49.456]  I mean, this is 1984.
[02:46:49.456 --> 02:46:50.077]  It's not.
[02:46:50.077 --> 02:46:55.579]  Chicago's putting up Homeland Security funded systems that have cell towers hidden in them.
[02:46:55.579 --> 02:47:02.302]  We broke this a few months ago in Seattle to steal all your data, and it turns out it's illegal, so they had to stop.
[02:47:02.302 --> 02:47:02.642]  No, no, no.
[02:47:02.642 --> 02:47:04.343]  In Chicago, it's a sculpture.
[02:47:04.343 --> 02:47:06.884]  You're not against art, are you?
[02:47:06.884 --> 02:47:09.805]  New sensors will scoop up big data on Chicago.
[02:47:12.441 --> 02:47:16.543]  The sensors will also count people by measuring wireless signals on mobile devices.
[02:47:16.543 --> 02:47:19.545]  This was put in eight years ago, first in England, now in other cities in the U.S.
[02:47:19.545 --> 02:47:20.446]  last year and this year.
[02:47:20.446 --> 02:47:26.950]  And it tracks everything you do in real time, bypassing even the telecoms, paying to get the data from them.
[02:47:26.950 --> 02:47:32.113]  It just, government's gonna grab the data from you itself, but also have its own network.
[02:47:32.113 --> 02:47:33.474]  But it's in a sculpture.
[02:47:33.474 --> 02:47:37.576]  Yeah, I mean, come on.
[02:47:37.576 --> 02:47:40.558]  And people still keep making jokes about me covering the New York Times.
[02:47:42.341 --> 02:47:59.813]  years ago about the new light bulbs can have wireless systems put into them that flicker data to communicate with new sensors that come in computer pads or that are inside the computer that then lets the government remote access your computer.
[02:47:59.813 --> 02:48:07.499]  I mean that's New York Times and it's a big liberal thing making fun of me that he thinks the light bulbs are spying on you.
[02:48:09.480 --> 02:48:11.320]  Okay, we've got the crew back, guys.
[02:48:11.320 --> 02:48:16.222]  What was it you said that was a dangerous area you were in and so you guys had to move before coming on?
[02:48:16.222 --> 02:48:19.563]  What happened there and what else has been unfolding, Kit?
[02:48:19.563 --> 02:48:26.804]  We took a back road just south of the highway to look for a place near the border fence to make our shoot.
[02:48:26.804 --> 02:48:36.787]  And there was, we passed by a police station, like a little small town police station, which just so happens to have one of those surveillance towers.
[02:48:37.719 --> 02:48:39.922]  We looked at it, and I was like, wow, what is that?
[02:48:39.922 --> 02:48:41.063]  Why is that out here?
[02:48:41.063 --> 02:48:47.790]  So we kept driving, and it's just wide open fences, no Border Patrol whatsoever.
[02:48:47.790 --> 02:48:51.114]  It's just, it gives you a really eerie, uncomfortable feeling.
[02:48:51.114 --> 02:48:53.276]  It's all just brush land.
