[00:00:06.172 --> 00:00:07.074]  That's a hit.
[02:42:25.032 --> 02:42:30.555]  For murder and conspiracy to commit murder against these individuals.
[02:42:30.555 --> 02:42:31.296]  Stay right there Senator.
[02:42:31.296 --> 02:42:32.916]  We're going to come back with that straight ahead.
[02:42:32.916 --> 02:42:36.138]  Dr. Francis Boyle lays out the legal blueprint.
[02:42:36.138 --> 02:42:38.880]  It's very strong to put these criminals behind bars.
[02:42:40.290 --> 02:42:47.194]  There is very little contemporary study in the world of the planet's ruling class.
[02:42:47.194 --> 02:42:56.379]  Not in Communist China, not in Mexico, not in the United States, not anywhere is there a real study of the planet's ruling class.
[02:42:56.379 --> 02:42:58.281]  And that's done by design.
[02:42:58.281 --> 02:43:03.424]  The large central banks that basically control the planet will penalize and target any academics
[02:43:04.364 --> 02:43:13.197]  That look into, say, the Anglo-American establishment that founded the Bilderberg Group, the Trilateral Commission of the United Nations, the whole project of the Rothschilds and the Rockefellers.
[02:43:14.215 --> 02:43:19.899]  Until ten years ago the media said, the control corporate media, the Bilderberg Group didn't exist.
[02:43:19.899 --> 02:43:29.066]  Well now the Bilderberg Group is public and its former head, shown on the steering committee, is Klaus Schwab and he has set up the Great Reset, a global government.
[02:43:29.066 --> 02:43:37.633]  And if as a liberty movement worldwide we don't address the globalists head on about the fact that they are a worldwide authoritarian corporate takeover, we don't have a shot.
[02:43:37.633 --> 02:43:39.274]  If we do expose them, we can beat them easily.
[02:43:39.514 --> 02:43:44.335]  I've been fighting as hard as I can for almost 28 years against the globalists.
[02:43:44.335 --> 02:43:46.376]  I wanted to stop their agenda.
[02:43:46.376 --> 02:43:51.797]  I wanted to wake up the world and stop them dead in their tracks before they went operational.
[02:43:51.797 --> 02:43:52.898]  But we failed.
[02:43:52.898 --> 02:43:54.538]  Yes, a lot of people are awake.
[02:43:54.538 --> 02:43:56.418]  Yes, we're not getting caught flat-footed.
[02:43:56.418 --> 02:43:58.099]  But they are going ahead
[02:43:58.479 --> 02:44:02.421]  With their full operational deindustrialization, Great Reset.
[02:44:02.421 --> 02:44:11.286]  And that's why it's more important than ever that all viewers and all listeners tell everybody they know about the show, because people are ready to wake up and ready to hear the truth.
[02:44:11.286 --> 02:44:16.489]  So we've got to information warfare the enemy and try to stop their agenda, but we've also got to get personally prepared.
[02:44:16.489 --> 02:44:19.390]  And one of the number one things to do is high quality, storable food.
[02:44:19.390 --> 02:44:24.153]  We've got the best food ready to ship at very affordable prices at infowarestore.com.
[02:44:24.153 --> 02:44:27.655]  So whether it's a month or a six month or a year supply or specialty diets,
[02:44:27.955 --> 02:44:29.696]  It's ready to ship right now.
[02:44:29.696 --> 02:44:34.579]  Lock your orders in before food prices go up and before there are long lines and waits.
[02:44:34.579 --> 02:44:36.921]  Because believe me, serious times are coming.
[02:44:36.921 --> 02:44:40.383]  Get ready at infowarestore.com.
[02:44:40.383 --> 02:44:43.745]  Humanity is the main stakeholder on this planet.
[02:44:44.488 --> 02:44:44.949]  We're good to go.
[02:45:00.811 --> 02:45:01.192]  I'm good.
[02:45:16.992 --> 02:45:17.412]  We're good.
[02:45:42.233 --> 02:45:47.494]  Ladies and gentlemen, I am introducing you to RainForce Ultra.
[02:45:47.494 --> 02:45:54.676]  It is our mission to bring you products that boost your mind, give you energy with clean mental focus and clarity.
[02:45:54.676 --> 02:45:57.837]  And RainForce Plus is amazing, so is TurboForce.
[02:45:57.837 --> 02:46:00.818]  They're two different products that do different things.
[02:46:00.818 --> 02:46:01.758]  This new formula
[02:46:02.895 --> 02:46:07.096]  Drop For Drop is the strongest, probably out there, period.
[02:46:07.096 --> 02:46:14.137]  Just on the caffeine scale, it's twice as strong as Brain Force Plus, and it's from natural, high-quality organic sources.
[02:46:14.137 --> 02:46:19.458]  And it's got a bunch of other herbs known for deep clarity and long focus.
[02:46:19.458 --> 02:46:22.119]  It is a game-changer.
[02:46:22.119 --> 02:46:27.680]  It is Brain Force Ultra, discounted, out of the gates, at InfoWarstore.com.
[02:46:27.680 --> 02:46:29.220]  I'll tell you what else is amazing about it.
[02:46:29.760 --> 02:46:34.363]  It funds the Infowar and are fighting us, the globalists, a 360 win.
[02:46:34.363 --> 02:46:42.829]  Get your BrainForce Ultra right now at InfowarStore.com and take your mind to the next level.
[02:46:42.829 --> 02:46:45.491]  You're listening to the Alex Jones Show.
[02:47:03.510 --> 02:47:10.973]  If you are receiving this transmission, you are the resistance.
[02:47:12.876 --> 02:47:23.564]  And Dr. Boyle, our guest, is the tip of the spear in the resistance to these globalist depopulation programs that Henry Kissinger's SID Department, Morandum 200, and others like it, that says the policy of the U.S.
[02:47:23.564 --> 02:47:25.285]  government is depopulation.
[02:47:25.285 --> 02:47:26.006]  Well, that's not the U.S.
[02:47:26.006 --> 02:47:26.686]  government.
[02:47:26.686 --> 02:47:31.730]  That's the psychos playing God that want to be the Uber mention, as he was talking about earlier.
[02:47:31.730 --> 02:47:33.531]  I'm going to host 15 minutes to the next hour.
[02:47:33.531 --> 02:47:35.853]  Another great guest host is coming in ahead of the war room.
[02:47:35.853 --> 02:47:38.775]  I'm going to get some big news breaking after Dr. Boyle leaves us.
[02:47:39.716 --> 02:47:42.677]  They're going to declare even more of our liberties gone, but they're not gone.
[02:47:42.677 --> 02:47:46.338]  We have to stand up for them when Biden makes his speech tomorrow.
[02:47:46.338 --> 02:47:52.340]  So you got caught off by the break, Dr. Boyle, with we have a very good case for prosecuting these people.
[02:47:52.340 --> 02:47:54.400]  We need grand juries to take action.
[02:47:54.400 --> 02:47:56.141]  We need the citizens to beat the drum.
[02:47:56.141 --> 02:47:58.882]  We need Congress and Rand Paul to beat the drum.
[02:47:58.882 --> 02:48:02.823]  Please continue, sir, with the path towards getting these monsters off our backs.
[02:48:04.161 --> 02:48:05.001]  Right, Alex.
[02:48:05.001 --> 02:48:10.543]  I want to first talk then about a second cause of action on the frankenshots.
[02:48:10.543 --> 02:48:16.545]  And then I would like to give some more advice to our members of our U.S.
[02:48:16.545 --> 02:48:25.248]  Armed Forces who have been ordered to take these frankenshots by Austin at the behest of Biden, the totalitarian.
[02:48:25.248 --> 02:48:31.270]  Now, the second cause of action over the frankenshots, you don't do them both together.
[02:48:31.270 --> 02:48:33.671]  The frankenshots, let me go back again.
[02:48:34.372 --> 02:48:38.994]  Unlawful killing of human beings with malice of forethought.
[02:48:38.994 --> 02:48:41.775]  Unlawful on the frankenshots.
[02:48:41.775 --> 02:48:51.938]  It would clearly be a violation of the Nuremberg Code on medical experimentation that is a Nuremberg crime and a Nuremberg crime against humanity.
[02:48:51.938 --> 02:48:54.219]  Killing of human beings.
[02:48:54.219 --> 02:49:00.041]  Again, if you are living in a territorial jurisdiction
[02:49:00.681 --> 02:49:14.397]  Where people have died from the frankenshots, you should go into your state's attorney, district attorney, the county prosecutor, the attorney general.
[02:49:14.397 --> 02:49:14.677]  Okay?
[02:49:14.677 --> 02:49:17.380]  You need people who've died under their jurisdiction.
[02:49:18.684 --> 02:49:21.165]  And then with malice aforethought.
[02:49:21.165 --> 02:49:27.008]  So here we have two other elements of malice aforethought to deal with.
[02:49:27.008 --> 02:49:30.870]  The first, either intentional killing of human beings.
[02:49:30.870 --> 02:49:34.811]  The Frankenshoppe people say, well, we didn't intend to kill people.
[02:49:34.811 --> 02:49:43.435]  But the second is intention to cause grievous bodily harm to human beings.
[02:49:44.055 --> 02:49:47.218]  And clearly we have them on that.
[02:49:47.218 --> 02:50:04.493]  That if you look at the VAERS reports that are grossly underestimated, the European Health Authority reports that are much better, you will see that these frankenshots have inflicted a grievous
[02:50:05.287 --> 02:50:06.767]  We're good to go.
[02:50:30.632 --> 02:50:33.134]  If we do not stop these criminals.
[02:50:33.134 --> 02:50:54.488]  So I believe all the elements are there for convening a grand jury to seek indictments for murder and conspiracy to commit murder against Slaoui, head of Operation Warp Speed, the chief executive officers of
[02:50:55.488 --> 02:51:00.291]  Pfizer, BioNTech, and Johnson & Johnson.
[02:51:00.291 --> 02:51:04.012]  Those are the frankenshots being used in this country.
[02:51:04.012 --> 02:51:16.959]  And also their so-called chief scientific officers, you know, they're death scientists, for conspiracy and conspiracy to commit murder.
[02:51:16.959 --> 02:51:19.500]  And I think the case is there.
[02:51:19.500 --> 02:51:23.842]  I think that these prosecutors can make the case for
[02:51:24.540 --> 02:51:30.415]  Uh, indictments by, uh, for, uh, uh, murder and conspiracy to commit murder.
[02:51:31.171 --> 02:51:33.553]  Against this group of people.
[02:51:33.553 --> 02:51:39.797]  As for Bill Gates, he has been very careful to stand down in the background.
[02:51:39.797 --> 02:51:45.221]  I don't know if he could be tied into conspiracy to commit murder.
[02:51:45.221 --> 02:51:50.485]  We're going to leave more evidence against Gates between you and me.
[02:51:50.485 --> 02:51:52.606]  I understand Robert F. Kennedy Jr.
[02:51:52.606 --> 02:51:57.630]  is coming out with a new book trying to tie Gates into all this.
[02:51:57.630 --> 02:51:57.750]  I've
[02:51:58.360 --> 02:52:02.082]  I've listened to his half-hour podcast on it.
[02:52:02.082 --> 02:52:05.623]  Maybe we're going to get more evidence about Gates.
[02:52:05.623 --> 02:52:07.664]  I can't say at this time.
[02:52:07.664 --> 02:52:11.285]  We need to keep that in mind.
[02:52:11.285 --> 02:52:20.769]  Once we start indicting Fauci and Peter Daszak and the rest of them, then we'll be able to get all the rest of the documents and we know that Gates was funding it and then we'll be able to get him.
[02:52:22.068 --> 02:52:32.017]  Sure, just subpoena Gates to appear before these grand juries and a subpoena to just take him, to take all the documents he has.
[02:52:32.017 --> 02:52:47.891]  And if necessary, even though the feds aren't going to do this and the FBI, the local prosecutors where Gates lives out there in Seattle, the Gates Foundation headquarters,
[02:52:48.651 --> 02:52:55.313]  Wherever he might be located, they can send out state, local police and execute search warrants.
[02:52:55.313 --> 02:52:56.793]  And let me throw this at you.
[02:52:56.793 --> 02:53:00.774]  People like Jim Garrison, he never brought the CIA to justice for killing Kennedy.
[02:53:00.774 --> 02:53:05.196]  But in the people's minds, 92% of national polls know they killed him.
[02:53:05.196 --> 02:53:09.217]  So that's just one prosecutor in New Orleans doing that.
[02:53:09.217 --> 02:53:13.718]  And so these prosecutors, if they've got the courage, because we have no future if they don't.
[02:53:14.358 --> 02:53:25.921]  If these grand juries and others just do this, it's a major shot across the bow, and I expect they'll back off pretty quick, wouldn't they, if they started getting indicted or investigated in five or six jurisdictions, Doctor?
[02:53:25.921 --> 02:53:27.561]  Of course they would.
[02:53:27.561 --> 02:53:32.222]  That would just be the start of the resistance.
[02:53:32.222 --> 02:53:40.544]  That would be, you know, starting a ball rolling down the mountain against Biden and the Frankenshots.
[02:53:40.544 --> 02:53:42.465]  So, and the difference here,
[02:53:43.172 --> 02:53:52.240]  Is that the state prosecutors, state's attorneys, district attorneys, county prosecutors, attorney generals, they're elected by the people.
[02:53:53.041 --> 02:53:54.142]  Okay.
[02:53:54.142 --> 02:53:57.224]  The people in their territorial jurisdiction.
[02:53:57.224 --> 02:54:13.355]  My experience dealing with people at this level and judges, the state, local judges and prosecutors, they feel accountable, more accountable to the people than federal prosecutors and federal judges.
[02:54:14.396 --> 02:54:24.707]  Because they are elected by the people, they can be re-elected by the people, they can be defeated by the people, and their salaries are paid by the people.
[02:54:25.305 --> 02:54:43.746]  So for that reason, I believe that if the people under their territorial jurisdiction got organized and buttonholed them, not just emails, but buttonholed them personally, some of them would have the courage to be more responsive.
[02:54:43.786 --> 02:54:57.737]  And to get the ball rolling, again, go speak at city councils, county commissioners, state houses, go to the meet and greets with state reps, go meet and greets with judges, and just say, hey, you've seen the documents, you've seen what happened, Rand Paul can't do this by his own, and we're not saying this to act tough.
[02:54:57.737 --> 02:55:02.060]  Dr. Bowles committed to what he's doing, I'm committed, because we're driven to do this, because we don't want to be slaves.
[02:55:03.041 --> 02:55:03.601]  We're good to go.
[02:55:19.830 --> 02:55:21.251]  They got the FBI investigating me.
[02:55:21.251 --> 02:55:21.911]  They got other stuff.
[02:55:21.911 --> 02:55:24.132]  They said, Jones, one more inch and we're going to get you in.
[02:55:24.132 --> 02:55:25.473]  And so they might kill me soon.
[02:55:25.473 --> 02:55:30.415]  That's OK, because I'm not signed on to killing all these people in the military and all these poisoned shots.
[02:55:30.415 --> 02:55:32.536]  Somebody's got to call these people's bluff.
[02:55:32.536 --> 02:55:34.997]  And we're doing it right now, aren't we, Dr. Boyle?
[02:55:34.997 --> 02:55:37.378]  Well, Alex, let me just say a final word.
[02:55:37.378 --> 02:55:39.459]  We're running out of time here to our U.S.
[02:55:39.459 --> 02:55:41.320]  military personnel.
[02:55:41.320 --> 02:55:42.400]  Under U.S.
[02:55:42.400 --> 02:55:45.602]  military law, you have no obligation
[02:55:46.235 --> 02:55:49.118]  To obey an illegal order.
[02:55:49.118 --> 02:55:52.822]  And you can read that in Winthrop on military law.
[02:55:52.822 --> 02:55:55.605]  I've argued this in court martials.
[02:55:55.605 --> 02:56:04.075]  And so this order from Austin at the behest of Trump, you can say if you want to.
[02:56:04.575 --> 02:56:06.316]  It's an illegal order.
[02:56:06.316 --> 02:56:13.860]  It violates the Nuremberg Code that is a Nuremberg crime and is a Nuremberg crime against humanity.
[02:56:13.860 --> 02:56:16.802]  I am not going to carry out this legal order.
[02:56:16.802 --> 02:56:19.984]  If you are going to court-martial me, well, so be it.
[02:56:19.984 --> 02:56:24.026]  I have all the protections of the Uniform Code of Military Justice.
[02:56:24.026 --> 02:56:32.051]  And again, the Uniform Code of Military Justice, in my opinion, is pretty good for a military
[02:56:33.051 --> 02:56:35.253]  Hold on, I don't know if you're teaching class today.
[02:56:35.253 --> 02:56:36.594]  We've got a two-minute break.
[02:56:36.594 --> 02:56:38.256]  I've had so many questions from the military.
[02:56:38.256 --> 02:56:39.357]  I'm glad you brought this up.
[02:56:39.357 --> 02:56:43.881]  They wanted you back on to talk about the process, if it's a written order, how.
[02:56:43.881 --> 02:56:54.450]  I know you can't give legal advice, but just from your experience, they're calling me and I don't know, because I know Biden's like, there's supposedly a path not to take the shots, but he's hiding it from them, and they're playing tricks.
[02:56:54.450 --> 02:56:55.911]  So, dude, five more minutes.
[02:56:55.911 --> 02:56:57.592]  I promise I'll let you get back to your work.
[02:56:57.592 --> 02:56:57.993]  Two-minute break.
[02:56:57.993 --> 02:56:58.593]  We're going to come back.
[02:56:59.844 --> 02:57:02.465]  Don't forget, only way this interview gets out is you tell people.
[02:57:02.465 --> 02:57:03.225]  It's about to end.
[02:57:03.225 --> 02:57:03.965]  It's life-saving.
[02:57:03.965 --> 02:57:04.805]  It's so powerful.
[02:57:04.805 --> 02:57:07.346]  It's the center of liberty right now in truth.
[02:57:07.346 --> 02:57:12.587]  Once it's archived today at Bandot Video or FreeWorldNews.tv, for your own future, for our future.
[02:57:12.587 --> 02:57:13.127]  This is a war.
[02:57:13.127 --> 02:57:14.747]  It's a globalist takeover.
[02:57:14.747 --> 02:57:15.547]  A corporate takeover.
[02:57:15.547 --> 02:57:20.809]  You've got to take this interview and share it on your email, your text message, Facebook, Twitter, YouTube, everywhere.
[02:57:20.809 --> 02:57:21.849]  There's no copyright.
[02:57:21.849 --> 02:57:22.729]  Take clips out of it.
[02:57:22.729 --> 02:57:23.489]  Use it.
[02:57:23.489 --> 02:57:24.689]  None of what I do is copyright.
[02:57:24.689 --> 02:57:25.670]  Just get it out there.
[02:57:25.670 --> 02:57:26.690]  You are the Paul Reveres.
[02:57:27.952 --> 02:57:32.616]  Just a week ago, we got a new shipment of Vitamin & Mineral Fusion back in stock.
[02:57:32.616 --> 02:57:35.279]  And it was only half of the order we wanted to get.
[02:57:35.279 --> 02:57:41.044]  But because we won't cut corners on the quality of what goes into it, the factory can only get limited supplies.
[02:57:41.044 --> 02:57:42.966]  So again, it was half the order we wanted.
[02:57:43.186 --> 02:57:43.787]  We're good to go.
[02:58:03.427 --> 02:58:06.488]  So, get yours today at MFullWorthStore.com.
[02:58:06.488 --> 02:58:10.189]  Because it's not just a great product, we need those funds to keep operating as well.
[02:58:10.189 --> 02:58:11.570]  We're all into Catch-22.
[02:58:11.570 --> 02:58:20.032]  But we have another great product, Hair and Beard Formula, that's really a great multivitamin mineral system, that's one of the best multivitamin mineral systems out there.
[02:58:20.032 --> 02:58:22.033]  It's just called Hair and Beard.
[02:58:22.033 --> 02:58:23.814]  So get that as well for your immune system.
[02:58:23.814 --> 02:58:26.675]  It's great for women, great for children, but it's designed for men.
[02:58:26.675 --> 02:58:27.515]  MFullWorthStore.com.
[02:58:28.911 --> 02:58:45.142]  In late August, InfoWars saw an explosion of orders because our audience understands that the globalists are destabilizing the planet by design and are attempting to cause an economic and financial collapse worldwide.
[02:58:45.142 --> 02:58:48.785]  Now, ladies and gentlemen, storable food has always been something that's important to have.
[02:58:48.785 --> 02:58:55.470]  It's a checkbox that everybody needs to have taken care of, right along with water filtration, self-defense, and a relationship with God.
[02:58:56.090 --> 02:59:00.153]  But now more than ever, you need to get your storable food orders in now.
[02:59:00.153 --> 02:59:02.894]  We're ready to ship to you within 24 hours of your order.
[02:59:02.894 --> 02:59:03.715]  It's high quality.
[02:59:03.715 --> 02:59:06.917]  It's very, very low cost at InfoWarsTore.com.
[02:59:06.917 --> 02:59:14.281]  Because in the future, you're going to see more food supply shortages and you're going to see food supply price increases that are already taking place.
[02:59:14.281 --> 02:59:20.445]  So lock in your storable food now at a lower price and fund the InfoWar at InfoWarsTore.com.
[02:59:20.445 --> 02:59:24.928]  That's how you fight the Great Reset, is by being self-sufficient and not under their control.
[02:59:25.188 --> 02:59:32.310]  So get prepared now at m4warstore.com.
[02:59:32.310 --> 02:59:35.691]  You're listening to the Alex Jones Show.
[02:59:35.691 --> 02:59:45.454]  One of our crew members five years ago was going to Vietnam.
[02:59:47.295 --> 02:59:52.158]  For a month-long trip they've been planning for years, and they got the vaccines to go and got deadly ill.
[02:59:52.158 --> 02:59:56.660]  The medical doctor told her, if you ever take another vaccine again, you've developed an autoimmune response, it'll kill you.
[02:59:56.660 --> 02:59:58.041]  No vaccines ever again.
[02:59:58.041 --> 03:00:03.945]  Well, Brian Stelter's on the news saying, basically, stop everybody, go after everybody, even if you already have learned immunity.
[03:00:03.945 --> 03:00:10.608]  Military service members with natural immunity filed a lawsuit against DOD, FDA, HHS over COVID vaccine mandate.
[03:00:10.608 --> 03:00:12.630]  What if you already have a natural immunity?
[03:00:12.630 --> 03:00:15.191]  They say you should never take a vaccine once you have it.
[03:00:15.191 --> 03:00:16.492]  It can cause major problems.
[03:00:16.892 --> 03:00:18.113]  We got four minutes.
[03:00:18.113 --> 03:00:18.714]  He's here with us.
[03:00:18.714 --> 03:00:21.176]  Dr. Boyle is a very respected lawyer.
[03:00:21.176 --> 03:00:24.700]  He's fought the forced injections in court marshals.
[03:00:24.700 --> 03:00:26.061]  He helped end a lot of them.
[03:00:26.061 --> 03:00:28.143]  So in four minutes we got left, sir.
[03:00:28.143 --> 03:00:30.366]  A lot of military, as I said, have called in.
[03:00:30.366 --> 03:00:33.168]  They wanted to have you on to give advice.
[03:00:33.168 --> 03:00:34.510]  Please give them as much info as you can.
[03:00:35.854 --> 03:00:36.294]  Hi, Alex.
[03:00:36.294 --> 03:00:45.261]  Well, first, we all know that CNN is a front organization for the CIA, and they work in cahoots with the CDC.
[03:00:45.261 --> 03:00:49.825]  As for MSNBC, MS, Microsoft, that's Bill Gates.
[03:00:49.825 --> 03:00:51.666]  So you can't believe anything they're telling you.
[03:00:52.508 --> 03:00:53.730]  What can I say?
[03:00:53.730 --> 03:00:58.974]  Now, as for our current members of U.S.
[03:00:58.974 --> 03:01:07.402]  Armed Forces, under military law, you have a right to disobey an illegal order.
[03:01:07.402 --> 03:01:09.484]  That is well established.
[03:01:09.484 --> 03:01:13.769]  You can find that in the Uniform Code of Military Justice and also in the
[03:01:15.850 --> 03:01:20.094]  Manual on that Winthrop on military law.
[03:01:20.094 --> 03:01:41.451]  And indeed, I have successfully defended, helped defend, the first Gulf War resister to the first Gulf War by Bush Senior, Jeff Patterson, arguing that the order given to Corporal Patterson when he was at Kanahoe Bay, Hawaii, to ship out to
[03:01:43.292 --> 03:01:47.553]  Saudi Arabia was illegal and he didn't have to obey it.
[03:01:47.553 --> 03:01:51.735]  And we got Patterson out of the Marine Corps on that argument.
[03:01:51.735 --> 03:02:08.159]  You can read it if you want to, my book, Protesting Power, War, Resistance, and Law, and how we did it in Chapter 4, The Constitutionality of President George H. Bush Senior War Against Iraq on trial.
[03:02:08.783 --> 03:02:14.955]  So this strategy has been taken before.
[03:02:14.955 --> 03:02:17.861]  So you can't blow your cool.
[03:02:17.861 --> 03:02:20.707]  Obviously, you know, if you get an order,
[03:02:21.723 --> 03:02:24.564]  You're in the military command there.
[03:02:24.564 --> 03:02:26.484]  You cannot get upset.
[03:02:26.484 --> 03:02:28.565]  You cannot curse anyone out.
[03:02:28.565 --> 03:02:34.306]  Obviously, you have to be respectful and you just say, you know, I'm very sorry, sir.
[03:02:34.306 --> 03:02:38.667]  I cannot obey this order to take the frankenshots.
[03:02:38.667 --> 03:02:48.130]  It is clearly an illegal order in violation of the Nuremberg Code on medical experimentation, which is a Nuremberg crime.
[03:02:48.810 --> 03:02:57.034]  And also a Nuremberg crime against humanity in violation of the Nuremberg Charter judgment and principles.
[03:02:57.034 --> 03:03:01.276]  How to argue all that is in my book, That Check.
[03:03:01.276 --> 03:03:04.837]  And that, I think, would be the response.
[03:03:04.837 --> 03:03:12.381]  And then, you know, it would be up to them, your commanding officer, to decide what to do with you.
[03:03:12.381 --> 03:03:17.883]  My advice would be, at this time, to a group of you get together,
[03:03:18.984 --> 03:03:23.303]  And try now to line up civilian.
[03:03:24.428 --> 03:03:26.409]  Attorneys to defend you.
[03:03:26.409 --> 03:03:30.051]  I don't mean any disrespect to JAG lawyers.
[03:03:30.051 --> 03:03:44.678]  I've worked with some of them and some of them have been very courageous down there at Gitmo, knowingly forfeiting their JAG careers, standing up for Gitmo detainees.
[03:03:44.678 --> 03:03:51.181]  But the bottom line is JAG lawyers are still in a military chain of command.
[03:03:51.801 --> 03:03:58.524]  And in a highly politicized case like this, there's only so much JAG lawyers can do for you.
[03:03:58.524 --> 03:04:12.209]  So you're there at a military base and there are probably around there retired JAG lawyers, retired JAG judges who are familiar with the military justice system.
[03:04:13.409 --> 03:04:16.751]  Absolutely.
[03:04:16.751 --> 03:04:18.072]  Dr. Boyle, we're out of time.
[03:04:18.072 --> 03:04:19.072]  Thank you so much.
[03:04:19.072 --> 03:04:20.813]  And again, people can read online.
[03:04:20.813 --> 03:04:22.454]  There's a way with written orders to go up.
[03:04:22.454 --> 03:04:23.595]  Just be polite about it.
[03:04:23.595 --> 03:04:25.876]  They've got so many saying no, they're not going to be able to make you do it.
[03:04:25.876 --> 03:04:26.616]  Thank you, Dr. Boyle.
[03:04:26.616 --> 03:04:28.377]  Amazing interview.
[03:04:28.377 --> 03:04:29.377]  Well, thanks a lot, Alex.
[03:04:29.377 --> 03:04:35.020]  Again, my best to you and your listening audience in these dire times that face us all.
[03:04:35.020 --> 03:04:35.460]  Absolutely.
[03:04:35.460 --> 03:04:35.921]  Back at you.
[03:04:35.921 --> 03:04:36.381]  We'll be right back.
[03:04:38.049 --> 03:04:41.253]  There are a lot of energy drinks and energy pills on the market.
[03:04:41.253 --> 03:04:45.998]  And of course, most of them work because if something doesn't work, people aren't going to reorder it.
[03:04:45.998 --> 03:04:47.500]  But they have side effects.
[03:04:47.500 --> 03:04:48.541]  They have chemicals.
[03:04:48.541 --> 03:04:56.210]  They have dyes in them that hurt your brain and hurt your cells and hurt your body in the process and leave you burnt out and hungover.
[03:04:56.850 --> 03:05:08.844]  InfoWars for years has consulted top developers and top labs to bring you BrainForce+, to bring you TurboForce, and other clean formulas that give you long, sustained, focused energy.
[03:05:08.844 --> 03:05:13.169]  Well now, we are introducing something that is at the next level.
[03:05:13.169 --> 03:05:14.731]  Multiple years in development.
[03:05:15.171 --> 03:05:17.612]  It is Brain Force Ultra.
[03:05:17.612 --> 03:05:25.775]  It is a liquid in a dropper and it is twice as strong as Brain Force Plus just in the natural caffeine department.
[03:05:25.775 --> 03:05:34.138]  Then it's got a bunch of other powerful herbs and compounds that will take your focus and your clarity to the next level with clean energy.
[03:05:34.138 --> 03:05:35.538]  And it funds the InfoWar.
[03:05:35.538 --> 03:05:38.179]  Exclusively available at InfoWarStore.com.
[03:05:38.579 --> 03:05:44.900]  What if you could cut your heating bills this winter with your existing wood burning fireplace and not spend thousands doing it?
[03:05:44.900 --> 03:05:47.861]  You can with Great Wall of Fire Fireplace Grates.
[03:05:47.861 --> 03:05:48.301]  Our U.S.
[03:05:48.301 --> 03:05:56.442]  patented made in America wall of fire grates increase fireplace efficiency, eliminate fireplace smoke problems and come with a 30 day money back guarantee.
[03:05:56.442 --> 03:06:02.003]  See our grates in action and get free shipping from wall of fire dot com or call 800 2 7 4 7 3 6 4 fireplace heat without
[03:06:08.902 --> 03:06:09.722]  Hey, everybody.
[03:06:09.722 --> 03:06:12.944]  Confused about staying healthy in a crazy COVID culture?
[03:06:12.944 --> 03:06:13.705]  Me too.
[03:06:13.705 --> 03:06:20.829]  But listen, after all the research, all the conflicting studies, after all the squabbling, there's one thing almost everyone agrees on.
[03:06:20.829 --> 03:06:25.212]  It's that immune system health can literally be the difference between life and death.
[03:06:25.212 --> 03:06:27.113]  You probably already believe that.
[03:06:27.113 --> 03:06:28.133]  I certainly do.
[03:06:28.133 --> 03:06:29.074]  So here's the thing.
[03:06:29.074 --> 03:06:37.379]  I wanted to get past the craziness and find out which plant-based substances actually have studies that demonstrate some efficacy in immune support.
[03:06:37.919 --> 03:06:43.363]  Now, you'll have to sign a waiver, but you can check out what I've discovered at StrongerDefense.com.
[03:06:43.363 --> 03:06:44.704]  No cures or treatments there.
[03:06:44.704 --> 03:06:53.870]  Instead, little-known but shocking immune system research and a breakthrough immune support product based on that research called Immune 10X.
[03:06:53.870 --> 03:06:54.770]  And the best part?
[03:06:54.770 --> 03:07:01.475]  You can go to the Stronger Defense website right now and claim your own supply of Immune 10X without paying anything today.
[03:07:01.475 --> 03:07:02.295]  Crazy, right?
[03:07:02.295 --> 03:07:06.278]  Learn more about this unusual limited-time offer at StrongerDefense.com.
[03:07:06.278 --> 03:07:07.459]  That's StrongerDefense.com.
[03:07:08.600 --> 03:07:09.820]  Hi, I'm Dan Pilla.
[03:07:09.820 --> 03:07:13.743]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[03:07:13.743 --> 03:07:15.284]  I sued the IRS and won.
[03:07:15.284 --> 03:07:18.226]  I beat the IRS then, and I've been beating them ever since.
[03:07:18.226 --> 03:07:23.790]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[03:07:23.790 --> 03:07:24.991]  I can help you, too.
[03:07:24.991 --> 03:07:27.892]  If you owe taxes you can't pay, don't wait another day.
[03:07:27.892 --> 03:07:30.114]  There's no such thing as a hopeless tax case.
[03:07:30.114 --> 03:07:34.517]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[03:07:34.517 --> 03:07:36.818]  That's danpilla.com, danpilla.com.
[03:07:40.973 --> 03:07:46.239]  Ladies and gentlemen, I am introducing you to RainForce Ultra.
[03:07:46.239 --> 03:07:53.407]  It is our mission to bring you products that boost your mind, give you energy with clean mental focus and clarity.
[03:07:53.407 --> 03:07:56.550]  And RainForce Plus is amazing, so is TurboForce.
[03:07:56.550 --> 03:07:59.553]  They're two different products that do different things.
[03:07:59.553 --> 03:08:00.494]  This new formula
[03:08:01.598 --> 03:08:05.799]  Drop For Drop is the strongest, probably out there, period.
[03:08:05.799 --> 03:08:12.842]  Just on the caffeine scale, it's twice as strong as Brain Force Plus, and it's from natural, high-quality organic sources.
[03:08:12.842 --> 03:08:18.164]  And it's got a bunch of other herbs known for deep clarity and long focus.
