[00:00.000 --> 00:01.400]  We've got it, Douga.
[01:26:54.800 --> 01:26:55.800]  Okay.
[01:26:55.800 --> 01:26:57.800]  This is what tyranny looks like.
[01:26:57.800 --> 01:27:01.800]  You haven't experienced it yet because your forefathers would rather die than be slaves.
[01:27:01.800 --> 01:27:03.800]  We became jellyfish.
[01:27:03.800 --> 01:27:04.800]  We acted like sheep.
[01:27:04.800 --> 01:27:06.800]  The wolves came.
[01:27:06.800 --> 01:27:10.800]  When you roll over and make dying sounds the middle of the woods and, you know,
[01:27:10.800 --> 01:27:14.800]  Northern Canada, big, big timber wolves are going to come rip your throat out.
[01:27:14.800 --> 01:27:17.800]  When you act like a man, they're going to run in fear.
[01:27:17.800 --> 01:27:20.800]  Like with grizzly bears, you stand your ground or you run at them.
[01:27:20.800 --> 01:27:22.800]  Then you got maybe a 95% chance of living.
[01:27:22.800 --> 01:27:26.800]  You run your dead.
[01:27:26.800 --> 01:27:28.800]  You understand that?
[01:27:28.800 --> 01:27:30.800]  You got to face these people.
[01:27:30.800 --> 01:27:35.800]  Can you guys, if you can find it, pull up David Knight's EPA Alex Jones analogy.
[01:27:35.800 --> 01:27:36.800]  It was only like two minutes long.
[01:27:36.800 --> 01:27:37.800]  It was so good.
[01:27:37.800 --> 01:27:40.800]  I don't think we heard that on the weekday show, but it's so good.
[01:27:40.800 --> 01:27:44.800]  What's the name that we can call David to one of our reporters.
[01:27:44.800 --> 01:27:47.800]  It's, uh, it's a EPA Alex Jones analogy.
[01:27:47.800 --> 01:27:49.800]  I forget the exact name of it.
[01:27:49.800 --> 01:27:50.800]  Let's just call David Knight.
[01:27:50.800 --> 01:27:51.800]  Let's just call David Knight.
[01:27:51.800 --> 01:27:52.800]  That, that'll be the quick.
[01:27:52.800 --> 01:27:53.800]  I can call him during the break.
[01:27:53.800 --> 01:27:54.800]  We're about to go to break.
[01:27:54.800 --> 01:27:57.800]  Uh, New York City Board of Elections.
[01:27:57.800 --> 01:28:00.800]  It's possible voting may be permitted beyond Tuesday.
[01:28:00.800 --> 01:28:02.800]  This is big news.
[01:28:02.800 --> 01:28:06.800]  I mean, that means a postponed election.
[01:28:06.800 --> 01:28:08.800]  That means all the lawyers involved.
[01:28:08.800 --> 01:28:11.800]  That means time and these states can trouble the Democrats.
[01:28:11.800 --> 01:28:16.800]  We're Romney's winning in Michigan, in Colorado, in Ohio, in Minnesota.
[01:28:16.800 --> 01:28:19.800]  We're traditionally Democrat where the Democratic Party runs things.
[01:28:19.800 --> 01:28:23.800]  Now they're going to have a chance to fix things while the wait is on.
[01:28:23.800 --> 01:28:25.800]  Oh yeah.
[01:28:25.800 --> 01:28:30.800]  Just like the Republicans fixed thing was when Ron Paul won Iowa and Maine.
[01:28:30.800 --> 01:28:31.800]  Oh, you bragged.
[01:28:31.800 --> 01:28:33.800]  The Republicans even bragged they stolen them.
[01:28:33.800 --> 01:28:34.800]  That's how arrogant they are.
[01:28:34.800 --> 01:28:36.800]  Well, now they get to have the same thing back.
[01:28:36.800 --> 01:28:39.800]  Uh, so that's all, uh, coming out.
[01:28:39.800 --> 01:28:44.800]  Four men arrested in Pittsburgh for stealing Romney signs while driving a sheet metal truck.
[01:28:44.800 --> 01:28:45.800]  We got other reports.
[01:28:45.800 --> 01:28:49.800]  Las Vegas woman arrested trying to vote twice. You guessed it.
[01:28:49.800 --> 01:28:52.800]  We're going to come back, ladies and gentlemen.
[01:28:52.800 --> 01:29:21.800]  They're already telling us Obama, he's won the 2012 election.
[01:29:22.800 --> 01:29:25.800]  Optional fluoride filters can reduce fluoride up to 95%.
[01:29:25.800 --> 01:29:27.800]  Easy to set up and use.
[01:29:27.800 --> 01:29:28.800]  Doesn't require electricity.
[01:29:28.800 --> 01:29:31.800]  Purify water from lake streams, ponds and wells.
[01:29:31.800 --> 01:29:35.800]  This filter system leaves in beneficial minerals, which is key.
[01:29:35.800 --> 01:29:39.800]  Save money by not buying bottled water and avoid BPA that leaches from the plastic.
[01:29:39.800 --> 01:29:42.800]  Propure is the best gravity-fed filter out there.
[01:29:42.800 --> 01:29:43.800]  It's what my family uses.
[01:29:43.800 --> 01:29:47.800]  Infowars.com already has the lowest price on Propure.
[01:29:47.800 --> 01:29:51.800]  But if you add the promo code water at checkout, you get an additional 10% off.
[01:29:51.800 --> 01:29:57.800]  And in FullWars.com, you can also call to order 888-253-3139.
[01:29:57.800 --> 01:29:58.800]  Aaron Fullen here.
[01:29:58.800 --> 01:30:03.800]  As the food police shut down food co-ops, the Amish and small farmers, Americans are losing access,
[01:30:03.800 --> 01:30:08.800]  not just to raw milk and homemade cheeses, but to healthy, home-crafted sources for fermented foods
[01:30:08.800 --> 01:30:10.800]  like sauerkraut, yogurt and kefir.
[01:30:10.800 --> 01:30:14.800]  It seems there's a war on life-giving foods with living enzymes and healthy bacteria.
[01:30:14.800 --> 01:30:17.800]  But frankly, I'm not sure what the food police are so afraid of.
[01:30:17.800 --> 01:30:21.800]  These remarkable foods have been around since the beginning of history, with archaeological evidence for
[01:30:21.800 --> 01:30:25.800]  fermented foods and beverages being found across the globe in almost every culture.
[01:30:25.800 --> 01:30:30.800]  Even today, Japanese eat miso, Africans eat fermented porges, Koreans eat kamichi,
[01:30:30.800 --> 01:30:33.800]  and in India, fermented milk is a staple for healthy living.
[01:30:33.800 --> 01:30:34.800]  But here's some good news.
[01:30:34.800 --> 01:30:38.800]  South Reliant Americans can now discover the secrets to making these amazing fermented foods
[01:30:38.800 --> 01:30:40.800]  legally and privately in their own homes.
[01:30:40.800 --> 01:30:43.800]  Since it's still legal to make these foods as long as you can make them yourself.
[01:30:43.800 --> 01:30:48.800]  For more information, check out fermentationfactor.com. That's fermentationfactor.com.
[01:30:48.800 --> 01:30:54.800]  It's easy to create your own powerful fermented foods, and you can do it by going to www.fermentationfactor.com.
[01:30:54.800 --> 01:31:14.800]  That's www.fermentationfactor.com.
[01:31:25.800 --> 01:31:27.800]  This is the film for you.
[01:31:27.800 --> 01:31:31.800]  Don't forget, your purchase supports our broadcast and our growing media network.
[01:31:31.800 --> 01:31:34.800]  You'll also find it in www.FullWarShop.com.
[01:31:34.800 --> 01:31:36.800]  None dare call a conspiracy by Gary Allen.
[01:31:36.800 --> 01:31:38.800]  The book that woke me up.
[01:31:38.800 --> 01:31:42.800]  We're also carrying behind the green mask, You in Agenda 21 by Rosa Corey.
[01:31:42.800 --> 01:31:45.800]  This book is coffin nails to the globalist takeover.
[01:31:45.800 --> 01:31:49.800]  The greater good, the most professional and up-to-date film I've ever seen,
[01:31:49.800 --> 01:31:52.800]  exposing the scourge that is vaccines.
[01:31:52.800 --> 01:31:57.800]  These titles and a lot more are all available at infowarshop.com.
[01:32:22.800 --> 01:32:27.800]  You can create endless supply of silver anytime, anywhere, for any application.
[01:32:27.800 --> 01:32:31.800]  The Silver Lungs Generator is a one-time purchase that requires no maintenance,
[01:32:31.800 --> 01:32:34.800]  nor replacement parts for the life of the unit.
[01:32:34.800 --> 01:32:39.800]  This product was designed to be an invaluable part of your vital preparations.
[01:32:39.800 --> 01:32:43.800]  For a detailed report on the differences between ionic silver, colloidal silver,
[01:32:43.800 --> 01:32:46.800]  and what most silver solution manufacturers are producing,
[01:32:46.800 --> 01:32:52.800]  please visit our website at www.silverlungs.com for more information
[01:32:52.800 --> 01:32:57.800]  on why you should be producing your own silver solutions right from your home forever.
[01:32:58.800 --> 01:33:01.800]  Coast to coast, direct from Austin.
[01:33:01.800 --> 01:33:06.800]  You're listening to the Alex Jones Broadcasting Network.
[01:33:06.800 --> 01:33:15.800]  Music
[01:33:15.800 --> 01:33:20.800]  Leading up frontal assault on the lies of the New World Order,
[01:33:20.800 --> 01:33:24.800]  it's Alex Jones on the GCN Radio Network.
[01:33:24.800 --> 01:33:29.800]  Smoke on the water, fire in the sky.
[01:33:30.800 --> 01:33:32.800]  Alright, we're gonna go to your phone calls,
[01:33:32.800 --> 01:33:35.800]  and we've got two short special reports in the final segment coming up.
[01:33:35.800 --> 01:33:37.800]  We'll also take calls next segment.
[01:33:37.800 --> 01:33:40.800]  But since I mentioned it,
[01:33:40.800 --> 01:33:45.800]  that liner says leading up frontal assault on the New World Order.
[01:33:45.800 --> 01:33:47.800]  And that's the answer.
[01:33:47.800 --> 01:33:50.800]  We're the good guys, whether you're old, young,
[01:33:50.800 --> 01:33:55.800]  whether you live in New York City or Los Angeles or Austin, Texas.
[01:33:55.800 --> 01:33:59.800]  If you love freedom and you love choice,
[01:33:59.800 --> 01:34:01.800]  then you should support the Constitution and Bill of Rights.
[01:34:01.800 --> 01:34:05.800]  Not that we ever implemented the whole thing, but it's really a good idea.
[01:34:05.800 --> 01:34:09.800]  That's why it's under attack by authoritarians worldwide.
[01:34:09.800 --> 01:34:12.800]  And I'm gonna play a couple of reports put together,
[01:34:12.800 --> 01:34:14.800]  a new one premiering in here by David Knight,
[01:34:14.800 --> 01:34:17.800]  the same reporter and David Ortiz coming up in the next segment.
[01:34:17.800 --> 01:34:20.800]  But I talk about coyotes.
[01:34:20.800 --> 01:34:25.800]  Coyotes have not been recorded until recent times to kill people.
[01:34:25.800 --> 01:34:28.800]  But I go all over Austin because I'm a big hiker,
[01:34:28.800 --> 01:34:31.800]  these signs everywhere saying, you know, where's my cat, where's my little dog?
[01:34:31.800 --> 01:34:33.800]  Well, coyotes ate them.
[01:34:33.800 --> 01:34:37.800]  But the very same liberals don't want anybody to shoot the coyotes.
[01:34:37.800 --> 01:34:40.800]  So the coyotes know, come into Austin with the green belts
[01:34:40.800 --> 01:34:42.800]  and eat your small dog, eat your cat.
[01:34:42.800 --> 01:34:45.800]  People have had their large dogs attacked by packs of coyotes
[01:34:45.800 --> 01:34:48.800]  and had their, well, they do the same thing
[01:34:48.800 --> 01:34:50.800]  the Democrats wanted to do to Mitt Romney in that clip we played.
[01:34:50.800 --> 01:34:54.800]  They ripped the genitals off, the nose off, you name it,
[01:34:54.800 --> 01:34:56.800]  if they're not able to kill the animal.
[01:34:56.800 --> 01:34:58.800]  And coyote attacked her at record numbers.
[01:34:58.800 --> 01:35:02.800]  But I saw an article last year out of what Arkansas where a woman was at a park,
[01:35:02.800 --> 01:35:07.800]  ran from coyotes and they killed her.
[01:35:07.800 --> 01:35:12.800]  See, if you run from a predator, it thinks you're prey.
[01:35:12.800 --> 01:35:18.800]  But if you stand up to it, it will back off nine times out of 10.
[01:35:18.800 --> 01:35:20.800]  Same thing with polar bears, grizzly bears.
[01:35:20.800 --> 01:35:23.800]  You roll over and fear you're dead.
[01:35:23.800 --> 01:35:25.800]  You stand your ground and thump your chest.
[01:35:25.800 --> 01:35:27.800]  It's going to think, well, I'm going to leave that alone.
[01:35:27.800 --> 01:35:30.800]  That doesn't look like a seal. That doesn't look like prey.
[01:35:30.800 --> 01:35:33.800]  That looks like something ready to get it on.
[01:35:33.800 --> 01:35:36.800]  If you hold a stick up in front of a bear like it's a gun, they're...
[01:35:36.800 --> 01:35:39.800]  animals are smart, folks.
[01:35:39.800 --> 01:35:42.800]  I can be out in the woods without a rifle and there's squirrels all over the place
[01:35:42.800 --> 01:35:43.800]  barking at me in a tree.
[01:35:43.800 --> 01:35:47.800]  But I grab a stick and act like it's a rifle, they're all gone.
[01:35:47.800 --> 01:35:50.800]  Crows up in the top of a pine tree will shut up.
[01:35:50.800 --> 01:35:52.800]  I'm a hunter. I know these things.
[01:35:52.800 --> 01:35:54.800]  I'm a primitive man.
[01:35:54.800 --> 01:35:56.800]  I'm also advanced.
[01:35:56.800 --> 01:35:58.800]  You see, when I'm primitive, it gets me back to my roots,
[01:35:58.800 --> 01:36:01.800]  which allow me in this modern world to excel
[01:36:01.800 --> 01:36:03.800]  because they've trained you to be a jellyfish.
[01:36:03.800 --> 01:36:07.800]  The answer is to get back to our roots of being wily and smart.
[01:36:07.800 --> 01:36:09.800]  None of us want to be domesticated.
[01:36:09.800 --> 01:36:13.800]  Nobody selling us on a free lunch wants to really give us a free lunch.
[01:36:13.800 --> 01:36:14.800]  They want to run our lives.
[01:36:14.800 --> 01:36:17.800]  And that goes for Mitt Romney and Barack Obama.
[01:36:17.800 --> 01:36:20.800]  So David Knight broke down this parallel between,
[01:36:20.800 --> 01:36:23.800]  if you're listening on the radio, he shows video and he talks about the bears,
[01:36:23.800 --> 01:36:27.800]  what to do of Alex Jones, myself, and others out there protesting.
[01:36:27.800 --> 01:36:31.800]  The video is called EPA Lies About the Smoky Mountains.
[01:36:31.800 --> 01:36:33.800]  They say the Smoky Mountains are smoky.
[01:36:33.800 --> 01:36:35.800]  The old Indian word meant smoky mountains.
[01:36:35.800 --> 01:36:37.800]  It's haze, hot air and cold air hitting.
[01:36:37.800 --> 01:36:39.800]  But they say it's pollution. That's why they're smoky.
[01:36:39.800 --> 01:36:41.800]  So pay Al Gore money. Here's the clip.
[01:36:41.800 --> 01:36:44.800]  I'm David Knight reporting for Infowars Nightly News.
[01:36:44.800 --> 01:36:47.800]  Just before I left for Austin, I took my family to the Smoky Mountains.
[01:36:47.800 --> 01:36:50.800]  Now, long before the Europeans named it the Smoky Mountains,
[01:36:50.800 --> 01:36:53.800]  the Cherokee had a name for it. And if I pronounce it correctly,
[01:36:53.800 --> 01:36:55.800]  it's something like Chakonokwe,
[01:36:55.800 --> 01:36:59.800]  which means place of the fine particulate smog.
[01:36:59.800 --> 01:37:02.800]  No, not actually. That's what the EPA wants you to think.
[01:37:02.800 --> 01:37:05.800]  I was surprised to see this graphic on the EPA site
[01:37:05.800 --> 01:37:08.800]  where they explain what PM 2.5 is.
[01:37:08.800 --> 01:37:11.800]  They use the Smoky Mountains as a poster child.
[01:37:11.800 --> 01:37:16.800]  Is it really PM 2.5 and man-made smog that makes the Smoky Mountains smoky?
[01:37:16.800 --> 01:37:18.800]  No. We all know that it isn't.
[01:37:18.800 --> 01:37:21.800]  But we see this kind of thing done over and over again
[01:37:21.800 --> 01:37:24.800]  like they did with polar bears on ice floes. Remember that?
[01:37:24.800 --> 01:37:27.800]  And, of course, Al Gore is telling us that the oceans are rising,
[01:37:27.800 --> 01:37:31.800]  but he builds his $9 million mansion in Montecito, California,
[01:37:31.800 --> 01:37:33.800]  right on the ocean side.
[01:37:33.800 --> 01:37:35.800]  So I don't think he believes that either.
[01:37:35.800 --> 01:37:39.800]  But they use these subliminal messages to try to convince us.
[01:37:39.800 --> 01:37:41.800]  And it can be quite effective.
[01:37:41.800 --> 01:37:44.800]  Speaking of bears, every visitor to the Smoky Mountains
[01:37:44.800 --> 01:37:46.800]  gets a handout that looks like this,
[01:37:46.800 --> 01:37:48.800]  warning you about black bears.
[01:37:48.800 --> 01:37:51.800]  As my wife was reading that to the small children,
[01:37:51.800 --> 01:37:54.800]  I started thinking a lot of the stuff they were saying about bears
[01:37:54.800 --> 01:37:57.800]  could be said about government, especially about the EPA.
[01:37:57.800 --> 01:37:59.800]  Let me just read a few things here.
[01:37:59.800 --> 01:38:04.800]  With aggressive behavior, the bear, the EPA, is demanding more space.
[01:38:04.800 --> 01:38:08.800]  If the bear or EPA continues to follow you, stand your ground.
[01:38:08.800 --> 01:38:11.800]  If the EPA gets closer, talk louder or shout at it.
[01:38:11.800 --> 01:38:12.800]  Act aggressively.
[01:38:12.800 --> 01:38:14.800]  Act together as a group if you have companions.
[01:38:14.800 --> 01:38:17.800]  Make yourself look as large as possible.
[01:38:17.800 --> 01:38:19.800]  Don't run. Don't turn away.
[01:38:19.800 --> 01:38:21.800]  And don't feed the EPA.
[01:38:21.800 --> 01:38:23.800]  It only encourages further problems.
[01:38:23.800 --> 01:38:26.800]  David Knight, Friend for Wars Nightly News.
[01:38:26.800 --> 01:38:29.800]  Okay, let's go to your calls as quickly as possible.
[01:38:29.800 --> 01:38:33.800]  Lucas, Dan, Greg, Dave, Bozer, Scott, and DC, and others.
[01:38:33.800 --> 01:38:35.800]  We'll get to all of you if we have time.
[01:38:35.800 --> 01:38:37.800]  Lucas in FEMA Region 5.
[01:38:37.800 --> 01:38:42.800]  I'm in FEMA Region Texas, former Texas.
[01:38:42.800 --> 01:38:44.800]  Oh, it's FEMA Region 4 now.
[01:38:44.800 --> 01:38:46.800]  Texas is FEMA Region 6.
[01:38:46.800 --> 01:38:50.800]  So, Lucas, where are you in FEMA Region 5?
[01:38:50.800 --> 01:38:51.800]  Indiana.
[01:38:51.800 --> 01:38:52.800]  All right, buddy.
[01:38:52.800 --> 01:38:55.800]  What do you think of all the stuff we've covered today?
[01:38:55.800 --> 01:38:58.800]  We've done a great job as usual.
[01:38:58.800 --> 01:39:01.800]  Same situation we're in, 2008.
[01:39:01.800 --> 01:39:04.800]  Two puppets to choose from.
[01:39:04.800 --> 01:39:05.800]  I choose neither.
[01:39:05.800 --> 01:39:08.800]  But I just want to let you know that I'm a huge info war supporter.
[01:39:08.800 --> 01:39:10.800]  I'm a prison plant TV member.
[01:39:10.800 --> 01:39:12.800]  I hand out your DVDs all the time.
[01:39:12.800 --> 01:39:14.800]  I turn a lot of people on your websites,
[01:39:14.800 --> 01:39:17.800]  and I've had a lot of success waking people up with your information.
[01:39:17.800 --> 01:39:18.800]  Well, God bless you, sir.
[01:39:18.800 --> 01:39:20.800]  Indiana is really waking up.
[01:39:20.800 --> 01:39:23.800]  We've gotten a lot of information from Indiana.
[01:39:23.800 --> 01:39:25.800]  Again, I know Romney's a globalist as well.
[01:39:25.800 --> 01:39:31.800]  My point is, what do you make of talk of trying to get race riots going by the media?
[01:39:31.800 --> 01:39:33.800]  I mean, if you or I went on air and told people,
[01:39:33.800 --> 01:39:37.800]  riot if Romney doesn't win, we'd be locked up.
[01:39:37.800 --> 01:39:40.800]  Why is Michael Moore allowed to do that?
[01:39:40.800 --> 01:39:45.800]  As you pointed out, it's a divide and conquer tactic.
[01:39:45.800 --> 01:39:47.800]  Obviously, they want people out at each other's throats
[01:39:47.800 --> 01:39:51.800]  rather than paying attention to what's going on above them.
[01:39:51.800 --> 01:39:54.800]  But hey, I wanted to point out there's a major story
[01:39:54.800 --> 01:39:56.800]  that I think needs your attention,
[01:39:56.800 --> 01:39:59.800]  and the alternative media has kind of missed it.
[01:39:59.800 --> 01:40:02.800]  Tell me.
[01:40:02.800 --> 01:40:04.800]  Okay, there's an article on activist posts.
[01:40:04.800 --> 01:40:06.800]  I don't want to plug a website or anything like that.
[01:40:06.800 --> 01:40:08.800]  I don't care, activist posts is a nice site.
[01:40:08.800 --> 01:40:10.800]  What's it reporting on?
[01:40:10.800 --> 01:40:15.800]  The article is titled, Obama Doctrine,
[01:40:15.800 --> 01:40:17.800]  the New International Order,
[01:40:17.800 --> 01:40:22.800]  and it's an analysis of the National Security Strategy of 2010.
[01:40:22.800 --> 01:40:24.800]  And it's all about this new international order
[01:40:24.800 --> 01:40:26.800]  and giving more authority.
[01:40:26.800 --> 01:40:29.800]  Oh, no, they've said that UN and NATO commands our military.
[01:40:29.800 --> 01:40:31.800]  That is a big issue.
[01:40:31.800 --> 01:40:33.800]  I mean, I've got congressional hearings,
[01:40:33.800 --> 01:40:35.800]  but they say NATO is now over our military.
[01:40:35.800 --> 01:40:37.800]  We might come to Congress, but we don't need you.
[01:40:37.800 --> 01:40:40.800]  It's unbelievable treason.
[01:40:40.800 --> 01:40:42.800]  I will pull that up.
[01:40:42.800 --> 01:40:45.800]  Guys, pull up Obama Doctrine and activist post,
[01:40:45.800 --> 01:40:48.800]  and I will get that lot of great stuff over on their site.
[01:40:48.800 --> 01:40:51.800]  So we'll look into that. Anything else, sir?
[01:40:51.800 --> 01:40:53.800]  No, that's where the Libya policy came from.
[01:40:53.800 --> 01:40:56.800]  That's why we had the Secretary of Defense saying,
[01:40:56.800 --> 01:40:58.800]  you know, we can go to NATO or the UN.
[01:40:58.800 --> 01:41:00.800]  I wrote this article for Info Wars.
[01:41:00.800 --> 01:41:02.800]  I tried to get it through e-mail,
[01:41:02.800 --> 01:41:04.800]  but I know you guys are swamped with news tips.
[01:41:04.800 --> 01:41:07.800]  Yeah, there you are. Lucas Bowser contributor.
[01:41:07.800 --> 01:41:10.800]  Okay, well, we'll look at it and see if we can get it up.
[01:41:10.800 --> 01:41:12.800]  Our guys are working to get all the good articles up,
[01:41:12.800 --> 01:41:14.800]  but that's interesting.
[01:41:14.800 --> 01:41:16.800]  We'll look into that, and if you want,
[01:41:16.800 --> 01:41:18.800]  we'll post it up at infowars.com.
[01:41:18.800 --> 01:41:21.800]  Thank you so much. You can always post it at planetinfowars.com,
[01:41:21.800 --> 01:41:23.800]  the social network as well, planetinfowars.com.
[01:41:23.800 --> 01:41:25.800]  Thank you, sir. Let's get to one more before the break,
[01:41:25.800 --> 01:41:27.800]  and then I'll come back with more breaks.
[01:41:27.800 --> 01:41:30.800]  I mean, after the break, let's go to Dan in New Hampshire.
[01:41:30.800 --> 01:41:32.800]  You're on the air.
[01:41:32.800 --> 01:41:34.800]  Hey, Alex, thanks a lot.
[01:41:34.800 --> 01:41:36.800]  I just want to say I've been a fan for years.
[01:41:36.800 --> 01:41:38.800]  I do a great show. I love what you do.
[01:41:38.800 --> 01:41:41.800]  I believe I'm up here in FEMA Region 1.
[01:41:41.800 --> 01:41:42.800]  Yes, you are.
[01:41:42.800 --> 01:41:44.800]  Manchester, New Hampshire.
[01:41:44.800 --> 01:41:47.800]  And a lot of things going on with the election.
[01:41:47.800 --> 01:41:50.800]  Obviously, I think it's pretty cool
[01:41:50.800 --> 01:41:53.800]  that Mitt Romney's going to be here in Manchester tomorrow night.
[01:41:53.800 --> 01:41:58.800]  He's doing a concert at the Verizon Center with Kid Rock,
[01:41:58.800 --> 01:42:01.800]  and I thought it was interesting because he's here
[01:42:01.800 --> 01:42:03.800]  a week before the election.
[01:42:03.800 --> 01:42:07.800]  Most of New Hampshire's a huge battleground state for him,
[01:42:07.800 --> 01:42:10.800]  but there's not too many electoral votes.
[01:42:10.800 --> 01:42:13.800]  Who is Kid Rock pushing?
[01:42:13.800 --> 01:42:17.800]  From what I understand, it is a Romney event
[01:42:17.800 --> 01:42:20.800]  in which Kid Rock is performing.
[01:42:20.800 --> 01:42:23.800]  Well, that's not a very good endorsement for Romney.
[01:42:23.800 --> 01:42:26.800]  No.
[01:42:26.800 --> 01:42:29.800]  I'm not bad at Kid Rock, but just give me a break.
[01:42:29.800 --> 01:42:36.800]  Right. It's just another pop culture supporting whoever is there.
[01:42:36.800 --> 01:42:41.800]  What do you think of all the calls for race war by the Democrats?
[01:42:41.800 --> 01:42:44.800]  I find that very interesting.
[01:42:44.800 --> 01:42:47.800]  I feel pretty safe here in New Hampshire,
[01:42:47.800 --> 01:42:52.800]  but I'm pretty surprised that they're lashing out and basically...
[01:42:52.800 --> 01:42:54.800]  Well, yeah, it's a form of terrorism.
[01:42:54.800 --> 01:42:59.800]  Exactly. It's unbelievable. They're criminals.
[01:43:24.800 --> 01:43:27.800]  Now, as the price of raw ingredients increases,
[01:43:27.800 --> 01:43:29.800]  eFoods will have to raise prices too.
[01:43:29.800 --> 01:43:31.800]  Now is the time to get your supply.
[01:43:31.800 --> 01:43:33.800]  I recently increased my supply from eFoods Direct
[01:43:33.800 --> 01:43:35.800]  because we've all known this was coming.
[01:43:35.800 --> 01:43:37.800]  You know about their delicious long-term storable foods.
[01:43:37.800 --> 01:43:40.800]  The fact is you can eat at any time to save money today,
[01:43:40.800 --> 01:43:42.800]  and because it's storage for 25 years,
[01:43:42.800 --> 01:43:45.800]  you're locking in today's prices and avoiding the rising food cost.
[01:43:45.800 --> 01:43:48.800]  Don't wait. Call 800-409-5633
[01:43:48.800 --> 01:43:51.800]  or go to eFoodsDirect.com forward slash Alex.
[01:43:51.800 --> 01:43:54.800]  You can bet your life on eFoods Direct.
[01:44:22.800 --> 01:44:25.800]  Optional fluoride filters can reduce fluoride up to 95%.
[01:44:25.800 --> 01:44:28.800]  Easy to set up and use. Doesn't require electricity.
[01:44:28.800 --> 01:44:31.800]  Purify water from lake streams, ponds, and wells.
[01:44:31.800 --> 01:44:34.800]  This filter system leaves in beneficial minerals, which is key.
[01:44:34.800 --> 01:44:36.800]  Save money by not buying bottled water
[01:44:36.800 --> 01:44:39.800]  and avoid BPA that leaches from the plastic.
[01:44:39.800 --> 01:44:41.800]  ProPure is the best gravity-fed filter out there.
[01:44:41.800 --> 01:44:43.800]  It's what my family uses.
[01:44:43.800 --> 01:44:46.800]  Infowars.com already has the lowest price on ProPure.
[01:44:46.800 --> 01:44:49.800]  But if you add the promo code WATER at checkout,
[01:44:49.800 --> 01:44:52.800]  you get an additional 10% off and Infowars.com.
[01:44:52.800 --> 01:44:57.800]  You can also call to order 888-253-3139.
[01:44:57.800 --> 01:44:59.800]  Cold and flu season is upon us.
[01:44:59.800 --> 01:45:02.800]  Protect yourself with supernatural silver,
[01:45:02.800 --> 01:45:05.800]  a revolutionary new broad-spectrum antibacterial.
[01:45:05.800 --> 01:45:08.800]  Recent advances in silver technology
[01:45:08.800 --> 01:45:10.800]  have resulted in a silver solution
[01:45:10.800 --> 01:45:13.800]  that can be used daily to prevent bacteria,
[01:45:13.800 --> 01:45:15.800]  viruses, mold, and food poisoning,
[01:45:15.800 --> 01:45:17.800]  as well as help improve wound healing.
[01:45:17.800 --> 01:45:21.800]  Silver salt technology is safe enough to consume every day,
[01:45:21.800 --> 01:45:25.800]  while powerful enough to destroy the causes of many serious diseases,
[01:45:25.800 --> 01:45:28.800]  like strep throat, staph, pneumonia, colds,
[01:45:28.800 --> 01:45:30.800]  flus, and other harmful pathogens.
[01:45:30.800 --> 01:45:33.800]  This new technology is much more effective
[01:45:33.800 --> 01:45:35.800]  than colloidal or ionic silvers
[01:45:35.800 --> 01:45:38.800]  and has the ability to terminate entire colonies
[01:45:38.800 --> 01:45:41.800]  of harmful bacteria at several hundred times
[01:45:41.800 --> 01:45:43.800]  the effectiveness of older solutions.
[01:45:43.800 --> 01:45:47.800]  Supernatural silver is what you need for any emergency.
[01:45:47.800 --> 01:45:49.800]  Go to SupernaturalSilver.com today
[01:45:49.800 --> 01:45:53.800]  and use the promo code ALEKSES for 20% off
[01:45:53.800 --> 01:46:17.800]  and like us on Facebook.
[01:46:24.800 --> 01:46:27.800]  For more information on how to save money
[01:46:27.800 --> 01:46:29.800]  and how to save money,
[01:46:29.800 --> 01:46:32.800]  visit our website at www.5starsope.com
[01:46:32.800 --> 01:46:37.800]  or call 800-340-7091 for a free catalog.
[01:46:37.800 --> 01:46:39.800]  Buy the one to two month sample package
[01:46:39.800 --> 01:46:42.800]  and enjoy soaps that are twice as good as what you're using now
[01:46:42.800 --> 01:46:46.800]  or save big with a one to two year supply of soaps
[01:46:46.800 --> 01:46:48.800]  for all your cleaning needs.
[01:46:48.800 --> 01:46:50.800]  This is an amazing deal.
[01:46:50.800 --> 01:46:53.800]  Go to SupernaturalSilver.com today
[01:46:53.800 --> 01:46:56.800]  and use the promo code ALEKSES for 20% off
[01:46:56.800 --> 01:46:58.800]  and like us on Facebook.
[01:46:58.800 --> 01:47:01.800]  Go to SupernaturalSilver.com today
[01:47:01.800 --> 01:47:04.800]  and use the promo code ALEKSES for 20% off
[01:47:04.800 --> 01:47:21.800]  and like us on Facebook.
[01:47:34.800 --> 01:47:36.800]  Everything you do,
[01:47:36.800 --> 01:47:42.800]  you think you private lives think nothing of the kind.
[01:47:42.800 --> 01:47:47.800]  There is no true escape big brothers watching all the time.
[01:47:47.800 --> 01:47:50.800]  The NSA is elemental,
[01:47:50.800 --> 01:47:52.800]  its site is clean,
[01:47:52.800 --> 01:47:55.800]  it is perpetual,
[01:47:55.800 --> 01:48:00.800]  it keeps the country free.
[01:48:00.800 --> 01:48:02.800]  Alright, I'm going to stop singing.
[01:48:02.800 --> 01:48:04.800]  I apologize.
[01:48:04.800 --> 01:48:06.800]  The NSA is run by foreign banks
