[00:00.000 --> 00:10.000]  The globalist's great error is to believe that as they collapse humanity, they end up on top.
[01:24:13.600 --> 01:24:15.600]  Are these mad scientists? What's wrong with them?
[01:24:16.720 --> 01:24:18.720]  again, you have
[01:24:19.360 --> 01:24:21.280]  in any form of
[01:24:21.280 --> 01:24:27.440]  In any form of human activity that affects the energy balance of the planet is a form of geo engineering
[01:24:27.440 --> 01:24:33.760]  But the intentional climate intervention programs being mathematically the greatest disrupting factor of all and quite simply
[01:24:34.480 --> 01:24:35.600]  This is
[01:24:35.600 --> 01:24:41.600]  Human insanity at its epitome Alex and not only is it destroying the biosphere the earth's life support systems
[01:24:42.000 --> 01:24:44.880]  It's toxifying every breath we take toxifying soils
[01:24:45.520 --> 01:24:50.160]  And I encourage your listeners. We don't ask anybody to believe anything we say geo engineering watch or work
[01:24:50.160 --> 01:24:52.160]  We ask you to examine the data
[01:24:52.560 --> 01:24:57.680]  Our data from our nasa engineer that works with us and and alex in regard to mr. Trump something
[01:24:57.680 --> 01:25:00.400]  I thought you should know about this and let's hope that you know
[01:25:00.400 --> 01:25:02.400]  There's some different course of action that we see already
[01:25:02.960 --> 01:25:07.440]  One of the air force generals that works directly with us at geoengineering watch.org. He's a retired major general
[01:25:08.000 --> 01:25:08.720]  had
[01:25:08.720 --> 01:25:12.960]  Mr. Trump's top campaign people and mr. Carson's top campaign people in his home
[01:25:13.440 --> 01:25:15.440]  January 2016
[01:25:15.680 --> 01:25:16.880]  on a meeting
[01:25:16.880 --> 01:25:18.400]  strictly about geo engineering
[01:25:18.400 --> 01:25:24.320]  He supplied data that was given to him by geo during watch.org. So we know they know there's no question about that
[01:25:24.400 --> 01:25:28.160]  Unfortunately right now what we see is a ramping up of these programs a lot of scaling back
[01:25:28.640 --> 01:25:33.040]  And and over the oceans is where a lot of people don't know how much climate engineering is going on
[01:25:33.040 --> 01:25:36.480]  And we look at nasa imagery which I examine every day from all over the globe
[01:25:36.960 --> 01:25:41.440]  The amount of spraying going on over our oceans alex is unimaginable. This is trump's blind spot
[01:25:41.600 --> 01:25:44.640]  He loves america so much. He thinks the military is america
[01:25:44.640 --> 01:25:48.400]  And sure the average person of military sacrificing are some of our best people in my experience
[01:25:48.560 --> 01:25:49.680]  I love veterans
[01:25:49.680 --> 01:25:53.760]  But the some of these generals are really whacked out some of them are really great people like the one you're talking about
[01:25:54.480 --> 01:25:58.480]  Uh, and they're fighting hard, but yeah, he just lets them do whatever they want. It's well known
[01:25:58.480 --> 01:26:00.960]  He goes to the cia. He says you're great do whatever you want
[01:26:01.120 --> 01:26:03.840]  He goes to the department of energy do whatever you want if it helps america
[01:26:04.000 --> 01:26:08.880]  He really believes in the scientists and people he doesn't like bankers and bureaucrats and people
[01:26:08.880 --> 01:26:14.640]  But he does tend to just believe in whiz kids stuff and kind of just sign stuff over
[01:26:14.800 --> 01:26:17.920]  I think you and i would agree there's a lot of great people in us military
[01:26:18.000 --> 01:26:24.000]  And they're being told that these operations are some planetary saving measure and that couldn't be further from the truth
[01:26:24.080 --> 01:26:28.640]  By the way, it shows how deep that's what i've been told by generals and and people currently in
[01:26:28.880 --> 01:26:34.560]  Is they're told they're saving the ozone, but the science shows it's killing it and let's go back to it. This is important
[01:26:34.560 --> 01:26:42.560]  Uh, because it's the same thing they do with this compartmentalization. They have kids textbooks saying they're spraying sunscreen
[01:26:42.720 --> 01:26:48.800]  So they admit to children the geoengineering is happening and bill gates is like a little videos for kids at school
[01:26:49.040 --> 01:26:51.920]  But then they tell us as adults don't discuss it. It's not happening
[01:26:53.360 --> 01:26:54.400]  Well, here's the bottom line
[01:26:54.400 --> 01:26:56.400]  We have to get this issue to light
[01:26:56.480 --> 01:27:00.800]  Immediately and everyone can play their part in that if they share credible data and as i stated
[01:27:00.880 --> 01:27:04.080]  No, i agree. It's all on your site. So let me ask you this what so you're talking to the high level military
[01:27:04.080 --> 01:27:06.480]  They're being told this is a earth saving event
[01:27:07.440 --> 01:27:11.200]  They are and this is where again, that's well, I was told by a high level operative
[01:27:11.520 --> 01:27:13.280]  They were told when it started 20 years ago
[01:27:13.440 --> 01:27:18.400]  They believe a global ice age was going to begin by 2020 and so they as if you could predict it
[01:27:18.640 --> 01:27:23.280]  But it is time in the next couple hundred years probably to start that they're stopping global cooling
[01:27:25.200 --> 01:27:28.160]  Well, the official science data would say exactly the opposite
[01:27:28.160 --> 01:27:32.080]  They're trying to slow a runaway greenhouse effect and the actual data from the ground would say they're
[01:27:32.080 --> 01:27:36.480]  They're fueling that effect not stopping it. They're as you correctly stated in the first segment
[01:27:36.800 --> 01:27:39.840]  They're trapping more hitting they deflect destroying the ozone layer and so forth
[01:27:39.840 --> 01:27:43.120]  So back to the ozone layer aside from any other environmental discussion
[01:27:43.120 --> 01:27:48.880]  If we had no other environmental problems the ozone layer alone if it collapses current data indicates that could occur
[01:27:49.040 --> 01:27:53.840]  And will occur on the current trajectory in four to eight years game over all the life over
[01:27:54.160 --> 01:27:59.760]  So again the readings we're getting right now from the official sources are all completely fictitious
[01:27:59.760 --> 01:28:04.480]  They have no bearing in reality. They don't measure any UV radiation below 300 nanometers
[01:28:04.960 --> 01:28:10.000]  And the DNA damaging bands of UVC are below that so there you can't find what you're not looking for Alex
[01:28:10.000 --> 01:28:15.280]  We're simply not being told that we're being bathed in dangerous UV radiation lethal UV radiation right now
[01:28:16.080 --> 01:28:19.920]  And by the way, I don't just believe you I we had it up earlier. We have the earthquake monitors
[01:28:19.920 --> 01:28:23.280]  We have all the government data. I went and you said that today. I saw it a few years ago
[01:28:23.280 --> 01:28:26.000]  I went look they admit UV is the highest ever recorded
[01:28:26.000 --> 01:28:31.520]  Uh, so do five more minutes with us. I want to look specifically with you about what
[01:28:32.800 --> 01:28:36.160]  Ozone collapse would look like because we know it's not just holes
[01:28:36.640 --> 01:28:40.480]  It is being depleted and as you said, it's not what's in our spray bottles
[01:28:40.960 --> 01:28:46.560]  What's happening? Why is it being depleted so fast because we know UVs up all over the planet
[01:28:46.560 --> 01:28:56.160]  What's going on? Skin cancer is way up. Why is this happening? We'll be back folks. Stay with us
[01:28:58.160 --> 01:29:01.040]  We've got great air filters great water filters great non-gmo
[01:29:01.040 --> 01:29:04.960]  early on seeds great books great films great patriot apparel to meet like-minded people
[01:29:05.040 --> 01:29:09.920]  And we've got a new humongoid sale not the number of things that are on massive sale
[01:29:09.920 --> 01:29:13.280]  But on what's on sale out for months not been on sale for months and months
[01:29:13.280 --> 01:29:19.280]  We've never offered super male vitality known concentrated herbs cold-pressed super male vitality
[01:29:19.280 --> 01:29:28.000]  57% off it's never been the price it is right now with 3,596 reviews 4.6 reviews total by third party sites
[01:29:28.000 --> 01:29:32.640]  unprecedented and it's cold-pressed that's why super male is so different people say well
[01:29:32.640 --> 01:29:36.480]  I know these compounds work because it's admitted to science and these are other what you sell they
[01:29:36.480 --> 01:29:40.000]  Buzzfeed said it's like it's already best-selling stuff that's been certified as you know healthy and
[01:29:40.000 --> 01:29:44.480]  good forever why these aren't anything new because why do something new when you can have the oldest
[01:29:44.480 --> 01:29:57.440]  and best but cold-pressed do not agree you develop living defense for us it took you over a year to
[01:29:57.440 --> 01:30:02.480]  do it why is this so good because people are actually waking up to the problem that pretty
[01:30:02.480 --> 01:30:08.560]  much scares me the most I mean I try to make sure that I don't put toxins from food and water and
[01:30:08.560 --> 01:30:14.880]  beverages in my system but right now we're dealing with massive parasites which is anything that's
[01:30:14.880 --> 01:30:19.360]  harmful to your body that lives off a host mechanism right now with all the refugees
[01:30:20.240 --> 01:30:25.600]  spreading disease around we have biological warfare going on everywhere these are all parasites
[01:30:25.600 --> 01:30:28.560]  tell us about all the stuff that says there's so many things that are in it you have the
[01:30:28.560 --> 01:30:34.240]  name in there you have the organic clove bud the organic wormwood I recommend doing a parasite
[01:30:34.240 --> 01:30:37.920]  cleanse at least twice a year all right well I'm glad we've got some back in because I'm
[01:30:37.920 --> 01:30:42.000]  going back on it today it just came back in yesterday living defense info warslife.com and
[01:30:42.000 --> 01:30:46.960]  folks you can't lose it's full of stuff that's great for your body period and you support the
[01:30:46.960 --> 01:30:51.680]  broadcast info warslife.com thank you doctor group from the global healing center thank you so much
[01:30:51.680 --> 01:30:57.280]  for all your work sir on this great product it's not just our water we need to filter it's not just
[01:30:57.280 --> 01:31:01.600]  our food that needs to be cleaned it's the air we're breathing especially for our children the
[01:31:01.600 --> 01:31:08.400]  artificial particulates of the chemicals is absolutely weighing down our immune systems the same team
[01:31:08.400 --> 01:31:14.000]  based right here in America that brought you the Alexa pure groundbreaking water filtration systems
[01:31:14.000 --> 01:31:19.120]  have now developed Alexa pure breeze whether it's your home or office you owe it to yourself
[01:31:19.120 --> 01:31:24.960]  your co-workers your family your children to the best job you can to purify your air the elite are
[01:31:24.960 --> 01:31:30.160]  masters at poisoning our environment while themselves doing things that mitigate or avoid
[01:31:30.160 --> 01:31:35.600]  most of the toxic effects for themselves the general public doesn't the Alexa pure breeze
[01:31:35.600 --> 01:31:39.840]  would be a steal at three hundred four hundred five hundred dollars one of these systems can keep
[01:31:39.840 --> 01:31:44.000]  eight hundred square feet incredibly clean this is a system i'm personally putting in throughout
[01:31:44.000 --> 01:31:49.520]  my house replacing older more expensive filters that didn't do as good a job find out why this
[01:31:49.520 --> 01:31:56.960]  system is so revolutionary today info wars store.com after being sold out for months our best selling
[01:31:56.960 --> 01:32:01.680]  super blue fluoride toothpaste is now back in stock info wars store.com research across the
[01:32:01.680 --> 01:32:06.400]  board is clear when bacteria infect your gums it can enter your bloodstream and even contribute
[01:32:06.400 --> 01:32:11.600]  to blood clots and heart attacks that's why the last surgeon general's report on oral health warns
[01:32:11.600 --> 01:32:16.400]  that your oral health can have a serious impact on your entire body super blue fluoride free
[01:32:16.400 --> 01:32:21.120]  toothpaste is a groundbreaking new formula it's loaded with good halogen iodine some of the bad
[01:32:21.120 --> 01:32:26.640]  halogen fluoride super blue contains natural oils and ingredients used since biblical times to help
[01:32:26.640 --> 01:32:31.840]  wipe out bad bacteria and eliminate bad breath just some of the ingredients in super blue chosen
[01:32:31.840 --> 01:32:37.920]  by our dental experts include xylitol peppermint oil iodine nano silver and more due to requests
[01:32:37.920 --> 01:32:41.840]  from listeners who found that spearmint was a little bit too strong for some of their children
[01:32:41.840 --> 01:32:46.320]  we have created the new bubblegum flavored super blue that is spearmint free learn more about the
[01:32:46.320 --> 01:32:51.840]  new bubblegum flavor super blue toothpaste and more at info wars life.com and support the info
[01:32:51.840 --> 01:33:00.080]  war while you support healthy gums and teeth you're listening to the alex jones show
[01:33:08.240 --> 01:33:14.640]  defending the republic from enemies foreign and domestic it's alex jones
[01:33:14.640 --> 01:33:23.360]  so hurricane ermine gets us focused on the fact that we're at earthquakes we've got storms
[01:33:23.360 --> 01:33:27.280]  we've got solar storms that are directly connected to all this we've got governments
[01:33:28.560 --> 01:33:32.960]  admittedly obsessed with trying to control the weather and manipulate it and then we have
[01:33:32.960 --> 01:33:37.120]  discussions about it they attack us despite all the stacks of their own admissions of it
[01:33:37.840 --> 01:33:43.840]  so some of the public to admit this is going on but let's look at the ozone layer let's look at
[01:33:43.840 --> 01:33:50.080]  the fact that more uv radiation is admittedly coming through dane wiggington of geoengineering
[01:33:50.080 --> 01:33:56.960]  watch.org let's break down what collapse of the ozone layer could look like because it's already
[01:33:56.960 --> 01:34:02.160]  starting to happen as you said the next four to six years it's what it would look like and we already
[01:34:02.160 --> 01:34:07.440]  see that in regard to let's take insect populations for example alex in northern california we work
[01:34:07.440 --> 01:34:12.720]  directly with retired forest service biologists we've seen a 90 percent decline 90 percent an
[01:34:12.720 --> 01:34:17.760]  aquatic and terrestrial insect populations in the last 10 years this is from the heavy metal
[01:34:17.760 --> 01:34:23.200]  contamination and the uv 90 percent of the insects thigh how long are we going to be around in regard
[01:34:23.200 --> 01:34:28.720]  to the military industrial complex propensity to keep doubling down on everything they do so the more
[01:34:28.720 --> 01:34:32.400]  they spray the more damage they do the more ozone destruction they cause the more they feel they have
[01:34:32.400 --> 01:34:37.920]  to spray to provide a shield from the destruction that was caused by what they were doing in the
[01:34:37.920 --> 01:34:42.880]  first place so this is the mentality we're dealing with and now alex i on the earlier segment i mentioned
[01:34:42.880 --> 01:34:46.800]  to you that the atmosphere is filling with methane that's something that we all need to discuss it's
[01:34:46.800 --> 01:34:51.840]  not cal flatulence it's massive methane deposits that are thawing freezing and entering the atmosphere
[01:34:51.840 --> 01:34:56.640]  covering the planet like a layer of gas so what's the military industrial complex response to that
[01:34:56.640 --> 01:35:02.720]  project lucy and project alamo the attempt to use microwave transmissions with opposing frequencies
[01:35:02.720 --> 01:35:07.120]  to try to degrade some of that methane in the atmosphere with consequences unknown further
[01:35:07.120 --> 01:35:12.480]  destroying the ozone layer so this is a race toward again total global omniside and so many
[01:35:12.480 --> 01:35:17.600]  of these roads lead right back to climate engineering continue to break this down
[01:35:19.680 --> 01:35:24.160]  well again on the current path if we don't deal with this issue first and foremost we'll have a
[01:35:24.160 --> 01:35:29.120]  planet that doesn't support life much longer it's already waning rapidly so it we're back to
[01:35:29.120 --> 01:35:32.960]  what's our priority what's our obvious priority and people from every side of the fence while
[01:35:32.960 --> 01:35:38.000]  they're arguing about the state of the climate why wouldn't we unite on a common cause unite the
[01:35:38.000 --> 01:35:42.320]  tribes on a common cause of exposing climate engineering because again you can't have any
[01:35:42.320 --> 01:35:47.360]  discussion about the climate without dealing with this issue first so i would argue that we have to
[01:35:47.360 --> 01:35:52.800]  all pull this load together and get this issue to the light of day or very soon we'll have nothing
[01:35:52.800 --> 01:35:59.520]  left to sell the job alex that's a mathematical fact what's wrong with the technocracy that's
[01:35:59.520 --> 01:36:05.600]  doing this well i would compare to a cancer alex and i have many times does a cancer
[01:36:05.600 --> 01:36:11.200]  intend to kill its host no it intends to proliferate at any cost and the host eventually dies so we
[01:36:11.200 --> 01:36:17.280]  have all these companies bowing lockheed martin all invested in this uh technology we have the
[01:36:17.280 --> 01:36:22.720]  disaster capitalist like monsanto that's uh reaping as you correctly stated earlier again
[01:36:22.720 --> 01:36:28.080]  genetically modified seeds aluminum resistant uv resistant seeds abiotic stress resistant seeds
[01:36:28.080 --> 01:36:32.240]  all capitalizing on the decimation being caused but at the same time the ship's going down by the
[01:36:32.240 --> 01:36:37.440]  day so this is comparable to pirates on a sinking ship loading their pockets with loot how far are
[01:36:37.440 --> 01:36:42.400]  they going to get not very far we're all going down in the same ship so the bottom line is
[01:36:42.400 --> 01:36:48.560]  above all other issues we must deal with this issue and if we don't we're a very very limited
[01:36:48.560 --> 01:36:53.200]  time horizon some of the products i heard in the break that you that you sell and market
[01:36:53.200 --> 01:36:59.440]  it i would argue not to put a put a plug in for info wars but the storeable foods and so for
[01:37:00.000 --> 01:37:04.880]  essential right now if you can't eat it or you can't drink it it's not going to be worth much
[01:37:04.880 --> 01:37:09.360]  to you in the very near future so those are very important items that people should think
[01:37:09.360 --> 01:37:14.160]  seriously about while they're also at the same time trying to help us sell me alarm that's so
[01:37:14.160 --> 01:37:18.880]  critical on this issue we all have to pull this way dane wiggington it's been a little too long
[01:37:18.880 --> 01:37:23.520]  since you've been on your side it's been years on it great job you and the scientists what you're
[01:37:23.520 --> 01:37:29.600]  doing let's talk again very soon thank you sir anytime since we have that perspective which is
[01:37:29.600 --> 01:37:39.760]  important angle let's go to a dr william soon harvard geophysicist and astrophysicist on what's
[01:37:39.760 --> 01:37:44.320]  happening with the sun's effect on the earth but the globals are trying to manipulate but can't
[01:37:44.320 --> 01:37:52.560]  fully control a standale earlier agreed here it is yes professor willie soon is a solar scientist
[01:37:52.560 --> 01:38:00.080]  and astrophysicist and a researcher out of harvard and he's very well skilled and and
[01:38:00.080 --> 01:38:05.920]  knowledge into solar cycles and so we're going to be joined by dr willie and he's going to be
[01:38:05.920 --> 01:38:12.240]  able to really kind of get deep in there and explain to us how the sun actually has a bigger
[01:38:12.240 --> 01:38:19.760]  impact on our environment than us as man which is such common sense i mean it really is common sense
[01:38:19.760 --> 01:38:26.160]  and it's kind of we're we're trying to dispel the hysteria out there that somehow if we don't
[01:38:26.160 --> 01:38:33.120]  do abc and d and a let let the scientists dictate policy then we are going to have the end of the
[01:38:33.120 --> 01:38:39.120]  world happen so really and truly that's why it's so important that we have professor willie soon
[01:38:39.120 --> 01:38:43.840]  come on and talk to us and by the way i live in salem massachusetts so we are very familiar with
[01:38:43.840 --> 01:38:49.040]  that well known phenomenon called witch burning indeed those are during the time where all this
[01:38:50.160 --> 01:38:55.120]  you know very very sad situation where they were they're having some kind of bad weather
[01:38:55.120 --> 01:39:00.480]  and where people decided to prosecute a lot of these so-called women that went crazy and
[01:39:00.480 --> 01:39:06.800]  a lot of witches they call them and for for brewing up this bad weather i mean it seems to me
[01:39:06.800 --> 01:39:12.240]  even by 21st century things doesn't change as much for those who insist that covered outside
[01:39:12.240 --> 01:39:16.640]  which is one of these what you call minor greenhouse gas that's a very important point
[01:39:16.640 --> 01:39:23.520]  to stress minor simply because its effect is known to be very small because a major greenhouse gas
[01:39:23.520 --> 01:39:30.320]  in the atmosphere or planet earth is water vapor i've been very fond of saying if you want to study
[01:39:30.320 --> 01:39:35.520]  the effect of greenhouse effect on the earth planet all you need to do is study water vapor
[01:39:35.520 --> 01:39:41.200]  that's it that's all you need to do that's why the sun argument is so convincing because it does
[01:39:41.200 --> 01:39:47.760]  vary in a typical way not every 11 years every 60 years or so every 200 years every 1000 years
[01:39:47.760 --> 01:39:51.920]  that sort of thing we can we have seen those cycles we have we have seen all of those cycles
[01:39:51.920 --> 01:39:58.080]  actually from actual data this is why the argument is more and more convincing as as far as i can
[01:39:58.080 --> 01:40:03.600]  tell you i mean or even in any scientific open discussion or debate you know so this is indeed
[01:40:03.600 --> 01:40:09.840]  a very fruitful direction to go and i in fact i have to tell you all the money they spent the last
[01:40:10.480 --> 01:40:16.960]  10 to 20 years i mean they barely give actually 5 percent to studying the sun in that sense
[01:40:16.960 --> 01:40:22.320]  they spent 95 of those wasted money on computer climate model that is completely it's almost
[01:40:22.320 --> 01:40:27.760]  useless in my in my sense because all they do is just copying each other in fact the whole world now
[01:40:27.760 --> 01:40:32.880]  has about 30 climate models each of them copying from each other is as if that they're doing some
[01:40:32.880 --> 01:40:37.600]  serious hard work okay and we actually see some of the strongest hurricanes we know about certainly
[01:40:37.600 --> 01:40:44.240]  the the one that has the most number of casualties on continental usa was the galveston hurricane
[01:40:44.240 --> 01:40:50.480]  of 1900 there wasn't much man-made pollution at that point in time but we can go even farther back
[01:40:50.480 --> 01:40:57.680]  to 1780 and that hurt the one in 1900 that killed about 12 000 people in the u.s but then we have
[01:40:57.680 --> 01:41:04.000]  one that killed uh i think it was about 30 some odd thousand in 1780 it nearly it sunk most of the
[01:41:04.000 --> 01:41:10.000]  fleet of the french and the british in certain areas it had a massive impact on history as to
[01:41:10.000 --> 01:41:14.320]  whether or not we were going to win that war or not that was the direct result of that and so we
[01:41:14.320 --> 01:41:19.840]  know that there were dozens of ships tens of thousands of people that were lost at sea that
[01:41:19.840 --> 01:41:26.880]  the ships were overturned and uh the the devastation as described makes people realize that that was
[01:41:26.880 --> 01:41:31.280]  one of if not the strongest atlantic hurricane that we've ever had and that was in 1780 so we see
[01:41:31.280 --> 01:41:37.760]  these things happening cyclically and then there is no explanation that is going to explain this
[01:41:37.760 --> 01:41:45.120]  that is focused strictly on recent additions to carbon dioxide that they say are increasing
[01:41:45.120 --> 01:41:49.600]  linearly as we're going along we see something that is cyclical that's right this is why science
[01:41:49.600 --> 01:41:55.280]  is all about numbers too i mean the numbers for so msb carbon dioxide just doesn't add up i mean
[01:41:55.280 --> 01:42:00.560]  in fact you might make maybe it's a bad time to tell another joke if you if those who really
[01:42:00.560 --> 01:42:06.560]  want to insist on carbon dioxide causing all the damages from harvey and urma i think we should
[01:42:06.560 --> 01:42:13.120]  look for checks from elgo and john carrey obama and uh who else i mean icaprio i mean those guys
[01:42:13.120 --> 01:42:19.200]  would write a check that's one of the top astrophysicist on the planet from harvard most scientists
[01:42:19.200 --> 01:42:24.000]  say this man made global warming things are fraud it's the sun folks one million three hundred
[01:42:24.000 --> 01:42:29.920]  thousand earths fit inside of it it's what makes us have the summer it's what causes the hurricanes
[01:42:29.920 --> 01:42:34.320]  it runs the whole show it gives us sunburns it does everything but without it we're dead
[01:42:35.200 --> 01:42:39.600]  so i pray to jesus that's my god but if i was an atheist i'd worship the sun
[01:42:40.320 --> 01:42:45.600]  we'll be right back thanks for all your support we have big sales that end tomorrow at infowarstore.com
[01:42:45.600 --> 01:42:49.600]  on a lot of great products be sure to take advantage of that 50 percent off of storable food
[01:42:49.600 --> 01:42:55.200]  wonderful trades and 30 percent off and more thanks for your support men give your body the
[01:42:55.200 --> 01:43:01.200]  support it needs with info wars life prostaguard it's time to start assisting the body and regulating
[01:43:01.200 --> 01:43:06.160]  proper prostate balance info wars life has set out to bring you formulations that are not only
[01:43:06.160 --> 01:43:10.960]  the highest quality out there but formulas that you can use on a daily basis to give your body
[01:43:10.960 --> 01:43:16.400]  the natural herbs and extracts that our experts recommend the prostaguard formula does just that
[01:43:16.400 --> 01:43:21.600]  with its mixture of plant-based nutrients and antioxidants that help give your body total
[01:43:21.600 --> 01:43:30.400]  support it's a hand-selected blend of sa palmetto lycopene plant sterols zinc vitamin d3 selenium
[01:43:30.400 --> 01:43:35.680]  and copper prostaguard is something that the men on the info wars crew take every day and from our
[01:43:35.680 --> 01:43:40.160]  research it's something that men should really be adding to their daily regimen in order to keep their
[01:43:40.160 --> 01:43:46.000]  body going at optimal levels now's the time to start naturally supporting your body get
[01:43:46.000 --> 01:43:52.400]  prostaguard on your side today exclusively at info wars life dot com that's info wars life dot com
[01:43:53.680 --> 01:43:58.240]  alex jones here to tell you about how you can help spread liberty worldwide while also enjoying
[01:43:58.240 --> 01:44:04.080]  what i have found to be the best tasting 100 organic coffee on the planet for more than a decade
[01:44:04.080 --> 01:44:08.720]  my favorite coffee has come from the high mountains of southern mexico where the tiapas farmers
[01:44:08.720 --> 01:44:14.240]  grow their unique shade grown arabica beans we have now managed to secure the sought after beans
[01:44:14.240 --> 01:44:21.680]  in a highly customized blend discover and try a bag of the patriot blend 100 organic coffee at info
[01:44:21.680 --> 01:44:27.440]  wars life dot com this coffee gives you a long smooth pick me up for hours without the headaches
[01:44:27.440 --> 01:44:31.920]  and heartburn that so many other coffees give me personally hands down this is my favorite coffee
[01:44:31.920 --> 01:44:37.360]  and it's taken us years to secure connections directly to the tiapas mexican farmers dropped
[01:44:37.360 --> 01:44:42.080]  by the site today order a bag or two and i don't think you're going to be disappointed available
[01:44:42.080 --> 01:44:47.120]  in original or with our immune support infusion blend you will be supporting a free press all the
[01:44:47.120 --> 01:44:53.280]  while enjoying a truly great tasting cup of my favorite coffee available at info wars life dot
[01:44:53.280 --> 01:44:58.880]  com after being sold out for months our best-selling super blue fluoride toothpaste is now back in
[01:44:58.880 --> 01:45:03.600]  stock at info wars store dot com the first shipment of super blue sold out in one week i thought it
[01:45:03.600 --> 01:45:07.840]  would be a six month supply for listeners and since then people are beating down our doors
[01:45:07.840 --> 01:45:13.120]  wanting to be able to resupply their super blue research across the board is clear in fact it's
[01:45:13.120 --> 01:45:17.520]  certified when bacteria infect your gums it can enter your bloodstream and even contribute to
[01:45:17.520 --> 01:45:22.480]  blood clots and heart attacks that's why the last surgeon general's report on oral health warns that
[01:45:22.480 --> 01:45:27.360]  your oral health can have a serious impact on your entire body super blue fluoride free toothpaste
[01:45:27.360 --> 01:45:32.400]  is a groundbreaking new formula it's loaded with good halogen iodide so the bad halogen fluoride
[01:45:32.400 --> 01:45:37.360]  super blue contains natural oils and ingredients used as biblical times to help wipe out bad
[01:45:37.360 --> 01:45:42.160]  bacteria and eliminate bad breath just some of the ingredients in super blue chosen by our dental
[01:45:42.160 --> 01:45:48.640]  experts include xylitol peppermint oil iodide nano silver and more learn more about info wars life
[01:45:48.640 --> 01:45:54.000]  super blue toothpaste at info wars life dot com and support the info war while you support healthy
[01:45:54.000 --> 01:45:59.200]  gums and teeth a new shipment of bio trusillinium is now available at info wars life dot com we've
[01:45:59.200 --> 01:46:04.080]  been sold out for months our one-of-a-kind info wars life bio trusillinium formula is now back
[01:46:04.080 --> 01:46:08.240]  in stock in info wars life dot com this is the trusillinium formula that has rocked the
[01:46:08.240 --> 01:46:12.880]  pharmaceutical industry to its core nearly every other selenium supplement on the market is produced
[01:46:12.880 --> 01:46:19.440]  with synthetic selenium but bio trusillinium is made from a source of 100 organic mustard seed
[01:46:19.440 --> 01:46:24.160]  the effects of the essential trace mineral selenium are well known from supporting the thyroid
[01:46:24.160 --> 01:46:29.040]  gland and immune system to dna production and eyesight bio trusillinium is also the perfect
[01:46:29.040 --> 01:46:34.400]  supercharger to survival shield x2 nascent iodine as both help support a healthy thyroid and many
[01:46:34.400 --> 01:46:39.200]  other systems visit info wars life dot com to order your bottle of bio trusillinium before
[01:46:39.200 --> 01:46:43.760]  we sell out again that's info wars life dot com to secure your selenium and other key products
[01:46:43.760 --> 01:46:48.640]  that don't only help yourself and your family but also fund our operation against the globalist a 360
[01:46:48.640 --> 01:46:52.640]  win we didn't ask for this fight but we're in this fight this is the time to support info wars
[01:46:52.640 --> 01:47:08.560]  that's info wars life dot com you're listening to the alex jones show
[01:47:08.560 --> 01:47:22.080]  you are listening to an info wars dot com frontline report it's alex jones
[01:47:26.560 --> 01:47:29.520]  i keep putting the sun up because that's what drives our weather
[01:47:31.360 --> 01:47:36.320]  the globalist can try to manipulate it they can try to control it but they don't
[01:47:36.320 --> 01:47:45.600]  know it's the equivalent of 1.3 million earths 1,300,000 earths it's a giant thermal nuclear
[01:47:45.600 --> 01:47:52.880]  explosion ongoing that's got such great mass there's a lot of suns in plow they think and make
[01:47:52.880 --> 01:48:00.800]  black holes that its mass is so great that it just contains the explosion what creates a black hole
[01:48:00.800 --> 01:48:10.560]  a spacetime warp where it's so huge it rips the the the dimensional firmament and remember equations
[01:48:10.560 --> 01:48:17.680]  knew this 200 years ago before they even found it and then goes into another universe wow we are
[01:48:17.680 --> 01:48:22.560]  alive in an incredible time and there are elites let me say this is one of the most important things
[01:48:22.560 --> 01:48:26.000]  i've ever said listen to me carefully i know you already know this innately you're gonna say we
[01:48:26.000 --> 01:48:34.480]  already know that alex but we need to understand this and talk about it the globalists are the
[01:48:34.480 --> 01:48:39.200]  technocracy they're the priest class they're the scientists and not all scientists are bad most
[01:48:39.200 --> 01:48:45.040]  scientists are great but these are very greedy people that have a glimpse of all this of ai and
[01:48:45.040 --> 01:48:50.000]  life extension and technology and everything we've got today would be magic a hundred years ago
[01:48:50.000 --> 01:48:57.280]  it'd be unfathomable five thousand years ago well we've already gotten 90% of the way there there's
[01:48:57.280 --> 01:49:03.760]  not much further for us to go until we've got life extension until technical immortality until
[01:49:05.200 --> 01:49:10.400]  building whole new planets as an individual will be just like we're made in the image of god this
[01:49:10.400 --> 01:49:16.560]  is a big prospect and there are people that are jealous who don't want you to have part of this
[01:49:16.560 --> 01:49:27.520]  and that's the big takeaway is that this is our embryonic our larval form and an advanced
[01:49:27.520 --> 01:49:32.720]  species like this that god's created is not going to be given the keys to the house the car and the
[01:49:32.720 --> 01:49:41.280]  company without a test we don't just get hatched up on the ceiling and the garage like wasp we've
[01:49:41.280 --> 01:49:49.280]  got to go through something in a big real world simulation live fire like the old days with the
[01:49:49.280 --> 01:49:53.520]  marines the army they really shot bullets over you a lot of times people got killed in every class
[01:49:53.520 --> 01:49:57.040]  they had to get rid of that because political correctness or now they just call it accidents
[01:49:57.040 --> 01:50:02.880]  but only real live fire drills test people and then that's what this is in every group knows
[01:50:02.880 --> 01:50:10.480]  this is the test the big thing's coming happening now marco island takes hit west coast florida
