[00:00:00.000 --> 00:00:18.080]  InfoWars! Tomorrow's news, today.
[02:19:27.560 --> 02:19:31.440]  from which to counter punch which is what he does best and they slowly cut
[02:19:31.440 --> 02:19:34.080]  all that away but but let's get into so he doesn't get repeated again with other
[02:19:34.080 --> 02:19:37.119]  Republicans that they that the Republican establishment which Trump's
[02:19:37.119 --> 02:19:40.720]  gotten wise to it's why you want them fundraising his name right now they
[02:19:40.720 --> 02:19:44.600]  swindled the money and hardly any of the money raised for Trump went to Trump
[02:19:44.600 --> 02:19:49.000]  well first of all the president raised a billion dollars a billion dollars which
[02:19:49.000 --> 02:19:52.720]  is really formidable he was a great fundraiser and he had the confidence of
[02:19:52.720 --> 02:19:57.320]  the business community because he brought us a record economy the problem
[02:19:57.320 --> 02:20:00.520]  is that as a general rule of thumb in all campaigns whether you're running
[02:20:00.520 --> 02:20:03.160]  for the Austin City Council or whether you're running for president of the
[02:20:03.160 --> 02:20:09.039]  United States 80% of your of your campaigns funding should go into voter
[02:20:09.119 --> 02:20:15.039]  communications it could be cable advertising network advertising digital
[02:20:15.039 --> 02:20:21.520]  advertising minimum 80% not bureaucracy voter voter mail phone calls voter
[02:20:21.520 --> 02:20:27.560]  contact not overhead not consultants not bureaucracy and so on the the Trump
[02:20:27.560 --> 02:20:32.760]  campaign has the inverse 600 million dollars gets transferred to a holding
[02:20:32.760 --> 02:20:37.360]  company controlled by Jared Kushner the rest of it is it basically squandered
[02:20:37.840 --> 02:20:45.560]  so when COVID hits and pre-pandemic Trump is leading Biden by nine post
[02:20:45.560 --> 02:20:50.039]  pandemic he's trailing Biden by nine when a trained professional looks at
[02:20:50.039 --> 02:20:53.800]  that polling what you figure out is the only votes that moved are African
[02:20:53.800 --> 02:20:57.680]  Americans and Hispanics essentially all other voters remained in place your
[02:20:57.680 --> 02:21:01.440]  target only them because you were made doing really well with them prior to the
[02:21:01.440 --> 02:21:04.760]  pandemic and you've lost ground which means they don't hate you because they
[02:21:04.760 --> 02:21:09.600]  were already for you once you have to reconvince them so for example in some
[02:21:09.600 --> 02:21:14.440]  polls pre-pandemic Trump was getting a third of the African American vote just
[02:21:14.440 --> 02:21:18.840]  beneath it and the in the end he did not finish there because his campaign didn't
[02:21:18.840 --> 02:21:22.520]  spend any resources there which again was not done by accident this is 101
[02:21:22.520 --> 02:21:26.800]  failure sabotage well you know what Trump is such a great candidate and he
[02:21:26.800 --> 02:21:32.320]  was and he was he was particularly hampered by COVID-19 and I was looking
[02:21:32.320 --> 02:21:36.760]  at this way they always ran last time in this went traditional campaign against
[02:21:36.760 --> 02:21:42.960]  him they censored him on the on the on all media platforms they trashed him in
[02:21:42.960 --> 02:21:47.440]  paid advertising starting September all the way to the end at saturation levels
[02:21:47.440 --> 02:21:54.200]  normally no human being could overcome that but he overcame in 2016 Jeb Bush as
[02:21:54.200 --> 02:21:57.760]  you may remember dropped a hundred million dollars of negative advertising
[02:21:58.480 --> 02:22:04.000]  Donald Trump and he he was able to respond to it in real time in interviews
[02:22:04.000 --> 02:22:07.960]  without spending a dollar that that's theoretically not possible but he did it
[02:22:07.960 --> 02:22:15.360]  this time I believe that his set piece rally format which is where he excels
[02:22:15.360 --> 02:22:20.880]  forcing the media to cover what he had to say in Milwaukee or in or or in
[02:22:20.880 --> 02:22:26.360]  Detroit or in Philadelphia or in Richmond or wherever he is when Trump
[02:22:26.360 --> 02:22:30.320]  can't talk when Trump can't hit the road the campaign is frozen and they now
[02:22:30.320 --> 02:22:36.279]  know that that's why in 2021 banned off all social media banned off YouTube he
[02:22:36.279 --> 02:22:39.800]  had but he needs to get out and give more speeches than just the one he gave
[02:22:39.800 --> 02:22:43.279]  at CPAC don't you agree I do agree but let's be very clear when he breaks out
[02:22:43.279 --> 02:22:47.440]  of this construct for the last 30 days he does the same thing he does in 2016
[02:22:47.440 --> 02:22:52.200]  he's a closer so he's nine down now he's seven down now he's five down now he's
[02:22:52.200 --> 02:22:57.200]  three down I'm convinced that Trump most likely passed Joe Biden Biden of
[02:22:57.200 --> 02:23:02.720]  fear hard work it was probably stolen the point is he didn't need millions of
[02:23:02.720 --> 02:23:06.440]  dollars to win he didn't need it 2016 let's talk about this what can he do now
[02:23:06.440 --> 02:23:11.340]  will he be healthy enough looks like it to run again gut level he looks like I
[02:23:11.340 --> 02:23:15.240]  think he's a fighter I think if he can think that he's led a movement to try to
[02:23:15.240 --> 02:23:19.320]  fix election fraud and at the state level so the Democrats can't repeat this
[02:23:19.320 --> 02:23:23.560]  again that I think he may run again I think he is gonna run again well I knew
[02:23:23.560 --> 02:23:27.000]  both of his parents they lived into their 90s they were vital into their 90s
[02:23:27.000 --> 02:23:32.680]  he's got extraordinary stamina he's from good stock he's very angry as he should
[02:23:32.680 --> 02:23:37.000]  be about being censored about being what he believes is cheating there's
[02:23:37.000 --> 02:23:40.279]  certainly evidence of anomalies and irregularities in the elections and no
[02:23:40.279 --> 02:23:44.400]  saying that is not treasonous it's not seditious it's a reasonable question
[02:23:44.400 --> 02:23:47.080]  protected by Democrats said they were gonna challenge the election no matter
[02:23:47.480 --> 02:23:52.600]  exactly but again it's the it's the two-tiered justice system so if the
[02:23:52.600 --> 02:23:56.039]  president wants to run he will be unstoppable for the nomination and to be
[02:23:56.039 --> 02:24:00.600]  the strongest part candidate that the party could field but if he doesn't feel
[02:24:00.600 --> 02:24:04.779]  if he doesn't fix the structural problems that cheated him out of victory
[02:24:04.779 --> 02:24:09.160]  in 2020 he's not going to be able to win in 2024 if he goes into the same level
[02:24:09.160 --> 02:24:14.440]  of of net censorship and media censorship the same corrupt state
[02:24:14.600 --> 02:24:19.800]  election laws the same gutless Republican Party that doesn't really go
[02:24:19.800 --> 02:24:24.200]  to work for him then I don't see how he wins if he fixes those things he's
[02:24:24.200 --> 02:24:28.160]  probably our strongest candidate or if those things get fixed I guess I should
[02:24:28.160 --> 02:24:31.680]  say and he could be just as important energizing the states energizing a
[02:24:31.680 --> 02:24:36.039]  liberty movement energizing on America first election integrity movement and
[02:24:36.039 --> 02:24:40.279]  then inter-general Flynn I know you're close friends with him I know that when
[02:24:40.279 --> 02:24:44.240]  you both went through the very same attack you guys were big communicators
[02:24:44.240 --> 02:24:48.320]  over the phone and I know that you guys have obviously talked since then I see
[02:24:48.320 --> 02:24:54.720]  Flynn if Trump decides not to as really being one of the great hopes you know
[02:24:54.720 --> 02:24:57.680]  Matt Gaetz is excellent I also see Josh Hawley is great from
[02:24:57.680 --> 02:25:01.600]  Missouri but pulling back from this talking about general Flynn and just
[02:25:01.600 --> 02:25:05.000]  being honest because he'll end up watching this I know you've advised him
[02:25:05.000 --> 02:25:07.840]  privately I had a chance to talk to him quite a bit I'm not gonna get into all
[02:25:07.840 --> 02:25:10.800]  the details of it it's not secret but I'm not gonna talk about it yet at this
[02:25:10.800 --> 02:25:15.200]  point but this is a real former head of defense intelligence and then the former
[02:25:15.200 --> 02:25:18.920]  national security adviser the president he was their number one enemy when Trump
[02:25:18.920 --> 02:25:23.000]  first got in because they knew he was a good guy and that he could basically put
[02:25:23.000 --> 02:25:27.000]  an America first group of people in the White House in the Pentagon that would
[02:25:27.000 --> 02:25:31.240]  have been able to defeat the deep state so up front getting rid of him was how
[02:25:31.240 --> 02:25:34.600]  the dominoes as you said began to fall these are your own words the whole thing
[02:25:34.600 --> 02:25:41.440]  came out of that but getting Flynn I think to understand that he's got to
[02:25:41.440 --> 02:25:45.279]  just get out there and say I'm pushing an America first agenda I'm gonna push
[02:25:45.279 --> 02:25:49.360]  for voting integrity which he's already doing and getting him to then basically
[02:25:49.360 --> 02:25:53.640]  go ahead and rally the troops and be the George Washington we need to have Trump
[02:25:53.640 --> 02:25:57.119]  up there but I think having Flynn out there as well it isn't who were for
[02:25:57.119 --> 02:26:01.720]  Trump or Flynn I think you get both horses on the field both horses start
[02:26:01.720 --> 02:26:05.680]  running harder than they can combine their strengths later so what is your
[02:26:05.680 --> 02:26:10.200]  advice to the world what is your advice to Flynn about this window that Flynn
[02:26:10.200 --> 02:26:14.240]  has to start getting mobilized to move forward because I know from your advice
[02:26:14.240 --> 02:26:17.080]  you've given him these listen to him leave it at that and I'm not much you
[02:26:17.080 --> 02:26:21.000]  get into here but you know a certain point this stuff's got to be public well
[02:26:21.000 --> 02:26:25.080]  first of all I have the highest possible regard for General Flynn I would never
[02:26:25.080 --> 02:26:29.039]  actually reveal confidential conversations we've had I think it's the
[02:26:29.039 --> 02:26:33.320]  way gentlemen operate but I do think his greatest public service lies ahead
[02:26:33.320 --> 02:26:38.560]  I do think that we're not saying the private communications and mine
[02:26:38.560 --> 02:26:42.140]  neither I'm so happy to tell you what I think which I'm saying he needs to we
[02:26:42.140 --> 02:26:45.279]  need to go start getting going here well first of all I'm for Trump I want to be
[02:26:45.279 --> 02:26:49.119]  very clear about that but I do think we need to have a we need to have a backup
[02:26:49.119 --> 02:26:53.160]  in case the president decides not to run four years a very long time Trump's
[02:26:53.160 --> 02:26:57.000]  gonna start making money again we know how he like five shotguns in my closet
[02:26:57.000 --> 02:27:00.560]  by my bedroom I got the one I'm gonna go for and I got others exactly I love
[02:27:00.560 --> 02:27:04.980]  this shotgun best but in case there's a problem exactly it's not like we're we
[02:27:04.980 --> 02:27:08.820]  need that horse ready to go so I do think General Flynn has the stature to
[02:27:08.820 --> 02:27:13.640]  be a to be a voice for the American first agenda there's gonna be competition
[02:27:13.640 --> 02:27:17.200]  for this because there are a lot of you pointed out two guys that I really like
[02:27:17.200 --> 02:27:22.080]  and I'm very interesting at Matt gates who's very popular here in Florida who's
[02:27:22.080 --> 02:27:26.320]  just a ball buster I mean the guy is he's fearless he takes on the left he
[02:27:26.320 --> 02:27:29.920]  pulls him down the hill by the hair he's not afraid to brawl he's not afraid
[02:27:29.920 --> 02:27:33.279]  to mix it up it's hard to name another Republican that that's true of other
[02:27:33.279 --> 02:27:38.440]  than Donald Trump I like Josh Hawley I think he's got great promise I know all
[02:27:38.440 --> 02:27:41.400]  the moderate Republicans who are my friends in Missouri hate him that tells
[02:27:41.400 --> 02:27:46.039]  you he's a really good guy so I think they're more afraid of him and then that
[02:27:46.039 --> 02:27:50.720]  even Rand Paul or or even Ted Cruz why are they because right because Josh
[02:27:50.720 --> 02:27:54.400]  Hawley it was all due respect to Rand Paul who I love and Ted Cruz who I'm
[02:27:54.400 --> 02:27:59.760]  skeptical about Josh Hawley has a personality he's an attractive guy he's
[02:27:59.760 --> 02:28:02.320]  very charismatic he's got charisma same thing with Matt
[02:28:02.320 --> 02:28:06.640]  Gates also super smart I mean look you could theoretically the president does
[02:28:06.640 --> 02:28:10.880]  a Holly Gates ticket well if the president doesn't run you could have
[02:28:10.880 --> 02:28:15.000]  four candidates from Florida alone Rick Scott says he's going to run the senior
[02:28:15.000 --> 02:28:19.000]  senator what about DeSantis oh god there's so much new blood man DeSantis
[02:28:19.000 --> 02:28:23.160]  is doing a very good job as governor I think Matt Gates is more telegenic I
[02:28:23.160 --> 02:28:27.880]  think he's more charismatic I think that's definitely true I think DeSantis
[02:28:27.880 --> 02:28:31.119]  is more cerebral you couldn't have two candidates from the same state that's
[02:28:31.119 --> 02:28:34.560]  anything illegal no it's not illegal but you can't count the electoral vote
[02:28:34.560 --> 02:28:38.800]  twice so you would have to forego the electoral vote in the ballot for vice
[02:28:38.800 --> 02:28:42.760]  president is that you can't get Florida no you would be giving it away
[02:28:42.760 --> 02:28:47.360]  electorally so but but what has traditionally happened of course is that
[02:28:47.360 --> 02:28:52.080]  candidates have actually moved so as to not to have that situation but what's
[02:28:52.080 --> 02:28:56.320]  beautiful is you've got just as smart as DeSantis but more telegenic and
[02:28:56.320 --> 02:28:59.520]  better-spoken Matt Gates but the DeSantis has really good instincts I
[02:28:59.520 --> 02:29:04.000]  think he's done a good job as governor why does he have such good instincts
[02:29:04.000 --> 02:29:07.720]  well it's an excellent question he wasn't even a Trump supporter no no he
[02:29:07.720 --> 02:29:11.240]  was not a Trump supporter in 2016 look I'm pleasantly pleased with the job he's
[02:29:11.240 --> 02:29:15.880]  done on COVID-19 on internet censorship now his proposal is Laura Loomer writes
[02:29:15.880 --> 02:29:19.920]  a terrific piece today it's not perfect it's a step in the right direction I
[02:29:19.920 --> 02:29:23.240]  think that more aggressive actions can be taken by the states to ensure
[02:29:23.240 --> 02:29:27.720]  fairness and no censorship you know by these internet companies they're getting
[02:29:27.720 --> 02:29:34.240]  enormous tax write-offs tax credits tax incentives billions of dollars but they
[02:29:34.240 --> 02:29:38.200]  shouldn't be able to strangle the opinions of citizens so I totally agree
[02:29:38.200 --> 02:29:40.440]  and we've this has already been a wide-ranging interview about what
[02:29:40.440 --> 02:29:42.920]  happened previously what you're predicting is coming what you think
[02:29:42.920 --> 02:29:47.160]  people should do obviously I want Trump he's the big trillion pound gorilla I
[02:29:47.200 --> 02:29:51.520]  mean that in a good way that we need to do this so what should Trump if you were
[02:29:51.520 --> 02:29:57.520]  advising Trump what should he do on election integrity on the open border I
[02:29:57.520 --> 02:30:05.039]  mean he's really the real president who's been sent into exile in my view
[02:30:05.039 --> 02:30:07.560]  what should Trump be doing right now I think the most effective thing for him
[02:30:07.560 --> 02:30:10.680]  to do is to constantly provide a running critique of the Biden
[02:30:10.680 --> 02:30:14.480]  administration their performance and prepare and compare it to his
[02:30:14.480 --> 02:30:18.400]  performance on the same issues whether it's immigration or job creation or wage
[02:30:18.400 --> 02:30:21.560]  growth doesn't matter what the issue is but should they do that with like a
[02:30:21.560 --> 02:30:24.560]  weekly press conference or something instead of just a little text message
[02:30:24.560 --> 02:30:28.640]  here statement there well I mean look there's been a lot of speculation the
[02:30:28.640 --> 02:30:33.279]  president may be on the cusp of forming his own media organization he'd have a
[02:30:33.279 --> 02:30:37.119]  huge following overnight if he did that he had millions of followers he should
[02:30:37.119 --> 02:30:41.480]  have left Twitter long ago it was a mistake to leave all your eggs in that
[02:30:41.520 --> 02:30:45.600]  basket I think that has hurt him somewhat he met famously with Brad
[02:30:45.600 --> 02:30:51.200]  Parscale his fired campaign manager supposedly the president has asked Brad
[02:30:51.200 --> 02:30:54.880]  to take some of that money he got and maybe finance this new platform which
[02:30:54.880 --> 02:30:58.560]  would be a good way not to get sued we're not being mean here but let's talk
[02:30:58.560 --> 02:31:02.400]  about Brad Parscale let's talk about Charlie Kirk let's talk about these
[02:31:02.400 --> 02:31:07.039]  Republican fundraisers that giant heavy pockets you don't have heavy pockets you
[02:31:07.039 --> 02:31:10.720]  can barely pay your your medical bills I don't have the heavy pockets I used to
[02:31:10.720 --> 02:31:14.039]  I spent on the war for Liberty I'm not mad at Charlie Kirk or a part skills
[02:31:14.039 --> 02:31:18.119]  but come on guys you sell you can sell the Lambos well you know I'm gonna
[02:31:18.119 --> 02:31:21.800]  there's a distinction there Brad Brad Parscale has no political skills and I
[02:31:21.800 --> 02:31:25.520]  think there should be a full audit of all the spending by the Republican
[02:31:25.520 --> 02:31:29.200]  National Committee soft money and hard money now let's wait let's wait to get
[02:31:29.200 --> 02:31:32.720]  that audit I think there's gonna be a lawsuit I think some major donors the
[02:31:32.720 --> 02:31:35.200]  Republican National Committee gonna bring a suit to get that information
[02:31:35.200 --> 02:31:38.640]  let me clear I don't think part skills is a bad guy these an idiot but Charlie
[02:31:38.640 --> 02:31:41.880]  Kirk is a different is a different case Charlie Kirk is someone I like Charlie
[02:31:41.880 --> 02:31:45.920]  Kirk really went to bat for justice in my case and therefore I have no
[02:31:45.920 --> 02:31:50.279]  criticism I was honored to go to his founders dinner I do think that their
[02:31:50.279 --> 02:31:53.520]  agenda is somewhat different I already has 37 million dollars I hear the same
[02:31:53.520 --> 02:31:55.840]  thing which means he's a great fundraiser and they do a good job
[02:31:55.840 --> 02:32:00.240]  wonderful put it in the war well those guys are in the war if I mortgage my
[02:32:00.240 --> 02:32:04.720]  house to keep my operation going he needs to spend that 37 million he's on
[02:32:04.720 --> 02:32:07.800]  the he's on the forefront every day you can see him out there I'm not gonna
[02:32:07.800 --> 02:32:12.279]  criticize criticize Charlie Kirk he's not the same as we are but he's a
[02:32:12.279 --> 02:32:16.720]  patriot Pascal on the other hand is a grifter he believes in nothing and I
[02:32:16.720 --> 02:32:19.880]  don't think he did a good job for the president I don't want to see it where
[02:32:19.880 --> 02:32:22.880]  the money went by the way you told me that five years ago you said this Brad
[02:32:22.880 --> 02:32:26.520]  Parscale is gonna be the problem well look he got this reputation is a
[02:32:26.520 --> 02:32:31.400]  brilliant digital strategist from 2016 let's be very clear only one guy elected
[02:32:31.400 --> 02:32:36.440]  Donald Trump 2016 Trump his instincts his gut instincts his his combativeness
[02:32:36.640 --> 02:32:41.240]  his courage his willingness to go toe to toe and say to Hillary Clinton when she
[02:32:41.240 --> 02:32:45.360]  says to him we can't have a man like Donald Trump running the Justice
[02:32:45.360 --> 02:32:49.960]  Department he says yeah because you'd be in jail I know that moment it was over
[02:32:49.960 --> 02:32:53.600]  tell me Jeb Bush would have had the cojones to say that I was a knockout
[02:32:53.600 --> 02:32:57.920]  bloke it really was and it tells you try it shows Trump had his audacious you
[02:32:57.920 --> 02:33:01.720]  know fearless best no country club Republican would have delivered that
[02:33:01.880 --> 02:33:07.119]  can you see Marco Rubio delivering that devastating put down not a chance
[02:33:07.119 --> 02:33:11.119]  bubble party a Rubio not a chance let's get into it here and then you're gonna
[02:33:11.119 --> 02:33:14.920]  give us an amazing tour of this piece of history you're like oh yeah look at this
[02:33:14.920 --> 02:33:19.560]  dump this place is not a dump this is history the photos the stacks of
[02:33:19.560 --> 02:33:24.360]  documents the articles the art pieces I mean this stuff is just absolutely
[02:33:24.360 --> 02:33:28.600]  incredible a lot of its original well look many of these items either things
[02:33:28.600 --> 02:33:32.160]  that I collected at the time I mean there's there's a poster here of Richard
[02:33:32.160 --> 02:33:38.320]  Nixon that I actually pried off of a lamp pole in New Hampshire in 1968 I
[02:33:38.320 --> 02:33:42.080]  still have it framed on the other hand I bought some of this stuff for a song at
[02:33:42.080 --> 02:33:46.039]  eBay I'm a collector of political memorabilia we have an association
[02:33:46.039 --> 02:33:49.800]  Nixon's your favorite though well you got Trump to run I have the largest
[02:33:49.800 --> 02:33:53.039]  Nixon memorabilia collection probably in the United States the question is what
[02:33:53.039 --> 02:33:57.240]  will I do with it when I move on ahead as they say you got Trump to run and he
[02:33:57.240 --> 02:33:59.880]  did it himself you want to take credit but you're they admit you're the genesis
[02:33:59.880 --> 02:34:02.480]  point that's why I went after you that's on record that without you probably
[02:34:02.480 --> 02:34:06.560]  would have done it and but we've talked privately you love Trump here's like
[02:34:06.560 --> 02:34:09.880]  there's something that we're like oh but Richard Nixon you knew Reagan you you
[02:34:09.880 --> 02:34:13.440]  know so many you hate the bushes even though you helped him later you attacked
[02:34:13.440 --> 02:34:16.760]  him when it wasn't popular right the heights of their power why do you love
[02:34:16.760 --> 02:34:21.320]  Nixon so much well because he was indestructible because he was resilient
[02:34:21.320 --> 02:34:25.420]  because he his story is a story of resilience and persistence it's like an
[02:34:25.420 --> 02:34:28.740]  American story what was it Vince Lombardi said it doesn't matter how
[02:34:28.740 --> 02:34:31.380]  many times you get knocked down it matters how many times you get up he
[02:34:31.380 --> 02:34:35.260]  said they counted this guy out four times he was deader than Kelsey's nuts
[02:34:35.260 --> 02:34:39.940]  done finished washed up a national joke but he still came back and he never ever
[02:34:39.940 --> 02:34:45.060]  gave up in his quest for the presidency and it's a monumental presidency the
[02:34:45.060 --> 02:34:48.260]  left buries all of his accomplishments now the way they want to bury Trump's
[02:34:48.260 --> 02:34:51.740]  accomplishments so wouldn't Nixon's almost an example for Trump what if
[02:34:51.740 --> 02:34:54.700]  Nick if Nixon had all the stuff Trump had I think Trump's gonna run to be
[02:34:54.700 --> 02:34:59.340]  president again well I mean look I always thought Trump was more like
[02:34:59.340 --> 02:35:03.700]  Reagan in terms of his charisma and his personal charm and the whole you know
[02:35:03.700 --> 02:35:08.440]  atmospherics of his candidacy but he was also pragmatist like Nixon Nixon Trump
[02:35:08.440 --> 02:35:12.860]  was interested in results tell me how we get more jobs tell me how we employ more
[02:35:12.860 --> 02:35:16.240]  people tell me how we get justice into our criminal justice system he's
[02:35:16.240 --> 02:35:19.900]  interested in results he was practical so he's not really an idol by the way
[02:35:19.900 --> 02:35:24.060]  you've wished Biden well even though he stole it he's there you care about the
[02:35:24.060 --> 02:35:30.180]  country man open borders butchering the dollar gas prices exploding so Roger if
[02:35:30.180 --> 02:35:33.960]  anybody's got a political crystal ball it's you what do you see happening with
[02:35:33.960 --> 02:35:40.140]  Biden and what do you see unfolding there was a 25th amendment or the vice
[02:35:40.140 --> 02:35:42.740]  presidency what happens there with Kamala Harris well first of all I think
[02:35:42.740 --> 02:35:46.460]  it's important to understand that there's a revolution within the
[02:35:46.460 --> 02:35:49.779]  Democratic Party there's an epic struggle between their liberal but
[02:35:49.860 --> 02:35:54.300]  corporate wing and the socialist wing the hardcore left wing and that's going
[02:35:54.300 --> 02:35:57.660]  to right now Biden was the only candidate they could nominate who could
[02:35:57.660 --> 02:36:01.039]  kind of bridge that gap which wasn't that difficult to bridge because they
[02:36:01.039 --> 02:36:06.300]  have one thing in common they really really hate Donald Trump so that's why I
[02:36:06.300 --> 02:36:10.180]  think Biden was probably in the end their broadest candidate in terms of
[02:36:10.180 --> 02:36:15.500]  support now senator Harris is not a political rookie she was Attorney
[02:36:15.500 --> 02:36:19.779]  General she won a US Senate seat in a tough state but she's required to go to
[02:36:19.779 --> 02:36:24.100]  lunch once a week with Susan Rice while Susan Rice tutors her lectures are I'm
[02:36:24.100 --> 02:36:28.820]  told on the fine points of foreign policy I understand Senator Harris finds
[02:36:28.820 --> 02:36:31.820]  this offensive because she's been a member of the US Senate and she knows
[02:36:31.820 --> 02:36:35.420]  what she thinks and she's a pretty smart cookie she doesn't need Susan Rice to
[02:36:35.420 --> 02:36:39.820]  tell her what to think she could very well if you believe the actuarial tear
[02:36:39.820 --> 02:36:44.500]  tables end up as president of the United States but you already see the
[02:36:44.500 --> 02:36:48.619]  globalists trying to assert their future control to project their control
[02:36:48.619 --> 02:36:52.660]  and through these puppets though the real presidents these stooges who is
[02:36:52.660 --> 02:36:58.020]  their main controller is it Obama well we know one thing somebody sent me video
[02:36:58.020 --> 02:37:03.260]  of the jury forewoman in my case entering the Obama compound in Calorama
[02:37:03.260 --> 02:37:07.740]  during my trial isn't that interesting yeah I think that as you know it has
[02:37:07.740 --> 02:37:12.260]  been a great tradition Alex for former presidents leave Washington they get out
[02:37:12.260 --> 02:37:15.740]  of politics George W Bush no favorite of mine but he went out to paint
[02:37:15.740 --> 02:37:20.900]  portraits you know it is somewhere outside of Dallas in his bathtub right
[02:37:20.900 --> 02:37:27.460]  but not Barack Obama he stays and moves to a compound compound he maintains a
[02:37:27.460 --> 02:37:30.740]  political staff and he maintains the presence and he's actually said openly
[02:37:30.740 --> 02:37:34.900]  yeah if I could have gone for a third term I would have well I think he did I
[02:37:34.900 --> 02:37:38.900]  think the Obama administration apartment I think the Biden administration is
[02:37:38.900 --> 02:37:44.619]  Obama 3.0 I totally agree with you we're gonna do a tour here in a few
[02:37:44.619 --> 02:37:48.500]  minutes you thought you'd lost this photo I mean I've never seen this photo
[02:37:48.500 --> 02:37:52.260]  there's so much stuff here that's never before been seen this is a big piece of
[02:37:52.260 --> 02:37:56.260]  history with some close shots later that's you and William F Buckley and
[02:37:56.260 --> 02:37:59.860]  somebody else tell us about this photo so in this particular case Bill Buckley
[02:37:59.860 --> 02:38:04.520]  was recording radio commercials attacking Republican Lowell Weicker to
[02:38:04.520 --> 02:38:08.420]  the benefit of Senator Joe Lieberman because conservatives who lived in
[02:38:08.420 --> 02:38:11.980]  Connecticut my native state could determine that Joe Lieberman was
[02:38:11.980 --> 02:38:16.180]  actually more conservative than left-wing Republican rip-on society
[02:38:16.180 --> 02:38:20.720]  member Lowell Weicker and the Buckley's and the Weickers had a long-standing
[02:38:20.720 --> 02:38:25.980]  dispute out of Yale so Bill Buckley went to the forefront of Republicans for
[02:38:25.980 --> 02:38:30.020]  Lieberman and I wrote Lieberman I wrote the spots and we're recording there
[02:38:30.020 --> 02:38:35.340]  Ian Wineshell was the engineer very good guy Bill was charming but he also drank
[02:38:35.340 --> 02:38:40.500]  I would say two bottles of wine during the during the the 45-minute taping so
[02:38:40.500 --> 02:38:44.660]  he's very aristocratic he poured away a lot of alcohol and he held it well let
[02:38:44.660 --> 02:38:48.820]  me say that so he was doing those interviews what was the name of his show
[02:38:48.820 --> 02:38:54.260]  on PBS firing line man he could tell he was wasted in those well you know
[02:38:54.260 --> 02:39:00.660]  alcoholism ran in the family actually but he still is I think the the modern
[02:39:00.660 --> 02:39:04.779]  avatar of respectable conservatism in other words you strip away the
[02:39:04.779 --> 02:39:08.860]  old-fashioned anti-semitism the racism because we're not anti-semitic and we're
[02:39:08.860 --> 02:39:14.300]  not racist it was a new brand of conservatism I think was positive
[02:39:14.300 --> 02:39:18.900]  unfortunately it morphs into neoconism and that's where you leave me off me
[02:39:18.900 --> 02:39:22.460]  was just communist light well Buckley had a relationship with the CIA this is
[02:39:22.460 --> 02:39:27.300]  not a secret on the other hand nobody was a greater champion of that's like
[02:39:28.180 --> 02:39:33.180]  Walmart the CIA is everywhere yes it's true it's not some elitist it's like I
[02:39:33.180 --> 02:39:38.340]  have a relationship with you know brown tables I mean it's like they always act
[02:39:38.340 --> 02:39:42.820]  like it's some big vaunted no no it's like Roger Stone and the oath keepers
[02:39:42.820 --> 02:39:46.820]  both brush their teeth before going to bed isn't this whole thing clear to you
[02:39:46.820 --> 02:39:52.539]  yet please it's a joke well I'm not bragging but I mean we have a CIA reach
[02:39:52.539 --> 02:39:55.980]  out to you to me everybody else asking what we think I mean we're we're
[02:39:55.980 --> 02:40:00.260]  Americans are leaders a schoolteacher educating children somebody running for
[02:40:00.260 --> 02:40:04.300]  mayor who wins somebody that writes an incredible book someone that cooks an
[02:40:04.300 --> 02:40:08.020]  incredible cake bakes a cake I mean that's what makes the world go it's not
[02:40:08.020 --> 02:40:12.140]  the CIA and this magic group up there I mean Roger you don't toot your horn
[02:40:12.140 --> 02:40:15.420]  you've been a major thought leader for decades and decades explain to people
[02:40:15.420 --> 02:40:18.740]  that there's not like some magic secret intellectual group up there that it's
[02:40:18.740 --> 02:40:22.900]  we the people well first of all I think two things there is a there is a global
[02:40:23.180 --> 02:40:27.420]  it's definitely a deep state and they are not motivated by ideology they're
[02:40:27.420 --> 02:40:32.060]  motivated by their desire for control and money raw power raw control and
[02:40:32.060 --> 02:40:36.380]  they're canny so in other words they can back back an african-american liberal
[02:40:36.380 --> 02:40:40.740]  like Barack Obama for president and then they can back a faux conservative like
[02:40:40.740 --> 02:40:44.700]  George W Bush for president when the time is right they control both parties
[02:40:44.700 --> 02:40:48.619]  prior to Donald Trump come they don't want us an awakening to that control
[02:40:48.619 --> 02:40:51.460]  there's no question about that and that's why Trump was so dangerous to
[02:40:51.460 --> 02:40:56.100]  them he this that's a great question why did Trump you can say whatever you
[02:40:56.100 --> 02:40:59.220]  want about Trump he made the establishment shit their pants well he
[02:40:59.220 --> 02:41:04.340]  did because because he first of all they are highly confident that they can just
[02:41:04.340 --> 02:41:07.860]  hand off the presidential nomination to Jeb Bush like a like it was a checked
[02:41:07.860 --> 02:41:11.980]  hat they don't even expect there's gonna be a struggle and now this guy rises out
[02:41:11.980 --> 02:41:15.700]  of the east they think he's a caricature they laugh him off America
[02:41:15.700 --> 02:41:19.340]  Hillary and the WikiLeaks wanted him to get the nomination right what a joke
[02:41:19.380 --> 02:41:24.820]  they never see him coming and he so totally threatens the status quo where
[02:41:24.820 --> 02:41:28.220]  everybody's in it together now you have a guy who's president suddenly who says
[02:41:28.220 --> 02:41:31.939]  wait a minute where do the American people fit in I'm gonna put them first
