[00:00.000 --> 00:14.000]  Crashing through the lies and disinformation, it's Alex Jones, coming to you live from
[3:12:04.640 --> 3:12:10.880]  no the only reason i mentioned that yeah and here's the only reason i mentioned that is is because
[3:12:11.600 --> 3:12:23.760]  even if uh even if we were to argue the points uh the points um the the the uh facts as they are
[3:12:24.960 --> 3:12:29.040]  they're not going to listen and that's why you said and i'll turn it back to you the
[3:12:29.040 --> 3:12:35.840]  ideological divide is so great it's just i don't you know what what and i'd toss this out i think
[3:12:35.840 --> 3:12:40.480]  we might have done this last time we were on my question to the to the people listening out there
[3:12:40.480 --> 3:12:46.400]  info wars uh to info wars info wars store.com by the way uh support this endeavor but my my
[3:12:46.400 --> 3:12:53.200]  question to you folks is this we talk about the possibility of a civil war all right how bad it
[3:12:53.200 --> 3:13:01.280]  could be my question could a could not having a civil war be worse what's worse than what could be
[3:13:01.280 --> 3:13:06.720]  worse than having a civil war perhaps not having one now i'm not wishing and believe me anyone who
[3:13:06.720 --> 3:13:13.120]  would wish a civil war on a country is it would be would be psychotic there's differences in in
[3:13:13.120 --> 3:13:18.000]  war and types of war i mean uh we're we're engaging in a battle right now it doesn't have to be a hot
[3:13:18.000 --> 3:13:22.560]  war with bullets and missiles that we're saying i mean it's a we're in ideological civil war right
[3:13:22.560 --> 3:13:28.880]  now and it's playing out um you know every each and every day in the uh in the social media realm
[3:13:28.880 --> 3:13:34.960]  and in pop culture and it is uh seemingly it seems that they're winning and it is because they have
[3:13:34.960 --> 3:13:38.560]  all the microphones it is because they get all the attention and most importantly it is because
[3:13:38.560 --> 3:13:42.880]  they block and censor the opposition and the points of view and to your point about you know you
[3:13:42.880 --> 3:13:47.920]  can't have a i remember a time when you could have a disagreement with somebody and you could have a
[3:13:47.920 --> 3:13:53.040]  debate and you there wasn't two sets of facts people would you know come to the understanding
[3:13:53.040 --> 3:13:57.920]  that okay maybe i'm not exactly right but what i see with this that is so dangerous is that
[3:13:57.920 --> 3:14:01.760]  these people think they know everything and they think they know what's best for everybody else
[3:14:01.760 --> 3:14:06.640]  and it's their way or no way at all and and if you don't agree or subscribe to their way of
[3:14:06.640 --> 3:14:11.680]  thinking you're automatically labeled an enemy you're automatically labeled with an ism you know
[3:14:11.680 --> 3:14:17.680]  racism whatever the the term is of the day trying to shame you into that role and so often we have
[3:14:17.680 --> 3:14:21.440]  seen people um you know how many times have you seen people get so defensive when they're called
[3:14:21.440 --> 3:14:27.440]  a racist or uh whatever the term is and that has all lost its meaning now and now we're at the point
[3:14:27.440 --> 3:14:32.960]  where um we can't even have a discussion you can't even agree to disagree it's all or nothing and i've
[3:14:32.960 --> 3:14:37.360]  seen it change people i talked about this i talk about all the time i have a friend whose mother
[3:14:37.360 --> 3:14:43.120]  is one of the sweetest ladies ever but she has been brainwashed by msnbc and cnn the most sane
[3:14:43.120 --> 3:14:46.800]  and normal person otherwise but when you start talking about politics when you start talking
[3:14:46.800 --> 3:14:51.920]  about the president it's like a switch goes off in her head and she thinks he's the most evil person
[3:14:52.480 --> 3:14:57.280]  to ever you know live on the face of the earth and and nothing he would do could be could be good
[3:14:57.280 --> 3:15:01.520]  no matter what it was even if it was something she supported and agreed with and that makes no
[3:15:01.520 --> 3:15:05.520]  sense to me and that shows me that there's a a much bigger component here than just politics this
[3:15:05.520 --> 3:15:09.840]  is a spiritual battle and this is a spiritual blindness and deception that we are fighting
[3:15:09.840 --> 3:15:15.680]  against and until we understand that and fight that properly we're not going to make much headway
[3:15:15.680 --> 3:15:22.320]  um especially in and uh when we're dealing with the evil that this earth has uh um you know acquiesced
[3:15:22.320 --> 3:15:26.960]  to and and even the church we talk about this all the time the church is conforming to the world
[3:15:26.960 --> 3:15:32.160]  instead of standing its ground and and uh sticking to the gospel and when that happens we are in
[3:15:32.160 --> 3:15:39.920]  trouble amen to that info wars dot com doug hagman joe hagman sitting in for alex jones
[3:15:39.920 --> 3:15:47.040]  following of course mike adams folks support this endeavor info wars sore dot com big sale going on
[3:15:47.040 --> 3:15:55.200]  there info wars dot com we'll be right back stay with us hi i'm dan pilla i started fighting the
[3:15:55.200 --> 3:16:00.160]  iris over 40 years ago when they tried to seize my mother's house i sued the iris and won i beat
[3:16:00.160 --> 3:16:04.800]  the iris then and i've been beating them ever since i wrote the book on tax debt settlement and i've
[3:16:04.800 --> 3:16:09.040]  helped thousands of people deal with tax problems they thought might never be solved i can help you
[3:16:09.040 --> 3:16:13.840]  too if you owe taxes you can't pay don't wait another day there's no such thing as a hopeless
[3:16:13.840 --> 3:16:21.200]  tax case call 800 34 no tax or go to my website dan pilla dot com that's dan pilla dot com dan
[3:16:21.200 --> 3:16:27.920]  pilla dot com and wolf hill ammo dot com we love shotgun we are for the best specialty shotgun ammo
[3:16:27.920 --> 3:16:32.960]  on the market including our defense of combo packs for home and retreat our last lethal combo is good
[3:16:32.960 --> 3:16:38.080]  for animal control the four legged kind and two legged when lethal force is necessary reach for
[3:16:38.080 --> 3:16:42.800]  our stop them drop them or our home defense combos these five round packs include different heavy
[3:16:42.800 --> 3:16:47.920]  hitters to protect your loved ones visit wolf hill ammo dot com to see our great prices on these
[3:16:47.920 --> 3:16:54.240]  combo packs and other specialty shotgun ammo rounds wolf hill ammo dot com pain in my neck back and
[3:16:54.240 --> 3:17:00.160]  shoulders has really gotten worse relief for body pain is here with sunny bay heating pads well the
[3:17:00.160 --> 3:17:04.720]  last thing i want is to take another pill so what's so good about sunny bay heating pads sunny bay
[3:17:04.720 --> 3:17:10.800]  heating pads made by biomed db designed right here in the usa come in all sizes our extra large
[3:17:10.800 --> 3:17:16.640]  microwavable heating pad for back pain is designed to be large enough to cover your entire back it's
[3:17:16.640 --> 3:17:21.200]  also perfect to wrap around your legs knees or shoulder and neck but i need to know their good
[3:17:21.200 --> 3:17:26.800]  quality of course sunny bay heating pads and pillows are often an amazon choice and it's easy
[3:17:26.800 --> 3:17:30.800]  and most affordable when you purchase your sunny bay heating pads right from our website
[3:17:30.800 --> 3:17:39.600]  sunshine pillows dot com or call us 253 678 1361 hey a sunny bay heating pad would make a great gift
[3:17:39.600 --> 3:17:48.400]  right yes and they start at just 1999 and free shipping is available so call 253 678 1361 or
[3:17:48.400 --> 3:17:55.120]  shop for your sunny bay heating pad at sunshine pillows dot com whether you're looking to boost
[3:17:55.120 --> 3:18:00.640]  the benefits of our fish oil formula or just want an alternative info wars life has the formula for
[3:18:00.640 --> 3:18:06.880]  you ultimate krill oil is a powerhouse formula that takes advantages of the epa dha and omega
[3:18:06.880 --> 3:18:12.480]  three is found in our high quality ultra pure krill oil concentrate containing powerful antioxidants
[3:18:12.480 --> 3:18:17.520]  such as azzanthin and omega three ultimate krill oil can help you experience the benefits of fish
[3:18:17.520 --> 3:18:24.160]  oil with less required dha and epa this incredible formula can help your body in many ways including
[3:18:24.160 --> 3:18:29.280]  supporting heart health joint health and cognitive health aiding and regulating fat metabolism
[3:18:29.280 --> 3:18:34.080]  helping to maintain cognitive function and more and while other krill oil formulas may
[3:18:34.080 --> 3:18:38.800]  chemically modify their formulas we're giving you the benefits of a simple formula that contains
[3:18:38.800 --> 3:18:44.480]  unmodified high quality krill oil concentrate paired with our ultimate fish oil or use separately
[3:18:44.480 --> 3:18:49.840]  it's time to see what krill oil can do for you with ultimate krill oil now available at info wars
[3:18:49.840 --> 3:18:57.680]  store dot com the globalists are trying to set up a private corporate world government that's
[3:18:57.680 --> 3:19:04.000]  above the law if there's any opposition and there's any independent media they can call
[3:19:04.000 --> 3:19:10.080]  the fact that the emperor has no close they can call bs it's game over but if you look at everybody
[3:19:10.080 --> 3:19:14.960]  else like michael savage and rush limbaugh and tugger carlson and sean hannity they are all behold
[3:19:14.960 --> 3:19:22.000]  into the networks they're on they can be targeted there's only two groups in the us info wars and
[3:19:22.000 --> 3:19:27.120]  matt rudge of rudge report dot com that are truly independent and of course there are two of the
[3:19:27.120 --> 3:19:33.680]  dominant media forces in the world it really is amazing that's why as we closed out 2018 i want
[3:19:33.680 --> 3:19:37.520]  to just remind the listeners of the amazing fight we're all in and how far we've come together
[3:19:37.520 --> 3:19:43.520]  just remind you that you are the power you're the strength you're the will of info wars so please
[3:19:43.520 --> 3:19:48.240]  spread the links info wars dot com news wars dot com prison pilot dot com because if you don't
[3:19:48.240 --> 3:19:53.120]  spread the articles in the videos no one else will we're all in each other's hands god bless you all
[3:19:53.120 --> 3:20:10.560]  thank you you're listening to the alex jones show
[3:20:10.560 --> 3:20:26.800]  and welcome back to the fourth hour on this thursday edition of info wars on this december
[3:20:26.800 --> 3:20:32.560]  27th 2018 edition uh one of the last broadcast of the year we're really running out of time in 2018
[3:20:32.560 --> 3:20:38.000]  2019 right around the corner and time is just flying by want to mention this real quick uh folks
[3:20:38.000 --> 3:20:41.920]  if you haven't checked out paul joseph watson's latest video i had a chance to listen to it this
[3:20:41.920 --> 3:20:48.480]  morning and i uh it was really good a very sad story there were a pair of murders there was a
[3:20:48.480 --> 3:20:56.000]  double murder in morocco by it done by islamists and it was an isis style execution by beheading
[3:20:56.000 --> 3:21:02.560]  and the state tv the state sponsored tv has been censoring uh the coverage of this murder
[3:21:02.560 --> 3:21:10.080]  and refusing to uh place a blame where it belongs on the on islam instead they are uh you know
[3:21:10.080 --> 3:21:15.200]  censoring it we know that they have hate speech laws over there but the insanity behind this you
[3:21:15.200 --> 3:21:23.920]  have the the islamic beheading of a female and two murders and you have the government and the tv
[3:21:23.920 --> 3:21:29.120]  doing what they can to cover up the origins and reasons behind those murders what is happening
[3:21:29.120 --> 3:21:34.480]  in europe this is a reoccurring theme and again go to check out paul joseph watson's video he did a
[3:21:34.480 --> 3:21:39.760]  great job as he always does in breaking down these issues uh because it's so important this is at the
[3:21:39.760 --> 3:21:44.560]  doorsteps of america too we see the transformation of our society happening in many places around the
[3:21:44.560 --> 3:21:50.000]  country uh from texas to minnesota all over the place we saw just a few weeks ago i don't know if
[3:21:50.000 --> 3:21:55.040]  we had a chance to talk about it here where there was a judge in minnesota or michigan i believe that
[3:21:55.040 --> 3:22:04.160]  ruled that the uh female uh there you go female general mutilation uh that it was unconstitutional
[3:22:04.160 --> 3:22:11.120]  to uh disallow uh is people of the islamic faith to do that and this is bringing sharia law into
[3:22:11.120 --> 3:22:17.760]  america and becoming sharia compliant so we are not as deep in trouble as europe is but we are
[3:22:17.760 --> 3:22:23.520]  seeing those signs on the door and how long before they decide you know other parts of sharia law
[3:22:23.520 --> 3:22:29.040]  are uh should be accepted as part of you know a constitutional type uh system it doesn't make
[3:22:29.040 --> 3:22:35.040]  sense it doesn't make sense at all unless they are wanting to bring that here you know joe the
[3:22:35.040 --> 3:22:43.760]  individual responsible for expunging a lot of that uh islamic uh sharia information jihadist
[3:22:43.760 --> 3:22:49.840]  information from the from the manuals of the fbi robert miller of course and we we know that robert
[3:22:49.840 --> 3:22:56.560]  miller uh is doing nothing except continuing his investigation on president trump against
[3:22:56.560 --> 3:23:01.840]  president trump much to the much to the delight of the democratic socialist here and again it's to
[3:23:01.840 --> 3:23:08.400]  take take our constitutional republic down make no mistake about this and yes sharia and the
[3:23:08.400 --> 3:23:15.120]  sharia compliant which is antithetical to the constitution is is uh part of a globalist agenda
[3:23:15.120 --> 3:23:21.040]  to rip at our fabric of america but you know uh i i mentioned that real quick yeah go ahead you
[3:23:21.040 --> 3:23:26.240]  know between james between uh james comey and robert miller uh those two as fbi directors
[3:23:26.240 --> 3:23:32.720]  they have done so much damage to the fbi when um uh dealing with uh islamic terrorism and
[3:23:32.720 --> 3:23:36.960]  they have uh you know when we looked at robert miller and we hear people saying oh he went
[3:23:36.960 --> 3:23:41.920]  when the investigation started that he was one of the most uh upstanding you know moral people
[3:23:41.920 --> 3:23:47.920]  the the perfect guy for the job well he's got a laundry list of conflicts of interests of uh of
[3:23:47.920 --> 3:23:53.920]  shady dealings and of um questionable tactics is like what did he did with the fbi scrubbing the fbi
[3:23:53.920 --> 3:23:59.680]  of um of references to islamic terrorism trying to and this was james comey too and i don't
[3:23:59.680 --> 3:24:06.480]  understand um you know in today's world why they would do that unless they want it to fester and
[3:24:06.480 --> 3:24:10.880]  grow and they don't i mean we've seen it time and time again isis will play the responsibility
[3:24:10.880 --> 3:24:15.760]  and the the government will say no no no don't worry it's not terrorism it's domestic uh it's
[3:24:15.760 --> 3:24:20.320]  workplace violence like the fordhood shooting and that's when it really started to open my eyes
[3:24:20.320 --> 3:24:26.720]  when the fordhood shooting happened they said it was workplace violence well it makes me think too
[3:24:26.720 --> 3:24:31.600]  about miller we had of course uh folks hagman report dot com that's our website that's our
[3:24:31.600 --> 3:24:36.400]  home base hagman report live for our show seven to ten weeknights seven to ten p.m eastern time
[3:24:36.400 --> 3:24:44.240]  weeknights uh but we had uh john milkovich on and he's he's the author of this book uh
[3:24:44.240 --> 3:24:49.680]  robert biller erin boy for the new world order now i don't get paid for talking about this or
[3:24:49.680 --> 3:24:57.520]  we don't we don't get making any money off this book but he talks about uh the the well
[3:24:57.520 --> 3:25:03.120]  in this book is a report and he's a state senator from uh louisiana i believe 38th district from
[3:25:03.120 --> 3:25:08.800]  louisiana okay but he writes that there's an epic disconnect between robert miller described by the
[3:25:08.800 --> 3:25:15.680]  mass media and officialdom as model of public propriety as a model of public variety in the
[3:25:15.680 --> 3:25:21.840]  robert miller documented independent researchers a chronic collaborator with career characterized by
[3:25:21.840 --> 3:25:26.960]  cover-ups corruption and unconscionable conduct an ever-willing instrument of the deep state
[3:25:26.960 --> 3:25:33.600]  dissimulation and i'll tell you something um and again i'm not uh hawking books here but i'm telling
[3:25:33.600 --> 3:25:40.960]  you when you look at what miller was tasked to do he is doing it exquisitely so anyone who would
[3:25:40.960 --> 3:25:47.520]  ever believe in any sense of the word that miller was a white hat or is a white hat is delusional
[3:25:47.520 --> 3:25:52.480]  but one thing i what wasn't real quick thing uh i don't like it too far off what you were talking
[3:25:52.480 --> 3:25:58.800]  about uh the hill today this is so critical for people to understand because we we joey you and
[3:25:58.800 --> 3:26:06.400]  i were following uh the um uh prosecution of general michael flinn well in the hill today real
[3:26:06.400 --> 3:26:12.480]  quick uh an article by kevin brock and dan bugino mentioned that this morning on his podcast i just
[3:26:12.480 --> 3:26:16.800]  want to mention that right now there are three oddities in fbi handling of flinn interview and
[3:26:16.800 --> 3:26:23.280]  frankly i did not catch this um and i just want to toss this over to you uh right after this the
[3:26:23.280 --> 3:26:30.720]  three oddities again this is an article by kevin brock uh writing in the hill um one of the biggest
[3:26:30.720 --> 3:26:35.520]  issues here and i did not think of this i didn't catch this and i wonder how many people did
[3:26:36.880 --> 3:26:45.920]  the 302s there were two 302s that were uh done on on flinn one rather contemporaneously or right
[3:26:45.920 --> 3:26:52.240]  around the time of his january 2017 interview the two agents that interviewing flinn they completed
[3:26:52.240 --> 3:26:58.000]  a 302 and of course there was an august 302 that the fbi completed now having said that
[3:27:00.000 --> 3:27:06.960]  what was the basis what was the uh underlying predicate for interviewing flinn in the first
[3:27:06.960 --> 3:27:14.160]  place it was what kind of investigation it was a counterintelligence investigation and even the um
[3:27:14.160 --> 3:27:21.200]  um uh and as an aside the washington post has leaked to the washington post by the intelligence
[3:27:21.200 --> 3:27:29.120]  community about michael flinn the day before his um his interviewer before his interview
[3:27:29.680 --> 3:27:35.760]  or around the time of his interview i should say that there was no indication of any wrongdoing
[3:27:35.760 --> 3:27:46.560]  uh 302s i guess here's the bottom line in one of the oddities 302s are criminal documents in
[3:27:46.560 --> 3:27:54.240]  other words documents to record a statement in a criminal investigation not a counterintelligence
[3:27:54.240 --> 3:28:06.560]  investigation so what in the hell were two fbi agents doing creating a 302 on a counterintelligence
[3:28:06.560 --> 3:28:11.120]  investigation unless it was never designed to be a counterintelligence investigation
[3:28:12.400 --> 3:28:20.080]  and again yeah so think about that yeah think about that and uh folks uh yeah go ahead joe
[3:28:20.080 --> 3:28:25.680]  you can take a spot just real quick i mean we have not seen i want to see the declassified
[3:28:25.680 --> 3:28:30.080]  information i want to see i don't know why the documents have not been declassified i don't
[3:28:30.080 --> 3:28:35.280]  know why uh the president has not decided to just put everything out there you know the fbi talks
[3:28:35.280 --> 3:28:39.360]  about protecting sources and methods but they have been what they were weaponized against the
[3:28:39.360 --> 3:28:43.760]  president they were weaponized against his administration and his his campaign and that
[3:28:43.760 --> 3:28:47.760]  information needs to come out so we understand the full scope of the criminality behind the
[3:28:47.760 --> 3:28:52.480]  obama administration and the weaponization of the intelligence agencies against president
[3:28:52.480 --> 3:28:57.280]  donald trump heart disease is on the rise clogged arteries high blood pressure and
[3:28:57.280 --> 3:29:03.040]  high cholesterol levels may not be fully detected by you but the symptoms are there loss of energy
[3:29:03.040 --> 3:29:08.240]  blood sugar spikes and drops poor circulation and irregular heartbeat are just a few of these
[3:29:08.240 --> 3:29:13.600]  that can alert you that something is wrong here how heart and body extract is making a difference
[3:29:13.600 --> 3:29:19.360]  in thousands of people's lives across america my blood pressure has normalized my diabetes has
[3:29:19.360 --> 3:29:23.520]  totally improved everyone is telling me now how much healthier i look and i'm telling everyone
[3:29:23.520 --> 3:29:28.400]  how much healthier i feel i recommend heart and body extract to everyone anybody over 40 in the
[3:29:28.400 --> 3:29:34.160]  north american continent should be using this product as a preventative to keep their cardiovascular
[3:29:34.160 --> 3:29:42.880]  system healthy order your two month supply today by calling 866-295-5305 that's 866-295-5305
[3:29:42.880 --> 3:29:51.920]  or order online hbextract.com heart and body extract 866-295-5305 or hbextract.com
[3:29:53.840 --> 3:29:59.200]  we all know that the outside toxins in the water is a serious health issue info wars is proud to
[3:29:59.200 --> 3:30:04.240]  sell incredible filters but it's almost impossible to keep up with every faucet shower and sink in
[3:30:04.240 --> 3:30:09.040]  your home that's why we're bringing you something to provide clean water for your whole house with
[3:30:09.040 --> 3:30:15.200]  one system the pro pure whole house water filtration system is an advanced four stage
[3:30:15.200 --> 3:30:21.440]  compact filtration system that will provide water filtration for your entire home removing 220
[3:30:21.440 --> 3:30:27.120]  plus contaminants from your water it's compact in size easy to install and maintain and keeps
[3:30:27.120 --> 3:30:32.720]  fluoride and other dangerous toxins out of your water supply and away from you and your family
[3:30:32.720 --> 3:30:37.760]  with its broad spectrum contaminant reduction you'll only need this one filter for clean
[3:30:37.760 --> 3:30:43.680]  and refreshing water all over your home head to infowarstore.com and whether it's your first
[3:30:43.680 --> 3:30:48.320]  water filtration purchase or you're looking to replace your current rundown systems it's time
[3:30:48.320 --> 3:30:55.120]  to go big and go home with the pro pure whole house filtration system today the globalists are
[3:30:55.120 --> 3:31:00.080]  trying to set up a private corporate world government that's above the law if there's any
[3:31:00.080 --> 3:31:06.000]  opposition if there's any independent media they can call the fact that the emperor has no close
[3:31:06.000 --> 3:31:11.600]  they can call bs it's game over but if you look at everybody else like michael savage and rush
[3:31:11.600 --> 3:31:16.560]  limbaugh and tucker carlson and sean hannity they are all beholded to the networks they're on
[3:31:16.560 --> 3:31:23.520]  that can be targeted there's only two groups in the us info wars and matt rudge of rudge report.com
[3:31:24.240 --> 3:31:28.640]  that are truly independent and of course they're two of the dominant media forces in the world
[3:31:29.360 --> 3:31:34.880]  it really is amazing that's why as we close out 2018 i want to just remind the listeners of the
[3:31:34.880 --> 3:31:39.040]  amazing fight we're all in and how far we've come together just remind you that you are the power
[3:31:39.040 --> 3:31:46.480]  you're the strength you're the will of info wars so please spread the links info wars.com news wars.com
[3:31:46.480 --> 3:31:50.400]  prismpana.com because if you don't spread the articles the video's no one else will
[3:31:50.960 --> 3:31:56.320]  we're all in each other's hands god bless you all and thank you so as we prepare to close out 2018
[3:31:56.320 --> 3:32:01.760]  just remember this life is a test and those of you that have been listening and watching and
[3:32:01.760 --> 3:32:06.560]  taking action the victories of populism and nationalism and christianity coming back from
[3:32:06.560 --> 3:32:12.160]  the dead and recognizing it's being persecuted that's all because you are the core listening to
[3:32:12.160 --> 3:32:19.360]  info wars around the world the eyes and ears of liberty that were immune or at least resistant
[3:32:19.360 --> 3:32:25.280]  to the globalist programming everybody knows who studies this that it's christians real christians
[3:32:25.280 --> 3:32:31.600]  who tend to be immune to the globalist brainwashing and who tend to see it and that's why they're
[3:32:31.600 --> 3:32:39.440]  trying to eradicate you but regardless this fight is intensifying 2018 has been insane 2019 is going
[3:32:39.440 --> 3:32:45.680]  to be the big decision maker and i am so honored to be here with you right beside me not behind
[3:32:45.680 --> 3:32:49.280]  us but right beside us and at the heart of everything resisting these globalists so whatever
[3:32:49.280 --> 3:33:03.680]  you do take action realize we're changing history together and i salute you you're listening to the alex jones show
[3:33:03.680 --> 3:33:25.840]  the answer to 1984 is 1776 you're listening to the alex jones show with doug hagman
[3:33:25.840 --> 3:33:33.520]  doug and joe hagman here from the hagman report filling in for alex jones on this fourth hour
[3:33:33.520 --> 3:33:39.440]  of this thursday edition on this december 27th 2018 we were talking about robert mueller before
[3:33:39.440 --> 3:33:45.760]  the break here and a number of things that he has been in the news about including the most
[3:33:45.760 --> 3:33:51.120]  important which is the investigation into president trump for russian collusion which has moved well
[3:33:51.120 --> 3:33:56.720]  beyond any uh collusion now into you know looking at obstruction and anything they can get their
[3:33:56.720 --> 3:34:01.280]  hands on to try to undermine and destroy the president and his reputation and what he has
[3:34:01.280 --> 3:34:04.880]  been able to accomplish and that's one of the things that we have to be grateful for when we
[3:34:04.880 --> 3:34:12.880]  look back at 2018 and 2017 even 2016 is the fact that every intelligence agency every law enforcement
[3:34:12.880 --> 3:34:17.440]  agency federally at least seemed to be weaponized didn't seem to be it was weaponized against
[3:34:17.440 --> 3:34:23.360]  president trump and his administration and his campaign first and foremost and he was able to
[3:34:23.360 --> 3:34:29.040]  overcome that i'm not sure that any one man alone could do something like that i think there is much
[3:34:29.040 --> 3:34:37.120]  more at play than just politics there is a spiritual component here that must be recognized and he
[3:34:37.120 --> 3:34:44.000]  continues to have successes even in the face of all these enemies that have been piled up up against
[3:34:44.000 --> 3:34:49.440]  him and all these agencies that have been weaponized against him he continues to succeed and we can't
[3:34:49.440 --> 3:34:53.680]  no matter what is going on forget that and we have to be thankful for that because at least
[3:34:53.680 --> 3:34:58.720]  we have that just imagine what it would be like if hillary clinton was president and i i read
[3:34:58.720 --> 3:35:03.760]  something that she tweeted out uh something uh some kind of christmas message um that had a
[3:35:03.760 --> 3:35:07.760]  picture of her from her time in the white house almost like wishful thinking like she wishes she
[3:35:07.760 --> 3:35:14.080]  was back there again but robert muhler uh you dad you got into this uh a little bit but there's a
[3:35:14.080 --> 3:35:18.640]  great piece up on the hill julian he calls for muhler to be investigated for destruction of fbi
[3:35:18.640 --> 3:35:26.720]  evidence now you know we have seen uh what the stroke page messages just just disappear i mean
[3:35:26.720 --> 3:35:33.920]  no other except for hillary clinton really um in my memory no other evidence in the fbi
[3:35:33.920 --> 3:35:40.000]  just disappears unless there is somebody who is making it disappear and how convenient for
[3:35:40.000 --> 3:35:45.840]  these people uh that this evidence just goes by by by how much is robert muhler on the hook
[3:35:45.840 --> 3:35:50.320]  for this i mean he's overseeing this investigation this is his evidence this is his information
[3:35:50.320 --> 3:35:56.720]  right and uh the the inspector general too uh we have to ask what is going on with this but buck
[3:35:56.720 --> 3:36:02.640]  sexton he wrote i'm sorry john solomon wrote this opinion piece up on the hill and he talks about
[3:36:02.640 --> 3:36:07.760]  uh what rude juliani says and he says that it's time for robert muhler to be investigated and
[3:36:07.760 --> 3:36:12.640]  we've talked about this for a long time um can the president should the president fire robert
[3:36:12.640 --> 3:36:17.680]  muhler when would be a good time i thought when the attorney general switch was made that in the
[3:36:17.680 --> 3:36:22.080]  announcement from muhler saying that they were not going to focus on russian collusion that the
[3:36:22.080 --> 3:36:27.360]  mandate was going to be you know basically anything but that moving forward that was when the president
[3:36:27.360 --> 3:36:31.520]  should have pulled the trigger now a lot of people don't agree with me they think he should just let
[3:36:31.520 --> 3:36:34.880]  him stay the course since that they're never gonna find anything that would have already found it
[3:36:34.880 --> 3:36:40.720]  but obviously uh we see uh dissenting opinions especially even on fox news and judge napolitano
[3:36:41.280 --> 3:36:44.160]  i haven't really been listening to a lot of what he's been saying lately
[3:36:44.160 --> 3:36:49.040]  oh and one of the headlines he's been making but yeah he's saying things like you know
[3:36:49.040 --> 3:36:53.200]  trump should was it trump should resign or they're gonna indict his kids and they have
[3:36:53.200 --> 3:37:00.720]  stuff to go after him on and um it just seems like uh everything and everyone it just wants to see
[3:37:00.720 --> 3:37:06.640]  trump fail and as we said earlier the divide in this country seems to be uh along the lines of
[3:37:06.640 --> 3:37:11.040]  whether you like the president or you don't like the president but it is much deeper than that
[3:37:11.040 --> 3:37:17.040]  but will robert muhler will james comey will any of these people ever be held accountable in any
[3:37:18.080 --> 3:37:22.320]  way that is uh satisfactory to the american public out there who have been paying attention
[3:37:22.320 --> 3:37:29.200]  who know the crimes that have been committed by these people so that's my job i i'll just i'll
[3:37:29.200 --> 3:37:36.720]  just chime in here well i still can uh the investigation is the obstruction and if you
[3:37:36.720 --> 3:37:46.480]  think about this uh huber john huber uh working with um oig horowitz can't testify to an ongoing
[3:37:46.480 --> 3:37:54.960]  investigation uh comey for example can't testify or uh testify about or provide information about
[3:37:54.960 --> 3:38:01.680]  x y or z because why the investigation is ongoing don't want to compromise an ongoing investigation
[3:38:01.680 --> 3:38:07.600]  now if that was a legitimate investigation obviously i understand that but the investigation
[3:38:07.600 --> 3:38:15.520]  is going to keep the obstruction alive in other words uh the end game objective here
[3:38:15.520 --> 3:38:22.000]  is to keep the muhler investigation going until president trump is out of office and we're at
[3:38:22.000 --> 3:38:29.440]  what day number i think 590 uh a year six months and i think 12 days of the muhler investigation
[3:38:30.720 --> 3:38:38.480]  out of what 707 days of the uh like 590 days out of 707 days of the presidency
[3:38:39.200 --> 3:38:45.360]  so this is the tactic i believe of the muhler investigation and the intent of the muhler
[3:38:45.360 --> 3:38:51.760]  investigation continue forward until donald trump is either forced out of office or
[3:38:51.760 --> 3:38:57.040]  something else takes place and i'll tell you something uh roger stone leave well yeah and
[3:38:57.040 --> 3:39:02.480]  roger stone and alex had a very good piece and i would not i'm gonna tell i'm gonna tell everyone
[3:39:02.480 --> 3:39:08.960]  out there um the uh i saw it over the weekend over the holiday weekend where roger stone was
[3:39:08.960 --> 3:39:15.520]  talking about they're talking with alex and they're talking about um as much as i hate to say this
[3:39:15.520 --> 3:39:19.600]  the removal from office with prejudice and i think people understand what that means
[3:39:19.600 --> 3:39:26.160]  look um donald trump there's no chaos in in the office there's no chaos in the white house
[3:39:26.160 --> 3:39:31.040]  everything to that everything else is on the people who say that there is that's fake news
[3:39:31.040 --> 3:39:36.160]  well you know what i'll say this there's chaos to the extent that the deep state holdovers the
[3:39:36.160 --> 3:39:41.760]  the obama loyalists the the communist progressives uh to the the extent that they create there's not
[3:39:41.760 --> 3:39:46.320]  chaos being created by president trump there's chaos being uh being created by the people who
[3:39:46.320 --> 3:39:52.320]  refuse to allow his agenda to be implemented and we know when we read it uh in in uh i believe it
[3:39:52.320 --> 3:39:58.320]  was uh one of the books when we were in dc when uh the confirmation hearings for um oh my goodness
[3:39:58.320 --> 3:40:03.760]  the supreme court kavanaugh was going out and the book came out uh by woodward and they talked
[3:40:03.760 --> 3:40:08.560]  about that the and they said how uh the so many of the workers in the white house uh you know
[3:40:08.560 --> 3:40:12.800]  refused to submit paperwork would hide things so the president didn't see i mean things like that
[3:40:12.800 --> 3:40:17.440]  that's the only chaos that i really see the turnover as far as the personnel does not bother me
[3:40:17.440 --> 3:40:22.000]  because you can uh have a position and fill with 10 different people but until you get that right
[3:40:22.000 --> 3:40:25.920]  person in there you you have to get the right person in there you can have that turnover as
[3:40:25.920 --> 3:40:29.840]  long as you're getting the right people in there so i don't see that as chaos but everything that
[3:40:29.840 --> 3:40:33.600]  the president i mean just look as i mentioned earlier the coverage about the president not
