[00:00.000 --> 00:29.000]  It's Sunday. July 8th, the year is 2021.
[1:18:34.000 --> 1:18:36.000]  Hey, Alex, it's great to be on with you.
[1:18:36.000 --> 1:18:37.000]  It's an honor.
[1:18:37.000 --> 1:18:38.000]  Honored talk to you.
[1:18:38.000 --> 1:18:39.000]  Awesome.
[1:18:39.000 --> 1:18:42.000]  So, firstly, I wanted to do is say I love the products.
[1:18:42.000 --> 1:18:45.000]  Alpha Power, even at 29, if you ask my better half,
[1:18:45.000 --> 1:18:48.000]  she loves it and it helps in the bedroom.
[1:18:48.000 --> 1:18:50.000]  So, just number one for a few of you.
[1:18:50.000 --> 1:18:52.000]  It definitely works, it's not a joke.
[1:18:52.000 --> 1:18:53.000]  Absolutely.
[1:19:22.000 --> 1:19:25.000]  And the fact that you're able to commune with God,
[1:19:25.000 --> 1:19:27.000]  the fact that you're able to see the beauty of the sunset
[1:19:27.000 --> 1:19:29.000]  or the beauty of the waves in the ocean
[1:19:29.000 --> 1:19:31.000]  or the beauty of your life or your husband
[1:19:31.000 --> 1:19:34.000]  or the beauty of your child learning knowledge,
[1:19:34.000 --> 1:19:35.000]  the beauty of music,
[1:19:35.000 --> 1:19:37.000]  the fact that you can commune with that
[1:19:37.000 --> 1:19:39.000]  and resonate with that is energetic
[1:19:39.000 --> 1:19:43.000]  and that itself is what God teaches us is worship.
[1:19:43.000 --> 1:19:46.000]  So, don't worship the globalist, don't worship the NFL,
[1:19:46.000 --> 1:19:48.000]  don't worship all the things in the system,
[1:19:48.000 --> 1:19:51.000]  but worship the things of God because we're made by God
[1:19:51.000 --> 1:19:53.000]  and appreciate your consciousness
[1:19:53.000 --> 1:19:55.000]  and appreciate free speech while you still have it,
[1:19:55.000 --> 1:20:24.000]  while you still have it.
[1:20:25.000 --> 1:20:42.000]  So, it's very simple.
[1:20:42.000 --> 1:20:44.000]  If you're going to launch a war,
[1:20:44.000 --> 1:20:47.000]  you want it to be covert.
[1:20:47.000 --> 1:20:50.000]  The ultimate war would be to pose as a savior.
[1:20:50.000 --> 1:20:53.000]  The medical system, big pharma.
[1:20:53.000 --> 1:20:57.000]  And then, within big pharma, you have a cult that thinks,
[1:20:57.000 --> 1:20:59.000]  oh, we're saving the earth, there's too many humans.
[1:20:59.000 --> 1:21:01.000]  We're an environmental movement.
[1:21:01.000 --> 1:21:02.000]  We're a birth control movement.
[1:21:02.000 --> 1:21:04.000]  We want to depopulate the planet.
[1:21:04.000 --> 1:21:06.000]  That's why we want to get health departments
[1:21:06.000 --> 1:21:09.000]  that are in control of humanity that organize and run our lives.
[1:21:09.000 --> 1:21:12.000]  That was all the Rockefellers, the early 1900s,
[1:21:12.000 --> 1:21:15.000]  Margaret Sanger, historical fact, IBM,
[1:21:15.000 --> 1:21:18.000]  Hitler, Cold Springs, Harbor, New York.
[1:21:18.000 --> 1:21:21.000]  That's all came out of that.
[1:21:21.000 --> 1:21:23.000]  Then, after World War II, they go underground.
[1:21:23.000 --> 1:21:25.000]  And now, they've expanded their system.
[1:21:25.000 --> 1:21:27.000]  They claim it's to save the earth.
[1:21:27.000 --> 1:21:29.000]  We're trying to give you a shot that's not a vaccine
[1:21:29.000 --> 1:21:33.000]  that's been untested publicly, massively tested secretly,
[1:21:33.000 --> 1:21:36.000]  that will sterilize male and females,
[1:21:36.000 --> 1:21:38.000]  and you want to get rid of old folks too
[1:21:38.000 --> 1:21:41.000]  and not pay for them, give them heart attacks and strokes.
[1:21:41.000 --> 1:21:46.000]  But it grows prion crystals, protein crystals in the body
[1:21:46.000 --> 1:21:49.000]  that normally take a few years to grow and kill you.
[1:21:49.000 --> 1:21:52.000]  But some people are dying right away.
[1:21:52.000 --> 1:21:53.000]  They need to suppress that.
[1:21:53.000 --> 1:21:55.000]  They need to practice getting everybody used to that
[1:21:55.000 --> 1:21:57.000]  and censor everybody.
[1:21:57.000 --> 1:21:59.000]  That's why, on the inserts of these vaccines,
[1:21:59.000 --> 1:22:01.000]  there is no information,
[1:22:01.000 --> 1:22:03.000]  because you're not supposed to know what hit you.
[1:22:03.000 --> 1:22:05.000]  And you look, there's no information with the vaccine inserts.
[1:22:05.000 --> 1:22:09.000]  Big Tech's job is censoring everything you do down to your text messages
[1:22:09.000 --> 1:22:11.000]  as they prepare the next lockdown,
[1:22:11.000 --> 1:22:13.000]  as they prepare the force inoculations.
[1:22:13.000 --> 1:22:15.000]  It's all being announced.
[1:22:15.000 --> 1:22:18.000]  I'm sorry, this is also real.
[1:22:18.000 --> 1:22:21.000]  But when I was reading Rockefeller documents 25 years ago,
[1:22:21.000 --> 1:22:23.000]  I knew they were in charge then.
[1:22:23.000 --> 1:22:26.000]  I read The New York Times from 1976 praising Mao Zedong
[1:22:26.000 --> 1:22:30.000]  as saying America should be under a leader like Mao Zedong.
[1:22:30.000 --> 1:22:34.000]  He'd already killed 80 million of his own people.
[1:22:34.000 --> 1:22:38.000]  I thought, wow, David Rockefeller is a bad person.
[1:22:38.000 --> 1:22:41.000]  Then I learned I was father, set up a U.N., ran the whole show.
[1:22:41.000 --> 1:22:42.000]  But that was back then.
[1:22:42.000 --> 1:22:46.000]  Now you got Charlie Munger, a Rockefeller operative,
[1:22:46.000 --> 1:22:48.000]  head lawyer for Bill Gates,
[1:22:48.000 --> 1:22:52.000]  and Warren Buffett saying, I want to live like communist China.
[1:22:52.000 --> 1:22:55.000]  I want to arrest anybody I don't like.
[1:22:55.000 --> 1:22:56.000]  See how it works?
[1:22:56.000 --> 1:22:59.000]  And now the Rockefeller Foundation is in charge
[1:22:59.000 --> 1:23:02.000]  of the entire federal government's medical response.
[1:23:02.000 --> 1:23:05.000]  Bill Gates had to step down.
[1:23:05.000 --> 1:23:08.000]  His foundation got removed from command.
[1:23:08.000 --> 1:23:12.000]  And what did I tell you hundreds of times last year and a half?
[1:23:12.000 --> 1:23:15.000]  Who was in command of Bill Gates?
[1:23:15.000 --> 1:23:16.000]  Who was in command?
[1:23:16.000 --> 1:23:18.000]  Who was in command?
[1:23:18.000 --> 1:23:19.000]  Who was in command?
[1:23:19.000 --> 1:23:21.000]  Rockefeller Foundation.
[1:23:21.000 --> 1:23:22.000]  Who was in command?
[1:23:22.000 --> 1:23:24.000]  Rockefeller Foundation.
[1:23:24.000 --> 1:23:25.000]  Who was in command?
[1:23:25.000 --> 1:23:27.000]  Rockefeller Foundation.
[1:23:27.000 --> 1:23:30.000]  Have the archivist pull it up.
[1:23:30.000 --> 1:23:33.000]  His only problem is you'll have too many examples.
[1:23:33.000 --> 1:23:35.000]  I only want five examples.
[1:23:35.000 --> 1:23:38.000]  The general response sterilizing the family,
[1:23:38.000 --> 1:23:41.000]  breaking down the borders, running the government is Carnegie.
[1:23:41.000 --> 1:23:42.000]  They run the CIA today.
[1:23:42.000 --> 1:23:44.000]  Former Carnegie head runs it.
[1:23:44.000 --> 1:23:48.000]  But the group running the medical takeover is the Rockefellers.
[1:23:48.000 --> 1:23:54.000]  They set up the UN and the whole damn thing to carry it out with IBM.
[1:23:54.000 --> 1:23:56.000]  Look it up.
[1:23:56.000 --> 1:23:59.000]  And now we're in their world.
[1:23:59.000 --> 1:24:03.000]  And the public's so confused and so leaderless they might just succeed.
[1:24:03.000 --> 1:24:06.000]  And all you elitists that think you're going to hide out and not be part of this,
[1:24:06.000 --> 1:24:08.000]  they're going to get you first.
[1:24:08.000 --> 1:24:11.000]  They're the ones they really want.
[1:24:11.000 --> 1:24:12.000]  Let's play Clippers.
[1:24:12.000 --> 1:24:16.000]  This is Biden on Facebook not censoring vaccine was info and killing people
[1:24:16.000 --> 1:24:19.000]  when it's their vaccines and aren't vaccines killing people.
[1:24:19.000 --> 1:24:22.000]  And it's their open borders and all their lies that are killing people.
[1:24:22.000 --> 1:24:25.000]  Here he is.
[1:24:25.000 --> 1:24:30.000]  What's your message to platforms like Facebook?
[1:24:30.000 --> 1:24:33.000]  They're killing people.
[1:24:33.000 --> 1:24:39.000]  I mean, it really looks the only pandemic we have is among the unvaccinated.
[1:24:39.000 --> 1:24:44.000]  And they're showing people.
[1:24:44.000 --> 1:24:48.000]  Here is the surgeon general in his little clown suit.
[1:24:48.000 --> 1:24:55.000]  Dr. Vivek Murphy agreeing on CNN that people not taking their experimental
[1:24:55.000 --> 1:24:58.000]  unauthorized shot that we're the ones killing people.
[1:24:58.000 --> 1:25:00.000]  I mean, I thought taking the shot I'd be safe.
[1:25:00.000 --> 1:25:02.000]  Now we're going to have a booster shot.
[1:25:02.000 --> 1:25:04.000]  Of course, I told you a year and a half ago that was the case.
[1:25:04.000 --> 1:25:10.000]  We're going to have the Rockefeller's minion Bill Gates ran a stinking mouth.
[1:25:10.000 --> 1:25:13.000]  People are going to learn like how does Jones keep predicting everything?
[1:25:13.000 --> 1:25:15.000]  I'm not predicting anything.
[1:25:15.000 --> 1:25:21.000]  It's a fricking battle plan.
[1:25:21.000 --> 1:25:24.000]  I'm going to demand.
[1:25:24.000 --> 1:25:25.000]  This is not an attainment.
[1:25:25.000 --> 1:25:26.000]  It's not my opinion.
[1:25:26.000 --> 1:25:28.000]  You understand my life's at risk doing this right now.
[1:25:28.000 --> 1:25:29.000]  But it doesn't matter.
[1:25:29.000 --> 1:25:30.000]  We're all screwed up.
[1:25:30.000 --> 1:25:31.000]  I don't know.
[1:25:31.000 --> 1:25:33.000]  Anyways, but you understand?
[1:25:33.000 --> 1:25:41.000]  Here is the so called surgeon general saying he's run by the Rockefeller foundation.
[1:25:41.000 --> 1:25:45.000]  I wonder if that person has ever flown in an airplane or a car or taken an Advil.
[1:25:45.000 --> 1:25:51.000]  But besides that, President Biden did accuse social media platforms of killing people.
[1:25:51.000 --> 1:25:55.000]  Do you think conservative media like Fox News are doing the same?
[1:25:55.000 --> 1:26:01.000]  Are they killing people too with rhetoric like you just heard?
[1:26:01.000 --> 1:26:05.000]  Well, then I think all of us, including the media, including individuals, health professionals,
[1:26:05.000 --> 1:26:12.000]  have a responsibility to share the truth about health as science dictates, as science informs us.
[1:26:12.000 --> 1:26:19.000]  And unless we do that, unless we are honest about the consequences of our communication with people,
[1:26:19.000 --> 1:26:24.000]  unless we are rigorous about ensuring that what we communicate is actually sourced from science
[1:26:24.000 --> 1:26:28.000]  and not from opinion and critical issues like the vaccine,
[1:26:28.000 --> 1:26:31.000]  then we are going to ultimately put people at risk.
[1:26:31.000 --> 1:26:33.000]  And that is my great worry, Dana.
[1:26:33.000 --> 1:26:36.000]  There are people all across our country, and I hear from folks all the time,
[1:26:36.000 --> 1:26:40.000]  who are struggling to make decisions about their health.
[1:26:40.000 --> 1:26:45.000]  After this very difficult year we've been through, people deserve to have access to accurate information.
[1:26:45.000 --> 1:26:47.000]  They deserve to hear that from their leaders.
[1:26:47.000 --> 1:26:49.000]  They deserve to hear that from the media.
[1:26:49.000 --> 1:26:52.000]  They deserve to see that on platforms online.
[1:26:52.000 --> 1:26:58.000]  And they need that information to be able to make decisions to protect themselves and their families.
[1:26:58.000 --> 1:26:59.000]  That's the least we can do.
[1:26:59.000 --> 1:27:00.000]  All right, that's enough.
[1:27:00.000 --> 1:27:02.000]  So he's the science.
[1:27:02.000 --> 1:27:03.000]  He's the science.
[1:27:03.000 --> 1:27:05.000]  Science means do what they say.
[1:27:05.000 --> 1:27:07.000]  And then here's the clip I mentioned.
[1:27:07.000 --> 1:27:11.000]  Here he is saying that the Rockefeller Foundation is really helping those.
[1:27:11.000 --> 1:27:12.000]  So thank God they're here.
[1:27:12.000 --> 1:27:14.000]  They're the ones that wrote Operation Walk Step.
[1:27:14.000 --> 1:27:15.000]  Here it is.
[1:27:15.000 --> 1:27:22.000]  The Rockefeller Foundation is announcing a $13.5 million commitment to counter health misinformation.
[1:27:22.000 --> 1:27:27.000]  The Digital Public Library of America is announcing that they will convene a set of librarians,
[1:27:27.000 --> 1:27:33.000]  scholars, journalists, and civic leaders to confront health misinformation together.
[1:27:33.000 --> 1:27:38.000]  Fourth, we are saying we expect more from our technology companies.
[1:27:38.000 --> 1:27:43.000]  We're asking them to operate with greater transparency and accountability.
[1:27:43.000 --> 1:27:47.000]  We're asking them to monitor misinformation more closely.
[1:27:47.000 --> 1:27:50.000]  We're asking them to consistently take action.
[1:27:50.000 --> 1:27:51.000]  Yeah, that's enough.
[1:27:51.000 --> 1:27:52.000]  So they want to censor everybody.
[1:27:52.000 --> 1:27:53.000]  They want to quietly kill us.
[1:27:53.000 --> 1:27:56.000]  This is a mopping up, kill the old people, sterilize everybody.
[1:27:56.000 --> 1:27:57.000]  It's a public health thing.
[1:27:57.000 --> 1:27:58.000]  Come on, it's the right thing to do.
[1:27:58.000 --> 1:28:01.000]  And they're sterilizing everybody in India right now.
[1:28:01.000 --> 1:28:04.000]  And Modi's all signed on to that.
[1:28:04.000 --> 1:28:05.000]  And I get it.
[1:28:05.000 --> 1:28:11.000]  You can argue there's a lot of people, but you're going to shoot little kids up and give them blood clots in their brains.
[1:28:11.000 --> 1:28:12.000]  I mean, it's bad enough to kill old people.
[1:28:12.000 --> 1:28:15.000]  And it's bad enough to kill mentally retarded people.
[1:28:15.000 --> 1:28:21.000]  But I mean, my God, they're pushing to give it to newborn babies who are going to have horribly painful like 5, 10 year lives.
[1:28:21.000 --> 1:28:23.000]  I mean, it's just mass murder.
[1:28:23.000 --> 1:28:25.000]  Oh, and you don't see this guy killing himself on TV.
[1:28:25.000 --> 1:28:26.000]  There's too many people.
[1:28:26.000 --> 1:28:27.000]  No, no, no.
[1:28:27.000 --> 1:28:29.000]  He goes into the future.
[1:28:29.000 --> 1:28:31.000]  And now they got new lockdowns for you.
[1:28:31.000 --> 1:28:36.000]  This is a diabolical group of maniacs and selfish people that have gotten together and said,
[1:28:36.000 --> 1:28:37.000]  we want the resources.
[1:28:37.000 --> 1:28:38.000]  I don't have resources.
[1:28:38.000 --> 1:28:40.000]  Let's start killing everybody.
[1:28:40.000 --> 1:28:42.000]  Hey, I'm not going to kill anybody.
[1:28:42.000 --> 1:28:46.000]  But I think you should all show by example the Canadian health minister that says,
[1:28:46.000 --> 1:28:49.000]  we're having lockdowns to stop people talking in the streets.
[1:28:49.000 --> 1:28:54.000]  Hey, how about you pour gasoline on yourself and light yourself on fire to show us how bad we are?
[1:28:54.000 --> 1:28:56.000]  Then we'll follow your example.
[1:29:01.000 --> 1:29:02.000]  Granny do right.
[1:29:02.000 --> 1:29:03.000]  Granny do right.
[1:29:03.000 --> 1:29:04.000]  Thanks for holding her on the air.
[1:29:04.000 --> 1:29:05.000]  Go ahead.
[1:29:05.000 --> 1:29:10.000]  First of all, let me say I love your products.
[1:29:10.000 --> 1:29:15.000]  I am a granny and for all the senior citizens out there that may have spent a lifetime in the sun like me,
[1:29:15.000 --> 1:29:19.000]  I was loaded up with sunspots or age spots as they're lovingly called.
[1:29:19.000 --> 1:29:25.000]  But since taking your X2 for the last couple of years, my skin is just really gorgeous actually.
[1:29:25.000 --> 1:29:28.000]  People think I'm 55 years old.
[1:29:28.000 --> 1:29:32.000]  And I was already taking your other supplements, but I thought, you know, well,
[1:29:32.000 --> 1:29:36.000]  maybe that's what I need to do because I just thought it was a hopeless situation.
[1:29:36.000 --> 1:29:39.000]  But when I started taking it, I mean, it doesn't happen immediately.
[1:29:39.000 --> 1:29:45.000]  But you know, over a period of time, I started noticing, okay, you know, this is a ticket.
[1:29:45.000 --> 1:29:46.000]  This is working.
[1:29:46.000 --> 1:29:47.000]  This is wonderful.
[1:29:47.000 --> 1:29:51.000]  You know, I don't have to put on derma blend anymore, you know.
[1:29:51.000 --> 1:29:56.000]  So anyway, it worked wonderfully and it really has totally cleared up my skin.
[1:29:56.000 --> 1:30:01.000]  X2 has been our number one bestseller over the years.
[1:30:01.000 --> 1:30:07.000]  Deep earth crystal iodine, the good halogen, it is essential for all actions in the body.
[1:30:07.000 --> 1:30:08.000]  You must have it to live.
[1:30:08.000 --> 1:30:12.000]  The UN estimates 2 billion plus people have cognitive disabilities because they don't have it of iodine.
[1:30:12.000 --> 1:30:18.000]  We have X2 at two different bottles, same amount in each bottle, but one has a spray top, one has a dropper top.
[1:30:18.000 --> 1:30:25.000]  60% off on the spray top, 40% off on the dropper top for a limited time because they're both selling out.
[1:30:25.000 --> 1:30:28.000]  I want to thank all of the supporters that have got me over the years.
[1:30:28.000 --> 1:30:29.000]  They're amazing.
[1:30:29.000 --> 1:30:31.000]  So that's a great deal for you to stock up on it.
[1:30:31.000 --> 1:30:36.000]  But this deal is really for folks that have been on the fence and haven't experienced the good halogen for yourself.
[1:30:36.000 --> 1:30:44.000]  So X2, the dropper bottle and the spray bottle, 60 and 40% off for a limited time because it's selling out right now at infowarstore.com.
[1:30:44.000 --> 1:30:46.000]  But we're going to keep the spell going until it spells out.
[1:30:46.000 --> 1:30:48.000]  It'll probably take about two weeks.
[1:30:48.000 --> 1:30:49.000]  Don't procrastinate.
[1:30:49.000 --> 1:30:55.000]  Take advantage of this special right now at infowarstore.com and check out the new products we just got in as well.
[1:31:19.000 --> 1:31:22.000]  A privacy pocket at infowarstore.com.
[1:31:22.000 --> 1:31:24.000]  We finally got them back in stock, the highest rated.
[1:31:24.000 --> 1:31:30.000]  They fit almost all types of androids and iPhones at 50% off, $14.95.
[1:31:30.000 --> 1:31:34.000]  They sell these babies for $29.95 all day long.
[1:31:34.000 --> 1:31:41.000]  We've got a private label with info wars on them for $14.95 because I want you to get them.
[1:31:41.000 --> 1:31:47.000]  And I want you to buy friends and family these systems to educate them about what these, quote, smart phones really are.
[1:31:47.000 --> 1:31:50.000]  This is a great way to limit your phone time use.
[1:31:50.000 --> 1:31:55.000]  It's a great way to spend more time with your family and it's a great way to know you're not being tracked by the criminal global system.
[1:31:55.000 --> 1:31:58.000]  They're 50% off right now at infowarstore.com.
[1:31:58.000 --> 1:32:01.000]  Ladies and gentlemen, Owen Schreuer here, the host of the Infowars War Room.
[1:32:01.000 --> 1:32:06.000]  And I am very excited about our latest supplement addition to infowarstore.com.
[1:32:06.000 --> 1:32:11.000]  Now, I've been supplementing with greens, fibers and vegetable capsules for a long time.
[1:32:11.000 --> 1:32:17.000]  And so I was excited to hear that we were adding our own greens fiber caps to infowarstore.com.
[1:32:17.000 --> 1:32:20.000]  But then I read the ingredients and I was blown away.
[1:32:20.000 --> 1:32:31.000]  Listen to this. Organic pea fiber, organic alfalfa leaf, organic wheatgrass leaf, organic cilantro leaf, organic kale leaf, organic flax sprout, organic quinoa sprout.
[1:32:31.000 --> 1:32:35.000]  Ladies and gentlemen, all of these things are so incredible for your health.
[1:32:35.000 --> 1:32:43.000]  And one of these ingredients can be a life-changing supplement for your health and we packed it all in to fibergreencaps at infowarstore.com.
[1:32:43.000 --> 1:32:47.000]  So I'm excited to add this to my supplement routine every day.
[1:32:47.000 --> 1:32:53.000]  I suggest that you do the same thing and right now it's at an introductory price of $19.95.
[1:32:53.000 --> 1:33:09.000]  That's 33% off at infowarstore.com.
[1:33:23.000 --> 1:33:25.000]  All right, I know I showed your host.
[1:33:25.000 --> 1:33:36.000]  Very blessed and honored to be here with you on this live Sunday, July 18th, global transmission in defiance of tyranny.
[1:33:36.000 --> 1:33:38.000]  So it's very simple.
[1:33:38.000 --> 1:33:41.000]  The whole future is about covert war.
[1:33:41.000 --> 1:33:50.000]  And you have the ruling globalist class that's your Genesis base that's been studying warfare, but studying how to take control, how to scare the public.
[1:33:50.000 --> 1:33:56.000]  How do you dominate them? How do you imprison them? How do you enslave them? How do you kill them?
[1:33:56.000 --> 1:34:00.000]  How do you inject them and change their bodies?
[1:34:00.000 --> 1:34:04.000]  Like Klaus Schwab talks about the head of the Davos group, the head of the World Economic Forum.
[1:34:04.000 --> 1:34:08.000]  Well, you pose as their savior against a deadly virus.
[1:34:08.000 --> 1:34:15.000]  And you also then divide and conquer the public saying everybody's racist, everybody's bad, but the central government, the media.
[1:34:15.000 --> 1:34:17.000]  And so that's what they've done.
[1:34:17.000 --> 1:34:33.000]  And they have rolled out a depopulation, sterilant, a crystal growing, a prion growing, spongiform encephalopathy, producing system that is just going to devastate and weigh down society.
[1:34:33.000 --> 1:34:35.000]  And what's that going to do?
[1:34:35.000 --> 1:34:39.000]  The tyranny is posing as a medical system.
[1:34:39.000 --> 1:34:42.000]  So the average doctor, the average nurse isn't going to know.
[1:34:42.000 --> 1:34:48.000]  Even the average hospital manager won't know. They're just given the directors by the owners what to do.
[1:34:48.000 --> 1:35:00.000]  And now as people die of all these neurological and cardiovascular diseases, and now as people are sterile and go in and spend incredible amounts of money to try to have fertility,
[1:35:00.000 --> 1:35:08.000]  they will absorb more and more of your energy, more and more of your paycheck, more and more of your money while they make you obsolete, while they shut down small businesses.
[1:35:08.000 --> 1:35:11.000]  This is all scientifically prepared.
[1:35:11.000 --> 1:35:17.000]  That's why under 16 months of lockdown, on average, they doubled their profits. Some groups tripled their profits.
[1:35:17.000 --> 1:35:23.000]  Big tech, big pharma, they took over. They were essential. You weren't.
[1:35:23.000 --> 1:35:29.000]  But they know you're going to form opposition. You're going to elect governors. You're going to elect legislatures. You're going to say no.
[1:35:29.000 --> 1:35:33.000]  America's going to lead us out of the tyranny again. You're going to organize. You're going to protest.
[1:35:33.000 --> 1:35:41.000]  So as soon as that reached a crescendo, oh, they pulled back in the U.S. where we had more freedom for a few months.
[1:35:41.000 --> 1:35:49.000]  In Europe, I predicted one month pullback before they even did one month in Germany, Spain and England, the U.K.
[1:35:49.000 --> 1:35:56.000]  They said sorry and kept the controls in permanently. They call it freedom day now.
[1:35:56.000 --> 1:36:01.000]  You get your inoculation, you go to the store. Oh, you'd wear your mask if you haven't had your shot.
[1:36:01.000 --> 1:36:05.000]  You're going to track you. We're going to ask for proof. And so are the football games.
[1:36:05.000 --> 1:36:13.000]  So are the movie theaters. So are the airlines. All outside of law, all organized, all unified, having nothing to do
[1:36:13.000 --> 1:36:19.000]  whether you have a virus or known. But everything to do about if you don't have this digital pass on your phone,
[1:36:19.000 --> 1:36:27.000]  you don't have access to the marketplace. Game over. Global social credit score that Info Wars was first to write about.
[1:36:27.000 --> 1:36:38.000]  Hold on to your hat in 2006. Paul, Joseph Watson and Alex Jones wrote an article the first to tell you about the Chinese
[1:36:38.000 --> 1:36:45.000]  social credit score tied to everything on your phone in the future.
[1:36:45.000 --> 1:36:51.000]  And it's not about the credit. It's about this dog will hunt.
[1:36:51.000 --> 1:36:58.000]  I'm not a slave of these people. I don't feel safe with them running things. I've already had them try to hire me.
[1:36:58.000 --> 1:37:07.000]  But the empty feeling of even thinking of getting on an airplane and flying to New York City and meeting with them
[1:37:07.000 --> 1:37:14.000]  and then getting my position with them where they would be in control of my life and cut me out of whatever they wanted to
[1:37:14.000 --> 1:37:21.000]  and then have me commit evil against humanity. That made me feel lonely. That made me feel weak.
[1:37:21.000 --> 1:37:27.000]  But staring into their attacks, staring into them wanting to put me in prison or even kill me right now.
[1:37:27.000 --> 1:37:34.000]  It's not a bravada. It's not macho. It's nothing. I just feel so close to God right now that I just could not imagine
[1:37:34.000 --> 1:37:45.000]  anybody that serves these statements. But I just want listeners to know that you can't get depressed and you can't get upset about this.
[1:37:45.000 --> 1:37:52.000]  Lord knows I do sometimes. You've got to understand that this was all written.
[1:37:52.000 --> 1:37:58.000]  And so you see the headlines everywhere. Christians are terrorists. Gunners are terrorists. White people are terrorists.
[1:37:58.000 --> 1:38:04.000]  People that don't want to take shots are terrorists. People that question elections are terrorists. The Republican Party are terrorists.
[1:38:04.000 --> 1:38:16.000]  And that's only because those are the few avenues that the devil knew would end up having some chance at an avenue for us to come together and say no.
[1:38:16.000 --> 1:38:23.000]  And so at the end of the day realize it's all in God's hands. It's all God's plan.
[1:38:23.000 --> 1:38:29.000]  And even though you feel the quicksand sucking you down, even though you feel those evil hands getting around your neck,
[1:38:29.000 --> 1:38:36.000]  and even though you know they're killing so many innocent people, you just got to know, do as much as you can, love God, trust in God,
[1:38:36.000 --> 1:38:44.000]  and don't make them trick you into violence or committing suicide or getting so angry you have a heart attack.
[1:38:44.000 --> 1:38:48.000]  And I'm not in danger of suicide. I would never do that. And I'm not in danger of even attacking anybody.
[1:38:48.000 --> 1:38:59.000]  But I get so angry when I sat here and looked at hundreds of stories and reports and gone back and pulled up and seen all their plans that it could consume you.
[1:38:59.000 --> 1:39:07.000]  And I don't want them to win. I want them to know their losers that serve Satan, they join the loser. I'm sad they did.
[1:39:07.000 --> 1:39:16.000]  I don't even rejoice at knowing that Fauci will be destroyed. Bill Gates will be destroyed. Dave Rockefeller is burning in his own excrement right now.
[1:39:16.000 --> 1:39:22.000]  I don't sit there and take any pleasure in any of this.
[1:39:22.000 --> 1:39:29.000]  I just think God Almighty that I have another connection to God to know that this communist evil is wrong.
[1:39:29.000 --> 1:39:36.000]  And I'm not going to hate somebody because they're a Christian or because they're a Muslim or because they're a Jew or because they're agnostic or whatever they are.
[1:39:36.000 --> 1:39:42.000]  I'm going to judge them by the fruits of what they do under this stress test.
[1:39:42.000 --> 1:39:58.000]  Because this is a stress test. Bill Gates and Bill Gates Sr. and Ted Turner and Fauci and Judy Woodruff and Barbara Walters and all of them go to these globalist meetings with George Soros and the disgusting population.
[1:39:58.000 --> 1:40:08.000]  That's the meeting we're showing on screen. And you got right there in the blue. That was at Anderson Cooper's mommy.
[1:40:08.000 --> 1:40:13.000]  And that's all they can do is sit around and get mad at poor people and want to kill them instead of empowering them.
[1:40:13.000 --> 1:40:17.000]  If you were so powerful, you would have empowered these poor people.
[1:40:17.000 --> 1:40:21.000]  I'd tell you everything you could to dumb them down so they'd be easily managed.
[1:40:21.000 --> 1:40:27.000]  And I can tell you when you stand before the Creator, you think you're so big and powerful, you're such a big satanic architect.
[1:40:27.000 --> 1:40:39.000]  Your little satanic God is going to fail and you are going to be sucked into a black hole with people like you forever.
[1:40:39.000 --> 1:40:43.000]  For eternity, you are going to be with people just like you.
[1:40:43.000 --> 1:40:50.000]  You know, I've already prayed about six months ago to be given peace.
[1:40:50.000 --> 1:40:59.000]  And I need to pray more because it was a very earnest prayer that I had a dream that night where I was taken to what you could do.
[1:40:59.000 --> 1:41:04.000]  You could describe as the pearly gates and the streets of gold and all of it was beyond that.
[1:41:04.000 --> 1:41:19.000]  It was unbelievable. And it was feeling, I've never experienced a total completion and timelessness and beyond completion, absolute satisfaction, total, complete peace.
[1:41:19.000 --> 1:41:24.000]  And the angel that was there with me, he didn't see it.
[1:41:24.000 --> 1:41:26.000]  He was giving me this tour.
[1:41:26.000 --> 1:41:30.000]  He said, can you imagine what it's like with them?
[1:41:30.000 --> 1:41:35.000]  It's the opposite of this. It's all of them together forever.
[1:41:35.000 --> 1:41:37.000]  I said, show me that.
[1:41:37.000 --> 1:41:39.000]  And I was shown it.
[1:41:39.000 --> 1:41:41.000]  And it was like old men.
[1:41:41.000 --> 1:41:50.000]  You think of hell is like those old men crouched over in the dark with bags of dirt, like staring at the dirt.
[1:41:50.000 --> 1:41:58.000]  You know, it made me think of the song by Trent Reznor that was then done by Johnny Cash Hurt.
[1:41:58.000 --> 1:42:03.000]  What have I become my sweetest friend?
[1:42:03.000 --> 1:42:06.000]  It talks about my empire of dirt.
[1:42:06.000 --> 1:42:12.000]  And I mean, that's really it. These people in this whole universe, this whole system, they're going against God, playing God.
[1:42:12.000 --> 1:42:15.000]  They're going to be gods. I mean, you know it's a joke.
[1:42:15.000 --> 1:42:17.000]  You know it's a fraud.
[1:42:17.000 --> 1:42:21.000]  You know they're not going to get what they want. You know they're going to fail.
[1:42:21.000 --> 1:42:29.000]  So we just better do our best job, reach out to other people as well as free will to help leave God and direct him to the light of God.
[1:42:29.000 --> 1:42:32.000]  So they're not destroyed by these people.
[1:42:32.000 --> 1:42:40.000]  And you're not going to find your mainline church doing that. They're all just glitter bugs that want to be famous and, you know, want to get up there and be left alone by the system.
