[00:00.000 --> 00:04.740]  Gavin McInnes is back with his all-new online network, FreeSpeech.tv.
[1:37:45.740 --> 1:38:03.740]  The Japanese called them comfort women. It's gone on in every war. If you look at the history of World War II, post-Italy, post-Germany after the war, in a book that's called The Savage Continent, husbands would actually send their wives out to earn money, if you know what I mean.
[1:38:03.740 --> 1:38:07.740]  And parents would actually send their young girls out to earn money.
[1:38:07.740 --> 1:38:19.740]  This isn't just about the politics. We, in this next election, and in supporting Trump and defeating these deep state operatives, we are talking about everything is at stake here.
[1:38:19.740 --> 1:38:27.740]  Your daughters, let's say, or your family, your livelihood, your life, everything is at stake here.
[1:38:27.740 --> 1:38:36.740]  Because what you're describing, Bob, is that's the ideal scenario that the Democrats want to put in place if they gain authoritarian control, which is what they're now demanding.
[1:38:36.740 --> 1:38:45.740]  Absolute obedience, total control, complete annihilation of freedom of speech, no civil rights whatsoever, demanded obedience to their authority.
[1:38:45.740 --> 1:38:53.740]  And under that system, what you are describing, I think, is what will play out in America if, for example, Hillary Clinton were elected president. Does that seem correct?
[1:38:53.740 --> 1:39:00.740]  Or put in place as president? Yes, it is correct, because, again, there's nothing that woman hasn't done already, and she will just do it to everyone.
[1:39:00.740 --> 1:39:05.740]  She can't. How many people have they murdered already? What kind of debauchery does she already support?
[1:39:05.740 --> 1:39:14.740]  So if she gains the power to do that, she'll do it on a grand scale. So it goes back, you know, I like solutions. What can we do?
[1:39:14.740 --> 1:39:23.740]  Again, we need all become vocal, just not you, just not Alex. Everyone needs to get vocal and really take this seriously.
[1:39:23.740 --> 1:39:32.740]  Our posterity will judge us by what we do right now. They will either curse us for not doing and stepping up to the plate and ensuring their freedom,
[1:39:32.740 --> 1:39:40.740]  or they will praise us that we stepped up to the plate, as the great generation did, and said, you know, we're going to defeat evil.
[1:39:40.740 --> 1:39:47.740]  This is what we need to do right now. We need to defeat evil, but evil is just not going to be something we can talk our way out of,
[1:39:47.740 --> 1:39:54.740]  because as you pointed out, you know, these people are violent. They will commit acts of violence, and so we need to be ready for that.
[1:39:54.740 --> 1:40:02.740]  And I never recommend, you know, going out and starting violence, but we need to be able to respond to it when it's brought to us, you know.
[1:40:02.740 --> 1:40:07.740]  This is part of the problem, though, Bob. I mean, what you're saying is absolutely spot on. Don't get me wrong.
[1:40:07.740 --> 1:40:11.740]  But, you know, in World War II, for example, the battle lines were more clear.
[1:40:11.740 --> 1:40:16.740]  But here, you know, the battle lines are all intertwined. You know, these are the...
[1:40:16.740 --> 1:40:21.740]  There are evil people at your workplace, let's say. Evil people teaching your children.
[1:40:21.740 --> 1:40:27.740]  It's drag queen story hour at the library, and they're twerking in front of your kids, you know. I mean, it's insane.
[1:40:27.740 --> 1:40:36.740]  The evil is now everywhere. The infestation of evil. It is like a literal demonic possession of some proportion of the population,
[1:40:36.740 --> 1:40:44.740]  running government, running media, running Hollywood. It's... How do you even... How do you confront that?
[1:40:44.740 --> 1:40:51.740]  Okay, well, you know, in the Revolutionary War, it started in the pulpits of America, which are totally sold out to the New World Order.
[1:40:51.740 --> 1:40:58.740]  This is what I think, you know, as much as I do not want it. Mike, I've traveled this world. I've been throughout North Africa.
[1:40:58.740 --> 1:41:05.740]  I've been throughout the Middle East, been through Asia. I've seen violence, and no sane person wants violence.
[1:41:05.740 --> 1:41:11.740]  It is something that will affect us all. It is something that will scar us all, but sometimes it is forced upon us.
[1:41:11.740 --> 1:41:18.740]  And I think it has come to the point in this country that we are either going to have to stand up and say no more.
[1:41:18.740 --> 1:41:28.740]  You know, not one more domino falls, or we're just going to watch ourselves go into this horrible demonic slavery where our posterity is going to be
[1:41:28.740 --> 1:41:36.740]  at the whim and beck of these global elitists. Your women will be exploited. Your labor will be exploited.
[1:41:36.740 --> 1:41:45.740]  Your work and everything you produce will go to them. And so we are at this crucial hour. We're going to... Everyone is going to have to stand up.
[1:41:45.740 --> 1:41:54.740]  We have to... You know, for me, I have to pray for revival that somehow these gutless preachers will stand up and encourage their members to resist this evil.
[1:41:54.740 --> 1:42:04.740]  Do you think it's feasible that there could be, if they remove Trump from power, if they arrest him through this faked impeachment coup attempt,
[1:42:04.740 --> 1:42:12.740]  is it feasible that we might see a million-plus Americans, patriots, descending on Washington, D.C., and just saying enough is enough we are here to restore law and order?
[1:42:12.740 --> 1:42:21.740]  I hope it's more than a million. I hope they would defy... I hope it would be in a spirit of civil disobedience,
[1:42:21.740 --> 1:42:31.740]  that we will not take this anymore. You cannot push this on us anymore. And we are going to dispossess you of the power that you so desperately crave.
[1:42:31.740 --> 1:42:40.740]  It's going to have to come to that. These people, as we've seen, are never willingly going to go away again. So this is what we need to be doing right now.
[1:42:40.740 --> 1:42:48.740]  You know, a military plans ahead. There are 17 soldiers supporting one fighter.
[1:42:48.740 --> 1:42:58.740]  We got to go to break. Bob, hold that thought. We'll continue. After this break, you're watching the Alex Jones show interviewing Bob Griswold here about Civil War, the hot phase.
[1:42:58.740 --> 1:43:06.740]  What does that look like in America? This is Mike Adams filling in. We'll be back after this break with the continuation of this interview. Stay with us.
[1:43:06.740 --> 1:43:18.740]  Communist China quietly bought up Hollywood more than a decade ago, and they've been approving almost all the scripts that you see on television or in the movies for many years. And now they own our debt.
[1:43:18.740 --> 1:43:30.740]  Now they own the Democratic Party. Now they've merged with Silicon Valley to censor patriots off the air. Washington Post comes out and says they hope that Xi Jinping, the dictator of China, will, quote, destroy Trump.
[1:43:30.740 --> 1:43:39.740]  That's a headline. So Info Wars has been the Paul Revere of this operation. We have blown the whistle continuously and have been proven right.
[1:43:39.740 --> 1:43:49.740]  And that's why it's more important than ever that we override Silicon Valley and their Chai Kong masters by word of mouth and spread the word about Info Wars and check out infowarstore.com.
[1:43:49.740 --> 1:44:16.740]  That's where the arsenal of our republic is being funded. That's where the tip of the spear is continually being forged, is infowarstore.com.
[1:44:16.740 --> 1:44:27.740]  Now it's easier than ever to have band.video on your iPhone. Simply go to band.video with your Safari browser. Then you click the share button at the bottom of the screen.
[1:44:27.740 --> 1:44:41.740]  When the menu comes up, you simply click Add to Home Screen. It will then ask you to name the app. I suggest band.video. You will now have band.video app on your home screen, despite the fact that Tim Cook tried to stop it.
[1:44:41.740 --> 1:44:49.740]  The globalists think you're lazy, but by taking a little bit of action, you can override them, have the app, and then tell others about it so they can get the app.
[1:44:49.740 --> 1:45:06.740]  So it's up to you whether you want to defy big tech and click the share buttons below. On your email, on Facebook, on Twitter, on YouTube, however you want, be sure and share band.video.
[1:45:06.740 --> 1:45:17.740]  Look, I'm not trying to discourage other best-selling bone broth formulas that sell for $35, $40, $50, $60 retail that are discounted for like $39.95.
[1:45:17.740 --> 1:45:29.740]  But they don't have as much pure concentrated bone broth as we do. They don't have as much chocolate mushroom. They don't have as much bee pollen. They don't have as much of these amazing ingredients.
[1:45:29.740 --> 1:45:36.740]  And yes, we've gone out and just made a stronger version of other best-sellers, and it's selling out.
[1:45:36.740 --> 1:45:43.740]  Unlock the ancient power of bone broth in Ultimate Bone Broth for 50% off at InfoMoreStore.com for a limited time.
[1:45:43.740 --> 1:45:52.740]  Art Exclusive Formula harnesses the ancient power of bone broth and cutting-edge nutritional science to support healthy digestion, muscles, tendons, and so much more.
[1:45:52.740 --> 1:46:01.740]  Experience the health secret. Our ancestors held sacred for yourself. Get Ultimate Bone Broth for 50% off at InfoMoreStore.com today while supplies last.
[1:46:01.740 --> 1:46:06.740]  Which again is selling out. We won't have more until the middle of 2020 at InfoWarsLife.com.
[1:46:06.740 --> 1:46:14.740]  My phone has been ringing off the hook. Constitutional lawyers, national talk show host, prominent guest I've had on over the years.
[1:46:14.740 --> 1:46:23.740]  And they're all saying, Alex, it's incredible. You've been obsessing on China since you got on air 20-something years ago, and now it's all coming true. How did you know it?
[1:46:23.740 --> 1:46:30.740]  Because the Council on Farm Relations is the shadow government, and they admitted the plan to transfer all power to communist China.
[1:46:30.740 --> 1:46:39.740]  And almost everyone calling me says, yeah, and they banned you because you were saying all that and how Silicon Valley, Google, and Apple moved over there.
[1:46:39.740 --> 1:46:44.740]  And it's incredible. And wow, you're vindicated. You're going to get back on the air now, aren't you?
[1:46:44.740 --> 1:46:51.740]  And no, if we don't defeat this takeover, you're all going to be taken off. In fact, you're all going to end up getting put in prison camps.
[1:46:51.740 --> 1:47:00.740]  They're making their move. They're coming for your guns. They're coming for your kids. They're coming for your right to religion. They are coming for your soul.
[1:47:00.740 --> 1:47:10.740]  Well, you know what they say. You got to lower your ideals of freedom if you want to suck on the warm teat of China.
[1:47:31.740 --> 1:47:35.740]  And now, your host, Mike Adams.
[1:47:35.740 --> 1:47:43.740]  Final segment today on this Sunday, October 13th. This is Mike Adams filling in for Alex today. Thank you for continuing with us.
[1:47:43.740 --> 1:47:54.740]  Final segment. Here we're interviewing Bob Griswold from readymaderesources.com about what's likely to happen as the deep state, well, traders try to take this into a hot coup.
[1:47:54.740 --> 1:48:04.740]  Because they aren't backing down. They're going to do anything and everything necessary from their point of view to try to destroy this country, overthrow the republic, nullify the 2016 election.
[1:48:04.740 --> 1:48:10.740]  And frankly, they're going to try to execute President Trump, and then they will execute all of us next if they can get away with it.
[1:48:10.740 --> 1:48:23.740]  But we've talked about the threat. Now let's talk about solutions. What can you do personally and in your community to help this country survive this dire dark chapter in history?
[1:48:23.740 --> 1:48:31.740]  What can you do? Bob Griswold is here to tell us some of his analysis of that answer. Go ahead, Bob. Start with the basics.
[1:48:31.740 --> 1:48:42.740]  There's so much that goes on because you have to know the politics of your area. I recommend everyone. What I do is I have my topographical maps of my area.
[1:48:42.740 --> 1:48:52.740]  I know my geographic location. I know what operates in this area. I know how this area operates and all politics is local.
[1:48:52.740 --> 1:49:00.740]  And so we really are going to need to take this on a grassroots basis that we start dominating each area that we can dominate.
[1:49:00.740 --> 1:49:08.740]  If you can dominate with communication, your area, your politics, that's what we need to start taking effect of.
[1:49:08.740 --> 1:49:15.740]  We can't sit by and let this happen anymore. This is why I tell people, you know, get your ham radio license.
[1:49:15.740 --> 1:49:24.740]  It gives you the ability to talk to emergency services in your community, to report, you know, even inclement weather in your community,
[1:49:24.740 --> 1:49:30.740]  and the ability to network with friends and family. I had an incident a while ago where we have a communication network set up
[1:49:30.740 --> 1:49:38.740]  and I had a distressed call from one young lady who was our friend and she was on a very remote piece of property.
[1:49:38.740 --> 1:49:47.740]  And there were people on her property that were shining flashlights and didn't know what it was about. So I could take the communication that I have
[1:49:47.740 --> 1:49:56.740]  and we could go over to her house rather rapidly and I could observe what was going on there and make an evaluation of what I needed to do.
[1:49:56.740 --> 1:50:05.740]  That's an example of how we need to be working on a network basis right now. There's nothing stronger than that that we can put together.
[1:50:05.740 --> 1:50:12.740]  So just additional comments on that. So in the case of California right now, for example, cutting off the power grid to the people,
[1:50:12.740 --> 1:50:21.740]  when they can cut you off and deprive you of food and electricity, perhaps even your firearms for self-defense and or ammunition and so on,
[1:50:21.740 --> 1:50:25.740]  when they can deprive you of those things, then they make you subservient to the state.
[1:50:25.740 --> 1:50:31.740]  So I think just to summarize what you're saying is the more resilient and self-reliant you are, the more network you are,
[1:50:31.740 --> 1:50:36.740]  the more you can respond without being made subservient to the state, correct?
[1:50:36.740 --> 1:50:44.740]  Absolutely. And this is what people need to do. I mean, again, the military has their supplies prepositioned for a reason.
[1:50:44.740 --> 1:50:53.740]  The logistics of a military operation are a large part of that operation. As they say, it takes 17 soldiers to support one soldier pulling a trigger.
[1:50:53.740 --> 1:51:03.740]  And again, we need to do what they did in 1775. In 1776, we need to start networking together and put away the foolishness that we're engaged in
[1:51:03.740 --> 1:51:11.740]  and start working together realizing that our country is at stake. In a decade from now, we could be looking at an American gulag
[1:51:11.740 --> 1:51:15.740]  or we could look at American freedom. I don't think it'll go on much longer than that.
[1:51:15.740 --> 1:51:23.740]  So this is a thing that we each have to come to the realization that we're at the breaking point right now,
[1:51:23.740 --> 1:51:30.740]  and we need to step up and do what we can do. And this is why I say, learn to communicate with your friends outside a network system.
[1:51:30.740 --> 1:51:39.740]  Radio communication is the only non-network system that you have. And even if the repeaters go down, you can still relay messages because it works online a site.
[1:51:39.740 --> 1:51:46.740]  So as far as I can transmit, then I can transmit to somebody, they can transmit to somebody, they can transmit to somebody.
[1:51:46.740 --> 1:51:53.740]  I have what I call my area of operation comm map. I've already mapped out how far my communications will go, line of sight.
[1:51:53.740 --> 1:52:02.740]  I know who I can call, who I can't call. And so I can call and say, you know, a broken arrow if I've got a problem and let them come and help me
[1:52:02.740 --> 1:52:10.740]  or I can help them or at least spread the word out. I've told people like, you know, the Hagmonds and Quail and all those to develop this.
[1:52:10.740 --> 1:52:17.740]  That way if something happens to you or say to you, Mike, and you have that ability to network and you can get that one call out,
[1:52:17.740 --> 1:52:24.740]  at least the goons can't come and take you away in the middle of the night without somebody knowing that something has happened.
[1:52:24.740 --> 1:52:28.740]  They can't blame it on, we don't know what happened. Yeah, you've alerted people.
[1:52:28.740 --> 1:52:36.740]  Good advice. I want to ask you about the role of government. If this situation breaks down while President Trump is president,
[1:52:36.740 --> 1:52:43.740]  and we see the radical left rising up. For example, if Trump wins the 2020 election, which I think seems likely right now,
[1:52:43.740 --> 1:52:53.740]  and the left will go insane, Trump commands the federal government and the military, but then you might have governors like Newsom who then try to command his state guard troops
[1:52:53.740 --> 1:53:03.740]  to defy federal orders as well. How do you see government forces playing out in that scenario where Trump wins the election, but the left refuses to accept the election?
[1:53:03.740 --> 1:53:14.740]  Well, you look 50% of people voted for Hillary, 50% of people voted for Trump. So yeah, 50% of the people in this country that will vote for somebody who's absolutely a total degenerate.
[1:53:14.740 --> 1:53:23.740]  I have to call into question where their loyalties would really lie. Would it lie with the Constitution or would it lie with the political wind of the day?
[1:53:23.740 --> 1:53:29.740]  I personally think it would lie with the political wind of what they believe. They would not stand up and support the Constitution.
[1:53:29.740 --> 1:53:37.740]  The military is probably more than half support, you know, a Constitution or a republic. I don't know how the soldiers would come down.
[1:53:37.740 --> 1:53:47.740]  But again, this is why we need to develop our own network. If we, if we're relying on another network of people to come and save us, it's probably not going to happen.
[1:53:47.740 --> 1:53:59.740]  This is what the local community, local politics, local group does, that we learn to support one another. And then you can, if we do that effectively, we will take back this country.
[1:53:59.740 --> 1:54:07.740]  It will happen. But if we don't do that effectively, because, you know, right now, you know, they seek to divide us every way we can.
[1:54:07.740 --> 1:54:16.740]  So you invert what they're doing. They want blacks to hate whites. They want Asians to hate this guy. They want this religion to hate that religion.
[1:54:16.740 --> 1:54:22.740]  So that must be very effective in their playbook. So what do we do? We invert that and do just the opposite.
[1:54:22.740 --> 1:54:34.740]  We seek to build unity with these people and work together and bring consensus among us that we can then, you know, outdo what they're trying to do to us.
[1:54:34.740 --> 1:54:45.740]  Well, you're exactly right. And by the way, they want to say that we are the violent ones, even though we are actually the peaceful law abiding citizens and firearms owners who have concealed carry permits.
[1:54:45.740 --> 1:54:58.740]  They don't go initiate violence like the left does, but they want to say that we're violent and then they want to try to spark violence, you know, by spitting on the Trump supporters, you know, at the rally in Minnesota and so on and pepper spraying people.
[1:54:58.740 --> 1:55:10.740]  Aren't they trying to evoke a reaction so they can have the cameras just show, you know, a Trump supporter defending himself, for example, with a handgun and then they can say all Trump supporters are violent.
[1:55:10.740 --> 1:55:20.740]  Is that what they're trying to do? You know, against violence is their tool, you know, camaraderie, brotherly love, whatever you want to call it is their enemy.
[1:55:20.740 --> 1:55:31.740]  They do not want that. They want the violence. No. And again, as I said, no sane person wants violence, but they're not saying they realize that violence plays into their playbook.
[1:55:31.740 --> 1:55:46.740]  But I think if we if I think in this country, you know, be careful, it's almost to the point where that is going to be forced upon us and there is going to be out breakouts of violence and skirmishes of violence.
[1:55:46.740 --> 1:55:57.740]  Because as you said, when the IG report comes out, and you have some major indictments come down, or if Trump wins that the Electoral College loses the popular vote or whatever that would be.
[1:55:57.740 --> 1:56:08.740]  These people are not going to be able to handle it. I mean, you know, as I said, Mike, these people are going to go from, you know, don't gender pronoun me to Iwo Jima in one day.
[1:56:08.740 --> 1:56:20.740]  And that's a trend you can't make. They they everyone understands the right to self defense. If you're being eminently attacked, you can you could shoot someone in self defense.
[1:56:20.740 --> 1:56:31.740]  If that attack is imminent under the US laws and state laws in most areas, but not all areas, the laws vary. But what about the right to defend your nation? What about the right to defend your local community?
[1:56:31.740 --> 1:56:41.740]  You know, what if what if an antipamab is attacking your local sheriff's department and the deputies need help, actually, because, you know, they don't even have very much ammo.
[1:56:41.740 --> 1:56:45.740]  By the way, the ones I know, they don't even carry that much ammo.
[1:56:45.740 --> 1:56:49.740]  At what point do citizens need to defend their communities?
[1:56:49.740 --> 1:57:04.740]  You know, just a segue here just for a second, there was a report that came out recently that these ISIS people are actually being rotated into war zones such as the Turkey Syrian war zone and getting actual hard combat training and then they're being cycled back into Europe and the United States.
[1:57:04.740 --> 1:57:18.740]  So again, the people that those sheriff's deputies might be facing might be war hardened people. Again, this is where US veterans would come in who do have this Green Berets Navy SEALs combat veterans that could come in and say, listen, you know,
[1:57:18.740 --> 1:57:23.740]  have the sheriff mass deputize these people and then stand up and send them fleeing.
[1:57:23.740 --> 1:57:25.740]  There you go. There you go.
[1:57:25.740 --> 1:57:40.740]  But we're out of time. You just nailed it. We need to deputize the people who can defend this nation. In fact, President Trump needs to call on such an action to deputize veterans and all patriots who are willing to help defend this nation if it comes to that.
[1:57:40.740 --> 1:57:44.740]  But thank you. Bob Griswold from readymaderesources.com. Thank you for joining me today.
[1:57:44.740 --> 1:57:54.740]  Mike Adams here for Alex Jones at infowars.com. Be sure to check the website and support us at infowarsstore.com. Thank you for watching. Be safe.
[1:58:14.740 --> 1:58:43.740]  Hey, I told you don't go to ban that video. I'm watching you. Our system has been adopted worldwide. Soon we will kill you if you don't do what we say.
[1:58:43.740 --> 1:58:53.740]  Oh, Mark Zuckerberg and others angry at you. Do what CNN says and do not visit ban that video or I have to hurt you.
[1:59:13.740 --> 1:59:32.740]  Globalism is alive and well at Band.video and now we've added a lot of new functions and a lot of new hosts and contributors to Band.video. So please bookmark it and check it daily and even more importantly tell folks about Band.video and realize you can take it with you anywhere you want on your quote smartphone to put our free app on your device in defiance of big tech.
[1:59:32.740 --> 1:59:40.740]  Whether it's Apple or droid, you simply click the share button on your phone and then add to home screen and then there's nothing the scumbags can do.
[1:59:40.740 --> 1:59:51.740]  The power of America, the power of freedom, the power to build a better world and stand in the face of the sensors of the tyrants is alive and stronger than ever at Band.video.
[1:59:51.740 --> 2:00:11.740]  But it's up to you to unleash its full potential. Band.video.
