[00:00.000 --> 00:04.880]  Founder Alex Jones is calling out alleged collusion between Google and Democrats
[3:01:56.200 --> 3:02:01.320]  Whatever extra profit it is will go to these gun grabbers. I mean it just it's a tax on truth
[3:02:01.640 --> 3:02:06.280]  We will stay on air. Which is their main goal is to silence us so it won't happen
[3:02:07.320 --> 3:02:09.960]  So that's what's going on info war store.com
[3:02:11.560 --> 3:02:16.600]  Or triple 8 2 5 3 3 1 3 9 get a signed copy of the great reset in the war for the world
[3:02:17.080 --> 3:02:20.920]  I intend to not lay off any of our crew. I intend to actually expand
[3:02:22.280 --> 3:02:23.400]  and
[3:02:23.400 --> 3:02:29.640]  They can't stand it. They're in these bankruptcy hearings. Literally. George Soros law firms aching gump. You name it
[3:02:31.160 --> 3:02:33.960]  Going your honor. We want it shut down. We want them closed
[3:02:34.280 --> 3:02:39.400]  And the judge is like well federal law says we're you're a creditor the judges found jones guilty, which is tyranny
[3:02:39.960 --> 3:02:42.840]  But you want money and they're like no, we don't want money. We want jones
[3:02:43.400 --> 3:02:46.120]  Silence we want to take him out. We want to deplatform him
[3:02:46.120 --> 3:02:53.480]  We want to silence him as a message to everybody else. They've been very honest about it and
[3:02:53.640 --> 3:02:56.200]  We didn't have products of supply chain breakdowns the last year
[3:02:56.360 --> 3:02:57.480]  It was just
[3:02:57.480 --> 3:03:02.360]  God's will that right as we did bankrupt see all these products were coming back in so now we're going to meet those goals
[3:03:02.360 --> 3:03:04.360]  if you just support us
[3:03:04.440 --> 3:03:08.280]  Get alan jones's right t-shirt get a book get a film info work store.com
[3:03:09.240 --> 3:03:15.400]  And we'll just continue on and they'll be totally pissed and of course they're suing me personally and coming after my wealth
[3:03:15.400 --> 3:03:20.680]  Well under texas law got a homestead got a car. I don't care about money. You haven't figured it out
[3:03:21.560 --> 3:03:23.560]  Your bosses tried to give me
[3:03:24.280 --> 3:03:28.280]  Glimbeck's job before he was even higher. They tried to replace rush limbaugh with me
[3:03:29.560 --> 3:03:32.440]  I I mean I had the talks with fox news and roger ailes
[3:03:33.240 --> 3:03:36.840]  15 years ago 10 years ago. I was offered it all dumbasses
[3:03:36.840 --> 3:03:44.440]  I'll use money as a weapon. I don't mind a good steak or a nice car in a house. It's okay, but I won't sell out nothing
[3:03:45.160 --> 3:03:47.160]  for even my life
[3:03:47.560 --> 3:03:52.840]  They could put a gun to my head or my children and say sell out of the new order and I'll tell them pull the trigger
[3:03:54.200 --> 3:03:58.440]  And they can't stand the fact they can't buy me and they can't buy you so we need funds
[3:03:58.840 --> 3:04:01.640]  flood us at info war store.com
[3:04:01.640 --> 3:04:06.760]  Or by calling toll free triple eight two five three three one three nine the book the great reset in the war for the world last chance
[3:04:06.760 --> 3:04:10.920]  Get a signed copy cut it off in a few days to get the body's ultimate turmeric formula
[3:04:11.080 --> 3:04:15.880]  The ultimate fish oil incredible for your heart your body everything. It's back at stock 50% off
[3:04:16.440 --> 3:04:22.280]  DNA force plus our flagship product 50% off and I want to thank you all for funding us and standing with us
[3:04:22.440 --> 3:04:28.680]  You have changed history. We are changing history together and it's incredible and again. I salute you
[3:04:28.680 --> 3:04:36.200]  All right, Kate dally takes over in the next 55 minutes and then oh and the cock destroyer
[3:04:37.160 --> 3:04:39.160]  is going to be taken over
[3:04:39.160 --> 3:04:40.600]  in
[3:04:40.600 --> 3:04:44.680]  The next hour at 3 p.m. Central standard time
[3:04:45.640 --> 3:04:51.240]  Thank you so much for keeping us in the fight. We're in this together. What a broadcast with mtg and
[3:04:51.240 --> 3:04:58.280]  We're gonna end as we'll be right back
[3:04:59.640 --> 3:05:03.400]  Sold out for more than a year and a half because of supply chain breakdowns
[3:05:03.880 --> 3:05:11.800]  Our best-selling product super blue is finally back in stock the original available at infowarstore.com
[3:05:12.040 --> 3:05:16.040]  It only came in three weeks ago and already half of our stock has sold out
[3:05:16.040 --> 3:05:22.760]  So thank you all for the support, but super blue has a lot of fans and you can get it for 40% off by itself
[3:05:23.000 --> 3:05:26.440]  But when you get it in the trifecta with our activated charcoal toothpaste
[3:05:26.920 --> 3:05:30.040]  Infused with essential oils so great for your mouth and gums
[3:05:30.360 --> 3:05:35.320]  You can get it for 50% off with super coral whitening toothpaste as well
[3:05:35.880 --> 3:05:42.840]  So get the trifecta for 50% off together or 40% off individually at infowarstore.com
[3:05:42.840 --> 3:05:46.600]  You'll have great health with your gums and your mouth with your teeth and you know
[3:05:46.840 --> 3:05:49.880]  Your funding the tip of the spear in the fight against the globalist
[3:05:50.360 --> 3:05:56.200]  Super blue being sold out for more than a year and a half finally back available at infowarstore.com
[3:06:02.280 --> 3:06:06.920]  Welcome back to the alex joneshow. I'm your guest host cake dally from cake dally radio.com
[3:06:06.920 --> 3:06:14.360]  So glad to be here with you today and I have several things. I want to talk about number one student loan announcements just made
[3:06:15.400 --> 3:06:23.560]  number two companies that are already starting to implement the great reset by stopping the production of diesel vehicles
[3:06:24.280 --> 3:06:27.880]  And some climate change questions for you that are so obvious
[3:06:28.520 --> 3:06:30.520]  Well, I know why they're not talked about
[3:06:30.680 --> 3:06:33.640]  In mainstream, of course, they can never point out the obvious
[3:06:33.640 --> 3:06:39.160]  You have a bunch of talking heads with nice teeth and they can't do it. Uh, and I want to talk about a death
[3:06:39.640 --> 3:06:41.000]  I know a death
[3:06:41.000 --> 3:06:46.440]  But there's a good message behind this and so let's get started shall we so king fraud a lot
[3:06:46.920 --> 3:06:49.400]  Just announced that certain Pell Grant users
[3:06:49.800 --> 3:06:56.040]  Meaning most of them meaning all of them are probably going to get their $20,000 knocked off their student loan
[3:06:56.360 --> 3:06:59.720]  Okay, and if you didn't get Pell Grants, you're going to get 10,000
[3:06:59.720 --> 3:07:05.640]  Knocked off, you know, just because they love you, right and they're calling it student forgiveness
[3:07:06.600 --> 3:07:08.360]  student forgiveness
[3:07:08.360 --> 3:07:11.560]  I find that word so odd. What in the hell is forgiveness?
[3:07:12.520 --> 3:07:15.480]  Forgiveness is what you get when you break your neighbor's window
[3:07:16.520 --> 3:07:23.080]  It is not because you signed a contract to pay for something that you are receiving and then just decide
[3:07:23.640 --> 3:07:25.640]  That you don't want to pay
[3:07:25.640 --> 3:07:30.840]  But I guess that's where we're going with this. So free college here free college there's a little like Oprah
[3:07:30.920 --> 3:07:34.680]  You get a free college. You get some free college. Everyone gets free college
[3:07:35.880 --> 3:07:36.920]  really
[3:07:36.920 --> 3:07:38.440]  To I don't know
[3:07:38.440 --> 3:07:42.840]  I'm not quite sure why this is going on or why people aren't questioning the word forgiveness
[3:07:43.080 --> 3:07:47.160]  But I saw it again even on local broadcasts even in state news
[3:07:47.560 --> 3:07:54.120]  On the the papers everybody relies on and trusts and things that they are not part of this big newspaper cabal
[3:07:54.120 --> 3:07:56.120]  And so you signed up to pay a loan
[3:07:57.160 --> 3:07:58.920]  So you could go to college
[3:07:58.920 --> 3:08:01.960]  But you get into college and you just don't want to pay for it
[3:08:02.760 --> 3:08:05.080]  So why is every mainstream?
[3:08:05.880 --> 3:08:08.280]  Why is every mainstream outlet calling it this?
[3:08:09.240 --> 3:08:13.640]  I mean, are they providing an apology for turning you into a liberal progressive?
[3:08:14.280 --> 3:08:20.040]  Are they providing an apology for not teaching you anything that matters? Is this where the word forgiveness comes from?
[3:08:20.600 --> 3:08:22.360]  I don't know
[3:08:22.360 --> 3:08:26.920]  How does forgiveness become part of the equation all of a sudden? Why the word forgiveness?
[3:08:27.080 --> 3:08:32.520]  It's very very strange, right? Are we forgiving your ability to I don't know exercise your
[3:08:33.080 --> 3:08:35.080]  Signature on a contract
[3:08:35.080 --> 3:08:37.080]  Are they going to start doing this with everything else?
[3:08:38.120 --> 3:08:44.120]  And then what happens to that very thing when we demean it so badly that we want to offer it for free
[3:08:44.200 --> 3:08:46.200]  There is no such thing as free
[3:08:46.200 --> 3:08:48.200]  Ever and we all know this
[3:08:48.440 --> 3:08:50.440]  Everybody's paying for this
[3:08:50.440 --> 3:08:53.240]  Don't count on the journalists out there to educate anybody
[3:08:53.400 --> 3:08:57.320]  They're just going to keep calling it free and they're going to keep calling it forgiveness for a reason
[3:08:57.560 --> 3:08:59.960]  They don't want you to think it's anybody else's money
[3:09:00.440 --> 3:09:03.320]  chris an Hall the constitutional expert who I've had on here before
[3:09:03.800 --> 3:09:08.680]  Uh said this she said, you know, I've studied all through history government all through history thousands of years
[3:09:09.080 --> 3:09:14.120]  Right and what grows the fastest and greatest through the mechanism of government generosity
[3:09:14.680 --> 3:09:16.440]  government generosity
[3:09:16.440 --> 3:09:23.400]  Generosity grows the most. I love that word. It's just like forgiveness. Really. It's bizarre. Anyway, this mechanism
[3:09:23.880 --> 3:09:28.440]  Always operates by unjustly enriching some at the expense of others
[3:09:28.680 --> 3:09:32.840]  It's also interesting to note that people don't generally get upset about this mechanism of government
[3:09:33.000 --> 3:09:37.000]  Because they think it benefits them. They're getting a piece of the pie ladies and gentlemen
[3:09:37.000 --> 3:09:42.120]  They're getting some of the action and whenever we get a personal piece of the action. We don't say much about it
[3:09:42.680 --> 3:09:44.680]  Right. We let it go
[3:09:44.680 --> 3:09:50.680]  People throughout history tend to get upset when government growth that unjustly enriches others at their expense
[3:09:50.840 --> 3:09:53.400]  She says how much simpler and juster government?
[3:09:53.640 --> 3:09:58.920]  Would it be if we understood that the government doesn't lawfully possess an authority to be generous to anyone
[3:09:59.720 --> 3:10:01.720]  Government does not earn its own money
[3:10:01.960 --> 3:10:03.960]  Government must take money to have money
[3:10:04.520 --> 3:10:08.120]  Taking money from one person to another is always considered theft
[3:10:09.000 --> 3:10:11.000]  Regardless of who is doing the taking
[3:10:11.240 --> 3:10:13.240]  Even when it benefits you personally
[3:10:13.240 --> 3:10:15.240]  For government to take and give away money
[3:10:15.240 --> 3:10:21.160]  The people must authorize those in government the power to steal steal their money at will at will
[3:10:22.520 --> 3:10:27.480]  This is the greatest expansion of power possible on this earth and the authority to take from
[3:10:28.200 --> 3:10:32.840]  Others whatever however and whenever you want for whatever reason you want
[3:10:33.560 --> 3:10:35.560]  government generosity
[3:10:35.960 --> 3:10:40.760]  Is sinful and tyrannical and we must all refuse government generosity
[3:10:40.760 --> 3:10:42.760]  It is other people's money
[3:10:43.320 --> 3:10:49.560]  Whether you want to recognize that or not the fact still remains government has no money
[3:10:50.200 --> 3:10:55.240]  Isn't it interesting that most of the uh from the election coup that happened most in power
[3:10:55.800 --> 3:11:01.480]  Have always worked with government. Biden has never really had a job outside of government
[3:11:01.880 --> 3:11:05.480]  Right, bernie sanders never really a job outside of government
[3:11:05.480 --> 3:11:12.520]  Always paid by your tax dollars and might I add in large quantities coming out very rich
[3:11:13.240 --> 3:11:17.880]  China just remember china. Anyway, so I wanted to mention this too
[3:11:18.760 --> 3:11:23.400]  The bank will end loans in australia for new gas and diesel cars
[3:11:23.960 --> 3:11:29.000]  And buyers will only get loans for making the right decision and this comes to us from western journal
[3:11:29.240 --> 3:11:33.080]  This is really important because everybody's been talking about the esg score
[3:11:33.080 --> 3:11:39.000]  I remember talking about this five or six seven years ago when we were outing a video about this
[3:11:39.400 --> 3:11:43.160]  That was going to soon turn into china's mechanism for lending money
[3:11:43.320 --> 3:11:47.240]  You get this score just like your credit score, but it's a government love score
[3:11:47.800 --> 3:11:52.280]  And people didn't believe us. They thought we were wacko. They thought we were crazy for even bringing this up
[3:11:52.360 --> 3:11:57.240]  It that could never ever happen. Well, it is happening. In fact a couple of months ago in the news
[3:11:57.240 --> 3:12:01.080]  They said it was only developing in china. No, it's there. It's there in china
[3:12:01.080 --> 3:12:07.880]  And so this esg score the initial stand for environmental social and governance and the scores receive the
[3:12:08.440 --> 3:12:14.280]  Scores that businesses receive can determine what they have access to in capital. This is what the great reset is
[3:12:14.760 --> 3:12:18.200]  Um and alex jones. I'm pretty sure has a book on this subject
[3:12:18.440 --> 3:12:24.600]  But what's interesting about the esg score and what's scary about it is that it's already being implemented around the world
[3:12:25.000 --> 3:12:28.120]  And everybody has some you know might have some different names for it
[3:12:28.120 --> 3:12:35.000]  But here it's the esg score. And so if you are not going to uphold the green agenda
[3:12:35.720 --> 3:12:39.720]  The crazy green agenda the clousy swabs of the world
[3:12:40.360 --> 3:12:43.080]  That promise us will own nothing and be happy
[3:12:43.960 --> 3:12:48.840]  The green agenda is all about do you buy in as a company?
[3:12:49.320 --> 3:12:56.360]  And I don't think it's going to matter what the size of the company is if you do not buy in to the lgbtq trans
[3:12:56.360 --> 3:13:01.160]  Um, you know pro trans pro everything change your business to meet these
[3:13:01.800 --> 3:13:04.680]  crazy new standards for that and to also
[3:13:05.400 --> 3:13:07.400]  Change up everything to be green
[3:13:08.520 --> 3:13:10.760]  You just won't exist because you won't get money
[3:13:11.400 --> 3:13:15.880]  It's like the worst fashion that you could ever ever even imagine, right?
[3:13:16.680 --> 3:13:22.520]  And so now, uh, australia comes out and they say we think that the responsible thing for us to do next
[3:13:22.520 --> 3:13:29.320]  Well, I'm pretty sure it's just to get more money is to ensure that our vehicle lending doesn't lock our customers into
[3:13:29.960 --> 3:13:35.560]  those bad awful high carbon emissions and increasingly expensive running costs in the years ahead
[3:13:36.040 --> 3:13:38.760]  Well, australia bank. You're so amazing
[3:13:39.480 --> 3:13:44.520]  And uh, of course, there's the all spank of australia's uh chief impact officer
[3:13:44.520 --> 3:13:52.040]  That is actually a real name not a babel on b and or the onion and they basically said this our announcement today's
[3:13:52.040 --> 3:13:57.240]  The beginning of a conversation with our customers and a signal to the wider market
[3:13:57.400 --> 3:14:02.280]  That if you're considering buying a new car you should think seriously about an electric vehicle
[3:14:02.520 --> 3:14:08.360]  Both for its impact on climate and its lifetime cost savings. Don't look at the sticker shock
[3:14:08.840 --> 3:14:12.040]  Don't look at the 60 thousand dollars. You're going to pay. No
[3:14:12.840 --> 3:14:14.840]  Just look at the impact on climate
[3:14:15.400 --> 3:14:17.080]  What impact?
[3:14:17.080 --> 3:14:20.520]  Can you identify the impact that cars have already made?
[3:14:20.520 --> 3:14:22.520]  I don't think you can
[3:14:23.240 --> 3:14:28.520]  I don't think you can and i'm sorry. What conversation with the customers what customers are you talking to?
[3:14:29.160 --> 3:14:32.600]  I don't ever remember having conversations like this with my own bank
[3:14:32.920 --> 3:14:37.240]  Hmm and a signal to the wider market. No, you're signaling the powers that be
[3:14:37.880 --> 3:14:41.480]  Uh to get some funding for your bank to make sure that you stay afloat
[3:14:42.440 --> 3:14:47.240]  As we progress into the the great reset. That's what it's all about and now it's starting
[3:14:47.240 --> 3:14:54.280]  So now they're warning and telling you and I think that American companies are coming next into this fray
[3:14:54.600 --> 3:14:58.840]  To tell you that for your own good for the responsible decision
[3:14:59.480 --> 3:15:02.840]  You're basically a nitwit that can't choose which car to own
[3:15:03.080 --> 3:15:08.760]  So we're going to choose for you and we're going to make sure that it isn't you know that awful gas
[3:15:09.160 --> 3:15:11.160]  Awful diesel how horrible
[3:15:11.160 --> 3:15:16.200]  Oh, they're so benevolent and so trying to help us make decisions
[3:15:17.400 --> 3:15:21.880]  No, they are just part of the great reset. It's plain and simple and this is starting
[3:15:21.960 --> 3:15:28.120]  So what are you going to do? What are we going to do? What plans do you have to circumvent this?
[3:15:28.600 --> 3:15:29.800]  How are you?
[3:15:29.800 --> 3:15:35.400]  Uh going to be able to make decisions in the future companies just will not be short up with funding and they will die
[3:15:35.640 --> 3:15:39.880]  The ones that do not complement or go all in on the great reset
[3:15:39.880 --> 3:15:41.880]  But that's what's so scary about this
[3:15:42.360 --> 3:15:48.440]  We don't realize that the impact of what they're doing not the impact on the environment is what is going to harm us
[3:15:49.000 --> 3:15:55.160]  I'll be right back. I'm your guest host for the alex jones show. I'm k dally k deli radio dot com. Be right back
[3:15:56.440 --> 3:16:01.000]  We brought the game changing product previously only available to major oil companies
[3:16:01.240 --> 3:16:07.960]  Around the world to the civilian market two years ago the bio pros for septic tanks for porta potties for rvs
[3:16:07.960 --> 3:16:13.560]  For your drains your boats it goes on and on it'll eat the oil off of your driveway if you just add water
[3:16:14.280 --> 3:16:18.360]  But it's been so successful now. We're selling it to major rv parks
[3:16:19.160 --> 3:16:25.080]  Pig farms you name it because this stuff will eat anything that is organic
[3:16:25.400 --> 3:16:31.560]  And it's exclusively available at the bio pros dot com and now info war store dot com
[3:16:31.560 --> 3:16:37.720]  We sold out of this for almost a year, but we made a major purchase and it is now in stock
[3:16:37.880 --> 3:16:40.520]  For whatever your need is at info war store dot com
[3:16:40.680 --> 3:16:48.200]  You'll also find instructional videos and more information at info war store dot com or the bio pros dot com made america
[3:16:48.840 --> 3:16:53.160]  Powered by god's great creation. It is amazing and it funds the info war
[3:16:56.040 --> 3:17:01.080]  alex jones expanded his broadcast by selling a line of products focused
[3:17:01.080 --> 3:17:04.440]  On healing from the toxic world of a corrupt system
[3:17:04.680 --> 3:17:12.840]  Which has allowed info wars to remain a free public broadcast to combat the dangerous lies of the mainstream media
[3:17:13.000 --> 3:17:14.680]  alex jones
[3:17:14.680 --> 3:17:16.280]  is patient
[3:17:16.280 --> 3:17:18.120]  zero for
[3:17:18.120 --> 3:17:19.720]  alternative
[3:17:19.720 --> 3:17:25.160]  Facts do you understand what i have said? Yes, i believe what i said was true
[3:17:25.160 --> 3:17:31.480]  Yes, you believe everything you say is true, but it isn't your beliefs do not make something true
[3:17:32.120 --> 3:17:34.920]  That is that is what we're doing here
[3:17:35.160 --> 3:17:37.160]  There's going to be a large set
[3:17:37.240 --> 3:17:41.400]  Of planets who are going to be dividing up the corpse of info wars in the bankruptcy estate
[3:17:41.800 --> 3:17:47.880]  The info wars audience has mobilized and awakened the world to the threat that is globalism
[3:17:47.880 --> 3:17:54.040]  And with your continued support, we will keep going join us now and support the info war
[3:17:55.640 --> 3:18:00.920]  The globalists are fighting around the clock to destroy the family to destroy heterosexual
[3:18:01.560 --> 3:18:04.840]  relationships to annihilate our marriages and the studies are all clear
[3:18:05.560 --> 3:18:13.400]  The number one cause of marital splits is that there's problems in the bedroom and the number one issue men have
[3:18:13.400 --> 3:18:20.440]  Is a rectile dysfunction ladies and gentlemen the left makes big jokes about this because they don't want people having lasting
[3:18:20.680 --> 3:18:26.760]  Good love and relationships. They want to break up society and we are so excited to have the number one
[3:18:27.400 --> 3:18:32.840]  Natural male enhancement pill in the world available as a major sponsor now
[3:18:33.080 --> 3:18:39.480]  Go to the ironpatriot.com today the ironpatriot.com and watch the instructional video
[3:18:39.480 --> 3:18:45.000]  Look at the science yourself and then get a bottle of insta heart. It's discreet shipping. I've used it
[3:18:45.160 --> 3:18:48.040]  It's amazing and it's not just for folks that have problems in the bedroom
[3:18:48.360 --> 3:18:53.000]  This also enhances it. So again get yours today at the ironpatriot.com
[3:18:55.640 --> 3:19:02.360]  The number one selling category in supplements worldwide is fat burners is weight loss formulas
[3:19:02.600 --> 3:19:05.320]  And listen, there are hundreds of them out there that work
[3:19:05.320 --> 3:19:08.840]  But most of them do it in a toxic way
[3:19:09.480 --> 3:19:12.520]  Ladies and gentlemen, we went out and did deep research on the safest
[3:19:13.080 --> 3:19:17.720]  healthiest ways to take your overall body's metabolic system
[3:19:18.440 --> 3:19:24.920]  And your metabolism and turn that clock back by turning up your metabolism
[3:19:25.480 --> 3:19:29.560]  Ladies and gentlemen diet force does it in a clean healthy way. It's amazing
[3:19:29.640 --> 3:19:34.120]  I've almost lost 40 pounds the last three months just using the samples of it
[3:19:34.120 --> 3:19:38.280]  But now it's come into the info war store and it's ready for sale to you and your family
[3:19:39.000 --> 3:19:41.000]  exclusively at infowarstore.com
[3:19:41.560 --> 3:19:43.560]  Diet force from x7
[3:19:43.720 --> 3:19:51.080]  Exclusively available at infowarstore.com for 40% off. I want you to experience diet force for yourself
[3:19:51.320 --> 3:19:53.640]  I can't wait for the reviews because it's worked great for me
[3:19:53.640 --> 3:20:03.800]  Leading a frontal assault on the lies of the new world order. It's alex jones
[3:20:13.560 --> 3:20:17.960]  Welcome back to the alex jones showing kate deli your guest host from kate deli radio.com
[3:20:17.960 --> 3:20:26.280]  Talking about esg, I don't know if people were noticing back in 2020 when they were just trying to survive with their businesses
[3:20:26.520 --> 3:20:29.320]  And we had the havoc of a huge lie told to us
[3:20:30.200 --> 3:20:33.160]  To keep our our nation locked down and non-functioning
[3:20:33.960 --> 3:20:40.760]  That new articles were coming out about this new esg practice in china and its implications in foreign affairs
[3:20:41.000 --> 3:20:44.600]  Georgetown even wrote a piece on this back in 2020
[3:20:44.600 --> 3:20:48.760]  Telling us it was coming and also telling us that it would had the potential
[3:20:49.080 --> 3:20:52.360]  I had the potential to be a tool for chinese foreign policy
[3:20:53.240 --> 3:20:59.560]  They just really didn't want to talk about the fact that it was already coming here that it was already being implemented
[3:21:00.200 --> 3:21:07.640]  And there were strings attached more government money to those companies who play along and just go along with this whole
[3:21:08.680 --> 3:21:10.360]  nightmare, right
[3:21:10.360 --> 3:21:16.920]  And so they had the esg regulations globally increasing 10 fold after
[3:21:17.400 --> 3:21:22.440]  Over the last 15 years without us really realizing it the messaging was out there
[3:21:22.840 --> 3:21:29.480]  Everything was out there, but they weren't really implementing implementing until now and until the last couple of years
[3:21:29.880 --> 3:21:31.880]  And so what they were basically
[3:21:32.280 --> 3:21:39.160]  Talking about was china's securities regulatory commission in collaboration with their ministry of environmental protection
[3:21:39.160 --> 3:21:44.040]  And they introduced all these new requirements and by the end of 2020
[3:21:44.280 --> 3:21:52.120]  They were going to mandate all listed companies to disclose their esg risks associated with their operations
[3:21:52.600 --> 3:21:56.840]  So you get money you get money if you disclose what you are doing
[3:21:57.160 --> 3:22:01.720]  And and so that way they could keep track of exactly what you're doing to penalize you
[3:22:02.840 --> 3:22:07.240]  And so were they serious about instilling all these new sg regulate esg regulations?
[3:22:07.240 --> 3:22:11.960]  Of course they were of course they were and then they said that we all had to meet a global standard
[3:22:12.200 --> 3:22:14.200]  And this is how it sort of rolled out
[3:22:14.680 --> 3:22:19.000]  their move from a voluntary disclosure regime to mandatory one
[3:22:19.880 --> 3:22:21.880]  started to happen and
[3:22:22.040 --> 3:22:27.560]  Of course, this is going on in all different nations too. France everywhere else, right? Australia
[3:22:28.520 --> 3:22:35.880]  And so all these large firms public interest firms they had to start disclosing environmental social and employee related matters such as
[3:22:35.880 --> 3:22:39.960]  Anti bribery corruption and human rights performance
[3:22:40.680 --> 3:22:45.000]  Those are all lovely words that sound really nice to somebody without a brain cell
[3:22:45.320 --> 3:22:49.000]  But what it really was about their version of human rights is
[3:22:49.640 --> 3:22:51.640]  The green agenda
[3:22:52.040 --> 3:22:57.800]  How is that, you know going to affect everybody? So the human rights is really how green are you?
[3:22:58.840 --> 3:23:01.320]  Because that is their version of rights
[3:23:01.320 --> 3:23:05.160]  And so of course we started doing this in the uk
[3:23:06.120 --> 3:23:11.560]  And the actual disclosing actual greenhouse gas emissions and diversity and human rights whatever
[3:23:12.120 --> 3:23:14.120]  under the companies act of 2006
[3:23:14.680 --> 3:23:21.320]  And in the united states the securities and exchange commission required all listed firms to disclose their environmental compliance
[3:23:22.280 --> 3:23:24.280]  Papers, please you will comply
[3:23:24.280 --> 3:23:30.440]  So the compliance expenses so more over there's this new movement towards increasing
[3:23:31.160 --> 3:23:36.280]  ESG requirements in the sec's mandatory integrated disclosure regime
[3:23:36.680 --> 3:23:43.240]  So voluntary to mandatory which it always is they always introduce it as voluntary doesn't matter what we're talking about
[3:23:43.800 --> 3:23:48.680]  Sadly and so they started talking about it overseas the asia pacific markets
[3:23:48.760 --> 3:23:51.320]  and then it gets to where we're at
[3:23:51.320 --> 3:23:54.440]  And of course they talk about the fact that
[3:23:55.160 --> 3:23:59.480]  Reporting is voluntary in australia in japan, singapore and hong kong
[3:24:00.360 --> 3:24:07.320]  Reporting obligation is on to comply or explain you get to explain why you're not complying sure that goes over well
[3:24:07.320 --> 3:24:11.640]  Do you just disappear in china if you try to explain and not comply?
[3:24:12.680 --> 3:24:19.720]  Anyway, uh across the regions china being no exception led to an increase in the volume of esg disclosures
[3:24:19.720 --> 3:24:23.400]  Because why because companies want money and they want favors from government?
[3:24:24.040 --> 3:24:29.240]  And this is how you know uh back in the day back in the uh blovid covid era
[3:24:29.480 --> 3:24:35.720]  A couple of years ago all the companies were going all in right the signage
[3:24:36.280 --> 3:24:41.560]  The uh ridiculous rules the mask nazis everybody was running around showing how
[3:24:42.280 --> 3:24:44.780]  Compliant they truly are so disgusting
[3:24:44.780 --> 3:24:52.620]  Anyway, so china the top manufacturing location for 500 firms isn't that convenient?
[3:24:53.500 --> 3:24:59.660]  On it makes their performance critical right so of course they're going to bow down to china
[3:24:59.900 --> 3:25:04.380]  We're bowing down to china right right hunter right biden right thing brought a lot
[3:25:04.460 --> 3:25:10.700]  Yeah, we're bowing to them very subservient and so this of course is the new thing
[3:25:10.700 --> 3:25:19.100]  I also recognize that back in 2020. They also said five-year plan approved by the fourth session of their 12th national people's congress
[3:25:19.500 --> 3:25:21.900]  in china in march of 2016
[3:25:22.460 --> 3:25:28.300]  And it links the 2030 agenda with domestic mid long-term development strategies, right?
[3:25:28.780 --> 3:25:31.420]  Why is it? It's always a five-year plan
[3:25:32.140 --> 3:25:39.180]  You know check your city and your county for their new developing five-year plans because they seem to be in love with the
[3:25:39.180 --> 3:25:44.060]  Communist idea that everything needs a five-year plan passing budgets every year
[3:25:44.060 --> 3:25:47.020]  And you'll notice this in cities and counties across america right now
[3:25:47.660 --> 3:25:51.740]  What they do is they implement five-year plans to gouge you for them right now
[3:25:52.380 --> 3:25:57.740]  And how they do that is they say well we need we need we need could be a recession coming
[3:25:57.740 --> 3:26:03.180]  So we need these five-year plans to tax you now so that we have things later when we need them
[3:26:03.820 --> 3:26:07.340]  You know when you're passing budgets every year you don't need to do that. Did you know that?
[3:26:07.340 --> 3:26:09.340]  You simply don't need to do that
[3:26:09.500 --> 3:26:17.500]  But they're going to con you into thinking that five-year plans are just the best thing since sliced bread and five-year plans are
[3:26:18.540 --> 3:26:22.060]  The agenda agenda for everything. It's coming up in everything
[3:26:22.700 --> 3:26:27.500]  So as we're walking into this new era of esg compliance
[3:26:28.780 --> 3:26:34.060]  It takes businesses complying right because there's not enough minions to run these things
[3:26:34.060 --> 3:26:37.820]  The people that think of these things can't do it alone. They just need
[3:26:38.460 --> 3:26:40.060]  compliant companies and
[3:26:40.060 --> 3:26:42.060]  Why are they doing it?
[3:26:42.060 --> 3:26:47.820]  Well the green movement. I'd like to ask you a few questions about that. Do you know there's one question?
[3:26:48.460 --> 3:26:54.460]  That climate enthusiast. I'll just call them that boneheads, but enthusiasts will go with climate enthusiasts
[3:26:55.420 --> 3:26:57.420]  seem to never be able to answer
[3:26:58.060 --> 3:27:02.380]  one single question that honestly draws a blank
[3:27:02.380 --> 3:27:04.380]  and draws a face like this
[3:27:05.340 --> 3:27:07.340]  Seriously, I'm not joking
[3:27:07.820 --> 3:27:09.820]  and the question is
[3:27:09.820 --> 3:27:11.260]  over the last
[3:27:11.260 --> 3:27:17.020]  60 70 years that we've been talking about this. How has climate change affected you?
[3:27:17.820 --> 3:27:22.380]  You'll never see anyone. I'm not joking in mainstream media ever ask this question
[3:27:23.340 --> 3:27:25.340]  How has human-caused
[3:27:26.460 --> 3:27:27.820]  climate change
[3:27:27.820 --> 3:27:29.180]  affected your life
[3:27:29.180 --> 3:27:34.220]  And can you give it to me in details because I'm sure after this entire time, right?
[3:27:34.540 --> 3:27:37.500]  We went through the 70s where we were all going to be popsicles
[3:27:37.900 --> 3:27:44.860]  We went to 2013 promised by Al Gore even won the Nobel Prize that we were going to be fried eggs on the sidewalk
[3:27:45.820 --> 3:27:50.060]  How actually has climate change really affected your life?
[3:27:51.260 --> 3:27:55.900]  Look back at your last 40 30 40 50 60 years
[3:27:55.900 --> 3:28:00.620]  How have you been impacted by human-caused climate change?
