[00:00.000 --> 00:26.000]  Defending the Republic from enemies, foreign and domestic, it's Alex Jones.
[03:03:27.000 --> 03:03:34.000]  It was just a country between Russia and EU. But, I mean, it appeared thanks to Bolsheviks.
[03:03:34.000 --> 03:03:38.000]  Bolsheviks created it, because there was no Ukraine before 1970.
[03:03:38.000 --> 03:03:40.000]  It used to be part of Russia.
[03:03:40.000 --> 03:03:46.000]  Yes, it was just part of Russia, and Bolsheviks wanted to make the revolution global.
[03:03:46.000 --> 03:03:50.000]  And for that, they needed to show to peoples of the world that...
[03:03:50.000 --> 03:03:56.000]  Well, sure, they could break pieces off from Russia itself and then play games there.
[03:03:56.000 --> 03:03:59.000]  So they just put Russia into parts, and that's it.
[03:03:59.000 --> 03:04:06.000]  So Vladimir Putin is just a person that wants security for our people.
[03:04:06.000 --> 03:04:14.000]  So, I mean, if you have a globalist and pro-saurus coup d'etat in a neighboring country,
[03:04:14.000 --> 03:04:17.000]  and, I mean, what would you do?
[03:04:17.000 --> 03:04:21.000]  And if part of this country says, all right, this government is not legitimate,
[03:04:21.000 --> 03:04:25.000]  we've held a referendum and want to join you, please defend us.
[03:04:25.000 --> 03:04:26.000]  What would you do?
[03:04:26.000 --> 03:04:32.000]  Well, stay there, because it's the same thing happened in the 2000s and in the 90s,
[03:04:32.000 --> 03:04:36.000]  where the Clintons attacked Serbia multiple times, bombed the south.
[03:04:36.000 --> 03:04:40.000]  It was going to be like Texas, Louisiana, you know, right up in the Indiana.
[03:04:40.000 --> 03:04:44.000]  They take a third of the country, give it to Muslims who invade out of Albania,
[03:04:44.000 --> 03:04:47.000]  who engage in ethnic cleansing, and then finally Russia landed.
[03:04:47.000 --> 03:04:50.000]  They were going to take the whole country at Pristina and said no further,
[03:04:50.000 --> 03:04:52.000]  and they said that was aggression.
[03:04:52.000 --> 03:04:55.000]  Now they're going to turn the whole Christian country over and kill everybody.
[03:04:55.000 --> 03:04:56.000]  I'm so excited.
[03:04:56.000 --> 03:05:03.000]  The new product at infowarslife.com, in a glass bottle, two-month servings filled to the brim,
[03:05:03.000 --> 03:05:06.000]  filled to the absolute top, the real red pill.
[03:05:06.000 --> 03:05:12.000]  This is a heart and brain pill, a new tropic that doesn't have any stimulants in it,
[03:05:12.000 --> 03:05:15.000]  but boy, does it stimulate, because it's beyond that.
[03:05:15.000 --> 03:05:21.000]  Quite frankly, I just went off what I saw medical doctors prescribing to their patients,
[03:05:21.000 --> 03:05:27.000]  but it wasn't prescription, but they were charging people $100, $200 for the formulae,
[03:05:27.000 --> 03:05:31.000]  and I came up with our own formulae, working with scientists and developers.
[03:05:31.000 --> 03:05:36.000]  Non-GMO, made right here in America, 120 capsules.
[03:05:36.000 --> 03:05:39.000]  And ladies and gentlemen, you add the preglonone to it,
[03:05:39.000 --> 03:05:45.000]  which is the precursor to all the hormones that your body has to have to even make the hormones in your glands.
[03:05:45.000 --> 03:05:47.000]  It is amazing.
[03:05:47.000 --> 03:05:53.000]  Red pill, now available at infowarsstore.com, and your purchase fubs the operation.
[03:06:18.000 --> 03:06:26.000]  Well, the always amazing Doug Hagman, who we're going to be syndicating very, very soon on radio and TV.
[03:06:26.000 --> 03:06:29.000]  He's already got a viral program, and interviewing him for more than a decade.
[03:06:29.000 --> 03:06:31.000]  He's going to be taking over here in about 10 minutes.
[03:06:31.000 --> 03:06:34.000]  We have Andrei Afanasyev joining us.
[03:06:34.000 --> 03:06:42.000]  This is a big national TV host in Russia, and who is exposing that multinational megabanks,
[03:06:42.000 --> 03:06:47.000]  just like McCarthy said, that's when he classified even the Russians that he was right,
[03:06:47.000 --> 03:06:55.000]  funded communism as a way to con the serfs of Europe and Russia from one agrarian system
[03:06:55.000 --> 03:06:59.000]  that had some controls that I would call authoritarian, but they were really just ancient,
[03:06:59.000 --> 03:07:02.000]  onto a new system of total control.
[03:07:02.000 --> 03:07:05.000]  And they all bragged about this, and they did it.
[03:07:05.000 --> 03:07:09.000]  And scholars, you know, we're talking, I don't want to say Nobel Prize winners,
[03:07:09.000 --> 03:07:12.000]  that's embarrassing now, you know, people like Alexander Soltzenitsyn,
[03:07:12.000 --> 03:07:17.000]  reverse engineered all this, but it, before Soltzenitsyn, before I even read his books,
[03:07:17.000 --> 03:07:22.000]  I had reverse engineered it, because, and I'm not putting him down, I'm saying, it's true.
[03:07:22.000 --> 03:07:24.000]  I didn't read it from Soltzenitsyn.
[03:07:24.000 --> 03:07:29.000]  I read that and learned more, that the exact crap you see at the universities everywhere else,
[03:07:29.000 --> 03:07:35.000]  and the MSNBC saying you can't have churches or families, they said that to Trump.
[03:07:35.000 --> 03:07:37.000]  You don't get that.
[03:07:37.000 --> 03:07:40.000]  They had a woman on TV going, you don't get that.
[03:07:40.000 --> 03:07:45.000]  And these are commasars that are going to stand over us as political officers and gang rapists.
[03:07:45.000 --> 03:07:51.000]  And so, in closing, I want you to get back into how they're allied with radical Islam,
[03:07:51.000 --> 03:07:54.000]  these globalists, how we defeat them, concerns you've got,
[03:07:54.000 --> 03:07:57.000]  and I know we don't want to be critical overall,
[03:07:57.000 --> 03:08:01.000]  Trump has enemies, you know, his enemies, he's trying,
[03:08:01.000 --> 03:08:08.000]  but they have bullied him into accelerating conflict with Russia, threatening huge new sanctions,
[03:08:08.000 --> 03:08:12.000]  and Putin just says, well, that's not very friendly, as it was, Russia helped us right after 9-11,
[03:08:12.000 --> 03:08:15.000]  Russia helped us take out ISIS more than we did.
[03:08:15.000 --> 03:08:17.000]  It's not like groveling to Russia.
[03:08:17.000 --> 03:08:18.000]  I've never been there.
[03:08:18.000 --> 03:08:20.000]  It's the truth.
[03:08:20.000 --> 03:08:25.000]  And then to sit there and watch Hollywood and these Bolsheviks piss all over everybody,
[03:08:25.000 --> 03:08:29.000]  and then sit there and just kind of, oh, get a brownie point, you know,
[03:08:29.000 --> 03:08:32.000]  so I don't get called a Russian agent by not talking to Russians.
[03:08:32.000 --> 03:08:33.000]  I'm not doing it.
[03:08:33.000 --> 03:08:35.000]  I'm not going to be bullied into it.
[03:08:35.000 --> 03:08:40.000]  And the only area that I'm worried about Trump is the fact that he has gone from being very open,
[03:08:40.000 --> 03:08:43.000]  very conciliatory, very smart.
[03:08:43.000 --> 03:08:44.000]  Look at the resources of Russia.
[03:08:44.000 --> 03:08:47.000]  Good God, it's a perfect match to what America needs.
[03:08:47.000 --> 03:08:48.000]  It would be a dynamo.
[03:08:48.000 --> 03:08:49.000]  The globalists fear that.
[03:08:49.000 --> 03:08:50.000]  They've always feared it.
[03:08:50.000 --> 03:08:52.000]  So you've got the floor in the last few minutes here.
[03:08:52.000 --> 03:08:55.000]  I really appreciate you joining us.
[03:08:55.000 --> 03:09:04.000]  Yes, Alex, so definitely we're now in a situation where Donald Trump somehow needs to fight for area,
[03:09:04.000 --> 03:09:10.000]  fight for space because he's surrounded just like Vladimir Putin was surrounded in 1999.
[03:09:10.000 --> 03:09:18.000]  He came to power in a country that was totally controlled by transnational corporations and liberal structures.
[03:09:18.000 --> 03:09:27.000]  For example, all our natural resources, oil and gas were not owned by the state or by state run companies.
[03:09:27.000 --> 03:09:34.000]  They are all owned by transnational companies and it took about four years to take it back.
[03:09:34.000 --> 03:09:40.000]  Can you imagine that all the oil of the United States, all the tax in the oil is owned by, I don't know,
[03:09:40.000 --> 03:09:41.000]  Dutch company.
[03:09:41.000 --> 03:09:43.000]  It's the state of my country.
[03:09:43.000 --> 03:09:44.000]  I remember it.
[03:09:44.000 --> 03:09:47.000]  It was like 13 years ago.
[03:09:47.000 --> 03:09:50.000]  So and it took time.
[03:09:50.000 --> 03:09:53.000]  It took time to fight these networks.
[03:09:53.000 --> 03:09:59.000]  And for example, the famous Munich speech of Vladimir Putin at Munich conference,
[03:09:59.000 --> 03:10:05.000]  it was the first challenge of globalism from a national leader of a big country,
[03:10:05.000 --> 03:10:09.000]  happened seven years after Putin came into office.
[03:10:09.000 --> 03:10:18.000]  So we definitely need the second office for the second term for Donald Trump team because it took us, Russians,
[03:10:18.000 --> 03:10:21.000]  seven years to start the process.
[03:10:21.000 --> 03:10:23.000]  And by the way, now the dominoes are falling.
[03:10:23.000 --> 03:10:27.000]  So Russia deserves the credit for kicking the dominoes over and the globalists admit that.
[03:10:27.000 --> 03:10:28.000]  That's not refuted.
[03:10:28.000 --> 03:10:29.000]  And they say it with horror.
[03:10:29.000 --> 03:10:31.000]  You got cut off by a break 30 minutes ago.
[03:10:31.000 --> 03:10:32.000]  I'm glad you mentioned that.
[03:10:32.000 --> 03:10:37.000]  What about the meeting, the picnic with the oligarchs early on?
[03:10:37.000 --> 03:10:46.000]  Yes, so it was a famous meeting with oligarchs like maybe a year after Putin came into power.
[03:10:46.000 --> 03:10:54.000]  And he declared officially and openly to them the new rules saying that all the major businessmen or oligarchs,
[03:10:54.000 --> 03:10:59.000]  as we say, need to become national and work for the interest of the state.
[03:10:59.000 --> 03:11:08.000]  Or if they keep on being globalists, the state will need to defend itself and the people from them.
[03:11:08.000 --> 03:11:13.000]  So the majority of them fled to London and to other countries.
[03:11:13.000 --> 03:11:16.000]  But the majority of them are in London, like Boris Berezovsky.
[03:11:16.000 --> 03:11:21.000]  Some of them fled to Israel, like Mr. Gusinski.
[03:11:21.000 --> 03:11:27.000]  And I can tell you that all of them, it's funny, they all owned major media in the country.
[03:11:27.000 --> 03:11:29.000]  Berezovsky owned first channel.
[03:11:29.000 --> 03:11:31.000]  It's like CNN.
[03:11:31.000 --> 03:11:35.000]  And Gusinski owned Anteva.
[03:11:35.000 --> 03:11:37.000]  And there were also lawsuits.
[03:11:37.000 --> 03:11:40.000]  It turned out a bunch of more fronts for the Rothschilds.
[03:11:40.000 --> 03:11:41.000]  The Rothschilds sued.
[03:11:41.000 --> 03:11:48.000]  And then in court, the judges said, no, it turns out the Rothschilds have been running Russia for 80 years.
[03:11:48.000 --> 03:11:49.000]  Yeah, definitely.
[03:11:49.000 --> 03:11:54.000]  And still, for example, our central bank does not report to our government.
[03:11:54.000 --> 03:11:58.000]  And it's a big problem because the globalists are doing everything.
[03:11:58.000 --> 03:11:59.000]  That's key.
[03:11:59.000 --> 03:12:03.000]  You're saying 18 years later, Russia still hasn't drained the swamp fully?
[03:12:03.000 --> 03:12:07.000]  We're still one foot in the swamp.
[03:12:07.000 --> 03:12:08.000]  We have our army.
[03:12:08.000 --> 03:12:10.000]  We have our special services.
[03:12:10.000 --> 03:12:13.000]  We have our foreign ministry.
[03:12:13.000 --> 03:12:19.000]  But the economy and the finance, where the globalists are the strongest, is still a problem.
[03:12:19.000 --> 03:12:25.000]  Well, I was about to say next, it's funny because I was always critical of our special services and it was infiltrated and run by bad guys.
[03:12:25.000 --> 03:12:28.000]  But it was in this last election, they saw it was all real.
[03:12:28.000 --> 03:12:29.000]  It was the military.
[03:12:29.000 --> 03:12:36.000]  It was good elements of the CIA and other agencies that actually got the intel out, WikiLeaks, it wasn't the Russians, and all of it.
[03:12:36.000 --> 03:12:45.000]  And actually, that's now the main line with Trump as the military, particularly the army and the Marine Corps now, against the globalists who returned the country.
[03:12:45.000 --> 03:12:50.000]  It's not that they're perfect, they just think America should run America, we're not going to use it to fund world government.
[03:12:50.000 --> 03:12:52.000]  We're not going to be used like Russia to do all this.
[03:12:52.000 --> 03:12:53.000]  I mean, they use that as an example.
[03:12:53.000 --> 03:13:01.000]  They know, how can they ever go back now, Andre, now that the cat's out of the bag, now that the program's out?
[03:13:01.000 --> 03:13:14.000]  Well, Alex, the main objective for all of us, for all the people here in Russia, for all of you fellow Americans who support nationalism and tradition and Christianity,
[03:13:14.000 --> 03:13:20.000]  is installing public relations with each other, without globalists.
[03:13:20.000 --> 03:13:24.000]  We need to create our own networks to deliver truth.
[03:13:24.000 --> 03:13:31.000]  I am like an ultra-imperialist in a good way, Russian, who supports Russian Empire.
[03:13:31.000 --> 03:13:34.000]  And I tell you Americans, please, be sovereign and strong.
[03:13:34.000 --> 03:13:36.000]  I don't tell you, be weak.
[03:13:36.000 --> 03:13:38.000]  I don't tell you that we want to conquer you.
[03:13:38.000 --> 03:13:46.000]  I tell you, be strong and defend your national interests, and not the interests of a bunch of globalist oligarchs.
[03:13:46.000 --> 03:13:47.000]  That's the difference.
[03:13:47.000 --> 03:13:48.000]  We all need to be strong.
[03:13:48.000 --> 03:13:50.000]  We all need to defend our national interests.
[03:13:50.000 --> 03:14:00.000]  It doesn't mean that Russia and U.S. always have the same interests, but we need to discuss them as national sovereign countries,
[03:14:00.000 --> 03:14:09.000]  and not as different departments of a big transnational corporation. That's how they want to see us.
[03:14:09.000 --> 03:14:12.000]  And by the way, I watch America to be strong.
[03:14:12.000 --> 03:14:17.000]  Absolutely. I watch some of the Putin speeches and things, and he says the same thing.
[03:14:17.000 --> 03:14:18.000]  Be strong. Take your country back.
[03:14:18.000 --> 03:14:20.000]  And once you do, we want to do business with you.
[03:14:20.000 --> 03:14:21.000]  We have a lot of resources.
[03:14:21.000 --> 03:14:22.000]  We're ready for business.
[03:14:22.000 --> 03:14:28.000]  It sounds like John Wayne saying, let's do business, and let's be Christian.
[03:14:28.000 --> 03:14:31.000]  And that's what pisses off Hollywood. It's so obvious.
[03:14:31.000 --> 03:14:33.000]  Andre, it's sick.
[03:14:33.000 --> 03:14:35.000]  Well, definitely.
[03:14:35.000 --> 03:14:42.000]  And the more we talk about that, the more we expose them, both here in Russia, we still have a lot of problems.
[03:14:42.000 --> 03:14:45.000]  You see, Ksenia Stapchak is coming to Washington.
[03:14:45.000 --> 03:14:48.000]  No, you have your own problems, but I noticed that they said, oh, Putin really wanted Hillary.
[03:14:48.000 --> 03:14:49.000]  Well, he hedged his bets.
[03:14:49.000 --> 03:14:51.000]  I watched the Duma when Trump won.
[03:14:51.000 --> 03:14:52.000]  People were crying.
[03:14:52.000 --> 03:14:53.000]  They were celebrating.
[03:14:53.000 --> 03:14:55.000]  That's what I saw.
[03:14:55.000 --> 03:14:59.000]  But we were happy not because Trump is a Russian agent.
[03:14:59.000 --> 03:15:09.000]  We were happy because Trump was a chance for us that globalists that control the United States would leave us alone and let us live the lives we want to live.
[03:15:09.000 --> 03:15:11.000]  And that's the point.
[03:15:11.000 --> 03:15:12.000]  Well, that's right.
[03:15:12.000 --> 03:15:20.000]  And my God, I couldn't imagine how many Russians and Ukrainians and Poles did that left us to control from the U.S. kill.
[03:15:20.000 --> 03:15:24.000]  I mean, I actually feel like we should apologize to Russia, even though I wasn't alive then.
[03:15:24.000 --> 03:15:28.000]  The America let the leftists come over there and gang rape the hell out of you.
[03:15:28.000 --> 03:15:32.000]  Well, unfortunately, it was also made on American money, on the globalist money.
[03:15:32.000 --> 03:15:37.000]  We know that Trotsky came to Russia from New York, where he has relatives.
[03:15:37.000 --> 03:15:38.000]  That's right.
[03:15:38.000 --> 03:15:39.000]  It's all historic.
[03:15:39.000 --> 03:15:40.000]  And now they run the neocons.
[03:15:40.000 --> 03:15:42.000]  We're all going to come together, though, to defeat this.
[03:15:42.000 --> 03:15:43.000]  All right.
[03:15:43.000 --> 03:15:45.000]  Andre Avonaziev, thank you.
[03:15:45.000 --> 03:15:49.000]  Well, come back on David Knight on any of the shows, any of the broadcasts.
[03:15:49.000 --> 03:15:51.000]  We want to have you on with the war room.
[03:15:51.000 --> 03:15:52.000]  You name it.
[03:15:52.000 --> 03:15:53.000]  Very powerful truth.
[03:15:53.000 --> 03:15:54.000]  Thank you.
[03:16:23.000 --> 03:16:25.000]  Fully Cooked, Ready to Eat Bacon.
[03:16:25.000 --> 03:16:30.000]  I'm talking thick, meaty, center cut, presidential bacon, savory and delicious.
[03:16:30.000 --> 03:16:31.000]  I buy some.
[03:16:31.000 --> 03:16:32.000]  I use some.
[03:16:32.000 --> 03:16:33.000]  I store some.
[03:16:33.000 --> 03:16:34.000]  Awesome.
[03:16:34.000 --> 03:16:38.000]  No refrigeration needed with a 10-year shelf life, NASA PAC technology.
[03:16:38.000 --> 03:16:44.000]  Bacon, fully cooked, fully hydrated, ready to eat right from the PAC bacon, or warm and
[03:16:44.000 --> 03:16:45.000]  serve.
[03:16:45.000 --> 03:16:47.000]  Life saving, ready to eat bacon.
[03:16:47.000 --> 03:16:49.000]  10-year shelf life bacon.
[03:16:49.000 --> 03:16:53.000]  It's free at fullycookedbacon.com, fullycookedbacon.com.
[03:17:19.000 --> 03:17:23.000]  It's free at fullycookedbacon.com.
[03:17:49.000 --> 03:17:53.000]  It's free at fullycookedbacon.com.
[03:18:19.000 --> 03:18:22.000]  Enjoy the full potential of protein-rich foods again.
[03:18:22.000 --> 03:18:27.000]  You can eat protein-heavy foods now, while minimizing the later indigestion and discomfort
[03:18:27.000 --> 03:18:29.000]  commonly associated with high meat diets.
[03:18:29.000 --> 03:18:34.000]  Just one pill with every high protein meal helps increase the bioavailability and absorption
[03:18:34.000 --> 03:18:37.000]  of amino acids, the building blocks to your muscles.
[03:18:37.000 --> 03:18:42.000]  Cardivore also contains digestive enzymes to help digest fats and carbohydrates, so you
[03:18:42.000 --> 03:18:45.000]  can fully digest all types of meals.
[03:18:45.000 --> 03:18:46.000]  Don't let a meal go to waste.
[03:18:46.000 --> 03:18:49.000]  Use carnivore by InfoWarsLife.
[03:18:49.000 --> 03:18:52.000]  Head to InfoWarsLife.com and secure your bottle now.
[03:18:52.000 --> 03:19:21.000]  That's InfoWarsLife.com.
[03:19:22.000 --> 03:19:29.000]  Now that we have over a half a century of information and information about the process
[03:19:29.000 --> 03:19:35.000]  of new foods, and excessive mucus production that begins studying the effects in their
[03:19:35.000 --> 03:19:40.000]  public trials, now we are introducing the fruit of the research, a fast-acting chewable
[03:19:40.000 --> 03:19:46.000]  tablet, just two tablets at the first sign of seasonal distress, and fast-acting pollen
[03:19:46.000 --> 03:19:51.920]  available now at infowarslife.com or by calling toll three triple eight two five
[03:19:51.920 --> 03:19:56.120]  three three one three nine
[03:19:57.600 --> 03:20:02.840]  you're listening to the Alex Jones show
[03:20:09.760 --> 03:20:14.440]  welcome back it's Doug Hagman syndicated TV and radio host incredible
[03:20:14.440 --> 03:20:19.240]  intel source they're on the east coast the president giving a speech at one of
[03:20:19.240 --> 03:20:23.160]  the new factories that's expanding here in the United States as we see record
[03:20:23.160 --> 03:20:26.880]  acceleration of our economy averages a few of the globalist constraints have
[03:20:26.880 --> 03:20:30.920]  been removed talking about we have them we have them now we've caught them with
[03:20:30.920 --> 03:20:35.360]  a memo five new memos coming out as we told you this is just the blueprint of
[03:20:35.360 --> 03:20:38.480]  the trees and then we get them to lie in the media then we release the new
[03:20:38.480 --> 03:20:44.200]  information exposing them not that we're masterminds the 5d chess is we're not
[03:20:44.200 --> 03:20:49.360]  lying the 5d chess is we mean well the 5d chest is we're not out to screw you
[03:20:49.360 --> 03:20:52.660]  and these criminals never get that they think they're so smart being criminals
[03:20:52.660 --> 03:20:55.960]  they don't get just being straight shooting is what built America and not
[03:20:55.960 --> 03:21:01.880]  being cowards so here's the president I think everybody's gonna be supportive we
[03:21:01.880 --> 03:21:07.320]  need people that are gonna do a great job and keep us in the right direction
[03:21:07.320 --> 03:21:15.000]  we need a badly through or it all goes back to where it was and worse oh but
[03:21:15.000 --> 03:21:18.880]  did we catch them in the act or what you know what I'm doing oh did we catch
[03:21:18.880 --> 03:21:24.120]  them in the act they are very embarrassed they never thought they were
[03:21:24.120 --> 03:21:40.160]  going to get caught we caught them hey we caught them are so much fun but like the great sleuth nothing
[03:21:40.160 --> 03:21:44.120]  succeeds like success I'm gonna turn this over to Doug Hagman I appreciate
[03:21:44.120 --> 03:21:47.600]  hosting this hour he had that incredible guest that ran over but I can't wait to
[03:21:47.600 --> 03:21:52.280]  hear it as I say we're not on the woods yet but let me tell you something we were
[03:21:52.280 --> 03:21:54.680]  getting our ass handed to us they're getting their ass handed to him right
[03:21:54.680 --> 03:21:57.920]  now as long as we continue to move forward that spirit we are unstoppable
[03:21:57.920 --> 03:22:02.240]  Doug Hagman what you got coming up today for us they what I'm gonna lay out
[03:22:02.240 --> 03:22:08.080]  some in that we have not pretty yet the difference between title one and section
[03:22:08.080 --> 03:22:13.680]  702 Donald Trump saying that we got him boy do we ever have him and it's worse
[03:22:13.680 --> 03:22:19.120]  than people really believe I'm gonna break this down also the five different
[03:22:19.120 --> 03:22:22.920]  memos you're talking about get into that a little bit more information packed to
[03:22:22.920 --> 03:22:27.960]  just looking forward to the next few segments Doug let's talk about the
[03:22:27.960 --> 03:22:32.280]  president's statement then we have you now let's let's discuss what where that
[03:22:32.280 --> 03:22:37.160]  goes and how they may strike back take over my friend all right thanks Alex
[03:22:37.160 --> 03:22:40.960]  and I appreciate the opportunity to sit for you I'm gonna tell everyone right
[03:22:40.960 --> 03:22:46.560]  now look the evidence is undeniable the new nose memo that was released last
[03:22:46.560 --> 03:22:50.800]  Friday of course is just the start just the tip of the iceberg because what is
[03:22:50.800 --> 03:22:56.080]  coming the documentation the foundational documents for that that
[03:22:56.080 --> 03:23:03.040]  executive summary that we saw is going to be so damning so critical so it will
[03:23:03.040 --> 03:23:09.160]  infuriate even I believe even members of the left of center that's how bad this
[03:23:09.160 --> 03:23:15.240]  is this is an attempted takeover as Alex has said is as David Knight has everyone
[03:23:15.240 --> 03:23:20.360]  has said this is an attempted takeover of our country of our Constitution not
[03:23:20.360 --> 03:23:25.200]  just the president not just the office of the presidency but of every one of us
[03:23:25.200 --> 03:23:28.760]  to reverse the election and also to install the globalist now if you listen
[03:23:28.760 --> 03:23:34.560]  to the last hour with Andre from Russia so much important information there and
[03:23:34.560 --> 03:23:38.480]  how this all ties together because at the root of everything it's the globalist
[03:23:38.480 --> 03:23:45.440]  it's the people who are attempting to manufacture an orchestrate in and whether
[03:23:45.440 --> 03:23:50.720]  through warfare or or I mean bombs bullets or ink what it used to be ink I
[03:23:50.720 --> 03:23:55.640]  guess but now the excitement of electric electrons over over the airways we're
[03:23:55.640 --> 03:24:01.640]  seeing is now the pushback against the orchestration of the globalists and now
[03:24:01.640 --> 03:24:05.720]  it's all coming apart the wheels are coming off their globalist bus
[03:24:05.720 --> 03:24:10.520]  sources driving and the globalist bus and the wheels are coming right off I
[03:24:10.520 --> 03:24:16.320]  mean get that and we're winning we are winning and they the and that's a good
[03:24:16.320 --> 03:24:21.800]  thing the globalists are afraid they're scared we've got them on the run and a
[03:24:21.800 --> 03:24:25.320]  critical component to all of this is knowledge now I've gotten a lot of emails
[03:24:25.320 --> 03:24:29.160]  over this past weekend from people who said you know really appreciate
[03:24:29.160 --> 03:24:32.680]  everything that you're saying really appreciate everything Alex is saying but
[03:24:32.680 --> 03:24:36.840]  what are we gonna do about it well exactly what we're doing about it this
[03:24:36.840 --> 03:24:41.000]  is as Alex says an information war and we need to get in front of the
[03:24:41.000 --> 03:24:45.800]  information we need to keep educating the people our neighbors our friends our
[03:24:45.800 --> 03:24:51.080]  colleagues the people will listen we can win on the numbers and we will win on
[03:24:51.080 --> 03:24:56.520]  the numbers don't ever give up we have to unite and we have to present a united
[03:24:56.520 --> 03:25:02.480]  front and the fact is this war is really going hot what I have discovered and
[03:25:02.480 --> 03:25:09.080]  what the the information with FISA surveillance it has so big you think
[03:25:09.080 --> 03:25:15.920]  it's bad you haven't heard how bad it actually is or was there was a piece by
[03:25:15.920 --> 03:25:21.600]  Cheryl Atkinson this weekend the difference between a section 702 the
[03:25:21.600 --> 03:25:26.600]  traditional FISA surveillance versus a title one surveillance and what happened
[03:25:26.600 --> 03:25:32.800]  to Carter page when you hear this when you hear the results from this when you
[03:25:32.800 --> 03:25:37.280]  when you understand exactly what has what what they have done with respect to
[03:25:37.280 --> 03:25:43.880]  Carter page what Lynch and and Comey but it all lies at the desk of Obama when
[03:25:43.880 --> 03:25:51.360]  you hear what they have done and how they entrapped Carter page and others
[03:25:51.360 --> 03:25:59.080]  within the Donald Trump concentric circles of influence you will be astounded
[03:25:59.080 --> 03:26:02.560]  you will be amazed and you will be angered because this information I'm
[03:26:02.560 --> 03:26:06.520]  bringing you a lot of information so getting right into it
[03:26:06.520 --> 03:26:10.040]  Cheryl Atkinson and this was reported by the conservative Treehouse as well
[03:26:10.040 --> 03:26:17.160]  Cheryl Atkinson had made a very important distinction about what the memo
[03:26:17.160 --> 03:26:23.880]  the the executive summary memo it really got into it and inside the House
[03:26:23.880 --> 03:26:27.240]  Permanent Select Committee on Intelligence that memo a key distinction
[03:26:27.240 --> 03:26:31.560]  that has been conflated or people really are not understanding the difference
[03:26:31.560 --> 03:26:36.040]  between a title one versus a title seven surveillance now you might think oh man
[03:26:36.040 --> 03:26:39.400]  this is boring leave me alone I don't want to hear this now you got to hear
[03:26:39.400 --> 03:26:44.160]  this because and it's not that difficult it's not it's really it's simple and
[03:26:44.160 --> 03:26:48.200]  look I've I've been involved as an operational asset with the Department
[03:26:48.200 --> 03:26:53.040]  of Justice and the FBI back in the 90s forgive me for that okay but but
[03:26:53.040 --> 03:26:56.760]  nonetheless I understand what it takes to get a warrant I understand what it
[03:26:56.760 --> 03:27:00.760]  takes to get a search warrant to get a wiretapping warrant I understand how it
[03:27:00.760 --> 03:27:06.280]  what it takes to go before US Attorney I understand what it is an operational
[03:27:06.280 --> 03:27:12.320]  asset what it takes to verify my bona fides on a warrant application I'm not
[03:27:12.320 --> 03:27:16.120]  talking about a FISA warrant I'm talking about a regular title seven or a regular
[03:27:16.120 --> 03:27:21.000]  court the US Magistrate Court warrant so I get it but what happened here the
[03:27:21.000 --> 03:27:27.600]  process was not just short-circuited but what happened here was that the the
[03:27:27.600 --> 03:27:32.720]  Department of Justice the FBI was so infiltrated by deep-state operatives
[03:27:32.720 --> 03:27:37.120]  working exactly for Hillary Clinton that they turned off all the fail-safe
[03:27:37.120 --> 03:27:42.960]  controls and engage in fraud there it is there it is and it wasn't an oops this
[03:27:42.960 --> 03:27:48.640]  was a we're gonna do it this way and this is exactly what happened and and how
[03:27:48.640 --> 03:27:54.600]  but the diabolical nature of this Alex is I gotta tell you the they took
[03:27:54.600 --> 03:28:02.080]  Carter Page in 2016 and just did not make him or describe him as a potential
[03:28:02.080 --> 03:28:12.200]  Russian asset title one designates him as a rush by period full stop and what
[03:28:12.200 --> 03:28:17.320]  happens there and then as Cheryl Atkinson and Constructions reported he is
[03:28:17.320 --> 03:28:23.280]  like patient zero in an Ebola pandemic because everyone he contacts everyone
[03:28:23.280 --> 03:28:28.880]  he's got contact with everyone who calls them emails him they convicted him like
[03:28:28.880 --> 03:28:33.680]  he was the son of in London exactly exactly but not only just Carter Page
[03:28:33.680 --> 03:28:38.280]  if I typed an email to you mentioning Carter Page whether it's in the body
[03:28:38.280 --> 03:28:42.560]  or the subject line they because it's a title one surveillance is opposed to a
[03:28:42.560 --> 03:28:47.640]  section 702 because we could it's a total drag net we're going to break you're on
[03:28:47.640 --> 03:28:54.200]  fire Doug Hagman straight ahead stay with us spread the live link are you
[03:28:54.200 --> 03:28:57.560]  happy washing your hands with harsh chemicals are you happy doing laundry
[03:28:57.560 --> 03:29:02.080]  with detergents are you happy paying high prices find your happiness with pure
[03:29:02.080 --> 03:29:06.680]  soap these all natural earth friendly pure soaps are the very best you've ever
[03:29:06.680 --> 03:29:12.760]  used buy in bulk get a 12 36 or 48 months to plot or get items individually and
[03:29:12.760 --> 03:29:16.480]  still save big you're getting soap products twice as good as what you're
[03:29:16.480 --> 03:29:21.040]  using now earth friendly and natural soaps your family deserves the best
[03:29:21.040 --> 03:29:26.040]  happiness is five-star soap calm why not put your money up the drain for a
[03:29:26.040 --> 03:29:32.920]  change see them at five-star soap calm recall 1-800-340-7091 for a catalog
[03:29:32.920 --> 03:29:37.000]  Calben soap company can save you thousands of dollars and give you good
[03:29:37.000 --> 03:29:41.680]  old-fashioned real soaps that are triple concentrated soaps made from vegetable
