[00:00.000 --> 00:10.000]  The globalist great error is to believe that as they collapse humanity they end up on top.
[01:14:44.000 --> 01:14:49.000]  He goes, with companies with nine billion market cap employing nine people.
[01:14:49.000 --> 01:14:51.000]  It's not reality.
[01:14:51.000 --> 01:14:54.000]  They've lost sight of what the world's about.
[01:14:54.000 --> 01:14:59.000]  Nine billion dollar company with nine employees.
[01:14:59.000 --> 01:15:03.000]  What the hell is that?
[01:15:03.000 --> 01:15:07.000]  And all these elites are getting armored fortresses, bodyguards.
[01:15:07.000 --> 01:15:08.000]  They're hiding out.
[01:15:08.000 --> 01:15:09.000]  They're all scared.
[01:15:09.000 --> 01:15:10.000]  You should be scared.
[01:15:10.000 --> 01:15:12.000]  What the hell's your problem?
[01:15:12.000 --> 01:15:14.000]  And it's not enough that you robbed everybody.
[01:15:14.000 --> 01:15:17.000]  Then you lecture everyone how free market's bad
[01:15:17.000 --> 01:15:20.000]  and want to pull the ladder up to the hot air balloon
[01:15:20.000 --> 01:15:22.000]  so nobody else can get up there with you.
[01:15:22.000 --> 01:15:25.000]  You're going to make people on the Titanic when they hit the iceberg.
[01:15:25.000 --> 01:15:27.000]  The captain tells the first class,
[01:15:27.000 --> 01:15:28.000]  get to the lifeboats.
[01:15:28.000 --> 01:15:31.000]  We're going to lock the doors to the poor people and steerage.
[01:15:31.000 --> 01:15:33.000]  This happened.
[01:15:33.000 --> 01:15:37.000]  So the lifeboats all leave on average 10% full.
[01:15:37.000 --> 01:15:43.000]  And so thousands die because the elite had to be taken care of.
[01:15:43.000 --> 01:15:45.000]  Same crap.
[01:15:45.000 --> 01:15:48.000]  You're going to sink the whole shit, dumbasses.
[01:15:48.000 --> 01:15:50.000]  You got to stop it.
[01:15:50.000 --> 01:15:52.000]  You're going to be cool.
[01:15:52.000 --> 01:15:54.000]  And all the idiots that bought into it, all the poor people,
[01:15:54.000 --> 01:15:55.000]  stop being chumps.
[01:15:55.000 --> 01:15:56.000]  Go with America.
[01:15:56.000 --> 01:15:58.000]  It'll deliver.
[01:15:58.000 --> 01:16:00.000]  Dr. Group, you developed Living Defense for us.
[01:16:00.000 --> 01:16:01.000]  It took you over a year to do it.
[01:16:01.000 --> 01:16:02.000]  Why is this so good?
[01:16:02.000 --> 01:16:05.000]  Because people are actually waking up to the problem
[01:16:05.000 --> 01:16:08.000]  that pretty much scares me the most.
[01:16:08.000 --> 01:16:11.000]  I mean, I try to make sure that I don't put toxins from food
[01:16:11.000 --> 01:16:13.000]  and water and beverages in my system.
[01:16:13.000 --> 01:16:17.000]  But right now we're dealing with massive parasites,
[01:16:17.000 --> 01:16:21.000]  anything that's harmful to your body that lives off a host mechanism.
[01:16:21.000 --> 01:16:25.000]  Right now with all the refugees spreading disease around,
[01:16:25.000 --> 01:16:27.000]  we have biological warfare going on everywhere.
[01:16:27.000 --> 01:16:29.000]  These are all parasites.
[01:16:29.000 --> 01:16:30.000]  Tell us about all the stuff that's said.
[01:16:30.000 --> 01:16:31.000]  There's so many things that are in it.
[01:16:31.000 --> 01:16:32.000]  You have the neem in there.
[01:16:32.000 --> 01:16:35.000]  You have the organic clove bud, the organic wormwood.
[01:16:35.000 --> 01:16:39.000]  I recommend doing a parasite cleanse at least twice a year.
[01:16:39.000 --> 01:16:40.000]  All right.
[01:16:40.000 --> 01:16:42.000]  Well, I'm glad we've got some back in because I'm going back on it today.
[01:16:42.000 --> 01:16:43.000]  It just came back in yesterday.
[01:16:43.000 --> 01:16:47.000]  Living Defense, infowarslife.com, and folks, you can't lose.
[01:16:47.000 --> 01:16:49.000]  It's full of stuff that's great for your body, period.
[01:16:49.000 --> 01:16:52.000]  And you support the broadcast, infowarslife.com.
[01:16:52.000 --> 01:16:54.000]  Thank you, Dr. Group, from the Global Healing Center.
[01:16:54.000 --> 01:17:22.000]  Thank you so much for all your work, sir, on this great product.
[01:17:24.000 --> 01:17:49.000]  Thank you so much for all your work, sir.
[01:17:49.000 --> 01:18:15.000]  Thank you so much for all your work, sir.
[01:18:15.000 --> 01:18:41.000]  Thank you so much, sir.
[01:18:41.000 --> 01:19:10.000]  Thank you so much, sir.
[01:19:10.000 --> 01:19:36.000]  Thank you, sir.
[01:19:36.000 --> 01:20:02.000]  Thank you, sir.
[01:20:02.000 --> 01:20:10.000]  You're listening to the Alex Jones Show.
[01:20:10.000 --> 01:20:18.000]  From the front lines of the Information War, it's Alex Jones.
[01:20:18.000 --> 01:20:19.000]  All right.
[01:20:19.000 --> 01:20:21.000]  I want to go to your phone calls in this segment and the next.
[01:20:21.000 --> 01:20:25.000]  And then I've got a lot of other news and clips I need to get to as well.
[01:20:25.000 --> 01:20:29.000]  Rand Paul, it's good to see him now, starting to get along with Trump.
[01:20:29.000 --> 01:20:33.000]  He says he's very pleased to see General Flynn and to be the National Security Advisor,
[01:20:33.000 --> 01:20:35.000]  who, as I said, the Iraq War was wrong.
[01:20:35.000 --> 01:20:36.000]  We targeted the wrong country.
[01:20:36.000 --> 01:20:38.000]  It should have been Saudi Arabia.
[01:20:38.000 --> 01:20:42.000]  It's just good people are getting in there, folks.
[01:20:42.000 --> 01:20:46.000]  Mad Dog Madness.
[01:20:46.000 --> 01:20:48.000]  People like that are just good.
[01:20:48.000 --> 01:20:49.000]  They're patriots.
[01:20:49.000 --> 01:20:51.000]  They're anti-New World Order.
[01:20:51.000 --> 01:20:55.000]  They're the type of people other countries are going to be scared of.
[01:20:55.000 --> 01:20:56.000]  They don't start fights.
[01:20:56.000 --> 01:20:58.000]  They finish them.
[01:20:58.000 --> 01:21:01.000]  And if Russia doesn't get in our business, Russia has nothing to worry about.
[01:21:01.000 --> 01:21:04.000]  China is going to get its ass kicked up one side and down the other.
[01:21:04.000 --> 01:21:09.000]  China's little attempted takeover of the U.S. the last couple of years is the real reason all this is happening.
[01:21:09.000 --> 01:21:11.000]  I can give you the inside baseball.
[01:21:11.000 --> 01:21:17.000]  Hillary Clinton is a confirmed Chinese agent who represents the president of China.
[01:21:17.000 --> 01:21:27.000]  Now, I told you that years before it came out in WikiLeaks, but I was told this by high-level DOD, high-level CIA.
[01:21:27.000 --> 01:21:34.000]  I mean, the treason just got so naked, Hillary was so full of hutzpah, bravada, that it was just over the top.
[01:21:34.000 --> 01:21:37.000]  And again, Drudge has a story up about the cult of Hillary.
[01:21:37.000 --> 01:21:40.000]  That's what I've always called it, alternates calling it tattoo.
[01:21:40.000 --> 01:21:42.000]  This is a repudiation of this cult.
[01:21:42.000 --> 01:21:45.000]  I mean, this crazy, warmongering criminal.
[01:21:45.000 --> 01:21:50.000]  I mean, I had problems with Bernie Sanders, socialism, but at least he has some credibility.
[01:21:50.000 --> 01:21:52.000]  He was who he said he was.
[01:21:52.000 --> 01:21:55.000]  He wasn't a warmongering mass murderer.
[01:21:55.000 --> 01:21:56.000]  And they stole the nomination from him.
[01:21:56.000 --> 01:21:58.000]  How can all these Democrats run around?
[01:21:58.000 --> 01:21:59.000]  I shot a video yesterday.
[01:21:59.000 --> 01:22:02.000]  I'm going to tell the story and go to a call from Sydney, Australia and others.
[01:22:02.000 --> 01:22:04.000]  But I went to a little diner.
[01:22:04.000 --> 01:22:06.000]  I like to go to an East Austin and go on there about a year.
[01:22:06.000 --> 01:22:08.000]  It's an old diner, but it's been refurbished.
[01:22:08.000 --> 01:22:09.000]  It's a nice place.
[01:22:09.000 --> 01:22:12.000]  And I go, you know, I want to shoot a video before we go in.
[01:22:12.000 --> 01:22:14.000]  And I'm in the back parking like no one's around.
[01:22:14.000 --> 01:22:17.000]  And two guys walk out and I see them kind of laughing at me and flipping me off.
[01:22:17.000 --> 01:22:19.000]  And I ignore them while I'm doing the Facebook mentions.
[01:22:19.000 --> 01:22:22.000]  They get in their car, drive by and go, F.U. Alex, it's on tape.
[01:22:22.000 --> 01:22:26.000]  And the video I was doing live was about bullying how they just are so pissed at us.
[01:22:26.000 --> 01:22:31.000]  So I go, I go inside an older guy, like 67 or so, 70 with his wife.
[01:22:31.000 --> 01:22:32.000]  He's dead.
[01:22:32.000 --> 01:22:33.000]  Wetter rings on.
[01:22:33.000 --> 01:22:34.000]  It comes in.
[01:22:34.000 --> 01:22:35.000]  I open the door.
[01:22:35.000 --> 01:22:36.000]  Oh, hi.
[01:22:36.000 --> 01:22:37.000]  Open the door.
[01:22:37.000 --> 01:22:38.000]  Let them in.
[01:22:38.000 --> 01:22:39.000]  I go and eat.
[01:22:39.000 --> 01:22:40.000]  And I'm walking out.
[01:22:40.000 --> 01:22:42.000]  We're going to the shooting range strangely enough and buckles behind me.
[01:22:42.000 --> 01:22:44.000]  And I'm there with some of the crew.
[01:22:44.000 --> 01:22:46.000]  We're going to meet Goose Yardie out there.
[01:22:46.000 --> 01:22:49.000]  We go shooting every, you know, three weeks.
[01:22:49.000 --> 01:22:54.000]  The shooting range is kind of close to East Austin, but we didn't have guns on us.
[01:22:54.000 --> 01:23:01.000]  It's just, you know, the back of the truck just filled with them and back of the SUV.
[01:23:01.000 --> 01:23:04.000]  And it comes out.
[01:23:04.000 --> 01:23:05.000]  It's just getting the car, getting the car.
[01:23:05.000 --> 01:23:06.000]  This guy's mad dogging him.
[01:23:06.000 --> 01:23:07.000]  Huh?
[01:23:07.000 --> 01:23:10.000]  I get in the car and parked right in the front and the guy comes out and his wife, I'm getting
[01:23:10.000 --> 01:23:13.000]  the car and his wife goes this way and he comes up and he bows up and he's bearing his
[01:23:13.000 --> 01:23:15.000]  teeth and I'm looking like, what's going on?
[01:23:15.000 --> 01:23:18.000]  He just shows me under his windbreaker, his gun.
[01:23:18.000 --> 01:23:21.000]  Like it was scaring me and I wasn't really even scared.
[01:23:21.000 --> 01:23:22.000]  I was more like, what?
[01:23:22.000 --> 01:23:26.000]  And then he kind of acts weird, like he was satisfied and walked around the corner.
[01:23:26.000 --> 01:23:28.000]  That's what Democrats are doing now.
[01:23:28.000 --> 01:23:31.000]  I mean, I can't go to liberal areas now.
[01:23:31.000 --> 01:23:32.000]  I've talked about this.
[01:23:32.000 --> 01:23:34.000]  They flip out folks.
[01:23:34.000 --> 01:23:36.000]  I mean, they're crazy.
[01:23:36.000 --> 01:23:38.000]  I'm like Mr. Americana.
[01:23:38.000 --> 01:23:40.000]  All I want is prosperity.
[01:23:40.000 --> 01:23:42.000]  All I want is lower taxes.
[01:23:42.000 --> 01:23:44.000]  There are armed communists marching all over Austin.
[01:23:44.000 --> 01:23:45.000]  It's not even on the news.
[01:23:45.000 --> 01:23:46.000]  No one even seems to care.
[01:23:46.000 --> 01:23:48.000]  Just God help us.
[01:23:48.000 --> 01:23:52.000]  I don't know what's happened in this country, but I tell you, I tell you, it's a crazy time.
[01:23:52.000 --> 01:23:56.000]  Okay, let's go to John in Sydney, the capital of Australia.
[01:23:56.000 --> 01:23:58.000]  Always want to visit that great continent.
[01:23:58.000 --> 01:24:00.000]  John, thank you for holding.
[01:24:00.000 --> 01:24:01.000]  Thanks for calling.
[01:24:01.000 --> 01:24:02.000]  You're on the air.
[01:24:02.000 --> 01:24:03.000]  Hi, Alex.
[01:24:03.000 --> 01:24:11.000]  I just wanted to talk about the incredible opportunity that Donald Trump has now and the example he's
[01:24:11.000 --> 01:24:19.000]  shown the patriots in America of one man standing up and entering the arena and what he's done just as one man.
[01:24:19.000 --> 01:24:26.000]  And I think it's an incredible opportunity for all the patriots in America to do their part in their own little way,
[01:24:26.000 --> 01:24:33.000]  whether it be dominating their local industry or entering into politics on all three levels of government.
[01:24:33.000 --> 01:24:40.000]  I think it's a testament to what power we can do as individuals when we enter the arena.
[01:24:40.000 --> 01:24:42.000]  You just said it.
[01:24:42.000 --> 01:24:44.000]  And think about this.
[01:24:44.000 --> 01:24:47.000]  He truly intends to just cut taxes and do fair stuff.
[01:24:47.000 --> 01:24:50.000]  They've had their foot on our neck.
[01:24:50.000 --> 01:24:56.000]  All he's got to do is take the foot off our neck and we're going to shore and look at how the euro's in trouble.
[01:24:56.000 --> 01:24:58.000]  Look at Russia pulling out of globalism.
[01:24:58.000 --> 01:25:03.000]  Look at how nationalism, I know in Australia nationalism is rising, correct?
[01:25:03.000 --> 01:25:09.000]  It is, but unfortunately there's a much smaller liberty movement here than in America.
[01:25:09.000 --> 01:25:14.000]  Although we do have less social problems, a lot of people are still...
[01:25:14.000 --> 01:25:15.000]  Well, let me caution you.
[01:25:15.000 --> 01:25:21.000]  I'm in Australia, I know you're great folks, kind of like compared to Texas, a lot of, you know, grassroots people.
[01:25:21.000 --> 01:25:23.000]  But listen, it starts small.
[01:25:23.000 --> 01:25:24.000]  It explodes quickly.
[01:25:24.000 --> 01:25:26.000]  That's why they're so scared of it, brother.
[01:25:26.000 --> 01:25:28.000]  I know they target the liberty movement in Australia.
[01:25:28.000 --> 01:25:31.000]  They wouldn't be doing that if they didn't know it had the scenes of victory.
[01:25:31.000 --> 01:25:32.000]  Sure.
[01:25:32.000 --> 01:25:40.000]  And the other thing is I would encourage Mr. Trump or President Trump to not go easy on the globalists
[01:25:40.000 --> 01:25:45.000]  because they're very dangerous at the moment and we do know they will strike back.
[01:25:45.000 --> 01:25:52.000]  I believe he should prosecute and arrest the globalists and do the biggest RICO case in history.
[01:25:52.000 --> 01:25:58.000]  I mean, we know they have trillions of stolen money over many, many decades.
[01:25:58.000 --> 01:26:01.000]  And I think that money should go back to the people of the United States.
[01:26:01.000 --> 01:26:04.000]  And by the way, Europe, Australia, we've all been robbed.
[01:26:04.000 --> 01:26:07.000]  China's been given the monopoly of rarest minerals in Australia.
[01:26:07.000 --> 01:26:09.000]  I mean, I've read about that.
[01:26:09.000 --> 01:26:11.000]  I mean, it's just outrageous.
[01:26:11.000 --> 01:26:18.000]  The other thing is I looked at the election numbers in a very detailed way with the demographics
[01:26:18.000 --> 01:26:23.000]  and the numbers look very, very fishy to me compared to 2012.
[01:26:23.000 --> 01:26:30.000]  There's a number of things that just don't look right when you actually analyze the election results, even down to certain counties.
[01:26:30.000 --> 01:26:31.000]  Well, sure, go over it.
[01:26:31.000 --> 01:26:35.000]  Bev Harris, who's a liberal Democrat, said they stole five states basically from Trump.
[01:26:35.000 --> 01:26:37.000]  It was a huge landslide.
[01:26:37.000 --> 01:26:43.000]  So she concurs that she saw precincts where 100% voted for Hillary in key battleground areas.
[01:26:43.000 --> 01:26:45.000]  I mean, this was happening.
[01:26:45.000 --> 01:26:54.000]  Do you think that a Trump administration will expose that fraud and potentially, you know, implicate the Democratic Party?
[01:26:54.000 --> 01:26:59.000]  Let me tell you, as soon as he gets in in 61 days, the gloves are off.
[01:26:59.000 --> 01:27:00.000]  They already know that.
[01:27:00.000 --> 01:27:02.000]  That's why they got Chuck Schumer slaming.
[01:27:02.000 --> 01:27:05.000]  He's going to try to block Senator Sessions.
[01:27:05.000 --> 01:27:11.000]  Sessions has the guts to prosecute as Attorney General.
[01:27:11.000 --> 01:27:12.000]  So we got to get him in.
[01:27:12.000 --> 01:27:13.000]  But I mean, what does that tell you?
[01:27:13.000 --> 01:27:19.000]  When Trump puts the guy saying prosecute the Clintons in as Attorney General, what is that signal?
[01:27:19.000 --> 01:27:25.000]  Well, it signals that he's serious about changing America and not just putting in milk.
[01:27:25.000 --> 01:27:26.000]  I agree.
[01:27:26.000 --> 01:27:29.000]  The death threats he's had, the stuff that's going on came in.
[01:27:29.000 --> 01:27:30.000]  I don't even know 10% of it.
[01:27:30.000 --> 01:27:31.000]  Let me tell you, it's epic.
[01:27:31.000 --> 01:27:34.000]  The people he's surrounding himself with are pure nationalists.
[01:27:34.000 --> 01:27:39.000]  He's got a few navigators like Priebus and folks in there to get stuff done, but Trump knows what he's doing.
[01:27:39.000 --> 01:27:42.000]  He is, he is kamikaze committed.
[01:27:42.000 --> 01:27:43.000]  Okay.
[01:27:43.000 --> 01:27:44.000]  That's why they're so scared.
[01:27:44.000 --> 01:27:45.000]  Trump is ready to die.
[01:27:45.000 --> 01:27:46.000]  He doesn't want to die.
[01:27:46.000 --> 01:27:51.000]  But that's why when they thought a guy was pulling a gun on him or whatever or the guy that tried to attack his other deal with a gun,
[01:27:51.000 --> 01:27:54.000]  Trump just stands up and the Secret Service has to drag him off.
[01:27:54.000 --> 01:27:57.000]  He just, he thinks there's a gun, he just stands up and gets ready to take it.
[01:27:57.000 --> 01:28:00.000]  I'm telling you, because he knows they kill him, he's an even bigger martyr.
[01:28:00.000 --> 01:28:03.000]  The guy is, he's heaven sent, man.
[01:28:03.000 --> 01:28:05.000]  I'm telling you, it's beautiful.
[01:28:05.000 --> 01:28:06.000]  Absolutely.
[01:28:06.000 --> 01:28:12.000]  And the other thing is, and I'm sure this is already being done, is he needs the support of all the patriots,
[01:28:12.000 --> 01:28:16.000]  especially the patriot leaders like yourself and others.
[01:28:16.000 --> 01:28:23.000]  And maybe you're already doing this, but I think people like you and Michael Savage should be writing blueprints
[01:28:23.000 --> 01:28:30.000]  for a President Trump, just because you're, you know, you've been doing this for decades and you know we're all...
[01:28:30.000 --> 01:28:31.000]  Well, I mean, let me look at this.
[01:28:31.000 --> 01:28:33.000]  The media has figured out that I do talk to Trump some.
[01:28:33.000 --> 01:28:35.000]  Here's the, he's his own man.
[01:28:35.000 --> 01:28:36.000]  He gets it.
[01:28:36.000 --> 01:28:37.000]  He knew this before I was born.
[01:28:37.000 --> 01:28:42.000]  But yes, Stephen Mannon knows as much as I do or more, he runs the show with Trump.
[01:28:42.000 --> 01:28:46.000]  And that's why they're crapping themselves, because Stephen Mannon is a patriot.
[01:28:46.000 --> 01:28:49.000]  He came from blue collar, hardworking liberal Democrats.
[01:28:49.000 --> 01:28:50.000]  He gets the betrayal.
[01:28:50.000 --> 01:28:51.000]  He says it.
[01:28:51.000 --> 01:28:52.000]  He hates them.
[01:28:52.000 --> 01:28:53.000]  He hates them.
[01:28:53.000 --> 01:28:54.000]  He's a real Democrat.
[01:28:54.000 --> 01:29:23.000]  So get ready, folks, for real populism.
[01:29:24.000 --> 01:29:28.000]  You're dealing with a health challenge, or if you're healthy and want to maintain your vigor and longevity,
[01:29:28.000 --> 01:29:33.000]  and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives
[01:29:33.000 --> 01:29:38.000]  to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats,
[01:29:38.000 --> 01:29:41.000]  and amino acids it needs to do its healing work.
[01:29:41.000 --> 01:29:44.000]  You need to check out InfowarsTeam.com.
[01:29:44.000 --> 01:29:46.000]  Give your body the gift of good nutrition.
[01:29:46.000 --> 01:29:48.000]  Head over to InfowarsTeam.com.
[01:29:48.000 --> 01:29:50.000]  Your body will be very grateful.
[01:29:50.000 --> 01:29:56.000]  On the web at InfowarsTeam.com. That's InfowarsTeam.com.
[01:30:21.000 --> 01:30:25.000]  And when it runs out, you start dying.
[01:30:25.000 --> 01:30:29.000]  We chose the PQQ because it has over 175 different clinical trials.
[01:30:29.000 --> 01:30:32.000]  It's one of the most effective substances in the world.
[01:30:32.000 --> 01:30:34.000]  It works like an antioxidant.
[01:30:34.000 --> 01:30:37.000]  It works to repair nerve growth factor.
[01:30:37.000 --> 01:30:40.000]  So this is a formula to deliver the maximum amount.
[01:30:40.000 --> 01:30:41.000]  It's in powder form.
[01:30:41.000 --> 01:30:44.000]  We have so many five-star reviews.
[01:30:44.000 --> 01:30:45.000]  I take this.
[01:30:45.000 --> 01:30:46.000]  This is the product that I take.
[01:30:46.000 --> 01:30:50.000]  InfowarsLife.com and the product we make, we fight the global.
[01:30:50.000 --> 01:30:51.000]  We fight the new world order.
[01:30:51.000 --> 01:30:54.000]  Secure your DNA force today at InfowarsLife.com.
[01:30:54.000 --> 01:31:17.000]  Or call toll-free 888-253-3139.
[01:31:24.000 --> 01:31:28.000]  Your family, your children, do the best job you can to purify your air.
[01:31:28.000 --> 01:31:31.000]  The elite are masters at poisoning our environment,
[01:31:31.000 --> 01:31:34.000]  while themselves doing things that mitigate or avoid
[01:31:34.000 --> 01:31:36.000]  most toxic effects for themselves.
[01:31:36.000 --> 01:31:38.000]  The general public doesn't.
[01:31:38.000 --> 01:31:42.000]  The Alexa Pure Breeze would be a steal at $300, $400, $500.
[01:31:42.000 --> 01:31:46.000]  One of these systems can keep 800 square feet incredibly clean.
[01:31:46.000 --> 01:31:48.000]  This is a system I'm personally putting in throughout my house,
[01:31:48.000 --> 01:31:52.000]  replacing older, more expensive filters that didn't do as good a job.
[01:31:52.000 --> 01:31:57.000]  Find out why this system is so revolutionary today at InfowarsStore.com.
[01:32:23.000 --> 01:32:25.000]  We need each day with our modern diets.
[01:32:25.000 --> 01:32:29.000]  Secure 12 by InfowarsLife is an easy way to naturally upgrade
[01:32:29.000 --> 01:32:33.000]  your vitamin B12 intake and support your body's natural systems.
[01:32:33.000 --> 01:32:38.000]  It pairs two forms of vitamin B12 into one explosive formula.
[01:32:38.000 --> 01:32:41.000]  Vitamin B12 supports healthy energy levels through red blood cell formation
[01:32:41.000 --> 01:32:44.000]  and aiding in the body's natural processes.
[01:32:44.000 --> 01:32:47.000]  But it also assists with many other functions of the body.
[01:32:47.000 --> 01:32:50.000]  Electrify your mind and body and take your health to the next level.
[01:32:50.000 --> 01:32:54.000]  Experience the power of Secure 12 at InfowarsLife.com.
[01:32:54.000 --> 01:32:57.000]  That's InfowarsLife.com.
[01:32:57.000 --> 01:33:01.000]  You're listening to the Alex Jones show.
[01:33:19.000 --> 01:33:21.000]  I'm going to be honest with people right now.
[01:33:21.000 --> 01:33:23.000]  That's all I can do.
[01:33:23.000 --> 01:33:25.000]  I'm a part of a cult.
[01:33:25.000 --> 01:33:27.000]  There's always a change.
[01:33:27.000 --> 01:33:31.000]  And we have a dream for the Republic to be great again.
[01:33:36.000 --> 01:33:39.000]  Waging war on corruption.
[01:33:39.000 --> 01:33:42.000]  It's Alex Jones coming to you live
[01:33:42.000 --> 01:33:46.000]  from the frontlines of the InfowarsLife.
[01:33:46.000 --> 01:33:48.000]  There's a crazed abandon.
[01:33:48.000 --> 01:33:50.000]  You tune into the greatness of the Republic
[01:33:50.000 --> 01:33:53.000]  and the Providence that is America.
[01:33:53.000 --> 01:33:54.000]  And I can tell you, Donald Trump,
[01:33:54.000 --> 01:33:59.360]  And people like that, I don't know about Renz Priebus and all them, they really understand
[01:33:59.360 --> 01:34:03.720]  we've been screwed over and it's not about pissing on other countries, it's about letting
[01:34:03.720 --> 01:34:04.720]  America shine.
[01:34:04.720 --> 01:34:09.760]  It's under globalism, you can't have that country that dominates and they understand
[01:34:09.760 --> 01:34:15.880]  what they're releasing and it's just this thrill that we're there presiding over releasing
[01:34:15.880 --> 01:34:18.400]  the Kraken.
[01:34:18.400 --> 01:34:22.120]  You want the big secret, that's why the enemy is so pissed right now.
[01:34:22.120 --> 01:34:26.160]  We want to turn people loose, we want to have the dynamo run wild, we want the American
[01:34:26.160 --> 01:34:30.480]  system to dominate and totally mount globalism on the wall.
[01:34:30.480 --> 01:34:39.560]  I mean it's awesome, it's real, it's proven itself, it's power, raw, independent, free
[01:34:39.560 --> 01:34:45.120]  association, not a bunch of creepy bankers screwing people over, trying to make poor
[01:34:45.120 --> 01:34:48.520]  people poor so you can rule over them.
[01:34:48.520 --> 01:34:51.280]  What the hell is that?
[01:34:51.280 --> 01:34:57.560]  Giving them a loose, sure some of us might be above them but it doesn't matter, the real
[01:34:57.560 --> 01:35:04.880]  pleasure in life is seeing people excel but those of us that love liberty and love justice
[01:35:04.880 --> 01:35:06.800]  are blind.
[01:35:06.800 --> 01:35:11.600]  We're not like these scumbags that want to see people under their control, we got to
[01:35:11.600 --> 01:35:14.480]  get in their mind folks.
[01:35:14.480 --> 01:35:17.040]  Now I wanted to get Larry Nichols just to pop in, he's coming up later in the week for
[01:35:17.040 --> 01:35:21.360]  longer, former top Clinton insider to give us his take on the appointments that are happening,
[01:35:21.360 --> 01:35:24.520]  all I care about is Ford's coming back, Apple says they're coming back, the Globals are
[01:35:24.520 --> 01:35:29.520]  crapping their pants, Bannon is talking about the return of 1776, it's all pure veritas
[01:35:29.520 --> 01:35:33.680]  and breaking the back of the globalists and actually empowering the impoverished, I mean
[01:35:33.680 --> 01:35:40.160]  it's beautiful, it's real, it's got the system panicking.
[01:35:40.160 --> 01:35:46.400]  Globalisms in crisis everywhere, Turkey's pulling out of the EU, the new world order
[01:35:46.400 --> 01:35:52.640]  is in crisis, the EU is a sub-American instruction for our power, it's against us, let it fall.
[01:35:52.640 --> 01:35:58.000]  We've got Larry here in a minute, let's go to phone calls, who's up first here, Michael
[01:35:58.000 --> 01:35:59.840]  in Dallas, you're on the air.
[01:35:59.840 --> 01:36:05.080]  Hey Alex, thank you for taking my call, I just want to preface real quick, I'm an
[01:36:05.080 --> 01:36:10.360]  Advent InfoWars supporter, I've been taking Supermail Vitality for more than two years,
[01:36:10.360 --> 01:36:15.360]  I've spent thousands of dollars supporting the InfoWars, I have five pounds of Pritzner
[01:36:15.360 --> 01:36:19.760]  t-shirt, thank you, you're awesome, I wouldn't be here without you, I thank you, go ahead.
[01:36:19.760 --> 01:36:25.400]  Well you got it, so that being said, I want to talk about your Jesse Ventura interview
[01:36:25.400 --> 01:36:32.760]  and it's relevant to the protest and against the Electoral College, Mr. Ventura substantiated
[01:36:32.760 --> 01:36:41.080]  his claim that the Electoral College is no good by comparing them to a senatorial and
[01:36:41.080 --> 01:36:48.560]  governor election, well, here's where Mr. Ventura is dead wrong, the presidential election
[01:36:48.560 --> 01:36:57.520]  is the only general election that involves all 50 states, from governor to door catcher,
[01:36:57.520 --> 01:37:04.920]  it is confined to the state to which you reside, so naturally those would be up and down votes,
[01:37:04.920 --> 01:37:11.640]  but there was no Electoral College out there, California would have decided the fate of
[01:37:11.640 --> 01:37:12.640]  this country.
[01:37:12.640 --> 01:37:16.120]  Sir, sir, I'm for the Electoral College, let me be clear, I've known Ventura, I'm
[01:37:16.120 --> 01:37:21.000]  loyal to friends, I've known him ten years, he has gotten more and more Democrat, I think
[01:37:21.000 --> 01:37:25.720]  he's bullied by Hollywood and I just, you know, he has to come on the show, I don't
[01:37:25.720 --> 01:37:29.280]  want to sit here and you know, I mean it's very annoying, I mean I absolutely get what
[01:37:29.280 --> 01:37:34.520]  you're saying and obviously Trump's the populist, obviously the elite tried to beat him, obviously
[01:37:34.520 --> 01:37:39.320]  the Liberty Movement took over the Republican Party, obviously this is a delicious day and
[01:37:39.320 --> 01:37:44.080]  he knows Donald Trump, they know each other, they've hung on a lot for 30 years and it's
[01:37:44.080 --> 01:37:47.840]  just like, it's just crazy, believe me.
[01:37:47.840 --> 01:37:54.680]  Well, he's un-American as far as I'm concerned Alex, so he's no friend to you, he's no friend
[01:37:54.680 --> 01:37:58.680]  to me, he's no friend to this country and then he was staying half, he's going to go
[01:37:58.680 --> 01:38:03.200]  back to Mexico, but you know what, go back to Ventura and keep your limp, tartary and
[01:38:03.200 --> 01:38:06.400]  mouth shut, because we don't need you.
[01:38:06.400 --> 01:38:10.440]  Let me just add this point, I love Mexico, it has great resources, great people, it never
[01:38:10.440 --> 01:38:15.520]  got a free system, it was always about insiders, it was always about gangs and so you look
[01:38:15.520 --> 01:38:20.040]  at the Texas border with Mexican cities, nice border with Texas, horrible over the border,
[01:38:20.040 --> 01:38:23.600]  I don't like that, I don't go, oh good, we're better than them, I know their system has
[01:38:23.600 --> 01:38:29.480]  fallen, it's sad, we're going to go that way, the globalists want that and so I hear what
[01:38:29.480 --> 01:38:34.640]  you're saying, I don't get into Ventura bashing fest, I don't even have Ventura on that much
[01:38:34.640 --> 01:38:37.640]  because I don't want to tear into it, you know, I've got a weak spot for people I've
[01:38:37.640 --> 01:38:42.040]  known forever, but actually I agree with you and I hear what you're saying, I absolutely
[01:38:42.040 --> 01:38:47.520]  hear what you're saying and between Hillary and Trump, there was no choice, now he had
