[00:00.000 --> 00:10.000]  Ladies and gentlemen, it's Sunday, October 24th, 2021.
[1:20:59.240 --> 1:21:04.080]  ivermectin even though we've already done the tests and it worked. And then you have
[1:21:04.080 --> 1:21:12.920]  El Paso's Dr. Edward Michelson leads active six national ivermectin study. So Dr. Bartlett,
[1:21:12.920 --> 1:21:17.720]  am I now allowed to talk about ivermectin for treating COVID? Are we now allowed to
[1:21:17.720 --> 1:21:22.040]  talk about it a year and a half later or are we still deciding whether we're allowed to
[1:21:22.040 --> 1:21:27.480]  talk about it? Well, we're not only allowed to talk about it, Owen, but now it's got
[1:21:27.480 --> 1:21:34.840]  serious studies going at Texas Tech University, my alma mater. I went to Texas Tech and love
[1:21:34.840 --> 1:21:40.840]  it. And so this is a branch in El Paso and kudos to them for actually thinking about
[1:21:40.840 --> 1:21:46.600]  science and saying instead of using propaganda and smear campaigns, they want to look at the
[1:21:46.600 --> 1:21:53.960]  science. So they're doing a study. They have I think 1.7 million given to them by the NIH.
[1:21:53.960 --> 1:22:04.320]  And I think that at least we'll have another layer of science about ivermectin specifically
[1:22:04.320 --> 1:22:10.280]  against COVID. So to say that it's not relevant, that it's not a reasonable thing to consider,
[1:22:10.280 --> 1:22:15.520]  well, apparently the NIH hasn't heard that. Apparently Texas Tech hasn't heard that. And
[1:22:15.520 --> 1:22:19.840]  they think that there's something that we need to look at and we need to have more information.
[1:22:19.840 --> 1:22:25.960]  I got to say, just by the fact that we're having a major study done at a prestigious
[1:22:25.960 --> 1:22:34.160]  university, Texas Tech University in El Paso, supported by the NIH with funding, we should
[1:22:34.160 --> 1:22:40.720]  be talking about ivermectin and COVID. But I'll tell you, it may not be pleasant for
[1:22:40.720 --> 1:22:46.080]  people who don't want a readily available, inexpensive solution. But I'll tell you,
[1:22:47.440 --> 1:22:54.480]  Udesinide was proven by Oxford University in two randomized controlled trial, the Stoic trial,
[1:22:54.480 --> 1:22:59.280]  the principal trial. And that hasn't gotten a lot of press in the mainstream media.
[1:22:59.280 --> 1:23:03.840]  Oxford concluded that 90% of hospitalizations in ER visits would be prevented with just
[1:23:03.840 --> 1:23:09.360]  one medicine study to get COVID. Udesinide, what are we going to find with ivermectin?
[1:23:09.360 --> 1:23:13.920]  And, you know, we've already seen that monoclonal antibodies are effective as well.
[1:23:13.920 --> 1:23:19.840]  So we have many tools that are beneficial in early effective outpatient treatment. That totally
[1:23:19.840 --> 1:23:27.360]  is a different track than a vaccine agenda. And, but I think that this is very exciting.
[1:23:27.360 --> 1:23:32.640]  And we're talking about science. And we're not talking about ventilators, by the way.
[1:23:33.280 --> 1:23:37.760]  Or bags over the heads. I have to tell you, though, I'm a little more cynical because
[1:23:37.760 --> 1:23:42.800]  I've already seen enough evidence from doctors that have been using ivermectin for a year now,
[1:23:42.800 --> 1:23:47.920]  with tens of thousands of patients and outpatient studies. And it's already proven to work,
[1:23:47.920 --> 1:23:51.680]  along with Udesinide and a lot of other things that we know are out there. So I'm a little
[1:23:51.680 --> 1:23:56.720]  more cynical thinking that this is the NIH basically trying to cover themselves and say,
[1:23:56.720 --> 1:24:01.760]  oh, no, see, we did test ivermectin. We did test it. See, it wasn't just about the vaccine,
[1:24:01.760 --> 1:24:05.200]  just so they can make that argument. And then who knows? I mean,
[1:24:05.200 --> 1:24:10.000]  maybe they get a result that they want. Maybe they come out and say, oh, nope,
[1:24:10.000 --> 1:24:14.560]  ivermectin doesn't work to facilitate their own narrative. Or maybe they come out and say,
[1:24:14.560 --> 1:24:18.080]  it does work, to which we would say, hey, yeah, we've known that for over a year.
[1:24:18.080 --> 1:24:23.440]  So I'm a little more cynical than you are. But what are you expecting to come from these studies?
[1:24:24.320 --> 1:24:28.560]  Well, I'm going to look at the studies to make sure that they were set up appropriately,
[1:24:28.560 --> 1:24:34.080]  that they weren't set up to fail before they started, and then interpret the data.
[1:24:34.080 --> 1:24:41.440]  You know, I'm a man of science and a man of medicine. And so I'm used to looking at the facts
[1:24:41.440 --> 1:24:45.680]  and then weighing the risks and the benefits. And I got to say, there is a tremendous amount of
[1:24:45.680 --> 1:24:52.640]  evidence about ivermectin and its effectiveness already, and its safety already. But it doesn't
[1:24:52.640 --> 1:25:03.280]  hurt to have more evidence. I'm eager to have them publish their findings. And I hear your cynicism.
[1:25:03.280 --> 1:25:08.560]  I hear your concern because a lot of the things have been crazy. But at least the study can
[1:25:08.560 --> 1:25:15.760]  validate what many other studies have already proven. Well, let me just get your overall
[1:25:15.760 --> 1:25:23.520]  take on where we're at now. Because to me, I mean, I don't think that we should really have any sort
[1:25:23.520 --> 1:25:28.880]  of fear for COVID from COVID, at least to the point of locking economies down or shutting
[1:25:28.880 --> 1:25:35.280]  businesses down or mandating vaccines, for sure. I would say, you know, yeah, maybe it's worse than
[1:25:35.280 --> 1:25:40.800]  a seasonal flu. But, you know, overall, it shouldn't really be impacting us like it is.
[1:25:41.760 --> 1:25:45.680]  Where are you with all this right now? Because it seems to be the virus that'll never go away.
[1:25:45.680 --> 1:25:49.680]  It seems to be the virus that'll never go away. Not in the terms of, oh, you should be afraid of
[1:25:49.680 --> 1:25:54.800]  getting it. But in the terms of, well, all the economic impact, the societal impact, the cultural
[1:25:54.800 --> 1:25:59.840]  impact, the impact to the medical industry, it seems like that's never going to change. But where
[1:25:59.840 --> 1:26:04.960]  are you at on just the overall aspects of where we're at with COVID and where we're at with all
[1:26:04.960 --> 1:26:10.880]  the COVID protocols? Well, you know, in one month that the infusion center I was at, I was there
[1:26:10.880 --> 1:26:16.240]  for three weeks. And in that month, we had used approximately 1200 patients, quite a few of them.
[1:26:16.240 --> 1:26:21.600]  I'd say a high percentage were already vaccinated, and they were shocked they were there and sick
[1:26:21.600 --> 1:26:27.760]  and needing that. But the good news is this is a disease that needs to be taken seriously.
[1:26:27.760 --> 1:26:32.480]  But we have effective treatments. And if you would let the public know that the treatments are here
[1:26:32.480 --> 1:26:38.640]  and readily available, then we can have normal society. We should have normal society. It's
[1:26:38.640 --> 1:26:44.160]  actually counterproductive. It's been proven to be counterproductive to shut schools, to do lockdowns,
[1:26:44.160 --> 1:26:51.760]  all the things that really were initially tried in China, but in a communist country. But a better,
[1:26:51.760 --> 1:26:57.520]  our community, let me just reiterate again, when we started making the community aware of the
[1:26:57.520 --> 1:27:02.160]  monoclonal antibody infusion center, and also that gave us opportunity to talk about Udesnide
[1:27:02.160 --> 1:27:08.080]  and other tools that you just talked about in our community, the numbers are going down.
[1:27:08.080 --> 1:27:15.120]  In Midland, the Midland and Odessa hospitals were all on diversion. If someone had a heart attack
[1:27:15.120 --> 1:27:19.440]  at another ER, they couldn't transfer them to those ERs. They had to be on diversion.
[1:27:20.400 --> 1:27:25.920]  We had over 110 COVID patients, I believe, at one point in medical, in Midland Memorial, over 107
[1:27:25.920 --> 1:27:32.160]  at Medical Center. The latest numbers are 32. It went from 107 down to 32 at Medical Center. And
[1:27:32.160 --> 1:27:38.000]  Midland Memorial was in the low 40s after being at 110. Both hospitals are open for business for
[1:27:38.000 --> 1:27:43.040]  normal disasters that would happen like stroke, heart attack, car wrecks. People used to be
[1:27:43.040 --> 1:27:48.720]  on diversion to other communities, which is bad medicine, because there is a golden hour in Fama.
[1:27:48.720 --> 1:27:52.640]  And you're losing that time on the road with people that could live or die. And so
[1:27:54.720 --> 1:28:00.800]  we say time is memory, time is brain, time is heart. When you're dealing with these crises,
[1:28:00.800 --> 1:28:06.640]  so it was affecting everything. We should have normal healthcare communities doing normal care
[1:28:06.640 --> 1:28:12.880]  again. And early effective outpatient treatment should be the norm. It should be offered to
[1:28:12.880 --> 1:28:17.600]  every American, early effective outpatient treatments that have been proven in multiple
[1:28:17.600 --> 1:28:23.040]  randomized controlled files. And so we're seeing the effect in our community. I wish this for
[1:28:23.040 --> 1:28:30.240]  everyone in Texas that they would see the promotion. People would get the information
[1:28:30.240 --> 1:28:35.920]  of where the monoclonal antibody infusion centers are. And the doctors would know about the
[1:28:35.920 --> 1:28:40.640]  Stoic trial, the principle trial. But also we're seeing some people come out of the hospital if
[1:28:40.640 --> 1:28:44.480]  they're given to you. Imagine if they were promoting those, those instead of just the
[1:28:44.480 --> 1:28:48.240]  vaccine tents, where you could actually get stuff. But I was going to let you go. I got
[1:28:48.240 --> 1:28:52.000]  one more question I got to ask you on the other side about how now they're claiming that the
[1:28:52.000 --> 1:29:21.120]  COVID vaccine will just stop you from dying from anything. It's just a miracle cure. Now there is very little contemporary study in the world of the planet's ruling class, not in communist China, not in Mexico, not in the United States, not anywhere. Is there a real study of the planet's ruling class? And that's done by design. The large central banks that basically control the planet will penalize and target any
[1:29:21.120 --> 1:29:27.120]  academics that look into, say, the Anglo-American establishment, the sound of the Bilderberg group, the
[1:29:27.120 --> 1:29:31.600]  Trilateral Commission, the United Nations, the whole project, the Rothschilds and the Rockefellers.
[1:29:32.480 --> 1:29:37.440]  Until 10 years ago, the media said the controlled corporate media, the Bilderberg group, didn't exist.
[1:29:38.160 --> 1:29:42.880]  Well, now the Bilderberg group is public in its former head, still on the steering committee,
[1:29:42.880 --> 1:29:48.800]  is Klaus Schwab, and he has set up the great reset in global government. And if, as a Liberty
[1:29:48.800 --> 1:29:53.440]  movement worldwide, we don't address the globalist head on, about the second thing, or worldwide
[1:29:53.440 --> 1:29:57.760]  authoritarian corporate takeover, we don't have a shot. We do expose them, we can beat them easily.
[1:29:57.760 --> 1:30:02.480]  By now, you've heard me talk about the Bio Pros and how they're creating amazing products. They've
[1:30:02.480 --> 1:30:08.960]  done it again and have just released an entire suite of bio remediation products, bringing industrial-level
[1:30:08.960 --> 1:30:13.840]  technology to the everyday consumer. They're literally changing the industry with a revolutionary
[1:30:13.840 --> 1:30:19.920]  patented delivery system. The Bio Pros are excited to release Bio RV Pro, a product specifically
[1:30:19.920 --> 1:30:25.840]  designed to establish healthy, black and or gray water holding tanks. Bio RV Pro digests grease,
[1:30:25.840 --> 1:30:31.280]  fats, oils, sludge, paper, and organic matter with ease. It is also human and animal safe.
[1:30:31.280 --> 1:30:36.400]  Get up to 20 treatments, coupled with an easy application scoop. Just pour and flush, it's
[1:30:36.400 --> 1:30:41.680]  that simple. It contains no chemicals, no GMOs, and is safe for black, gray holding tanks,
[1:30:41.680 --> 1:30:47.200]  sewer hoses, and plumbing. Say goodbye to holding tank problems, gas buildup, and odor,
[1:30:47.200 --> 1:31:17.040]  guarantee, stick it to the stinky slinky with Bio RV Pro. Visit thebiopros.com and see for yourself.
[1:31:17.440 --> 1:31:22.640]  So that's why I repeat that famous internet saying that nobody knows who first came up with the boy
[1:31:22.640 --> 1:31:31.680]  is it true. The propaganda would not be necessary if the situation was hopeless. They need all the
[1:31:31.680 --> 1:31:38.560]  propaganda and all their lies and all their evil and all their cultural death because they know
[1:31:38.560 --> 1:31:43.680]  we are strong and they know in the end they signed on to God of this world who is a loser.
[1:31:43.680 --> 1:31:47.680]  And that's why it's so important that everybody keep them full wars in the air now more than ever
[1:31:47.680 --> 1:31:52.080]  because even if you don't believe in God, what the globalists are manifesting and setting up
[1:31:52.080 --> 1:31:56.800]  is safe handling. And we are opposing the one world government and the mark of the beast they just
[1:31:56.800 --> 1:32:03.680]  announced. I want to explain something that is absolutely key to understanding our world. It's
[1:32:03.680 --> 1:32:09.040]  very, very simple, but the most people don't know. The privately owned central banks of the world
[1:32:09.040 --> 1:32:16.480]  are artificially creating thousands of trillions of dollars and other major currencies and using
[1:32:16.480 --> 1:32:23.920]  them to buy up infrastructure, intellectual property, energy. They're using it to buy people,
[1:32:23.920 --> 1:32:30.080]  to buy influence. And in the past they created thousands of trillions so that they could leverage
[1:32:30.080 --> 1:32:34.720]  that manipulated markets but they never allowed that money to get into the general circulation
[1:32:34.720 --> 1:32:39.760]  or it would cause massive inflation. Now they've gone ahead and weaponized it and are flooding
[1:32:39.760 --> 1:32:45.120]  every sector of the world economy buying up everything not to have the companies operate
[1:32:45.120 --> 1:32:50.320]  but to actually shut them down and force the collapse of civilization making the companies
[1:32:50.320 --> 1:32:55.200]  they do fund the only things left standing. This is the great reset. This is what's happening now.
[1:32:55.200 --> 1:33:06.400]  Warn everyone. It's the only way to stop it. You're listening to the Alex Jones show.
[1:33:06.400 --> 1:33:32.720]  We got Dr. Richard Bartlett still with us. I had to ask him this question because I saw this headline.
[1:33:32.720 --> 1:33:40.160]  Here's the headline in the Jerusalem Post. People vaccinated against COVID-19 less likely to die
[1:33:40.160 --> 1:33:46.320]  of other causes. Those who received the Pfizer, Moderna or J&J vaccines are less likely to die
[1:33:46.320 --> 1:33:51.440]  from non-COVID related causes according to a CDC study. And the guys, what was the CNN headline?
[1:33:51.440 --> 1:33:56.720]  That one was even more egregious. Basically saying you're basically immortal. People vaccinated against
[1:33:56.720 --> 1:34:02.800]  COVID-19 less likely to die from any cause. So you're immortal from these vaccines now.
[1:34:04.080 --> 1:34:08.960]  Dr. Richard Bartlett, what is your response to this ludicrous claim?
[1:34:10.080 --> 1:34:17.280]  Wow. Speechless. I think there was a gentleman named General Colin Powell who was fully vaccinated
[1:34:17.280 --> 1:34:25.280]  who's not breathing. That's what I heard. I don't know if that was just hearsay,
[1:34:25.280 --> 1:34:29.920]  but I believe it was probably true. And so someone was fully vaccinated, died.
[1:34:30.800 --> 1:34:39.920]  And unfortunately, if you go to the CDC website and look at the VARS data, it looks like a lot
[1:34:39.920 --> 1:34:44.800]  of people have died from the vaccine, but it doesn't look like it kept them from dying.
[1:34:48.320 --> 1:34:54.480]  It seems to be contradicting with a lot of evidence. And so I go with evidence-based medicine.
[1:34:54.480 --> 1:35:02.000]  I go with facts. At some point, you've got to say I'm not interested in fiction anymore. I want
[1:35:02.000 --> 1:35:07.680]  science and facts. And so I don't think this is a cure-all. I think we've seen the best that
[1:35:07.680 --> 1:35:12.240]  it has to offer. And I see that the numbers of its effectiveness are dropping in Israel.
[1:35:13.120 --> 1:35:19.200]  And so I think there's an early effective outpatient treatment therapy strategy.
[1:35:19.200 --> 1:35:27.520]  You can look at doctors around the country are using this. The Budesonide, the monoclonal antibodies,
[1:35:27.520 --> 1:35:32.480]  many doctors are using ivermectin, usually a combination of medicines. Dr. Peter McCullough
[1:35:32.480 --> 1:35:38.800]  is a brilliant doctor out of Dallas, Fort Worth, and he's written many papers about early effective
[1:35:38.800 --> 1:35:46.560]  outpatient treatment. This is not a new idea to treat a disease with early treatment instead
[1:35:46.560 --> 1:35:51.520]  of waiting for late care only or to try to come up with a vaccine for a pandemic. What happened
[1:35:51.520 --> 1:36:00.000]  with the H1N1 pandemic of 2009, not one vaccine? Somehow that didn't cause a hiccup in our economy.
[1:36:00.000 --> 1:36:05.520]  It didn't shut down one school. We didn't have mandates. We didn't talk about five-year-olds
[1:36:05.520 --> 1:36:11.360]  getting this and putting them... There's a real risk of myocarditis with young men
[1:36:11.360 --> 1:36:19.840]  dying from the vaccine. And I don't see this being talked about by CNN. Maybe I'm missing it.
[1:36:20.880 --> 1:36:25.680]  No, they're not talking about it. But maybe that's the thing is they just forgot to add the little
[1:36:26.800 --> 1:36:32.880]  asterisk there, which is these vaccines will stop you from dying from any other cause except
[1:36:32.880 --> 1:36:39.040]  a vaccine death maybe. Maybe that's the one thing they missed out on. It just shows how ridiculous
[1:36:39.040 --> 1:36:44.640]  this... The lengths that they're willing to go to to promote this vaccine and the lengths they're
[1:36:44.640 --> 1:36:49.680]  willing to go to to scuttle efforts made by yourself and others to treat people with ivermectin
[1:36:49.680 --> 1:36:56.320]  or buidesinine or the antibody, the monoclonal antibodies. I mean, it just shows how there's
[1:36:56.320 --> 1:37:00.800]  only two things that work and that's a mask and a vaccine. And even though neither of them have
[1:37:00.800 --> 1:37:04.320]  worked that well, we're still going to mandate those and we're going to ignore all the rest of
[1:37:04.320 --> 1:37:10.480]  the treatments. I think that really says a lot about where the experts or the leaders in health
[1:37:10.480 --> 1:37:14.480]  are at the current time. Dr. Bartlett, anything else you want to say before we let you go?
[1:37:15.280 --> 1:37:19.040]  No, you know, bottom line at the beginning of the story, we're talking about a hospital that's
[1:37:19.040 --> 1:37:28.000]  still under active investigation. We talked about the fact that the NIH is supporting
[1:37:28.000 --> 1:37:37.920]  studies of ivermectin against COVID at the El Paso branch of Texas Tech University.
[1:37:37.920 --> 1:37:43.520]  And so these things are still not settled that ivermectin does not work. Actually,
[1:37:43.520 --> 1:37:48.240]  there's a lot of studies that support ivermectin and we're going to see another study very soon.
[1:37:49.040 --> 1:37:54.160]  So early effective outpatient treatments where it's at, that is saving lives. Keep it boring.
[1:37:54.160 --> 1:37:58.800]  Don't get in the hospital and be put on a ventilator. Don't wait on it. Don't sit on it.
[1:37:58.800 --> 1:38:02.880]  This is killing a lot of people. It's a real disease. It's one that we've never had before,
[1:38:02.880 --> 1:38:07.680]  but we have answers. And so we don't need to be in fear. You know, we've been in a war on terror
[1:38:08.320 --> 1:38:16.240]  since 2001, a war on terror. Well, I'll tell you terror and fear have been the hallmark of this
[1:38:16.240 --> 1:38:21.440]  pandemic. That has been promoted. And I'll say at the bottom, we need common sense. We need
[1:38:21.440 --> 1:38:29.120]  discernment. We need critical thinking. This fear tactic can only go so far. And I think we're at the
[1:38:29.120 --> 1:38:34.000]  point where people are saying enough is enough. You know, you're not going to put a plastic bag
[1:38:34.000 --> 1:38:39.040]  over grandma or over my teenager. You're not going to these things that you can say and then say COVID
[1:38:39.920 --> 1:38:46.000]  are not going to fly. You can't just do anything and say COVID. We need science. And so I appreciate
[1:38:46.000 --> 1:38:52.720]  Texas Tech doing this study again. I think if it's set up correctly, it'll just underscore reality
[1:38:52.720 --> 1:38:57.920]  that we have many effective readily available inexpensive treatments for COVID that need to
[1:38:57.920 --> 1:39:03.440]  be employed early. And so I'm so grateful for your sharing this information.
[1:39:04.560 --> 1:39:09.600]  Well, we're not like the mainstream news is funded by Big Pharma. And so we have a self-interest in
[1:39:09.600 --> 1:39:15.920]  promoting the vaccines instead of other cheap effective treatments. We just we actually like
[1:39:15.920 --> 1:39:20.080]  humans. We want them to be healthy. And we appreciate the truth. And we're just funded by
[1:39:20.080 --> 1:39:25.120]  our audience. So that's why this information is allowed out here and is censored so many other
[1:39:25.120 --> 1:39:28.480]  places. Dr. Richard Bartlett, thank you so much for joining us on this Sunday evening.
[1:39:29.520 --> 1:39:35.680]  Thank you all. All right, there goes Dr. Bartlett. Again, folks, just I mean, thank God for people
[1:39:35.680 --> 1:39:42.320]  like Dr. Bartlett that are just trying to tell the truth and actually help people that are
[1:39:42.320 --> 1:39:46.160]  experiencing COVID. I mean, I know you think, hey, he's a doctor, of course, wants to help people.
[1:39:46.880 --> 1:39:51.520]  They're putting bags over people's heads in hospitals, man. You know, they're telling people
[1:39:51.520 --> 1:39:55.840]  that there's nothing else out there except a mask and a vaccine. Do they really want to help people?
[1:39:57.680 --> 1:40:01.120]  And it just brings me to the larger issue here,
[1:40:01.120 --> 1:40:09.440]  which is and maybe I'll kind of wax on this in the last segment before Sunday Night Live takes
[1:40:09.440 --> 1:40:11.920]  off and then I'll actually cover this news and take your phone calls. But
[1:40:15.120 --> 1:40:19.440]  you know, it just really is mind boggling, isn't it?
[1:40:21.440 --> 1:40:26.080]  It really is mind boggling to think that there's a hospital out there that would
[1:40:26.080 --> 1:40:31.440]  put bags on people's heads at all, let alone as a protocol.
[1:40:34.240 --> 1:40:37.280]  It's really strange now that they're just claiming this vaccine just makes you immortal
[1:40:37.280 --> 1:40:44.640]  for many disease. Oh, okay. Yeah. Tell that to the 20,000 people in America that are dead from
[1:40:44.640 --> 1:40:53.920]  that vaccine. And so and then the media lying about all of this, the internet giants, social media
[1:40:53.920 --> 1:40:59.360]  giants censoring all of this. And it's just, you know, you just wonder what's going on. So,
[1:40:59.360 --> 1:41:04.480]  you know, maybe I'll talk about that in the next segment. I mean, is it is it is a demonic
[1:41:04.480 --> 1:41:09.120]  possession? Is this just like a simulation? And these are NPCs that are just carrying out this
[1:41:09.120 --> 1:41:14.800]  mission for whatever reason? I don't know, man. I just know that it's diabolical and it's sick.
[1:41:15.360 --> 1:41:19.600]  And we're being goose stepped into medical tyranny worldwide. But as you heard at the end of the
[1:41:19.600 --> 1:41:24.640]  segment, folks. Yeah, Dr Bartlett is like, Hey, thank God, you guys are putting this information
[1:41:24.640 --> 1:41:29.280]  out there. It's hard to get this information out. Well, yeah, that's why they censor us,
[1:41:29.280 --> 1:41:34.160]  because we do put the real information out. We're not controlled by large corporations like,
[1:41:34.160 --> 1:41:40.000]  or industries like big pharma. We're just here because we care about truth and justice and
[1:41:40.000 --> 1:41:45.040]  live in free in America, having a nation having truth having having common sense. That's what
[1:41:45.040 --> 1:41:50.960]  we're about here. And so that's why I guess it's so rare in the media these days. But you can,
[1:41:50.960 --> 1:41:56.160]  you can keep us on air, folks, by shopping at infowarstore.com. And you're hearing all the
[1:41:56.160 --> 1:42:01.440]  stories about the coming inflation, the supply chain shortages. Your first instinct should be,
[1:42:01.440 --> 1:42:07.600]  what am I going to do in a situation if I don't have food? Don't worry about that. Get the emergency
[1:42:07.600 --> 1:42:13.680]  foods at infowarstore.com. We've got so many different options at infowarstore.com or at
[1:42:13.680 --> 1:42:21.040]  preparewithalex.com. Either one, folks, get your emergency food supplies. And we have so many
[1:42:21.040 --> 1:42:24.480]  different options. If you want a three month supply, if you want a one month supply, you want a six
[1:42:24.480 --> 1:42:29.760]  month supply, year supply, if you want the protein pack, if you want the this pack or the that pack,
[1:42:30.400 --> 1:42:37.680]  all kinds of different options at infowarstore.com. Get your emergency food now. We're keeping our
[1:42:37.680 --> 1:42:46.160]  prices as low as we can. But as the inflation hits, as the supply chain shortage hits, and it's just
[1:42:46.160 --> 1:42:50.720]  beginning, folks, it's just beginning. The Democrat plan, the Biden plan to destroy this country and
[1:42:50.720 --> 1:42:55.360]  this economy is just beginning. Get the emergency food supplies now at infowarstore.com.
[1:42:58.240 --> 1:43:05.040]  If you're listening to this message in the weekend of Friday, October 22, 2021, this is your last
[1:43:05.040 --> 1:43:10.400]  chance to get some of our best selling amazing products at infowarstore.com before they sell
[1:43:10.400 --> 1:43:17.760]  out like DNA Force. Plus, that is the ultimate formula out there for strengthening your telomeres
[1:43:17.760 --> 1:43:23.760]  and the very engines of your cells. I mean, it's got a big dose of the highest quality PQQ in CoQ10
[1:43:23.760 --> 1:43:27.200]  and a bunch of other key ingredients that God gave us through nature that are simply amazing.
[1:43:27.200 --> 1:43:32.080]  It gets 40% off. This product's been sold out for six, seven months because the supply came
[1:43:32.080 --> 1:43:36.240]  breakdowns because we would not cut the quality of the ingredients. We could cut the quality all day
[1:43:36.240 --> 1:43:41.120]  and buy crap from China and never be sold out. We're not doing that. This is the highest rated.
[1:43:41.120 --> 1:43:47.120]  It's 40% off. The sale ends on Monday. 40% off DNA Force Plus and a limited supply
[1:43:47.120 --> 1:43:52.080]  of Brain Force Ultra as well. It'll be sold out on Monday. It's 25% off. So support the
[1:43:52.080 --> 1:44:02.080]  M4 while getting great products at the same time. Thanks to all of your support, infowarstore.com.
[1:44:22.320 --> 1:44:27.600]  Over to them. They want control of procreation. They want control of the relationships between
[1:44:27.600 --> 1:44:33.040]  men and women. They want to bring a form of living death to our society and our civilization.
[1:44:34.080 --> 1:44:40.080]  All of us were formed and made in God's mind and God's image and given free will and make no
[1:44:40.080 --> 1:44:45.600]  mistake. All of you alive today were created by God to be alive in this special time so that you
[1:44:45.600 --> 1:44:53.600]  could make the right decision free will and stand against evil. And then for eternity win the great
[1:44:53.600 --> 1:45:00.160]  birthright prize of being aligned with God. By now you've heard me talk about the bio-pros and how
[1:45:00.160 --> 1:45:05.440]  they're creating amazing products. They've done it again and have just released an entire suite
[1:45:05.440 --> 1:45:10.720]  of bio-remediation products bringing industrial level technology to the everyday consumer.
[1:45:10.720 --> 1:45:14.960]  They're literally changing the industry with a revolutionary patented delivery system.
[1:45:14.960 --> 1:45:20.720]  The bio-pros are excited to release Biodrain Pro, a product specifically designed to establish
[1:45:20.720 --> 1:45:26.480]  healthy drains, pipes, and overall plumbing systems. Biodrain Pro digests grease, fats,
[1:45:26.480 --> 1:45:33.840]  oils, sludge, paper, and organic matter with ease. It contains no chemicals, no GMOs, and is safe for
[1:45:33.840 --> 1:45:40.640]  black gray holding tanks, sewer hoses, and plumbing. It is also human and animal safe. Get up to 20
[1:45:40.640 --> 1:45:46.880]  treatments with the scoop for easy applications. Say goodbye to drain problems, gas buildup,
[1:45:46.880 --> 1:45:54.000]  and odor. Guaranteed. Just pour and add water. It's that simple. Visit the bio-pros.com and see for yourself.
[1:45:56.640 --> 1:46:02.560]  It's time to protect your privacy. It's time to come to grips with the fact that even though you
[1:46:02.560 --> 1:46:08.880]  don't have anything to hide, criminals, hackers, corporations, big tech, government are stealing
[1:46:08.880 --> 1:46:14.560]  all of your data and creating a map and a database of where you go and what you do. So in the future,
[1:46:14.560 --> 1:46:20.400]  under their globalist takeover, they can shut you down. Protecting your privacy, protecting
[1:46:20.400 --> 1:46:25.040]  your credit cards, protecting your bank accounts, protecting your photos, protecting everything that's
[1:46:25.040 --> 1:46:30.960]  on your phone is paramount. That's why everybody should visit infowarstore.com. We're carrying a huge
[1:46:30.960 --> 1:46:37.680]  new line of very compliant, made in America products that have 100% reviews and are simply
[1:46:37.680 --> 1:46:43.760]  incredible. It's a 360 win. Protect your privacy and shop at info wars to support the overall info
[1:46:43.760 --> 1:46:50.240]  war against the globalists. A true 360 win. Get your Faraday cages at infowarstore.com. Check
[1:46:50.240 --> 1:47:07.360]  out the new line. It's amazing. You're listening to the Alex Jones show.
[1:47:07.360 --> 1:47:23.600]  It really is hard to comprehend or even believe this world that we're living in right now.
[1:47:25.440 --> 1:47:32.240]  And you know, the one thing that separates info wars, I think from the rest, is that we just
[1:47:32.240 --> 1:47:36.080]  actually try to make sense of it. We don't want to be a part of the nonsense. We want to try to
[1:47:36.080 --> 1:47:40.560]  make sense of it all. We don't just show up to read off a teleprompter, collect a paycheck,
[1:47:40.560 --> 1:47:44.000]  and go home or go to the country club or, you know, drive a fancy Ferrari home.
[1:47:46.320 --> 1:47:52.160]  No, we're trying to understand why all of this nonsense is going on. And we've reached the
[1:47:52.160 --> 1:48:00.800]  conclusions based off of deep, in-depth research and a context of human history and speaking to
[1:48:00.800 --> 1:48:09.520]  hundreds or not thousands of experts live on the air. And I think it's pretty clear that info wars
[1:48:09.520 --> 1:48:15.920]  analysis and forecasting has been beyond vindicated at this point. In fact, Alex Jones may be the
[1:48:15.920 --> 1:48:22.960]  most vindicated man in modern day history. And yet we're still living this nightmare that continues
[1:48:22.960 --> 1:48:30.240]  to get worse. And so here's what it comes down to. And I've got nine minutes left at the Alex
[1:48:30.240 --> 1:48:33.920]  Jones show, and then I'm going to be hosting Sunday Night Live. And I'll actually get into all this
[1:48:33.920 --> 1:48:39.520]  news, take some phone calls. And by the way, I am going to play a video that is maybe the funniest
[1:48:39.520 --> 1:48:48.240]  video I've seen in a long time when we're talking about the mask nonsense. This video will layer
[1:48:48.240 --> 1:48:51.440]  this on the Sunday Night Live transmission as well. It's just one of the funniest things you're
[1:48:51.440 --> 1:49:00.400]  going to see all day, if not the funniest. But what's frustrating to you and the audience that
[1:49:00.400 --> 1:49:06.880]  have been here for a long time, and for us, is that we know that we shouldn't be having to deal
[1:49:06.880 --> 1:49:10.560]  with any of this. We shouldn't be having to live under the medical tyranny or the fear of COVID.
[1:49:11.360 --> 1:49:15.920]  We shouldn't be dealing with wide open borders. We shouldn't be dealing with the supply chain
[1:49:15.920 --> 1:49:19.840]  shortage. We shouldn't be dealing with inflation. We don't have to be dealing with any of this
[1:49:19.840 --> 1:49:24.800]  stuff. We don't have to be dealing with all the mass poverty and homelessness. It was all by design.
[1:49:24.800 --> 1:49:32.160]  It was all by design, all by design. That's the key. A group of world elite have reached a conclusion,
