[00:00.000 --> 00:06.000]  Here is a sneak peek at the new head-to-head TV show I'm doing with Jesse Ventura.
[02:22:54.000 --> 02:22:56.000]  The answer is clear.
[02:22:56.000 --> 02:22:58.000]  Get prepared and you get prepared now.
[02:22:58.000 --> 02:23:01.000]  Now the only question left is where do we begin?
[02:23:01.000 --> 02:23:04.000]  My Patreon supply is here to help.
[02:23:04.000 --> 02:23:07.000]  Call 800-247-3070 to get started
[02:23:07.000 --> 02:23:10.000]  with your 72-hour emergency food supply
[02:23:10.000 --> 02:23:12.000]  for only $10.
[02:23:12.000 --> 02:23:14.000]  We're even covering the cost of shipping.
[02:23:14.000 --> 02:23:17.000]  Are you willing to rely on the government and FEMA
[02:23:17.000 --> 02:23:19.000]  in the event of an emergency?
[02:23:19.000 --> 02:23:23.000]  Call 800-274-3070 to get started
[02:23:23.000 --> 02:23:25.000]  with your 72-hour emergency food supply
[02:23:25.000 --> 02:23:27.000]  for only $10.
[02:23:27.000 --> 02:23:29.000]  You won't be able to find this deal online
[02:23:29.000 --> 02:23:31.000]  and there is a strict limit of four per caller,
[02:23:31.000 --> 02:23:33.000]  so don't wait.
[02:23:33.000 --> 02:23:36.000]  Call now 800-274-3070.
[02:23:36.000 --> 02:23:41.000]  That's 800-274-3070.
[02:23:41.000 --> 02:23:43.000]  Call right now.
[02:23:43.000 --> 02:23:46.000]  All right.
[02:23:46.000 --> 02:23:49.000]  I'll wait for it.
[02:23:52.000 --> 02:23:55.000]  Ha-ha-ha-ha.
[02:23:55.000 --> 02:23:59.000]  Yep, coming to you live from Austin, Texas.
[02:23:59.000 --> 02:24:02.000]  You found it, the Info War.
[02:24:02.000 --> 02:24:04.000]  I'm your host, Alex Jones.
[02:24:04.000 --> 02:24:06.000]  Let's go back to your phone calls.
[02:24:06.000 --> 02:24:08.000]  Amy and then Thurman and others.
[02:24:08.000 --> 02:24:10.000]  Amy in Oregon on Fukushima.
[02:24:10.000 --> 02:24:12.000]  You're on the air. Go ahead.
[02:24:12.000 --> 02:24:14.000]  Hi, Alex.
[02:24:14.000 --> 02:24:17.000]  Actually, I'm a first-time caller, long-time listener.
[02:24:17.000 --> 02:24:21.000]  I had actually taken a flu shot in 2004,
[02:24:21.000 --> 02:24:24.000]  and from that, I had to have open-heart surgery
[02:24:24.000 --> 02:24:28.000]  because I guess whatever caused problems
[02:24:28.000 --> 02:24:30.000]  just ate up my aortic valve.
[02:24:30.000 --> 02:24:33.000]  Did they admit that to you?
[02:24:33.000 --> 02:24:35.000]  No, they did not.
[02:24:35.000 --> 02:24:39.000]  Because, by the way, when they had the smallpox shots in 2002,
[02:24:39.000 --> 02:24:42.000]  remember it killed a bunch of troops and reporters that took it?
[02:24:42.000 --> 02:24:45.000]  They admitted that it caused basically an autoimmune response.
[02:24:45.000 --> 02:24:48.000]  I'm not a doctor. I don't understand how it happens,
[02:24:48.000 --> 02:24:50.000]  but I know it does it.
[02:24:50.000 --> 02:24:53.000]  Vaccines attack the brain, heart valves,
[02:24:53.000 --> 02:24:55.000]  and the pancreas particularly.
[02:24:55.000 --> 02:24:58.000]  And yes, I know that valves go out
[02:24:58.000 --> 02:25:01.000]  when people take certain vaccines.
[02:25:01.000 --> 02:25:04.000]  But what happened to your heart?
[02:25:04.000 --> 02:25:07.000]  Why do you think it was the vaccines in your case?
[02:25:07.000 --> 02:25:09.000]  Well, because right after I took the vaccine,
[02:25:09.000 --> 02:25:12.000]  I was diagnosed with an ITT,
[02:25:12.000 --> 02:25:15.000]  which is idiopathic thrombocytopenia purpura.
[02:25:15.000 --> 02:25:18.000]  It's where your blood doesn't clot correctly,
[02:25:18.000 --> 02:25:20.000]  and you bruise and bleed out,
[02:25:20.000 --> 02:25:23.000]  and actually bled into my lungs
[02:25:23.000 --> 02:25:25.000]  and was suffocating because of it,
[02:25:25.000 --> 02:25:29.000]  and went to Reckonridge Hospital there in Austin,
[02:25:29.000 --> 02:25:33.000]  and they said that I needed a heart valve transplant.
[02:25:33.000 --> 02:25:36.000]  So that's why I think it was a flu shot.
[02:25:36.000 --> 02:25:39.000]  And later on, after the heart valve transplant,
[02:25:39.000 --> 02:25:42.000]  I was diagnosed with lupus,
[02:25:42.000 --> 02:25:45.000]  which is autoimmune disorder.
[02:25:45.000 --> 02:25:48.000]  Well, they admit flu shots and Gardasil.
[02:25:48.000 --> 02:25:51.000]  That's in the inserts that they can give you autoimmune disorders.
[02:25:51.000 --> 02:25:53.000]  So I guess it did what it told you to do.
[02:25:53.000 --> 02:25:55.000]  Sorry to hear that happen.
[02:25:55.000 --> 02:25:57.000]  It did do it.
[02:25:57.000 --> 02:26:02.000]  But I've been taking the DNA for the secret 12x2,
[02:26:02.000 --> 02:26:04.000]  all your products,
[02:26:04.000 --> 02:26:06.000]  and I'm seizure-free.
[02:26:06.000 --> 02:26:10.000]  They diagnosed me with epilepsy as well as lupus.
[02:26:10.000 --> 02:26:15.000]  And I've been seizure-free for four months.
[02:26:15.000 --> 02:26:17.000]  Unbelievable.
[02:26:17.000 --> 02:26:19.000]  Wow.
[02:26:19.000 --> 02:26:24.000]  And what happened when you started taking the products?
[02:26:24.000 --> 02:26:27.000]  I was less foggy in my mind.
[02:26:27.000 --> 02:26:31.000]  I was actually able to get off of my anti-seizure medicine.
[02:26:31.000 --> 02:26:36.000]  And so I'm the only medication that I'm on now is blood thinners
[02:26:36.000 --> 02:26:40.000]  from my heart valves, which is ridiculous because it's a cow's valve.
[02:26:40.000 --> 02:26:41.000]  It's bovine.
[02:26:41.000 --> 02:26:43.000]  Are you on CUMIDIN?
[02:26:43.000 --> 02:26:45.000]  CUMIDIN, yeah.
[02:26:45.000 --> 02:26:47.000]  Our war friend is the generic.
[02:26:47.000 --> 02:26:49.000]  No.
[02:26:49.000 --> 02:26:51.000]  But that's the only thing that I'm on.
[02:26:51.000 --> 02:26:54.000]  I actually met you and your wife in 2005
[02:26:54.000 --> 02:26:58.000]  at a, let's say, premiere of one of your movies.
[02:26:58.000 --> 02:27:00.000]  Well, it's a pleasure, Amy, to talk to you again.
[02:27:00.000 --> 02:27:03.000]  Specifically, what was your take on Fukushima?
[02:27:03.000 --> 02:27:07.000]  Fukushima, well, being on the West Coast in Oregon,
[02:27:07.000 --> 02:27:11.000]  the weather, I mean, it sounds to me like what's going on in the East Coast
[02:27:11.000 --> 02:27:13.000]  is a nuclear winter.
[02:27:13.000 --> 02:27:15.000]  Because over here, it is warm.
[02:27:15.000 --> 02:27:18.000]  It's 60 degrees, 65.
[02:27:18.000 --> 02:27:19.000]  It's insane.
[02:27:19.000 --> 02:27:20.000]  The sun is shining.
[02:27:20.000 --> 02:27:23.000]  And of course, there's chemtrailing like nobody's business.
[02:27:23.000 --> 02:27:25.000]  It's insane.
[02:27:25.000 --> 02:27:31.000]  But I think that we're in extreme trouble,
[02:27:31.000 --> 02:27:35.000]  especially with the new thing that's going on at Fukushima
[02:27:35.000 --> 02:27:40.000]  with the new reactor billowing out all this smoke.
[02:27:40.000 --> 02:27:45.000]  And I looked in the sky and I'm just seeing horrible,
[02:27:45.000 --> 02:27:47.000]  or at least it was a couple of days ago,
[02:27:47.000 --> 02:27:51.000]  plumes of smoke, which looks like they're just traveling across the sky.
[02:27:51.000 --> 02:27:56.000]  And it's just really scary because I can feel the radiation.
[02:27:56.000 --> 02:28:00.000]  My husband said he can actually see it going through the window.
[02:28:00.000 --> 02:28:02.000]  I mean, it's just...
[02:28:02.000 --> 02:28:05.000]  Well, I'm showing the headlines out of the Statesman Journal.
[02:28:05.000 --> 02:28:08.000]  Fukushima Radiation found 400 miles west of Newport.
[02:28:08.000 --> 02:28:12.000]  Showed another headline, RT, Radiation Levels in Tuna of Oregon.
[02:28:12.000 --> 02:28:13.000]  Tripled after Fukushima.
[02:28:13.000 --> 02:28:16.000]  And yeah, it's melting down again.
[02:28:16.000 --> 02:28:17.000]  Thank you so much for your support.
[02:28:17.000 --> 02:28:18.000]  God bless you.
[02:28:18.000 --> 02:28:22.000]  Let's go to Sermon in Florida. You're on the air. Go ahead.
[02:28:22.000 --> 02:28:23.000]  Yes, sir.
[02:28:23.000 --> 02:28:26.000]  Been listening to you since about 2002 or so.
[02:28:26.000 --> 02:28:28.000]  First time I've gotten through.
[02:28:28.000 --> 02:28:32.000]  Basically want to give two perspectives on immigration
[02:28:32.000 --> 02:28:34.000]  having been in public education.
[02:28:34.000 --> 02:28:37.000]  I recently got out of public education.
[02:28:37.000 --> 02:28:44.000]  But starting off in 2006, I have my own landscaping business.
[02:28:44.000 --> 02:28:46.000]  We're doing very well.
[02:28:46.000 --> 02:28:48.000]  And of course, you know, the bottom started falling out.
[02:28:48.000 --> 02:28:53.000]  But we ended up being undercut by people coming in.
[02:28:53.000 --> 02:29:00.000]  The artists that Jesse spoke of earlier pretty much ran us out of business.
[02:29:00.000 --> 02:29:02.000]  I have a degree and I've been in education before.
[02:29:02.000 --> 02:29:06.000]  So I went ahead and took a job as a teacher.
[02:29:06.000 --> 02:29:08.000]  Hold on. I'm coming back to you, Sermon. Don't hang up.
[02:29:08.000 --> 02:29:11.000]  I want to hear this story straight ahead.
[02:29:11.000 --> 02:29:16.000]  And again, the issue is the illegals on record tend to get welfare with mama at home.
[02:29:16.000 --> 02:29:19.000]  Daddy goes out and works. They live great because you get welfare,
[02:29:19.000 --> 02:29:24.000]  sometimes on multiple identities and then daddy's working and daddy can undercut.
[02:29:24.000 --> 02:29:28.000]  Just like Walmart is government sanctioned and sponsored
[02:29:28.000 --> 02:29:32.000]  and tells its employees to get on welfare to undercut other companies as well.
[02:29:32.000 --> 02:29:34.000]  It's the same strategy and it's a fraud.
[02:29:34.000 --> 02:29:38.000]  We're on the march. The empire's on the run.
[02:29:38.000 --> 02:29:42.000]  Alex Jones and the GCN Radio Network.
[02:30:09.000 --> 02:30:13.000]  Info Wars is striking back in the month of February with Human Empowerment Month.
[02:30:13.000 --> 02:30:18.000]  How we can come together and win the human race and celebrate the kickoff of Human Empowerment Month.
[02:30:18.000 --> 02:30:24.000]  We're slashing prices on InfoWarsLife.com products like Super Male and Super Female Vitality.
[02:30:24.000 --> 02:30:26.000]  The sale is only running for the month.
[02:30:26.000 --> 02:30:30.000]  20% off and there's a lot of other powerful specials at InfoWarsLife.com.
[02:30:30.000 --> 02:30:35.000]  InfoWarsLife.com celebrating human potential in the month of February.
[02:30:35.000 --> 02:30:39.000]  Visit InfoWarsLife.com to find this special and many others in the month of February.
[02:30:39.000 --> 02:30:45.000]  Again, InfoWarsLife.com or 888-253-3139.
[02:30:45.000 --> 02:30:49.000]  The government's Department of Homeland Security is buying up loads of ammo.
[02:30:49.000 --> 02:30:53.000]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[02:30:53.000 --> 02:30:55.000]  Can you put two and two together?
[02:30:55.000 --> 02:31:00.000]  Infidel Body Armor can stop every round, including hollow points and 308 sniper rounds.
[02:31:00.000 --> 02:31:06.000]  It's reasonably priced and fully legal, but for how long? Go to InfidelBodyArmor.com.
[02:31:06.000 --> 02:31:10.000]  Spelled I-N-F-I-D-E-L Body Armor.com.
[02:31:10.000 --> 02:31:32.000]  Infidel Body Armor just won't quit.
[02:31:40.000 --> 02:31:45.000]  InfoWarsLife.com or call toll-free 888-253-3139.
[02:32:10.000 --> 02:32:15.000]  From top leading manufacturers to ensure a concentrated level of bioactive ingredients
[02:32:15.000 --> 02:32:20.000]  extracted directly from the wild herb and sealed in easy-to-use capsules,
[02:32:20.000 --> 02:32:24.000]  you will no longer need to endure the burning of liquid oregano on the tongue.
[02:32:24.000 --> 02:32:31.000]  Wild crafted from the Mediterranean oregano species that experts agree is one of the most powerful and most challenging to acquire.
[02:32:31.000 --> 02:32:36.000]  This winter season is more important than ever to secure this true form of oil of oregano.
[02:32:36.000 --> 02:32:41.000]  Now available in our limited first run at InfoWarsLife.com, that's InfoWarsLife.com
[02:32:41.000 --> 02:32:46.000]  or call 888-253-3139.
[02:32:46.000 --> 02:32:51.000]  Will you fight?
[02:32:51.000 --> 02:32:55.000]  Right? You guys that? No! We will run!
[02:32:55.000 --> 02:32:57.000]  And we will live.
[02:32:57.000 --> 02:33:00.000]  Alright? Fight and you may die.
[02:33:00.000 --> 02:33:03.000]  Run. And you'll live.
[02:33:03.000 --> 02:33:06.000]  At least a while. I'm dying in your beds.
[02:33:06.000 --> 02:33:14.000]  Many years from now, would you be willing to trade all the days from this day to that
[02:33:14.000 --> 02:33:20.000]  for one chance, just one chance to come back here and tell our enemies
[02:33:20.000 --> 02:33:27.000]  that they may take our lives, but they'll never take our freedom!
[02:33:27.000 --> 02:33:36.000]  Rallying Patriots worldwide in defense of human liberty. It's Alex Jones.
[02:33:36.000 --> 02:33:42.000]  Waging war on corruption, crashing the lies and disinformation.
[02:33:42.000 --> 02:33:48.000]  You know perhaps I should put on airs like other talk show hosts in broadcast like this
[02:33:48.000 --> 02:33:51.000]  with this voice for the balance of the hour.
[02:33:51.000 --> 02:33:54.000]  Let's go back to Thurman in Florida.
[02:33:54.000 --> 02:33:58.000]  In FEMA Region 4, Thurman, thanks for holding your on the ear.
[02:33:58.000 --> 02:34:06.000]  Yes, sir. So from 2006 to 2009, we watched our income go down in the landscape business.
[02:34:06.000 --> 02:34:11.000]  And like I said, we were being undercut by a lot of immigrant labor that was coming in.
[02:34:11.000 --> 02:34:12.000]  Okay.
[02:34:12.000 --> 02:34:17.000]  Illegal alien. Listen, use the term because if they can get people to not use the proper term,
[02:34:17.000 --> 02:34:20.000]  that's what they call illegal aliens in Mexico as illegal aliens.
[02:34:20.000 --> 02:34:22.000]  That's the term used for hundreds of years.
[02:34:22.000 --> 02:34:24.000]  That's the alien of the state.
[02:34:24.000 --> 02:34:28.000]  We call things from other planets aliens because that's the term.
[02:34:28.000 --> 02:34:33.000]  We need to use the proper term and not let them bully us into using their politically correct terms.
[02:34:33.000 --> 02:34:36.000]  But to go ahead and finish, I'm sorry.
[02:34:36.000 --> 02:34:38.000]  Gotcha. That's okay.
[02:34:38.000 --> 02:34:43.000]  Alright, so anyway, I started working at the local elementary school.
[02:34:43.000 --> 02:34:47.000]  And it was an affluent school, I'll say.
[02:34:47.000 --> 02:34:52.000]  And that was for three and a half years. And then I transferred over to a high poverty,
[02:34:52.000 --> 02:34:57.000]  what we called 95% free and reduced lunch school.
[02:34:57.000 --> 02:35:02.000]  I was a general music teacher, which meant that I saw every child in that school.
[02:35:02.000 --> 02:35:05.000]  And it was right at about a thousand kids.
[02:35:05.000 --> 02:35:12.000]  I went in, first of all, I was a little bitter, you know, because the illegal aliens had come in.
[02:35:12.000 --> 02:35:14.000]  I felt like we had been undercut.
[02:35:14.000 --> 02:35:22.000]  You know, it was, I was seeing it happen. I was in the office on several times helping out during registration.
[02:35:22.000 --> 02:35:27.000]  And I would, you know, see the family filling out the paperwork for the free reduced lunch.
[02:35:27.000 --> 02:35:32.000]  And they would set their brand new iPhone down, you know, to be able to fill out the paperwork.
[02:35:32.000 --> 02:35:34.000]  And that didn't quite add up to me.
[02:35:34.000 --> 02:35:37.000]  But here's where things started changing.
[02:35:37.000 --> 02:35:42.000]  Once I got in there, and also I worked as an interpreter within the school system too, because I speak Spanish.
[02:35:42.000 --> 02:35:48.000]  So I saw, you know, that side of it, the families being deported and the horrible things that happened there.
[02:35:48.000 --> 02:35:51.000]  But to get to where things changed was this.
[02:35:51.000 --> 02:35:59.000]  This high poverty school that I spent the last two years at before I got out of public ed was broken down like this.
[02:35:59.000 --> 02:36:04.000]  And first of all, let me say that I used to teach my students, you know, we are Americans.
[02:36:04.000 --> 02:36:08.000]  We don't, you know, I don't see black Americans. I don't see white Americans.
[02:36:08.000 --> 02:36:14.000]  But let's just say it. It's just like a prison, I'm guessing, and what you're going to say, everyone was put into their own prison quadrant.
[02:36:14.000 --> 02:36:18.000]  The poor white kids, the poor black kids, the poor Hispanic kids.
[02:36:18.000 --> 02:36:25.000]  Something like that. But more to the point was this. It broke down evenly along these lines.
[02:36:25.000 --> 02:36:32.000]  A fifth of the students were Asian because I'm near a very large military base where quite a few were lifted over after Vietnam.
[02:36:32.000 --> 02:36:38.000]  All right. A fifth were white kids. A fifth were black kids. A fifth were Hispanic kids.
[02:36:38.000 --> 02:36:41.000]  And then the other fifth would be the mixed-race children. Okay.
[02:36:41.000 --> 02:36:52.000]  All right. By far and large, hands down, the best students, the best manners, the hardest workers,
[02:36:52.000 --> 02:36:57.000]  the ones who did their homework, the ones who tried, who were well-dressed,
[02:36:57.000 --> 02:37:02.000]  the ones who just taken care of were the Hispanic kids. And what I guessed,
[02:37:02.000 --> 02:37:10.000]  what I ended up concluding and kind of changing my own frame and way of looking at it was that we,
[02:37:10.000 --> 02:37:13.000]  that is, the people that had been here in the United States.
[02:37:13.000 --> 02:37:17.000]  We are degenerates spoiled rotten pigs and are collapsing.
[02:37:17.000 --> 02:37:24.000]  And so there's a little bit of old-world conservatism left in Latin America as hellish as it is.
[02:37:24.000 --> 02:37:28.000]  So imagine when we fall, how bad it's going to be.
[02:37:28.000 --> 02:37:37.000]  That's a good point. But to me, the thing that was the most impactful as far as what I saw was that I've even told people,
[02:37:37.000 --> 02:37:44.000]  I think that those kids are the last hope for our country because they still have that American dream.
[02:37:44.000 --> 02:37:52.000]  They still work hard. Now, that having been said, I also believe that we need to shut those borders down yesterday.
[02:37:52.000 --> 02:38:00.000]  Well, nobody else does this. And absolutely, the problem is the Democratic Party is there to take these immigrants
[02:38:00.000 --> 02:38:08.000]  who on average would be good for the country and to turn them into voters who will make everybody slaves.
[02:38:08.000 --> 02:38:11.000]  I mean, these illegals vote when they end up becoming citizens or vote.
[02:38:11.000 --> 02:38:16.000]  They've got the polls right at 90 percent. The most hardcore, look at California.
[02:38:16.000 --> 02:38:19.000]  I mean, they're taking all the freedom in California.
[02:38:19.000 --> 02:38:25.000]  And so here's the question. How do we reach out? Because here's the thing.
[02:38:25.000 --> 02:38:30.000]  50 percent, I saw this like in USA Today last year, but I've already seen the demographics,
[02:38:30.000 --> 02:38:38.000]  below the age of 12 on average in the country, half the country is Hispanic.
[02:38:38.000 --> 02:38:41.000]  In many areas, the country is already like 67 percent Hispanic. It's a joke.
[02:38:41.000 --> 02:38:51.000]  It's Hispanic American citizens that are paying in these areas the majority for all the illegals.
[02:38:51.000 --> 02:38:56.000]  So it's a total screw job. And again, I don't blame the illegals wanting all this stuff.
[02:38:56.000 --> 02:39:03.000]  But because Latin America is in a long protracted depression, Mexico is a descending hell pit.
[02:39:03.000 --> 02:39:07.000]  And it's a beautiful place on the Pacific and the Caribbean side.
[02:39:07.000 --> 02:39:13.000]  I wish Mexico was like super nice and I wish Africa was. I mean, I'd probably move there.
[02:39:13.000 --> 02:39:16.000]  I want countries to run to. I'm sick of it.
[02:39:16.000 --> 02:39:20.000]  You know, I've said I'll stay in America, but I don't know, man.
[02:39:20.000 --> 02:39:29.000]  It's just that they're taking these people and just turning them into the political army to vote us into total slaves.
[02:39:29.000 --> 02:39:33.000]  And that's what makes me sick. I appreciate your call. See, I said I'd give each caller one minute.
[02:39:33.000 --> 02:39:35.000]  These callers are all grabbing me each like 10 minutes.
[02:39:35.000 --> 02:39:39.000]  Rick in Texas, go ahead.
[02:39:39.000 --> 02:39:46.000]  Yes, I'm the first time caller. I've listened for many, many years. I've been awake for 30 plus years.
[02:39:46.000 --> 02:39:48.000]  Well, thanks for putting up with me, brother.
[02:39:48.000 --> 02:39:52.000]  Oh, that's what I'm glad to.
[02:39:52.000 --> 02:40:01.000]  I attribute being awake to having been through Bible calls at seminary where I had such an avid interest in Bible prophecy that I've taught for many, many years.
[02:40:01.000 --> 02:40:08.000]  So I've got two points that I'd like to make if I can. First is to call attention to an article in WND.
[02:40:08.000 --> 02:40:15.000]  It's called prayers to God in the wrong spot. This is probably one of the most significant articles of our times, literally.
[02:40:15.000 --> 02:40:20.000]  Prayers to God in the wrong spot. WND.com. We'll look it up.
[02:40:20.000 --> 02:40:22.000]  Yep. It was there a couple of days ago.
[02:40:22.000 --> 02:40:31.000]  And the author is... Oh, he travels the world solving biblical mysteries.
[02:40:31.000 --> 02:40:39.000]  So he's hunted the Noah's Ark, the Ark of the Covenant, and then took on the issue of where is the exact site of the Jewish temple.
[02:40:39.000 --> 02:40:51.000]  And his conclusion was that the exact site of the temple was not on the Temple Mount, but about 600 feet south, which is in the city of David, which Israel actually owns.
[02:40:51.000 --> 02:40:54.000]  And part of it is a Ark.
[02:40:54.000 --> 02:41:01.000]  And that would resolve an enormous number of problems, because for most of us that know the Scripture is well in that way.
[02:41:01.000 --> 02:41:07.000]  There are a number of textual things that present enormous problems, much less just the geopolitical...
[02:41:07.000 --> 02:41:12.000]  Sure. And of course, they built a mosque on top of where they think...
[02:41:12.000 --> 02:41:16.000]  I think the first temple was, correct me if I'm wrong for my history.
[02:41:16.000 --> 02:41:22.000]  And so there's big fights whenever the Jews want to tear that down and build their temple back.
[02:41:22.000 --> 02:41:25.000]  It creates incredible division.
[02:41:25.000 --> 02:41:31.000]  Yes. And there's been a group called the Temple Mount Faithful that has actually rebuilt all of the implements for the temple.
[02:41:31.000 --> 02:41:41.000]  They've had the cornerstone for many, many years. They bring it out each year as the reminder of what it is that's to come, because they believe that's part of the end times.
[02:41:41.000 --> 02:41:46.000]  So I would recommend that people really look at this article. I mean, this is...
[02:41:46.000 --> 02:41:53.000]  When I read this article, I was absolutely astounded after having been on the illusion for a long, long time.
[02:41:53.000 --> 02:42:02.000]  I think it's just our absolute head turn, because that would allow for the rebuilding of the temple.
[02:42:02.000 --> 02:42:10.000]  And without any question at all, and it would take and change the whole geopolitical construction in the Middle East.
[02:42:10.000 --> 02:42:12.000]  So that's number one.
[02:42:12.000 --> 02:42:17.000]  Number two, I was a clinical psychologist for a long, long time.
[02:42:17.000 --> 02:42:22.000]  And I've observed the process through the years.
[02:42:22.000 --> 02:42:33.000]  When I first started teaching prophecy, because the events were so far out, people would have a great interest in it, but it was far removed.
[02:42:33.000 --> 02:42:40.000]  So, especially when you get into things like we were trying to teach about the Federal Reserve, we actually had book lists.
[02:42:40.000 --> 02:42:48.000]  Sure, sure. Or people would deny it because the media said it didn't exist. I found now that it's pretty much admitted, people don't go, oh, you were right.
[02:42:48.000 --> 02:42:59.000]  Wow, you're really smart. I better listen to you. They say, oh, so what? Just accept it. I mean, not everybody, but people that were already not listening, they will then just say, oh, so what now that all this is in our face.
[02:42:59.000 --> 02:43:02.000]  But get into your story. What did you see happen?
[02:43:02.000 --> 02:43:10.000]  I see a process is the issue that I'd like to talk to for a moment, if I may.
[02:43:10.000 --> 02:43:22.000]  The process is that as time has progressed, I moved to teaching where I wasn't just teaching prophecy and the original languages and all the things that you would normally do.
[02:43:22.000 --> 02:43:31.000]  I started to teach along the lines of this is that, because years ago, if we saw one thing a year that was really had prophetic significance, I mean, we were jumping up and down.
[02:43:31.000 --> 02:43:37.000]  I mean, we had to subscribe to the London Times and, you know, we had to literally get the old papers.
[02:43:37.000 --> 02:43:45.000]  Oh, yeah. I mean, it'd be a big deal 15 years ago to have some CEO admit sooner or by all have brain chips. And now it's just in the newspaper 50 times a day.
[02:43:45.000 --> 02:43:59.000]  Exactly. But in the process, as the veil is being lifted on all these events and people become more sophisticated about the religious, economic, military and political aspects of current events,
[02:43:59.000 --> 02:44:05.000]  things happen within the individual that actually is listening and absorbing that.
[02:44:05.000 --> 02:44:20.000]  And a part of that is kind of like the loss of a child. When you know a child, that's devastating. And part of that devastation is related to the fact that you're not just losing the child, you're losing all the dreams of and for that child.
[02:44:20.000 --> 02:44:34.000]  Now, all of us have those dreams for our future. And so when the realities of what we thought our future were going to be are changed and challenged in any significant way, that actually enters us into a grieving process.
[02:44:34.000 --> 02:44:46.000]  And so what happens typically is that there'll be one, like in a couple, there will be one person who's really getting lit up and they can't hardly not talk about it.
[02:44:46.000 --> 02:44:56.000]  But then the other staffs who doesn't have that same interest or doesn't have the same background or have the same amount of information starts to get really scared and withdraw.
[02:44:56.000 --> 02:45:04.000]  And so you see all of these problems related to actually what underneath is a grieving process that takes place.
[02:45:04.000 --> 02:45:10.000]  Absolutely. That's why you just got to tell people the truth and then move on and hope they wake up and God will work with them.
[02:45:10.000 --> 02:45:24.000]  Also, most people are so tied into Hollywood and the NFL and kind of the fake world that the system puts out that they can't seem to then dial in to what's really going on.
[02:45:24.000 --> 02:45:28.000]  Because if they ever did, you'd never care about petty stuff anymore.
[02:45:28.000 --> 02:45:33.000]  I mean, quite frankly, I know a lot of Hollywood people and musicians and I like them because they're cool people that love freedom.
[02:45:33.000 --> 02:45:40.000]  And they tend to be interesting folks, but I could care less at their movie stars. I could care less to be invited to some A-list Hollywood party already done it.
[02:45:40.000 --> 02:45:44.000]  The problem is most people never got invited to parties like that.
[02:45:44.000 --> 02:45:52.000]  So they imagine there's some Mount Olympus Valhalla that oh, they could just get there. They'd be fulfilled and it really just doesn't exist.
[02:45:52.000 --> 02:46:02.000]  What exists is just being an artist, being a person that crafts things, a farmer, someone who builds things, someone that educates, someone that helps.
[02:46:02.000 --> 02:46:07.000]  The passion of life, the simple things, that's what is fulfilling.
[02:46:07.000 --> 02:46:16.000]  But the world wants to sell that no, you've got to go do all this and you've got to follow the Madison Avenue line to be fulfilled.
[02:46:16.000 --> 02:46:22.000]  And the system wants to be God and the system wants to recreate the earth in its image, which is very ugly.
[02:46:22.000 --> 02:46:24.000]  Thank you, Rick. Really good points.
[02:46:24.000 --> 02:46:27.000]  I want to move quick now because I got a bunch of news I want to hit.
[02:46:27.000 --> 02:46:31.000]  Rob in North Carolina, you're on the air. Welcome.
[02:46:31.000 --> 02:46:33.000]  You there?
[02:46:33.000 --> 02:46:35.000]  Yes, sir. I am. Go ahead.
[02:46:35.000 --> 02:46:37.000]  I had a question for you.
[02:46:37.000 --> 02:46:45.000]  I was kind of looking online and it appears that back in 1933 the government actually went bankrupt under Roosevelt.
[02:46:45.000 --> 02:46:48.000]  Sure did. War Powers Act officially. Yep.
[02:46:48.000 --> 02:46:56.000]  So from that point it looks like the U.S. government and all the cities and states and everything kind of turned into corporations.
[02:46:56.000 --> 02:47:04.000]  They did and then they went under the 1878 Federal District of Columbia realignment that we talked about yesterday.
[02:47:04.000 --> 02:47:11.000]  And there is a corporate fiction operating in the same domain as the real republic.
[02:47:11.000 --> 02:47:17.000]  So they built a scaffolding of the fraudulent system to then slowly transfer power to that.
[02:47:17.000 --> 02:47:24.000]  While milking the old system, now they're preparing to fully suck dry what was left, blow it out the airlock.
[02:47:24.000 --> 02:47:27.000]  The enemy is now moving into its final phase.
[02:47:27.000 --> 02:47:31.000]  I guess my question is, you know, I've listened to a couple years now.
[02:47:31.000 --> 02:47:37.000]  Why do you always refer to the government as the government or at least that's what I think I hear you say.
[02:47:37.000 --> 02:47:52.000]  Sure. It's the same reason when I talk about micro FM, I call it pirate radio because we're on over 170 affiliates and most of our listeners don't know what micro FM is or FCC rules or community radio or how the airways belong to the people and on and on.
[02:47:52.000 --> 02:48:00.000]  So I will say pirate FM or AM known by insiders as micro people should look into it.
[02:48:00.000 --> 02:48:12.000]  I do it because we're talking about the government, the de facto forced to sure force measure by by seizure by taking under common law, we have been usurped.
[02:48:12.000 --> 02:48:18.000]  And so via the barrel of a gun, there is an illegitimate government that operates their ignorance.
[02:48:18.000 --> 02:48:23.000]  But its agents believe their agents of the Republic almost to a man.
[02:48:23.000 --> 02:48:40.000]  So if I get up here and speak in the real legal parlance and in the actual text of the system, the general audience would think I was speaking in Latin this half the time I would be.
[02:48:40.000 --> 02:48:50.000]  Well, I understand. But I guess the thing is, if I think maybe if people actually understood that the government really doesn't serve them as they say they do, and it's actually a corporation.
[02:48:50.000 --> 02:48:51.000]  Yes, yes.
[02:48:51.000 --> 02:48:53.000]  There may be a quicker awakening.
