[00:00.000 --> 00:06.000]  That's right, Headache Stay Gone must work for you before you pay for it.
[02:26:48.000 --> 02:26:50.000]  Again, lawlessness. The government is lawless. Go ahead.
[02:26:50.000 --> 02:27:02.000]  But in collusion with a state judge, Jean Burling, sanctioned by the governor. Uh oh, we got a serious problem here.
[02:27:03.000 --> 02:27:12.000]  Guess what? They got no more courts in this country. So now, the United States District Court asked me to come in. I told them I can't come in because there's no federal jurisdiction here.
[02:27:12.000 --> 02:27:19.000]  And I explained it to them. They even sent them the information from a national attorney. They turned around and dismissed the case.
[02:27:20.000 --> 02:27:25.000]  Six months later, they turn around, six o'clock in the morning, in collusion with the local police department.
[02:27:26.000 --> 02:27:32.000]  I have you come down to the water point. You go to the rest of the ground, we're here with two police officers here, the water department, to help you out.
[02:27:33.000 --> 02:27:40.000]  I knew what it was. I went down there and walked right up to them and said, yeah, yeah, yeah. And bam, one hits me and then two of them are piled on top of me and scream like the top of their lungs.
[02:27:40.000 --> 02:27:49.000]  Stand up, stand up. First they lie, they've already rated you once, you didn't do anything to them, now they physically assault you because they're criminals. Okay, continue.
[02:27:50.000 --> 02:27:55.000]  It gets really interesting now. So a half an hour later, they picked up my wife, put her in handcuffs and drove her directly to Concord.
[02:27:56.000 --> 02:28:02.000]  But prior to that, they picked me up, they got me in handcuffs, off the ground shackles and handcuffs.
[02:28:02.000 --> 02:28:12.000]  And then they brought me to the local police department, the Lebanon police department cruiser, brought me into the police department and ready, stripped me and he took all my clothes off.
[02:28:13.000 --> 02:28:17.000]  And he faced the wall, bent over, spread the cheeks of my buttocks.
[02:28:18.000 --> 02:28:21.000]  I understand, it's all about rape and humiliation, please don't go any further.
[02:28:22.000 --> 02:28:24.000]  That doesn't work, okay, because I don't care.
[02:28:25.000 --> 02:28:26.000]  Exactly, it makes you hate them.
[02:28:27.000 --> 02:28:29.000]  It gives you power when they do that evil.
[02:28:30.000 --> 02:28:34.000]  They think it intimidates us, it only makes us commit more to fight them.
[02:28:35.000 --> 02:28:38.000]  They're showing everybody what they are, a bunch of mafia thugs.
[02:28:39.000 --> 02:28:44.000]  So these pieces of trash are in there, they're all over your body, they're doing all this to you, please enjoy that.
[02:28:45.000 --> 02:28:49.000]  So that's all to put fear into you, it didn't put fear into me, it put anger, you're right.
[02:28:50.000 --> 02:28:51.000]  What were you saying to them while they were doing this, these perverts?
[02:28:51.000 --> 02:28:54.000]  Not a thing, not a single solitary thing.
[02:28:55.000 --> 02:28:59.000]  All I was doing was just baiting, this was my case, we started this case twelve years ago.
[02:29:00.000 --> 02:29:04.000]  We were waiting for them to start doing stuff like this so we could file civil damages, all kinds of damages.
[02:29:05.000 --> 02:29:06.000]  Okay, please continue.
[02:29:07.000 --> 02:29:16.000]  Alright, so then they brought me down to the district court, the United States District Court, put me in a cooling cell there for about eight hours, I sat there twilling my thumbs.
[02:29:17.000 --> 02:29:19.000]  Then they brought me before the judge.
[02:29:19.000 --> 02:29:26.000]  Then, that's the point, when I sat down at the bench and the judge came in and seated himself, they served me with the papers.
[02:29:27.000 --> 02:29:31.000]  First time I've seen any papers, I've asked the US Marshals whether I was being charged with the arrest warrant.
[02:29:32.000 --> 02:29:34.000]  We'll discuss that when we get down to the court.
[02:29:35.000 --> 02:29:36.000]  We're just told to bring you in.
[02:29:37.000 --> 02:29:38.000]  That was all unlawful.
[02:29:39.000 --> 02:29:45.000]  So no chance to get a lawyer, no chance to get counsel, no nothing, no arrest warrant, nothing?
[02:29:46.000 --> 02:29:47.000]  Correct.
[02:29:47.000 --> 02:29:50.000]  They supported that very easily, but they wouldn't allow that, no time.
[02:29:51.000 --> 02:29:56.000]  The first thing that the judge did was say, Mr. Brown, he says, how about this, this is just for the arraignment, how do you plead?
[02:29:57.000 --> 02:29:58.000]  I said, I don't know, what are you talking about?
[02:29:59.000 --> 02:30:00.000]  Because I still didn't know what they were talking about.
[02:30:01.000 --> 02:30:06.000]  He turns around and says, the attorney, the court appointed an attorney that was there, which I didn't say get him or accept him.
[02:30:07.000 --> 02:30:12.000]  That was all staged, we don't have courts, it's the Soviet Union, America's completely, stay there, stay there, so we've got to be right.
[02:30:13.000 --> 02:30:16.000]  I mean, I want you to listen to this, this is how it operates, this is the new America.
[02:30:17.000 --> 02:30:21.000]  Okay, totally enslaved like Russia or Nazi Germany, and it's only going to get worse.
[02:30:23.000 --> 02:30:26.000]  We're on the march, the empire's on the run.
[02:30:27.000 --> 02:30:30.000]  Alex Jones and the GCN Radio Network.
[02:30:35.000 --> 02:30:37.000]  Pinch me, Bill, I can't believe it.
[02:30:38.000 --> 02:30:44.000]  A few months ago, I couldn't even afford gas for my car, and here we are with season tickets on the 50 yard line.
[02:30:45.000 --> 02:30:50.000]  I know what you mean, John, I remember the day you saw my new car and asked me if I robbed Bill Gates.
[02:30:51.000 --> 02:30:54.000]  Our lives sure have changed since we discovered didyourobbillgates.com.
[02:30:55.000 --> 02:31:01.000]  I was struggling to make ends meet, now I've got a new car, and a college fund for Lisa when she graduates from high school next year.
[02:31:02.000 --> 02:31:06.000]  And I owe it all to you, because you told me about didyourobbillgates.com.
[02:31:07.000 --> 02:31:09.000]  Hey John, we all win when the money problems disappear.
[02:31:09.000 --> 02:31:14.000]  I want to tell everybody, because the more people we have on the success team, the better it works.
[02:31:15.000 --> 02:31:19.000]  It's hard for the little guy these days, we pool our resources to level the playing field.
[02:31:20.000 --> 02:31:25.000]  So the more people that go to www.didyourobbillgates.com, the more cash for everybody.
[02:31:26.000 --> 02:31:27.000]  What a concept!
[02:31:33.000 --> 02:31:36.000]  Are you looking for a one stop shop to find all your favorite books and videos?
[02:31:36.000 --> 02:31:40.000]  Look no further, Northern Voice Bookstore has everything you need.
[02:31:41.000 --> 02:31:49.000]  Hundreds of titles, from self defense, survival and financial freedom, to history, politics, conspiracy and everything you need to know about the New World Order.
[02:31:50.000 --> 02:31:55.000]  You can order everything you need on the web 24 hours a day at www.NorthernVoiceBookstore.com.
[02:31:56.000 --> 02:32:03.000]  Or, send $2 for our latest catalog to Northern Voice Bookstore, post office box 281, Wildwood, PA 15091.
[02:32:04.000 --> 02:32:14.000]  Northern Voice Bookstore offers a broad range of different perspectives and believes strongly that the American people need alternative sources of information in order to understand the society they live in today.
[02:32:15.000 --> 02:32:17.000]  You will find a better selection of books or videos anywhere.
[02:32:18.000 --> 02:32:20.000]  So make Northern Voice Bookstore your bookstore.
[02:32:21.000 --> 02:32:23.000]  Visit us online at www.NorthernVoiceBookstore.com.
[02:32:24.000 --> 02:32:32.000]  Or, send $2 for our latest catalog to Northern Voice Bookstore, PO Box 281, Wildwood, PA 15091.
[02:32:33.000 --> 02:32:37.000]  People who use Cartivite know about the pollutants in our body and want them out.
[02:32:38.000 --> 02:32:40.000]  For over five years, Cartivite has proven itself time tested.
[02:32:41.000 --> 02:32:44.000]  Here's Dr. Mattson, a naturopathic doctor's thoughts on Cartivite.
[02:32:45.000 --> 02:32:47.000]  In our mind, there isn't such a great big mystery to disease anymore.
[02:32:48.000 --> 02:32:53.000]  This basic tenet of yeast in the gut and the metals in the liver covers at least 70-80% of the disease that we see.
[02:32:54.000 --> 02:32:58.000]  When we do our program, you know, in herbal form, it's like Cartivite and you see someone who could barely walk up a hill,
[02:32:58.000 --> 02:33:01.000]  now going for a regular job a few months later.
[02:33:02.000 --> 02:33:03.000]  We know we're doing something right.
[02:33:04.000 --> 02:33:05.000]  It's a well thought out formula.
[02:33:06.000 --> 02:33:10.000]  I mean, the idea of it working on yeast and metals both at the same time and liver function is dead on.
[02:33:11.000 --> 02:33:14.000]  You'll find, I think, that it'll work more than just on heart problems and circulation problems.
[02:33:15.000 --> 02:33:16.000]  It'll work on other problems as well.
[02:33:17.000 --> 02:33:26.000]  For more information, call 1-877-928-8822 or visit our website at www.heartdrop.com.
[02:33:26.000 --> 02:33:32.000]  That toll-free number again, 1-877-928-8822.
[02:33:56.000 --> 02:34:20.000]  We will die for the system.
[02:34:21.000 --> 02:34:23.000]  We're going to go back to Ed Brown here in a moment.
[02:34:23.000 --> 02:34:28.000]  Literally, their last stand could develop in New Hampshire.
[02:34:29.000 --> 02:34:31.000]  I'd like to hear from callers who specifically want to talk about this issue.
[02:34:32.000 --> 02:34:38.000]  I know we've got a bunch of holding we'll get to you, but I want to hear from callers who want to talk about Ed's courage, what he's facing, how you can help him.
[02:34:39.000 --> 02:34:43.000]  You know, some of my staff are like, pledge to help him, pledge to go up there to New Hampshire, be part of it.
[02:34:44.000 --> 02:34:45.000]  The feds are going to wait.
[02:34:46.000 --> 02:34:48.000]  I don't pledge somebody my support unless I can give it to them.
[02:34:48.000 --> 02:34:55.000]  I don't say I'm going to stand right there with you and I'm going to be there with you and I'll guarantee you're going to be safe, Ed.
[02:34:56.000 --> 02:34:58.000]  No, I'm here trying to support him on the air.
[02:34:59.000 --> 02:35:00.000]  I'm trying to give him support.
[02:35:01.000 --> 02:35:05.000]  We know when they're coming or they start driving up with tanks and getting ready for an assault, I'll try to jump on an airplane.
[02:35:06.000 --> 02:35:14.000]  You know, I was young when Waco happened, but I pledged after that to not stand by and watch this stuff anymore if we ever had a chance.
[02:35:15.000 --> 02:35:16.000]  But the feds are smart.
[02:35:16.000 --> 02:35:20.000]  They're not going to let their armor build up and then let people like Lexington and Concord show up.
[02:35:21.000 --> 02:35:26.000]  They'll hit Ed three, four, five months from now at 3 a.m. in the morning.
[02:35:29.000 --> 02:35:34.000]  So I hope he's got alarm systems all around there and we need people who will get together and agree.
[02:35:35.000 --> 02:35:43.000]  I'll go for a week, I'll go for a week, I'll go for a week and just keep it there with witnesses for as long as possible because they also won't want video cameras.
[02:35:43.000 --> 02:35:53.000]  We need to get a web camera hooked in there that's wireless without the feds knowing that can then send it to a remote server.
[02:35:54.000 --> 02:35:57.000]  I, of course, have those in my office and a lot of other security I won't mention.
[02:35:58.000 --> 02:35:59.000]  And home, of course.
[02:36:00.000 --> 02:36:06.000]  But that's what we need because the few times we've, like, BATF, remember in Tucson?
[02:36:07.000 --> 02:36:10.000]  A couple of years ago, they come in the gun shop they've been wanting to shut down.
[02:36:10.000 --> 02:36:17.000]  The guy hadn't, they passed a new law he hadn't heard about, he had to have a permit as a pawn shop.
[02:36:18.000 --> 02:36:19.000]  Even though it was a gun shop, they put it in there.
[02:36:20.000 --> 02:36:24.000]  And then SWAT team knew they were, and the BHF's going, man, this is a $5,000 gun.
[02:36:25.000 --> 02:36:26.000]  I'm going to keep that one. All right, don't file it.
[02:36:27.000 --> 02:36:29.000]  Listen, how are we going to plant something illegal on him?
[02:36:30.000 --> 02:36:31.000]  And they're just throwing all these guns in trash cans.
[02:36:32.000 --> 02:36:39.000]  Hey crooks, there was a VCR on 24 hour record mounted and you got caught on video trash.
[02:36:40.000 --> 02:36:43.000]  And we're mounting cameras everywhere and we're showing more.
[02:36:44.000 --> 02:36:48.000]  Like that cop when they pulled over, a fellow that has worked with Mike Hansen, Robert.
[02:36:49.000 --> 02:36:54.000]  And he had that hidden camera in that car and the cop started shooting his mouth off about how he liked to kill Robert.
[02:36:55.000 --> 02:36:59.000]  And we put that on the web and now that guy's in danger of getting fired.
[02:37:00.000 --> 02:37:02.000]  So you just keep your business up.
[02:37:03.000 --> 02:37:06.000]  Because there's some of us who aren't afraid of you anymore and afraid of your criminal masters.
[02:37:07.000 --> 02:37:09.000]  And you are so stupid most of you don't even know your criminals.
[02:37:10.000 --> 02:37:15.000]  You think we're here to be treated like trash and be abused by you while your bosses ship in the drugs.
[02:37:16.000 --> 02:37:17.000]  And while you ruin our society.
[02:37:18.000 --> 02:37:20.000]  We're not putting up with it anymore.
[02:37:21.000 --> 02:37:22.000]  All right, I'm going to shut up. I'm getting really mad here.
[02:37:23.000 --> 02:37:24.000]  I'm about to go back to Ed and your calls.
[02:37:25.000 --> 02:37:29.000]  Please go to infoawars.com and order America Freedom to Fascism.
[02:37:30.000 --> 02:37:33.000]  Get the DVD. Make copies. Get it out to people.
[02:37:34.000 --> 02:37:35.000]  Get aggressive so they know this is a fraud.
[02:37:36.000 --> 02:37:38.000]  The people are really waking up right now. Strike while the iron's hot.
[02:37:38.000 --> 02:37:43.000]  If you get it for $19.95, you can get Terror Storm for $9.95 as a special.
[02:37:44.000 --> 02:37:46.000]  And if you already have one of the films, go get the special and give the other video to somebody.
[02:37:47.000 --> 02:37:52.000]  Infoawars.com or 1-888-253-3139.
[02:37:53.000 --> 02:37:55.000]  We have an incredible activist tool on prisonplanet.tv.
[02:37:56.000 --> 02:37:59.000]  All 15 of my films, my weekly TV reports, special video reports.
[02:38:00.000 --> 02:38:01.000]  We've been doing like 3 or 4 a week lately.
[02:38:03.000 --> 02:38:04.000]  Up there on the website.
[02:38:05.000 --> 02:38:07.000]  It's 15 cents a day, $5.95 a month.
[02:38:08.000 --> 02:38:09.000]  It's an insane deal.
[02:38:10.000 --> 02:38:11.000]  Prisonplanet.tv and your support and membership.
[02:38:12.000 --> 02:38:13.000]  I want to thank all the members, by the way.
[02:38:14.000 --> 02:38:15.000]  Makes what we do here possible.
[02:38:16.000 --> 02:38:19.000]  Let's continue and kind of condense it down if we can, Ed.
[02:38:20.000 --> 02:38:22.000]  We'll do a part 2 if we need to here as this develops.
[02:38:23.000 --> 02:38:24.000]  Condense down then this saga.
[02:38:25.000 --> 02:38:26.000]  You're now in the courtroom.
[02:38:27.000 --> 02:38:28.000]  Then I want to go through how America Freedom to Fascism, you said,
[02:38:29.000 --> 02:38:32.000]  is what's getting you most of the support that people really have woken up.
[02:38:33.000 --> 02:38:34.000]  And it's exponential.
[02:38:35.000 --> 02:38:36.000]  It's going to double in the next year what it's already doubled.
[02:38:36.000 --> 02:38:37.000]  And so forth and so on.
[02:38:38.000 --> 02:38:41.000]  But let's go back here to the courtroom.
[02:38:42.000 --> 02:38:43.000]  You're in there.
[02:38:44.000 --> 02:38:45.000]  The judge won't even say what you're charged with.
[02:38:46.000 --> 02:38:47.000]  He just says, how do you plead?
[02:38:48.000 --> 02:38:49.000]  Please continue.
[02:38:50.000 --> 02:38:51.000]  He said, how do you plead?
[02:38:52.000 --> 02:38:53.000]  I said, I don't know.
[02:38:54.000 --> 02:38:55.000]  Then, of course, he's a court-appointed attorney.
[02:38:56.000 --> 02:38:57.000]  Immediately he jumped up and said, how do you want it?
[02:38:58.000 --> 02:38:59.000]  He pleads not guilty.
[02:39:00.000 --> 02:39:01.000]  I said, excuse me?
[02:39:02.000 --> 02:39:03.000]  And then, well, he pleads not guilty.
[02:39:04.000 --> 02:39:05.000]  Real fast, I go, well, the next thing Mr. Brown is, sir,
[02:39:06.000 --> 02:39:08.000]  I'm totally confused with this mess.
[02:39:09.000 --> 02:39:12.000]  At any rate, we move along to Mr. Brown.
[02:39:13.000 --> 02:39:16.000]  We cannot release you unless we have the firearms out of your house.
[02:39:17.000 --> 02:39:21.000]  We understand that you have, like, dirty guns in your house.
[02:39:22.000 --> 02:39:23.000]  So you notice they're now charging you with, I guess, tax evasion.
[02:39:24.000 --> 02:39:25.000]  They won't even say what it is.
[02:39:26.000 --> 02:39:30.000]  Now he wants you to incriminate yourself in front of court to say you have guns.
[02:39:31.000 --> 02:39:32.000]  He would then try to claim that in talking about your guns
[02:39:33.000 --> 02:39:34.000]  would be some type of threat to him.
[02:39:34.000 --> 02:39:35.000]  They do that all the time.
[02:39:36.000 --> 02:39:37.000]  Then they imprison you for a threat on a judge.
[02:39:38.000 --> 02:39:39.000]  So this is incredible.
[02:39:40.000 --> 02:39:41.000]  Please continue.
[02:39:42.000 --> 02:39:46.000]  Well, he said, I'm concerned about my officers' safety.
[02:39:47.000 --> 02:39:48.000]  So I need to have...
[02:39:49.000 --> 02:39:50.000]  See, he wanted you to verbally talk about guns and officers
[02:39:51.000 --> 02:39:52.000]  and their safety to misconstrue it.
[02:39:53.000 --> 02:39:54.000]  And, by the way, we've never talked.
[02:39:55.000 --> 02:39:56.000]  I didn't know this part of the story.
[02:39:57.000 --> 02:39:58.000]  This is the first for most listeners.
[02:39:59.000 --> 02:40:00.000]  They're seeing, I guess, of course, what it would be.
[02:40:01.000 --> 02:40:02.000]  This is how these criminals set people up.
[02:40:02.000 --> 02:40:04.000]  So I knew Donald Roth.
[02:40:05.000 --> 02:40:07.000]  I mean, in his cell, I couldn't do any work there.
[02:40:08.000 --> 02:40:09.000]  I didn't care what the attorney said.
[02:40:10.000 --> 02:40:12.000]  You know, I'm there in my own capacity as I sit as a man.
[02:40:13.000 --> 02:40:14.000]  Yeah, he just says, we're not telling you what we're charging you with.
[02:40:15.000 --> 02:40:16.000]  Plead guilty. Tell us about your guns.
[02:40:17.000 --> 02:40:17.000]  Here's your lawyer.
[02:40:18.000 --> 02:40:18.000]  That's correct.
[02:40:19.000 --> 02:40:21.000]  What lawyer? I can't use a lawyer on a 20.
[02:40:22.000 --> 02:40:25.000]  I have no choice. I'm not there to have someone to re-present me.
[02:40:26.000 --> 02:40:27.000]  I'm already there. I am present.
[02:40:28.000 --> 02:40:29.000]  So why would I need a attorney?
[02:40:30.000 --> 02:40:31.000]  So what happened next?
[02:40:32.000 --> 02:40:35.000]  I signed a paper to allow them, because I didn't care about the guns.
[02:40:36.000 --> 02:40:37.000]  So I knew where the guns were going.
[02:40:38.000 --> 02:40:39.000]  He said, we're going to go to Riley's Sports Shop, blah, blah, blah.
[02:40:40.000 --> 02:40:41.000]  We have some friendly terms with us.
[02:40:42.000 --> 02:40:44.000]  And really, they just didn't have a search warrant for the house.
[02:40:45.000 --> 02:40:47.000]  Let me guess, they stole a whole bunch of stuff when they were in there other than guns.
[02:40:48.000 --> 02:40:49.000]  Well, yes, they did.
[02:40:50.000 --> 02:40:51.000]  Oh, see, okay. This is okay.
[02:40:52.000 --> 02:40:53.000]  Yeah, that's interesting you said that.
[02:40:54.000 --> 02:40:55.000]  No, well, sir, they have a handbook.
[02:40:56.000 --> 02:40:57.000]  Okay, this is a mock-up.
[02:40:58.000 --> 02:40:59.000]  Yeah, I know. You got it all day, huh?
[02:41:00.000 --> 02:41:01.000]  So they took about $15,000 worth of guns.
[02:41:02.000 --> 02:41:03.000]  Oh, yeah.
[02:41:04.000 --> 02:41:05.000]  If you've got gold, they always steal that.
[02:41:06.000 --> 02:41:07.000]  And the cops all divvied up outside.
[02:41:08.000 --> 02:41:09.000]  Well, they couldn't get the gold, because I had that hidden somewhere.
[02:41:10.000 --> 02:41:10.000]  Oh, ma'am, yeah.
[02:41:11.000 --> 02:41:12.000]  Oh, don't let them know that. They'll be out there with shovels.
[02:41:13.000 --> 02:41:14.000]  It's already gone. It's already gone.
[02:41:15.000 --> 02:41:18.000]  At any rate, so I went home, by the way.
[02:41:19.000 --> 02:41:21.000]  So our agreement was, listen very carefully now.
[02:41:22.000 --> 02:41:26.000]  Our agreement was that my wife, who didn't drive, she was already on her way home,
[02:41:27.000 --> 02:41:28.000]  would drive home and show them where all the guns were.
[02:41:29.000 --> 02:41:30.000]  I says, okay.
[02:41:30.000 --> 02:41:31.000]  And I said, go ahead, tell them where all the guns were.
[02:41:32.000 --> 02:41:36.000]  Little did you know there was already a SWAT team waiting, I'm guessing here,
[02:41:37.000 --> 02:41:39.000]  and the minute you acquiesced, all color of law, they were in your house.
[02:41:42.000 --> 02:41:43.000]  What, were you there?
[02:41:44.000 --> 02:41:45.000]  No, I studied the New World Order, sir.
[02:41:46.000 --> 02:41:47.000]  Yeah, me too.
[02:41:48.000 --> 02:41:52.000]  They were there at 11 o'clock, even before I went into the courtroom.
[02:41:53.000 --> 02:41:55.000]  At 11 o'clock tomorrow, I went to the courtroom 3.30 in the afternoon.
[02:41:56.000 --> 02:41:57.000]  They'd already photographed every square rule.
[02:41:58.000 --> 02:41:59.000]  Oh, so it was worse than I said.
[02:42:00.000 --> 02:42:03.000]  The judge had probably told them, hell, you already went in there without a search warrant?
[02:42:04.000 --> 02:42:05.000]  You can get in trouble.
[02:42:06.000 --> 02:42:07.000]  We've got to now trick him into acquiescing.
[02:42:08.000 --> 02:42:12.000]  Well, I acquiesced only to them getting the guns.
[02:42:13.000 --> 02:42:17.000]  Not to go in any place else at all, but they went in every single drawer.
[02:42:18.000 --> 02:42:19.000]  I know what they did.
[02:42:20.000 --> 02:42:22.000]  So continue with the crimes, just kind of sum it up for us.
[02:42:23.000 --> 02:42:25.000]  I know there's thousands of them, but you know.
[02:42:25.000 --> 02:42:26.000]  Yeah, I know.
[02:42:27.000 --> 02:42:28.000]  So they let me go after that.
[02:42:29.000 --> 02:42:30.000]  They got all the guns.
[02:42:31.000 --> 02:42:32.000]  I went back home.
[02:42:33.000 --> 02:42:34.000]  But they left me standing out, cooling my heels while I had to wait three hours for a ride to get home.
[02:42:35.000 --> 02:42:36.000]  I had no phone or nothing.
[02:42:37.000 --> 02:42:39.000]  So then I went home and waited for court, come court time.
[02:42:40.000 --> 02:42:42.000]  Six months later, I filed 42 motions.
[02:42:43.000 --> 02:42:45.000]  Denied, denied, denied all 42 of them.
[02:42:46.000 --> 02:42:47.000]  Got into the courtroom.
[02:42:48.000 --> 02:42:49.000]  The judge's jury rigged it.
[02:42:50.000 --> 02:42:51.000]  Yeah.
[02:42:52.000 --> 02:42:53.000]  What do you call it?
[02:42:53.000 --> 02:42:54.000]  Jerry Tampering.
[02:42:55.000 --> 02:42:56.000]  Jerry Tampering, rigged the jury.
[02:42:57.000 --> 02:42:58.000]  Jerry Tampering.
[02:42:59.000 --> 02:43:02.000]  Then I had every single motion that I had in the court.
[02:43:03.000 --> 02:43:05.000]  And then would never even let you talk.
[02:43:06.000 --> 02:43:13.000]  And before you could even, as the first word left your mouth, he would say, you know, he would tell you to shut up.
[02:43:14.000 --> 02:43:15.000]  You were never even allowed to talk or defend yourself.
[02:43:16.000 --> 02:43:19.000]  He was a little more polite than that, but that's basically it.
[02:43:20.000 --> 02:43:21.000]  Yes, sir.
[02:43:21.000 --> 02:43:22.000]  Okay.
[02:43:23.000 --> 02:43:24.000]  So then we went further.
[02:43:25.000 --> 02:43:30.000]  He had a special meeting with us at one afternoon for the prosecutor, second day of trial.
[02:43:31.000 --> 02:43:35.000]  And he said, I was vying for this trial, by the way, because now I got a chance to really nail these puppies once and for all.
[02:43:36.000 --> 02:43:37.000]  And to get my evidence out there.
[02:43:38.000 --> 02:43:39.000]  But it wasn't working out that way.
[02:43:40.000 --> 02:43:44.000]  So anyway, he had us come in after the court, the jury left the room and everybody else left the room.
[02:43:45.000 --> 02:43:49.000]  So it was just the judge and my wife and myself talking about what's going to happen and what we needed to do.
[02:43:49.000 --> 02:43:54.000]  So he tells us that we cannot show our evidence.
[02:43:55.000 --> 02:44:03.000]  We cannot, because if any of the evidence was what he didn't consider, you know, good enough, you know, and he said all of our evidence wasn't good enough.
[02:44:04.000 --> 02:44:06.000]  He finally allowed one video, that's all.
[02:44:07.000 --> 02:44:09.000]  He disallowed all witnesses except for one.
[02:44:10.000 --> 02:44:17.000]  Ten of my witnesses, which were witnesses for the prosecution, which were the US officers, he wouldn't have let me witness that.
[02:44:17.000 --> 02:44:18.000]  I have a single one of them.
[02:44:19.000 --> 02:44:20.000]  Yeah, I can't even call the cops that did this to you.
[02:44:21.000 --> 02:44:22.000]  Thank you.
[02:44:23.000 --> 02:44:24.000]  He wouldn't even allow it. I couldn't believe it.
[02:44:25.000 --> 02:44:30.000]  It's not relevant. It doesn't pertain to the case that you're suing them, the people you're suing and you're not allowed to call.
[02:44:31.000 --> 02:44:32.000]  Exactly. That's exactly what he did.
[02:44:33.000 --> 02:44:34.000]  I could not believe you know that much of it. Good Lord.
[02:44:35.000 --> 02:44:36.000]  It's always the same shirt. It's not very hard.
[02:44:37.000 --> 02:44:38.000]  I know.
[02:44:39.000 --> 02:44:40.000]  I could finish your story if you like. I've never heard it.
[02:44:40.000 --> 02:44:41.000]  Yeah, I know, I know.
[02:44:42.000 --> 02:44:59.000]  But now we're down to, okay, our time to go into court. We left court on Thursday in the afternoon and we knew right then and there as soon as we saw the jury tampering on his decision to advise the jury how he was going to make his decision to them, what they had to do.
[02:45:00.000 --> 02:45:01.000]  We said, I said, I'm not going back.
[02:45:02.000 --> 02:45:04.000]  There's no way in the world I'm going back to this judge and this court.
[02:45:05.000 --> 02:45:05.000]  That's a sham.
[02:45:06.000 --> 02:45:06.000]  Well, it's not a real court.
[02:45:07.000 --> 02:45:07.000]  No, it's not.
[02:45:07.000 --> 02:45:11.000]  You already had them just ignore the whole process of the courts and pass it up to the feds the first time.
[02:45:12.000 --> 02:45:13.000]  Totally gone.
[02:45:14.000 --> 02:45:15.000]  Okay, so then what did they later find you guilty of?
[02:45:16.000 --> 02:45:22.000]  Oh God, something called structuring and whatever that was and willful failure to file, the usual stuff.
[02:45:23.000 --> 02:45:26.000]  And then they compounded it so it accumulated to 17 counts.
[02:45:27.000 --> 02:45:32.000]  Now the news pieces act like they've just been sweet to you and they're not going to hurt you and they've never touched you.
[02:45:32.000 --> 02:45:42.000]  They have it broken in your house and had snipers aimed at you and you're just crazy saying that armed force is coming and I guess when they SWAT team you then everybody will forget about what they promised beforehand.
[02:45:43.000 --> 02:45:49.000]  So when did you decide to just come on, you want a war, you know, I mean, frankly, you're saying you're ready to die. What got you to that point?
[02:45:50.000 --> 02:45:53.000]  My wife, she was absolutely in terror.
[02:45:54.000 --> 02:45:56.000]  I mean, she's like half destroyed now.
[02:45:57.000 --> 02:45:59.000]  The damage is a permanent for the rest of her life.
[02:45:59.000 --> 02:46:02.000]  I'd rather live on your feet than on your knees and you've just had enough of a terrorist.
[02:46:03.000 --> 02:46:06.000]  Absolutely. I mean, I could choose at least the way I go.
[02:46:07.000 --> 02:46:11.000]  And I'm not going to go as a coward. I'm not going to go as, I'm just not going to go that way.
[02:46:12.000 --> 02:46:14.000]  I'm not going to be enslaved for one second by any man.
[02:46:15.000 --> 02:46:18.000]  I am a man of the Creator, period. End of that story.
[02:46:19.000 --> 02:46:23.000]  So my wife, I have a responsibility to my wife, my country.
[02:46:24.000 --> 02:46:28.000]  Now she's not in the house and the media is saying that they're keeping her out of the house. What's going on with that?
[02:46:29.000 --> 02:46:30.000]  She's in prison. She's a prisoner.
[02:46:31.000 --> 02:46:31.000]  Yeah.
[02:46:32.000 --> 02:46:36.000]  She's a prisoner in her son's house with one of those little lake things on, you know, little flashing lights on them.
[02:46:37.000 --> 02:46:38.000]  When did they get her?
[02:46:39.000 --> 02:46:44.000]  She turned herself in. I was in sheer terror. I wanted not to do it, but I couldn't stop her. She has her own decision to make.
[02:46:45.000 --> 02:46:48.000]  Well, it's not women's job to fight, so that's okay. She's out of the way.
[02:46:49.000 --> 02:46:53.000]  She's out of the way, so she's safe down there where she is, but she's still a prisoner. She can't leave, we can't see each other.
[02:46:53.000 --> 02:47:01.000]  Now, you better get a couple of those disposable track phones from Slave Mart or wherever, because, you know, they're going to turn your cell phone and all your lights and power off.
[02:47:02.000 --> 02:47:03.000]  No, they can't do that.
[02:47:04.000 --> 02:47:09.000]  Right before they attack you. Now, I understand, but they may even try to jam your existing signal, so I'm sure you're all backed up and ready.
[02:47:10.000 --> 02:47:14.000]  When the descendants are coming up, when do you think these bastards will try to hit you?
[02:47:15.000 --> 02:47:17.000]  I don't know. I'm prepared every day, 24 hours a day.
[02:47:18.000 --> 02:47:22.000]  What have people said they're going to do if they come in against you? You said you're getting a lot of help.
[02:47:23.000 --> 02:47:30.000]  Yes. It's not so much the help that was while I'm here. They're going to have to worry about what's going to come after.
[02:47:35.000 --> 02:47:38.000]  And by that, you mean a lot of people are saying this is it?
[02:47:39.000 --> 02:47:45.000]  We said this stuff a long time ago. Remember, as I said to you, Alex, this is my case.
[02:47:46.000 --> 02:47:49.000]  We knew what we were getting into when we got into it in the beginning.
[02:47:49.000 --> 02:47:52.000]  We knew, like you, you know how they operate, so do we.
