[00:00:13.618 --> 00:00:16.899]  Texas, broadcasting worldwide.
[01:12:39.276 --> 01:12:42.437]  And I said, without missing a beat, I said, don't you mean AIDS?
[01:12:42.437 --> 01:12:49.919]  And we looked up at each other, and we looked up at each other, and we both just... And then I stopped myself, and I said, oh no.
[01:12:49.919 --> 01:12:51.880]  He wasn't antibody positive.
[01:12:51.880 --> 01:12:53.260]  He wasn't immune.
[01:12:53.260 --> 01:12:55.801]  He wasn't injected when he was already infected.
[01:12:56.782 --> 01:13:00.424]  And Mickey's just slowly shaking his head.
[01:13:00.424 --> 01:13:08.669]  So here he was, hired to make a promotional video for the book, that's what he does, he makes movies, and all of a sudden he knows you're telling the truth, this happened to his brother, and then he starts sharing with you.
[01:13:08.669 --> 01:13:12.992]  And then it becomes films, it becomes all this, it's reached hundreds of millions of people.
[01:13:12.992 --> 01:13:17.555]  Boy, I bet Fauci isn't feeling too good right now, knowing that his name is destroyed.
[01:13:17.555 --> 01:13:25.319]  He may never be convicted, I hope he is, and put in prison, but regardless, he's been convicted in the court of global public opinion as a mass-murdering Joseph Mingala 2.0.
[01:13:26.460 --> 01:13:30.061]  Yeah, and what's important about that is showing the perspective.
[01:13:30.061 --> 01:13:32.061]  Brilliantly in the show last night.
[01:13:32.061 --> 01:13:43.584]  Watch it when you show it again in an hour because Fauci's only portrait is what he did in AIDS and then compared to 1986 to 2020.
[01:13:43.584 --> 01:13:46.964]  The same playbook.
[01:13:46.964 --> 01:13:53.886]  Any criminologist will tell you, particularly the higher functioning psychopaths, follow exact crimes and do them over and over again exactly the same.
[01:13:54.646 --> 01:13:59.208]  And nowhere could you say this is an anti-vaxxer meeting.
[01:13:59.208 --> 01:14:01.309]  He doesn't show any of the doctors.
[01:14:01.309 --> 01:14:02.770]  Not Dr. Tenpenny.
[01:14:02.770 --> 01:14:04.071]  Not Paul Thomas.
[01:14:04.071 --> 01:14:05.511]  Not Andy Wakefield.
[01:14:05.511 --> 01:14:06.952]  Not Judy Mankiewicz.
[01:14:06.952 --> 01:14:08.833]  He doesn't show any of that.
[01:14:08.833 --> 01:14:13.595]  And the Robert Malone's or the Frank Rossetti's, our book, Ending Plague.
[01:14:13.595 --> 01:14:14.836]  The staunch NCI.
[01:14:16.036 --> 01:14:21.440]  All of a sudden are coming through and saying, yeah, when they can hear us, when they can listen.
[01:14:21.440 --> 01:14:23.562]  So it wasn't that they could see us.
[01:14:23.562 --> 01:14:26.224]  It's that they could hear us.
[01:14:26.224 --> 01:14:29.907]  We had been silent so long, censored so long.
[01:14:29.907 --> 01:14:37.653]  You know, what has been so exciting for me in this journey with Judy is Judy was the original gangster.
[01:14:37.953 --> 01:14:45.100]  Okay, she was the first one out there, 2014, when our book came out, and we went after Fauci in it.
[01:14:45.100 --> 01:14:47.803]  Nobody was hearing us about Fauci.
[01:14:47.803 --> 01:14:50.285]  Now the whole world knows about Fauci.
[01:14:50.285 --> 01:14:54.009]  With our second book together, Robert F. Kennedy Jr.
[01:14:54.009 --> 01:14:59.474]  writes the foreword for it, and he's running for president, and he is- And he's tied against
[01:14:59.514 --> 01:15:00.334]  He's tied against Biden.
[01:15:00.334 --> 01:15:01.855]  And he's tied against Biden.
[01:15:01.855 --> 01:15:13.539]  So how much do I see the hand of God working in our world that brave people like Judy are standing up like you, Alex?
[01:15:13.539 --> 01:15:28.144]  I mean, I am so incredibly proud to have my name on the book with you because I feel like I am making the decision to get in that plane with you, fly through the flack and get
[01:15:28.664 --> 01:15:31.066]  Destroyed the target of the Deep State.
[01:15:31.066 --> 01:15:33.547]  I appreciate you going next level, skin in the game.
[01:15:33.547 --> 01:15:38.530]  But getting into Judy and you, because it's not about praise here, but it's about victory.
[01:15:38.530 --> 01:15:39.651]  You write the book with her.
[01:15:39.651 --> 01:15:40.872]  It gets turned into films.
[01:15:40.872 --> 01:15:47.216]  I mean, there's five or ten things that really helped devastate the globalist operation and their whole New World Order rollout.
[01:15:47.216 --> 01:15:48.757]  It's been Judy and you.
[01:15:48.757 --> 01:15:56.781]  So how good does that feel, just from not a pride position, but a satisfaction of knowing that you guys have really torn up the New World Order?
[01:15:57.762 --> 01:16:00.705]  But you see, all we did was trust in God and true science and not a cult called scientism.
[01:16:14.739 --> 01:16:37.299]  And when we speak that truth in love and find a way to talk to each other and see the perspective that I as a 25-year-old in 1983 didn't see when I got angry at Fauci and anger and arrogance took the day and fear of a big boss telling a 25-year-old what to do.
[01:16:37.859 --> 01:16:40.642]  So I swore at him and almost lost another job.
[01:16:40.642 --> 01:16:50.732]  When you look at, and then it took until 2019, sitting in a chair with Mickey, and my gut scientific response was still, don't you need AIDS?
[01:16:50.732 --> 01:16:51.532]  And it was my work.
[01:16:51.532 --> 01:16:51.813]  That's right.
[01:16:51.813 --> 01:17:01.442]  You were working on a book, which you came out, exposing Fauci and pandemics and control of them and drugs that kill you, not the virus, right as they were getting ready to release it and roll all this out.
[01:17:01.442 --> 01:17:01.662]  Yeah.
[01:17:01.662 --> 01:17:02.003]  Correct.
[01:17:02.683 --> 01:17:04.784]  And they delayed the release.
[01:17:04.784 --> 01:17:06.605]  That's the perfect timing of God, though.
[01:17:06.605 --> 01:17:12.908]  God was loading her into the chamber to be fired at the New World Order right before they launched.
[01:17:12.908 --> 01:17:13.408]  Yeah.
[01:17:13.408 --> 01:17:20.712]  And so, you know, the story I always tell is that Plague of Corruption was meant to release in November of 2019.
[01:17:20.712 --> 01:17:23.673]  And because Robert F. Kennedy Jr.
[01:17:23.673 --> 01:17:27.655]  was taking time with the forward, the publisher decided to kick it to April.
[01:17:28.175 --> 01:17:32.377]  For two hours, Judy Knows This, I was like mad as hell about this.
[01:17:32.377 --> 01:17:36.800]  And then I felt like there was this voice that said to me, just relax.
[01:17:36.800 --> 01:17:42.543]  And then it came out, April 15, 2020.
[01:17:42.543 --> 01:17:51.888]  Everybody saw how we had looked at what happened with chronic fatigue syndrome, what had happened with autism, the lies told about HIV.
[01:17:51.888 --> 01:17:52.749]  And suddenly,
[01:17:53.309 --> 01:17:57.594]  Everybody saw the game plan of this medical model.
[01:17:57.594 --> 01:17:59.477]  And if it had come out in November, that wouldn't have happened.
[01:17:59.477 --> 01:18:05.384]  But the fact it came out right during the hysteria, it just went... But there's even more God in it than that.
[01:18:05.384 --> 01:18:13.253]  Because the reason Bobby didn't understand was when the foreword was drafted, we didn't add the last chapter.
[01:18:14.270 --> 01:18:20.094]  And one day I asked Bobby in the fall, because I'm worried about it, because I know what the last chapter is.
[01:18:20.094 --> 01:18:25.417]  I know the day I saw them take it off the internet, and that is the NIH, and it was the middle of August.
[01:18:25.417 --> 01:18:27.598]  It's told in our book, Ending Plague.
[01:18:27.598 --> 01:18:32.782]  And so I'm getting worried that we're both going to get killed, because it didn't have a dead man's trigger.
[01:18:32.782 --> 01:18:41.327]  So I just so quickly, somebody, Mickey, explained to me what that was, and I just called Kent and said, okay, maybe there's one last story we should tell.
[01:18:41.627 --> 01:18:42.548]  I'll tell you.
[01:18:42.548 --> 01:18:46.513]  But that one last story was, well, I'll tell you then.
[01:18:46.513 --> 01:18:49.216]  So Bobby, I said, Bobby, how can I help?
[01:18:49.216 --> 01:18:51.839]  And he said, Judy, there's something missing.
[01:18:51.839 --> 01:18:53.481]  I said, Bobby, I know you're busy.
[01:18:53.481 --> 01:18:54.943]  Read the last chapter.
[01:18:54.943 --> 01:19:01.071]  And he called me about a week later and he said, oh, congratulations, because he saw the last chapter.
[01:19:01.571 --> 01:19:07.456]  He saw that we had every sample, we saved every piece of data, we had it in freezers.
[01:19:07.456 --> 01:19:10.879]  Godly men had the courage not to throw out the evidence.
[01:19:10.879 --> 01:19:14.481]  We've got them all, and they saw that in the summer of 19.
[01:19:14.481 --> 01:19:16.423]  So they had to cover it up.
[01:19:16.423 --> 01:19:20.887]  And that six months we needed to set the stage for Mickey Willis.
[01:19:20.887 --> 01:19:23.008]  Of course, right at the time this was happening, the U.N.
[01:19:23.008 --> 01:19:24.970]  had an emergency meeting saying everything was about to come out.
[01:19:25.310 --> 01:19:27.292]  Yeah, I was scared to death.
[01:19:27.292 --> 01:19:30.095]  And Bobby called me, I'm driving in L.A.
[01:19:30.095 --> 01:19:34.199]  with my husband, and Bobby called me and said, congratulations.
[01:19:34.199 --> 01:19:36.581]  And I said, don't congratulate me, Kent wrote it.
[01:19:36.581 --> 01:19:38.723]  And he instantly hung up.
[01:19:38.723 --> 01:19:49.654]  Alright, so folks are getting the major inside baseball right now, obviously with the top quote anti-vaxxer, really just the truth teller, Robert F. Kennedy, Jr., working with Judy Megovich and Kent.
[01:19:50.034 --> 01:19:50.755]  But what's
[01:20:11.206 --> 01:20:12.387]  Yeah, we just skipped a break.
[01:20:12.387 --> 01:20:14.509]  We just skipped a break, so we are now back.
[01:20:14.509 --> 01:20:19.114]  Some stations jumped away from us for a minute, so I wanted to come back for the few stations that cover that up.
[01:20:19.114 --> 01:20:20.015]  Most of them don't.
[01:20:20.015 --> 01:20:24.018]  Most of them will skip the break, go with us, because it's a network break that I was just skipping.
[01:20:24.018 --> 01:20:25.720]  Please continue with what it was like.
[01:20:25.720 --> 01:20:31.225]  Yeah, I want to tell you the next thing, because there's another piece of God in it that was so brilliant in the film last night.
[01:20:31.866 --> 01:20:36.510]  Because nowhere in that film is there an anti-vaxxer scientist of any kind.
[01:20:36.510 --> 01:20:37.811]  Especially not me.
[01:20:37.811 --> 01:20:37.991]  Yeah.
[01:20:37.991 --> 01:20:39.212]  And all you have to do.
[01:20:39.212 --> 01:20:41.814]  So you can't say Bobby Kennedy's an anti-vaxxer.
[01:20:41.814 --> 01:20:43.656]  He's environmental safety.
[01:20:43.656 --> 01:20:46.378]  He's true wellness and health.
[01:20:46.378 --> 01:20:48.560]  And keeping water, air, and soil clean.
[01:20:48.560 --> 01:20:49.120]  No, no, I know.
[01:20:49.120 --> 01:20:50.541]  They call everybody anti-vaxxers.
[01:20:52.398 --> 01:20:56.140]  Vaccines have just become a way to put something secret in our bodies.
[01:20:56.140 --> 01:20:59.362]  It has nothing to do with even the original science of, quote, inoculation.
[01:20:59.362 --> 01:21:07.646]  Why not as a scientist, a vaccine expert, explain to them what this cult of scientism is, which is a real term, folks.
[01:21:07.646 --> 01:21:11.768]  The cult of people claiming they're scientists and saying, don't question them, versus the real scientific method.
[01:21:12.068 --> 01:21:15.051]  Well, it's the whole, you know, you believe us.
[01:21:15.051 --> 01:21:16.912]  You believe the consensus.
[01:21:16.912 --> 01:21:18.073]  It's we decide.
[01:21:18.073 --> 01:21:19.874]  Science isn't democratic.
[01:21:19.874 --> 01:21:21.496]  Science is data.
[01:21:21.496 --> 01:21:29.723]  And so they put statistics to data, and if it doesn't match a certain power, or when they review the journals, everything about it is fraud.
[01:21:29.723 --> 01:21:31.104]  Because if you have an idea,
[01:21:32.184 --> 01:21:43.053]  They have a consensus that you're then supposed to then agree and always have your research agree with the consensus put up by the corporations, so then they keep promoting you and giving you money because you've given them control.
[01:21:43.053 --> 01:21:44.534]  Or it's not funded.
[01:21:44.534 --> 01:21:53.221]  So if your idea isn't among the consensus, no matter how much data you have, or the papers aren't published, and if you don't publish, you perish.
[01:21:53.621 --> 01:22:02.004]  It's just, and Fauci set up that whole system in the 90s, right after 1993 with the peer review.
[01:22:02.004 --> 01:22:03.064]  Well, here's an example.
[01:22:03.064 --> 01:22:11.547]  Take Zero Point Energy, which thousands of universities and tens of thousands of regular people have done with magnets on a low scale.
[01:22:12.607 --> 01:22:13.788]  And prove you can do it.
[01:22:13.788 --> 01:22:17.070]  Now, wide scale, will it work?
[01:22:17.070 --> 01:22:19.992]  Well, I'm sure we can develop a way, but certainly it's real.
[01:22:19.992 --> 01:22:28.177]  The physics show it's real, but because they put out a story 30 years ago saying it wasn't true, the consensus is you can't have that energy.
[01:22:28.177 --> 01:22:29.718]  Then it just totally suppresses that whole area.
[01:22:29.938 --> 01:22:45.756]  Right, and in medicine, it's take a drug, use it in the wrong person, at the wrong dose, in the wrong time, in the wrong formulation, as Frank Crassetti writes in Ending Plague, run a big expensive trial if you're a company, it becomes dog shit, and they never use it again right.
[01:22:45.756 --> 01:22:46.537]  That was Sermon.
[01:22:47.017 --> 01:22:49.178]  That was a 100-year-old essential medicine.
[01:22:49.178 --> 01:22:55.702]  They used it at such high a dose, they didn't appreciate the mechanism of it, and maybe we couldn't have because our technology was advanced.
[01:22:55.702 --> 01:23:00.885]  But Bob Navio did a double-blind placebo-controlled study, 2015, and I consented the kids into it.
[01:23:04.228 --> 01:23:06.429]  25 kids and we found the needle in a haystack.
[01:23:06.429 --> 01:23:12.873]  When we see the biology, and you have true biology, we can teach this and we can heal everybody from nothing.
[01:23:12.873 --> 01:23:14.595]  That's why I'm so optimistic.
[01:23:14.595 --> 01:23:16.776]  So what they're doing is suppressing all the real treatments.
[01:23:16.776 --> 01:23:19.158]  Right, and now people know they've suppressed.
[01:23:19.158 --> 01:23:20.639]  Well, we just saw it.
[01:23:20.639 --> 01:23:23.380]  They were rating doctors and giving people vitamin C IVs.
[01:23:23.380 --> 01:23:25.482]  Now vitamin C's bad during the pandemic.
[01:23:25.822 --> 01:23:30.103]  Well, but vitamin C IVs are loaded with glyphosate.
[01:23:30.103 --> 01:23:34.284]  And you can't infuse things because that's not how God presents it.
[01:23:34.284 --> 01:23:39.026]  So you actually have feedback loops, it's a scientific term, to turn down the sensors.
[01:23:39.026 --> 01:23:47.968]  So you hurt yourself, just like giving a black person liquid vitamin D. His sensors act like resistors and will turn right down and they get sicker fast.
[01:23:47.968 --> 01:23:50.069]  So what do black people need to do because they're low on vitamin D?
[01:23:50.069 --> 01:23:50.749]  Go out in the sun.
[01:23:53.364 --> 01:23:55.448]  Amazing what God provides to us, right?
[01:23:56.857 --> 01:24:12.285]  You know, and when the pandemic was starting, I was saying, this is crazy from what I've understood with my work with Dr. Judy is, you know, what you need to do is you need to go out in the sun, you need to exercise, you need to be healthy, you need to have good social relations.
[01:24:12.285 --> 01:24:21.550]  And every single thing they did to us in the pandemic was designed to affect our immune system and suppress our immune system.
[01:24:21.550 --> 01:24:25.272]  So whatever this virus is going to do to you, it was going to do it in space.
[01:24:25.272 --> 01:24:26.253]  Well, that's my next question.
[01:24:26.991 --> 01:24:28.913]  We've talked about the past and what's currently happening.
[01:24:28.913 --> 01:24:32.156]  I want to play the Niels deGrasse Tyson clip where he says, I am science.
[01:24:32.156 --> 01:24:34.118]  I don't care how many prestigious people you have.
[01:24:34.118 --> 01:24:34.758]  I am science.
[01:24:34.758 --> 01:24:40.384]  I am the consensus, meaning the big corporations, the intelligence agencies we now know worldwide that actually suppress the truth.
[01:24:40.384 --> 01:24:41.505]  We've been vindicated.
[01:24:41.505 --> 01:24:42.566]  They've been proven totally wrong.
[01:24:42.566 --> 01:24:45.188]  I want to talk some about that with you guys next segment.
[01:24:45.188 --> 01:24:46.910]  But while we still have time on the other subject,
[01:24:48.288 --> 01:24:52.351]  Judy, Dr. Majovic, what is coming next?
[01:24:52.351 --> 01:24:54.493]  We know the shots lower immunity.
[01:24:54.493 --> 01:24:55.714]  We know they're full of spike protein.
[01:24:55.714 --> 01:25:01.179]  We know they're causing infertility, massive increases in cancer, massive blood clots.
[01:25:01.179 --> 01:25:06.983]  That was warned about before they ever gave the shot by Dr. Michael Giedon and others, and you.
[01:25:06.983 --> 01:25:08.865]  So, what was their endgame?
[01:25:08.865 --> 01:25:11.027]  What were they really planning with this?
[01:25:11.027 --> 01:25:15.911]  How do they think they would cover up the fact that it erases your immune system the more of the shots you take?
[01:25:16.491 --> 01:25:21.034]  And I even saw Pfizer execs brag, oh after three shots you have no immune system, you'll need our shots forever.
[01:25:21.034 --> 01:25:24.316]  I mean, why are they giving interviews saying this?
[01:25:24.316 --> 01:25:26.578]  You've been around these people, what's wrong with them?
[01:25:26.578 --> 01:25:28.359]  Well, that was the goal.
[01:25:28.359 --> 01:25:41.988]  COVID was premeditated murder of, you know, 35 years of unchecked, untested, unsafe weaponization, bioweapons, monkey, mouse, kidney, aborted fetal, you know, all of those viruses.
[01:25:41.988 --> 01:25:44.330]  The what's next is never another shot.
[01:25:44.750 --> 01:25:46.251]  None of them were ever tested.
[01:25:46.251 --> 01:25:47.691]  They're fermented products.
[01:25:47.691 --> 01:25:51.833]  Never another shot, and go back to God-given immunity.
[01:25:51.833 --> 01:25:52.793]  We have the patents.
[01:25:52.793 --> 01:25:54.594]  We have the drugs developed.
[01:25:54.594 --> 01:25:58.055]  You know, we know how to use things like natokinase, natural products.
[01:25:58.055 --> 01:26:00.136]  We know nitric oxide, cardiomiracle.
[01:26:00.136 --> 01:26:00.936]  We've got formula.
[01:26:00.936 --> 01:26:02.636]  Sure, but I'm asking, what are they going to do next?
[01:26:02.636 --> 01:26:05.718]  What was their plan for the people that took two, three, four of the shots?
[01:26:05.718 --> 01:26:09.979]  Because you got Borla wearing masks saying they had a Pfizer.
[01:26:09.979 --> 01:26:10.619]  Science will win.
[01:26:10.619 --> 01:26:12.260]  You got Fauci saying, I am science.
[01:26:12.760 --> 01:26:14.762]  I am the Senate, like Emperor Palpatine.
[01:26:14.762 --> 01:26:16.664]  I mean, these guys are ridiculous.
[01:26:16.664 --> 01:26:27.854]  And the plan was to kill you, but we've told you with a couple of nutrients and things, we can absolutely put back down the foundation to detox.
[01:26:27.854 --> 01:26:30.576]  We don't count calories, we count chemicals.
[01:26:30.576 --> 01:26:36.341]  We're being poisoned, but we have no nutrition because our food is poison.
[01:26:36.341 --> 01:26:37.422]  Our food is GMO.
[01:26:37.422 --> 01:26:38.163]  We have to end this.
[01:26:38.523 --> 01:26:40.604]  Food, we know what comes next.
[01:26:40.604 --> 01:26:42.605]  Now they're doing their nitrogen game.
[01:26:42.605 --> 01:26:46.648]  Our soil is dead, it doesn't... Oh yeah, they're announcing they want to ban nitrogen.
[01:26:46.648 --> 01:26:47.608]  Yeah, of course.
[01:26:47.608 --> 01:26:51.170]  So everything God created they want to ban and put us in a place.
[01:26:51.170 --> 01:26:58.414]  All we have to do is walk away from their system and we have the solutions right now and... So stop complying.
[01:26:58.414 --> 01:26:59.254]  Stop complying.
[01:26:59.254 --> 01:27:00.775]  I mean, I played the clip twice last week.
[01:27:00.775 --> 01:27:01.656]  Carrie actually says,
[01:27:02.256 --> 01:27:04.837]  We've got to cut off the farms or people will starve to death.
[01:27:04.837 --> 01:27:07.838]  He says we've got to shut these farms down or there'll be mass starvation.
[01:27:07.838 --> 01:27:11.820]  So they run the lockdowns, shut down the farms and ranches of the third world.
[01:27:11.820 --> 01:27:16.021]  95% in a Gallup poll of illegals come here saying they shut down my business, my farm.
[01:27:16.021 --> 01:27:17.322]  I can't feed myself.
[01:27:17.322 --> 01:27:21.083]  And then the UN brings them here and says global warming caused the refugees.
[01:27:21.083 --> 01:27:23.444]  And now the answer is shutting down farms in the West.
[01:27:23.444 --> 01:27:25.725]  I mean, can't the public put two and two together?
[01:27:25.725 --> 01:27:27.826]  We're going to shut farms down to stop starvation?
[01:27:28.786 --> 01:27:29.967]  Mickey did last night.
[01:27:29.967 --> 01:27:31.288]  The Great Awakening.
[01:27:31.288 --> 01:27:32.508]  It's up to us.
[01:27:32.508 --> 01:27:33.789]  Stand up together.
[01:27:33.789 --> 01:27:34.990]  Truth in love.
[01:27:34.990 --> 01:27:35.891]  That's what he showed.
[01:27:35.891 --> 01:27:37.312]  We end up happy.
[01:27:37.312 --> 01:27:38.232]  That's what he showed you.
[01:27:38.232 --> 01:27:39.593]  Right now, we already won.
[01:27:39.593 --> 01:27:41.935]  Because we survived this one.
[01:27:41.935 --> 01:27:43.796]  And now we know the game plan.
[01:27:43.796 --> 01:27:44.596]  No, I agree.
[01:27:44.596 --> 01:27:50.560]  It's going to be very hard for them to launch another one now that people, a large minority becoming a majority, has their number.
[01:27:50.560 --> 01:27:52.281]  But do you think the psychos are going to quit?
[01:27:52.281 --> 01:27:55.263]  I mean, Fauci says, I am a science.
[01:27:55.263 --> 01:27:56.404]  Which, again, is a science cult.
[01:27:57.709 --> 01:28:03.394]  Well, I'm never going to quit obeying God and just moving forward according to my purpose.
[01:28:03.394 --> 01:28:18.206]  And that means right now Ephesians 5.11, shouting from the rooftops in one sense, but the Great Awakening with Mickey Willis, speaking the truth in love, forgiving people, bringing them back, moving that middle, showing that emotion like that film that people didn't know.
[01:28:18.206 --> 01:28:19.627]  They did not know.
[01:28:19.887 --> 01:28:26.953]  Yeah, folks, Mickey Willis has made a lot of great movies and was a big Hollywood producer for ads and movies and documentaries before.
[01:28:26.953 --> 01:28:38.404]  He was already awake a lot, but then meeting Judy and Kent really, really woke up, I guess, about three, four years ago, four years ago, and now these films are just devastating the New World Order.
[01:28:38.404 --> 01:28:41.026]  You can find it for free at InfoWars.com.
[01:28:41.026 --> 01:28:42.647]  We have the links to it right now.
[01:28:42.647 --> 01:28:43.008]  The great
[01:28:44.125 --> 01:28:45.286]  This is their big move.
[01:28:45.286 --> 01:28:48.328]  So yeah, you say, why doesn't Biden address the disasters in the United States?
[01:28:48.328 --> 01:28:49.248]  He doesn't care.
[01:29:10.171 --> 01:29:11.434]  That's not his job.
[01:29:11.434 --> 01:29:13.179]  He's not the President of the United States.
[01:29:13.179 --> 01:29:17.048]  He's a puppet operating for the globalists.
[01:29:17.048 --> 01:29:18.432]  Appetites of the autocrat!
[01:29:19.315 --> 01:29:21.536]  Cannot be appeased.
[01:29:21.536 --> 01:29:23.417]  They must be opposed.
[01:29:23.417 --> 01:29:26.698]  Autocrats only understand one word.
[01:29:26.698 --> 01:29:27.878]  No.
[01:29:27.878 --> 01:29:28.719]  No.
[01:29:28.719 --> 01:29:29.479]  No.
[01:29:29.479 --> 01:29:30.379]  Exactly.
[01:29:30.379 --> 01:29:33.940]  And that's why we say no to your vaccines.
[01:29:33.940 --> 01:29:37.042]  We say no to you shutting down our businesses.
[01:29:37.042 --> 01:29:39.523]  We say no to you taking our firearms.
[01:29:39.523 --> 01:29:42.023]  We say no to you censoring our free speech.
[01:29:42.023 --> 01:29:45.645]  We say no to you selling us out to the World Health Organization.
[01:29:45.645 --> 01:29:48.166]  We say no to you getting us into World War III.
[01:29:48.166 --> 01:29:48.566]  You're right.
[01:29:48.846 --> 01:29:53.600]  We stand against autocrats like you, Joe Biden, and we say no!
[01:29:53.600 --> 01:29:55.165]  And we say no to your war!
[01:29:58.581 --> 01:30:01.184]  Please give me one minute of your time.
[01:30:01.184 --> 01:30:03.426]  Please write this down and please go look this up.
[01:30:03.426 --> 01:30:05.428]  It will change your life.
[01:30:05.428 --> 01:30:14.197]  The UN admits and the Lansing Medical Journal admits that upwards of 2 billion people have mental disabilities and declining cognitive abilities.
[01:30:14.197 --> 01:30:19.522]  The term they use is intellectual disability because of lack of iodine.
[01:30:19.522 --> 01:30:21.003]  Most iodine in the environment
[01:30:21.684 --> 01:30:25.228]  is bound to other elements so your body can't absorb it.
[01:30:25.228 --> 01:30:29.692]  Only pure iodine can really be absorbed right into the cells.
[01:30:29.692 --> 01:30:36.779]  And InfoWarStore.com has the only iodine out there that actually has this type of full effect.
[01:30:36.779 --> 01:30:42.805]  Ladies and gentlemen, X3's been sold out for six months, it's very hard to produce, and it's finally back in stock.
[01:30:43.345 --> 01:30:45.727]  In fact, I was just taking some before I shot this ad.
[01:30:45.727 --> 01:30:47.969]  This, ladies and gentlemen, is powerful.
[01:30:47.969 --> 01:30:49.771]  You and your family need it.
[01:30:49.771 --> 01:30:51.512]  It's 25% off back in stock.
[01:30:51.512 --> 01:30:55.736]  X3 Tri-Iodine, exclusively at Infowarshore.com.
[01:30:55.736 --> 01:30:58.198]  Take action now, but regardless, research is info.
[01:30:58.737 --> 01:31:04.721]  Just weeks ago, I warned the world that the Globalists were going to move against Tucker Carlson and take him off the air.
[01:31:04.721 --> 01:31:07.383]  People said, no way, he's the most popular thing that ever happened.
[01:31:07.383 --> 01:31:09.564]  They've got quadrillions of stolen money.
[01:31:09.564 --> 01:31:12.166]  They only had Tucker Carlson on the air because they believed they could control him.
[01:31:12.166 --> 01:31:15.388]  But as soon as they figured out they couldn't, he was taken off the air.
[01:31:15.388 --> 01:31:17.149]  It's the same thing with InfoWars.
[01:31:17.149 --> 01:31:23.774]  But InfoWars is not owned by Fox, or controlled by George Soros, or owned by Spotify like Joe Rogan.
[01:31:23.774 --> 01:31:26.556]  We are only beholden to our viewers and our listeners.
[01:31:27.523 --> 01:31:29.624]  And when you support us, we're unstoppable.
[01:31:29.624 --> 01:31:34.265]  I'm not underwritten by Rupert Murdoch or by George Soros.
[01:31:34.265 --> 01:31:37.986]  I'm underwritten by you, which is we the people.
[01:31:37.986 --> 01:31:41.127]  So I want to thank you for your support and encourage viewers and listeners to understand.
[01:31:41.127 --> 01:31:43.668]  Please don't take InfoWars for granted.
[01:31:43.668 --> 01:31:45.029]  We're barely hanging on.
[01:31:45.029 --> 01:31:50.811]  We need your word of mouth, your prayer, your financial support, while getting great products at the same time at InfoWarsTore.com.
[01:31:50.811 --> 01:31:52.171]  So don't procrastinate.
[01:31:52.171 --> 01:31:53.491]  Go to InfoWarsTore.com.
[01:31:53.491 --> 01:31:55.212]  Get amazing products that keep us on the air.
[01:31:55.532 --> 01:31:57.533]  And never submit to these tyrants.
[01:32:16.744 --> 01:32:25.687]  If you really want to treat yourself to something nice, get yourself an Alexa Pure water filter and get clean, healthy water whenever you want it, wherever you want it.
[01:32:25.687 --> 01:32:31.948]  Even if the water pressure goes out, the Gravity Fed water filter has got you covered.
[01:32:31.948 --> 01:32:32.488]  Absolutely.
[01:32:35.160 --> 01:32:37.963]  Couldn't do any of this without listener support.
[01:32:37.963 --> 01:32:40.805]  I was telling Greg earlier, we're like the real NPR.
[01:32:40.805 --> 01:32:42.507]  The real NPR of The Based Right.
[01:32:42.507 --> 01:32:45.550]  So click that QR code right there on your screen right now.
[01:32:45.550 --> 01:32:46.511]  Take out your phone.
[01:32:46.511 --> 01:32:47.632]  Click that QR code.
[01:32:47.632 --> 01:32:49.774]  It'll take you directly to InfoWarsTore.com.
[01:32:49.774 --> 01:32:50.714]  Buy something.
[01:32:50.714 --> 01:32:51.795]  Support the InfoWars.
[01:32:51.795 --> 01:32:56.219]  Keep Alex Jones, Lauren Troyer, Harrison Smith, Greg Reese, Adam King, and the rest of us on air.
[01:32:56.219 --> 01:32:57.020]  Do it today!
[01:32:57.020 --> 01:32:57.841]  Do it now!
[01:32:57.841 --> 01:32:58.702]  Support the InfoWars!
[01:33:00.362 --> 01:33:20.296]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:33:20.296 --> 01:33:24.699]  If you are receiving this transmission, you are the resistance.
[01:33:24.699 --> 01:33:26.961]  You're listening to Alex Jones.
[01:33:30.031 --> 01:33:35.952]  They were calling it a conspiracy theory when Alex Jones many years ago said that they want the U.S.
[01:33:35.952 --> 01:33:38.893]  to be like China with a social credit score.
[01:33:38.893 --> 01:33:40.913]  Not for nothing, he got demonized in the media.
[01:33:40.913 --> 01:33:45.774]  I remember being a kid, everything he said that was gonna go down, it's all going down.
[01:33:45.774 --> 01:33:51.335]  The model for internet censorship is gonna be phased in Chinese-style net censorship.
[01:33:51.335 --> 01:33:55.356]  Net IDs, net taxes, three strikes and you're out, net rules.
[01:33:55.876 --> 01:34:15.688]  But before they get to that, they're going to phase in, it started, starts this next year, in China, and they're already lining up with Facebook, Google, all of them agreeing with China, Microsoft, to implement these systems where China already does it, and then they beta test there and then bring it here.
[01:34:15.688 --> 01:34:24.574]  Everything you do in China, from your credit score to what you buy, to discount cards, to your internet records, to what you say on social networks,
[01:34:25.780 --> 01:34:33.509]  He's integrated into an algorithm and if you criticize the government basically once, you can't even buy or sell, you can't get a hotel, you can't travel.
[01:34:35.213 --> 01:34:37.775]  To see it actually happen is so bold.
