[00:00.000 --> 00:02.320]  Visit survivalistseeds.com.
[1:08:49.600 --> 1:08:54.400]  because they want him to do things they know we're going to be very unpopular go ahead
[1:08:54.400 --> 1:09:00.440]  and make the point you're saying he's a God send he will actually wake people up with
[1:09:00.440 --> 1:09:08.920]  his openly fascistic agenda yes yeah that's what I've seen I've had seen a lot of people
[1:09:08.920 --> 1:09:13.880]  freaking out in my area I had another comment to say about something I learned from you
[1:09:13.880 --> 1:09:18.520]  uh... as in shows when we get a long weekend we have to give a safety briefing to our lower
[1:09:18.520 --> 1:09:23.160]  and listed to make sure that over the weekend they don't do anything stupid but you know
[1:09:23.160 --> 1:09:27.760]  like drinking and driving or doing something that nature and uh... you know military believe
[1:09:27.760 --> 1:09:32.120]  or not we do a lot of good things because we get do the right thing preach to us so
[1:09:32.120 --> 1:09:37.200]  much so I had two soldiers on Friday night call me about two thirty in the morning to
[1:09:37.200 --> 1:09:41.120]  come pick them up because they have been drinking in their d.d. left them so I did the right
[1:09:41.120 --> 1:09:46.360]  thing went and got them and we were and they wanted to eat so we walked to the uh... restaurant
[1:09:46.360 --> 1:09:51.320]  which is only about seventy meters from where they were at and on the way back I had a cop
[1:09:51.320 --> 1:09:57.040]  pull over and was about to arrest us for walking on the side of the road yeah this is a country
[1:09:57.040 --> 1:10:02.840]  so free yeah so I I did what I learned from you by watching your movies I didn't stop
[1:10:02.840 --> 1:10:06.000]  even though he was telling me to stop because I hadn't done nothing wrong and I had not
[1:10:06.000 --> 1:10:09.240]  been drinking I just picking them up
[1:10:09.240 --> 1:10:11.320]  he called another police officer
[1:10:11.320 --> 1:10:13.020]  to make me stop
[1:10:13.020 --> 1:10:15.040]  and then they completely detained me
[1:10:15.040 --> 1:10:18.640]  and I told the cops straight to his face I wish I'd had a camera but I know this was
[1:10:18.640 --> 1:10:19.640]  going to happen
[1:10:19.640 --> 1:10:23.120]  but I told him what I learned from you is that hey you may beat the rap right now because
[1:10:23.120 --> 1:10:25.120]  you've got a gun in a badge in back up
[1:10:25.120 --> 1:10:28.200]  but you're not going to beat the ride and I told him straight to his face that I'm not
[1:10:28.200 --> 1:10:29.520]  going to sue Tennessee
[1:10:29.520 --> 1:10:32.560]  I'm not going to sue your police they want to sue you
[1:10:32.560 --> 1:10:36.160]  you know and I it took about twenty minutes but they finally just let us go
[1:10:36.160 --> 1:10:39.680]  but why why when you go protest today
[1:10:39.680 --> 1:10:43.320]  poses protesters and beat people up and then arrest everybody
[1:10:43.320 --> 1:10:47.120]  you know why do they come and say you can't walk down the street in America
[1:10:47.120 --> 1:10:49.480]  why are we treated like scum I mean
[1:10:49.480 --> 1:10:51.440]  and then why are we bad
[1:10:51.440 --> 1:10:55.160]  when we say we don't want you to do this to us
[1:10:55.160 --> 1:10:58.400]  I don't know but I told him that he was civilian I said you know
[1:10:58.400 --> 1:11:02.600]  need to get out of this mentality you're state funded you're not that you you are not
[1:11:02.600 --> 1:11:04.160]  calling you a civilian
[1:11:04.160 --> 1:11:08.560]  yeah and I said no I'm told me you you're a civilian I'm not a civilian
[1:11:08.560 --> 1:11:10.760]  it's all military nomenclature though
[1:11:10.760 --> 1:11:13.960]  well no I know the military is made up of the very best people
[1:11:13.960 --> 1:11:17.360]  in the country we have a lot of family and they're so gung-ho they love america so
[1:11:17.360 --> 1:11:18.120]  much
[1:11:18.120 --> 1:11:20.520]  and they're so blind though the programming
[1:11:20.520 --> 1:11:23.720]  I'm like don't you understand they're dismantling what the country is
[1:11:23.720 --> 1:11:25.880]  and a lot of cops are good too
[1:11:25.880 --> 1:11:28.800]  it's just they've been taught you've got the authority you've got to maintain
[1:11:28.800 --> 1:11:30.360]  control the situation
[1:11:30.360 --> 1:11:32.800]  you've got to keep these people in line
[1:11:32.800 --> 1:11:34.120]  and it's sad
[1:11:34.120 --> 1:11:37.080]  well the cop is so arrogant and so cocky with me
[1:11:37.080 --> 1:11:40.800]  I know it's disgusting I was saying sir and I was answering his questions but I
[1:11:40.800 --> 1:11:44.320]  like it so how did this end I mean did you say so I'm not allowed to not allowed to
[1:11:44.320 --> 1:11:46.680]  eat food in America just not allowed to be here
[1:11:46.680 --> 1:11:50.000]  I just said what did we do wrong you know I told him I threw the amendments you
[1:11:50.000 --> 1:11:52.160]  know hey what's your probable cause what are we doing wrong
[1:11:52.160 --> 1:11:54.720]  they asked for my driver's license I wouldn't give it to him I said tell me
[1:11:54.720 --> 1:11:56.320]  what I did wrong and I'll do it
[1:11:56.320 --> 1:11:56.920]  you know
[1:11:56.920 --> 1:12:00.200]  and they you know finally they just had to let us go because they realize man
[1:12:00.200 --> 1:12:02.760]  you know this guy knows what he's talking about you know what do they say
[1:12:02.760 --> 1:12:04.160]  when they left
[1:12:04.160 --> 1:12:07.160]  they finally just said all right are you guys going to your car said yeah it's
[1:12:07.160 --> 1:12:08.200]  two thirty in the morning
[1:12:08.200 --> 1:12:10.800]  and they have been there's always a control issue and of course they can say
[1:12:10.800 --> 1:12:12.840]  they thought you were criminals or whatever
[1:12:12.840 --> 1:12:14.320]  the point is
[1:12:14.320 --> 1:12:15.440]  is that
[1:12:15.440 --> 1:12:17.840]  he should be glad because of you
[1:12:17.840 --> 1:12:20.720]  not just your service but also that service
[1:12:20.720 --> 1:12:23.320]  defending the republic defending the basic bill of rights what the country
[1:12:23.320 --> 1:12:24.200]  really is
[1:12:24.200 --> 1:12:27.560]  his children may grow up in a free country probably won't but
[1:12:27.560 --> 1:12:29.560]  you know he's got some glimmer of hope
[1:12:29.560 --> 1:12:31.960]  you're a great person Alex you just keep doing what you do and there's a lot of
[1:12:31.960 --> 1:12:34.520]  people out there that agree with you a hundred percent well well I appreciate your
[1:12:34.520 --> 1:12:37.600]  call you know I'm not that great of a person folks when I find out there's a
[1:12:37.600 --> 1:12:39.600]  criminal group running my country
[1:12:39.600 --> 1:12:41.640]  brainwashing the police and military
[1:12:41.640 --> 1:12:44.480]  turning us into a police state I get mad
[1:12:44.480 --> 1:12:45.600]  and then
[1:12:45.600 --> 1:12:48.600]  I've had people telling calling people I've known saying
[1:12:48.600 --> 1:12:52.560]  oh I'm glad he's gonna ban talk radio I'm glad he's gonna ban free speech
[1:12:52.560 --> 1:12:55.600]  a barack obama I'm glad he's creating youth brigades
[1:12:55.600 --> 1:13:00.320]  uh... I'm glad uh... that that they're gonna restrict the internet
[1:13:00.320 --> 1:13:01.680]  and you know
[1:13:01.680 --> 1:13:05.680]  all these democrats who didn't like George bush doing all the same stuff
[1:13:05.680 --> 1:13:07.400]  now
[1:13:07.400 --> 1:13:09.440]  that barack obama comes in suddenly there
[1:13:09.440 --> 1:13:14.320]  all yeah i'm all for that now
[1:13:14.320 --> 1:13:16.880]  just like everybody was against bill clinton
[1:13:16.880 --> 1:13:19.520]  and all the corrupt things he was doing moving the ball in the field for the
[1:13:19.520 --> 1:13:23.280]  new world order that's all is around the same team
[1:13:23.280 --> 1:13:23.960]  they were all
[1:13:23.960 --> 1:13:26.000]  as soon as you were bush got in there like
[1:13:26.000 --> 1:13:29.360]  you know what i love it now i love the police state now
[1:13:29.360 --> 1:13:32.880]  will get ready what's funny fall
[1:13:32.880 --> 1:13:37.080]  he just keeps laughing in there
[1:13:37.080 --> 1:13:40.520]  you guys are people are not lucky i'm even here today but i got this chest cold
[1:13:40.520 --> 1:13:41.800]  man
[1:13:41.800 --> 1:13:43.160]  it is painful
[1:13:43.160 --> 1:13:47.320]  all right let's go ahead
[1:13:47.320 --> 1:13:50.040]  who's up next year
[1:13:50.040 --> 1:13:52.760]  micah texas you're on the air
[1:13:52.760 --> 1:13:56.120]  for calling a talk radio and even caring about liberty you're probably with
[1:13:56.120 --> 1:13:57.360]  al-qaeda
[1:13:57.360 --> 1:14:01.000]  yes uh... alice can you hear me yes al-qaeda i'm here
[1:14:01.000 --> 1:14:02.760]  yes hello yes or go ahead
[1:14:02.760 --> 1:14:06.120]  uh... thanks for taking my call i'd like to discuss two things that quickly to
[1:14:06.120 --> 1:14:08.160]  g's guns and gm
[1:14:08.160 --> 1:14:12.280]  uh... today i went to the uh... gun show outside of comro texas
[1:14:12.280 --> 1:14:16.360]  and i mean to pay it was so crowded that you can hardly walk that record gun
[1:14:16.360 --> 1:14:18.840]  cells to spend the new york times never before
[1:14:18.840 --> 1:14:22.980]  have more guns around open sold because the people know
[1:14:22.980 --> 1:14:23.880]  and uh...
[1:14:23.880 --> 1:14:28.320]  let me ask you about me a a uh... one or two error in one car being uh...
[1:14:28.320 --> 1:14:28.960]  rifle
[1:14:28.960 --> 1:14:30.240]  thirty caliber
[1:14:30.240 --> 1:14:33.680]  it's not a pretty good choice for a defense weapon
[1:14:33.680 --> 1:14:37.200]  well i'm not like an armor or something from the army but uh... you have a
[1:14:37.200 --> 1:14:38.560]  little thirty cows
[1:14:38.560 --> 1:14:40.160]  that's good up close
[1:14:40.160 --> 1:14:43.120]  and it'll certainly uh... make somebody think twice they get it with a couple
[1:14:43.120 --> 1:14:44.320]  of those
[1:14:44.320 --> 1:14:49.240]  absolutely i mean i mean if i could have say one gun one rival
[1:14:49.240 --> 1:14:52.600]  it probably something like an m fourteen three oh eight
[1:14:52.600 --> 1:14:55.920]  well i've talked to several or two but better than they told me uh... that they
[1:14:55.920 --> 1:14:59.480]  were able to catch a machine guns because uh... they were good shots
[1:14:59.480 --> 1:15:02.160]  no no absolutely that's a good little lightweight
[1:15:02.160 --> 1:15:05.360]  and i mean something comparable to two two three range rifle
[1:15:05.360 --> 1:15:09.440]  yeah or a many fourteen i've got i've got one of those
[1:15:09.440 --> 1:15:12.040]  shot up some wild hogs this weekend with them
[1:15:12.040 --> 1:15:15.120]  and uh... the out the other gun i bought was an old west single action forty
[1:15:15.120 --> 1:15:16.760]  five long colt
[1:15:16.760 --> 1:15:19.840]  because i like the old cowboy guns is that uh...
[1:15:19.840 --> 1:15:21.680]  that another on that right
[1:15:21.680 --> 1:15:24.960]  there's nothing you know what it's all about your will right let's say you're
[1:15:24.960 --> 1:15:26.720]  defending the republic from enemies
[1:15:26.720 --> 1:15:30.760]  you can have any gun you want any handgun any rifle with a knife
[1:15:30.760 --> 1:15:32.000]  uh... you know just
[1:15:32.000 --> 1:15:36.340]  i mean so when it comes down to it yes those are wonderful firearms are
[1:15:36.340 --> 1:15:39.800]  and uh... but today guess what i try to find some forty five long colt uh...
[1:15:39.800 --> 1:15:42.760]  ammunition and it was totally sold out i could not believe it
[1:15:42.760 --> 1:15:46.080]  that forty five long colt that's a neat round
[1:15:46.080 --> 1:15:49.280]  it's also shoot the old uh... a little reaction right well that's what's good
[1:15:49.280 --> 1:15:50.080]  about it
[1:15:50.080 --> 1:15:53.840]  the m o's interchangeable
[1:15:53.840 --> 1:15:57.480]  every gun i've got some value i mean i don't want to say how many rifles and
[1:15:57.480 --> 1:15:58.800]  handguns i've got
[1:15:58.800 --> 1:16:01.000]  right but it's a large amount
[1:16:01.000 --> 1:16:04.840]  and uh... let's just say this i love them all the death
[1:16:04.840 --> 1:16:07.920]  yeah i think uh... look like these parasites in government that want to
[1:16:07.920 --> 1:16:09.360]  make us their slaves
[1:16:09.360 --> 1:16:12.040]  and all their brainwashed jellyfish servants
[1:16:12.040 --> 1:16:14.760]  and all their weak-minded people that follow
[1:16:14.760 --> 1:16:16.880]  they hate it that we're still on
[1:16:16.880 --> 1:16:20.800]  because that means we're not the new world orders total slaves yet
[1:16:20.800 --> 1:16:24.480]  and so they're very upset i appreciate your call
[1:16:24.480 --> 1:16:27.200]  we continue with chris israel chris
[1:16:27.200 --> 1:16:31.080]  yongo mike john bode
[1:16:31.080 --> 1:16:34.760]  hi john hughner from mitis resources are you tired of watching your hard-earned
[1:16:34.760 --> 1:16:38.400]  assets dwindle away as government spending is out of hand in the federal
[1:16:38.400 --> 1:16:41.680]  reserve is creating in excess of twenty billion a week
[1:16:41.680 --> 1:16:45.120]  are you tired of stock brokers gambling away your hard-earned money is this
[1:16:45.120 --> 1:16:48.960]  market is set up for a crash greater than nineteen eighty seven too many of
[1:16:48.960 --> 1:16:53.000]  today's policies resemble those that led to the collapse of nineteen twenty nine
[1:16:53.000 --> 1:16:55.000]  how much are you willing to lose
[1:16:55.000 --> 1:16:59.120]  take action now call me a one eight hundred six eight six two three seven
[1:16:59.120 --> 1:17:00.800]  extension one two nine
[1:17:00.800 --> 1:17:04.000]  i believe that we are facing a financial catastrophe of biblical
[1:17:04.000 --> 1:17:08.440]  proportion over recent decades numerous economic systems have failed current
[1:17:08.440 --> 1:17:12.400]  federal reserve policy and uncontrolled government spending have set the stage
[1:17:12.400 --> 1:17:16.640]  for the united states to be the next target secure assets today by calling
[1:17:16.640 --> 1:17:20.960]  one eight hundred six eight six two two three seven extension one two nine do
[1:17:20.960 --> 1:17:25.480]  this with paper can still buy gold call me john hughner at one eight hundred six
[1:17:25.480 --> 1:17:30.120]  eight six two two three seven extension one two nine
[1:17:30.120 --> 1:17:34.960]  silver is mankind's oldest natural antibiotic this very special mineral has
[1:17:34.960 --> 1:17:39.040]  been used for centuries by most cultures throughout the world utopia texas
[1:17:39.040 --> 1:17:43.320]  is home to a small but mighty supplement company called utopia silver
[1:17:43.320 --> 1:17:47.240]  who offers colloidal products produced in distilled water without use of animal
[1:17:47.240 --> 1:17:51.440]  protein nitrates or saline solutions because our colloidal silver is made up
[1:17:51.440 --> 1:17:55.800]  of nano-sized particles it can be better utilized at the cellular level and
[1:17:55.800 --> 1:18:00.240]  germs can't mutate to be resistant like they can to modern-day antibiotics
[1:18:00.240 --> 1:18:03.920]  utopia silver has a broad range of health supplements including colloidal
[1:18:03.920 --> 1:18:07.920]  silver gold and copper with a money-back guarantee on the colloidal products we
[1:18:07.920 --> 1:18:11.840]  produce for four years utopia silver has been fighting in the texas courts
[1:18:11.840 --> 1:18:15.480]  against agencies that would steal our god-given rights of health care and
[1:18:15.480 --> 1:18:21.480]  freedom of speech visit us today at utopia silver dot com that's utopia silver
[1:18:21.480 --> 1:18:31.080]  dot com or call 888 213 4338 888 213 4338 and help us win this battle I am so
[1:18:31.080 --> 1:18:35.480]  frustrated I can't seem to remember anything anymore what seriously my
[1:18:35.480 --> 1:18:39.320]  memory and attention span is terrible I read something and forget I forget
[1:18:39.320 --> 1:18:42.640]  people's names I hear all this great information to the radio and I want to
[1:18:42.640 --> 1:18:47.400]  tell people but I forget I okay slow down poor attention and memory loss is
[1:18:47.400 --> 1:18:51.360]  not your fault factors like fluoride in the water aluminum and deodorants
[1:18:51.360 --> 1:18:55.720]  genetically modified foods the way the education system taught you it's all
[1:18:55.720 --> 1:18:59.280]  meant to dumb you down you know I can remember everything now even entire
[1:18:59.280 --> 1:19:04.200]  books what how there is this website called school of phenomenal memory their
[1:19:04.200 --> 1:19:08.200]  online course is a real breakthrough in the field of memory improvement in fact
[1:19:08.200 --> 1:19:12.400]  they guarantee that every single person will be able to memorize any type of
[1:19:12.400 --> 1:19:17.920]  information including entire books after they complete just 60 lessons and they
[1:19:17.920 --> 1:19:23.680]  offer a no questions asked no time limit money back guarantee wow what's the
[1:19:23.680 --> 1:19:29.880]  website now don't forget it's P memory dot net the letter P memory dot net
[1:19:29.880 --> 1:19:34.280]  everyone knows that omega 3 should be an essential part of our daily diet with
[1:19:34.280 --> 1:19:37.640]  so many different methods of consumption how do you choose a simple yet
[1:19:37.640 --> 1:19:41.520]  effective way to get your daily intake the friendly knowledgeable folks at
[1:19:41.520 --> 1:19:46.960]  North American nutrition have the answer nature's gem premium omega 3 unlike
[1:19:46.960 --> 1:19:51.040]  other flax seed our golden flax is grown on our farm in northern Minnesota
[1:19:51.040 --> 1:19:55.400]  providing cooler temperatures and longer summer hours producing the highest
[1:19:55.400 --> 1:20:00.280]  quality premium golden flax seed around in addition we selectively harvest and
[1:20:00.280 --> 1:20:04.400]  sort flax seeds by size and weight keeping only the best seeds that can
[1:20:04.400 --> 1:20:09.440]  produce the highest abundance of omega 3 the result is a delicious nutty buttery
[1:20:09.440 --> 1:20:13.600]  flavor nature's gem golden flax is pure there is nothing added and nothing
[1:20:13.600 --> 1:20:18.640]  taken away and non GMO we offer a 100% money back guarantee order a nature's
[1:20:18.640 --> 1:20:24.160]  gem premium golden flax today at golden flax dot com golden flax dot com or call
[1:20:24.160 --> 1:20:32.720]  800 3 8 7 5 5 1 6 that's 800 3 8 7 55 16 free shipping included thank you for
[1:20:32.720 --> 1:20:53.560]  listening to GCN visit GCN live com you know I could sit here all night talk
[1:20:53.560 --> 1:20:57.800]  about other issues and take phone calls and we are but I mean did you know that
[1:20:57.800 --> 1:21:02.880]  world really is run by a private group of families that own the private banks and
[1:21:02.880 --> 1:21:07.400]  they openly admitted that they were gonna cause our markets to implode the
[1:21:07.400 --> 1:21:12.240]  terrorizes into giving them total governmental power and then looting our
[1:21:12.240 --> 1:21:17.320]  entire treasuries to fund themselves and not help the people or fund the
[1:21:17.320 --> 1:21:22.480]  economy they're the ones killing the economy and then now they're setting up
[1:21:22.480 --> 1:21:25.600]  a world government for and by the private banks where they will have
[1:21:25.600 --> 1:21:31.880]  control over all the nations of the world's finances and where they will
[1:21:31.880 --> 1:21:36.040]  regulate the stock markets when they're the ones that engineered all this and
[1:21:36.040 --> 1:21:39.760]  they're calling it a new world order and meanwhile the public's talking about
[1:21:39.760 --> 1:21:45.440]  you know Texas Tech and LSU or you know what happened with the Easter Bunny you
[1:21:45.440 --> 1:21:50.840]  know coming up and so all I can say is believe whatever you want say whatever
[1:21:50.840 --> 1:21:54.880]  you want I'm telling you the truth and we're in a lot of trouble the history of
[1:21:54.880 --> 1:21:58.520]  the planet is tyrannical governments taking control and abusing the
[1:21:58.520 --> 1:22:04.400]  populations really bad and if you want to be naive suckers go ahead but let me
[1:22:04.400 --> 1:22:11.800]  tell you something folks Barack Hussein Obama is gonna really get a lot done for
[1:22:11.800 --> 1:22:16.720]  the new world order and just sit back and watch you can be suckers if you want
[1:22:16.720 --> 1:22:21.640]  and even think this guy's president or runs anything but he doesn't when they
[1:22:21.640 --> 1:22:25.600]  get these emails going you just can't imagine a black man being president no
[1:22:25.600 --> 1:22:30.880]  honey I was saying that George Bush was a puppet Mill Clinton was a puppet and
[1:22:30.880 --> 1:22:37.360]  those are white guys that's not what this is just just mindlessness they can't
[1:22:37.360 --> 1:22:43.760]  even get their minds past that into real issues but you can't get the yuppies to
[1:22:43.760 --> 1:22:46.840]  talk about the new world order it can be all over the financial pages it can be
[1:22:46.840 --> 1:22:49.280]  happening but they were preconditioned that didn't exist so they just say
[1:22:49.280 --> 1:22:53.760]  doesn't exist hey that's fine watch them take your 401k your pension and watch
[1:22:53.760 --> 1:22:58.960]  the new world order devalue your currency go ahead you like being idiots go
[1:22:58.960 --> 1:23:03.400]  ahead don't let me get in the way your happiness and success as they say let's
[1:23:03.400 --> 1:23:06.440]  you know I got all these there's a different phone system every week in
[1:23:06.440 --> 1:23:12.600]  here this one isn't showing me how long the college been on hold who's who has
[1:23:12.600 --> 1:23:19.880]  been holding the longest here call number six what line six has been holding a
[1:23:19.880 --> 1:23:26.400]  long time John and Austin you're on the air welcome hello John it's good to talk
[1:23:26.400 --> 1:23:32.040]  to all good good good hey I just want to say thanks for all the good work you're
[1:23:32.040 --> 1:23:36.880]  doing I know you're a very humble person I just want to throw a quote at you from
[1:23:36.880 --> 1:23:41.960]  Thomas Jefferson he said all tyranny needs to gain a foothold is for people of
[1:23:41.960 --> 1:23:47.800]  good conscience to remain silent and you know the longer that silence is out
[1:23:47.800 --> 1:23:53.920]  there the we're gonna head down the doom and gloom that you've been not yeah the
[1:23:53.920 --> 1:23:58.960]  actual quote is I mean it was a great one you paraphrased is that all the
[1:23:58.960 --> 1:24:03.920]  evil men in tyranny to flourish is that good men do nothing right and boy look
[1:24:03.920 --> 1:24:07.400]  at tyranny flourishing because the public's looking at iPods and look at
[1:24:07.400 --> 1:24:11.760]  the latest you know bling and they have no idea that systematic tyranny has
[1:24:11.760 --> 1:24:16.360]  come to our shores and I was watching the McLaughlin group this morning and
[1:24:16.360 --> 1:24:23.440]  they went into this little piece about the meeting on November the 14th or the
[1:24:23.440 --> 1:24:27.480]  15th World Economic Meeting and now the new Bretton Woods the end of the
[1:24:27.480 --> 1:24:32.040]  dollar basically right and so they started talking about globalization so I
[1:24:32.040 --> 1:24:36.440]  was thinking wow okay they're gonna discuss this right so they come back to
[1:24:36.440 --> 1:24:43.320]  the group and they said Brock's hands are tied on this one okay next topic you
[1:24:43.320 --> 1:24:47.400]  know the world of bats in the glory of Barack Obama now that's what they're
[1:24:47.400 --> 1:24:51.720]  saying is that both parties are not going to discuss it we're handing
[1:24:51.720 --> 1:24:56.280]  everything over including governmental power to private banks in England next
[1:24:56.280 --> 1:25:01.000]  story bye bye right right you know that's the McLaughlin yeah and I'm
[1:25:01.000 --> 1:25:07.560]  curious about the situation with the attorney general is there any any hope
[1:25:07.560 --> 1:25:13.680]  and I'll I'll get off here but it as far as as a real attorney general that's
[1:25:13.680 --> 1:25:19.120]  gonna come in there and take a 9-11 and no I mean usually our attorney generals
[1:25:19.120 --> 1:25:24.120]  are foreign intelligence operative so no and by the way I was wrong the last hour
[1:25:24.120 --> 1:25:28.720]  I didn't pay a lot of attention to Senate races and I knew that Ted Stevens and
[1:25:28.720 --> 1:25:34.080]  baggage were neck and neck and then I've seen baggage ahead in Alaska Ted
[1:25:34.080 --> 1:25:40.120]  Stevens with seven convictions is in the lead right now but it's still being
[1:25:40.120 --> 1:25:48.840]  contested so whatever there's the basics with that okay let's go ahead and talk
[1:25:48.840 --> 1:25:56.680]  to bode in Ohio do things bode well bode welcome hi
[1:25:56.680 --> 1:26:00.520]  peace to the world it's actually died and I could understand why they didn't
[1:26:00.520 --> 1:26:04.280]  quite it's all right I would welcome to the airwaves yes first of all I have to
[1:26:04.280 --> 1:26:09.120]  just let you know who you're speaking to I am an African-American male 51 years
[1:26:09.120 --> 1:26:14.200]  old and I have never supported Barack Obama and I am catching a lot of flak
[1:26:14.200 --> 1:26:18.280]  from both white and blacks out here in Columbus Ohio I bet the whites are
[1:26:18.280 --> 1:26:24.640]  really arrogant on power trips I'm not racist you are you don't like him what
[1:26:24.640 --> 1:26:28.320]  is so amazing is when I asked him any questions about what they know about him
[1:26:28.320 --> 1:26:33.000]  no one knows anything everybody's wearing t-shirts it is so crazy yeah all I
[1:26:33.000 --> 1:26:38.360]  know is he is more handsome than Bush and knows how to give a speech better but
[1:26:38.360 --> 1:26:43.040]  if you look at who runs him it's total new world order well when I start talking
[1:26:43.040 --> 1:26:46.880]  about the corporate dictatorship that we have in this country we've had for many
[1:26:46.880 --> 1:26:50.240]  many years and I start talking to him about the history that this country has
[1:26:50.240 --> 1:26:54.600]  been the history of this country has been fighting against central banks that's
[1:26:54.600 --> 1:26:59.240]  it and I break out so many different historical facts and people start really
[1:26:59.240 --> 1:27:03.080]  really really I said do you understand what why Lincoln was assassinated to
[1:27:03.080 --> 1:27:06.440]  understand why Andrew Jackson was attempted to be assassinated it's
[1:27:06.440 --> 1:27:10.280]  Kennedy had to do with the central bankers exactly that's it because if you
[1:27:10.280 --> 1:27:14.360]  control the issue with some money your king dog that matter what anybody does
[1:27:14.360 --> 1:27:18.560]  and they're to their two quotes which I throw out and people listen to me after
[1:27:18.560 --> 1:27:23.160]  I throw them out and one is a financial times attempt to be times of London
[1:27:23.160 --> 1:27:30.560]  editorial from 1863 which came out right after Lincoln decided to print
[1:27:30.560 --> 1:27:35.560]  greenbacks and they talk about the the directness of the of the new world order
[1:27:35.560 --> 1:27:39.600]  and it reads I'm gonna try to read this real quickly if this mischievous
[1:27:39.600 --> 1:27:43.360]  financial policy meeting right at meeting a government actually controlling
[1:27:43.360 --> 1:27:47.600]  its own currency which has its own which has its origin in North America shall
[1:27:47.600 --> 1:27:52.800]  become enduring down to a fixture then that government will furnish its own
[1:27:52.800 --> 1:27:58.560]  money without cost it will pay off debt and be without debt it will have all the
[1:27:58.560 --> 1:28:02.720]  money necessary to carry on its commerce it will become prosperous without
[1:28:02.720 --> 1:28:07.520]  precedent in the history of the world the brains and wealth of all countries
[1:28:07.520 --> 1:28:12.560]  will go to North America that country must be destroyed or will destroy every
[1:28:12.560 --> 1:28:17.120]  monarchy on the globe and that's from the times of London from 1863 it was in
[1:28:17.120 --> 1:28:23.000]  response to Lincoln printing greenbacks I know in fact I even sent off years ago
[1:28:23.000 --> 1:28:26.720]  I was making a banking documentary never finished for the real you know times of
[1:28:26.720 --> 1:28:30.960]  London and and that was really in there and the banking associations here were
[1:28:30.960 --> 1:28:34.960]  saying that and that's why Burr you know went out and killed Alexander Hamilton
[1:28:34.960 --> 1:28:38.360]  because he was trying to push that through absolutely that our whole
[1:28:38.360 --> 1:28:44.080]  country a whole world is run by these people and Obama is literally their man
[1:28:44.080 --> 1:28:50.200]  he he is he is such a puppet it is unbelievable and I don't it just really
[1:28:50.200 --> 1:28:54.280]  hurts me because as a black man growing up here in the United States of
[1:28:54.280 --> 1:28:59.960]  America you get a lot of messages that try to tell you and convince you that
[1:28:59.960 --> 1:29:04.840]  you're not a full-fledged citizen of the United States and I could tell you even
[1:29:04.840 --> 1:29:08.040]  I come from a large family I have eight sisters and three brothers who are
[1:29:08.040 --> 1:29:12.920]  living and I never accepted never accepted any of those messages say what
[1:29:12.920 --> 1:29:17.600]  stay there stay there I'm gonna go to the news can you hold over you can hold
[1:29:17.600 --> 1:29:21.680]  over right yes yes I want to come back and hear this stay with us I'm Alex
[1:29:21.680 --> 1:29:26.640]  Jones info wars.com and prisonplanet.com of the web sites
[1:29:29.480 --> 1:29:34.360]  with Christmas right around the corner and an unstable economy looming finding
[1:29:34.360 --> 1:29:38.960]  the right gift can be tough why not give the gift of an X caliber dehydrator the
[1:29:38.960 --> 1:29:43.040]  X caliber dehydrator is not only economical but also fun for the whole
[1:29:43.040 --> 1:29:47.000]  family save hundreds of dollars by drying your own fruits vegetables and
[1:29:47.000 --> 1:29:50.920]  meats make your own healthy snacks or start storing your own healthy food in
[1:29:50.920 --> 1:29:55.200]  case of emergencies all with no added salts fats and preservatives what a
[1:29:55.200 --> 1:29:58.880]  perfect gift for the health conscious person in your family or for a friend
[1:29:58.880 --> 1:30:02.800]  who vows to eat healthier this coming year even if that friend is you for a
[1:30:02.800 --> 1:30:07.040]  limited time receive the book preserve it naturally filled with amazing easy
[1:30:07.040 --> 1:30:14.780]  recipes a $25 value free with your order just call 1-800-875-4254 that's
[1:30:14.780 --> 1:30:25.360]  1-800-875-4254 or go to drying123.com that's D-R-Y-I-N-G-123.com X caliber
[1:30:25.360 --> 1:30:30.960]  dehydrator wishes you and yours health and wellness for the new year Ionic
[1:30:30.960 --> 1:30:35.760]  zone has the lowest prices in the USA on shock treatment ozone generator starting
[1:30:35.760 --> 1:30:41.280]  at $299 Ionic zone shock treatment ozone generators are used by remediation
[1:30:41.280 --> 1:30:45.000]  contractors and homeowners alike to sterilize homes and cars making them
[1:30:45.000 --> 1:30:49.200]  free from bacteria molds viruses and complete removal of secondhand smoke
[1:30:49.200 --> 1:30:53.960]  padotors you name it what else can three oxygen atoms in other words ozone do
[1:30:53.960 --> 1:30:57.960]  many hospitals sterilize their operating rooms with ozone before and after
[1:30:57.960 --> 1:31:02.440]  operations and have you ever heard of ozone therapy Ionic zone has a wealth
[1:31:02.440 --> 1:31:07.080]  of information on ozone therapy ozone therapy is used among other things to
[1:31:07.080 --> 1:31:11.640]  raise the body's oxygen level which study suggests boosts the immune system you
[1:31:11.640 --> 1:31:16.240]  can learn more about ozone therapy or Ionic zone ozone generators by going to
[1:31:16.240 --> 1:31:25.400]  Ioniczone.com or calling 800-549-9535 that's I-O-N-I-C zone.com or toll free
[1:31:25.400 --> 1:31:34.160]  800-549-9535 Ionic zone hello I'm Steve Shank for the past several months folks
