[00:00.000 --> 00:10.000]  When I grow up I want to be a rock star!
[1:23:07.000 --> 1:23:09.000]  We're literally in the battle for America.
[1:23:09.000 --> 1:23:11.000]  This what happens in the next.
[1:23:11.000 --> 1:23:15.000]  And notice all of our, all of our verbiage they're now using because it's true.
[1:23:15.000 --> 1:23:18.000]  The enemy has adopted everything we do, but from their perspective.
[1:23:18.000 --> 1:23:20.000]  And now they're coming after us.
[1:23:20.000 --> 1:23:22.000]  Yeah, even, even like, which is okay.
[1:23:22.000 --> 1:23:23.000]  I asked for it.
[1:23:23.000 --> 1:23:24.000]  I'm ready.
[1:23:24.000 --> 1:23:26.000]  Remember when you used to use the phrase false flag, right?
[1:23:26.000 --> 1:23:27.000]  You would use that phrase over 10 years ago.
[1:23:27.000 --> 1:23:28.000]  Nobody ever heard of it.
[1:23:28.000 --> 1:23:29.000]  Nobody knew what it was.
[1:23:29.000 --> 1:23:32.000]  Now people use false flag almost every day.
[1:23:32.000 --> 1:23:33.000]  No, it's true.
[1:23:33.000 --> 1:23:36.000]  It's almost uncanny how we're running the tables against them.
[1:23:36.000 --> 1:23:39.000]  And that's why they go, whoa, this group has total credibility.
[1:23:39.000 --> 1:23:42.000]  Everything they said is dialed in because we were paying attention to them.
[1:23:42.000 --> 1:23:45.000]  They would always have their internal documents that were somewhat public.
[1:23:45.000 --> 1:23:49.000]  And then their public BS, we just went off what their, their real operations.
[1:23:49.000 --> 1:23:51.000]  They didn't, they were so arrogant.
[1:23:51.000 --> 1:23:52.000]  Oh, and they didn't hide it.
[1:23:52.000 --> 1:23:56.000]  We only have credibility because we paid attention to what they were actually saying.
[1:23:56.000 --> 1:23:57.000]  And now we've been proven right.
[1:23:57.000 --> 1:24:01.000]  So they go, whoa, censor them, but that only creates a strizand effect.
[1:24:01.000 --> 1:24:06.000]  Well, we call it as we see it based on our historical analysis, real time analysis.
[1:24:06.000 --> 1:24:08.000]  And it sounds crazy at first.
[1:24:08.000 --> 1:24:10.000]  And then a couple of weeks, couple of months, couple of years go by,
[1:24:10.000 --> 1:24:12.000]  and then it always ends up being right.
[1:24:12.000 --> 1:24:15.000]  Every major globalist billionaire said, we're going to merge with machines.
[1:24:15.000 --> 1:24:17.000]  We're going to have a one world religion.
[1:24:17.000 --> 1:24:19.000]  You're going to worship AI.
[1:24:19.000 --> 1:24:24.000]  If you do everything we say, we'll let you merge with it and live forever and fly off in giant spaceships.
[1:24:24.000 --> 1:24:30.000]  And I went, that's childhoods end written in the 60s by, you know, the top MIS.
[1:24:30.000 --> 1:24:32.000]  Top MI six operative.
[1:24:32.000 --> 1:24:35.000]  And, you know, all the rest of it are to see Clark.
[1:24:35.000 --> 1:24:36.000]  And I was like, I go either.
[1:24:36.000 --> 1:24:41.000]  And I say in the film, I go, they're either crazy or they're jacked into something really bad.
[1:24:41.000 --> 1:24:43.000]  But I go either way, they're nuts.
[1:24:43.000 --> 1:24:44.000]  We've got to oppose it.
[1:24:44.000 --> 1:24:50.000]  Now today stack of news was on Fox News during the break, Google executives,
[1:24:50.000 --> 1:24:53.000]  world government, AI worship, banning other religions.
[1:24:53.000 --> 1:24:54.000]  The religion of machines is here.
[1:24:54.000 --> 1:24:56.000]  They just invented it last week.
[1:24:56.000 --> 1:24:57.000]  Oh, and did you hear?
[1:24:57.000 --> 1:24:59.000]  Well, what is no, they're rolling it out.
[1:24:59.000 --> 1:25:00.000]  This is their response.
[1:25:00.000 --> 1:25:03.000]  And they say, we will outlaw your religion.
[1:25:03.000 --> 1:25:04.000]  What have you always said?
[1:25:04.000 --> 1:25:12.000]  The Achilles heel of the globalist technocratic operation apparatus is for the people to have knowledge.
[1:25:12.000 --> 1:25:17.000]  If the general population knows what they're trying to build, knows what they're laying out, they will fight it.
[1:25:17.000 --> 1:25:18.000]  That's what we've reached.
[1:25:18.000 --> 1:25:20.000]  That's the point where we're at right now.
[1:25:20.000 --> 1:25:24.000]  And it really can all be, I think, summarized with the Roy Moore campaign.
[1:25:24.000 --> 1:25:28.000]  You look at Roy Moore, I'm not here glorifying Roy Moore.
[1:25:28.000 --> 1:25:29.000]  I'm not even involved in this election.
[1:25:29.000 --> 1:25:31.000]  This is an Alabama deal, has nothing to do.
[1:25:31.000 --> 1:25:32.000]  There's no evidence.
[1:25:32.000 --> 1:25:33.000]  But here's the thing.
[1:25:33.000 --> 1:25:34.000]  Exactly.
[1:25:34.000 --> 1:25:35.000]  So what are we seeing?
[1:25:35.000 --> 1:25:39.000]  Roy Moore, this is a Senate seat that the Democrats need desperately.
[1:25:39.000 --> 1:25:41.000]  They need that vote to impeach Trump.
[1:25:41.000 --> 1:25:43.000]  They need that vote when all of these votes happen.
[1:25:43.000 --> 1:25:46.000]  They are so desperate they cannot get a national victory.
[1:25:46.000 --> 1:25:48.000]  So they're throwing the kitchen sink.
[1:25:48.000 --> 1:25:54.000]  They're throwing everything they can against Roy Moore, trying to get him to bow out and basically bully their way into that seat.
[1:25:54.000 --> 1:25:58.000]  So now you're seeing the backlash, Roy Moore saying, I'm not going to bow out.
[1:25:58.000 --> 1:25:59.000]  People are standing up for them.
[1:25:59.000 --> 1:26:01.000]  His wife is giving speeches.
[1:26:01.000 --> 1:26:02.000]  So this is now the battle.
[1:26:02.000 --> 1:26:03.000]  Are we going?
[1:26:03.000 --> 1:26:06.000]  And the sad thing about it is people are going to be bullied.
[1:26:06.000 --> 1:26:13.000]  Whether he's perfect or not now, it's literally been set up as a vote, a litmus test on whether they win or we win.
[1:26:13.000 --> 1:26:14.000]  Exactly.
[1:26:14.000 --> 1:26:17.000]  And this is how they're going to plan on moving their political agenda forward.
[1:26:17.000 --> 1:26:23.000]  Claim all of their enemies are sexual assaulting people, you know, bring up ladies from 40 years ago,
[1:26:23.000 --> 1:26:28.000]  20 years ago, whatever it is, stories from 10 years ago, clips, tapes, anything.
[1:26:28.000 --> 1:26:29.000]  Throw it all at the...
[1:26:29.000 --> 1:26:33.000]  A lot of them have proven false, but then he admits, I got a promotion to date the 17-year-old.
[1:26:33.000 --> 1:26:38.000]  Well, that interview with Hannity, whoever advised him to do that, I mean, I'd fire them immediately.
[1:26:38.000 --> 1:26:39.000]  That was terrible.
[1:26:39.000 --> 1:26:40.000]  That was bad form.
[1:26:40.000 --> 1:26:44.000]  Yeah, but, you know, it's not illegal to...
[1:26:44.000 --> 1:26:46.000]  It's kind of a creepy perverse.
[1:26:46.000 --> 1:26:48.000]  But the point is, is that he...
[1:26:48.000 --> 1:26:50.000]  I'm not even defending it.
[1:26:50.000 --> 1:26:55.000]  I'm just not going to watch them ignore Clinton and all the other stuff and make Roy more the devil.
[1:26:55.000 --> 1:26:56.000]  That's all I'm saying.
[1:26:56.000 --> 1:26:57.000]  We know it's being done political.
[1:26:57.000 --> 1:26:58.000]  We know they're exaggerating.
[1:26:58.000 --> 1:26:59.000]  That's the point.
[1:26:59.000 --> 1:27:00.000]  Wrong or right, though.
[1:27:00.000 --> 1:27:01.000]  I mean, let's take a look back.
[1:27:01.000 --> 1:27:08.000]  If you go back 40 years and you look at, say, a small town in central Illinois where a daughter is 18 years old...
[1:27:08.000 --> 1:27:09.000]  No, no, it was literally...
[1:27:09.000 --> 1:27:11.000] ...mothers and fathers were shopping...
[1:27:11.000 --> 1:27:12.000]  Yeah.
[1:27:12.000 --> 1:27:14.000] ...shopping their daughters around to the guy that owned the Cardiola ship.
[1:27:14.000 --> 1:27:15.000]  I'm not saying that's good or bad.
[1:27:15.000 --> 1:27:17.000]  I'm not saying we should continue to do that or not.
[1:27:17.000 --> 1:27:18.000]  I'm just saying, look at the time...
[1:27:18.000 --> 1:27:20.000]  People are more pragmatic back then.
[1:27:20.000 --> 1:27:24.000]  They're like, do I want my daughter to be with some deadbeat that's her age at 20 pregnant?
[1:27:24.000 --> 1:27:26.000]  Or do I want her to marry the rich guy?
[1:27:26.000 --> 1:27:27.000]  Here's what I don't understand, Alex.
[1:27:27.000 --> 1:27:31.000]  All the things that the liberals are fighting against right now, as far as gender norms are concerned,
[1:27:31.000 --> 1:27:34.000]  are still taught that way in college.
[1:27:34.000 --> 1:27:35.000]  I took psychology.
[1:27:35.000 --> 1:27:41.000]  All of the psychology classes that I took based on sexuality and gender all said the same stuff.
[1:27:41.000 --> 1:27:43.000]  Women like...
[1:27:43.000 --> 1:27:44.000]  They say resources.
[1:27:44.000 --> 1:27:46.000]  Women like rich men.
[1:27:46.000 --> 1:27:48.000]  Do I need a book to tell me that?
[1:27:48.000 --> 1:27:49.000]  No, I'm not an idiot.
[1:27:49.000 --> 1:27:52.000]  Of course, a woman wants to be with a man that can sustain them, sustain a family,
[1:27:52.000 --> 1:27:55.000]  put them in a shelter, keep food in them and their children's mouth.
[1:27:55.000 --> 1:27:57.000]  That's basic psychology.
[1:27:57.000 --> 1:28:00.000]  By the way, now that women have gotten to men's positions in so many cases and make a bunch of money,
[1:28:00.000 --> 1:28:02.000]  they find out if here's a...
[1:28:02.000 --> 1:28:03.000]  They don't want the boy toy.
[1:28:03.000 --> 1:28:05.000]  Either they end up wanting somebody that's actually smart.
[1:28:05.000 --> 1:28:06.000]  Oh, exactly.
[1:28:06.000 --> 1:28:09.000]  And so on the opposite spectrum, it's like, what do men look for?
[1:28:09.000 --> 1:28:11.000]  They want a woman that looks like she's fertile.
[1:28:11.000 --> 1:28:14.000]  It's all of this basic human psychology stuff.
[1:28:14.000 --> 1:28:16.000]  They're still teaching at the liberal universities.
[1:28:16.000 --> 1:28:18.000]  Just like male and female lawresses do.
[1:28:18.000 --> 1:28:20.000]  I don't think they're going to teach it much longer.
[1:28:20.000 --> 1:28:21.000]  I'm serious.
[1:28:21.000 --> 1:28:25.000]  The psychology classes I took on gender and sexuality, I bet they pull.
[1:28:25.000 --> 1:28:29.000]  They will pull them from the ranks and they'll start replacing it with women's studies.
[1:28:29.000 --> 1:28:32.000]  By the way, that's more of me as rich men do not like slender women.
[1:28:32.000 --> 1:28:33.000]  We don't...
[1:28:33.000 --> 1:28:35.000]  It's not obese women.
[1:28:35.000 --> 1:28:36.000]  So that's that...
[1:28:36.000 --> 1:28:37.000]  I like a real woman.
[1:28:37.000 --> 1:28:38.000]  I like a woman that smiles.
[1:28:38.000 --> 1:28:40.000]  Has a big one for me.
[1:28:40.000 --> 1:28:41.000]  Fun, you know.
[1:28:41.000 --> 1:28:43.000]  Yeah, that's the kind of stuff I'm into.
[1:28:43.000 --> 1:28:44.000]  Me too.
[1:28:44.000 --> 1:28:47.000]  I mean, so much of it is attitude.
[1:28:47.000 --> 1:28:48.000]  Of course, I'm lucky.
[1:28:48.000 --> 1:28:50.000]  My wife's not street legal.
[1:28:50.000 --> 1:28:51.000]  She Russian?
[1:28:51.000 --> 1:28:52.000]  It was just a good t-shirt.
[1:28:52.000 --> 1:28:54.000]  It just means you've got so much horsepower under the hood.
[1:28:54.000 --> 1:28:56.000]  You can't put them on the regular street.
[1:28:56.000 --> 1:28:57.000]  Watch out.
[1:28:57.000 --> 1:28:59.000]  Dr. Group, you developed living defense for us.
[1:28:59.000 --> 1:29:01.000]  It took you over a year to do it.
[1:29:01.000 --> 1:29:02.000]  Why is this so good?
[1:29:02.000 --> 1:29:07.000]  Because people are actually waking up to the problem that pretty much scares me the most.
[1:29:07.000 --> 1:29:12.000]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system.
[1:29:12.000 --> 1:29:16.000]  But right now, we're dealing with massive parasites,
[1:29:16.000 --> 1:29:20.000]  which is anything that's harmful to your body that lives off a host mechanism.
[1:29:20.000 --> 1:29:24.000]  Right now, with all the refugees spreading disease around,
[1:29:24.000 --> 1:29:27.000]  we have biological warfare going on everywhere.
[1:29:27.000 --> 1:29:28.000]  These are all parasites.
[1:29:28.000 --> 1:29:31.000]  Tell us about all the stuff that says there's so many things that are in it.
[1:29:31.000 --> 1:29:32.000]  You have the neem in there.
[1:29:32.000 --> 1:29:35.000]  You have the organic clove bud, the organic wormwood.
[1:29:35.000 --> 1:29:38.000]  I recommend doing a parasite cleanse at least twice a year.
[1:29:38.000 --> 1:29:39.000]  All right.
[1:29:39.000 --> 1:29:41.000]  Well, I'm glad we've got some back in because I'm going back on it today.
[1:29:41.000 --> 1:29:44.000]  It just came back in yesterday, Living Defense, infowarslife.com.
[1:29:44.000 --> 1:29:45.000]  And folks, you can't lose.
[1:29:45.000 --> 1:29:48.000]  It's full of stuff that's great for your body, period.
[1:29:48.000 --> 1:29:51.000]  And you support the broadcast, infowarslife.com.
[1:29:51.000 --> 1:29:53.000]  Thank you, Dr. Group, from the Global Healing Center.
[1:29:53.000 --> 1:30:22.000]  Thank you so much for all your work, sir, on this great product.
[1:30:24.000 --> 1:30:29.000]  The real punk rock is being a patriot who's pro-America, pro-capitalism,
[1:30:29.000 --> 1:30:32.000]  and pro-freedom who at the same time is tolerant.
[1:30:32.000 --> 1:30:37.000]  Modern liberalism is a counterfeit of Thomas Jefferson's classical liberalism.
[1:30:37.000 --> 1:30:42.000]  They are the anti-liberalists who defend free speech, meet like-minded friends,
[1:30:42.000 --> 1:30:44.000]  and promote freedom worldwide.
[1:30:44.000 --> 1:30:49.000]  We've got more than 60 original designs of high-quality t-shirts for men and women,
[1:30:49.000 --> 1:30:53.000]  as well as more, Patriot Feral, at infowarsstore.com.
[1:30:53.000 --> 1:30:57.000]  Be part of the Second American Revolution at infowarsstore.com.
[1:30:57.000 --> 1:31:03.000]  I want to plow into all of this, that I'm going to spend a few minutes here first,
[1:31:03.000 --> 1:31:08.000]  just encouraging listeners to understand that when you buy t-shirts,
[1:31:08.000 --> 1:31:15.000]  or water filtration systems, or books, or videos, or other material from infowarsstore.com,
[1:31:15.000 --> 1:31:19.000]  you are funding the revolution. I mean, I cannot say it any clearer.
[1:31:19.000 --> 1:31:23.000]  And so it is essential that you purchase the products at infowarsstore.com.
[1:31:23.000 --> 1:31:27.000]  I don't want to thank everybody that has, but we've got the best fluoride-free toothpaste
[1:31:27.000 --> 1:31:31.000]  with colloidal silver and with high-quality atomic iodine in it.
[1:31:31.000 --> 1:31:33.000]  You cannot beat that for children and adults.
[1:31:33.000 --> 1:31:36.000]  We've got the best mouthwash designed by Dr. Jones.
[1:31:36.000 --> 1:31:38.000]  That's my dad with colloidal silver and iodine as well.
[1:31:38.000 --> 1:31:43.000]  infowarslife.com, or AAA-253-3139.
[1:31:43.000 --> 1:31:46.000]  And your purchase of the products stands with us, stands with America,
[1:31:46.000 --> 1:31:50.000]  stands with Trump, stands against the globalists and their satanic pedophile armies.
[1:31:50.000 --> 1:31:53.000]  And that's who they are, and they know we know who they are,
[1:31:53.000 --> 1:32:22.000]  and they're coming back against us so we need your support.
[1:32:23.000 --> 1:32:30.000]  That's my dad with colloidal silver and iodine as well.
[1:32:53.000 --> 1:33:21.000]  That's my dad with colloidal silver and iodine as well.
[1:33:21.000 --> 1:33:25.000]  I'm just an average man with an average life.
[1:33:25.000 --> 1:33:27.000]  I work from nine to five.
[1:33:27.000 --> 1:33:29.000]  Hell, I pay the price.
[1:33:29.000 --> 1:33:31.000]  All I want is to be left alone.
[1:33:31.000 --> 1:33:34.000]  Okay, Alex Jones here with Owen Schreuer.
[1:33:34.000 --> 1:33:37.000]  He owes his own transmission.
[1:33:37.000 --> 1:33:39.000]  Weekdays, three to six p.m. Central already.
[1:33:39.000 --> 1:33:41.000]  A lot of stations picking it up.
[1:33:41.000 --> 1:33:43.000]  A bunch of stations picking up in the New Year.
[1:33:43.000 --> 1:33:46.000]  A lot of stations sign year-long contracts.
[1:33:46.000 --> 1:33:47.000]  Obviously, we don't do that.
[1:33:47.000 --> 1:33:51.000]  M4s is now free to air.
[1:33:51.000 --> 1:33:56.000]  I like GCN, but they're just a satellite provider for me for 18, 19 years.
[1:33:56.000 --> 1:34:00.000]  One reason I thought about leaving GCN is just because I want to just say,
[1:34:00.000 --> 1:34:02.000]  stations get all the commercials.
[1:34:02.000 --> 1:34:05.000]  We'll fill them up on the Internet with our stuff, but you can have them all.
[1:34:05.000 --> 1:34:07.000]  That's what stations really need, the money to fund themselves,
[1:34:07.000 --> 1:34:09.000]  and they only get half the ads.
[1:34:09.000 --> 1:34:10.000]  It's hard.
[1:34:10.000 --> 1:34:13.000]  I want to just say, it's just not about leaving GCN.
[1:34:13.000 --> 1:34:15.000]  It's just like, I don't need the ads.
[1:34:15.000 --> 1:34:17.000]  I want to help the local stations.
[1:34:17.000 --> 1:34:20.000]  That's one of the things that goes into calculus, but I'm still at GCN.
[1:34:20.000 --> 1:34:23.000]  For now, we do our own syndication, our own feed right out of here.
[1:34:23.000 --> 1:34:25.000]  We do our own affiliate relations, but I have GCN as a backup,
[1:34:25.000 --> 1:34:27.000]  and they're great guys.
[1:34:27.000 --> 1:34:29.000]  The people that own it and run it are nice folks.
[1:34:29.000 --> 1:34:33.000]  Some of the other talk shows are like piss that I put them on the map and even exist.
[1:34:33.000 --> 1:34:34.000]  Like, I'm the house on the hill.
[1:34:34.000 --> 1:34:36.000]  They're all mad that I even exist.
[1:34:36.000 --> 1:34:38.000]  I'm like, well, let me just get away from here.
[1:34:38.000 --> 1:34:40.000]  We can all fall apart together.
[1:34:40.000 --> 1:34:44.000]  I mean, don't let me go swim in the North Atlantic in the middle of December.
[1:34:44.000 --> 1:34:48.000]  It's kind of like what the kid's name, the ball kid's name's father.
[1:34:48.000 --> 1:34:50.000]  Basically, when the reporter says,
[1:34:50.000 --> 1:34:54.000]  oh, are you grateful that Trump released your son from 10 years in Chinese prison?
[1:34:54.000 --> 1:34:56.000]  And he's like, yeah, we're fine, whatever.
[1:34:56.000 --> 1:34:58.000]  So Trump hit him back on Twitter.
[1:34:58.000 --> 1:34:59.000]  It's kind of the same thing, though.
[1:34:59.000 --> 1:35:02.000]  Just no, you know, it's a lack of respect, I guess.
[1:35:02.000 --> 1:35:03.000]  Yeah.
[1:35:03.000 --> 1:35:05.000]  Well, I mean, it's beyond that.
[1:35:05.000 --> 1:35:06.000]  It's just frustrating.
[1:35:06.000 --> 1:35:10.000]  And I don't tell that story just now as this subscripted idea.
[1:35:10.000 --> 1:35:12.000]  That's the just kind of stuff that goes on in my head.
[1:35:12.000 --> 1:35:15.000]  Like, I just want our affiliates to have all the ads.
[1:35:15.000 --> 1:35:17.000]  We'll do a few plugs live on air.
[1:35:17.000 --> 1:35:18.000]  I want to help the stations.
[1:35:18.000 --> 1:35:19.000]  Plus, we get them the ratings.
[1:35:19.000 --> 1:35:21.000]  Plus, we're Americana.
[1:35:21.000 --> 1:35:22.000]  We believe in our recovery.
[1:35:22.000 --> 1:35:23.000]  We want the country to come back.
[1:35:23.000 --> 1:35:29.000]  It's just insane how they're trying to implode the economy and like betting against it.
[1:35:29.000 --> 1:35:30.000]  It's sick.
[1:35:30.000 --> 1:35:33.000]  When you built a marketplace, Alex, not only did you build this operation,
[1:35:33.000 --> 1:35:34.000]  you also built a marketplace.
[1:35:34.000 --> 1:35:39.000]  A lot of the products that you put on infowarstore.com that were groundbreaking at the time
[1:35:39.000 --> 1:35:42.000]  or considered even loony, probably some people probably made fun of you,
[1:35:42.000 --> 1:35:44.000]  now are becoming mainstream.
[1:35:44.000 --> 1:35:46.000]  Now everybody wants to take these types of products.
[1:35:46.000 --> 1:35:47.000]  Now everybody's trying to replicate.
[1:35:47.000 --> 1:35:52.000]  When we started promoting true atomic iodide from deep earth five years ago, it was nowhere.
[1:35:52.000 --> 1:35:57.000]  Now it's in caps at Whole Foods and in CVS and it's the crap stuff.
[1:35:57.000 --> 1:35:59.000]  Just, I mean, look at DNA force.
[1:35:59.000 --> 1:36:01.000]  I mean, DNA force is another example.
[1:36:01.000 --> 1:36:05.000]  Dr. Group and you were working together to put DNA force on the market.
[1:36:05.000 --> 1:36:09.000]  It hits the market a year later, every major mainstream, you know,
[1:36:09.000 --> 1:36:12.000]  network you're seeing ads to protect your telomeres.
[1:36:12.000 --> 1:36:13.000]  That was something.
[1:36:13.000 --> 1:36:15.000]  That was the trend that you started.
[1:36:15.000 --> 1:36:19.000]  Well, we could just see hundreds of studies and you're even allowed to say it about it.
[1:36:19.000 --> 1:36:20.000]  I mean, it's not.
[1:36:20.000 --> 1:36:21.000]  But how dare you?
[1:36:21.000 --> 1:36:23.000]  I mean, you know, I go out on the streets at a protest.
[1:36:23.000 --> 1:36:26.000]  Everybody says F. Alex Jones, you know, he's the worst.
[1:36:26.000 --> 1:36:27.000]  You should leave Austin.
[1:36:27.000 --> 1:36:29.000]  So that's nice to be.
[1:36:29.000 --> 1:36:31.000]  Which I don't want to name drop your community.
[1:36:31.000 --> 1:36:34.000]  I don't want to name drop, but literally Travis County.
[1:36:34.000 --> 1:36:36.000]  I mean, my family.
[1:36:36.000 --> 1:36:39.000]  No one's related to Colonel Travis because his line died out.
[1:36:39.000 --> 1:36:41.000]  We raised Colonel Travis, his son on my mom's side.
[1:36:41.000 --> 1:36:43.000]  My dad's side connected into the whole deal.
[1:36:43.000 --> 1:36:47.000]  I'm not going to get into the whole Texas type deal, but literally it exists
[1:36:47.000 --> 1:36:49.000]  because my ancestors were willing to fight and die.
[1:36:49.000 --> 1:36:54.000]  And then you're saying I should leave a bunch of crazed, not even Californians.
[1:36:54.000 --> 1:36:57.000]  These are losers that went to California like locusts.
[1:36:57.000 --> 1:36:58.000]  Get imploded.
[1:36:58.000 --> 1:37:00.000]  Now they're here, here telling me leave.
[1:37:00.000 --> 1:37:01.000]  I just think it's sad.
[1:37:01.000 --> 1:37:03.000]  There's so much judgment on these people.
[1:37:03.000 --> 1:37:07.000]  You know, they want to leftists or liberals or anyone say they want to point the fingers
[1:37:07.000 --> 1:37:12.000]  at everybody sitting across the aisle from them and say racist, bigot, homophobe, this.
[1:37:12.000 --> 1:37:14.000]  How about you're a bunch of mentally deranged idiots?
[1:37:14.000 --> 1:37:18.000]  Well, how about you just hold judgment until you know something?
[1:37:18.000 --> 1:37:20.000]  Like they want to come up to me and they say all these things.
[1:37:20.000 --> 1:37:21.000]  They accuse me of all these things.
[1:37:21.000 --> 1:37:22.000]  Like you don't even know.
[1:37:22.000 --> 1:37:23.000]  That's the thing.
[1:37:23.000 --> 1:37:27.000]  They're a bunch of dirty, ugly, stupid, mentally deficient people.
[1:37:27.000 --> 1:37:28.000]  And I feel sorry for them.
[1:37:28.000 --> 1:37:30.000]  But like zombies, they want brains.
[1:37:30.000 --> 1:37:32.000]  They see us and want to bring us down.
[1:37:32.000 --> 1:37:36.000]  Here's some of the highlights or lowlights of what happened to you yesterday out there
[1:37:36.000 --> 1:37:41.000]  with our great Harrison Smith and Millie Weaver when a literal man in a chicken suit grabs
[1:37:41.000 --> 1:37:45.000]  the mic, breaks it, bashes it, the police then chase.
[1:37:45.000 --> 1:37:47.000]  Here's some of the highlights.
[1:37:47.000 --> 1:37:52.000]  Today is the latest refuse fascism march.
[1:37:52.000 --> 1:37:57.000]  And this is specifically the bring the noise march hashtag bring the noise.
[1:37:57.000 --> 1:38:02.000]  Their Facebook marketing, their social media marketing, everything funded by George Soros here.
[1:38:02.000 --> 1:38:06.000]  And the refuse fascism website and everything has the flyer.
[1:38:06.000 --> 1:38:07.000]  It's bring the noise.
[1:38:07.000 --> 1:38:11.000]  This nightmare must and the Trump Pence regime must go.
[1:38:11.000 --> 1:38:14.000]  Pots and pans, drums and marching bands.
[1:38:14.000 --> 1:38:15.000]  Bring the noise.
[1:38:15.000 --> 1:38:18.000]  That's all drums and marching bands.
[1:38:18.000 --> 1:38:21.000]  It is now about 205 here in local time.
[1:38:21.000 --> 1:38:24.000]  So that's five minutes after this thing was supposed to kick off.
[1:38:24.000 --> 1:38:26.000]  And I don't hear any noise.
[1:38:26.000 --> 1:38:27.000]  I don't see any pots and pans.
[1:38:27.000 --> 1:38:29.000]  I don't see any drum sets or anything like that.
[1:38:29.000 --> 1:38:31.000]  That's a third world thing.
[1:38:31.000 --> 1:38:33.000]  Is that some paperwork for me?
[1:38:33.000 --> 1:38:35.000]  Some I can read?
[1:38:35.000 --> 1:38:36.000]  Got some paperwork?
[1:38:36.000 --> 1:38:37.000]  No, no, no.
[1:38:37.000 --> 1:38:38.000]  What do you mean no info wars?
[1:38:38.000 --> 1:38:40.000]  Isn't that fascist?
[1:38:40.000 --> 1:38:42.000]  Is that not fascist?
[1:38:42.000 --> 1:38:44.000]  Is that not fascist?
[1:38:44.000 --> 1:38:46.000]  No info wars?
[1:38:46.000 --> 1:38:49.000]  Hey, how are you doing today chicken?
[1:38:49.000 --> 1:38:51.000]  Pretty good.
[1:38:51.000 --> 1:38:54.000]  Hear that voice.
[1:38:54.000 --> 1:38:56.000]  There's a unicorn.
[1:38:56.000 --> 1:38:58.000]  Why don't you like Trump?
[1:38:58.000 --> 1:39:00.000]  Please, Alex, explain what you're seeing here.
[1:39:00.000 --> 1:39:02.000]  I had this long thing with his mom.
[1:39:02.000 --> 1:39:05.000]  I really want to fuck that guy too.
[1:39:05.000 --> 1:39:07.000]  You're out here protesting Trump.
[1:39:07.000 --> 1:39:09.000]  Let's have a real conversation.
[1:39:09.000 --> 1:39:11.000]  Why don't you like Trump?
[1:39:11.000 --> 1:39:13.000]  It's like the pro-abortion protest.
[1:39:13.000 --> 1:39:14.000]  They go, we love Satan.
[1:39:14.000 --> 1:39:15.000]  We want to be dirty.
[1:39:15.000 --> 1:39:16.000]  We're scum.
[1:39:16.000 --> 1:39:18.000]  They tell you, we're scum.
[1:39:18.000 --> 1:39:19.000]  We want to kill you.
[1:39:19.000 --> 1:39:21.000]  And they're like, okay.
[1:39:21.000 --> 1:39:22.000]  They're very honest.
[1:39:22.000 --> 1:39:24.000]  Yeah, that's how they avoid the conversation.
[1:39:24.000 --> 1:39:25.000]  Now, I'm the worst.
[1:39:25.000 --> 1:39:26.000]  I want to kill you.
[1:39:26.000 --> 1:39:27.000]  I hate America.
[1:39:27.000 --> 1:39:28.000]  Okay, well, you're leaving alone.
[1:39:28.000 --> 1:39:29.000]  The chicken's about to attack.
[1:39:29.000 --> 1:39:30.000]  Here we go.
[1:39:30.000 --> 1:39:31.000]  The chicken man.
[1:39:31.000 --> 1:39:32.000]  No.
[1:39:32.000 --> 1:39:33.000]  We got that.
[1:39:33.000 --> 1:39:34.000]  What?
[1:39:34.000 --> 1:39:35.000]  Why does info wars suck?
[1:39:35.000 --> 1:39:37.000]  Because you're lying and kissing.
[1:39:37.000 --> 1:39:38.000]  You're pulling a chicken.
[1:39:38.000 --> 1:39:40.000]  I get people killed for, you know.
[1:39:40.000 --> 1:39:41.000]  What?
[1:39:41.000 --> 1:39:42.000]  Pizza.
[1:39:42.000 --> 1:39:43.000]  What was that?
[1:39:43.000 --> 1:39:44.000]  Wow.
[1:39:44.000 --> 1:39:45.000]  You just made that up.
[1:39:45.000 --> 1:39:46.000]  You literally just made something up.
[1:39:46.000 --> 1:39:47.000]  They're full of shit.
[1:39:47.000 --> 1:39:48.000]  They're full of shit.
[1:39:48.000 --> 1:39:49.000]  They're full of shit.
[1:39:49.000 --> 1:39:50.000]  Grab the mic.
[1:39:50.000 --> 1:39:51.000]  Brexit.
[1:39:51.000 --> 1:39:55.000]  Now, some people theorize that he was actually trying to hit me with the mic.
[1:39:55.000 --> 1:39:59.500]  And that the sign that the lady was holding in between us actually saved me, essentially,
[1:39:59.500 --> 1:40:01.000]  from getting hit over the head with the mic.
[1:40:01.000 --> 1:40:04.000]  And she's got a sign with an image of Trump with poop dripping out.
[1:40:04.000 --> 1:40:05.000]  Literally.
[1:40:05.000 --> 1:40:08.000]  He's like, she bought like fake turds or something at a store.
[1:40:08.000 --> 1:40:10.000]  And then the chicken man takes off running.
[1:40:10.000 --> 1:40:13.000]  Now you're chasing a guy on a chicken suit with a police.
[1:40:13.000 --> 1:40:15.000]  I can't even do this.
