[00:00.000 --> 00:01.500]  We've got it, Tata.
[1:02:49.000 --> 1:02:51.000]  this event
[1:02:51.000 --> 1:02:53.000]  you know
[1:02:53.000 --> 1:02:55.000]  it seems like
[1:02:55.000 --> 1:02:57.000]  a script to
[1:02:57.000 --> 1:02:59.000]  make a role
[1:02:59.000 --> 1:03:01.000]  you've got the script
[1:03:01.000 --> 1:03:03.000]  you've got the glamour photos
[1:03:03.000 --> 1:03:05.000]  you've got it all tailored
[1:03:05.000 --> 1:03:07.000]  the classic MO of a mind controlled
[1:03:07.000 --> 1:03:09.000]  Patsy who's only part
[1:03:09.000 --> 1:03:11.000]  of the event
[1:03:11.000 --> 1:03:13.000]  you've got all the witnesses saying
[1:03:13.000 --> 1:03:15.000]  full shooters, not just one
[1:03:15.000 --> 1:03:17.000]  but now they're talking about two, three
[1:03:17.000 --> 1:03:19.000]  maybe even four
[1:03:19.000 --> 1:03:21.000]  other men
[1:03:21.000 --> 1:03:23.000]  dressed as policemen at the bombing
[1:03:23.000 --> 1:03:25.000]  all of this starting to come out
[1:03:25.000 --> 1:03:27.000]  and you see the clash of civilizations
[1:03:27.000 --> 1:03:29.000]  the globalists want to play Christians and Muslims
[1:03:29.000 --> 1:03:31.000]  Westerners and the East off against each other
[1:03:31.000 --> 1:03:33.000]  while the government opens
[1:03:33.000 --> 1:03:35.000]  the borders up
[1:03:35.000 --> 1:03:37.000]  to allow the clash to happen
[1:03:37.000 --> 1:03:39.000]  then it plays the part of the arbiter
[1:03:39.000 --> 1:03:41.000]  but just like the West created Al Qaeda
[1:03:41.000 --> 1:03:43.000]  this manifesto
[1:03:43.000 --> 1:03:45.000]  will now generate real copycats
[1:03:45.000 --> 1:03:47.000]  who will take up
[1:03:47.000 --> 1:03:49.000]  the crusade or jihad
[1:03:49.000 --> 1:03:51.000]  and so the government
[1:03:51.000 --> 1:03:53.000]  and the social engineers won't even have to
[1:03:53.000 --> 1:03:55.000]  provocateur some of this
[1:03:55.000 --> 1:03:57.000]  it will create a whole new movement
[1:03:57.000 --> 1:03:59.000]  by the attention it's getting
[1:03:59.000 --> 1:04:01.000]  do you see the genius of the globalists
[1:04:01.000 --> 1:04:03.000]  how they set things in motion
[1:04:03.000 --> 1:04:05.000]  yeah I mean
[1:04:05.000 --> 1:04:07.000]  it follows the perfect script
[1:04:07.000 --> 1:04:09.000]  there's
[1:04:09.000 --> 1:04:11.000]  a few things diluting
[1:04:11.000 --> 1:04:13.000]  nothing original
[1:04:13.000 --> 1:04:15.000]  they're following
[1:04:15.000 --> 1:04:17.000]  what's been done before
[1:04:17.000 --> 1:04:19.000]  and taking
[1:04:19.000 --> 1:04:21.000]  what was successful
[1:04:21.000 --> 1:04:23.000]  and just making this event
[1:04:23.000 --> 1:04:25.000]  as it was
[1:04:25.000 --> 1:04:27.000]  scripted as a movie
[1:04:27.000 --> 1:04:29.000]  if it ain't broke don't fix it
[1:04:29.000 --> 1:04:31.000]  but there's a weakness in that stratagem
[1:04:31.000 --> 1:04:33.000]  those of us that study these people
[1:04:33.000 --> 1:04:35.000]  see them do the exact same thing
[1:04:35.000 --> 1:04:37.000]  the drills
[1:04:37.000 --> 1:04:39.000]  are being run
[1:04:39.000 --> 1:04:41.000]  in the days before
[1:04:41.000 --> 1:04:43.000]  the multiple gunmen
[1:04:43.000 --> 1:04:45.000]  or attackers
[1:04:45.000 --> 1:04:47.000]  the prescripting running up to it
[1:04:47.000 --> 1:04:49.000]  the media hype
[1:04:49.000 --> 1:04:51.000]  will be right back with the survivor
[1:04:51.000 --> 1:04:53.000]  of the Oslo bombing
[1:04:53.000 --> 1:04:55.000]  and the globalist terror attack
[1:04:55.000 --> 1:04:57.000]  with Dr. Webstergryff
[1:04:57.000 --> 1:04:59.000]  straight ahead stay with us
[1:04:59.000 --> 1:05:01.000]  this is Alex Jones with 5 good reasons
[1:05:01.000 --> 1:05:03.000]  you should consider buying a solar powered generator
[1:05:03.000 --> 1:05:05.000]  number 1
[1:05:05.000 --> 1:05:07.000]  our new energy czar
[1:05:07.000 --> 1:05:09.000]  wants to control how much power
[1:05:09.000 --> 1:05:11.000]  your electric company allows you to have
[1:05:11.000 --> 1:05:13.000]  it's true total government control
[1:05:13.000 --> 1:05:15.000]  of electricity in the name of smart grid
[1:05:15.000 --> 1:05:17.000]  technology is coming
[1:05:17.000 --> 1:05:19.000]  number 3 in some areas of the country
[1:05:19.000 --> 1:05:21.000]  the power grid is dangerously overloaded
[1:05:21.000 --> 1:05:23.000]  and now new socialist legislation
[1:05:23.000 --> 1:05:25.000]  is only compounding the problem
[1:05:25.000 --> 1:05:27.000]  number 4 dangerous weather
[1:05:27.000 --> 1:05:29.000]  is always a threat to local grids
[1:05:29.000 --> 1:05:31.000]  every year thousands of families lose their power
[1:05:31.000 --> 1:05:33.000]  from weather related onages
[1:05:33.000 --> 1:05:35.000]  a solar powered generator
[1:05:35.000 --> 1:05:37.000]  provides powerful backup insurance
[1:05:37.000 --> 1:05:39.000]  and peace of mind
[1:05:39.000 --> 1:05:41.000]  folks i really believe in the solar powered generators offered by solutions from science
[1:05:41.000 --> 1:05:43.000]  one of my old sponsors
[1:05:43.000 --> 1:05:45.000]  you can get more information at
[1:05:45.000 --> 1:05:47.000]  www.mysolarbackup.com
[1:05:47.000 --> 1:05:49.000]  that's mysolarbackup.com
[1:05:49.000 --> 1:05:51.000]  remember the government doesn't own the sun
[1:05:51.000 --> 1:05:53.000]  so go to mysolarbackup.com
[1:05:53.000 --> 1:06:17.000]  1-877-327-0365
[1:06:17.000 --> 1:06:19.000]  this is a big deal
[1:06:19.000 --> 1:06:21.000]  i could analyze the media
[1:06:21.000 --> 1:06:23.000]  and predict massive
[1:06:23.000 --> 1:06:25.000]  stage terror attacks starting in europe
[1:06:25.000 --> 1:06:27.000]  moving into the united states of north america
[1:06:27.000 --> 1:06:29.000]  off of mainstream media
[1:06:29.000 --> 1:06:31.000]  pre-programming in the last
[1:06:31.000 --> 1:06:33.000]  6 months or so and i've been saying
[1:06:33.000 --> 1:06:35.000]  they're going to stage these events
[1:06:35.000 --> 1:06:37.000]  the day before i said the attack
[1:06:37.000 --> 1:06:39.000]  is imminent within days or weeks
[1:06:39.000 --> 1:06:41.000]  we played that clip earlier
[1:06:41.000 --> 1:06:43.000]  so the day before i was able
[1:06:43.000 --> 1:06:45.000]  to look at the pre-programming
[1:06:45.000 --> 1:06:47.000]  and how they get all their people
[1:06:47.000 --> 1:06:49.000]  lined up ahead of time because
[1:06:49.000 --> 1:06:51.000]  the government's compartmentalized
[1:06:51.000 --> 1:06:53.000]  media's compartmentalized
[1:06:53.000 --> 1:06:55.000]  99% of people in government
[1:06:55.000 --> 1:06:57.000]  are not involved in these criminal activities
[1:06:57.000 --> 1:06:59.000]  but when you get into black ops
[1:06:59.000 --> 1:07:01.000]  cia you name it they are
[1:07:01.000 --> 1:07:03.000]  that's why Dr. Steve Pacenek
[1:07:03.000 --> 1:07:05.000]  who wrote the book for the cia on black ops
[1:07:05.000 --> 1:07:07.000]  former deputy
[1:07:07.000 --> 1:07:09.000]  head of the state department
[1:07:09.000 --> 1:07:11.000]  will be joining us tomorrow
[1:07:11.000 --> 1:07:13.000]  Dr. Webster griffin tarpley
[1:07:13.000 --> 1:07:15.000]  is waiting in the wings right now
[1:07:15.000 --> 1:07:17.000]  he'll be with us for at least
[1:07:17.000 --> 1:07:19.000]  two segments will also take calls
[1:07:19.000 --> 1:07:21.000]  in the last two segments the phones are now open
[1:07:21.000 --> 1:07:23.000]  on this live sunday
[1:07:23.000 --> 1:07:25.000]  transmission 877789
[1:07:25.000 --> 1:07:27.000]  alex 877789
[1:07:27.000 --> 1:07:29.000]  2539
[1:07:29.000 --> 1:07:31.000]  if you'd like to join us
[1:07:31.000 --> 1:07:33.000]  that's a different number than the weekday number
[1:07:33.000 --> 1:07:35.000]  because we run this sunday show completely out of my studio
[1:07:35.000 --> 1:07:37.000]  877789
[1:07:37.000 --> 1:07:39.000]  alex
[1:07:39.000 --> 1:07:41.000]  on government sponsored terror
[1:07:41.000 --> 1:07:43.000]  and did i call it or did i not call it
[1:07:43.000 --> 1:07:45.000]  and if you disagree with me
[1:07:45.000 --> 1:07:47.000]  you think this guy acted alone great
[1:07:47.000 --> 1:07:49.000]  the witnesses all say multiple
[1:07:49.000 --> 1:07:51.000]  shooters the witnesses say
[1:07:51.000 --> 1:07:53.000]  drills now confirmed
[1:07:53.000 --> 1:07:55.000]  all the same airmarks
[1:07:55.000 --> 1:07:57.000]  of a staged event the
[1:07:57.000 --> 1:07:59.000]  glamour shots of him and his regalia
[1:07:59.000 --> 1:08:01.000]  the fact they're trying to launch a clash
[1:08:01.000 --> 1:08:03.000]  of civilizations that the
[1:08:03.000 --> 1:08:05.000]  pentagon others have wanted between christians
[1:08:05.000 --> 1:08:07.000]  and muslims so the government
[1:08:07.000 --> 1:08:09.000]  can play the part of the arbiter
[1:08:09.000 --> 1:08:11.000]  the referee all of this
[1:08:11.000 --> 1:08:13.000]  is
[1:08:13.000 --> 1:08:15.000]  incredibly transparent
[1:08:15.000 --> 1:08:17.000]  when you're awake and aware if you're halfway
[1:08:17.000 --> 1:08:19.000]  paying attention well then it's a different
[1:08:19.000 --> 1:08:21.000]  story and there's a lot of big
[1:08:21.000 --> 1:08:23.000]  national media coverage
[1:08:23.000 --> 1:08:25.000]  fox news bright bar
[1:08:25.000 --> 1:08:27.000]  the daily mail they're all reporting on our
[1:08:27.000 --> 1:08:29.000]  reportage of this
[1:08:29.000 --> 1:08:31.000]  and our prediction thursday
[1:08:31.000 --> 1:08:33.000]  that they were going to roll out that white al-qaeda
[1:08:33.000 --> 1:08:35.000]  is now the threat white christian
[1:08:35.000 --> 1:08:37.000]  terrorist gun owners libertarians
[1:08:37.000 --> 1:08:39.000]  military
[1:08:39.000 --> 1:08:41.000]  a former military
[1:08:41.000 --> 1:08:43.000]  and so folks are giving us our do
[1:08:43.000 --> 1:08:45.000]  right now and our stories are being carried
[1:08:45.000 --> 1:08:47.000]  folks are really realizing how serious
[1:08:47.000 --> 1:08:49.000]  this is that the
[1:08:49.000 --> 1:08:51.000]  global oligarchs are getting ready to use
[1:08:51.000 --> 1:08:53.000]  the police state that they sold
[1:08:53.000 --> 1:08:55.000]  in the name of going after muslims
[1:08:55.000 --> 1:08:57.000]  which was more politically popular
[1:08:57.000 --> 1:08:59.000]  is now going to be flipped on
[1:08:59.000 --> 1:09:01.000]  the very people that don't want world government
[1:09:01.000 --> 1:09:03.000]  but here's the national post the big paper of
[1:09:03.000 --> 1:09:05.000]  canada already
[1:09:05.000 --> 1:09:07.000]  the norway conspiracy theories have begun
[1:09:07.000 --> 1:09:09.000]  well that didn't take long
[1:09:09.000 --> 1:09:11.000]  less than 24 hours up for norway killings
[1:09:11.000 --> 1:09:13.000]  alex jones massively
[1:09:13.000 --> 1:09:15.000]  surfed info war site they got something
[1:09:15.000 --> 1:09:17.000]  right already is fronting
[1:09:17.000 --> 1:09:19.000]  with the theory that the tragedy
[1:09:19.000 --> 1:09:21.000]  was all part of a conspiracy
[1:09:21.000 --> 1:09:23.000]  by european elites to deflect populace
[1:09:23.000 --> 1:09:25.000]  discussed and bailouts yes
[1:09:25.000 --> 1:09:27.000]  by friday afternoon curtain memo did
[1:09:27.000 --> 1:09:29.000]  write and he does quote in the paper
[1:09:29.000 --> 1:09:31.000]  three big paragraphs for article
[1:09:31.000 --> 1:09:33.000]  that this would be meant to energize a
[1:09:33.000 --> 1:09:35.000]  clash of civilizations christendom
[1:09:35.000 --> 1:09:37.000]  against islam
[1:09:37.000 --> 1:09:39.000]  and be used as a pretext
[1:09:39.000 --> 1:09:41.000]  comparing to the mcvee
[1:09:41.000 --> 1:09:43.000]  attacks which they now have
[1:09:43.000 --> 1:09:45.000]  done
[1:09:45.000 --> 1:09:47.000]  we're conspiracy theorists because we had total
[1:09:47.000 --> 1:09:49.000]  precision and that we're
[1:09:49.000 --> 1:09:51.000]  questioning an elite who's been caught
[1:09:51.000 --> 1:09:53.000]  lying 99% of
[1:09:53.000 --> 1:09:55.000]  the time and staging all sorts of terror attacks
[1:09:55.000 --> 1:09:57.000]  and fake wmds
[1:09:57.000 --> 1:09:59.000]  so i wanted to have
[1:09:59.000 --> 1:10:01.000]  doctor webster griffin tarpley
[1:10:01.000 --> 1:10:03.000]  have any questions or comments that will come
[1:10:03.000 --> 1:10:05.000]  back with just doctor tarpley
[1:10:05.000 --> 1:10:07.000]  for our guest
[1:10:07.000 --> 1:10:09.000]  robert
[1:10:09.000 --> 1:10:11.000]  jeppestool
[1:10:11.000 --> 1:10:13.000]  who was
[1:10:13.000 --> 1:10:15.000]  walking towards
[1:10:15.000 --> 1:10:17.000]  the blast when it happened
[1:10:17.000 --> 1:10:19.000]  he's in norway was blown back by it
[1:10:19.000 --> 1:10:21.000]  in day one he said a lot of
[1:10:21.000 --> 1:10:23.000]  folks in norway do not think the official
[1:10:23.000 --> 1:10:25.000]  story is true he told us about
[1:10:25.000 --> 1:10:27.000]  the drills before it was even in the news
[1:10:27.000 --> 1:10:29.000]  doctor tarpley
[1:10:29.000 --> 1:10:31.000]  any questions for our guest
[1:10:31.000 --> 1:10:33.000]  before we let him go
[1:10:33.000 --> 1:10:35.000]  the two things that i think
[1:10:35.000 --> 1:10:37.000]  would be interesting to know more about
[1:10:37.000 --> 1:10:39.000]  how about the explosions that went off
[1:10:39.000 --> 1:10:41.000]  in oxlo
[1:10:41.000 --> 1:10:43.000]  on wednesday, tuesday to wednesday
[1:10:43.000 --> 1:10:45.000]  according to what i'm reading in the
[1:10:45.000 --> 1:10:47.000]  often post and that would be one
[1:10:47.000 --> 1:10:49.000]  did you hear any of that? no no there were drills
[1:10:49.000 --> 1:10:51.000]  we've been reporting on that since friday
[1:10:51.000 --> 1:10:53.000]  there were actual explosions that people heard
[1:10:53.000 --> 1:10:55.000]  no no we have video of it
[1:10:55.000 --> 1:10:57.000]  on infowords.com
[1:10:57.000 --> 1:10:59.000]  people found out according to what i've read at least
[1:10:59.000 --> 1:11:01.000]  people found out about the
[1:11:01.000 --> 1:11:03.000]  the drills through the explosions
[1:11:03.000 --> 1:11:05.000]  did you hear any of those? secondly
[1:11:05.000 --> 1:11:07.000]  what's the story
[1:11:07.000 --> 1:11:09.000]  what did the norwegian
[1:11:09.000 --> 1:11:11.000]  media say about the second shooter on the island
[1:11:11.000 --> 1:11:13.000]  because this is the other big thing
[1:11:15.000 --> 1:11:17.000]  well firstly
[1:11:17.000 --> 1:11:19.000]  the
[1:11:19.000 --> 1:11:21.000]  i did not hear about the
[1:11:21.000 --> 1:11:23.000]  incident on wednesday
[1:11:23.000 --> 1:11:25.000]  i don't know what this is
[1:11:25.000 --> 1:11:27.000]  but i'm not surprised but i don't know
[1:11:27.000 --> 1:11:29.000]  where that comes from
[1:11:29.000 --> 1:11:31.000]  often post
[1:11:31.000 --> 1:11:33.000]  tarply
[1:11:33.000 --> 1:11:35.000]  we have articles on info wars
[1:11:35.000 --> 1:11:37.000]  we had it friday
[1:11:37.000 --> 1:11:39.000]  no no
[1:11:39.000 --> 1:11:41.000]  we have the explosions coming out of the building
[1:11:41.000 --> 1:11:43.000]  with men in black uniforms repelling down
[1:11:43.000 --> 1:11:45.000]  yes that did happen i can confirm
[1:11:45.000 --> 1:11:47.000]  what do people know over there
[1:11:47.000 --> 1:11:49.000]  what's the word on the street
[1:11:51.000 --> 1:11:53.000]  as i said i don't know
[1:11:53.000 --> 1:11:55.000]  of this incident i wouldn't be surprised
[1:11:55.000 --> 1:11:57.000]  i don't read often post
[1:11:57.000 --> 1:11:59.000]  it's
[1:11:59.000 --> 1:12:01.000]  a big newspaper but i don't read it
[1:12:01.000 --> 1:12:03.000]  none of the other big newspapers
[1:12:03.000 --> 1:12:05.000]  reported on it
[1:12:05.000 --> 1:12:07.000]  let me just answer the question since tarply asked it
[1:12:07.000 --> 1:12:09.000]  you're not aware
[1:12:09.000 --> 1:12:11.000]  a cnn is now reporting
[1:12:11.000 --> 1:12:13.000]  that they are looking at a second shooter
[1:12:13.000 --> 1:12:15.000]  and quote cnn
[1:12:15.000 --> 1:12:17.000]  nrt are reporting
[1:12:17.000 --> 1:12:19.000]  norwegian special forces today
[1:12:19.000 --> 1:12:21.000]  rated and arrested
[1:12:21.000 --> 1:12:23.000]  who they believe may be an
[1:12:23.000 --> 1:12:25.000]  accomplice and a second
[1:12:25.000 --> 1:12:27.000]  shooter and yes there were drills
[1:12:27.000 --> 1:12:29.000]  two days before and the day before
[1:12:29.000 --> 1:12:31.000]  and we have video webster of the men
[1:12:31.000 --> 1:12:33.000]  in black uniforms repelling down
[1:12:33.000 --> 1:12:35.000]  in the same area of the city blowing
[1:12:35.000 --> 1:12:37.000]  the windows out with explosions
[1:12:37.000 --> 1:12:39.000]  in the drill so webster what does that mean
[1:12:39.000 --> 1:12:41.000]  to you well as soon as
[1:12:41.000 --> 1:12:43.000]  you have two people that's a conspiracy
[1:12:43.000 --> 1:12:45.000]  under anybody's definition
[1:12:45.000 --> 1:12:47.000]  so people who are
[1:12:47.000 --> 1:12:49.000]  upset about conspiracy i'm afraid we'll have to
[1:12:49.000 --> 1:12:51.000]  go to the showers at that point
[1:12:51.000 --> 1:12:53.000]  and of course the
[1:12:53.000 --> 1:12:55.000]  really big thing is the drill
[1:12:55.000 --> 1:12:57.000]  you can easily imagine
[1:12:57.000 --> 1:12:59.000]  since we know that there was a very
[1:12:59.000 --> 1:13:01.000]  ambitious us
[1:13:01.000 --> 1:13:03.000]  program this cmas
[1:13:03.000 --> 1:13:05.000]  s i m a s
[1:13:05.000 --> 1:13:07.000]  to penetrate to recruit
[1:13:07.000 --> 1:13:09.000]  a network basically of intelligence assets
[1:13:09.000 --> 1:13:11.000]  among retired policemen
[1:13:11.000 --> 1:13:13.000]  of norway you could easily imagine
[1:13:13.000 --> 1:13:15.000]  the bootlegging
[1:13:15.000 --> 1:13:17.000]  of a real bomb in among
[1:13:17.000 --> 1:13:19.000]  the practice bombs although those were also
[1:13:19.000 --> 1:13:21.000]  real up to a point
[1:13:21.000 --> 1:13:23.000]  you could bootleg in the
[1:13:23.000 --> 1:13:25.000]  real bomb with the practice bombs
[1:13:25.000 --> 1:13:27.000]  get that through the security screens
[1:13:27.000 --> 1:13:29.000]  and get that very close to the
[1:13:29.000 --> 1:13:31.000]  prime minister's office
[1:13:31.000 --> 1:13:33.000]  let me just ask your
[1:13:33.000 --> 1:13:35.000]  contact there in norway we understand
[1:13:35.000 --> 1:13:37.000]  that the explosions went off
[1:13:37.000 --> 1:13:39.000]  near the opera house what is
[1:13:39.000 --> 1:13:41.000]  the distance from the opera house to the
[1:13:41.000 --> 1:13:43.000]  prime minister's office
[1:13:45.000 --> 1:13:47.000]  well it is not very far
[1:13:47.000 --> 1:13:49.000]  i would guess less than
[1:13:49.000 --> 1:13:51.000]  a kilometer
[1:13:51.000 --> 1:13:53.000]  less than a mile
[1:13:53.000 --> 1:13:55.000]  say six seven hundred meters
[1:13:55.000 --> 1:13:57.000]  i would guess
[1:13:57.000 --> 1:13:59.000]  let me elaborate on what happened today
[1:13:59.000 --> 1:14:01.000]  because six men were
[1:14:01.000 --> 1:14:03.000]  arrested after tips
[1:14:03.000 --> 1:14:05.000]  from the interrogation so
[1:14:05.000 --> 1:14:07.000]  a third apartment
[1:14:07.000 --> 1:14:09.000]  he said to have used
[1:14:09.000 --> 1:14:11.000]  then soon after
[1:14:11.000 --> 1:14:13.000]  they said the six men were released and checked out
[1:14:13.000 --> 1:14:15.000]  immediately nothing else was mentioned
[1:14:15.000 --> 1:14:17.000]  about this just that the police had
[1:14:17.000 --> 1:14:19.000]  an armed raid
[1:14:19.000 --> 1:14:21.000]  of a third building
[1:14:21.000 --> 1:14:23.000]  that he allegedly
[1:14:23.000 --> 1:14:25.000]  had been using
[1:14:25.000 --> 1:14:27.000]  also he bought six tons
[1:14:27.000 --> 1:14:29.000]  of this
[1:14:29.000 --> 1:14:31.000]  fertilizer they
[1:14:31.000 --> 1:14:33.000]  say the bomb was
[1:14:33.000 --> 1:14:35.000]  maybe six seven hundred kilos
[1:14:35.000 --> 1:14:37.000]  and they only found
[1:14:37.000 --> 1:14:39.000]  three tons at
[1:14:39.000 --> 1:14:41.000]  his barn
[1:14:41.000 --> 1:14:43.000]  or farm so
[1:14:43.000 --> 1:14:45.000]  you know
[1:14:45.000 --> 1:14:47.000]  things are still going on
[1:14:47.000 --> 1:14:49.000]  well it's like Michigan said
[1:14:49.000 --> 1:14:51.000]  you can't have gardens at your house
[1:14:51.000 --> 1:14:53.000]  and this proves that you could be a terrorist
[1:14:53.000 --> 1:14:55.000]  if you have a garden i mean you could see
[1:14:55.000 --> 1:14:57.000]  the scripting evil organic farmer
[1:14:57.000 --> 1:14:59.000]  nationalists didn't like open borders
[1:14:59.000 --> 1:15:01.000]  incredible well i want
[1:15:01.000 --> 1:15:03.000]  to thank you Robert for joining us
[1:15:03.000 --> 1:15:05.000]  and hopefully you can check back in with us
[1:15:05.000 --> 1:15:07.000]  throughout the week and we're going to
[1:15:07.000 --> 1:15:09.000]  come back with Webster and get into the
[1:15:09.000 --> 1:15:11.000]  technicals of why he says this points
[1:15:11.000 --> 1:15:13.000]  towards a false flag and who would be behind
[1:15:13.000 --> 1:15:15.000]  it key bono who stands to gain
[1:15:15.000 --> 1:15:17.000]  anything else you'd like to add Robert
[1:15:17.000 --> 1:15:19.000]  from Oslo Norway
[1:15:19.000 --> 1:15:21.000]  well there's the last comment
[1:15:21.000 --> 1:15:23.000]  to my fellow Norwegians and others
[1:15:23.000 --> 1:15:25.000]  in Scandinavia i would
[1:15:25.000 --> 1:15:27.000]  ask your bird you to read
[1:15:27.000 --> 1:15:29.000]  writings by Per Osloch
[1:15:29.000 --> 1:15:31.000]  after work he has written books like
[1:15:31.000 --> 1:15:33.000]  echoes of the future the power behind
[1:15:33.000 --> 1:15:35.000]  the power latest
[1:15:35.000 --> 1:15:37.000]  sleep my little Norway
[1:15:37.000 --> 1:15:39.000]  touching on themes like Bilderberg the political
[1:15:39.000 --> 1:15:41.000]  two-party paradigm fraud
[1:15:41.000 --> 1:15:43.000]  international banking war as a social
[1:15:43.000 --> 1:15:45.000]  necessity for addition of water and poisoning
[1:15:45.000 --> 1:15:47.000]  foods like a very
[1:15:47.000 --> 1:15:49.000]  good Norwegian author on this point
[1:15:49.000 --> 1:15:51.000]  he has a
[1:15:51.000 --> 1:15:53.000]  well Robert Jeppestool we'll have you back
[1:15:53.000 --> 1:15:55.000]  on tomorrow to get into your political
[1:15:55.000 --> 1:15:57.000]  views because i want to hear them from that
[1:15:57.000 --> 1:15:59.000]  Norway perspective
[1:15:59.000 --> 1:16:01.000]  you've heard Alex explain how the silver
[1:16:01.000 --> 1:16:03.000]  lungs generator infuses the respiratory
[1:16:03.000 --> 1:16:05.000]  system with your self produced colloidal
[1:16:05.000 --> 1:16:07.000]  silver solutions yet many are
[1:16:07.000 --> 1:16:09.000]  unaware of the entire function of the silver
[1:16:09.000 --> 1:16:11.000]  system and how it has been designed to
[1:16:11.000 --> 1:16:13.000]  deliver your silver solutions anywhere
[1:16:13.000 --> 1:16:15.000]  in or on the body
[1:16:15.000 --> 1:16:17.000]  my name is Mario Safaldi and I'm the
[1:16:17.000 --> 1:16:19.000]  developer of the silver lungs generator
[1:16:19.000 --> 1:16:21.000]  not only does the silver lung system produce
[1:16:21.000 --> 1:16:23.000]  endless colloidal and ionic silver solutions
[1:16:23.000 --> 1:16:25.000]  it also comes equipped with
[1:16:25.000 --> 1:16:27.000]  the proper applicators and devices
[1:16:27.000 --> 1:16:29.000]  needed to deliver your silver solutions
[1:16:29.000 --> 1:16:31.000]  directly to key target areas
[1:16:31.000 --> 1:16:33.000]  this includes the eyes
[1:16:33.000 --> 1:16:35.000]  ears nose
[1:16:35.000 --> 1:16:37.000]  lungs topically to the skin
[1:16:37.000 --> 1:16:39.000]  and orally for the digestive system
[1:16:39.000 --> 1:16:41.000]  be sure to watch our new 7 minute
[1:16:41.000 --> 1:16:43.000]  video tour of the silver lung system
[1:16:43.000 --> 1:16:47.000]  at www.silverlungs.com
[1:16:47.000 --> 1:16:49.000]  to learn more about how the silver lung system
[1:16:49.000 --> 1:16:51.000]  works as well
[1:16:51.000 --> 1:16:53.000]  we are always ready to answer any questions you may
[1:16:53.000 --> 1:17:09.000]  have that's www.silverlungs.com
[1:17:23.000 --> 1:17:33.000]  www.silverlungs.com
[1:17:53.000 --> 1:17:57.000]  www.silverlungs.com
[1:18:23.000 --> 1:18:33.000]  www.silverlungs.com
[1:18:33.000 --> 1:18:43.000]  www.silverlungs.com
[1:18:43.000 --> 1:18:51.000]  www.silverlungs.com
[1:18:51.000 --> 1:18:55.000]  watch the free video at www.innovamerica3.com
[1:18:55.000 --> 1:19:21.000]  www.innovamerica3.com
[1:19:21.000 --> 1:19:45.000]  www.innovamerica3.com
[1:19:45.000 --> 1:19:49.000]  www.innovamerica3.com
[1:19:49.000 --> 1:19:59.000]  www.innovamerica3.com
[1:19:59.000 --> 1:20:09.000]  www.innovamerica3.com
[1:20:09.000 --> 1:20:19.000]  www.innovamerica3.com
[1:20:19.000 --> 1:20:29.000]  www.innovamerica3.com
[1:20:29.000 --> 1:20:37.000]  www.innovamerica3.com
[1:20:37.000 --> 1:20:57.000]  www.innovamerica3.com
[1:20:57.000 --> 1:21:05.000]  www.innovamerica3.com
[1:21:05.000 --> 1:21:15.000]  www.innovamerica3.com
[1:21:15.000 --> 1:21:33.000]  www.innovamerica3.com
[1:21:33.000 --> 1:21:43.000]  www.innovamerica3.com
[1:21:43.000 --> 1:22:01.000]  www.innovamerica3.com
[1:22:01.000 --> 1:22:11.000]  www.innovamerica3.com
[1:22:11.000 --> 1:22:29.000]  www.innovamerica3.com
[1:22:29.000 --> 1:22:39.000]  www.innovamerica3.com
[1:22:39.000 --> 1:22:57.000]  www.innovamerica3.com
[1:22:57.000 --> 1:23:07.000]  www.innovamerica3.com
[1:23:07.000 --> 1:23:25.000]  www.innovamerica3.com
[1:23:25.000 --> 1:23:45.000]  www.innovamerica3.com
[1:23:45.000 --> 1:23:53.000]  www.innovamerica3.com
[1:23:53.000 --> 1:24:03.000]  www.innovamerica3.com
[1:24:03.000 --> 1:24:21.000]  www.innovamerica3.com
[1:24:21.000 --> 1:24:41.000]  www.innovamerica3.com
[1:24:41.000 --> 1:24:49.000]  www.innovamerica3.com
[1:24:49.000 --> 1:24:59.000]  www.innovamerica3.com
[1:24:59.000 --> 1:25:17.000]  www.innovamerica3.com
[1:25:17.000 --> 1:25:45.000]  www.innovamerica3.com
[1:25:45.000 --> 1:26:05.000]  www.innovamerica3.com
[1:26:05.000 --> 1:26:13.000]  www.innovamerica3.com
[1:26:13.000 --> 1:26:23.000]  www.innovamerica3.com
[1:26:23.000 --> 1:26:41.000]  www.innovamerica3.com
[1:26:41.000 --> 1:27:01.000]  www.innovamerica3.com
[1:27:01.000 --> 1:27:09.000]  www.innovamerica3.com
[1:27:09.000 --> 1:27:29.000]  www.innovamerica3.com
[1:27:29.000 --> 1:27:37.000]  www.innovamerica3.com
[1:27:37.000 --> 1:27:57.000]  www.innovamerica3.com
[1:27:57.000 --> 1:28:05.000]  www.innovamerica3.com
[1:28:05.000 --> 1:28:15.000]  www.innovamerica3.com
[1:28:15.000 --> 1:28:33.000]  www.innovamerica3.com
[1:28:33.000 --> 1:28:53.000]  www.innovamerica3.com
[1:28:53.000 --> 1:29:01.000]  www.innovamerica3.com
[1:29:01.000 --> 1:29:21.000]  www.innovamerica3.com
[1:29:21.000 --> 1:29:29.000]  www.innovamerica3.com
[1:29:29.000 --> 1:29:57.000]  www.innovamerica3.com
