[00:00:00.009 --> 00:00:00.249]  And the U.S.
[01:12:10.745 --> 01:12:14.826]  Listen, the Shock Bracelets, Homeland Security, wants every American to wear.
[01:12:14.826 --> 01:12:16.247]  I'm not kidding.
[01:12:16.247 --> 01:12:18.828]  Four months after we reported it, it was in the Washington Post last week.
[01:12:19.542 --> 01:12:22.044]  Yeah, I mean, here's what's incredible.
[01:12:22.044 --> 01:12:23.085]  Listen to me, listeners.
[01:12:23.085 --> 01:12:24.686]  Cameras watching in your computers.
[01:12:24.686 --> 01:12:30.451]  Homeland Security wants everybody who gets on a plane, everyone, to wear a taser bracelet, and what do they call it?
[01:12:30.451 --> 01:12:32.072]  A safety bracelet.
[01:12:32.072 --> 01:12:33.293]  See how they manipulate things?
[01:12:33.293 --> 01:12:35.275]  But go ahead, I'll shut up.
[01:12:35.275 --> 01:12:37.277]  It really should be called treacherous computing.
[01:12:37.277 --> 01:12:39.759]  I mean, the encryption keys are going to be kept a secret from you.
[01:12:40.606 --> 01:12:44.268]  And how your computer works is going to be under the control of those with the encryption key.
[01:12:44.268 --> 01:12:47.929]  And it's going to be Microsoft, IBM, the government.
[01:12:47.929 --> 01:12:53.272]  I mean, the potential for abuse... Well, Microsoft and IBM are national security fronts.
[01:12:53.272 --> 01:12:58.134]  I mean... IBM was a division of Adolf Hitler's military.
[01:12:58.134 --> 01:13:00.355]  By the way, that's mainstream history for those that don't know.
[01:13:00.355 --> 01:13:02.976]  It is a division of that.
[01:13:02.976 --> 01:13:06.258]  And then, of course, Microsoft's another, you know, front for the NSA.
[01:13:06.258 --> 01:13:06.558]  Go ahead.
[01:13:07.597 --> 01:13:16.985]  Well, the potential for the abuse of this is just horrible, and it's a criminal violation to circumvent the system under the Digital Millennium Copyright Act, which was signed by Bill Clinton in 1998.
[01:13:16.985 --> 01:13:18.587]  Yes.
[01:13:18.587 --> 01:13:29.196]  Google, I want your listeners to Google the article, Can You Trust Your Computer, which was written by Richard Solomon, who was in the AI lab at MIT.
[01:13:29.196 --> 01:13:30.778]  That was Wired Magazine, correct?
[01:13:31.437 --> 01:13:33.439]  Yeah, you should get him on your show.
[01:13:33.439 --> 01:13:34.900]  In fact, he could talk to you all day.
[01:13:45.589 --> 01:13:48.392]  Gotta throw some fun in here as everything goes down in a handbasket.
[01:13:48.392 --> 01:13:50.553]  Why don't you email Trey that, because I'll end up forgetting.
[01:13:50.553 --> 01:13:54.157]  I gotta go work on a book I'm writing for two hours right when I got off air.
[01:13:54.157 --> 01:13:57.980]  Then I'm looking at a film Burmese is making, which I'm kind of master directing.
[01:13:57.980 --> 01:13:58.961]  He's the director.
[01:13:58.961 --> 01:14:01.423]  So I'm kind of full tonight, but I don't want to forget.
[01:14:01.423 --> 01:14:02.844]  I meant to have that guy on.
[01:14:02.844 --> 01:14:04.806]  Trey with an E at InfoWars.com.
[01:14:06.003 --> 01:14:08.524]  All right, we'll do it.
[01:14:08.524 --> 01:14:12.105]  But for those that don't know, here's the courier news.
[01:14:12.105 --> 01:14:16.387]  Cops use Department of Homeland Security money to scan fingerprints at checkpoints.
[01:14:16.387 --> 01:14:23.329]  And it says in LA and in San Diego, 500 mobile fingerprint scanners at random checkpoints.
[01:14:23.329 --> 01:14:25.650]  Oh, that's land of the free, home of the brave.
[01:14:25.650 --> 01:14:27.411]  Cops basically scanning you.
[01:14:27.411 --> 01:14:29.732]  Remember, you scan to get your driver's license.
[01:14:29.732 --> 01:14:30.752]  I told you this would happen.
[01:14:32.066 --> 01:14:37.471]  Eleven years ago, because I had the executive order, here we are!
[01:14:37.471 --> 01:14:45.918]  When they hit you with a bio-weapon, just don't believe the television as you crawl around dying with your children, watching your television as the bio-attack goes on.
[01:14:45.918 --> 01:14:49.201]  Just at least know the government killed you when you're dying, America.
[01:14:49.201 --> 01:14:50.683]  At least do that, okay?
[01:14:50.683 --> 01:14:53.625]  At least admit I was right when you're dying!
[01:14:53.625 --> 01:14:57.088]  Because this whole police state grid is so they can bio-attack you!
[01:14:57.088 --> 01:14:57.789]  Anything else, sir?
[01:14:59.173 --> 01:15:01.715]  Uh, I heard you might go to the DNC in Denver.
[01:15:01.715 --> 01:15:02.816]  I might go to that myself.
[01:15:02.816 --> 01:15:03.896]  I'm going.
[01:15:03.896 --> 01:15:04.557]  I'm going.
[01:15:04.557 --> 01:15:05.578]  I might see you there.
[01:15:05.578 --> 01:15:06.718]  Alright, I'll be flapping about.
[01:15:06.718 --> 01:15:09.100]  Okay.
[01:15:09.100 --> 01:15:09.961]  Hey brother, I like it.
[01:15:09.961 --> 01:15:11.161]  Thanks for the call.
[01:15:11.161 --> 01:15:12.142]  Yeah, see you Alex.
[01:15:12.142 --> 01:15:13.063]  Yeah, here it is.
[01:15:13.063 --> 01:15:14.123]  It's all over folks.
[01:15:14.123 --> 01:15:16.565]  I mean, they're coming.
[01:15:16.565 --> 01:15:17.966]  I don't know what I'm supposed to do here.
[01:15:17.966 --> 01:15:20.648]  I mean, you know, I'm just a normal guy.
[01:15:20.648 --> 01:15:22.049]  I read the Telecommunications Act.
[01:15:22.049 --> 01:15:25.991]  They said they're gonna listen to all your phone calls without warrants and track you down to three feet.
[01:15:25.991 --> 01:15:26.792]  So I'll tell you about it.
[01:15:27.515 --> 01:15:28.175]  Ten years ago.
[01:15:28.175 --> 01:15:29.997]  Twelve years ago.
[01:15:29.997 --> 01:15:34.679]  I... Google announces they're watching you with cameras and microphones and all the computers.
[01:15:34.679 --> 01:15:37.081]  And, uh, all the new computers have it and most the old.
[01:15:37.081 --> 01:15:38.682]  And I mean, I'm just freaking out here.
[01:15:38.682 --> 01:15:40.583]  I know you think that's normal.
[01:15:40.583 --> 01:15:42.184]  You know me, I don't think it's normal.
[01:15:42.184 --> 01:15:43.444]  More your calls straight ahead.
[01:15:43.444 --> 01:15:43.484]  877-590-5525.
[01:15:50.103 --> 01:15:52.005]  Jim Newcomer from Midas Resources.
[01:15:52.005 --> 01:15:52.465]  July 18th, 2008.
[01:15:52.465 --> 01:15:53.286]  Gold opened at 954.60 an ounce.
[01:15:53.286 --> 01:15:56.649]  One ounce gold coins can be purchased for 981.85, 483.50 for half ounce, and 241.75 for quarter ounce.
[01:15:56.649 --> 01:15:56.989]  That's 981.85, 483.50, and 241.75.
[01:16:07.793 --> 01:16:10.335]  Hedge funds caught in the malaise of mortgage bankruptcies.
[01:16:10.335 --> 01:16:12.176]  The bond market continues to slump.
[01:16:12.176 --> 01:16:12.496]  J.P.
[01:16:12.496 --> 01:16:15.318]  Morgan gets caught in a $10 billion bad deal for Chrysler.
[01:16:15.318 --> 01:16:17.440]  Housing sales fell 6.6%.
[01:16:17.440 --> 01:16:22.043]  Mortgage giant Countrywide showed mortgage payment woes spreading to the middle and upper class.
[01:16:22.043 --> 01:16:24.445]  Investors cast doubt on investment banks.
[01:16:24.445 --> 01:16:28.888]  Credit protection insurance for mortgage lenders is skyrocketing due to the increased risk.
[01:16:28.888 --> 01:16:29.309]  The U.S.
[01:16:29.309 --> 01:16:33.472]  dollar is free-falling against foreign currencies and countries that previously financed the U.S.
[01:16:33.472 --> 01:16:35.133]  are now seeking safer alternatives.
[01:16:35.533 --> 01:16:38.375]  Economist Rhodey Boyd published the report, Bubble Leaking.
[01:16:38.375 --> 01:16:39.596]  Call for the report today, 800-686-2237.
[01:16:39.596 --> 01:16:44.900]  The value of your hard-earned money is being lost in a global game of chess.
[01:16:44.900 --> 01:16:45.140]  Call 800-686-2237.
[01:16:45.140 --> 01:16:45.320]  That's 800-686-2237.
[01:16:50.723 --> 01:16:54.505]  It is now time to reign in evil and bring them to justice.
[01:16:54.505 --> 01:16:59.527]  Through the authority that has been delegated to us, it is time to destroy the destroyers.
[01:16:59.527 --> 01:17:04.989]  The number of the mounted troops was 200 million, the vast majority of the population of the U.S.
[01:17:04.989 --> 01:17:15.974]  Though the people of the U.S., where their numbers and influence are strongest, have primary responsibility for reigning them in and bringing them to justice, all nations will participate since they reside the world over.
[01:17:15.974 --> 01:17:19.936]  They are called Illuminati, elite, proponents of the New World Order.
[01:17:20.356 --> 01:17:20.556]  I'm good.
[01:17:50.380 --> 01:17:51.200]  Hey Emily!
[01:17:51.200 --> 01:17:52.301]  Wow, you look great!
[01:17:52.301 --> 01:17:53.341]  I feel great!
[01:17:53.341 --> 01:17:55.401]  I've been using MediCleanse Colon Cleanse.
[01:17:55.401 --> 01:17:55.941]  Really?
[01:17:55.941 --> 01:17:56.561]  What is it?
[01:17:56.561 --> 01:17:57.242]  How does it work?
[01:17:57.242 --> 01:18:03.963]  MediCleanse is a natural fiber therapy with ground flaxseed, psyllium, and bentonite clay that eliminates toxins from your body.
[01:18:03.963 --> 01:18:06.464]  MediCleanse is easy to use without being intrusive.
[01:18:06.464 --> 01:18:11.765]  You take two tablespoons of MediCleanse powder, mix with water or juice, drink, and it does all the work for you.
[01:18:12.125 --> 01:18:12.606]  That's it?
[01:18:12.606 --> 01:18:14.668]  That sounds so easy and convenient.
[01:18:14.668 --> 01:18:15.569]  It is easy.
[01:18:15.569 --> 01:18:22.577]  Plus, the FDA says flaxseed works to prevent cancer and helps with menopause, weight loss, irritable bowel syndrome, and constipation.
[01:18:22.577 --> 01:18:24.399]  It helps with all of those ailments?
[01:18:24.399 --> 01:18:25.521]  That's amazing!
[01:18:25.521 --> 01:18:30.847]  And, the bentonite clay and MediCleanse eliminates viruses and pesticides in the intestinal tract.
[01:18:31.067 --> 01:18:31.627]  Well, how?
[01:18:31.627 --> 01:18:33.009]  Where can I buy a MediCleanse?
[01:18:33.009 --> 01:18:35.951]  A one-month supply is available online at MediCleanse.com.
[01:18:35.951 --> 01:18:37.433]  That's M-E-T-A-C-L-E-A-N-S-E dot com.
[01:18:37.433 --> 01:18:38.554]  Or call them at 1-800-317-9547.
[01:18:38.554 --> 01:18:38.954]  That's 1-800-317-9547.
[01:18:38.954 --> 01:18:39.454]  That's 1-800-317-9547.
[01:18:39.454 --> 01:18:39.715]  Call today.
[01:18:50.362 --> 01:18:52.343]  Heart disease is on the rise.
[01:18:52.343 --> 01:18:59.306]  Clogged arteries, high blood pressure, and high cholesterol levels may not be fully detected by you, but the symptoms are there.
[01:18:59.306 --> 01:19:07.709]  Loss of energy, blood sugar spikes and drops, poor circulation, and irregular heartbeat are just a few of these that can alert you that something is wrong.
[01:19:07.709 --> 01:19:13.432]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[01:19:13.592 --> 01:19:15.433]  My blood pressure has normalized.
[01:19:15.433 --> 01:19:17.715]  My diabetes has totally improved.
[01:19:17.715 --> 01:19:22.158]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[01:19:22.158 --> 01:19:24.380]  I recommend Heart and Body Extract to everyone.
[01:19:24.380 --> 01:19:32.125]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[01:19:32.145 --> 01:19:33.146]  Thank you for listening to GCN.
[01:19:33.146 --> 01:19:34.006]  Visit GCNlive.com today!
[01:20:09.469 --> 01:20:22.158]  Love is a burning thing, and it makes a fiery ring.
[01:20:22.158 --> 01:20:24.840]  Bound by wild desire.
[01:20:28.557 --> 01:20:32.838]  I fell into a ring of fire.
[01:20:32.838 --> 01:20:36.779]  I fell into a burning ring of fire.
[01:20:36.779 --> 01:20:41.400]  I went down, down, down, and the flames went higher.
[01:20:41.400 --> 01:20:43.160]  And it burns, burns, burns.
[01:20:43.160 --> 01:20:54.242]  Hey, police, you're not getting Fallujah-controlling type technology for us idiot morons, civilians, as you call us with your military terminology.
[01:20:54.242 --> 01:20:56.643]  I love it when mayors call us civilians, and that's proper.
[01:20:56.643 --> 01:20:58.023]  We're in a military dictatorship.
[01:20:59.622 --> 01:21:04.168]  You need to understand, police, you're going to be hurt by your criminal overlords, too.
[01:21:04.168 --> 01:21:06.672]  So just keep lying to yourself and saying the government's good.
[01:21:06.672 --> 01:21:08.494]  You're going to find out.
[01:21:08.494 --> 01:21:11.719]  Cops use DHS money to scan fingerprints at checkpoints.
[01:21:11.719 --> 01:21:14.383]  This is the Courier-Newspaper.
[01:21:14.383 --> 01:21:16.586]  High-tech gadget instantly reveals identities.
[01:21:17.293 --> 01:21:27.436]  And it talks about how Homeland Security paid to give the LAPD 500 of them and how they, it says they randomly stopped over 2,000 vehicles and scanned every one of them.
[01:21:27.436 --> 01:21:29.316]  Guilty until proven innocent.
[01:21:29.316 --> 01:21:31.417]  Just alright, put your thumb on here.
[01:21:31.417 --> 01:21:36.438]  Oh, and it says that they made 14 arrests, one of them for a parole violator.
[01:21:37.367 --> 01:21:39.348]  Guilty until proven innocent.
[01:21:39.348 --> 01:21:42.170]  Imagine what the Germans could have done with a thumb scanner.
[01:21:42.170 --> 01:21:49.375]  Now see, notice magically all these states just magically have you thumbprint for the last ten years as they phase it in.
[01:21:49.375 --> 01:21:51.416]  Texas, before that, we were the first state.
[01:21:51.416 --> 01:21:53.918]  Ninety-three it was put in, the DPS.
[01:21:53.918 --> 01:21:56.479]  And I talk to people in Texas, I go, don't you remember thumbprinting?
[01:21:56.479 --> 01:21:57.820]  And they go, no, that's a conspiracy.
[01:21:57.820 --> 01:21:59.741]  And I go, remember the little box, the red line?
[01:21:59.741 --> 01:22:01.963]  Oh, yeah!
[01:22:01.963 --> 01:22:06.726]  But they'll go, well, wait a minute, that wasn't a thumbprinter, it won't know ink.
[01:22:07.685 --> 01:22:14.331]  I mean, they're just built to deny, built to be slaves, built to never admit, and I'm just like, fine, you didn't get thumbprinted.
[01:22:14.331 --> 01:22:18.634]  Oh, there's nothing you slaves won't take.
[01:22:18.634 --> 01:22:35.889]  And I'll never forget, right before Tom Brokaw retired, one of the last newscasts he did, I have it on tape, they announced what was in Fallujah, and they said that first they told everybody to leave the city, those that didn't, they artilleried the entire place, bombed it, killed tens of thousands, women, children, you name it, and then everybody that came back in got thumbprinted, face scanned, and given a card.
[01:22:36.747 --> 01:22:39.870]  And that's the same system, see, the same that all 50 states have.
[01:22:39.870 --> 01:22:41.451]  It's a global system.
[01:22:41.451 --> 01:22:46.095]  And they told him, it was on the news, they said, if you ever get caught without this card, you will be shot on the spot.
[01:22:46.095 --> 01:22:50.299]  And then if you read actual policy, they just line you up and kill you if you don't have it.
[01:22:50.299 --> 01:22:51.800]  In quote, certain sectors.
[01:22:51.800 --> 01:22:58.606]  Kind of like Private Gruckheimer came back to the Ithaca Journal in 2002 and said, oh, we go into villages and kill every man, woman, and child.
[01:22:58.606 --> 01:23:01.388]  And then the Army came out and said, well, we want to clarify.
[01:23:01.388 --> 01:23:04.451]  That's only in certain zones do we kill all the women and children.
[01:23:05.709 --> 01:23:06.530]  War crimes!
[01:23:06.530 --> 01:23:08.171]  Pure evil!
[01:23:08.171 --> 01:23:09.092]  People are flipping out, though.
[01:23:09.092 --> 01:23:12.994]  They're taking my challenge to read the White House memos about torturing children.
[01:23:12.994 --> 01:23:20.620]  We were just in there on YouTube a minute ago, reading the comments as folks flip out on this one page, going and reading the White House documents about torturing small children.
[01:23:20.620 --> 01:23:21.420]  Yep!
[01:23:21.420 --> 01:23:21.941]  You see?
[01:23:21.941 --> 01:23:23.042]  It's true.
[01:23:23.042 --> 01:23:26.444]  You are being watched with the camera on your computer and the microphone.
[01:23:26.444 --> 01:23:32.869]  Your digital cable boxes do track and trace and listen to you audibly with AI audio systems.
[01:23:32.869 --> 01:23:33.909]  I said I'd go to your calls.
[01:23:35.379 --> 01:23:38.324]  It's just, I'm not the radical here.
[01:23:38.324 --> 01:23:42.830]  I'm one of the normal, sane people.
[01:23:42.830 --> 01:23:51.183]  So, no Fourth Amendment, and then when people try to videotape these illegal, unconstitutional, thumb-scanning checkpoints, the cops come over and arrest you.
[01:23:52.882 --> 01:23:56.224]  Man, they're gonna videotape us, the slaves, but you don't videotape God.
[01:23:56.224 --> 01:23:57.345]  You understand?
[01:23:57.345 --> 01:23:58.166]  You just wait.
[01:23:58.166 --> 01:23:58.826]  And enjoy it!
[01:23:58.826 --> 01:23:59.687]  Hey, cops!
[01:23:59.687 --> 01:24:03.129]  When your mom and dad lose their pensions, but you're still out getting to feed on us, don't worry!
[01:24:03.129 --> 01:24:07.932]  When your wife loses her job, when your husband loses it, that's your loving government!
[01:24:07.932 --> 01:24:10.534]  That's your loving New World Order!
[01:24:10.534 --> 01:24:14.697]  And when your 18-year-old son dies of a fast-acting, uh, glaucoma,
[01:24:15.603 --> 01:24:17.744]  Or, you know, fast-acting leukemia?
[01:24:17.744 --> 01:24:20.425]  Just go take more vaccines, alright?
[01:24:20.425 --> 01:24:21.886]  Don't believe people like me!
[01:24:21.886 --> 01:24:30.470]  Doesn't matter if I had a medical doctor and a scientist on last week reading all the declassified documents where they put cancer viruses in your shots.
[01:24:30.470 --> 01:24:32.310]  Or how they engineered AIDS.
[01:24:32.310 --> 01:24:33.411]  Don't believe me.
[01:24:33.411 --> 01:24:37.292]  Don't believe the statistics of 1 in 33 would get cancer.
[01:24:37.292 --> 01:24:37.893]  And now it's 1 in 3.
[01:24:39.389 --> 01:24:41.872]  Just believe your loving government.
[01:24:41.872 --> 01:24:43.895]  Don't believe Alex Jones!
[01:24:43.895 --> 01:24:45.437]  Because it doesn't matter.
[01:24:45.437 --> 01:24:49.081]  Your masters are gonna hurt you just as bad as they hurt me.
[01:24:49.081 --> 01:24:49.582]  And you know what?
[01:24:49.582 --> 01:24:51.184]  You're gonna get what's coming to you.
[01:24:51.184 --> 01:24:55.068]  Your masters that you love are gonna hurt you real bad!
[01:24:55.834 --> 01:24:56.314]  And you know what?
[01:24:56.314 --> 01:24:56.814]  I'm mad.
[01:24:56.814 --> 01:24:58.515]  I'm mad that I had to do this.
[01:24:58.515 --> 01:25:00.495]  I'm mad that my life's ruined!
[01:25:00.495 --> 01:25:11.998]  I'm mad that it's such a sick world we live in with this candy-coated bull of all these fake newscasters that are trained to, you know, the women to look at you like they care about you and they like you.
[01:25:11.998 --> 01:25:15.859]  You know, they train those female anchors to act like they're coming on to you.
[01:25:15.859 --> 01:25:17.599]  And you think the TV screen's real.
[01:25:17.599 --> 01:25:20.340]  You think she's really there coming on to you at a subconscious level.
[01:25:20.740 --> 01:25:24.041]  Or the fake guy acting like the good, trustworthy football coach.
[01:25:24.041 --> 01:25:27.522]  They have these different archetypes for different newscasters manipulating you.
[01:25:27.522 --> 01:25:30.843]  And of course, they're just idiot morons who don't know anything either.
[01:25:30.843 --> 01:25:34.464]  They're just there playing their little part to sell you death!
[01:25:34.464 --> 01:25:38.426]  Well, I refuse to take part in it anymore!
[01:25:38.426 --> 01:25:42.307]  Let's go ahead and talk to Forrest, then Joyce, Tom, Paula, and others.
[01:25:42.307 --> 01:25:47.549]  Forrest from California, you're on the air.
[01:25:47.549 --> 01:25:47.969]  Go ahead.
[01:25:49.441 --> 01:26:00.784]  I guess, sir, Alex Jones, your show has given us so much inspiration, and all the modern heroes such as you, and Tex Mars, and Jordan Maxwell, and that man that was on the other day, on Friday.
[01:26:00.784 --> 01:26:15.209]  It's just given us so much faith energy, and what we've always got to realize is that our eye is on the prize, and that is of peace and harmony, and of prosperity, and those are things of God, and God's coming, it all depends on us.
[01:26:17.513 --> 01:26:22.156]  The problem is the sold out churches on international payroll.
[01:26:22.156 --> 01:26:28.020]  Most preachers, 26,000, that's most of your prominent preachers, have already been hired for two and a half years.
[01:26:28.020 --> 01:26:30.342]  They're paid to give false sermons.
[01:26:30.342 --> 01:26:34.665]  It's just totally, they are, you understand, the preachers are paid by the government.
[01:26:34.665 --> 01:26:37.887]  I told you a year before it was mainstream news.
[01:26:37.887 --> 01:26:38.927]  Yes sir.
[01:26:38.927 --> 01:26:41.349]  I mean that's total tyranny right there!
[01:26:41.349 --> 01:26:41.969]  Yeah.
[01:26:41.969 --> 01:26:44.311]  Secretly funded preachers everywhere!
[01:26:44.311 --> 01:26:45.672]  God help us!
[01:26:45.672 --> 01:26:45.892]  Yeah.
[01:26:46.599 --> 01:26:51.441]  Are you being very prophetic for your movement and for your internet news information?
[01:26:51.441 --> 01:26:54.101]  And for your talk radio show?
[01:26:54.101 --> 01:26:59.303]  I told you you'd have checkpoints ten years ago, thumb scanning you.
[01:26:59.303 --> 01:27:00.684]  Uh, yes sir.
[01:27:00.684 --> 01:27:02.924]  I've got a stack of them all over the country doing it.
[01:27:02.924 --> 01:27:05.325]  Washington Post, you name it.
[01:27:05.325 --> 01:27:06.145]  Go ahead.
[01:27:06.145 --> 01:27:12.667]  Yeah, so, all of these things, it's all part of the process because at the end,
[01:27:14.705 --> 01:27:18.348]  Look, the main deal is I don't get into all of the esoteric and the rest of it.
[01:27:18.348 --> 01:27:20.650]  I cover that because the elite believe in it, okay?
[01:27:36.650 --> 01:27:39.332]  They thought it was the end of the world when Hitler was killing people.
[01:27:39.332 --> 01:27:42.755]  They thought it was the end of the world in Russia, when Stalin and Lenin were doing it.
[01:27:42.755 --> 01:27:45.878]  They thought it was the end of the world in Cambodia.
[01:27:45.878 --> 01:27:46.299]  Okay?
[01:27:46.299 --> 01:27:52.584]  And I'm not saying you're not standing up and fighting, but most of these church people think they're going to get raptured out of this, and they always think it.
[01:27:52.584 --> 01:27:59.110]  And when they're losing their houses and their pension funds, but a lot of them are just going to go put black uniforms on and strut around and love the system.
[01:27:59.110 --> 01:28:01.612]  They're just cowards, a nation of cowardly filth.
[01:28:02.532 --> 01:28:04.696]  I don't want to hear that we're not a nation of cowardly filth either.
[01:28:04.696 --> 01:28:11.128]  We have killed 50 million babies with abortion, killed a lot of good people in this country, and I love this country.
[01:28:13.280 --> 01:28:16.801]  We're just like the rest of the world, falling into absolute despotism.
[01:28:16.801 --> 01:28:24.023]  There are a lot of evil people that want to eat your lunch and push you around and control you, and they're using high-tech propaganda to do it.
[01:28:24.023 --> 01:28:27.984]  Now it's time for you to wake up and admit I've been right about it all!
[01:28:27.984 --> 01:28:29.964]  I'm talking to all the deniers out there.
[01:28:29.964 --> 01:28:33.785]  You've been listening to me for a long time, a bunch of you, and you know it's all getting bad.
[01:28:33.785 --> 01:28:36.126]  It's going to get a lot worse if you don't wake up.
[01:28:36.126 --> 01:28:37.686]  You understand they're going to move on us,
[01:28:38.526 --> 01:28:39.307]  You understand?
[01:28:39.307 --> 01:28:40.528]  If you don't stand up, it's over!
[01:28:40.528 --> 01:28:41.388]  You understand that?
[01:28:51.837 --> 01:28:52.457]  Warning!
[01:28:52.457 --> 01:28:59.359]  The EPA states indoor air pollution is the number one health problem today, causing 50% of all illnesses.
[01:28:59.359 --> 01:29:01.920]  Go to germfree33.com.
[01:29:01.920 --> 01:29:06.922]  Technology developed for NASA is now available to protect your family and health.
[01:29:06.922 --> 01:29:08.982]  Laboratory proven to eliminate 99.9% of deadly MRSA.
[01:29:11.323 --> 01:29:15.325]  Black mold, E. coli, bird flu and more from all surfaces.
[01:29:15.325 --> 01:29:17.606]  Germfree33.com.
[01:29:17.606 --> 01:29:21.568]  Remove pollen, mold, pet dander, dust mites and more from the air.
[01:29:21.568 --> 01:29:23.609]  Germfree33.com.
[01:29:23.609 --> 01:29:25.410]  World's best air purifiers.
[01:29:25.410 --> 01:29:26.550]  Nothing else compares.
[01:29:26.550 --> 01:29:28.591]  Germfree33.com.
[01:29:28.591 --> 01:29:30.252]  No expensive filters to replace.
[01:29:30.252 --> 01:29:32.173]  Covers 3,000 square feet.
[01:29:32.173 --> 01:29:35.154]  See the proof at Germfree33.com.
[01:29:35.154 --> 01:29:36.555]  Order from our secure website.
[01:29:36.715 --> 01:29:37.276]  Life has changed.
[01:29:37.276 --> 01:29:38.076]  We're not 21 anymore.
[01:29:38.076 --> 01:29:38.997]  We have responsibilities.
[01:29:57.952 --> 01:30:00.873]  That's why there's drinkin' made hangover defense.
[01:30:00.873 --> 01:30:02.574]  Sure, we've done our share of partying.
[01:30:02.574 --> 01:30:03.354]  Yeah, dude.
[01:30:03.354 --> 01:30:07.496]  Now, kickin' back with the neighbors and a few beers is more our style.
[01:30:07.496 --> 01:30:12.899]  But let's face it, as we get older, even that can leave us feeling run down the next morning.
[01:30:13.854 --> 01:30:18.839]  With Drink and Mate, you can have a few drinks tonight without waking up feeling like you had a few.
[01:30:18.839 --> 01:30:30.549]  Drink and Mate's patented and proven formula of guava leaf extract has antioxidants and other unique properties that help prevent the headache, queasy stomach, and dehydration even a few drinks can leave behind.
[01:30:30.549 --> 01:30:34.393]  Just dissolve one Drink and Mate in water and take it before bed.
[01:30:34.393 --> 01:30:35.013]  It's that easy!
[01:30:35.851 --> 01:30:39.775]  The next morning, bring on the responsibilities!
[01:30:39.775 --> 01:30:43.598]  Drink and Mate Hangover Defense is available at retailers nationwide.
[01:30:43.598 --> 01:30:45.280]  Pick up some today!
[01:30:45.280 --> 01:30:48.082]  Remember your Drink and Mate, and wake up feeling great!
[01:30:49.133 --> 01:30:53.077]  In this age of advanced electronics, we have many new amazing technologies.
[01:30:53.077 --> 01:30:56.980]  Smartphones, intelligent credit cards, even cars that talk and park themselves.
[01:30:56.980 --> 01:31:01.965]  In 2004, John Wright Laboratories perfected the technology known as the Rife machine.
[01:31:01.965 --> 01:31:02.786]  The new J.W.
[01:31:02.786 --> 01:31:08.771]  Labs Model A is a compact, solid-state, battery-powered personal therapy device that's in a class by itself.
[01:31:08.771 --> 01:31:09.812]  Larger than a cell phone,
[01:31:09.992 --> 01:31:17.856]  Smaller than a CD player, the Model A has power and accuracy that exceeds anything else that's available at any price, even for top professionals.
[01:31:17.856 --> 01:31:25.759]  Use it just five minutes as part of your daily hygiene to give you the edge against any past, present, or future pathogen with 99% reliability.
[01:31:25.759 --> 01:31:28.900]  Use it to gain control of the most serious forms of disease.
[01:31:28.900 --> 01:31:35.363]  The Model A comes with everything you need to get started, along with unlimited customer service and a lifetime replacement warranty.
[01:31:35.363 --> 01:31:37.564]  Act now, because the future is here today.
[01:31:40.945 --> 01:31:49.327]  Fact.
[01:31:49.327 --> 01:31:55.349]  Rapid industrialization has resulted in environmental pollution and its curse on world health is staggering.
[01:31:55.349 --> 01:31:59.670]  We live in a toxic world that is bombarded by seven new chemicals each day.
[01:31:59.670 --> 01:32:07.352]  The human body is amazing and efficient in design, but because of the polluted world in which we live, is unable to remove all toxins.
[01:32:07.352 --> 01:32:07.932]  The solution.
[01:32:08.092 --> 01:32:12.318]  Detoxification integrated with the LectroChi Premier Energy Foot Spa.
[01:32:12.318 --> 01:32:21.409]  The LectroChi Premier Energy Foot Spa helps to aid in cleansing the body of harmful toxins while energizing and oxygenating your entire body at the cellular level.
[01:32:21.409 --> 01:32:24.814]  Detoxification works with the LectroChi Premier Energy Foot Spa
[01:32:25.034 --> 01:32:25.674]  You're listening to GCN!
[01:32:56.182 --> 01:33:13.534]  Folks, I'm a very calm person in private.
[01:33:13.534 --> 01:33:20.479]  I get on air and I start thinking about police running warrantless checkpoints, thumb scanning people, taking blood.
[01:33:21.676 --> 01:33:26.937]  No due process, everything falling apart, the dollar dying, the idiot public has no idea.
[01:33:26.937 --> 01:33:31.838]  I mean, I talk to people who are in business, who are successful, who are millionaires, and they don't know.
[01:33:31.838 --> 01:33:40.560]  I happened to be at a meeting a few, I don't know, like a month ago, and there happened to be a pretty good-sized oil company owner there.
[01:33:40.560 --> 01:33:47.061]  Wasn't one of the majors, but, you know, the guy's worth hundreds of millions of dollars, and he didn't know the dollar was devalued.
[01:33:47.061 --> 01:33:49.142]  I mean, he just, what is wrong with you people?
[01:33:52.148 --> 01:33:58.933]  What is wrong?
[01:33:58.933 --> 01:34:10.341]  And I just saw Al Gore, who is in my hometown, Austin, my adopted hometown, I'm actually from Dallas, and running around spreading his propaganda.
[01:34:10.341 --> 01:34:11.902]  Guys, it's just all fake.
[01:34:11.902 --> 01:34:12.983]  There's no liberal conservative.
