[00:00.000 --> 00:14.000]  And now, the tip of the spear, leading the fight to take back the nation, it's Olin Shroyer.
[03:14:54.080 --> 03:14:59.600]  side, I mean, do you think they're trying to not only censor free speech to keep Americans
[03:14:59.600 --> 03:15:04.400]  from knowing the truth, but also try to bully Americans into saying Russia bad, Russia bad
[03:15:04.400 --> 03:15:08.560]  so that, you know, we don't have a relationship with Russia?
[03:15:08.560 --> 03:15:09.560]  Of course.
[03:15:09.560 --> 03:15:17.480]  And here in Russia, we understand that sustainable amount of American people, of healthy American,
[03:15:17.480 --> 03:15:23.480]  real American society, are not interested in war and are not interested in direct conflict
[03:15:23.480 --> 03:15:24.480]  with our country.
[03:15:24.480 --> 03:15:30.200]  And, well, I can tell you that we understand this and we understand that we have more in
[03:15:30.200 --> 03:15:36.400]  common with you fellow Americans from Heartland than with many other peoples in the world.
[03:15:36.400 --> 03:15:42.360]  And everything is done so that you thought that we are enemies and something terrible.
[03:15:42.360 --> 03:15:43.800]  And see, that's amazing.
[03:15:43.800 --> 03:15:44.920]  That's amazing that they can do that.
[03:15:44.920 --> 03:15:46.360]  I don't want war with Russia.
[03:15:46.360 --> 03:15:49.520]  Russia doesn't want war with the United States, yet we could end up in a scenario where we
[03:15:49.520 --> 03:15:50.520]  have to do it anyway.
[03:15:50.520 --> 03:15:53.520]  I mean, what the hell is that?
[03:15:53.520 --> 03:15:57.640]  Okay, reform is confusing, but whether it's finding an affordable insurance plan, keeping
[03:15:57.640 --> 03:16:01.880]  your doctor, or being able to afford needed prescriptions, navigating the healthcare system
[03:16:01.880 --> 03:16:04.120]  has become a challenge.
[03:16:04.120 --> 03:16:07.680]  Control your own healthcare costs and choices with Liberty Health Share.
[03:16:07.680 --> 03:16:11.640]  Liberty Health Share is not insurance, it is an association of self-pay patients who
[03:16:11.640 --> 03:16:15.840]  unite with like-minded people to share the cost of each other's medical needs, neighbor
[03:16:15.840 --> 03:16:16.840]  helping neighbor.
[03:16:16.840 --> 03:16:22.840]  Learn more now by going to libertyoncall.org, that's libertyoncall.org.
[03:16:22.840 --> 03:16:24.600]  Fully Cooked, Ready to Eat Bacon.
[03:16:24.600 --> 03:16:29.400]  I'm talking thick meaty, center cut, presidential bacon, savory and delicious.
[03:16:29.400 --> 03:16:33.040]  I buy some, I use some, I store some, awesome.
[03:16:33.040 --> 03:16:37.640]  No refrigeration needed with a 10-year shelf life, NASA Pack technology.
[03:16:37.640 --> 03:16:42.960]  Bacon, fully cooked, fully hydrated, ready to eat right from the pack bacon, or warm
[03:16:42.960 --> 03:16:43.960]  and serve.
[03:16:43.960 --> 03:16:47.840]  Life-saving, ready to eat bacon, 10-year shelf life bacon.
[03:16:47.840 --> 03:16:53.160]  Ships free at fullycookedbacon.com, fullycookedbacon.com.
[03:16:53.160 --> 03:16:58.160]  Heart disease is on the rise, clogged arteries, high blood pressure and high cholesterol levels
[03:16:58.160 --> 03:17:01.800]  may not be fully detected by you, but the symptoms are there.
[03:17:01.800 --> 03:17:06.840]  Loss of energy, blood sugar, spikes and drops, poor circulation and irregular heartbeat are
[03:17:06.840 --> 03:17:10.360]  just a few of these that can alert you that something is wrong.
[03:17:10.360 --> 03:17:14.880]  Hear how heart and body extract is making a difference in thousands of people's lives
[03:17:14.880 --> 03:17:15.880]  across America.
[03:17:15.880 --> 03:17:19.800]  My blood pressure has normalized, my diabetes has totally improved.
[03:17:19.800 --> 03:17:23.440]  Everyone is telling me now how much healthier I look and I'm telling everyone how much
[03:17:23.440 --> 03:17:24.440]  healthier I feel.
[03:17:24.440 --> 03:17:27.080]  I recommend heart and body extract to everyone.
[03:17:27.080 --> 03:17:32.240]  Anybody over 40 in the North American continent should be using this product as a preventative
[03:17:32.240 --> 03:17:34.760]  to keep their cardiovascular system healthy.
[03:17:34.760 --> 03:17:45.800]  Order your two-month supply today by calling 866-295-5305 or order online hbextract.com.
[03:17:45.800 --> 03:17:54.680]  Heart and body extract 866-295-5305 or hbextract.com.
[03:17:54.680 --> 03:17:55.680]  I'm so excited.
[03:17:55.680 --> 03:18:01.080]  The new product at inforwarslife.com, in a glass bottle, two-month servings filled to
[03:18:01.080 --> 03:18:05.800]  the brim, filled to the absolute top, the real red pill.
[03:18:05.800 --> 03:18:11.240]  This is a heart and brain pill, a new tropic that doesn't have any stimulants in it, but
[03:18:11.240 --> 03:18:14.200]  boy does it stimulate because it's beyond that.
[03:18:14.200 --> 03:18:20.560]  Boy, frankly, I just went off what I saw medical doctors prescribing to their patients, but
[03:18:20.560 --> 03:18:27.160]  it wasn't prescription, but they were charging people $100, $200 for the formulae, and I came
[03:18:27.160 --> 03:18:31.880]  up with our own formulae working with some scientists and developers, non-GMO, made
[03:18:31.880 --> 03:18:38.520]  right here in America, 120 capsules, and ladies and gentlemen, you add the preglinone to it,
[03:18:38.520 --> 03:18:42.960]  which is the precursor to all the hormones that your body has to have to even make the
[03:18:42.960 --> 03:18:47.440]  hormones in your glands, it is amazing.
[03:18:47.440 --> 03:18:55.480]  Red pill now available at inforwarsstore.com, and your purchase fugs the operation.
[03:18:55.480 --> 03:19:00.240]  Alex Jones here with an extremely exciting announcement that will be a gift to yourself
[03:19:00.240 --> 03:19:04.240]  and a gift to the Info War to fight the globalist and live in a free society.
[03:19:04.240 --> 03:19:10.560]  Several years ago, I set out with top formulators in the U.S. to create the strongest, most concentrated
[03:19:10.560 --> 03:19:16.800]  over-the-top stamina, libido, workout, brain formula that is safe.
[03:19:16.800 --> 03:19:21.000]  I know from using this myself the last few months, and from seeing my friends and family
[03:19:21.000 --> 03:19:25.320]  use it, that this new product is going to end up being the number one best-selling product
[03:19:25.320 --> 03:19:28.120]  at InfoWarsLife.com because it works so well.
[03:19:28.120 --> 03:19:31.280]  This is a gift you want to give yourself, and then rest assured, you're fighting the
[03:19:31.280 --> 03:19:36.360]  Info War, so it's a total absolute sure win, no lose equation.
[03:19:36.360 --> 03:19:41.160]  Try Alpha Power, exclusively available at InfoWarsLife.com for yourself.
[03:19:41.160 --> 03:19:45.200]  Ladies and gentlemen, it's non-GMO, it's for your brain, it's for sports, it's for activities,
[03:19:45.200 --> 03:19:50.480]  and it's made in the U.S.A. Get your Alpha Power today at InfoWarsLife.com.
[03:19:50.480 --> 03:19:57.840]  Everybody needs to try Alpha Power today.
[03:19:57.840 --> 03:20:07.960]  We're listening to the Alex Jones Show.
[03:20:27.840 --> 03:20:41.840]  There's really so much to cover.
[03:20:41.840 --> 03:20:47.360]  You've got multiple false flags to try to make Russia the boogeyman.
[03:20:47.360 --> 03:20:51.920]  They say Russia poisoned its own spy in England, that to me is a false flag.
[03:20:51.920 --> 03:20:58.560]  They say that Assad gassed his own people, again another false flag, just to pit the
[03:20:58.560 --> 03:21:06.600]  West and its allies against Russia and Syria, and then start World War III.
[03:21:06.600 --> 03:21:13.080]  And it's just incredible that all of this is going on while you have an unhinged, lawless
[03:21:13.080 --> 03:21:18.120]  investigation of Trump going on, supposedly for Russian collusion, while he's supposedly
[03:21:18.120 --> 03:21:25.600]  starting World War III with Russia, and then they raid his attorney's offices and homes
[03:21:25.600 --> 03:21:31.080]  for an allegation of a relationship with a porn star, and apparently now they're even
[03:21:31.080 --> 03:21:34.760]  saying for information on the Access Hollywood tape.
[03:21:34.760 --> 03:21:38.600]  So they're that desperate to find Russian collusion from Trump that they're literally
[03:21:38.600 --> 03:21:43.960]  searching under every rock from here to Pluto, can't find anything.
[03:21:43.960 --> 03:21:49.800]  Then they stage a chemical attack in Syria to goad Trump into World War III with Russia,
[03:21:49.800 --> 03:21:50.800]  which seems to be working.
[03:21:50.800 --> 03:21:53.040]  I mean, it's all insane.
[03:21:53.040 --> 03:21:56.760]  And I sit here and I say, is Trump that dumb or is Trump that smart?
[03:21:56.760 --> 03:22:03.280]  Is Trump that dumb that he would fall for the false flag chemical attack in Syria and
[03:22:03.280 --> 03:22:05.080]  go to World War III with Russia?
[03:22:05.080 --> 03:22:12.480]  Or is he that smart that he would pretend to fall for the false flag in Syria to prove
[03:22:12.480 --> 03:22:17.000]  he doesn't have collusion with Russia while having established back channel communications
[03:22:17.000 --> 03:22:22.720]  with Putin diplomatically saying, look, I have to do all this to to avoid X, Y and Z,
[03:22:22.720 --> 03:22:23.920]  but don't fall for it.
[03:22:23.920 --> 03:22:26.080]  I know that you're not the enemy.
[03:22:26.080 --> 03:22:31.920]  And so my guest, Andre Afanasyev, is going to break all the potential scenarios here
[03:22:31.920 --> 03:22:35.480]  in the future down from his perspective over in Russia.
[03:22:35.480 --> 03:22:40.280]  So what are the potential scenarios we could see now, given the rhetoric coming from Trump
[03:22:40.280 --> 03:22:46.040]  and everything coming out of the West in response to the chemical attack false flag in Syria?
[03:22:46.040 --> 03:22:54.440]  So when there are several scenarios, and I will describe them from the best, the easiest
[03:22:54.440 --> 03:22:55.960]  to the worst.
[03:22:55.960 --> 03:23:01.080]  And first of all, I must understand that the stakes now are really high.
[03:23:01.080 --> 03:23:09.280]  And every step made by U.S. government and Donald Trump recently have put these stakes
[03:23:09.280 --> 03:23:10.680]  even higher.
[03:23:10.680 --> 03:23:18.280]  So the easiest the easiest and the least possible, unfortunately, scenario is just Trump just
[03:23:18.280 --> 03:23:26.360]  brings the fleet to the shore of to the to the shore of Syria.
[03:23:26.360 --> 03:23:27.840]  And that's it.
[03:23:27.840 --> 03:23:33.600]  He just the media and he will tweet probably that look how great I am.
[03:23:33.600 --> 03:23:47.240]  The Russians pushed backwards just after they saw us, our destroyers, our aircraft carriers,
[03:23:47.240 --> 03:23:48.240]  and that's it.
[03:23:48.240 --> 03:23:55.000]  So there will be only aggressive rhetoric towards us.
[03:23:55.000 --> 03:23:56.720]  The same would be done here.
[03:23:56.720 --> 03:23:57.720]  And that's it.
[03:23:57.720 --> 03:23:58.800]  And that's kind of already happening.
[03:23:58.800 --> 03:24:03.880]  There's kind of already a standoff with the Navy and Russian ships in in the sea right
[03:24:03.880 --> 03:24:05.280]  there outside of Syria.
[03:24:05.280 --> 03:24:06.280]  So that's kind of already happening.
[03:24:06.280 --> 03:24:07.400]  And it's like, OK, that's it.
[03:24:07.400 --> 03:24:09.280]  That would be the best case scenario is that's it.
[03:24:09.280 --> 03:24:10.280]  Yes.
[03:24:10.280 --> 03:24:15.040]  I'm sorry to say that this scenario seems to be OK for everyone now.
[03:24:15.040 --> 03:24:16.280]  So it's OK for us.
[03:24:16.280 --> 03:24:21.520]  It's OK for real Americans like you and your audience.
[03:24:21.520 --> 03:24:23.440]  So it's not that bad.
[03:24:23.440 --> 03:24:25.080]  It's actually it's terrible.
[03:24:25.080 --> 03:24:27.920]  But in current circumstances, it's not that bad.
[03:24:27.920 --> 03:24:31.520]  Yeah, like as long as it doesn't start World War three, like OK.
[03:24:31.520 --> 03:24:32.520]  Yes.
[03:24:32.520 --> 03:24:41.240]  The next is that Trump will have to launch several missiles from these destroyers like
[03:24:41.240 --> 03:24:53.240]  a year ago when he bombed the Shirat airbase after alleged and not proven chemical chemical
[03:24:53.240 --> 03:24:59.960]  attack in Idlib that was staged by mentioned white helmets.
[03:24:59.960 --> 03:25:03.880]  After this, the information was distributed through all the mainstream media.
[03:25:03.880 --> 03:25:12.240]  And then Trump launched several dozens, I think 64 Tomahawks and destroyed a military
[03:25:12.240 --> 03:25:20.720]  aircraft base that had nothing but several rusty planes of World War two era.
[03:25:20.720 --> 03:25:21.720]  And that's it.
[03:25:21.720 --> 03:25:22.720]  No one even died.
[03:25:22.720 --> 03:25:26.760]  We always do our troops from that because Trump warned Russia about this.
[03:25:26.760 --> 03:25:33.520]  And we know that that Russian troops a year ago were warned that United States were planning
[03:25:33.520 --> 03:25:35.880]  to bomb this very base.
[03:25:35.880 --> 03:25:43.480]  So technically they just bombed several old buildings and rusty planes that were not flying.
[03:25:43.480 --> 03:25:50.280]  That was enough for a while for the globalists to feel that Trump is under their control.
[03:25:50.280 --> 03:25:56.880]  Basically the situation, if we look at this realistically, will go that way.
[03:25:56.880 --> 03:26:03.720]  So there is some kind of an object of infrastructure, a secondary object of infrastructure that
[03:26:03.720 --> 03:26:06.120]  is almost useless.
[03:26:06.120 --> 03:26:10.520]  And Trump would use it as a target, bomb it, and that's it.
[03:26:10.520 --> 03:26:14.480]  And after that, he will get back and say, well, I'm victorious.
[03:26:14.480 --> 03:26:16.600]  I punished Assad.
[03:26:16.600 --> 03:26:22.120]  I told Russians that they are not the only power on the Middle East.
[03:26:22.120 --> 03:26:25.520]  And well, that's fair enough.
[03:26:25.520 --> 03:26:26.520]  It's not good.
[03:26:26.520 --> 03:26:29.200]  It's the violation of international law.
[03:26:29.200 --> 03:26:33.640]  It's military intervention into other UN member country.
[03:26:33.640 --> 03:26:36.800]  But still it's not that bad.
[03:26:36.800 --> 03:26:44.280]  The next level is destruction of primary infrastructure in Syria, or even bombing the capital, the
[03:26:44.280 --> 03:26:48.120]  Damascus, where Assad and his team are.
[03:26:48.120 --> 03:26:53.160]  It's a worse thing, and it would definitely harm the whole country.
[03:26:53.160 --> 03:27:01.040]  It would definitely show that Trump is deeper in the swamp than we think now.
[03:27:01.040 --> 03:27:08.520]  The even worse scenario is Trump not bombing not only Syrian infrastructure, but Iranian
[03:27:08.520 --> 03:27:10.240]  infrastructure.
[03:27:10.240 --> 03:27:18.520]  It also would be bad because it would involve another even bigger and stronger country.
[03:27:18.520 --> 03:27:24.200]  And no one knows how Iranians would react because there are times it would fall.
[03:27:24.200 --> 03:27:29.160]  I think we can have a pretty reasonable guess at how they would react to that, including
[03:27:29.160 --> 03:27:30.160]  Russia.
[03:27:30.160 --> 03:27:36.360]  Now, again, and the hope is, given the last breakdown of events in Syria, that Trump does
[03:27:36.360 --> 03:27:40.600]  have some back channel they taught with Putin, and they're both aware of this political theater
[03:27:40.600 --> 03:27:45.400]  going on to keep the globalists off the real scent, to keep the globalists off balance.
[03:27:45.400 --> 03:27:49.960]  But like you said, as soon as they attack infrastructure in Iran or Syria, that is the
[03:27:49.960 --> 03:27:53.520]  first step to World War III, and Russia is not going to take that lightly.
[03:27:53.520 --> 03:28:00.080]  Thank you so much for joining us today, Andrei Afanasyev from sargrad.tv.
[03:28:00.080 --> 03:28:03.080]  Your input is always appreciated here on The Alex Jones Show.
[03:28:03.080 --> 03:28:04.080]  Thank you.
[03:28:04.080 --> 03:28:05.360]  All right, folks.
[03:28:05.360 --> 03:28:07.600]  And again, we're able to do all of this.
[03:28:07.600 --> 03:28:11.000]  We got a 34-hour live broadcast coming up tomorrow.
[03:28:11.000 --> 03:28:14.560]  The War Room kicks off at 3 o'clock here when The Alex Jones Show ends.
[03:28:14.560 --> 03:28:15.720]  We're live 10 hours a day.
[03:28:15.720 --> 03:28:20.360]  It's all possible with your support at infowarstore.com, so please support us there.
[03:28:20.360 --> 03:28:21.520]  We sell great products.
[03:28:21.520 --> 03:28:23.920]  We're not just selling you products you're not going to like.
[03:28:23.920 --> 03:28:25.600]  We're selling you products that you are going to like.
[03:28:25.600 --> 03:28:28.080]  You're going to come back and get more Brain Force Plus.
[03:28:28.080 --> 03:28:31.920]  You're going to come back and get the Secret 12, both of which are on sale.
[03:28:31.920 --> 03:28:33.240]  Secret 12, 25% off.
[03:28:33.240 --> 03:28:35.400]  Even Force 50% off.
[03:28:35.400 --> 03:28:39.800]  When we come back, we're going to hear from Alex Jones and some highlights from the press
[03:28:39.800 --> 03:28:44.960]  conference yesterday addressing the attack on the First Amendment and the attack on Info
[03:28:44.960 --> 03:28:45.960]  Wars.
[03:28:45.960 --> 03:28:53.120]  We'll be right back.
[03:28:53.120 --> 03:28:54.120]  It's a no-brainer.
[03:28:54.120 --> 03:28:56.400]  A Big Berkey water filter is the one you need, period.
[03:28:56.400 --> 03:29:00.480]  You need a water filter that removes chlorine, fluoride, pharmaceuticals, BPA, and other
[03:29:00.480 --> 03:29:01.800]  endocrine disruptors.
[03:29:01.800 --> 03:29:04.520]  That's besides bacteria, viruses, and much more, right?
[03:29:04.520 --> 03:29:06.480]  And does it all at only two cents per gallon.
[03:29:06.480 --> 03:29:10.160]  Get the original, most trusted name in gravity water filtration, Big Berkey.
[03:29:10.160 --> 03:29:14.960]  And now GCN listeners receive 5% off ceramic filter systems using code GCN.
[03:29:14.960 --> 03:29:19.400]  Call or click 1-877-99 Berkey or BigBerkeyWaterFilters.com.
[03:29:19.400 --> 03:29:23.400]  That's 1-877-99-B-E-R-K-E-Y.
[03:29:23.400 --> 03:29:27.360]  Healthcare reform is confusing, but whether it's finding an affordable insurance plan,
[03:29:27.360 --> 03:29:31.440]  keeping your doctor, or being able to afford needed prescriptions, navigating the healthcare
[03:29:31.440 --> 03:29:34.040]  system has become a challenge.
[03:29:34.040 --> 03:29:37.600]  Control your own healthcare costs and choices with Liberty Health Share.
[03:29:37.600 --> 03:29:39.360]  Liberty Health Share is not insurance.
[03:29:39.360 --> 03:29:43.280]  It is an association of self-pay patients who unite with like-minded people to share
[03:29:43.280 --> 03:29:46.760]  the cost of each other's medical needs, neighbor helping neighbor.
[03:29:46.760 --> 03:29:49.600]  Learn more now by going to libertyoncall.org.
[03:29:49.600 --> 03:29:54.360]  That's libertyoncall.org.
[03:29:54.360 --> 03:29:58.200]  You know, if I tried to sit here and tell you about the 60-plus products, we have it
[03:29:58.200 --> 03:30:03.240]  in Fuller's life. It takes hours. Michael ZX Plus now has a lower price.
[03:30:03.240 --> 03:30:05.960]  It's stronger. It's the other equation in probiotics.
[03:30:05.960 --> 03:30:09.240]  It knocks out the yeast, the mold, the candida.
[03:30:09.240 --> 03:30:10.320]  It's back in stock.
[03:30:10.320 --> 03:30:13.520]  The real red pill, it's been sold out for months.
[03:30:13.520 --> 03:30:16.880]  It's got the preglonone that's the precursor to all the natural hormones in your body.
[03:30:16.880 --> 03:30:21.200]  Then it's got all the minerals and the vitamins, the amino acids, so you can upload it.
[03:30:21.200 --> 03:30:25.840]  And our latest product that goes great with the super blue colloidal silver and iodine
[03:30:25.840 --> 03:30:31.280]  4-5 toothpaste is super blue silver immune gargle that's a spray you do.
[03:30:31.280 --> 03:30:32.520]  You can also swallow it.
[03:30:32.520 --> 03:30:37.840]  It's a supplement with iodine, super high-quality silver, and a lot more.
[03:30:37.840 --> 03:30:39.280]  Without you, we couldn't do it.
[03:30:39.280 --> 03:30:45.120]  So thank you all for remembering infowarstore.com and remembering that it's not just you that's
[03:30:45.120 --> 03:30:48.560]  already awake, but it's other people that aren't awake, and it's so essential to spread
[03:30:48.560 --> 03:30:53.600]  the word. Again, thank you so much for being part of the Second American Revolution.
[03:30:53.600 --> 03:30:59.160]  Infowar's life is bringing you a breakthrough in modern medicine, introducing pollen block.
[03:30:59.160 --> 03:31:04.560]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms,
[03:31:04.560 --> 03:31:11.160]  including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[03:31:11.160 --> 03:31:17.040]  In the 1960s, researchers in France noticed that people who ate certain quail eggs experienced
[03:31:17.040 --> 03:31:20.400]  less seasonal immune and inflammatory responses.
[03:31:20.400 --> 03:31:25.080]  They began studying this effect in published trials, and decades later, we now have the
[03:31:25.080 --> 03:31:30.400]  fruit of this research, a fast-acting, chewable tablet that helps alleviate seasonal distress
[03:31:30.400 --> 03:31:35.400]  symptoms. Pollen block is natural and effective. It is not an antihistamine.
[03:31:35.400 --> 03:31:40.000]  In fact, current research has found that it actually acts by blocking the activity of
[03:31:40.000 --> 03:31:45.800]  tryptase, which is an enzyme that amplifies immune and inflammatory responses in the body.
[03:31:45.800 --> 03:31:48.520]  Go outside and enjoy the air you breathe.
[03:31:48.520 --> 03:31:53.800]  Visit infowarslife.com and grab a pack of our pollen block chewable tablets.
[03:31:53.800 --> 03:31:57.560]  We need to fund this operation, ladies and gentlemen, and I make it really easy. We
[03:31:57.560 --> 03:32:02.160]  went out and looked at what the top new tropics or brain pills are that are healthy for energy
[03:32:02.160 --> 03:32:08.000]  stamina, mental clarity, you name it. And we created a stronger formula than some of
[03:32:08.000 --> 03:32:11.120]  the best-selling formulas out there. It's very simple. We went out and looked, what
[03:32:11.120 --> 03:32:14.560]  is the top? What is the best? We'll just put even more product in. We'll make it better.
[03:32:14.560 --> 03:32:19.960]  We need competitors, put $2 a product in it, sell it for $60. We put $10 in it and sell
[03:32:19.960 --> 03:32:25.240]  it for $30. It's $19.95 right now. So you get an incredible top-of-the-line
[03:32:25.240 --> 03:32:32.000]  new tropic for $19.95. Believe me, we're selling it for $35 on average. We need that $15, $20
[03:32:32.000 --> 03:32:35.600]  we make to fund this operation in the face of the global threat of it. But I'm doing
[03:32:35.600 --> 03:32:40.040]  this because we got a ton of it coming in in two weeks. I want to sell it all out before
[03:32:40.040 --> 03:32:44.240]  the big supply comes in, and I want people that haven't tried BrainForce to try it and
[03:32:44.240 --> 03:32:51.120]  find out why. It's got 6,000 plus 5-star reviews. It's amazing. InfowarsStore.com, InfowarsLive.com
[03:32:51.120 --> 03:33:15.880]  or AAA-2533-139. You're listening to the Alex Jones show. And now, the tip of the spear.
[03:33:15.880 --> 03:33:36.960]  Alex Jones is a raging bull, virile, masculine, bull, bull, bull, bull. My question is, why
[03:33:36.960 --> 03:33:46.960]  did you choose a historically immediate suppressor like this, so close to the main media? Well,
[03:33:46.960 --> 03:33:56.960]  we did it because we are the real media. We wanted to come here and deliver a message
[03:33:56.960 --> 03:34:01.960]  to the main media. The fact that they're losing ratings of viewers is because they've committed
[03:34:01.960 --> 03:34:07.960]  that we're awake, that people understand there's attempts at censorship, and that their monopolies,
[03:34:07.960 --> 03:34:11.960]  Facebook, Go Twitter, are going to be busted up. But, sir, that made me concerned that you
[03:34:11.960 --> 03:34:17.960]  were the real Alex Jones, that you were yourself a crisis actor. And that I may be Jordan Clepper?
[03:34:17.960 --> 03:34:21.960]  I don't know. Or Jordan Clepper? I don't know. So, sir, are you the real Alex Jones? Well,
[03:34:21.960 --> 03:34:25.960]  you know. Or are you a crisis actor? Actually, I'm Bill Hiss. See, it in goes in. And it
[03:34:25.960 --> 03:34:31.960]  is a crisis actor. And I just want to be clear. It's an explosive crisis actor. I think there's
[03:34:31.960 --> 03:34:35.960]  a victim of this. And obviously, calling a victim a crisis actor would be a monster.
[03:34:35.960 --> 03:34:41.960]  I didn't call those guys a crisis actor. You guys said I said that, edited the tape,
[03:34:41.960 --> 03:34:46.960]  and then sat there and said, what a piece of crap to try to get angered in your target
[03:34:46.960 --> 03:34:52.960]  of viewers. So, let me get this straight. The person standing in front of me is saying
[03:34:52.960 --> 03:34:55.960]  that you have never implied. I never said those people were a crisis actor. You've never implied
[03:34:55.960 --> 03:35:00.960]  that the victims of any mass shooting were fakes of crisis actors. You guys have been
[03:35:00.960 --> 03:35:05.960]  saying that. You guys have been saying I said that about hard blood. See, that's not the truth.
[03:35:05.960 --> 03:35:07.960]  You're not going to get a good editor. You're going to have to really edit this together
[03:35:07.960 --> 03:35:11.960]  if this isn't what I've said. But good luck. Have you said that about standing home? No.
[03:35:11.960 --> 03:35:16.960]  I said that they threw babies out of incubators and that that girl was basically a hired
[03:35:16.960 --> 03:35:22.960]  actress. See, now you're sounding like the realized Jones that I know. This I believe.
[03:35:22.960 --> 03:35:25.960]  But the babies out of the incubators did not happen when they launched the Iraq war
[03:35:25.960 --> 03:35:29.960]  that killed millions of people in 1990. So, here's my question for you. When you're saying
[03:35:29.960 --> 03:35:33.960]  things that might impact real people, do you feel any sense of responsibility for the
[03:35:33.960 --> 03:35:40.960]  sirens that pass even if the people come near you? When you're saying things that might
[03:35:40.960 --> 03:35:45.960]  impact real people's lives, do you feel any sense of responsibility? Actually, that's
[03:35:45.960 --> 03:35:48.960]  the other question. Do you feel any sense of responsibility? Well, I don't feel responsibility
[03:35:48.960 --> 03:35:52.960]  for you guys in this representing what I've said to then try to ban free speech in this
[03:35:52.960 --> 03:35:56.960]  country. So, what does free speech give you the right to do? Free speech gives me the
[03:35:56.960 --> 03:36:01.960]  right to be able to see people. No, no, no. Okay, yeah. Well, none of that's been found
[03:36:01.960 --> 03:36:05.960]  in court. Right. Those slaps that are funded by George Soros are the best representatives
[03:36:05.960 --> 03:36:09.960]  there are. So, free speech gives you the right to. But here's the deal. You guys sit here
[03:36:09.960 --> 03:36:12.960]  and you do edit after edit after edit. You keep stopping and starting to try to get me to
[03:36:12.960 --> 03:36:18.960]  say something so you can take it out of context so you guys can misrepresent stuff to your
[03:36:18.960 --> 03:36:22.960]  I don't want to take you out of context. I just want to know if you're the Malitz
[03:36:22.960 --> 03:36:26.960]  Jones. And you're right back to that same thing. What edit did they tell you to get?
[03:36:26.960 --> 03:36:30.960]  I mean, what's the script? You're certainly an actor. You're a guy posing like you're
[03:36:30.960 --> 03:36:35.960]  like a journalist. You're a wannabe comedian. Sorry, who are we describing? I'm talking
[03:36:35.960 --> 03:36:39.960]  about you. Oh, sorry. So, are you basically an actor pretending to be a journalist? Yes,
[03:36:39.960 --> 03:36:43.960]  yes, that's right. You're an actor pretending to be a journalist, pretending to be a
[03:36:43.960 --> 03:36:46.960]  comedian. I mean, you said they're a confused audience like you're a news show. I don't
[03:36:46.960 --> 03:36:49.960]  think, I don't think a person putting on a big performative show claiming to be a
[03:36:49.960 --> 03:36:52.960]  journalist would get much of a following. Oh, yeah, really? But this is all about being
[03:36:52.960 --> 03:36:56.960]  snarky. The whole point is you're fake news and that's why you're falling apart. So,
[03:36:56.960 --> 03:37:00.960]  keep misrepresenting the thinking people in this country know what's going on. Okay.
[03:37:00.960 --> 03:37:05.960]  You're a journalist. Why don't you check out Seth Rich? If you're a journalist, why don't
[03:37:05.960 --> 03:37:10.960]  you check out real stuff? I bet you won't, I bet you won't put the dead babies in the
[03:37:10.960 --> 03:37:15.960]  youth committee. Hold on, hold on. I bet you won't put on this program on Clefler's
[03:37:15.960 --> 03:37:18.960]  show. Dead babies and incubators? We're probably not going to hear that. No, no, no. Not the
[03:37:18.960 --> 03:37:22.960]  dead babies. Our government lied and said that they took babies out and bashed their
[03:37:22.960 --> 03:37:27.960]  brains out in 1990 and Kuwait. It did not happen. It was a PR firm. They took the babies
[03:37:27.960 --> 03:37:34.960]  out of incubators. Took incubators and left the children to die on the cold floor.
[03:37:34.960 --> 03:37:40.960]  They had kids in incubators and they were thrown out of the incubators so that Kuwait
[03:37:40.960 --> 03:37:45.960]  could be systematically dismantled. That stuff goes on. There are documents that have come
[03:37:45.960 --> 03:37:50.960]  out in federal court that Antifa is funded by major foundations to go out and break things.
[03:37:50.960 --> 03:37:55.960]  They're really breaking things, but they do it in a scripted way. If you're the real
[03:37:55.960 --> 03:37:59.960]  Alex Jones, why haven't you offered to sell me any supplement yet? I know. I've been
[03:37:59.960 --> 03:38:07.960]  talking about it. I'm like Jeff Bezos. Jeff Bezos sits there and he's the biggest
[03:38:07.960 --> 03:38:12.960]  supplement seller in the world, but I'm not allowed to sell supplements. That's right.
[03:38:12.960 --> 03:38:17.960]  Jeff Bezos, he can sell them and he can all what's true. Whole foods can sell supplements,
[03:38:17.960 --> 03:38:22.960]  but I can. That's right. Exactly. Good. Put it in there. That's a good point. No, that
[03:38:22.960 --> 03:38:26.960]  response is real. Supplements are a $50 billion industry. If it's real, how do I know it?
[03:38:26.960 --> 03:38:30.960]  There you go. If you're not scripted, how do I know the words you're saying? Sell us the
[03:38:30.960 --> 03:38:36.960]  brain force. We got brain force plus. Top neutral. My shipment actually didn't come
[03:38:36.960 --> 03:38:41.960]  of brain force plus. Brain force plus, yeah. Yeah, do you mind? Absolutely. Oh my gosh,
[03:38:41.960 --> 03:38:48.960]  thank you. Oh, wow. This feels really safe. Oh, look at that. Look at that little beard.
[03:38:48.960 --> 03:38:53.960]  That's all the meaning. That is very respectful communication. Thank you so much.
[03:38:53.960 --> 03:38:59.960]  Now you're rushing up another little trendy. I had a question. Brain force, brain force
