[00:00.000 --> 00:10.000]  And I grow up, I always be around you guys!
[02:30:01.840 --> 02:30:05.840]  now if you're not in the market for one of our greatest nutraceuticals.
[02:30:05.840 --> 02:30:14.840]  Please consider a contribution. 25, 50, 100, 250 or even $500 would be a godsend to our
[02:30:14.840 --> 02:30:20.840]  important work here to beat back the globalists and to destroy their campaign of censorship
[02:30:20.840 --> 02:30:46.840]  in which they want to strangle our first amendment rights.
[02:30:51.840 --> 02:31:01.840]  I want to plow into all of this, that I'm going to spend a few minutes here first just
[02:31:01.840 --> 02:31:07.840]  encouraging listeners to understand that when you buy t-shirts or water filtration systems
[02:31:07.840 --> 02:31:15.840]  or books or videos or other material from infostore.com, you are funding the revolution.
[02:31:15.840 --> 02:31:21.840]  I cannot say it any clearer and so it is essential that you purchase the products at infowarstore.com.
[02:31:21.840 --> 02:31:25.840]  I want to thank everybody that has, but we've got the best fluoride-free toothpaste with
[02:31:25.840 --> 02:31:28.840]  colloidal silver and with high quality atomic iodine.
[02:31:28.840 --> 02:31:31.840]  You cannot beat that for children and adults.
[02:31:31.840 --> 02:31:35.840]  We've got the best mouthwash designed by Dr. Jones, that's my dad, with colloidal silver
[02:31:35.840 --> 02:31:40.840]  and iodine as well, infowarslife.com or AAA-253-3139.
[02:31:40.840 --> 02:31:45.840]  And your purchase of the products stands with us, stands with America, stands with Trump,
[02:31:45.840 --> 02:31:49.840]  stands against the globalists and their satanic pedophile armies and that's who they are
[02:31:49.840 --> 02:32:11.840]  and they know we know who they are and they're coming back against us so we need your support.
[02:32:20.840 --> 02:32:25.840]  Built with more than seven different superfoods and crucial compounds, ultimate bone broth
[02:32:25.840 --> 02:32:30.840]  will help support your healthy muscles, digestion, tendons and ligaments while also supporting
[02:32:30.840 --> 02:32:32.840]  your body's fight against free radicals.
[02:32:32.840 --> 02:32:38.840]  This incredible chicken bone broth formula contains time-tested ingredients such as turmeric root,
[02:32:38.840 --> 02:32:44.840]  chaga mushroom, goji berry powder, bee pollen and alfalfa herb powder to support your body.
[02:32:44.840 --> 02:32:48.840]  It's time to experience what ultimate bone broth can do for you.
[02:32:48.840 --> 02:32:55.840]  Get a bottle of the all-new version of a fan-favorite product today at infowarstore.com.
[02:33:19.840 --> 02:33:27.840]  If you are receiving this transmission, you are the resistance.
[02:33:27.840 --> 02:33:51.840]  Live from the infowars.com studios, it's Alex Jones.
[02:33:51.840 --> 02:33:53.840]  Alright, Eric Bowling is here.
[02:33:53.840 --> 02:34:00.840]  Thanks for watching.
[02:34:23.840 --> 02:34:49.840]  I hope you enjoyed this video.
[02:34:49.840 --> 02:35:15.840]  Don't forget to like, comment and subscribe.
[02:35:15.840 --> 02:35:41.840]  Thanks for watching.
[02:35:41.840 --> 02:36:10.840]  Don't forget to like, comment and subscribe.
[02:36:11.840 --> 02:36:40.840]  Thanks for watching.
[02:36:41.840 --> 02:36:56.840]  I hope you enjoyed this video.
[02:36:56.840 --> 02:37:22.840]  Thanks for watching.
[02:37:22.840 --> 02:37:48.840]  I hope you enjoyed this video.
[02:37:48.840 --> 02:38:14.840]  Thanks for watching.
[02:38:14.840 --> 02:38:41.840]  I hope you enjoyed this video.
[02:38:41.840 --> 02:39:10.840]  I hope you enjoyed this video.
[02:39:11.840 --> 02:39:38.840]  I hope you enjoyed this video.
[02:39:38.840 --> 02:40:04.840]  Thanks for watching.
[02:40:04.840 --> 02:40:30.840]  I hope you enjoyed this video.
[02:40:30.840 --> 02:40:56.840]  I hope you enjoyed this video.
[02:40:56.840 --> 02:41:25.840]  I hope you enjoyed this video.
[02:41:25.840 --> 02:41:45.840]  I hope you enjoyed this video.
[02:41:45.840 --> 02:42:05.840]  I hope you enjoyed this video.
[02:42:05.840 --> 02:42:34.840]  I hope you enjoyed this video.
[02:42:35.840 --> 02:42:55.840]  I hope you enjoyed this video.
[02:42:55.840 --> 02:43:10.840]  Thanks for watching.
[02:43:10.840 --> 02:43:37.840]  I hope you enjoyed this video.
[02:43:37.840 --> 02:44:04.840]  I hope you enjoyed this video.
[02:44:04.840 --> 02:44:32.840]  Thanks for watching.
[02:44:32.840 --> 02:44:54.840]  I hope you enjoyed this video.
[02:44:54.840 --> 02:45:23.840]  I hope you enjoyed this video.
[02:45:24.840 --> 02:45:51.840]  I hope you enjoyed this video.
[02:45:51.840 --> 02:46:18.840]  Thanks for watching.
[02:46:18.840 --> 02:46:45.840]  Thanks for watching.
[02:46:45.840 --> 02:47:06.840]  I hope you enjoyed this video.
[02:47:15.840 --> 02:47:44.840]  I hope you enjoyed this video.
[02:47:45.840 --> 02:48:12.840]  Thanks for watching.
[02:48:12.840 --> 02:48:41.840]  I hope you enjoyed this video.
[02:48:42.840 --> 02:49:11.840]  I hope you enjoyed this video.
[02:49:12.840 --> 02:49:41.840]  I hope you enjoyed this video.
[02:49:42.840 --> 02:50:11.840]  I hope you enjoyed this video.
[02:50:12.840 --> 02:50:41.840]  I hope you enjoyed this video.
[02:50:42.840 --> 02:51:11.840]  I hope you enjoyed this video.
[02:51:12.840 --> 02:51:41.840]  I hope you enjoyed this video.
[02:51:42.840 --> 02:52:11.840]  I hope you enjoyed this video.
[02:52:12.840 --> 02:52:41.840]  I hope you enjoyed this video.
[02:52:42.840 --> 02:53:11.840]  I hope you enjoyed this video.
[02:53:12.840 --> 02:53:41.840]  I hope you enjoyed this video.
[02:53:42.840 --> 02:54:11.840]  I hope you enjoyed this video.
[02:54:12.840 --> 02:54:41.840]  I hope you enjoyed this video.
[02:54:42.840 --> 02:55:09.840]  I hope you enjoyed this video.
[02:55:09.840 --> 02:55:38.840]  I hope you enjoyed this video.
[02:55:39.840 --> 02:56:08.840]  I hope you enjoyed this video.
[02:56:09.840 --> 02:56:38.840]  I hope you enjoyed this video.
[02:56:38.840 --> 02:57:07.840]  I hope you enjoyed this video.
[02:57:08.840 --> 02:57:37.840]  I hope you enjoyed this video.
[02:57:38.840 --> 02:58:05.840]  I hope you enjoyed this video.
[02:58:05.840 --> 02:58:34.840]  I hope you enjoyed this video.
[02:58:35.840 --> 02:58:55.840]  I hope you enjoyed this video.
[02:58:55.840 --> 02:59:24.840]  I hope you enjoyed this video.
[02:59:25.840 --> 02:59:54.840]  I hope you enjoyed this video.
[02:59:54.840 --> 03:00:21.840]  I hope you enjoyed this video.
[03:00:21.840 --> 03:00:50.840]  I hope you enjoyed this video.
[03:00:51.840 --> 03:01:18.840]  I hope you enjoyed this video.
[03:01:18.840 --> 03:01:47.840]  I hope you enjoyed this video.
[03:01:48.840 --> 03:02:17.840]  I hope you enjoyed this video.
[03:02:18.840 --> 03:02:47.840]  I hope you enjoyed this video.
[03:02:48.840 --> 03:03:17.840]  I hope you enjoyed this video.
[03:03:18.840 --> 03:03:47.840]  I hope you enjoyed this video.
[03:03:48.840 --> 03:04:17.840]  I hope you enjoyed this video.
[03:04:18.840 --> 03:04:47.840]  I hope you enjoyed this video.
[03:04:48.840 --> 03:05:17.840]  I hope you enjoyed this video.
[03:05:18.840 --> 03:05:47.840]  I hope you enjoyed this video.
[03:05:48.840 --> 03:06:17.840]  I hope you enjoyed this video.
[03:06:18.840 --> 03:06:39.840]  I hope you enjoyed this video.
[03:06:39.840 --> 03:07:06.840]  I hope you enjoyed this video.
[03:07:06.840 --> 03:07:30.840]  I hope you enjoyed this video.
[03:07:30.840 --> 03:07:56.840]  I hope you enjoyed this video.
[03:07:56.840 --> 03:08:25.840]  I hope you enjoyed this video.
[03:08:25.840 --> 03:08:52.840]  I hope you enjoyed this video.
[03:08:52.840 --> 03:09:21.840]  I hope you enjoyed this video.
[03:09:21.840 --> 03:09:48.840]  I hope you enjoyed this video.
[03:09:48.840 --> 03:10:17.840]  I hope you enjoyed this video.
[03:10:17.840 --> 03:10:44.840]  I hope you enjoyed this video.
[03:10:44.840 --> 03:11:13.840]  I hope you enjoyed this video.
[03:11:14.840 --> 03:11:43.840]  I hope you enjoyed this video.
[03:11:43.840 --> 03:12:12.840]  I hope you enjoyed this video.
[03:12:12.840 --> 03:12:41.840]  I hope you enjoyed this video.
[03:12:42.840 --> 03:13:11.840]  I hope you enjoyed this video.
[03:13:12.840 --> 03:13:41.840]  I hope you enjoyed this video.
[03:13:42.840 --> 03:14:09.840]  I hope you enjoyed this video.
[03:14:09.840 --> 03:14:30.840]  I hope you enjoyed this video.
[03:14:30.840 --> 03:14:57.840]  I hope you enjoyed this video.
[03:14:57.840 --> 03:15:26.840]  I hope you enjoyed this video.
[03:15:27.840 --> 03:15:52.840]  I hope you enjoyed this video.
[03:15:52.840 --> 03:16:21.840]  I hope you enjoyed this video.
[03:16:22.840 --> 03:16:27.840]  When you use public wifi, hackers and identity thieves can see anything you do online.
[03:16:27.840 --> 03:16:31.840]  Embarrassing photos, your web history, even your passwords.
[03:16:31.840 --> 03:16:37.840]  That's why I use private internet access to encrypt my internet connection for less than 10 cents a day.
[03:16:37.840 --> 03:16:45.840]  Sign up now at privateinternetaccess.com and in just a few minutes, you'll be browsing anonymously and only sharing what you want to share.
[03:16:45.840 --> 03:16:51.840]  Privateinternetaccess.com. It's time to protect your online privacy.
[03:16:51.840 --> 03:16:55.840]  I tried other brands, but I came back to my sunshine.
[03:16:55.840 --> 03:17:00.840]  For the best hot or cold pain relief, get the best. Get a Sunny Bay heating pad.
[03:17:00.840 --> 03:17:05.840]  Sometimes life can be a pain in the neck, or back, or shoulder.
[03:17:05.840 --> 03:17:08.840]  And the best relief for that pain is a Sunny Bay heating pad.
[03:17:08.840 --> 03:17:14.840]  Did you know that the American College of Physicians said that one of the best ways to treat muscle pain is heat therapy?
[03:17:14.840 --> 03:17:24.840]  Sunny Bay heating pads are handmade with high quality, can be used at home or at work and have a lifetime 100% positive rating on both Amazon and Etsy.
[03:17:24.840 --> 03:17:25.840]  Why take another pill?
[03:17:25.840 --> 03:17:29.840]  Many people use our Sunny Bay heating pads alone and got rid of the neck pain.
[03:17:29.840 --> 03:17:34.840]  Long distance travel or long hours in front of a computer can take its toll on your body.
[03:17:34.840 --> 03:17:37.840]  Our homegrown small business tries to help people just like us.
[03:17:37.840 --> 03:17:43.840]  That's why we design and test our handmade products with great care before we introduce them to the public.
[03:17:43.840 --> 03:17:46.840]  You can easily find Sunny Bay heating pads on Amazon.
[03:17:46.840 --> 03:18:13.840]  Just go to Amazon.com and search for Sunny Bay heating pads.
[03:18:13.840 --> 03:18:20.840]  Fluorolife is a powerful probiotic supplement with 20 of the most potent clinically studied probiotic strains.
[03:18:20.840 --> 03:18:25.840]  When paired with carnivore, our incredible enzyme formula that helps you break down nutrients.
[03:18:25.840 --> 03:18:31.840]  These formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[03:18:31.840 --> 03:18:38.840]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age, and outside toxins.
[03:18:38.840 --> 03:18:44.840]  There's no better time to try Fluorolife and Carnivore to see how well they can support your body.
[03:18:44.840 --> 03:18:48.840]  Don't miss out on the chance to fuel your body and support recovery.
[03:18:48.840 --> 03:18:54.840]  Try the Info Wars Life Daily Digestive Pack today.
[03:18:54.840 --> 03:19:03.840]  Alex Jones here with an extremely exciting announcement that will be a gift to yourself and a gift to the Info War to fight the globalist and live in a free society.
[03:19:03.840 --> 03:19:16.840]  Several years ago, I set out with top formulators in the U.S. to create the strongest, most concentrated, over-the-top stamina, libido, workout, brain formula that is safe.
[03:19:16.840 --> 03:19:27.840]  I know from using this myself the last few months and from seeing my friends and family use it that this new product is going to end up being the number one best-selling product at InfoWarsLife.com because it works so well.
[03:19:27.840 --> 03:19:35.840]  This is a gift you want to give yourself and then rest assured you're fighting the Info War so it's a total absolute sure win, no lose equation.
[03:19:35.840 --> 03:19:40.840]  Try Alpha Power exclusively available at InfoWarsLife.com for yourself.
[03:19:40.840 --> 03:19:46.840]  Ladies and gentlemen, it's non-GMO. It's for your brain, it's for sports, it's for activities, and it's made in the U.S.A.
[03:19:46.840 --> 03:20:04.840]  This is your Alpha Power today at InfoWarsLife.com. Everybody needs to try Alpha Power today.
[03:20:04.840 --> 03:20:23.840]  This is Bernie Sanders and there's a lot of corruption in this country. And if you want to hear about corruption, then you'll listen to Roger Stone on InfoWars.
[03:20:23.840 --> 03:20:35.840]  Welcome back. I'm Roger Stone, sitting in for the great Alex Jones. That was a terrific lick by the Rolling Stones,
[03:20:35.840 --> 03:20:55.840]  certainly a 1965 song called Carol written by the great Chuck Berry. Well, I'm pleased to hear that the Republican candidate for Congress opposing Congressman Eric Swalwell survived a knife attack on him, clearly designed to take him out.
[03:20:55.840 --> 03:21:04.840]  But what we need to know now is whether the would-be killer had connections to Swalwell's campaign, what Swalwell knew about this attack, if anything.
[03:21:04.840 --> 03:21:11.840]  The American people deserve to know. I certainly hope the FBI is on the case.
[03:21:11.840 --> 03:21:22.840]  You know, the Senate Republicans are so ridiculously hapless that this past week an extraordinary opportunity slipped by.
[03:21:22.840 --> 03:21:40.840]  John Dean, who the media lionizes as a whistleblower in Watergate, but who is in fact the man who planned, pushed, and then lied about the Watergate break-in was before the U.S. Senate and under oath.
[03:21:40.840 --> 03:21:59.840]  This would have been a perfect opportunity to ask Mr. Dean about the discrepancies that were discovered by the Watergate special prosecutor between his Senate testimony and what he told individual Watergate prosecutor investigators and the FBI under oath.
[03:21:59.840 --> 03:22:21.840]  There is a memo that you can find in my book, Nixon's Secrets, that outlines the fact that Dean lied. Additionally, we know that two White House figures, Tony Ulasowitz and Jack John Coffield, both of them decorated former New York police officers,
[03:22:21.840 --> 03:22:41.840]  working for the Counsel's Office as investigators, say in both their oral histories and in their biographies, which are out of print, but can be found, that John Dean ordered them to case out the Watergate DNC complex six weeks before the break-in.
[03:22:41.840 --> 03:22:55.840]  A golden opportunity was missed with John Dean, one of the great weasels of all time when he was under oath before the Senate to testify against the candidacy of Brett Kavanaugh.
[03:22:55.840 --> 03:23:11.840]  Now, Mr. Dean has very carefully styled himself as a leftist, biting criticism of the George W. Bush administration, even more vicious criticism of the Trump administration.
[03:23:11.840 --> 03:23:26.840]  This is to protect the big lie, the lie that Richard Nixon knew about or approved the Watergate break-in, the lie that Attorney General John Mitchell knew about and approved the Watergate break-in.
[03:23:26.840 --> 03:23:45.840]  Mitchell went to his grave denying that because John Dean is the Watergate weasel. If you want to see 12 questions that John Dean won't answer, go to Watergateweasel.com. That's Watergateweasel.com. John Dean, not who you think he is.
[03:23:45.840 --> 03:24:02.840]  President Donald Trump is about to make an extraordinarily important decision. You see, very recently, the White House consul, Don McGahn, learned that he was leaving the White House. He learned this in a presidential tweet.
[03:24:02.840 --> 03:24:07.840]  There you have the 12 questions John Dean doesn't want to answer at Watergateweasel.com.
[03:24:07.840 --> 03:24:18.840]  Mr. McGahn, in my opinion, has given President Donald Trump not only bad legal advice, but most certainly given him bad political advice.
[03:24:18.840 --> 03:24:38.840]  It is Don McGahn, for example, who has consistently opposed the firing of Jeff Sessions. Jeff Sessions has turned a blind eye to the corruption of the Obama administration, turned a blind eye to the use of a fabricated dossier that was compiled
[03:24:38.840 --> 03:24:56.840]  by a former British intelligence agent with the assistance of Russian intelligence and then used as the underlying legal rationale for the illegal and unconstitutional spying on the campaign of Donald Trump.
[03:24:56.840 --> 03:25:13.840]  When Judge Andrew Napolitano of Fox News, my great friend and a friend of this program, exposed the fact that Donald Trump was under surveillance, as was his campaign, Judge Napolitano was widely ridiculed.
[03:25:13.840 --> 03:25:19.840]  But it turns out that Andrew Napolitano was absolutely right.
[03:25:19.840 --> 03:25:37.840]  In any event, now the president must decide who will replace Don McGahn. McGahn was originally recommended by Corey Lewandowski, the fired campaign manager from the Trump campaign, so it's not surprising that McGahn turns out to be a deep state
[03:25:37.840 --> 03:25:56.840]  counseling, a man who is deeply embedded in the Washington Neocon two-party duopoly that's brought this country to its knees. And then we learned that Mr. McGahn voluntarily gave 30 hours of testimony to Robert Mueller.
[03:25:56.840 --> 03:26:11.840]  30 hours. Think about that. That's longer than an entire day. What could Mr. McGahn have to say about the president that would be that extensive? And what about executive privilege? Never mind that.
[03:26:11.840 --> 03:26:24.840]  What about attorney-client privilege? What was it that Mr. McGahn was in there talking about for 30 hours? No wonder this fellow has been canned. No wonder he read in a tweet that he was leaving.
[03:26:24.840 --> 03:26:42.840]  Now, Washingtonians are saying that the president will replace McGahn with an attorney named Emmett Flood. By all of my research, Emmett Flood is a good man, a fighter, a man who puts his client, not the Washington culture, first.
[03:26:42.840 --> 03:26:55.840]  So the selection of Emmett Flood, who's currently working as one of the councils for President Donald Trump, as the White House chief council, would be a step in the right direction.
[03:26:55.840 --> 03:27:12.840]  You know, I think that the president has had a bad week because he allowed himself to be distracted by the anonymous New York Times editorial that was allegedly written by a senior member of his administration.
[03:27:12.840 --> 03:27:26.840]  As I told Chris Cuomo the other night on CNN, I don't believe that anyone in the Trump administration wrote this particular memo. I think it is a fraud upon the people.
[03:27:26.840 --> 03:27:50.840]  A McGuffin, a con job. After all, the New York Times is owned by the Mexican billionaire, Carlos Slim. Mr. Slim is the largest single donor to the Clinton Foundation. Additionally, Mr. Slim's company received a multi-billion-dollar cell phone contract from the Obama administration.
[03:27:50.840 --> 03:27:59.840]  And we have multiple other examples of the New York Times printing things, claiming they are fact when they are nothing even close.
[03:27:59.840 --> 03:28:09.840]  All the news that's fit to print, embellished with a left-wing ting, is what it should say in that little box in the corner.
[03:28:09.840 --> 03:28:21.840]  You're on the Alex Jones show. I'm Roger Stone, and we have a lot more to break down for you, and I will be right back. But before I leave, let me please ask you to go to themfors.com store.
[03:28:21.840 --> 03:28:30.840]  This is the lifeblood of what we do here. We cannot exist without your loyal patronage. We have some terrific specials. I'll be talking about them later.
[03:28:30.840 --> 03:28:48.840]  But if you're not in the market for one of our great nutraceuticals, find the donate button. A contribution of $25, $50, or even $100 would be a godsend and help us beat back the globalist attempts to censor us into oblivion. I'll be right back.
[03:29:01.840 --> 03:29:14.840]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved. I can help you too. If you owe taxes you can't pay, don't wait another day. There's no such thing as a hopeless tax case.
[03:29:14.840 --> 03:29:32.840]  Call 800-34-no-tax or go to my website, danpilla.com. That's danpilla.com, danpilla.com.
[03:29:45.840 --> 03:30:06.840]  We all know the importance of fish oils. While we are sure to provide them for ourselves, it's just as important to make sure your kids get their EPA and DHA too. Honor Roll is a powerful DHA fish oil formula for your child.
[03:30:06.840 --> 03:30:19.840]  Built from the ground up to support your child's development, this formula uses wild anchovy fish oil, ultrapurified krill oil, and wild salmon fish oil with vitamins to boost your child's mind and body.
[03:30:19.840 --> 03:30:31.840]  With this fish oil formula, you can support your child's optimal heart, joint, cognitive, and brain health while providing DHA, which has been shown to be essential for your child's brain growth spurts.
[03:30:31.840 --> 03:30:41.840]  Built on powerful ingredients with 580 milligrams of high DHA omega-3s, this formula is highly refined to eliminate nearly all heavy metals.
[03:30:41.840 --> 03:31:03.840]  If you're looking for a formula to help your child grow, look no further. Try Honor Roll from InfowarsLife at InfowarsStore.com.
[03:31:12.840 --> 03:31:29.840]  This is the formula that I personally have been taking for over a year, and now we believe we have come as close to perfection when it comes to a detoxifier as you can possibly get.
[03:31:29.840 --> 03:31:45.840]  You owe it to yourself, you owe it to your family, and you owe it to the future of this country and the world that patriots stay as healthy and as clean and as focused as you can be because we need you, the remnant of America, to reignite those brush fires the next level and to be healthy and as focused as you can be.
[03:31:45.840 --> 03:32:00.840]  Thanks to your support and your prayers together, we're changing the world. Now it's time to change our bodies with Z-Field, InfowarsLife.com.
[03:32:16.840 --> 03:32:30.840]  When paired with Carnivore, our incredible enzyme formula that helps you break down nutrients, these formulas fuel your gut and your body to help you fight toxins and stay fueled all day.
[03:32:30.840 --> 03:32:37.840]  These incredible formulas can help keep your body in tip-top shape in the fight against stress, age and outside toxins.
[03:32:37.840 --> 03:32:51.840]  There's no better time to try fluorolife and carnivore to see how well they can support your body. Don't miss out on the chance to fuel your body and support recovery. Try the InfowarsLife Daily Digestive Pack today.
[03:33:08.840 --> 03:33:16.840]  My fellow Americans, let me make this perfectly clear. You're listening to Roger Stone on Infowars.
[03:33:20.840 --> 03:33:31.840]  And there you have the great Wilson Pickett, the wicket Wilson Pickett with a cover of a terrific Eddie Floyd song, a standard called Knock on Wood.
[03:33:31.840 --> 03:33:40.840]  I'm Roger Stone, sitting in for the great Alex Jones. You know, I've been to the D.C. MAGA meetup that's held at the Trump Hotel.
[03:33:40.840 --> 03:33:49.840]  You've never been to the Trump International in Washington. It's a great meeting place for like-minded patriots, and I myself have been to the meetup.
[03:33:49.840 --> 03:33:56.840]  I have so many friends that go there. Among them, the journalists, Cassandra Fairbanks and, of course, Jack Pasoba.
[03:33:56.840 --> 03:34:08.840]  So I was relieved this morning to learn that there was no bloodshed, even though a crazed leftist threatened to use a gun based on his tweet.
[03:34:08.840 --> 03:34:21.840]  And as he put it, take home a number of bloodstained MAGA hats as trophies. This shows you the mental state of the left, the dementia of the far left.
[03:34:21.840 --> 03:34:34.840]  Let's be clear. Those who advocate violence are wrong. We denounce white supremacists. We denounce neo-Nazis. We denounce the KKK.
[03:34:34.840 --> 03:34:49.840]  We denounce racism in all of its forms. They are the ones who advocate violence. They are the ones who have threatened me and my family, even threatening to kill my sweet little dogs.
[03:34:49.840 --> 03:35:01.840]  These people are monsters, and it's getting worse. I can no longer travel in polite society without armed security, and that's a sad factor.
[03:35:01.840 --> 03:35:14.840]  I imagine that Alex Jones and others like Tucker Carlson, who I know for a fact has experienced the same kind of threats, have the same kind of thing going on in their personal lives.
[03:35:14.840 --> 03:35:20.840]  Let's be clear. Those who are threatening violence are on the left, not the right.
[03:35:20.840 --> 03:35:44.840]  So I was also very pleased to learn that Dr. Jerome Corsi did not testify for the grand jury last Friday after a seven-hour rubber hose session with the interrogators for Robert Mueller.
[03:35:44.840 --> 03:35:56.840]  You see, Dr. Corsi, as I said earlier, is the individual who educated me in August of 2016 about the Podesta Brothers involvement in Eastern Europe.
[03:35:56.840 --> 03:36:15.840]  Specifically, it was Corsi who pointed out an August 14 article by Peter Schweitzer, the author of Clinton Cash, published at Breitbart News that outlined the fact that Tony Podesta worked for the exact same Ukrainian political party as Paul Manafort.
[03:36:15.840 --> 03:36:25.840]  Now, as you may know, Manafort has been indicted for lobbying on behalf of that political party without registering under FARRA, the Foreign Agents Registration Act.
[03:36:25.840 --> 03:36:36.840]  The problem is that Tony Podesta didn't register under the Foreign Agents Registration Act either, but Tony Podesta has been granted immunity by Mr. Mueller.
[03:36:36.840 --> 03:36:44.840]  Oh, Mueller says, well, we referred that matter to the Southern District of New York for prosecution. Folks, that's a dead letter.
[03:36:44.840 --> 03:36:56.840]  The Southern District of New York will never prosecute Tony Podesta for anything. It's a public relations dodge, a fraud upon the public. So the bottom line is obvious.
[03:36:56.840 --> 03:37:08.840]  If you're a Clinton-loving Democrat well-connected to Bill and Hillary and their criminal enterprise, you can break the law, but if you're poor, Paul Manafort, you're held to a very different standard.
[03:37:08.840 --> 03:37:22.840]  Now, I'm told that Dr. Corsi will testify, according to ABC News, this coming Friday. Well, that's fine with me. I hope Dr. Corsi will simply tell the truth.
[03:37:22.840 --> 03:37:30.840]  The truth is, I had no advanced knowledge of the acquisition or the publication of John Podesta's emails.
[03:37:30.840 --> 03:37:48.840]  In fact, to infer that, you would have to take by now iconic tweet about John Podesta's time in the barrel and take out the word, the, because I said, the Podesta's apostrophe, yes, that's pure possessive, time in the barrel will come.
[03:37:48.840 --> 03:38:08.840]  It says nothing about John's email. I never made a reference to John Podesta's emails. But I do understand why those who have read his emails would like to controversy to be over how they were obtained rather than what's in them, because there's evidence of criminality, dirty tricks, and worse.
[03:38:08.840 --> 03:38:20.840]  So what better way to distract from the actual content of the criminality of the emails than to create a controversy about how they were obtained?
[03:38:20.840 --> 03:38:40.840]  Catedly, I don't know how they were obtained, but I do think WikiLeaks does what all media organizations do. They receive information from whistleblowers, they confirm its authenticity, and they publish it. So John Podesta, are any of these emails fake?
[03:38:40.840 --> 03:38:48.840]  Are any of them fabricated? Are any of them not accurate? Explain to us what you meant about the kids in the hot tub. Would you mind?
[03:38:48.840 --> 03:39:02.840]  So that's where the Corsi matter stands. If Jerry Corsi goes before the grand jury and he tells the truth, it will be simply exculpatory. Then there's the question of Randy Credico.
[03:39:02.840 --> 03:39:12.840]  This guy is a trip. A former left wing radio host in New York City, Credico was allowed to bring his dog into the grand jury.
[03:39:12.840 --> 03:39:23.840]  But when I checked in New York State, his dog is not registered as a service dog. In fact, Mr. Credico has no known malady that requires him to have a dog.
[03:39:23.840 --> 03:39:32.840]  Well, Credico tells the media he's a comfort dog and he has a note from his doctor. No, he doesn't produce it. There is no such note.
[03:39:32.840 --> 03:39:46.840]  So why would Robert Mueller allow Mr. Credico to take the dog into the grand jury? It's very clear. You see, at one point I learned that Mr. Credico's dog was malnourished, that he wasn't feeding it.
[03:39:46.840 --> 03:39:55.840]  You could tell because you could see the dog's ribs and you could see the dog had some kind of condition regarding its skin.
[03:39:55.840 --> 03:40:05.840]  I did tell Credico that if he didn't feed his dog, I would be forced to take the dog. Well, they took the email and they no doubt showed it to the grand jury.
[03:40:05.840 --> 03:40:16.840]  You see, Roger Stone is so evil, so cruel, so vicious that he threatened to take this poor man's dog. Wow.
[03:40:16.840 --> 03:40:20.840]  Will I be allowed to take my dog into court? I kind of doubt it.
[03:40:20.840 --> 03:40:36.840]  Then there's the larger question of Mr. Credico. I believe he may have lied to the grand jury, committed perjury, when he said that no, he didn't serve as an intermediary between Julian Assange or WikiLeaks and myself.
[03:40:36.840 --> 03:40:50.840]  You see, I never had any direct contact with Assange. I never received any allegedly hacked emails from them. So let's take a look at this brief video.
[03:40:50.840 --> 03:40:57.840]  You've previously denied being the back channel between Stone and Assange. Did you say that under oath today?
[03:40:57.840 --> 03:41:08.840]  Probably. You want me to say yes. I definitely was not a back channel to Julian Assange if there was even a back channel to Julian Assange.
[03:41:08.840 --> 03:41:11.840]  And you said that under oath today? They asked you that and you said that?
[03:41:11.840 --> 03:41:12.840]  Yes.
[03:41:12.840 --> 03:41:15.840]  Why would Stone say you were his back channel then?
[03:41:15.840 --> 03:41:17.840]  You know, you're going to have to ask him that.
[03:41:17.840 --> 03:41:25.840]  Assange. You don't know the guy that was the in-between guy between Assange and Roger Stone?
[03:41:25.840 --> 03:41:31.840]  Here's my wife Kat. Kat, I'm Randy Credico. I'm the guy that was connected to Roger Stone. Do you remember him?
[03:41:31.840 --> 03:41:38.840]  I'm the guy that's connected now between Stone and WikiLeaks. I'm very close with Julian Assange. Have you seen that?
[03:41:38.840 --> 03:41:42.840]  Bingo. Bingo. And there you have it.
[03:41:42.840 --> 03:41:44.840]  It was not a back channel to Julian Assange.
[03:41:44.840 --> 03:41:56.840]  That's called perjury, folks. There you have the lying liar, lying Randy Credico back to back telling one journalist one thing and another journalist something else.
[03:41:56.840 --> 03:41:58.840]  What did he tell the grand jury?
[03:41:58.840 --> 03:42:10.840]  My lawyers can't wait to ask him. That's the state of affairs here where you have now 12 people that are either current or former associates of mine,
[03:42:10.840 --> 03:42:15.840]  questioned by the FBI, at least nine of them questioned about Alex Jones.
[03:42:15.840 --> 03:42:22.840]  What about the relationship between Roger Stone and Alex Jones? Does Roger Stone work for Alex Jones?
[03:42:22.840 --> 03:42:33.840]  Obviously, nobody at the FBI tunes in to the war room every day at five o'clock Eastern where I host a show with my colleague, Owen Schreuer.
[03:42:33.840 --> 03:42:40.840]  I'm Roger Stone. I'll have more for you on the other side, but in the meantime, go to theinfowars.com store, folks.
[03:42:40.840 --> 03:42:46.840]  This is the lifeblood of what we do here and we need your help as never before.
[03:42:46.840 --> 03:42:52.840]  It's a 360 win. You get great product and you bolster the fight for freedom.
