[00:00.000 --> 00:25.800]  We now take you live to the Central Texas Command Center in the heart of the resistance,
[01:20:50.800 --> 01:20:53.800]  I'm actually licensing the debate, so I'll be carrying it live for an hour and a half,
[01:20:53.800 --> 01:20:56.800]  and then two hours after, so I want to invite Roger,
[01:20:56.800 --> 01:21:00.800]  who's obviously a busy guy, to pop in during or after the debate tomorrow.
[01:21:00.800 --> 01:21:05.800]  But, Roger, I mean, I'm on the edge of my seat at a level I've never been before.
[01:21:05.800 --> 01:21:07.800]  Obviously, you're the former head of the Trump campaign,
[01:21:07.800 --> 01:21:10.800]  his friend for a long time, been advising, doing a great job,
[01:21:10.800 --> 01:21:13.800]  but I see the power structure in total panic,
[01:21:13.800 --> 01:21:17.800]  Ted Cruz being forced to endorse, the neocons basically falling,
[01:21:17.800 --> 01:21:19.800]  the Republican establishment dying,
[01:21:19.800 --> 01:21:23.800]  and we've got inside videos on Info Wars of Democratic Party leaders saying,
[01:21:23.800 --> 01:21:25.800]  we like Trump, the Democrats we know all like Trump.
[01:21:25.800 --> 01:21:27.800]  Talk about a landslide.
[01:21:27.800 --> 01:21:31.800]  I don't want to be overconfident here, but it looks like that, as I said earlier,
[01:21:31.800 --> 01:21:34.800]  the stars are aligned against Hillary Clinton.
[01:21:34.800 --> 01:21:36.800]  Roger Stone.
[01:21:36.800 --> 01:21:40.800]  Well, Alex, if you want evidence that Donald Trump is about to win,
[01:21:40.800 --> 01:21:44.800]  merely look at the endorsement of him by Ted Cruz.
[01:21:44.800 --> 01:21:50.800]  This guy is a weasel who knifed Donald Trump in the back of the Republican National Convention,
[01:21:50.800 --> 01:21:57.800]  Nelson Rockefeller style, but now he's figured out that there's an avalanche coming.
[01:21:57.800 --> 01:22:05.800]  There's a tidal wave of reform coming as angry Americans storm the polls.
[01:22:05.800 --> 01:22:10.800]  There is, in fact, I think a small but significant hidden vote
[01:22:10.800 --> 01:22:15.800]  in that it is not socially cool to be for Donald Trump.
[01:22:15.800 --> 01:22:19.800]  On the other hand, anyone who's seen Hillary attempt to dance
[01:22:19.800 --> 01:22:24.800]  should realize that this is the least cool candidate of all time.
[01:22:24.800 --> 01:22:27.800]  So the Republican establishment's panicking they're on the wrong side of history.
[01:22:27.800 --> 01:22:29.800]  How do they counter strike? What do they do now?
[01:22:29.800 --> 01:22:33.800]  Well, I think they're kind of running out of options.
[01:22:33.800 --> 01:22:41.800]  Trump's gains most recently in the polls, Alex, were largely Republicans coming home,
[01:22:41.800 --> 01:22:49.800]  meaning they are deserting their neocon leaders because the Republican establishment
[01:22:49.800 --> 01:22:52.800]  always pretends to be conservative.
[01:22:52.800 --> 01:22:57.800]  Exactly. I shot a video yesterday that's gone viral that I say Ted Cruz,
[01:22:57.800 --> 01:23:01.800]  endorse of Trump, marks the end of Glenn Beck and the Republican establishment.
[01:23:01.800 --> 01:23:07.800]  Well, in essence, yes, he's obviously trying to save his political career.
[01:23:07.800 --> 01:23:12.800]  By the way, I am hopeful that former Governor Barry will choose to challenge
[01:23:12.800 --> 01:23:18.800]  the globalist Bush boy Ted Cruz, who's, as you know, Alex,
[01:23:18.800 --> 01:23:24.800]  his campaign underwritten secretly by the Wall Street enormous suspicious loans
[01:23:24.800 --> 01:23:26.800]  that he never reported.
[01:23:26.800 --> 01:23:29.800]  Exactly. Let's be clear. We're not mad at him in a pissing contest.
[01:23:29.800 --> 01:23:32.800]  He tried to defeat Trump. It's that he's a Judas Iscariot, a Benedict Arnold.
[01:23:32.800 --> 01:23:36.800]  He was always a fake. We know he'll turn against us in the future.
[01:23:36.800 --> 01:23:40.800]  That's why Cruz and Beck must be basically marked out here.
[01:23:40.800 --> 01:23:43.800]  Yes. I mean, Ted Cruz is a whizzling.
[01:23:43.800 --> 01:23:47.800]  His wife is in the Council on Foreign Relations. I rest my case. Let's move on.
[01:23:47.800 --> 01:23:52.800]  Exactly. Goldman Sachs. But it shows a collapse in confidence for Hillary.
[01:23:52.800 --> 01:23:55.800]  So what comes next?
[01:23:55.800 --> 01:24:00.800]  Well, as I have discussed, there are a number of options available to them.
[01:24:00.800 --> 01:24:05.800]  The most obvious one is to steal this election.
[01:24:05.800 --> 01:24:11.800]  Now, the Democrats try to dismiss this and they try to distract us into believing
[01:24:11.800 --> 01:24:16.800]  that voter fraud is the only issue and that that is non-existent.
[01:24:16.800 --> 01:24:19.800]  Well, I don't want to go down that rabbit hole.
[01:24:19.800 --> 01:24:23.800]  It's widely practiced in the Democratic machines.
[01:24:23.800 --> 01:24:28.800]  Fox News the other night had an excellent series on people who voted in two states
[01:24:28.800 --> 01:24:32.800]  in the same year. So it most certainly exists.
[01:24:32.800 --> 01:24:36.800]  But I'm more concerned, as you know, with vote rigging.
[01:24:36.800 --> 01:24:40.800]  What Trump has said, these elections are rigged.
[01:24:40.800 --> 01:24:46.800]  We have established by a Stanford study that shows it was done to Bernie Sanders
[01:24:46.800 --> 01:24:49.800]  that these machines are easily rigged for a desired result.
[01:24:49.800 --> 01:24:53.800]  So that's the big problem. And we see Hillary in these weird,
[01:24:53.800 --> 01:24:56.800]  where she's actually a whole new person babbling saying,
[01:24:56.800 --> 01:24:59.800]  why are you not going to win 50 point? She seems to be melting down.
[01:24:59.800 --> 01:25:03.800]  So I guess she's betting everything on election fraud.
[01:25:03.800 --> 01:25:08.800]  Well, again, 45 days is an eternity in politics.
[01:25:08.800 --> 01:25:11.800]  We certainly know the trajectory of this race.
[01:25:11.800 --> 01:25:15.800]  Trump is gaining now two points down in Pennsylvania.
[01:25:15.800 --> 01:25:19.800]  Extraordinary. This is their stronghold.
[01:25:19.800 --> 01:25:24.800]  The Philadelphia machine, of course, is famous for election fraud
[01:25:24.800 --> 01:25:27.800]  and nonexistent and dead voters.
[01:25:27.800 --> 01:25:30.800]  Here's a trivia question for you, Alex.
[01:25:30.800 --> 01:25:35.800]  What state has more dead people on the state voter rolls than any other?
[01:25:35.800 --> 01:25:38.800]  Why it's the Keystone state?
[01:25:38.800 --> 01:25:40.800]  This is Armageddon.
[01:25:40.800 --> 01:25:47.800]  The reason Trump is dating here is because he has an appeal in western Pennsylvania
[01:25:47.800 --> 01:25:50.800]  that no Republican has ever had before.
[01:25:50.800 --> 01:25:54.800]  That's right. They say he's either ahead or in a dead heat of three points behind in Pennsylvania
[01:25:54.800 --> 01:25:56.800]  in a bunch of different polls. What does that mean?
[01:25:56.800 --> 01:26:03.800]  Well, essentially, there are white, patriotic, God-fearing,
[01:26:03.800 --> 01:26:10.800]  tax-paying Democrats who are most likely union members in western Pennsylvania.
[01:26:10.800 --> 01:26:14.800]  It is a stronghold for the unions.
[01:26:14.800 --> 01:26:18.800]  And these Americans are rejecting Hillary.
[01:26:18.800 --> 01:26:22.800]  They voted for Obama. They voted for Hillary's husband.
[01:26:22.800 --> 01:26:25.800]  But they are now voting for Donald Trump.
[01:26:25.800 --> 01:26:31.800]  This, in a way, offsets the huge loss he's going to get in the city of Philadelphia.
[01:26:31.800 --> 01:26:37.800]  He's going to come out of there 750,000 votes down, perhaps more.
[01:26:37.800 --> 01:26:39.800]  The machine does his job.
[01:26:39.800 --> 01:26:47.800]  The counties around Philadelphia, once reliably Republican, are now really purple.
[01:26:47.800 --> 01:26:51.800]  Well, what about the Google poll they admittedly did where she was 20-something points ahead,
[01:26:51.800 --> 01:26:54.800]  now she's only five points ahead? That's what really panicked her.
[01:26:54.800 --> 01:26:57.800]  In two days after that, she went to D.C. to give a speech.
[01:26:57.800 --> 01:27:00.800]  I mean, if she can't win D.C., my God.
[01:27:00.800 --> 01:27:04.800]  Yeah, look, she's drunk now ahead in Ohio.
[01:27:04.800 --> 01:27:10.800]  Despite the fact that the K-6 machine in the state Republicans are doing everything
[01:27:10.800 --> 01:27:14.800]  humanly possible to undermine the campaign.
[01:27:14.800 --> 01:27:17.800]  Sure, so what about the chairman of the Joint Chiefs saying in Congress yesterday,
[01:27:17.800 --> 01:27:20.800]  or Friday, two days ago, he's been ordered to attack Russia,
[01:27:20.800 --> 01:27:22.800]  and he doesn't think it's a good idea.
[01:27:22.800 --> 01:27:24.800]  I mean, he's been ordered by Obama to start World War III.
[01:27:24.800 --> 01:27:25.800]  I played the clip earlier.
[01:27:25.800 --> 01:27:27.800]  I mean, I can't believe I'm reading these headlines.
[01:27:27.800 --> 01:27:30.800]  I played the clip. I mean, it seems like what will they pull?
[01:27:30.800 --> 01:27:33.800]  A war? An economic collapse? A race war?
[01:27:33.800 --> 01:27:35.800]  Wait a minute. Hold on, isn't it?
[01:27:35.800 --> 01:27:42.800]  Trump who's in bed with the Russians, this line of attack needs to be addressed.
[01:27:42.800 --> 01:27:49.800]  Diane Feinstein, a tired old Democratic hat who's been in the Senate a long time,
[01:27:49.800 --> 01:27:56.800]  and whose husband has made millions in sweetheart, federal, questionable deals,
[01:27:56.800 --> 01:28:04.800]  looking for an investigation into Trump's business affairs in Russia or with Russians,
[01:28:04.800 --> 01:28:07.800]  of which he has none. Big headline.
[01:28:07.800 --> 01:28:11.800]  Sure, but meanwhile, Obama is ordering an attack on Russian forces.
[01:28:11.800 --> 01:28:13.800]  This is mainstream news.
[01:28:13.800 --> 01:28:18.800]  Yeah, I mean, it just shows you how brave and disingenuous it is.
[01:28:18.800 --> 01:28:20.800]  Yeah, they can't win an election.
[01:28:20.800 --> 01:28:23.800]  Here's where they're gonna start World War III, arrest these people.
[01:28:23.800 --> 01:28:27.800]  I think that they will do just about anything they can get away with.
[01:28:27.800 --> 01:28:29.800]  So that's my question. We're going to break and coming back with you in closing.
[01:28:29.800 --> 01:28:31.800]  What are they gonna pull?
[01:28:31.800 --> 01:28:34.800]  Roger Stone, you know, the consummate political insider.
[01:28:34.800 --> 01:28:37.800]  Not the insider like he's an establishment, but the guy that knows what's going on.
[01:28:37.800 --> 01:28:39.800]  Roger always gives us what he really thinks.
[01:28:39.800 --> 01:28:41.800]  You know, for over a year, he's saying Trump's behind.
[01:28:41.800 --> 01:28:43.800]  Oh my God, I'm so worried.
[01:28:43.800 --> 01:28:45.800]  Now he says Trump's way ahead, which is clearly he is.
[01:28:45.800 --> 01:28:47.800]  What do they pull? I mean, they're trying to start wars,
[01:28:47.800 --> 01:28:52.800]  economic collapse, race riots, George Soros, hundreds of millions to start race riots.
[01:28:52.800 --> 01:28:54.800]  Roger Stone will ask you with Liam McAdoo.
[01:28:54.800 --> 01:28:57.800]  Try to head on all the shows.
[01:28:57.800 --> 01:29:02.800]  The White House confirmed this week that President Obama will veto any legislation
[01:29:02.800 --> 01:29:08.800]  that allows the families of the victims of 9-11 to sue the government of Saudi Arabia.
[01:29:08.800 --> 01:29:11.800]  As one Texas representative points out, Lewis Gomart,
[01:29:11.800 --> 01:29:14.800]  it shows where the president's loyalty truly lies.
[01:29:14.800 --> 01:29:18.800]  He's standing with the kingdom and not with U.S. citizens.
[01:29:18.800 --> 01:29:23.800]  The veto announcement will arguably lay the groundwork for a showdown with Obama and Congress
[01:29:23.800 --> 01:29:26.800]  as this bill has bipartisan support on the Hill
[01:29:26.800 --> 01:29:29.800]  and gained final approval today in the House.
[01:29:29.800 --> 01:29:35.800]  The 28 pages of the heavily redacted 9-11 commission report implicate Saudi Arabia.
[01:29:35.800 --> 01:29:39.800]  Both clandestine and government complicity occurred in 2001
[01:29:39.800 --> 01:29:44.800]  in the attack that killed thousands of Americans in New York, D.C. and Pennsylvania.
[01:29:44.800 --> 01:29:49.800]  The president's participation in blocking justice for these families reflects how he truly feels,
[01:29:49.800 --> 01:29:53.800]  despite speeches and fancy toast, honoring those that died that day.
[01:29:53.800 --> 01:30:15.800]  I'm Margaret Hell reporting for Infowars.com.
[01:30:23.800 --> 01:30:26.800]  Let's talk about the vitamins we need each day with our modern diets.
[01:30:26.800 --> 01:30:32.800]  Secret-12 by Infowars Live is an easy way to naturally upgrade your Vitamin B-12 intake
[01:30:32.800 --> 01:30:34.800]  and support your body's natural systems.
[01:30:34.800 --> 01:30:39.800]  It pairs two forms of Vitamin B-12 into one explosive formula.
[01:30:39.800 --> 01:30:43.800]  Vitamin B-12 supports healthy energy levels through red blood cell formation
[01:30:43.800 --> 01:30:45.800]  and aiding in the body's natural processes,
[01:30:45.800 --> 01:30:48.800]  but it also assists with many other functions of the body.
[01:30:48.800 --> 01:30:52.800]  Electrify your mind and body and take your health to the next level.
[01:30:52.800 --> 01:30:57.800]  of Seeker 12 at infowarslife.com. That's infowarslife.com.
[01:31:23.800 --> 01:31:27.800]  Become a member. It discounts on the amazing products and free shipping when you sign up for
[01:31:27.800 --> 01:31:31.800]  auto ship and you're able to promote the products to friends and family and neighbors
[01:31:31.800 --> 01:31:35.800]  in your community and make money while helping people at the same time.
[01:31:35.800 --> 01:31:39.800]  Another win-win. That's why I'm a member of the young Jebedy team at infowarsteam.com
[01:31:39.800 --> 01:31:44.800]  and you can be too. It's simple. Just go to infowarsteam.com today.
[01:31:44.800 --> 01:31:46.800]  Complete a short sign up and you're part of the team.
[01:31:46.800 --> 01:31:49.800]  That's infowarsteam.com or infowarshealth.com.
[01:31:49.800 --> 01:31:53.800]  So many people call into my radio show and tell me how young Jebedy and the products
[01:31:53.800 --> 01:31:58.800]  at infowarsteam.com have changed their lives. Check it out for yourself today.
[01:31:58.800 --> 01:32:05.800]  We're selling a product DNA force that is the very best nutraceutical that we can produce.
[01:32:05.800 --> 01:32:08.800]  Dr. Griff, you took years for you to develop DNA force for us.
[01:32:08.800 --> 01:32:14.800]  It's been something that I've been working on for a long time, Alex, because I think it's very, very important.
[01:32:14.800 --> 01:32:20.800]  What the aging process is, is when the cell replicates, we lose a little bit of our telomeres.
[01:32:20.800 --> 01:32:23.800]  Telomeres are the little cups on the end of our chromosomes.
[01:32:23.800 --> 01:32:25.800]  And when it runs out, you start dying.
[01:32:25.800 --> 01:32:29.800]  We chose the PQQ because it has over 175 different clinical trials.
[01:32:29.800 --> 01:32:34.800]  It's one of the most effective substances in the world. It works like an antioxidant.
[01:32:34.800 --> 01:32:37.800]  It works to repair nerve growth factor.
[01:32:37.800 --> 01:32:41.800]  So this is a formula to deliver the maximum amount. It's in powder form.
[01:32:41.800 --> 01:32:47.800]  We have so many five-star reviews. I take this. This is the product that I take.
[01:32:47.800 --> 01:32:51.800]  infowarsleif.com and the profit we make. We fight the globalists. We fight the New World Order.
[01:32:51.800 --> 01:33:15.800]  Secure your DNA force today at infowarsleif.com or call toll-free 888-253-3139.
[01:33:15.800 --> 01:33:21.800]  We now take you live to the Central Texas Command Center in the heart of the Resistance.
[01:33:21.800 --> 01:33:26.800]  You're listening to the Alex Jones show.
[01:33:26.800 --> 01:33:29.800]  All right. Leigh Ann McAdoo is here. One of our great reporters.
[01:33:29.800 --> 01:33:34.800]  She'll be co-hosting with myself tomorrow night during the pre-debate, debate and after-debate.
[01:33:34.800 --> 01:33:36.800]  Roger Stone, former head of the Trump campaign.
[01:33:36.800 --> 01:33:41.800]  Confidant will be joining us in the post-debate after 9.30 Central, 10.30 Eastern.
[01:33:41.800 --> 01:33:45.800]  But Leigh Ann, it's funny. You were wanting to bring up a subject when you called me yesterday
[01:33:45.800 --> 01:33:48.800]  and said, hey, I want to come on the show Sunday, which you're always welcome to do.
[01:33:48.800 --> 01:33:51.800]  I always say, come on when you want to come on. You want to bring up Jennifer Flowers
[01:33:51.800 --> 01:33:57.800]  and the genius of Trump coming out and saying, oh, you want to bring Mark Cuban to put in the front stage?
[01:33:57.800 --> 01:34:01.800]  I'll bring somebody that he settled a sex case with, Jennifer Flowers.
[01:34:01.800 --> 01:34:04.800]  So it's funny. Then Stone during the break wants to bring this up.
[01:34:04.800 --> 01:34:08.800]  So you're on the same page. You go ahead and lead this interview with Roger Stone.
[01:34:08.800 --> 01:34:13.800]  Right. And now even, of course, as the media coming out today saying, well, now the Trump camp is back peddling.
[01:34:13.800 --> 01:34:18.800]  They're not going to have Jennifer Flowers. She's not there. He tweeted, perhaps I'll have her in the front row.
[01:34:18.800 --> 01:34:19.800]  She says she wants to come.
[01:34:19.800 --> 01:34:23.800]  She said right away. She's like, I'll be there. I would love to be your VIP guest.
[01:34:23.800 --> 01:34:24.800]  Better look at the Mark Cuban.
[01:34:24.800 --> 01:34:29.800]  What I thought was so genius about it, and this is just the genius of how Trump can control the media
[01:34:29.800 --> 01:34:33.800]  and control the narrative, is even if she never does show up to become his guest,
[01:34:33.800 --> 01:34:38.800]  they're forced the media to have to report on just who Jennifer Flowers is.
[01:34:38.800 --> 01:34:44.800]  Because there's so many young people under 30 who have no idea who Jennifer Flowers is.
[01:34:44.800 --> 01:34:49.800]  They don't believe all the stories about Bill Clinton or, you know, what, what people have been bringing up.
[01:34:49.800 --> 01:34:51.800]  So, and they're one of the largest voting blocks now.
[01:34:51.800 --> 01:34:55.800]  They don't know about what a predator to this guy is, or I stole the Haitian money.
[01:34:55.800 --> 01:34:56.800]  Roger Stone.
[01:34:56.800 --> 01:34:57.800]  Yeah.
[01:34:57.800 --> 01:34:58.800]  This is exactly right.
[01:34:58.800 --> 01:35:05.800]  First of all, the prelude to a debate is somewhat like the prelude to a prize fight.
[01:35:05.800 --> 01:35:10.800]  You're supposed to psych out and taunt your opponent.
[01:35:10.800 --> 01:35:13.800]  This is the genius of Trump.
[01:35:13.800 --> 01:35:15.800]  He didn't say he was inviting her.
[01:35:15.800 --> 01:35:18.800]  He said, perhaps he was inviting her.
[01:35:18.800 --> 01:35:22.800]  Now, the Clinton campaign said they were inviting Mark Cuban,
[01:35:22.800 --> 01:35:29.800]  a man who made all of his money in a Federal Reserve created boom
[01:35:29.800 --> 01:35:33.800]  in which most Americans lost billions.
[01:35:33.800 --> 01:35:39.800]  So, I imagine that Mr. Cuban wants Hillary's loose fed policies
[01:35:39.800 --> 01:35:42.800]  so he can continue to be a pirate.
[01:35:42.800 --> 01:35:45.800]  He sold his company to Yahoo for a year.
[01:35:45.800 --> 01:35:46.800]  How pathetic is he?
[01:35:46.800 --> 01:35:50.800]  One was going to the campaign to be a VP a year ago, now butthurt.
[01:35:50.800 --> 01:35:52.800]  I mean, is he really just lusting every Donald Trump?
[01:35:52.800 --> 01:35:55.800]  Is this kind of a latent gay worship thing?
[01:35:55.800 --> 01:36:00.800]  Look, he and Trump have had a, have not been close friends,
[01:36:00.800 --> 01:36:02.800]  but he went from mildly kind of saying,
[01:36:02.800 --> 01:36:06.800]  well, you got to give the guy credit to now being the attack dog.
[01:36:06.800 --> 01:36:09.800]  He's a spurned, he's a spurned latent, and it's not the wrong being gay.
[01:36:09.800 --> 01:36:13.800]  Well, yeah, because didn't Mark Cuban open up his stadium to him at the last minute
[01:36:13.800 --> 01:36:16.800]  for his huge crowds that Trump had in the last minute?
[01:36:16.800 --> 01:36:18.800]  So, Cuban's got a crush on him and a spurned.
[01:36:18.800 --> 01:36:20.800]  Well, it's worse than that.
[01:36:20.800 --> 01:36:24.800]  This poor bastard goes out and defends the Clinton Foundation.
[01:36:24.800 --> 01:36:27.800]  They push him out to say, oh no, it's a great charity.
[01:36:27.800 --> 01:36:30.800]  It was like that jackass, James Carville.
[01:36:30.800 --> 01:36:33.800]  People will die if they go out of business.
[01:36:33.800 --> 01:36:37.800]  No, people have already died because they're in business.
[01:36:37.800 --> 01:36:42.800]  Black lives matter unless you live in Haiti, unless you live in Libya
[01:36:42.800 --> 01:36:44.800]  or any place else that the Clintons wish to.
[01:36:44.800 --> 01:36:48.800]  Well, they only gave 5.7% of the money they gave.
[01:36:48.800 --> 01:36:51.800]  Right, they only wanted to get in there because they wanted to steal the resources.
[01:36:51.800 --> 01:36:52.800]  Absolutely.
[01:36:52.800 --> 01:36:58.800]  What's interesting here, and I can tell you this, is that immediately after Trump hosted this,
[01:36:58.800 --> 01:37:05.800]  Dolly Kyle contacted me, someone who had spoken to Juanita Broderick,
[01:37:05.800 --> 01:37:11.800]  contacted me, Paula Jones representative contacted me,
[01:37:11.800 --> 01:37:15.800]  and they were all willing to come to the debate
[01:37:15.800 --> 01:37:20.800]  or do anything else to let people know on behalf of Donald Trump
[01:37:20.800 --> 01:37:24.800]  the way Hillary Clinton has led the attack on women.
[01:37:24.800 --> 01:37:29.800]  Bill Clinton is a sexual predator who has abused women.
[01:37:29.800 --> 01:37:32.800]  This is about violence against women.
[01:37:32.800 --> 01:37:37.800]  Hillary has covered it up, and therefore she is complicit in it.
[01:37:37.800 --> 01:37:41.800]  And these women are all more credible than Hillary Clinton.
[01:37:41.800 --> 01:37:42.800]  Right.
[01:37:42.800 --> 01:37:44.800]  Now, you know what I'm curious about, Mr. Stone?
[01:37:44.800 --> 01:37:50.800]  What do you think about the fact that Fox News had an article up yesterday talking about Bill Clinton
[01:37:50.800 --> 01:37:55.800]  being on Epstein's plane, and they actually released the plane log there
[01:37:55.800 --> 01:37:56.800]  showing how many times Bill Clinton-
[01:37:56.800 --> 01:37:57.800]  Was it the Pito plane?
[01:37:57.800 --> 01:37:58.800]  Yes.
[01:37:58.800 --> 01:37:59.800]  After Orgy Island.
[01:37:59.800 --> 01:38:00.800]  The admitted child rape plane?
[01:38:00.800 --> 01:38:01.800]  After Orgy Island.
[01:38:01.800 --> 01:38:02.800]  Like how-
[01:38:02.800 --> 01:38:03.800]  Why is Clinton on the pedophile plane?
[01:38:03.800 --> 01:38:05.800]  Now all of a sudden they're reporting on it.
[01:38:05.800 --> 01:38:08.800]  First of all, with all due respect to the New York Times,
[01:38:08.800 --> 01:38:11.800]  Nick Bryant wrote this story for Gawker.
[01:38:11.800 --> 01:38:12.800]  He had it all.
[01:38:12.800 --> 01:38:19.800]  There's not a morsel of news in the time story today that doesn't tell us what Bryant already
[01:38:19.800 --> 01:38:20.800]  told.
[01:38:20.800 --> 01:38:26.800]  He is not a conservative, not a Republican, and one of the greatest investigative reporters
[01:38:26.800 --> 01:38:27.800]  living today.
[01:38:27.800 --> 01:38:28.800]  No, you're right.
[01:38:28.800 --> 01:38:29.800]  Gawker did bring it.
[01:38:29.800 --> 01:38:35.800]  So, and Mr. Epstein gave money to Clinton Foundation.
[01:38:35.800 --> 01:38:40.800]  It has not only never been returned, but it seriously disappeared from their voluntary
[01:38:40.800 --> 01:38:41.800]  website.
[01:38:41.800 --> 01:38:42.800]  No.
[01:38:42.800 --> 01:38:49.800]  You know, and we know that Clinton visited the hedonistic Orgy Island that Epstein-
[01:38:49.800 --> 01:38:51.800]  So what does this mean?
[01:38:51.800 --> 01:38:52.800]  He's blackmailed?
[01:38:52.800 --> 01:38:53.800]  He's compromised?
[01:38:53.800 --> 01:38:54.800]  Well, it's very hard to say.
[01:38:54.800 --> 01:38:59.800]  The rumor has always been that Epstein, a billionaire hedge fund manager, finding it
[01:38:59.800 --> 01:39:03.800]  to a genius, had video of Bill.
[01:39:03.800 --> 01:39:06.800]  Anything is possible in this murky world.
[01:39:06.800 --> 01:39:13.800]  We do know that he was given a slap on the wrist by both Democrats in Florida and the
[01:39:13.800 --> 01:39:15.800]  Republicans in Washington.
[01:39:15.800 --> 01:39:20.800]  All right, Stone, let me ask you this, because you're going to be homeless tomorrow night.
[01:39:20.800 --> 01:39:25.800]  StoneCulture.com, carry both your books in 4store.com, and your Bill Clinton rape shirt, so important
[01:39:25.800 --> 01:39:26.800]  to wear that.
[01:39:26.800 --> 01:39:27.800]  I suppose it's happening.
[01:39:27.800 --> 01:39:29.680]  What else is on your radar?
[01:39:29.680 --> 01:39:30.680]  What else are you looking for?
[01:39:30.680 --> 01:39:31.680]  What else are you concerned about?
[01:39:31.680 --> 01:39:34.800]  Then lean and jump in with what else you're concerned about?
[01:39:34.800 --> 01:39:45.560]  Well, you have the entire question of the decree consent that the Republicans foolishly
[01:39:45.560 --> 01:39:53.560]  signed in 1982, which essentially prevents many of the staff to steal activities that
[01:39:53.560 --> 01:40:00.360]  we have been looking at potentially leading the way to an enormous legal battle.
[01:40:00.360 --> 01:40:06.720]  If the polls are unattended, only the watchers for the federal government and the watchers
[01:40:06.720 --> 01:40:09.560]  for the Democratic Party are watching the polls.
[01:40:09.560 --> 01:40:10.560]  And how naked is that?
[01:40:10.560 --> 01:40:11.560]  First, we bring it up.
[01:40:11.560 --> 01:40:12.560]  Trump brings it up.
[01:40:12.560 --> 01:40:13.560]  It doesn't exist.
[01:40:13.560 --> 01:40:16.560]  First of all, we got to have the UN come in and the Justice Department run everything.
[01:40:16.560 --> 01:40:17.560]  And that's pretty clear.
[01:40:17.560 --> 01:40:18.560]  What a joke.
[01:40:18.560 --> 01:40:19.560]  Yes.
[01:40:19.560 --> 01:40:22.760]  I think that's, it is one of the dangers.
[01:40:22.760 --> 01:40:29.560]  I have said many times on the show, and I repeat it, that I fear for Trump's physical
[01:40:29.560 --> 01:40:30.560]  safety.
[01:40:30.560 --> 01:40:36.160]  It's not something I want to belabor, but it is, he is leading a revolution, and he
[01:40:36.160 --> 01:40:37.160]  is threatening.
[01:40:37.160 --> 01:40:38.160]  Sure.
[01:40:38.160 --> 01:40:42.720]  So election fraud, Trump assassination, big war, October surprise.
[01:40:42.720 --> 01:40:47.000]  What about a fake attempt at assassination on Hillary?
[01:40:47.000 --> 01:40:51.400]  You know, the globalists will do anything.
[01:40:51.400 --> 01:40:53.560]  They killed John Kennedy.
[01:40:53.560 --> 01:41:00.560]  They infiltrated the Watergate burglary teams to botch the mission and bring Nixon down.
[01:41:00.560 --> 01:41:03.360]  They lied about healthcare.
[01:41:03.360 --> 01:41:05.000]  They have lied about war in Libya.
[01:41:05.000 --> 01:41:06.080]  So the sky's the limit.
[01:41:06.080 --> 01:41:09.840]  The next 47 days is an epic town to be alive.
[01:41:09.840 --> 01:41:15.840]  Omar Gaddafi had agreed to abdicate and had given, in three different negotiations, everything
[01:41:15.840 --> 01:41:19.160]  Hillary State Department wanted, everything.
[01:41:19.160 --> 01:41:24.920]  We still spent a billion dollars bombing that country, killing black people, and deposing
[01:41:24.920 --> 01:41:28.760]  a guy who was sharing his intelligence with us, who had renounced his...
[01:41:28.760 --> 01:41:29.760]  Well said.
[01:41:29.760 --> 01:41:30.760]  Well said.
[01:41:30.760 --> 01:41:33.760]  You're back with us tomorrow after the debate at 10.30 Eastern, 9.30 Central, Lee, and final
[01:41:33.760 --> 01:41:34.760]  comment.
[01:41:34.760 --> 01:41:38.680]  We're going to come back with you after Roger Stone leaves us, but final question for him.
[01:41:38.680 --> 01:41:41.560]  Well, we see there are already planning World War III behind the scenes.
[01:41:41.560 --> 01:41:44.800]  This might be the October surprise that we're all going to get nuked before anyone gets
[01:41:44.800 --> 01:41:46.080]  into office.
[01:41:46.080 --> 01:41:49.200]  Trump's already said he is running on diplomacy, not destruction.
[01:41:49.200 --> 01:41:52.040]  Meanwhile, we know Hillary Clinton's just going to get in there.
[01:41:52.040 --> 01:41:55.280]  And if she gets in, she's going to take out another player on the...
[01:41:55.280 --> 01:41:57.600]  So are you saying what is the October surprise or what?
[01:41:57.600 --> 01:41:59.760]  Yeah, I mean, it's like, what is Trump's plan?
[01:41:59.760 --> 01:42:03.360]  Roger, what is the October surprise or how will Trump counter this?
[01:42:03.360 --> 01:42:11.920]  If I reveal surprises that could come in October, I would be telegraphing punches.
[01:42:11.920 --> 01:42:16.680]  This is going to be a very close, very hard fought campaign.
[01:42:16.680 --> 01:42:22.000]  Well, you got some gigantic juices that you promised to at least in near time, give us
[01:42:22.000 --> 01:42:25.200]  one of the explosives, others the explosives, but we're going to have some explosives right
[01:42:25.200 --> 01:42:26.200]  here, right?
[01:42:26.200 --> 01:42:27.200]  Your tablets.
[01:42:27.200 --> 01:42:29.760]  Well, I think that's a high probability.
[01:42:29.760 --> 01:42:31.880]  There's a lot to play out yet.
[01:42:31.880 --> 01:42:34.320]  The WikiLeaks are going to be significant.
[01:42:34.320 --> 01:42:36.760]  The debates are going to be significant.
