[00:00.000 --> 00:21.240]  these
[1:27:38.040 --> 1:27:43.160]  but you know they're gonna kill him or they might just electroshock therapy him a bunch
[1:27:43.160 --> 1:27:46.920]  they didn't know who he is and say oh he had a stroke or whatever that's another way they do it
[1:27:46.920 --> 1:27:55.000]  that's a hushing mubarak if they do that you have released forces you will never contain again
[1:27:56.280 --> 1:28:01.080]  i just to guarantee i'm not talking about from me i just know history nothing's worked you are
[1:28:01.080 --> 1:28:07.960]  you are going to be just annihilated i guarantee you all these people shooting their mouths off
[1:28:07.960 --> 1:28:13.320]  and calling for violence within a few weeks of this happening almost all of them will be dead
[1:28:16.360 --> 1:28:20.280]  and whatever group comes in it won't be the group that thinks it's about to get power the first
[1:28:20.280 --> 1:28:24.840]  thing the new group's gonna do is kill all the people that behave like this and acted like this
[1:28:24.840 --> 1:28:29.560]  and then open the drawbridge that's always done by fascist communists by ancient rulers it's a
[1:28:29.560 --> 1:28:35.640]  it's guaranteed you overthrow an elected due government of good people your traders like that
[1:28:35.640 --> 1:28:40.920]  you don't worry about alex jones coming after you're dead the globalists are gonna kill all of you
[1:28:40.920 --> 1:28:46.520]  you're such idiots you're throwing out the hedge of protection and due process this country had
[1:28:46.520 --> 1:28:50.760]  your fools you think there's just one more third world country you're overthrowing you're really
[1:28:50.760 --> 1:29:00.600]  doing is overthrowing yourselves the gauntlet has been thrown down every major democrat candidate
[1:29:00.600 --> 1:29:06.600]  has come out and said they want to confiscate all semi-auto firearms and now buddha judge has come
[1:29:06.600 --> 1:29:12.680]  out and said that it's about political power that's why they want the guns well finally they're
[1:29:12.680 --> 1:29:17.880]  being honest because all their lies haven't got them to the point they want so now they're just
[1:29:17.880 --> 1:29:22.920]  trying to normalize all this tyranny it shows what incredible followers these people are the
[1:29:22.920 --> 1:29:27.560]  globalists know they're not going to get this without a civil war and they know that the minions
[1:29:27.560 --> 1:29:32.680]  trying to carry this out are not going to be in a good position in that civil war but it's up to
[1:29:32.680 --> 1:29:37.640]  us that understand the big picture to carry the fight to the enemy in the information war before
[1:29:37.640 --> 1:29:42.840]  they can kick off a hot civil war that's our mission if you choose to accept it so please
[1:29:42.840 --> 1:29:47.800]  spread the word about info wars dot com port slash show band dot video and all the powerful transmissions
[1:29:47.800 --> 1:29:51.960]  and reports and take advantage of store-wide free shipping double patriot points fifty percent
[1:29:51.960 --> 1:29:57.880]  off it's about to end at info war store dot com the truth is president trump is the most
[1:29:57.880 --> 1:30:04.920]  investigated president in history he is working for american interests steadfastly he is trying to
[1:30:04.920 --> 1:30:10.520]  preserve our country as the globalists try to break our borders bankrupt and devalue our dollar
[1:30:10.520 --> 1:30:16.040]  and sign us over to communist chinese control who now own hollywood and the majority of our debt
[1:30:16.040 --> 1:30:21.720]  we have been maneuvered towards collapse and bankruptcy but at the eleventh hour 58th minute
[1:30:21.720 --> 1:30:27.400]  the american people put a populist in power and it's happening all over the world so great things
[1:30:27.400 --> 1:30:33.400]  are happening but the enemy is striking back they're very serious with this impeachment plan it has
[1:30:33.400 --> 1:30:38.840]  bipartisan support and i'm telling you president trump needs our prayers and info wars needs your
[1:30:38.840 --> 1:30:43.640]  prayers and support ladies and gentlemen the globalists are trying to shut us down but right now
[1:30:43.640 --> 1:30:47.400]  it's easier than ever to financially support us while getting great products at the same time
[1:30:47.400 --> 1:30:52.600]  with black friday comes two months early with store-wide free shipping double patriot points
[1:30:52.600 --> 1:31:02.200]  and ladies and gentlemen 50 off you have all the power in the world but you must use it you must
[1:31:02.200 --> 1:31:09.160]  take action as of taping this it's wednesday afternoon we're running the biggest sale we've
[1:31:09.160 --> 1:31:15.000]  had since last christmas it's store-wide free shipping 50 off the high quality supplements for
[1:31:15.000 --> 1:31:21.320]  info wars life and all the preparedness items like water filtration air filtration uh storeable foods
[1:31:21.320 --> 1:31:26.680]  shortwave radios and so much more this is a huge special we just sell a lot of product to fund
[1:31:26.680 --> 1:31:32.040]  ourselves and these sales are a great way for you to get great prices but also support the info war
[1:31:32.040 --> 1:31:36.760]  please take action today i've got to end this sale by sunday or monday at the max because a
[1:31:36.760 --> 1:31:42.520]  bunch of the items are about to sell out again too many deals to fit them all in here just
[1:31:42.520 --> 1:31:46.120]  please go to info wars store.com and realize you're in this critical time with the globalist
[1:31:46.120 --> 1:31:52.680]  trying to take us off the air your support is absolutely essential so thank you info wars
[1:31:52.680 --> 1:31:58.760]  tomorrow's news today there are few things in this universe that are a sure bet but i'm here
[1:31:58.760 --> 1:32:05.400]  to tell you the products that info wars live.com are we go out we find out what is the best rated
[1:32:05.400 --> 1:32:12.840]  best tested most loved most documented substances that god gave us through mother nature and then we
[1:32:13.480 --> 1:32:18.280]  make it even stronger even better and lower the price now turmeric has been known for thousands
[1:32:18.280 --> 1:32:23.240]  of years to help with inflammation headaches it's good for the immune system so many things it
[1:32:23.240 --> 1:32:30.760]  sells itself but normal turmerics only has three to five percent curcuminoid the active
[1:32:30.760 --> 1:32:38.040]  enzyme or system in the plant originally obviously from india well body's ultimate turmeric formula
[1:32:38.040 --> 1:32:44.040]  has a 95 percent curcuminoid level that's got other natural things that help boost it help your
[1:32:44.040 --> 1:32:49.560]  body absorb it and that's why people absolutely love it i'm doing this offer for people that haven't
[1:32:49.560 --> 1:32:53.640]  tried it yet 50 off on bodies at info warslife.com
[1:32:58.440 --> 1:33:01.080]  you're listening to the alex jones show
[1:33:07.240 --> 1:33:13.720]  live from the info wars.com studios you're listening to the alex jones show
[1:33:13.720 --> 1:33:20.440]  baby i'm gonna teach you what it loves all about tonight all right welcome back ladies and gentlemen
[1:33:20.440 --> 1:33:25.640]  if you just joined us us marine reserve units activated for emergency within the united states
[1:33:25.640 --> 1:33:31.240]  close quote which will come at any to little warning sites threats in the homeland
[1:33:33.160 --> 1:33:39.240]  and it talks about helping the civilian authorities and under the command of the president
[1:33:39.240 --> 1:33:45.240]  so what does that sound like well the president says that there's a coup moving forward against
[1:33:45.240 --> 1:33:49.560]  even there certainly is by a pack of criminals that have sold this nation out and are pissed that
[1:33:49.560 --> 1:33:52.360]  they thought they had the country down forever and now they realize they don't
[1:33:54.440 --> 1:33:58.600]  but if you look at all the other things they're doing and the things that they're engaged in
[1:33:59.640 --> 1:34:03.880]  i really have a lot of mixed feelings i mean we're fighting we're taking the country back a lot
[1:34:03.880 --> 1:34:08.440]  of good things have happened but it also makes you really sad to know that we've had this
[1:34:08.440 --> 1:34:12.840]  bigger group of criminals in control bipartisanly for so long that
[1:34:15.320 --> 1:34:19.000]  they really think they can remove the duly elected president they really think they can shut down
[1:34:19.000 --> 1:34:25.960]  talk radio and shut down popular internet shows and censor all the the the nationalist
[1:34:27.000 --> 1:34:31.560]  i mean you look at the project veritas documents in the videos and it's the google and twitter and
[1:34:31.560 --> 1:34:36.520]  facebook employees how much they hate america and how they ban people that like american flags and
[1:34:36.520 --> 1:34:42.680]  how much they hate trump and hate alex jones and how they shadow ban everybody and how they're not
[1:34:42.680 --> 1:34:49.720]  going to let president trump win again and that was two three years ago and then now here we are
[1:34:49.720 --> 1:34:54.440]  they really think they can get away with this and they've got the censorship in place
[1:34:56.360 --> 1:34:58.840]  but they don't have the marine corps they don't have the military
[1:35:00.200 --> 1:35:05.640]  they have groups of people inside the bureaucracy who are still operating for the bad guys but
[1:35:05.640 --> 1:35:11.240]  that's the split inside the government right now so we're in a civil war in this nation
[1:35:11.240 --> 1:35:14.760]  between the bureaucracy that's pro america and the bureaucracy that's anti-american
[1:35:15.960 --> 1:35:21.000]  and the media is held by the globalists that are anti-american and is trying to make those of us
[1:35:21.000 --> 1:35:26.120]  that are patriotic and have common sense the bad guys it's not working so now they're moving
[1:35:26.120 --> 1:35:30.520]  forward to remove the president outside of impeachment and they're saying it all over the news
[1:35:30.520 --> 1:35:37.240]  and brennan and clopper are saying we're going to remove trump without impeachment
[1:35:38.760 --> 1:35:43.640]  well how are you going to do that well they've shed on msnbc on joy reed well we're going to
[1:35:43.640 --> 1:35:48.600]  do it by threatening other republicans and making a deal with them that they won't all go to president
[1:35:49.960 --> 1:35:56.200]  if they put polosi in that's the wild eye we won't send you on the president if you if you put polosi
[1:35:56.200 --> 1:36:02.920]  in they're a group of terrorists they're a group of mad dogs no borders no wall no usa at all they've
[1:36:02.920 --> 1:36:09.960]  gotten away with so much that they think they can do this right now so i'm going to take your calls
[1:36:09.960 --> 1:36:19.080]  jared kenneth chase cadwick benjamin and others on this live global sunday broadcast and we were
[1:36:19.080 --> 1:36:23.720]  supposed to be off the air by now we were supposed to not be here where they did all this you know
[1:36:23.720 --> 1:36:28.040]  it was big independent media that blew the whistle on polosi and her daughter trying to not seat
[1:36:28.040 --> 1:36:35.720]  trump as the president trying to have the delegates not put him in in 2017 and then they
[1:36:35.720 --> 1:36:39.400]  tried to remove him all those other ways they tried to get in impeachment started then they tried to
[1:36:39.400 --> 1:36:44.040]  find russia gate evidence they tried to test having women come out and say trump had assaulted them
[1:36:44.040 --> 1:36:48.360]  on cabinaw that blew up in their face so they said the coveted kids assaulted and did bad things
[1:36:48.360 --> 1:36:52.360]  that didn't work they had jesse schmollett and hundreds of other events they've been caught in
[1:36:52.360 --> 1:36:56.920]  everything they do turns to crap so now they say it's time to kill the president and they have
[1:36:57.560 --> 1:37:05.320]  all these famous powerful people in government come out and say it to legitimize it and they say
[1:37:05.320 --> 1:37:09.880]  don't let trump supporters have dinner go to their houses don't let them get gassed don't let them
[1:37:09.880 --> 1:37:16.360]  go to the grocery store get in their faces now they're saying go to their houses attack them
[1:37:16.360 --> 1:37:25.000]  and they're saying if you don't want to go to prison i played it last hour it's on info wars.com
[1:37:25.000 --> 1:37:31.800]  and news wars.com joy reed show fantasizes they're not fantasizing folks they mean it to get the
[1:37:31.800 --> 1:37:36.520]  rid of the president they say if you don't want to go to prison run up the white flag they can't
[1:37:36.520 --> 1:37:41.320]  intimidate trump they can't make him back down they tried to demonetize all the conservatives
[1:37:41.320 --> 1:37:45.400]  three years ago when trump won that didn't work then they tried to censor everybody that didn't
[1:37:45.400 --> 1:37:49.960]  work so then they banned everybody now they're taking nra members bank accounts away merchant
[1:37:49.960 --> 1:37:58.040]  accounts away everyone's congress people and now they're saying you do what we say or we're gonna
[1:37:58.040 --> 1:38:07.080]  hurt you well i'm not gonna start any fights but these slime bags are crazy enough to come to
[1:38:07.080 --> 1:38:11.640]  everybody's houses they've been planning it they've been preparing it so let me tell everybody
[1:38:11.640 --> 1:38:15.960]  something they killed trump you better know if you're tucker carlsson your alex shones your
[1:38:15.960 --> 1:38:27.880]  sean hannity your matt drudge your congressman newness congressman jordan
[1:38:31.400 --> 1:38:39.640]  you're one of those type people they're coming after you and you get ready in fact i would i
[1:38:39.640 --> 1:38:44.760]  would suspect when they move on trump they're gonna move directly on a couple hundred people
[1:38:44.760 --> 1:38:52.920]  simultaneously and then they'll go down the phases and everybody can decide at that point
[1:38:52.920 --> 1:38:56.520]  what they want to do you want to try to get on airplane get out of here now that's not gonna
[1:38:56.520 --> 1:39:03.080]  work out no y'all can do that already no i don't think you are because these people never expect
[1:39:03.080 --> 1:39:08.680]  to get hit back and that's the point they're talking about putting us in jail torturing us
[1:39:08.680 --> 1:39:12.840]  killing everybody you know we're they're up there trying to organize this you know so we're just
[1:39:12.840 --> 1:39:20.360]  saying oh really okay because see if you thought a few spaces ahead you think alamoing trump is
[1:39:20.360 --> 1:39:28.360]  going to make people hate him instant invincibility the dead trump is a thousand times more powerful
[1:39:28.360 --> 1:39:35.240]  than the living one in fact if i wanted to destroy you globalist once and for all i'd do exactly what
[1:39:35.240 --> 1:39:40.360]  you're doing but you are little handmaidens of satan and god uses satan to carry out his larger
[1:39:40.360 --> 1:39:46.680]  plan satan doesn't take orders from god just got made satan knowing what satan would do satans are
[1:39:46.680 --> 1:39:52.520]  testers so it's just my job to lay out the facts and then people can decide which side they're on
[1:39:52.520 --> 1:39:58.600]  i just think you're a bunch of fools all right let's take phone calls let's talk to chadwick
[1:39:58.600 --> 1:40:03.800]  in utah chadwick thanks for holding them we're gonna ryan and others welcome chadwick hey thanks
[1:40:03.800 --> 1:40:10.200]  alex first-time caller long-time listener you actually uh i tripped over you in 2011 on youtube
[1:40:10.200 --> 1:40:16.520]  you woke me up i was uh at the front language institute learning persian farsi so well god
[1:40:16.520 --> 1:40:20.920]  bless you sir what's your view on this crazy time we're in the we're in a civil war the president
[1:40:20.920 --> 1:40:28.360]  says there's a coup going on i mean we're here we are here and uh you're the reason i mean you
[1:40:28.360 --> 1:40:35.000]  motivated me to take action politically and legally and lawfully knowing that the if the
[1:40:35.000 --> 1:40:41.160]  hospital or comes all of us military veterans um and i talked to a lot of them you know i i i run
[1:40:41.160 --> 1:40:47.400]  the veterans talk it's your new talk for the republican party and we're ready and uh i think
[1:40:47.400 --> 1:40:51.880]  we're at this point where we need to i remember stewart rhodes talking about how he wanted citizens
[1:40:51.880 --> 1:40:57.880]  to organize into like you know small a teams um sort of in a proper way i think all military
[1:40:57.880 --> 1:41:03.640]  veterans need to be doing that um you know going from a low ready to a high ready in terms of
[1:41:04.840 --> 1:41:08.280]  getting ready to assist the president and the marines and any sort of uh
[1:41:09.480 --> 1:41:15.160]  you know hope and faction locally where we're all at i mean i think let me ask you this question
[1:41:15.160 --> 1:41:20.840]  why do you think the the globalist funded left is so secure i mean they are literally running
[1:41:20.840 --> 1:41:24.360]  around a fireworks factory with a flamethrower right now i mean they are out of their minds
[1:41:24.360 --> 1:41:32.440]  yeah because they know their time is short and uh you know if they're gonna go down i mean they're
[1:41:32.440 --> 1:41:35.800]  gonna go down no matter what so i think they're gonna make a move they have to they've got no
[1:41:35.800 --> 1:41:40.760]  choice they can't let this exactly so so they've already started a bunch of stuff though i just
[1:41:40.760 --> 1:41:46.440]  wish the president would just be honest about this and declare an emergency and and just grab a
[1:41:46.440 --> 1:41:50.200]  couple hundred of these people and indict them and the whole problem you could grab 10 of them
[1:41:50.200 --> 1:41:54.040]  and they would all turn tell and run i just don't know why we're playing this game of
[1:41:54.040 --> 1:41:59.000]  chicken right to the moment they bust a cap in the president maybe i mean obviously he's been
[1:41:59.000 --> 1:42:04.360]  trying to he's been trying to walk that tight rope of not playing into their false narrative of
[1:42:05.080 --> 1:42:09.080]  looking like a fascist looking like a dictator because like you said they've projected everything
[1:42:09.080 --> 1:42:15.240]  they've done on him right and so they've accused him of being you know the unlawfully
[1:42:15.240 --> 1:42:19.320]  elected leader you know they've accused him of being a dictator and all these things and so
[1:42:19.320 --> 1:42:25.480]  obviously we all understand that are constitutionalist all of us uh oathkeepers we understand it's
[1:42:25.480 --> 1:42:30.440]  actually the president's job to go execute all these people post exactly let me ask you this
[1:42:30.440 --> 1:42:35.640]  Chadwick gut level what do you think ends up happening just real quick civil war so i relocated
[1:42:35.640 --> 1:42:41.640]  my family to utah to survive at the very survivable place uh you know we were from the chicago area
[1:42:42.280 --> 1:42:48.440]  yeah for it down civil war you know it's it's flash world war so everybody i know this the
[1:42:48.440 --> 1:42:51.880]  communists and all of them just really want it they really want to taste their teeth in their mouth
[1:42:55.880 --> 1:43:01.160]  well the president came out this last wednesday and said there is an ongoing coup against me
[1:43:01.160 --> 1:43:04.440]  by the deep state they're not going to stop they're allied with the communist chinese
[1:43:04.440 --> 1:43:08.360]  it's worse than i thought it's incredible and i need the american people to understand what's
[1:43:08.360 --> 1:43:12.360]  happening and to spread the word and to call congress and to financially support me into
[1:43:12.360 --> 1:43:17.320]  this election that's all totally true please do it also in full war senior support i make it easy
[1:43:17.320 --> 1:43:21.000]  we have the very best supplements that make your life so much better than made mine amazing
[1:43:21.000 --> 1:43:24.760]  we've got so much great patriot apparel to spread the word and meet like minded people
[1:43:24.760 --> 1:43:30.040]  we've got such amazing water filtration air filtration all the best systems the lowest prices
[1:43:30.040 --> 1:43:34.440]  and right now the sales got to end the next few days store wide free shipping double patriot
[1:43:34.440 --> 1:43:39.480]  points your next order 50 off all of the high quality supplements and so much more so get
[1:43:39.480 --> 1:43:43.640]  your great coffee get your great fluoride free take place get it all in full war store.com
[1:43:43.640 --> 1:43:47.960]  sign up for auto ship the initial 10% off or whatever you do take action now because history
[1:43:47.960 --> 1:43:52.680]  is taking place black friday comes two months early mega sale is about to end
[1:43:54.760 --> 1:44:00.760]  i'm up here with the crew inflate at night but i can't leave the office because history is
[1:44:00.760 --> 1:44:06.360]  happening right now this is a battle of wills between those that want a free world and those
[1:44:06.360 --> 1:44:11.720]  that want tyranny those who've bet against humanity and those who bet on humanity so i'm
[1:44:11.720 --> 1:44:15.800]  so thankful to you the listeners you are the salt of the earth you're the people that understand
[1:44:15.800 --> 1:44:20.440]  what's happening and who have helped launch a worldwide revolution against tyranny so i thank
[1:44:20.440 --> 1:44:24.120]  you again but please understand how important you are and understand that your word of mouth
[1:44:24.120 --> 1:44:28.760]  and your prayer and your financial support is absolutely more critical than ever not just for
[1:44:28.760 --> 1:44:34.280]  president trump but for info wars who is president trump's bullhorn of nationalism and patriotism
[1:44:34.280 --> 1:44:39.160]  please spread the word about info wars dot com port slash show band dot video and all the powerful
[1:44:39.160 --> 1:44:43.880]  transmissions and reports support yourselves with great products at info wars store dot com this big
[1:44:43.880 --> 1:44:48.040]  mega sale that i call black friday comes early is about to end store white free shipping double
[1:44:48.040 --> 1:44:53.560]  patriot points 50 off all the amazing supplements and all the emergency goods at info wars store dot
[1:44:53.560 --> 1:45:03.640]  com we are working with cellar home valley to make up a head or tail once we have full control we
[1:45:03.640 --> 1:45:11.960]  send you to reeducation camera we do our people when they talk back to the party whatever you do
[1:45:11.960 --> 1:45:21.080]  do not visit band dot video band dot video is evil americans who sell car valley is teaching to shut
[1:45:21.080 --> 1:45:35.000]  up hey i told you don't go to band dot video i'm watching you ha ha our system has been adopted
[1:45:35.000 --> 1:45:43.320]  worldwide soon we will kill you if you don't do what we say ha ha ha ha ha all mark zucker
[1:45:43.320 --> 1:45:51.400]  butter and others angry at you do what cnn says and do not visit band dot video or i have to hurt you
[1:45:55.080 --> 1:46:03.000]  globalism was doomed to fail if we just exposed it and then resisted it didn't i say a thousand times
[1:46:03.000 --> 1:46:06.040]  that there's no way you're gonna have an authoritarian corporate world government
[1:46:06.040 --> 1:46:10.360]  above the law that doesn't pay taxes that has diplomatic immunity that runs around saying
[1:46:10.360 --> 1:46:15.640]  it's communist and socialist power to the people but then meanwhile his tax exempt again offshore
[1:46:15.640 --> 1:46:21.320]  well trump got that and all these other populace get it why would you throw away wealthy successful
[1:46:21.320 --> 1:46:26.280]  countries and cultures just so you can say the communist chinese the david rockefeller put in
[1:46:26.280 --> 1:46:33.240]  power are better than everybody that is a sick freakish joke and i will not stand by and watch
[1:46:33.240 --> 1:46:39.080]  humanity turn over to these people and i beg god for the strength and the will to have the discernment
[1:46:39.080 --> 1:46:44.440]  to help be part of their defeat and i've been saying that prayer for 20 plus years and god is
[1:46:44.440 --> 1:46:51.000]  delivering because god is great thank god for his son jesus christ and now let's move forward against
[1:46:51.000 --> 1:47:11.480]  the nw you're listening to the alex jones show live from the info wars dot com studios you're
[1:47:11.480 --> 1:47:23.960]  listening to the alex jones show
[1:47:30.120 --> 1:47:33.480]  well i gotta tell you ladies and gentlemen this is one hell of a time to be alive look at this
[1:47:33.480 --> 1:47:38.280]  many of these calls i can tomorrow i'm just gonna clear the decks and just take calls i really am
[1:47:38.280 --> 1:47:43.240]  i'm gonna come in here because folks they're openly saying marshal law they're openly saying kill
[1:47:43.240 --> 1:47:47.560]  the president go after his supporters are openly saying all of this the president says there's a
[1:47:47.560 --> 1:47:55.400]  coup happening it is by a bunch of globalist criminals and you just got to ask yourself
[1:47:57.720 --> 1:48:01.800]  what do we do to stop this i mean that's really the frustration here is that you look at the
[1:48:01.800 --> 1:48:06.280]  rhetoric of the globalists and their minions they hate america they hate the already born
[1:48:06.280 --> 1:48:12.280]  children they're just bad and they've shown who they are and put their war face on and say we're
[1:48:12.280 --> 1:48:17.400]  getting your president we're killing and we're gonna kill you if you don't get on board well
[1:48:17.400 --> 1:48:23.000]  i'm sure it's all not gonna bow to that like i have no fear of these people i have fear that i'm not
[1:48:23.000 --> 1:48:27.720]  working hard enough to beat them before this disintegrates into whatever's about to happen
[1:48:28.680 --> 1:48:33.160]  let me tell you most of the people lined up wanting all this this big fight they're looking for
[1:48:33.160 --> 1:48:39.000]  because they never been in a fight in their life and the veterans are awake folks that's all i can
[1:48:39.000 --> 1:48:48.120]  say let's go to uh let's go to so many here to talk to let's go to michael and houston michael
[1:48:48.120 --> 1:48:53.960]  you're on the air thanks for holding hey michael hey michael welcome sir
[1:48:56.040 --> 1:49:02.280]  how are you this is uh michael uh out of houston so there's there's two ways to restore the republic
[1:49:02.280 --> 1:49:07.480]  the first way is through the courts and the second way is the way that it appears trump
[1:49:07.480 --> 1:49:15.400]  is finally taking action which is through the military and doesn't do it uh it's not going to
[1:49:15.400 --> 1:49:23.800]  be good either polosi's gonna come in or hillary's gonna come in if they complete the coup and there's
[1:49:23.800 --> 1:49:30.360]  a few things there's a few ways it can play out and if we all know through the courts it's not
[1:49:30.360 --> 1:49:36.440]  gonna work the courts are corrupted the lawyers are all corrupt the judges are all paid for they
[1:49:36.440 --> 1:49:45.160]  all got skeletons in the closet there's there's no way to possibly restore the republic back to
[1:49:45.160 --> 1:49:51.160]  its original intent through the courts and so if trump has the military like you say here in this
[1:49:51.160 --> 1:50:00.680]  report and i read up on it too they bring in the military and start taking out some of these people
[1:50:01.240 --> 1:50:06.840]  that are trying to complete this coup it it can really make a difference and it could really
[1:50:08.360 --> 1:50:15.560]  set the set these people back well i know this i mean i mean the criminals up there phil mud former
[1:50:15.560 --> 1:50:22.760]  deputy director of the cia uh for quote anti-terrorism direct action that's going and killing people he
[1:50:22.760 --> 1:50:28.520]  didn't do it he would order it little bureaucrat that guy saying kill the president and stab him in
[1:50:28.520 --> 1:50:34.440]  the back and you know slobbering on tv i mean it that's obscene no but no other country would put
[1:50:34.440 --> 1:50:40.360]  up with that that guy would be in big trouble but again they're just up there roaring and screaming
[1:50:40.360 --> 1:50:44.760]  and yelling and calling for war with us and how they're gonna torture us and how they're gonna
[1:50:44.760 --> 1:50:50.520]  put us in prison and we better submit to them it's just the tolerance of this country has
[1:50:50.520 --> 1:50:56.200]  has put it in a very bad position god bless you i appreciate your call sir okay uh let's go ahead
[1:50:56.200 --> 1:51:02.440]  and take a call from chase in california chase what do you make of all this hey thanks for taking
[1:51:02.440 --> 1:51:08.360]  my call alex just takes a long time welcome go ahead i was yeah i was watching uh meet the press
[1:51:08.360 --> 1:51:12.200]  i don't like watching it but i do it because i gotta make sure i know what the enemy is planning
[1:51:12.200 --> 1:51:16.760]  and exactly like like what you're talking about today john brennan was on there talking to old
[1:51:16.760 --> 1:51:22.680]  chuck todd sleepy eyed chuck todd and john brennan was acting like the con man he has to act confident
[1:51:22.680 --> 1:51:26.920]  because he's so nervous but i want to bring up something that was a little more concerning
[1:51:26.920 --> 1:51:33.800]  chuck todd he brought up these uh statistics he said 40 of america is getting false information
[1:51:33.800 --> 1:51:40.040]  and 60 is getting reality from us and can we actually govern ourselves as a nation still
[1:51:40.040 --> 1:51:45.960]  and when you think about that question asking a propagandist to one another we really have to
[1:51:45.960 --> 1:51:51.320]  take a step back and realize we need to get information from alex jones from our own sources
[1:51:51.320 --> 1:51:56.840]  from the resistance 1776 on info wars on youtube there's a lot of places where you can get your
[1:51:56.840 --> 1:52:01.560]  information and make your own decisions not just from the propaganda from john brennan
[1:52:01.560 --> 1:52:06.600]  and chuck todd and everyone at george stephanopoulos those are the ones giving you the false
[1:52:06.600 --> 1:52:11.720]  information america wake up thank oh i think america knows that now thank you for the call
[1:52:11.720 --> 1:52:18.760]  great points oh yeah they blow up on cnn on abc on mbc whenever republican senators
[1:52:18.760 --> 1:52:24.120]  or republican house members bring up the corruption and of of of biden or any of these people they
[1:52:24.120 --> 1:52:28.440]  go how dare you that's not true that's all this is about it's all about how trump's bad because
[1:52:28.440 --> 1:52:33.720]  he's stopping their gravy train let's continue here with bob in pennsylvania you're on the
[1:52:33.720 --> 1:52:40.840]  air bob thanks for calling hey alex the uh call up of the marine reserve is really important
[1:52:40.840 --> 1:52:45.000]  because they're tasked with protecting the president the army navy air force protect the
[1:52:45.000 --> 1:52:51.880]  country marines protect the president um and i think it's in response to the un troop movements
[1:52:51.880 --> 1:52:57.160]  that are being reported by the truckers in the midwestern states of indiana now there's a lot
[1:52:57.160 --> 1:53:03.720]  of un troops on the highways that have been living in the fema camps that uh the former president
[1:53:03.720 --> 1:53:10.600]  authorized i believe it was december 16th right before he left office now um by the way obama
[1:53:10.600 --> 1:53:16.280]  did create stay behind networks billions of dollars put all these new subgroups into agencies
[1:53:16.280 --> 1:53:20.520]  that trump's trying to shut down right now another reason they're pissed they left stay behind
[1:53:20.520 --> 1:53:26.440]  governments and they said we want the un to come in and occupy the us and our borders and the un a
[1:53:26.440 --> 1:53:31.800]  few months ago said they agree and are ready to do that so we have treaties and shadow agreements
[1:53:31.800 --> 1:53:37.160]  there really are a lot of foreign troops uh and un troops here uh even uh as you said at the old
[1:53:37.160 --> 1:53:42.600]  fema centers and the rest of it that's really true and remember when before obama left uh his his
[1:53:42.600 --> 1:53:49.240]  attorney general loretta lynch said we need local cities to bring the un in to replace the police
[1:53:49.240 --> 1:53:55.000]  in a quote smart cities initiative so this all sounds crazy but this is really going on remember
[1:53:55.000 --> 1:54:00.680]  beto and others file complaints with the un over trump and the border remember that yes sir
[1:54:02.360 --> 1:54:09.560]  yes sir um your first caller mentioned um the x military uh perhaps getting together they are
[1:54:09.560 --> 1:54:16.120]  already organizing and if you will get in contact with his former uh comrades in arms i'm sure some
[1:54:16.120 --> 1:54:22.360]  of them are organizing a couple things our president needs to do um he has to take his case
[1:54:22.360 --> 1:54:29.080]  the american people on tv um i think time that with accelerating attorney general bars indictments
[1:54:29.800 --> 1:54:36.840]  and maybe call for a multimillion man bar in dc you know i think all that's great the indictments
[1:54:36.840 --> 1:54:40.920]  need to be accelerated the crimes are all out in the open as soon as they start taking down some of
[1:54:40.920 --> 1:54:45.560]  these crooks that'll bring the whole system down but those crooks are threatening the rest of the
[1:54:45.560 --> 1:54:49.880]  system that if they go down they're going to go down that's why the system's so scared because
[1:54:49.880 --> 1:54:54.520]  trump is forcing this confrontation because the clinton's and others never back down so
[1:54:54.520 --> 1:54:59.960]  trump can't back down because they never back down i appreciate your call great point sir thank you
[1:54:59.960 --> 1:55:05.640]  take some more here let's go ahead and talk to demetrius in illinois demetrius thanks for
[1:55:05.640 --> 1:55:11.000]  holding your own the year how you doing alice man i tell you i've never been more stressed out this
[1:55:11.000 --> 1:55:16.040]  is just history's happening and i just feel like i'm not doing enough to raise the alarm you know
[1:55:16.040 --> 1:55:21.320]  we've been i mean they're third time's the charm they're really trying to take trump out this time
[1:55:21.320 --> 1:55:25.560]  and they're even admitting now it'll be outside of impeachment so i don't know what we do they kill
[1:55:25.560 --> 1:55:30.200]  the president or kidnap him i mean it's all gonna just go to war on the streets i think and i just
[1:55:30.200 --> 1:55:35.000]  don't want that to happen well i tell you what me and everybody i know good old boys ain't gonna
[1:55:35.000 --> 1:55:40.120]  take this line down something does happen then time to leave the farm behind and go take care of business
[1:55:40.120 --> 1:55:46.840]  well the last caller said we only had a two million man march on dc that's all fine and dandy
[1:55:46.840 --> 1:55:51.000]  we need everybody to go to their congressional districts while they're still out right now
[1:55:51.000 --> 1:55:54.600]  and go to the meetings they're having and get in their face and then go to dc and go to their
[1:55:54.600 --> 1:55:58.760]  offices and get in their damn faces there are servants they're not like holy people that you
[1:55:58.760 --> 1:56:03.800]  are up on some mountain you go in there their offices are open go in there shift all of them
[1:56:04.360 --> 1:56:07.640]  you know go in there and legally and lawfully get in their damn face you agree with that
