[00:00:01.000 --> 00:00:02.000]  It's too...
[03:05:25.700 --> 03:05:30.700]  So get your copy of The Great Reset and the War for the World, a signed copy at Infowars.com.
[03:05:30.700 --> 03:05:34.700]  And there is a markup there because this is a fundraiser to keep us on the air.
[03:05:34.700 --> 03:05:37.700]  So you won't just have this historic memento and this powerful book.
[03:05:37.700 --> 03:05:40.700]  You'll also know that you help keep Infowars on the air.
[03:05:40.700 --> 03:05:44.700]  I want to thank those of you that have gotten signed copies of the book or unsigned copies.
[03:05:44.700 --> 03:05:54.700]  But I want to encourage all of you who haven't yet to go to Infowars.com and get a signed copy and buy a couple of unsigned copies and donate to the library or give them to the local school.
[03:05:54.700 --> 03:05:57.700]  This is an Infowar. I'm counting on you and thank you for your support.
[03:06:01.700 --> 03:06:07.700]  What an amazing soldier of truth Owen Schroyer is and the whole team at Infowars, by the way.
[03:06:07.700 --> 03:06:10.700]  But Owen just powers on and powers on.
[03:06:10.700 --> 03:06:15.700]  He's such an inspiration to every single person that is out here telling the truth.
[03:06:15.700 --> 03:06:23.700]  Let me tell you today we have a breaking emergency broadcast information from Eagle Pass in Texas.
[03:06:23.700 --> 03:06:26.700]  We have footage that's gone viral, absolutely viral.
[03:06:26.700 --> 03:06:34.700]  Millions of views at this point of the progression of the invasion at the border.
[03:06:34.700 --> 03:06:39.700]  Military aged males being transported to a facility.
[03:06:39.700 --> 03:06:45.700]  And we've got today Lieutenant Colonel Pete Chambers, a former Green Beret special flight surgeon,
[03:06:45.700 --> 03:06:55.700]  who gave an informed consent briefing to 3,000 soldiers at the time of the injections and was told, you know, after that, only a few of those soldiers went ahead with the injections.
[03:06:55.700 --> 03:06:58.700]  He was subsequently relieved of his duties.
[03:06:58.700 --> 03:06:59.700]  Surprise, surprise.
[03:06:59.700 --> 03:07:05.700]  We've also got Christy Hutchison, a journalist from Women Fighting for America, who's been there, who's coming with this footage.
[03:07:06.700 --> 03:07:07.700]  I want to play the initial footage.
[03:07:07.700 --> 03:07:16.700]  If the team can play the video that they're playing now from the start with sound and then we'll get Christy and Doc Chambers on straight after that video with us.
[03:07:18.700 --> 03:07:20.700]  I am live in Eagle Pass, Texas.
[03:07:21.700 --> 03:07:38.700]  And what your audience is looking at right now is a military camp where they are housing and bringing young adult males of fighting age straight off the river on white buses into this facility.
[03:07:38.700 --> 03:07:45.700]  Those camps are used to bring in only young adult males, all of the males that you're seeing coming over the border.
[03:07:45.700 --> 03:07:47.700]  This is where they're housing them.
[03:07:47.700 --> 03:07:51.700]  This has been a plan coordinated effort to take down the United States of America.
[03:07:51.700 --> 03:07:53.700]  I believe like a Trojan horse from inside.
[03:07:53.700 --> 03:07:58.700]  So what can the people in Eagle Pass, Texas do in the county that you're in to stop what is happening?
[03:07:58.700 --> 03:08:00.700]  I mean, obviously you're there exposing it.
[03:08:00.700 --> 03:08:01.700]  What should they be doing?
[03:08:01.700 --> 03:08:06.700]  Our congressmen, our governors, they need to act and they need to act now.
[03:08:06.700 --> 03:08:09.700]  I'm telling America right now, stop living under a rock.
[03:08:09.700 --> 03:08:13.700]  This is an active, well-coordinated invasion into the nation.
[03:08:13.700 --> 03:08:17.700]  We have Iran's Revolutionary Guard and Cut Forces flying into Venezuela.
[03:08:17.700 --> 03:08:21.700]  The Venezuelan government is then giving them passports and proper documentation.
[03:08:21.700 --> 03:08:23.700]  They're being absorbed in these caravans.
[03:08:23.700 --> 03:08:26.700]  It's mostly Venezuelans coming in, all males.
[03:08:26.700 --> 03:08:33.700]  If you think that that fertilizer is not going to be utilized, those ammonium nitrate that can be used as massive bombs.
[03:08:33.700 --> 03:08:39.700]  Timothy McVeigh, when he blew up the Oklahoma City bombing, I think it was only two tons that he used.
[03:08:39.700 --> 03:08:41.700]  26 tons went missing.
[03:08:41.700 --> 03:08:48.700]  Is it going to take multiple little mini 9-11 events for America for you to wake up?
[03:08:48.700 --> 03:08:53.700]  So we all know, I mean, Pete Santilli was speaking about this, if you didn't catch it.
[03:08:53.700 --> 03:08:58.700]  30 tons of explosive chemicals have disappeared somewhere between Cheyenne and California.
[03:08:58.700 --> 03:09:05.700]  A rail car carrying 60,000 pounds of ammonium nitrate, a chemical used in explosives at Wyoming coal mines,
[03:09:05.700 --> 03:09:08.700]  left Cheyenne for California on the 12th of April.
[03:09:08.700 --> 03:09:10.700]  That's gone missing now.
[03:09:10.700 --> 03:09:13.700]  And so we think that this is potentially connected.
[03:09:13.700 --> 03:09:20.700]  It ties in with what Pete Santilli and Alex have been warning about, about this planned invasion, planned false flag attacks.
[03:09:20.700 --> 03:09:23.700]  Dr. Pete Chambers and Christy Hutchison, join us now.
[03:09:23.700 --> 03:09:26.700]  Thank you so much for coming on today, guys.
[03:09:26.700 --> 03:09:28.700]  Thank you for having us.
[03:09:28.700 --> 03:09:29.700]  Good day.
[03:09:29.700 --> 03:09:30.700]  It's wonderful.
[03:09:30.700 --> 03:09:31.700]  It's wonderful to see you both.
[03:09:31.700 --> 03:09:32.700]  It's great to see you both.
[03:09:32.700 --> 03:09:37.700]  So I guess from the beginning, this is really breaking stuff, what's happening.
[03:09:37.700 --> 03:09:39.700]  You've been out there, Christy.
[03:09:39.700 --> 03:09:47.700]  You went out to this camp, this military camp, and saw that there were fighting-aged males being brought in by buses.
[03:09:47.700 --> 03:09:50.700]  Take us through the situation from the start.
[03:09:50.700 --> 03:09:51.700]  Absolutely.
[03:09:51.700 --> 03:09:54.700]  Well, I was on the ground on Saturday.
[03:09:54.700 --> 03:10:00.700]  Saturday evening and Sunday, we went to a very specific spot underneath the bridge at the port of entry.
[03:10:00.700 --> 03:10:02.700]  And at that time, there was no containers.
[03:10:02.700 --> 03:10:05.700]  There was no bobbed wire in this particular area.
[03:10:05.700 --> 03:10:13.700]  We were met by numerous different law enforcement agencies, really agitated and upset that I was there and I was filming and exposing what was going on.
[03:10:13.700 --> 03:10:17.700]  They had six buses, white buses, staged.
[03:10:17.700 --> 03:10:23.700]  And they had, I would say, well, so how many individuals are on one of those buses?
[03:10:23.700 --> 03:10:25.700]  60, 70?
[03:10:25.700 --> 03:10:30.700]  So you're talking about 500, 600 individuals, single adult, young adult males.
[03:10:30.700 --> 03:10:33.700]  We filmed this live while this was going on.
[03:10:33.700 --> 03:10:41.700]  They were ushering them privately, processing them by the way, illegally processing them on the banks of the river, putting them on these buses.
[03:10:41.700 --> 03:10:44.700]  And then we wanted to figure out where they were being taken.
[03:10:44.700 --> 03:10:49.700]  We also have some intel on the ground that we work with some local law enforcement officers.
[03:10:49.700 --> 03:10:56.700]  And they pulled me aside and they said, Christy, not even the sheriffs, nobody knows that this particular military-style camp is there.
[03:10:56.700 --> 03:10:58.700]  They're housing the young adult males.
[03:10:58.700 --> 03:11:01.700]  This is where they're intaking them and outtaking them.
[03:11:01.700 --> 03:11:06.700]  So we got that location and off we went the very next day.
[03:11:06.700 --> 03:11:08.700]  We started exposing that.
[03:11:08.700 --> 03:11:14.700]  And in one of the videos, again, we're met with individuals writing up to us telling us we cannot be there, threatening us.
[03:11:14.700 --> 03:11:18.700]  And, of course, we stand our ground because we know what our constitutional rights are.
[03:11:18.700 --> 03:11:20.700]  So we were able to test this out.
[03:11:20.700 --> 03:11:23.700]  Who's telling you, Christy, who's telling you that you can't be there?
[03:11:23.700 --> 03:11:26.700]  Oh, I had DPS.
[03:11:27.700 --> 03:11:32.700]  I was on the private golf course because I went around to try to get it from a different angle.
[03:11:32.700 --> 03:11:40.700]  I was told and threatened that if I took one more step, they were going to physically, violently remove me off of public property.
[03:11:40.700 --> 03:11:49.700]  Me, an illegal American citizen, all the while they're letting illegals of young adult fighting against this nation.
[03:11:49.700 --> 03:11:52.700]  Well, this is absolutely astounding to me.
[03:11:52.700 --> 03:11:58.700]  So you've then, Colonel Pete Chambers, Dr. Pete Chambers, you've been involved now.
[03:11:58.700 --> 03:12:00.700]  You found out about this situation.
[03:12:00.700 --> 03:12:02.700]  I know you've been at the border for some time.
[03:12:02.700 --> 03:12:09.700]  Talk to us about your observations on the ground, and then we can talk about what's happened since this footage has gone viral.
[03:12:09.700 --> 03:12:10.700]  Perfect, Maria.
[03:12:10.700 --> 03:12:15.700]  So Christy called me and said, you need to get down here and look at this.
[03:12:15.700 --> 03:12:18.700]  Some other folks stepped in and said, all right, Doc, you need to get down that way.
[03:12:18.700 --> 03:12:20.700]  We're working on the border anyway.
[03:12:20.700 --> 03:12:29.700]  So getting down here, having been here for the past couple years in uniform, now I'm down here as a civilian, and I'm just helping out.
[03:12:29.700 --> 03:12:33.700]  And what I'm seeing is that the border is three times as many people coming.
[03:12:33.700 --> 03:12:35.700]  The numbers are out there.
[03:12:35.700 --> 03:12:36.700]  They're talking about apprehensions.
[03:12:36.700 --> 03:12:37.700]  They're not apprehending.
[03:12:37.700 --> 03:12:39.700]  They're turning around and releasing them out into the streets.
[03:12:39.700 --> 03:12:42.700]  This particular spot in Eagle Pass goes directly into town.
[03:12:42.700 --> 03:12:44.700]  There's a point of entry going overhead.
[03:12:44.700 --> 03:12:49.700]  And what we're seeing on the Mike side, on the Mexican side, is the federales are increasing their presence.
[03:12:49.700 --> 03:12:52.700]  And what they're doing is, and you can see the porta-potties coming up.
[03:12:52.700 --> 03:13:03.700]  And so thank goodness that Christy did what she did, because within 24 hours, 48 hours, a double-stack container wall was created, is being created as we speak.
[03:13:03.700 --> 03:13:12.700]  And 40-foot connexes are being double-stacked with concertina wire so that something could be done, because this is embarrassing to the current government.
[03:13:12.700 --> 03:13:14.700]  And so, look, we've got to get out here.
[03:13:14.700 --> 03:13:15.700]  That's what we're doing.
[03:13:16.700 --> 03:13:19.700]  So people will move and act on these things.
[03:13:19.700 --> 03:13:22.700]  All right, well, I've sent through some footage to the team this morning.
[03:13:22.700 --> 03:13:26.700]  We've had some technical difficulties with that footage coming through.
[03:13:26.700 --> 03:13:28.700]  As soon as they've got it, I'm sure they'll bring it up.
[03:13:28.700 --> 03:13:33.700]  We've got photos of some of the barbed wire that's being put up.
[03:13:33.700 --> 03:13:40.700]  We've also got footage of you, both of you, here it is, both of you in the car driving through this camp.
[03:13:40.700 --> 03:13:44.700]  Christy, can you describe what you saw inside this camp?
[03:13:45.700 --> 03:13:58.700]  So I'm not going to expose who the individual is right now, but one of a great patriot friend in law enforcement was able to, today, get us inside this camp because, like I said, they would not allow us in.
[03:13:58.700 --> 03:14:02.700]  I want you to see the sophistication and the equipment that is in this camp and how big.
[03:14:02.700 --> 03:14:04.700]  Right there is one of the intakes.
[03:14:04.700 --> 03:14:06.700]  The intake is bus-size.
[03:14:06.700 --> 03:14:12.700]  So two busloads, side-by-side, two buses side-by-side can go into that intake tent.
[03:14:12.700 --> 03:14:16.700]  Then on the back side, which you're going to see in just a minute, is the outtake.
[03:14:16.700 --> 03:14:21.700]  But in between there, there's about five to six massive tents in between.
[03:14:21.700 --> 03:14:23.700]  This is a massive operation.
[03:14:23.700 --> 03:14:25.700]  This is by the federal government.
[03:14:25.700 --> 03:14:27.700]  This is not local or state-ran.
[03:14:27.700 --> 03:14:31.700]  This is a federal operation, and this is a military-style camp.
[03:14:31.700 --> 03:14:34.700]  And by the way, no law enforcement.
[03:14:34.700 --> 03:14:40.700]  We've been on the phone with the sheriffs in numerous counties surrounding this, and every single one of them were shocked.
[03:14:40.700 --> 03:14:44.700]  They had no idea that this was even built and that this was an operation.
[03:14:44.700 --> 03:14:50.700]  Yeah, Maria, something I'd like to add, too, is we also learned that a company called Deployed Resources is running the contract.
[03:14:50.700 --> 03:14:56.700]  They got put in the queue ahead of other contractors on this, and these people are connected to Kamala Harris.
[03:14:56.700 --> 03:14:58.700]  The borders are.
[03:14:58.700 --> 03:15:04.700]  So it makes one wonder when you see Border Patrol, so this is a federal-controlled installation.
[03:15:04.700 --> 03:15:13.700]  It's empty right now, far as we can tell, but we were allowed access through our contact and doing the homework and then finding out who's contracting it.
[03:15:13.700 --> 03:15:16.700]  And it went up over 72 hours, and this is in his county.
[03:15:16.700 --> 03:15:21.700]  He has no idea that he's about to get this influx of extra illegals coming in.
[03:15:21.700 --> 03:15:27.700]  And if it is true that these people are going directly and they're from the border fighting HMALs, that's a concern.
[03:15:27.700 --> 03:15:29.700]  Oh, it's beyond a concern.
[03:15:29.700 --> 03:15:33.700]  I mean, this is, again, this is something that Alex has been warning about.
[03:15:33.700 --> 03:15:39.700]  He's had intel from the top levels saying that there is a planned series of false flag attacks.
[03:15:39.700 --> 03:15:44.700]  You know, Pete Santilli said, stay away from shopping centers, stay away from public places.
[03:15:44.700 --> 03:15:48.700]  There's clearly something more than just what we're seeing on the surface.
[03:15:48.700 --> 03:15:49.700]  Don't go anywhere.
[03:15:49.700 --> 03:15:54.700]  We'll be right back with more of this from Lieutenant Colonel Chambers and Christy Hutchison.
[03:15:54.900 --> 03:16:11.539]  You need to get coordinated with not only your food, but also your health supplements
[03:16:11.539 --> 03:16:14.180]  because it's going to be a matter of life and death.
[03:16:14.180 --> 03:16:16.180]  So support InfoWars store.
[03:16:16.180 --> 03:16:20.619]  Listen, you need to put it as a priority because you don't know.
[03:16:20.619 --> 03:16:21.619]  I don't know.
[03:16:21.619 --> 03:16:24.900]  They're telling you how late it is before midnight strikes.
[03:16:24.900 --> 03:16:29.500]  And again, magnesium is critical for your muscles and everything.
[03:16:29.500 --> 03:16:30.500]  Krill oil.
[03:16:30.500 --> 03:16:36.619]  What I'm watching right before my eyes is a composite overview of nutritional supplements
[03:16:36.619 --> 03:16:38.220]  that will keep you alive.
[03:16:38.220 --> 03:16:42.140]  And I would urge everyone, maybe you don't take vitamins, maybe you don't take nutritional
[03:16:42.140 --> 03:16:44.580]  supplements, but the day will come.
[03:16:44.580 --> 03:16:48.539]  Vitamin C and zinc, absolutely imperative for the cold DNA force.
[03:16:49.380 --> 03:16:50.380]  Mineral fusion.
[03:16:50.380 --> 03:16:51.380]  Absolutely.
[03:16:51.380 --> 03:16:54.380]  As you're drinking filtered water, a lot of it will become demineralized.
[03:16:54.380 --> 03:16:57.539]  You have to have these products.
[03:16:57.539 --> 03:16:59.699]  Sold out for more than a year.
[03:16:59.699 --> 03:17:04.900]  We now have back in stock a limited run of our extremely popular tooth whitening coral
[03:17:04.900 --> 03:17:10.859]  calcium toothpaste full of essential oils back in stock and InfoWarsStore.com.
[03:17:10.859 --> 03:17:15.180]  Another great product sold out for almost a year is our activated charcoal essential
[03:17:15.180 --> 03:17:16.980]  oil toothpaste as well.
[03:17:16.980 --> 03:17:22.060]  These are both incredible for your gums, polish your teeth, amazing to counter gingivitis,
[03:17:22.060 --> 03:17:23.060]  and they fund the InfoWars.
[03:17:23.060 --> 03:17:25.859]  There are no fillers in these products.
[03:17:25.859 --> 03:17:32.140]  These are fluoride free, next level toothpaste, 10,000 of each tube, limited run, available
[03:17:32.140 --> 03:17:35.140]  exclusively at InfoWarsStore.com.
[03:17:35.140 --> 03:17:39.660]  And your purchase funds the operation, plus these are incredible products you need.
[03:17:39.660 --> 03:17:43.779]  So the coral calcium tooth whitening and the activated charcoal essential oil toothpaste
[03:17:43.779 --> 03:17:47.740]  are now both back in stock at InfoWarsStore.com.
[03:17:47.740 --> 03:17:51.699]  I thank you for your support, but regardless, these are great products you need, so take
[03:17:51.699 --> 03:17:52.699]  action now.
[03:17:52.699 --> 03:17:57.100]  Go to InfoWarsStore.com for both this great toothpaste back in stock.
[03:17:57.100 --> 03:18:00.980]  This is Adam King, host of the Adam King Show, joined by the one and only Greg Reese of the
[03:18:00.980 --> 03:18:01.980]  Reese Report.
[03:18:01.980 --> 03:18:05.539]  We wanted to hop on and send everybody to InfoWarsStore.com.
[03:18:05.539 --> 03:18:12.820]  Click this QR code right above Greg Reese, buy yourself a Faraday cage, super male vitality,
[03:18:12.820 --> 03:18:14.100]  or what Greg has.
[03:18:14.100 --> 03:18:15.460]  Greg, what do you got there?
[03:18:15.460 --> 03:18:19.619]  If you really want to treat yourself to something nice, get yourself an Alexa Pure water filter
[03:18:19.619 --> 03:18:24.500]  and get clean, healthy water whenever you want it, wherever you want it.
[03:18:24.500 --> 03:18:29.820]  Even if the water pressure goes out, the gravity fed water filter has got you covered.
[03:18:29.820 --> 03:18:31.539]  Absolutely.
[03:18:31.539 --> 03:18:36.619]  And we couldn't do any of this without listener support.
[03:18:36.619 --> 03:18:41.260]  I was telling Greg earlier, we're like the real NPR, the real NPR of the base, right?
[03:18:41.260 --> 03:18:44.340]  So click that QR code right there on your screen right now.
[03:18:44.340 --> 03:18:45.340]  Take out your phone.
[03:18:45.340 --> 03:18:46.340]  Click that QR code.
[03:18:46.340 --> 03:18:48.500]  It'll take you directly to InfoWarsStore.com.
[03:18:48.500 --> 03:18:49.619]  Buy something.
[03:18:49.619 --> 03:18:50.619]  Support the InfoWars.
[03:18:50.619 --> 03:18:54.180]  Keep Alex Jones, Lauren Troyer, Harrison Smith, Greg Reese, Adam King, and the rest of us on
[03:18:54.180 --> 03:18:55.180]  air.
[03:18:55.180 --> 03:18:56.180]  Do it today.
[03:18:56.180 --> 03:18:57.180]  Do it now.
[03:18:57.180 --> 03:18:58.180]  Support the InfoWars.
[03:18:58.180 --> 03:19:02.900]  Ladies and gentlemen, the truth, the solution is laying right there in front of you, hidden
[03:19:02.900 --> 03:19:04.539]  in plain view.
[03:19:04.539 --> 03:19:07.260]  Please listen to me in the next 60 seconds.
[03:19:07.260 --> 03:19:11.539]  If you go to Wikipedia, it has links to the UN's own website where they admit the number
[03:19:11.539 --> 03:19:16.779]  one cause of cognitive disability in the world is iodine deficiency.
[03:19:16.779 --> 03:19:24.060]  The number one preventable cause of intellectual disability is lack of real, pure iodine in
[03:19:24.060 --> 03:19:30.380]  the body as they bomb us with the bad halogens, bromine, bromide, chlorine, and so much more.
[03:19:30.380 --> 03:19:36.539]  Upwards of 2 billion people in a Lancet Medical Journal study in 2007 worldwide have cognitive
[03:19:36.539 --> 03:19:40.460]  disabilities because they don't have high quality iodine.
[03:19:40.460 --> 03:19:42.699]  Most iodine is bound to other elements, you don't absorb it.
[03:19:42.699 --> 03:19:48.180]  We have X3, all three types of good iodine together that supercharges your body.
[03:19:48.180 --> 03:19:50.500]  X3 is now back in stock at InfoWarsStore.com.
[03:19:50.500 --> 03:19:54.380]  It's been sold out for over six months for 25% off.
[03:19:54.380 --> 03:19:55.779]  X3 back in stock.
[03:19:55.779 --> 03:19:56.779]  Take action now.
[03:19:56.779 --> 03:19:57.779]  InfoWarsStore.com.
[03:19:57.779 --> 03:20:04.420]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:20:05.900 --> 03:20:17.380]  Welcome back to the Alex Jones Show, I'm your guest host, Maria Zee of zmedia.com.
[03:20:17.380 --> 03:20:22.140]  We are here with an emergency broadcast with Lieutenant Colonel Pete Chambers and Christy
[03:20:22.140 --> 03:20:26.500]  Hutchison, who's a journalist exposing this invasion.
[03:20:26.500 --> 03:20:31.300]  Military age males being brought to government run camps, and it's exclusively males that
[03:20:31.300 --> 03:20:33.900]  are being brought in on these white buses.
[03:20:33.900 --> 03:20:38.500]  We know that Infowars has done such a great job, Owen's done a great job exposing what's
[03:20:38.500 --> 03:20:41.140]  happening there at the border, but this is next level.
[03:20:41.140 --> 03:20:43.100]  I have more questions, guys.
[03:20:43.100 --> 03:20:47.240]  So first of all, you mentioned people from Venezuela.
[03:20:47.240 --> 03:20:51.779]  What is the likely demographic of these males that are being transported?
[03:20:51.779 --> 03:20:58.420]  Yeah, so the intel that we're getting after talking to numerous different agencies who
[03:20:58.420 --> 03:21:02.800]  are helping to facilitate the processing of them, they are all saying consistently most
[03:21:02.800 --> 03:21:06.160]  everyone that they're seeing are from Venezuela at this point.
[03:21:06.160 --> 03:21:10.600]  One of my concerns, Maria, we've been doing some intel on this for a very long time.
[03:21:10.600 --> 03:21:15.000]  We went all the way back to the summer of last year, looking at some aircraft that took
[03:21:15.000 --> 03:21:21.960]  off a mysterious plane, and we started looking at cargo and container and air traffic.
[03:21:21.960 --> 03:21:26.420]  We know that Iran's Revolutionary Guard has taken off from Iran.
[03:21:26.420 --> 03:21:28.560]  They go into Venezuela, Caracas.
[03:21:28.560 --> 03:21:32.080]  They also have landed in Mexico and in Buenos Aires.
[03:21:32.080 --> 03:21:36.760]  On there, not only was there one of the head leaders for Iran's Revolutionary Guard flying
[03:21:36.760 --> 03:21:42.600]  this U.S.-sanctioned aircraft, but they also had highly sophisticated cyber-intelligence
[03:21:42.600 --> 03:21:43.600]  equipment.
[03:21:43.600 --> 03:21:47.119]  Fourteen Venezuelans were cyber-intelligence operatives.
[03:21:47.119 --> 03:21:52.859]  We know this because Uruguay turned this plane around because they ran the actual numbers
[03:21:52.859 --> 03:21:57.080]  on the plane and were able to tell that it was a U.S.-sanctioned aircraft.
[03:21:57.080 --> 03:22:00.480]  But what our also intel is learned twofold.
[03:22:00.480 --> 03:22:07.039]  One that the Iranian, Iran is sending their guardsmen and Quds forces to Venezuela.
[03:22:07.039 --> 03:22:12.600]  Then the Venezuelan government currently, Maria, is giving them passports and documentation,
[03:22:12.600 --> 03:22:15.520]  legal documentation stating that they're Venezuelan citizens.
[03:22:15.520 --> 03:22:20.000]  And then they're utilizing that documentation, we believe, to embed themselves in these caravans
[03:22:20.000 --> 03:22:22.760]  and come over the border and asking for asylum.
[03:22:22.760 --> 03:22:28.240]  The other part of that is, we know for a fact, we've identified three training camps
[03:22:28.240 --> 03:22:33.000]  that the cartels are utilizing and they're actively training with the Iran's Revolutionary
[03:22:33.000 --> 03:22:38.119]  Guard right here along the Texas and Arizona borders.
[03:22:38.119 --> 03:22:42.640]  So on the camps, Lieutenant Colonel Chambers, maybe you can speak to this.
[03:22:42.640 --> 03:22:47.680]  With your history, did you notice any particular training areas within the facility that are
[03:22:47.680 --> 03:22:52.480]  likely used to train military men?
[03:22:53.199 --> 03:22:54.199]  Yeah, great question.
[03:22:54.199 --> 03:22:56.800]  I think that this is more like a reception facility.
[03:22:56.800 --> 03:23:00.840]  Because when we go, let's say I go to a basic training and go to a reception site first,
[03:23:00.840 --> 03:23:05.039]  this looks more like that because of the way that it's up against a large avenue of
[03:23:05.039 --> 03:23:06.039]  approach.
[03:23:06.039 --> 03:23:08.279]  If I was to do a training area, I would do it somewhere away.
[03:23:08.279 --> 03:23:11.640]  But I think in the darkness of night, you have the fences all blocked out.
[03:23:11.640 --> 03:23:16.720]  You have bus bays that are blocked from view because this is a problem you've been seeing
[03:23:16.720 --> 03:23:20.680]  with some of the other InfoWare people trying to get video of them loading.
[03:23:20.680 --> 03:23:23.359]  You're not getting those anymore when you put them inside these camps with double wall
[03:23:23.359 --> 03:23:24.359]  closures.
[03:23:24.359 --> 03:23:27.680]  Now, there's another important point, history.
[03:23:27.680 --> 03:23:33.000]  History shows that the Quds Force were the same people that we fought in Iraq and Afghanistan
[03:23:33.000 --> 03:23:39.560]  that trained those fighters, Motti Army, etc., how to use organophosphates, this type
[03:23:39.560 --> 03:23:41.320]  of material that's been stolen.
[03:23:41.320 --> 03:23:45.279]  I have no connection between that just yet, but we've got to consider the most dangerous
[03:23:45.279 --> 03:23:46.600]  course of action.
[03:23:46.600 --> 03:23:50.760]  These type of bombs, homemade explosives, can be formulated, and that is a typical
[03:23:50.760 --> 03:23:53.160]  technique used by Quds Force.
[03:23:53.160 --> 03:23:58.199]  And the arrangement between Venezuela and Iran is not new.
[03:23:58.199 --> 03:24:00.160]  This has been decades in the making.
[03:24:00.160 --> 03:24:02.320]  They've been training down there for decades.
[03:24:02.320 --> 03:24:06.520]  So we have to look at all these factors, and then that's where we do analysis and we figure
[03:24:06.520 --> 03:24:07.520]  it out.
[03:24:07.520 --> 03:24:11.920]  And so we're measuring three times right now, just a couple months, but it'll happen.
[03:24:11.920 --> 03:24:13.640]  We'll figure it out.
[03:24:13.640 --> 03:24:19.440]  Do we have any indication as to whether they'll be arming these people within these camps?
[03:24:19.440 --> 03:24:21.240]  No indication from my standpoint.
[03:24:21.240 --> 03:24:24.640]  Nothing within this camp that was visualized, but it doesn't mean we're not going to stop
[03:24:24.640 --> 03:24:28.680]  trying because if enough people hear this, this is the importance of your show, of all
[03:24:28.680 --> 03:24:29.680]  these shows.
[03:24:29.680 --> 03:24:33.840]  Is it enough people start paying attention, we'll get the eyes out there and somebody
[03:24:33.840 --> 03:24:34.840]  will come forward.
[03:24:34.840 --> 03:24:39.840]  The whistleblower right now is the Paul Revere, and that's what we need.
[03:24:39.840 --> 03:24:50.160]  Maria, if you go back over two years almost into the Biden administration, me and my team
[03:24:50.160 --> 03:24:55.119]  had followed some of this activity all the way up into outside of Alma, Michigan.
[03:24:55.119 --> 03:24:59.699]  We know for a fact that they've taken either at-risk boys' youth camps, they've also taken
[03:24:59.699 --> 03:25:06.380]  senior living facilities, and through NGOs for some of this, and then through the military
[03:25:06.500 --> 03:25:10.779]  have turned in some of these private properties where they were purchased, and now they're
[03:25:10.779 --> 03:25:12.220]  fortified camps.
[03:25:12.220 --> 03:25:14.500]  We are going to get to the bottom of this.
[03:25:14.500 --> 03:25:18.980]  Two weeks before Christmas this past year in Yuma sector in St. Louis County, I was
[03:25:18.980 --> 03:25:22.779]  riding along with my dear friend, police chief Jessup at the time.
[03:25:22.779 --> 03:25:28.260]  We also uncovered one of the biggest, most sophisticated tunnels ever found on US soil.
[03:25:28.260 --> 03:25:33.020]  So much so that when we rolled in and found this tunnel, the Biden administration had
[03:25:33.020 --> 03:25:37.420]  scientists there, a three-letter agency, and a special division in Homeland Security.
[03:25:37.420 --> 03:25:40.220]  This particular tunnel, why is it of interest?
[03:25:40.220 --> 03:25:44.380]  It had fortified walls and ceilings, 25 feet underneath the ground, rail system ventilation,
[03:25:44.380 --> 03:25:48.820]  fiber optics, air conditioning, and electricity.
[03:25:48.820 --> 03:25:53.660]  It was four and a half football fields long, started in a warehouse, came up in a home
[03:25:53.660 --> 03:25:55.180]  across the way.
[03:25:55.180 --> 03:25:56.740]  What were the scientists doing down there?
[03:25:56.740 --> 03:25:57.740]  What are they looking for?
[03:25:57.740 --> 03:25:58.740]  Are they looking for particles?
[03:25:58.740 --> 03:26:00.940]  Are they looking for bioweapons?
[03:26:00.940 --> 03:26:07.539]  We have a very serious national security threat imminent at our doors if not only the
[03:26:07.539 --> 03:26:11.060]  people don't act, but our legislators do not act.
[03:26:11.060 --> 03:26:14.260]  Well, you're speaking to a wider problem, Christy.
[03:26:14.260 --> 03:26:19.340]  It's not just, I mean, what we're seeing on the surface with the border is the result
[03:26:19.340 --> 03:26:25.619]  of the deep state destroying this country for some time, and we're actively working
[03:26:25.619 --> 03:26:30.020]  against the people of America, the people of the whole world.
[03:26:30.100 --> 03:26:36.539]  When you reference biolabs, we only know what's been discovered in Ukraine, the Doherty Institute
[03:26:36.539 --> 03:26:41.980]  in Australia, their connection to the biolabs in Ukraine, collecting blood serum samples
[03:26:41.980 --> 03:26:49.340]  and God knows what else to create gene-specific bioweapons or carry out specific attacks on
[03:26:49.340 --> 03:26:51.859]  certain races.
[03:26:51.859 --> 03:26:56.300]  This is something that we now have evidence of that was exposed by the Russian Ministry
[03:26:56.300 --> 03:26:57.300]  of Defense.
[03:26:57.300 --> 03:26:59.779]  Who knows what else is happening underground?
[03:27:00.539 --> 03:27:02.619]  Everything that you're saying is not a stretch.
[03:27:02.619 --> 03:27:07.060]  And again, what we're seeing now, everything that you and Lieutenant Colonel Chambers are
[03:27:07.060 --> 03:27:11.980]  talking about today is really just a symptom of the greater problem.
[03:27:11.980 --> 03:27:17.340]  But I don't trust these governments, I don't trust these people that are installed by the
[03:27:17.340 --> 03:27:21.060]  New World Order to destroy our countries, to destroy the West.
[03:27:21.060 --> 03:27:25.580]  And I fear there's something much more sinister here, particularly again in light of the intel
[03:27:25.580 --> 03:27:28.740]  that both Alex and Pete Santilli have been bringing forward.
