[00:00.000 --> 00:02.000]  it
[3:17:38.220 --> 3:17:42.940]  helping thousands of people get back to a healthier heart don't just take my word for it check out all
[3:17:42.940 --> 3:17:53.020]  of the success stories at hbxtrack dot com or to order call 866-295-5305 that's 866-295-5305
[3:17:53.020 --> 3:18:00.380]  hbxtrack dot com don't risk it when you can take charge of it well i've got some really good news
[3:18:00.380 --> 3:18:03.820]  for all the viewers and all the listeners this was going to be a big loss because we couldn't
[3:18:03.820 --> 3:18:07.900]  get the deep earth crystals anymore 20 year and a half fight but we have the original producer
[3:18:07.900 --> 3:18:14.220]  the original crystal source the best atomic iodide in the world x2 is back we got it this deal
[3:18:14.220 --> 3:18:18.700]  just happened about a month ago we rushed it into production it's been bottled the labels are being
[3:18:18.700 --> 3:18:24.460]  put on today and that it's going to be on an 18-wheeler right here to austin from the plant in the
[3:18:24.460 --> 3:18:29.340]  rockies and it's going to be shipped out to you be sure and sign up for autoship get an additional
[3:18:29.340 --> 3:18:34.940]  10 percent off the 25 percent off celebration of the fact that we got it back and we're relaunching
[3:18:34.940 --> 3:18:39.820]  research the iodide conspiracy find out why it's so important find out what the globalists don't
[3:18:39.820 --> 3:18:45.660]  want you to have the good halogen what you have the bad halogens at infowarstore.com that's the
[3:18:45.660 --> 3:18:50.940]  umbrella site enforcelife.com makes you write the supplements and this is the king daddy
[3:18:51.740 --> 3:18:57.180]  ladies and gentlemen it is x2 original now back at infowarstore.com
[3:18:58.620 --> 3:19:03.340]  it's time to show them what a real alpha male looks like with one of our most powerful products
[3:19:03.340 --> 3:19:10.220]  ever made alpha power at 50 percent off as you age your body can lose testosterone over time
[3:19:10.220 --> 3:19:15.180]  with the incredible ingredients in this formula we can help you feed the test of time and assist
[3:19:15.180 --> 3:19:20.700]  in restoring that lost energy and moves that comes with time and age alpha powers incredible
[3:19:20.700 --> 3:19:25.340]  ingredients can help you boost your sports performance or enhance your day-to-day life with
[3:19:25.340 --> 3:19:32.140]  ease while encouraging hormonal balance perfect by itself or with super male vitality in the true
[3:19:32.140 --> 3:19:37.660]  alpha male pack alpha power can help boost performance help maintain normal testosterone
[3:19:37.660 --> 3:19:43.420]  levels support healthy cholesterol and more let alpha power help bring you to the peak of your
[3:19:43.420 --> 3:19:48.860]  optimal health don't fall short on energy in the fight against tyranny show the world what a true
[3:19:48.860 --> 3:19:55.020]  alpha male looks like today with alpha power at 50 percent off only at the infowarstore
[3:19:55.020 --> 3:20:07.820]  you're listening to the alex jones show
[3:20:25.660 --> 3:20:35.340]  okay just finishing up a thought that occurred to me you know this ayak cortez
[3:20:36.460 --> 3:20:41.820]  what she's engaged in and it's getting blatant not only her almost all of the radical
[3:20:42.780 --> 3:20:48.860]  communists slash democrats are now using straight from hitler gobbles the big lie
[3:20:48.860 --> 3:20:56.060]  they well the main point i think of the interview with the wells fargo executive was so that ayak
[3:20:56.060 --> 3:21:02.620]  could screech about putting children in cages children in cages children in cages it's pure
[3:21:02.620 --> 3:21:10.380]  hitler propaganda just keep repeating a big lie and the dunning kruger democrats the morons
[3:21:10.380 --> 3:21:16.460]  they're laughing it up oh my god trump is evil he's putting children in cages the fact of it
[3:21:16.460 --> 3:21:22.940]  means nothing the truth of it absolutely means nothing and what i would like to say now when
[3:21:22.940 --> 3:21:28.460]  you're being accused basically of you know torturing children everything but genocide
[3:21:28.460 --> 3:21:33.820]  we're called racist we're called nazis trump is called a nazi after charlottesville which is
[3:21:33.820 --> 3:21:40.220]  if you ever see the transcripts 100 out of context he never said the you know alt right nazis with
[3:21:40.220 --> 3:21:45.580]  the uh torches were good guys it wasn't at all at all but that's another big lie they just
[3:21:45.580 --> 3:21:51.900]  say it say it and say it and it sticks so my reaction is it's time to take off the gloves
[3:21:53.260 --> 3:22:02.460]  just like the islamists the communists lie their secular religion of communism has taqiyah
[3:22:03.020 --> 3:22:09.980]  exactly the same like the jihad islamists if it furthers communism then you can deny you're
[3:22:09.980 --> 3:22:16.140]  communist just like you can deny you're an islamist i'm a moderate muslim you can say i'm a just a
[3:22:16.140 --> 3:22:22.860]  moderate dem sock democrat socialist i'm not a communist every time i would hammer them i i
[3:22:22.860 --> 3:22:29.180]  personally call call them communists call them lying communists point out to everyone that
[3:22:29.180 --> 3:22:37.580]  communists feel justified in lying because to them the central tenet of marxism is the end
[3:22:37.580 --> 3:22:46.300]  justifies the means so lying to gull us rubes out in flyover country is just a tactic so there's no
[3:22:46.300 --> 3:22:52.940]  point in being polite back to these people call them communists remind everyone communists and
[3:22:52.940 --> 3:22:59.820]  socialists killed over a hundred million innocent people in the 20th century and now they're lining
[3:22:59.820 --> 3:23:06.060]  up to do it again aok has the nerve to say that capitalism is unsustainable and irredeemable
[3:23:06.060 --> 3:23:12.380]  hello has she studied what's happening in venezuela the only solution for any country like venezuela
[3:23:12.380 --> 3:23:16.780]  is the free market i don't even like using the term capitalism that's using the enemy
[3:23:16.780 --> 3:23:24.380]  vocabulary it's free market economics free versus planned socialist economy which always
[3:23:24.380 --> 3:23:30.940]  results in a disaster but it's not a disaster for the people in charge if you're one of the elite
[3:23:30.940 --> 3:23:35.420]  the people in the street can be eating each other they can be in you know diving in dumpsters they
[3:23:35.420 --> 3:23:41.020]  can be selling children it doesn't matter because your hold on power becomes more strong and you're
[3:23:41.020 --> 3:23:46.140]  always going to be able to use your secret police to hide the fact that you are still you're living
[3:23:46.140 --> 3:23:51.900]  the high life flying helicopters and private jets even just like north korea but but hidden
[3:23:51.900 --> 3:23:59.180]  except instead of a starving north korea it's a starving venezuela so when aok aok should never get
[3:23:59.180 --> 3:24:06.940]  a free pass to say that socialism is the answer socialism is communism the ussr was not called
[3:24:06.940 --> 3:24:14.940]  the union of communist republics it was called the union of soviet socialist republics the
[3:24:14.940 --> 3:24:20.940]  communist country its name was socialist not communist and it's a central planet of marxism
[3:24:20.940 --> 3:24:26.620]  that socialism is just a pathway to communism and we need to get on this and stay on it like a
[3:24:26.620 --> 3:24:33.980]  bulldog now just a just a quick reminder about the infowars store i know it goes on but this can't
[3:24:33.980 --> 3:24:41.100]  be stated enough there are fewer and fewer channels open for the truth and the and the alex jones show
[3:24:41.100 --> 3:24:47.020]  that i'm privileged to be sitting here today the alex jones show is one of them i mean i just saw
[3:24:47.020 --> 3:24:52.940]  the uh the clips that were put together that that alex showed last hour with the uh you know the
[3:24:52.940 --> 3:24:59.340]  the youtube woman explaining why all these bands happened and and it's it's just ridiculous they
[3:24:59.340 --> 3:25:05.740]  were they are willing to live to take things out of context spend things 180 degrees and use them
[3:25:05.740 --> 3:25:13.260]  as an excuse to shut down conservatives and libertarians meanwhile antifa no holds barred so
[3:25:13.900 --> 3:25:20.060]  if you have if you have um you know a couple bucks and you want to keep a great program on the air
[3:25:20.060 --> 3:25:28.460]  the infowars store is having a mega sale right now free shipping double patriot points all supplements
[3:25:28.460 --> 3:25:36.700]  50 off free shipping everything double patriot points everything brain force survival shield
[3:25:36.700 --> 3:25:43.820]  super male vitality alpha power super blue 50 off everything now i just over the last couple
[3:25:43.820 --> 3:25:49.260]  days i went to a funeral up in virginia driving from florida solo i wish i had a picture of the
[3:25:49.260 --> 3:25:59.740]  back of my suv i had a i had a seal trident i had a a infowars sticker they're all on magnets so i
[3:25:59.740 --> 3:26:05.980]  can pull them off i'm not stupid and i had a a gadstein flag and i had a trump make america
[3:26:05.980 --> 3:26:12.060]  great again bumper sticker so i must have been passed or passed 10 000 cars in that two-day drive up
[3:26:12.060 --> 3:26:17.340]  and back and i was proud to do it you've got to get out and represent what they're trying to do is
[3:26:17.340 --> 3:26:22.780]  call us into silence and this is what this is what's not only happening in america if you've
[3:26:22.780 --> 3:26:29.980]  been following tommy robinson if you haven't seen the video called pano drama which is named it's a
[3:26:29.980 --> 3:26:37.580]  play on the the word panorama which is like a a 60 minutes of the bbc tommy robinson did a sting
[3:26:37.580 --> 3:26:42.700]  on these guys where they thought they were coming to interview him and he had clips undercover clips
[3:26:42.700 --> 3:26:49.420]  of these these pano panorama executives talking about how they were going to lie about tommy
[3:26:49.420 --> 3:26:54.620]  splice things together how that the entire project was called tommy takedown this was just the most
[3:26:54.620 --> 3:27:01.180]  broad video now tommy's only up still on youtube when this video came out he was kicked off of
[3:27:01.180 --> 3:27:07.020]  facebook with the help of islamist communist groups like hope not eight eight they're always
[3:27:07.020 --> 3:27:13.180]  they always named themselves by a lie he was taken right off of facebook he's been off of twitter
[3:27:13.180 --> 3:27:18.860]  and he's taken off of instagram so what they're doing is they're cornering us they're marginalizing
[3:27:18.860 --> 3:27:26.060]  us they're pushing us into the edges i myself the day after pano drama came out i put a link
[3:27:26.060 --> 3:27:32.860]  on facebook just a link to a youtube video which was not a band youtube video it's still on youtube
[3:27:32.860 --> 3:27:39.100]  i put the pano drama link up and i got my seventh 30 day facebook suspension or ban
[3:27:39.740 --> 3:27:43.900]  in the last year and a half so they give me basically a month then they find a reason to
[3:27:43.900 --> 3:27:49.020]  kick me off for a month and i don't know this time it's like the day after st patrick's day i'm due
[3:27:49.020 --> 3:27:53.180]  to come out of the cooler you know i'm like the cooler king on facebook i'm due to come out of
[3:27:53.180 --> 3:27:59.420]  the cooler if somebody give me a baseball uh mitt you know like uh steve mcqueen anyway i get back
[3:27:59.420 --> 3:28:03.580]  home facebook in a few days but i don't know if i'm going to do it now i just don't think that it's
[3:28:03.580 --> 3:28:07.420]  worth it you're just begging to be on enemy territory like people have suggested i go back
[3:28:07.420 --> 3:28:13.580]  to twitter under a new name i won't do it i'm not gonna you know disguise myself and sneak into a
[3:28:13.580 --> 3:28:18.940]  club where they already threw me on the street i just won't do it so in the next segment when we
[3:28:18.940 --> 3:28:24.780]  come back i want to talk about some some social media options and alternatives and strategies
[3:28:24.780 --> 3:28:31.900]  where this is all going because clearly they're trying to box us out shut us down and silence us
[3:28:32.620 --> 3:28:39.260]  that's why it's so important that you support the alex jones show buy the products be a contributor
[3:28:39.260 --> 3:28:45.020]  you know and and keep this going because literally we are holding the torch of freedom if we don't
[3:28:45.020 --> 3:28:50.460]  nobody will the deep state rino they won't you know they're on the side of their deep state
[3:28:50.460 --> 3:28:55.180]  even though they might be republicans it's up to us nobody else will do it when we come back
[3:28:55.180 --> 3:29:02.060]  that's what we'll talk about pain in my neck back and shoulders has really gotten worse relief for
[3:29:02.060 --> 3:29:07.180]  body pain is here with sunny bay heating pads well the last thing i want is to take another pill so
[3:29:07.180 --> 3:29:12.540]  what's so good about sunny bay heating pads sunny bay heating pads made by biomed dv designed right
[3:29:12.540 --> 3:29:18.700]  here in the usa come in all sizes our extra large microwavable heating pad for back pain is designed
[3:29:18.700 --> 3:29:24.060]  to be large enough to cover your entire back it's also perfect to wrap around your legs knees or
[3:29:24.060 --> 3:29:28.860]  shoulder and neck but i need to know their good quality of course sunny bay heating pads and
[3:29:28.860 --> 3:29:33.580]  pillows are often an amazon choice and it's easy and most affordable when you purchase your sunny
[3:29:33.580 --> 3:29:42.540]  bay heating pads right from our website sunshine pillows dot com or call us 253 678 1361 hey a sunny
[3:29:42.540 --> 3:29:48.460]  bay heating pad would make a great gift right yes and they started just 1999 and free shipping is
[3:29:48.460 --> 3:29:57.020]  available so call 253 678 1361 or shop for your sunny bay heating pad at sunshine pillows dot com
[3:30:08.060 --> 3:30:15.580]  my leaps and my bounds the number one best-selling supplement family in the world is energy drinks
[3:30:15.580 --> 3:30:21.660]  and energy supplements but they are riddled with dyes and toxins and synthetic caffeine and other
[3:30:21.660 --> 3:30:26.460]  chemicals that sure get you a quick boost but burn out in just a few hours and have terrible
[3:30:26.460 --> 3:30:33.020]  side effects we have developed hands down from our research the most powerful healthy energy drink
[3:30:33.020 --> 3:30:39.260]  pre-workout and beyond system in the world there's nothing else like it you must experience it it is
[3:30:39.260 --> 3:30:45.020]  a total game changer it comes in easy to use packets to mix in fruit juice or water whatever
[3:30:45.020 --> 3:30:50.140]  you'd like warning though it's very very strong it lasts 10 hours so take a half pack the first
[3:30:50.140 --> 3:30:55.660]  time you take it because turbo force is named turbo force because it will take you into overdrive
[3:30:55.660 --> 3:31:01.580]  turbo force and enforce live dot com it's really hard to have the energy at the end of the day
[3:31:01.580 --> 3:31:07.180]  to still get to the gym or to go for a run or go to the park or heck even take your dog for a walk
[3:31:07.180 --> 3:31:12.300]  believe me i know i spend hours in front of a screen and then hours in front of bright lights
[3:31:12.300 --> 3:31:18.860]  every day but thanks to supermail vitality at infowarstore.com i still have that energy there's
[3:31:18.860 --> 3:31:23.580]  no way i could have the energy at the end of a long day to fight back against the chemicals
[3:31:23.580 --> 3:31:28.140]  and the food and water to fight back against the modern day lifestyle with the screen time and the
[3:31:28.140 --> 3:31:34.140]  extended hours to still have the stamina and endurance energy and drive to get to the gym
[3:31:34.140 --> 3:31:40.860]  get to the park and get exercise that you need for your health so go to infowarstore.com and get
[3:31:40.860 --> 3:31:46.860]  super mail vitality before it's gone this is actually our last run of super mail vitality
[3:31:46.860 --> 3:31:53.500]  so i want you to experience super mail vitality before it's too late unleash the super mail and
[3:31:53.500 --> 3:32:00.780]  you super mail vitality from infowarstore.com you know the worst part about getting old i'm still
[3:32:00.780 --> 3:32:05.740]  strong 45 is that i won't be there for my children someday that's why i had to make them strong now
[3:32:05.740 --> 3:32:11.820]  now i can be there for my children now i can make them strong now i can instruct them now i can teach
[3:32:11.820 --> 3:32:15.420]  them what i've learned but not once i'm gone you think of this digital age your word's going
[3:32:15.420 --> 3:32:19.420]  forever but now they're even better getting rid of what you said they were before it's so much
[3:32:19.420 --> 3:32:25.740]  easier to burn video or text or languages now that we have high tech book burning isn't it but i have
[3:32:25.740 --> 3:32:31.420]  joined my will to the resistance i can't be destroyed now as long as i realize i've done right
[3:32:31.420 --> 3:32:35.900]  and the longer the people know the truth and you can't be destroyed either as long as you find
[3:32:35.900 --> 3:32:41.340]  yourself to something and commit to it and go through the fire for it there is a magic that then
[3:32:41.340 --> 3:32:46.940]  takes place the transcend space and time when you commit be a word of mouth or to pray for us or to
[3:32:46.940 --> 3:32:52.140]  spread our articles and videos that overrides everything the enemy's doing so please now
[3:32:52.140 --> 3:32:57.580]  commit to support info wars however you can and realize your provision to info wars is your own
[3:32:57.580 --> 3:33:11.580]  provision you're listening to the alex jones show
[3:33:11.580 --> 3:33:19.580]  so
[3:33:21.420 --> 3:33:27.580]  waging war on corruption it's alex jones with matt bracken
[3:33:31.420 --> 3:33:37.660]  okay i'm back yeah and i see my books up there that's cool and if you um you want a red pill
[3:33:37.660 --> 3:33:43.660]  people i suggest uh giving my books as gifts either either as uh you know hard hard copy or
[3:33:43.660 --> 3:33:48.700]  kindle or audiobook they're on audiobook if you like to uh listen to books while you drive
[3:33:49.980 --> 3:33:56.620]  anyway yeah we're being boxed down step by step i was talking about tommy robinson last segment
[3:33:57.340 --> 3:34:03.180]  one of his books um uh muhammad's karan why why muslim's kill for islam
[3:34:03.180 --> 3:34:09.180]  um has been taken off of amazon you can still find mind comp you can find all kind of jihad
[3:34:09.180 --> 3:34:15.740]  literature but tommy robinson talking about the jihad threat to europe and to the uk in particular
[3:34:16.380 --> 3:34:22.780]  can't be talked about and you can see how the social media titans they're happy to cooperate
[3:34:22.780 --> 3:34:28.620]  with these left-wing groups like in the state's southern poverty law center or over in the uk
[3:34:28.620 --> 3:34:35.180]  hope not hate they're happy to so we're in it we're in a box we're definitely in a box there
[3:34:35.180 --> 3:34:40.220]  we can still talk but they're dialing down our our output you know they're walking behind us with
[3:34:40.220 --> 3:34:47.580]  the wire cutters uh clipping the cords and yanking out the plugs so it's it's really important support
[3:34:47.580 --> 3:34:55.740]  info wars keep info wars going super important support tommy robinson by his book enemy of the
[3:34:55.740 --> 3:35:01.260]  state it's still available by my books by anybody's books that's you know that has this vision that
[3:35:01.260 --> 3:35:08.300]  we share because it is important it is all going down the tubes if we don't and in the last few
[3:35:08.300 --> 3:35:13.980]  months i've been searching all over the landscape for you know social media alternatives that can
[3:35:13.980 --> 3:35:21.660]  work that and uh there's a somebody very close to me was just booted off of youtube he's not as
[3:35:21.660 --> 3:35:28.780]  well known as tommy robinson is um his name on the internet is vlad tepez he lives in a country
[3:35:28.780 --> 3:35:34.300]  where he has to be very very careful very careful so anyway i use my real name and face he doesn't
[3:35:34.300 --> 3:35:40.220]  he can't he can't afford to but what he has done is set up a website an amazing website
[3:35:40.780 --> 3:35:47.980]  where he has connections to translators that can take a news clip from i don't care if it's in
[3:35:47.980 --> 3:35:55.180]  finnish or if it's in bulgarian the next day it'll be subtitled so that it can be shared all around
[3:35:55.180 --> 3:36:00.540]  the world you know what you say what difference does that make a swedish video a video from italy
[3:36:00.540 --> 3:36:06.140]  i can't speak swedish or italian well you don't need to but it's important to understand this is not
[3:36:06.140 --> 3:36:12.700]  just an american phenomenon this social media shunning and vlad since he was kicked off of youtube
[3:36:12.700 --> 3:36:19.500]  check this out he had 30 000 videos most of them are like two to five minute clips most of them
[3:36:19.500 --> 3:36:28.540]  translated 30 000 videos 30 million distinct views often linked on info wars they just shut
[3:36:28.540 --> 3:36:34.940]  them down removed his channel and deleted years worth of work not just uploading videos but arranging
[3:36:34.940 --> 3:36:41.100]  these translations until he just disappeared so what's left well you can you know there's there's
[3:36:41.100 --> 3:36:47.900]  bit chute there's there's um many other alternatives but one that he's actually using right now is called
[3:36:47.900 --> 3:36:56.540]  bit.tube and it's a a true bit torrent bit chute was sold as bit torrent but it really is using
[3:36:56.540 --> 3:37:03.900]  servers and bit tube is a pure bit torrent site this is not rocket science the bit torrent theory
[3:37:03.900 --> 3:37:09.180]  has been around for a long time but bit tube is trying to make a go of it using true bit torrent
[3:37:09.180 --> 3:37:16.060]  technology if you click on a video after 10 or 15 seconds as it's drawing in um you know more of
[3:37:16.060 --> 3:37:23.740]  the torrent the video will come up to very high def most bit chute videos run at like 480 but you
[3:37:23.740 --> 3:37:29.820]  can use the sprocket and dial the height the def up as high as you want and everybody that joins
[3:37:29.820 --> 3:37:36.140]  is part of it but nobody's paying in it's you're basically agreeing to be part of this sharing
[3:37:36.140 --> 3:37:42.700]  network that's the essence of bit torrent it can't be shut down because there is no central server
[3:37:42.700 --> 3:37:48.460]  there is no boss somewhere you know that has all the videos saved the videos are in the cloud the
[3:37:48.460 --> 3:37:56.060]  videos are shared between all our computers so give bit.tube a look and the guy I know Vlad
[3:37:56.060 --> 3:38:02.300]  Tefes is trying to rebuild the 30 000 videos that were taken down by youtube if and if this is a
[3:38:02.300 --> 3:38:07.740]  message from Vlad if you have in if you can remember in particular great videos that you had saved
[3:38:07.740 --> 3:38:14.300]  and you can remember their titles um contact me or contact Vlad through VladTepes.com
[3:38:14.300 --> 3:38:21.100]  VladTepesBlog.com and tell him and he'll reupload the videos that really struck people
[3:38:21.100 --> 3:38:27.820]  up on to bit.tube but this is really super important because if we just play on the enemy
[3:38:27.820 --> 3:38:35.660]  terrain we are just circling the dream we have no chance unless we find our own way that's not
[3:38:35.660 --> 3:38:42.060]  subject to censorship and you know there there are not only bit.tube is one one another one that
[3:38:42.060 --> 3:38:50.780]  is suggested now is something called is called dissenter.com which is an offshoot of gab which
[3:38:50.780 --> 3:38:58.460]  has its own you know story and gab is still extremely viable for people that you know like gab i
[3:38:58.460 --> 3:39:03.100]  do recommend it if you know for the people that uh enjoy it but gab has an offshoot called the
[3:39:03.100 --> 3:39:09.100]  resister the dissenter.com where people just post links to articles so there's no problem with
[3:39:09.100 --> 3:39:14.140]  copyright or anything like that you know in a fast computer era it doesn't matter if you know you're
[3:39:14.140 --> 3:39:19.580]  just putting a link and then then you can click between two windows you can see the article then
[3:39:19.580 --> 3:39:25.660]  make comments and these comments are not going to be subject to censorship now to keep them from being
[3:39:25.660 --> 3:39:31.340]  spammed and trolled what the liberals do is you know they'll post you know kitty porn pictures
[3:39:31.340 --> 3:39:37.020]  things like that then have media matters take a screen capture to try to shut down the conservative
[3:39:37.020 --> 3:39:43.500]  website remember it's a linsky tactics it's mafia they know nothing is out of bounds for these guys
[3:39:43.500 --> 3:39:51.900]  nothing so so by using the dissenter.com you're going around that and we'll see if this can stand
[3:39:51.900 --> 3:39:56.460]  up and survive it's growing like crazy it's really growing and we'll you know we'll see
[3:39:56.460 --> 3:40:03.500]  where it goes but you know my point is try to distribute the your links try to distribute
[3:40:03.500 --> 3:40:09.820]  your information one that i'm still in freeze oxy it's still up and you know you can post
[3:40:09.820 --> 3:40:16.140]  slinks there videos etc but um you know i'm off of twitter forever i don't think i'll go back to
[3:40:16.140 --> 3:40:22.460]  facebook and we've all got to find an alternative uh info wars itself is is emerging as a pretty good
[3:40:22.460 --> 3:40:27.820]  social media platform in its own right the point is let's stop playing in enemy territory i know
[3:40:27.820 --> 3:40:33.260]  facebook has got a lot of great attributes and all your family's on it so it makes it real easy
[3:40:33.260 --> 3:40:39.100]  to share political stuff with one family member and you know kitty me kitten memes with another
[3:40:39.100 --> 3:40:45.420]  family member but but when we're going to facebook we're putting money in jeff zucker in zuckerberg's
[3:40:45.420 --> 3:40:53.420]  pocket you remember how he was back in europe like two years ago talking to um to merkel and and
[3:40:53.420 --> 3:40:57.900]  saying yeah we've got to do something about all this conservatism on the internet and he's like
[3:40:57.900 --> 3:41:03.020]  i'm with you you know we'll we'll get rid of him we'll take him down uh that's a paraphrase but
[3:41:03.020 --> 3:41:09.740]  that's what they meant that was caught on an open mic and you know we're we're just playing on enemy
[3:41:09.740 --> 3:41:15.340]  turf when we go there so anybody that contacts me if you've got a better link if you've got a
[3:41:15.340 --> 3:41:21.900]  better suggestion for video streaming for for social media i'm all ears because this is really
[3:41:21.900 --> 3:41:27.980]  in the in the emerging warfare leading up to 2020 political warfare i mean internet warfare
[3:41:27.980 --> 3:41:35.100]  electronic warfare social media is a key battlefield and you can just imagine as we get closer to the
[3:41:35.100 --> 3:41:42.380]  2020 how effective voices will be increasingly banned from left wing social media it doesn't
[3:41:42.380 --> 3:41:49.420]  take a rocket science to see that what happened to to uh info wars was just a you know a beta test
[3:41:49.980 --> 3:41:55.260]  for doing this to more and more conservatives first if they come for alex jones then they come
[3:41:55.260 --> 3:42:01.260]  for tommy robinson and they come for matt bracken and there's no end to it and something that it
[3:42:01.260 --> 3:42:06.860]  drives me crazy i still hear people talking about being the gray man i'm just gonna slide through
[3:42:06.860 --> 3:42:11.820]  this attempted bolshevik revolution which is probably gonna lead to a civil war i'm gonna
[3:42:11.820 --> 3:42:17.260]  stay in the shadows you know what i say that the gray man is the gray man is a coward unless you got
[3:42:17.260 --> 3:42:23.340]  like six kids under 10 years old and a job in the government maybe but the gray man is a coward
[3:42:23.340 --> 3:42:28.860]  the gray man ensures that the communists are going to win because he won't come out of his
[3:42:28.860 --> 3:42:34.700]  hiding hole until the dust smoke is cleared but when the smoke is cleared there might be gulag
[3:42:34.700 --> 3:42:41.980]  barbed wire around his hole and then what gray man so put your info wars bumper sticker on a magnet
[3:42:41.980 --> 3:42:47.420]  if you want like me put your mag of bumper sticker on the back of your car on a magnet if it makes you
[3:42:47.420 --> 3:42:54.940]  feel better but get out and present represent don't be a coward don't be the gray man and uh
[3:42:54.940 --> 3:42:59.100]  thick will be coming back just uh in a few minutes i've got some really good news though
[3:43:00.060 --> 3:43:08.380]  x2 is back the original x2 deep breath crystal pure atomic iodine what you want in forestore.com
[3:43:08.380 --> 3:43:14.060]  it'll be here in a week manufactured in the us in forestore.com with the best iodine in the world
[3:43:14.060 --> 3:43:18.460]  x2 it's available i thought x3 is great we still got another deep breath crystal source
[3:43:18.460 --> 3:43:22.540]  but i thought add the other two types of iodine the scientists that do that it's sold a lot that
[3:43:22.540 --> 3:43:27.980]  people want original x2 like i was resigned the fact we didn't have x2 but it came through about a
[3:43:27.980 --> 3:43:34.060]  month ago we now have x2 again and in forestore.com so hallelujah it's been sold out for about almost
[3:43:34.060 --> 3:43:41.660]  three months but we have now they have the same company the original x2 develop it again and
[3:43:41.660 --> 3:43:48.060]  we were able to uh do the exact same formula we want to pre-order x2 the ultimate iodine out there
[3:43:48.060 --> 3:43:52.060]  learn about the iodine conspiracy learn about iq's dropping when you don't have it learn about how
[3:43:52.060 --> 3:43:58.380]  the other iodines are bound get yours today at infowarsstore.com or infowarslife.com we all know
[3:43:58.380 --> 3:44:03.740]  that the outside toxins in the water is a serious health issue infowars is proud to sell incredible
[3:44:03.740 --> 3:44:08.860]  filters but it's almost impossible to keep up with every faucet shower and sink in your home
[3:44:08.860 --> 3:44:13.660]  that's why we're bringing you something to provide clean water for your whole house with one system
[3:44:13.660 --> 3:44:20.940]  the pro pure whole house water filtration system is an advanced four stage compact filtration system
[3:44:20.940 --> 3:44:26.940]  that will provide water filtration for your entire home removing 220 plus contaminants from your water
[3:44:26.940 --> 3:44:33.100]  it's compact in size easy to install and maintain and keeps fluoride and other dangerous toxins out
[3:44:33.100 --> 3:44:39.100]  of your water supply and away from you and your family with its broad spectrum contaminant reduction
[3:44:39.100 --> 3:44:44.620]  you'll only need this one filter for clean and refreshing water all over your home head to
[3:44:44.620 --> 3:44:49.820]  infowarsstore.com and whether it's your first water filtration purchase or you're looking to
[3:44:49.820 --> 3:44:55.420]  replace your current rundown systems it's time to go big and go home with the pro pure whole
[3:44:55.420 --> 3:45:02.220]  house filtration system today it's time to show them what a real alpha male looks like with one of
[3:45:02.220 --> 3:45:09.740]  our most powerful products ever made alpha power at 50 off as you age your body can lose testosterone
[3:45:09.740 --> 3:45:15.020]  over time with the incredible ingredients in this formula we can help you feed the test of time and
[3:45:15.020 --> 3:45:20.940]  assist in restoring that lost energy and moves that comes with time and age alpha powers incredible
[3:45:20.940 --> 3:45:26.060]  ingredients can help you boost your sport performance or enhance your day-to-day life with ease
[3:45:26.060 --> 3:45:32.860]  while encouraging hormonal balance perfect by itself or with super male vitality in the true alpha
[3:45:32.860 --> 3:45:38.940]  male pack alpha power can help boost performance help maintain normal testosterone levels support
[3:45:38.940 --> 3:45:45.020]  healthy cholesterol and more let alpha power help bring you to the peak of your optimal health don't
[3:45:45.020 --> 3:45:50.220]  fall short on energy in the fight against tyranny show the world what a true alpha male looks like
[3:45:50.220 --> 3:46:01.020]  today with alpha power 50% off only at the info wars store getting your protein has never been
[3:46:01.020 --> 3:46:06.460]  easier with info wars life protein bars available and delicious chocolate peanut butter and vanilla
[3:46:06.460 --> 3:46:12.300]  coconut flavors these protein bars are the perfect answer for a snack on the go info wars life protein
[3:46:12.300 --> 3:46:18.060]  bars are nutrient packed portable protein bars for an easy to eat and great tasting meal pre or
[3:46:18.060 --> 3:46:25.500]  post workout fuel alternative at just 240 calories per bar and 15 grams of protein each these bars
[3:46:25.500 --> 3:46:31.100]  will be your favorite at hand snack for at home in the car at work we're on the go for getting
[3:46:31.100 --> 3:46:36.460]  nutrients easily high in fiber and nutrients with wholesome ingredients for high level performance
[3:46:36.460 --> 3:46:42.620]  with great taste such as whey protein and chocolate compound these protein bars can help you with the
[3:46:42.620 --> 3:46:48.300]  boost you need to reach your goals protein packed and full of fiber and healthy ingredients info wars
[3:46:48.300 --> 3:46:53.900]  life protein bars are a can't miss snack for any info warriors serious about their energy try both
[3:46:53.900 --> 3:47:16.540]  flavors today at info wars store dot com you're listening to the alex jones show
[3:47:24.140 --> 3:47:34.780]  okay before i um get off of social media and youtube and all of that entirely i did want to
[3:47:34.780 --> 3:47:41.180]  mention something uh still on youtube like tommy robinson is is one of the best videos i've seen
[3:47:41.180 --> 3:47:47.180]  in i don't know how long uh for really good videos i think you have to wait because it takes a while
[3:47:47.180 --> 3:47:52.700]  for the inspiration and to produce them and then life gets in the way you know there's uh you can
[3:47:52.700 --> 3:47:58.460]  catch the flu you can uh be on adult business trips i get it but paul aron paul joseph watson
[3:47:58.460 --> 3:48:04.220]  his newest video which is up uh last night is called the collapse of western civilization
[3:48:05.100 --> 3:48:12.220]  and not only should everybody in the in the info wars audience watch this video i recommend that you
