[00:00.000 --> 00:02.000]  Oh
[2:53:24.080 --> 2:53:29.360]  up and salute it. And of course, now we've gotten to the point where your complete pariah,
[2:53:29.360 --> 2:53:34.640]  if you even begin to talk about information like this, and you can get banned and de-platformed,
[2:53:34.640 --> 2:53:38.880]  and who knows what else and all. Well, let me say something about Trump. And I got this from
[2:53:38.880 --> 2:53:44.400]  people very close to Trump. I'll leave it at that. Barron was at wait a little longer to get the
[2:53:44.400 --> 2:53:49.040]  vaccines. He was about two and a half. He got the rounds. He had convulsions. He went from being
[2:53:49.040 --> 2:53:54.240]  this great smart boy to like not being able to talk. That's why Trump was like, well, this is bad.
[2:53:54.240 --> 2:54:01.840]  He said we should give less of them or study them. But that's what he comes down to is that we have
[2:54:01.840 --> 2:54:07.520]  to recognize that you cannot trust this system and what they're putting into us. And we have to say
[2:54:07.520 --> 2:54:15.440]  no. Yeah, absolutely. And that's, you know, that's what's happening as more and more people are
[2:54:15.440 --> 2:54:23.440]  waking up. But it's all hanging into balance. It is. Can you believe, though, that we're here?
[2:54:23.440 --> 2:54:27.520]  I mean, we built the infrastructure. We built the network. We're here in defiance of them.
[2:54:27.520 --> 2:54:32.000]  What comes next? I mean, people say, oh, how are you handling the attacks? How am I handling it?
[2:54:32.000 --> 2:54:36.160]  I'm connected to everybody. I'm connected to you. Not to some goody two shoes. I'm a human.
[2:54:36.880 --> 2:54:42.480]  It's not like I'm a hero fighting this. I'm battling for life and oxygen trapped under ice.
[2:54:42.480 --> 2:54:47.120]  This is not some heroic effort. It's a selfish effort. I think people need to get that. It's
[2:54:47.120 --> 2:54:53.440]  not like some heroic effort to fight evil. It's selfish. This takeover is anti-human, John.
[2:54:54.720 --> 2:55:02.240]  Absolutely. That's right. What do you think the whole medical program? Listen, people have their
[2:55:02.240 --> 2:55:08.960]  own experiences on this new film, Vax 2. It's all about people's stories, mothers, fathers, children.
[2:55:08.960 --> 2:55:16.240]  We had our son vaccinated, and now look what happened. It's never going to be the same again.
[2:55:16.880 --> 2:55:19.920]  Here's another story, the same thing. Another story, the same thing.
[2:55:19.920 --> 2:55:25.680]  Another story, the same thing. Thousands of people speaking up, and that's just the tip
[2:55:25.680 --> 2:55:33.280]  of the iceberg, believe me. These people, these doctors, many of them know what's going on.
[2:55:33.280 --> 2:55:39.280]  They have a spiritual choice to make, and most of them are making the wrong choice.
[2:55:39.280 --> 2:55:44.640]  They're unwilling to stand up and be counted. They're just like, you know,
[2:55:44.640 --> 2:55:50.960]  androids moving ahead and vaccinating more and more children. Even they know the destruction
[2:55:50.960 --> 2:55:55.120]  that is occurring, even though they understand. That's my next question. What do you make of
[2:55:55.120 --> 2:55:59.840]  the head you and scientists and all the adjuncts saying it's a cover-up? It's dangerous. We got
[2:55:59.840 --> 2:56:05.840]  to do something. In December, we cover it, you cover it. No one else covers it. How bombshell
[2:56:05.840 --> 2:56:12.480]  is the head you and scientists admitting all this? Yeah, exactly. To themselves, right?
[2:56:12.480 --> 2:56:17.280]  And what's their big takeaway when you looked at all those quotes from that video?
[2:56:18.000 --> 2:56:25.200]  The big takeaway for them is we have front-line professionals now, meaning doctors,
[2:56:25.200 --> 2:56:31.520]  meaning doctors that are wobbling in their support of vaccines because they don't know what to do.
[2:56:31.520 --> 2:56:36.080]  And this is a serious problem. And they don't believe it. They think they're bad. The doctor says,
[2:56:36.080 --> 2:56:39.920]  he says, the doctors think it's bad. Yeah, because they're freaking doctors.
[2:56:41.680 --> 2:56:47.200]  And they're waking up, you see. And from the World Health Organization point of view,
[2:56:47.200 --> 2:56:53.680]  the real problem is how do we keep our thumb down on the head of the population and our own
[2:56:53.680 --> 2:57:01.040]  doctors? So this wasn't a mea culpa. This was a desperate alert that Bill Gates isn't listening.
[2:57:01.040 --> 2:57:07.840]  And they're literally... Exactly. This was not a mea culpa by any stretch of the imagination.
[2:57:07.840 --> 2:57:15.600]  This was them sending a warning to themselves saying that Jake could be up. If we don't stop this,
[2:57:15.600 --> 2:57:21.840]  we're all going to get exposed and we're all going to go down. So you better line up with us
[2:57:21.840 --> 2:57:27.200]  because if we go down, you're going down. It's the old story. It is like Ron Brown saying,
[2:57:27.200 --> 2:57:32.320]  if Clinton tries to expose me, I'll bring them all down. Exactly. It's the same thing.
[2:57:32.320 --> 2:57:37.120]  Which shows we think we're desperate, folks. It's because we're about to go over the top.
[2:57:37.680 --> 2:57:41.040]  We're about to plant the fag at Emojima. We're going over the top.
[2:57:44.320 --> 2:57:48.960]  You deserve a deep restful sleep with knockout by InfoWarsLife.
[2:57:48.960 --> 2:57:53.520]  Our organic formula is made from high quality natural ingredients,
[2:57:53.520 --> 2:57:59.520]  such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[2:58:00.400 --> 2:58:05.120]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[2:58:05.120 --> 2:58:09.280]  Millions of people around the world experience daytime drowsiness,
[2:58:09.280 --> 2:58:13.520]  but with the rapid speed of life, we need to be able to keep up the pace.
[2:58:13.520 --> 2:58:19.600]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax
[2:58:19.600 --> 2:58:23.680]  and get the sleep you need. Wake up refreshed and take on the day.
[2:58:23.680 --> 2:58:28.640]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond
[2:58:28.640 --> 2:58:33.840]  other leading brands at an affordable price. Get the sleep you deserve and experience
[2:58:33.840 --> 2:58:39.680]  the power of knockout. Head on over to InfoWarsLife.com and say goodbye to fatigue.
[2:58:39.680 --> 2:58:44.480]  That's InfoWarsLife.com.
[2:58:44.480 --> 2:58:48.320]  Since the beginning, Secret 12 has been one of our most popular formulas.
[2:58:48.320 --> 2:58:53.200]  Now we're bringing you an all-new version of your favorite formula to help you reach your energy peak.
[2:58:53.200 --> 2:58:57.840]  Ultra 12 from InfoWarsLife takes advantage of the most effective and expensive form of
[2:58:57.840 --> 2:59:02.000]  B12 available, methicabolamine, to provide you with twice the B12.
[2:59:02.000 --> 2:59:05.600]  Ultra 12 can help make DNA, support the body's energy production,
[2:59:05.600 --> 2:59:09.280]  and help produce healthy blood cells while assisting proper nervous system function.
[2:59:09.280 --> 2:59:14.320]  Help support your energy levels and take advantage of the superior form of B12 today with Ultra 12.
[2:59:14.320 --> 2:59:17.360]  It's no secret that our daily lives are becoming more stressful.
[2:59:17.360 --> 2:59:21.120]  No matter what side of the political spectrum you're on, we're all feeling the strain from
[2:59:21.120 --> 2:59:25.520]  rising pressure. That's why we worked hard to create a new formula to support your fight against
[2:59:25.520 --> 2:59:30.880]  stress in your hectic day. Chillforce is our solution for a true, healthy, relaxation support
[2:59:30.880 --> 2:59:35.840]  formula. As the long-awaited sister formula to Brainforce Plus, this formula includes powerful
[2:59:35.840 --> 2:59:39.440]  ingredients and time-tested practices to help fight your stress levels.
[2:59:39.440 --> 2:59:44.160]  It's time to take a breather. Get Chillforce today at InfoWarsStore.com.
[2:59:48.160 --> 2:59:58.160]  You're listening to the Alex Jones show.
[2:59:58.160 --> 3:00:09.520]  Waging war on corruption. It's Alex Jones.
[3:00:11.280 --> 3:00:13.600]  All right, John Rabbit, reporting on morphthicnews.com.
[3:00:14.240 --> 3:00:16.560]  This is here with us in defiance of tyranny.
[3:00:19.040 --> 3:00:22.880]  John, let's get metaphysical here in the next two segments before the next host takes over.
[3:00:23.840 --> 3:00:27.440]  What is spiritually happening? Let's go down the rabbit hole from your deep research,
[3:00:27.440 --> 3:00:33.200]  you're a great investigative journalist for decades, an author, a filmmaker, a great artist.
[3:00:33.760 --> 3:00:36.960]  I mean, you're an amazing guy. Everybody can see that. We know that.
[3:00:38.240 --> 3:00:42.320]  The cosmology, I'm brought up a Christian. I have spiritual experiences,
[3:00:42.320 --> 3:00:44.960]  how there's good and evil, but I'm counting in other church, whatever.
[3:00:44.960 --> 3:00:48.400]  But then I get higher level. The global is trying to buy me off. They try to get me in the
[3:00:48.400 --> 3:00:52.560]  occult. I realize it's real. At least the way they see their perspective is real,
[3:00:52.560 --> 3:00:58.000]  like this template's real. What is it though? What's happening on the planet? Who are they?
[3:00:58.000 --> 3:01:02.320]  What are they trying to stop us from realizing? Let's really get to the deep secrets here at
[3:01:02.320 --> 3:01:09.200]  the bottom of your soul, at the top of your focus, who you are. What is your the imprint of the
[3:01:09.200 --> 3:01:21.600]  universe in your conscious, sentient mind? What is this? Wow. I have to start off in a very simple
[3:01:21.600 --> 3:01:29.920]  way. People know what the right thing to do is. You don't have to show them or condition them.
[3:01:31.040 --> 3:01:37.600]  They know inside what's right and what's wrong. And this is not just a little petty little thing
[3:01:37.600 --> 3:01:42.800]  that we're talking about. You can go out as big as you want to on this into the entire universe,
[3:01:42.800 --> 3:01:54.800]  right? To know that when you see something that is so pathologically evil, spiritually evil,
[3:01:55.760 --> 3:02:01.760]  that is motivating and animating people to destroy other people, and you can see it,
[3:02:02.480 --> 3:02:12.160]  if you just stand there and you do nothing about it consciously, then you become part of them.
[3:02:12.160 --> 3:02:16.000]  So consciousness is right action. It's choosing God or destruction?
[3:02:17.520 --> 3:02:23.680]  Yeah, it's choosing just in my own language, the right thing, the spiritually right thing to do.
[3:02:24.480 --> 3:02:28.560]  There is no getting away from the spiritual issue. Consciousness is will.
[3:02:30.240 --> 3:02:37.920]  Consciousness is not material. It's not like saying, well, because I've got this
[3:02:37.920 --> 3:02:43.440]  money that I have to have. I've got a big mansion, a castle. I killed a million people,
[3:02:43.440 --> 3:02:50.000]  but it's okay. Everyone says I'm powerful. Right. And then if somebody comes along and says, well,
[3:02:50.000 --> 3:02:57.760]  we can take that away from you unless you keep doing evil things or stand by and let us do them.
[3:02:57.760 --> 3:03:02.880]  And then the guy with the mansion says, hey, do anything you want to. I mean, look at it on a
[3:03:02.880 --> 3:03:08.320]  small scale. It's cosmologically speaking. Look at Hollywood. Look how many cowards there are in
[3:03:08.320 --> 3:03:13.920]  Hollywood who would appear on the screen to be the greatest superheroes in the world and so on.
[3:03:13.920 --> 3:03:18.160]  But then you approach them on an issue and you say, well, what do you think about this?
[3:03:18.160 --> 3:03:23.280]  Don't you realize that's evil? Yeah, but I roll over instantly. I can't say it. Well,
[3:03:23.280 --> 3:03:27.840]  why can't you say anything about it? Because then I'm going to lose my position. I'll never get
[3:03:27.840 --> 3:03:34.000]  working this town again. Yeah. So, so what? So how do you live with yourself in the meantime?
[3:03:34.000 --> 3:03:39.840]  And of course, they have no answer for that. But the answer is drugs, lowering their own
[3:03:39.840 --> 3:03:46.000]  consciousness, pretending there's somebody else, making up all kinds of excuses and so on. Becoming
[3:03:46.000 --> 3:03:52.800]  robots. Becoming robots and hanging out with other people who are robots. And then when you get
[3:03:52.800 --> 3:03:58.880]  that multiplied out enough times, you have, for example, I don't know, a million people
[3:04:00.320 --> 3:04:04.880]  in the country or in the territory. And then they expand the circle.
[3:04:05.680 --> 3:04:11.680]  They expand the circle. It just keeps on going. We're all together because I'm looking at you
[3:04:11.680 --> 3:04:16.640]  and you're looking at me and we both know that we're complicit. We both know that that's a cult.
[3:04:16.640 --> 3:04:23.120]  That's a cult. It could be gigantic. It could be a hundred million people and so on. So,
[3:04:24.080 --> 3:04:29.760]  you know, it could be more or it could be five people, but it's the same principle.
[3:04:31.120 --> 3:04:35.360]  We've now reached, I'm not just saying to stay there, John. We've reached the high plateau here.
[3:04:35.360 --> 3:04:39.280]  This is what it's all about. You're going to serve somebody like Bob Dylan said.
[3:04:40.160 --> 3:04:44.880]  Really? Who are you going to serve, folks? Who are you going to serve? What cult are you going to
[3:04:44.880 --> 3:04:50.960]  join? You're going to join a cult. Be advised that there are cults to join or you can join.
[3:04:53.040 --> 3:04:56.720]  It's time to take a new healthier approach to one of your most basic needs.
[3:04:56.720 --> 3:05:01.280]  The Alexa Pure Pro water filtration system is the same water filter that Alex and the InfoWars
[3:05:01.280 --> 3:05:05.600]  crew use every day for the purest water possible. You can start cleaning the toxins from your water
[3:05:05.600 --> 3:05:09.520]  for clean, healthy and delicious drinking water. Perfect for preppers or anyone concerned with
[3:05:09.520 --> 3:05:14.960]  the healthier source of water. The Alexa Pure Pro can remove up to 99.9% of impurities. This
[3:05:14.960 --> 3:05:20.160]  groundbreaking gravity-fed water filtration system is like no other. Make sure your water is up to
[3:05:20.160 --> 3:05:24.480]  your standards today with the Alexa Pure Pro. There's a new way to show your support for the
[3:05:24.480 --> 3:05:30.400]  InfoWars crew at InfoWarsStore.com. Now, when you buy your favorite products, you can add a donation
[3:05:30.400 --> 3:05:36.560]  right at the checkout. Simply open the donation option and either select a preset amount or enter
[3:05:36.560 --> 3:05:41.040]  a custom amount. With this brand new donation module, donating to support the InfoWars crew
[3:05:41.040 --> 3:05:46.560]  has never been easier. You asked, we delivered. This easy option gives you the means to donate
[3:05:46.560 --> 3:06:08.560]  directly to the cause. Remember, we're all part of the fight. InfoWars brought to you by you.
[3:06:08.560 --> 3:06:16.640]  All right, John Rabaport is our guest. And Dr. Nick Baggage is one of the great patriots.
[3:06:16.640 --> 3:06:19.520]  I'm the great minds about the takeover, about where we are as crossroads.
[3:06:26.480 --> 3:06:30.400]  The other people like Dr. Baggage, who's super smart, smarter than I am,
[3:06:30.960 --> 3:06:36.800]  and he already knows the end game, and he's so confident that he's zinned out. And I could do
[3:06:36.800 --> 3:06:43.360]  that too. I have made the decision, like nuclear fuel rods shoved in, that I'm going to feel the
[3:06:43.360 --> 3:06:47.840]  whole deal. And that's what I'm doing. And I appreciate the listeners and viewers keeping
[3:06:47.840 --> 3:06:52.240]  up this position. John Rabaport's here. We're talking about the nature of evil, the nature of
[3:06:52.240 --> 3:06:57.520]  the world, the nature of where all this is going. They're not even talking about atheism now.
[3:06:57.520 --> 3:07:03.040]  They're not even talking about all that. They're just racing past saying computers are God, get rid
[3:07:03.040 --> 3:07:14.160]  of humans. And you're seeing so many people fall away from reality and the spirit, but so many
[3:07:14.160 --> 3:07:20.960]  coming towards it. What is this collision? What is this event? What is this time we're in, John
[3:07:20.960 --> 3:07:27.280]  Rabaport? Well, I think that collision is exactly what you're talking about. It's a collision between
[3:07:27.280 --> 3:07:35.920]  the spirit and matter between the people that are materialists. What can I gain? What advantage
[3:07:35.920 --> 3:07:41.360]  can I have? How can I get ahead? And that's all there is. There isn't anything else. That's all
[3:07:41.360 --> 3:07:48.320]  there is. And that kind of thing. And these are people who turn into robots and people who make
[3:07:48.320 --> 3:07:56.160]  robots that turn into robots, you know, mechanical, made of flesh, whatever. And then there are people
[3:07:56.160 --> 3:08:05.520]  who see that they have some kind of a spiritual choice to make and a journey to go on that involves
[3:08:06.400 --> 3:08:11.600]  doing what they know is the right thing. This is what happens when people tune into you.
[3:08:12.320 --> 3:08:16.400]  Regardless of what you're talking about, regardless of what position you're taking on,
[3:08:16.400 --> 3:08:24.000]  what issue and whatever and whatever, you push people to figure out, without even trying,
[3:08:24.000 --> 3:08:31.360]  what is the right thing to do? You know, this is what people are hungry for. Someone who is saying
[3:08:31.360 --> 3:08:36.560]  to them, you have to find out what the right thing to do is in your soul. Because the Satan
[3:08:36.560 --> 3:08:42.400]  doesn't even want people to know there's a decision. Right. There is no decision. There's only joining
[3:08:42.400 --> 3:08:47.440]  up in the big cult. Oh, that's what the globalists in front of my crew, Rothkopf, they said there's
[3:08:47.440 --> 3:08:53.200]  not even a choice. Oh, money, power, why wouldn't you? Because my soul recoils from it. And then the
[3:08:53.200 --> 3:08:57.920]  poison that comes out the end of what will make it power, there's not good stuff coming out of it,
[3:08:57.920 --> 3:09:03.920]  John. No, no. And that's just the beginning, what you're talking about. That's sort of like
[3:09:03.920 --> 3:09:10.480]  opening the door. Look, you can join the club, you can come in. And then you have all these advantages
[3:09:10.480 --> 3:09:15.760]  given to you if you do, you know, and then you say, Oh, that sounds good. Okay, let's try that.
[3:09:15.760 --> 3:09:22.800]  And then what happens to you actually is you give up your spirit step by step,
[3:09:22.800 --> 3:09:28.880]  which is all that matters. Which is all that matters exactly. And then you start doing evil
[3:09:28.880 --> 3:09:34.240]  things. And then you say, Well, I want to turn around and go back. And then the fellow cult
[3:09:34.240 --> 3:09:39.920]  members say no, no, you can't turn around. It's too late. You cross the threshold. That's what
[3:09:39.920 --> 3:09:45.520]  it means when you join up. You cross the threshold. You're now in this with all of us. We're all
[3:09:45.520 --> 3:09:49.760]  doing this. And you say, Well, I didn't know that when I came in, it was going to involve doing
[3:09:49.760 --> 3:09:54.800]  evil and letting other people just do evil. And they said, Well, we don't call it evil. It's
[3:09:54.800 --> 3:10:00.480]  actually good. And we can explain why if you want to, but you can't turn around. You're now
[3:10:00.480 --> 3:10:07.360]  joined to the hip with all of us. That's right. And that is what happens to these people. And then
[3:10:07.360 --> 3:10:14.880]  we look at these arch evil people and we see them for what they are. They are committed now. They
[3:10:14.880 --> 3:10:21.520]  have to be committed to doing evil, not just on a material level now, but on a spiritual level,
[3:10:21.520 --> 3:10:29.040]  because they've gone so far, they don't see how they can turn back. You can turn back,
[3:10:29.040 --> 3:10:36.800]  but you have to make a stand. You have to say, No, that's it. Uh-oh. Well, where it leads is
[3:10:36.800 --> 3:10:41.520]  absolute defilement. When in my experience being good and virtuous and loving,
[3:10:41.520 --> 3:10:49.360]  like material things are just tools to be free becomes a joke. Like worshiping a can of soda or
[3:10:49.360 --> 3:10:56.000]  a or a or a it's everything is a theory. Everything is thought. Everything is what you stand for.
[3:10:56.000 --> 3:11:01.760]  Everything is being good. And they don't even know that. So they wage war against what's honorable,
[3:11:01.760 --> 3:11:06.160]  the man, the woman, the family, the archetype, the program, the original code.
[3:11:06.160 --> 3:11:16.400]  Exactly. Exactly what happens. The operation is to get people to forget that they have a choice,
[3:11:16.400 --> 3:11:22.720]  that they know what's right, that they can do what's right, that they have a spirit, and that
[3:11:22.720 --> 3:11:28.720]  that is far more important than any momentary. Let's explain this because this is a secret to
[3:11:28.720 --> 3:11:35.200]  it all in my view. The devil, the system tells you, you could be powerful. You could be amazing.
[3:11:35.200 --> 3:11:40.080]  You could have all these dreams. It puts a mirror in front of your face that interdimensionally looks
[3:11:40.080 --> 3:11:45.040]  back through your entire potential and forward. It shows you your soul and says, I will give you
[3:11:45.040 --> 3:11:52.160]  your soul if you follow me. When that great vision is giving you is the potential you already have,
[3:11:52.160 --> 3:11:58.640]  that if you give it to Satan, you lose. You're already made in the image of God. You're already
[3:11:58.640 --> 3:12:05.120]  divine in God's will. You already have all this potential, and it's tricking you to give it power
[3:12:05.120 --> 3:12:12.640]  to control you because you believe that it's given you that vision and that power when God
[3:12:12.640 --> 3:12:17.520]  made you that way. Didn't give it to you. It made you. You're free will. You're made.
[3:12:18.720 --> 3:12:24.000]  Like you're there. You're a made man. You're a made woman, and they're trying to steal that power,
[3:12:24.000 --> 3:12:28.400]  and that's the most frustrating thing is watching people sign away their birthright.
[3:12:28.400 --> 3:12:34.320]  And everything got to these these midget gremlins that are older than us, and they're there
[3:12:34.320 --> 3:12:40.560]  in placing themselves in front of our vision. Exactly. They want to sell you back to you.
[3:12:41.840 --> 3:12:45.920]  Nothing could be more insane or ridiculous. Say that again, because the way you just pull it down,
[3:12:46.880 --> 3:12:53.200]  the way they sell you back to you back to you, just like that's what you were saying, in essence.
[3:12:53.200 --> 3:12:59.200]  You see, you don't already have it. We have it, and we can give it to you, and then you have it.
[3:12:59.200 --> 3:13:05.200]  And you're saying, well, you already have it. That's right. So their trick is to convince you
[3:13:05.200 --> 3:13:11.200]  that you don't have spirit, power, knowledge of the right thing to do, and a great vision of what
[3:13:11.200 --> 3:13:17.200]  you can do in this world and other worlds. No, you don't have that. They're saying, but we can sell
[3:13:17.200 --> 3:13:25.200]  it to you. We can give it to you. And if you're tricked, then you buy it. Whereas it's already
[3:13:25.200 --> 3:13:31.200]  there. You already have it. It's already you. That's what you are. There's no way to get out of that.
[3:13:31.200 --> 3:13:37.200]  If you recognize it, that's what you've already got. So how do we spread that to others?
[3:13:37.200 --> 3:13:43.200]  Well, by one, we keep saying it saying it over and over again, in different ways to wake people up
[3:13:43.200 --> 3:13:49.200]  to that fact. I'm sure that this conversation is waking up more than a few people who are
[3:13:49.200 --> 3:13:57.200]  getting. No, I agree. But God is free will. So how do you open yourself up to God, but not to bad stuff
[3:13:57.200 --> 3:14:02.200]  and just say, because if people open yourself to God, you, I can instantly just like connect to it.
[3:14:02.200 --> 3:14:07.200]  I'm going to be arrogant here on air and do it. But the point is, I can instantly just be in that place
[3:14:07.200 --> 3:14:13.200]  the most time that David talks about in the Psalms. How do people begin that journey? I guess not going
[3:14:13.200 --> 3:14:19.200]  to a fake church that knows they're seeking God and sucks him in. How do you do that?
[3:14:19.200 --> 3:14:29.200]  I think you recognize that you're you. You're an individual. You're not existing by virtue of the fact
[3:14:29.200 --> 3:14:37.200]  that you're hooked up to other things and people and so forth. That's not the source of your exactly.
[3:14:37.200 --> 3:14:45.200]  You don't need Facebook, Goldman Sachs. You need you need you. If you start there, you're going to go on
[3:14:45.200 --> 3:14:52.200]  the path. There's nothing that's going to stop because that's where it leads. It's only when you just like
[3:14:52.200 --> 3:14:59.200]  you said it's only when you start saying, no, I'm actually, you know, I'm Petsicola. I'm Coca Cola. I'm the little
[3:14:59.200 --> 3:15:06.200]  the house on the car on the this on these other people that are robots. And we're all that's the source
[3:15:06.200 --> 3:15:15.200]  of my existence. You know, then you then you're gone and you're but if you know that you're you just you
[3:15:15.200 --> 3:15:23.200]  as you are, then you can't not go on. Well, that's it. I mean, they thought they take things away from me and
[3:15:23.200 --> 3:15:28.200]  those are nothing. John Rapport, you got to come on more than once every six months. Please come back on
[3:15:28.200 --> 3:15:33.200]  next week. We love you. No more fake news.com. You're a beautiful soul. We love you, John. We love John Rapport.
[3:15:33.200 --> 3:15:39.200]  Thank you so much. Thank you, Alex. Thank you so much. It's such a quickening now. We're coming closer to God.
[3:15:39.200 --> 3:15:45.200]  Those that are with God are falling to the devil right now. Such a beautiful time, but also a painful time. Best of
[3:15:45.200 --> 3:16:10.200]  times. Worst of times. Got a big bag just takes over.
[3:16:10.200 --> 3:16:35.200]  Find me.
[3:16:35.200 --> 3:16:40.080]  1798. They're perfect for your bug out bag or storing in your vehicle. Give yourself
[3:16:40.080 --> 3:16:45.120]  and your loved ones the excitement and tradition of Slingbow, a new frontier in archery and
[3:16:45.120 --> 3:16:50.960]  truly modern twist on this primitive survival tool. Feel the thrill only at Slingbow.com.
[3:16:50.960 --> 3:16:55.120]  Finally, there's a way for you to get into the blockchain, the hottest financial sector
[3:16:55.120 --> 3:17:00.560]  without all the speculation. No, enjoy a 27% annualized payment each month without the
[3:17:00.560 --> 3:17:04.960]  ups and downs of Bitcoin. Seen on programs broadcast on Fox Business News, blockchain
[3:17:04.960 --> 3:17:09.600]  data centers offer an equipment leasing program in the explosive digital asset marketplace.
[3:17:09.600 --> 3:17:13.760]  Inspired by entrepreneurs who sold picks and shovels during the gold rush, the money is in
[3:17:13.760 --> 3:17:18.960]  the mining equipment used to manufacture dozens of critical digital assets. Not a security IPO
[3:17:18.960 --> 3:17:23.680]  or note, blockchain data centers have a proven turnkey equipment sale leaseback program with a
[3:17:23.680 --> 3:17:29.760]  27% annualized lease payment deposited into your bank account each month. Don't miss this one,
[3:17:29.760 --> 3:17:38.320]  stake your claim today. Call 800-600-3388. That's 800-600-3388. These valuable lease contracts
[3:17:38.320 --> 3:17:45.600]  won't last long. Call now 800-600-3388. 800-600-3388. Equipment offer poses a financial risk
[3:17:45.600 --> 3:17:48.640]  to owners consult with financial professionals before purchasing not an offer to buy or sell a
[3:17:48.640 --> 3:17:56.960]  security which requires an offering document. I spend a lot of time reminding the info wars of
[3:17:56.960 --> 3:18:02.800]  family of listeners and viewers that without you we won't be on the air and I spend a lot of time
[3:18:02.800 --> 3:18:08.000]  thanking you. But I really think you should thank yourself for keeping us on the air and really
[3:18:08.000 --> 3:18:12.480]  changing the world for the better and raising the alarm as modern ball reveres. But something I
[3:18:12.480 --> 3:18:19.040]  should spend more time on is just reminding you that these products are really amazing. You've
[3:18:19.040 --> 3:18:22.800]  got that pledge from me but you've seen the third-party test out there, the air filtration,
[3:18:22.800 --> 3:18:27.840]  the water filtration. The supplements are all the very best you're going to find out there and
[3:18:28.400 --> 3:18:34.960]  you can't fund an operation anywhere else that's fighting the globalist this hard. So it's not
[3:18:34.960 --> 3:18:43.040]  a burden to support info wars. It really is something that is good for everybody that stands for
[3:18:43.040 --> 3:18:47.680]  justice and freedom and makes your life and your family's life and your children's life
[3:18:47.680 --> 3:18:57.200]  so much better. So visit infowarstore.com today. Knock on wood, I am not tempting fate but everybody
[3:18:57.200 --> 3:19:03.120]  around the office especially folks that have worked there a long time have noticed that I really
[3:19:03.120 --> 3:19:08.240]  don't ever get sick. Now again I might get sick tomorrow because I just made that statement
[3:19:08.240 --> 3:19:13.040]  I'm not tempting fate. I'll say that again because I am superstitious when it comes down to that.
[3:19:13.040 --> 3:19:18.800]  I'm very thankful to the good Lord for the constitution I've been given but up until about
[3:19:18.800 --> 3:19:25.520]  eight nine years ago when I started taking X2 and the products in Forrest Life I still got sick
[3:19:25.520 --> 3:19:30.480]  every couple years and you know I still get sore throats from allergies and pollen and things like
[3:19:30.480 --> 3:19:37.920]  that but now that I religiously take the products at info wars life with the highest quality supplements
[3:19:37.920 --> 3:19:46.240]  you're going to find out there I just never get a fever anymore. It's probably been three four years
[3:19:46.240 --> 3:19:51.680]  since I've had a fever. It's just crazy. So I chalk it up to genetics and the great products.
[3:19:51.680 --> 3:20:07.600]  You're listening to the Alex Jones show.
[3:20:07.600 --> 3:20:24.080]  All right Dr. Nick Baggett scientist filmmaker author is taking over right now but I want to
[3:20:24.080 --> 3:20:28.880]  tell you something real quick here while they're trying to impeach the president
[3:20:29.600 --> 3:20:34.320]  all hell's breaking loose around the world they're launching this simulant bio weapon obviously
[3:20:34.320 --> 3:20:40.480]  but you heard about Mike Adams and thousands of other sites not hundreds being taken down by
[3:20:40.480 --> 3:20:44.960]  bizarre illegal secret court orders that we're finding out are totally fraudulent now why is
[3:20:44.960 --> 3:20:50.320]  that so important it's not about Mike Adams getting natural news blocked it's only up on
[3:20:50.320 --> 3:20:56.320]  a backup server. Michael tell you that if they shot me in the street today that means they're
[3:20:56.320 --> 3:21:02.080]  going for broke it's a canary in the coal mine show the fact that all this hell's breaking loose
[3:21:02.080 --> 3:21:07.280]  shows they're going for broke so I haven't made a big deal about this but let me just do an overhead
[3:21:07.280 --> 3:21:13.040]  shop for TV viewers please we have some of the biggest servers in the world on a system called
[3:21:13.040 --> 3:21:19.200]  cloud flare and listeners have been asking the last few days why does it say checking your browser
[3:21:20.240 --> 3:21:25.440]  oh my kid's calling me checking your browser before because we've got to put this big service in
[3:21:25.440 --> 3:21:31.680]  front of it that's the highest level of defense because there's the Nala service attacks and
[3:21:31.680 --> 3:21:38.400]  other attacks happening that are 20 times any previous attack that's the number but it's not
[3:21:38.400 --> 3:21:45.920]  just us it's everybody so while the trial this president's going on and while this bio systems
[3:21:45.920 --> 3:21:52.560]  whirling out and while all this is happening this is going on not just us but basically anybody
[3:21:52.560 --> 3:21:57.040]  that's pro-human not about liberal not about conservative now it's about pro-human future
[3:21:57.040 --> 3:22:05.840]  anti-human future love versus hate and as dr. nick baggins always says we shouldn't give into hate
[3:22:05.840 --> 3:22:10.000]  we shouldn't give into fear we should give into love and not be afraid because that's how they
[3:22:10.000 --> 3:22:14.720]  try to control us but oh and shroyer got arrested we're just putting a piece of tape over his
[3:22:14.720 --> 3:22:19.520]  mouth they hit the Capitol other people could protest the judge dropped it so there's some good
[3:22:19.520 --> 3:22:23.760]  in the universe as well it's just it he'll be on the war room I'm told he's getting out of jail
[3:22:23.760 --> 3:22:28.800]  right now coming up here in about 40 minutes war room oh and shroyer so please tell folks about that
