[00:00.000 --> 00:21.480]  Waging war on corruption, it's Alex Jones, coming to you live from the front lines of
[3:05:49.960 --> 3:05:55.000]  relationship. You know what, pal? That relationship does include a wall which is being built whether
[3:05:55.000 --> 3:06:00.120]  you like it or not. I'm Margaret Howe reporting for info wars dot com. Ladies and gentlemen,
[3:06:00.120 --> 3:06:05.640]  Alex Jones here on the road with a very important announcement. Roger Stone's new book that is
[3:06:05.640 --> 3:06:11.320]  coming out in a couple of weeks is exclusively available at preorder and info wars store dot com.
[3:06:11.320 --> 3:06:15.560]  It's the making of a president and it breaks down how Trump really got elected. The inside
[3:06:15.560 --> 3:06:20.040]  baseball, the current battles and a blueprint for the future and what Trump and others are really
[3:06:20.040 --> 3:06:24.200]  planning to do to restore the Republic of Prosperity. The bottom line, this is the book that got
[3:06:24.200 --> 3:06:28.120]  Roger Stone poisoned with polonium. It breaks down what really happened with the Russians and
[3:06:28.120 --> 3:06:33.160]  so much more and it supports him and it supports info wars and our whole operation. So it's essential
[3:06:33.160 --> 3:06:36.920]  with this book to the top of the charts in the political area, if not to the very top of the
[3:06:36.920 --> 3:06:41.400]  charts. Joe Biden has come out and said world government is collapsing. They're in full crisis
[3:06:41.400 --> 3:06:46.600]  mode. National's movements are exploding. Everybody needs to go preorder. So you get it first at
[3:06:46.600 --> 3:06:50.840]  info wars store dot com. The making of a president by Roger Stone. I'm Alex Jones. I'm going on
[3:06:50.840 --> 3:06:55.000]  airplane to go to the inaugural event with Trump. Pray for us and please continue to support the
[3:06:55.000 --> 3:07:00.920]  operation and get his book. Now sir, the first to have a trip to you. Electrify your day with
[3:07:00.920 --> 3:07:05.480]  secret 12. It's like lightning in a bottle. We all have days in which we just can't seem to
[3:07:05.480 --> 3:07:10.360]  perform at the level we'd like to. Info wars live secret 12 is designed to naturally energize
[3:07:10.360 --> 3:07:15.640]  your body and mind with two great tasting and super high quality forms of vitamin b12. Proper
[3:07:15.640 --> 3:07:20.840]  vitamin and nutrient intake is essential to keep your body functioning at optimum levels. The reality
[3:07:20.840 --> 3:07:26.040]  is it's hard to take in the proper amount of vitamins we need each day with our modern diets.
[3:07:26.040 --> 3:07:31.640]  Secret 12 by info wars life is an easy way to naturally upgrade your vitamin b12 intake and
[3:07:31.640 --> 3:07:38.520]  support your body's natural systems. It pairs two forms of vitamin b12 into one explosive formula.
[3:07:38.520 --> 3:07:43.320]  Vitamin b12 supports healthy energy levels through red blood cell formation and aiding in the body's
[3:07:43.320 --> 3:07:48.680]  natural processes. But it also assists with many other functions of the body electrify your mind
[3:07:48.680 --> 3:07:53.960]  and body and take your health to the next level experience the power of secret 12 at info wars
[3:07:53.960 --> 3:08:12.760]  life.com. That's info wars life.com. If you are receiving this transmission, you are the resistance
[3:08:13.640 --> 3:08:18.760]  from the front lines of the information war. It's Alex Jones.
[3:08:18.760 --> 3:08:24.760]  All right. I'm about to turn this over to Paul Watson, hosting from London, England with all
[3:08:24.760 --> 3:08:29.400]  the important information he's got to cover there about eagerly awaits. But just finishing up,
[3:08:29.400 --> 3:08:34.440]  I went off memory and said nine, 10,000 Saudi House members getting millions of dollars of
[3:08:34.440 --> 3:08:39.320]  peace, some billions a year. And I'm sorry, the numbers grown since I looked at it six,
[3:08:39.320 --> 3:08:42.920]  seven years ago or whatever. I just had my head nine, 10,000, but I said, check it.
[3:08:42.920 --> 3:08:51.000]  15,000 members of the Royal House, but 2000 get the hundreds of millions a year.
[3:08:52.040 --> 3:08:56.680]  But the lowest level gets like a Bentley and, you know, every year in a helicopter,
[3:08:56.680 --> 3:09:03.240]  every 10 years in a jet and $3 million a year, higher ups get billions a year. I mean, this
[3:09:03.240 --> 3:09:10.920]  is, this was all set up by British intelligence between 1901 and 1930. I mean, they were building
[3:09:10.920 --> 3:09:16.040]  it and turning it loose. The most radical form of the hobbyism, they would, they would attack the
[3:09:18.040 --> 3:09:21.720]  spice trail. They would attack the caravans going through Mecca.
[3:09:22.440 --> 3:09:25.960]  All right. I'm going to turn things over to Paul Joseph Watson. I've got this selfish question to
[3:09:25.960 --> 3:09:29.800]  my friend. Give me your honest assessment of Trump. I mean, I know about a year and a half ago,
[3:09:29.800 --> 3:09:33.800]  you had cold feet, but like team, you love him now. Obviously he's been delivering, but 10 days
[3:09:33.800 --> 3:09:38.360]  in, I mean, what would you call what's happening and the establishment media only intensifying
[3:09:38.360 --> 3:09:44.840]  your lies, Paul? Well, it's amazing, Alex. I thought going into the first 100 days of Trump
[3:09:44.840 --> 3:09:48.920]  would be, you know, holding his feet to the fire and making sure that he followed through on what
[3:09:48.920 --> 3:09:54.920]  he promised. Turns out that we didn't need to worry about that at all. He's going at light speed
[3:09:54.920 --> 3:09:59.800]  with everything that he promised. And of course that's, that's brought this mass frothing
[3:09:59.800 --> 3:10:06.040]  temper tantrum, the toys out of the prem temper tantrum to the four. Again, the left is completely
[3:10:06.040 --> 3:10:12.280]  determined. They would rather see America collapse than Trump be successful. That's the point that
[3:10:12.280 --> 3:10:17.240]  it's gotten to now. And you can see it with this travel ban. I mean, we've seen a narrative over
[3:10:17.240 --> 3:10:23.960]  the past couple of days, which is, oh, what if this offends ISIS? What if this offends terrorism?
[3:10:23.960 --> 3:10:29.480]  Yeah, they'll get us if we don't capitulate and run a white flag up, even Khan's dad goes on TV and
[3:10:29.480 --> 3:10:37.400]  goes, you will now face attack. I mean, it's like, wow, how veiled is that asshole? Well, the, excuse
[3:10:37.400 --> 3:10:42.520]  me, I'm sorry, go ahead. Yeah, the foreign secretary or the home secretary in the UK has
[3:10:42.520 --> 3:10:48.200]  just come out. This is on BBT and the road travel, Trump travel band could help ISIS.
[3:10:48.760 --> 3:10:53.480]  And she's saying it's a propaganda opportunity for so-called Islamic State. Well, number one,
[3:10:53.480 --> 3:10:59.880]  the very existence of the West and America is a propaganda opportunity. Number two, you actually
[3:10:59.880 --> 3:11:04.280]  look at what ISIS supporters have written. And we had a big article about this yesterday.
[3:11:04.840 --> 3:11:10.600]  And they are enjoying this because they say directly in their own words, this division that's
[3:11:10.600 --> 3:11:17.160]  caused by these leftist protesters rioting at the airports, smacking Trump supporters and knocking
[3:11:17.160 --> 3:11:24.200]  them out with metal objects while chanting, peaceful protest. The ISIS supporters love that.
[3:11:24.200 --> 3:11:30.200]  They want more of that because they see this division as a way to. And then CNN spins it and
[3:11:30.200 --> 3:11:35.720]  blames Trump like it's his fault. ISIS is attacking and his fault. ISIS is exploiting
[3:11:35.720 --> 3:11:40.920]  their own Soros protesters. I don't see this going well for them though. His Gallup poll numbers
[3:11:40.920 --> 3:11:47.800]  and Rasmussen only go up now upwards of 60%. We know those are even skewed polls. So what does this
[3:11:47.800 --> 3:11:55.160]  bode poll? Well, it bodes for a second Trump term. I mean, we had a Rasmussen poll yesterday,
[3:11:55.160 --> 3:12:02.120]  58% support the travel ban, only 33% oppose it. Again, in complete contradiction to this
[3:12:02.120 --> 3:12:08.760]  frothing media narrative, the whole country is in a tumultuous hissy fit against Donald Trump's
[3:12:08.760 --> 3:12:14.680]  travel ban. Complete BS. Most Americans support it. Most Americans think it's reasonable.
[3:12:14.680 --> 3:12:19.560]  The Americans that do support it don't think that it goes far enough. There's all this rhetoric
[3:12:19.560 --> 3:12:25.800]  about, oh, why aren't Saudi Arabia on the list? Well, number one, America actually gets detailed
[3:12:25.800 --> 3:12:31.240]  information about Saudi Arabia exports its tariffs. It doesn't let it go on its own country. So
[3:12:31.240 --> 3:12:36.280]  they've got real databases on them. Little more sophisticated, but they do send America
[3:12:36.280 --> 3:12:41.880]  intelligence on Saudis coming into the US. So at least we know who they are. Unlike, you know,
[3:12:41.880 --> 3:12:46.520]  Iraq and Syria, which don't, that's one reason. Another reason they're looking at adding more
[3:12:46.520 --> 3:12:53.240]  countries to the list. This list is based on seven countries chosen by the Obama administration,
[3:12:53.240 --> 3:12:59.000]  which of course, the left didn't give a damn about back in 2011 when Obama banned Iraqi refugees
[3:12:59.000 --> 3:13:03.560]  for a period of six months, double the amount of time that Trump's banned them. And again,
[3:13:03.560 --> 3:13:08.760]  you've got, you know, Chuck Schumer out there crying back in 2015, and we're going to play the
[3:13:08.760 --> 3:13:14.200]  clip later. He called off the back of the Obama administration's recommendations for basically
[3:13:14.200 --> 3:13:20.680]  the same system, a limit on refugees, basically extreme vetting. So in 2015, he's advocating
[3:13:20.680 --> 3:13:26.680]  the same system in 2017. He's crying. Well, that's my last question, Paul. Is this,
[3:13:27.480 --> 3:13:33.480]  as they call us fake news, it seems like they've only gone more insane and are now
[3:13:33.480 --> 3:13:40.760]  attacking basic pillars of known fact, just like Trump is enforcing Obama orders,
[3:13:40.760 --> 3:13:45.720]  and they act like he's like murdering Islamic children or something. This is totally insane.
[3:13:45.720 --> 3:13:50.360]  Separately though, very, very briefly here, because we didn't preach, you know, playing
[3:13:50.360 --> 3:13:55.880]  this live on the radio and TV. You've been with me now, what almost six, but it's 16 years, Paul.
[3:13:55.880 --> 3:14:01.400]  He's done a great job. You've seen him for worse grow from just you and myself and two or three
[3:14:01.400 --> 3:14:06.920]  others when I first hired you to where it is now. I know I've got to start a Washington bureau, a
[3:14:06.920 --> 3:14:11.160]  London bureau with at least a few people under you. I know we've got to do this because we're
[3:14:11.160 --> 3:14:15.080]  going to change history. We've already done it. It's responsibility. I can't just sit here and
[3:14:16.200 --> 3:14:23.000]  sit idly by. It is about restoring this republic, but encouraging people to support us and buy the
[3:14:23.000 --> 3:14:27.240]  books and buy the videos and buy the t-shirts and buy the non-GMO heirloom seeds and buy the
[3:14:27.240 --> 3:14:32.440]  water filtration systems that are 25% off right now. I mean, where can you say supporting an
[3:14:32.440 --> 3:14:38.040]  organization has had bigger effects on the world than supporting info wars? I don't say that from
[3:14:38.040 --> 3:14:43.560]  a position of a power trip. It's the opposite. I don't want to grow. I hate managing people.
[3:14:43.560 --> 3:14:48.440]  I don't want to do all this, but it's the responsibility that I've got to carry out.
[3:14:48.440 --> 3:14:52.840]  So I want to thank listeners for the support, but Paul unscripted. I know you're a private guy,
[3:14:52.840 --> 3:14:56.760]  but what has your journey been like and where do you think we're going from here? I mean,
[3:14:56.760 --> 3:15:01.240]  don't you have that same sense? I mean, last night I was texting you at 11 o'clock at night.
[3:15:01.240 --> 3:15:06.200]  My time you were texting back and I guess five a.m. You were still working. I gotta go to bed.
[3:15:06.760 --> 3:15:11.080]  I mean, I know you just work all the time now. It's an animating spirit. Trump feels it.
[3:15:11.800 --> 3:15:14.680]  Your take on that and I'm going to let you take over. I'm gone. I want to hear what you have to say.
[3:15:16.280 --> 3:15:21.480]  Well, the numbers are clear. We're having as big an impact, more of an impact than we've ever had
[3:15:21.480 --> 3:15:27.160]  before. I get literally, what, 2000 messages a day from people all over the world saying,
[3:15:27.160 --> 3:15:33.960]  we love you. You woke me up from leftists, from millennials, from Muslims, people you wouldn't
[3:15:33.960 --> 3:15:38.600]  normally expect the big difference. Oh yeah. Oh yeah. Oh yeah. Trump's people know you particularly
[3:15:38.600 --> 3:15:42.120]  are breaking the conditioning of young liberals. In fact, your scene now is more and more of a
[3:15:42.120 --> 3:15:47.880]  secret weapon, even more than Milo, Paul. You don't realize it. No, I get messages from people,
[3:15:47.880 --> 3:15:54.040]  not just like college students, not 16, 18 year olds, but literally some of them are 10, 11 years
[3:15:54.040 --> 3:15:58.840]  old and they're already watching my videos. They're watching info wars. They're already
[3:15:58.840 --> 3:16:03.560]  noticing the brainwashing in the schools. This is a massive revolution that's taking place,
[3:16:03.560 --> 3:16:08.520]  a restoration and we are capturing the minds of the next generation. We're literally redpilling
[3:16:08.520 --> 3:16:14.280]  the next generation because our arguments resonate. I mean, our Twitter feeds, our Facebook feeds,
[3:16:14.280 --> 3:16:20.360]  we're now competing for example, with BBC News, we're beating them on Twitter. We get more Twitter
[3:16:20.360 --> 3:16:28.120]  impressions than BBC News. They have 27 million followers on Twitter. What does that mean?
[3:16:28.120 --> 3:16:32.360]  It means that people follow them just because they think they should follow them. They don't
[3:16:32.360 --> 3:16:36.920]  resonate. Their message doesn't resonate. That's right. They've got all the followers
[3:16:36.920 --> 3:16:39.720]  because of all their billions in advertising, but no one's looking at them.
[3:16:39.720 --> 3:16:45.400]  Exactly. That's the thing about info wars, which has always been the case, but now more than ever,
[3:16:45.400 --> 3:16:50.920]  we have an activist audience. We have an audience that will go out to bat for us,
[3:16:50.920 --> 3:16:57.240]  will push our news. Whereas the BBC, ABC News, whoever, people just let it wash over them.
[3:16:57.240 --> 3:17:01.000]  Their audience are basically at one end of the spectrum,
[3:17:01.000 --> 3:17:04.920]  geriatrics at the other end, just really, really dumb people.
[3:17:04.920 --> 3:17:09.800]  They've got unconscious zombies who aren't in the arena. We've got people with the light
[3:17:09.800 --> 3:17:13.960]  of God in their eyes. It's beautiful. I mean, I'm gonna tell you, in these crowds,
[3:17:13.960 --> 3:17:19.000]  whether they be black or white or Hispanic, our fans have such electric eyes and are so awake.
[3:17:19.000 --> 3:17:23.800]  It's like humbling. I start getting tears in my eyes and I'm like, oh my God, this is magic.
[3:17:23.800 --> 3:17:29.560]  Then I look at who they've got. I don't say this with pleasure. The women's march looked like undead.
[3:17:29.560 --> 3:17:36.840]  But what is going on here, Paul? I think you've seen a polarization, Alex,
[3:17:36.840 --> 3:17:43.160]  where at one end of the spectrum, the really engaged, active, well-read people are coming over
[3:17:43.160 --> 3:17:49.000]  to us and the dumbos who are just emotionally react to any news story whatsoever. That's why
[3:17:49.000 --> 3:17:54.600]  they're drawn to the likes of Rachel Maddow or MSNBC because their brains are literally not as well
[3:17:54.600 --> 3:18:00.040]  developed and they react more emotionally to news events. So they're always going to have those
[3:18:00.040 --> 3:18:06.040]  people. And yeah, they're always going to have reasonably sized numbers of viewers. Rachel Maddow
[3:18:06.040 --> 3:18:10.520]  probably gets what, a couple of million a night or whatever, but they're not active people.
[3:18:10.520 --> 3:18:15.880]  You see them on Twitter. In fact, I have arguments with them sometimes. With people who send me
[3:18:15.880 --> 3:18:21.560]  death threats, I like to engage with them, have a conversation with them. It always turns out
[3:18:21.560 --> 3:18:27.640]  that they're borderline insane mentally ill people on drugs who have basically just had a mental
[3:18:27.640 --> 3:18:32.280]  breakdown and they're just lashing out on... That's right. All they've got supporting them,
[3:18:32.280 --> 3:18:37.080]  I'm skipping the sprays here more time, is unfortunately people that succumb to the propaganda.
[3:18:37.080 --> 3:18:41.480]  These are fallen fellow humans. The problem is you try to help them. They bite your hand.
[3:18:42.120 --> 3:18:48.760]  What do we do? Just move on, Paul. Well, they're fundamentally unhappy people, which is why
[3:18:48.760 --> 3:18:53.480]  I've said recently, I think the media's legitimization of violence and we saw it
[3:18:54.280 --> 3:18:59.960]  escalate after the Richard Spencer incident where he got punched on all the leftist came out and said,
[3:18:59.960 --> 3:19:04.120]  yes, it's good to punch Nazis, which basically... How dare you ask the question if you should punch
[3:19:04.120 --> 3:19:10.520]  a Nazi or not? Yeah. The nation news week came out with these articles saying, oh, it was beautiful.
[3:19:10.520 --> 3:19:17.640]  We could have put it to the sound of music. Okay. Violence to advance a political cause.
[3:19:17.640 --> 3:19:23.080]  You Google that. It's called terrorism. Okay. First, it's Nazis. Then they started talking
[3:19:23.080 --> 3:19:27.320]  about, oh, Breitbart writers, let's go out and punch a Breitbart writer. All right. So it's
[3:19:27.320 --> 3:19:32.360]  basically anyone who you disagree with. And then here's what happens. You punch me,
[3:19:32.360 --> 3:19:36.280]  I bash your brains out, then I'm bad for defending myself because let me tell you something.
[3:19:36.280 --> 3:19:43.720]  You punch me, I'm going to attack you. Exactly. So all those people who advocated violence against
[3:19:43.720 --> 3:19:49.080]  those with whom they disagree politically, in other words, terrorism, all right, you've lost
[3:19:49.080 --> 3:19:54.520]  your right to have an opinion on an issue such as what happened up in Canada, where you had,
[3:19:54.520 --> 3:20:01.000]  supposedly, this right-wing extremist go to a mosque, shoot dead six Muslims. That's tragic.
[3:20:01.000 --> 3:20:06.120]  I'd condemned it as soon as I found out about it because all violence in pursuit of political
[3:20:06.120 --> 3:20:11.320]  objectives is terrorism and it's wrong. The problem is the left doesn't think that. They
[3:20:11.320 --> 3:20:15.800]  think that so long as they disagree with you, that they can strike out, they can punch you in
[3:20:15.800 --> 3:20:20.520]  the face, they can set Trump supporters' hair on fire, they can launch acid attacks at the
[3:20:20.520 --> 3:20:27.800]  deplorable. Okay. So from now on, the people who made that argument, every time a far right
[3:20:27.800 --> 3:20:32.440]  not case does go out and kill people, you've lost your right to have an opinion on that.
[3:20:32.440 --> 3:20:38.280]  The other aspect of this, Alex, the right, it's fringe, crazy, violent extremists,
[3:20:38.280 --> 3:20:45.160]  the right always condemns them. The left encourages them. I mean, look at the narrative since Trump
[3:20:45.800 --> 3:20:51.080]  basically became the nominee before he became the nominee. Again, violence at his rallies
[3:20:51.080 --> 3:20:56.360]  was blamed on Trump, was blamed on Trump supporters, was legitimized by the mainstream media.
[3:20:56.360 --> 3:21:02.280]  They had the guy who tried to run up on stage and attack Trump. I think it was in Ohio back in
[3:21:02.280 --> 3:21:09.000]  March of last year. The next day he was on CNN. They were lionizing him. Look at Michael Sanford.
[3:21:09.000 --> 3:21:15.000]  I'm going to play a clip later. This is a 20-year-old British guy who went to a Trump rally,
[3:21:15.000 --> 3:21:20.200]  tried to grab a police officer's gun, and he planned all this out, tried to assassinate Trump.
[3:21:20.760 --> 3:21:26.120]  They're now producing sob story documentaries about him, saying that this guy who tried to
[3:21:26.120 --> 3:21:30.200]  assassinate Trump was just misunderstanding. Bottom line, the left fantasizes about violence
[3:21:30.200 --> 3:21:34.200]  all day, but if you defend yourself against them, they claim you're attacking. Paul,
[3:21:34.200 --> 3:21:37.640]  I wish you'd do the show more than once a week. Everybody loves you. You're doing a great job.
[3:21:37.640 --> 3:21:41.320]  Take over, my friend. I get to talk to you more here on air than I do in private,
[3:21:41.320 --> 3:21:45.480]  because we're both so busy, but thanks for doing a great job. Paul, just take over.
[3:21:46.440 --> 3:21:50.120]  Okay, thanks Alex. Yeah, let's get into this now because I mentioned it before.
[3:21:51.080 --> 3:21:56.440]  This is about the independent. Quebec Mosque shooting suspect was a fan of Donald Trump and
[3:21:56.440 --> 3:22:02.200]  Marine Le Pen. Now, of course, initially, the report said that this involved two suspects.
[3:22:02.200 --> 3:22:08.440]  Two suspects were arrested. One was a guy called Mohammed Khadir who had Moroccan origin, obviously
[3:22:08.440 --> 3:22:16.120]  a Muslim. That country is what, 98% Muslim. The other one was basically a white student from Quebec.
[3:22:16.920 --> 3:22:22.040]  It later turned out that the Mohammed Khadir individual was just an eyewitness,
[3:22:22.040 --> 3:22:28.440]  and in fact, this guy, Alexandra Bissonette, was the sole assassin who tragically killed
[3:22:28.440 --> 3:22:33.240]  six Muslims at a mosque there in Quebec. Now, of course, when this story first emerged,
[3:22:34.200 --> 3:22:37.880]  I think it was on the evening of Sunday or late night Sunday up there in Canada,
[3:22:38.760 --> 3:22:44.360]  it was at the top of the headlines. Leftists were outraged. They were screaming bloody murder,
[3:22:44.360 --> 3:22:51.000]  of course, an attack on a mosque. This has to be Alex Jones's fault. This has to be
[3:22:51.000 --> 3:22:55.560]  Donald Trump's fault. This has to be Marine Le Pen's fault. Now, what initially happened was
[3:22:55.560 --> 3:23:01.000]  you had, I think it was the Daily Beast, CNN and others, they came out and paced off of a fake
[3:23:01.560 --> 3:23:07.720]  Reuters Twitter account, a parody account, which was obviously a fake. They reported the names
[3:23:07.720 --> 3:23:13.480]  of the two shooters, the two terrorists with these two white supremacists, and then they gave the name
[3:23:13.480 --> 3:23:19.800]  falsely of these two individuals that they blamed for the attack. It was obvious to anyone with an
[3:23:19.800 --> 3:23:26.360]  ounce of common sense that this was a fake Twitter account, yet they reported that. And it went
[3:23:26.360 --> 3:23:31.240]  around for a couple of hours that this was a white supremacist attack. These two individuals were
[3:23:31.240 --> 3:23:36.120]  the culprits. Of course, that turned out to be complete BS. So then they had a problem.
[3:23:36.840 --> 3:23:41.160]  We slowly found out more about what was going on with this attack. And then it came out that
[3:23:41.160 --> 3:23:46.840]  one of the alleged suspects, one of the suspects that had been arrested was this guy called Mohammed
[3:23:46.840 --> 3:23:52.760]  Kedia from Morocco, or at least I have Moroccan origin, and the Al Aqbar was shouted during the
[3:23:52.760 --> 3:24:00.920]  attack. As soon as that came out, the left suddenly lost all their outrage about this incident.
[3:24:00.920 --> 3:24:06.200]  And you could see it drop down in the headlines, despite the fact that it was still, you know,
[3:24:06.200 --> 3:24:11.480]  relatively fresh news within 12 hours of the attack. Every single mainstream media website,
[3:24:11.480 --> 3:24:17.720]  you could see it drop down the news. Then, of course, it was revealed that this Mohammed Kedia
[3:24:17.720 --> 3:24:22.440]  was just an eyewitness. He wasn't the culprit. The culprit was a white supremacist called
[3:24:22.440 --> 3:24:28.280]  Alexandra Bissonetti. And once they found out how it rose back up in the headlines because
[3:24:28.280 --> 3:24:35.000]  agenda. So again, they don't care about innocent Muslims being killed. They only care if they
[3:24:35.000 --> 3:24:42.280]  can blame it on their political adversaries. All violence in pursuit of political objectives
[3:24:42.280 --> 3:24:48.360]  is terrorism, whether the culprit is a Muslim, a black guy, a white supremacist, whoever. Okay.
[3:24:49.160 --> 3:24:53.720]  That's the definition of terrorism, violence in pursuit of a political objective. This should
[3:24:53.720 --> 3:25:03.400]  be condemned. This is terrible. But again, the right condemns extreme right wing extremists who
[3:25:03.400 --> 3:25:08.680]  commit violence, far right fringe extremists who commit violence. The right condemns those people.
[3:25:09.240 --> 3:25:14.760]  Only extreme fringe elements of the right, like the Westboro Baptist Church or whoever,
[3:25:14.760 --> 3:25:20.840]  don't condemn those individuals. You look what happens on the left. They not only don't condemn
[3:25:20.840 --> 3:25:26.120]  the individuals responsible for violence in pursuit of political objectives, i.e. terrorism,
[3:25:26.120 --> 3:25:31.400]  they embrace them, they legitimize them. In fact, let's go to that BBC clip now.
[3:25:31.400 --> 3:25:37.640]  This was a guy, Michael Sanford, 20 year old British citizen who tried to assassinate Donald
[3:25:37.640 --> 3:25:43.960]  Trump, tried to pull an officer's gun and shoot Donald Trump dead. Listen to the tone of how
[3:25:43.960 --> 3:25:50.680]  they're now treating him in this BBC sob story documentary. Let's go to that clip now.
[3:25:53.640 --> 3:25:59.800]  But how did a young British man from Surrey end up trying to assassinate the most controversial
[3:25:59.800 --> 3:26:06.440]  and high profile man in the world? Donald J. Trump. We've always just been a very,
[3:26:06.440 --> 3:26:10.760]  very close family unit. We thought Donald Trump was the worst thing for the world.
[3:26:11.480 --> 3:26:17.320]  This is not a hardened criminal. This is just a young kid who found himself in an awful situation.
[3:26:17.320 --> 3:26:24.120]  He tried to assassinate him. He was a wolf in sheep's clothing. Michael is due to be sentenced
[3:26:24.120 --> 3:26:30.840]  and could face decades in prison. Michael Sanford could have altered the course of American history.
[3:26:30.840 --> 3:26:34.840]  But were these the actions of a boy with a history of mental health problems?
[3:26:35.480 --> 3:26:39.000]  He seemed just a totally different personality from the boy I'd known.
[3:26:39.800 --> 3:26:44.440]  You know, he's going to spend his 21st birthday in prison, someone who really shouldn't be there.
[3:26:45.320 --> 3:26:48.600]  Or was it a premeditated attack?
[3:26:48.600 --> 3:26:50.840]  When Michael was shooting, he was doing this.
[3:26:50.840 --> 3:26:56.280]  Who's he working for? Maybe he got radicalized.
[3:26:57.160 --> 3:27:00.600]  There's nothing I can tell him that will make his situation any better.
[3:27:02.840 --> 3:27:04.120]  And I just want my son back.
[3:27:06.120 --> 3:27:11.640]  That's the BBC talking about a guy who planned to and tried to assassinate Donald Trump.
[3:27:11.640 --> 3:27:18.280]  Can you imagine the BBC coming out with a documentary about Dylan Roof portraying it in
[3:27:18.280 --> 3:27:24.280]  that manner, like it's a big sob story, like this poor, misunderstood, mentally ill individual.
[3:27:24.280 --> 3:27:30.280]  Of course, they always trot out the mentally ill explanation when it's a left-wing terrorist
[3:27:30.280 --> 3:27:35.480]  or when it's an Islamic terror attack. But you dare do that when it's anybody else and they come
[3:27:35.480 --> 3:27:41.640]  down on you real hard. But, you know, strictly speaking, liberalism is a mental disorder, so
[3:27:41.640 --> 3:27:45.960]  mental illness is involved. But again, just listen to the tone of that piece, which again,
[3:27:45.960 --> 3:27:53.720]  goes to my central point. The right condemns its fringe extremist violent element. The left doesn't.
[3:27:53.720 --> 3:28:01.480]  It embraces it. It encourages it. I mean, you saw the event at Portland Airport on Sunday afternoon,
[3:28:01.480 --> 3:28:07.080]  where they rushed in, they smashed this member of the Bible believer group over their head
[3:28:07.080 --> 3:28:12.200]  with a metal pole. They started kicking him in the head until some of his friends could get
[3:28:12.200 --> 3:28:18.280]  around him and protect him. And you could hear what they were yelling, yes. Hunt the Nazis.
[3:28:18.280 --> 3:28:23.000]  Hunt the Nazis. They were whooping and hollering while this was happening. The crowd then broke
[3:28:23.000 --> 3:28:29.720]  out into a chant, peaceful protest, after they just smacked this guy over the head with a metallic
[3:28:29.720 --> 3:28:36.600]  object, left him in and out of consciousness, vomiting, and they're there chanting peaceful
[3:28:36.600 --> 3:28:42.360]  protest. Again, they're not peaceful. These are violent individuals. Yeah, most of them who
[3:28:42.360 --> 3:28:47.960]  advocate violence are never going to partake in it. Look at this guy screaming at him. Like, yes,
[3:28:47.960 --> 3:28:55.160]  yes, that's what you get, Nazi. So now everyone's a Nazi who disagrees with far left anti-Trump
[3:28:55.160 --> 3:29:00.520]  rioters. And so it's perfectly fine to attack them, to physically assault them in the street.
[3:29:00.520 --> 3:29:08.040]  Again, that's called terrorism. It's the very textbook definition of terrorism. The left never
[3:29:08.040 --> 3:29:14.840]  condemns this behavior. The nation Newsweek after the attack on Richard Spencer came out
[3:29:14.840 --> 3:29:21.640]  and glorified it. They venerated it. You can go back to Ferguson Time magazine in defense of rioting.
[3:29:21.640 --> 3:29:29.720]  They glorify they venerate mob violence, mob attacks. So again, goes back to the central
[3:29:29.720 --> 3:29:35.480]  point. The left is now openly embracing terrorism. It's no surprise that their rhetoric is now
[3:29:35.480 --> 3:29:41.400]  mirroring and matching actual ISIS sympathizers, which we're going to get more into after the
[3:29:41.400 --> 3:29:45.960]  break. This is the fourth hour of the Alex Jones show live breaking news at info wars dot com. Don't
[3:29:45.960 --> 3:30:04.120]  go away. We've seen politicians from across the world like whining sniffling babies over Trump's
[3:30:04.120 --> 3:30:09.880]  immigration ban. We've seen city con declare actual war on President Trump because he has the nerve
[3:30:09.880 --> 3:30:13.880]  to point out that some people come from terrorist places and we should have a temporary travel ban.
[3:30:13.880 --> 3:30:18.840]  We've seen Chuck Schumer, Senator from New York, actually cry stating that the Statue of Liberty
[3:30:18.840 --> 3:30:23.240]  is shedding tears because Liberty has taken such a hit this week because of Trump's ban. I've got
[3:30:23.240 --> 3:30:28.120]  news for you people. The countries that are on Trump's ban were actually identified by President
[3:30:28.120 --> 3:30:33.480]  Obama. At least 20 alleged terrorists since 2014 have come from countries affected by Trump's
[3:30:33.480 --> 3:30:38.600]  immigration ban. There's an article up today on the Daily Caller and identifies these 20 alleged
[3:30:38.600 --> 3:30:43.720]  terrorists in the past three years. They were actually immigrants or refugees from seven majority
[3:30:43.720 --> 3:30:49.160]  Muslim nations that President Trump has temporarily banned in his migration ban on Friday. These
[3:30:49.160 --> 3:30:54.680]  countries include Iraq, Iran, Libya, Somalia, Sudan, Syria and Yemen. They won't be allowed to
[3:30:54.680 --> 3:30:59.400]  emigrate to the US for the next three months. I'm Margaret Hall reporting for info wars dot com.
[3:30:59.400 --> 3:31:03.560]  Over the years, there have been a lot of powerful advancements in the field of science and
[3:31:03.560 --> 3:31:09.160]  nutraceuticals. Young Jevity integrates years of scientific research into creating fantastic
[3:31:09.160 --> 3:31:14.760]  products like Beyond Tangy Tangerine, plant-derived minerals and much more. Young Jevity also offers
[3:31:14.760 --> 3:31:19.480]  you an ingenious way to augment your income and the best part you'll be helping your friends and
