[00:00.000 --> 00:13.000]  from the front lines of the information war it's alex jones
[1:16:40.000 --> 1:16:42.000]  during your family at great prices,
[1:16:42.000 --> 1:16:44.000]  but it funds the info war in this critical time.
[1:16:44.000 --> 1:16:47.000]  A total complete absolute 360 win.
[1:16:47.000 --> 1:16:49.000]  Every point of the compass is covered.
[1:16:49.000 --> 1:16:52.000]  The only way we can be defeated is if you don't take action.
[1:16:52.000 --> 1:16:56.000]  Get high quality products at infowarstore.com today.
[1:16:56.000 --> 1:16:59.000]  With the daily wear and tear of the environment on our skin,
[1:16:59.000 --> 1:17:03.000]  it's only natural that it starts to crack and take damage.
[1:17:03.000 --> 1:17:07.000]  Wind, heat, water, and age are telltale signs
[1:17:07.000 --> 1:17:10.000]  that it's time to start taking care of your skin.
[1:17:10.000 --> 1:17:12.000]  With the info war super silver cream,
[1:17:12.000 --> 1:17:15.000]  you can keep your skin feeling silky smooth
[1:17:15.000 --> 1:17:18.000]  and begin to heal the damages of the world around you.
[1:17:18.000 --> 1:17:20.000]  Created with ingredients like coconut oil,
[1:17:20.000 --> 1:17:24.000]  vitamin E, and the incredible silver salt formula,
[1:17:24.000 --> 1:17:27.000]  info war silver cream works triple duty.
[1:17:27.000 --> 1:17:30.000]  Supporting the beautifying and protecting of the skin
[1:17:30.000 --> 1:17:34.000]  is fast, non greasy formula, small and easily stored.
[1:17:34.000 --> 1:17:36.000]  It can support dry and damaged skin
[1:17:36.000 --> 1:17:38.000]  to reduce fine lines and wrinkles
[1:17:38.000 --> 1:17:40.000]  while smoothing and softening calluses.
[1:17:40.000 --> 1:17:43.000]  With none of the harmful ingredients found in other formulas,
[1:17:43.000 --> 1:17:46.000]  you can be sure this silver cream is hard at work,
[1:17:46.000 --> 1:17:48.000]  promoting the healing of your skin.
[1:17:48.000 --> 1:17:50.000]  Don't miss out on the new silver salt powered,
[1:17:50.000 --> 1:17:52.000]  can't miss formula.
[1:17:52.000 --> 1:18:02.000]  Info wars super silver cream today.
[1:18:23.000 --> 1:18:25.000]  My energy, my focus, I've lost almost 40 pounds
[1:18:25.000 --> 1:18:27.000]  in less than four months.
[1:18:27.000 --> 1:18:28.000]  It's incredible.
[1:18:28.000 --> 1:18:30.000]  So do yourself a favor.
[1:18:30.000 --> 1:18:32.000]  Try out the products if you've been on the fence.
[1:18:32.000 --> 1:18:35.000]  You can't lose except if you don't take action.
[1:18:35.000 --> 1:18:36.000]  Because when you buy the products,
[1:18:36.000 --> 1:18:39.000]  you're funding the operation that is always delivering
[1:18:39.000 --> 1:18:42.000]  thanks to your support and God's grace and our action.
[1:18:42.000 --> 1:18:44.000]  But you need these products.
[1:18:44.000 --> 1:18:46.000]  That's the real reason you want to get them
[1:18:46.000 --> 1:18:47.000]  is because they're amazing.
[1:18:47.000 --> 1:18:48.000]  And then when you get great results,
[1:18:48.000 --> 1:18:51.000]  please tell others about it word of mouth.
[1:18:51.000 --> 1:18:54.000]  How we expand in the face of the NWO instead of imploding.
[1:18:54.000 --> 1:18:56.000]  We're fighting to win and we are winning.
[1:18:56.000 --> 1:18:58.000]  Thanks to you.
[1:18:58.000 --> 1:18:59.000]  Real stuff, man.
[1:18:59.000 --> 1:19:00.000]  We're talking about the real deal here.
[1:19:00.000 --> 1:19:02.000]  And I love Trump all day long, but man, I tell you,
[1:19:02.000 --> 1:19:04.000]  he sits there and lets these big tech people
[1:19:04.000 --> 1:19:06.000]  keep running rough shot over and everybody,
[1:19:06.000 --> 1:19:08.000]  I mean, I've got a problem.
[1:19:08.000 --> 1:19:10.000]  And we'll just take the Trump rallies over.
[1:19:10.000 --> 1:19:12.000]  That said, about two months ago,
[1:19:12.000 --> 1:19:14.000]  I came up with a plan that I haven't launched yet.
[1:19:14.000 --> 1:19:17.000]  We have a warehouse full of hundreds of thousands of stickers,
[1:19:17.000 --> 1:19:19.000]  20 different stickers,
[1:19:19.000 --> 1:19:21.000]  impeach the Democrats,
[1:19:21.000 --> 1:19:22.000]  save the Second Amendment,
[1:19:22.000 --> 1:19:24.000]  defend the First Amendment in FullWars.com.
[1:19:24.000 --> 1:19:26.000]  And it looks like duct tape.
[1:19:26.000 --> 1:19:27.000]  It's just a regular sticker.
[1:19:27.000 --> 1:19:29.000]  You put it over your mouth, you go to a Trump rally,
[1:19:29.000 --> 1:19:31.000]  and you instantly take over without even disrupting things.
[1:19:31.000 --> 1:19:33.000]  People say, why are you doing this?
[1:19:33.000 --> 1:19:34.000]  What's happening?
[1:19:34.000 --> 1:19:35.000]  When you go, well, we're being censored.
[1:19:35.000 --> 1:19:37.000]  You know, Trump won't do anything about it.
[1:19:37.000 --> 1:19:38.000]  And Dr. Pachennick,
[1:19:38.000 --> 1:19:39.000]  let me just ask you what you think,
[1:19:39.000 --> 1:19:40.000]  because I've not launched this yet.
[1:19:40.000 --> 1:19:41.000]  It's brilliant.
[1:19:41.000 --> 1:19:45.000]  You've taken the very element that they try to repress you with,
[1:19:45.000 --> 1:19:48.000]  that silence, and made it into a weapon.
[1:19:48.000 --> 1:19:51.000]  You have the loudest sound of all, silence.
[1:19:51.000 --> 1:19:54.000]  And you know what's most disturbing to people?
[1:19:54.000 --> 1:20:19.000]  Silence.
[1:20:19.000 --> 1:20:24.000]  First.com is tomorrow's news today.
[1:20:24.000 --> 1:20:29.000]  You're listening to the Alex Jones show.
[1:20:29.000 --> 1:20:30.000]  All right.
[1:20:30.000 --> 1:20:32.000]  It's always great to have Max Geyser in studio with us.
[1:20:32.000 --> 1:20:36.000]  But I think part of it is he does his international RT show.
[1:20:36.000 --> 1:20:38.000]  It's very serious.
[1:20:38.000 --> 1:20:39.000]  And then he likes to blow off steam
[1:20:39.000 --> 1:20:41.000]  and have fun here on this show.
[1:20:41.000 --> 1:20:44.000]  But things are really, really serious.
[1:20:44.000 --> 1:20:45.000]  And on air and off air,
[1:20:45.000 --> 1:20:47.000]  he was agreeing that this coronavirus,
[1:20:47.000 --> 1:20:50.000]  long-term, threatens the global economy.
[1:20:50.000 --> 1:20:52.000]  And it's certainly causing big shake-ups in China.
[1:20:52.000 --> 1:20:54.000]  But I wanted to get Mike Adams on,
[1:20:54.000 --> 1:20:57.000]  because in the last month that we've been focused on the coronavirus,
[1:20:57.000 --> 1:21:01.000]  I have really tried to downplay how serious things could be,
[1:21:01.000 --> 1:21:04.000]  because I don't want to overplay it.
[1:21:04.000 --> 1:21:05.000]  But I got to tell you,
[1:21:05.000 --> 1:21:07.000]  the response we've seen has been over the top.
[1:21:07.000 --> 1:21:09.000]  The government's saying everything's okay
[1:21:09.000 --> 1:21:10.000]  out of one side of their mouth,
[1:21:10.000 --> 1:21:14.000]  but massive preparations on the other side really concerns me.
[1:21:14.000 --> 1:21:16.000]  And now we're seeing that, indeed,
[1:21:16.000 --> 1:21:19.000]  we're covering up the real numbers of people that were sick.
[1:21:19.000 --> 1:21:21.000]  And now we've got major scientific institutions
[1:21:21.000 --> 1:21:25.000]  and major medical institutions saying the reinfection is happening
[1:21:25.000 --> 1:21:29.000]  and people get even sicker in the reinfection
[1:21:29.000 --> 1:21:31.000]  because it looks like it's mutated.
[1:21:31.000 --> 1:21:33.000]  So something big's going on here.
[1:21:33.000 --> 1:21:37.000]  Absolutely, Xi Jinping is using this to clamp down a political list
[1:21:37.000 --> 1:21:41.000]  and it's moving to Taiwan where their takeover's been unpopular.
[1:21:41.000 --> 1:21:43.000]  But there's something else going on.
[1:21:43.000 --> 1:21:44.000]  We know it's been made.
[1:21:44.000 --> 1:21:45.000]  We know they've been covering up the origin of that.
[1:21:45.000 --> 1:21:48.000]  Now, mainline news is saying it's man-made.
[1:21:48.000 --> 1:21:50.000]  So we've really been the cutting edge here
[1:21:50.000 --> 1:21:53.000]  with Mike Adams, another guest that we've had on the broadcast.
[1:21:53.000 --> 1:21:57.000]  Cruise ship coronavirus cases spiked 30%
[1:21:57.000 --> 1:22:01.000]  first death reported in Europe.
[1:22:01.000 --> 1:22:04.000]  Doctors warn of even deadlier coronavirus reinfection
[1:22:04.000 --> 1:22:08.000]  causing sudden heart attacks.
[1:22:08.000 --> 1:22:11.000]  Leading medical journal reports coronavirus highly contagious
[1:22:11.000 --> 1:22:14.000]  and more deadly than initially estimated.
[1:22:14.000 --> 1:22:18.000]  Bill Gates warns 10 million lives at risk as virus spreads to Africa
[1:22:18.000 --> 1:22:20.000]  and Taiwan reports first death.
[1:22:20.000 --> 1:22:23.000]  China now censoring coronavirus critics in the U.S.
[1:22:23.000 --> 1:22:24.000]  We'll get more into that in a moment.
[1:22:24.000 --> 1:22:30.000]  China's disintegrating, steel demand, property sales, traffic
[1:22:30.000 --> 1:22:32.000]  all approaching zero.
[1:22:32.000 --> 1:22:34.000]  I mean, if it is a hoax, it's the biggest hoax in history,
[1:22:34.000 --> 1:22:35.000]  but it is contagious.
[1:22:35.000 --> 1:22:41.000]  It is killing people, but I mean, are they over-responding?
[1:22:41.000 --> 1:22:44.000]  Coronavirus could infect 60% of the whole population of unchecked.
[1:22:44.000 --> 1:22:45.000]  That's the London Guardian.
[1:22:45.000 --> 1:22:49.000]  Xi's early involvement in virus outbreak raises questions.
[1:22:49.000 --> 1:22:54.000]  To 10 coronavirus, Mao-style social control blankets China.
[1:22:54.000 --> 1:22:58.000]  Did coronavirus originate in Chinese government laboratories?
[1:22:58.000 --> 1:23:00.000]  See, that's now in Reuters.
[1:23:00.000 --> 1:23:01.000]  It's now in the Daily Mail.
[1:23:01.000 --> 1:23:03.000]  It's now in the German news.
[1:23:03.000 --> 1:23:09.000]  No handshakes, viral outbreaks, spook Asians, places of worship, AP.
[1:23:09.000 --> 1:23:13.000]  Pets in China forced to wear bizarre makeshift masks made by owners
[1:23:13.000 --> 1:23:16.000]  amid fears they may catch deadly coronavirus.
[1:23:16.000 --> 1:23:22.000]  And there's just all taped up animals faces looking completely dystopic.
[1:23:22.000 --> 1:23:24.000]  Mass hysteria?
[1:23:24.000 --> 1:23:30.000]  A hunt for clues in Hawaii after a tourist couple falls ill with coronavirus.
[1:23:30.000 --> 1:23:34.000]  China desperate to stop coronavirus spread turns neighbor against neighbor.
[1:23:34.000 --> 1:23:37.000]  Avoid crowds, overvirus, Japan health minister warns.
[1:23:37.000 --> 1:23:40.000]  I mean, I gotta go to Mike Adams to stop just reading all these headlines.
[1:23:40.000 --> 1:23:44.000]  Everything Mike said two, three weeks ago has now come true, okay?
[1:23:44.000 --> 1:23:51.000]  And we've been laying this out, so it's obviously big, but what is it?
[1:23:51.000 --> 1:23:52.000]  What's behind it?
[1:23:52.000 --> 1:23:53.000]  How bad is it gonna get?
[1:23:53.000 --> 1:23:54.000]  Mike Adams, what's the latest?
[1:23:54.000 --> 1:23:56.000]  Tell us tomorrow's news today.
[1:23:56.000 --> 1:23:58.000]  Well, thanks for having me on, Alex.
[1:23:58.000 --> 1:24:01.000]  I really appreciate your segments with Max Kaiser there.
[1:24:01.000 --> 1:24:08.000]  I apologize, I can't bring that level of levity to this because I've just been diving into the coronavirus,
[1:24:08.000 --> 1:24:12.000]  but I'm glad, you know, I'm really glad that we could have a little humor today
[1:24:12.000 --> 1:24:15.000]  because it's about to get really dark for America.
[1:24:15.000 --> 1:24:20.000]  So number one, first of all, in the last week, the CDC top person,
[1:24:20.000 --> 1:24:25.000]  the head of the CDC, Dr. Redfield, admitted that this was coming to America
[1:24:25.000 --> 1:24:30.000]  in the form of community outbreaks and that it would return essentially year after year
[1:24:30.000 --> 1:24:34.000]  kind of like the way the seasonal flu keeps coming back mutated.
[1:24:34.000 --> 1:24:40.000]  So you have the head of the CDC admitting that this is going to become endemic in the human population,
[1:24:40.000 --> 1:24:44.000]  and it's only a matter of time before it goes across America.
[1:24:44.000 --> 1:24:48.000]  That's right, after God said that on Friday, and you wrote about it, naturalloves.com,
[1:24:48.000 --> 1:24:53.000]  but that's so huge, there's a whole new class of virus that's clearly made in the laboratory
[1:24:53.000 --> 1:24:57.000]  that they tell us is this whole new thing we've got to just deal with now.
[1:24:57.000 --> 1:25:02.000]  Absolutely, and as you just mentioned, the reinfection of this is more fatal than the initial infection
[1:25:02.000 --> 1:25:06.000]  because what happens is during the initial infection, your body is slow to respond,
[1:25:06.000 --> 1:25:08.000]  slow to build the antibodies.
[1:25:08.000 --> 1:25:14.000]  If you survive that, and currently we believe that maybe 83, 85 out of 100 people survived that first infection,
[1:25:14.000 --> 1:25:20.000]  if you get reinfected, what happens is your body over responds with what's called a cytokine storm
[1:25:20.000 --> 1:25:27.000]  and that combined with the initial scarring of your lungs from the first infection is causing sudden heart failure.
[1:25:27.000 --> 1:25:32.000]  And Alex, this I believe is what's behind those videos of people dropping dead on the streets,
[1:25:32.000 --> 1:25:34.000]  where they die in 60 seconds and it just collapse.
[1:25:34.000 --> 1:25:36.000]  It's the second infection.
[1:25:36.000 --> 1:25:38.000]  It's the same virus.
[1:25:38.000 --> 1:25:43.000]  It's just that your body responds differently and you have sudden extreme heart failure and you're dead.
[1:25:43.000 --> 1:25:45.000]  You cannot be revived. It's over.
[1:25:45.000 --> 1:25:49.000]  So remember, I don't know if you've read reports about the Spanish flu in 1918.
[1:25:49.000 --> 1:25:53.000]  It wasn't the first wave that killed the, what, 50 million people around the world.
[1:25:53.000 --> 1:25:55.000]  It was the second wave.
[1:25:55.000 --> 1:26:03.000]  So even if we are lucky enough to survive the first wave of this, the second wave of infection could be even more devastating than the first.
[1:26:03.000 --> 1:26:05.000]  And by the way, I'm starting to get hints.
[1:26:05.000 --> 1:26:07.000]  I want to be careful.
[1:26:07.000 --> 1:26:15.000]  This is not confirmed yet, but we're seeing in the Asian media, we're seeing a lot of mentions of people who had been traveling to and from Hawaii
[1:26:15.000 --> 1:26:20.000]  later getting diagnosed in countries like Japan and Taiwan and Malaysia and so on.
[1:26:20.000 --> 1:26:23.000]  There seems to be some kind of link to Hawaii right now.
[1:26:23.000 --> 1:26:26.000]  Again, it's not confirmed. We're not aware of any outbreaks there.
[1:26:26.000 --> 1:26:31.000]  But if you think about the number of Asian people who visit Hawaii for tourism or business, you know,
[1:26:31.000 --> 1:26:36.000]  they're large Japanese American communities in Hawaii and so on,
[1:26:36.000 --> 1:26:43.000]  then you begin to understand Hawaii makes sense as the first geographical place for this to really have sustained outbreaks in America.
[1:26:43.000 --> 1:26:45.000]  But it doesn't happen.
[1:26:45.000 --> 1:26:47.000]  But the evidence is sort of pointing in that direction.
[1:26:47.000 --> 1:26:53.000]  At the same time, right now in China, so many people are under quarantine or lockdown.
[1:26:53.000 --> 1:26:57.000]  It's now double the population of the entire United States of America.
[1:26:57.000 --> 1:27:01.000]  760 million people under lockdown in China.
[1:27:01.000 --> 1:27:08.000]  And they're now starting to offer rewards if you narc on your feverish neighbor.
[1:27:08.000 --> 1:27:13.000]  So now this is full blown communism, Alex, where it's like, here, we're going to pay you money.
[1:27:13.000 --> 1:27:22.000]  The state is going to pay you money to turn in your neighbor who has a fever or who's coughing or who just came from Wuhan and didn't tell anybody.
[1:27:22.000 --> 1:27:29.000]  So now we have this secret police culture where they're turning people against each other all across China.
[1:27:29.000 --> 1:27:33.000]  And on top of that, you want me to keep going? I've got more.
[1:27:33.000 --> 1:27:39.000]  You've got the floor here. I mean, clearly something big behind this. And you're right, they're using it as a clamp down.
[1:27:39.000 --> 1:27:42.000]  But there are people for real just dropping dead. And that's what these reports.
[1:27:42.000 --> 1:27:49.000]  You talked about this two weeks ago, but now major medical institutions are saying that's what's causing his total cardiac arrest.
[1:27:49.000 --> 1:27:58.000]  So a piece I put together, by the way, I just published 15 minutes ago a new piece that talks about how the coronavirus could alter the outcome of the 2020 election.
[1:27:58.000 --> 1:28:00.000]  We should probably get into that.
[1:28:00.000 --> 1:28:15.000]  Maybe you want to repost it's up to you. But the Democrat cities, they rely on public transportation where you share common surfaces in subways and taxis and rail trains and public transportation buses.
[1:28:15.000 --> 1:28:19.000]  Well, the coronavirus survives up to nine days on a surface, viable.
[1:28:19.000 --> 1:28:27.000]  And also in liberal cities, you have sanctuary status, which means that once this gets into Mexico or other South American or Central American nations,
[1:28:27.000 --> 1:28:31.000]  they're going to have people fleeing those nations who are infected. They're trying to run away from the pandemic.
[1:28:31.000 --> 1:28:40.000]  They're going to cross the U.S. border and they're going to be drawn like magnets to the sanctuary cities like San Francisco, where we already have a feces problem there.
[1:28:40.000 --> 1:28:45.000]  We now have scientists confirming that this coronavirus spreads through human feces.
[1:28:45.000 --> 1:28:50.000]  Another confirmed case in Hong Kong where it was spread through the sewage lines in an apartment building.
[1:28:50.000 --> 1:28:58.000]  Stay there. Let's start over then because that's really the big news that this could affect the 2020.
[1:28:58.000 --> 1:29:06.000]  Three weeks ago, we told you that the Pentagon had set up secret quarantine centers for the coronavirus and that they believed it was much more serious than we were being told.
[1:29:06.000 --> 1:29:08.000]  Now we know that that is the case.
[1:29:08.000 --> 1:29:14.000]  And we know the federal government and major corporations have been buying up all the major storable food supplies around the country.
[1:29:14.000 --> 1:29:23.000]  Almost everyone else is sold out. But our supplier, my patriot, InfowarsStore.com still has their entire line of high quality, fresh food.
[1:29:23.000 --> 1:29:27.000]  And it's fresh. That's why you have to wait 10 to 14 days for it to get delivered.
[1:29:27.000 --> 1:29:33.000]  Not because they don't have the food, but because they've got a package it and their factories are going 24 hours a day.
[1:29:33.000 --> 1:29:39.000]  High quality, fresh food, the best package systems, tastes great, protects you and your family and funds the Infowar.
[1:29:39.000 --> 1:29:44.000]  You just got to get the orders in until they extended out even more, which could happen.
[1:29:44.000 --> 1:29:49.000]  Lock in your orders now. Ensure you get it at InfowarsStore.com today.
[1:29:49.000 --> 1:30:10.000]  If you are receiving this transmission, you are the Resistance.
[1:30:20.000 --> 1:30:34.000]  Trust CNN, trust MSNBC, drink fluoridated water, just like the loving kiss of a king cobra pumping deadly, I mean loving, helpful nutrients in their body.
[1:30:34.000 --> 1:30:47.000]  Hug the cobra, love the cobra, kiss the cobra, but never, never go to Infowars.com or InfowarsStore.com.
[1:30:47.000 --> 1:30:56.000]  Do not order those products. Silence, don't sell it.
[1:30:56.000 --> 1:31:03.000]  Don't be a victim. If you're worried about the coronavirus, exercise, but not too hard, because that can lower your immune system.
[1:31:03.000 --> 1:31:07.000]  Drink extra purified clean water so that no toxins weigh you down when you have plenty of hydration.
[1:31:07.000 --> 1:31:13.000]  Prayer and meditation has been a privilege to make you healthier. Get plenty of vitamin C, get plenty of vitamin D3, which is fish oil.
[1:31:13.000 --> 1:31:18.000]  Take your colloidal silver, all of it. That's what allows you to be healthier and get plenty of sleep.
[1:31:18.000 --> 1:31:25.000]  We have sold out of the 16-ounce immune gargle that has the nano-silver that Pat did and documented and even admitted in documents we've shown
[1:31:25.000 --> 1:31:31.000]  to go after this whole Corona SARS family. A virus. We're almost sold out of the one-ounce spray bottles.
[1:31:31.000 --> 1:31:35.000]  That'll be sold out a couple days, and we're about a week and a half or so of the super-silver three-ounce bottles.
[1:31:35.000 --> 1:31:38.000]  Great to have, period. Really good for your gums, really great for your teeth.
[1:31:38.000 --> 1:31:44.000]  We also have the super-silver in our whitening toothpaste. Again, we're the only folks allowed to private label or make our own products
[1:31:44.000 --> 1:31:48.000]  with this top nanotech company based here in the U.S. that's in all these Homeland Security documents and everything,
[1:31:48.000 --> 1:31:52.000]  because we get the best stuff. There's a lot of patrons. There's not just bad guys coming after us.
[1:31:52.000 --> 1:31:57.000]  There's the flip side of all the good guys and good gals. It's very exciting.
[1:31:57.000 --> 1:32:02.000]  You deserve a deep restful sleep with knockout by InfoWarsLife.
[1:32:02.000 --> 1:32:10.000]  Our organic formula is made from high-quality natural ingredients such as Valerian root extract, L-tryptophan,
[1:32:10.000 --> 1:32:13.000]  lemon balm leaf extract, and melatonin.
[1:32:13.000 --> 1:32:18.000]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[1:32:18.000 --> 1:32:24.000]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life,
[1:32:24.000 --> 1:32:31.000]  we need to be able to keep up the pace. Our natural mixture harnesses the power of ten known ingredients
[1:32:31.000 --> 1:32:37.000]  to let your body relax and get the sleep you need. Wake up refreshed and take on the day.
[1:32:37.000 --> 1:32:43.000]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands
[1:32:43.000 --> 1:32:49.000]  at an affordable price. Get the sleep you deserve and experience the power of knockout.
[1:32:49.000 --> 1:33:04.000]  Head on over to InfoWarsLife.com and say goodbye to fatigue. That's InfoWarsLife.com.
[1:33:19.000 --> 1:33:35.000]  Alright, Mike Adams is our guest here, Natural News. He's been on target.
[1:33:35.000 --> 1:33:40.000]  Nobody else really breaking all this down. It's been in the medical journals, it's been out there,
[1:33:40.000 --> 1:33:43.000]  but they've been really suppressing those and making people cover it up.
[1:33:43.000 --> 1:33:49.000]  But now more and more scientists, more and more people in the U.S. government are coming out and saying,
[1:33:49.000 --> 1:33:53.000]  no, it is man-made. And it's a whole new class of viruses that they say is like the flu
[1:33:53.000 --> 1:34:00.000]  that'll just be mutating and bouncing around forever. So who knows how it really mutates later?
[1:34:00.000 --> 1:34:07.000]  Who knows what they've already done with this virus in the laboratory? And now we're going to see it unfold for years.
[1:34:07.000 --> 1:34:14.000]  We have the headline. It's up at InfoWars.com. Hope people will share it. It's also at NaturalNews.com, where Mike first published it.
[1:34:14.000 --> 1:34:20.000]  Could the coronavirus pandemic drastically alter the 2020 elections?
[1:34:20.000 --> 1:34:26.000]  Democrat cities are the most likely outbreak hubs because of the rats, the feces, the needles,
[1:34:26.000 --> 1:34:33.000]  just the overall mental illness and filthiness everywhere, and their giant destinations for people pouring out of the third world
[1:34:33.000 --> 1:34:38.000]  with all sorts of other diseases that also lower the immune system. Mike, lay it out for them.
[1:34:38.000 --> 1:34:44.000]  Well, there are really two big risks. One set of risks works against the Democrats and the other against Trump.
[1:34:44.000 --> 1:34:51.000]  First, in terms of infections, the Democrat cities are the high-density areas that are most likely to spread these diseases.
[1:34:51.000 --> 1:34:55.000]  They have homelessness problems in places like Seattle, shared needles, filthy streets,
[1:34:55.000 --> 1:35:03.000]  B.C.s running in the streets of San Francisco, bad public health policies. It's a disaster in many of these liberal cities. On top of that, again,
[1:35:03.000 --> 1:35:08.000]  you have shared public transportation. People don't typically own their own private cars. They share transportation.
[1:35:08.000 --> 1:35:12.000]  And these are sanctuary cities where infected migrants are likely to go to.
[1:35:12.000 --> 1:35:18.000]  On the other side of this, if there is an economic impact from this outbreak, then that's going to hurt Trump.
[1:35:18.000 --> 1:35:25.000]  Because, as I said in the story, I believe that President Trump has foolishly tied himself to one number in America,
[1:35:25.000 --> 1:35:32.000]  and that's the Dow Jones industrial average, which by itself is very one-dimensional, doesn't really cover the full economy
[1:35:32.000 --> 1:35:39.000]  of what's really happening. I mean, there's a lot of good news in America. Unemployment rate has plummeted, especially among minority groups.
[1:35:39.000 --> 1:35:45.000]  But the stock market is a bubble. It is going to correct at some point if this pandemic accelerates that correction,
[1:35:45.000 --> 1:35:52.000]  and that will be used to hammer Trump, and people might start to lose faith in the Trump administration if he can't keep that stock market sky-high
[1:35:52.000 --> 1:35:58.000]  all the way through November. So maybe these are a wash. Maybe these risks balance each other out. It's hard to say,
[1:35:58.000 --> 1:36:04.000]  but I think we have to be asking right now, and here on your show, this is the first time we're talking about it publicly on any broadcast,
[1:36:04.000 --> 1:36:10.000]  how will this impact the election? And there were 26 Democrat senators who wrote a letter to President Trump,
[1:36:10.000 --> 1:36:16.000]  an urgent letter, I think just two days ago, saying that they need more funding to combat this virus.
[1:36:16.000 --> 1:36:22.000]  So far, President Trump has really not done much about this, and I think he needs to get out in front of this very quickly.
[1:36:22.000 --> 1:36:27.000]  He has ordered the research, as you know, to find out if this was genetically engineered. We already know that's the case.
[1:36:27.000 --> 1:36:31.000]  We don't know if the government's going to cover that up. At least Trump is doing something.
[1:36:31.000 --> 1:36:37.000]  But he needs to get out in front of this and say to the American people, it's not a bad idea to get prepared.
[1:36:37.000 --> 1:36:42.000]  It's not a bad idea to think about maybe you have to keep your kids home from school if there's an outbreak in your community.
[1:36:42.000 --> 1:36:46.000]  But so far, he's not doing any of that. I think he doesn't want to cause panic.
[1:36:46.000 --> 1:36:51.000]  So we're still far away from the election. We're going to see how this plays out.
[1:36:51.000 --> 1:36:56.000]  By the way, 355 people now confirmed infected on the Diamond Princess cruise ship.
[1:36:56.000 --> 1:37:02.000]  Now think about this. They're getting infected because they're sharing the same air on that ship.
[1:37:02.000 --> 1:37:08.000]  It's not a level four biohazard quarantine center. It's a floating clinic now, basically.
[1:37:08.000 --> 1:37:11.000]  People keep getting infected, and here's the problem, Alex.
[1:37:11.000 --> 1:37:17.000]  They're going to release people from that quarantine on February 19th in three days.
[1:37:17.000 --> 1:37:20.000]  They're going to release people who do not yet show signs.
[1:37:20.000 --> 1:37:24.000]  Well, what if that person got infected today or tomorrow?
[1:37:24.000 --> 1:37:28.000]  They would only be in day two or day three of the incubation period.
[1:37:28.000 --> 1:37:33.000]  They would have full blown symptoms maybe two weeks later, but they're going to be released on February 19th.
[1:37:33.000 --> 1:37:38.000]  Some of them are Americans, and they're choosing to fly back on commercial airlines in first class seats
[1:37:38.000 --> 1:37:43.000]  rather than take the evacuation flights that are currently being chartered by the United States government.
[1:37:43.000 --> 1:37:50.000]  The evacuation participants will suffer another quarantine in the United States 14 more days after they come back,
[1:37:50.000 --> 1:37:52.000]  at least according to early reports.
[1:37:52.000 --> 1:37:57.000]  But these other people who are released on February 19th, they will have no quarantine.
[1:37:57.000 --> 1:38:02.000]  They will be able to fly commercially and come back to U.S. airports and go back to their homes in U.S. cities all across the country
[1:38:02.000 --> 1:38:06.000]  with no monitoring until they start to show symptoms.
[1:38:06.000 --> 1:38:09.000]  So I think this is a critical mistake. This is how these things happen.
[1:38:09.000 --> 1:38:12.000]  Bad mistakes. The CDC has already screwed up once.
[1:38:12.000 --> 1:38:18.000]  They sent a quarantine person home, accidentally realized that they should have been back in the quarantine center.
[1:38:18.000 --> 1:38:23.000]  There was a lab mix-up. You know, you covered that, I think, earlier in the week, and then they had to come back in the quarantine.
[1:38:23.000 --> 1:38:30.000]  So we're starting to see mistakes being made, not even to cover deliberate cover-ups that may be taking place,
[1:38:30.000 --> 1:38:34.000]  but just mistakes will cause this to spread everywhere.
[1:38:34.000 --> 1:38:37.000]  Just jump in whenever you want. I'm going to keep going until you do.
[1:38:37.000 --> 1:38:40.000]  Oh, no, Mike, that's why you're here. I want you to lay all this out.
[1:38:40.000 --> 1:38:44.000]  Nobody's laying out more comprehensive, more accurate information. We're blessed to have you.
[1:38:44.000 --> 1:38:52.000]  Well, look, I'm honored to be here, and Bill Gates now says 10 million people could be killed in Africa alone.
[1:38:52.000 --> 1:38:57.000]  Of course, a lot of people are going to find that ironic, given the depopulation agenda of Bill Gates and so on.
[1:38:57.000 --> 1:38:59.000]  But he's talking about just Africa.
[1:38:59.000 --> 1:39:05.000]  Now, Ethiopia Airlines is continuing to take flights directly from China, because they take money from China.
[1:39:05.000 --> 1:39:09.000]  They don't want to insult China, so they haven't cut off the flights.
[1:39:09.000 --> 1:39:14.000]  Ethiopia and other African nations, I mean, in Egypt now we have a confirmed case.
[1:39:14.000 --> 1:39:20.000]  Many of these nations are not in any way equipped to deal with this outbreak, and they will simply just refuse to test for it.
[1:39:20.000 --> 1:39:22.000]  And that way they don't have to report any numbers.
[1:39:22.000 --> 1:39:26.000]  An outbreak in Africa, Bill Gates, he's saying it could kill 10 million people.
[1:39:26.000 --> 1:39:31.000]  He knows the real number is more like 100 million. He's being very conservative.
[1:39:31.000 --> 1:39:37.000]  This could be a real wipeout of millions of people, tens of millions of people across the world in Africa.
[1:39:37.000 --> 1:39:41.000]  Something big is going on because, and yes, I'm selling terrible food.
