[00:00.000 --> 00:21.880]  Defending the Republic from enemies foreign and domestic it's Alex Jones and now your
[03:02:25.200 --> 03:02:28.200]  and he had to slow him down and say, hold on, hold on.
[03:02:28.200 --> 03:02:29.200]  Where are you citing this?
[03:02:29.200 --> 03:02:31.200]  I believe you, but where are you getting it from?
[03:02:31.200 --> 03:02:34.200]  And it's true because he's got so many data points to hit.
[03:02:34.200 --> 03:02:36.200]  I mean, it's just incredible.
[03:02:36.200 --> 03:02:38.200]  Well, and that's why the crew here is so valuable.
[03:02:38.200 --> 03:02:39.200]  It's like the same thing.
[03:02:39.200 --> 03:02:44.200]  I mean, look, I'm not, I mean, Alex is Alex Jones.
[03:02:44.200 --> 03:02:48.200]  But for me, it's like I do just so much news aggregation.
[03:02:48.200 --> 03:02:51.200]  And then I try to get the things that I want in front of me to have on the desk
[03:02:51.200 --> 03:02:53.200]  and then focus on, but it's like certain things.
[03:02:53.200 --> 03:02:56.200]  It's like, I'll just be sitting here and I have a photographic memory
[03:02:56.200 --> 03:02:59.200]  just literally shuffling through files in my head.
[03:02:59.200 --> 03:03:02.200]  And so like earlier, there was a story and I couldn't remember if it was 83 or 38,
[03:03:02.200 --> 03:03:04.200]  but I do it was one of those numbers.
[03:03:04.200 --> 03:03:06.200]  And so it's like all these things like your synapses, your data points,
[03:03:06.200 --> 03:03:08.200]  you're just going through all these files in your head.
[03:03:08.200 --> 03:03:12.200]  And it seems like information overload, but that's just where you're at.
[03:03:12.200 --> 03:03:16.200]  Like, so yeah, you do need to slow down sometimes.
[03:03:16.200 --> 03:03:17.200]  Yeah, yeah, absolutely.
[03:03:17.200 --> 03:03:22.200]  And then just, you know, to point out what you said earlier, you know,
[03:03:22.200 --> 03:03:25.200]  the new listeners, especially, I mean, I've been listening for 15 years.
[03:03:25.200 --> 03:03:29.200]  So for the most part, I follow what's being said, but, you know,
[03:03:29.200 --> 03:03:33.200]  I always kind of hope that there would be some way somehow to create some sort of a,
[03:03:33.200 --> 03:03:37.200]  you know, like a wiki style knowledge base or something where, you know,
[03:03:37.200 --> 03:03:42.200]  you could just point to it and say, okay, you know, here's, here's where I'm getting this from.
[03:03:42.200 --> 03:03:46.200]  You know, it might be helpful to kind of us out here to, you know,
[03:03:46.200 --> 03:03:48.200]  be able to quickly reference something as opposed to trying to go.
[03:03:48.200 --> 03:03:49.200]  Yeah.
[03:03:49.200 --> 03:03:52.200]  And you know, that, and that actually is so important now because the way they
[03:03:52.200 --> 03:03:57.200]  censored the internet and the search engines, it's almost impossible to find the stuff
[03:03:57.200 --> 03:04:01.200]  you want to now because they just algorithm it out of the search results.
[03:04:01.200 --> 03:04:02.200]  Yeah, absolutely.
[03:04:02.200 --> 03:04:07.200]  And it's frustrating because it's like, I know, and this happens all the time with Alex, too.
[03:04:07.200 --> 03:04:09.200]  It's like, it's like, I know I saw that.
[03:04:09.200 --> 03:04:11.200]  And so the crew will be looking for it.
[03:04:11.200 --> 03:04:12.200]  It's not their fault.
[03:04:12.200 --> 03:04:13.200]  They can't find it.
[03:04:13.200 --> 03:04:14.200]  I mean, they're not in my head.
[03:04:14.200 --> 03:04:17.200]  They're not in that time zone with me, but it's like, yeah.
[03:04:17.200 --> 03:04:21.200]  Oh, they've been searching on Google and they go to, but Google erased it.
[03:04:21.200 --> 03:04:22.200]  Yeah.
[03:04:22.200 --> 03:04:29.200]  And the last point would be that, you know, some people are just not made to go and do
[03:04:29.200 --> 03:04:30.200]  research.
[03:04:30.200 --> 03:04:31.200]  They want it to be shown to them.
[03:04:31.200 --> 03:04:33.200]  So we need to make it easier to show it to them.
[03:04:33.200 --> 03:04:38.200]  And here's the thing that I've always said, you know, you don't have to take what we
[03:04:38.200 --> 03:04:44.200]  say to the bank, take it to your own research, you know, I mean, cross check everything we
[03:04:44.200 --> 03:04:45.200]  say here on air.
[03:04:45.200 --> 03:04:48.200]  I mean, we don't tell you what to think.
[03:04:48.200 --> 03:04:51.200]  We tell you what we think and then, and then you find out for yourself.
[03:04:51.200 --> 03:04:54.200]  It's true.
[03:04:54.200 --> 03:04:56.200]  Infowarsstore.com is how you support us.
[03:04:56.200 --> 03:04:58.200]  And it's not like we're selling stuff you don't need.
[03:04:58.200 --> 03:05:04.200]  You don't want the air in the average American home is filled with toxins that put it on
[03:05:04.200 --> 03:05:07.200]  par with a major city.
[03:05:07.200 --> 03:05:10.200]  There's some of the most polluted areas on earth are major cities.
[03:05:10.200 --> 03:05:12.200]  How can I solve that problem?
[03:05:12.200 --> 03:05:19.200]  So we have air filters at Infowarsstore.com, the Alexa Pure Breeze, which is right now $50
[03:05:19.200 --> 03:05:26.200]  off the Alexa Pure Breeze groundbreaking iron cluster air filter technology.
[03:05:26.200 --> 03:05:29.200]  And we've got a limited quantity of these left right now.
[03:05:29.200 --> 03:05:33.200]  We're basically selling these at cost because there was a big overhaul.
[03:05:33.200 --> 03:05:37.200]  Go ahead and read the hundreds of five star reviews for yourself.
[03:05:37.200 --> 03:05:39.200]  I've got two in my home.
[03:05:39.200 --> 03:05:45.200]  You'll notice the difference, ladies and gentlemen, with the Alexa Pure Breeze in your house.
[03:05:45.200 --> 03:05:49.200]  Don't live in a polluted major city in your home.
[03:05:49.200 --> 03:05:51.200]  Have clean air.
[03:05:51.200 --> 03:05:55.200]  Go to Infowarsstore.com.
[03:06:01.200 --> 03:06:03.200]  You know, sometimes it's just too much fun here.
[03:06:03.200 --> 03:06:07.200]  I got to say, as Mike Adams is about to take over, I'm going to pass on the baton.
[03:06:07.200 --> 03:06:14.200]  I have to question everything now because I've just discovered something that is so unknown
[03:06:14.200 --> 03:06:18.200]  and astronomically mysterious.
[03:06:18.200 --> 03:06:20.200]  This is Mike. Just brace yourself for this.
[03:06:20.200 --> 03:06:21.200]  Are you ready, Mike? Are you ready?
[03:06:21.200 --> 03:06:22.200]  Yes.
[03:06:22.200 --> 03:06:25.200]  All right. Now, I don't know, folks, if you can handle this.
[03:06:25.200 --> 03:06:26.200]  So just be warned.
[03:06:26.200 --> 03:06:31.200]  But Bridget Bowman from Roll Call has the story.
[03:06:31.200 --> 03:06:38.200]  Now, folks, I'm telling you, nobody, this is like so unknown to the general public.
[03:06:38.200 --> 03:06:39.200]  You're going to be shocked.
[03:06:39.200 --> 03:06:42.200]  But we have the tweet right here.
[03:06:42.200 --> 03:06:48.200]  A Capitol police officer left a gun in a bathroom and not just any gun, a Glock,
[03:06:48.200 --> 03:06:51.200]  which fires if the trigger is pulled.
[03:06:51.200 --> 03:06:52.200]  Oh my gosh.
[03:06:52.200 --> 03:06:53.200]  Scoop.
[03:06:53.200 --> 03:06:56.200]  So Mike, so first of all, obviously it's ridiculous.
[03:06:56.200 --> 03:06:58.200]  Police officers leaving guns in their bathrooms unattended.
[03:06:58.200 --> 03:06:59.200]  Yeah, that's ridiculous.
[03:06:59.200 --> 03:07:03.200]  But the big news here, Mike, the big news and I don't look, I understand if you want to,
[03:07:03.200 --> 03:07:08.200]  if Mike, if you want to go to rebroadcast and just kind of soak this all in or we can go
[03:07:08.200 --> 03:07:10.200]  to a special report because this is bombshell.
[03:07:10.200 --> 03:07:15.200]  Mike, did you know that a gun fires when you pull the trigger?
[03:07:15.200 --> 03:07:16.200]  This is news to me.
[03:07:16.200 --> 03:07:22.200]  We need when we need to disassemble a Glock and find out how they work.
[03:07:22.200 --> 03:07:27.200]  And also, of course, the next tweet from that liberal will probably be that Glock triggers
[03:07:27.200 --> 03:07:30.200]  pull themselves because guns kill people.
[03:07:30.200 --> 03:07:37.200]  So not only does the trigger fire the gun, the gun will leap out of the holster and it will align
[03:07:37.200 --> 03:07:41.200]  its front and rear sights and it will actuate its own slide to load around and it will pull
[03:07:41.200 --> 03:07:45.200]  its own trigger, including depressing that Glock trigger safety that's on the trigger
[03:07:45.200 --> 03:07:47.200]  in order to fire that round.
[03:07:47.200 --> 03:07:48.200]  Hold on a second.
[03:07:48.200 --> 03:07:50.200]  We're getting new breaking news here.
[03:07:50.200 --> 03:07:55.200]  The Glock was actually left unloaded and Mike, it loaded itself.
[03:07:55.200 --> 03:07:58.200]  It put ammunition in itself, Mike.
[03:07:58.200 --> 03:07:59.200]  I know.
[03:07:59.200 --> 03:08:00.200]  I hate it when that happens.
[03:08:00.200 --> 03:08:05.200]  When the guns load themselves and the really advanced guns now can reload high capacity
[03:08:05.200 --> 03:08:07.200]  magazines themselves as well.
[03:08:07.200 --> 03:08:08.200]  You don't even have to do anything.
[03:08:08.200 --> 03:08:14.200]  You just look at the gun and it just starts shooting people randomly and reloading itself.
[03:08:14.200 --> 03:08:18.200]  This is the same magic that makes the Green New Deal work, by the way.
[03:08:18.200 --> 03:08:21.200]  It's incredible, incredible kinetic magic.
[03:08:21.200 --> 03:08:24.200]  It allows you to build railroads across the Pacific Ocean.
[03:08:24.200 --> 03:08:28.200]  So, Ocasio Cortez is invoking this incredible gun magic.
[03:08:28.200 --> 03:08:29.200]  It's just remarkable.
[03:08:29.200 --> 03:08:31.200]  Thanks for bringing that story in.
[03:08:31.200 --> 03:08:32.200]  Oh my gosh.
[03:08:32.200 --> 03:08:33.200]  I'm sorry.
[03:08:33.200 --> 03:08:34.200]  It's just so ridiculous.
[03:08:34.200 --> 03:08:36.200]  These people are out of control, Mike.
[03:08:36.200 --> 03:08:37.200]  I mean, oh, okay.
[03:08:37.200 --> 03:08:41.200]  I'm not trying to, I don't want to sour Mike's segment here, folks.
[03:08:41.200 --> 03:08:42.200]  He's got great stuff coming up.
[03:08:42.200 --> 03:08:45.200]  I've just been on air for a while now, so I'm kind of loopy.
[03:08:45.200 --> 03:08:48.200]  So, Mike, this is how insane the left is today.
[03:08:48.200 --> 03:08:52.200]  They say that Trump won't have a peaceful transition to power even though that's the
[03:08:52.200 --> 03:08:53.200]  Democrats getting violent.
[03:08:53.200 --> 03:08:57.200]  They say Trump is misusing the justice system, even though that's the Democrats aiming it
[03:08:57.200 --> 03:08:59.200]  at Trump and conservatives.
[03:08:59.200 --> 03:09:02.200]  They're literally rubbing menstrual blood on their face.
[03:09:02.200 --> 03:09:03.200]  That's the story today.
[03:09:03.200 --> 03:09:09.200]  And apparently they've just discovered that if you pull the trigger of a firearm, it fires.
[03:09:09.200 --> 03:09:12.200]  So, Mike, this is where the left is at today.
[03:09:12.200 --> 03:09:14.200]  So, I'm loopy.
[03:09:14.200 --> 03:09:15.200]  I'm out of control.
[03:09:15.200 --> 03:09:16.200]  You're focused.
[03:09:16.200 --> 03:09:17.200]  You're ready to go, Mike.
[03:09:17.200 --> 03:09:19.200]  So, take over the Alex Jones show.
[03:09:19.200 --> 03:09:22.200]  Mike Adams, naturalnews.com, counterthink.com.
[03:09:22.200 --> 03:09:23.200]  Always great to hear from him.
[03:09:23.200 --> 03:09:24.200]  Mike, I sign off.
[03:09:24.200 --> 03:09:25.200]  Take it away.
[03:09:25.200 --> 03:09:26.200]  All right.
[03:09:26.200 --> 03:09:27.200]  Thanks, Owen.
[03:09:27.200 --> 03:09:28.200]  You had a great show today, too.
[03:09:28.200 --> 03:09:34.200]  I tuned into quite a bit of it in between running my own staff here.
[03:09:34.200 --> 03:09:39.200]  Just an incredible array of topics, including I really like how you got into higher consciousness
[03:09:39.200 --> 03:09:43.200]  and even some of the religious and biblical elements to this.
[03:09:43.200 --> 03:09:48.200]  Just as a side note to that, I've been actually listening to the full audiobook of the Bible
[03:09:48.200 --> 03:09:50.200]  because I wanted to read it all for myself.
[03:09:50.200 --> 03:09:55.200]  And I didn't grow up in a Bible family, so I never had read it cover to cover.
[03:09:55.200 --> 03:10:01.200]  I was struck by Leviticus, the book of Leviticus, or that chapter of Scripture.
[03:10:01.200 --> 03:10:11.200]  It actually describes how bacterial and viral infections spread and contaminate people and food and water.
[03:10:11.200 --> 03:10:18.200]  And it's clear to me that that book, Leviticus, that whole section was written by someone
[03:10:18.200 --> 03:10:23.200]  who was obviously being instructed by God, a God that knew thousands of years ago
[03:10:23.200 --> 03:10:27.200]  about viruses and bacteria and contamination,
[03:10:27.200 --> 03:10:31.200]  even though the microscope wasn't invented until, of course, thousands of years later.
[03:10:31.200 --> 03:10:36.200]  So if you ever wanted proof that the Bible was written with divine guidance by a God
[03:10:36.200 --> 03:10:40.200]  who knew everything, just look at Leviticus.
[03:10:40.200 --> 03:10:41.200]  You can read it.
[03:10:41.200 --> 03:10:42.200]  It's all in there.
[03:10:42.200 --> 03:10:46.200]  It's literally talking about pandemics and the outbreak of infectious disease
[03:10:46.200 --> 03:10:49.200]  and how you keep your food clean and how you keep your water clean.
[03:10:49.200 --> 03:10:54.200]  It even describes quarantine protocols for if someone who's infected,
[03:10:54.200 --> 03:10:58.200]  how you quarantine them away from the rest of the group until they are healed.
[03:10:58.200 --> 03:10:59.200]  So, you know, there you go.
[03:10:59.200 --> 03:11:01.200]  Just as an interesting side note, but thank you, Owen.
[03:11:01.200 --> 03:11:04.200]  I'll go ahead and get into everything here.
[03:11:04.200 --> 03:11:05.200]  Wow.
[03:11:05.200 --> 03:11:10.200]  Just watching what's happening today and listening to today's show, it's extraordinary.
[03:11:10.200 --> 03:11:18.200]  I've never seen a stronger set of signs about the demonic invasion of our world
[03:11:18.200 --> 03:11:20.200]  than what's happening right now.
[03:11:20.200 --> 03:11:25.200]  And that guess that Owen just had on that film, I'm sorry, I forgot the name of it,
[03:11:25.200 --> 03:11:27.200]  but Steve Quail's in it.
[03:11:27.200 --> 03:11:30.200]  Just, what is that?
[03:11:30.200 --> 03:11:31.200]  Justin Fall?
[03:11:31.200 --> 03:11:32.200]  Okay, that's right.
[03:11:32.200 --> 03:11:34.200]  Justin Fall, the creator of that film.
[03:11:34.200 --> 03:11:35.200]  Fascinating.
[03:11:35.200 --> 03:11:36.200]  I watched that preview.
[03:11:36.200 --> 03:11:43.200]  And, you know, the knowledge is opening up to people now about what's really behind everything,
[03:11:43.200 --> 03:11:49.200]  the history of the world, the creation of the world, you know, the creation of the cosmos.
[03:11:49.200 --> 03:11:51.200]  It's called Hollow Earth Chronicles.
[03:11:51.200 --> 03:11:52.200]  Yeah, that's it.
[03:11:52.200 --> 03:11:55.200]  Hollow Earth Chronicles from 4th Watch Films.
[03:11:55.200 --> 03:11:57.200]  Very interesting stuff.
[03:11:57.200 --> 03:12:02.200]  And I was even sort of mentioning this here that as each year goes by,
[03:12:02.200 --> 03:12:06.200]  Steve Quail is more and more correct.
[03:12:06.200 --> 03:12:10.200]  You know, like 10 years ago, Steve Quail was saying the same things he's saying today,
[03:12:10.200 --> 03:12:14.200]  except of course he has a lot more detail now and he's got more knowledge about it.
[03:12:14.200 --> 03:12:19.200]  But back then, a lot of what Steve was saying, even to people like me seemed like,
[03:12:19.200 --> 03:12:23.200]  wow, that's, you know, that's, I've never heard that before.
[03:12:23.200 --> 03:12:27.200]  But with each passing year, it's like, man, Steve Quail is nailing it.
[03:12:27.200 --> 03:12:29.200]  He knows exactly what's going on.
[03:12:29.200 --> 03:12:32.200]  And he knew this decades ago.
[03:12:32.200 --> 03:12:36.200]  Steve Quail was decades ahead of the mass awakening.
[03:12:36.200 --> 03:12:38.200]  No question about it.
[03:12:38.200 --> 03:12:45.200]  You talk about, you know, visitation from, you know, gods from the heaven,
[03:12:45.200 --> 03:12:51.200]  the biblical flood to wipe out the genetic experiments that the early fallen angels
[03:12:51.200 --> 03:12:53.200]  were running on human beings and so on.
[03:12:53.200 --> 03:12:55.200]  It's incredible.
[03:12:55.200 --> 03:12:57.200]  You want to read some interesting information?
[03:12:57.200 --> 03:13:01.200]  Read the actual Bible, go through it, Old Testament, New Testament,
[03:13:01.200 --> 03:13:05.200]  and then watch Steve Quail and read some of his books.
[03:13:05.200 --> 03:13:07.200]  It all, it all actually starts to fit together.
[03:13:07.200 --> 03:13:10.200]  Now, getting to some of what I brought to the show today,
[03:13:10.200 --> 03:13:17.200]  we've got an emergency situation here on not just the censorship that you have seen so far,
[03:13:17.200 --> 03:13:19.200]  not just the political censorship.
[03:13:19.200 --> 03:13:22.200]  But when, when we get into the next segment here,
[03:13:22.200 --> 03:13:27.200]  I'm going to go into this astonishing escalation where they are now about to censor
[03:13:27.200 --> 03:13:31.200]  health and nutrition information across the internet.
[03:13:31.200 --> 03:13:37.200]  There are now calls for censoring any posts that talk about anti-cancer foods.
[03:13:37.200 --> 03:13:41.200]  So if you have health information, nutritional information, recipes
[03:13:41.200 --> 03:13:46.200]  that talk about health and nutrition or preventing cancer, preventing diabetes,
[03:13:46.200 --> 03:13:51.200]  enhancing cognitive function, enhancing longevity, you know, preventing premature aging,
[03:13:51.200 --> 03:13:53.200]  you're going to be banned.
[03:13:53.200 --> 03:13:55.200]  So Alex Jones was the test case.
[03:13:55.200 --> 03:14:00.200]  They knew that if they could ban Alex and if there wasn't sufficient pushback from, you know,
[03:14:00.200 --> 03:14:05.200]  Congress or the federal regulators that they could ban anybody for anything.
[03:14:05.200 --> 03:14:11.200]  And it's no secret that the tech giants are working in collusion with the pharmaceutical industry.
[03:14:11.200 --> 03:14:16.200]  And so is the left-wing media, which is more than 50% funded by the drug companies.
[03:14:16.200 --> 03:14:21.200]  They are now colluding to ban health information.
[03:14:21.200 --> 03:14:23.200]  And it has already begun on Pinterest.
[03:14:23.200 --> 03:14:28.200]  In fact, Pinterest just banned another one of my channels, the health ranger store channel,
[03:14:28.200 --> 03:14:30.200]  which we just set up there a couple of weeks ago.
[03:14:30.200 --> 03:14:32.200]  It only had a few followers, but they banned it outright,
[03:14:32.200 --> 03:14:37.200]  even though we were only posting information about nutrition and like health recipes.
[03:14:37.200 --> 03:14:38.200]  It was kind of a test case.
[03:14:38.200 --> 03:14:40.200]  We wanted to see would they ban us?
[03:14:40.200 --> 03:14:44.200]  Of course, Pinterest banned us and they banned all the information about vaccines.
[03:14:44.200 --> 03:14:47.200]  Of course, Apple, you know, continues to threaten us.
[03:14:47.200 --> 03:14:55.200]  Of course, Twitter has banned me now for over two weeks because I dared to criticize Twitter CEO Jack Dorsey,
[03:14:55.200 --> 03:14:58.200]  who I now call a speech supremacist.
[03:14:58.200 --> 03:15:01.200]  It's like, he is a speech supremacist.
[03:15:01.200 --> 03:15:06.200]  He's a technofascist, you know, an online bigot, really.
[03:15:06.200 --> 03:15:11.200]  He's one of the biggest bigots in the history of bigotry because he only believes that his kind
[03:15:11.200 --> 03:15:15.200]  and his color of speech should be allowed, but everybody else has to be banned.
[03:15:15.200 --> 03:15:19.200]  And Twitter is very busy banning anybody that they don't like.
[03:15:19.200 --> 03:15:25.200]  So when we come back, I'm going to go into full details about how this censorship and shadow banning
[03:15:25.200 --> 03:15:29.200]  is going to be expanded to cover health information.
[03:15:29.200 --> 03:15:35.200]  And this is the even bigger kill switch to try to bring down info wars to make it a crime
[03:15:35.200 --> 03:15:39.200]  to talk about being healthy or selling health products.
[03:15:39.200 --> 03:15:41.200]  You didn't think that was coming?
[03:15:41.200 --> 03:15:43.200]  Yes, it is. It's almost here.
[03:15:43.200 --> 03:15:46.200]  All that and much more straight ahead as we continue on the Alex Jones show.
[03:15:46.200 --> 03:16:10.200]  This is Mike Adams. We'll be right back with much more.
[03:16:16.200 --> 03:16:23.200]  This is Mike Adams. We'll be right back with more.
[03:16:46.200 --> 03:16:52.200]  We'll be right back with more.
[03:17:16.200 --> 03:17:28.200]  Hi, I'm Dan Pilla. I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[03:17:28.200 --> 03:17:32.200]  I sued the IRS in one. I beat the IRS then and I've been beating them ever since.
[03:17:32.200 --> 03:17:36.200]  I wrote the book on tax debt settlement and I've helped thousands of people deal with tax problems
[03:17:36.200 --> 03:17:39.200]  they thought might never be solved. I can help you too.
[03:17:39.200 --> 03:17:42.200]  If you owe taxes you can't pay, don't wait another day.
[03:17:42.200 --> 03:17:49.200]  There's no such thing as a hopeless tax case. Call 800-34-NO-TAX or go to my website, danpilla.com.
[03:17:49.200 --> 03:17:54.200]  That's danpilla.com, danpilla.com.
[03:17:54.200 --> 03:17:57.200]  Well, I've got some really good news for all the viewers and all the listeners.
[03:17:57.200 --> 03:18:00.200]  This was going to be a big loss because we couldn't get the Deep Earth Crystals anymore.
[03:18:00.200 --> 03:18:04.200]  It's been a year and a half fight but we have the original producer, the original crystal source,
[03:18:04.200 --> 03:18:08.200]  the best atomic iodide in the world, X2 is back.
[03:18:08.200 --> 03:18:12.200]  We got it. This deal just happened about a month ago. We rushed it into production.
[03:18:12.200 --> 03:18:15.200]  It's been bottled. The labels are being put on today.
[03:18:15.200 --> 03:18:20.200]  And then it's going to be on an 18-wheeler right here to Austin from the plant in the Rockies
[03:18:20.200 --> 03:18:22.200]  and it's going to be shipped out to you.
[03:18:22.200 --> 03:18:23.200]  Be sure and sign up for auto-ship.
[03:18:23.200 --> 03:18:27.200]  Get an additional 10% off. The 25% off.
[03:18:27.200 --> 03:18:30.200]  Celebration of the fact that we got it back and we're relaunching it.
[03:18:30.200 --> 03:18:33.200]  Research the iodide conspiracy. Find out why it's so important.
[03:18:33.200 --> 03:18:37.200]  Find out why the globalists don't want you to have the good halogens,
[03:18:37.200 --> 03:18:40.200]  you have the bad halogens at infowarstore.com.
[03:18:40.200 --> 03:18:42.200]  That's the umbrella site, infowarstlife.com.
[03:18:42.200 --> 03:18:44.200]  They should write the supplements.
[03:18:44.200 --> 03:18:46.200]  And this is the King Daddy.
[03:18:46.200 --> 03:19:15.200]  Ladies and gentlemen, it is X2 original now back at infowarstore.com.
[03:19:16.200 --> 03:19:18.200]  Thanks for watching.
[03:19:46.200 --> 03:20:12.200]  You're listening to the Alex Jones show.
[03:20:12.200 --> 03:20:16.200]  You've found it, the tip of the spear.
[03:20:16.200 --> 03:20:23.200]  It is the Alex Jones show with Mike Adams.
[03:20:23.200 --> 03:20:25.200]  All right, we're back on the Alex Jones show.
[03:20:25.200 --> 03:20:27.200]  Thank you for tuning in this fourth hour today.
[03:20:27.200 --> 03:20:33.200]  Mike Adams filling in for Owen Schreuer and Alex, who is always traveling lately.
[03:20:33.200 --> 03:20:38.200]  And of course, just unleashing bombshells of red pills.
[03:20:38.200 --> 03:20:41.200]  It was like a red pill carpet bomb wave with Joe Rogan the other day.
[03:20:41.200 --> 03:20:46.200]  I still haven't had a chance to watch every hour of that because it's just so rich.
[03:20:46.200 --> 03:20:49.200]  You have to keep listening to it and dig it into it.
[03:20:49.200 --> 03:20:52.200]  But I think it's so great that we have a person like Alex,
[03:20:52.200 --> 03:20:56.200]  who is just willing to just put it all out there and not hold back
[03:20:56.200 --> 03:21:04.200]  and to have the appropriate response to the fact that leftists are murdering living human babies.
[03:21:04.200 --> 03:21:10.200]  There is no response that is more appropriate than jumping up and down and screaming and cursing.
[03:21:10.200 --> 03:21:14.200]  That is the appropriate response. Everybody in society should have that response.
[03:21:14.200 --> 03:21:17.200]  And yes, they are murdering, of course, living human babies.
[03:21:17.200 --> 03:21:20.200]  And people on the left are completely okay with that,
[03:21:20.200 --> 03:21:26.200]  including every Democrat senator who is a potential candidate for the 2020 presidential election.
[03:21:26.200 --> 03:21:31.200]  Every one of them is pro-murder of children.
[03:21:31.200 --> 03:21:34.200]  And you know, there's an important note on this too.
[03:21:34.200 --> 03:21:38.200]  I looked at the New York law and I've looked at the Vermont law.
[03:21:38.200 --> 03:21:41.200]  And maybe I haven't seen the right section or something,
[03:21:41.200 --> 03:21:46.200]  but so far there are no limits on how old that infant can be
[03:21:46.200 --> 03:21:51.200]  when it is murdered by the mother as a, quote, mother's choice or women's choice.
[03:21:51.200 --> 03:21:54.200]  So it really brings up the legal question.
[03:21:54.200 --> 03:21:59.200]  If an infant that is born, that is living and breathing, and his heart is beating,
[03:21:59.200 --> 03:22:04.200]  it is an individual, if that infant is denied the basic human rights
[03:22:04.200 --> 03:22:08.200]  protections of the United States Constitution and federal law and state law,
[03:22:08.200 --> 03:22:15.200]  for how long does that non-human status persist according to leftist?
[03:22:15.200 --> 03:22:20.200]  Because it looks to me like under New York law, a woman could have a baby
[03:22:20.200 --> 03:22:23.200]  and then say, well, let's just see how this goes.
[03:22:23.200 --> 03:22:28.200]  And then eight or nine months later, she could murder it and just call it, I'm pro-choice.
[03:22:28.200 --> 03:22:32.200]  And that that would be allowed under New York law and she would not be prosecuted.
[03:22:32.200 --> 03:22:36.200]  And it brings up the question, well, what if the husband doesn't want to murder,
[03:22:36.200 --> 03:22:39.200]  or maybe it's not even a husband, just let's just say the father, right?
[03:22:39.200 --> 03:22:43.200]  Because, you know, families all shattered these days in left-wing cities anyway.
[03:22:43.200 --> 03:22:48.200]  But the father says, no, no, no, I don't want you to murder our daughter, let's say.
[03:22:48.200 --> 03:22:52.200]  And the mother is like, nah, she wants to murder the daughter and just call it abortion.
[03:22:52.200 --> 03:23:00.200]  Can the father then defend the life of the daughter against the murderous mother?
[03:23:00.200 --> 03:23:06.200]  And which side would the prosecutors side with in that circumstance?
[03:23:06.200 --> 03:23:15.200]  Do you have the authority or the moral standing to defend your own child against murder
[03:23:15.200 --> 03:23:18.200]  by, let's say, you know, a mother who might be on psychiatric drugs
[03:23:18.200 --> 03:23:22.200]  and is now just wanting to stab him and kill and break the necks of every child
[03:23:22.200 --> 03:23:25.200]  she can get her hands on, including her own child, right?
[03:23:25.200 --> 03:23:28.200]  Does the father have the right to protect that child from murder?
[03:23:28.200 --> 03:23:30.200]  I don't know yet.
[03:23:30.200 --> 03:23:34.200]  I mean, in our universe, of course, we say absolutely,
[03:23:34.200 --> 03:23:37.200]  but in the universe of the leftist, they don't.
[03:23:37.200 --> 03:23:40.200]  Here's a story from Town Hall that just came out this morning.
[03:23:40.200 --> 03:23:48.200]  Emory University hosts a lecture touting abortion as a, quote, moral good.
[03:23:48.200 --> 03:23:50.200]  Now, I'm not even kidding.
[03:23:50.200 --> 03:23:55.200]  This is a lecturer, a Dr. Rebecca Todd Peters, it says, of Elon University.
[03:23:55.200 --> 03:24:00.200]  She is described as a Christian feminist professor.
[03:24:00.200 --> 03:24:08.200]  And the author of her lecture is women, a progressive Christian argument for reproductive justice.
[03:24:08.200 --> 03:24:12.200]  Now, of course, every time you hear the word justice uttered by a feminist,
[03:24:12.200 --> 03:24:14.200]  it doesn't mean justice at all.
[03:24:14.200 --> 03:24:19.200]  They're talking about killing babies and calling it a moral good.
[03:24:19.200 --> 03:24:23.200]  Now, understand here, and she says she's a Christian.
[03:24:23.200 --> 03:24:25.200]  You can't be a Christian and murder babies.
[03:24:25.200 --> 03:24:28.200]  Frankly, you can't even be a Christian and be a Democrat anymore these days.
[03:24:28.200 --> 03:24:31.200]  You can't even be a good person and be a Democrat anymore,
[03:24:31.200 --> 03:24:35.200]  because to be a Democrat is to be a child murderer at this point.
[03:24:35.200 --> 03:24:37.200]  That's where we are in society today in the culture wars.
[03:24:37.200 --> 03:24:42.200]  But how can these people tell themselves that this is the moral good?
[03:24:42.200 --> 03:24:47.200]  And it reminds me of the argument about mandatory vaccines of children,
[03:24:47.200 --> 03:24:54.200]  because that argument is also that, oh, that's for the greater good that you have to force these vaccine injections
[03:24:54.200 --> 03:24:58.200]  onto children against their will, against the wishes of the parents.
[03:24:58.200 --> 03:25:04.200]  That, in fact, the police state should have armed squads running around and going door to door.
[03:25:04.200 --> 03:25:07.200]  This is actually an article that's up at infowars.com right now.
[03:25:07.200 --> 03:25:10.200]  Going door to door, holding parents at gunpoint,
[03:25:10.200 --> 03:25:14.200]  injecting with vaccines, children, essentially at gunpoint,
[03:25:14.200 --> 03:25:20.200]  vaccines that are known to be toxic, that are known even by U.S. government statistics.
[03:25:20.200 --> 03:25:27.200]  We know that vaccines harm and maim and kill over 1,000 children every year in the United States alone,
[03:25:27.200 --> 03:25:30.200]  and those numbers are believed to be only one-tenth of the actual numbers.
