[00:00.000 --> 00:10.940]  Yippee-aye, yippee-aye-o-o-o-o-o-o-o-o!
[2:57:51.880 --> 2:57:57.000]  long time to break down the product because it's a complex product a lot of the sprays you put in
[2:57:57.000 --> 2:58:02.680]  your mouth through your throat and lungs are really thin it's a little bit of alcohol if you want
[2:58:02.680 --> 2:58:10.600]  or two essential oils not our lung cleanse it's got a long list of the highest quality essential
[2:58:10.600 --> 2:58:17.800]  oils and ingredients in it you take a few sprays in your mouth lightly inhaled and it just does so
[2:58:17.800 --> 2:58:25.000]  much for me when i've got allergies or when my throat is tired it's just very very soothing and
[2:58:25.000 --> 2:58:30.920]  it's just one more thing for you and your family to have in your arsenal during these insane times
[2:58:30.920 --> 2:58:37.080]  so get your lung cleanse discounted at infowarstore.com and get yourself and your family prepared
[2:58:37.080 --> 2:58:42.360]  while at the same time funding the info war a total 360 win infowarstore.com
[2:58:44.120 --> 2:58:49.480]  i just want to finish by saying your reputation is amazing i will not let you down you will be very
[2:58:49.480 --> 2:58:54.280]  very impressed i hope you'll be looking at me in a year in a year or two years let's give me a
[2:58:54.280 --> 2:59:00.040]  little bit of a time to to run things but a year into office you'll be saying wow i remember that
[2:59:00.040 --> 2:59:04.200]  interview he said he was going to do it and he did a great job you'll be very proud of our country
[2:59:04.200 --> 2:59:12.440]  four years ago then billionaire businessman donald trump pledged himself to info wars in our audience
[2:59:12.440 --> 2:59:18.120]  that he would not let us down that he would take the globalist on and that we would be very pleased
[2:59:18.120 --> 2:59:24.520]  with what he did we are pleased with president trump he has proven that he's the real deal and
[2:59:24.520 --> 2:59:30.120]  has taken the globalist on the level that before seen but now they're striking back at president
[2:59:30.120 --> 2:59:35.960]  trump and the people using the invisible weapon of fear the corona virus yes we should meet the
[2:59:35.960 --> 2:59:41.560]  virus head on yes we should save as many people as possible but not at the expense of our hard
[2:59:41.560 --> 3:00:00.360]  fought liberties and freedoms you're listening to the alex jones show back about 18 and 25 i left
[3:00:00.360 --> 3:00:08.280]  tennessee very much alive i never would have made it through the arkansas mud if i hadn't been
[3:00:08.280 --> 3:00:18.760]  riding on the tennessee stuff had some trouble with my sweethearts paw one of her brothers was
[3:00:18.760 --> 3:00:28.600]  a bad outlaw i wrote a letter to my uncle foot and i rode away on the tennessee stuff we are back
[3:00:28.600 --> 3:00:36.040]  live the tennessee stuff very special report the color of the sun and his eyes at the start of the
[3:00:36.040 --> 3:00:42.120]  next segment will also have barns with us as well with this report on the private run for profit
[3:00:42.120 --> 3:00:46.600]  federal reserve and what trump just did is beyond critical so look for that the start of the next
[3:00:46.600 --> 3:00:52.920]  segment with greg rees finishing up john mark and what you're talking about with proper terrianism
[3:00:54.200 --> 3:01:01.400]  give us some more facets of that absolutely uh i'll just give you a couple examples of the fixes
[3:01:01.400 --> 3:01:05.000]  that it puts in because a lot of times what people are curious about is you know they understand
[3:01:05.000 --> 3:01:08.840]  going back to the original constitution and undoing some of the mistakes that have been made
[3:01:08.840 --> 3:01:12.760]  since then and then they say okay what are these extra layers of protection that you're putting
[3:01:12.760 --> 3:01:17.640]  in so i'll just give a couple of you know one or two examples one is we know we have a big problem
[3:01:17.640 --> 3:01:22.920]  for example with leftist activist judges they think they can interpret the constitution however
[3:01:22.920 --> 3:01:28.120]  they want um and the reason we have that problem or the core reason we have that problem is because
[3:01:28.120 --> 3:01:32.840]  the original founding fathers did not put an extremely clear ultra clear jurisprudence in
[3:01:32.840 --> 3:01:38.440]  the constitution to say this is how you must interpret it and so now we actually have four
[3:01:38.440 --> 3:01:42.520]  schools of thought and a big debate about how do you interpret the constitution and of course you
[3:01:42.520 --> 3:01:45.800]  and i are sitting here thinking just like the founding fathers probably did why would you
[3:01:45.800 --> 3:01:50.440]  interpret any other way than strictly so this is something where you know the founding fathers
[3:01:50.440 --> 3:01:56.520]  just didn't really foresee it they did a great job so how do we fix you mean literal yeah literally
[3:01:56.520 --> 3:02:02.040]  yes and so what proper terrianism does is it it makes it very clear it just has another amendment
[3:02:02.040 --> 3:02:08.920]  to add in that says okay listen if you're a judge uh you must follow this particular juris jurisprudence
[3:02:08.920 --> 3:02:13.480]  these particular rules about how jefferson said they had to and not twisted into whatever bizarre
[3:02:13.480 --> 3:02:17.720]  meaning they wanted correct and so a lot of this is enforcement too i mean we need to enforce these
[3:02:17.720 --> 3:02:21.880]  things it's not just writing down let me tell you something uh the experience i've had with
[3:02:21.880 --> 3:02:29.640]  these federal judges so far is though the federal law saying you can't sue somebody uh if and state
[3:02:29.640 --> 3:02:33.880]  law if you haven't said their name and they've had the local circuit court say we don't care
[3:02:33.880 --> 3:02:39.080]  law suit goes forward even people sue me let me say their name they sue me don't even show their
[3:02:39.080 --> 3:02:45.080]  picture they sue me yes and so we have a big problem with this as you know and this is a
[3:02:45.080 --> 3:02:48.440]  sometimes when people get into proper terrianism start learning about it they realize this is a
[3:02:48.440 --> 3:02:53.240]  very rule of law based solution because if we don't have our rule of law right and if we don't have
[3:02:53.240 --> 3:02:57.640]  very strict rules around these things and enforce it i mean that's the very basis of civilization
[3:02:57.640 --> 3:03:02.200]  if we can't even rely on our rule of law to be fair and just and interpret things correctly
[3:03:02.200 --> 3:03:06.200]  we don't even have civilization alec well that's right not in germany's enforcement arm was a
[3:03:06.200 --> 3:03:12.120]  bunch of puppet judges so judicial tyranny is always a real threat exactly and we have to have
[3:03:12.120 --> 3:03:16.920]  rules and this is a very key feature of proper terrianism i'll just close with close with this
[3:03:16.920 --> 3:03:21.160]  which is that all of this is based on empirical observation none of this is arbitrary that we
[3:03:21.160 --> 3:03:26.120]  have in proper terrianism it's all based on scientific observation of how humans operate and
[3:03:26.120 --> 3:03:31.720]  cooperate and why they fight and all of this and so it's the ultimate system to remove arbitrary
[3:03:31.720 --> 3:03:36.120]  decision making and of course it requires enforcement but it's very helpful to have these
[3:03:36.120 --> 3:03:41.000]  things written down and rules that are very very clear and taking it to the next level
[3:03:41.480 --> 3:03:46.440]  in that regard well i want to invite you back sometime maybe do a special report you know an
[3:03:46.440 --> 3:03:50.920]  hour report or something for us will air here you put on your youtube course where you lay it out
[3:03:50.920 --> 3:03:54.520]  out i know you lay a lot of it out on your channel that's very very exciting and i should look more
[3:03:54.520 --> 3:03:58.120]  into that i've seen that term i've read about it i've seen people talking about it i kind of
[3:03:58.120 --> 3:04:02.120]  see the definition of it but this is the most i've delved into it it just seems like another
[3:04:02.120 --> 3:04:06.920]  school of thought for common sense scientific approach to liberty and defend their own scientific
[3:04:06.920 --> 3:04:12.120]  formulas that produce the best in most stable societies absolutely right would love to come
[3:04:12.120 --> 3:04:16.520]  back alex thanks so much for having me all right the best places for people to find you john mark
[3:04:17.400 --> 3:04:22.280]  is my youtube channel which is just john mark if you just put that in the search bar it will come
[3:04:22.280 --> 3:04:28.840]  up and then my website is john mark says dot com and my twitter is at john mark says beautiful and
[3:04:28.840 --> 3:04:33.240]  again so many youtubers ask me though can i post you on my site yes there's not a ban on people
[3:04:33.240 --> 3:04:37.640]  interviewing me or me interviewing them there's a ban on me having a youtube channel and it's so
[3:04:37.640 --> 3:04:42.280]  dangerous and now they're banning presidents of major countries like brazil for saying hydroxy
[3:04:42.280 --> 3:04:47.000]  quark when it is great in trials which is admitted now the FDA just approved it so egg on their face
[3:04:47.000 --> 3:04:53.160]  thank you john mark key report on the federal reserve did trump just nationalize it and i'm
[3:04:53.160 --> 3:04:57.560]  here to tell you i don't need you to thank me and tell me i've done a good job i've done nothing
[3:04:57.560 --> 3:05:04.200]  but my duty i discovered a bunch of bloodthirsty scum coming after innocent people and i've been
[3:05:04.200 --> 3:05:12.600]  fighting them for 13 years and i'll never stop while i'm drawing breath for 24 years alex jones
[3:05:12.600 --> 3:05:19.880]  and info wars have been sounding the alarm for patriots worldwide waking people up to the new
[3:05:19.880 --> 3:05:29.480]  world order bohemian growth the american deep state the rise of communist china the plan for
[3:05:29.480 --> 3:05:37.960]  global depopulation and global elite pedophiles who pray off of our young the enemy has done their
[3:05:37.960 --> 3:05:46.120]  best to destroy us but because of your support our fight continues join us support the info war
[3:05:46.120 --> 3:06:01.560]  and together we will slay the dragon keep fighting out if you're gladiator
[3:06:08.920 --> 3:06:15.640]  godfather of the ross child banking cartel mere am shell ross child said give me control of a
[3:06:15.640 --> 3:06:23.080]  nation's money and i care not who makes the laws in a recent bloomberg article the feds cure
[3:06:23.080 --> 3:06:28.760]  risks being worse than the disease jim bianco explains what is now happening with the federal
[3:06:28.760 --> 3:06:35.400]  reserve bank in their response to the corona virus he writes this scheme essentially merges the fed
[3:06:35.400 --> 3:06:43.240]  and treasury into one organization so meet your new fed chairman donald j trump did president trump
[3:06:43.240 --> 3:06:51.240]  just nationalize the federal reserve bank on june 4th 1963 president john f kennedy
[3:06:51.240 --> 3:06:58.200]  issued executive order 1111 zero which many believed was an effort to transfer power from
[3:06:58.200 --> 3:07:03.720]  the federal reserve bank to the united states department of the treasury by replacing federal
[3:07:03.720 --> 3:07:09.480]  reserve notes with silver certificates thereby taking the power away from the international
[3:07:09.480 --> 3:07:16.840]  banking cartels less than six months later president kennedy was assassinated and his move
[3:07:16.840 --> 3:07:23.720]  against the fed was reversed during the civil war president abraham lincoln printed four hundred
[3:07:23.720 --> 3:07:30.520]  million dollars worth of greenbacks a debt free interest free money independent of international
[3:07:30.520 --> 3:07:38.440]  bank control in response the london times wrote that if that mischievous financial policy which
[3:07:38.440 --> 3:07:45.000]  had its origin in the north american republic should become indurated down to a fixture then
[3:07:45.000 --> 3:07:51.880]  that government will furnish its own money without cost it will pay off debts and be without debt
[3:07:51.880 --> 3:07:57.560]  it will have all the money necessary to carry on its commerce it will become prosperous beyond
[3:07:57.560 --> 3:08:02.920]  precedent in the history of the civilized governments of the world the brains and the wealth of all
[3:08:02.920 --> 3:08:10.680]  countries will go to north america that government must be destroyed or it will destroy every monarchy
[3:08:10.680 --> 3:08:17.560]  on the globe the bankers were not willing to lose power and the bank of england went on to fund
[3:08:17.560 --> 3:08:26.120]  the confederacy weeks prior to lincoln's assassination assassin john wilkes booth spent time in montreal
[3:08:26.120 --> 3:08:33.640]  hall known as the confederate capital of canada and was found after the assassination with a bank
[3:08:33.640 --> 3:08:43.080]  note from ontario bank booth's personal manager was banker joseph seamans after lincoln was killed
[3:08:43.080 --> 3:08:51.400]  power was restored to the international banking cartel the national economic security and recovery
[3:08:51.400 --> 3:09:00.280]  act known as nasara was a set proposed economic reforms suggested during the 1990s by harvey
[3:09:00.280 --> 3:09:08.120]  francis bernard bernard created the nasara proposal during the late 1980s he sent copies to members
[3:09:08.120 --> 3:09:16.120]  of congress but was ignored in 2001 he established the nasara institute and published the second
[3:09:16.120 --> 3:09:24.440]  edition of his book in 2005 retitling it draining the swamp the nasara story monetary and fiscal
[3:09:24.440 --> 3:09:31.960]  policy reform the policies included replacing the income tax with a national sales tax abolishing
[3:09:31.960 --> 3:09:39.320]  compound interest on secured loans and returning to a bi-metallic currency which he claimed would
[3:09:39.320 --> 3:09:46.200]  result in zero percent inflation and a more stable economy there is a big buzz on the internet
[3:09:46.200 --> 3:09:53.000]  that president trump is implementing this plan there is also speculation that this is part of
[3:09:53.000 --> 3:10:00.360]  a huge global economic reset guess sara to be decided at the international world court of the
[3:10:00.360 --> 3:10:07.320]  haig if this is true certainly this decision has been decided years ago and we are just now
[3:10:07.320 --> 3:10:13.800]  feeling the effects the coronavirus scare is beginning to look like a false alarm but the
[3:10:13.800 --> 3:10:20.520]  reaction is looking just like a false flag and it seems that when we come out the other end of this
[3:10:20.520 --> 3:10:42.360]  the world will be different for info wars calm this is greg rees info tomorrow's news today well
[3:10:42.360 --> 3:10:48.360]  robert barnes famous constitutional lawyer is here with us in studio and i was looking at all
[3:10:48.360 --> 3:10:53.240]  his great tweets and his comments and already wanted him to do a segment on my show so i said to
[3:10:53.240 --> 3:10:58.760]  him this last week i said why don't you just come here you're not scared of the coronavirus and do
[3:10:58.760 --> 3:11:03.080]  maybe a show for a month two months however long we came up with a name for it we could kind of
[3:11:03.080 --> 3:11:07.080]  clicked so we'll tell you about that at the bottom of the hour it starts the night seven o'clock
[3:11:07.080 --> 3:11:13.560]  central eight o'clock eastern that's uh five o'clock pacific six o'clock mountain and it'll
[3:11:13.560 --> 3:11:16.920]  be on the radio satellites the tv satellites for any stations that want to pick it up out there
[3:11:16.920 --> 3:11:22.040]  it's just a free to air any stations just pick it up and and and we don't have any network ads
[3:11:22.040 --> 3:11:26.360]  and we've got all our ads out you get a couple minutes at the start and about four minutes
[3:11:26.360 --> 3:11:31.960]  at the bottom of the hour for your local stations you can feel free to override any of it anytime
[3:11:31.960 --> 3:11:35.560]  you wish as well it's totally free to air so if you want to take one segment of it every night
[3:11:36.120 --> 3:11:40.920]  you know and put ads other places or just cut overs i don't care what you do it's free to air
[3:11:40.920 --> 3:11:45.960]  so is my broadcast okay but i wanted to hit this with you because you're quite the student of history
[3:11:45.960 --> 3:11:49.400]  constitution even more so than lawyer because i've done quite a bit of research and you know
[3:11:49.400 --> 3:11:55.320]  what you're talking about you're not a bs or um last week he didn't get hardly any attention
[3:11:56.200 --> 3:12:01.800]  trump came in and he said okay four trillion dollars in stimulus two trillion from the treasury
[3:12:01.800 --> 3:12:07.080]  two trillion from uh the private run for private federal reserve but then when i zoomed in more on
[3:12:07.080 --> 3:12:11.480]  it and looked at the actual statement it's the treasury directing so it's always been the private
[3:12:11.480 --> 3:12:17.240]  federal reserve for 107 years since 1913 that took control of the power of the purse from the
[3:12:17.240 --> 3:12:21.560]  constitution so we always thought of abolishing the federal reserve as the way to get rid of it
[3:12:21.560 --> 3:12:26.040]  it goes back under treasury and that is the congress that's supposed to do that the president
[3:12:26.040 --> 3:12:30.840]  can sign or veto those bills so a lot of folks are saying oh trump has the federal reserve
[3:12:32.200 --> 3:12:38.120]  taking over uh no he actually did take it over under the treasury the problem is
[3:12:38.120 --> 3:12:43.480]  is that the president has the power over the federal reserve in the federal reserve act the
[3:12:43.480 --> 3:12:48.840]  only part of the the country that does which is really a user patient of the power of the purse
[3:12:48.840 --> 3:12:52.680]  of congress so by the president taking control of the federal reserve he's taking control of the
[3:12:52.680 --> 3:12:56.840]  power of the purse we can play clips of ellen greenspan saying the only role of the federal
[3:12:56.840 --> 3:13:00.760]  reserve is that the government has the federal reserve is nothing we're our own branch of
[3:13:00.760 --> 3:13:04.680]  government well that's a dictatorship of the federal reserve so i like it under the president
[3:13:04.680 --> 3:13:09.560]  but that's not in the constitution it says all bills of raising revenues shall originate in the
[3:13:09.560 --> 3:13:15.800]  house representatives but the senate may propose or concur with amendments as the bills u.s constitution
[3:13:15.800 --> 3:13:19.480]  article one section seven clause one there's another part of constitution article one section
[3:13:19.480 --> 3:13:25.640]  nine clause seven no money shall be drawn from the treasury but by the consequences of appropriations
[3:13:25.640 --> 3:13:31.800]  made by law and a regular statement of account of the receipts of expenditures of all public money
[3:13:31.800 --> 3:13:37.000]  shall be published from time to time well the federal reserve never even been audited as we know
[3:13:37.800 --> 3:13:43.240]  so this is big this is not the federal reserve taking over and even bloomberg's pissed and the
[3:13:43.240 --> 3:13:51.720]  left's pissed meet the new boss the fed president trump the fed's cure risk worse than the disease
[3:13:51.720 --> 3:13:57.640]  bloomberg they hate it they say he now has federalized the federal reserve federal reserve
[3:13:57.640 --> 3:14:01.800]  chairman donald trump potas could save america that's a killing it bringing four wars dot com article
[3:14:02.440 --> 3:14:08.360]  bob what do you make of this so it's only as to those funds so the essentially that part of the
[3:14:09.000 --> 3:14:14.680]  stimulus package or a relief package the that part that part those funds the president has
[3:14:14.680 --> 3:14:20.360]  some control over because he wanted to what and congress did pass it yes exactly the bigger issue
[3:14:20.360 --> 3:14:26.120]  is this is probably the first step towards mmt so it's modern monetary theory and the idea basically
[3:14:26.120 --> 3:14:31.240]  is you can print your way out of any problem that if the state controls its own currency it can
[3:14:31.240 --> 3:14:36.680]  effectively control the economy just by printing and that's what lincoln thought and there's
[3:14:36.680 --> 3:14:41.400]  different people who brought it up and it originated within its most recent incarnation as a more
[3:14:41.400 --> 3:14:46.920]  left-leaning doctrine the criticism of it was always why won't inflation result from that
[3:14:46.920 --> 3:14:51.400]  and the premise was that it will create enough economic activity to match the amount of money
[3:14:51.400 --> 3:14:55.880]  printed the problems that's not what's happening now there's no there's a supply side shock to the
[3:14:55.880 --> 3:15:01.640]  system but trump has often been a fan of the idea of mmt because of the power that it provides
[3:15:02.520 --> 3:15:06.680]  and that's why he incorporated a smaller portion of it what people don't know is
[3:15:06.680 --> 3:15:12.360]  that while this is happening on the fiscal side the fed has committed to printing as much as 12
[3:15:12.360 --> 3:15:18.280]  trillion dollars over the next month separately and on top of this and do they get interest on
[3:15:18.280 --> 3:15:21.560]  that because trump's saying a lot of it will be interest free all of it will be interest free so
[3:15:21.560 --> 3:15:25.080]  well what the fed is going to be doing is they're going to be bailing out selective industries
[3:15:25.080 --> 3:15:29.320]  bailing out the corporate bond market which relates to the pension fund crisis that's going to
[3:15:29.320 --> 3:15:35.640]  could collapse overnight if if certain if certain confidence but as you see he knows a lot so when
[3:15:35.640 --> 3:15:41.000]  we come back we're going to look at what's really going on not behind with robert barnes who is really
[3:15:41.000 --> 3:15:45.400]  up on all of this well as did trump have to do this because we're under chi-com battle attack
[3:15:45.400 --> 3:15:49.160]  people say oh this is not physically conservative well if you want a great depression folks then
[3:15:49.160 --> 3:15:53.560]  don't do this i get that it's over the slippery slope hi i'm dan pillow i started fighting the
[3:15:53.560 --> 3:15:58.600]  iris over 40 years ago when they tried to seize my mother's house i sued the iris and won i beat the
[3:15:58.600 --> 3:16:03.080]  iris then and i've been beating them ever since i wrote the book on tax debt settlement and i've
[3:16:03.080 --> 3:16:07.400]  helped thousands of people deal with tax problems they thought might never be solved i can help you
[3:16:07.400 --> 3:16:12.520]  too if you owe taxes you can't pay don't wait another day there's no such thing as a hopeless tax
[3:16:12.520 --> 3:16:21.800]  case call 834 no tax or go to my website danpilla.com that's danpilla.com danpilla.com the united
[3:16:21.800 --> 3:16:27.400]  states of empire is a book that claims the united states is the empire of the world
[3:16:27.400 --> 3:16:33.320]  george washington had warned us against foreign wars the united states of empire shows that world
[3:16:33.320 --> 3:16:40.520]  wars one and two left england broken its former colony the us had to save the empire was there
[3:16:40.520 --> 3:16:47.560]  ever a vote who do we fight for the deep state began with world war one the united states of empire
[3:16:47.560 --> 3:16:54.760]  by james dunne available at amazon books hunters anglers campers and survivalists get back to nature
[3:16:54.760 --> 3:17:00.120]  expand your horizons with the highest quality most versatile unique slingshots and slingbows on the
[3:17:00.120 --> 3:17:06.680]  market at slingbow.com slingbow products are compact and models start from just 1798 they're perfect
[3:17:06.680 --> 3:17:11.560]  for your bug out bag or storing in your vehicle give yourself and your loved ones the excitement
[3:17:11.560 --> 3:17:16.920]  and tradition of slingbow a new frontier and archery and truly modern twist on this primitive
[3:17:16.920 --> 3:17:24.280]  survival tool feel the thrill only at slingbow.com fellow patriots my name is todd savage founder
[3:17:24.280 --> 3:17:29.640]  of black rifle real estate.com like you i was a prisoner of the out left sanctuary state until
[3:17:29.640 --> 3:17:34.120]  one day i chose to leave my family to freedom today we live on a sustainable 20 acre homestead
[3:17:34.120 --> 3:17:38.680]  where we shoot hunt garden and homeschool our children without the tyranny of the nanny state
[3:17:38.680 --> 3:17:43.480]  looking over us if you're ready to flee the city to the freedom of idaho or montana our black
[3:17:43.480 --> 3:17:48.280]  rifle real estate team is here to help go to black rifle real estate.com that's black rifle real
[3:17:48.280 --> 3:17:56.520]  estate.com info wars life is bringing you a breakthrough in modern medicine introducing
[3:17:56.520 --> 3:18:02.280]  pollen block we have found an extraordinary new natural way to alleviate seasonal distress
[3:18:02.280 --> 3:18:08.600]  symptoms including promoting clear nasal and sinus passageways eye comfort and respiratory
[3:18:08.600 --> 3:18:15.000]  function in the 1960s researchers in france noticed that people who ate certain quail eggs
[3:18:15.000 --> 3:18:20.680]  experienced less seasonal immune and inflammatory responses they began studying this effect in
[3:18:20.680 --> 3:18:26.520]  published trials and decades later we now have the fruit of this research a fast-acting chewable
[3:18:26.520 --> 3:18:32.520]  tablet that helps alleviate seasonal distress symptoms pollen block is natural and effective
[3:18:32.520 --> 3:18:37.400]  it is not an antihistamine in fact current research has found that it actually acts by
[3:18:37.400 --> 3:18:42.520]  blocking the activity of triptase which is an enzyme that amplifies immune and inflammatory
[3:18:42.520 --> 3:18:48.840]  responses in the body go outside and enjoy the air you breathe head to info wars life.com
[3:18:48.840 --> 3:18:53.560]  and grab a pack of our pollen block chewable tablets one of the best nutrients nature has
[3:18:53.560 --> 3:18:58.520]  provided beetroot has been used for hundreds of years in natural medicine now you can experience
[3:18:58.520 --> 3:19:03.000]  the power of this ingredient today with basso bead from info wars life guaranteed to be the
[3:19:03.000 --> 3:19:07.240]  next addition to your daily routine basso bead is the most concentrated liquid beet extract
[3:19:07.240 --> 3:19:12.280]  on the market fully utilizing the heart healthy nitrates and antioxidants to support your mind
[3:19:12.280 --> 3:19:17.480]  and body basso bead is great for anyone looking to support a healthy living or athletic performance
[3:19:17.480 --> 3:19:22.600]  so check out one of the most incredible ingredients today with basso bead from info wars life there's
[3:19:22.600 --> 3:19:27.960]  a new way to show your support for the info wars crew at info wars store.com now when you buy your
[3:19:27.960 --> 3:19:33.880]  favorite products you can add a donation right at the checkout simply open the donation option
[3:19:33.880 --> 3:19:39.160]  and either select a preset amount or enter a custom amount with this brand new donation module
[3:19:39.160 --> 3:19:45.000]  donating to support the info wars crew has never been easier you ask we deliver this easy option
[3:19:45.000 --> 3:19:49.800]  gives you the means to donate directly to the cause remember we're all part of the fight info
[3:19:49.800 --> 3:20:05.720]  wars brought to you by you you're listening to the alex jones show
[3:20:20.200 --> 3:20:26.600]  we are back live constitutional lawyer and historian robert barnes is here with us
[3:20:27.480 --> 3:20:31.720]  lay out the power of the purse because i was doing the different arguments did he nationalize the
[3:20:31.720 --> 3:20:36.840]  fed the overstep congress power of the purse no they passed this and then the president is then
[3:20:36.840 --> 3:20:41.400]  able to execute it because he does have power over the fellow reserve congress passed that law
[3:20:42.200 --> 3:20:48.840]  december 23rd 1913 so this is actually all being done by the letter of the law but is it the spirit
[3:20:48.840 --> 3:20:54.600]  of the law and as you said what will be the inflationary results from this or is the stalling
[3:20:54.600 --> 3:21:01.320]  of the economy and the and the lowering of fuel prices gas prices is that enough to offset the
[3:21:01.320 --> 3:21:06.920]  inflationary spiral of as you said 1415 trillion dollars in the aggregate i mean really it was
[3:21:06.920 --> 3:21:11.640]  sort of a means shifting issue in other words what they did is rather than go from rather than
[3:21:11.640 --> 3:21:16.520]  issue debt to fund the deficit they're basically allowing the fed to print cash that's put under
[3:21:16.520 --> 3:21:21.720]  trump's control so part of the fed has been effectively nationalized but only that part
[3:21:21.720 --> 3:21:25.560]  that governs that amount of money they did it correctly from a constitutional perspective in
[3:21:25.560 --> 3:21:29.800]  the sense that congress passed the authorization for him to do so that he could appropriate certain
[3:21:29.800 --> 3:21:33.320]  money from the fed under the guidance and governance of the president i gotta say i don't
[3:21:33.320 --> 3:21:37.160]  like the giant amounts of money i get it i mean we were in a different situation with a defibrillator
[3:21:37.880 --> 3:21:42.680]  but i like the president taking over the fed i mean i like the beginning of that the the question
[3:21:42.680 --> 3:21:50.040]  is where that ends up so i mean the the risk factor is that if this embraces mmt modern monetary
[3:21:50.040 --> 3:21:56.920]  theory completely the left wants to use that to spend wild amounts of money on a wild number of
[3:21:56.920 --> 3:22:03.800]  policies and the big historical question with mmt has always been why won't we have a major inflation
[3:22:03.800 --> 3:22:08.680]  problem so if you go back and look other governments have tried variations of this by mark germany in
[3:22:08.680 --> 3:22:14.360]  the 1920s to get out of their problems tried to inflate their currency hungry in 1946 again
[3:22:14.360 --> 3:22:22.040]  later argentina in the 1990s and then of course zimbabwe in the 2006 2008 time period and in the
[3:22:22.040 --> 3:22:27.160]  zimbabwe example and of course venezuela within the last two years well if you look at the zimbabwe
[3:22:27.160 --> 3:22:32.360]  example i mean they ended up printing one trillion dollar bills because of how bad the inflation
[3:22:32.360 --> 3:22:37.160]  became so the question has always been can you just print money to solve a problem as a friend of
[3:22:37.160 --> 3:22:42.520]  mine pointed out if printing money could solve problems the soviet union would still exist
[3:22:42.520 --> 3:22:49.320]  writing checks by itself without corresponding economic activity has never worked so the i
[3:22:49.320 --> 3:22:55.560]  understand the president wanting to explore mmt and because of its ability to remediate the severe
[3:22:55.560 --> 3:23:01.400]  economic impacts of a shutdown the question is what is its long-term consequences once we start
[3:23:01.400 --> 3:23:07.320]  employing it for him does the next president say i want some mmt and i want eight trillion
[3:23:07.320 --> 3:23:12.600]  dollars or i want 12 trillion dollars or i want 14 trillion dollars so i think that's the that's
[3:23:12.600 --> 3:23:17.960]  the risk factor and it's a huge gamble how mmt works if it backfires it can collapse an economy
[3:23:17.960 --> 3:23:23.720]  overnight just as venezuela today venezuelan problem isn't really socialism so much its
[3:23:23.720 --> 3:23:27.800]  problem is its currency management in light of the way they were running and that was a policy
[3:23:27.800 --> 3:23:34.120]  and that was an incredibly successful economy and an incredibly rich nation for folks that don't
[3:23:34.120 --> 3:23:39.080]  know is richer than the us at one time run down the rat hole by socialists in just a few decades
[3:23:39.080 --> 3:23:45.720]  let's talk about history um they tried to kill jackson he tried to have the us bank and and
[3:23:45.720 --> 3:23:53.880]  use the mmt in a older fashion and then they tried to kill him at least four times by providence he
[3:23:53.880 --> 3:23:58.200]  lived uh there was another president they shot and killed over it and then of course we then see
[3:23:59.080 --> 3:24:03.960]  lincoln got shot in the back of the head for doing and he issued uh 40 something million was going
[3:24:03.960 --> 3:24:10.440]  to issue 400 million then jfk was able to reissue the same original currency that never been withdrawn
[3:24:11.240 --> 3:24:15.560]  in the link and five dollar bills and a nod to him and that of course was executive order
[3:24:15.560 --> 3:24:23.320]  one one one one zero and let's show folks for tv viewers the five dollar bill to type in a jfk five
[3:24:23.320 --> 3:24:29.560]  dollar bill and if you notice it doesn't say fellow reserve note it says us treasury note
[3:24:29.560 --> 3:24:34.280]  ladies and gentlemen so that's an example of what we're talking about both men were executed by
[3:24:34.280 --> 3:24:39.320]  being shot in the head will trump follow the same path well i think the certain aspects are
[3:24:39.320 --> 3:24:44.200]  right now for the most part trump is while he's asserted control over this portion of the fed
[3:24:44.200 --> 3:24:48.440]  really was just a way of giving him money without going through the us debt markets
[3:24:48.440 --> 3:24:53.400]  because the rest of the fed is still unchecked so the fed for example what people don't know this
[3:24:53.400 --> 3:24:57.880]  that in the overnight repo markets which is where you have a lot of debt exchanged which help fund
[3:24:57.880 --> 3:25:02.280]  corporate debt which they need cash every day basically or they run out of business to avoid
[3:25:02.280 --> 3:25:08.120]  the credit crunch that happened in 2008 that sunk the economy for half a decade the they are pouring
[3:25:08.120 --> 3:25:13.160]  in cash so this is like a heroin habit it only gets bigger no doubt about i mean to give you an idea
[3:25:13.160 --> 3:25:19.000]  they spent they spent over one trillion dollars in the last week and a half it took them all of 2008
[3:25:19.000 --> 3:25:24.520]  and 2009 to spend four trillion the fed they they are anticipating they've committed to adding
[3:25:24.520 --> 3:25:28.280]  currently their balance sheet has been stayed around four trillion it's already now up to five
[3:25:28.280 --> 3:25:32.600]  and a half trillion highest it's ever been and they're and they said they've committed to adding
[3:25:32.600 --> 3:25:38.760]  eleven trillion more over the next month and a half let me ask you what what what what could
[3:25:38.760 --> 3:25:43.640]  have trump done other than this with the media trying to plunge the market with them blaming him uh
[3:25:43.640 --> 3:25:47.160]  i mean i don't like where this is going but i also wouldn't want a total depression we'd already
[3:25:47.160 --> 3:25:53.160]  been one i think in my view was that his original instinct his initial instinct which was to reopen
[3:25:53.160 --> 3:25:58.760]  the economy as quickly as possible and mitigate the necessity of these extreme means and uh these
[3:25:58.760 --> 3:26:03.720]  extreme experiments with finances was the right one but the problem is the put he has everyone
