[00:00.000 --> 00:13.000]  Crashing through the lies and disinformation, it's Alex Jones coming to you live from the
[02:59:31.000 --> 02:59:37.000]  that will allow you to flip the switch and supercharge your state of mind.
[02:59:37.000 --> 02:59:39.000]  It's the real deal.
[02:59:39.000 --> 02:59:41.000]  Brain Force Plus.
[02:59:41.000 --> 03:00:05.000]  Secure your bottle right now at inforcelife.com.
[03:00:11.000 --> 03:00:21.000]  All right, Owen Schroyer here, sitting in for Alex on my last stretch of broadcast here
[03:00:21.000 --> 03:00:25.000]  as I'm about to pitch it to Mike Sernovich who's going to be taking over on the other side.
[03:00:25.000 --> 03:00:30.000]  But do not forget, of course, the War Room comes up from three to six weekdays here
[03:00:30.000 --> 03:00:35.000]  right after the Alex Jones show, but then extended coverage, extended broadcast into the night.
[03:00:35.000 --> 03:00:41.000]  We are going to be covering the Alabama Senate race, Doug Jones vs. Roy Moore.
[03:00:41.000 --> 03:00:44.000]  Infowars.com slash show, Alex Jones will be hosting that.
[03:00:44.000 --> 03:00:48.000]  I'll be back here providing some coverage as well as some other reporters and special guests.
[03:00:48.000 --> 03:00:54.000]  So do not forget tonight, the Alabama Senate race will be covered by Infowars Live.
[03:00:54.000 --> 03:00:57.000]  That's where you should go for your election night coverage.
[03:00:57.000 --> 03:00:59.000]  Share that link with family and friends.
[03:00:59.000 --> 03:01:07.000]  That's where the Alabama Senate race coverage tonight with Alex Jones at infowars.com slash show.
[03:01:07.000 --> 03:01:10.000]  Let's go to...
[03:01:10.000 --> 03:01:12.000]  Is that Haiti in Colorado?
[03:01:12.000 --> 03:01:14.000]  Go ahead, Haiti.
[03:01:14.000 --> 03:01:15.000]  I'm here.
[03:01:15.000 --> 03:01:17.000]  Yes, that's Haiti.
[03:01:17.000 --> 03:01:22.000]  All right, I'm talking about the Me Too shenanigans.
[03:01:22.000 --> 03:01:26.000]  I'll hurry and try to get through my point real quick.
[03:01:26.000 --> 03:01:39.000]  So first of all, an actual victim of harassment, assault, or abuse of any kind against a man, woman, or child.
[03:01:39.000 --> 03:01:46.000]  Anyone that's been in that position knows it's close to impossible to prove when you've actually been victimized.
[03:01:46.000 --> 03:01:51.000]  And that's what annoys me so much about all this is that these are not women.
[03:01:51.000 --> 03:01:56.000]  These are jokes. These are cowards. These are less than women.
[03:01:56.000 --> 03:01:58.000]  Oh, but they want to play in the big boy ring.
[03:01:58.000 --> 03:02:07.000]  But yet when it comes down to it, they don't care about the oppression of men, the oppression of women and children that are actual victims.
[03:02:07.000 --> 03:02:09.000]  You don't have a positive rape kit.
[03:02:09.000 --> 03:02:14.000]  If you don't have actual evidence of harassment or...
[03:02:14.000 --> 03:02:15.000]  So it's like, prove it.
[03:02:15.000 --> 03:02:16.000]  Yeah.
[03:02:16.000 --> 03:02:17.000]  Why isn't any other women...
[03:02:17.000 --> 03:02:18.000]  Yeah, that's a good point.
[03:02:18.000 --> 03:02:21.000]  These local jurisdictions don't even do the rape kits.
[03:02:21.000 --> 03:02:27.000]  They've had to pass new legislation to get funding for these rape kits and to get the results of these rape kits to even be released.
[03:02:27.000 --> 03:02:28.000]  So that's a whole other issue.
[03:02:28.000 --> 03:02:34.000]  But I'm curious, I don't know if you've had any experience personally, maybe yourself with this or friends or family.
[03:02:34.000 --> 03:02:37.000]  But again, I'm not trying to be insensitive.
[03:02:37.000 --> 03:02:39.000]  I understand that there's cases being made for both points.
[03:02:39.000 --> 03:02:51.000]  In fact, there is truth in the sense that a lot of the times when women are sexually assaulted or whatever, they don't even realize it at the time.
[03:02:51.000 --> 03:02:58.000]  And I don't know if that's denial or just that they don't want to go down that road because it never actually got to the physical point of rape or whatever it is.
[03:02:58.000 --> 03:03:04.000]  But I remember that there were cases too where I had girlfriends or they weren't my girlfriends.
[03:03:04.000 --> 03:03:10.000]  Or even where there'd be cases and they'd be like, yeah, a guy did this to me and that and I'd be like, well, you need to press charges.
[03:03:10.000 --> 03:03:11.000]  That's assault.
[03:03:11.000 --> 03:03:12.000]  Like, that's not a joke.
[03:03:12.000 --> 03:03:13.000]  That's not funny.
[03:03:13.000 --> 03:03:16.000]  Like you were and they're like, oh, you know, they just don't want to deal with it.
[03:03:16.000 --> 03:03:20.000]  So, you know, there is an angle there from both perspectives.
[03:03:20.000 --> 03:03:27.000]  But like you were saying, this Me Too movement and this entire thing is a political agenda to remove Trump.
[03:03:27.000 --> 03:03:28.000]  It's not about the women.
[03:03:28.000 --> 03:03:29.000]  It's not about victims.
[03:03:29.000 --> 03:03:30.000]  It's not about oppression.
[03:03:30.000 --> 03:03:31.000]  It's not about sexual assault.
[03:03:31.000 --> 03:03:32.000]  It's about none of that.
[03:03:32.000 --> 03:03:48.000]  It's a 100% political agenda and it shows you how shallow and pathetic these people are that they would scorch earth for all of the victims out there that may try to come forward in the future by completely scorching the earth for anyone that may come forward.
[03:03:48.000 --> 03:03:49.000]  Yeah, absolutely.
[03:03:49.000 --> 03:03:55.000]  And this new lady that's coming out, it's like, OK, well, just like real victims, why don't you prove it?
[03:03:55.000 --> 03:04:05.000]  If she was such a high and mighty feminist that got quote unquote, name called, oh my God, then where's her, where's her, you know, assault?
[03:04:05.000 --> 03:04:06.000]  Where is her harassment?
[03:04:06.000 --> 03:04:14.000]  Where did she go to the courts and say, I want a restraining order on this person that I actually cannot get away from?
[03:04:14.000 --> 03:04:15.000]  She was in public.
[03:04:15.000 --> 03:04:18.000]  Was she kicked off the plane because she was sexually harassed?
[03:04:18.000 --> 03:04:20.000]  Did she lose her job?
[03:04:20.000 --> 03:04:29.000]  And what and what type of precedent are they setting now where they say he called me a name 30 years ago?
[03:04:29.000 --> 03:04:31.000]  Assault.
[03:04:31.000 --> 03:04:34.000]  And it's like, what?
[03:04:34.000 --> 03:04:35.000]  Oh, yeah.
[03:04:35.000 --> 03:04:41.000]  Oh, you know, Megan Kelly came to Info War Studio and she might have said a name about me.
[03:04:41.000 --> 03:04:43.000]  She may have said something to me.
[03:04:43.000 --> 03:04:45.000]  No, it's ridiculous.
[03:04:45.000 --> 03:04:53.000]  So that's fine. They'll scorch earth for all the actual victims that may want to come forward in the future, but they don't come forward against Trump or more so they don't exist.
[03:04:53.000 --> 03:04:58.000]  Fuel your body with carnivore, the new digestive enzyme product by Info War's life.
[03:04:58.000 --> 03:05:06.000]  Digestive enzymes assist in the digestive process and increase the bioavailability of nutrients by breaking down foods into easily absorbable components.
[03:05:06.000 --> 03:05:11.000]  They also help prevent discomfort from indigestion caused by fermentation of undigested food particles in the gut.
[03:05:11.000 --> 03:05:14.000]  Digestive enzyme production declines as we age.
[03:05:14.000 --> 03:05:18.000]  Carnivore is filled with digestive enzymes like those naturally present in the body.
[03:05:18.000 --> 03:05:21.000]  Enjoy the full potential of protein rich foods again.
[03:05:21.000 --> 03:05:28.000]  You can eat protein heavy foods now while minimizing the later indigestion and discomfort commonly associated with high meat diets.
[03:05:28.000 --> 03:05:36.000]  Just one pill with every high protein meal helps increase the bioavailability and absorption of amino acids, the building blocks to your muscles.
[03:05:36.000 --> 03:05:44.000]  Carnivore also contains digestive enzymes to help digest fats and carbohydrates so you can fully digest all types of meals.
[03:05:44.000 --> 03:05:48.000]  Don't let a meal go to waste. Use carnivore by Info War's Life.
[03:05:48.000 --> 03:06:17.000]  Head to InfoWarsLife.com and secure your bottle now. That's InfoWarsLife.com.
[03:06:17.000 --> 03:06:21.000]  Hi, I'm Mike Cernovich. I think we're live right now.
[03:06:21.000 --> 03:06:25.000]  Guest hosting for Paul. Paul couldn't make it today, so I'm here.
[03:06:25.000 --> 03:06:32.000]  So I don't know what we're going to talk about. We're just going to go on a frolic and adventure in the spirit of Christmas.
[03:06:32.000 --> 03:06:36.000]  So the first thing I want to talk about is I just tweeted it out.
[03:06:36.000 --> 03:06:46.000]  A lot of people go, Cernovich, you're a conspiracy theorist because you claim the media covers up crimes committed by the Democrats.
[03:06:46.000 --> 03:06:50.000]  Well, we now have them admitting it.
[03:06:50.000 --> 03:07:01.000]  So a reporter, so-called reporter for MSNBC, Heidi, Heidi has a hard to pronounce last name much like mine, Cernovich.
[03:07:01.000 --> 03:07:08.000]  So I tweeted out that I have another big sexual harassment story coming out along the lines of John Conyers.
[03:07:08.000 --> 03:07:17.000]  So what does Heidi do? Does Heidi say, wow, another bad actor will be exposed?
[03:07:17.000 --> 03:07:21.000]  I can't believe it. This is incredible. No, no, that's not what she does.
[03:07:21.000 --> 03:07:26.000]  I'll read to you for those of you listening on the radio. Screencap is there. This is not fabricated.
[03:07:26.000 --> 03:07:37.000]  I swear to you, this is true. Heidi tweets out, Mike Cernovich and Roger Stone increasingly associated with a number of the sexual assault stories
[03:07:37.000 --> 03:07:44.000]  coming out of Congress. Now, maybe you don't think you heard that correctly. Let me tell you again.
[03:07:44.000 --> 03:07:51.000]  I tweeted out, I'm in possession of a sexual harassment complaint filed against one of Senator Gillibrand's colleagues.
[03:07:51.000 --> 03:08:03.000]  Will Senator Gallibrand read the complaint? Heidi tweets out, Mike Cernovich and Roger Stone increasingly associated with the number of sexual assault stories coming out of Congress.
[03:08:03.000 --> 03:08:11.000]  I mean, smoking gun, right? Smoking gun evidence that this is why I'm getting the stories.
[03:08:11.000 --> 03:08:16.000]  This is why people are coming to me because she's supposed to be a feminist.
[03:08:16.000 --> 03:08:23.000]  Why does she care if I get the stories? Why does she care if I get the goods on John Conyers and other people, right?
[03:08:23.000 --> 03:08:27.000]  Well, they do care because they would never report those stories.
[03:08:27.000 --> 03:08:33.000]  The media would never report stories about John Conyers. They would cover it up.
[03:08:33.000 --> 03:08:41.000]  So that's why women are not only victimized by these sexual predators in Congress and sexual predators like Bill Clinton.
[03:08:41.000 --> 03:08:46.000]  They are victimized by sexual predators within the mainstream media.
[03:08:46.000 --> 03:08:52.000]  So we now have one. She was dumb enough to tweet that out. So imagine what they all think.
[03:08:52.000 --> 03:09:00.000]  If a mainstream reporter for MSNBC, which by the way, they rehired a guy who makes rape jokes about kids.
[03:09:00.000 --> 03:09:03.000]  So that tells you all you kind of need to know about MSNBC.
[03:09:03.000 --> 03:09:13.000]  They're saying, yeah, as Arthur Schwartz tweeted out, are you suggesting that those victims shouldn't be trusted?
[03:09:13.000 --> 03:09:21.000]  Checkmate. But you're caught, Heidi. You're caught being another mouthpiece for the sexual predators and Democrats.
[03:09:21.000 --> 03:09:32.000]  Who cares? Has anybody ever thought for a minute that the reason I'm getting these big blockbuster stories is because the media has already character assassinated me?
[03:09:32.000 --> 03:09:39.000]  I'm sure you've all seen the Photoshop tweets. I'm sure you've all seen the Photoshop things people claim I've written.
[03:09:39.000 --> 03:09:45.000]  It's all out there. There has been a coordinated deep state character assassination on me.
[03:09:45.000 --> 03:09:51.000]  What are they going to do now? Try to frame me for a crime? I never leave my house without an alibi.
[03:09:51.000 --> 03:10:02.000]  When I travel, I'm only around big brothers protecting me right now because I don't ever want to be in public where there aren't cameras around so that they can't frame me.
[03:10:02.000 --> 03:10:09.000]  So the reason these big stories come to me is because I've been character assassinated. They've called me everything.
[03:10:09.000 --> 03:10:21.000]  Nazi, rape apologist, rapist, white supremacist, abuser, hater. I can't even keep track of so many different things that they call me.
[03:10:21.000 --> 03:10:34.000]  So that's why I'm getting the big stories because anybody who actually has the courage to stand up against deep state and to stand up against these sexual deviants and sexual predators in Congress,
[03:10:34.000 --> 03:10:41.000]  they will destroy your character. They will destroy your reputation. So me, the people know the truth.
[03:10:41.000 --> 03:10:48.000]  The people know not to believe any edited videos about me, fabrications, forgeries about me. The people know that.
[03:10:48.000 --> 03:10:54.000]  But the mainstream media knows, what do you do? Character assassinate me again? Talk about fake things about me again?
[03:10:54.000 --> 03:11:04.000]  Go for it. Just more publicity for me. More attention for me. More attention for the truth because I am just a mouthpiece of the people.
[03:11:04.000 --> 03:11:15.000]  I'm the mouthpiece of the 150, 200 million people in America who want to make America amazing. They want a great America for everybody regardless of religion, etiology, skin culture.
[03:11:15.000 --> 03:11:21.000]  We even want the liberals to succeed, right? We want everybody. Everybody to win.
[03:11:21.000 --> 03:11:34.000]  But that's when I tell you people, and when Alex tells you and other people tell you, that the media is fabricating things and they're conspiring to silence women who have been victimized by sexual predators and the Democrats.
[03:11:34.000 --> 03:11:43.000]  You have them admitting right now. They're admitting and they're saying, well, don't believe it even if it's true because consider Cernvich is a bad guy. Oh, no.
[03:11:43.000 --> 03:11:54.000]  And that's the beauty of the character assassinations because what are they going to say about me? What are they going to say about Alex? What are they going to say about Info Wars that hasn't already been said?
[03:11:54.000 --> 03:12:02.000]  Right? So there is no character to assassinate. They've already assassinated us and they character assassinate us every day. I call it a Tuesday.
[03:12:02.000 --> 03:12:14.000]  I'm like, oh, wow. Media hit pieces on me. Well, this must be a Tuesday or this must be a day that ends on why. But anybody else in the media, they can frame character assassinate.
[03:12:14.000 --> 03:12:22.000]  So I'm just really glad now the media is being honest, though, and the media is saying, you know what? We are going to cover up the rape.
[03:12:22.000 --> 03:12:28.000]  We are going to cover up the pedophilia. We're going to cover up the sexual harassment by Democrats.
[03:12:28.000 --> 03:12:37.000]  We're going to cover it all up because all that matters is protecting Democrat sexual predators like Bill Clinton, the rapist.
[03:12:37.000 --> 03:12:47.000]  Speaking of which, Senator Gillbrand or Gillibrand or Gillibrar, Rock of Gibraltar, maybe, she's got a rock head.
[03:12:47.000 --> 03:12:56.000]  So Senator Rock of Gibraltar is saying that she has been slut shamed by President Donald Trump, slut shamed.
[03:12:56.000 --> 03:13:04.000]  Senator Warren goes, how dare Donald Trump slut shame Senator Gillbrand? And I thought, that's a weird thing, right?
[03:13:04.000 --> 03:13:10.000]  This really weird. She's being slut shamed. Trump never called her a slut.
[03:13:10.000 --> 03:13:15.000]  Trump said she'll do anything for a campaign thing, which he said about men.
[03:13:15.000 --> 03:13:22.000]  Trump treats women the same way he treats men, which is to say, if he doesn't like you, he's kind of mean.
[03:13:22.000 --> 03:13:28.000]  If you're on Trump's bad side, man or woman, you're going to be in for quite a ride.
[03:13:28.000 --> 03:13:31.000]  And by ride, I'm not making any kind of connotation.
[03:13:31.000 --> 03:13:37.000]  But why is she with Senator Gillbrand with Harvey Weinstein?
[03:13:37.000 --> 03:13:45.000]  So for those of you listening at home, we're looking at a couple pictures of Senator Gillbrand with Harvey Weinstein.
[03:13:45.000 --> 03:13:51.000]  Harvey Weinstein is leaning into her, hugging her. She's looking on smiling. She's looking on adoringly.
[03:13:51.000 --> 03:13:58.000]  What's going on here? What is she covering up? What did she know about Harvey Weinstein? When did she know it?
[03:13:58.000 --> 03:14:09.000]  Did they ever date? This is a fair question to ask, and the reason why is Elizabeth Warren claimed that Trump was slut shaming Senator Gillbrand.
[03:14:09.000 --> 03:14:13.000]  So why, but there was, Trump never said she was a slut.
[03:14:13.000 --> 03:14:17.000]  Trump just said she would do anything for a campaign contribution.
[03:14:17.000 --> 03:14:23.000]  Trump said the same thing about the Attorney General, um, Shenderman, or, I don't know how to say these people's names.
[03:14:23.000 --> 03:14:30.000]  That's the thing. The reason I do such great journalism is I don't, I don't, I'm not afraid of any of these people because I don't even know who they are.
[03:14:30.000 --> 03:14:34.000]  To me, they're just like, I don't know how even how to say their names. I don't watch cable news.
[03:14:34.000 --> 03:14:39.000]  I don't, because that's all lies. I only break real news and I don't follow along with the liars.
[03:14:39.000 --> 03:14:45.000]  So I don't even know how to say Attorney General, I don't know, Scheidman, Shilderbrand, Shenderman.
[03:14:45.000 --> 03:14:50.000]  I don't know. Don't know, don't care. They're just losers to me, but here's what Trump said.
[03:14:50.000 --> 03:14:57.000]  Why did lightweight A.G. Shenderman come to my office on numerous occasions begging for a campaign contributions?
[03:14:57.000 --> 03:15:04.000]  So he said it before, Trump has said Mitt Romney went on his knees to beg. Remember that?
[03:15:04.000 --> 03:15:10.000]  So Trump has said Mitt Romney came, came to my office and got on his knees and begged me.
[03:15:10.000 --> 03:15:15.000]  Well, nobody claimed that that was like homophobic. Nobody claimed that that was sexist, right?
[03:15:15.000 --> 03:15:20.000]  So that's what they do is, and I'm the same way. I've been mean, if I mean to you, I mean to everybody.
[03:15:20.000 --> 03:15:24.000]  But what they do is they don't show you being me, me being mean to other people.
[03:15:24.000 --> 03:15:29.000]  They just, oh wow, here's Cernovich being mean to a woman. Well, yeah, but here's 10, 10 times I mean to a man.
[03:15:29.000 --> 03:15:33.000]  I mean her than men, the woman. So that's what they do with Trump also. That's the game.
[03:15:33.000 --> 03:15:37.000]  They pretend like the only time he's ever mean to somebody, she's a woman.
[03:15:37.000 --> 03:15:42.000]  But I want to know why did Elizabeth Warren claim that Trump was slut-shaming her?
[03:15:42.000 --> 03:15:49.000]  And why is Senator Gillbrand with Harvey Weinstein? What were they doing? Who knows?
[03:15:49.000 --> 03:16:18.000]  After break, we'll talk a little bit more about this and more.
[03:16:20.000 --> 03:16:26.000]  Happiness is 5starsoap.com. Why not put your money up the drain for a change?
[03:16:26.000 --> 03:16:32.000]  See them at 5starsoap.com or call 1-800-340-7091 for a catalog.
[03:16:32.000 --> 03:16:39.000]  Calben Soap Company can save you thousands of dollars and give you good old-fashioned real soaps that are triple concentrated.
[03:16:39.000 --> 03:16:45.000]  Soaps made from vegetable and coconut oils. See their full selection of soaps at 5starsoap.com.
[03:16:45.000 --> 03:16:53.000]  That's F-I-V-E-STARSOAP.COM or call 1-800-340-7091 for a catalog.
[03:16:53.000 --> 03:16:58.000]  What looks good under your Christmas tree and tastes even better? Big Berkey water filters.
[03:16:58.000 --> 03:17:04.000]  Yes, the gift of clean water. A gift that provides a great foundation for achieving good health in the lives of your loved ones.
[03:17:04.000 --> 03:17:12.000]  A big Berkey water filter gives them protection from bacteria, heavy metals, chlorine, fluoride, pesticides and herbicides, VOCs and more.
[03:17:12.000 --> 03:17:17.000]  And best of all, a big Berkey water filter is a gift that lasts for many years with no additional investment.
[03:17:17.000 --> 03:17:21.000]  And that saves time and money in filter replacements that other water filters require.
[03:17:21.000 --> 03:17:27.000]  And are even powerful enough to purify treated, untreated or even stagnant pond water.
[03:17:27.000 --> 03:17:33.000]  As always, all orders over $50 are shipped free and GCN listeners get 5% off all ceramic filter systems.
[03:17:33.000 --> 03:17:41.000]  Order online at bigberkeywaterfilters.com, spelled big, B-E-R-K-E-Y, waterfilters.com
[03:17:41.000 --> 03:17:48.000]  Or call 877-99-Berkey. That's 877-99-B-E-R-K-E-Y.
[03:17:48.000 --> 03:17:51.000]  Gift well this Christmas. Give a big Berkey water filter.
[03:17:54.000 --> 03:17:58.000]  Another former Facebook executive has come out against the social media giant.
[03:17:58.000 --> 03:18:06.000]  Former Facebook Vice President, Chamath Palihapatia, revealed that he feels tremendous guilt over his role in heading a company which is aiding the destruction of society.
[03:18:06.000 --> 03:18:15.000]  He believes social media networks are employing tools that are destroying society's social fabric, pointing to the insatiable need for hearts, likes and thumbs up.
[03:18:15.000 --> 03:18:18.000]  You don't realize it, but you are being programmed.
[03:18:18.000 --> 03:18:27.000]  He also highlighted the way social media is able to manipulate mob mentality by referring to an incident in which seven Indian people were lynched due to a WhatsApp hoax.
[03:18:27.000 --> 03:18:36.000]  That's what we're dealing with, he said. Imagine taking that to the extreme, where bad actors can now manipulate large swaths of people to do anything you want.
[03:18:36.000 --> 03:18:45.000]  Similar to tech giants before him, Palihapatia says his children are not allowed to use Facebook, and he recommends the rest of us take a hard break from the app.
[03:18:45.000 --> 03:18:51.000]  I've just removed all social media apps and games from my phone, and surprisingly, I've got a lot more free time.
[03:18:51.000 --> 03:18:53.000]  Leigh Ann McAdoo, Infowars.com.
[03:18:53.000 --> 03:19:11.000]  I want to plow into all of this, but I'm going to spend a few minutes here first, just encouraging listeners to understand that when you buy t-shirts, or water filtration systems, or books, or videos, or other material from Infowars.com,
[03:19:11.000 --> 03:19:27.000]  you are funding the revolution. I mean, I cannot say it any clearer, and so it is essential that you purchase the products at InfowarsStore.com. I want to thank everybody that has, but we've got the best fluoride-free toothpaste with colloidal silver and with high quality atomic iodine in it.
[03:19:27.000 --> 03:19:34.000]  You cannot beat that for children and adults. We've got the best mouthwash designed by Dr. Jones, that's my dad, with colloidal silver and iodine as well.
[03:19:34.000 --> 03:19:46.000]  InfowarsLife.com, or triple-A-253-3139. And your purchase of the products stands with us, stands with America, stands with Trump, stands against the globalists and their satanic pedophile armies.
[03:19:46.000 --> 03:20:05.000]  And that's who they are, and they know we know who they are, and they're coming back against us, so we need your support.
[03:20:16.000 --> 03:20:26.000]  It's years before they happen right here on the Alex Jones Show. And now, your host, Mike Cernovich.
[03:20:26.000 --> 03:20:46.000]  So much to talk about. They brought me in last minute, so I was out at the errands running the banks, but you know what? There's no time off from the Infowars. The Deep State, they're not taking a day off.
[03:20:46.000 --> 03:20:59.000]  George Soros is funding fake documentaries and to fake sexual harassment stuff. He is also funding a super PAC to take on Roy Moore and Doug Jones.
[03:20:59.000 --> 03:21:09.000]  So Soros is supporting Roy Moore's opponent, so Politico broke this story. Secret super PAC backing Jones and Alabama.
[03:21:09.000 --> 03:21:20.000]  So they don't take a day off. So we can't take a day off either from the Infowars. So even if I'm at the bank, depositing checks, doesn't matter.
[03:21:20.000 --> 03:21:28.000]  We got to get up and we got the Infowars. So what do we talk about? I don't know, but I just stalled for like 30 seconds. You just learned in real time.
[03:21:28.000 --> 03:21:39.000]  You ever do a public speaker? It's about public speaking of it. And you're only sure to talk about. Just talk about how you don't know what you're going to talk about and what brought you there. And then suddenly, you've talked about something.
[03:21:39.000 --> 03:21:52.000]  Metta, we have the mindset tricks for you all day. But we do kind of want to talk about Jim Acosta, because he's fake and he's always fake and he's always interrupting Sarah Huckabee Sanders.
[03:21:52.000 --> 03:22:04.000]  He's a very amazing, strong, independent woman, like the creepy sexist that he is, Jim Acosta interrupts her. So let's go and take a ride through Jim Acosta's history.
[03:22:04.000 --> 03:22:20.000]  Let's look at Jim Acosta at CNN being very fake news. Who remembers the very tragic shooting where Scalise and others were the victims of a left-wing domestic terrorist who had been radicalized by the mainstream media?
[03:22:20.000 --> 03:22:35.000]  We all remember the Scalise shooting. So here's what Jim Acosta tweeted on June 14, 2017. White House official on hospital visit, quote, President Trump did not meet with Scalise.
[03:22:35.000 --> 03:22:44.000]  It did not go into the room where Scalise is being tweeted, unquote. So I'm going to read that to you again. This is what Jim Acosta tweeted. It got over 2000 retweets.
[03:22:44.000 --> 03:22:53.000]  White House official on hospital visit, President Trump did not meet with Scalise and did not go into the room where Scalise has been treated.
[03:22:53.000 --> 03:23:02.000]  Well, let's click over that medium.com article where I reported on this. Well, that was fake because Trump did visit it.
[03:23:02.000 --> 03:23:16.000]  So you know what Jim Acosta did when he was caught spreading fake news? Did he apologize? Did he say, well, I got it wrong? No, he made up a source.
[03:23:16.000 --> 03:23:26.000]  He said that he got the story from the White House press pool. So here's what he did. Then Jim Acosta said in a later tweet,
[03:23:26.000 --> 03:23:33.000]  well, I got, we got to scroll down in the article, I think it's in, he goes, well, I got the story from the White House press pool.
[03:23:33.000 --> 03:23:44.000]  Right. He goes, well, the White House press pool gave it so you can see other people calling him out because his original tweet did not say he got it from the White House press pool.
[03:23:44.000 --> 03:23:50.000]  Right. His original tweet said he got this information from a White House official.
[03:23:50.000 --> 03:23:58.000]  And then later when he was called out for being fake news, he goes, oh, no, that was the press pool. Oh my God, you know, it's not my fault.
[03:23:58.000 --> 03:24:09.000]  Well, wait a minute, Jim, wait a minute, Jim, if you got the story from the press pool, then why did your tweet say White House official?
[03:24:09.000 --> 03:24:16.000]  See, he fabricated, he fabricated a source. He claimed that a White House official gave him this quote.
[03:24:16.000 --> 03:24:22.000]  And then when that turned out to be fake news, he goes, well, I mean, it was an error in the White House press pool.
[03:24:22.000 --> 03:24:28.000]  That's how dishonest these people are. Lie after lie after lie after lie.
[03:24:28.000 --> 03:24:35.000]  And when they're caught lying, they go, oh, well, it wasn't my fault that I fabricated a source. Rather, I just relied on the White House press pool.
[03:24:35.000 --> 03:24:45.000]  But wait a minute, if he was quoting from the White House press pool, why didn't he say per White House press pool Trump didn't visit Scalise?
[03:24:45.000 --> 03:24:51.000]  He wanted to seem like Mr. Big Shot. He wanted to seem like he had the kindest sources Mike Cernivich has.
[03:24:51.000 --> 03:24:56.000]  Well, I can tell you, Jim Acosta does not have the kindest sources Mike Cernivich has in the White House.
[03:24:56.000 --> 03:25:03.000]  The only person working today in media who has more White House sources than I have is Maggie Haberman.
[03:25:03.000 --> 03:25:09.000]  Maggie Haberman has the most White House sources of anybody in journalism than me.
[03:25:09.000 --> 03:25:18.000]  And then there's like a huge gap. People like Jim Acosta, he's not even top 10. Jim Acosta is not even like top 24.
[03:25:18.000 --> 03:25:25.000]  He doesn't have any source. All he can do is go in there and ask his little, Sarah, you call this fake news. We're butthurt.
[03:25:25.000 --> 03:25:31.000]  We're butthurt. Did you call this fake news today? We're going to cry. You know, I can't believe it. You call this fake news.
[03:25:31.000 --> 03:25:36.000]  You're so mean. You're bullying me. You're bullying me, Jim Acosta. And then they call her sexless names.
[03:25:36.000 --> 03:25:43.000]  And then there's another guy. He's completely unhinged. Brian, something or other. There's a guy named Brian.
[03:25:43.000 --> 03:25:51.000]  He works for Playboy. And he's always attacking in a very sexist way, attacking Sarah Huckabee Sanders.
[03:25:51.000 --> 03:26:00.000]  Well, we caught him on video attacking me, physically, physically initiating violence against me such that he came.
[03:26:00.000 --> 03:26:04.000]  So I did a White House press briefing. I don't know if we have the video or if the video is good enough.
[03:26:04.000 --> 03:26:15.000]  But when I was reporting for the White House, I told the White House press people that they were endorsing violence, endorsing Antifa.
[03:26:15.000 --> 03:26:21.000]  And then I walked out, minding my own business. And this guy, Brian, follows me out.
[03:26:21.000 --> 03:26:26.000]  And he starts putting his hands in my face. He almost poked my eye out.
[03:26:26.000 --> 03:26:35.000]  So he's jabbing his big sausage fingers into my face. He smells bad. He has bad breath. He's a very not clean person.
[03:26:35.000 --> 03:26:39.000]  He's a very dirty sort of nasty person. You don't ever want to be too close to him.
[03:26:39.000 --> 03:26:43.000]  And he's jabbing at me and attacking me and everything like that.
[03:26:43.000 --> 03:26:49.000]  So I was like, man, this guy, he's trying to physically attack me. We were on the White House grounds.
[03:26:49.000 --> 03:26:58.000]  Yeah, Brian Karam. So maybe if you run a search on my Twitter, here, I'll see if I can find the video. I'll top it out.
[03:26:58.000 --> 03:27:05.000]  But maybe, yeah, maybe if you can find that on my Twitter, I'll look for it. So Brian came in and attacked me.
[03:27:05.000 --> 03:27:14.000]  And then I realized that what he was doing is that he was trying to frame me for assault because that's what they do.
[03:27:14.000 --> 03:27:18.000]  They can't actually get me on anything real because it's all fake.
[03:27:18.000 --> 03:27:29.000]  So he was trying to frame me for assault. So I just retweeted it, CNN hire Cernovich's stalker, Brian Karam, is on air contributor.
[03:27:29.000 --> 03:27:36.000]  So you can see in the screen captures that I have. And of course, on the video that I have, if you click over the medium, we can find the video.
[03:27:36.000 --> 03:27:43.000]  See how his finger will zoom in on that image at the medium article. You see how he has his finger right in my face there.
[03:27:43.000 --> 03:27:53.000]  And you see how I'm just being very respectful, being very, you know, gorilla mindset, very calm and composed, because I knew he was trying to frame me for a crime.
[03:27:53.000 --> 03:27:57.000]  So here's me, I'm walking out and here he is, look at that, right there, he'll pause that.
[03:27:57.000 --> 03:28:09.000]  Those of you who are listening in at home, I'm standing there very respectful, very dignified, in a brand new custom Hugo Boss suit, being very, very respectful of the White House.
[03:28:09.000 --> 03:28:15.000]  This guy comes out, he didn't even comb his hair. He has on shades, he's trying to look like a cool guy.
[03:28:15.000 --> 03:28:22.000]  And his finger is within inches of my face and he's trying to assault me because he wanted to frame me.
[03:28:22.000 --> 03:28:27.000]  So we'll talk about this more in the next segment because this is important, we'll have the video ready.
[03:28:27.000 --> 03:28:37.000]  They're trying to frame me in real time on White House grounds. That's what they'll do. The media, if they can't do a hit piece and it fails, they will frame you for assault.
