[00:00:04.113 --> 00:00:06.354]  Alright, ladies and gentlemen.
[02:58:36.174 --> 02:58:45.058]  So get off the bench, get in the game, step to the plate, and go to InfoWarsTore.com right now and get these great InfoWars products at InfoWarsTore.com.
[02:58:47.287 --> 02:58:55.736]  Ladies and gentlemen, InfoWars has proven itself the last 28 years to be over the globalist target and having the biggest effect out there against those tyrants.
[02:58:55.736 --> 02:59:01.181]  And we fund our operation with viewers and listeners' support while selling you great products at the same time.
[02:59:01.181 --> 02:59:05.545]  So I want to thank all the viewers and listeners who have supported us over the years by spreading the word.
[02:59:06.186 --> 02:59:07.307]  I'm praying for the broadcast.
[02:59:07.307 --> 02:59:08.287]  I'm buying product.
[02:59:08.287 --> 02:59:25.375]  But I really want to encourage those of you that have been on the fence, that have never actually gone to Infowarshore.com to go there and get the great books and films and supplements and survival gear that's there that won't just empower you and enrich your life, but again will keep this broadcast transmitting.
[02:59:25.375 --> 02:59:29.157]  So whether it's Real Red Pill Plus or our super high quality CBD oil or the 50% off
[02:59:30.057 --> 02:59:30.757]  We're good to go.
[03:00:12.469 --> 03:00:18.276]  Alright, Paul Joseph Watson is set to take over.
[03:00:18.276 --> 03:00:30.090]  On just today's show, we have the former head of the CDC saying they covered up gain of function, that the government created it, the Defense Department ran it, and that Fauci and Bill Gates lied to Congress about it.
[03:00:31.308 --> 03:00:37.614]  We have the January 6th information coming out that federal provocateurs ran the attack.
[03:00:37.614 --> 03:00:48.383]  We have it coming out in the Proud Boys trial where the FBI accidentally sending files to the defense that they destroyed hundreds of pieces of evidence and the fact that the Proud Boys were innocent.
[03:00:49.264 --> 03:01:08.682]  We have Matt Taibbi testifying in Congress about total illegal surveillance and then censorship with dozens of private corporate groups and think tanks and the Southern Poverty Law Center and ADL with legacy dinosaur media and the government against surveilling and censoring people on hundreds of issues.
[03:01:10.179 --> 03:01:19.334]  They're now censoring online January 6th information, even clips from Congress are being blocked and controlled on Twitter and YouTube and places.
[03:01:19.334 --> 03:01:20.976]  It is just insane!
[03:01:22.523 --> 03:01:27.744]  And yes, even though muscles and controls done a better job, there's still people in there censoring at Twitter.
[03:01:27.744 --> 03:01:35.706]  And people focus on Twitter, that's the one agency, the one group, and it's an agency of the government, that is actually getting somewhat freer.
[03:01:35.706 --> 03:01:43.927]  Everything you see at Twitter is much worse at Facebook, and its subsidiaries, and Google, and its subsidiaries, and Apple, and all the other tech companies after it follow it.
[03:01:43.927 --> 03:01:48.028]  So you've seen on this show, just today,
[03:01:48.968 --> 03:01:57.130]  Bombshell after bombshell after bombshell that will affect the world for the better and it's putting the tyrants on their heels.
[03:01:57.130 --> 03:01:58.731]  But we can't do it without your support.
[03:01:58.731 --> 03:02:00.151]  I just did two hours.
[03:02:00.151 --> 03:02:01.552]  I did plug in the first hour.
[03:02:01.552 --> 03:02:05.793]  I just did two hours and did not do one plug.
[03:02:05.793 --> 03:02:08.294]  You tune into all the rest of the talk radio because I get it.
[03:02:08.294 --> 03:02:09.194]  Nobody listens to the ads.
[03:02:10.080 --> 03:02:12.881]  They're plugging in the segment, out of the segment.
[03:02:12.881 --> 03:02:14.462]  The start of the segment, out of the segment.
[03:02:14.462 --> 03:02:15.982]  I can't do that.
[03:02:15.982 --> 03:02:18.383]  Our money problems will be over if I just did that.
[03:02:18.383 --> 03:02:20.224]  We have sponsors lined up out the ass.
[03:02:20.224 --> 03:02:21.704]  But I cannot stand to do it.
[03:02:21.704 --> 03:02:29.707]  I just want to sell supplements, and books, and films, at m4short.com that empower you, that enrich your mind, that inform you, and to keep us on air.
[03:02:30.672 --> 03:02:34.693]  So, less than 1% of listeners actually buy products.
[03:02:34.693 --> 03:02:36.693]  Most listeners do share the articles and videos.
[03:02:36.693 --> 03:02:38.073]  That's why we're so successful.
[03:02:38.073 --> 03:02:39.454]  You're the reason we're successful.
[03:02:39.454 --> 03:02:40.334]  Not just the great guests.
[03:02:40.334 --> 03:02:41.674]  Not just the great analysis.
[03:02:41.674 --> 03:02:42.894]  But I can't do it without you.
[03:02:42.894 --> 03:02:49.436]  So, I need those that have been on the fence for whatever reason to go get the best CBD oil you're going to find out there for the price.
[03:02:49.436 --> 03:02:52.996]  It's the highest grade at less than 50% off than anybody else sells it for.
[03:02:52.996 --> 03:02:54.297]  To go get our Nitric Boost.
[03:02:54.297 --> 03:02:55.757]  It's so good for your heart and your blood.
[03:02:56.877 --> 03:03:14.675]  Your whole cardiovascular system to get our great prebiotics sold out for over a year finally back in stock 40% off or the ultimate bone broth sold out for over two years with supply chain breakdowns now finally back in stock and the vitamin d3 gummies and the sleep aid knockout
[03:03:15.786 --> 03:03:26.690]  And so many other great products like Down and Out and the new turmeric toothpaste that is full of vitamins and minerals and tea tree oil and highest quality iodine, not just the turmeric.
[03:03:26.690 --> 03:03:31.872]  So good for your gums, so good for your cells, so good to rejuvenate your body.
[03:03:31.872 --> 03:03:36.314]  Infowarsstore.com is the coordinates to get great products.
[03:03:37.307 --> 03:03:41.095]  And know at this critical time, you are fighting against the tyrants.
[03:03:41.095 --> 03:03:43.320]  Infowarsstore.com or 888-253-3139.
[03:03:43.320 --> 03:03:45.123]  We are barely in the black.
[03:03:49.867 --> 03:04:02.099]  I humbly appreciate your support, and I'm asking those of you that have supported to support again, great products at the same time, and I'm asking those of you on the fence to take action now at InfoWarsTore.com.
[03:04:02.099 --> 03:04:03.260]  It's a win-win situation.
[03:04:03.260 --> 03:04:05.142]  The only way you lose is not taking action.
[03:04:05.142 --> 03:04:09.367]  You can make a straight donation as well on the site, InfoWarsTore.com.
[03:04:09.367 --> 03:04:11.008]  All right.
[03:04:11.008 --> 03:04:12.330]  Paul Watson's going to take over.
[03:04:13.639 --> 03:04:17.462]  And Lord willing, I'll be back tomorrow at 11 a.m., right after Harrison Smith, 8 a.m.
[03:04:17.462 --> 03:04:19.143]  to 11 a.m., does a fabulous job.
[03:04:19.143 --> 03:04:22.106]  He's always done a great show, but it's getting really successful now, blowing up.
[03:04:22.106 --> 03:04:25.048]  So is Owen's War Room, doing a fabulous job as well.
[03:04:25.048 --> 03:04:25.368]  3 p.m.
[03:04:25.368 --> 03:04:29.211]  Central, Paul Joseph Watson is about to take over.
[03:04:29.211 --> 03:04:32.133]  All I can say is this is one of the most important shows I've ever done.
[03:04:32.133 --> 03:04:36.076]  The full thing will be archived at band.video in the next few hours.
[03:04:36.917 --> 03:04:37.538]  Cut it up.
[03:04:37.538 --> 03:04:37.958]  Share it.
[03:04:37.958 --> 03:04:38.398]  Slice it.
[03:04:38.398 --> 03:04:38.799]  Dice it.
[03:04:38.799 --> 03:04:40.800]  It's all trademark copyright free.
[03:04:40.800 --> 03:04:42.302]  Just get it out.
[03:04:42.302 --> 03:04:45.064]  We are free to air.
[03:04:45.064 --> 03:04:49.228]  And the only power we have is God working through you to spread the word.
[03:04:49.228 --> 03:04:50.809]  Great job to the crew.
[03:04:50.809 --> 03:04:53.752]  Paul Joseph Watson from Summit.News takes over now.
[03:04:59.850 --> 03:05:06.277]  It's hard to believe that we're already going into March 2023, and the world is an insane place.
[03:05:06.277 --> 03:05:08.039]  World War III has already started.
[03:05:08.039 --> 03:05:10.362]  Biden is a puppet and is dissolving our borders.
[03:05:10.362 --> 03:05:11.523]  There's mass censorship.
[03:05:11.523 --> 03:05:13.726]  James O'Keefe's been removed from Project Veritas.
[03:05:13.726 --> 03:05:15.989]  The list goes on and on of the bad things that are happening.
[03:05:15.989 --> 03:05:20.374]  But the good things that are happening is humanity is really accelerating its awakening.
[03:05:20.774 --> 03:05:24.578]  Those of us on the forefront are under more attack by the establishment than ever.
[03:05:24.578 --> 03:05:33.006]  That's why I'm counting on you to spread the word about the broadcast, to pray for the broadcast, and to keep the broadcast on the air by getting great products at InfoWarshaw.com.
[03:05:33.006 --> 03:05:41.654]  And whether it's a final signed copy, they're almost all sold out, or the great reset in the War for the World, or Ultimate Bone Broth, finally back in stock after over two years, it's all available at InfoWarshaw.com.
[03:05:41.654 --> 03:05:43.256]  These are truly amazing products.
[03:05:43.416 --> 03:05:49.599]  So get your InfoWars products at InfoWarsStore.com and enrich your life while keeping the broadcast on the air.
[03:05:49.599 --> 03:05:54.221]  It is your decision on whether or not we stay on air, so please take action now at InfoWarsStore.
[03:06:16.249 --> 03:06:19.250]  We are live at the Summit News Hour on this 9th of March 2023.
[03:06:19.250 --> 03:06:24.831]  Coming up later in the show we're going to talk about this incredible poll.
[03:06:24.831 --> 03:06:29.512]  They actually did a survey of people in Britain and asked them
[03:06:43.061 --> 03:06:53.383]  Who was most vehement, most enthusiastic in terms of thinking that the government wasn't draconian enough, the government didn't lock us down hard enough?
[03:06:53.383 --> 03:07:07.927]  And you'll be surprised as to the answer as to the demographic group that was basically the most enthusiastic about being bootlickers and what that says about the current generation.
[03:07:07.927 --> 03:07:09.567]  First though in the United Kingdom
[03:07:10.305 --> 03:07:25.748]  A big controversy right now, whether it deserves to be is another question, is the television presenter Gary Lineker, who basically is a sports presenter but never shuts up about woke political issues on Twitter.
[03:07:25.748 --> 03:07:39.570]  He of course chooses to live in the least diverse, the least multicultural areas of Great Britain, but then constantly lectures the rest of the country about how they're racist for being critical of mass migration.
[03:07:40.797 --> 03:07:50.045]  And the reason why people are critical of mass migration, we have another slew of stories to that effect, including this one.
[03:07:50.045 --> 03:07:54.568]  Channel migrant stabbed student because he wanted to be deported from Britain.
[03:07:54.568 --> 03:07:56.270]  This is out of the Telegraph.
[03:07:56.270 --> 03:08:05.757]  Yet another example of a violent knife attack, which have risen exponentially over the past five years by the way, record high crime in England and Wales now.
[03:08:05.757 --> 03:08:09.200]  A violent knife attack by a boat migrant,
[03:08:10.114 --> 03:08:16.616]  A quote, refugee, of course we know none of them are, virtually none of them are legitimate refugees.
[03:08:16.616 --> 03:08:20.538]  They get here on boats from France, a country not at war.
[03:08:20.538 --> 03:08:24.439]  Four out of ten of them are from Albania, a country not at war.
[03:08:24.439 --> 03:08:28.520]  Many of those Albanians go on to become drug dealers and career criminals.
[03:08:28.520 --> 03:08:31.982]  They're not refugees, they're not legitimate asylum seekers.
[03:08:31.982 --> 03:08:35.343]  Yet they're constantly treated that way by the media.
[03:08:35.343 --> 03:08:37.784]  We have yet another example of a violent attack.
[03:08:37.784 --> 03:08:38.364]  This is Iraqi,
[03:08:40.052 --> 03:08:50.239]  Rabaz Mohammed, who attacked teenager Ellis Wheeler in a leafy park in Southampton, Southern England, leaving him fighting for his life.
[03:08:50.239 --> 03:08:54.903]  And they've actually got a video of this attack at the top of this Telegraph article.
[03:08:54.903 --> 03:09:02.048]  Iraqi Immigrant Stab Student in Southampton is the YouTube title of the video.
[03:09:02.048 --> 03:09:04.610]  Broad daylight, middle of a park,
[03:09:05.603 --> 03:09:08.706]  This student is just talking to this guy.
[03:09:08.706 --> 03:09:11.148]  Obviously he's getting harassed to some extent.
[03:09:11.148 --> 03:09:13.150]  He tries to walk away.
[03:09:13.150 --> 03:09:16.633]  He moves a bit quicker, starts trying to run away.
[03:09:16.633 --> 03:09:29.344]  And this migrant, who again had a record it turns out of criminal violence, surprise surprise, stabs him in the back, punctures his lung, leaves him fighting for his life.
[03:09:29.344 --> 03:09:32.687]  In many other circumstances this victim would have been dead.
[03:09:33.655 --> 03:09:39.618]  So this is the moment an Iraqi immigrant stabbed a university student because he wanted to be deported from Britain.
[03:09:39.618 --> 03:09:45.962]  This happens all the time now in virtually every European country.
[03:09:45.962 --> 03:09:55.767]  Last year we had a massive stabbing attack in one of these hotels in Glasgow where they're putting up all these boat migrants who just rock up on the southern shores of England.
[03:09:57.017 --> 03:09:59.178]  Four-star hotels in many cases.
[03:09:59.178 --> 03:10:01.159]  Prime tourist locations.
[03:10:01.159 --> 03:10:03.120]  Taxpayers foot in the bill.
[03:10:03.120 --> 03:10:05.641]  Seven million pounds a day.
[03:10:05.641 --> 03:10:08.423]  The government hands them free debit cards.
[03:10:08.423 --> 03:10:10.164]  Prepaid?
[03:10:10.164 --> 03:10:11.684]  Free healthcare?
[03:10:11.684 --> 03:10:20.369]  Remember this is a time when the NHS, because of lockdown basically, where they kicked everyone out the hospitals and told you not to go to hospital,
[03:10:21.215 --> 03:10:24.156]  While claiming the hospitals were overflowing, they're actually empty.
[03:10:24.156 --> 03:10:26.076]  People were denied serious medical care.
[03:10:26.076 --> 03:10:32.597]  NHS waiting lists as long as basically from here to the moon.
[03:10:32.597 --> 03:10:35.178]  People can't get adequate healthcare in the UK.
[03:10:35.178 --> 03:10:42.199]  If you're an illegal immigrant who gets on a boat from France and you just show up here, you're designated a doctor.
[03:10:42.199 --> 03:10:48.080]  You get free, immediate healthcare, no charge, on site.
[03:10:48.080 --> 03:10:50.161]  Free prepaid debit card.
[03:10:50.161 --> 03:10:50.821]  Free cash.
[03:10:51.884 --> 03:10:55.105]  Free four-star hotel accommodation.
[03:10:55.105 --> 03:10:57.926]  And again, we wonder why they keep coming.
[03:10:57.926 --> 03:11:01.006]  It's an absolute joyride.
[03:11:01.006 --> 03:11:03.267]  And this is the consequence.
[03:11:03.267 --> 03:11:11.969]  Ellis Wheeler, a teenager, was left fighting for his life after Rabaz Mohamed attacked him as he walked through a leafy park on his way back from the gym.
[03:11:11.969 --> 03:11:18.711]  Footage shows Mohamed pulling out a kitchen knife from his coat before lunging at the 18-year-old's back, puncturing his lung in broad daylight.
[03:11:20.385 --> 03:11:22.586]  And again, there are eyewitnesses, there are onlookers.
[03:11:22.586 --> 03:11:23.446]  They do nothing.
[03:11:23.446 --> 03:11:28.907]  I mean, you probably can't blame them, given this guy's wielding a massive knife.
[03:11:28.907 --> 03:11:35.929]  The Iraqi can be seen approaching the student before the attack, speaking to him briefly and asking if he knew kickboxing before swinging at him.
[03:11:35.929 --> 03:11:39.349]  He's basically trying to figure out if the guy's gonna defend himself.
[03:11:39.349 --> 03:11:40.330]  He doesn't.
[03:11:40.330 --> 03:11:41.330]  And he almost dies!
[03:11:42.518 --> 03:11:51.280]  Mohammed came to the UK illegally on a small boat, was arrested at the scene and told police he'd attacked his victims so he could be sent home to Iraq.
[03:11:51.280 --> 03:11:56.101]  He probably won't even be sent home to Iraq, at least not for two or three years.
[03:11:56.101 --> 03:12:06.464]  Even when they're literally violently attacking people in broad daylight with 12-inch blades in the park, wanting to be deported, presumably he's not happy with his
[03:12:07.526 --> 03:12:08.226]  Free Wi-Fi.
[03:12:08.226 --> 03:12:13.828]  Maybe he dislikes the breakfasts that are being served up for free at these hotels.
[03:12:13.828 --> 03:12:19.950]  Maybe he's not happy about there being enough credit on his prepaid card being given to him.
[03:12:19.950 --> 03:12:22.771]  And in fact, that's exactly the reason.
[03:12:22.771 --> 03:12:25.252]  He basically says he's not being given enough money.
[03:12:25.252 --> 03:12:28.053]  He's not being allowed to get a job by the government.
[03:12:28.053 --> 03:12:36.436]  So he just walked into a park and decided to stab a 28-year-old, or a student, even younger, 18-year-old, nearly killing him!
[03:12:37.816 --> 03:12:42.199]  So there's a 28-year-old migrant who's previously served a prison term.
[03:12:42.199 --> 03:12:44.220]  We're not importing the best, are we?
[03:12:44.220 --> 03:12:49.984]  Appeared at Southampton Crown Court after pleading guilty to grievous bodily harm with intent and possessing a knife blade.
[03:12:49.984 --> 03:12:59.031]  Again, history of violent attacks, being in prison before, they just let him into the country and this is what happens.
[03:12:59.031 --> 03:13:06.376]  Meanwhile in France, Afghan migrant who sexually assaulted three teen girls in four days says he arrived in France for a better life.
[03:13:07.179 --> 03:13:14.385]  This is a 44-year-old Afghan migrant who sexually assaulted three young French women in four days in the city of Douai.
[03:13:14.385 --> 03:13:17.727]  He's been sentenced to prison.
[03:13:17.727 --> 03:13:21.951]  The real threat apparently though in France is people who criticize mass migration.
[03:13:21.951 --> 03:13:27.255]  Zero Hedge reports French politician faces criminal trial for immigration criticism.
[03:13:27.255 --> 03:13:34.461]  This is French Senator Stéphane Ravier who stated that quote immigration kills the youth of France after
[03:13:35.862 --> 03:13:45.987]  In a somewhat similar situation to the one I just talked about, a Senegalese migrant, presumably another boat migrant, killed a 18-year-old in Marseille.
[03:13:45.987 --> 03:13:51.510]  Again, 62-year-old man from Senegal killed a man in Marseille, 18 years old.
[03:13:51.510 --> 03:13:54.151]  The senator came out and was critical of it.
[03:13:54.151 --> 03:14:00.395]  Now he's being brought up on what are basically the equivalent of hate crimes charges.
[03:14:00.395 --> 03:14:00.975]  In Germany,
[03:14:01.792 --> 03:14:03.692]  We have space, but not for Germans.
[03:14:03.692 --> 03:14:08.453]  Protests against elderly residents being evicted to accommodate migrants labelled Far Right.
[03:14:08.453 --> 03:14:19.675]  A bunch of elderly residents in a care home in Germany, and this is happening across the country, in this case it's the city of La Rache, had been there for years.
[03:14:19.675 --> 03:14:21.715]  Again, these are vulnerable elderly people.
[03:14:21.715 --> 03:14:24.696]  They need to have a familiar safe environment.
[03:14:24.696 --> 03:14:31.057]  The local Christian charity found that it was more profitable to get paid by the government
[03:14:31.607 --> 03:14:37.711]  to house migrants in this care home than elderly German residents.
[03:14:37.711 --> 03:14:46.156]  So they were all kicked out, there was a protest against it, and now those people protesting against it, well they're, right, they're extremists.
[03:14:46.156 --> 03:14:52.740]  In Sweden, multicultural Malmo cars and building damaged in latest Sweden bombing.
[03:14:52.740 --> 03:14:56.222]  Grenade attacks, the police being attacked,
[03:14:56.747 --> 03:14:58.549]  Routine riots.
[03:14:58.549 --> 03:15:01.913]  This is the result of cultural enrichment in Sweden.
[03:15:01.913 --> 03:15:09.501]  Remember, Trump was laughed at, criticized for even drawing attention to this back in 2017.
[03:15:09.501 --> 03:15:14.366]  Now it's a daily fact of life in diverse Sweden.
[03:15:14.366 --> 03:15:19.211]  In Italy, illegal migrant arrested after stabbing and robbery rampage.
[03:15:20.083 --> 03:15:29.041]  This is a North African migrant who was arrested by Milan's Central Railway Station after committing five robberies and stabbing six people seriously, injuring two of them.
[03:15:29.041 --> 03:15:29.222]  Again.
[03:15:29.844 --> 03:15:33.407]  North African illegal immigrant from Morocco.
[03:15:33.407 --> 03:15:35.388]  Same old story again and again.
[03:15:35.388 --> 03:15:39.871]  In France, in Sweden, in Germany, in the United Kingdom.
[03:15:39.871 --> 03:15:44.094]  This is why the majority of the British public want these boats stopped.
[03:15:44.094 --> 03:15:45.936]  It's not a far-right thing.
[03:15:45.936 --> 03:15:47.457]  It's a common-sense thing.
[03:15:47.457 --> 03:15:50.619]  It's basic safety of the individual.
[03:15:50.619 --> 03:15:51.540]  We'll be back.
[03:15:51.540 --> 03:15:52.841]  Summit.News.
[03:15:52.841 --> 03:15:53.141]  Go go.
[03:15:57.193 --> 03:16:09.551]  Every time I see you, you're either like on the border exposing the cartels and like coming under fire or you're on the streets of some American city hanging out with drug addicts and criminals and now you've gone to ground zero of a massive chemical spill.
[03:16:09.551 --> 03:16:11.333]  Are you addicted to the danger, Savannah?
[03:16:11.333 --> 03:16:13.096]  Have you ever considered that for a second?
[03:16:13.476 --> 03:16:16.277]  No, I'm addicted to helping my fellow Americans.
[03:16:16.277 --> 03:16:17.998]  I'm addicted to spreading the truth.
[03:16:17.998 --> 03:16:20.519]  And again, you know, I have InfoWars to thank for that.
[03:16:20.519 --> 03:16:24.881]  Looking back on the day, I was able to ask President Donald Trump two questions.
[03:16:24.881 --> 03:16:30.584]  I was so grateful because, you know, I truly was classically trained under Alex Jones and under the InfoWars team.
[03:16:30.584 --> 03:16:35.566]  And I really do credit that as to why I'm able to, you know, get these types of clips.
[03:16:35.566 --> 03:16:38.708]  Because Alex's whole mentality was, you know, go where the
[03:16:39.669 --> 03:16:47.884]  I'm just addicted to telling the truth and helping the American people.
[03:16:47.884 --> 03:16:52.252]  And I really do credit Alex for really instilling that within me early on in my career.
[03:16:56.874 --> 03:16:58.875]  I've got some good news.
[03:16:58.875 --> 03:17:05.740]  Our high-quality supplements really work, and we have about an 80% reorder rate with customers.
[03:17:05.740 --> 03:17:06.581]  That's the good news.
[03:17:06.581 --> 03:17:07.722]  They're amazing.
[03:17:07.722 --> 03:17:15.907]  The bad news is, around 1% or a little less of our actual viewers and listeners ever go to InfoWarstore.com and ever actually buy the products.
[03:17:15.907 --> 03:17:19.350]  So you're missing out on these products, plus it funds the InfoWar.
[03:17:19.350 --> 03:17:24.273]  Think of what we've done with just 1% of our massive audience actually buying products.
[03:17:24.273 --> 03:17:25.094]  Think what would happen.
[03:17:26.014 --> 03:17:39.558]  If those of you on the fence actually went to InfoWarStore.com and got some of these amazing products, I would recommend Turmeric 95 for your joints, your bones, inflammation, to get one of the biggest effects, so you reorder it and see how great it is.
[03:17:39.558 --> 03:17:48.520]  Also, we've got the super high-quality, full-spectrum CBD oil that's so good for your neurological systems, your brain, your joints, your bones as well.
[03:17:48.520 --> 03:17:49.881]  Or Real Red Pill Plus.
[03:17:49.881 --> 03:17:53.822]  Just go try the product, fund the InfoWar, and help us defeat the new order together.
[03:17:54.322 --> 03:17:55.623]  Infowarstore.com
[03:18:09.753 --> 03:18:20.476]  That's why I ask listeners respectfully to go to InfoWarStore.com and buy great products that will enrich and empower your life while keeping us on air at the very same time.
[03:18:20.476 --> 03:18:26.718]  InfoWarStore.com to get a signed or unsigned copy of my book, The Great Reset and War for the World.
[03:18:26.718 --> 03:18:35.741]  Ultimate bone broth, back in stock, nitric boost, the amazing CBD oil we have that's the highest quality you're going to find anywhere at more than half off.
[03:18:36.341 --> 03:18:38.544]  It's all available at InfoWarsTore.com.
[03:18:38.544 --> 03:18:40.386]  Some of the very best products.
[03:18:40.386 --> 03:18:42.528]  And a lot of you have never shopped at InfoWarsTore.
[03:18:42.528 --> 03:18:47.854]  You've been watching for years, you've been listening for years, but you've never taken the step to go to InfoWarsTore.
[03:18:47.854 --> 03:18:50.717]  These are great products that really work and are amazing.
[03:18:50.717 --> 03:18:52.079]  Plus, they keep us on air.
[03:18:52.079 --> 03:18:53.601]  So again, please take action.
[03:18:53.601 --> 03:18:56.404]  Go to InfoWarsTore.com today, and I thank you.
[03:18:58.576 --> 03:19:08.307]  Humanity is in a fight for its very life, and InfoWars, for decades, has been at the very forefront of the fight for a pro-human future.
[03:19:08.307 --> 03:19:11.992]  We can't stay on air without your help, and I want to thank you all for your past support.
[03:19:11.992 --> 03:19:18.919]  And I want to encourage those of you that have never bought products at InfoWarsStore.com to go there and experience how amazing these products really are.
[03:19:19.460 --> 03:19:23.703]  Ultimate Bone Broth, finally sold out for over two years, back in stock.
[03:19:23.703 --> 03:19:26.465]  Real Red Pill Plus, simply amazing.
[03:19:26.465 --> 03:19:28.726]  Nitric, boosts what it does for your heart.
[03:19:28.726 --> 03:19:30.447]  Cardiovascular, critical.
[03:19:30.447 --> 03:19:38.513]  All these products, like Ultimate Krill Oil, Ultimate Fish Oil, Supermelt Vitality, they're all available and in stock, ready to ship to you, right now at infowarestore.com.
[03:19:38.513 --> 03:19:47.479]  And the final 1,200 signed copies of my book, The Great Reset and the War for the World, and I'm not gonna sign anymore after that, are exclusively available at infowarestore.com as well.
[03:19:47.639 --> 03:19:50.061]  In the last month, I got a little busy, so I didn't sign the books.
[03:19:50.061 --> 03:19:50.941]  We didn't have them for sale.
[03:19:50.941 --> 03:19:52.502]  But now, I signed the last books.
[03:19:52.502 --> 03:19:57.786]  You can get them right now.
[03:19:57.786 --> 03:20:03.690]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:20:16.340 --> 03:20:24.627]  Live from the Summit.News headquarters, it's Paul Joseph Watson.
[03:20:24.627 --> 03:20:32.413]  So we have all these massive problems with mass migration across Europe and especially now with this latest tragedy, this stabbing of this 18 year old in the UK.
[03:20:33.425 --> 03:20:36.067]  Again, continuing to prove disastrous.
[03:20:36.067 --> 03:20:42.831]  The boats keep coming in, a thousand a day, on some days when it's good weather coming across the channel.
[03:20:42.831 --> 03:20:44.132]  It's never ending.
[03:20:44.132 --> 03:20:58.822]  The British government, the Tory government, having been completely weak and limp-wristed in dealing with this for the entirety of the crisis itself, finally comes out and says, we're not going to give amnesty to any of these illegal boat migrants, we're going to deport them.
[03:20:59.801 --> 03:21:17.389]  And then the British public has to get lectured by some multi-millionaire lovey, who literally chooses to live in the whitest, least diverse pockets of suburban luxury in the United Kingdom, lecturing everybody else about how they're racist bigots.
[03:21:17.389 --> 03:21:20.531]  And he's been doing it for the best part of the last decade.
[03:21:20.531 --> 03:21:22.192]  His name is Gary Lineker.
[03:21:22.192 --> 03:21:26.514]  I'm going to come back and tell you the latest on this, but let's go to the video first.
[03:21:26.514 --> 03:21:28.495]  This is called The Biggest Idiot.
[03:21:28.495 --> 03:21:29.095]  Let's roll it.
[03:21:33.903 --> 03:21:36.645]  Gary Lineker loves diversity.
[03:21:36.645 --> 03:21:40.208]  Britain wouldn't be Britain without refugees.
[03:21:40.208 --> 03:21:41.629]  Just not in his own backyard.
[03:21:41.629 --> 03:21:50.155]  The insufferably woke TV presenter has been demanding open borders for a decade, while living in some of the least diverse areas of the UK possible.
[03:21:50.155 --> 03:21:54.999]  First buying a mansion in Esher, Surrey, which has a white population comfortably higher than the national average.
[03:21:55.219 --> 03:21:58.763]  To be fair, he did then move to ethnically diverse London.
[03:21:58.763 --> 03:22:04.370]  Oh wait, no, my bad, he moved to Barnes, which is one of the very least ethnically diverse areas of London.
[03:22:04.370 --> 03:22:08.275]  For Gary, it's very much a case of do as I say, not as I do.
[03:22:08.275 --> 03:22:14.703]  Now the multi-millionaire metropolitan elitist is inflicting his opinions about mass immigration on the British public.
[03:22:15.203 --> 03:22:27.576]  Yeah, again, with the pathetically weak Tory government finally suggesting it might do something to stop the deluge of boat migrants entering the country by passing a law that would bar them from claiming asylum in the UK, then deporting them.
[03:22:27.576 --> 03:22:29.939]  Look, Gary isn't best pleased.
[03:22:29.939 --> 03:22:32.561]  Our asylum system has been overwhelmed.
[03:22:32.561 --> 03:22:36.766]  If you come here illegally, you will not be able to stay.
[03:22:36.886 --> 03:22:39.127]  Good heavens, this is beyond awful!
[03:22:39.127 --> 03:22:46.751]  Good heavens, you don't want random fighting-age men from North Africa and the Middle East just rocking up on boats and then running off into the nearest town.
[03:22:46.751 --> 03:22:47.432]  How awful!
[03:22:47.432 --> 03:22:53.395]  Or better yet, being given a free taxi service, free four-star hotel room, free cash, free healthcare, no questions asked.
[03:22:53.775 --> 03:22:54.816]  Beyond awful!
[03:22:54.816 --> 03:22:57.217]  There is no huge influx.
[03:22:57.217 --> 03:22:57.938]  Yeah.
[03:22:57.938 --> 03:23:02.521]  We just took in 1.1 million migrants in a single year.
[03:23:02.521 --> 03:23:05.924]  An increase of 435,000 on the previous year.
[03:23:05.924 --> 03:23:09.466]  Part of a multi-decade soaring trend.
[03:23:09.466 --> 03:23:12.088]  16.8% of the population of England and Wales is now foreign-born.
[03:23:12.168 --> 03:23:16.413]  Major cities like Manchester, Birmingham and London are now minority white British.
[03:23:16.413 --> 03:23:19.957]  On some days, a thousand or more boat migrants cross the channel.
[03:23:19.957 --> 03:23:25.644]  Hotels so chronically overflowing with them, the government is having to put them in disused military bases.
[03:23:25.644 --> 03:23:26.725]  But according to Gary...
[03:23:27.446 --> 03:23:29.027]  That's not a huge influx.
[03:23:29.027 --> 03:23:32.208]  We need more, just not anywhere near where he lives.
[03:23:32.208 --> 03:23:40.411]  This is an immeasurably cruel policy directed at the most vulnerable people, in language that is not dissimilar to that used by Germany in the 1930s.
[03:23:40.411 --> 03:23:42.112]  The most vulnerable people.
[03:23:42.112 --> 03:23:44.353]  They're getting on boats in France.
[03:23:44.353 --> 03:23:49.095]  The vast majority are young men, economic migrants, not refugees.
[03:23:49.095 --> 03:23:52.836]  Pointing out that basic fact doesn't make someone a Nazi, Gary.
[03:23:52.836 --> 03:23:54.497]  Lineker got some backlash there.
[03:23:54.517 --> 03:23:56.798]  And immediately started whining about it.
