[00:00:08.095 --> 00:00:10.216]  It's Friday, August 28th.
[02:56:32.502 --> 02:56:35.463]  I want to thank you for funding our operation.
[02:56:35.463 --> 02:56:40.626]  So continue to spread the word and fund InfoWars and InfoWarsTore.com and I salute you once again.
[02:56:54.238 --> 02:56:58.080]  Psychology is the scientific study of the mind.
[02:56:58.080 --> 02:57:02.743]  And in an enlightened society, it would be taught in elementary school.
[02:57:02.743 --> 02:57:05.085]  But we are not in an enlightened society.
[02:57:06.266 --> 02:57:13.493]  In simple terms, each human being is made up of three personas, body, mind, and spirit.
[02:57:13.493 --> 02:57:16.356]  Each one with its own desires.
[02:57:16.356 --> 02:57:22.903]  And the universal goal of individual self-mastery is to serve the desire of the spirit.
[02:57:22.903 --> 02:57:30.030]  This takes great discipline, because as we are about to discuss, our mind innately seeks to control us.
[02:57:32.145 --> 02:57:36.386]  There is psychology and there is group psychology.
[02:57:36.386 --> 02:57:44.609]  In group psychology, an individual will suppress all desires that are deemed unacceptable by the group.
[02:57:44.609 --> 02:57:51.331]  These suppressed desires will invariably control a person without their knowing.
[02:57:51.331 --> 02:57:53.712]  This knowledge is nothing new.
[02:57:53.712 --> 02:58:00.794]  Machiavelli instructed leaders centuries ago to divide the people into groups in order to weaken and control them.
[02:58:02.051 --> 02:58:05.533]  Those in power have known this for millennia.
[02:58:05.533 --> 02:58:10.917]  The Yoga Sutras outlined a process of overcoming this thousands of years ago.
[02:58:10.917 --> 02:58:20.003]  It taught how a person could become enlightened to the true nature of the mind and liberate themselves from unwanted influence.
[02:58:20.003 --> 02:58:27.808]  The ancient writings of Samarra describe a ruling class which kept its power by keeping mankind spiritually repressed.
[02:58:29.638 --> 02:58:34.399]  100 years ago, Sigmund Freud introduced this knowledge to the modern world.
[02:58:34.399 --> 02:58:40.460]  He wrote that the biggest obstacle to liberating yourself from ego was group mind.
[02:58:40.460 --> 02:58:48.321]  Because in order for the individual to examine themselves completely, one must question everything, including the group.
[02:58:48.321 --> 02:58:52.362]  The ego mind has always been obsessed with group identity.
[02:58:52.362 --> 02:58:56.683]  And by nature, it seeks approval or control within the group.
[02:58:58.195 --> 02:59:04.438]  The key to manipulating the masses is to keep them ensnared in group mind.
[02:59:04.438 --> 02:59:15.044]  Freud's work held the key to individual enlightenment and was met with strong disinterest by the ruling class of Vienna who had no interest in the liberation of the individual mind.
[02:59:16.144 --> 02:59:23.812]  Edward Bernays, however, Freud's nephew and protege, found strong interest for his uncle's work in America.
[02:59:23.812 --> 02:59:25.835]  In the early 1900s, the U.S.
[02:59:25.835 --> 02:59:36.847]  government and corporate America employed Bernays not to liberate the individual from group mind, but to keep us enslaved in it and manipulate our thoughts and behavior.
[02:59:38.554 --> 02:59:48.304]  In 1927, Paul Mazur of Lehman Brothers infamously wrote that we must shift America from a needs to a desires culture.
[02:59:48.304 --> 02:59:52.227]  Man's desires must overshadow his needs.
[02:59:52.227 --> 02:59:57.793]  The overall strategy was to divide the public and stimulate irrational desires.
[02:59:57.793 --> 03:00:01.136]  The only way of achieving this goal was by use of the media.
[03:00:01.756 --> 03:00:08.920]  A new reality was designed with a specific intention of making people more anxious, afraid, and aroused.
[03:00:08.920 --> 03:00:16.705]  Keeping us in an unending, irrational, fight-or-flight state of mind, where we only find solace in group mind conformity.
[03:00:18.251 --> 03:00:21.672]  All of this has been done without our awareness.
[03:00:21.672 --> 03:00:27.953]  And by 1975, the CIA had infiltrated all areas of news media.
[03:00:27.953 --> 03:00:41.716]  Do you have any people being paid by the CIA who are contributing to a major circulation American journal?
[03:00:41.716 --> 03:00:44.897]  We do have people who submit pieces to American
[03:00:47.621 --> 03:01:01.114]  Do you have any people paid by the CIA who are working for television networks?
[03:01:01.114 --> 03:01:07.840]  This, I think, gets into the kind of getting into the details, Mr. Chairman, that I'd like to get into in an executive session.
[03:01:07.840 --> 03:01:11.164]  Do you have any people
[03:01:12.526 --> 03:01:26.417]  Being paid by the CIA who are contributing to the National News Services, AP and UPI.
[03:01:28.496 --> 03:01:34.479]  Well, again, I think we're getting into the kind of detail, Mr. Chairman, that I'd prefer to handle in an executive session.
[03:01:34.479 --> 03:01:46.324]  In Russia, Vladislav Surkov, who studied economics and theatre, was tasked with creating a world of fake news to keep the Russian people anxious and confused.
[03:01:46.324 --> 03:01:51.146]  Surkov turned Russian politics into a bewildering, constantly changing piece of theatre.
[03:01:52.387 --> 03:01:55.929]  He used Kremlin money to sponsor all kinds of groups.
[03:01:55.929 --> 03:02:04.917]  From mass anti-fascist youth organisations to the very opposite, neo-Nazi skinheads.
[03:02:04.917 --> 03:02:09.181]  And liberal human rights groups, who then attacked the government.
[03:02:09.181 --> 03:02:15.526]  Serkov even backed whole political parties that were opposed to President Putin.
[03:02:15.526 --> 03:02:20.230]  But the key thing was that Serkov then let it be known that this was what he was doing.
[03:02:21.345 --> 03:02:27.649]  Which meant that no one was sure what was real or what was fake in modern Russia.
[03:02:27.649 --> 03:02:34.193]  As one journalist put it, it's a strategy of power that keeps any opposition constantly confused.
[03:02:34.193 --> 03:02:39.896]  A ceaseless shape-shifting that is unstoppable because it is indefinable.
[03:02:41.266 --> 03:02:45.970]  These crimes against humanity are more apparent now than ever.
[03:02:45.970 --> 03:02:54.096]  But there are still millions entrenched in group mind who religiously accept the mainstream media narrative to be truth.
[03:02:54.096 --> 03:02:57.138]  Our mind innately seeks to control us.
[03:02:57.138 --> 03:03:01.921]  And if we do not take control of our own mind, the media will control it for us.
[03:03:02.918 --> 03:03:07.479]  The only solution is rugged individualism and critical thinking.
[03:03:07.479 --> 03:03:10.800]  But this is a path that few choose to take.
[03:03:10.800 --> 03:03:16.461]  And so in the meantime, whoever controls the media, controls the herd.
[03:03:16.461 --> 03:03:20.582]  And nothing short of a miracle will ever change that.
[03:03:20.582 --> 03:03:22.823]  For InfoWars.com, this is Greg Reese.
[03:03:30.157 --> 03:03:36.884]  Wow, what a segment going into this fourth hour on a Friday afternoon, you know, talking about
[03:03:38.775 --> 03:03:41.737]  Sort of what's happened in the world.
[03:03:41.737 --> 03:03:46.459]  I mean, when we're thinking about groupthink, what that segment was all about.
[03:03:46.459 --> 03:03:51.521]  And the first page of my notes today start with the word propaganda.
[03:03:51.521 --> 03:03:55.924]  You know, we never get a chance to talk before we come on.
[03:03:55.924 --> 03:04:01.086]  And it's always amazing, you know, how the topics sort of line up for the day.
[03:04:01.086 --> 03:04:06.789]  And I always joke, I joke with my oldest son, you know, he has a phrase, propaganda, Yogananda, you know.
[03:04:06.889 --> 03:04:17.016]  Because it's all a bunch of BS that we're being sold as fertilizer on so much of what's happening in the mainstream.
[03:04:17.016 --> 03:04:35.448]  And, you know, and kind of where I wanted to go with that, as it goes back a really long way, one of my friends, one of my late friends, John Chandler, passed away a few years ago, but one of the very last books he sent me, The Unreality
[03:04:36.108 --> 03:04:45.159]  Real unreality industry, the deliberate manufacturer of falsehood and what it is doing to our lives.
[03:04:45.159 --> 03:04:52.268]  Now, the funny thing about that book is it's by two PhDs, you know, and it was written in 1989.
[03:04:52.268 --> 03:04:54.791]  So a long time ago, and it was talking about media.
[03:04:55.405 --> 03:05:03.435]  And the impact of media at creating what really becomes the unreality industry.
[03:05:03.435 --> 03:05:07.801]  And so it's worth thinking about it again, you know, 31 years later, because
[03:05:10.044 --> 03:05:14.247]  That's what was started then, you know, and this is the point.
[03:05:14.247 --> 03:05:38.485]  When I go back and I think about the conversations I was having with my friend John back then and others about what was happening in terms of just how the media was used, not so much to report anything anymore, but to really push and shove and move the population around by controlling
[03:05:39.405 --> 03:05:50.072]  Information and data feed and how we interpret that information more importantly how we perceive it how we see it how we feel about it because all of that is what.
[03:05:50.072 --> 03:05:53.975]  Moves the power in into the conversation you know when you think about.
[03:05:56.393 --> 03:06:03.319]  You know, at the very root of it, it's ultimately about suppressing the individual human spirit.
[03:06:03.319 --> 03:06:06.521]  Again, what that last segment was alluding to.
[03:06:06.521 --> 03:06:08.503]  And how do you do that?
[03:06:08.503 --> 03:06:21.293]  You do it through limiting speech and with political correctness, controlling a narrative, which is just a script for reality creation, to really pushing things along, because the media is about
[03:06:22.051 --> 03:06:28.916]  Pushing things along, and this requires, at this point in time, thinking people.
[03:06:28.916 --> 03:06:30.758]  And you are the thinking people.
[03:06:30.758 --> 03:06:38.023]  This is The Info Wars, and you're listening this Friday afternoon to Dr. Nick Begich, and I'm sitting in for Alex Jones.
[03:06:38.023 --> 03:06:39.845]  We'll be right back after these important messages.
[03:06:43.305 --> 03:06:46.567]  We launched the Everyday Essentials Special a week ago.
[03:06:46.567 --> 03:06:47.908]  It ends on Monday.
[03:06:47.908 --> 03:06:51.230]  That means you've got four days to take advantage of it while I'm cutting this ad.
[03:07:13.325 --> 03:07:13.785]  I salute you!
[03:07:43.288 --> 03:07:45.030]  This isn't about me taking credit.
[03:07:45.030 --> 03:07:46.252]  In fact, it's the opposite.
[03:07:46.252 --> 03:07:49.095]  It's about getting you to understand that you have all the power.
[03:07:50.117 --> 03:08:03.140]  Going back three weeks ago, they had the entire Austin Greenbelt shut down, and they had the spillway by Barton Springs shut down, as well as the main pool that's always been paved for the last 50 years or so.
[03:08:03.140 --> 03:08:04.941]  It's a damned up spring.
[03:08:04.941 --> 03:08:14.523]  Well, we went down there and we got in the park at different areas around town in the last few weeks and educated people that it was all a giant fraud.
[03:08:14.523 --> 03:08:17.364]  And now, despite the fact that they still say the parks are closed,
[03:08:18.024 --> 03:08:26.809]  You go down to any area and you'll see dozens if not hundreds of people, depending where you're at, actually using Barton Springs here in Austin, Texas.
[03:08:26.809 --> 03:08:28.950]  Bill Gates and the globalists give the orders to the UN.
[03:08:28.950 --> 03:08:33.573]  The UN gives the orders down through the National Health Services, like our NIH.
[03:08:33.573 --> 03:08:35.594]  And we all follow it like dutiful slaves.
[03:08:35.594 --> 03:08:38.475]  Stop complying with your own enslavement.
[03:08:38.475 --> 03:08:41.757]  Stop following the orders of these globalist traitors.
[03:08:41.757 --> 03:08:42.678]  Start being free again.
[03:08:46.846 --> 03:08:59.237]  You're listening to the Alex Jones Show.
[03:08:59.237 --> 03:09:06.082]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[03:09:06.082 --> 03:09:09.645]  And now, your host, Nick Vagic.
[03:09:13.741 --> 03:09:15.242]  And welcome back.
[03:09:15.242 --> 03:09:31.333]  You know, when I'm thinking about all of this in the last few days, going into today's program, and just thinking about the state of the economy, and it's kind of a, it's like there's two separate economies operating.
[03:09:31.333 --> 03:09:34.836]  There's the financial paper economy,
[03:09:35.536 --> 03:10:02.465]  And then there's the real economy of where most people are right now, which is a whole lot of people unemployed, a lot of uncertainty day to day, huge disconnects in terms of the real economy, the functional, non-functional part of the economy versus financial instruments and where, again, huge wealth has been stripped out and
[03:10:03.005 --> 03:10:11.488]  Maintained in certain sectors, while other sectors are totally broken.
[03:10:11.488 --> 03:10:18.330]  Quarter of the workforce across several industries is gone and increasingly so.
[03:10:18.330 --> 03:10:26.953]  When you think about small businesses, which were the very backbone of this economy and consumer economies,
[03:10:27.073 --> 03:10:34.034]  Generally, and what it takes to build a small business is extraordinary effort.
[03:10:34.034 --> 03:10:40.856]  And most people, as they build them, you don't really build huge cushions.
[03:10:40.856 --> 03:10:48.697]  You know, there's always, you're always putting it out there, you know, and trying to expand what you're doing and build something.
[03:10:48.697 --> 03:10:50.758]  And that's kind of how entrepreneurs
[03:10:51.438 --> 03:10:54.740]  Function, which is one of the real wealth builder.
[03:10:54.740 --> 03:11:01.202]  You see that skill of taking your creativity and combining it with other things to make stuff happen.
[03:11:01.202 --> 03:11:02.483]  And what are those other things?
[03:11:02.483 --> 03:11:11.427]  I talk about it often because when you think about real wealth and part of sort of the grand illusion, if you will, that plays out in front of us.
[03:11:12.006 --> 03:11:24.721]  Has to do with the misinterpretation of wealth and the misinterpretation is often discussed in the context of fiat paper money backed by nothing representing debt.
[03:11:24.721 --> 03:11:30.087]  I got that and I got that in the sense of it's really just like this, you know.
[03:11:31.770 --> 03:11:40.598]  A sheet of paper, but it's one that has what we call the full faith and credit of the country behind it.
[03:11:40.598 --> 03:11:48.564]  So we believe in it because we say, oh well, it's good for all debts, public and private, unless you fly in an airplane when they don't take it.
[03:11:48.564 --> 03:11:55.730]  Or now a whole bunch of businesses that won't take it, that want it in electronic forms, they don't have to touch the money.
[03:11:55.730 --> 03:11:58.773]  That's already happening in a lot of places.
[03:11:58.773 --> 03:11:59.814]  And so is that
[03:12:01.170 --> 03:12:02.631]  The right response?
[03:12:02.631 --> 03:12:11.238]  Well, it's a response that you can elicit when you're in the unreality industry, right?
[03:12:11.238 --> 03:12:14.540]  The media, the unreality industry.
[03:12:14.540 --> 03:12:15.561]  Wow.
[03:12:15.561 --> 03:12:17.283]  And here's the thing.
[03:12:17.283 --> 03:12:26.310]  You know, I love books because, you know, books, unlike digital books, printed books are hard to change once you have a copy.
[03:12:26.310 --> 03:12:30.233]  And I like that about books because history remains constant.
[03:12:30.825 --> 03:12:33.306]  You know, in a lot of books, they obsolete them in libraries.
[03:12:33.306 --> 03:12:34.507]  Have you ever thought about that?
[03:12:34.507 --> 03:12:36.988]  How does a history book become obsolete?
[03:12:36.988 --> 03:12:38.529]  All of a sudden, out of the latest version?
[03:12:38.529 --> 03:12:38.589]  Hmm.
[03:12:40.618 --> 03:12:41.779]  The latest data?
[03:12:41.779 --> 03:12:42.839]  Hmm.
[03:12:42.839 --> 03:12:47.201]  Seems to me, writers closest to the events might have the best data.
[03:12:47.201 --> 03:12:51.943]  Which is why, of all the history books, I recommend this one, if you can still find it and you can.
[03:12:51.943 --> 03:12:53.404]  This one.
[03:12:53.404 --> 03:12:54.164]  It's old.
[03:12:54.164 --> 03:12:57.585]  It's called The New American History, 1936.
[03:12:57.585 --> 03:13:00.487]  Okay, so it's old.
[03:13:00.487 --> 03:13:01.587]  Pre-World War II.
[03:13:01.587 --> 03:13:07.790]  But what's interesting is, it's a book written by a guy who had a lot of first-hand conversations
[03:13:08.439 --> 03:13:22.324]  With the people that experienced the events, you know, Revolutionary War veterans or whatever, you know, I mean, but people who experienced the Civil War, for example, and people who experienced lots of changes in the country.
[03:13:22.324 --> 03:13:23.644]  And here's what gets lost.
[03:13:23.644 --> 03:13:29.066]  That's so important is multi-generational knowledge, which is part of the info war.
[03:13:29.646 --> 03:13:39.428]  Okay, it's multi-generational knowledge from grandfather to father to son to child to grandson and so on.
[03:13:39.428 --> 03:13:55.551]  You know, this kind of continuity of conversation that doesn't really happen in our culture outside of smaller towns or rural communities and where people tend to stay closer to home or at least stay in connection with their home and the personalities within it.
[03:13:56.332 --> 03:14:04.144]  And so when you start to think of disconnect, one of the first techniques, if you will, let's separate one from another.
[03:14:04.144 --> 03:14:05.426]  Well, wow.
[03:14:06.508 --> 03:14:11.069]  What a backdrop for the disaster we all have unfolding around us today.
[03:14:11.069 --> 03:14:18.092]  And then you disconnect an entire economic system that's based on fiat on this paper promise.
[03:14:18.092 --> 03:14:29.095]  And then you just print more of those paper promises and say, well, don't worry, there's plenty of goods and services around and we'll give you paper promises to work as the intermediary between those things that matter, you know.
[03:14:29.813 --> 03:14:33.420]  Food, clothing, shelter is what they tell us.
[03:14:33.420 --> 03:14:41.675]  Safety, security, belongingness, self-actualization, which is all true in terms of internal things going on with a physical body being maintained.
[03:14:42.958 --> 03:15:02.391]  The deeper truth of this is this idea of grouping that again we've been pushed into and heard it into because actually it does work, particularly if you inject a certain level of anxiety and fear and helplessness into this equation.
[03:15:02.391 --> 03:15:06.794]  So when you think about fiat currency as sort of part of that,
[03:15:08.823 --> 03:15:31.653]  401ks, hey, consider that sort of an exacerbation of the concept of fiat currency or paper representing other things like ETFs, exchange traded funds representing precious metal when in fact it doesn't or it's oversold or whatever, leveraged, borrowed, whatever, you know, all of this
[03:15:32.433 --> 03:15:42.577]  Um, is a house of cards, if you will, not built on real wealth, because real wealth used to own by used to be owned by real people, you and me.
[03:15:42.577 --> 03:15:47.399]  And now it's not a lot of people are renters, they don't own their house.
[03:15:47.399 --> 03:15:53.301]  They don't own their car, actually, because they're financed and about a third of those right now are underwater, not being paid.
[03:15:54.188 --> 03:16:03.094]  So, living on credit or debt is not unusual, and in this particular time, corporations drew down their credit lines immediately.
[03:16:03.094 --> 03:16:04.114]  Boom!
[03:16:04.114 --> 03:16:15.061]  They grabbed all the money they could, and then they pumped more money in from the Fed, and they grabbed all of that, and they kept pumping it down and pumping it in and grabbing all that liquidity.
[03:16:15.061 --> 03:16:18.584]  Well, they froze up your personal credit cards, right?
[03:16:24.047 --> 03:16:29.630]  Screwed up your credit ratings, whatever, you know, because it wasn't about you.
[03:16:29.630 --> 03:16:34.313]  It was about them.
[03:16:34.313 --> 03:16:44.919]  And here's the thing is a lot of this them and us scenario has been pitting individuals against other individuals within the country.
[03:16:44.919 --> 03:16:46.120]  And this is fundamentally wrong.
[03:16:47.582 --> 03:17:04.035]  Really, it's about non-breathing entities that don't have living souls called giant globalist corporations that live forever on Earth and manipulate too much of our governance.
[03:17:04.736 --> 03:17:15.762]  And the government in this country is for the people, by the people, and the most important part is of the people, emanating out of our willingness to be self-governed.
[03:17:15.762 --> 03:17:17.683]  You see, this is the essence of liberty.
[03:17:17.683 --> 03:17:19.824]  This is the foundation of freedom.
[03:17:19.824 --> 03:17:25.907]  This is who we are as living souls in the world today that we maybe have just forgotten a bit.
[03:17:26.477 --> 03:17:32.130]  This is what makes us human, creating the image and likeness of a creator that make us different.
[03:17:32.130 --> 03:17:33.493]  This is the InfoWars.
[03:17:33.493 --> 03:17:34.455]  This is Nick Begich.
[03:17:34.455 --> 03:17:37.120]  We'll be right back after these important messages.
[03:17:43.266 --> 03:17:53.538]  I don't have to tell you that fish oil is known to be so good for your brain, so good for your heart, so good for your cells, your cardiovascular system, your lungs, your sleep.
[03:17:53.538 --> 03:17:54.840]  It's amazing.
[03:17:54.840 --> 03:17:58.625]  Well, we set out a few years ago to go out and develop with
[03:17:59.445 --> 03:18:00.646]  We're good to go.
[03:18:17.901 --> 03:18:21.662]  Vitamin D. Vitamin E. Supports optimal heart health.
[03:18:21.662 --> 03:18:23.123]  Supports optimal joint health.
[03:18:23.123 --> 03:18:24.703]  Supports optimal cognitive health.
[03:18:24.703 --> 03:18:25.884]  Supports immune function.
[03:18:25.884 --> 03:18:27.084]  Supports vascular health.
[03:18:27.084 --> 03:18:28.645]  Supports circulatory health.
[03:18:28.645 --> 03:18:29.725]  It goes on and on.
[03:18:29.725 --> 03:18:36.207]  Get your Ultimate Fish Oil discounted with free shipping right now at InfoWarsore.com and Ultimate Crew Oil as well.
[03:18:36.207 --> 03:18:36.948]  InfoWarsore.com.
[03:18:48.877 --> 03:19:04.584]  March of the United Nations and the Bill and Melinda Gates Foundation coming with their battle plan psychological warfare operation with the forced inoculations and the permanent lockdown of civilization and society.
[03:19:04.584 --> 03:19:08.186]  They're outlawing people being able to get colds or the flu.
[03:19:08.186 --> 03:19:11.667]  They're creating artificial phobias for normal death that takes place.
[03:19:11.667 --> 03:19:13.948]  They're not even promising to have a cure to it all.
[03:19:13.948 --> 03:19:14.869]  They're just inflicting
[03:19:15.729 --> 03:19:27.877]  New phobias on everyone to bring in their planetary regime directed by the WHO with vaccines that actually change your DNA and make you owned by Microsoft.
[03:19:27.877 --> 03:19:30.218]  It's a final frontier.
[03:19:30.218 --> 03:19:32.900]  It's the year 2020.
[03:19:32.900 --> 03:19:35.021]  It's not coming.
[03:19:35.021 --> 03:19:36.042]  It's here.
[03:19:36.042 --> 03:19:41.145]  And submission is blood in the water.
[03:19:41.145 --> 03:19:42.426]  I'm going to say something right now.
[03:19:43.251 --> 03:19:47.673]  That is one of the most important things I've ever said, so please listen very, very carefully.
[03:19:47.673 --> 03:19:53.556]  Donald Trump is not the reason they released COVID or had the lockdown.
[03:19:53.556 --> 03:19:58.198]  They already had this plan, the Rockefeller Foundation and Bill and Melinda Gates.
[03:19:58.198 --> 03:20:00.539]  It is beyond critical.
[03:20:00.539 --> 03:20:10.384]  It is life and death for you and your family to understand, no matter where you live on the planet, that this is a worldwide, world government takeover, on record, that it's never going to end.
[03:20:11.311 --> 03:20:13.392]  The United Nations has admitted that.
[03:20:13.392 --> 03:20:16.874]  First it's a month, then it's six months, then they say, okay, it's two years.
[03:20:16.874 --> 03:20:19.316]  They're now saying two years.
[03:20:19.316 --> 03:20:22.118]  They're now saying you'll never go back to normal.
[03:20:22.118 --> 03:20:24.419]  No more gatherings, no more anything.
[03:20:24.419 --> 03:20:28.582]  Constant forced inoculations that they admit don't even work.
[03:20:28.582 --> 03:20:31.423]  And the way they say they work, they change your DNA.
[03:20:31.423 --> 03:20:34.545]  This is the culling of the planet.
[03:20:34.545 --> 03:20:39.769]  This is the beginning of the straitjacket being put on you before you're slowly tortured to death and killed.
[03:20:39.769 --> 03:20:40.269]  Do you understand?
[03:20:44.477 --> 03:21:02.426]  You're listening to The Alex Jones Show.
[03:21:02.426 --> 03:21:08.069]  You're listening to The Alex Jones Show with Nick Begich.
[03:21:12.512 --> 03:21:21.261]  And welcome back, and it's good to be with you on this Friday afternoon in most parts of the world, just before noon in mine.
[03:21:21.261 --> 03:21:28.328]  You know, thinking about all of this, I always forget to mention my website the last couple times I've been on.
[03:21:28.328 --> 03:21:30.351]  EarthPulse.com is my website, and
[03:21:34.855 --> 03:21:38.136]  There's a place you can sign up for a mailing list.
[03:21:38.136 --> 03:21:39.956]  It's just for my newsletter.
[03:21:39.956 --> 03:21:42.937]  I'm going to try and get more of that out there.
[03:21:42.937 --> 03:21:45.337]  More printed material that can be circulated.
[03:21:45.337 --> 03:21:47.438]  I don't do the social media.
[03:21:47.438 --> 03:21:49.358]  I know a lot of people do.
[03:21:49.358 --> 03:21:52.179]  And maybe that gives a way to get information out.
[03:21:52.179 --> 03:21:53.539]  So earthbolts.com.
[03:21:53.539 --> 03:21:54.619]  Sign up for the newsletter.
[03:21:54.619 --> 03:21:55.960]  It's free.
[03:21:55.960 --> 03:21:57.920]  And we appreciate you doing that.
[03:21:58.680 --> 03:22:09.704]  When you go there also under products, it always links back to the Infowars website for the Infowars store, and that's where my books and videos are available.
[03:22:09.704 --> 03:22:20.568]  You know, just looking at the whole matrix that we're in right now of propaganda, and it really is, I mean the mainstream media is only that.
[03:22:20.568 --> 03:22:24.449]  I don't care which side of the aisle you're on at the national level,
[03:22:25.329 --> 03:22:27.410]  Too much of it has been manipulative.
[03:22:27.410 --> 03:22:34.871]  And what has been happening is the hijacking by people that weren't supposed to be there, right?
[03:22:34.871 --> 03:22:43.153]  I mean, Donald Trump wasn't the guy from the establishment that was supposed to end up four years ago in the position he was in.
[03:22:43.153 --> 03:22:47.354]  And man has the establishment moved against him.
[03:22:48.326 --> 03:22:49.067]  We're good to go.
[03:23:12.978 --> 03:23:21.561]  Because the other side of this coin will take a lot of time and manipulate this manipulative propaganda feed of mainstream media.
[03:23:21.561 --> 03:23:25.682]  And you need time to make sure there's the unraveling.
[03:23:25.682 --> 03:23:29.943]  And so the unraveling really needs to begin now.
[03:23:29.943 --> 03:23:31.363]  Soon.
[03:23:31.363 --> 03:23:36.805]  Before, maybe it's the day after Labor Day, but it ought to happen now.
[03:23:37.709 --> 03:23:47.498]  And the reason I say that is, again, kind of looking forward at what's been happening and how this has been set up for so long.
[03:23:47.498 --> 03:23:53.003]  This is the last real window of opportunity if it falls back into the old pattern.
[03:23:53.747 --> 03:23:56.628]  of a globalist agenda.
[03:23:56.628 --> 03:23:58.788]  It will be the undoing of the country.
[03:23:58.788 --> 03:24:03.709]  It will be the undoing of many sovereigns around the world.
[03:24:03.709 --> 03:24:05.290]  And this is the point.
[03:24:05.290 --> 03:24:07.630]  It's not just about the United States.
[03:24:07.630 --> 03:24:17.773]  It's about sovereign nations around the world that reflect very different socioeconomic cultures that people believe in for good reason.
[03:24:17.773 --> 03:24:18.793]  This is their
[03:24:19.657 --> 03:24:30.966]  And our individual socioeconomic cultures, and we can either have it hijacked from us like it's been happening with the unreality industry.
[03:24:30.966 --> 03:24:35.429]  Now, this wasn't something that happened suddenly.
[03:24:35.429 --> 03:24:41.634]  It happened as technology advanced and the illusion became easier to paint.
[03:24:42.342 --> 03:24:56.262]  And the push became easier because creation, as I've talked about many times in these segments, is really about the combination of the intellect, the mind, with the emotion, what was called the heart.
[03:24:56.855 --> 03:25:07.479]  And when you combine these two and you combine it, and people have bothered me with emails every once in a while and said, oh, you don't mention Christ enough.
[03:25:07.479 --> 03:25:10.481]  OK, I want to make sure I cover that today.
[03:25:10.481 --> 03:25:23.006]  So I want to want to say the real power in that event, that transfiguration, the transformation, the blood, all of that sacrifice of what was to wake us up
[03:25:23.658 --> 03:25:46.922]  was to our individual created potential on this planet when we rightly oriented and not lost in fear and lost in the flesh and lost in the body of fear that is being we're being played ladies and gentlemen by those that capitalize on that creative emotion and warp it
[03:25:47.654 --> 03:25:55.840]  By using fear, the negative emotion, and anxiety, and hate, and anger as the vehicle for change.
[03:25:55.840 --> 03:25:57.801]  And this is not it.
[03:25:57.801 --> 03:25:58.501]  It'll work.
[03:25:58.501 --> 03:25:59.902]  I guarantee you it'll work.
[03:25:59.902 --> 03:26:04.405]  It's the occult magic in the world is based on that.
[03:26:04.405 --> 03:26:05.386]  Combining that
[03:26:06.647 --> 03:26:17.410]  With human creative thought, that's why creativity is trying to be shut down through the injection of fear and anxiety throughout our communities, throughout the world.
[03:26:17.410 --> 03:26:24.853]  And when I traveled around the world when we could do it, you know, because now you can't do it, at least certainly not very conveniently.
[03:26:24.853 --> 03:26:28.174]  What I noticed is culturally, there's an overlay that emanates
[03:26:29.614 --> 03:26:37.378]  Like a stench, all right, from the same globalist cabal that exists in the world, and it is that.
[03:26:37.378 --> 03:26:39.660]  And is it some big super conspiracy?
[03:26:39.660 --> 03:26:40.981]  Perhaps so.
[03:26:40.981 --> 03:26:57.470]  You might think about it as the Chamber of Commerce for, well, I guess I shouldn't say that on the air, but people that don't perform well, you know, that we kind of object to, you know, and they leave a void wherever they go of hopelessness.
[03:26:58.535 --> 03:27:01.422]  and helplessness and victims.
[03:27:01.422 --> 03:27:03.086]  And this is not what we are.
[03:27:03.894 --> 03:27:06.135]  This is not who we are.
[03:27:06.135 --> 03:27:09.537]  This is not what human beings are meant to be.
[03:27:09.537 --> 03:27:10.638]  Not at all.
[03:27:10.638 --> 03:27:20.903]  And the illusion, much of it is based around this fiat idea and the looting of America, looting of us individually, the stripping of us of real wealth.
[03:27:20.903 --> 03:27:26.707]  Because real wealth, I've said before, is based on land and natural resources, owning something.
[03:27:26.707 --> 03:27:29.708]  Like 90% of Americans used to be farmers, okay?
[03:27:29.708 --> 03:27:31.129]  They own something.
[03:27:31.883 --> 03:27:34.464]  Capital equipment, the other thing, you know, what is that?
[03:27:34.464 --> 03:27:45.007]  That's everything from a shovel that you can use to dig a ditch to a factory that you can use to create the stuff that brought me here on this airwave today, right?
[03:27:45.007 --> 03:27:49.088]  So all those things, capital equipment, capital, that's real wealth building.
[03:27:49.088 --> 03:27:56.691]  If we own those things, we own our tools that allow us to produce our wealth, produce fiat, the exchange between wealth, right?
[03:27:57.387 --> 03:27:58.788]  So that's important.
[03:27:58.788 --> 03:28:11.278]  Owning our tools that we produce our wealth with, whether we're farmers or whether we're carpenters or whether we're welders, whether we do real work with our minds or our hands, our computers also.
[03:28:11.278 --> 03:28:13.680]  These are our tools.
[03:28:13.680 --> 03:28:17.303]  We also have to think about labor, our efforts.
[03:28:18.231 --> 03:28:18.991]  Right?
[03:28:18.991 --> 03:28:21.232]  And slavery is a big deal today.
[03:28:21.232 --> 03:28:23.312]  You know, we're hearing about reparations and all this.
[03:28:23.312 --> 03:28:28.433]  You know that we're actually slaves right now, considering the way most people operate.
[03:28:28.433 --> 03:28:32.374]  How many people are free of debt in America?
