[00:00:00.029 --> 00:00:00.271]  What's up?
[02:54:24.437 --> 02:54:26.119]  Well, you have a point.
[02:54:26.119 --> 02:54:27.901]  It's not just getting rid of the CIA.
[02:54:27.901 --> 02:54:31.885]  We have 16 different intelligence units that really don't work together.
[02:54:31.885 --> 02:54:36.350]  And then we have a 17th element, the DNI, that was created after 9-11.
[02:54:36.350 --> 02:54:37.531]  We don't need that.
[02:54:37.531 --> 02:54:42.857]  What I need is one integrated force which really brings it all together and uses human.
[02:54:42.857 --> 02:54:44.519]  We're not very good in human.
[02:54:44.519 --> 02:54:45.380]  I have to tell you that.
[02:54:45.980 --> 02:54:56.913]  Over the years after the Reagan administration, we really did not concentrate on our ability to understand dynamics and possible outbreaks.
[02:55:00.657 --> 02:55:09.183]  The professionals, the corporate people, the doctors, everything was leveraged into HUMET against the Soviets and others and we were dominant because our professionals were all doing stuff.
[02:55:09.183 --> 02:55:19.551]  Now, literally, the so-called intelligence class is a bunch of delusional, like I said, narcissists on power trips, imagining themselves like some fictitious James Bond character.
[02:55:19.551 --> 02:55:20.252]  It's ridiculous.
[02:55:21.227 --> 02:55:22.388]  I agree with you.
[02:55:22.388 --> 02:55:23.849]  Let me give you an example.
[02:55:23.849 --> 02:55:39.242]  The reason I was trained in both psychiatry and in politics was because Harold Laszlo, Lucien Pai and others at MIT and elsewhere, University of Chicago and Yale, had created a specialty called political psychology or political psychiatry.
[02:55:39.242 --> 02:55:41.104]  We need more of those people.
[02:55:41.104 --> 02:55:49.911]  And ironically, Yale University, which comes back and always criticizes the president, is the very source of that political psychology, but they don't even
[02:55:50.031 --> 02:55:50.751]  And let me stop you there.
[02:55:50.751 --> 02:55:52.852]  We may have to do two more segments if you can stay to get to all these calls.
[02:55:52.852 --> 02:55:53.212]  We've got to go.
[02:55:53.212 --> 02:55:54.173]  I understand.
[02:55:54.173 --> 02:56:02.736]  But just pulling back, so much of America's power is exporting our good ideas and then helping build infrastructure and really helping people.
[02:56:02.736 --> 02:56:07.077]  It's not acting tough and killing people and, you know, all of this stuff.
[02:56:07.077 --> 02:56:09.478]  It's actually promoting Americana.
[02:56:09.478 --> 02:56:14.760]  But if we lose that Americana and that pioneering spirit and don't export that, we're dead.
[02:56:14.760 --> 02:56:17.621]  It's our spirit that's dominant that we need to rekindle.
[02:56:18.689 --> 02:56:30.375]  Well, I agree with you, but I see that, again, I see it within the Christian fundamentalist community, and that's why when I saw the comment from one of Billy Graham's magazines, I knew that was not the Graham family.
[02:56:30.375 --> 02:56:35.577]  That's where I wanted to go next, because it was the Christian evangelicals that helped bring down the Soviet Union, as you know.
[02:56:35.577 --> 02:56:39.459]  When I was a kid, I watched them being leveraged in Dallas against the Soviet Union to great effect.
[02:56:39.459 --> 02:56:46.523]  I didn't know you were on the other end of that, but I saw that as a child growing up, and that's why the globalists fear Christians so much, is they know we'll kick their ass.
[02:56:47.830 --> 02:56:49.372]  Well, it's not only that.
[02:56:49.372 --> 02:56:53.255]  There is a real problem of Christianity being killed.
[02:56:53.255 --> 02:56:56.238]  There are over 2 million Christians who have been slaughtered.
[02:56:56.238 --> 02:56:58.841]  Chaldeans, Assyrians, Coptic.
[02:56:58.841 --> 02:57:07.189]  I go into Egypt, I remember years ago, and I would say to the Egyptian leaders, this is 10, 20 years ago, you've destroyed 10 Coptic
[02:57:07.856 --> 02:57:08.397]  Yeah.
[02:57:26.434 --> 02:57:30.298]  Let's come back and talk about that and this Christians Today attack that blew up.
[02:57:30.298 --> 02:57:31.099]  But you're absolutely right.
[02:57:31.099 --> 02:57:34.002]  Christians, even the UN admits, are the majority of persecuted groups.
[02:57:34.002 --> 02:57:37.066]  How do we get America to start defending Christians?
[02:57:37.066 --> 02:57:40.189]  That is so critical of the future of the whole planet, not just America.
[02:57:40.189 --> 02:57:41.711]  Hour number four is two minutes away.
[02:57:43.843 --> 02:57:46.066]  Infowarslife.com.
[02:57:46.066 --> 02:57:48.289]  Infowarslife.com.
[02:57:48.289 --> 02:57:50.312]  Infowarslife.com.
[02:57:50.312 --> 02:57:59.584]  You go to that URL, it takes you to the subsection of Infowarsstore.com where you find the 60 plus products where we've gone out and researched what is the best,
[02:58:00.205 --> 02:58:01.987]  Well, it gives people the best results.
[02:58:01.987 --> 02:58:05.690]  We either private label it or we develop our own with top developers.
[02:58:05.690 --> 02:58:10.555]  And folks, I'm telling you, you can see the difference in me, my energy, my focus.
[02:58:10.555 --> 02:58:13.458]  I've lost almost 40 pounds in less than four months.
[02:58:13.458 --> 02:58:14.378]  It's incredible.
[02:58:14.378 --> 02:58:16.040]  So do yourself a favor.
[02:58:16.040 --> 02:58:18.522]  Try out the products if you've been on the fence.
[02:58:18.522 --> 02:58:21.405]  You can't lose except if you don't take action.
[02:58:21.405 --> 02:58:24.248]  Because when you buy the products, you're funding the operation that
[02:58:24.588 --> 02:58:28.931]  Is always delivering thanks to your support and God's grace and our action.
[02:58:28.931 --> 02:58:30.233]  But you need these products.
[02:58:30.233 --> 02:58:33.295]  That's the real reason you want to get them is because they're amazing.
[02:58:33.295 --> 02:58:37.218]  And then when you get great results, please tell others about it word of mouth.
[02:58:37.218 --> 02:58:41.061]  That's how we expand in the face of the NWO instead of imploding.
[02:58:41.061 --> 02:58:43.383]  We're fighting to win and we are winning thanks to you.
[02:58:47.871 --> 02:58:49.732]  The globalists think America's done.
[02:58:49.732 --> 02:58:51.613]  The globalists think the West is done.
[02:58:51.613 --> 02:58:54.375]  They think that Christians are done and finished.
[02:58:54.375 --> 02:58:56.616]  They believe they've broken our backs.
[02:58:56.616 --> 02:59:01.539]  They believe that with big tech censorship, we'll just crawl into ditches and submit to them.
[02:59:01.539 --> 02:59:13.346]  And they believe that if they can demonize and shut down InfoWars, that they rightfully see as a symbol, a beacon of populism and freedom, not just to America, but to the whole world, that they can demoralize everybody else and win.
[02:59:13.346 --> 02:59:16.068]  Why, if they can shut InfoWars down, they can intimidate everybody else.
[02:59:16.508 --> 02:59:19.910]  That's why it's beyond critical that you keep InfoWars on the air.
[02:59:19.910 --> 02:59:23.552]  It's only by your word of mouth, your prayer, your financial support that we're on air.
[02:59:23.552 --> 02:59:27.094]  And I want to thank you all this Christmas for your past support.
[02:59:27.094 --> 02:59:35.619]  But I want to encourage you now to redouble your efforts and financially support us by getting great products you need during the 12 days of Christmas at InfoWarsStore.com.
[02:59:35.619 --> 02:59:40.081]  Massive sales, store-wide free shipping, double Patriot points.
[02:59:40.081 --> 02:59:41.902]  InfoWarsStore.com.
[02:59:41.902 --> 02:59:43.263]  Please take action now.
[02:59:43.263 --> 02:59:44.524]  George Soros hopes you don't.
[02:59:47.783 --> 02:59:50.372]  You're listening to The Alex Jones Show.
[02:59:54.207 --> 02:59:56.568]  Waging War on Corruption.
[02:59:56.568 --> 02:59:59.208]  It's Alex Jones.
[02:59:59.208 --> 03:00:04.710]  We're doing two more segments and then Gerald Cilente, always informative, is going to be taken over.
[03:00:04.710 --> 03:00:10.691]  We're going to Jack, Gene, Joe, Derek, Alex, David, Carlos and many others here in a moment.
[03:00:10.691 --> 03:00:18.474]  But getting back to the fact that it was missionaries and Christian groups in East Germany and the Soviet Union that helped bring that down.
[03:00:20.174 --> 03:00:23.495]  You're talking about the Christians, the majority of those being persecuted.
[03:00:23.495 --> 03:00:30.377]  Hollywood admits they're pissed at the Russians because they're becoming really Christian again, and really promoting things that will have them be a good, stable country.
[03:00:30.377 --> 03:00:38.340]  Why would the elite, so many of them, want to destroy fundamental Christian ethos that's made this country so successful?
[03:00:38.340 --> 03:00:38.520]  Why?
[03:00:40.236 --> 03:00:42.519]  First of all, they don't understand Christianity.
[03:00:42.519 --> 03:00:51.233]  Secondly, let me put a lot of the blame on many of the ministers whom I've talked to, including, and I will be very frank, I've talked to fundamentalists
[03:00:51.957 --> 03:01:01.505]  And I won't name who they are, across from Baptists to CMA, Christian Missionary Alliances, to different leaders within the Christian community.
[03:01:01.505 --> 03:01:05.609]  And what I hear is, oh, well, you know, we just talk about our sermons.
[03:01:05.609 --> 03:01:12.294]  And so I don't have a focal point for which I have been trying to proselytize to say for 20 years,
[03:01:13.295 --> 03:01:17.677]  It's Christianity that is being slaughtered all over the world.
[03:01:17.677 --> 03:01:20.099]  Afghanistan, Iraq, Pakistan.
[03:01:20.099 --> 03:01:22.400]  You want to send a missionary to Pakistan?
[03:01:22.400 --> 03:01:23.881]  Good luck.
[03:01:23.881 --> 03:01:27.923]  You want to send missionaries to different parts of Asia and China?
[03:01:27.923 --> 03:01:28.383]  Good luck.
[03:01:28.960 --> 03:01:37.564]  And what I'm trying to say, and I'm trying to convene all of these missionaries and these leaders of different groups into one group, but they don't want to do it.
[03:01:37.564 --> 03:01:41.085]  So part of it is our own problem within Christianity.
[03:01:41.085 --> 03:01:45.747]  Even as a Jew, I can say, look, I have a spirit of the Christianity.
[03:01:45.747 --> 03:01:56.131]  I understand what it takes to do this type of solidification within America, to make it an export.
[03:01:56.131 --> 03:01:58.472]  China prosecutes Christians.
[03:01:59.683 --> 03:02:02.146]  Africa prosecutes Christians.
[03:02:02.146 --> 03:02:04.148]  The Muslim countries prosecute.
[03:02:04.148 --> 03:02:13.960]  Go to Saudi Arabia, to the great Mohammed bin Salman, who just did an IPO for $2 trillion, and ask the great Mohammed bin Salman, the prince, you know what?
[03:02:13.960 --> 03:02:16.683]  I want to set up a church near Mecca and Medina.
[03:02:16.683 --> 03:02:18.085]  Let's hear what he has to say.
[03:02:18.795 --> 03:02:23.636]  You can go to Iran and I can tell you that the Christians are treated well.
[03:02:23.636 --> 03:02:28.317]  Not incredibly well, but the Persians have no problems with the Christians.
[03:02:28.317 --> 03:02:29.998]  Go to Saudi Arabia.
[03:02:29.998 --> 03:02:32.558]  Go somewhere to Jordan and see what happens.
[03:02:32.558 --> 03:02:37.020]  Israel has to protect Christian sites because it's its Israeli boys who protect it.
[03:02:37.020 --> 03:02:40.400]  And go to Israel to see the beginnings of Christianity.
[03:02:40.400 --> 03:02:46.242]  But I have to lay fault with the different leaders with the different sects of Christianity here.
[03:02:46.482 --> 03:03:06.907]  They're ashamed of the faith, they bought into the whole ecumenical thing, and they don't get that Texas was founded by Christians that were sent in a decade before by the president at the time, and it's always been Christians expanding the West and building real civilizations at work, and all these other groups know it and go exterminate these people because the leadership
[03:03:07.227 --> 03:03:08.327]  Well, let me put it this way, so let's be fair.
[03:03:28.678 --> 03:03:30.060]  We have a problem.
[03:03:30.060 --> 03:03:32.563]  I've had a problem with the Catholicism.
[03:03:32.563 --> 03:03:34.145]  Not that I'm anti-Catholic.
[03:03:34.145 --> 03:03:40.194]  On the contrary, my aunt was a Catholic and I used to go to a church in Albion, Toulouse.
[03:03:40.194 --> 03:03:42.977]  But I have a real problem because Pope Francis
[03:03:43.718 --> 03:04:04.738]  Had been involved with the junta in Argentina in the 1970s and I had asked Vance to go down and either arrest him or deal with him as a terrorist because he worked with the junta in Argentina and allowed and supported the death of three to four of our nuns, American nuns, and two of our American Jesuit priests.
[03:04:04.738 --> 03:04:07.441]  From that point on, the church was already
[03:04:08.281 --> 03:04:09.342]  I think so.
[03:04:28.212 --> 03:04:32.036]  But the fundamentalist Christians can't get along with each other.
[03:04:32.036 --> 03:04:38.081]  There has to be an ecumenical council wherein, in America, they get together and understand it.
[03:04:38.081 --> 03:04:51.493]  One of the most powerful tools I had in the Soviet Union was not my ability to manipulate, it was my ability to insert Christianity through Pope John and the Greek Orthodox Church in the West.
[03:04:56.051 --> 03:04:57.692]  Owl Killer in New Jersey.
[03:04:57.692 --> 03:04:58.252]  You're on the air.
[03:04:58.252 --> 03:04:58.833]  Go ahead.
[03:04:58.833 --> 03:05:01.614]  Alex, hey, I just want to say it's great to be back once again.
[03:05:01.614 --> 03:05:04.696]  And I've never gotten to do this, but I'm going to give you a shout out for your product.
[03:05:04.696 --> 03:05:09.959]  So that super blue fluoride free toothpaste and that super blue whitening toothpaste is on another level.
[03:05:09.959 --> 03:05:15.122]  I use the one I use the super blue in the morning and then the whitening at night and it absorbs into your gum.
[03:05:15.122 --> 03:05:17.943]  It is by far the best product that I've ever used in my life.
[03:05:17.943 --> 03:05:20.605]  I literally just took turbo force on my way to the gym right now.
[03:05:20.785 --> 03:05:28.891]  I've had four shoulder surgeries and a back surgery, and that body has made me feel better than any type of physical therapy or anything that I've ever done in my life.
[03:05:28.891 --> 03:05:30.212]  So I just want to get that out of the way.
[03:05:30.212 --> 03:05:31.213]  Support this man.
[03:05:31.213 --> 03:05:32.654]  Everything that he exposed.
[03:05:32.654 --> 03:05:34.075]  Nobody knew about Bohemian Grove.
[03:05:34.075 --> 03:05:35.195]  Nobody knew about Epstein.
[03:05:35.195 --> 03:05:36.496]  Nobody knew about Bilderberg.
[03:05:36.496 --> 03:05:39.158]  Nobody called 9-11 before it happened in July 2001.
[03:05:39.158 --> 03:05:41.000]  Go look it up yourself.
[03:05:41.000 --> 03:05:42.160]  Well, we try our best, sir.
[03:05:42.160 --> 03:05:43.361]  They definitely want us off the air.
[03:05:43.361 --> 03:05:44.282]  Without you, we're not here.
[03:05:44.282 --> 03:05:46.163]  But yeah, these are all great products, so thank you, sir.
[03:06:07.026 --> 03:06:15.516]  The world is a dangerous place, not because of evil, but because of those who look on and do nothing.
[03:06:15.516 --> 03:06:19.882]  If you are receiving this transmission, you are the resistance.
[03:06:19.882 --> 03:06:24.047]  We now take you live to the Central Texas Command Center.
[03:06:24.047 --> 03:06:25.628]  It's Alex Jones.
[03:06:26.189 --> 03:06:26.509]  Okay.
[03:06:26.509 --> 03:06:26.749]  Hey Jack.
[03:06:55.854 --> 03:06:58.357]  Hi, Dr. P. I got two questions for you.
[03:06:58.357 --> 03:07:07.666]  The first one is, last time you were on with Owen, you were on this great talk about how a majority of U.S.
[03:07:07.666 --> 03:07:10.508]  presidents were under one form of mind control or another.
[03:07:10.508 --> 03:07:16.094]  Do you believe President Trump is under any form of mind control?
[03:07:16.094 --> 03:07:17.195]  And if so, what type?
[03:07:18.146 --> 03:07:19.406]  No, no, no, no.
[03:07:19.406 --> 03:07:23.287]  What I said, basically, is that the presidents had different illnesses.
[03:07:23.287 --> 03:07:26.388]  John F. Kennedy had Aspen's disease.
[03:07:26.388 --> 03:07:32.670]  A few of the others, Reagan had dementia, which was earlier than anybody thought.
[03:07:32.670 --> 03:07:35.430]  Trump is, quite frankly, quite healthy.
[03:07:35.430 --> 03:07:42.452]  And as a physician, I'm amazed that he can eat what he does, and ostensibly doesn't even exercise.
[03:07:42.452 --> 03:07:44.993]  He does have incredible genetics, and the family's known for those.
[03:07:45.919 --> 03:07:46.820]  Yeah, I understand.
[03:07:46.820 --> 03:07:48.401]  I mean, as a German loading.
[03:07:48.401 --> 03:07:55.786]  And also, what people don't understand, and he doesn't say much about it, his uncle was a famous MIT professor.
[03:07:55.786 --> 03:07:57.848]  And he never talks about him.
[03:07:57.848 --> 03:07:59.569]  And I'm just amazed.
[03:07:59.569 --> 03:08:01.830]  He's quite modest about his family.
[03:08:01.830 --> 03:08:02.571]  So the answer is no.
[03:08:02.571 --> 03:08:03.572]  What about the effects?
[03:08:03.572 --> 03:08:04.472]  I mean, I know that...
[03:08:05.413 --> 03:08:16.238]  Roy Cohn was a bad guy and had some problems, but the whole House Un-American Activities Committee, the whole situation with McCarthy, which turned out was right in many ways.
[03:08:16.238 --> 03:08:25.762]  I mean, Trump sat around in the middle of that as a young adult, and really the John Birch Society and all that, and really got a conspiratorial view, which is how things work.
[03:08:25.762 --> 03:08:27.743]  I think that really shaped Trump as well.
[03:08:29.193 --> 03:08:30.635]  I think many things did.
[03:08:30.635 --> 03:08:38.204]  One of the things that, as a New Yorker, I understood about Trump, and I didn't know him personally, but we were very impressed, and I've said it a long time ago.
[03:08:38.849 --> 03:08:50.902]  When a man builds a skating rink for the city of New York for young kids because Koch couldn't do it in eight years and doesn't charge anything, that tells you a lot about his character.
[03:08:50.902 --> 03:08:52.564]  I don't care what he says.
[03:08:52.564 --> 03:08:55.087]  I don't care about his tweets.
[03:08:55.087 --> 03:09:00.813]  What I care about, what the American public has to understand, Democrats, Republicans are independent.
[03:09:01.852 --> 03:09:09.802]  You have to look at the outcome of what he's done, the Doral, the casinos, the condominiums.
[03:09:09.802 --> 03:09:11.885]  You do not create assets
[03:09:12.683 --> 03:09:18.426]  Which are viable and make a living and you cannot be ineffectual.
[03:09:18.426 --> 03:09:19.947]  It just doesn't happen.
[03:09:19.947 --> 03:09:22.628]  Mike Bloomberg has the same attitude.
[03:09:22.628 --> 03:09:26.070]  He created an asset which was very valuable.
[03:09:26.070 --> 03:09:28.412]  Maybe he's worth more or less than Trump.
[03:09:28.412 --> 03:09:29.892]  I don't particularly care.
[03:09:29.892 --> 03:09:36.076]  But among all of the candidates in the Democratic Party, you will have another businessman there.
[03:09:36.076 --> 03:09:37.677]  And we're saying you want new blood and things.
[03:09:37.677 --> 03:09:38.237]  We got to jump.
[03:09:38.237 --> 03:09:39.277]  So everybody.
[03:09:39.277 --> 03:09:39.618]  Good point.
[03:09:39.618 --> 03:09:41.459]  Let's go ahead and talk to.
[03:09:41.459 --> 03:09:41.639]  Right.
[03:09:42.299 --> 03:09:48.102]  Let's go ahead and take a call from Joe in Texas.
[03:09:48.102 --> 03:09:48.682]  Joe, go ahead.
[03:09:48.682 --> 03:09:51.964]  Hi Alex, it's nice to talk to you.
[03:09:51.964 --> 03:09:54.945]  I want to say Merry Christmas and Happy New Year to you and Dr. McKinnick.
[03:09:54.945 --> 03:09:56.266]  You too.
[03:09:56.266 --> 03:09:58.067]  I didn't know a lot about politics before 2015.
[03:09:58.067 --> 03:10:06.751]  When Hillary said you was Dark Heart, that legitimized you and everything, you know, what you're talking about, you know, I knew you.
[03:10:06.751 --> 03:10:08.552]  I did love it when Hillary called me Dark Heart.
[03:10:08.552 --> 03:10:09.732]  That's a good nickname.
[03:10:09.732 --> 03:10:11.193]  That had me like, I'm like, okay.
[03:10:11.829 --> 03:10:12.550]  That's the truth.
[03:10:12.550 --> 03:10:17.134]  She's the most evil woman to ever walk this planet with the rest of the Democrats.
[03:10:17.134 --> 03:10:20.837]  That's why I call her a pack of lying demons.
[03:10:20.837 --> 03:10:28.884]  I want to know what Dr. McCain thought about Q. I like Dr. McCain.
[03:10:28.884 --> 03:10:36.510]  He got more experience in life than I ever have, but I just want to ask him about the comment about Ilhan Omar that one time.
[03:10:36.510 --> 03:10:39.453]  I know you say she was right about talking about Israel, but
[03:10:40.097 --> 03:10:40.637]  Absolutely.
[03:10:40.637 --> 03:10:41.258]  Thank you, Joe.
[03:10:41.258 --> 03:10:41.838]  Great question.
[03:10:41.838 --> 03:10:43.019]  Sorry, I've got to move quick.
[03:10:43.019 --> 03:10:48.062]  Yeah, I mean, the whole Q thing, I mean, I don't want to poo-poo folks that like that and everything.
[03:10:48.062 --> 03:10:51.465]  It's just that we'll talk about things that are confirmed and real.
[03:10:51.465 --> 03:10:54.947]  They're like, oh, well, then if it's like something on 4chan, it must be.
[03:10:54.947 --> 03:10:56.128]  What's your view on that, Doc?
[03:10:56.977 --> 03:11:01.901]  Well, you know, again, ironically, I don't have a conspiratorial mind.
[03:11:01.901 --> 03:11:04.103]  I mean, I believe in what I know and what are facts.
[03:11:04.103 --> 03:11:06.064]  When I went on your show, it was simple.
[03:11:06.064 --> 03:11:08.566]  You understood what 9-11 was about.
[03:11:08.566 --> 03:11:10.868]  From that day on, we've never really deviated.
[03:11:10.868 --> 03:11:12.650]  We may have some differences.
[03:11:12.650 --> 03:11:13.851]  I don't know what Q is.
[03:11:13.851 --> 03:11:15.412]  I have an idea of what it is.
[03:11:15.412 --> 03:11:19.736]  But again, you have to understand, in the world of intelligence, forget the CIA.
[03:11:20.780 --> 03:11:22.521]  We play everything.
[03:11:22.521 --> 03:11:29.726]  We play it as dialectics, meaning we take one side and then we take the other and we play it together at the same time.
[03:11:29.726 --> 03:11:38.952]  So you don't know whether Q is a product of any one of the 16 or 17 intelligence op organizations or whatever it is that we do in games.
[03:11:38.952 --> 03:11:46.016]  Because it's anonymous, it's perfect for cutouts and countergroups and it just, you know, becomes like jumping into black water.
[03:11:46.016 --> 03:11:46.777]  You don't know what's in there.
[03:11:47.057 --> 03:11:47.457]  Right.
[03:11:47.457 --> 03:11:48.978]  That's exactly right.
[03:11:48.978 --> 03:11:50.598]  And that's a good analogy.
[03:11:50.598 --> 03:11:55.319]  But on this show, it's like 35,000 foot view, crystal clear, mountaintop air.
[03:11:55.319 --> 03:11:57.460]  We're very straight up about everything.
[03:11:57.460 --> 03:12:08.143]  Well, InfoWars has been around a long time, and it's very rare when you have a man like Alex Jones who can predict four months or six months before 9-11 that we were going to have 9-11.
[03:12:08.143 --> 03:12:11.384]  And when I heard that, I said, God bless this individual.
[03:12:11.384 --> 03:12:12.564]  I'm going to get to know him.
[03:12:12.564 --> 03:12:13.364]  And that was it.
[03:12:13.364 --> 03:12:14.505]  It's as simple as that.
[03:12:14.505 --> 03:12:15.765]  It's not that complicated.
[03:12:15.845 --> 03:12:17.086]  Hey, Mr. Jones, good to speak to you.
[03:12:17.086 --> 03:12:18.326]  I consider you an awesome legend.
[03:12:18.326 --> 03:12:19.627]  We're out there with Stevie Ray Vaughan.
[03:12:43.814 --> 03:12:45.036]  Well, we love you too, brother.
[03:12:45.036 --> 03:12:45.838]  I see your question.
[03:12:45.838 --> 03:12:47.942]  Should we take on some dim strategies?
[03:12:47.942 --> 03:12:49.645]  I mean, specify that.
[03:12:49.645 --> 03:12:50.947]  Yeah, so let me elaborate on that.
[03:12:50.947 --> 03:12:54.374]  So I see that the Democrats have obviously made a push towards
[03:12:54.847 --> 03:12:58.748]  Well, I mean, I try to do that, but I mean, the media, I don't know how to make things racially based.
[03:12:58.748 --> 03:13:01.789]  I'm like Martin Luther King Jr., that I think it should just be the ideas.
[03:13:17.972 --> 03:13:19.573]  You know, I'm not going to say, hey, it's for a black person.
[03:13:19.573 --> 03:13:20.393]  It's good for you, too.
[03:13:20.393 --> 03:13:25.075]  You know, the left, that's really what's racist to me, is making everything about what color you are.
[03:13:25.075 --> 03:13:30.497]  But I mean, obviously, the Democratic Party want domesticated enslaved people that they can control and dumb down.
[03:13:30.497 --> 03:13:32.278]  And I think we should talk more about that.
[03:13:32.278 --> 03:13:33.838]  A great question, Steve.
[03:13:33.838 --> 03:13:35.139]  Dr. Pacino, can you comment on that?
[03:13:36.019 --> 03:13:36.719]  Sure.
[03:13:36.719 --> 03:13:37.820]  I happen to be Hispanic.
[03:13:37.820 --> 03:13:42.562]  When you're born in Cuba and you grow up and you speak Spanish and that's your native language, that's Hispanic.
[03:13:42.562 --> 03:13:50.345]  So I assume, like many others, that America will be, it's good for everyone.
[03:13:50.345 --> 03:13:57.548]  And contrary to the Democrats or anybody else who tries to fractionalize us or put us into categories, it doesn't work.
[03:13:58.149 --> 03:14:01.551]  What works is the opportunity to make mistakes here.
[03:14:01.551 --> 03:14:03.732]  Not just success, but mistakes.
[03:14:03.732 --> 03:14:10.116]  There's no other country where I can make mistakes, and as many as I have, and come back and be successful.
[03:14:10.116 --> 03:14:13.898]  Whether you're black, Hispanic, Asian, Hindu, it doesn't really matter.
[03:14:13.898 --> 03:14:20.422]  That's really our power, is it is the experiment, it is the Wild Wild West, and let's admit, we're the crazy diverse pirates we've always been, and embrace it.
[03:14:21.266 --> 03:14:23.470]  And that's basically, I agree.
[03:14:23.470 --> 03:14:27.035]  I don't think we have to be all that sane and we don't have to be all that... I mean, of course we're violent!
[03:14:27.035 --> 03:14:27.997]  Of course we're crazy!
[03:14:27.997 --> 03:14:29.259]  Everybody wants to come here!
[03:14:29.259 --> 03:14:30.000]  That's who we are!
[03:14:30.000 --> 03:14:30.761]  Let's embrace it!
[03:14:30.761 --> 03:14:31.462]  We're maniacs!
[03:14:32.605 --> 03:14:33.985]  Well, I would agree with that.
[03:14:33.985 --> 03:14:38.487]  I would agree we're rational maniacs who basically don't mess with us.
[03:14:38.487 --> 03:14:44.729]  We're going to come in and if you think we're weak or something is happening like China does, think again.
[03:14:44.729 --> 03:14:48.950]  Because the Japanese made that mistake, the Germans made that mistake.
[03:14:48.950 --> 03:14:55.192]  Many countries make the mistake that because we're compliant, we're nice, that we cannot be ruthless.
[03:14:55.192 --> 03:14:59.493]  I will refer you back to the Civil War by Abraham Lincoln.
[03:14:59.493 --> 03:14:59.973]  It was not
[03:15:00.293 --> 03:15:00.773]  That's right.
[03:15:00.773 --> 03:15:04.974]  It was about the urban controlling the rural, just like is happening again.
[03:15:04.974 --> 03:15:08.115]  We really appreciate you coming back in the new year.
[03:15:08.115 --> 03:15:09.376]  Have a great Christmas.
[03:15:09.376 --> 03:15:10.856]  God bless you, Dr. Buchanek.
[03:15:20.239 --> 03:15:21.680]  God Bless and Happy New Year!
[03:15:44.073 --> 03:15:47.725]  He'll sell himself a shirt and others at infowarestore.com.
[03:15:47.725 --> 03:15:51.097]  And coming up, Gerald Salente from Kingston, New York.
[03:15:52.065 --> 03:15:55.087]  We can all agree these are troubled times, right?
[03:15:55.087 --> 03:15:57.989]  So do you know who's on your wireless network?
[03:15:57.989 --> 03:16:05.215]  Whether it's a big company selling your data, or a foreign hacker, if you're not protected, everybody sees your information.
[03:16:05.215 --> 03:16:10.459]  That's why you need FlashRouters, a custom Wi-Fi router created for privacy.
[03:16:10.459 --> 03:16:17.704]  FlashRouters uses a virtual private network, or VPN, to protect your online activity from hackers, trackers, and large corporations.
[03:16:18.024 --> 03:16:21.807]  And not just one, but all your devices with one out-of-the-box setup.
[03:16:21.807 --> 03:16:30.953]  Plus, FlashRouters also enhances your wireless network performance and unlocks powerful router management tools to let you take total control of your network.
[03:16:30.953 --> 03:16:32.814]  Call or click FlashRouters today at 1-866-509-5817.
[03:16:36.036 --> 03:16:40.502]  Or F L A S H R O U T E R S dot com.
[03:16:40.502 --> 03:16:45.809]  That's 1-866-509-5817 or flash routers dot com.
[03:16:45.809 --> 03:16:49.034]  Protect your wireless home network today with flash routers.
[03:16:51.331 --> 03:16:53.973]  Hunters, anglers, campers and survivalists.
[03:16:53.973 --> 03:16:55.074]  Get back to nature.
[03:16:55.074 --> 03:17:02.379]  Expand your horizons with the highest quality, most versatile, unique slingshots and sling bows on the market at slingbow.com.
[03:17:02.379 --> 03:17:05.801]  Slingbow products are compact and models start from just $17.98.
[03:17:05.801 --> 03:17:09.384]  They're perfect for your bug out bag or storing in your vehicle.
[03:17:09.384 --> 03:17:13.547]  Give yourself and your loved ones the excitement and tradition of slingbow.
[03:17:13.547 --> 03:17:18.110]  A new frontier in archery and truly modern twist on this primitive survival tool.
[03:17:18.110 --> 03:17:20.772]  Feel the thrill only at slingbow.com.
[03:17:21.132 --> 03:17:23.033]  Fully cooked, ready to eat bacon.
[03:17:23.033 --> 03:17:26.256]  I'm talking thick, meaty, center cut, presidential bacon.
[03:17:26.256 --> 03:17:27.857]  Savory and delicious.
[03:17:27.857 --> 03:17:30.699]  I buy some, I use some, I store some.
[03:17:30.699 --> 03:17:31.359]  Awesome.
[03:17:31.359 --> 03:17:34.441]  No refrigeration needed with a 10 year shelf life.
[03:17:34.441 --> 03:17:36.003]  NASA PAC technology.
[03:17:36.003 --> 03:17:36.623]  Bacon.
[03:17:36.623 --> 03:17:40.786]  Fully cooked, fully hydrated, ready to eat right from the pack bacon.
[03:17:40.786 --> 03:17:42.227]  Or warm and serve.
[03:17:42.227 --> 03:17:44.248]  Life saving, ready to eat bacon.
[03:17:44.248 --> 03:17:46.210]  10 year shelf life bacon.
[03:17:46.210 --> 03:17:48.992]  Ships free at fullycookedbacon.com.
[03:17:48.992 --> 03:17:50.213]  Fullycookedbacon.com.
[03:17:52.887 --> 03:17:55.110]  Infowarslife.com.
[03:17:55.110 --> 03:17:57.333]  Infowarslife.com.
