[00:00.000 --> 00:16.000]  Look, I know the supernatural is something that isn't supposed to happen, but it does happen.
[01:33:30.000 --> 01:33:39.000]  Now, as you know earlier, I got into the incredible new revelations in the JFK files.
[01:33:39.000 --> 01:33:48.000]  And the fact that the Deep State, the permanent government, the shadow government as it officially calls itself,
[01:33:48.000 --> 01:33:55.000]  had tried in the 11th hour to hold back 200 files out of the data dump and told the president,
[01:33:55.000 --> 01:34:01.000]  look, it's too classified. You've got to wait. You've got to have it be reviewed later.
[01:34:01.000 --> 01:34:05.000]  And the president said, well, my hands are tied. They're the ones that control it.
[01:34:05.000 --> 01:34:10.000]  But I'm ordering it released, hopefully very soon.
[01:34:10.000 --> 01:34:17.000]  A day and a half later on Saturday, he tweeted that indeed he'd said,
[01:34:17.000 --> 01:34:25.000]  look, get it done. And all they excised was some of the names of still living CIA agents.
[01:34:25.000 --> 01:34:29.000]  So there was some limited blacking out. And now that's been released. There it is.
[01:34:29.000 --> 01:34:32.000]  JFK files are released long ahead of schedule.
[01:34:32.000 --> 01:34:37.000]  So they tried to embarrass him on Friday when he said, OK, it's being released.
[01:34:37.000 --> 01:34:41.000]  And then there were 200 files that weren't released.
[01:34:41.000 --> 01:34:44.000]  Roughly 95% was released.
[01:34:44.000 --> 01:34:48.000]  And Trump said, I'll get to the bottom of it. I'll get it out soon. Boom.
[01:34:48.000 --> 01:34:54.000]  Next day, it is released. And obviously, with our research crew, we are crawling through this.
[01:34:54.000 --> 01:35:00.000]  But most importantly, you, the listeners and viewers are crawling through all of it.
[01:35:00.000 --> 01:35:06.000]  And that's what's really important. And you're the folks finding all this bombshell information.
[01:35:06.000 --> 01:35:12.000]  But if you just joined us, let me recap before we get to some other news that ties into this, what's been discovered.
[01:35:12.000 --> 01:35:17.000]  CBS, JFK assassination files, Hoover, that was the head of the FBI at the time,
[01:35:17.000 --> 01:35:22.000]  to the FBI must convince the public Oswald acted alone.
[01:35:22.000 --> 01:35:28.000]  The cover up begins day one. We told you that a long time ago. We're vindicated.
[01:35:28.000 --> 01:35:36.000]  But of course, the big ones. Now, JFK files, CIA plan deadly attack in Miami to blame Cuba.
[01:35:36.000 --> 01:35:44.000]  False flag plan was part of operation mongers. I had guessed on before the year 2000,
[01:35:44.000 --> 01:35:50.000]  who talked about the CIA actually carrying out some of the terror bombings in the US and blaming it on their political enemies.
[01:35:50.000 --> 01:35:54.000]  This, of course, later got declassified as Operation Northwoods.
[01:35:54.000 --> 01:36:02.000]  So this new declassification from the CIA gives us what was already declassified in 2000 from the NSA.
[01:36:02.000 --> 01:36:09.000]  Anybody can search into the term Operation Northwoods and see infowars.com reporting on it first back in 2000,
[01:36:09.000 --> 01:36:13.000]  but also ABC News, CBS News and Wikipedia.
[01:36:13.000 --> 01:36:18.000]  So something I've been talking about forever, being made fun of, confirmed.
[01:36:18.000 --> 01:36:29.000]  So Trump really released the raw files. The 2800 files or so, those were absolutely unredacted, unbelievable.
[01:36:29.000 --> 01:36:34.000]  I can't believe he did it. I mean, he just keeps delivering. This is truly a major sea change.
[01:36:34.000 --> 01:36:40.000]  And the media's been spinning it. Well, any president could have released it since the law was passed to 92.
[01:36:40.000 --> 01:36:44.000]  So Trump didn't do anything. They think you're stupid.
[01:36:44.000 --> 01:36:53.000]  Bush senior, the Clintons, for their two terms, she was basically co-president, so that's three terms.
[01:36:53.000 --> 01:37:01.000]  And then George W., that's two more, and then Obama, that's two more. That's one, two, three, four, five, six, seven terms.
[01:37:01.000 --> 01:37:06.000]  They didn't release it. And then Trump does it. And the media's like, oh, he did nothing.
[01:37:06.000 --> 01:37:11.000]  Again, he can find the cure for cancer, which, you know, they have a lot of the curious for different cancers out there.
[01:37:11.000 --> 01:37:14.000]  And by Trump talks about, we're going to release the secret technologies.
[01:37:14.000 --> 01:37:17.000]  We're going to unlock the secrets of the universe. They've already unlocked a lot of them, folks.
[01:37:17.000 --> 01:37:20.000]  The breakaway civilization wants to happen for themselves.
[01:37:20.000 --> 01:37:27.000]  This is the beginning of Trump delivering on what he said he would do. This is majestic. It's so amazing.
[01:37:27.000 --> 01:37:31.000]  Because they didn't use secrecy to empower humanity. They used it to enslave us.
[01:37:31.000 --> 01:37:38.000]  And it wasn't the American government. It was globalist corporations that got control of our intelligence agencies in 1947 with the National Security Act.
[01:37:38.000 --> 01:37:43.000]  So, ultra-massive CIA staging terror attacks.
[01:37:43.000 --> 01:37:50.000]  And wanting to stage others. And quite frankly, frontline on PBS 15 years ago reported on this too.
[01:37:50.000 --> 01:38:00.000]  And stuff I'd never known about that got declassified that I didn't find where Bobby wanted to blow up the U.S. Embassy in Honduras to start a war in Central America.
[01:38:00.000 --> 01:38:03.000]  And actually his brother overrode him.
[01:38:03.000 --> 01:38:09.000]  So there's just a lot of craziness going on here. The Kennedys weren't perfect little angels, folks.
[01:38:09.000 --> 01:38:12.000]  So that's huge. Now, let's get into the big one.
[01:38:12.000 --> 01:38:17.000]  This is up on infowars.com and newswars.com as a video report.
[01:38:17.000 --> 01:38:22.000]  But we really ought to be from the highest rooftops yelling out.
[01:38:22.000 --> 01:38:28.000]  The U.S. Surgeon General did the second autopsy. Not just the first medical exam. They're in Dallas.
[01:38:28.000 --> 01:38:31.000]  And they found he'd been shot through the throat.
[01:38:31.000 --> 01:38:35.000]  But they did a tracheotomy that wasn't needed long after he was dead to cover it up.
[01:38:35.000 --> 01:38:43.000]  Everything, the late great Jim Mars and everybody else said was the case that the JFK movie broke down with Oliver Stone.
[01:38:43.000 --> 01:38:46.000]  All vindicated and all of you vindicated.
[01:38:46.000 --> 01:38:52.000]  But the headlines, the one paragraph you need to read from the JFK assassination files that may change everything.
[01:38:52.000 --> 01:38:54.000]  That's from Zero Hedge.
[01:38:54.000 --> 01:39:04.000]  And then you read it and it's a direct document from the FBI memo that the CIA got that had classified.
[01:39:04.000 --> 01:39:09.000]  And it goes on to say the Surgeon General report, which again they made classified,
[01:39:09.000 --> 01:39:15.000]  on the assassination stated that the first bullet entered the president's throat below the Adam's apple,
[01:39:15.000 --> 01:39:22.000]  clearly showing that the two persons were involved with the first shot being fired from the bridge across the parkway in front of the car,
[01:39:22.000 --> 01:39:26.000]  which is what hundreds of witnesses said and hundreds of witnesses then all died.
[01:39:26.000 --> 01:39:32.000]  And their garages got run over by cars shot in the back of the head continuing to further substantiate this.
[01:39:32.000 --> 01:39:34.000]  And then it gets into their CIA and FBI contacts.
[01:39:34.000 --> 01:39:39.000]  There was a bullet hole in the windshield of the presidential limousine.
[01:39:39.000 --> 01:39:41.000]  And there's more.
[01:39:41.000 --> 01:39:45.000]  I mean, boom, ladies and gentlemen, here's the big takeaway.
[01:39:45.000 --> 01:39:55.000]  They suppressed the U.S. Surgeon General's autopsy of President John Fitzgerald Kennedy that found he was shot through the throat from the overpass,
[01:39:55.000 --> 01:40:00.000]  not just the grassy knoll, which is what hundreds of witnesses pointed and said they saw.
[01:40:00.000 --> 01:40:05.000]  Then E. Howard Hunt gets arrested in a railway car 200 yards away with the rifles.
[01:40:05.000 --> 01:40:10.000]  And he was only one of the most famous assassins in the world at the time.
[01:40:10.000 --> 01:40:16.000]  One of the most famous assassins ever that Ethan Hunt's based on a mission impossible,
[01:40:16.000 --> 01:40:22.000]  is found with a bunch of guys dressed up like hobos in a train container filled with weapons.
[01:40:22.000 --> 01:40:35.000]  And they're all released hours later. And now you've got the document from the FBI and the CIA declassified by Donald John Trump in 2017.
[01:40:35.000 --> 01:40:40.000]  Who thought you would ever live to see this, ladies and gentlemen?
[01:40:40.000 --> 01:40:49.000]  How ultramassive is this? How huge is it to know this and to understand this and to see this?
[01:40:49.000 --> 01:40:55.000]  It is just so amazing. So mind-boggling.
[01:40:55.000 --> 01:40:59.000]  And then it just gets more insane from there.
[01:40:59.000 --> 01:41:06.000]  Because I got a text message last night from Tim Kennedy who's going to be in studio with us tomorrow,
[01:41:06.000 --> 01:41:14.000]  the Green Beret and famous sniper and UFC champ, a UFC heavy contender.
[01:41:14.000 --> 01:41:21.000]  He sent me information saying, look at this, it's all right here, everybody to see.
[01:41:21.000 --> 01:41:28.000]  And in the new data dump from the Central Intelligence Agency, we're going to come back and talk more about this.
[01:41:28.000 --> 01:41:36.000]  It's the CIA saying their operatives in South America documented that there was a huge German community that had run there
[01:41:36.000 --> 01:41:45.000]  with hundreds of billions of dollars for World War II and that they were there and that Hitler was being protected basically.
[01:41:45.000 --> 01:41:48.000]  And they gave this information over and documented police.
[01:41:48.000 --> 01:41:56.000]  There's even a photograph and we'll blow this up and put this on screen when we come back in the next segment.
[01:41:56.000 --> 01:41:59.000]  But this is simply amazing. So there it is on Tim Kennedy's Twitter.
[01:41:59.000 --> 01:42:07.000]  I've retweeted it at Real Alex Jones and you can read the whole thing. This declassified by the President of the United States.
[01:42:07.000 --> 01:42:10.000]  So they tried to keep this from coming out, but he put it out.
[01:42:10.000 --> 01:42:16.000]  Oh, and there's more coming up when we return on the other side of this quick break, ladies and gentlemen,
[01:42:16.000 --> 01:42:20.000]  not just that Kennedy was shot from the back end, the front as we always said.
[01:42:20.000 --> 01:42:28.000]  No, it's also in the FBI files that Lyndon Baines Johnson was KKK.
[01:42:28.000 --> 01:42:33.000]  It's all happening in front of our eyes. Everything hidden is being brought to light.
[01:42:33.000 --> 01:42:39.000]  It's like the Bible said, the world government, the cancer viruses and the vaccine, the fraud causing brain damage.
[01:42:39.000 --> 01:42:44.000]  It's all coming out. It's all coming out. All of it. It's amazing.
[01:42:44.000 --> 01:43:04.000]  More than 3,000 never before seen documents on the assassination of John F. Kennedy are to be released by the National Archives October 26.
[01:43:04.000 --> 01:43:14.000]  The still secret documents include more than 3,000 that have never been seen by the public and more than 30,000 that have been released previously, but with heavy redactions.
[01:43:14.000 --> 01:43:20.000]  This means that thousands of formerly classified documents related to Kennedy's assassination will be unveiled.
[01:43:20.000 --> 01:43:26.000]  JFK scholars cannot wait. Longtime Trump advisor Roger Stone was on the Alex Jones show this week.
[01:43:26.000 --> 01:43:30.000]  He said he spoke directly to the President and urged him to release all the documents.
[01:43:30.000 --> 01:43:39.000]  However, Stone notes that the President is under tremendous pressure by the Central Intelligence Agency to delay the release of the documents for another 25 years.
[01:43:39.000 --> 01:43:44.000]  Stone said the issue is now transparency. What is the government hiding at this point?
[01:43:44.000 --> 01:43:52.000]  He believes the documents will show that JFK assassin Lee Harvey Oswald was trained, nurtured and put in place by the CIA.
[01:43:52.000 --> 01:43:55.000]  Leigh Ann McAdoo, Infowars.com
[01:43:55.000 --> 01:44:05.000]  Please listen carefully because I'm about to point out three things that will save you a lot of money while you get high quality products and fund the Info War, a 360 win.
[01:44:05.000 --> 01:44:11.000]  Number one, when you choose auto ship before checkout, we give you 10% off on your order at Infowars.com.
[01:44:11.000 --> 01:44:19.000]  Number two, you're also able to get items that are out of stock when you sign up for auto ship because we hold back a surplus for auto ship customers.
[01:44:19.000 --> 01:44:25.000]  Number three, we're giving you free shipping on all orders above $50.
[01:44:25.000 --> 01:44:31.000]  Listeners have been requesting this for years because it's so easy to forget to reorder the products that you need each month.
[01:44:31.000 --> 01:44:38.000]  Just go to Infowarsstore.com, select your favorite product or products, click on auto ship and choose how often you want us to send you another order.
[01:44:38.000 --> 01:44:45.000]  As you know, I coined the term 360 win and with the new auto ship feature at Infowarslife.com, this is a sure win.
[01:44:45.000 --> 01:44:51.000]  10% off on auto ship, win win win at Infowarslife.com, free shipping on orders above $50.
[01:44:51.000 --> 01:45:17.000]  And all auto stock items are never out of stock when you sign up for auto ship.
[01:45:17.000 --> 01:45:25.000]  Now, let me tell you something. It is perfect for freeze drying fruits, vegetables, meats, dairy products, desserts and entire meals.
[01:45:25.000 --> 01:45:26.000]  Woo, that's what I'm talking about.
[01:45:26.000 --> 01:45:35.000]  And when compared to traditional methods of preservation, like canning or dehydrating, you know, like what you get at the grocery store, there is no comparison.
[01:45:35.000 --> 01:45:44.000]  Harvest right freeze dryers retain 97% of the food's taste, color and nutritional value and have a shelf life of up to 25 years.
[01:45:44.000 --> 01:45:52.000]  Now, that's what I call the miracle of food preservation. Harvest right is truly the world's best, most affordable freeze dryer.
[01:45:52.000 --> 01:45:56.000]  So what are you waiting for? Check it out right now at Infowarsstore.com.
[01:45:56.000 --> 01:46:03.000]  I am very proud to announce the introduction of the highest quality Infowars biome defense probiotic.
[01:46:03.000 --> 01:46:17.000]  We wanted to come out with the largest spectrum of high quality known probiotics that have been proven to improve overall digestion and health and detoxification in the body.
[01:46:17.000 --> 01:46:29.000]  Biome defense is an exclusive blend of 50 billion live and active cultures from over 23 different probiotic strains that are known to support digestion and intestinal function.
[01:46:29.000 --> 01:46:36.000]  Our researchers are confident that we have been able to develop what will be the leading probiotic on the market.
[01:46:36.000 --> 01:46:45.000]  Secure your biome defense in ultra strength or regular strength at InfowarsLife.com today and get started supporting your digestive system naturally.
[01:46:45.000 --> 01:46:59.000]  We've been testing this formula for years, but this is the limited first round of the public, so please take advantage of it today, support your own health and support the Infowar.
[01:46:59.000 --> 01:47:07.000]  You're listening to the Alex Jones Show.
[01:47:07.000 --> 01:47:17.000]  Ladies and gentlemen, I'm Alex Jones, your host.
[01:47:17.000 --> 01:47:22.000]  I just cannot believe that we've lived to see this all of us together.
[01:47:22.000 --> 01:47:32.000]  The president declassified last Thursday night at midnight 2,800 plus documents as they're called by the CIA.
[01:47:32.000 --> 01:47:39.000]  An additional 200 plus were held back, not by him, but by the CIA countermanding his orders.
[01:47:39.000 --> 01:47:47.000]  On Saturday morning, a day and a half level, a day and a half later, he ordered them to be released.
[01:47:47.000 --> 01:47:50.000]  This is simply incredible.
[01:47:50.000 --> 01:47:52.000]  What an amazing time to be alive.
[01:47:52.000 --> 01:47:55.000]  And then what's in them?
[01:47:55.000 --> 01:48:17.000]  What is in the CIA's files from what the media says is the bastion of a supposed truth who've been lying to us for decade after decade after decade for 54 years since Kennedy was shot by multiple shooters in Dealey Plaza in Dallas, Texas.
[01:48:17.000 --> 01:48:23.000]  Ladies and gentlemen, the articles, the videos, the documents are on Infowars.com.
[01:48:23.000 --> 01:48:32.000]  They're posted in an article titled The One Paragraph You Need to Read from the JFK assassination files that may change everything.
[01:48:32.000 --> 01:48:48.000]  And it is the Surgeon General's Office that conducted the official autopsy on the president, saying that he was shot through the windshield in the front, in the front of the neck, out the back of his spine, just like the Subruder film shows.
[01:48:48.000 --> 01:48:55.000]  Before he gets shot again from the front, from the grassy knoll, and the whole back of his head blows off.
[01:48:55.000 --> 01:49:10.000]  Anybody knows you shoot somebody with a high-powered rifle, tiny hole where it goes in, big giant gaping hole in the back, and sometimes it blows the whole back of the head off as it causes a shockwave through the brain tissue that explodes out the back.
[01:49:10.000 --> 01:49:27.000]  And now, ladies and gentlemen, bigger than Dallas, pun intended, we don't just have the Subruder film and the president being shot from the overpass that hundreds of witnesses watched, or the back of his head then blowing off when he gets shot in the front of the head again.
[01:49:27.000 --> 01:49:51.000]  No, ladies and gentlemen, we have the Surgeon General's Report. That's what we have. We have the Surgeon General's classified secret report from the FBI and the CIA in these documents, page after page after page of it.
[01:49:51.000 --> 01:49:57.000]  Wow. What do you think the establishment thinks of that?
[01:49:57.000 --> 01:50:07.000]  Ladies and gentlemen, if you've just joined us, here's the big news. It's in the JFK files that Trump has now released in full after the CIA tried to block him on Friday.
[01:50:07.000 --> 01:50:26.000]  The remaining files were released, and we now know why. It was the Surgeon General's office that did the secret autopsy that's always remained classified, and they said the witnesses, the cops all saw people shooting from the knoll in the overpass, but we've got the windshield hole from the front.
[01:50:26.000 --> 01:50:41.000]  That's in the front, and we've got the entry hole small in the neck and big in the back at the spine. He was shot from the front, in fact, mainly straight on from the front and from the front at an angle, blowing the back and the side of his head off.
[01:50:41.000 --> 01:50:54.000]  Ladies and gentlemen, the big old giant JFK cover-up has come crashing down. Did you ever think you'd live to see it?
[01:50:54.000 --> 01:50:57.000]  And then let's get to the other news.
[01:50:57.000 --> 01:51:04.000]  Tim Kennedy, UFC star, Green Beret, Patriot Special Forces operator.
[01:51:04.000 --> 01:51:17.000]  Good friend of mine, sniper, is coming in studio to give us the exclusive tomorrow before he goes on a mission for months he can't get into.
[01:51:17.000 --> 01:51:32.000]  Dealing with the Central Intelligence Agency via the president declassifying photos and documents and CIA operatives, witnessing Hitler in South America, and even talking to people that were working with him.
[01:51:32.000 --> 01:51:46.000]  And in the last two episodes of Hunting Hitler on History Channel, Tim Kennedy has gone down there and found German towns hidden in the middle of the mountains and all sorts of stuff, and witnesses getting in their faces when they bring it up,
[01:51:46.000 --> 01:51:56.000]  still wearing Nazi uniforms. Now, I can't get into what's coming up in the next season because I haven't even been told, but he says it dovetails with all this, and I'm going to leave it right there.
[01:51:56.000 --> 01:52:03.000]  He is in studio tomorrow to go over all of this.
[01:52:03.000 --> 01:52:09.000]  This is simply incredible, but remember, remember what I told you decades ago because it was already declassified.
[01:52:09.000 --> 01:52:16.000]  So much of what I cover, the media just says I'm making up, hoping you're dumb, and don't go look up the fact that it's been declassified.
[01:52:16.000 --> 01:52:34.000]  Here it is from the Central Intelligence Agency's homepage. Central Intelligence Agency, Operation Paperclip, the secret intelligence program to bring Nazi scientists to America, 36,000 of them from CIA.gov.
[01:52:34.000 --> 01:52:52.000]  So they're going to bring tens of thousands to run NASA and run the psychology departments and psychiatry and mind wars and info war and have them basically run everything and fight the Cold War and be put in number two positions or number one positions everywhere
[01:52:52.000 --> 01:52:59.000]  because they were a breakaway criminal group that the deep state could fully control who they had on a short leash.
[01:52:59.000 --> 01:53:08.000]  That's why they were put in charge over Americans and they were cutting smart, brave, whatever you want to call it, quite evil, many of them.
[01:53:08.000 --> 01:53:14.000]  They were brought in to run this country and create the deep state. That's why so much of our deep state looks like a Nazi operation.
[01:53:14.000 --> 01:53:20.000]  So anybody doubting that Hitler could have been allowed to live or that Hitler could have been brought into South America.
[01:53:20.000 --> 01:53:32.000]  They found the old submarines, they found the German communities, they know thousands of Nazis went down there and were allowed to go down there if they were too hot to handle, like Klaus Barbie and Adolf Hitler and others.
[01:53:32.000 --> 01:53:42.000]  And what adds credence to this is the Russians for 40 years said they had the skull of Hitler dug up from outside the Reich Chancellery in the bunker under it.
[01:53:42.000 --> 01:53:53.000]  It was genetically tested and it was confirmed by the Russians and the West to be a woman's skull. It's not even Adolf Alois Hitler's skull.
[01:53:53.000 --> 01:54:05.000]  Again, if our government, if our shadow government was going to bring in 36,000 prominent Nazis to form a shadow government in the United States at the end of 1945,
[01:54:05.000 --> 01:54:19.000]  and only hang a few of them were prominent Nazis who had actually captured for show, most of them ended up dying of cyanide pills like Herman Göring and others inside of their tail cells.
[01:54:19.000 --> 01:54:23.000]  Herman Göring, Heinrich Himmler, you name it.
[01:54:23.000 --> 01:54:30.000]  Then of course they'd let Hitler escape because there's an old thing with the globalists and empires and royalty to let the heads of state escape.
[01:54:30.000 --> 01:54:34.000]  Don't kill them because if you ever got taken over and defeated, you don't want to be killed.
[01:54:34.000 --> 01:54:41.000]  Now they've ignored that in past decades, but a lot of evidence shows Hitler did live until the late 1950s.
[01:54:41.000 --> 01:54:51.000]  And that's what these documents show that Hitler was photographed in 1955. This was micro filmed in 1963.
[01:54:51.000 --> 01:54:57.000]  And this is just some of the stuff that is in the JFK files, absolutely intriguing.
[01:54:57.000 --> 01:55:05.000]  And then in closing, the KKK said it had documented proof that Lyndon Maynes Johnson was a member and gave it to the FBI.
[01:55:05.000 --> 01:55:12.000]  Everybody already knew that. Everybody knew about Robert Byrd and the Clintons and the KKK and Margaret Sanger.
[01:55:12.000 --> 01:55:20.000]  You just type in Margaret Sanger KKK and see her in Life Magazine at KKK rallies back when it was a mainstream group and organization.
[01:55:20.000 --> 01:55:27.000]  The whole point is this is who the Democrats are and it's why they use race based politics with minorities now.
[01:55:27.000 --> 01:55:31.000]  Trying to bring back the good old days of race based politics.
[01:55:31.000 --> 01:55:36.000]  A truly evil sickening group and organization.
[01:55:36.000 --> 01:55:43.000]  Now finally, it's not a secret that info wars has been proven right about thousands of topics.
[01:55:43.000 --> 01:55:49.000]  Or that we broke the news a week and a half ago that Trump would bring out the JFK information and got attacked for what we're proving right.
[01:55:49.000 --> 01:55:51.000]  I mean, it's on a daily basis.
[01:55:51.000 --> 01:56:06.000]  When you simply financially support us by going to infowarstore.com and getting water filtration and books and films and hundreds of different t-shirts that spread the message of liberty and help you meet like-minded people as well.
[01:56:06.000 --> 01:56:11.000]  When you do that, it changes the world and I salute you and I thank you.
[01:56:11.000 --> 01:56:21.000]  We're running some big specials on high quality colloidal silver that's about to end 50% off on Anthroplex that just amazing libido stamina energy.
[01:56:21.000 --> 01:56:22.000]  That's 50% off.
[01:56:22.000 --> 01:56:29.000]  Winter sun, the vitamin D3 that you really need in the winter or if you're a night owl, that's 50% off.
[01:56:29.000 --> 01:56:30.000]  We've never done that.
[01:56:30.000 --> 01:56:36.000]  But I'm doing it because when we do the sales, people get even more of the products and find out how great they are.
[01:56:36.000 --> 01:56:48.000]  So I'm not discounting these because we're not selling them, I'm discounting them because we're selling so much, it allows us to scale up and cut prices to you where when you sign up for autoship and get additional 10% off,
[01:56:48.000 --> 01:56:53.000]  then infowarstore.com takes like five seconds to do and cancel anytime, get an additional 10% off.
[01:56:53.000 --> 01:56:59.000]  So things like supplements or coffee or water filters, stuff that you're going to reorder.
[01:56:59.000 --> 01:57:13.000]  Sign up for autoship, cancel anytime, every 14, 30, 60, 90, every six months you name it, you get 10% off additionally and know that you're funding the tip of the spear, that the globalists are attacking and trying to shut down.
[01:57:13.000 --> 01:57:19.000]  If they can shut us up, they can shut Drudge up, they can shut Hannity up, they can shut everybody up.
[01:57:19.000 --> 01:57:22.000]  So I want to thank you all for your support and your prayers.
[01:57:22.000 --> 01:57:30.000]  The world's waking up, whoever thought we'd live to see this coming out and even more is happening and it's because Donald John Trump is in office.
[01:57:30.000 --> 01:57:35.000]  He's not perfect, just like you or I, but he means well and we're the reason he's there.
[01:57:35.000 --> 01:57:36.000]  So let's keep doing it.
[01:57:36.000 --> 01:57:41.000]  I'll be back tomorrow at 11am central, David Knight, 8am central as well, infowarstore.com.
[01:57:41.000 --> 01:57:53.000]  4 slash show, God bless you all.
