[00:00:03.114 --> 00:00:07.156]  Ladies and gentlemen.
[02:54:35.791 --> 02:54:41.816]  Just totally attacked, because it's rolling back the takeover of radical Islam, and Trump's gotten
[02:54:42.517 --> 02:54:42.837]  The Muslim
[02:55:03.371 --> 02:55:08.233]  It's about to end on Silver Bullet, Colloidal Silver, Survival Shield X2, 50% off, free shipping.
[02:55:08.233 --> 02:55:10.954]  Super Metal Vitality, same thing, 50% off, free shipping.
[02:55:10.954 --> 02:55:12.974]  Knockout Sleep A, 50% off, free shipping.
[02:55:12.974 --> 02:55:14.395]  A lot of these are lost leaders.
[02:55:14.395 --> 02:55:15.615]  Sign up for Auto Ship, if it is.
[02:55:15.615 --> 02:55:17.216]  That's an additional 10% off.
[02:55:17.216 --> 02:55:19.517]  All Pro Pure Water Filtration, 25% off.
[02:55:19.517 --> 02:55:23.278]  And many other items at InfowarsStore.com or 888-253-3139.
[02:55:23.278 --> 02:55:23.558]  And then,
[02:55:27.349 --> 02:55:27.789]  I don't know.
[02:55:43.326 --> 02:55:44.667]  Into it as well for your heart.
[02:55:44.667 --> 02:55:47.148]  It is incredible and taken with brain force.
[02:55:47.148 --> 02:55:47.748]  It's amazing.
[02:55:47.748 --> 02:55:50.309]  But these are the missing links of what you need.
[02:55:50.309 --> 02:55:53.811]  Infowarsstore.com or AAA2533139.
[02:55:53.811 --> 02:55:57.212]  And by the way, at the rate it's selling, it'll be sold out within four days.
[02:55:57.212 --> 02:56:01.194]  We only got a few thousand bottles of this over a year in development.
[02:56:01.194 --> 02:56:02.895]  We're going to get more in the new year.
[02:56:02.895 --> 02:56:09.758]  But the real red pill now available exclusively at Infowarsstore.com.
[02:56:09.758 --> 02:56:10.658]  OK, who's up first?
[02:56:10.658 --> 02:56:11.439]  Nicholas Colt.
[02:56:13.019 --> 02:56:17.020]  Amanda, Peter.
[02:56:17.020 --> 02:56:18.761]  Let's go ahead and talk to Peter in New York.
[02:56:18.761 --> 02:56:19.461]  Peter, you're on the air.
[02:56:19.461 --> 02:56:26.683]  I wanted to talk about the geomagnetic field.
[02:56:26.683 --> 02:56:29.624]  Yeah, the Earth's rotation is slowing for some reason.
[02:56:29.624 --> 02:56:30.544]  That changes the field.
[02:56:30.544 --> 02:56:32.465]  That's the main driver of climate change, right?
[02:56:33.474 --> 02:56:39.240]  I believe that the field is generated in the mantle and that the lava flows are changing.
[02:56:39.240 --> 02:56:39.800]  It's possible.
[02:56:39.800 --> 02:56:42.743]  I'm not 100% sure what's driving it specifically.
[02:56:42.743 --> 02:56:47.108]  I just know that it's moved about 1,000 miles in 100 years.
[02:56:47.108 --> 02:56:47.808]  Yes, sir.
[02:56:47.808 --> 02:56:53.634]  And again, right now the Earth's rotation is actually slowed a bit as well.
[02:56:53.634 --> 02:56:54.715]  It will affect all of that.
[02:56:54.715 --> 02:56:55.396]  It's affecting the...
[02:56:56.266 --> 02:57:07.109]  Magnetic field itself has been weakening, and if it weakens to a certain point, where they say if it goes into a flux point, having a pulse shift, that a solar flare would take out everything.
[02:57:07.109 --> 02:57:08.930]  Well, that's right.
[02:57:08.930 --> 02:57:12.011]  The magnetic field is our shield.
[02:57:12.011 --> 02:57:17.713]  And if we lose that, it would take out all of our electronics and then we won't be doing too well.
[02:57:17.713 --> 02:57:22.134]  They predict 90% of people will die in one year if there's a power outage.
[02:57:22.134 --> 02:57:22.414]  Crazy.
[02:57:23.826 --> 02:57:24.567]  Anything else, Peter?
[02:57:24.567 --> 02:57:26.569]  I'm glad you brought up such a central point in hell to do that.
[02:57:26.569 --> 02:57:27.169]  You want to hold over?
[02:57:27.169 --> 02:57:28.711]  You got more to add?
[02:57:28.711 --> 02:57:31.113]  I wanted to bring up how it affects climate change.
[02:57:31.113 --> 02:57:38.901]  Let's talk about that when we start our number four, then Jack Poselbeck and so much more on the other side of this quick break.
[02:57:38.901 --> 02:57:41.223]  We're in the middle of a 34-hour special broadcast.
[02:57:41.223 --> 02:57:41.924]  Know your enemy.
[02:57:44.665 --> 02:57:49.309]  Support good oral health with our one-of-a-kind super blue fluoride free products.
[02:57:49.309 --> 02:57:56.955]  InfoWars Life brings you a revolutionary toothpaste blend with iodine and nano silver designed to deliver a powerful clean.
[02:57:56.955 --> 02:58:01.199]  Enjoy a minty fresh flavor made with peppermint oil or try our bubblegum flavor.
[02:58:01.199 --> 02:58:07.144]  Pair this groundbreaking toothpaste with the super blue fluoride free mouthwash and supercharge your oral health.
[02:58:07.324 --> 02:58:13.927]  Our amazing mouthwash features natural oils and ancient ingredients used since aboriginal and biblical times.
[02:58:13.927 --> 02:58:24.292]  Instead of containing fluoride, our Super Blue line is loaded with the good halogen iodine and an array of other beneficial compounds that have been hand-selected for their oral health benefits.
[02:58:24.292 --> 02:58:31.095]  Super Blue Fluoride-Free Mouthwash and Toothpaste are the first and only to contain all of these natural ingredients.
[02:58:31.095 --> 02:58:33.676]  Xylitol, Nano-Silver, and Iodine.
[02:58:33.956 --> 02:58:37.557]  Notice the difference with our super blue, fluoride-free products.
[02:58:37.557 --> 02:58:42.560]  Refresh your breath and invigorate your oral health routine at InfoWarsTore.com.
[02:58:42.560 --> 02:58:46.621]  That's InfoWarsTore.com.
[02:58:46.621 --> 02:58:49.763]  America is an information-based civil war.
[02:58:49.763 --> 02:58:57.186]  That's why now more than ever, we've got to hit the streets of America and let these globalist scum know we're not backing down from their bullying.
[02:58:57.186 --> 02:59:02.688]  We're only intensifying our operations in the face of their wannabe dictatorship.
[02:59:03.528 --> 02:59:11.211]  Being a conservative, a nationalist, a libertarian, or simply a free speech advocate is truly the counterculture.
[02:59:11.211 --> 02:59:19.154]  The real punk rock is being a patriot who's pro-America, pro-capitalism, and pro-freedom, who at the same time is tolerant.
[02:59:19.814 --> 02:59:24.875]  Modern liberalism is a counterfeit of Thomas Jefferson's classical liberalism.
[02:59:24.875 --> 02:59:27.016]  They are the anti-liberals.
[02:59:27.016 --> 02:59:40.400]  To defend free speech, meet like-minded friends, and promote freedom worldwide, we've got more than 60 original designs of high-quality t-shirts for men and women, as well as more patriot apparel at InfoWarsTore.com.
[02:59:40.400 --> 02:59:44.001]  Be part of the Second American Revolution at InfoWarsTore.com.
[02:59:47.695 --> 02:59:50.307]  You're listening to The Alex Jones Show.
[03:00:05.072 --> 03:00:09.654]  Big Brother, mainstream media, government cover-ups.
[03:00:09.654 --> 03:00:11.594]  You want to stop tyranny?
[03:00:11.594 --> 03:00:13.255]  Well, so does he.
[03:00:13.255 --> 03:00:18.817]  Live from the Infowars.com studios, it's Alex Jones.
[03:00:18.817 --> 03:00:23.518]  All right, Peter brought up the electromagnetic field of the Earth's been getting weaker.
[03:00:23.518 --> 03:00:26.919]  It's been changing.
[03:00:26.919 --> 03:00:28.900]  And the Earth's rotation has slowed.
[03:00:30.128 --> 03:00:32.371]  And of course the sun's the main driver of climate.
[03:00:32.371 --> 03:00:47.429]  If we don't have that magnetic field, a lot more of the solar radiation will make it into the earth and then all these folks thinking they're going to be God like Jeff Bezos and others, they're not going to be doing too good like the rest of us here on the surface of the planet.
[03:00:47.429 --> 03:00:48.790]  We'll have to go into those little bunkers.
[03:00:49.651 --> 03:00:51.553]  Or his little bug eyes.
[03:00:51.553 --> 03:00:52.974]  But maybe he meant to live in the dark.
[03:00:52.974 --> 03:00:54.035]  One eye points in the other direction.
[03:00:54.035 --> 03:00:58.699]  So, a little hammerhead shark looking for monopolies, looking for free press to shut down.
[03:00:58.699 --> 03:01:06.245]  Because he heads up the Washington Post calling for free press to be shut down and for the president to be arrested and for me to be arrested.
[03:01:06.245 --> 03:01:08.106]  He's just a real pig.
[03:01:08.106 --> 03:01:09.908]  But Peter in New York, go ahead.
[03:01:10.697 --> 03:01:15.418]  Yeah, I just wanted to close up by saying, you know, they want to focus on CO2, right?
[03:01:15.418 --> 03:01:21.040]  Something that every plant needs is the fundamental... Well, they do that because it's something that's on the Earth they can tax and control.
[03:01:21.040 --> 03:01:22.700]  They know it's all a fraud.
[03:01:22.700 --> 03:01:23.560]  Exactly.
[03:01:23.560 --> 03:01:36.544]  Now, if you change the North Pole, where, you know, the entire structure of the Earth is pointed to the Sun based off of our poles, aligning with the Sun's poles being pulled through space,
[03:01:37.156 --> 03:01:46.778]  If you realign that, you're going to have entire climate change, wherever the North Pole is, is now going to be where the new, you know, coldest area is, where you have the least sunlight.
[03:01:46.778 --> 03:01:47.978]  So you're going to change everything.
[03:01:47.978 --> 03:02:01.661]  We should do a whole show on, say, a pole shift, and if it put the new pole, let's say, in the middle of the Pacific Ocean, you would just have, like, the middle of the Pacific Ocean, the new pole.
[03:02:01.661 --> 03:02:05.562]  You'd have a big Arctica on one side, or Arctic and then Antarctica.
[03:02:06.601 --> 03:02:15.968]  Yeah, it's an interesting theory that they were saying that they're thinking it might be going to where the Bermuda Triangle is, and there's a South China Sea anomaly as well.
[03:02:15.968 --> 03:02:17.830]  And that might be the new locations of the poles.
[03:02:17.830 --> 03:02:18.950]  Now, that's just a theory.
[03:02:18.950 --> 03:02:22.633]  Well, that'll fix the problem China's got with overpopulation.
[03:02:22.633 --> 03:02:28.318]  If the new ice cap hits China, that won't be too pretty.
[03:02:28.318 --> 03:02:29.218]  No, sir.
[03:02:29.218 --> 03:02:31.420]  They're already killing their own people off quick enough.
[03:02:31.420 --> 03:02:33.241]  I think they'll lose a few more.
[03:02:34.972 --> 03:02:36.913]  I tell you, we're on a very volatile planet.
[03:02:36.913 --> 03:02:41.276]  You know, they got volcanoes going off in Mali and in Mexico right now.
[03:02:41.276 --> 03:02:52.822]  Yeah, the Ring of Fire is really, really active, and like I said, if it all comes back, you know, you're having a fluctuation of those liquid lava flows within the mantle.
[03:02:52.822 --> 03:02:54.023]  I mean, that's going to change.
[03:02:54.023 --> 03:02:57.805]  But if you'll just pay some carbon taxes... It'll all be okay.
[03:02:57.805 --> 03:02:59.106]  ...in Talgore.
[03:02:59.106 --> 03:02:59.666]  Exactly.
[03:02:59.666 --> 03:03:01.347]  We just got to cut that carbon dioxide.
[03:03:01.347 --> 03:03:03.749]  A lot of it coming out of that volcano, but that's okay.
[03:03:04.611 --> 03:03:07.813]  It's like when Apple owns a slave factory.
[03:03:07.813 --> 03:03:08.633]  As long as it's liberal.
[03:03:08.633 --> 03:03:11.574]  As long as the volcano is liberal, then the CO2 is good.
[03:03:11.574 --> 03:03:13.355]  Thank you very much, Peter.
[03:03:13.355 --> 03:03:13.836]  Great points.
[03:03:13.836 --> 03:03:15.496]  Let's talk to Amanda in Tennessee.
[03:03:15.496 --> 03:03:16.617]  You're on the air.
[03:03:16.617 --> 03:03:19.879]  What about Tucker Carlson and a helicopter news?
[03:03:19.879 --> 03:03:21.159]  Go ahead.
[03:03:21.159 --> 03:03:22.440]  Yeah, I was wondering.
[03:03:22.440 --> 03:03:25.541]  He had a video that he obtained, I guess, three or four weeks ago.
[03:03:25.541 --> 03:03:30.824]  And it looked like debris, like snow blowing across the video, or over half of it.
[03:03:31.212 --> 03:03:37.580]  And he said it was due to a helicopter hovering over that area, but he never went into why there was a helicopter there for so long.
[03:03:37.580 --> 03:03:40.964]  You're talking about during the Vegas shooting?
[03:03:40.964 --> 03:03:41.185]  Yes.
[03:03:42.421 --> 03:03:47.905]  Well, I know the FBI went and picked up the caller you heard earlier when he talked about it being an Islamic attack.
[03:03:47.905 --> 03:03:51.929]  There have been shootings all over town and helicopters being used and the FBI showed up.
[03:03:51.929 --> 03:03:54.230]  They drugged the guy and they declared national security.
[03:03:54.230 --> 03:03:55.992]  He's had to leave the country just over that.
[03:03:55.992 --> 03:04:02.617]  So, do you think they'd be having the FBI at his house in two hours after he called in about that if it was just a rumor?
[03:04:02.617 --> 03:04:04.118]  No, they don't want that discussed.
[03:04:04.118 --> 03:04:11.224]  So, Vegas is as phony as a $3 bill or as Obama's birth certificate.
[03:04:11.224 --> 03:04:11.404]  Wow.
[03:04:13.288 --> 03:04:13.969]  Mm-hmm.
[03:04:13.969 --> 03:04:14.610]  Isn't that crazy?
[03:04:14.610 --> 03:04:16.593]  That is so crazy.
[03:04:16.593 --> 03:04:17.555]  So many people.
[03:04:17.555 --> 03:04:20.360]  They had the Saudi military was having a convention there that week.
[03:04:21.701 --> 03:04:29.926]  Yeah, because I remember the most I've heard is what you've gone over and the other guy that has done so much research into all the planes that have changed.
[03:04:29.926 --> 03:04:36.129]  Sure, well the FBI showed up and they told him, they said, you talk about that again, we're going to put you in prison.
[03:04:36.129 --> 03:04:38.110]  Because that's classified information.
[03:04:38.110 --> 03:04:39.971]  Even though he figured it out himself.
[03:04:39.971 --> 03:04:42.413]  The fact is the government, the military all knows.
[03:04:42.413 --> 03:04:43.754]  They've been ordered not to talk about it.
[03:04:44.514 --> 03:04:47.415]  Because it's all part of this deal that Trump's got with the Saudis.
[03:04:47.415 --> 03:04:48.615]  We'll see if that's really the case.
[03:04:48.615 --> 03:04:51.416]  That was an Islamic terror attack from all the evidence we have.
[03:04:51.416 --> 03:04:54.917]  Thank you so much.
[03:04:54.917 --> 03:05:00.839]  I'm driving home here, about to take off a few days for Thanksgiving.
[03:05:00.839 --> 03:05:06.301]  And I just want to impart my message to the listeners and viewers of how much I appreciate you and how thankful I am.
[03:05:08.001 --> 03:05:18.333]  And I also just want to re-emphasize the point that if you weren't there taking action, and if you weren't there spreading the word, globalism would have completely taken over not just this country but other nations.
[03:05:18.333 --> 03:05:27.784]  And globalism is a completely anti-individual, anti-God, anti-family, anti-Christian cancer that is just pure
[03:05:29.161 --> 03:05:33.702]  Power cult will to dominate and control society.
[03:05:33.702 --> 03:05:38.804]  And that we have come so far with God's help, and have turned the tide, but the enemy's tracking back.
[03:05:38.804 --> 03:05:44.646]  So just, please, we should all be so thankful to God, and thankful to each other for taking action.
[03:05:44.646 --> 03:05:49.788]  But also, girt ourselves and get ready for the next big fight ahead, because history is happening.
[03:05:49.788 --> 03:05:52.429]  So for myself, and my family, God bless you all.
[03:05:52.429 --> 03:05:53.249]  Have a great Thanksgiving.
[03:06:01.192 --> 03:06:02.293]  There's a long way to go.
[03:06:02.293 --> 03:06:08.956]  And a short time to get there.
[03:06:08.956 --> 03:06:12.358]  Give me liberty or give me death.
[03:06:12.358 --> 03:06:14.500]  It's Alex Jones.
[03:06:14.500 --> 03:06:17.962]  And hosting this hour, the fourth hour, is Jack Posobiec.
[03:06:17.962 --> 03:06:21.283]  Then we've got a 34-hour broadcast going.
[03:06:21.283 --> 03:06:22.964]  We're three hours in.
[03:06:22.964 --> 03:06:25.526]  We've got 31 hours left of Know Your Enemy.
[03:06:25.526 --> 03:06:28.968]  That's why I had the author of Meet the Bully
[03:06:30.103 --> 03:06:35.508]  I had the author on earlier that's dealing with the big bully in Asia, Communist China.
[03:06:35.508 --> 03:06:41.613]  Jack Posobiec lived over there before he even joined Naval Intelligence and was a big part of the Trump campaign as well.
[03:06:41.613 --> 03:06:45.597]  But I wanted to have him on with us today to get into knowing our enemy.
[03:06:45.597 --> 03:06:46.478]  What is our enemy?
[03:06:46.478 --> 03:06:48.880]  We know it's mainstream media, but who owns them?
[03:06:48.880 --> 03:06:50.061]  What's their agenda?
[03:06:50.061 --> 03:06:51.082]  Why are they trying to block
[03:06:52.219 --> 03:06:54.221]  The restoration of this republic.
[03:06:54.221 --> 03:07:17.678]  I'm going to be back tonight, 8 to 10 p.m., but there's a full list of the talk show hosts, the guests, the breaking news, the info, but you can be part of the revolution as well by spreading the live links to us on Facebook, on Twitter, on YouTube, or just InfoWars.com forward slash show, because Facebook, Twitter, YouTube are blocking people trying to share our videos.
[03:07:17.678 --> 03:07:20.260]  There's articles on InfoWars.com about it.
[03:07:21.121 --> 03:07:30.451]  They intend to just wear you out with the censorship instead of you going, oh my gosh, it's all true, they're censoring, they're censoring the patriots, the censoring folks that want to reboot America.
[03:07:30.451 --> 03:07:34.215]  They just think we'll just kind of give up and go away.
[03:07:34.215 --> 03:07:42.003]  But instead, when you get excited, we've had 30-something million people tune in before just to extra streams and things during a marathon broadcast.
[03:07:42.003 --> 03:07:43.705]  Now that was the biggest ever on election night.
[03:07:46.099 --> 03:07:48.341]  And I guess over two days that happened.
[03:07:48.341 --> 03:08:06.212]  We did a 34-hour broadcast the other day and outside of our regular shows and millions of listeners on AM and FM a day and about a million views conservatively a day just on YouTube alone or a couple million a day on Facebook, we had an additional million and a half people that we could track that came in and watched on the streams or saw stuff.
[03:08:06.212 --> 03:08:07.193]  And those were new people.
[03:08:07.981 --> 03:08:15.691]  Those were new IP addresses we could see in the aggregate of new people coming in that were tuning in.
[03:08:15.691 --> 03:08:17.413]  And that's who we're really looking for.
[03:08:17.413 --> 03:08:18.775]  It's not that you're being overlooked.
[03:08:18.775 --> 03:08:20.156]  You're just appreciated.
[03:08:20.156 --> 03:08:21.138]  We know you're awake.
[03:08:21.138 --> 03:08:22.579]  Probably more awake than we are.
[03:08:22.579 --> 03:08:23.841]  Probably awake before I was born.
[03:08:23.841 --> 03:08:24.442]  God bless you.
[03:08:24.442 --> 03:08:25.243]  We stand on your shoulders.
[03:08:27.114 --> 03:08:28.735]  We're looking for folks that aren't awake.
[03:08:28.735 --> 03:08:30.077]  That's how we're going to win.
[03:08:30.077 --> 03:08:31.398]  That's how we're going to defeat the globals.
[03:08:31.398 --> 03:08:35.881]  They want to target kids when they're little and brainwash them and do all this and we just want to wake everybody up.
[03:08:35.881 --> 03:08:38.263]  Old, young, black, white, doesn't matter.
[03:08:38.263 --> 03:08:44.869]  We're in a fight for hearts and minds and we're just promoting Americana and choice and free market and freedom.
[03:08:44.869 --> 03:08:48.512]  We're just promoting the thing everybody wanted and it's coming back.
[03:08:48.512 --> 03:08:49.993]  We're a year into Trump being elected.
[03:08:52.708 --> 03:09:03.911]  Basically, 10 and a half months into him being in office, and you already see the economy, and record new jobs, and record new small businesses, and record low lending.
[03:09:03.911 --> 03:09:15.134]  The big megabanks responded by not lending even more to try to stop, and then try to raise interest rates, but it hasn't worked, because people understand we're under economic warfare.
[03:09:15.134 --> 03:09:20.175]  So that's why when you shop at Infowarsstore.com, there isn't a place in this fight
[03:09:22.216 --> 03:09:36.468]  Where buying the products that you already need, water filters, air filters, non-GMO heirloom seeds, t-shirts that spread the word, high quality supplements, there's not a place where buying products has a bigger political effect.
[03:09:36.468 --> 03:09:39.590]  You know, I'm waiting on the next month or two to see how we're going to expand.
[03:09:39.590 --> 03:09:43.594]  I would like to be able to hire Pacific, I'd like to be able to hire a whole bunch of people.
[03:09:43.594 --> 03:09:45.075]  Black Phillip has launched a lot of new shows.
[03:09:45.075 --> 03:09:47.377]  We've already, you know, launched two new broadcasts in the last month.
[03:09:48.669 --> 03:10:04.882]  Five days a week, the war room with Owen Schroer and then of course David Knight and the Real News and the enemy's coming after us and I'm not complaining, I'm just saying we're having an effect, we're having victories and we're trying to gauge whether we can continue on expanding because there is no getting
[03:10:06.533 --> 03:10:08.835]  You know, zero-sum game where we're just one size.
[03:10:08.835 --> 03:10:10.736]  We've got to either expand or contract.
[03:10:10.736 --> 03:10:12.837]  The globalists want us to contract and go away.
[03:10:12.837 --> 03:10:14.418]  We understand we'll be destroyed if we do that.
[03:10:14.418 --> 03:10:14.998]  All of us.
[03:10:14.998 --> 03:10:15.839]  We've got to expand.
[03:10:15.839 --> 03:10:17.820]  So we've got free shipping about to end store-wide.
[03:10:17.820 --> 03:10:19.521]  It's got to end by tomorrow.
[03:10:19.521 --> 03:10:26.386]  We've got Silver Bullet, Coil-O-Silver, Brain Force, the new Tropic bestseller, Survival Silodex II, the good halogen, all 50% off free shipping.
[03:10:26.386 --> 03:10:30.108]  Supermail, Knockout Sleep Aid, Pro-Pure Water Filtration.
[03:10:30.108 --> 03:10:31.529]  It's all there.
[03:10:31.529 --> 03:10:33.951]  50% off, free shipping, and we have the new
[03:10:35.230 --> 03:10:54.045]  I want to call it nootropic because it's for the brain, the heart, you can even make claims on this, because it is a multivitamin, amino acid, all the minerals with pregnalone that is the precursor to all hormones, but legal according to the Olympic Committee, because it's the precursor to all the steroids in your body, they're natural, so your body can make them.
[03:10:54.045 --> 03:10:55.807]  Without it, it can't do it.
[03:10:55.807 --> 03:11:02.072]  But if you just take pregnalone by itself, without these vitamins and minerals and other amino acids, you can't upload it.
[03:11:03.766 --> 03:11:06.989]  That's what the scientists that developed this at one of the top firms in the country came up with.
[03:11:06.989 --> 03:11:13.035]  I had already done the research and said, why aren't we selling an amino acid pregnant woman combo?
[03:11:13.035 --> 03:11:17.299]  Because I noticed only top medical firms were getting people to pay on their prescription for it.
[03:11:18.402 --> 03:11:22.446]  And people have paid $200, $300 for something similar to this just because they were at a doctor's office.
[03:11:22.446 --> 03:11:24.068]  This is $80 usually.
[03:11:24.068 --> 03:11:25.489]  It's 50% off.
[03:11:25.489 --> 03:11:27.211]  It's $39 right now.
[03:11:27.211 --> 03:11:28.492]  Free shipping store-wide.
[03:11:28.492 --> 03:11:30.815]  Sign up for auto shipping, additional 10% off.
[03:11:30.815 --> 03:11:32.717]  This is how we finance the war.
[03:11:32.717 --> 03:11:34.258]  Infowarsstore.com.
[03:11:34.258 --> 03:11:37.662]  And now, taking over, Jack Posobiec, ladies and gentlemen.
[03:11:37.662 --> 03:11:40.345]  Jack, thank you so much for hosting the broadcast, my friend.
[03:11:41.306 --> 03:11:42.467]  Alex, it's great to be back.
[03:11:42.467 --> 03:11:45.648]  Happy Thanksgiving, and dare I say it, Merry Christmas even.
[03:11:45.648 --> 03:11:46.909]  I think we're allowed to say that again now.
[03:11:46.909 --> 03:11:49.350]  Wow, but you're really not being politically correct now.
[03:11:49.350 --> 03:11:50.390]  How dare you?
[03:11:50.390 --> 03:11:51.371]  I'm so sorry.
[03:11:51.371 --> 03:11:52.731]  I'm just going crazy.
[03:11:52.731 --> 03:11:53.732]  It's Cyber Monday.
[03:11:53.732 --> 03:12:00.255]  You know, we saw all the insanity of Black Friday, and now people who are smart aren't going out there and fighting each other.
[03:12:00.655 --> 03:12:06.456]  For, uh, you know, for a new TV and a new computer, they're actually going and just buying stuff online like they can do at the Infowars store.
[03:12:06.456 --> 03:12:13.278]  And notice they're saying this Black Friday is the biggest ever, and the good news is, yeah, sure, Bezos made an extra billion for his anti-American activities.
[03:12:13.278 --> 03:12:15.099]  Became worth $100 billion this week.
[03:12:15.099 --> 03:12:17.719]  But record, people are going to smaller sites now.
[03:12:17.719 --> 03:12:24.501]  There's kind of a kickback, a pushback, a blowback against Amazon right now.
[03:12:25.526 --> 03:12:45.604]  Well there is, because people are finding out so much about how Bezos is essentially misappropriating their money, is spending it for his lobbying in Congress, the way that he was potentially buying out in many ways the Obama administration, the way that he's purchased the Washington Post and has funded all sorts of oppo research crap against Trump and against the Republicans, and people are fed up with it.
[03:12:45.604 --> 03:12:49.008]  The same way they're fed up with the box stores, they're fed up with the fighting, they're fed up with the
[03:12:50.048 --> 03:12:55.109]  Uh, the brawling that goes on in the streets and and they're seeing the program and they want to step out of it.
[03:12:55.109 --> 03:13:08.112]  I mean, Alex, one of the observations I had this weekend looking at Black Friday is look at the how ginned up look at how aggressive they can make people when it comes for a new TV or a laptop that nobody ever needs.
[03:13:08.112 --> 03:13:10.093]  But when you talk about defending liberty,
[03:13:10.393 --> 03:13:16.117]  When you talk about getting back their country, and people just say, oh, whatever, and they swipe to the next thing on their phone.
[03:13:16.117 --> 03:13:17.138]  It's crazy.
[03:13:17.138 --> 03:13:21.080]  And that is why we've got to wake people up, because this is what they're tuned to.
[03:13:21.080 --> 03:13:23.402]  They're tuned and they're programmed to want the TV.
[03:13:23.402 --> 03:13:31.527]  And that's why they're scared of Infowars and you and others, is we have excitement about freedom and show how it's the engine and the progenitor of everything great.
[03:13:31.527 --> 03:13:32.828]  Jack Posobiec, take over.
[03:13:32.828 --> 03:13:36.450]  I'll be back tonight, 8 o'clock central, during the 34-hour broadcast.
[03:13:36.450 --> 03:13:38.152]  Lots of great people today in the lineup.
[03:13:38.152 --> 03:13:39.032]  Back to Jack Posobiec.
[03:13:39.032 --> 03:13:40.093]  Be sure and follow him on Twitter.
[03:13:41.293 --> 03:13:47.136]  Amazing, the 34-hour telecast that goes live now that we're finally a part of.
[03:13:47.136 --> 03:13:55.820]  I'd like to also give a warm and hearty welcome to everyone from Vice and BuzzFeed and all the other left-wing sites out there.
[03:13:55.820 --> 03:13:59.242]  Mike, I don't know if they're watching, ThinkProgress, Daily Kloss, Politico.
[03:13:59.242 --> 03:14:00.682]  See, they actually went in the last 34-hour
[03:14:02.463 --> 03:14:04.984]  34-hour livecast that was done.
[03:14:04.984 --> 03:14:13.046]  Someone from Vice actually sat and watched and tracked every single thing that was on, except that he said, it turned my brain to mush.
[03:14:13.046 --> 03:14:14.767]  I couldn't understand what was going on.
[03:14:14.767 --> 03:14:16.367]  He actually had a conniption fit.
[03:14:16.367 --> 03:14:20.308]  Now, possibly, no, actually, it's not the InfoWars that was turning your brain to mush.
[03:14:20.308 --> 03:14:24.850]  That is the soy-based diet that you've been taking part of for so long.
[03:14:24.850 --> 03:14:26.370]  But don't worry, hopefully we can help you with that.
[03:14:26.710 --> 03:14:37.460]  And if your brain is having problems, then you simply should try the new, uh, the new real red pill, or try the new BrainForce, because then you might actually be able to participate at that level.
[03:14:37.460 --> 03:14:39.061]  Right, turn my brain to lush.
[03:14:39.061 --> 03:14:41.424]  Mark Lark, uh, Lamoureux.
[03:14:41.424 --> 03:14:46.548]  And it was less Fox News and more of a super scary QVC.
[03:14:46.548 --> 03:14:48.010]  And you look at this guy's face and...
[03:14:49.611 --> 03:14:51.652]  I question how much of it was much to begin with.
[03:14:51.652 --> 03:14:53.454]  I mean, I don't think this was 100%.
[03:14:53.454 --> 03:14:55.715]  We didn't have to go to the full 100%.
[03:14:55.715 --> 03:15:03.681]  But I would like to give a firm welcome to Mark and say thank you so much for watching because it only gets better from here.
[03:15:03.681 --> 03:15:06.883]  We've only had our first dose of Alex Jones for the day.
[03:15:06.883 --> 03:15:09.845]  He's going to come back this evening with breaking even more stories.
[03:15:09.845 --> 03:15:11.706]  We've got Jack Posobiec right here.
[03:15:11.706 --> 03:15:13.428]  I'm live from Washington, D.C.
[03:15:13.968 --> 03:15:14.408]  I think so.
[03:15:35.735 --> 03:15:46.418]  Hopefully bring out some news that I've got from my sources as well and tell you all about the amazing Cyber Monday sales that are going just for today at InfoWarsTore.com.
[03:15:46.418 --> 03:15:50.960]  So if you want to get the Cyber Monday sales, the free shipping, go there to InfoWarsTore.com.
[03:15:50.960 --> 03:15:53.501]  You can also get one of my own on Twitter.
[03:15:54.801 --> 03:15:56.262]  Hello, Mr. Anderson.
[03:15:56.262 --> 03:16:00.045]  VNSA has noticed how much time you spend on conservative news sites.
[03:16:00.045 --> 03:16:03.847]  We have no choice but to consider you a domestic terrorist.
[03:16:03.847 --> 03:16:06.549]  Tired of your internet activity being monitored by Big Brother?
[03:16:06.549 --> 03:16:08.230]  Get VirtualShield.com.
[03:16:08.230 --> 03:16:10.471]  The world's easiest to use virtual private network.
[03:16:10.471 --> 03:16:14.294]  Browse the web anonymously, leaving pesky advertisers and spies in the dust.
[03:16:14.294 --> 03:16:16.555]  Get started today at VirtualShield.com.
[03:16:16.555 --> 03:16:18.557]  Take advantage of our free 30-day trial.
[03:16:18.557 --> 03:16:19.918]  VirtualShield.com.
[03:16:19.918 --> 03:16:21.699]  You have the right to remain private.
[03:16:22.381 --> 03:16:24.282]  Fully cooked, ready-to-eat bacon.
[03:16:24.282 --> 03:16:27.503]  I'm talking thick, meaty, center-cut, presidential bacon.
[03:16:27.503 --> 03:16:29.104]  Savory and delicious.
[03:16:29.104 --> 03:16:31.945]  I buy some, I use some, I store some.
[03:16:31.945 --> 03:16:32.605]  Awesome.
[03:16:32.605 --> 03:16:35.686]  No refrigeration needed with a 10-year shelf life.
