[00:00.000 --> 00:01.840]  replace the
[02:27:35.960 --> 02:27:40.760]  were secular just to report on the history of it and to agree with you.
[02:27:40.760 --> 02:27:45.360]  Christmas was banned for about a hundred years in England because of the rioting and murdering
[02:27:45.360 --> 02:27:49.800]  and Santa Claus was like a satanic mascot, like Freddy Krueger.
[02:27:49.800 --> 02:27:54.800]  He wore a striped suit and he was like a horned monkey who, and I'm not saying this
[02:27:54.800 --> 02:27:58.320]  is real folks, this is the folklore, who would run around murdering people.
[02:27:58.320 --> 02:28:02.880]  So the murdering and burning of London went on so bad, they banned it, I think it was
[02:28:02.880 --> 02:28:05.240]  like 70 plus years.
[02:28:05.240 --> 02:28:07.920]  And so, yes, sir, I know all about it.
[02:28:07.920 --> 02:28:09.920]  And so what's the point?
[02:28:09.920 --> 02:28:14.360]  Well, the point is you give so much great information about Skull and Bones and the
[02:28:14.360 --> 02:28:17.280]  Bohemian Grove and all the other cult and satanic things that you do.
[02:28:17.280 --> 02:28:21.160]  But those are people going to that knowingly doing it, world leaders.
[02:28:21.160 --> 02:28:23.440]  But they've deceived us.
[02:28:23.440 --> 02:28:26.920]  I mean, I don't think you're going to go to hell, my friend, if you've got a...
[02:28:26.920 --> 02:28:30.400]  I mean, you know, it's the darker winter, it's nice to have a nice smelling tree in
[02:28:30.400 --> 02:28:31.400]  your house.
[02:28:31.400 --> 02:28:34.800]  I understand the Bible even says, you know, don't go with those that worship under the
[02:28:34.800 --> 02:28:35.800]  trees.
[02:28:35.800 --> 02:28:39.560]  But if you're not worshiping under the tree and the intent isn't that it's something
[02:28:39.560 --> 02:28:48.000]  that's satanic, I mean, you know, my whole point is, sir, that I don't know, man, there's
[02:28:48.000 --> 02:28:53.200]  all these preachers out there who will just constantly, you know, tell you how to live
[02:28:53.200 --> 02:28:54.440]  and tell you do this and do that.
[02:28:54.440 --> 02:28:58.320]  I'm just here doing a news show, I mean, I don't know what you're saying you disagree
[02:28:58.320 --> 02:28:59.320]  with me about.
[02:28:59.320 --> 02:29:03.680]  I'm just disagreeing in the whole point that Christmas isn't something that we should
[02:29:03.680 --> 02:29:04.680]  be promoting.
[02:29:04.680 --> 02:29:07.960]  And I heard last week, I tried to call it a bunch of times, I heard Christmas being
[02:29:07.960 --> 02:29:12.520]  promoted and looked at in a good light, holly jolly Christmas, and I know that's what most
[02:29:12.520 --> 02:29:17.160]  people have attached Christmas to, but we need to realize and see that...
[02:29:17.160 --> 02:29:19.840]  You know, you don't know satire when you hear it.
[02:29:19.840 --> 02:29:23.680]  I was playing that and then talking about all the serious things that were going on
[02:29:23.680 --> 02:29:31.400]  in the world, and now have a holly jolly Christmas is satanic.
[02:29:31.400 --> 02:29:35.320]  I wouldn't say that maybe it is, and maybe we should look into that.
[02:29:35.320 --> 02:29:38.680]  And I know that there's listeners out there that do want to research that type of thing
[02:29:38.680 --> 02:29:41.960]  and do hear about that, and I know there's a lot of things going on.
[02:29:41.960 --> 02:29:46.880]  We've lost 3,000 dead Americans, and I haven't heard that, barely on any news.
[02:29:46.880 --> 02:29:48.920]  And there is other things going on, but I think...
[02:29:48.920 --> 02:29:51.920]  Well, you've heard all that here, brother.
[02:29:51.920 --> 02:29:56.440]  But the religious deception also, I think in 2007, needs to be a greater focal point
[02:29:56.440 --> 02:29:57.440]  for everyone.
[02:29:57.440 --> 02:30:00.720]  And if people do want to get more into the religious deception, they can check out a
[02:30:00.720 --> 02:30:04.560]  broadcast over on the Revere Radio Network, where we're...
[02:30:04.560 --> 02:30:05.560]  Yeah.
[02:30:05.560 --> 02:30:06.560]  Thanks for the call.
[02:30:06.560 --> 02:30:07.560]  We're out of time, man.
[02:30:07.560 --> 02:30:09.160]  I really appreciate it.
[02:30:09.160 --> 02:30:10.160]  All right.
[02:30:10.160 --> 02:30:12.680]  We'll be right back, ladies and gentlemen.
[02:30:12.680 --> 02:30:19.560]  Stay with us.
[02:30:19.560 --> 02:30:23.320]  Here on the march, the empire's on the run.
[02:30:23.320 --> 02:30:27.240]  Alex Jones and the GCN Radio Network.
[02:30:27.240 --> 02:30:34.200]  Attention, attention, everyone, a brand new invention just released.
[02:30:34.200 --> 02:30:39.480]  It's called RIST Ease, the new patented portable ergonomic wrist support.
[02:30:39.480 --> 02:30:44.320]  RIST Ease comforts your wrists from the sometimes painful tasks of typing, writing, using a
[02:30:44.320 --> 02:30:49.440]  mouse or adding machine, unlike most conventional wrist pads that are either attached to a mouse
[02:30:49.440 --> 02:30:55.080]  pad or lay flat in front of your keyboard, RIST Ease is totally portable and ideal for
[02:30:55.080 --> 02:30:59.240]  laptop users and technicians who are constantly on the go.
[02:30:59.240 --> 02:31:03.600]  RIST Ease is perfect for children doing homework or playing video games.
[02:31:03.600 --> 02:31:08.840]  RIST Ease provides the proper comfort and support for all ages and makes a great stocking
[02:31:08.840 --> 02:31:09.840]  stuffer.
[02:31:09.840 --> 02:31:15.080]  Honest, RIST Ease provides comfort for victims of carpal tunnel syndrome and other repetitive
[02:31:15.080 --> 02:31:16.080]  injuries.
[02:31:16.080 --> 02:31:19.440]  You can order RIST EASE now at RIST EASE dot com.
[02:31:19.440 --> 02:31:25.760]  That's RIST EASE, W-R-I-S-T-E-A-S-E, RIST EASE dot com.
[02:31:25.760 --> 02:31:29.760]  Once again, RIST EASE dot com.
[02:31:29.760 --> 02:31:31.680]  Shelly, you look exhausted.
[02:31:31.680 --> 02:31:32.680]  What's wrong?
[02:31:32.680 --> 02:31:33.680]  I am so tired.
[02:31:33.680 --> 02:31:36.280]  I just get so hot at night and can't sleep.
[02:31:36.280 --> 02:31:39.480]  I have tried everything, all kinds of fans, sheets, pillows.
[02:31:39.480 --> 02:31:40.680]  You name it, I've tried it.
[02:31:40.680 --> 02:31:43.200]  My husband has always been a hot sleeper.
[02:31:43.200 --> 02:31:45.040]  He's never had a good night's sleep.
[02:31:45.040 --> 02:31:47.160]  Then we discovered something that really helped.
[02:31:47.160 --> 02:31:49.520]  It's called the bed fan personal cooling system.
[02:31:49.520 --> 02:31:50.520]  The what?
[02:31:50.520 --> 02:31:52.520]  The bed fan personal cooling system.
[02:31:52.520 --> 02:31:56.560]  It will keep you cool all night long and will work for everyone that sleeps hot.
[02:31:56.560 --> 02:32:00.200]  No matter what the reason, you can see it at bedfan dot com.
[02:32:00.200 --> 02:32:01.520]  How well are you sleeping?
[02:32:01.520 --> 02:32:03.720]  Are you getting the rest your body needs?
[02:32:03.720 --> 02:32:07.040]  Sleep disorder centers across the country recommend that you must stay cool to get a
[02:32:07.040 --> 02:32:08.120]  good night's sleep.
[02:32:08.120 --> 02:32:11.720]  The bed fan will keep you cool and give you the restful sleep you deserve.
[02:32:11.720 --> 02:32:15.160]  With our 30 day 100% guarantee, you risk nothing.
[02:32:15.160 --> 02:32:16.240]  Are you a hot sleeper?
[02:32:16.240 --> 02:32:17.840]  Is your partner a hot sleeper?
[02:32:17.840 --> 02:32:20.960]  Or are you looking for the perfect gift for that person who has everything?
[02:32:20.960 --> 02:32:22.680]  The bed fan is the answer.
[02:32:22.680 --> 02:32:30.440]  Visit bedfan dot com, that's bed, F-A-N dot com.
[02:32:30.440 --> 02:32:34.080]  Did you ever wonder how an opera singer that hits a high note is able to shatter a wine
[02:32:34.080 --> 02:32:35.080]  glass?
[02:32:35.080 --> 02:32:36.760]  Well, the glass has a natural resonance.
[02:32:36.760 --> 02:32:40.400]  If the resonant frequency force making the glass vibrate is big enough, the size of the
[02:32:40.400 --> 02:32:43.480]  vibration will become so large that the glass shatters.
[02:32:43.480 --> 02:32:47.160]  Using this similar principle, Royal Raymond Wright discovered that disease organisms can
[02:32:47.160 --> 02:32:49.720]  be destroyed using different resonant frequencies.
[02:32:49.720 --> 02:32:54.320]  The BioSolutions frequency instrument uses the same technology for relief or elimination
[02:32:54.320 --> 02:32:57.400]  of pain and disease conditions with no side effects.
[02:32:57.400 --> 02:33:02.640]  The 2006 BioSolutions Plus is the easiest to operate frequency instrument ever developed.
[02:33:02.640 --> 02:33:06.400]  Its easy reference guide will allow you to begin using the instrument within minutes.
[02:33:06.400 --> 02:33:10.640]  Simple step-by-step instructions using pictures are easy to follow.
[02:33:10.640 --> 02:33:12.960]  Customers satisfaction is guaranteed or your money back.
[02:33:12.960 --> 02:33:15.520]  Don't just treat symptoms, eliminate the cause.
[02:33:15.520 --> 02:33:40.520]  For more information, call BioSolutions toll-free 1-866-885-6625, that's 1-866-885-6625, 1-866-885-6625.
[02:33:40.520 --> 02:33:47.520]  We don't screen your calls, you're welcome to call in with whatever news item, issue,
[02:33:47.520 --> 02:33:50.000]  story, disagree with me, agree, got a question.
[02:33:50.000 --> 02:33:53.880]  But I would ask the listeners, you can call in and talk about Christmas trees all you
[02:33:53.880 --> 02:34:04.840]  want, but at the same time then humor me with what you think is going to happen in the future
[02:34:04.840 --> 02:34:07.640]  with the big stories of this year are going to be.
[02:34:07.640 --> 02:34:09.000]  Are they going to attack Iran?
[02:34:09.000 --> 02:34:10.880]  Are they still beating the war drums?
[02:34:10.880 --> 02:34:15.880]  To do it, they've got four carrier task force groups over there right now in the Persian
[02:34:15.880 --> 02:34:20.880]  Gulf cruising back and forth right off the coast of Iran asking for it.
[02:34:20.880 --> 02:34:27.920]  Will they pull some Gulf of Tonkin event or some USS Liberty style false flag attack
[02:34:27.920 --> 02:34:30.680]  like the main?
[02:34:30.680 --> 02:34:35.680]  Certainly hope not, but you can see the media gearing up for a draft, beating the war drums.
[02:34:35.680 --> 02:34:45.520]  Before I go to John Jeff, Dirtle and Steve and many others that are patiently holding,
[02:34:45.520 --> 02:34:47.560]  we do now have my first seven films.
[02:34:47.560 --> 02:34:52.920]  I've been so busy I never got my first seven films, America destroyed by design, the police
[02:34:52.920 --> 02:34:59.880]  state trilogy, of course the masters of terror, the matrix of evil, comprehensive annual financial
[02:34:59.880 --> 02:35:01.520]  reports exposed.
[02:35:01.520 --> 02:35:04.680]  I never got them on DVD.
[02:35:04.680 --> 02:35:11.000]  But we finally got them on DVD and they're very well done, great menus, great packaging,
[02:35:11.000 --> 02:35:14.640]  but the information is what's important.
[02:35:14.640 --> 02:35:18.240]  And so if you were waiting to get the police state films until they went on DVD, they're
[02:35:18.240 --> 02:35:19.240]  available.
[02:35:19.240 --> 02:35:21.080]  In fact, you get all three of them.
[02:35:21.080 --> 02:35:26.480]  They're only available together now for $34.95.
[02:35:26.480 --> 02:35:30.400]  They're $19.95 by themselves if you get them on VHS.
[02:35:30.400 --> 02:35:32.600]  So that's almost half off.
[02:35:32.600 --> 02:35:46.240]  So 45% off, you want to get exact, $34.95, 45% off, three DVDs in one case to get the
[02:35:46.240 --> 02:35:52.120]  police state trilogy, police state 2000, the takeover and total enslavement, America destroyed
[02:35:52.120 --> 02:35:58.440]  by design, my first film, the masters of terror, comprehensive annual financial reports exposed
[02:35:58.440 --> 02:36:01.880]  in the matrix of evil.
[02:36:01.880 --> 02:36:06.600]  You need to have these films, my friends.
[02:36:06.600 --> 02:36:14.040]  So please go to infowars.com and order them via the Safe Secure online shopping cart or
[02:36:14.040 --> 02:36:24.040]  call toll 31888253-3139-888-2533139.
[02:36:24.040 --> 02:36:33.280]  You can also write to me Alex Jones at 3001 South Lamar, Suite 100, Austin, Texas 787-04.
[02:36:33.280 --> 02:36:37.240]  And of course, we have a loose change second edition, a must have.
[02:36:37.240 --> 02:36:44.000]  We also carry films like America, Freedom to Fascism by Aaron Russo.
[02:36:44.000 --> 02:36:48.920]  Great American, great film, History of the Federal Reserve, the IRS, the whole control
[02:36:48.920 --> 02:36:50.080]  grid you need it.
[02:36:50.080 --> 02:36:53.480]  It's so important to have this in your library and to share with others.
[02:36:53.480 --> 02:36:58.160]  A new film, Terror Storm, folks, with 68 minutes of extras on top of the History of Government
[02:36:58.160 --> 02:37:03.200]  Sponsored Terror, over three hours on one DVD available at infowars.com or by calling
[02:37:03.200 --> 02:37:05.280]  toll free as well.
[02:37:05.280 --> 02:37:11.160]  Films like 9-Eleven Ministries, Demolitions, they're all available at infowars.com, a
[02:37:11.160 --> 02:37:13.800]  whole bunch of other books and videos.
[02:37:13.800 --> 02:37:19.880]  And for another two weeks and then it's done, we're extending the Christmas special, the
[02:37:19.880 --> 02:37:26.840]  holiday special to the New Year's special, where you can get a PrisonPlanet.tv membership.
[02:37:26.840 --> 02:37:33.040]  You can always get a monthly trial membership for $5.95, it's 15 cents a day.
[02:37:33.040 --> 02:37:45.520]  Or you can get a yearly for the next two weeks and get it for almost half off, 5.3 months.
[02:37:45.520 --> 02:37:50.200]  We did the special last year too and Paul said, what's the special, I just said, make
[02:37:50.200 --> 02:37:56.760]  it $39.95 instead of $59.95.
[02:37:56.760 --> 02:38:00.160]  And so it came out to 5.3 months free.
[02:38:00.160 --> 02:38:07.120]  You get almost half off when you get a PrisonPlanet.tv membership.
[02:38:07.120 --> 02:38:11.960]  Now we have it in two different formats on the site, in three different bandwidths per
[02:38:11.960 --> 02:38:14.240]  format.
[02:38:14.240 --> 02:38:18.000]  All my films, I mean we have them in super high quality, even if you have a dial up,
[02:38:18.000 --> 02:38:22.280]  you can sit there and download, it may take hours, if you've got a dial up, just take
[02:38:22.280 --> 02:38:26.280]  a few minutes if you've got a good cable modem or something better.
[02:38:26.280 --> 02:38:31.920]  And then you can download it, super high quality, and then you can burn it to disk, it's very
[02:38:31.920 --> 02:38:33.160]  simple.
[02:38:33.160 --> 02:38:36.040]  We don't just need the techie people out there doing this, which they have been and I commend
[02:38:36.040 --> 02:38:37.040]  them.
[02:38:37.040 --> 02:38:39.440]  We need those of you out there who are kind of like me, you know, but you could figure
[02:38:39.440 --> 02:38:42.560]  it out, it's not that hard.
[02:38:42.560 --> 02:38:43.560]  Incredible activist tool.
[02:38:43.560 --> 02:38:46.680]  My weekly TV reports are always put up there.
[02:38:46.680 --> 02:38:50.720]  My special video reports, my in studio interview reports.
[02:38:50.720 --> 02:38:53.440]  We got three big reports by the way this week coming out.
[02:38:53.440 --> 02:38:58.400]  We've got one on New Orleans with some never before seen footage of the dead bodies, the
[02:38:58.400 --> 02:39:03.680]  gun confiscation, the trips coming out, Aaron's been working on this for two and a half weeks,
[02:39:03.680 --> 02:39:04.680]  okay.
[02:39:04.680 --> 02:39:09.040]  I mean I've got an employee working hours every day just on this one report, just for
[02:39:09.040 --> 02:39:11.080]  PrisonPlanet.tv members.
[02:39:11.080 --> 02:39:16.640]  We went down to the capitol and around downtown and showed all the occultic icons, a new old
[02:39:16.640 --> 02:39:21.880]  order Illuminati stuff down there, huge black pentagram they've got down by the capitol.
[02:39:21.880 --> 02:39:29.360]  They admit the whole capitol is a dianam slash Athena temple.
[02:39:29.360 --> 02:39:37.480]  We've got Romans called her dianam, I guess, and the Greeks called her Athena, but we show
[02:39:37.480 --> 02:39:41.720]  all that, that's going to be about a 45 minute report coming out this week.
[02:39:41.720 --> 02:39:46.880]  Two interviews we did with Barbara McLeod, one of the main anthropologists on Pocalypto,
[02:39:46.880 --> 02:39:51.080]  that's going to be up there this week, and I've got a couple TV shows going up.
[02:39:51.080 --> 02:39:58.120]  PrisonPlanet.tv is such an amazing deal, but it's the activist tool, whether it's
[02:39:58.120 --> 02:40:07.000]  Matrix of Evil, or Road to Terrany, or Marshall Law, or Terror Storm, go in there and we have
[02:40:07.000 --> 02:40:12.280]  it super high bandwidth, high bandwidth, medium and low.
[02:40:12.280 --> 02:40:20.000]  Terror Storm is in four formats, or four grades, everything else is in two or three, but summer
[02:40:20.000 --> 02:40:24.360]  and two, summer and three, summer and four, special reports a lot of times are in four
[02:40:24.360 --> 02:40:26.000]  different bandwidth qualities.
[02:40:26.000 --> 02:40:31.880]  When you download it in the highest quality, it looks almost as good as television.
[02:40:31.880 --> 02:40:34.720]  Every once in a while you might just see a little pixelation or a little break up here
[02:40:34.720 --> 02:40:42.280]  or there, but it's very viewable, very watchable, in the super high quality or the high bandwidth,
[02:40:42.280 --> 02:40:43.840]  those two grades.
[02:40:43.840 --> 02:40:49.600]  What an activist tool, just for like 50 cents a piece or something, go buy 100 of them,
[02:40:49.600 --> 02:40:54.000]  get on there, and it just takes a few minutes to burn each desk, depending on your computer,
[02:40:54.000 --> 02:40:59.360]  you just burn, burn, burn, burn, burn, burn, burn, burn, burn, burn, burn, burn, burn,
[02:40:59.360 --> 02:41:06.840]  burn, burn, burn, burn, I mean, have an effect, or get the original high quality DVDs from
[02:41:06.840 --> 02:41:11.400]  us, it looks super good and make copies off of those, okay, I'm done talking about it,
[02:41:11.400 --> 02:41:16.240]  Prism Planet Dot TV, let's go back to your calls, and no matter how good your calls are,
[02:41:16.240 --> 02:41:20.840]  I gotta move quick, I always say that, I'm trying, I'm trying, John in Texas, go ahead.
[02:41:20.840 --> 02:41:21.840]  Hi, Alex.
[02:41:21.840 --> 02:41:22.840]  Hi.
[02:41:22.840 --> 02:41:27.080]  A little while ago, you played a clip from the Walt Disney cartoon talking about the
[02:41:27.080 --> 02:41:32.320]  New World Order, so I got an idea, I went back, I got your road to tyranny tape, and
[02:41:32.320 --> 02:41:35.960]  I took off all the comments, the politicians commenting about the New World Order, and I
[02:41:35.960 --> 02:41:41.080]  went and researched my World War II era war movies, and got all those Nazi and Japanese
[02:41:41.080 --> 02:41:44.960]  villains quoting the New World Order, and I intercut them on an audio tape.
[02:41:44.960 --> 02:41:49.600]  Okay, I'm begging you, sir, because I haven't been making a film right now, and literally
[02:41:49.600 --> 02:41:54.720]  last night I was scouring different research databases, looking for war movies where they
[02:41:54.720 --> 02:41:58.560]  say New World Order, and I'm having a lot of trouble, I've only got like four instances
[02:41:58.560 --> 02:42:02.960]  of it, I know it was in hundreds of things, is there any way I'm begging you that you
[02:42:02.960 --> 02:42:05.720]  can send me copies of those videos?
[02:42:05.720 --> 02:42:09.600]  All right, well, I can play it, I can play it, I got it all set up, I can play it.
[02:42:09.600 --> 02:42:13.400]  No, no, no, no, listen, I know you can play it, but I need it for a film I made, I'll
[02:42:13.400 --> 02:42:14.400]  stop.
[02:42:14.400 --> 02:42:18.360]  Listen, listen, put a note in there when you send it that you want 10 free films, okay,
[02:42:18.360 --> 02:42:20.200]  that'll be your payment for your trouble.
[02:42:20.200 --> 02:42:24.200]  Will you, I need your help, will you send it, and will you mark what it is when you,
[02:42:24.200 --> 02:42:27.960]  I mean, do you have these on VHS, or you know what, just tell me the names of the films.
[02:42:27.960 --> 02:42:29.920]  I'll write the titles down, you know.
[02:42:29.920 --> 02:42:33.560]  Well, it'd be even better for you if you just had them to send them to me or send me copies,
[02:42:33.560 --> 02:42:36.880]  but right now, tell me the names of the titles.
[02:42:36.880 --> 02:42:41.440]  Well, China, China with who?
[02:42:41.440 --> 02:42:43.480]  With Alan Ladd and William Bendix.
[02:42:43.480 --> 02:42:46.000]  Wait a minute, you sent me that, didn't you?
[02:42:46.000 --> 02:42:49.920]  I sent it and I don't know, it disappeared, I never heard anything more about it.
[02:42:49.920 --> 02:42:56.120]  No, no, no, that came in, I watched it, but in that, in the clip I got off of it, you
[02:42:56.120 --> 02:42:58.920]  played, they were talking about standing up against evil or something.
[02:42:58.920 --> 02:42:59.920]  Yeah, yeah.
[02:42:59.920 --> 02:43:04.440]  Okay, well, I didn't know that, listen, I promise you, sir, we get what you send, okay,
[02:43:04.440 --> 02:43:07.720]  because I recognize your voice, you sent that a year ago, right?
[02:43:07.720 --> 02:43:08.720]  Yeah.
[02:43:08.720 --> 02:43:11.760]  Okay, and remember you're sending, listen, send it all to me again, brother, I need
[02:43:11.760 --> 02:43:13.800]  your help, can you send it quick?
[02:43:13.800 --> 02:43:20.560]  Yes, but I'd have to, I want a full number or, when I'm done up, can you go on?
[02:43:20.560 --> 02:43:23.960]  You know what, I'll do you one better, I'll give you our UPS number so the shipping's
[02:43:23.960 --> 02:43:24.960]  even paid for.
[02:43:24.960 --> 02:43:25.960]  Yeah, that'd be fine.
[02:43:25.960 --> 02:43:30.720]  So, John, when he's done, put him on hold and give him my cell number and give him
[02:43:30.720 --> 02:43:32.320]  my office number, okay?
[02:43:32.320 --> 02:43:33.320]  And then get me his number.
[02:43:33.320 --> 02:43:34.320]  You want to hear this?
[02:43:34.320 --> 02:43:35.320]  Yeah, I want to hear it, go ahead.
[02:43:35.320 --> 02:43:39.320]  All right, hang on.
[02:43:39.320 --> 02:43:42.320]  This is the type of listeners that we like right here.
[02:43:42.320 --> 02:43:50.560]  It is a big idea, and it's the world order, we're dying to be careful as the imperial
[02:43:50.560 --> 02:43:55.640]  Japanese government, because we and the Allies, as we all do, are good of all nations concerned,
[02:43:55.640 --> 02:43:58.640]  and determined to establish a new world order.
[02:43:58.640 --> 02:44:18.400]  And in the name of the new USAID, to use this disaster, to pay out what his father, he crazed
[02:44:18.400 --> 02:44:23.400]  his father used, I think, only once, and hasn't been used since, and that is a new world order.
[02:44:23.400 --> 02:44:30.400]  I believe that the new order expected what you're welcome to, and I'm not guessed to be
[02:44:30.400 --> 02:44:34.400]  the leader of the new order, is a group of men, all of them dishonest like yourself.
[02:44:34.400 --> 02:44:39.400]  And of course, it's not even in the United States to make way for the new order, in order
[02:44:39.400 --> 02:44:44.400]  that we're being about the liberation of the enslaved people of America.
[02:44:44.400 --> 02:44:49.400]  Each of these men, dishonest by your corrupt form of government, is a specialist.
[02:44:49.400 --> 02:44:53.400]  We're having this discussion right now with the political leaders, and we're probably
[02:44:53.400 --> 02:44:59.400]  going to be asked to do some things that many people might not like, because it's going
[02:44:59.400 --> 02:45:04.400]  to call into question some of the freedoms that we have had.
[02:45:04.400 --> 02:45:08.400]  Well, far too beautiful to act like a child.
[02:45:08.400 --> 02:45:10.400]  A new day has gone, my dear.
[02:45:10.400 --> 02:45:16.400]  And you're expected me to share this story, rejected them.
[02:45:16.400 --> 02:45:17.400]  That's all I got, bro.
[02:45:17.400 --> 02:45:19.400]  Yeah, did you record those onto a tape recorder?
[02:45:19.400 --> 02:45:20.400]  They sound horrible.
[02:45:20.400 --> 02:45:21.400]  Okay.
[02:45:21.400 --> 02:45:24.400]  But I play the people, it sort of floors them, Alex.
[02:45:24.400 --> 02:45:25.400]  No, no, no, I understand.
[02:45:25.400 --> 02:45:28.400]  But you recorded that off a tape recorder off TV audio, right?
[02:45:28.400 --> 02:45:29.400]  Yeah.
[02:45:29.400 --> 02:45:31.400]  Okay, listen, it'll be so good, sir.
[02:45:31.400 --> 02:45:34.400]  You can send me the actual original videos.
[02:45:34.400 --> 02:45:35.400]  You have my word.
[02:45:35.400 --> 02:45:39.400]  We will take the stuff off your videos, and we will ship them back to you with a bunch
[02:45:39.400 --> 02:45:40.400]  of my films.
[02:45:40.400 --> 02:45:45.400]  But tell me the name of the, because I heard three separate ones I hadn't heard.
[02:45:45.400 --> 02:45:48.400]  I was hearing some Chinese, I think, or some Asian.
[02:45:48.400 --> 02:45:51.400]  I was hearing some German accents.
[02:45:51.400 --> 02:45:52.400]  What were those from?
[02:45:52.400 --> 02:45:53.400]  Okay.
[02:45:53.400 --> 02:45:55.400]  First one was from a movie, China.
[02:45:55.400 --> 02:46:04.400]  The second one was from three stooges, short, called, I think it was, I'd have to go back
[02:46:04.400 --> 02:46:12.400]  and look at, again, the Batman serial was the other one I got with Lewis Wilson that
[02:46:12.400 --> 02:46:14.400]  was in it.
[02:46:14.400 --> 02:46:18.560]  Well, that's the thing is that Hitler called for it, the Bushes were their main agents
[02:46:18.560 --> 02:46:22.400]  in the U.S., and then Bush seniors calling for a new world order.
[02:46:22.400 --> 02:46:24.760]  Stalin called for it, Mao called for it.
[02:46:24.760 --> 02:46:27.400]  It means a world wide dictatorship, boys and girls.
[02:46:27.400 --> 02:46:28.400]  Yeah.
[02:46:28.400 --> 02:46:31.400]  Well, like I said, I took this around and played it to people, and they said, they're
[02:46:31.400 --> 02:46:32.400]  sitting there dumbfounded.
[02:46:32.400 --> 02:46:33.400]  I said, man, that's really scary.
[02:46:33.400 --> 02:46:35.400]  I said, yeah, you should be scared.
[02:46:35.400 --> 02:46:38.400]  But I researched it, and I'll get it to you.
[02:46:38.400 --> 02:46:41.400]  Have your screener give me the number, and I'll...
[02:46:41.400 --> 02:46:42.400]  Sure.
[02:46:42.400 --> 02:46:48.400]  I'll give us your number too, John, but listen, I mean, don't you have the videos there with
[02:46:48.400 --> 02:46:49.400]  you?
[02:46:49.400 --> 02:46:50.400]  Yeah, I got them in my collection.
[02:46:50.400 --> 02:46:51.400]  Okay.
[02:46:51.400 --> 02:46:54.400]  Well, if you want to dub them off, or you can trust me, you can send me the original...
[02:46:54.400 --> 02:46:55.400]  I'll send them to you.
[02:46:55.400 --> 02:46:57.400]  Just send me where to send them for I make sure you get them.
[02:46:57.400 --> 02:46:58.400]  Okay.
[02:46:58.400 --> 02:47:06.400]  And then also, also, do me a favor, cue the tapes right up to the spots.
[02:47:06.400 --> 02:47:08.400]  What's that?
[02:47:08.400 --> 02:47:10.400]  Will you cue the tapes up to the...
[02:47:10.400 --> 02:47:13.400]  Or will you get them out of boxes where you go right to them there?
[02:47:13.400 --> 02:47:14.400]  Sure.
[02:47:14.400 --> 02:47:15.400]  Okay.
[02:47:15.400 --> 02:47:16.400]  I'll put you on hold.
[02:47:16.400 --> 02:47:18.400]  Get his number, please, John, and give me...
[02:47:18.400 --> 02:47:23.900]  I'll give him my number, then get his number for me, thanks, for salivating over clips
[02:47:23.900 --> 02:47:24.900]  on the air.
[02:47:24.900 --> 02:47:26.400]  Because I just want to warn people.
[02:47:26.400 --> 02:47:30.400]  I mean, these guys are openly announcing war on us, and when they say new war, boys and
[02:47:30.400 --> 02:47:35.400]  girls, that means war on you, war on your freedom, war on your bank account, war on your
[02:47:35.400 --> 02:47:36.400]  family.
[02:47:36.400 --> 02:47:38.400]  And that's what's so frustrating.
[02:47:38.400 --> 02:47:40.400]  The New World Order has destroyed the U.S.
[02:47:40.400 --> 02:47:41.400]  The U.S. is no more.
[02:47:41.400 --> 02:47:43.400]  We are in the North American Union.
[02:47:43.400 --> 02:47:45.400]  Now we've got to get America back.
[02:47:45.400 --> 02:47:48.400]  But we can't even admit when the country's in a union.
[02:47:48.400 --> 02:47:49.400]  I mean, we have...
[02:47:49.400 --> 02:47:53.400]  That's bigger than 1776, and the average person still doesn't know.
[02:47:53.400 --> 02:47:55.400]  This is the magnitude.
[02:47:55.400 --> 02:48:01.400]  Jeff in Oklahoma, where it's freezing cold, and by the way, 12 dead from Colorado to
[02:48:01.400 --> 02:48:03.400]  Kansas, really dangerous out there.
[02:48:03.400 --> 02:48:05.400]  We pray for all those in these blizzards.
[02:48:05.400 --> 02:48:09.400]  I don't know, some people are still on their way out to the ski slopes.
[02:48:09.400 --> 02:48:10.400]  Completely insane.
[02:48:10.400 --> 02:48:13.400]  I have personal friends who are on their way there right now.
[02:48:13.400 --> 02:48:15.400]  But go ahead, Jeff in Oklahoma.
[02:48:15.400 --> 02:48:16.400]  Hi, Alex.
[02:48:16.400 --> 02:48:18.400]  Thanks for having my call.
[02:48:18.400 --> 02:48:20.400]  I'm a first-time caller.
[02:48:20.400 --> 02:48:21.400]  Welcome.
[02:48:21.400 --> 02:48:24.400]  And a first-time listener.
[02:48:24.400 --> 02:48:33.400]  I recently, a few weeks ago, got to watch the entire 9-11 Road to tyranny video on Google.
[02:48:33.400 --> 02:48:40.400]  And it was very interesting to see how the towers and building 7 collapsed.
[02:48:40.400 --> 02:48:49.400]  And I noticed that on there, you were saying that it looked like a controlled demolition
[02:48:49.400 --> 02:48:50.400]  job.
[02:48:50.400 --> 02:48:53.400]  And as you...
[02:48:53.400 --> 02:48:57.400]  As on it, it showed the plane crashing into one of the World Trade Center...
[02:48:57.400 --> 02:49:00.400]  World Trade Center towers.
[02:49:00.400 --> 02:49:07.400]  And I looked at how it collapsed, and I was asking myself, okay, how could a plane cause
