[00:00:05.563 --> 00:00:06.103]  Forget it!
[03:41:40.170 --> 03:41:42.051]  It's The Creature from Jekyll Island.
[03:41:42.051 --> 03:41:44.792]  Okay, Ted has that deal.
[03:41:44.792 --> 03:41:45.813]  The book sells for $25 in stores.
[03:41:48.482 --> 03:41:57.429]  Ted has that deal, and he gives you a silver dollar, which you're selling for 20-25 bucks everywhere, and the shipping for $26.
[03:41:57.429 --> 03:41:59.110]  Okay?
[03:41:59.110 --> 03:42:05.054]  So understand, Ted is losing, what, at least 15 bucks on that deal, Ted?
[03:42:05.054 --> 03:42:06.996]  Yeah, but it's an educational thing.
[03:42:06.996 --> 03:42:08.036]  People need to know this.
[03:42:08.036 --> 03:42:15.722]  Alex, what really makes me happy is we have sent out cases and cases and cases and cases and cases of these books.
[03:42:16.454 --> 03:42:20.937]  All over the United States and even across the world, people are waking up.
[03:42:20.937 --> 03:42:21.878]  That's the thing.
[03:42:21.878 --> 03:42:26.281]  That's why we have protests on the Federal Reserve System.
[03:42:26.281 --> 03:42:30.565]  That's why people understand now that the banking system is a... That's right.
[03:42:30.565 --> 03:42:36.069]  10 years ago, 20 years ago, 30 years ago, there might be one lone guy out protesting a Fed and the cops would arrest him.
[03:42:36.069 --> 03:42:39.971]  Now, at 38 locations, on average about 200 people showed up.
[03:42:39.971 --> 03:42:40.892]  That's almost 6,000 people total.
[03:42:42.373 --> 03:42:49.856]  The one I went to had about 300 in Dallas, and again, the people are identifying the enemy on C-SPAN.
[03:42:49.856 --> 03:42:53.017]  The Congress is saying, the private Federal Reserve is robbing us.
[03:42:53.017 --> 03:42:54.198]  You ran a scam.
[03:42:54.198 --> 03:42:55.838]  This is a Ponzi scheme.
[03:42:55.838 --> 03:42:58.780]  We have a chance of identifying the enemy and waking the public up.
[03:42:58.780 --> 03:43:01.801]  If you want the creature from Jekyll Island, silver dollar deal.
[03:43:02.421 --> 03:43:02.802]  I don't know.
[03:43:22.183 --> 03:43:25.545]  It's just, to me, that just makes me happy.
[03:43:25.545 --> 03:43:30.208]  So if somebody's watching this six months from now on a BitTorrent, that deal is still there.
[03:43:30.208 --> 03:43:43.557]  But just for today, until midnight, you have got those deals at gold at the $7.70 level, with gold right up at $8.90 right now, $800, $6.86, $2.00, $2.00, $3.00, $7.00.
[03:43:43.557 --> 03:43:47.940]  And again, you have 50 of the Buffalos first come, first served.
[03:43:47.940 --> 03:43:48.380]  Correct, Ted?
[03:43:48.780 --> 03:43:49.841]  Yep, yep, I will.
[03:43:49.841 --> 03:43:51.463]  I'll guarantee 50 coins.
[03:43:51.463 --> 03:43:53.125]  And you can't find these anywhere.
[03:43:53.125 --> 03:43:56.628]  I mean, I'm seeing these selling for $1,200, $1,300 a piece.
[03:43:56.628 --> 03:43:59.932]  One or two lots, if you can find them online or at gold dealers shops.
[03:43:59.932 --> 03:44:01.153]  Believe me, I go around looking.
[03:44:01.153 --> 03:44:02.935]  Ted, tell them how much you got them for.
[03:44:02.935 --> 03:44:05.377]  Right now, I have the coin at $1,036.
[03:44:05.377 --> 03:44:09.862]  Now, mind you, gold has almost gone up 50 bucks since I offered them at that price, too.
[03:44:10.182 --> 03:44:13.763]  And let's explain, this is a premium on this, because you bought them for this.
[03:44:13.763 --> 03:44:17.745]  You're literally selling them at cost, as a loss leader here, folks.
[03:44:17.745 --> 03:44:19.026]  Okay?
[03:44:19.026 --> 03:44:26.689]  And now, pound for pound, ounce for ounce for gold, though, the Franks and the Sovereigns are the best deal to get at 800-686-2237.
[03:44:26.689 --> 03:44:30.170]  Yeah, they sure are.
[03:44:30.170 --> 03:44:32.311]  Plus also those Silver Walking Liberty halves.
[03:44:32.311 --> 03:44:39.974]  I mean, again, it's so important that people have small fractional pieces of silver, and they have small fractional pieces of gold.
[03:44:40.424 --> 03:44:51.043]  I mean, there are literally tens of thousands of people that have taken advantage of these offers here at Midas, and people that have done it in the past are looking at really nice, big...
[03:44:55.953 --> 03:44:56.533]  Absolutely.
[03:44:56.533 --> 03:44:57.394]  It's for security.
[03:44:57.394 --> 03:44:57.534]  800-686-2237.
[03:44:57.534 --> 03:45:01.819]  Ted, I want you to have a fantastic New Year.
[03:45:01.819 --> 03:45:06.203]  And again, is this deal held through midnight or can people call on New Year's Day?
[03:45:06.203 --> 03:45:11.108]  They can call right through New Year's and we'll keep it right on going right through the business day on Friday.
[03:45:11.108 --> 03:45:14.472]  And if prices hold and we can still do it, we'll do something with you then too.
[03:45:14.992 --> 03:45:18.573]  Okay, because I got the idea earlier, some days you say, no, this is it, this is the only day.
[03:45:18.573 --> 03:45:37.519]  There are times when the market's going up like it is and I know that supplies are getting tight for me and I've got to look at my next buy, you know, and I know the prices are up, then I have to raise them because I can't afford to pay for this radio network and do everything else I do and also sell the coins at a loss, you know, it's just not possible.
[03:45:38.084 --> 03:45:43.109]  And so, you know, I am bound to economic terms just like everybody else in business.
[03:45:43.109 --> 03:45:48.594]  Well, you know, I get so jam-packed with news early in the show that we end up having you on here at the end of the show.
[03:45:48.594 --> 03:45:52.738]  Next week I want to have you on in the first few hours of the show, but I wanted to have you on this week.
[03:45:53.018 --> 03:45:55.360]  Well, in bulk right now, you're still, I mean, they're about 19, 20 bucks to get on.
[03:46:18.254 --> 03:46:22.860]  Thirty-three dollars for the coin and the book.
[03:46:22.860 --> 03:46:27.405]  Yeah, we ship it through the post office, you know, priority mail, it's six dollars.
[03:46:27.405 --> 03:46:32.272]  And then that's six dollars, so you're talking a thirty-seven, thirty-eight dollars you're putting into this for $26.45.
[03:46:34.062 --> 03:46:36.143]  Yeah, but it's an educational thing, Alex.
[03:46:36.143 --> 03:46:37.564]  People really need to wake up.
[03:46:37.564 --> 03:46:37.944]  No, I know.
[03:46:37.944 --> 03:46:42.347]  You spent a hundred grand of your own money, didn't you, flying Ron Paul banners around.
[03:46:42.347 --> 03:46:46.089]  I mean, Ted is really giving you a great deal because he loves this audience.
[03:46:46.089 --> 03:46:47.850]  Other people don't get this deal when they call.
[03:46:47.850 --> 03:46:52.873]  He already has competitive deals, but this audience, tell them it's the radio deal, 800-686-2237.
[03:46:52.873 --> 03:46:55.955]  Get yourself a creature from Jekyll Island.
[03:46:55.955 --> 03:46:57.896]  Let's say you know all about the Federal Reserve.
[03:46:57.896 --> 03:47:03.360]  Give the book to somebody that reads, somebody in your family that you know will look at it, and then keep the silver dollar.
[03:47:03.840 --> 03:47:08.701]  I mean, you've basically gotten a good deal on the silver dollar and then gotten a free gift to give somebody to wake them up.
[03:47:08.701 --> 03:47:09.942]  That's how we defeat the enemy.
[03:47:09.942 --> 03:47:11.702]  And yes, this show needs capital.
[03:47:11.702 --> 03:47:15.083]  Go to InfoWars.com and get the books and videos we offer there.
[03:47:15.083 --> 03:47:17.043]  We need your support and we can do more.
[03:47:17.043 --> 03:47:18.864]  Ted, have a great new year, my friend.
[03:47:18.864 --> 03:47:19.524]  Yeah, you too, Alex.
[03:47:19.524 --> 03:47:21.245]  All right, I'm going to come back.
[03:47:21.245 --> 03:47:22.005]  Final segment.
[03:47:22.005 --> 03:47:24.545]  Dr. Justin Rich, Chris, stay with us.
[03:47:24.545 --> 03:47:26.846]  Final segment of the year.
[03:47:26.846 --> 03:47:27.686]  Stay with us.
[03:47:27.686 --> 03:47:29.107]  Who will be the last caller of the year?
[03:47:35.262 --> 03:47:38.785]  More than 700 chemicals have been found in our drinking water.
[03:47:38.785 --> 03:47:44.189]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[03:47:44.189 --> 03:47:49.353]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[03:47:49.353 --> 03:48:00.462]  The KDF Dual Media Shower Filter works with both hot and cold water, and is designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[03:48:00.862 --> 03:48:06.644]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons, or one year, whichever comes first.
[03:48:06.644 --> 03:48:12.905]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[03:48:12.905 --> 03:48:13.946]  What about you?
[03:48:13.946 --> 03:48:20.368]  Order your KDF Shower Filter normally, $49 for our special price of only $39.99, with free shipping.
[03:48:20.368 --> 03:48:22.508]  Call the Berkey guy and order now by calling 1-877-886-3653.
[03:48:25.871 --> 03:48:28.819]  That's 1-877-886-3653, or simply click on the banner at GCNLive.com to order online now!
[03:48:34.736 --> 03:48:37.597]  Terror Storm, a history of government-sponsored terror.
[03:48:37.597 --> 03:48:39.157]  Loose Change, Final Cut.
[03:48:39.157 --> 03:48:41.317]  Endgame, Blueprint for Global Enslavement.
[03:48:41.317 --> 03:48:43.218]  The True Story of the Bilderberg Group.
[03:48:43.218 --> 03:48:44.718]  The Late Great USA.
[03:48:44.718 --> 03:48:46.478]  America, Freedom to Fascism.
[03:48:46.478 --> 03:48:53.480]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[03:48:53.480 --> 03:48:57.560]  When you visit prisonplanet.com, you can connect to our amazing online store.
[03:48:57.560 --> 03:49:00.941]  Whether you're looking for survival and wellness products like Berkey water filters,
[03:49:01.261 --> 03:49:01.742]  We're good to go.
[03:49:21.275 --> 03:49:31.870]  Knowledge is power, and the information you need to effectively wake up your fellow man and fight the New World Order is available right now at truthnews.us and prisonplanet.tv.
[03:49:31.870 --> 03:49:33.352]  Join the info war today!
[03:49:34.053 --> 03:49:39.877]  Doctors around the world claim that cancer and other diseases cannot live in a pH-balanced alkaline environment.
[03:49:39.877 --> 03:49:45.321]  But as you know, most people are overly acidic due to stress, acidic diet, and lack of exercise.
[03:49:45.321 --> 03:49:50.685]  pH balance is the foundation of energy abundance and perfect health, as well as prevention of disease.
[03:49:50.685 --> 03:49:54.268]  People who alkalize the water they drink experience normalized blood sugar.
[03:49:54.548 --> 03:49:56.590]  Mental clarity and loss of weight.
[03:49:56.590 --> 03:50:02.814]  It was intended for human beings to drink alkaline water, but due to modern way of life, most people are overly acidic.
[03:50:02.814 --> 03:50:06.617]  The fact is that disease simply cannot exist in an alkaline environment.
[03:50:06.617 --> 03:50:11.421]  Fat accumulates if a person consumes too much acid on a regular basis and doesn't neutralize it.
[03:50:11.421 --> 03:50:12.481]  Do your part.
[03:50:12.481 --> 03:50:15.083]  Alkalize and supercharge your body now!
[03:50:15.083 --> 03:50:21.208]  AlkaVision Plasma pH Drops contain a special mineral salt concentrate that raises the pH of the water you drink
[03:50:21.448 --> 03:50:22.308]  Hey, punch this up!
[03:50:22.308 --> 03:50:23.589]  We didn't get to play Ted's, uh...
[03:50:50.507 --> 03:50:51.747]  I think so.
[03:51:18.246 --> 03:51:20.387]  Alright, that's enough, that's enough.
[03:51:20.387 --> 03:51:22.548]  I want to know where the gold at.
[03:51:22.548 --> 03:51:24.469]  Look at that crack head.
[03:51:24.469 --> 03:51:28.971]  What's going on with... Who's first up here?
[03:51:28.971 --> 03:51:29.991]  Justin in Illinois.
[03:51:29.991 --> 03:51:32.372]  You are on the air worldwide.
[03:51:32.372 --> 03:51:33.393]  Yes sir, Alex.
[03:51:33.393 --> 03:51:37.675]  Thank you for speaking truth to tyranny as always.
[03:51:37.675 --> 03:51:41.957]  God bless 2008 for being another year of the Ron Paul revolution.
[03:51:43.277 --> 03:51:46.058]  Hopefully 2009 we will continue our awakening.
[03:51:46.058 --> 03:51:54.382]  Hopefully we will use the enemy's operation to unmask them and we will use the opportunity that the public is awakening and listening to the truth now.
[03:51:54.382 --> 03:51:55.483]  Yes!
[03:51:55.483 --> 03:52:05.087]  Absolutely and we're going to continue to prove that Obama is just more of the same and that like according to the Washington Times article from last week
[03:52:05.757 --> 03:52:09.899]  Where he's keeping 150 Bush political appointees at the Pentagon.
[03:52:09.899 --> 03:52:11.100]  What more do people need, Alex?
[03:52:11.100 --> 03:52:17.043]  Well, take the new guy who's the head of the NAFTA and GATT operations who openly wants a North American Union.
[03:52:17.043 --> 03:52:21.206]  That's his new head of trade when Obama said he was going to get rid of NAFTA and GATT.
[03:52:21.206 --> 03:52:22.406]  Total betrayal.
[03:52:22.406 --> 03:52:23.807]  Oh, that's the trade representative.
[03:52:23.807 --> 03:52:24.248]  The U.S.
[03:52:24.248 --> 03:52:26.669]  trade representative who's unaccountable to the Congress.
[03:52:27.885 --> 03:52:30.667]  Well, Congress, I never got to it today.
[03:52:30.667 --> 03:52:42.397]  Congress, as an InfoWars story that was in the Associated Press, is bitching at NORTHCOM, saying, you've signed deals to use foreign troops, you've signed deals to put troops on our streets, you didn't consult us!
[03:52:42.397 --> 03:52:45.059]  I mean, this is happening, ladies and gentlemen.
[03:52:45.059 --> 03:52:46.681]  That's right.
[03:52:46.681 --> 03:52:48.542]  Good to hear from you, God bless you.
[03:52:48.542 --> 03:52:51.124]  Rich, in North Carolina, you're on the air, Rich.
[03:52:51.124 --> 03:52:51.745]  Hit me hard.
[03:52:51.745 --> 03:52:52.325]  Let's go.
[03:52:52.325 --> 03:52:54.087]  Right on, thanks for taking my call, Alex.
[03:52:54.087 --> 03:52:55.408]  I'm a Marine Corps vet, and
[03:52:56.127 --> 03:53:04.113]  I hold degrees in psychology and philosophy, and I'm not saying that to brag, I'm just saying that I've been on the inside of the machine on many levels.
[03:53:04.113 --> 03:53:11.218]  My so-called psych education, which by the way was at Western Carolina University, where they did a lot of the Human Genome Project, that education disturbed me.
[03:53:11.218 --> 03:53:17.062]  I'll give you an example, the Milgram experiments, and something else more important to me was the concept of learned helplessness.
[03:53:17.062 --> 03:53:25.509]  The experiments where they would place puppies into cubicles with electric torture plates and consecutively shock the poor animals to the point of utter submission.
[03:53:26.656 --> 03:53:30.179]  Now further, while I was in the Marine Corps, I spent some time in Guantanamo.
[03:53:30.179 --> 03:53:30.459]  Absolutely.
[03:53:49.864 --> 03:53:56.709]  Something like 90% of people, one of them was 70, to torture people to death if they were ordered to do so, right?
[03:53:56.709 --> 03:53:57.730]  Yes, sir.
[03:53:57.730 --> 03:54:02.634]  And then they've done it with rats and puppies on how to shock the public into submission.
[03:54:02.634 --> 03:54:07.078]  Take us out, and then I'm going to finish up an overdrive with you, because it's a special show into the year.
[03:54:07.078 --> 03:54:08.179]  We'll do 20 minutes of overdrive.
[03:54:08.179 --> 03:54:09.980]  But I'm going to keep you on the Genesis line.
[03:54:09.980 --> 03:54:13.283]  I'll go a few minutes over on then, and then we'll put up the number for everybody else.
[03:54:13.283 --> 03:54:15.564]  Rich and Chris and Ronnie and Rosalia.
[03:54:18.485 --> 03:54:36.672]  What they would do is put a puppy inside of a cage and inside it they have this electric shock plate and they would call the puppy or pull it over with food or some other means to get it over and then they would shock and of course the animal is going to react and jump away.
[03:54:37.150 --> 03:54:41.232]  Well then, in the next stage, they would put a larger plate in.
[03:54:41.232 --> 03:54:45.714]  They would continue to increase the size of the plate until it was completely covered the bottom of the cage.
[03:54:45.714 --> 03:54:51.457]  So the dog actually had nowhere to run, nowhere to hide, and it would cower in the corner while being shocked.
[03:54:51.457 --> 03:54:52.417]  Just shivering.
[03:54:53.871 --> 03:54:58.974]  And they're testing with the television, the culture, to train us to do that.
[03:54:58.974 --> 03:55:00.234]  Stay there.
[03:55:00.234 --> 03:55:01.315]  We're going to go into overdrive.
[03:55:01.315 --> 03:55:07.718]  The only place to hear it is InfoWars.com on those audio streams and to view it on PrisonPlanet.tv.
[03:55:07.718 --> 03:55:10.239]  We're ending the main transmission for the year right now.
[03:55:10.239 --> 03:55:13.561]  God bless you all, all of our affiliates and listeners and sponsors.
[03:55:13.561 --> 03:55:16.262]  God bless you.
[03:55:16.262 --> 03:55:18.723]  Thank you for listening to GCN.
[03:55:18.723 --> 03:55:20.004]  John, go ahead and keep...
[03:55:25.808 --> 03:55:28.014]  Rich in North Carolina on the line, okay?
[03:55:28.014 --> 03:55:29.819]  Is he still there?
[03:55:29.819 --> 03:55:31.343]  How long do I have till you gotta get me off here?
[03:55:39.355 --> 03:55:39.835]  Okay, fine.
[03:55:39.835 --> 03:55:44.417]  I'll let him finish up, and then I want to have just these callers, folks.
[03:55:44.417 --> 03:55:45.057]  Nobody else.
[03:55:45.057 --> 03:55:50.279]  I want to have Dave, Justin, Chris, Ronnie, and a few others that are holding there.
[03:55:50.279 --> 03:55:51.840]  Call the number I'm going to put on screen.
[03:55:51.840 --> 03:55:52.460]  It's 888-201-2244, 888-201-2244, 888-201-2244, or 512-646-5400.
[03:55:52.460 --> 03:55:52.680]  Again, 888-201-2244.
[03:56:05.282 --> 03:56:08.704]  I wanted to say something about the time I spent in Guantanamo, if that's cool.
[03:56:32.697 --> 03:56:37.161]  Yeah, I would like to do that, but finish up with what happens with the puppy.
[03:56:37.161 --> 03:56:42.925]  Ultimately, the dog, as the phrase implies, learned helplessness.
[03:56:42.925 --> 03:56:47.209]  It's basically a means by which to completely, utterly, and control the animal.
[03:56:47.745 --> 03:56:51.688]  To where it will not react, it will not even come to get its own food.
[03:56:51.688 --> 03:56:55.611]  It would literally, the animals would starve rather than have to subject themselves.
[03:56:55.611 --> 03:56:58.753]  Yeah, it's called capitulation.
[03:56:58.753 --> 03:57:05.618]  And they admit that in the rat, dog, and monkey studies, and now they've done it with humans at Guantanamo, I think you're about to get to that.
[03:57:05.618 --> 03:57:09.461]  I'm guessing what they found, because it's a laboratory, they admit that.
[03:57:09.461 --> 03:57:11.002]  That's why they take innocent people there.
[03:57:12.623 --> 03:57:13.965]  And I want to hear this story.
[03:57:13.965 --> 03:57:20.516]  What they're doing is, for listeners that understand, when they taser you for no reason, when they arrest a girl for giving a friend a...
[03:57:21.508 --> 03:57:23.889]  Over-the-counter cough drop.
[03:57:23.889 --> 03:57:34.312]  They're training you that the government can do whatever corrupt, asinine, abusive things they want to set that precedent and to make you feel like you're helpless and can't resist.
[03:57:34.312 --> 03:57:37.453]  It's total psychological warfare to make you feel helpless.
[03:57:37.453 --> 03:57:38.633]  We are not helpless.
[03:57:38.633 --> 03:57:40.273]  We are going to beat the New World Order.
[03:57:40.273 --> 03:57:42.834]  Now, you've got the floor for the next three minutes, sir.
[03:57:42.834 --> 03:57:45.795]  Go ahead and tell folks about what you saw at Guantanamo Bay.
[03:57:46.465 --> 03:57:52.306]  Now, what I saw in Guantanamo, this isn't relating to the psychological aspect.
[03:57:52.306 --> 03:57:56.227]  I was in 1995 during Operation Sea Signal.
[03:57:56.227 --> 03:58:00.988]  I saw firsthand the way the Clinton administration and the military treated the Cuban folks.
[03:58:00.988 --> 03:58:02.628]  I'll give you a quick example.
[03:58:02.628 --> 03:58:14.530]  My unit was on a morning run, and because Operation Sea Signal was all branch of the service, there was an army unit, and they were passing cigarettes to eight, nine, ten-year-old children through the fence, the Cuban migrants.
[03:58:15.297 --> 03:58:33.435]  And I immediately broke ranks and did, as did most of my unit, and the branch rivalry stoked us, and we kicked the snot out of these guys, whom we found out later were these so-called elite 82nd Airborne, and a bunch of marine computer programmers, a mechanic, and some radio techs whipped them pretty good.
[03:58:33.435 --> 03:58:37.619]  Another time, I have a more gruesome story, perhaps for another day if you're interested in that, but I wanted to
[03:58:37.950 --> 03:58:39.111]  Well, tell me the gruesome story.
[03:58:39.111 --> 03:58:40.132]  Go ahead.
[03:58:40.132 --> 03:58:42.795]  Okay, I was in a camp.
[03:58:42.795 --> 03:58:46.159]  I was guarding this particular camp, and there was a family they brought in.
[03:58:46.159 --> 03:58:49.242]  It was a large group of folks they brought in one night.
[03:58:49.242 --> 03:58:51.444]  And I got to be good friends with a doctor fellow.
[03:58:51.444 --> 03:58:52.245]  He had really good English.
[03:58:52.245 --> 03:58:53.687]  My Spanish was terrible.
[03:58:53.687 --> 03:58:55.729]  And he told me what happened.
[03:58:55.729 --> 03:59:00.694]  A family member of his living in Miami sent them a boat, and all these folks got on board this boat.
[03:59:01.181 --> 03:59:02.642]  And they were hightailing to Miami.
[03:59:02.642 --> 03:59:05.424]  Well, they were just about out of Cuban waters.
[03:59:05.424 --> 03:59:08.586]  And bear in mind, this is just a story I got from the doctor.
[03:59:08.586 --> 03:59:12.868]  And the Cuban Coast Guard, without any warning, opened fire on them.
[03:59:12.868 --> 03:59:16.630]  And they called through bullhorn, and we've got women, we've got children, please stop.
[03:59:16.630 --> 03:59:17.511]  Well, they didn't.
[03:59:17.511 --> 03:59:19.532]  And so they sped away, trying to evade them.
[03:59:19.532 --> 03:59:25.516]  And just as the American Coast Guard intercepted, there was a pregnant lady on board.
[03:59:25.516 --> 03:59:27.497]  And she fell, hit her head, broke her neck.
[03:59:28.191 --> 03:59:38.294]  Well, about that time, about three days later, Janet Reno came down to Guantanamo and made the declaration that pretty much all the Cubans were going to be sent back.
[03:59:38.294 --> 03:59:54.658]  Well, this doctor fellow told me, and he was terrified, and he told me what happened to several of his doctor friends who spoke out in the government and whatnot, but these folks were, essentially, the entire group of them were charged with murder.
[03:59:57.981 --> 03:59:59.582]  Amazing.
[03:59:59.582 --> 04:00:01.043]  Mind-boggling.
[04:00:01.043 --> 04:00:09.127]  So they were charged with murder for her breaking her neck as if their attempt to escape to freedom was murder.
[04:00:09.127 --> 04:00:10.628]  Yes, sir.
[04:00:10.628 --> 04:00:11.388]  Well, that's tyranny.
[04:00:11.388 --> 04:00:12.309]  That's Cuba for you.
[04:00:12.309 --> 04:00:13.629]  That's what we're becoming here.
[04:00:13.629 --> 04:00:14.270]  It's so sad.
[04:00:14.270 --> 04:00:18.292]  Now, what was the other story?
[04:00:18.292 --> 04:00:20.873]  You were about to say something else and I said, no, tell that story.
[04:00:20.873 --> 04:00:22.114]  Oh, it wasn't much of a story.
[04:00:22.114 --> 04:00:26.476]  It was just more of a declaration reverting back to the learned helplessness in my own awakening.
[04:00:27.299 --> 04:00:34.229]  Uh, which, you know, coupled with a lot of problems I had, you know, major depression, and it kept me very reclusive and very apathetic for way too long.
[04:00:34.229 --> 04:00:40.197]  And I saw Zeitgeist about three months ago, and I was awakened, and I wanted to put out a message to the New World Order.
[04:00:40.197 --> 04:00:42.360]  Your indoctrination camp failed.
[04:00:42.360 --> 04:00:44.203]  You hijacked my beloved Marine Corps.
[04:00:44.594 --> 04:00:53.361]  And although I'm no longer enlisted, I swore an eternal oath to the Constitution and the Republic, and I dedicate my life to your complete destruction.
[04:00:53.361 --> 04:00:55.643]  And lastly, Alex, I appreciate you, brother.
[04:00:55.643 --> 04:00:57.725]  You're a 21st century Paul Revere.
[04:00:57.725 --> 04:01:00.227]  Have a great New Year, and hopefully you and I will see
[04:01:00.774 --> 04:01:03.496]  No more 9-11's and many more February 11's.
[04:01:03.496 --> 04:01:04.397]  We share a birthday.
[04:01:04.397 --> 04:01:05.358]  Take care, brother.
[04:01:05.358 --> 04:01:05.638]  All right.
[04:01:05.638 --> 04:01:06.859]  God bless you, sir.
[04:01:06.859 --> 04:01:09.461]  Good to hear from Rich in North Carolina.
[04:01:09.461 --> 04:01:12.343]  That is it for this transmission with Genesis.
[04:01:12.343 --> 04:01:15.145]  I want to thank the Genesis Network and John Harmon.
[04:01:15.145 --> 04:01:20.409]  Pop in here for the last show of the year and say bye to everybody.
[04:01:20.409 --> 04:01:21.810]  Goodbye, everybody.
[04:01:21.810 --> 04:01:23.651]  It's been a great year.
[04:01:23.651 --> 04:01:25.172]  Why do you have reverb on your voice?
[04:01:25.172 --> 04:01:25.973]  What's going on there?
[04:01:25.973 --> 04:01:27.774]  Sorry about that.
[04:01:29.510 --> 04:01:33.954]  But yeah, everybody have a happy new year and we'll see you tomorrow, which is 2009.
[04:01:33.954 --> 04:01:37.076]  Have a happy FEMA!
[04:01:37.076 --> 04:01:38.878]  Yes, have a happy FEMA.
[04:01:38.878 --> 04:01:45.803]  By the way, speaking of Beelzebub, when I'm done here in about 15 minutes, I need to call you, John, about tomorrow's show.
[04:01:45.803 --> 04:01:46.544]  Okay.
[04:01:46.544 --> 04:01:47.424]  I will be here.
[04:01:47.424 --> 04:01:48.125]  You will be there?
[04:01:48.125 --> 04:01:49.706]  Yep, 10 minutes.
[04:01:49.706 --> 04:01:50.267]  Yeah.
[04:01:50.267 --> 04:01:50.807]  Yeah, I'll be here.
[04:01:50.807 --> 04:01:51.347]  Alright.
[04:01:51.347 --> 04:01:52.168]  I appreciate you, buddy.
[04:01:52.168 --> 04:01:52.669]  Take care.
[04:01:52.669 --> 04:01:53.229]  Anytime.
[04:01:53.229 --> 04:01:53.489]  Bye-bye.
[04:01:53.489 --> 04:01:56.612]  Alright, there goes Genesis.
[04:01:56.612 --> 04:01:57.993]  I said I'd go to Chris in Florida.
[04:01:59.527 --> 04:02:03.989]  Jeff and Rosalyn.
[04:02:03.989 --> 04:02:04.809]  Is that Rosalyn?
[04:02:04.809 --> 04:02:05.970]  I'm sorry, I wasn't reading that right.
[04:02:05.970 --> 04:02:07.350]  This screen is so small.
[04:02:07.350 --> 04:02:10.211]  I think my eyes aren't as good as they were.
[04:02:10.211 --> 04:02:10.952]  Russell.
[04:02:10.952 --> 04:02:14.453]  I mean, I want Rosalyn and Ronnie who are holding the bell to get in.
[04:02:14.453 --> 04:02:16.634]  Is the phone system still open?
[04:02:16.634 --> 04:02:17.314]  Well, call in.
[04:02:17.314 --> 04:02:19.975]  888-201-2244.
[04:02:19.975 --> 04:02:22.176]  We are internet only right now.
[04:02:22.176 --> 04:02:24.297]  The internet stream is at InfoWars.com.
[04:02:25.479 --> 04:02:28.861]  And the video at PrisonPlanet.tv.
[04:02:28.861 --> 04:02:32.044]  We want the PrisonPlanet.tv members to use the live feature.
[04:02:32.044 --> 04:02:41.250]  I know most of you watch it after we archive it each day, a few hours after it's posted on PrisonPlanet.tv, but you can go to the top of PrisonPlanet.tv and it says log in for the live show.
[04:02:41.250 --> 04:02:44.452]  And we're just going to start always going live the last two hours.
[04:02:44.452 --> 04:02:48.856]  I may move the show where maybe the middle two hours are live or something.
[04:02:48.856 --> 04:02:49.616]  I don't know.
[04:02:49.616 --> 04:02:50.617]  We're thinking about that.
[04:02:50.617 --> 04:02:51.758]  The New Year it's going to be set
[04:02:52.605 --> 04:02:58.572]  And we've got a lot of other stuff coming up with this TV show where we're going to put it on TV and cable or dish network.
[04:02:58.572 --> 04:02:59.713]  We're working on all that right now.
[04:02:59.713 --> 04:03:04.098]  We're building another TV studio out there for one hour a week, produced, new show.
[04:03:04.098 --> 04:03:05.439]  There's a lot of stuff going on.
[04:03:05.439 --> 04:03:09.444]  I want to thank all of you for your support that's made all of that possible.
[04:03:09.444 --> 04:03:11.646]  Again, we're the 2008 is about to be over.
[04:03:13.646 --> 04:03:13.946]  Hey Alex.
[04:03:13.946 --> 04:03:14.227]  Hey man.
[04:03:14.227 --> 04:03:15.548]  Hey, I think we did a lot of good in 2008.
[04:03:15.548 --> 04:03:17.970]  A lot of people showed up to protest Voderberg.
[04:03:36.099 --> 04:03:42.342]  And, uh, more people, like you said, uh, than ever protesting the Federal Reserve know that it's private.
[04:03:42.342 --> 04:03:49.986]  But what I wanted to call you about was something that I had, uh, come across while job hunting, and I was wondering if you knew about it, and knew what they were going to do with it.
[04:03:49.986 --> 04:03:54.508]  It's called the Minnesota Multifaceted Personality Inventory.
[04:03:54.508 --> 04:03:58.110]  Yeah, they give you these big, uh, psychology, uh, 600 question, um...
[04:04:00.359 --> 04:04:05.521]  Test to see if you're deceptive or evasive or to get your personality type.
[04:04:05.521 --> 04:04:20.808]  And as freaked out as people are about those, and insurance companies give companies breaks to do it so they're standardizing it, the real thing is Google or your digital cable, it's tracking what you watch and do and that's much more detailed psychological algorithmic profile.
[04:04:20.808 --> 04:04:26.250]  But no, I mean, tell me specifically what was happening with the psychological profile test.
[04:04:27.165 --> 04:04:29.507]  Well, it was a particular job interview.
[04:04:29.507 --> 04:04:34.851]  I had spoken one-on-one with one of these management people.
[04:04:34.851 --> 04:04:35.872]  And, you know, he liked me.
