[00:00.000 --> 00:29.800]  It's Monday, January 28th, 2019, as a giant polar vortex settles over the east coast.
[03:08:12.800 --> 03:08:13.800]  No, has he?
[03:08:13.800 --> 03:08:14.800]  Oh.
[03:08:14.800 --> 03:08:15.800]  Okay.
[03:08:15.800 --> 03:08:17.800]  But she is pregnant again.
[03:08:17.800 --> 03:08:20.800]  That was the story this week with the second child by this
[03:08:20.800 --> 03:08:21.800]  boy.
[03:08:21.800 --> 03:08:23.800]  So basically they're having a family and they're keeping the
[03:08:23.800 --> 03:08:27.800]  mother in jail because she won't conform to what society
[03:08:27.800 --> 03:08:30.800]  feels should be the perfect American family.
[03:08:30.800 --> 03:08:32.800]  Let's stop right there.
[03:08:32.800 --> 03:08:33.800]  Owen Benjamin just blew me away.
[03:08:33.800 --> 03:08:36.800]  Every time you think you know about all the pedophile stuff,
[03:08:36.800 --> 03:08:37.800]  it just gets worse.
[03:08:37.800 --> 03:08:40.800]  Started earlier, you know, 1435.
[03:08:40.800 --> 03:08:42.800]  They're the guardian of the school.
[03:08:42.800 --> 03:08:45.800]  There's an age of consent for a reason.
[03:08:45.800 --> 03:08:47.800]  You're contributing to the legacy of a minor.
[03:08:47.800 --> 03:08:49.800]  You don't want to send your kids to school and have 35-year-old
[03:08:49.800 --> 03:08:51.800]  women trying to have sex with 14-year-olds.
[03:08:51.800 --> 03:08:52.800]  That's abusive.
[03:08:52.800 --> 03:08:55.800]  But when she said started younger, I remember it was like 12.
[03:08:55.800 --> 03:08:57.800]  This is serious abuse.
[03:08:57.800 --> 03:08:58.800]  I remember it.
[03:08:58.800 --> 03:09:01.800]  Macron was abused at this age by his teacher.
[03:09:01.800 --> 03:09:03.800]  And so this is their whole culture.
[03:09:03.800 --> 03:09:04.800]  And here he is.
[03:09:04.800 --> 03:09:06.800]  He's a kid love.
[03:09:06.800 --> 03:09:07.800]  This is incredible.
[03:09:07.800 --> 03:09:08.800]  Oh, yeah.
[03:09:08.800 --> 03:09:10.800]  And he was, the condescension is unreal when he's talking about
[03:09:10.800 --> 03:09:13.800]  how I call it, I call it love.
[03:09:13.800 --> 03:09:17.800]  And just because society doesn't conform, there's a reason that
[03:09:17.800 --> 03:09:23.800]  we don't want our 12-year-old sons to be able to be predated
[03:09:23.800 --> 03:09:27.800]  upon by women in their 30s because they don't have the
[03:09:27.800 --> 03:09:29.800]  ability to say no.
[03:09:29.800 --> 03:09:31.800]  They don't have the ability of understanding power and
[03:09:31.800 --> 03:09:32.800]  understanding all that stuff.
[03:09:32.800 --> 03:09:37.800]  And the fact that he defends the predator, and then when you're
[03:09:37.800 --> 03:09:40.800]  looking at this Catholic school situation and all that, the guy
[03:09:40.800 --> 03:09:42.800]  is a total predator.
[03:09:42.800 --> 03:09:46.800]  And people just, there's this misnomer that's happening where
[03:09:46.800 --> 03:09:48.800]  people think that someone's coming to save them.
[03:09:48.800 --> 03:09:50.800]  And there's no one coming.
[03:09:50.800 --> 03:09:53.800]  It's like you have to stand up for this and speak out against it
[03:09:53.800 --> 03:09:55.800]  because there's no one coming to save you.
[03:09:55.800 --> 03:10:01.800]  Like this guy is a powerful voice in the narrative and he is
[03:10:01.800 --> 03:10:05.800]  defending pedophilia right in plain sight and nothing happens to
[03:10:05.800 --> 03:10:06.800]  him.
[03:10:06.800 --> 03:10:10.800]  Why would he attack the Catholic school boys who had people
[03:10:10.800 --> 03:10:12.800]  screaming, we're going to kill you, all this?
[03:10:12.800 --> 03:10:15.800]  It's been known for a week that it was a hoax that the Native
[03:10:15.800 --> 03:10:18.800]  American guy is a scammer who goes around starting fights
[03:10:18.800 --> 03:10:20.800]  everywhere, trying to get attention.
[03:10:20.800 --> 03:10:23.800]  And so it's known everywhere, everyone's apologized.
[03:10:23.800 --> 03:10:27.800]  He on purpose goes on Friday night and doubles down at all.
[03:10:27.800 --> 03:10:29.800]  He just, he's so arrogant.
[03:10:29.800 --> 03:10:32.800]  Well, it's predators like him require shame.
[03:10:32.800 --> 03:10:34.800]  They require your eyes to have shame.
[03:10:34.800 --> 03:10:35.800]  They require meekness.
[03:10:35.800 --> 03:10:37.800]  They require self-hate.
[03:10:37.800 --> 03:10:41.800]  And if you don't show it, they hate you for it and they'll do
[03:10:41.800 --> 03:10:43.800]  anything in their power to destroy you.
[03:10:43.800 --> 03:10:47.800]  I've experienced that a lot in my life where the reason that
[03:10:47.800 --> 03:10:51.800]  that kid, the smirk that launched a thousand narrative
[03:10:51.800 --> 03:10:56.800]  psychosis meltdowns is because he didn't have shame in his
[03:10:56.800 --> 03:10:57.800]  eyes.
[03:10:57.800 --> 03:11:01.800]  Yeah, it's like on the left, you have Desmond in this meme.
[03:11:01.800 --> 03:11:07.800]  Desmond is a kid that is nine being created around as a drag
[03:11:07.800 --> 03:11:11.800]  queen, you know, put in front of old homosexual men who give
[03:11:11.800 --> 03:11:12.800]  him money.
[03:11:12.800 --> 03:11:15.800]  Who happen to be convicted, axe murderers who talk about
[03:11:15.800 --> 03:11:16.800]  drugging kids.
[03:11:16.800 --> 03:11:19.800]  And then, and then, and then Desmond talks about using drugs
[03:11:19.800 --> 03:11:22.800]  and looks like he's been in a concentration camp, poor little
[03:11:22.800 --> 03:11:23.800]  prisoner.
[03:11:23.800 --> 03:11:24.800]  Yeah, he looks drugged.
[03:11:24.800 --> 03:11:26.800]  His parents say he's on the spectrum.
[03:11:26.800 --> 03:11:28.800]  And yet he goes on Good Morning America and they applaud his
[03:11:28.800 --> 03:11:29.800]  bravery.
[03:11:29.800 --> 03:11:34.800]  And then on the right, you have a good American, just classic
[03:11:34.800 --> 03:11:36.800]  American, good kid.
[03:11:36.800 --> 03:11:38.800]  And he's being decimated.
[03:11:38.800 --> 03:11:44.800]  And right there, he's not mocking that moron in front of
[03:11:44.800 --> 03:11:45.800]  him.
[03:11:45.800 --> 03:11:48.800]  He's just merely saying, I will not go anywhere.
[03:11:48.800 --> 03:11:49.800]  I will stand firm.
[03:11:49.800 --> 03:11:51.800]  I have my own honor.
[03:11:51.800 --> 03:11:54.800]  And that drives predators insane because the way predators
[03:11:54.800 --> 03:11:57.800]  work is they want you to hate yourself.
[03:11:57.800 --> 03:11:58.800]  They want you to have shame.
[03:11:58.800 --> 03:12:01.800]  They want to say, if you tell anyone will hurt your parents.
[03:12:01.800 --> 03:12:04.800]  They want to get that initiative over you exactly and then
[03:12:04.800 --> 03:12:05.800]  silence you.
[03:12:05.800 --> 03:12:07.800]  And to be clear, first they moved away.
[03:12:07.800 --> 03:12:09.800]  They were trying to go to the bus stop because we watched the
[03:12:09.800 --> 03:12:10.800]  full 30 minute video.
[03:12:10.800 --> 03:12:12.800]  We put a documentary out on it.
[03:12:12.800 --> 03:12:15.800]  You know, the truth of the Covington kids, the documentary,
[03:12:15.800 --> 03:12:18.800]  they march over and the kids go away about 50 yards towards the
[03:12:18.800 --> 03:12:20.800]  bus stop and try to get away.
[03:12:20.800 --> 03:12:22.800]  But still they come back over there.
[03:12:22.800 --> 03:12:24.800]  So they'd already pulled back once.
[03:12:24.800 --> 03:12:27.800]  But at this point, he just, I'm going to stand my ground.
[03:12:27.800 --> 03:12:28.800]  I love this kid.
[03:12:28.800 --> 03:12:31.800]  I mean, what he's doing right there, I can understand how if
[03:12:31.800 --> 03:12:35.800]  it's heavily edited and narrated and stuff, it looks like he's,
[03:12:35.800 --> 03:12:37.800]  he could be mocking that guy.
[03:12:37.800 --> 03:12:40.800]  But if you know the story, it's the exact opposite.
[03:12:40.800 --> 03:12:43.800]  And he was called every name in the book incest kid, go back to
[03:12:43.800 --> 03:12:46.800]  Europe, you know, just, just mind blowing stuff.
[03:12:46.800 --> 03:12:51.800]  And the black Israelites crossed every narrative possible with
[03:12:51.800 --> 03:12:52.800]  these pejorities.
[03:12:52.800 --> 03:12:53.800]  Pejority.
[03:12:53.800 --> 03:12:54.800]  They called them fags.
[03:12:54.800 --> 03:12:55.800]  They called them homos.
[03:12:55.800 --> 03:12:57.800]  We're going to harvest your organs.
[03:12:57.800 --> 03:12:59.800]  They told little black kids that.
[03:12:59.800 --> 03:13:01.800]  And he did the most powerful thing he could do.
[03:13:01.800 --> 03:13:03.800]  He just stared straight ahead without fear.
[03:13:03.800 --> 03:13:06.800]  And it's fear that, that these people thrive on because there's
[03:13:06.800 --> 03:13:10.800]  so few controllers, but they're so powerful because people give
[03:13:10.800 --> 03:13:12.800]  them their power through shame.
[03:13:12.800 --> 03:13:14.800]  Shame is a slave mentality.
[03:13:14.800 --> 03:13:16.800]  And one thing to have, you could have regret.
[03:13:16.800 --> 03:13:17.800]  You can apologize.
[03:13:17.800 --> 03:13:20.800]  I've made mistakes this week that I've apologized for, but that
[03:13:20.800 --> 03:13:21.800]  isn't shame.
[03:13:21.800 --> 03:13:24.800]  Shame is saying like, um, I hate myself.
[03:13:24.800 --> 03:13:25.800]  Therefore you can own me.
[03:13:25.800 --> 03:13:28.800]  And that's what they require to, to keep power because there's
[03:13:28.800 --> 03:13:31.800]  so few of them and so many of us.
[03:13:31.800 --> 03:13:32.800]  That's right.
[03:13:32.800 --> 03:13:34.800]  Their whole system is about getting us into an inferior
[03:13:34.800 --> 03:13:35.800]  position.
[03:13:35.800 --> 03:13:37.800]  And they're the high priest above us and they tell us what's
[03:13:37.800 --> 03:13:39.800]  fake news and they tell us who can be on air and they tell us
[03:13:39.800 --> 03:13:41.800]  what words we can use.
[03:13:41.800 --> 03:13:44.800]  And to watch this guy banging his drum at some points,
[03:13:44.800 --> 03:13:46.800]  right in his face.
[03:13:46.800 --> 03:13:49.800]  And that's a problem.
[03:13:49.800 --> 03:13:51.800]  The problem is I would have probably popped him.
[03:13:51.800 --> 03:13:53.800]  That's why I'm like, I'm a, this kid's like a hero of mine
[03:13:53.800 --> 03:13:56.800]  because he had the strength and he also had the strength not to
[03:13:56.800 --> 03:13:58.800]  just start beating this guy.
[03:13:58.800 --> 03:14:00.800]  Like there's a good chance right there.
[03:14:00.800 --> 03:14:02.800]  Just I would have cranked his jaw and like that would have made
[03:14:02.800 --> 03:14:04.800]  me the monster they want.
[03:14:04.800 --> 03:14:06.800]  And that's something that I've really worked on over the years
[03:14:06.800 --> 03:14:08.800]  is like that kid gets it.
[03:14:08.800 --> 03:14:11.800]  And it's like, and this whole authority thing, it's pretty funny
[03:14:11.800 --> 03:14:15.800]  how therapist, if you just put a space in it, it's the rapist.
[03:14:15.800 --> 03:14:17.800]  You know, like they're always like, you need a therapist.
[03:14:17.800 --> 03:14:19.800]  It's like the rapist.
[03:14:19.800 --> 03:14:21.800]  It's just about authority.
[03:14:21.800 --> 03:14:23.800]  It's pretty funny actually when you, when you have a sense of humor
[03:14:23.800 --> 03:14:25.800]  about it.
[03:14:25.800 --> 03:14:27.800]  And people are looking for authority figures.
[03:14:27.800 --> 03:14:29.800]  And then the left of the global is tell us who they are.
[03:14:29.800 --> 03:14:31.800]  Well, I didn't mean to crash in on you today.
[03:14:31.800 --> 03:14:33.800]  You're just more of an expert on Bill Maher than I am.
[03:14:33.800 --> 03:14:37.800]  Obviously as a comic, I mean, if you want, when you come back,
[03:14:37.800 --> 03:14:40.800]  tell us more about Bill Maher because he's just such a nasty,
[03:14:40.800 --> 03:14:42.800]  nasty person.
[03:14:42.800 --> 03:14:44.800]  It's filthy.
[03:14:44.800 --> 03:14:49.800]  I mean, the guy shows up with these gigantic black,
[03:14:49.800 --> 03:14:53.800]  what appears to be prostitutes, potentially trans prostitutes.
[03:14:53.800 --> 03:14:55.800]  I don't know, but he would go to the comic store like that
[03:14:55.800 --> 03:14:58.800]  and then talk about, you know, women's rights and stuff.
[03:14:58.800 --> 03:15:00.800]  And it's like, he's parading.
[03:15:00.800 --> 03:15:03.800]  It's just the disgust level on this guy.
[03:15:03.800 --> 03:15:05.800]  You just can't put it into words.
[03:15:05.800 --> 03:15:10.800]  And I've done events with him and just slimy and short, you know.
[03:15:10.800 --> 03:15:15.800]  Well, that's another thing is that Maher just,
[03:15:15.800 --> 03:15:18.800]  just absolutely loves to deceive people.
[03:15:18.800 --> 03:15:19.800]  He lives for that.
[03:15:19.800 --> 03:15:22.800]  But then he also always gives himself the moral high ground.
[03:15:22.800 --> 03:15:24.800]  Sort of all the slime in Hollywood.
[03:15:24.800 --> 03:15:26.800]  I mean, he's one of the slimyists.
[03:15:26.800 --> 03:15:28.800]  And that's why that's why they love him.
[03:15:28.800 --> 03:15:30.800]  Owen Benjamin is taken over on the other side.
[03:15:30.800 --> 03:15:34.800]  We just learned a lot about kid love because again, folks,
[03:15:34.800 --> 03:15:36.800]  Namblin, all of them always say it's love.
[03:15:36.800 --> 03:15:38.800]  It's just about love.
[03:15:38.800 --> 03:15:41.800]  It's love. And when he said that on his old politically correct show,
[03:15:41.800 --> 03:15:44.800]  that is an exact Nambla propaganda.
[03:15:44.800 --> 03:15:45.800]  That is what they say.
[03:15:45.800 --> 03:15:47.800]  They say it's just love.
[03:15:47.800 --> 03:15:49.800]  It's just love.
[03:15:49.800 --> 03:16:17.800]  We'll be back.
[03:16:19.800 --> 03:16:21.800]  We'll be back.
[03:16:49.800 --> 03:16:52.800]  A heating pad at sunshine pillows.com.
[03:17:19.800 --> 03:17:22.800]  Only at slingbow.com.
[03:17:49.800 --> 03:17:52.800]  When it comes to rebuilding your energy, convenience is key.
[03:17:52.800 --> 03:17:56.800]  While coffee, candy and other sugary products can give you a short boost,
[03:17:56.800 --> 03:17:59.800]  the crash can leave you more tired than ever.
[03:17:59.800 --> 03:18:03.800]  Turbo Force from Info Wars Life is a powerful mix in energy packet
[03:18:03.800 --> 03:18:06.800]  that utilizes vitamins, amino acids and extracts
[03:18:06.800 --> 03:18:09.800]  used for hundreds of years to provide you focus, clarity
[03:18:09.800 --> 03:18:21.800]  and a boost of energy on the go.
[03:18:21.800 --> 03:18:26.800]  Simply take a packet, mix it into the indicated amount of water and enjoy.
[03:18:26.800 --> 03:18:29.800]  With 14 servings per box for a two week or more supply,
[03:18:29.800 --> 03:18:34.800]  this is the formula to stock up on whenever you need a boost.
[03:18:34.800 --> 03:18:37.800]  Perfect for work, in the car or at home.
[03:18:37.800 --> 03:18:40.800]  Turbo Force is the ultimate answer to a sluggish day.
[03:18:40.800 --> 03:18:42.800]  Don't let your day slow you down.
[03:18:42.800 --> 03:18:53.800]  Perk Up with Turbo Force at InfowarsStore.com.
[03:18:53.800 --> 03:18:55.800]  If you're not expanding, you're imploding.
[03:18:55.800 --> 03:18:57.800]  There is no set stasis.
[03:18:57.800 --> 03:18:58.800]  There is no managed system.
[03:18:58.800 --> 03:19:00.800]  There is no uncontenual.
[03:19:00.800 --> 03:19:03.800]  The continuum is always launching forward in the future.
[03:19:03.800 --> 03:19:06.800]  So you support us and get creative and get fired up.
[03:19:06.800 --> 03:19:08.800]  We won't just be here 100 years, we'll be here forever.
[03:19:08.800 --> 03:19:10.800]  We'll turn the whole thing around.
[03:19:10.800 --> 03:19:13.800]  Our grandchildren on Mars bases and jump bases and God knows what
[03:19:13.800 --> 03:19:17.800]  are going to look back and say, you know, we struggled here, we made it.
[03:19:17.800 --> 03:19:19.800]  And that's really where this goes.
[03:19:19.800 --> 03:19:21.800]  God's got a big war for you ready.
[03:19:21.800 --> 03:19:24.800]  And so if you can't face George Soros and Hillary Clinton and Adolf Hitler
[03:19:24.800 --> 03:19:28.800]  and Mao Zedong, are you going to really be able to face the other stuff?
[03:19:28.800 --> 03:19:32.800]  Because God wants warriors that are smart and are ready to build things
[03:19:32.800 --> 03:19:33.800]  and are also ready to fight.
[03:19:33.800 --> 03:19:36.800]  You don't go to the next level without getting a big weight put on your back.
[03:19:36.800 --> 03:19:38.800]  And I mean, I don't know what's going to happen to me in the future.
[03:19:38.800 --> 03:19:42.800]  I mean, all I know is I want to go with the master built.
[03:19:42.800 --> 03:19:43.800]  I want to go to the next level.
[03:19:43.800 --> 03:19:46.800]  I want to be with the spirit that I've experienced.
[03:19:46.800 --> 03:19:47.800]  Not these devil worshipers.
[03:19:47.800 --> 03:19:50.800]  They're cold and failed and feels like being a tomb.
[03:19:50.800 --> 03:19:51.800]  I want life.
[03:19:51.800 --> 03:20:13.800]  I want Jesus, you're listening to the Alex Jones show.
[03:20:13.800 --> 03:20:29.800]  Crashing through the lies and disinformation, it's Alex Jones with Owen Benjamin.
[03:20:29.800 --> 03:20:31.800]  Hi, everybody.
[03:20:31.800 --> 03:20:36.800]  That was it was cool to see to be able to actually bring Alex some info that he didn't know.
[03:20:36.800 --> 03:20:39.800]  Usually he's the one who lets me know about stuff that I didn't know.
[03:20:39.800 --> 03:20:41.800]  So that was kind of fun.
[03:20:41.800 --> 03:20:43.800]  It's a shame it was something so gross though.
[03:20:43.800 --> 03:20:48.800]  Bill Maher, kid law productions, defending pedophilia, attacking children.
[03:20:48.800 --> 03:20:50.800]  It's it's real gross.
[03:20:50.800 --> 03:20:56.800]  And I, I love being a comedian and I've always loved being a comedian, even though so many
[03:20:56.800 --> 03:21:02.800]  comedians have now taken a knee and don't do actual comedy anymore because of political
[03:21:02.800 --> 03:21:07.800]  correctness and they just took the money from Netflix, which is a propaganda wing run by
[03:21:07.800 --> 03:21:10.800]  Susan Rice and a lot of just pretty nefarious characters.
[03:21:10.800 --> 03:21:18.800]  But here's the beauty of comedy that it makes makes it so valuable in a society is one you
[03:21:18.800 --> 03:21:23.800]  get to poke at the false idols, the taboos, the sacred cows.
[03:21:23.800 --> 03:21:28.800]  And that offers people relief and an ability to not let the world become upside down.
[03:21:28.800 --> 03:21:32.800]  And another thing it can kind of predict the future.
[03:21:32.800 --> 03:21:38.800]  You know, like as we as we saw with, I'm just going to play you guys a song real quick.
[03:21:38.800 --> 03:21:43.800]  This is a song I made a little over a year ago, I think it's called a soy boy.
[03:21:43.800 --> 03:21:45.800]  I just want to analyze one of the lyrics of it.
[03:21:45.800 --> 03:21:47.800]  So check this out.
[03:21:47.800 --> 03:22:00.800]  There is a man who's afraid of dairy and he is proud that his chest never got hairy on
[03:22:00.800 --> 03:22:09.800]  his driver's license under gender and says other his best friend and role model growing
[03:22:09.800 --> 03:22:13.800]  up and still is his lesbian mother.
[03:22:13.800 --> 03:22:19.800]  He can't get the D because he's got low T.
[03:22:19.800 --> 03:22:26.800]  Trump tweets gave him PTSD his pronoun Z and he sits to P.
[03:22:26.800 --> 03:22:32.800]  He's a BuzzFeedFooty blogger, which means he is unemployed.
[03:22:32.800 --> 03:22:39.800]  He always acts bitchy and pissy because he is bloated from soy.
[03:22:39.800 --> 03:22:42.800]  He's a soy boy and he's so annoying.
[03:22:42.800 --> 03:22:48.800]  He feels no joy from all that so weak, soft, soy hands.
[03:22:48.800 --> 03:22:49.800]  A lot of demands.
[03:22:49.800 --> 03:22:51.800]  He's got mammary glands.
[03:22:51.800 --> 03:22:52.800]  All right.
[03:22:52.800 --> 03:22:53.800]  So that's soy boy.
[03:22:53.800 --> 03:22:56.800]  You guys can check that out if you want.
[03:22:56.800 --> 03:22:58.800]  It's on my YouTube page, youtube.com.
[03:22:58.800 --> 03:23:04.800]  The point I was making is BuzzFeed just let off a bunch of their quote unquote journalists
[03:23:04.800 --> 03:23:08.800]  and I say quote unquote journalists because they're not journalists.
[03:23:08.800 --> 03:23:12.800]  I'm really, I really mean that in the actual way that the quotes work.
[03:23:12.800 --> 03:23:14.800]  I'm not doing one of those condescending things.
[03:23:14.800 --> 03:23:15.800]  They aren't journalists.
[03:23:15.800 --> 03:23:20.800]  And so the line, he's a BuzzFeedFooty blogger, which means he's unemployed.
[03:23:20.800 --> 03:23:26.800]  So BuzzFeed, Huffington Post, a lot of these places just let off a bunch of these people.
[03:23:26.800 --> 03:23:31.800]  And all they do is lie for a living to get outrage clicks.
[03:23:31.800 --> 03:23:35.800]  And so the fact I was doing honest comedy is you can predict the future.
[03:23:35.800 --> 03:23:39.800]  And I've done other satire that has become real.
[03:23:39.800 --> 03:23:45.800]  In fact, right now the speed in which satire becomes reality is getting faster and faster.
[03:23:45.800 --> 03:23:47.800]  Like I don't even know what is a joke at the time.
[03:23:47.800 --> 03:23:54.800]  Like I did a leftist fitness instructor, which is a, you know, a leftist fitness instructor
[03:23:54.800 --> 03:23:58.800]  where it's, where it's just everything is, is not your fault.
[03:23:58.800 --> 03:24:07.800]  And then I like a month later, I read in one of these BuzzFeed things that fitness is a white privilege
[03:24:07.800 --> 03:24:09.800]  or Nazi or white nationally.
[03:24:09.800 --> 03:24:10.800]  I don't know.
[03:24:10.800 --> 03:24:15.800]  It's just going so fast that it's tough to satirize because sat satire is predictive.
[03:24:15.800 --> 03:24:22.800]  So anyway, this big meme that's going around that's brilliant is that these BuzzFeed quote, unquote
[03:24:22.800 --> 03:24:25.800]  journalists, and I'm going to keep saying quote, unquote journalists.
[03:24:25.800 --> 03:24:28.800]  I know it might be annoying, but I'm not going to call them journalists.
[03:24:28.800 --> 03:24:29.800]  They're not.
[03:24:29.800 --> 03:24:31.800]  Let's call them weasels.
[03:24:31.800 --> 03:24:35.800]  These BuzzFeed weasels, or we could call them sodomites.
[03:24:35.800 --> 03:24:36.800]  I don't know.
[03:24:36.800 --> 03:24:38.800]  We'll come up with another name besides journalists.
[03:24:38.800 --> 03:24:40.800]  It's more accurate.
[03:24:40.800 --> 03:24:43.800]  There's a meme going around that says, learn to code.
[03:24:43.800 --> 03:24:45.800]  And it's so brilliant.
[03:24:45.800 --> 03:24:51.800]  And these sodomites don't, these BuzzFeed sodomites don't even get the joke.
[03:24:51.800 --> 03:24:55.800]  You know, they're like, they're just complaining about people saying, learn to code.
[03:24:55.800 --> 03:25:05.800]  And the 80s, 90s, 2000s, learn to code was told to all the coal miners and truck drivers
[03:25:05.800 --> 03:25:13.800]  and other jobs that had been outsourced or replaced or whatever was happening.
[03:25:13.800 --> 03:25:15.800]  The common phrase was learn to code.
[03:25:15.800 --> 03:25:23.800]  And these snarky, soy boy sodomites were saying it was such glee and such soy induced euphoria.
[03:25:23.800 --> 03:25:30.800]  And now it's being put right back at them because in reality, my grandfather was a lead
[03:25:30.800 --> 03:25:37.800]  miner and one of my best friends is a truck driver and the reality of these, of those jobs is those men
[03:25:37.800 --> 03:25:43.800]  aren't as desperate as people, these soy boys want to believe they are.
[03:25:43.800 --> 03:25:45.800]  There's always going to be a need for mining.
[03:25:45.800 --> 03:25:47.800]  There's always going to be a need for truck driving.
[03:25:47.800 --> 03:25:52.800]  The truck drivers could shut down the American economy in three days if they just stopped driving.
[03:25:52.800 --> 03:25:55.800]  And you can't replace it by AI.
[03:25:55.800 --> 03:25:57.800]  That's nonsense.
[03:25:57.800 --> 03:26:05.800]  So now you have all these soy boys that are just chugging soy, just prosotomy, just constant sodomy,
[03:26:05.800 --> 03:26:06.800]  constant soy.
[03:26:06.800 --> 03:26:08.800]  And they have no testosterone.
[03:26:08.800 --> 03:26:14.800]  They're pumped full of estrogen and they are condescending and rude and dumb.
[03:26:14.800 --> 03:26:18.800]  And not only are they dumb, they have no skills.
[03:26:18.800 --> 03:26:24.800]  So they go to school, they get in debt by being taught lies and disinformation.
[03:26:24.800 --> 03:26:31.800]  And so then they're set loose on the population where they lie and lie and lie and say that Alex Jones is a
[03:26:31.800 --> 03:26:39.800]  hate monger and I am a Nazi dragon, I don't know, whatever they want to say.
[03:26:39.800 --> 03:26:44.800]  And so it worked for a little while because people didn't understand it yet and they would click on it and
[03:26:44.800 --> 03:26:48.800]  believe it because our society not that long ago had a lot more trust in it.
[03:26:48.800 --> 03:26:56.800]  So you looked at the journalist, but these aren't journalists, these are prosotomy soyists.
[03:26:56.800 --> 03:27:01.800]  And so you would be like, oh, wow, this is shocking news when in reality it was all lies.
[03:27:01.800 --> 03:27:05.800]  And so now that they're out of a job, there's nowhere for them to go.
[03:27:05.800 --> 03:27:06.800]  They have no skills.
[03:27:06.800 --> 03:27:14.800]  They can't lift a can of soda, let alone a load in a truck.
[03:27:14.800 --> 03:27:15.800]  They can't do anything.
[03:27:15.800 --> 03:27:21.800]  And so now the very same condescension, you know, you reap what you sow and the very same condescension that was
[03:27:21.800 --> 03:27:28.800]  given to them is now or that they give, they gave to hardworking Americans is now being given back to them.
[03:27:28.800 --> 03:27:31.800]  It's learned to code and they can't code.
[03:27:31.800 --> 03:27:33.800]  They can't do anything.
[03:27:33.800 --> 03:27:40.800]  They will just be on the street begging for soy money because they hit this soy apocalypse.
[03:27:40.800 --> 03:27:45.800]  And if comedians are allowed to do comedy, you would have seen this coming a long time ago.
[03:27:45.800 --> 03:27:47.800]  You know, I saw it coming.
[03:27:47.800 --> 03:27:57.800]  There's a reason that I'm gardening and I am establishing tight relationships with my neighbors and I am reading the Bible.
[03:27:57.800 --> 03:28:03.800]  It's because it's, I can, it's not predicting the future.
[03:28:03.800 --> 03:28:06.800]  It's just inevitable what's coming and it's inevitable.
[03:28:06.800 --> 03:28:15.800]  Because once you realize what is right and what is wrong, the answers are very obvious and the mainstream will not save you.
[03:28:15.800 --> 03:28:22.800]  And if you're waiting for CNN to wake up because of their, they realize their hypocrisy or you're going to realize or people are going to
[03:28:22.800 --> 03:28:29.800]  wake up to John Podesta or Hillary Clinton or any of these psychotic child eaters, you'll be waiting a long time.
[03:28:29.800 --> 03:28:35.800]  I suggest you grow some kale and read the Bible because that's kind of the only handbook out of this thing.
[03:28:35.800 --> 03:28:44.800]  And you know, if you're addicted to soy, learn to code and learn quick because your soy addiction is going to make your wiener fall.
[03:28:44.800 --> 03:28:47.800]  Clean off your body if you don't get more soy.
[03:28:47.800 --> 03:29:16.800]  All right guys, see you in a bit.
[03:29:17.800 --> 03:29:46.800]  All right guys, see you in a bit.
[03:29:47.800 --> 03:29:54.800]  All right guys, see you in a bit.
[03:30:17.800 --> 03:30:46.800]  See you in a bit.
[03:30:47.800 --> 03:30:53.800]  All right guys, see you in a bit.
[03:31:17.800 --> 03:31:41.800]  So go to infowarstore.com and get supermail vitality before it's gone. This is actually our last run of supermail vitality.
[03:31:41.800 --> 03:31:52.800]  So I want you to experience supermail vitality before it's too late. Unleash the supermail in you.
[03:31:52.800 --> 03:32:12.800]  The globalists know that if they suppress the good halogen and pump the environment full of the bad halogens, fluoride, chlorine, bromide, you name it, that it lowers IQ, it literally dumps the population down.
[03:32:12.800 --> 03:32:24.800]  This seaweed-based iodine that was pretty good but hard to source and the globalists tried to block us getting a supply of it, so we discovered deep-earth crystals, a pure nascent iodine, and brought UX2 that's been incredible.
[03:32:24.800 --> 03:32:32.800]  Now, due to the establishment trying to block that, we did more research and secured more of the deep-earth crystals of nascent iodine.
[03:32:32.800 --> 03:32:45.800]  Chemists, scientists, and others showed us the research that by combining it with three other compounds, two forms of iodine and vitamin C, it supercharges it and makes it even more bioavailable.
[03:32:45.800 --> 03:32:49.800]  Ladies and gentlemen, you want to research it, you want to see it, it's an incredible discovery.
[03:32:49.800 --> 03:33:04.800]  X3, now available at m4slife.com.
[03:33:20.800 --> 03:33:26.800]  All right, shout out to DJ Shadow.
[03:33:26.800 --> 03:33:29.800]  It's DJ Shadow Midnight in Perfect World.
[03:33:29.800 --> 03:33:31.800]  They have a good taste of music here at InfoWars.
[03:33:31.800 --> 03:33:34.800]  I always like the interest songs they use.
[03:33:34.800 --> 03:33:37.800]  DJ Shadow Midnight in a Perfect World.
[03:33:37.800 --> 03:33:39.800]  It's a hot track, yo.
[03:33:39.800 --> 03:33:40.800]  Hot track.
[03:33:40.800 --> 03:33:47.800]  So, right now we're going to talk about my experience doing stand-up this past weekend in Canada.
[03:33:47.800 --> 03:33:55.800]  The tragedy that happened in New York with the abortion laws and what it all means and what we can all do to protect ourselves.
[03:33:55.800 --> 03:34:00.800]  As they're showing right here, conspiracy queries available at hugepianist.com.
[03:34:00.800 --> 03:34:06.800]  You can get all my past specials there and then my YouTube live streams I do as many nights as I can.
