[00:00:00.458 --> 00:00:03.860]  Humanity is on a collision course with a horrific end.
[03:11:12.535 --> 03:11:27.024]  And I just think it's it's it's it's a First Amendment, but I do think it's dangerous to then sit there and just invoke all of this and say that Jews are the powerful Jewish mafias who basically run the world.
[03:11:27.024 --> 03:11:27.985]  I mean, is that what you're saying?
[03:11:29.582 --> 03:11:30.703]  Yes.
[03:11:30.703 --> 03:11:31.724]  And I think they do.
[03:11:31.724 --> 03:11:38.128]  I don't even think it's really disputed anymore after what happened to Ye in that clip that you played with Greenblatt from the ADL.
[03:11:38.128 --> 03:11:38.628]  Look at him.
[03:11:38.628 --> 03:11:45.233]  I mean, he was somebody who even in 2018, four years ago, was saying things that are regarded as politically incorrect.
[03:11:45.233 --> 03:11:46.353]  And people throw that around.
[03:11:46.353 --> 03:11:47.895]  They say, well, that's politically incorrect.
[03:11:48.965 --> 03:11:50.265]  You know, broad, nebulous thing.
[03:11:50.265 --> 03:11:51.906]  It's actually very specific.
[03:11:51.906 --> 03:11:56.427]  He said, like, partisan, conservative talking points in 18, and he was just fine.
[03:11:56.427 --> 03:12:02.129]  And he went on Tucker Carlson, and he called out China, and called out a lot of things, and he was just fine.
[03:12:02.129 --> 03:12:03.930]  Then he switched up on the Jews.
[03:12:03.930 --> 03:12:05.550]  He was banned from Fox News.
[03:12:05.550 --> 03:12:07.131]  He was banned from Daily Wire.
[03:12:07.131 --> 03:12:11.112]  And, you know, I don't have to go through the whole list, but we've all seen the cascading effect of this.
[03:12:11.112 --> 03:12:11.892]  Adidas deal cut.
[03:12:11.892 --> 03:12:12.773]  Gap deal cut.
[03:12:12.773 --> 03:12:13.273]  His bank!
[03:12:15.627 --> 03:12:18.669]  I mean, it's unbelievable.
[03:12:18.669 --> 03:12:27.253]  If that doesn't prove it, and then the ADL is going around now, and they're not just fundraising, but they're passing around a letter in Congress, and they're demanding that nobody give them a platform.
[03:12:27.253 --> 03:12:29.235]  They're getting him kicked off Twitter.
[03:12:29.235 --> 03:12:36.899]  It goes on and on and on, and so I don't even think it's even in dispute anymore that Jews have a, and you know, maybe you would qualm about whether it's
[03:12:37.219 --> 03:12:40.923]  All of the power, or just like a lot of it, or a majority of it.
[03:12:40.923 --> 03:12:43.966]  But it's true that there are these Jews, and there are Jewish groups.
[03:12:43.966 --> 03:12:47.710]  Republican Jewish Congress, Zionist Organization of America, ADL.
[03:12:47.710 --> 03:12:49.051]  These are all Jewish groups.
[03:12:49.051 --> 03:12:52.655]  World Jewish Congress, called for Apple and Spotify, and you know.
[03:12:53.436 --> 03:12:55.957]  That's kind of like asking a question in itself.
[03:12:55.957 --> 03:12:58.378]  What is the World Jewish Congress?
[03:12:58.378 --> 03:13:06.901]  Did you know that the State Department's definition of anti-Semitism says that if you believe that Jews conspire on a global level, that you're an anti-Semite?
[03:13:06.901 --> 03:13:14.924]  Well then how do you acknowledge the existence of the World Jewish Congress, which is real, they did an article about it in Newsweek last week, without being an anti-Semite?
[03:13:14.924 --> 03:13:17.325]  I mean, they also go on to say that if you call
[03:13:18.394 --> 03:13:25.456]  Israel, comparable to Hitler or the Nazis, which you have, 20 years ago in 2001, they say that's a definition of anti-Semitism.
[03:13:25.456 --> 03:13:42.320]  Well, what I said is some of the, yeah, I mean the ADL has had to take it off their website, but it's on the Wayback Machine, said they support anti-race mixing laws in Israel, and they support basically taking lands away from people that aren't Jewish, and they support
[03:13:44.832 --> 03:13:48.655]  I mean, they said we can't have replacement migration or Israel won't be Jewish.
[03:13:48.655 --> 03:14:04.448]  So, I mean, I'm not denying that Israel lives by a second set of rules, but how do you square it up that Jews in Israel have been under the most draconian lockdowns in the world after China and have been given the deadly shot and one of the highest death rates from the shot?
[03:14:04.448 --> 03:14:08.771]  I mean, if they're all powerful, why is this biomedical tyranny targeting them and doing that to them?
[03:14:10.359 --> 03:14:12.700]  Well, I think that that's just a symptom of the elite.
[03:14:12.700 --> 03:14:14.861]  I think that's a symptom of hubris.
[03:14:14.861 --> 03:14:19.603]  I don't know, for example, that the vaccine is created to kill people or something.
[03:14:19.603 --> 03:14:22.405]  I think that the COVID thing is very complicated.
[03:14:22.405 --> 03:14:24.085]  There's a lot of journalism to be done there.
[03:14:24.085 --> 03:14:25.846]  It's just kind of like Bill Gates' WF.
[03:14:25.846 --> 03:14:28.347]  Alex is off on a side tangent.
[03:14:28.347 --> 03:14:31.249]  The shot's not the centerpiece of their takeover.
[03:14:31.249 --> 03:14:36.531]  It's not depopulation, 20 million dead at least, erases your immune system, and Israel is
[03:14:38.252 --> 03:14:40.854]  The worst country for being given the poison shot.
[03:14:40.854 --> 03:14:43.816]  They're locked down to the second worst.
[03:14:43.816 --> 03:14:51.622]  Well, it wouldn't even make any sense, because if they were going around giving everybody the vaccine, and that's supposed to take out everybody, well, who are the most vaccine-hesitant?
[03:14:51.622 --> 03:14:55.766]  Who's going to be remaining when they're... And don't get me wrong, I think the shot is deadly.
[03:14:55.766 --> 03:14:57.207]  I didn't get vaccinated at all.
[03:14:57.207 --> 03:15:04.232]  But the idea that this is some kind of... that the Georgia Guidestones are dictating global politics, I think is just ridiculous.
[03:15:04.232 --> 03:15:07.294]  And I think it's one of these things that... Well, I mean, consortium led by...
[03:15:08.291 --> 03:15:10.152]  The founder of CNN put that up.
[03:15:10.152 --> 03:15:11.533]  I mean, they do believe in depopulation.
[03:15:11.533 --> 03:15:15.797]  As I was saying, Nick, there is a larger depopulation globalist agenda.
[03:15:15.797 --> 03:15:22.742]  And that gets into who funded Hitler and how they set him up and this powerful group that's next level.
[03:15:22.742 --> 03:15:24.843]  It's the transhumanists, man.
[03:15:24.843 --> 03:15:26.705]  To me, that's what's going on.
[03:15:28.604 --> 03:15:30.845]  Yeah, I just don't know how convincing that is.
[03:15:30.845 --> 03:15:32.945]  I think when you look at these raw demonstrations of power... How convincing?
[03:15:32.945 --> 03:15:35.546]  Hitler was for government push euthanasia.
[03:15:35.546 --> 03:15:36.727]  Hitler was for abortion.
[03:15:36.727 --> 03:15:41.608]  Hitler was for all these things the left supports today.
[03:15:41.608 --> 03:15:47.030]  Yeah, but again, I just think if you look at the conversation these past three weeks, it's pretty clear who's in control.
[03:15:47.030 --> 03:15:48.811]  And it's not Bill Gates, and it's not China.
[03:15:48.811 --> 03:15:53.432]  And take a look at... And listen, I don't mean this in any kind of offensive way, but you went on Crowder.
[03:15:53.432 --> 03:15:54.592]  They tried to get a live state of fire.
[03:15:54.592 --> 03:15:55.613]  Oh, I'll let you finish when you come back.
[03:15:55.613 --> 03:15:56.253]  We got a hard break.
[03:15:57.657 --> 03:16:03.661]  Climb to the top of the food chain with Alpha Power by Infowars Life.
[03:16:03.661 --> 03:16:07.803]  For those who want to increase testosterone and energy levels.
[03:16:07.803 --> 03:16:14.067]  Most men know that testosterone levels begin to decline starting around 30 at a rate of about 1-2% per year.
[03:16:15.848 --> 03:16:23.010]  This drop can show signs such as fatigue, low energy, low sex drive, and muscle loss.
[03:16:23.010 --> 03:16:28.851]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[03:16:28.851 --> 03:16:40.974]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including uricoma longifolia, originally from Malaysia.
[03:16:41.654 --> 03:16:42.195]  We're good.
[03:16:57.449 --> 03:17:01.971]  Introducing our new Incredible Supplement line in floors MD.
[03:17:01.971 --> 03:17:14.416]  Now in 60 seconds, it's hard to tell you how incredible these products are, but all of these products are already sold on store shelves under other brand names for up to twice the cost we're selling it to you.
[03:17:14.416 --> 03:17:15.596]  These are high-end.
[03:17:15.596 --> 03:17:16.677]  These are the very best.
[03:17:16.977 --> 03:17:19.478]  You know our Body's Ultimate Turmeric Formula is amazing?
[03:17:19.478 --> 03:17:19.998]  Well, guess what?
[03:17:19.998 --> 03:17:25.780]  We now have Turmeric 95 that's basically the same formula for a lower price.
[03:17:25.780 --> 03:17:28.400]  CBD oil of the highest quality.
[03:17:28.400 --> 03:17:35.282]  Up to 50% less than major competitors selling the exact high-quality, full-spectrum CBD.
[03:17:35.282 --> 03:17:40.484]  And it goes on for all the new InfoWars MD products at InfoWarsStore.com.
[03:17:40.484 --> 03:17:41.464]  The highest quality.
[03:17:41.744 --> 03:17:50.517]  Directly from the manufacturer to your door at prices up to 50%, in some cases 100% lower than what they're sold for in stores.
[03:17:50.517 --> 03:17:52.541]  InfoWarsMD at InfoWarsStore.com.
[03:17:59.416 --> 03:18:03.739]  Because you want it, here's another one just for you.
[03:18:03.739 --> 03:18:09.303]  Because without you, it would truly be a blue Christmas.
[03:18:09.303 --> 03:18:18.249]  But thank God that we have you, all of us, awakening and vibrant souls all over the Earth.
[03:18:18.249 --> 03:18:22.933]  It's your love, our love, that makes all of this possible.
[03:18:23.913 --> 03:18:33.982]  And if you feel like showing us some love today and help keep us on the air, you can do so at infowarestore.com.
[03:18:33.982 --> 03:18:42.008]  Products that will make your life better and allow us to keep broadcasting free worldwide.
[03:18:42.008 --> 03:18:45.551]  We are all in this together through thick and thin.
[03:18:45.551 --> 03:18:50.235]  On behalf of the whole crew, we love you and we thank you for your support.
[03:18:57.259 --> 03:19:06.668]  Introducing InfoWars Super High End Supplement Line at up to 50% off what these same formulas are sold for in stores.
[03:19:06.668 --> 03:19:10.972]  It's InfoWars MD, exclusively available at InfoWarsStore.com.
[03:19:10.972 --> 03:19:12.854]  We have a new line of super
[03:19:13.254 --> 03:19:19.558]  Quality CBD oils that are incredibly good for your entire body at Infowarstore.com.
[03:19:19.558 --> 03:19:29.065]  We have Libido RX, Better Mood, Nitric Boost, Mushroom Maxx Powerful Nootropic, Ageless Vitality Collagen, Superfood Greens, and more!
[03:19:29.705 --> 03:19:35.308]  Our turmeric formula is 95% humanoid, the strongest and best on the market.
[03:19:35.308 --> 03:19:40.971]  These formulas and more under the InfoWars MD banner are at InfoWarsStore.com.
[03:19:40.971 --> 03:19:50.117]  They are private labeled clones of the top brands in the country for up to 50% off where you're going to find them in stores and other online stores.
[03:19:50.117 --> 03:19:52.978]  This is our new InfoWars MD Credible line.
[03:19:58.385 --> 03:20:04.269]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones!
[03:20:46.306 --> 03:20:54.069]  All right, we got hard satellite breaks.
[03:20:54.069 --> 03:21:03.514]  I'm sure the Gropers will say that was all a big conspiracy, but our breaks are at 16 and 29 and like 46.
[03:21:03.514 --> 03:21:06.335]  So we had to go to break there.
[03:21:06.335 --> 03:21:08.836]  The point you were making, Nick, when we went to break, please continue.
[03:21:10.598 --> 03:21:16.602]  Yeah, between you and Tumeric95, I'm getting killed in this debate.
[03:21:16.602 --> 03:21:19.684]  No, no, no, you were bringing up Steven Crowder.
[03:21:19.684 --> 03:21:22.506]  I know, I know, I'm kidding, I'm giving you a hard time.
[03:21:22.506 --> 03:21:28.791]  But the point I'm trying to make is, I'm somebody who everybody knows me as the Holocaust denier, anti-Semite.
[03:21:28.791 --> 03:21:37.937]  Yeah, I talk about other things other than that too, you know, but that's sort of what I'm billed as, labeled, categorized, and I'm not permitted basically anywhere.
[03:21:38.715 --> 03:21:39.796]  I'm banned from everything.
[03:21:39.796 --> 03:21:41.096]  I'm banned from all social media.
[03:21:41.096 --> 03:21:43.298]  I'm also banned and basically not allowed.
[03:21:43.298 --> 03:21:45.899]  I'm ostracized in the entire conservative movement.
[03:21:45.899 --> 03:22:01.568]  The point I'm trying to make, and again, I'm not trying to, it's not a competition, I'm not trying to give you a hard time, but you did a show last week with Crowder, and Crowder's talking about, I've been in many a synagogues, and Crowder's a guy who hasn't, you know, he's pretended not to know me for the last two years, now that this big news story came out.
[03:22:01.568 --> 03:22:06.091]  Now he knows who I am, and he hates me, and he's doing oppo research, and I'm a rabid anti-Semite.
[03:22:06.960 --> 03:22:13.548]  I was on Elijah Schafer's show on The Blaze almost a year ago exactly, and he almost got fired for having me on the show.
[03:22:13.548 --> 03:22:20.116]  And so clearly, clearly there is some disparity in treatment between people that are talking about this very heavily.
[03:22:20.808 --> 03:22:21.709]  And people that are not.
[03:22:21.709 --> 03:22:25.972]  And I think everybody knows that you derive some benefit and there is some cover.
[03:22:25.972 --> 03:22:28.815]  And I hear this refrained my entire career.
[03:22:28.815 --> 03:22:30.176]  Well, it's those left-wing Jews.
[03:22:30.176 --> 03:22:31.297]  And they're not even really Jews.
[03:22:31.297 --> 03:22:32.498]  It's those atheists.
[03:22:32.498 --> 03:22:33.499]  But they're atheists.
[03:22:33.499 --> 03:22:34.019]  They're not Jews.
[03:22:34.019 --> 03:22:35.100]  They're atheists.
[03:22:35.100 --> 03:22:39.904]  But these Hasidic Jews, these Orthodox, these religious ones, they're our closest allies.
[03:22:39.904 --> 03:22:41.746]  I mean, these guys are really right-wing.
[03:22:41.746 --> 03:22:43.748]  I think you get a little bit of cover for that.
[03:22:43.748 --> 03:22:44.408]  I'm not going to lie.
[03:22:44.408 --> 03:22:46.310]  I don't think you're getting calls, but I do think that
[03:22:46.910 --> 03:22:56.398]  I'm not out of, I don't think I'm saying any telling out of tales out of school here, that that does provide some cover for people to hedge and say that... Really, well I'm getting cover, I'm getting cover, I didn't know it.
[03:22:56.398 --> 03:23:02.462]  Take Dr. Zev Zelenko, who early on exposed COVID, had a lot of courage and died recently, and he's an awesome guy.
[03:23:02.462 --> 03:23:07.787]  I've actually studied the geopolitics and sub-politics of different nations quite a bit, I find it fascinating.
[03:23:08.527 --> 03:23:15.790]  The left-wing Jews in Israel persecute the Orthodox Jews and take away their kids and do all sorts of stuff to them.
[03:23:15.790 --> 03:23:24.513]  So you're saying that one of the biggest groups of Hasidic Jews doesn't think Israel should exist?
[03:23:24.513 --> 03:23:28.594]  I think it's more complex, Nick, than what you're saying.
[03:23:30.131 --> 03:23:37.598]  I agree with you that there are Jewish factions, but the one thing that they're all on the same page about is that they're all on Team Jew, and they all spit on Christians.
[03:23:37.598 --> 03:23:38.839]  And this is a well-known thing.
[03:23:38.839 --> 03:23:42.902]  You go to Israel, and they literally spit on Christians.
[03:23:42.902 --> 03:23:44.604]  And it's so tragic that there are so many...
[03:23:45.373 --> 03:23:48.215]  Christian Zionists or Christian Philosemites.
[03:23:48.215 --> 03:23:50.096]  These are not the Jews of the Old Testament.
[03:23:50.096 --> 03:23:56.581]  These are rabbinical Jews that, and I talked about this on the Yeh interview, they believe in the Talmud.
[03:23:56.581 --> 03:24:02.706]  Their rabbinical interpretation of the Hebrew Bible has now, it's almost like it's abrogated
[03:24:03.286 --> 03:24:03.667]  We're good to go.
[03:24:21.980 --> 03:24:23.241]  They're not our people.
[03:24:23.241 --> 03:24:26.483]  They do not share our best interests and they don't even see us as equals.
[03:24:26.483 --> 03:24:32.846]  And you said this, I saw a clip from you on the day after 9-11, you said that they call the Palestinians goyim.
[03:24:32.846 --> 03:24:34.547]  They call us animals.
[03:24:34.547 --> 03:24:36.388]  And that's how they regard non-Jews.
[03:24:36.388 --> 03:24:38.609]  It's Jews and they're in a big club.
[03:24:38.609 --> 03:24:41.911]  How old were you on September 11, 2001?
[03:24:41.911 --> 03:24:42.552]  I was three.
[03:24:42.552 --> 03:24:47.535]  Man, I'm getting old here.
[03:24:47.535 --> 03:24:51.597]  Well, look, here's where I'm at on this, Nick, and I want to take some calls coming up.
[03:24:53.411 --> 03:24:56.072]  You say this whole thing about Bill Gates is a side issue.
[03:24:56.072 --> 03:24:57.573]  No, that's the central issue.
[03:24:57.573 --> 03:25:05.497]  And I see this whole leftist thing saying America's Hitler and, you know, the leftist scripture Captain America.
[03:25:05.497 --> 03:25:07.038]  I see it just as what it is.
[03:25:09.767 --> 03:25:17.771]  I just hope that all of us can come together and transcend the cashless society and the world government, the forced injections, and the imploding borders.
[03:25:17.771 --> 03:25:24.314]  I'm just trying to get everybody together on those issues instead of obsessing about different groups all day.
[03:25:24.314 --> 03:25:26.635]  You know, there's whole groups that think Catholics run everything.
[03:25:26.635 --> 03:25:28.076]  And I don't think that's the case.
[03:25:28.076 --> 03:25:30.637]  And I don't think that Jews run everything.
[03:25:30.637 --> 03:25:34.419]  I mean, who do you think runs China with a billion, 500 million people?
[03:25:35.655 --> 03:25:45.179]  I think the Chinese run China, and I think that's why... I mean, there are problems in China, but China's a country that is fighting ruthlessly for its own self-interest.
[03:25:45.179 --> 03:25:48.740]  And you could say that it's a tyrannical state, but China's always been a tyrannical state.
[03:25:48.740 --> 03:25:50.361]  They're a different kind of society.
[03:25:50.361 --> 03:25:59.625]  The Chinese people are very collectivist, they're very societally minded, they're very obedient and deferential, and that's their culture and that's who they are.
[03:25:59.625 --> 03:26:02.146]  But there's no question that the Chinese Standing Committee
[03:26:02.839 --> 03:26:11.862]  And Xi Jinping are going out to bat every day to get great trade deals for China in the way that our Jewish leaders in America are not working for people in Oklahoma and Iowa.
[03:26:11.862 --> 03:26:14.103]  Does anybody believe the Hollywood Jews in L.A.
[03:26:14.103 --> 03:26:16.864]  and the finance Jews in New York and the government Jews in D.C.
[03:26:16.864 --> 03:26:18.944]  and the ones in South Florida?
[03:26:18.944 --> 03:26:20.785]  Does anybody think they care at all?
[03:26:20.785 --> 03:26:25.926]  They give a damn about people in Texas or people in Kansas or people in Iowa?
[03:26:25.926 --> 03:26:26.767]  They don't!
[03:26:26.767 --> 03:26:27.587]  In the same way that
[03:26:28.007 --> 03:26:33.691]  You could say Putin or Xi Jinping care, I think, about their countrymen, or Assad cares about the people of Syria.
[03:26:33.691 --> 03:26:39.515]  And that's really the conflict, is we've got this separate nation on top of ours, and they're not the only one.
[03:26:39.515 --> 03:26:45.199]  There's other... Saudi Arabia is influential, the Qataris, the Emiratis are influential, CHICOMs are a real problem.
[03:26:45.199 --> 03:26:46.640]  They spy on our country.
[03:26:46.640 --> 03:26:49.622]  But there's only one that no one's permitted to talk about.
[03:26:49.622 --> 03:26:54.205]  You can hear about all those issues on The War Room, and you can hear about them on Tucker Carlson and Fox, and
[03:26:54.645 --> 03:27:05.189]  You know, Mike Pompeo can say them, but there's one very powerful gangster group that you talk about it and it's an instant ban, it's an instant kill shot, in some cases they literally threaten to take your life.
[03:27:05.189 --> 03:27:20.474]  So, I agree, I don't mean to reduce it all to something that's so simple, but we can't describe the society without bringing that into it, and that's one of the things that I... Well, I wanted to have the actual intellectual side of this discussion here today, and, you know, I personally think
[03:27:21.235 --> 03:27:25.056]  That everybody that gets sucked into this black hole is giving power to it.
[03:27:25.056 --> 03:27:27.517]  And that's what some of the sinister forces manipulating groups want.
[03:27:27.517 --> 03:27:33.398]  And I think we have to transcend things on policy and ideas and actual issues and the fruits of the tree.
[03:27:33.398 --> 03:27:35.279]  We're going to go to break here in a few minutes.
[03:27:35.279 --> 03:27:37.099]  It's your chance, unfiltered folks.
[03:27:37.099 --> 03:27:38.179]  We don't screen the calls.
[03:27:38.179 --> 03:27:39.900]  Just have a good clean phone line.
[03:27:39.900 --> 03:27:41.840]  Tell us where you're calling from and don't cuss.
[03:27:41.840 --> 03:27:42.921]  We're on a lot of radio stations.
[03:27:42.921 --> 03:27:43.601]  We can't have that.
[03:27:44.181 --> 03:27:45.662]  The toll-free number is 877-789-2539, 877-789-Alex, 877-789-2539.
[03:27:45.662 --> 03:27:48.464]  We're talking about the Ye interview, Nick Fuentes today, censorship.
[03:27:48.464 --> 03:27:50.086]  We'll talk about Elon Musk coming up.
[03:28:00.914 --> 03:28:03.495]  What Nick Fuentes thinks of what he's really doing?
[03:28:03.495 --> 03:28:09.779]  Look, he's humanly banned, but overall he's bringing a lot of great folks back and exposing the death shot, the medical tyranny.
[03:28:09.779 --> 03:28:10.899]  So I like that.
[03:28:10.899 --> 03:28:20.044]  I like the Santas talking about their setting up a statewide prosecution through these grand juries of the vaccine makers.
[03:28:20.044 --> 03:28:22.265]  I mean, that's where I'm at.
[03:28:22.265 --> 03:28:24.707]  And so you can say who runs it or who's behind it.
[03:28:24.707 --> 03:28:26.708]  I'm just going to oppose pedophilia.
[03:28:27.088 --> 03:28:28.849]  I don't care who's behind it.
[03:28:28.849 --> 03:28:30.490]  I'm going to oppose fractional reserve banking.
[03:28:30.490 --> 03:28:31.591]  I don't care who's behind it.
[03:28:31.591 --> 03:28:34.813]  I'm going to be issue-oriented, and that's what I do.
[03:28:34.813 --> 03:28:36.254]  But we're going to take your phone calls.
[03:28:36.254 --> 03:28:41.137]  Coming up, 877-789-2539.
[03:28:41.137 --> 03:28:42.077]  877-789-Alex.
[03:28:42.077 --> 03:28:43.298]  Infowars.com.
[03:28:43.298 --> 03:28:44.679]  Tomorrow's news.
[03:28:44.679 --> 03:28:49.282]  Today, we'll be right back with Nick Fuentes.
[03:28:49.282 --> 03:28:52.644]  Straight ahead, and then in 30 minutes, The War Room with Owen Schroyer.
[03:28:57.392 --> 03:29:04.398]  It's hard to believe sometimes that we are still live on air, broadcasting free worldwide.
[03:29:04.398 --> 03:29:09.582]  And it seems quite real that things can change in an instant.
[03:29:09.582 --> 03:29:16.628]  Things are getting very weird, and it's definitely more difficult than ever to even know what's going on.
[03:29:16.628 --> 03:29:19.791]  But we'll keep doing our best, so long as you keep us on the air.
[03:29:20.671 --> 03:29:24.833]  And you can do that now at InfoWarStore.com.
[03:29:24.833 --> 03:29:31.276]  Help us clear out our stock of bodies' turmeric, vitamin C with zinc, and alpha power.
[03:29:31.276 --> 03:29:38.700]  Turn those shady Federal Reserve notes into the highest quality supplements available while they still last.
[03:29:38.700 --> 03:29:41.921]  Now, with free shipping.
[03:29:41.921 --> 03:29:44.222]  We thank you for your support.
[03:29:44.222 --> 03:29:48.184]  And we wish you a very peaceful, happy, and Merry Christmas.
[03:29:56.693 --> 03:29:59.934]  InfoWars MD is finally here.
[03:29:59.934 --> 03:30:16.617]  It's the very same high quality products you've been getting through InfoWars Life, but an expanded catalog and in some cases the prices are lower because we're going directly to the source that was supplying the supplement companies that we were buying our high quality products from.
[03:30:16.617 --> 03:30:22.498]  So we're able to lower prices and bring you more products via the InfoWars MD line.
[03:30:23.078 --> 03:30:25.619]  The highest quality, triple tested.
[03:30:25.619 --> 03:30:29.581]  Many of these products are sold on store shelves for more than twice the cost.
[03:30:29.581 --> 03:30:34.083]  You'll get them at InfoWarsStore.com under our exclusive label.
[03:30:34.083 --> 03:30:40.005]  We're bringing you the highest quality supplements directly from the factory, right here in the USA, to your door.
[03:30:40.005 --> 03:30:45.868]  It'll make your life healthy, better, boost your immune system, and it keeps InfoWars Store on the air.
[03:30:45.868 --> 03:30:51.370]  So again, introducing InfoWars MD, now exclusively available at InfoWarsStore.com with
[03:30:51.970 --> 03:31:08.043]  Once a tragedy reaches a level of national significance, American citizens should be allowed to basically question that event in any way that they deem fit.
[03:31:08.043 --> 03:31:09.925]  The First Amendment is unique in the world.
[03:31:09.925 --> 03:31:11.386]  That's what they want to take away.
[03:31:11.386 --> 03:31:12.927]  Your ability to speak freely.
[03:31:12.927 --> 03:31:14.609]  So they're going to go for Mike Lindell next?
[03:31:14.609 --> 03:31:15.890]  Or are they going to go for Steve Bannon?
[03:31:15.890 --> 03:31:17.291]  Or are they going to go for Tucker Carlson?
[03:31:17.691 --> 03:31:20.853]  I studied the globalists 30 years ago, but only 28 years.
[03:31:20.853 --> 03:31:22.534]  And I knew they were planning all of this.
[03:31:22.534 --> 03:31:24.936]  And I warned the public, as the modern Paul Revere.
[03:31:24.936 --> 03:31:26.957]  But I couldn't have done it without your support.
[03:31:26.957 --> 03:31:33.902]  And now, because we've been so successful warning the population of the planet, not just America, we're public enemy number one when it comes to the globalists' agenda.
[03:31:34.542 --> 03:31:39.925]  That's why it's more important than ever to realize how successful InfoWars has been because of your past support.
[03:31:39.925 --> 03:31:48.871]  So I salute you and I thank you and I ask you now, at the critical juncture of the battle, to redouble your efforts by visiting InfoWarsStore.com and getting amazing products that keep us on air.
[03:31:48.871 --> 03:31:51.212]  1776 is the promo code.
[03:31:51.212 --> 03:31:55.135]  The destination is InfoWarsStore.com and I thank you all for your support.
[03:31:56.750 --> 03:31:59.771]  InfoWars' secret weapon is finally here.
[03:31:59.771 --> 03:32:08.132]  It's a secret weapon for your immune system, for your stamina, for your energy, for your way of life, for your libido, and it also keeps InfoWars on the air.
[03:32:08.132 --> 03:32:17.674]  And I almost forgot, you save at least 50% on these products for what you'd pay for similar products or the exact same products in stores around the country.
[03:32:17.674 --> 03:32:23.135]  That's because we go right to the highest quality manufacturer in the nation that supplies some of the top names.
[03:32:23.135 --> 03:32:25.835]  They then give us the best deal out there, because the owner's a listener,
[03:32:26.075 --> 03:32:28.517]  We're able to bring it to you with massive discounts.
[03:32:28.517 --> 03:32:33.701]  You're not going to find 1,000 mg high quality CBD for anywhere near the price we sell it.
[03:32:33.701 --> 03:32:36.063]  You're not going to find it at the 10 mg or the 20 mg.
[03:32:36.063 --> 03:32:39.846]  You're not going to find turmeric at 95% humanoid at the price we're selling it.
[03:32:39.846 --> 03:32:42.488]  You're not going to find any of this anywhere near that.
[03:32:42.488 --> 03:32:48.612]  These similar formulas or the same formulas sell for up to 200% more than we're selling these.
[03:32:48.612 --> 03:32:52.976]  InfoWars MD, now available exclusively at InfoWarsStore.com.
[03:32:52.976 --> 03:32:53.696]  A true 360 win.
[03:32:57.802 --> 03:33:02.403]  Leading a frontal assault on the lies of the New World Order.
[03:33:02.403 --> 03:33:16.787]  It's Alex Jones.
[03:33:16.787 --> 03:33:21.388]  If you are receiving this transmission, you are the resistance.
[03:33:21.388 --> 03:33:26.509]  Live from Austin, Texas, you're listening to the Alex Jones Show.
[03:33:45.082 --> 03:33:47.085]  Well, we got a load of phone lines for Nick Fuentes here.
[03:33:47.085 --> 03:33:48.647]  I'm Alex Jones, your host.
[03:33:48.647 --> 03:33:53.432]  And let me just make my point here, and then I'm basically done debating and arguing all this.
[03:33:53.432 --> 03:34:02.123]  I don't judge Nick Fuentes, even though I disagree with him on some issues here, because you can't have the left viciously
[03:34:03.129 --> 03:34:05.070]  Saying that white people are inherently the devil.
[03:34:05.070 --> 03:34:15.877]  I have stacks of articles here where major universities in Michigan, California, New York are going to make white people wear badges that digitally track them and don't let them go in certain areas.
[03:34:15.877 --> 03:34:17.618]  And who's running that?
[03:34:17.618 --> 03:34:19.299]  The ADL.
[03:34:19.299 --> 03:34:22.420]  The ADL at their last three conferences said I'm the number one enemy.
[03:34:22.420 --> 03:34:25.722]  We track the lawsuits, the attacks, everything to them.
[03:34:25.722 --> 03:34:30.165]  But I'm not going to blame the average Jew for what that horrible mafia is doing to me and my family.
[03:34:30.165 --> 03:34:31.466]  Who actually use Hitler tactics.
[03:34:32.822 --> 03:34:35.484]  My issue here is I've studied eugenics.
[03:34:35.484 --> 03:34:37.345]  I've studied the New World Order.
[03:34:37.345 --> 03:34:40.988]  Francis Galton, 1850, founds the eugenics organization.
[03:34:40.988 --> 03:34:42.429]  They developed the whole plan.
[03:34:42.429 --> 03:34:47.333]  They create the Rockefeller-Kaiser-Wilhelm Institute, the Cold Springs Harbor Operation.
[03:34:47.333 --> 03:34:48.814]  Hitler is a spinoff of that.
[03:34:48.814 --> 03:34:50.215]  Hitler's for euthanasia.
[03:34:50.215 --> 03:34:52.316]  Hitler's for planned societies.
[03:34:52.316 --> 03:34:58.781]  I oppose that because it is an offshoot of this eugenics operation, and I'm an expert on it.
[03:34:58.781 --> 03:35:00.963]  I know all about it, and I don't just read history books.
[03:35:02.628 --> 03:35:07.352]  I'm not going to tell the whole story here, and I've never even told the whole story because it's amazing.
[03:35:07.352 --> 03:35:13.637]  But again, Dallas, Texas, one side of my grandfather's family were old Texans.
[03:35:13.637 --> 03:35:20.063]  The other side, the Hammonds, were Germans who'd come here pretty recently, and they were not Jewish.
[03:35:20.063 --> 03:35:21.164]  They were blond-haired, blue-eyed.
[03:35:22.905 --> 03:35:27.829]  They were in World War II, and they know what went on, and they told me, no, Hitler was bad.
