[00:00.000 --> 00:29.700]  This is the GCN Radio Network.
[1:26:24.700 --> 1:26:27.700]  The devil's greatest trick was convincing the world he didn't exist.
[1:26:27.700 --> 1:26:30.700]  The new order's greatest trick was convincing the world he didn't exist.
[1:26:30.700 --> 1:26:31.700]  Now they admit they exist.
[1:26:31.700 --> 1:26:32.700]  Why?
[1:26:32.700 --> 1:26:33.700]  They're making their move.
[1:26:33.700 --> 1:26:34.700]  They've decloaked.
[1:26:34.700 --> 1:26:35.700]  It's a dangerous point for them.
[1:26:35.700 --> 1:26:36.700]  They had to do it.
[1:26:36.700 --> 1:26:39.700]  They turned off the cloaking device.
[1:26:39.700 --> 1:26:41.700]  I kept saying, look at that shimmer.
[1:26:41.700 --> 1:26:42.700]  They're right there.
[1:26:42.700 --> 1:26:43.700]  They're right there.
[1:26:43.700 --> 1:26:44.700]  Here's their own document.
[1:26:44.700 --> 1:26:45.700]  See that shimmer right there?
[1:26:45.700 --> 1:26:46.700]  That's an enemy.
[1:26:46.700 --> 1:26:52.700]  And then, like in Predator, the clone, the cloaking device goes down and there it is.
[1:26:52.700 --> 1:26:55.700]  And I'm saying, now you see what I'm talking about.
[1:26:55.700 --> 1:27:00.700]  I was pointing out the footprints and the shimmer and showing people and people didn't want to believe it.
[1:27:00.700 --> 1:27:01.700]  And now it's decloaked.
[1:27:01.700 --> 1:27:03.700]  And the point is, those documents were always there.
[1:27:03.700 --> 1:27:04.700]  Those facts were always there.
[1:27:04.700 --> 1:27:09.700]  People now are just willing to listen because they're seeing it being openly announced and they're going through pain.
[1:27:09.700 --> 1:27:13.700]  And the pain has just begun.
[1:27:13.700 --> 1:27:17.700]  And so now is the time to warn people.
[1:27:17.700 --> 1:27:20.700]  Now is the time to reach out to people.
[1:27:20.700 --> 1:27:24.700]  You know, I told you that they were going to spend tens of trillions of dollars with the bailout because the bill said it.
[1:27:24.700 --> 1:27:25.700]  I'm no genius.
[1:27:25.700 --> 1:27:26.700]  I just took the time to read it.
[1:27:26.700 --> 1:27:30.700]  And I told you they'd use the money to buy up other banks and insurance companies and infrastructure.
[1:27:30.700 --> 1:27:33.700]  And they're doing it.
[1:27:33.700 --> 1:27:36.700]  And there's so many people out there that want to, quote, play it safe.
[1:27:36.700 --> 1:27:42.700]  So many other national talk show hosts, local talk show hosts in every area of the country who I talked to privately at conventions and events.
[1:27:42.700 --> 1:27:46.700]  And, oh, Alex, I know a lot of what you're saying is true, but I'm too scared to say it on air.
[1:27:46.700 --> 1:27:48.700]  And, you know, I want to be mainline.
[1:27:48.700 --> 1:27:50.700]  I don't want to scare away any sponsors.
[1:27:50.700 --> 1:27:51.700]  There aren't going to be any sponsors.
[1:27:51.700 --> 1:27:53.700]  There aren't going to be as many radio shows.
[1:27:53.700 --> 1:28:00.700]  There aren't going to be as good a country and a free market and all the cornucopia of good things that have come from having somewhat of a free society.
[1:28:00.700 --> 1:28:03.700]  Sometimes playing it safe isn't playing it safe.
[1:28:03.700 --> 1:28:09.700]  In fact, a lot of times in history, playing it safe is what gets your butt in a sling.
[1:28:09.700 --> 1:28:10.700]  The country is too important.
[1:28:10.700 --> 1:28:11.700]  The country is too good.
[1:28:11.700 --> 1:28:20.700]  Humanity is too good for us to stand down and suck our thumbs and not be involved, ladies and gentlemen, and rationalize and live in denial.
[1:28:20.700 --> 1:28:21.700]  I'll go back to it.
[1:28:21.700 --> 1:28:28.700]  Now all these national neocon fake conservative hosts that have been there to neutralize their audiences, to make them stand down.
[1:28:28.700 --> 1:28:32.700]  Who said thousands of times there's no new world order, no global government.
[1:28:32.700 --> 1:28:35.700]  Now they're being forced to go on air and say, yeah, there's a new world order.
[1:28:35.700 --> 1:28:36.700]  Yeah, there's a global government.
[1:28:36.700 --> 1:28:38.700]  But it's a liberal conspiracy.
[1:28:38.700 --> 1:28:43.700]  No, ladies and gentlemen, it's a conservative and liberal conspiracy because there is no conservative and liberal at the highest levels.
[1:28:43.700 --> 1:28:45.700]  They own both parties.
[1:28:45.700 --> 1:28:46.700]  And most people know that.
[1:28:46.700 --> 1:28:50.700]  But, I mean, are you really putting that into function mentally every time you hear a politician?
[1:28:50.700 --> 1:28:57.700]  I wrote a manual during the news earlier while I see the staff saying the Republicans did this to the economy in the last eight years and now they're going to have to pay for it.
[1:28:57.700 --> 1:29:06.700]  The Republicans were involved, but it was actually Clinton and Larry Summers and Geithner that set all this up in the 1990s.
[1:29:06.700 --> 1:29:07.700]  And it's just asinine.
[1:29:07.700 --> 1:29:08.700]  It's outrageous.
[1:29:08.700 --> 1:29:10.700]  And it's an insult to everybody's intelligence.
[1:29:10.700 --> 1:29:12.700]  Your call straight ahead.
[1:29:12.700 --> 1:29:13.700]  Stay with us.
[1:29:13.700 --> 1:29:20.700]  Millions of Americans are beginning to realize the enormity of the economic and political problems facing the U.S. and the world.
[1:29:20.700 --> 1:29:24.700]  And for the first time in their lives, they are feeling the need for preparedness.
[1:29:24.700 --> 1:29:30.700]  Ready Reserve Foods has been in continuous operation, manufacturing the finest and dehydrated foods for almost 40 years.
[1:29:30.700 --> 1:29:32.700]  Ready Reserve is the manufacturer.
[1:29:32.700 --> 1:29:40.700]  Unlike other companies that just broker canned foods, Ready Reserve controls the quality from start to finish with doubly-nammeled cans and nitrogen packaging.
[1:29:40.700 --> 1:29:45.700]  When purchasing from Ready Reserve Foods, you are buying factory direct at wholesale prices.
[1:29:45.700 --> 1:29:51.700]  Other companies are quoting delivery times of one to two months while Ready Reserve ships within five business days.
[1:29:51.700 --> 1:29:57.700]  Many companies do not even offer a catalog. We will be more than happy to send a catalog to you free of charge.
[1:29:57.700 --> 1:30:05.700]  Dial 1-800-453-2202, 1-800-453-2202, or visit our website at ReadyReserveFoods.com.
[1:30:05.700 --> 1:30:12.700]  Factory direct, wholesale pricing from Ready Reserve Foods. Call us at 1-800-453-2202.
[1:30:12.700 --> 1:30:21.700]  Heart disease is on the rise. Clogged arteries, high blood pressure and high cholesterol levels may not be fully detected by you.
[1:30:21.700 --> 1:30:31.700]  But the symptoms are there. Loss of energy, blood sugar, spikes and drops, poor circulation and irregular heartbeat are just a few of these that can alert you that something is wrong.
[1:30:31.700 --> 1:30:37.700]  Here, how heart and body extract is making a difference in thousands of people's lives across America.
[1:30:37.700 --> 1:30:41.700]  My blood pressure has normalized. My diabetes has totally improved.
[1:30:41.700 --> 1:30:45.700]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[1:30:45.700 --> 1:30:47.700]  I recommend heart and body extract to everyone.
[1:30:47.700 --> 1:30:55.700]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[1:30:55.700 --> 1:31:03.700]  Order your two-month supply today by calling 866-295-5305. That's 866-295-5305.
[1:31:03.700 --> 1:31:13.700]  Or order online hbextract.com, heart and body extract 866-295-5305 or hbextract.com.
[1:31:13.700 --> 1:31:21.700]  How many times have you been in the dark looking for a flashlight? Only to find the one that you have is broken. The batteries are dead or it's just not bright enough.
[1:31:21.700 --> 1:31:31.700]  You need the pack light. The pack light is the longest lasting flashlight on the market and simply snaps onto any 9-volt battery and uses two high-powered LED lights.
[1:31:31.700 --> 1:31:35.700]  It's small enough to carry in your pocket, car, garage and home.
[1:31:35.700 --> 1:31:40.700]  The pack light can survive severe impact, be frozen solid and still work flawlessly.
[1:31:40.700 --> 1:31:46.700]  The pack light is so durable, soldiers overseas rely on them and has been featured in the New York Times and Backpacker magazine.
[1:31:46.700 --> 1:31:51.700]  The pack light comes with a 25-year warranty and prices started just $12.99.
[1:31:51.700 --> 1:32:01.700]  To learn more and see for yourself just how incredible this small flashlight can be, visit 9voltlight.com. That address again is 9voltlight.com.
[1:32:01.700 --> 1:32:24.700]  Or call us today at 877-715-4448. That's 877-715-4448.
[1:32:31.700 --> 1:32:36.700]  All types of survival foods in an event of social unrest and food shortages here in the U.S.
[1:32:36.700 --> 1:32:42.700]  Grain shortages and hunger are spreading across the globe. Will troops guard the food supplies in the U.S. this fall?
[1:32:42.700 --> 1:32:47.700]  Don't wait. Learn the food shortage skills that can keep you and your family alive in a crisis.
[1:32:47.700 --> 1:32:53.700]  Get the details at foodshortagesa.com. That's foodshortagesa.com.
[1:32:53.700 --> 1:32:59.700]  Or you can call toll free 877-327-0365. Don't wait for empty shelves.
[1:32:59.700 --> 1:33:03.700]  Go to foodshortagesa.com while you still have time.
[1:33:03.700 --> 1:33:30.700]  Go to foodshortagesa.com or toll free at 877-327-0365. Act now.
[1:33:30.700 --> 1:33:34.700]  You're still alive because I put out my message. My film is my information. They kill me.
[1:33:34.700 --> 1:33:39.700]  It'll just make people pay that much more attention to it. It'll underline, highlight everything I've said and written.
[1:33:39.700 --> 1:33:43.700]  But also it's the good Lord above and I believe in fate and destiny.
[1:33:43.700 --> 1:33:48.700]  And if you try to do the right thing and you've got a mission, if it's in God's plan, you're protected.
[1:33:48.700 --> 1:33:54.700]  But more than that, we have a lot of friends in government and in companies and corporations, the military, the police.
[1:33:54.700 --> 1:33:58.700]  They know this is true more than anybody else.
[1:33:58.700 --> 1:34:01.700]  And that's why the military and the police are hiring felons and criminals.
[1:34:01.700 --> 1:34:04.700]  You Google sheriff's departments, police departments hiring felons.
[1:34:04.700 --> 1:34:09.700]  The military, I mean large amounts of felons. They are trying to convert it to a criminal force.
[1:34:09.700 --> 1:34:12.700]  And that's freaking the military out even that much more.
[1:34:12.700 --> 1:34:17.700]  All right, let's go ahead and go to your calls. Mike in Wisconsin, you're on the air. Thanks for holding.
[1:34:17.700 --> 1:34:36.700]  Hey, Alex, I have two friends that have very young children between the ages of three and 10. And I know about twice a year you, a guest calls in and asks, you know, how can, how do I best raise my children as we descend into this tyranny?
[1:34:36.700 --> 1:34:43.700]  And I wanted to be the first of the 2009 guests that calls and requests information from you.
[1:34:43.700 --> 1:34:48.700]  Unfortunately, neither of the children can be home schooled.
[1:34:48.700 --> 1:34:59.700]  So I was wondering, I'll be willing to listen off the air, but I was wondering if you could kind of address my two friends and kind of instruct them how to raise their children.
[1:34:59.700 --> 1:35:01.700]  Do they have money to put them in a private school?
[1:35:01.700 --> 1:35:04.700]  I don't think so, unfortunately.
[1:35:04.700 --> 1:35:06.700]  All right, let me try to answer your question.
[1:35:06.700 --> 1:35:16.700]  I've really studied this and I've studied what experts have had good, you know, good track records have said.
[1:35:16.700 --> 1:35:18.700]  We've had a lot of success.
[1:35:18.700 --> 1:35:25.700]  They need to move them to a government training camp school district, public school district, that is generally more affluent.
[1:35:25.700 --> 1:35:30.700]  They need to pick one that doesn't have the fences and the barbed wire and the thumb printing to get their school lunch.
[1:35:30.700 --> 1:35:37.700]  They also need to explain to their, well, number one, keep your children off M&M, sugar, caffeine, because they're going to act up if they're on that, no matter how good they are.
[1:35:37.700 --> 1:35:39.700]  And don't let your children watch TV.
[1:35:39.700 --> 1:35:40.700]  It brain damages them.
[1:35:40.700 --> 1:35:41.700]  Don't believe me.
[1:35:41.700 --> 1:35:44.700]  Just Google television viewing brain damage, especially in the young.
[1:35:44.700 --> 1:35:45.700]  Don't let them watch the video games.
[1:35:45.700 --> 1:35:46.700]  Watch out who they hang out with.
[1:35:46.700 --> 1:35:51.700]  I mean, all the basic simple stuff, the biggest thing is nutrition with children.
[1:35:51.700 --> 1:35:54.700]  No caffeine, no processed sugar.
[1:35:54.700 --> 1:36:02.700]  And explain to them that the system's dangerous and corrupt and that the system wants to get them, you know, most public schools are to induct children into prison.
[1:36:02.700 --> 1:36:12.700]  I kept telling people that Austin, Texas puts children in juvenile, private juvenile homes that make tens of millions here in Austin alone off of federal and state money.
[1:36:12.700 --> 1:36:22.700]  And now it's come out in Iowa and Chicago, Illinois, all over the country, seeing a headline, judges given kickbacks to put innocent children in jail.
[1:36:22.700 --> 1:36:27.700]  And, I mean, they would write something on their MySpace in the seventh grade that wasn't even violent or bad about their teacher.
[1:36:27.700 --> 1:36:29.700]  Six months in a, quote, labor camp.
[1:36:29.700 --> 1:36:33.700]  And that judge had gotten one judge, two million bucks to do that.
[1:36:33.700 --> 1:36:34.700]  They pled guilty.
[1:36:34.700 --> 1:36:37.700]  Well, that goes on all over the place, folks.
[1:36:37.700 --> 1:36:39.700]  You also start investigations.
[1:36:39.700 --> 1:36:42.700]  When you see crimes like this being committed, blow the whistle.
[1:36:42.700 --> 1:36:43.700]  This is going on almost everywhere.
[1:36:43.700 --> 1:36:45.700]  It's totally illegal.
[1:36:45.700 --> 1:36:47.700]  And the judges all need to go to prison.
[1:36:47.700 --> 1:36:50.700]  These are criminals, period.
[1:36:50.700 --> 1:36:52.700]  Folks, everything I tell you is documented.
[1:36:52.700 --> 1:36:58.700]  I told you they were taking your kid's blood for 36 years and putting it in secret DNA databases for eugenics testing.
[1:36:58.700 --> 1:37:01.700]  That's now mainstream news, but they say 44 years.
[1:37:01.700 --> 1:37:03.700]  Well, the documents I had said 36.
[1:37:03.700 --> 1:37:04.700]  Okay.
[1:37:04.700 --> 1:37:07.700]  The statesman last week in UPI and AP says 44 years.
[1:37:07.700 --> 1:37:09.700]  It's 36 years worldwide.
[1:37:09.700 --> 1:37:11.700]  You in database for Texans.
[1:37:11.700 --> 1:37:16.700]  UT holds it now has a database down in does it form down in San Antonio.
[1:37:16.700 --> 1:37:18.700]  Dennis in Colorado.
[1:37:18.700 --> 1:37:19.700]  Dennis, you're on the air.
[1:37:19.700 --> 1:37:20.700]  Welcome.
[1:37:20.700 --> 1:37:21.700]  Hi, Alex.
[1:37:21.700 --> 1:37:25.700]  I want to talk about Hillary Clinton.
[1:37:25.700 --> 1:37:30.700]  The eminent, eminent domain issue that came up.
[1:37:30.700 --> 1:37:34.700]  And then the idea national recantus.
[1:37:34.700 --> 1:37:35.700]  Okay.
[1:37:35.700 --> 1:37:38.700]  Number one, the guy that puts out the story about the Amaro coin.
[1:37:38.700 --> 1:37:48.700]  That's a real coin, but it's put out by a private man is the same guy that put out the story that Hillary signed a deal with no footnote with the Chinese to give our land to the Chinese under imminent domain for them to keep buying it.
[1:37:48.700 --> 1:37:58.700]  Now, the reason this is such bad wicked propaganda is that it's true that that's been done, but not true the way he says.
[1:37:58.700 --> 1:38:06.700]  And so when people find out that is it true, then when I talk about how they've done it to the foreign banks, people will think that I'm the one putting out the hoax.
[1:38:06.700 --> 1:38:10.700]  Yeah, there's there's a real problem with this information.
[1:38:10.700 --> 1:38:19.700]  We need you to air the problem of government corruption while being absolutely truthful with no exaggerations of the current available facts.
[1:38:19.700 --> 1:38:30.700]  For example, we can't say we know thousands of daily episodes of something occurring such as epidemics of spongiform brain neuropathy resulting from aspartame use.
[1:38:30.700 --> 1:38:42.700]  We can report the actual findings, but when we average the scattered local results and extrapolate to a global level, it is an unreliable logic that results.
[1:38:42.700 --> 1:38:49.700]  Solzhenitsyn is known for being a dissident, but he spoke about repentance.
[1:38:49.700 --> 1:38:58.700]  He says repentance is the first bit of firm ground underfoot, the only one from which we can go forward, not to fresh hatred, but to concord.
[1:38:58.700 --> 1:39:02.700]  Repentance is the only starting point for spiritual growth for each.
[1:39:02.700 --> 1:39:10.700]  I agree. We have to admit what's wrong with ourselves individually and get a strong mooring, a strong compass, and then go from there.
[1:39:10.700 --> 1:39:22.700]  Now, separately, on the subject, through the IMF, through the World Bank, the United States, the federal government has pledged its natural resources, its lands,
[1:39:22.700 --> 1:39:32.700]  through different executive orders that we've covered, my first film, American Destroy by Design, covers it, to the global holding banks, the International Bank of Settlements, and others.
[1:39:32.700 --> 1:39:37.700]  And then China did come out in Reuters a few weeks ago and say, we want more pledged.
[1:39:37.700 --> 1:39:47.700]  That's why the Arabs are getting the ports and the roads and why Spanish government banks, private companies are getting the roads and toll roads.
[1:39:47.700 --> 1:39:57.700]  So it is true that this is all happening. It's just that specifically on, you know, saying overall, China gets it all, that's an exaggeration.
[1:39:57.700 --> 1:40:10.700]  Well, if I had a whistleblower constitutional lawyer to protect me, and if that imminent domain story was correct, I'm in a federal government job.
[1:40:10.700 --> 1:40:27.700]  Send an email to the complete government list, the global list, and convict whoever is involved in this, because it is a treasonous thing.
[1:40:27.700 --> 1:40:34.700]  Sir, it is true. Why do you think the Chinese were given the Panama Canal when we built it, and the U.S. didn't even try to get bids on it and keep it?
[1:40:34.700 --> 1:40:41.700]  Well, there's something really fishy there. It seems like there's a long-standing global plan to...
[1:40:41.700 --> 1:40:49.700]  Well, the globalists say it's about destroying sovereignty. They transfer countries' powers to other nations they control.
[1:40:49.700 --> 1:41:00.700]  Right. Well, sovereignty was Obama's plan. If you really wanted to swear an oath to the Constitution to protect and defend it,
[1:41:00.700 --> 1:41:11.700]  notice that from the Bush administration to his administration, we never got a chance to repentant of all the supposed crimes at the Bush administration.
[1:41:11.700 --> 1:41:18.700]  In fact, you're right. He called Bush when he decided to keep the troops in Iraq this weekend to get his advice before he made the announcement.
[1:41:18.700 --> 1:41:27.700]  That was in the news, and he's continuing. Everything Bush did, headline, Obama backs Bush on no rights for detainees, Reuters.
[1:41:27.700 --> 1:41:35.700]  It's all continuing. In fact, it's accelerating. The exact same course, just the entire left is now standing down.
[1:41:35.700 --> 1:41:38.700]  Let's go ahead and talk to Steve in Texas. Steve, you're on the air.
[1:41:38.700 --> 1:41:45.700]  Yeah, good afternoon, Al. First of all, before I get to my subject, which is about eugenics, I just wanted to say,
[1:41:45.700 --> 1:41:56.700]  I addressed there was a guy called in a little while ago asking basically what makes you tech and how he could be that way. I gotta tell you something. I've never met you. I've talked to you several times on the phone.
[1:41:56.700 --> 1:42:00.700]  I've had the chance to view and listen to and watch a lot of your materials.
[1:42:00.700 --> 1:42:16.700]  Remember, about a year ago, I had a friend of mine do an interview with you named Jeff, the Bible school college student, and it's passion. It's a love for what is good and right and true, based in truth,
[1:42:16.700 --> 1:42:25.700]  and sticking to your guns, regardless of what anybody says or thinks, because you know that you know what's right and you're going to go with that.
[1:42:25.700 --> 1:42:32.700]  And the thing is, it basically comes down to what Patrick Henry said, give me liberty or give me death.
[1:42:32.700 --> 1:42:41.700]  And I'm sorry, I'm just like you. It's how it relates so much to you. They're not going to do what they're planning to do as far as me and my family.
[1:42:41.700 --> 1:42:48.700]  You know, I'd rather die than allow them to enslave me like that and torture my family and all the wicked things that they do.
[1:42:48.700 --> 1:42:57.700]  When you have that attitude, you're unstoppable. If the country got that attitude back, instead of this fake, you know, NASCAR party time, fake male masculinity,
[1:42:57.700 --> 1:43:05.700]  a real man defends his liberty, his freedom, his country. I'm not saying NASCAR is bad. I'm saying that isn't your manliness. Sir, good to hear from you.
[1:43:05.700 --> 1:43:13.700]  More calls straight ahead after this quick break. PrisonPlanet.com, theObamaDeception.net, the new film comes out in 13 days.
[1:43:13.700 --> 1:43:20.700]  Companies continue to lay off thousands of people. Unemployment is the highest it's been in over 30 years.
[1:43:20.700 --> 1:43:30.700]  Statistics prove that in a recession, crime rates go up. Everyone needs something for that extra edge to prevent becoming a victim in these difficult and trying times.
[1:43:30.700 --> 1:43:35.700]  You need to prepare yourself with DPS Pepper Spray, available at MrDefense.com.
[1:43:35.700 --> 1:43:43.700]  DPS is the strongest pepper spray in the market and is the same spray used by hundreds of law enforcement agencies from around the world.
[1:43:43.700 --> 1:43:47.700]  Need something more? The Scorpion Stun Gun is a great way to take down a potential attacker.
[1:43:47.700 --> 1:43:56.700]  MrDefense also carries the largest selection of air tasers, knives, self-defense keychains, swords, batons, survival, spy, and tactical gear.
[1:43:56.700 --> 1:44:07.700]  To purchase this ad and receive 10% off of your order and a free self-defense keychain, visit MrDefense.com. That's MRDefense.com or call 1-800-313-6400.
[1:44:07.700 --> 1:44:27.700]  That's 1-800-313-6400 for all of your self-defense needs today.
[1:44:37.700 --> 1:45:03.700]  To purchase this ad and receive 10% off of your order and a free self-defense keychain, visit MrDefense.com. That's MRDefense.com or call 1-800-313-6400.
[1:45:03.700 --> 1:45:13.700]  Call us at 908-691-2608 or call 908-691-2608 or visit us at hempusa.org.
[1:45:34.700 --> 1:45:43.700]  The cost of learning is minimal. Wild food grows everywhere and you will see it everywhere. It's every bit organic and more nutritious than our modern diets.
[1:45:43.700 --> 1:45:52.700]  Well respected in her field, Linda's approach to teaching this subject includes books, flashcards and video with an emphasis on health, safety, practicality and joy.
[1:45:52.700 --> 1:46:07.700]  Learn how to identify it, where and when to find it, how to prepare, use and store it. Go to Linda's website ofthefield.com and take advantage of special offers, or if you're not online, call her 24-hour toll-free order line at 888-51-EAT-FREE.
[1:46:07.700 --> 1:46:13.700]  That number again, 888-51-EAT-FREE. A little knowledge makes starvation impossible.
[1:46:13.700 --> 1:46:27.700]  Have you ever read the ingredients in your skin creams, personal hygiene products, vitamins or herbal supplements? Did you know that most skin creams, body lotions, shampoos and toothpaste are full of chemical additives such as sodium laurel sulfate, the same type of detergent used in dish soap?
[1:46:27.700 --> 1:46:35.700]  Did you know that most multi-vitamin supplements are made from synthetic vitamins? Did you know that many herbal remedies contain unwanted additives and fillers?
[1:46:35.700 --> 1:46:44.700]  Have you ever tested your body's pH level? Make the change to only organic health and beauty products. Visit 2binatural.com in order today.
[1:46:44.700 --> 1:47:13.700]  2binatural.com carries 100% natural and chemical free skincare, whole food vitamins, herbal remedies and alkaline body balance supplement. Visit 2binatural.com. That's 2binatural.com. Use coupon code GCN and receive a 10% discount. Call 1-888-417-1375. That's 1-888-417-1375 to order or request your free catalog today.
[1:47:14.700 --> 1:47:22.700]  Thank you for listening to GCN. Visit GCNLive.com today.
[1:47:45.700 --> 1:47:49.700]  He goes to work at 3.30 in the morning. He gets pulled over all the time. It's just, where are you going? What are you doing?
[1:47:49.700 --> 1:47:57.700]  See, sounds good to stop crime, but meanwhile they won't take the illegal aliens to jail. They're above the law, but it's part of living in a police state.
[1:47:57.700 --> 1:48:02.700]  And one of the guys here that works on one of the morning shows was talking about over here in the story about one of the talk show hosts.
[1:48:02.700 --> 1:48:10.700]  There's a nice guy saying, man, yeah, I live in Cedar Park and I drive to work and they just pull me over for not even speeding and just want to know what I'm doing out.
[1:48:10.700 --> 1:48:17.700]  Well, a lot of us work at night and I drive home a lot of times at 1-2 in the morning and there's just police pulling people over everywhere and I watch it.
[1:48:17.700 --> 1:48:25.700]  But who's you want to tell that story on air or want to take some calls? Because he's over there putting more calls on the line.
[1:48:25.700 --> 1:48:30.700]  You want to tell the story briefly about what happened? That's what I was telling you during the break.
[1:48:30.700 --> 1:48:37.700]  You'll have to get over by one of the microphones there to do that. Just real briefly because I want to talk to a bunch of callers here and give them each at least a minute or so at the end of the show.
[1:48:37.700 --> 1:48:40.700]  Yeah, tell folks what happened to your dad.
[1:48:40.700 --> 1:48:56.700]  I was telling you when I got that seatbelt ticket or whatever, he was just going off and he was telling me that he gets pulled over at least once or a couple times a month going into work because he works at the morning show and he has to be there at 3 o'clock in the morning.
[1:48:56.700 --> 1:48:58.700]  And finally once they caught him without a seatbelt?
[1:48:58.700 --> 1:49:08.700]  Well, when he was with us. Well, his seatbelt was on but it was just on. So it's micro enforcement but literally the illegal aliens are above the law and they'll take him to jail for no drivers.
[1:49:08.700 --> 1:49:18.700]  Well, even my man that I work, you know, at my K.I. job, the dude, my right-hand man, my master control operator, he used to get pulled over like every other week. He'd come in there late.
[1:49:18.700 --> 1:49:21.700]  He's like, man, I got pulled over and rock again or whatever.
[1:49:21.700 --> 1:49:32.700]  Yeah, that's not freedom. That's not what America is supposed to be about. But yeah, I mean, I'm really tired of it. I'm really tired of it. I appreciate your call. Appreciate your call there in studio with us.
[1:49:32.700 --> 1:49:38.700]  Oh, man, I am tired. I'm finally almost done with making the Obama deception. It goes off. Tomorrow will be mass produced.
[1:49:38.700 --> 1:49:44.700]  I hope you pre-order it folks at infowars.com so you get it first. It's going to ship out March 15th.
[1:49:44.700 --> 1:49:47.700]  Got to expose this guy and his agenda.
[1:49:47.700 --> 1:49:49.700]  Mike and Marilyn, you're on the air.
[1:49:49.700 --> 1:49:52.700]  Hey, thanks for taking my call. I appreciate everything you do.
[1:49:52.700 --> 1:49:58.700]  Every day I try to tell someone about infowars or any of the alternative media that exposes the new order.
[1:49:58.700 --> 1:50:05.700]  I started the Bilderberg conference last summer and that was really a hoot to, you know, at least to bent our frustrations.
[1:50:05.700 --> 1:50:08.700]  The Bilderberg conference that doesn't exist, yeah.
[1:50:08.700 --> 1:50:18.700]  Yeah, I know. If I may be so bold to have a request and then I have a question, my request is I monitor, you know, the corporate media and the regular media.
[1:50:18.700 --> 1:50:25.700]  And I watch Fox Business News and I know people raise their eyebrows, but it does present some good information.
[1:50:25.700 --> 1:50:35.700]  Sometimes it is entertaining, but they have this host on there, Cody Willard, who talks about the Illuminati on numerous occasions.
[1:50:35.700 --> 1:50:40.700]  He seems to be at loggerheads with the other host on the show and he is against the bill.
[1:50:40.700 --> 1:50:43.700]  It's just a request. You might make a good guess. I don't know.
[1:50:43.700 --> 1:50:49.700]  But my question is, what do you make of Glenn Beck?
[1:50:49.700 --> 1:51:00.700]  He seems like he's trying to create a parallel paradigm of the alternative media, but it's kind of like, you know, very guarded information.
[1:51:00.700 --> 1:51:08.700]  Yeah, that's it. The establishment knows that this information is the most popular, truthful information out there.
[1:51:08.700 --> 1:51:14.700]  And so Beck, you know, one hour will say Iran's got nuclear weapons just like Iraq supposedly had them.
[1:51:14.700 --> 1:51:18.700]  And then next he'll talk about the New World Order and how dangerous it is in global banks taking over.
[1:51:18.700 --> 1:51:23.700]  So he'll admit it's going on, but never identify the full picture and then just kind of tell you about part of the story.
[1:51:23.700 --> 1:51:27.700]  Kind of Rush Limbaugh 2.0, whereas Limbaugh just says none of it exists.
[1:51:27.700 --> 1:51:31.700]  Beck will admit it exists, but then say that the U.S. government's fighting the New World Order.
[1:51:31.700 --> 1:51:34.700]  And then just constantly say, we've got to attack Iran. We've got to attack this.
[1:51:34.700 --> 1:51:40.700]  I remember him saying that Ron Paul supporters need to have the quote army used against him a year ago and that we were dangerous.
[1:51:40.700 --> 1:51:42.700]  But now he claims he's Ron Paul's best friend.
[1:51:42.700 --> 1:51:47.700]  So it's just a testament that this information has become a completely mainstream.
[1:51:47.700 --> 1:51:49.700]  Phil in Texas, you're on the air.
[1:51:49.700 --> 1:51:50.700]  Good afternoon, Alan.
[1:51:50.700 --> 1:51:51.700]  Hi, Phil.
[1:51:51.700 --> 1:51:52.700]  Thank you for taking my call.
[1:51:52.700 --> 1:51:57.700]  I have so many fun things I'd love to discuss with you, but I think I'm going to concentrate on just one.
[1:51:57.700 --> 1:52:07.700]  To help people understand a little better why so many bad and unpleasant things happen in our world and are so readily accepted by so much of the population.
[1:52:07.700 --> 1:52:09.700]  Because we've been eased into it incrementally.
[1:52:09.700 --> 1:52:14.700]  There is that, but are you familiar with the works of an individual named Jean Piaget?
[1:52:14.700 --> 1:52:16.700]  It does ring a bell.
[1:52:16.700 --> 1:52:20.700]  Jean Piaget was, I believe, Swiss or some foreign rascal or another.
[1:52:20.700 --> 1:52:24.700]  He was a developmental psychologist that did a significant amount of research with young children.
[1:52:24.700 --> 1:52:32.700]  Jean Piaget developed what he called series of cognitive development, which are now caught in psychology, or they were when I took psychology 20 odd years ago.
[1:52:32.700 --> 1:52:36.700]  There is a fourth and final state of cognitive development.
[1:52:36.700 --> 1:52:44.700]  He basically broke down the states at which the brain and people develop and separated them into four individual states.
[1:52:44.700 --> 1:52:53.700]  There's a fourth and final state, which is commonly known as the formal operational stage that roughly 70% of the population never reaches.
[1:52:53.700 --> 1:52:56.700]  Yeah, well, that goes into the hierarchy of needs as well.
[1:52:56.700 --> 1:53:00.700]  Once you really are a fulfilled person, you start caring about others, you want to be informed, you want the truth.
[1:53:00.700 --> 1:53:05.700]  But most people are in an adolescent level of just acting cool.
[1:53:05.700 --> 1:53:06.700]  I call it play acting.
