[00:00.000 --> 00:20.000]  InferWars, the most banned network in the world.
[2:51:20.280 --> 2:51:23.360]  No, the cost, the inflation,
[2:51:24.440 --> 2:51:26.880]  that the double killer of inflation
[2:51:26.880 --> 2:51:29.840]  plus scarcity of raw basic commodities
[2:51:29.840 --> 2:51:31.560]  and supply chain interruptions
[2:51:31.560 --> 2:51:34.360]  are gonna basically put the final nail
[2:51:34.360 --> 2:51:36.240]  into the U.S. economy coffin.
[2:51:36.240 --> 2:51:38.040]  And by the way, mathematics and history shows
[2:51:38.040 --> 2:51:40.160]  that's a certainty, but what's the timeframe?
[2:51:40.160 --> 2:51:41.480]  Like, we know this gallon of milk.
[2:51:41.480 --> 2:51:42.320]  We're experiencing it now.
[2:51:42.320 --> 2:51:43.760]  I mean, it's a slow kill.
[2:51:43.760 --> 2:51:45.960]  A gallon of milk is gonna rot by a certain date.
[2:51:45.960 --> 2:51:46.800]  Where is the milk?
[2:51:46.800 --> 2:51:48.320]  It's already starting to turn.
[2:51:48.320 --> 2:51:50.120]  We're right in that point where is it turning?
[2:51:50.120 --> 2:51:52.440]  But by tomorrow, it'll be completely rancid.
[2:51:53.240 --> 2:51:54.080]  I think.
[2:51:54.080 --> 2:51:54.920]  So what is tomorrow?
[2:51:54.920 --> 2:51:55.760]  A year?
[2:51:55.760 --> 2:51:57.080]  Two years?
[2:51:57.080 --> 2:52:01.880]  I think that at the 2021, by the end of 2021,
[2:52:01.880 --> 2:52:06.880]  it'll be impossible to deflect the reality of the situation
[2:52:06.880 --> 2:52:10.000]  that the U.S. has entered second world status
[2:52:11.400 --> 2:52:13.520]  by the end of 2021.
[2:52:13.520 --> 2:52:15.440]  Then that's without a war.
[2:52:15.440 --> 2:52:16.280]  Now, let's be clear.
[2:52:16.280 --> 2:52:19.040]  Biden's opening the border, saying flottis,
[2:52:19.040 --> 2:52:20.240]  saying poop in the street.
[2:52:20.240 --> 2:52:21.080]  They want that.
[2:52:22.840 --> 2:52:25.880]  They wanna justify printing money in any way they can
[2:52:25.880 --> 2:52:27.800]  because that's the only option they have
[2:52:27.800 --> 2:52:28.640]  to try to bail out.
[2:52:28.640 --> 2:52:30.200]  All right, back in two minutes with Max Kaiser.
[2:52:30.200 --> 2:52:32.520]  He's already got a full show tonight at the Spider House.
[2:52:32.520 --> 2:52:34.080]  Tomorrow night.
[2:52:34.080 --> 2:52:35.120]  Tomorrow night.
[2:52:35.120 --> 2:52:36.280]  It was another show tonight.
[2:52:36.280 --> 2:52:37.120]  Be there.
[2:52:37.120 --> 2:52:37.960]  It's not tonight.
[2:52:37.960 --> 2:52:38.800]  It's tomorrow night.
[2:52:38.800 --> 2:52:41.120]  Tonight, tonight, tonight, tonight.
[2:52:44.080 --> 2:52:46.400]  The globalists are having their revolution,
[2:52:46.400 --> 2:52:49.600]  but for humanity has to have its revolution.
[2:52:49.600 --> 2:52:53.960]  We have to first recognize this anti-human takeovers
[2:52:53.960 --> 2:52:58.720]  trying to enslave the entire biological processes of humans
[2:52:59.640 --> 2:53:03.480]  and turn us into these artificial corporate controlled
[2:53:03.480 --> 2:53:08.480]  slaves, worsted slaves, just property from cradle to grave
[2:53:10.040 --> 2:53:14.800]  of the system rendered down to be servile minions
[2:53:14.800 --> 2:53:17.680]  of the system and a ritual of dominance
[2:53:17.680 --> 2:53:19.200]  and satanic control.
[2:53:19.200 --> 2:53:23.080]  We have to recognize the great reset post-industrial world
[2:53:23.080 --> 2:53:24.520]  which realizes a nightmare dystopia
[2:53:24.520 --> 2:53:26.640]  and we have to promote liberty and freedom
[2:53:26.640 --> 2:53:29.200]  that is the opposite of their dystopia.
[2:53:29.200 --> 2:53:30.520]  It's that choice.
[2:53:30.520 --> 2:53:33.320]  It's that realization that's gonna change the world.
[2:53:33.320 --> 2:53:35.560]  And it's the only choice we've got.
[2:53:35.560 --> 2:53:37.800]  Freedom or slavery, go to evil.
[2:53:37.800 --> 2:53:39.080]  It is a spiritual battle.
[2:53:39.080 --> 2:53:41.520]  An info wars at the tip of the spear fighting it.
[2:53:43.920 --> 2:53:48.160]  As men age, they often experience a slowdown
[2:53:48.160 --> 2:53:52.480]  in vitality, energy, and overall wellness.
[2:53:53.480 --> 2:53:57.400]  And that's why we made one of our most popular formulas
[2:53:57.400 --> 2:54:02.160]  to date, super male vitality specifically designed
[2:54:02.160 --> 2:54:05.680]  to assist the body in regulating proper balance
[2:54:05.680 --> 2:54:09.400]  to create superior vitality in males.
[2:54:09.400 --> 2:54:12.800]  Now look, this unique formula promotes your body's
[2:54:12.800 --> 2:54:17.760]  own natural responses and it contains no synthetic chemicals
[2:54:17.760 --> 2:54:20.600]  and no unwanted additives.
[2:54:20.600 --> 2:54:23.360]  Yes, we're talking about ancient wisdom
[2:54:23.360 --> 2:54:27.280]  combined with modern technology working together
[2:54:27.280 --> 2:54:30.800]  in perfect synchronicity to help you get the most
[2:54:30.800 --> 2:54:33.040]  out of this herb-packed formula.
[2:54:33.040 --> 2:54:34.120]  So what are you waiting for?
[2:54:34.120 --> 2:54:35.960]  Go to the info wars store.
[2:54:35.960 --> 2:54:38.640]  Never been a better time than right now.
[2:54:38.640 --> 2:54:43.080]  Super male vitality at infowarstore.com.
[2:54:45.520 --> 2:54:48.560]  You're listening to the Alex Jones show.
[2:54:48.560 --> 2:55:11.160]  Well, he's a fun guy to hang out with.
[2:55:11.160 --> 2:55:12.640]  He's Max Kaiser tomorrow night.
[2:55:12.640 --> 2:55:16.120]  He's got a sold out house at spider house.
[2:55:16.120 --> 2:55:17.040]  That's right.
[2:55:17.040 --> 2:55:18.920]  And he's here with us this short segment,
[2:55:18.920 --> 2:55:21.080]  one more segment and we have a special guest on
[2:55:21.080 --> 2:55:22.600]  about the globalist end game.
[2:55:22.600 --> 2:55:24.560]  You know, we came across some Microsoft documents.
[2:55:24.560 --> 2:55:25.840]  We'll talk about next segment with you.
[2:55:25.840 --> 2:55:29.200]  But first, I'm an American file.
[2:55:29.200 --> 2:55:30.040]  I love America.
[2:55:30.040 --> 2:55:31.840]  I love American ideas, what it stood for.
[2:55:31.840 --> 2:55:33.640]  But everything it stood for is under attack.
[2:55:33.640 --> 2:55:35.160]  Most people aren't defending it.
[2:55:35.160 --> 2:55:38.360]  It's true that the tables have been stilted
[2:55:38.360 --> 2:55:40.680]  towards communist China to build it up,
[2:55:40.680 --> 2:55:42.080]  exploiting their people.
[2:55:42.080 --> 2:55:44.360]  But I do see some of the Western elites acting like
[2:55:44.360 --> 2:55:46.240]  they're about to have a war with China.
[2:55:46.240 --> 2:55:47.520]  But then in the internal documents,
[2:55:47.520 --> 2:55:49.520]  it turns out they're actually lockstep with them,
[2:55:49.520 --> 2:55:51.000]  helping destroy the United States
[2:55:51.000 --> 2:55:53.160]  and helping bring us into a third world status,
[2:55:53.160 --> 2:55:56.120]  I think, to destroy freedom irregularly
[2:55:56.120 --> 2:55:57.680]  and make us more controlled.
[2:55:57.680 --> 2:55:59.720]  I mean, why do you think they've opened the borders?
[2:55:59.720 --> 2:56:03.000]  Bidens were smuggling children in by the millions.
[2:56:03.000 --> 2:56:04.160]  What's really going on there?
[2:56:04.160 --> 2:56:06.520]  Well, it's a long history of elites playing both sides.
[2:56:06.520 --> 2:56:07.760]  You're gonna go back to World War II
[2:56:07.760 --> 2:56:10.400]  and Henry Ford and Walt Disney were playing both
[2:56:10.400 --> 2:56:13.200]  Nazi and US against each other all the time.
[2:56:13.200 --> 2:56:16.760]  Coca-Cola, IBM, right, all those companies were.
[2:56:16.760 --> 2:56:19.160]  So that's really what proto-globalism is going back
[2:56:19.160 --> 2:56:21.880]  to Rothschilds, where you finance all the armies.
[2:56:21.880 --> 2:56:25.280]  Yeah, they take, they have a bet on everybody.
[2:56:25.280 --> 2:56:27.160]  They don't have allegiance to anyone.
[2:56:28.040 --> 2:56:29.120]  That's the way they do it.
[2:56:29.120 --> 2:56:29.960]  They think we're dumb.
[2:56:29.960 --> 2:56:31.040]  Well, what do you have allegiance to?
[2:56:31.040 --> 2:56:34.000]  Because I like an allegiance to a new free currency
[2:56:34.000 --> 2:56:35.080]  they don't control.
[2:56:35.080 --> 2:56:36.560]  That's why I hope Bitcoin succeeds.
[2:56:36.560 --> 2:56:38.640]  And I think it's kind of obvious it is
[2:56:38.640 --> 2:56:39.920]  if you look at the 11-year graph.
[2:56:39.920 --> 2:56:41.120]  I mean, you were saying during the break,
[2:56:41.120 --> 2:56:43.320]  I explained to the people that it was totally kooky
[2:56:43.320 --> 2:56:44.960]  11 years ago when you told me to get into Bitcoin
[2:56:44.960 --> 2:56:46.080]  or I respected you,
[2:56:46.080 --> 2:56:48.960]  but it was still like you were talking Martian.
[2:56:48.960 --> 2:56:51.240]  You can look at them cutting the value in half,
[2:56:51.240 --> 2:56:53.240]  but if you look at the graph, that's nothing.
[2:56:53.240 --> 2:56:56.440]  Right, but the pullbacks are nothing.
[2:56:56.440 --> 2:56:59.480]  It's more a reflection of fiat money that is Bitcoin.
[2:56:59.480 --> 2:57:01.480]  Bitcoin, the key metric is that every 10 minutes
[2:57:01.480 --> 2:57:03.080]  you have more coins coming online.
[2:57:03.080 --> 2:57:05.000]  That's the key metric you need to focus on.
[2:57:05.000 --> 2:57:06.880]  But 10, 10 years ago, 11 years ago,
[2:57:06.880 --> 2:57:09.640]  when I first got into it, I was doing your show, you know,
[2:57:09.640 --> 2:57:12.200]  and so much of what we talk about is the absurdist
[2:57:12.200 --> 2:57:14.800]  of corporations and mainstream media
[2:57:14.800 --> 2:57:17.040]  and how they go about trying to do what they say they're doing,
[2:57:17.040 --> 2:57:19.320]  but doing either the complete opposite or doing things
[2:57:19.320 --> 2:57:21.240]  that are just patently absurd.
[2:57:21.240 --> 2:57:24.200]  You know, Bitcoin at the time was almost like the absurdity
[2:57:24.200 --> 2:57:26.200]  that would take care of the absurdity.
[2:57:26.200 --> 2:57:28.240]  You know, you needed a bit of the absurdity
[2:57:28.240 --> 2:57:30.200]  to take care of the absurdity of the world.
[2:57:30.200 --> 2:57:35.200]  Here is a private money that was concocted by cypherpunks
[2:57:35.200 --> 2:57:40.200]  and using encryption and other tech in the stack.
[2:57:41.080 --> 2:57:43.080]  And, you know, to think about it, hey, you know,
[2:57:43.080 --> 2:57:45.040]  this could actually compete with gold
[2:57:45.040 --> 2:57:47.800]  and compete with fiat money is at that time,
[2:57:47.800 --> 2:57:50.160]  when it was worth only 25 cents, you know,
[2:57:50.160 --> 2:57:52.120]  it seemed like an absurdity.
[2:57:52.120 --> 2:57:53.920]  But that's right, because you could say,
[2:57:53.920 --> 2:57:56.960]  oh, you can say it's fiat, the technology has a value.
[2:57:56.960 --> 2:57:59.840]  It's a technology with a value that's maverick
[2:57:59.840 --> 2:58:02.800]  versus a technology based on fraud, centralization,
[2:58:02.800 --> 2:58:05.600]  and evil, and so if you demonize it,
[2:58:05.600 --> 2:58:07.840]  you demonize yourself because you're much worse.
[2:58:07.840 --> 2:58:10.960]  It's the whole, in what's called the Genesis block,
[2:58:10.960 --> 2:58:12.520]  which is the first block of Bitcoin,
[2:58:12.520 --> 2:58:15.240]  it says right there in the block that made a reference
[2:58:15.240 --> 2:58:18.720]  to a chancellor on Verge's second bailout for banks,
[2:58:18.720 --> 2:58:21.240]  referring to in 2008, the financial crisis,
[2:58:21.240 --> 2:58:24.080]  and the creator was making a point that this is how
[2:58:24.080 --> 2:58:25.520]  to take care of this problem.
[2:58:25.520 --> 2:58:28.280]  This is how to solve the problem
[2:58:28.280 --> 2:58:30.400]  of these central banks going rogue.
[2:58:30.400 --> 2:58:32.280]  And they really are the most dangerous elements
[2:58:32.280 --> 2:58:33.120]  in the globe to them.
[2:58:33.120 --> 2:58:33.960]  Because again, for those that don't know,
[2:58:33.960 --> 2:58:35.480]  they can just create fiat money,
[2:58:35.480 --> 2:58:37.480]  fiber thing up, and then give us the inflation.
[2:58:37.480 --> 2:58:40.120]  They get it when it's real, we get the inflation.
[2:58:40.120 --> 2:58:44.120]  Yeah, it's beyond even just causing inflation.
[2:58:44.120 --> 2:58:46.280]  They're causing what I would call neo feudalism
[2:58:46.280 --> 2:58:48.200]  because they're using the money they're printing
[2:58:48.200 --> 2:58:50.720]  to buy up all the productive assets in the world
[2:58:50.720 --> 2:58:52.960]  and to squeeze everybody who's not part
[2:58:52.960 --> 2:58:55.640]  of their kleptocracy off into the mud.
[2:58:55.640 --> 2:58:59.560]  It's surfdom, they're a true road to surfdom.
[2:58:59.560 --> 2:59:02.720]  And so you've got this unchecked,
[2:59:02.720 --> 2:59:04.040]  occurring all over the world.
[2:59:04.040 --> 2:59:06.640]  And thank God, a country like El Salvador has said,
[2:59:06.640 --> 2:59:09.360]  hey, wait a minute, we're not gonna let this happen to us.
[2:59:09.360 --> 2:59:12.120]  And it's amazing, Vuteli, the president of El Salvador,
[2:59:12.120 --> 2:59:14.480]  had a three word tweet a few days ago,
[2:59:14.480 --> 2:59:16.920]  United Fruit Company.
[2:59:16.920 --> 2:59:18.240]  The history of this, of course.
[2:59:18.240 --> 2:59:19.080]  The CIA.
[2:59:19.080 --> 2:59:20.920]  The, well, the...
[2:59:20.920 --> 2:59:22.120]  The United Fruit brought the CIA in
[2:59:22.120 --> 2:59:23.120]  because they were mad.
[2:59:23.120 --> 2:59:25.080]  All the corporations, you know, United Fruit...
[2:59:25.080 --> 2:59:27.240]  Hold on, tell us about United Fruit when we come back.
[2:59:27.240 --> 2:59:29.200]  And I'm gonna also look at this big globalist technocrats
[2:59:29.200 --> 2:59:31.560]  the whole Bilderberg style secret meeting in Idaho.
[2:59:31.560 --> 2:59:33.240]  It's happening right now.
[2:59:33.240 --> 2:59:35.080]  And it's all a bunch of white devils.
[2:59:35.080 --> 2:59:36.960]  I agree, these are bad white people.
[2:59:36.960 --> 2:59:38.040]  We finally found them.
[2:59:38.040 --> 2:59:40.080]  It's not the auto mechanic or the school teacher
[2:59:40.080 --> 2:59:42.960]  or the football coach or the dentist or the lawyer.
[2:59:42.960 --> 2:59:44.040]  It's these guys.
[2:59:44.040 --> 2:59:45.720]  I found the bad white guys.
[2:59:45.720 --> 2:59:46.840]  I found them.
[2:59:46.840 --> 2:59:47.800]  Arrest them.
[2:59:47.800 --> 2:59:48.640]  Take their...
[2:59:51.400 --> 2:59:54.480]  Well, all the big box stores are making record profits.
[2:59:54.480 --> 2:59:59.240]  So is Amazon because they designed the global shutdown
[2:59:59.240 --> 3:00:02.080]  to destroy small and medium sized businesses.
[3:00:02.080 --> 3:00:06.600]  And it is wreaking havoc in the supply chain.
[3:00:06.600 --> 3:00:09.440]  Thousands and thousands of small companies
[3:00:09.440 --> 3:00:10.960]  have completely shut down.
[3:00:10.960 --> 3:00:12.920]  And others are struggling to stay open
[3:00:12.920 --> 3:00:15.760]  because they can't get raw materials,
[3:00:15.760 --> 3:00:17.840]  whether it's for food, whether it's for medicine,
[3:00:17.840 --> 3:00:20.160]  whether it's for supplements, whether it's for textiles.
[3:00:20.160 --> 3:00:23.120]  Whatever the product is, as you see it in the news,
[3:00:23.120 --> 3:00:26.280]  it is record level supply chain breakdowns
[3:00:26.280 --> 3:00:28.200]  because the global has shut down the world of comics
[3:00:28.200 --> 3:00:29.040]  for more than a year.
[3:00:29.040 --> 3:00:31.040]  And now they're trying to bring the shutdown back again.
[3:00:31.040 --> 3:00:34.000]  In fact, in areas like India and areas of Africa,
[3:00:34.000 --> 3:00:35.840]  the shutdown is ongoing.
[3:00:35.840 --> 3:00:38.800]  It's killing those people in massive numbers.
[3:00:38.800 --> 3:00:41.080]  So the Impal Wars doesn't have a lot of our best selling
[3:00:41.080 --> 3:00:43.240]  products anymore for six, seven, eight months.
[3:00:43.240 --> 3:00:45.400]  Because of this, so to make up the shortfall,
[3:00:45.400 --> 3:00:48.560]  please buy T-shirts, books, films, things like that
[3:00:48.560 --> 3:00:49.560]  at impalwarestore.com.
[3:00:49.560 --> 3:00:53.320]  And please try to keep us on the air.
[3:00:53.320 --> 3:01:06.000]  Live from Austin, Texas, broadcasting worldwide,
[3:01:06.000 --> 3:01:34.000]  it's Alex Jones.
[3:01:34.000 --> 3:01:37.120]  I got my French quail egg pollen block.
[3:01:37.120 --> 3:01:38.800]  It's great as a suppository, too.
[3:01:38.800 --> 3:01:40.200]  Don't forget that.
[3:01:40.200 --> 3:01:42.240]  Yeah, United Fruit Company.
[3:01:42.240 --> 3:01:45.320]  Well, going back a few decades, American corporations
[3:01:45.320 --> 3:01:48.840]  went down to Latin America and they started bumping on.
[3:01:48.840 --> 3:01:54.920]  There's 15, essentially, examples of America overthrowing
[3:01:54.920 --> 3:01:57.520]  countries in central Latin America.
[3:01:57.520 --> 3:01:59.200]  And that's the history of the region.
[3:01:59.200 --> 3:02:02.400]  And Al Salvador president Bukele, when
[3:02:02.400 --> 3:02:04.520]  Victoria Newland tweeted something like,
[3:02:04.520 --> 3:02:07.680]  Al Salvador better watch themselves with this Bitcoin.
[3:02:07.680 --> 3:02:10.600]  And of course, she was orchestrated to coup in Ukraine
[3:02:10.600 --> 3:02:12.320]  a few years ago, Victoria Newland,
[3:02:12.320 --> 3:02:14.720]  because her husband works for Cargill,
[3:02:14.720 --> 3:02:16.240]  which is an agricultural company.
[3:02:16.240 --> 3:02:19.600]  And they, of course, are exploiting agriculture
[3:02:19.600 --> 3:02:20.800]  in the region there.
[3:02:20.800 --> 3:02:24.280]  And he wrote United Fruit Company.
[3:02:24.280 --> 3:02:26.560]  So it tells you, just in three words,
[3:02:26.560 --> 3:02:30.440]  how what the battle is in Central America and Latin America.
[3:02:30.440 --> 3:02:33.680]  It's a multi-decade battle that's been brewing
[3:02:33.680 --> 3:02:36.880]  against the US CIA, kleptocrats, the Victoria
[3:02:36.880 --> 3:02:38.160]  Newland, the State Department.
[3:02:38.160 --> 3:02:40.880]  Who put dictators in to keep people poor to control them.
[3:02:40.880 --> 3:02:41.480]  Right.
[3:02:41.480 --> 3:02:43.960]  John Perkins' book, Confessions of an Economic Hitman.
[3:02:43.960 --> 3:02:47.160]  It details how the US would send guys down there, load them
[3:02:47.160 --> 3:02:47.800]  up with debt.
[3:02:47.800 --> 3:02:49.520]  If they don't pay the debt, they'd bump them off.
[3:02:49.520 --> 3:02:50.880]  They throw guys out of planes.
[3:02:50.880 --> 3:02:53.840]  So Bukele, the president of Al Salvador,
[3:02:53.840 --> 3:02:57.960]  is now openly taunting and fighting the US with Bitcoin.
[3:02:57.960 --> 3:03:03.360]  Bitcoin is the weapon that will ensure Al Salvador's victory.
[3:03:03.360 --> 3:03:04.640]  Well, as soon as the Communist Party
[3:03:04.640 --> 3:03:07.200]  started against it, I knew I was for it.
[3:03:07.200 --> 3:03:09.800]  Well, that's a whole other story that
[3:03:09.800 --> 3:03:13.040]  is pitting the two remaining large economies.
[3:03:13.040 --> 3:03:15.800]  Now, China is really the only superpower,
[3:03:15.800 --> 3:03:18.280]  and the global strategic board.
[3:03:18.280 --> 3:03:19.920]  But that in Latin America, Central America,
[3:03:19.920 --> 3:03:23.080]  it's really a grassroots effort amongst one
[3:03:23.080 --> 3:03:25.360]  of the poorest countries in the world to take on.
[3:03:25.360 --> 3:03:29.720]  It's similar to when Gandhi defeated the English,
[3:03:29.720 --> 3:03:32.480]  the British Empire, by doing his march to the sea
[3:03:32.480 --> 3:03:33.760]  and making his own salt.
[3:03:33.760 --> 3:03:35.000]  Yeah, you weren't allowed to have your own salt.
[3:03:35.000 --> 3:03:35.240]  Right.
[3:03:35.240 --> 3:03:36.320]  So here, they're saying, we're going
[3:03:36.320 --> 3:03:37.920]  to make our own money with Bitcoin.
[3:03:37.920 --> 3:03:39.440]  We're going to mine it with volcanoes.
[3:03:39.440 --> 3:03:41.840]  We're going to make $1 billion a year in revenue.
[3:03:41.840 --> 3:03:45.280]  And the US can go a pound sand.
[3:03:45.280 --> 3:03:46.320]  We have independence.
[3:03:46.320 --> 3:03:48.040]  This is a declaration of independence.
[3:03:48.040 --> 3:03:50.240]  Not since the US Declaration of Independence
[3:03:50.240 --> 3:03:52.000]  have we heard a declaration of independence
[3:03:52.000 --> 3:03:55.560]  like we're seeing in El Salvador right now with Bitcoin, which
[3:03:55.560 --> 3:03:58.000]  is the Constitution and Bill of Rights all wrapped up
[3:03:58.000 --> 3:03:58.840]  into one beautiful.
[3:03:58.840 --> 3:03:59.680]  No, I hear you.
[3:03:59.680 --> 3:04:02.440]  So let me shift gears now from the Church of Bitcoin.
[3:04:02.440 --> 3:04:02.840]  Yes.
[3:04:02.840 --> 3:04:05.720]  What do you make of the yearly meeting going on for a long time,
[3:04:05.720 --> 3:04:09.800]  Silicon Valley meeting in Idaho in the quote, summer camp
[3:04:09.800 --> 3:04:10.600]  for billionaires?
[3:04:10.600 --> 3:04:12.200]  You look who's here.
[3:04:12.200 --> 3:04:13.480]  It's all the CEOs.
[3:04:13.480 --> 3:04:14.560]  It's Berkshire Hathaway.
[3:04:14.560 --> 3:04:15.400]  It's Bill Gates.
[3:04:15.400 --> 3:04:16.600]  It's Netflix.
[3:04:16.600 --> 3:04:17.240]  It's Google.
[3:04:17.240 --> 3:04:17.720]  It's Twitter.
[3:04:17.720 --> 3:04:18.400]  It's Facebook.
[3:04:18.400 --> 3:04:21.200]  It's all of them colluding behind closed doors.
[3:04:21.200 --> 3:04:24.160]  Look, it's all evil, demonic white males.
[3:04:24.160 --> 3:04:27.160]  So there is actually the monopoly of white males
[3:04:27.160 --> 3:04:29.240]  who are financing Black Lives Matter and Race
[3:04:29.240 --> 3:04:32.160]  War as a rearguard action, but no discussion by Black Lives
[3:04:32.160 --> 3:04:34.720]  Matter about Mark Zuckerberg or about Tim Cook
[3:04:34.720 --> 3:04:38.000]  running death camps in China because they're paying for it.
[3:04:38.000 --> 3:04:39.200]  This is so cynical.
[3:04:39.200 --> 3:04:43.240]  We have black mobs attacking white people's houses.
[3:04:43.240 --> 3:04:47.240]  Last night, I've even shown you the video today of this going
[3:04:47.240 --> 3:04:49.920]  on because somebody, they said, might have said something racist.
[3:04:49.920 --> 3:04:52.240]  But then people running death camps are good.
[3:04:52.240 --> 3:04:54.200]  I mean, this is the perfect distraction.
[3:04:54.200 --> 3:04:55.720]  Well, the Idaho conference, I think
[3:04:55.720 --> 3:04:57.960]  that's Paul Allen's conference, his annual conference.
[3:04:57.960 --> 3:05:00.200]  He hosts the billionaires there.
[3:05:00.200 --> 3:05:02.080]  Yeah, the quote, ultra-secret bankers.
[3:05:02.080 --> 3:05:03.960]  Yeah, it's been going on for a long, long time.
[3:05:03.960 --> 3:05:07.480]  Paul Allen is Bill Gates' partner.
[3:05:07.480 --> 3:05:10.120]  He created Microsoft, as I recall,
[3:05:10.120 --> 3:05:11.520]  or one of their first bankers.
[3:05:11.520 --> 3:05:13.560]  And usually deals are done there.
[3:05:13.560 --> 3:05:16.960]  Last year, I think that's when Amazon started to get that deal.
[3:05:16.960 --> 3:05:19.920]  They just bought MGM, the film company, for $9 billion.
[3:05:19.920 --> 3:05:20.920]  Recently, that was announced.
[3:05:20.920 --> 3:05:23.680]  That was cooked up last year, the last year's conference.
[3:05:23.680 --> 3:05:25.320]  So this is a banking deal.
[3:05:25.320 --> 3:05:26.760]  And they cook up these big deals.
[3:05:26.760 --> 3:05:28.720]  So within a couple of months of this conference,
[3:05:28.720 --> 3:05:30.280]  you'll hear about some enormous deals.
[3:05:30.280 --> 3:05:33.120]  Amazon and these other companies will announce
[3:05:33.120 --> 3:05:34.520]  its huge takeovers.
[3:05:34.520 --> 3:05:36.800]  And they're cost of borrowing Alex is zero
[3:05:36.800 --> 3:05:39.280]  because the central bank lends the money for nothing.
[3:05:39.280 --> 3:05:40.200]  It's like in France.
[3:05:40.200 --> 3:05:42.200]  I told you last time, the guy who's the richest guy
[3:05:42.200 --> 3:05:45.640]  in the world right now, who owns Louis Vuitton, LVMH.
[3:05:45.640 --> 3:05:49.920]  He bought Tiffany's, the American jeweler, for nothing.
[3:05:49.920 --> 3:05:53.120]  But the money that was lent to him to buy Tiffany's
[3:05:53.120 --> 3:05:56.200]  was from the European Central Bank, Christine Lagarde.
[3:05:56.200 --> 3:05:59.200]  Gave him the billions of dollars to buy Tiffany.
[3:05:59.200 --> 3:06:01.240]  Not only was it free, they actually
[3:06:01.240 --> 3:06:02.840]  paid him to borrow the money.
[3:06:02.840 --> 3:06:04.960]  His cost of funds were negative.
[3:06:04.960 --> 3:06:06.440]  Negative cost of funds.
[3:06:06.440 --> 3:06:09.720]  They paid the richest man in the world to go buy Tiffany's.
[3:06:09.720 --> 3:06:12.360]  And now he owns it, and he didn't have to spend a penny.
[3:06:12.360 --> 3:06:14.440]  That's how you end up with a global kleptocracy,
[3:06:14.440 --> 3:06:17.120]  a global neofutilism.
[3:06:17.120 --> 3:06:20.400]  The central banks are just handing billion dollar
[3:06:20.400 --> 3:06:22.840]  franchises to their friends every day.
[3:06:22.840 --> 3:06:25.360]  And this is a good conference where they'll figure out
[3:06:25.360 --> 3:06:26.080]  who gets what.
[3:06:26.080 --> 3:06:28.640]  They're carving up the world, essentially, at a conference
[3:06:28.640 --> 3:06:28.800]  like that.
[3:06:28.800 --> 3:06:33.040]  Why is their agenda so anti-family, so anti-male?
[3:06:33.040 --> 3:06:36.200]  Because they're pro-prison.
[3:06:36.200 --> 3:06:38.640]  And prisons make more money than families make money.
[3:06:38.640 --> 3:06:40.760]  The prison industry and the war industry,
[3:06:40.760 --> 3:06:42.600]  which break up families and kill families,
[3:06:42.600 --> 3:06:45.120]  are much more and more profitable than building
[3:06:45.120 --> 3:06:46.360]  bowling alleys and family runs.
[3:06:46.360 --> 3:06:48.720]  And have you noticed, you and I were both against the Iraq
[3:06:48.720 --> 3:06:48.920]  War.
[3:06:48.920 --> 3:06:49.800]  You'd come on then.
[3:06:49.800 --> 3:06:51.920]  We were against the Bush and the rest of it.
[3:06:51.920 --> 3:06:53.120]  But Obama was a big war monger.
[3:06:53.120 --> 3:06:54.440]  Now the left loves torture.
[3:06:54.440 --> 3:06:56.040]  They love security agencies.
[3:06:56.040 --> 3:06:57.640]  They love war.
[3:06:57.640 --> 3:06:59.000]  And they love censorship.
[3:06:59.000 --> 3:07:01.000]  I mean, what would you call the left today?
[3:07:01.000 --> 3:07:02.560]  Because they're not even getting anything from it.
[3:07:02.560 --> 3:07:03.760]  The average Twitter person.
[3:07:03.760 --> 3:07:06.760]  But like you said, the term you coined casino gulag,
[3:07:06.760 --> 3:07:09.600]  they get promoted and get lights.
[3:07:09.600 --> 3:07:11.600]  So it's all just about dopamine.
[3:07:11.600 --> 3:07:15.720]  It was always a fake that the left and liberals in America
[3:07:15.720 --> 3:07:20.200]  were somehow had a position of moral superiority.
[3:07:20.200 --> 3:07:22.000]  They had the culture.
[3:07:22.000 --> 3:07:22.920]  And they had Hollywood.
[3:07:22.920 --> 3:07:24.240]  And they had TV and films.
[3:07:24.240 --> 3:07:25.880]  And they had a lot of great writers.
[3:07:25.880 --> 3:07:27.280]  And they could write a great script.
[3:07:27.280 --> 3:07:30.560]  But once the tables returned when Trump came in,
[3:07:30.560 --> 3:07:32.640]  we saw the ugly face of American liberalism.
[3:07:32.640 --> 3:07:35.240]  That they are whatever you could say
[3:07:35.240 --> 3:07:38.480]  are disgusting attributes of the other side
[3:07:38.480 --> 3:07:40.440]  of the political spectrum.
[3:07:40.440 --> 3:07:44.520]  They possess all of that and more, in my view.
[3:07:44.520 --> 3:07:46.320]  Remember, Hitler was a socialist.
[3:07:46.320 --> 3:07:47.040]  He was, yeah.
[3:07:47.040 --> 3:07:49.120]  Yeah, so that's what we're seeing in the US
[3:07:49.120 --> 3:07:54.880]  is that kind of denial, rear its ugly head,
[3:07:54.880 --> 3:07:57.360]  where those who believe they're in a moral authoritarian
