[00:00:18.334 --> 00:00:20.135]  It's Monday, January 25th.
[03:09:51.657 --> 03:09:58.182]  Great being on with Alex Jones Show.
[03:09:58.182 --> 03:10:00.964]  And, uh, boy, everything Alex said is so true.
[03:10:08.310 --> 03:10:12.234]  This is the U.S.S.A., United Soviet States of America.
[03:10:12.234 --> 03:10:16.657]  He's been warning about it and so have we.
[03:10:16.657 --> 03:10:19.240]  The reality is hitting us in front of our eyes.
[03:10:19.240 --> 03:10:22.222]  Who could have believed this would happen?
[03:10:22.222 --> 03:10:32.551]  That we would lose our freedom, our peace and justice, being stolen from us right in front of our eyes.
[03:10:32.551 --> 03:10:34.973]  And look at the freaks that are robbing it from us.
[03:10:36.923 --> 03:10:40.565]  Which is your favorite freak?
[03:10:40.565 --> 03:10:42.566]  You like Nancy Pelosi?
[03:10:42.566 --> 03:10:47.148]  Now there he is, little Chuckie Shuma.
[03:10:47.148 --> 03:10:48.868]  One little jerk after another.
[03:10:48.868 --> 03:10:53.911]  I ain't Chuckie, that's another one.
[03:10:53.911 --> 03:10:56.492]  Lindsey Graham?
[03:10:56.492 --> 03:10:58.753]  Mitch McConnell?
[03:10:58.753 --> 03:11:03.335]  Diane Not-So-Feinstein?
[03:11:03.335 --> 03:11:05.156]  Look around your state.
[03:11:06.909 --> 03:11:10.872]  Witless Whitmer.
[03:11:10.872 --> 03:11:15.196]  Lola, L-O-L-A Lola.
[03:11:15.196 --> 03:11:18.719]  Big news, big news.
[03:11:18.719 --> 03:11:25.645]  This, this Rachel is our health secretary.
[03:11:25.645 --> 03:11:31.990]  This guy got more chins or she got more chins than a Chinese phone book.
[03:11:34.790 --> 03:11:40.111]  Look at the freaks that are destroying our lives.
[03:11:40.111 --> 03:11:42.351]  It's not only in America, it's around the world.
[03:11:42.351 --> 03:11:44.312]  There she is.
[03:11:44.312 --> 03:11:47.092]  He is.
[03:11:47.092 --> 03:11:49.493]  Again, this clown telling me about health?
[03:11:49.493 --> 03:11:51.893]  You know, screw off!
[03:11:51.893 --> 03:11:55.794]  I could outdo you in health, inside out, as I mentioned.
[03:11:55.794 --> 03:11:58.614]  First book I worked on, Natural Healing.
[03:11:58.614 --> 03:12:00.094]  What a book!
[03:12:00.094 --> 03:12:00.374]  Back in 1986.
[03:12:04.062 --> 03:12:07.703]  People weren't talking about this stuff.
[03:12:07.703 --> 03:12:10.864]  An honorary doctorate from the National University of Health Sciences.
[03:12:10.864 --> 03:12:15.145]  And they make a big deal about picking somebody transgender?
[03:12:15.145 --> 03:12:17.866]  I could care what you cut off, what you didn't.
[03:12:17.866 --> 03:12:21.227]  I just want the best person in there.
[03:12:21.227 --> 03:12:23.267]  Look at this.
[03:12:23.267 --> 03:12:24.187]  Look at this.
[03:12:24.187 --> 03:12:25.948]  America?
[03:12:25.948 --> 03:12:27.448]  That's not my America.
[03:12:27.448 --> 03:12:30.269]  This whole thing is a fraud right in front of our eyes.
[03:12:34.617 --> 03:12:35.758]  New administration?
[03:12:35.758 --> 03:12:40.100]  The new Trends Journal is coming out tomorrow.
[03:12:40.100 --> 03:12:44.402]  You got the Obama administration back in.
[03:12:44.402 --> 03:12:46.503]  Yeah, you remember the Obama administration?
[03:12:46.503 --> 03:12:50.546]  Remember the Patriot Act?
[03:12:50.546 --> 03:12:53.687]  That he doubled up on?
[03:12:53.687 --> 03:12:57.910]  That they could kill us any place, anywhere, anytime, for any reason?
[03:12:57.910 --> 03:13:01.452]  We had a judge jury a trial?
[03:13:01.452 --> 03:13:02.032]  America?
[03:13:03.775 --> 03:13:06.757]  And now we got this in there.
[03:13:06.757 --> 03:13:12.760]  And boy, the Libtards love Biden.
[03:13:12.760 --> 03:13:16.142]  I call them Libtards because they're not liberals.
[03:13:16.142 --> 03:13:18.344]  Liberals respect freedom.
[03:13:18.344 --> 03:13:20.525]  Liberals respect individuality.
[03:13:20.525 --> 03:13:23.727]  You look up the definition of the word.
[03:13:23.727 --> 03:13:25.668]  Liberal.
[03:13:25.668 --> 03:13:31.291]  Willing to respect or accept behavior or opinions different from one's own.
[03:13:31.291 --> 03:13:32.592]  Open to new ideas.
[03:13:34.144 --> 03:13:36.525]  These aren't liberals.
[03:13:36.525 --> 03:13:39.207]  They're murderers.
[03:13:39.207 --> 03:13:43.129]  Not a war that Biden didn't love.
[03:13:43.129 --> 03:13:45.171]  Didn't vote for.
[03:13:45.171 --> 03:13:50.974]  Sending all our jobs over with NAFTA that he loved.
[03:13:50.974 --> 03:13:53.956]  Bringing China into the World Trade Organization.
[03:13:53.956 --> 03:14:00.020]  And what happened?
[03:14:00.020 --> 03:14:02.761]  I guess that guy blinked in or blinked out.
[03:14:02.761 --> 03:14:03.322]  That's the new
[03:14:04.921 --> 03:14:07.623]  Secretary of State?
[03:14:07.623 --> 03:14:16.007]  How come the Biden thing at Pennsylvania University got some $22 million?
[03:14:16.007 --> 03:14:20.510]  And most of it from the Chinese?
[03:14:20.510 --> 03:14:21.751]  And he wouldn't answer it?
[03:14:21.751 --> 03:14:23.852]  Why do I have to answer it?
[03:14:23.852 --> 03:14:24.932]  Don't you know who I am?
[03:14:24.932 --> 03:14:26.653]  I'm a member of the club.
[03:14:26.653 --> 03:14:32.937]  And all you are, everybody out there, are just
[03:14:34.326 --> 03:14:40.751]  Workers on the global plantation of slavelandia.
[03:14:40.751 --> 03:14:42.112]  Liberals.
[03:14:42.112 --> 03:14:44.274]  They're libtards.
[03:14:44.274 --> 03:14:50.259]  They're retarded freaks that are power hungry.
[03:14:50.259 --> 03:14:52.861]  That have robbed us of our freedom.
[03:14:52.861 --> 03:14:55.983]  Of our peace and our justice.
[03:14:55.983 --> 03:14:56.864]  Look at this.
[03:14:56.864 --> 03:14:58.665]  Look at the clown show.
[03:14:58.665 --> 03:15:01.788]  Look at the clown show right in front of everybody's eyes.
[03:15:03.547 --> 03:15:05.348]  Look at this.
[03:15:05.348 --> 03:15:06.449]  President.
[03:15:06.449 --> 03:15:07.250]  Look at it.
[03:15:07.250 --> 03:15:08.330]  Look at it.
[03:15:08.330 --> 03:15:08.791]  Oh, yeah.
[03:15:08.791 --> 03:15:09.251]  Oh, yeah.
[03:15:09.251 --> 03:15:10.111]  Go back over there.
[03:15:10.111 --> 03:15:11.252]  You got the guy.
[03:15:11.252 --> 03:15:13.594]  That's the new defense secretary.
[03:15:13.594 --> 03:15:16.276]  Oh, they got a black man for defense secretary.
[03:15:16.276 --> 03:15:19.338]  First one.
[03:15:19.338 --> 03:15:20.678]  Yeah.
[03:15:20.678 --> 03:15:22.840]  They had a black president.
[03:15:22.840 --> 03:15:26.743]  This guy was a general in Iraq.
[03:15:26.743 --> 03:15:33.167]  Responsible for the slaughter of a lot of people, but best of all, on the board of directors of Raytheon.
[03:15:33.965 --> 03:15:35.887]  Yeah.
[03:15:35.887 --> 03:15:40.732]  The big defense contract.
[03:15:40.732 --> 03:15:43.254]  They're taking over.
[03:15:43.254 --> 03:15:45.657]  Unless we fight back.
[03:15:45.657 --> 03:15:47.899]  Fight back with InfoWars.
[03:15:47.899 --> 03:15:48.620]  Do your part.
[03:15:48.620 --> 03:15:49.641]  We'll be right back.
[03:15:51.536 --> 03:15:57.880]  What if you could cut your heating bills this winter with your existing wood burning fireplace and not spend thousands doing it?
[03:15:57.880 --> 03:16:00.862]  You can with Great Wall of Fire Fireplace Grates.
[03:16:00.862 --> 03:16:01.302]  Our U.S.
[03:16:01.302 --> 03:16:09.447]  patented, made in America, wall of fire grates increase fireplace efficiency, eliminate fireplace smoke problems, and come with a 30 day money back guarantee.
[03:16:09.447 --> 03:16:13.690]  See our grates in action and get free shipping from wall of fire dot com or call 800-274-7364.
[03:16:13.690 --> 03:16:15.191]  Fireplace heat without fireplace smoke.
[03:16:15.191 --> 03:16:16.291]  Wall of fire dot com.
[03:16:21.906 --> 03:16:22.727]  Hey, everybody.
[03:16:22.727 --> 03:16:25.969]  Confused about staying healthy in a crazy COVID culture?
[03:16:25.969 --> 03:16:26.729]  Me too.
[03:16:26.729 --> 03:16:33.834]  But listen, after all the research, all the conflicting studies, after all the squabbling, there's one thing almost everyone agrees on.
[03:16:33.834 --> 03:16:38.217]  It's that immune system health can literally be the difference between life and death.
[03:16:38.217 --> 03:16:40.118]  You probably already believe that.
[03:16:40.118 --> 03:16:41.139]  I certainly do.
[03:16:41.139 --> 03:16:42.079]  So here's the thing.
[03:16:42.079 --> 03:16:50.405]  I wanted to get past the craziness and find out which plant-based substances actually have studies that demonstrate some efficacy in immune support.
[03:16:50.965 --> 03:16:56.389]  Now, you'll have to sign a waiver, but you can check out what I've discovered at StrongerDefense.com.
[03:16:56.389 --> 03:16:57.750]  No cures or treatments there.
[03:16:57.750 --> 03:17:06.956]  Instead, little known but shocking immune system research and a breakthrough immune support product based on that research called Immune 10X.
[03:17:06.956 --> 03:17:07.876]  And the best part?
[03:17:07.876 --> 03:17:14.601]  You can go to the Stronger Defense website right now and claim your own supply of Immune 10X without paying anything today.
[03:17:14.601 --> 03:17:15.441]  Crazy, right?
[03:17:15.441 --> 03:17:19.424]  Learn more about this unusual limited time offer at StrongerDefense.com.
[03:17:19.424 --> 03:17:20.845]  That's StrongerDefense.com.
[03:17:21.846 --> 03:17:23.068]  Hi, I'm Dan Pilla.
[03:17:23.068 --> 03:17:26.993]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[03:17:26.993 --> 03:17:28.535]  I sued the IRS and won.
[03:17:28.535 --> 03:17:31.499]  I beat the IRS then, and I've been beating them ever since.
[03:17:31.499 --> 03:17:36.686]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[03:17:37.046 --> 03:17:38.227]  I can help you too.
[03:17:38.227 --> 03:17:41.168]  If you owe taxes you can't pay, don't wait another day.
[03:17:41.168 --> 03:17:43.389]  There's no such thing as a hopeless tax case.
[03:17:43.389 --> 03:17:47.831]  Call 800-34-NO-TAX or go to my website, DanPilla.com.
[03:17:47.831 --> 03:17:49.531]  That's DanPilla.com.
[03:17:49.531 --> 03:17:50.132]  DanPilla.com.
[03:17:52.213 --> 03:17:56.057]  Cognitive dissonance is a major issue amongst the left.
[03:17:56.057 --> 03:18:00.382]  It can be very stressful dealing with facts you refuse to accept.
[03:18:00.382 --> 03:18:08.912]  If you have a family member suffering from this degenerative mental condition, buy them a bottle of Ultimate Fish Oil from Infowarsstore.com.
[03:18:09.252 --> 03:18:25.864]  Studies have suggested that fish oils and fish oil supplementation can slightly lower blood pressure, decrease triglyceride levels, decrease the growth rate of plaque, and provide a soothing reduction in inflammatory responses in joints and the digestive system.
[03:18:25.864 --> 03:18:37.392]  Recent studies have suggested that high EPA and DHA fish oil can stimulate immune function by increasing the concentration and activity of immune cells.
[03:18:37.392 --> 03:18:38.473]  It worked for my family
[03:18:39.033 --> 03:18:45.876]  And now I can have a logical and calm discussion about actual facts that pertain to reality.
[03:18:45.876 --> 03:18:51.399]  Get your ultimate fish oil for a friend, family member, or yourself at InfoWarsStore.com
[03:18:53.746 --> 03:18:56.227]  We have the technocrats are controlling the food supply.
[03:18:56.227 --> 03:18:59.328]  Secure your own safe source of food supply sale.
[03:18:59.328 --> 03:19:04.669]  It's the new prices in 2021, but it's the lowest price for high quality food you're going to find at infowarsstore.com.
[03:19:04.669 --> 03:19:07.190]  The subsection is preparewithalex.com.
[03:19:07.190 --> 03:19:08.750]  And it's all these globalists do this.
[03:19:08.750 --> 03:19:10.651]  And as they hoard the food and as they prepare.
[03:19:11.451 --> 03:19:14.393]  You need to understand that you need 25-year food supply.
[03:19:14.393 --> 03:19:19.517]  The last 25 years, one month, three months, six months, one year's supplies, and it's the highest quality you're gonna find.
[03:19:19.517 --> 03:19:29.684]  And it's just good to have that checkbox taken care of, and you know you're getting good food at a very good price, and you know that a small percentage of it, because there's not much profit in this, goes to us to fund our operation.
[03:19:29.764 --> 03:19:31.205]  You're listening to the Alex Jones Show!
[03:20:15.171 --> 03:20:17.072]  The answer to 1984 is 1776.
[03:20:17.072 --> 03:20:30.222]  You're listening to the Alex Jones Show with Gerald Cilente.
[03:20:30.222 --> 03:20:33.104]  Great to be on the Alex Jones Show.
[03:20:33.104 --> 03:20:39.508]  And I want to thank Alex for having me on and all the staff and the great work that they do.
[03:20:39.508 --> 03:20:41.009]  And these are critical times.
[03:20:41.009 --> 03:20:43.811]  This is like nothing we've ever seen in our lifetime.
[03:20:44.989 --> 03:20:48.770]  Our freedoms are being robbed in front of our eyes.
[03:20:48.770 --> 03:20:54.252]  How they overblew what happened on January 6th.
[03:20:54.252 --> 03:20:55.653]  The epiphany, huh?
[03:20:55.653 --> 03:20:57.494]  Yeah.
[03:20:57.494 --> 03:20:59.194]  No, it wasn't.
[03:20:59.194 --> 03:21:00.455]  Again, you see the pictures.
[03:21:00.455 --> 03:21:05.676]  A guy screaming at the cops, all dressed up in their military drag.
[03:21:05.676 --> 03:21:09.618]  They could blow apart, you know, a thousand people.
[03:21:10.763 --> 03:21:13.224]  Why are you guys doing anything to stop this?
[03:21:13.224 --> 03:21:14.064]  What's going on?
[03:21:14.064 --> 03:21:15.345]  How come you're not doing anything?
[03:21:15.345 --> 03:21:17.446]  And he just stood there.
[03:21:17.446 --> 03:21:23.348]  You saw the pictures of the cops opening up doors and letting people come in.
[03:21:23.348 --> 03:21:32.192]  You've seen the videos of guys smashing the window and the cops just standing there.
[03:21:32.192 --> 03:21:37.234]  This is a real deadly riot as they're pushing it up to be so now they could give us
[03:21:39.448 --> 03:21:44.552]  Domestic terrorism.
[03:21:44.552 --> 03:21:49.615]  The guys would have been in there with guns blowing everybody apart.
[03:21:49.615 --> 03:21:51.797]  Yeah.
[03:21:51.797 --> 03:21:54.319]  That would have been a riot.
[03:21:54.319 --> 03:21:58.381]  That's what we would have seen.
[03:21:58.381 --> 03:22:00.803]  But now, this is what we saw.
[03:22:00.803 --> 03:22:01.864]  Look at this.
[03:22:01.864 --> 03:22:03.905]  You can't stop this?
[03:22:03.905 --> 03:22:06.047]  What, are you kidding me?
[03:22:06.047 --> 03:22:08.188]  Where are the cops?
[03:22:08.188 --> 03:22:08.989]  What's going on?
[03:22:09.864 --> 03:22:12.906]  You got a couple of losers there?
[03:22:12.906 --> 03:22:24.312]  If this was a real riot, they would have gone in there with black and you wouldn't see their faces and they'd be shooting the hell out of everybody.
[03:22:24.312 --> 03:22:25.313]  For this.
[03:22:25.313 --> 03:22:27.794]  For this, we lose our rights.
[03:22:27.794 --> 03:22:31.096]  For this freak show.
[03:22:31.096 --> 03:22:34.678]  Robbed right in front of our eyes.
[03:22:34.678 --> 03:22:36.619]  But hey.
[03:22:36.619 --> 03:22:37.400]  There he goes.
[03:22:37.400 --> 03:22:39.041]  There's that cop that killed that woman.
[03:22:40.365 --> 03:22:42.806]  What a tough guy he is, huh?
[03:22:42.806 --> 03:22:43.426]  Wow.
[03:22:43.426 --> 03:22:46.386]  Yeah, look at all the cops over there.
[03:22:46.386 --> 03:22:48.147]  Look at all the ones behind her over there.
[03:22:48.147 --> 03:22:50.267]  How come they weren't doing anything?
[03:22:50.267 --> 03:22:50.908]  Yeah, look at that.
[03:22:50.908 --> 03:22:52.968]  Yeah, that was... Look, he puts his gun up.
[03:22:52.968 --> 03:22:54.949]  Look at that tough little boy!
[03:22:54.949 --> 03:22:57.769]  Look how tough that little boy is now!
[03:22:57.769 --> 03:23:00.110]  You slimy low lives!
[03:23:00.110 --> 03:23:02.510]  You should all rot in hell!
[03:23:02.510 --> 03:23:07.332]  You should rot in hell for what they did to that poor woman!
[03:23:07.332 --> 03:23:08.392]  Look at them!
[03:23:08.392 --> 03:23:08.932]  Look at them!
[03:23:09.565 --> 03:23:11.166]  Little tough boys.
[03:23:11.166 --> 03:23:16.069]  You're all tough when you've got your guns and your buddies behind you.
[03:23:16.069 --> 03:23:22.253]  But you have a pair of cojones smaller than a mothball when you're man-to-man.
[03:23:22.253 --> 03:23:30.298]  For that, our lives are being destroyed.
[03:23:30.298 --> 03:23:32.159]  Domestic terrorism.
[03:23:32.159 --> 03:23:33.020]  You got it.
[03:23:33.895 --> 03:23:36.176]  It is domestic terrorism!
[03:23:36.176 --> 03:23:38.957]  Right from the White House down!
[03:23:38.957 --> 03:23:41.498]  Those are the terrorists!
[03:23:41.498 --> 03:23:44.700]  They are the terrorists that take us to war!
[03:23:44.700 --> 03:23:48.822]  Like the slimy, murderous George W. Bush!
[03:23:48.822 --> 03:23:50.282]  Calm down, Selenke!
[03:23:50.282 --> 03:23:53.604]  He's only another daddy's boy!
[03:23:53.604 --> 03:23:58.266]  Like little Andy Cuomo, born on 3rd base and thought he had a home run!
[03:23:58.266 --> 03:24:01.667]  An arrogant little nothing of a clownster!
[03:24:01.667 --> 03:24:02.968]  Who'd be nobody!
[03:24:04.093 --> 03:24:09.716]  If daddy wasn't Georgie and grandpa wasn't that other guy.
[03:24:09.716 --> 03:24:13.798]  Yeah.
[03:24:13.798 --> 03:24:17.340]  Taking us to war on lies.
[03:24:17.340 --> 03:24:22.923]  Killing American soldiers, people that believed his lies.
[03:24:22.923 --> 03:24:28.346]  And slaughtering over a million innocent Iraqis.
[03:24:31.052 --> 03:24:35.614]  Prescott Bush was their grandpa.
[03:24:35.614 --> 03:24:40.195]  Yeah, another murderer.
[03:24:40.195 --> 03:24:41.796]  He loved Hitler.
[03:24:41.796 --> 03:24:49.759]  Yeah, Heil Prescott.
[03:24:49.759 --> 03:24:56.982]  These are the people that are destroying our lives.
[03:24:56.982 --> 03:24:59.063]  Yep.
[03:24:59.063 --> 03:24:59.483]  Look at this.
[03:25:00.740 --> 03:25:08.867]  Innocent people being murdered by our tax dollars.
[03:25:08.867 --> 03:25:13.251]  Paid for by we the people.
[03:25:13.251 --> 03:25:14.792]  Domestic terrorism?
[03:25:14.792 --> 03:25:17.354]  You bet!
[03:25:17.354 --> 03:25:20.136]  You bet!
[03:25:20.136 --> 03:25:25.000]  Domestic terrorism right from the top of the White House.
[03:25:25.000 --> 03:25:29.044]  From the Nobel Peace of Crap Prize winner, Barack Obama.
[03:25:30.399 --> 03:25:32.120]  Right on through.
[03:25:32.120 --> 03:25:36.783]  There wasn't a war that Biden didn't love.
[03:25:36.783 --> 03:25:40.325]  Those are the terrorists that robbed us of our rights.
[03:25:40.325 --> 03:25:42.766]  The Patriot Act.
[03:25:42.766 --> 03:25:45.408]  Hey, how come you're not fighting all them terrorists over there?
[03:25:45.408 --> 03:25:50.171]  I thought the Patriot Act wasn't against, didn't stop Al Qaeda.
[03:25:50.171 --> 03:25:54.013]  It was an act against we the people.
[03:25:54.013 --> 03:25:56.635]  Doubled up by Obama.
[03:25:58.433 --> 03:26:03.737]  And now being put in full force by Biden.
[03:26:03.737 --> 03:26:08.862]  Liberals, libtards who believe him.
[03:26:08.862 --> 03:26:09.903]  Yep.
[03:26:09.903 --> 03:26:11.424]  Drone strike Obama.
[03:26:11.424 --> 03:26:16.929]  Quote, I'm really good at killing people, as he's quoted in the book Double Down.
[03:26:16.929 --> 03:26:18.690]  Celente, you should be calm.
[03:26:18.690 --> 03:26:21.192]  You should speak like the English do.
[03:26:21.192 --> 03:26:22.113]  They're so proper.
[03:26:22.113 --> 03:26:25.696]  You know, the sun never set on the British Empire.
[03:26:26.980 --> 03:26:34.285]  They've only conquered lands, slaughtered millions and millions of people, but did it properly.
[03:26:34.285 --> 03:26:42.151]  And then occupied them, like they did such a wonderful job in India, destroying it.
[03:26:42.151 --> 03:26:47.314]  So you should calm down and be like us.
[03:26:47.314 --> 03:26:52.858]  Be little gutless characters that America's become.
[03:26:52.858 --> 03:26:55.300]  Except the people tuning into InfoWars.
[03:26:57.668 --> 03:27:00.410]  You're here because you want the truth.
[03:27:00.410 --> 03:27:02.793]  You're here because you want action.
[03:27:02.793 --> 03:27:05.535]  And it has to be peaceful.
[03:27:05.535 --> 03:27:07.457]  It must be in peace.
[03:27:07.457 --> 03:27:09.618]  I'm a warrior for the Prince of Peace.
[03:27:09.618 --> 03:27:10.439]  Am I a fighter?
[03:27:10.439 --> 03:27:15.463]  You bet I am.
[03:27:15.463 --> 03:27:19.047]  I'll fight for my life.
[03:27:19.047 --> 03:27:21.709]  But I won't harm anybody else that doesn't want to harm me.
[03:27:23.880 --> 03:27:26.781]  I respect my neighbors, they respect me.
[03:27:26.781 --> 03:27:29.342]  You won't respect me, it's gonna come back at you.
[03:27:29.342 --> 03:27:31.583]  But no violence.
[03:27:31.583 --> 03:27:35.364]  No violence, only if my life is threatened.
[03:27:35.364 --> 03:27:38.645]  Break into my house, I'll blow your brains out.
[03:27:38.645 --> 03:27:43.866]  Simple as that.
[03:27:43.866 --> 03:27:46.407]  We need a peaceful movement.
[03:27:46.407 --> 03:27:51.089]  Freedom, peace and justice, we must have now.
[03:27:51.089 --> 03:27:51.729]  If we don't,
[03:27:54.315 --> 03:27:59.239]  We're going to be living hell on earth in the United States.
[03:27:59.239 --> 03:28:01.060]  It's underway.
[03:28:01.060 --> 03:28:03.602]  It's happening.
[03:28:03.602 --> 03:28:05.984]  Do what you can to support InfoWars.
[03:28:05.984 --> 03:28:07.606]  They got great products.
[03:28:07.606 --> 03:28:09.247]  I put my money where my mouth is.
[03:28:09.247 --> 03:28:10.588]  I buy them.
[03:28:10.588 --> 03:28:13.811]  I support them.
[03:28:13.811 --> 03:28:17.353]  We must keep the truth alive.
[03:28:17.353 --> 03:28:21.096]  It's being robbed from us.
[03:28:21.096 --> 03:28:22.317]  And get ready for the next war.
[03:28:23.922 --> 03:28:27.443]  When all else fails, they take you to war.
[03:28:27.443 --> 03:28:30.304]  And this economy is going to fail big time.
[03:28:30.304 --> 03:28:34.386]  And when we get back, we're going to talk about it.
[03:28:34.386 --> 03:28:38.287]  The worst is yet to come, like we've never seen before.
[03:28:38.287 --> 03:28:41.388]  Oh, they're going to open things up.
[03:28:41.388 --> 03:28:44.329]  Yeah, ain't going to work.
[03:28:44.329 --> 03:28:45.190]  The ones that are gone.
[03:28:51.748 --> 03:29:02.780]  The project for world government developed by the British Empire via Cecil Rhodes, then picked up by the Rockefeller family and the major robber barons to plant it by the 1920s, is all about corporate global governance.
[03:29:02.780 --> 03:29:04.141]  And now you're seeing it.
[03:29:04.141 --> 03:29:12.610]  It's not just the blue states, the blue cities, the communists and socialists, nations all working in unison under UN control to establish a medical planetary dictatorship.
[03:29:13.291 --> 03:29:20.894]  At the core of it is the Fortune 100 corporations, themselves funded by a handful of private central banking families.
[03:29:20.894 --> 03:29:24.015]  The Rothschilds, the Rockefellers, the Dutch and British Royalty.
[03:29:24.015 --> 03:29:25.575]  They hit the very heart of that.
[03:29:25.575 --> 03:29:29.197]  Then you learn the Dutch and British Royalty aren't even Dutch or British at the same time.
[03:29:30.017 --> 03:29:37.120]  But they go back to the literal Count Dracula and the wars in between Christendom and Islam.
[03:29:37.120 --> 03:29:40.722]  Those that don't know history really are doomed to repeat it.
[03:29:40.722 --> 03:29:43.143]  They're involved in ploting the world economy.
[03:29:43.143 --> 03:29:45.104]  That's what the social distancing and the masks are all about.
[03:29:45.104 --> 03:29:47.565]  It's about bankrupting local small businesses.
[03:29:47.565 --> 03:29:50.247]  And those that comply are complying with your own destruction.
[03:29:50.247 --> 03:29:50.607]  Wake up!
[03:29:53.644 --> 03:29:59.973]  Anybody listening to my voice can simply search into the term Davos Group, technocracy or technocrats.
[03:30:00.905 --> 03:30:15.876]  You'll get Klaus Schwab and Jean-Claude Juncker and all the New World Order globalists like Xi Jinping saying that they no longer want elected leaders over governments, that they want businessman technocrats over them.
[03:30:15.876 --> 03:30:17.377]  And that's who Klaus Schwab is.
[03:30:17.377 --> 03:30:22.481]  You might want to look into the guy that says they've launched the COVID-19 lockdowns to bankrupt you and make you poor.
[03:30:22.481 --> 03:30:25.263]  You might want to find out who this supervillain is.
[03:30:26.357 --> 03:30:31.580]  He believes, because he's hidden it in plain view, and you're not speaking out against it, that he has a right to do it to you.
[03:30:31.580 --> 03:30:33.661]  You might want to find out who he works for.
[03:30:33.661 --> 03:30:35.102]  He works directly for Prince Charles.
[03:30:35.102 --> 03:30:39.605]  He developed, since the 80s, the plan for global sustainability.
[03:30:39.605 --> 03:30:43.167]  That means worldwide neo-feudalism, in his own words.
[03:30:43.167 --> 03:30:48.570]  So you might want to find out how he talks about using vaccines to sterilize you, before you take those shots.
[03:30:48.570 --> 03:30:50.972]  You might just want to find out who this villain is.
[03:30:50.972 --> 03:30:51.432]  All right.
[03:30:56.212 --> 03:30:58.013]  Ladies and gentlemen, I've studied history.
[03:30:58.013 --> 03:30:59.873]  I've interviewed all the experts.
[03:30:59.873 --> 03:31:01.774]  I have looked at every facet of this.
[03:31:01.774 --> 03:31:07.696]  And now, only days until the inauguration of the CHICOM agent, it's all coming into place.
[03:31:07.696 --> 03:31:09.896]  That's how they changed the subject from election fraud.
[03:31:09.896 --> 03:31:12.297]  It's how they changed the subject from Hunter's laptop.
[03:31:12.297 --> 03:31:18.179]  It's how they changed the subject from Epstein and Obama and Al Qaeda and the New World Order.
[03:31:18.639 --> 03:31:28.231]  And now use the already martial law in place for COVID-19, and that's what it is, to then be expanded and become political and become permanent.
[03:31:28.231 --> 03:31:35.219]  They train you to stay in your houses, they train you to be tracked, they train you to do what you're told for nine, ten months as training wheels, and now they launch the storm.
[03:31:35.680 --> 03:31:37.481]  The storm is here.
[03:31:37.481 --> 03:31:39.602]  It's a globalist storm.
[03:31:39.602 --> 03:31:41.663]  There's not going to be martial law for Trump.
[03:31:41.663 --> 03:31:43.884]  There's going to be martial law for the globalists.
[03:31:43.884 --> 03:31:45.244]  They're trying to set you up.
[03:31:45.244 --> 03:31:47.085]  Don't be involved in violence.
[03:31:47.085 --> 03:31:50.767]  Expose the New World Order and expose the takeover with information.
[03:31:50.767 --> 03:31:52.167]  That's how we beat these people.
[03:31:52.167 --> 03:31:53.408]  With truth.
[03:31:53.408 --> 03:31:57.930]  Introducing Infowars Life Pure Turmeric Extract.
[03:31:57.930 --> 03:32:00.491]  This is taken under the tongue.
[03:32:00.491 --> 03:32:01.632]  It is pure turmeric.
[03:32:02.652 --> 03:32:11.876]  It goes together very well with our body's ultimate turmeric formula that is taken as a powdered capsule and absorbed in the stomach and intestines.
[03:32:11.876 --> 03:32:17.698]  This is absorbed under the tongue into the bloodstream and then the remaining also is then absorbed by the stomach.
[03:32:17.698 --> 03:32:19.859]  So it's more of an intense delivery system.
[03:32:20.319 --> 03:32:23.562]  The two formulas are different, but both are concentrates.
[03:32:23.562 --> 03:32:25.403]  And our first product got rave reviews.
[03:32:25.403 --> 03:32:27.525]  We've now been testing this out for several months.
[03:32:27.525 --> 03:32:29.706]  Some of our staff like it more than bodies.
[03:32:29.706 --> 03:32:31.067]  Some like bodies better.
[03:32:31.067 --> 03:32:34.210]  For me, they're both amazing for their anti-inflammatory action.
[03:32:34.210 --> 03:32:35.190]  It's so much more.
[03:32:35.190 --> 03:32:36.391]  And they fund the NymphoWar.
[03:32:36.391 --> 03:32:39.794]  So get our new liquid turmeric extract exclusively.
[03:32:39.794 --> 03:32:40.995]  NymphoWarStore.com today.
[03:32:40.995 --> 03:32:41.735]  Get an additional 25% off.
[03:32:41.735 --> 03:32:42.236]  This is a 360 win.
[03:32:45.498 --> 03:32:50.587]  Tumeric is renowned for what it does for all of our bodies, for inflammation and so much more.
[03:32:50.587 --> 03:32:55.335]  Get yours today at InfoWarsLife.com.
[03:32:55.335 --> 03:32:57.959]  You're listening to the Alex Jones Show.
[03:33:14.273 --> 03:33:17.654]  You're listening to The Alex Jones Show!
[03:33:17.654 --> 03:33:25.557]  And now, your host, Gerald Solente!
[03:33:25.557 --> 03:33:28.598]  Great being on The Alex Jones Show!
[03:33:28.598 --> 03:33:32.620]  Again, we're in unprecedented times.
[03:33:32.620 --> 03:33:33.420]  Nothing like this.
