[00:00.000 --> 00:11.000]  And it's time for humanity to stand up in the Info War and say, I don't know what's going
[1:38:25.880 --> 1:38:33.120]  And at trial, they showed isolated snippets of your Sandy Hook presentations to try to
[1:38:33.120 --> 1:38:38.320]  inspire passion, prejudice, and sympathy for the plaintiffs against you, and they succeeded
[1:38:38.320 --> 1:38:39.840]  in some regards.
[1:38:39.840 --> 1:38:44.260]  They were assisted by unusual rulings from the court.
[1:38:44.260 --> 1:38:49.440]  You were subject in Texas, as you have been in Connecticut, to what are known as in Texas,
[1:38:49.440 --> 1:38:51.760]  at least as death penalty sanctions.
[1:38:51.760 --> 1:38:53.440]  You suffered a default.
[1:38:53.440 --> 1:38:58.720]  And that default was because you were unable to satisfy the plaintiff's lawyers and the
[1:38:58.720 --> 1:39:05.800]  judges with your business records, with the ability to retrieve information about how
[1:39:05.800 --> 1:39:08.600]  info wars had historically operated.
[1:39:08.600 --> 1:39:15.400]  And they contended that your inability to do that was a lie, or willfulness conduct.
[1:39:15.400 --> 1:39:21.520]  And that because you lied or engaged in willfulness conduct by failing to disclose information
[1:39:21.520 --> 1:39:29.000]  they asserted you had without proof, you should suffer the inability to defend yourself.
[1:39:29.000 --> 1:39:33.160]  Now, I've been involved in your cases for the better part of three and a half years
[1:39:33.160 --> 1:39:34.920]  now off and on.
[1:39:34.920 --> 1:39:42.320]  And I have spent weeks, maybe months at this point on the campus there in Austin, making
[1:39:42.320 --> 1:39:46.040]  every effort to comply with discovery orders.
[1:39:46.040 --> 1:39:51.480]  I've interviewed people, spent a couple of days once just walking around trying to figure
[1:39:51.480 --> 1:39:57.160]  out who did what I've asked many, many times for records of people who have them.
[1:39:57.160 --> 1:40:03.480]  I've searched for the answer to every question that the Connecticut plaintiffs at least have
[1:40:03.480 --> 1:40:04.720]  put to you.
[1:40:04.720 --> 1:40:07.160]  And when we found them, we gave them.
[1:40:07.160 --> 1:40:10.280]  But when we couldn't find them, we didn't lie or make them up.
[1:40:10.280 --> 1:40:12.200]  We just said, we don't have them.
[1:40:12.200 --> 1:40:16.000]  And so they went to a judge and said, we don't think they're telling the truth.
[1:40:16.000 --> 1:40:17.520]  They must have them.
[1:40:17.520 --> 1:40:19.400]  Look at the gross revenue there.
[1:40:19.400 --> 1:40:26.480]  Forget the expenses you have, the taxes you paid, the alimony you paid to your first wife.
[1:40:26.480 --> 1:40:27.480]  Forget all of that.
[1:40:27.480 --> 1:40:31.720]  They just took a look at the high number and they said, with 80 people there and this kind
[1:40:31.720 --> 1:40:35.320]  of money flowing through, this has to be like IBM.
[1:40:35.320 --> 1:40:37.040]  It's not.
[1:40:37.040 --> 1:40:38.040]  It's not.
[1:40:38.040 --> 1:40:39.240]  And the court didn't believe it.
[1:40:39.240 --> 1:40:43.520]  And so there's a perfect example that's laid in the litigation.
[1:40:43.520 --> 1:40:47.760]  This arose about certain ledgers that you had produced in Connecticut.
[1:40:47.760 --> 1:40:55.000]  And you brought in a certified public accountant who'd once worked for a major 500 fortune,
[1:40:55.000 --> 1:40:56.000]  Fortune 500 company.
[1:40:56.000 --> 1:40:57.840]  I'm not going to mention his name.
[1:40:57.840 --> 1:41:00.240]  You gave him complete access to your books.
[1:41:00.240 --> 1:41:04.200]  He addressed some of the shortcomings and they called him a liar.
[1:41:04.200 --> 1:41:10.200]  And the trial judge, without any contravailing or countervailing evidence, agreed.
[1:41:10.200 --> 1:41:16.800]  And as a result of your inability to organize your firm to their satisfaction, you lost
[1:41:16.800 --> 1:41:23.200]  the ability to defend your speech, even to present to a jury the meaning of your speech
[1:41:23.200 --> 1:41:24.200]  in what it meant.
[1:41:24.200 --> 1:41:29.840]  And where it gets worse, I believe, you know, I didn't get a chance to watch every minute
[1:41:29.840 --> 1:41:31.560]  of the Austin trial.
[1:41:31.560 --> 1:41:36.400]  I tried to watch as much as my schedule permitted from up here in Connecticut on YouTube.
[1:41:36.400 --> 1:41:41.360]  But I saw a moment where the judge said, I don't know if she said it in a jury's presence
[1:41:41.360 --> 1:41:45.840]  or if it was only outside the presence of the jury, that as a result of the so-called
[1:41:45.840 --> 1:41:53.040]  liability default, the court reached the conclusion that you had no defense and therefore imposed
[1:41:53.040 --> 1:41:54.960]  liability on you.
[1:41:54.960 --> 1:41:58.120]  You were never charged with being disorganized.
[1:41:58.120 --> 1:42:00.440]  You were never charged with wasting money.
[1:42:00.440 --> 1:42:05.360]  You were never charged with being too charismatic for your own good and not having an MBA at
[1:42:05.360 --> 1:42:07.640]  the helm or a better organization.
[1:42:07.640 --> 1:42:11.600]  What you were charged with was speech, offensive speech.
[1:42:11.600 --> 1:42:15.840]  And the plaintiffs were to prove that as a result of your offensive speech, they were
[1:42:15.840 --> 1:42:17.200]  approximately harmed.
[1:42:17.200 --> 1:42:23.320]  That is, that they suffered legal harm, that your conduct, your speech checks were a substantial
[1:42:23.320 --> 1:42:26.080]  factor in the harm that they endured.
[1:42:26.080 --> 1:42:30.080]  At trial, the jury didn't get to hear much about your defense.
[1:42:30.080 --> 1:42:35.680]  Yeah, let's explain that, I'm found guilty by the judge and then they come back and they
[1:42:35.680 --> 1:42:38.400]  tell them I'm guilty and they don't let us put on a defense.
[1:42:38.400 --> 1:42:44.440]  What this means, the precedent it sets with Norm Pattis straight ahead, it's just unbelievable.
[1:42:44.440 --> 1:42:46.280]  But look, it's par for the course, folks.
[1:42:46.280 --> 1:42:50.200]  The globalists are committing crimes, they're taking over, they can't win if people have
[1:42:50.200 --> 1:42:51.200]  free speech.
[1:42:51.200 --> 1:42:52.200]  That's why they're coming for us.
[1:42:52.200 --> 1:42:53.200]  We'll be right back to you.
[1:42:53.200 --> 1:43:00.200]  Let's go, Alex Jones.
[1:43:00.200 --> 1:43:05.640]  He's a conspiracy theory guy, he's a nutcase, he's got these rants and all that.
[1:43:05.640 --> 1:43:12.320]  What they miss is that this guy's ahead of the curve on so many different topics of signal,
[1:43:12.320 --> 1:43:13.320]  not noise.
[1:43:13.320 --> 1:43:19.560]  If you look at the signal and you compare that to PBS and NPR and BBC and we'll do what
[1:43:19.560 --> 1:43:25.320]  Alex Jones put out there versus what your collective body has put out there and if you're
[1:43:25.320 --> 1:43:28.720]  setting a human being and just watching it and you say, well, Alex Jones is ahead of
[1:43:28.720 --> 1:43:33.720]  this, not only that, he kind of explained it, you are one of the great thinkers of this.
[1:43:33.720 --> 1:43:34.720]  That is very rare.
[1:43:34.720 --> 1:43:38.800]  You've got to go back almost to the revolutionary generation and see that.
[1:43:38.800 --> 1:43:42.120]  In this new book, I've got to tell you, when Tony Lyons first approached me, I read this
[1:43:42.120 --> 1:43:45.800]  thing, I go, this is it, this is no Beatrix.
[1:43:45.800 --> 1:43:48.320]  You're not going to be flipping pages here, you're going to be having a pin out, you're
[1:43:48.320 --> 1:43:49.720]  going to be underlying stuff.
[1:43:49.720 --> 1:43:52.720]  The Great Reset by Alex Jones.
[1:43:52.720 --> 1:43:58.960]  Order your copy now at Amazon or infowarstore.com.
[1:43:58.960 --> 1:44:04.080]  Several years ago, I approached one of the top companies in the U.S. that supplies the
[1:44:04.080 --> 1:44:09.280]  highest quality signature reducing Faraday cages, the Pentagon and other U.S. government
[1:44:09.280 --> 1:44:10.280]  agencies.
[1:44:10.280 --> 1:44:16.440]  And now they have produced specifically for us, this made America onion line at a very
[1:44:16.440 --> 1:44:21.360]  affordable price, whether it's small pouches that protect your cell phone or big pouches
[1:44:21.360 --> 1:44:26.840]  that protect laptops and iPads or big bags that promote whatever electronics you want
[1:44:26.840 --> 1:44:29.120]  to put in, like desktop computers.
[1:44:29.120 --> 1:44:35.880]  It is all exclusively available at infowarstore.com under the Redux name.
[1:44:35.880 --> 1:44:40.520]  Redux is info wars, taking the highest quality products and bringing them directly to you
[1:44:40.520 --> 1:44:41.520]  at infowarstore.com.
[1:44:41.520 --> 1:44:47.480]  In this insane world, you are crazy if you don't protect your signature, your identity
[1:44:47.480 --> 1:44:51.960]  from identity theft, hackers, criminals, corporations, governments.
[1:44:51.960 --> 1:44:58.240]  This is one of the hottest items out there today that's exclusively available at infowarstore.com.
[1:44:58.240 --> 1:45:03.600]  The globalists are fighting around the clock to destroy the family, to destroy heterosexual
[1:45:03.600 --> 1:45:08.200]  relationships, to annihilate our marriages and the studies are all clear.
[1:45:08.200 --> 1:45:14.560]  The number one cause of marital splits is that there is problems in the bedroom.
[1:45:14.560 --> 1:45:18.560]  And the number one issue men have is erectile dysfunction.
[1:45:18.560 --> 1:45:22.200]  Ladies and gentlemen, the left makes big jokes about this because they don't want people
[1:45:22.200 --> 1:45:24.680]  having lasting good love and relationships.
[1:45:24.680 --> 1:45:31.080]  They want to break up society and we are so excited to have the number one natural male
[1:45:31.080 --> 1:45:35.760]  enhancement pill in the world available as a major sponsor now.
[1:45:35.760 --> 1:45:42.600]  Go to theironpatriot.com today, theironpatriot.com and watch the instructional video, look at
[1:45:42.600 --> 1:45:45.640]  the science in yourself and then get a bottle of InstaHeart.
[1:45:45.640 --> 1:45:49.680]  It's discreet shipping, I've used it, it's amazing and it's not just for folks that have
[1:45:49.680 --> 1:45:51.080]  problems in the bedroom.
[1:45:51.080 --> 1:45:58.320]  This also enhances it, so again, get yours today at theironpatriot.com.
[1:45:58.320 --> 1:46:05.320]  The number one selling category in supplements worldwide is fat burners, is weight loss formulas.
[1:46:05.320 --> 1:46:11.160]  Listen, there are hundreds of them out there that work, but most of them do it in a toxic
[1:46:11.160 --> 1:46:12.160]  way.
[1:46:12.160 --> 1:46:16.720]  Ladies and gentlemen, we went out and did deep research on the safest, healthiest ways
[1:46:16.720 --> 1:46:25.000]  to take your overall body's metabolic system and your metabolism and turn that clock back
[1:46:25.000 --> 1:46:28.200]  by turning up your metabolism.
[1:46:28.200 --> 1:46:32.320]  Ladies and gentlemen, diet force does it in a clean, healthy way, it's amazing, I've
[1:46:32.320 --> 1:46:37.400]  almost lost 40 pounds the last three months just using the samples of it, but now it's
[1:46:37.400 --> 1:46:42.080]  come into the InfoWare Store and it's ready for sale to you and your family exclusively
[1:46:42.080 --> 1:46:44.480]  at InfoWareStore.com.
[1:46:44.480 --> 1:46:51.680]  Diet force from X7, exclusively available at InfoWareStore.com for 40% off.
[1:46:51.680 --> 1:46:55.640]  I want you to experience diet force for yourself, I can't wait for the reviews, it's worked
[1:46:55.640 --> 1:46:59.560]  great for me.
[1:46:59.560 --> 1:47:12.360]  Including a frontal assault on the lies of the New World Order, it's Alex Jones.
[1:47:12.360 --> 1:47:18.680]  Welcome back my friends to the Alex Jones Show, final segment before Owen Shroyer takes
[1:47:18.680 --> 1:47:25.240]  over with Sunday Live 69PM Central and remember the forces of the globalists are battling
[1:47:25.240 --> 1:47:27.120]  around the clock to shut us down.
[1:47:27.120 --> 1:47:31.200]  Just two years ago they would never have people get up on TV and say, yeah we want to silence
[1:47:31.200 --> 1:47:36.640]  him and everybody else, but now they're doing it because they're so desperate, this is not
[1:47:36.640 --> 1:47:38.240]  a sign of strength, a sign of weakness.
[1:47:38.240 --> 1:47:43.120]  So I asked Norm to come on, in this case they've sanctioned five or six other lawyers off
[1:47:43.120 --> 1:47:47.120]  the case, they're trying to sanction Andino, the lawyer here in Texas, they're trying
[1:47:47.120 --> 1:47:51.920]  to sanction Norm, they let the other side do whatever they want, attack any lawyers
[1:47:51.920 --> 1:47:55.640]  that support us, you've got to have a lot of balls, he would stand up in those fights,
[1:47:55.640 --> 1:48:00.320]  they appreciate Norm doing that, but Norm, we talked this afternoon, I said please come
[1:48:00.320 --> 1:48:05.320]  on, you said no I want to wait, I said please come on, repeat for viewers and listeners
[1:48:05.320 --> 1:48:09.680]  just what you saw in the trial and just the basics of a trial where you're already guilty
[1:48:09.680 --> 1:48:14.960]  in America, guilty until proven guilty and the type of things you saw.
[1:48:14.960 --> 1:48:20.640]  It was troubling to me because if the court reached a conclusion that you did financial
[1:48:20.640 --> 1:48:26.080]  data that you were not forthcoming, okay, issue your sanction, we'll make our record,
[1:48:26.080 --> 1:48:29.600]  we'll take it up on appeal, I like your odds on appeal in this case.
[1:48:29.600 --> 1:48:35.240]  Just one example, Alex, no one could believe that we didn't have our fingertips, a complete
[1:48:35.240 --> 1:48:38.200]  record of every video that you'd ever done.
[1:48:38.200 --> 1:48:42.960]  Guess what, many of them were stored in social media accounts that were deplatformed and
[1:48:42.960 --> 1:48:47.760]  your intellectual property was in effect stolen from you, I mean, maybe these properties
[1:48:47.760 --> 1:48:52.760]  We 100% fire and forget, we put the report out and that's it.
[1:48:52.760 --> 1:48:56.880]  And nobody wants to believe that, they think you're NBC or CBS and that you've got a complete
[1:48:56.880 --> 1:48:57.880]  archive.
[1:48:57.880 --> 1:49:02.200]  When I first came down, I thought, okay, I'll ask somebody to flick a switch and out the
[1:49:02.200 --> 1:49:06.680]  data will pour, it didn't happen because it doesn't exist and the trial court held that
[1:49:06.680 --> 1:49:12.440]  it did because it didn't exist, you were liable and you lost the right to defend yourself.
[1:49:12.440 --> 1:49:18.600]  I mean, for example, at one point, the other side obtained an order from the court that
[1:49:18.600 --> 1:49:21.680]  you could not offer evidence of your net worth.
[1:49:21.680 --> 1:49:25.640]  And they hired an expert who was able to come up with an inflated figure that is near as
[1:49:25.640 --> 1:49:29.120]  I can tell, bears little relationship to reality.
[1:49:29.120 --> 1:49:32.480]  And you were prohibited from responding to that.
[1:49:32.480 --> 1:49:37.600]  So the judge said, I make 70 million a year, I don't make 3 million a year.
[1:49:37.600 --> 1:49:45.840]  And he said, and he said that I have 270 million net worth and we couldn't respond to his speech.
[1:49:45.840 --> 1:49:52.160]  And in closing argument, the other lawyer, after asking to put tape as it were over your
[1:49:52.160 --> 1:49:57.400]  mouth on that topic, then commented on it, said to the jury, Jones didn't tell us anything.
[1:49:57.400 --> 1:50:00.960]  Well, what he didn't tell the jury was he didn't tell you anything because we barred
[1:50:00.960 --> 1:50:01.960]  him from doing so.
[1:50:01.960 --> 1:50:03.960]  Yeah, let's slow down there.
[1:50:03.960 --> 1:50:08.360]  They get up there and they say it's time to silence Jones and everybody liking him.
[1:50:08.360 --> 1:50:11.960]  But then Andino, they say he's going to be sanctioned because he said this isn't about
[1:50:11.960 --> 1:50:15.600]  Alex, it's about everybody, which is true.
[1:50:15.600 --> 1:50:17.480]  So again, that's a key point.
[1:50:17.480 --> 1:50:20.240]  The closing argument was shocking, in my view.
[1:50:20.240 --> 1:50:27.120]  The jury returned a significant verdict of, I think, $4.1 million against you in compensatory
[1:50:27.120 --> 1:50:28.120]  damages.
[1:50:28.120 --> 1:50:31.120]  That in and of itself is vulnerable on an appeal.
[1:50:31.120 --> 1:50:34.560]  But it's like one-thirty-seventh of what they asked for.
[1:50:34.560 --> 1:50:39.480]  They asked that jury for $150 million, excuse me.
[1:50:39.480 --> 1:50:42.360]  No, but then they asked for $3 million.
[1:50:42.360 --> 1:50:48.760]  And then in punitive damages, they appealed to the jury's passion, prejudice, and sympathy.
[1:50:48.760 --> 1:50:53.920]  And when they weaponized that closing argument into a general assault on freedom of speech,
[1:50:53.920 --> 1:50:59.560]  I think they crossed a line that no appellate court should let them cross.
[1:50:59.560 --> 1:51:01.640]  This was a case about you.
[1:51:01.640 --> 1:51:03.960]  What was it going to take to punish you?
[1:51:03.960 --> 1:51:06.040]  What was it going to take to deter you?
[1:51:06.040 --> 1:51:09.240]  You were never patient zero in this case.
[1:51:09.240 --> 1:51:13.680]  You are Alex Jones, the proprietor of InfoWare and Free Speech Systems.
[1:51:13.680 --> 1:51:14.680]  That's who was on trial.
[1:51:14.680 --> 1:51:17.120]  And, Norm, let's talk about that briefly.
[1:51:17.120 --> 1:51:21.520]  Patient zero is the government killing Kennedy and the majority of Americans not believing
[1:51:21.520 --> 1:51:22.520]  it.
[1:51:22.520 --> 1:51:26.440]  Patient zero was the government lying about WMDs.
[1:51:26.440 --> 1:51:28.760]  Patient zero was Jesse Smollett.
[1:51:28.760 --> 1:51:35.000]  Patient zero was the NBC reporter, Brian Williams, saying he was shot down a helicopter when
[1:51:35.000 --> 1:51:36.000]  he wasn't.
[1:51:36.000 --> 1:51:38.880]  They've lost credibility because they're a pack of liars.
[1:51:38.880 --> 1:51:45.160]  Well, you know, I think that what if the goal is to make independent media look over its
[1:51:45.160 --> 1:51:49.360]  shoulder before it criticizes the mainstream narrative, that verdict, the verdict that
[1:51:49.360 --> 1:51:50.760]  was returned, is chilling.
[1:51:50.760 --> 1:51:52.920]  Now, I don't think it's going to stand.
[1:51:52.920 --> 1:51:58.600]  There are damage caps in Texas, and it's unlikely to be more than $1.5 million as to punitive
[1:51:58.600 --> 1:52:04.480]  damages unless the court goes out of its way to punish you by writing new law on your back.
[1:52:04.480 --> 1:52:06.680]  And it wouldn't surprise me to see that happen.
[1:52:06.680 --> 1:52:11.240]  But you know, from where I come from, or ordinary people come from, $1.5 million is a lot of
[1:52:11.240 --> 1:52:12.240]  money.
[1:52:12.240 --> 1:52:16.640]  And if that's the price of being a critic, if that's the price of raising uncomfortable
[1:52:16.640 --> 1:52:21.260]  questions, if that's the price of saying of the great reset, no, no, no, no, no, no,
[1:52:21.260 --> 1:52:22.260]  no, no, no, no, no, no, no, no, no.
[1:52:22.260 --> 1:52:23.780]  I want to be autonomous in my own home.
[1:52:23.780 --> 1:52:25.880]  I want to make decisions about how I live.
[1:52:25.880 --> 1:52:30.800]  If that's the price of saying no to microchips in your hand and social utility and social
[1:52:30.800 --> 1:52:34.480]  credit scores, you know, I don't think many people can afford to pay.
[1:52:34.480 --> 1:52:35.480]  Well, absolutely.
[1:52:35.480 --> 1:52:40.000]  Look, the frustration is, I'm not the super rich guy they're saying, I wish I could beat
[1:52:40.000 --> 1:52:41.000]  them easier.
[1:52:41.000 --> 1:52:42.160]  We're totally maxed out.
[1:52:42.160 --> 1:52:47.360]  But they, again, think by intimidating us, by crushing us, they will intimidate everybody
[1:52:47.360 --> 1:52:48.360]  else.
[1:52:48.360 --> 1:52:51.320]  That's like Hitler bombing London to make him stop the war.
[1:52:51.320 --> 1:52:56.320]  It made the Brits go from 90% anti-war to 95% pro-war.
[1:52:56.320 --> 1:53:01.160]  Why do these authoritarians think intimidating people is going to make them go away?
[1:53:01.160 --> 1:53:02.160]  Because it works.
[1:53:02.160 --> 1:53:05.240]  I think many people will choose security over liberty.
[1:53:05.240 --> 1:53:08.760]  And it takes an extraordinary person to do what you've done.
[1:53:08.760 --> 1:53:10.960]  And that is to say, look, here I stand.
[1:53:10.960 --> 1:53:11.960]  I can do no other.
[1:53:11.960 --> 1:53:16.920]  That's what Martin Luther said when he nailed the 99th Theses to Wittenberg Castle's door.
[1:53:16.920 --> 1:53:19.640]  I don't always understand everything you've said.
[1:53:19.640 --> 1:53:22.880]  Because I don't agree with it, but I respect your right to say it.
[1:53:22.880 --> 1:53:27.320]  And I want the right to decide for myself whether to listen to you or turn you off.
[1:53:27.320 --> 1:53:32.640]  For the Sandy Hook plaintiffs in the Texas case to say to the jury, we want to shut
[1:53:32.640 --> 1:53:33.640]  up.
[1:53:33.640 --> 1:53:34.640]  We want to shut him up.
[1:53:34.640 --> 1:53:35.640]  And people like him.
[1:53:35.640 --> 1:53:36.640]  Why?
[1:53:36.640 --> 1:53:41.880]  Because for several hours, over 10 years, you went on a speculative toot that turned
[1:53:41.880 --> 1:53:44.800]  out to be wrong and it hurt some folks' feelings.
[1:53:44.800 --> 1:53:45.800]  I get that.
[1:53:45.800 --> 1:53:50.080]  And maybe the jury concluded you had to pay for some of that.
[1:53:50.080 --> 1:53:51.680]  That's the jury's right.
[1:53:51.680 --> 1:53:55.920]  But the plaintiffs did not acquire the right to engage in a wholesale attack on the First
[1:53:55.920 --> 1:53:56.920]  Amendment.
[1:53:56.920 --> 1:54:00.280]  Why are they so arrogant saying we want to silence everyone?
[1:54:00.280 --> 1:54:03.040]  I mean, it's so authoritarian.
[1:54:03.040 --> 1:54:07.400]  Because we're coming to an era, I call this new era in American life the Republic of
[1:54:07.400 --> 1:54:08.400]  Virtue.
[1:54:08.400 --> 1:54:12.160]  There are those who decide they know best what we should do, how we should care for
[1:54:12.160 --> 1:54:17.080]  ourselves, what we should eat, when we should sleep, what masks we should wear, what vaccines
[1:54:17.080 --> 1:54:20.560]  we should ingest or be forced to ingest, because of the science.
[1:54:20.560 --> 1:54:22.080]  We believe in the science.
[1:54:22.080 --> 1:54:24.280]  That will tell us how best to live together.
[1:54:24.280 --> 1:54:28.560]  And I think this was a vanguard action in terms of the Republic of Virtue.
[1:54:28.560 --> 1:54:33.920]  If you can silence the outlier, if you can cripple the person who's got outrageous opinions,
[1:54:33.920 --> 1:54:36.040]  then people will be afraid to think for themselves.
[1:54:36.040 --> 1:54:37.040]  That's right.
[1:54:37.040 --> 1:54:39.840]  I'm extremely honored that they picked me as their test subject.
[1:54:39.840 --> 1:54:41.440]  I mean, it's not fun.
[1:54:41.440 --> 1:54:43.040]  But Norm, this is where I want to be.
[1:54:43.040 --> 1:54:45.040]  I mean, because to see it...
[1:54:45.040 --> 1:54:47.560]  And I like being right here next to you with it.
[1:54:47.560 --> 1:54:51.920]  You know, I don't know why there's a world rather than not these grand philosophic questions
[1:54:51.920 --> 1:54:54.560]  and have intrigued people for thousands of years.
[1:54:54.560 --> 1:54:59.400]  How should we then live is a theologian's question, a moral philosopher's question.
[1:54:59.400 --> 1:55:00.600]  Here's what I do know.
[1:55:00.600 --> 1:55:04.480]  I don't know the answers to these questions because they're profoundly difficult, but
[1:55:04.480 --> 1:55:05.680]  I don't want government.
[1:55:05.680 --> 1:55:07.360]  I don't want the mainstream media.
[1:55:07.360 --> 1:55:09.320]  I don't want large corporations deciding...
[1:55:09.320 --> 1:55:10.320]  Yeah, that's a cult.
[1:55:10.320 --> 1:55:11.960]  Let me ask this at closing.
[1:55:11.960 --> 1:55:13.160]  For myself.
[1:55:13.160 --> 1:55:17.120]  Let me ask this at closing.
[1:55:17.120 --> 1:55:20.800]  Where do you think this goes next if they get away with this?
[1:55:20.800 --> 1:55:23.120]  Well, I mean, I was stunned.
[1:55:23.120 --> 1:55:25.920]  I listened to you as I was preparing to come on.
[1:55:25.920 --> 1:55:26.920]  Joe Rogan?
[1:55:26.920 --> 1:55:27.920]  Seriously?
[1:55:27.920 --> 1:55:28.920]  Tucker Carlson?
[1:55:28.920 --> 1:55:29.920]  Then Fox News?
[1:55:29.920 --> 1:55:31.800]  I mean, what are we going to have?
[1:55:31.800 --> 1:55:36.000]  The New York Times editorial board deciding what we can eat for breakfast and what we
[1:55:36.000 --> 1:55:37.200]  should read.
[1:55:37.200 --> 1:55:41.600]  There are lots of ways to win the competition for ideas, but trying to bankrupt somebody
[1:55:41.600 --> 1:55:48.000]  into silence isn't what I think the marketplace of ideas needs.
[1:55:48.000 --> 1:55:53.320]  Gut level, I see this, I think if you've said, this is a sign of weakness.
[1:55:53.320 --> 1:55:55.360]  I don't see this as intellectual strength.
[1:55:55.360 --> 1:55:57.600]  They want to silence those that are challenging them.
[1:55:57.600 --> 1:56:01.840]  Well, you know, one of the things they said is speech is free, lies you have to pay for.
[1:56:01.840 --> 1:56:06.040]  Now if they can show that you get engaged in misconduct, speech that was untrue and
[1:56:06.040 --> 1:56:10.560]  it hurt people, that's always been an exception to freedom of speech since the beginning of
[1:56:10.560 --> 1:56:11.560]  the republic.
[1:56:11.560 --> 1:56:16.240]  But I think that when you decide that you can eliminate the concept of proximate cause,
[1:56:16.240 --> 1:56:20.280]  and listen, let me make this one last point out, there's one moment where the judge said
[1:56:20.280 --> 1:56:24.760]  that because of discovery defaults, you abandoned the right to defend on the merits.
[1:56:24.760 --> 1:56:26.720]  The jury was never told that.
[1:56:26.720 --> 1:56:31.680]  The jury was never told that because of bookkeeping problems, you defended your right to defend
[1:56:31.680 --> 1:56:33.280]  on First Amendment crowns.
[1:56:33.280 --> 1:56:34.280]  That's outrageous.
[1:56:34.280 --> 1:56:35.280]  That is lying.
[1:56:35.280 --> 1:56:37.920]  It's a very dangerous precedent.
[1:56:37.920 --> 1:56:38.920]  Yeah.
[1:56:38.920 --> 1:56:39.920]  Tell.
[1:56:39.920 --> 1:56:40.920]  All right.
[1:56:40.920 --> 1:56:41.920]  Norm Patis.
[1:56:41.920 --> 1:56:42.920]  Thank you so much.
[1:56:42.920 --> 1:56:43.920]  How do folks find your podcast?
[1:56:43.920 --> 1:56:44.920]  Law and legitimacy.
[1:56:44.920 --> 1:56:45.920]  There it is.
[1:56:45.920 --> 1:56:46.920]  Law and legitimacy podcast.
[1:56:46.920 --> 1:56:47.920]  Give us a five-star rating.
[1:56:47.920 --> 1:56:48.920]  We'd appreciate it.
[1:56:48.920 --> 1:56:49.920]  All right.
[1:56:49.920 --> 1:56:50.920]  Thank you, Norm.
[1:56:50.920 --> 1:56:51.920]  All right.
[1:56:51.920 --> 1:56:52.920]  We're going to go to break.
[1:56:52.920 --> 1:56:54.920]  Owen's going to come in here for two hours.
[1:56:54.920 --> 1:56:56.920]  He's loaded for bear.
[1:56:56.920 --> 1:57:02.840]  Share the articles, infowars.com, board slash show, band dot video, TV, radio station, everywhere.
[1:57:02.840 --> 1:57:04.480]  And please keep us on air.
[1:57:04.480 --> 1:57:05.680]  We have a plan to bank reps.
[1:57:05.680 --> 1:57:07.200]  We have a plan to stay on air.
[1:57:07.200 --> 1:57:11.360]  We can hold them up, you know, in appeals, everything for years.
[1:57:11.360 --> 1:57:14.120]  But if we don't have money, we're going to shut down very soon.
[1:57:14.120 --> 1:57:15.640]  I mean, we are very close.
[1:57:15.640 --> 1:57:19.400]  So please, if you support what we're doing, I love you and I thank you.
[1:57:19.400 --> 1:57:20.400]  I'm not guilty.
[1:57:20.400 --> 1:57:21.720]  I'm saying please help me.
[1:57:21.720 --> 1:57:23.200]  Please help me fight for you.
[1:57:23.200 --> 1:57:24.200]  Please fight for me.
[1:57:24.200 --> 1:57:25.200]  We're in this together.
[1:57:25.200 --> 1:57:26.200]  Infowarsstore.com.
[1:57:26.200 --> 1:57:27.200]  Go there.
[1:57:27.200 --> 1:57:28.200]  Get a book.
[1:57:28.200 --> 1:57:29.200]  Get a film.
[1:57:29.200 --> 1:57:30.200]  Get vitamin refusion.
[1:57:30.200 --> 1:57:31.640]  Get bodies ultimate tumor formula.
[1:57:31.640 --> 1:57:34.600]  It's super blue, our best selling toothpaste after a year sold out.
[1:57:34.600 --> 1:57:35.600]  Super blue toothpaste.
[1:57:35.600 --> 1:57:36.600]  Finally back in stock, infowarsstore.com.
[1:57:36.600 --> 1:57:40.400]  Want to thank the crew for the great job they've done.
[1:57:40.400 --> 1:57:41.400]  We're going to go to break.
[1:57:41.400 --> 1:57:44.520]  We have a special report coming up from the last 10 minutes of Owen's show that Owen
[1:57:44.520 --> 1:57:45.520]  takes over.
[1:57:45.520 --> 1:57:52.560]  If you say Alex Jones is crazy, he's a conspiracy theory guy, he's a nutcase.
[1:57:52.560 --> 1:57:55.600]  He's got these rants and all that.
[1:57:55.600 --> 1:58:01.520]  What they miss is that this guy's ahead of the curve on so many different topics.
[1:58:01.520 --> 1:58:02.520]  The signal, not noise.
[1:58:02.520 --> 1:58:09.520]  If you look at the signal and you compare that to PBS and NPR and BBC and we'll do what
[1:58:09.520 --> 1:58:15.040]  Alex Jones put out there versus what your collective body has put out there and if
[1:58:15.040 --> 1:58:18.640]  you're a sent in a human being and just watching it and you say, well, Alex Jones is ahead
[1:58:18.640 --> 1:58:19.640]  of this.
[1:58:19.640 --> 1:58:20.640]  Not only that, he kind of explained it.
[1:58:20.640 --> 1:58:23.720]  You are one of the great thinkers of this.
[1:58:23.720 --> 1:58:24.720]  That is very rare.
[1:58:24.720 --> 1:58:28.800]  You've got to go back almost to the revolutionary generation and see that.
[1:58:28.800 --> 1:58:32.080]  This new book, I've got to tell you, when Tony Lyons first approached me, I read this
