[00:00:08.604 --> 00:00:10.707]  It's Sunday, September 25th.
[01:16:25.689 --> 01:16:32.578]  But notice, first they called it global freezing back in the 70s and 80s, and then it's gonna be global warming, and that didn't really happen the way they wanted it to.
[01:16:32.578 --> 01:16:33.959]  Okay, now it's just climate change.
[01:16:34.580 --> 01:16:43.987]  But did you know that man-made climate change is a real thing when it comes to the United Nations and the Department of Energy and Bill Gates and the UN?
[01:16:43.987 --> 01:16:47.069]  They have weather control treaties from 1979.
[01:16:47.069 --> 01:16:50.431]  Bill Gates has been manipulating the weather for a very long time.
[01:16:50.431 --> 01:16:57.737]  In fact, back in 1994, two scientists won a Nobel Prize for an idea of spraying different particles out of jet engines to control the weather.
[01:16:57.737 --> 01:16:59.498]  So yes, man-made climate change is real.
[01:17:01.360 --> 01:17:10.385]  When Bob Woodward's new book came out, alleging that General Milley had called the head of the Chinese military and said Trump might nuke you, he tried to overthrow the U.S.
[01:17:10.385 --> 01:17:16.329]  government, but basically I'm protecting you and I'll warn you if we launch an attack, which was the greatest treason in U.S.
[01:17:16.329 --> 01:17:18.030]  history that has never been committed.
[01:17:18.690 --> 01:17:20.291]  People said, oh, Alex, it must not be true.
[01:17:20.291 --> 01:17:22.832]  And I'm like, wait, Bob Woodward's former Naval Intelligence.
[01:17:22.832 --> 01:17:24.693]  He's a big insider globalist.
[01:17:24.693 --> 01:17:36.260]  He wouldn't have put this out unless they wanted to put it out and say that Billy was a hero to set the precedent that you can have a permanent bureaucracy, stay behind network, deep state, basically that has its own bureaucratic coup over America.
[01:17:36.260 --> 01:17:37.220]  That's why they put Biden in.
[01:17:37.220 --> 01:17:38.361]  He's so incredibly weak.
[01:17:38.361 --> 01:17:39.862]  He's to undermine the idea of the presidency.
[01:17:40.442 --> 01:17:43.404]  Well, people said I was making it up or that Bob Woodward was lying.
[01:17:43.404 --> 01:17:45.226]  Well, now Millie admits he did it.
[01:17:45.226 --> 01:17:47.107]  You see, I didn't need to trust Bob Woodward.
[01:17:47.107 --> 01:17:53.031]  I remember Pelosi on January 8th bragging that she'd gotten a call from Millie that he'd taken control of the nukes.
[01:17:53.031 --> 01:17:56.334]  So this treason was hiding in plain view back then, and we covered it.
[01:17:56.334 --> 01:17:57.375]  See, I have a memory, folks.
[01:17:57.375 --> 01:17:58.796]  I remember all this stuff.
[01:17:58.796 --> 01:18:00.277]  That's why I know what's true and what's false.
[01:18:02.702 --> 01:18:09.863]  I have the greatest sense of loss deep in my heart, deep in my soul, I've ever had in my 47 years on this planet.
[01:18:09.863 --> 01:18:11.644]  I've had a lot of loss.
[01:18:11.644 --> 01:18:13.464]  Everybody else has.
[01:18:13.464 --> 01:18:26.347]  And it's because it's a loss of ancestral freedom that so many people fought and died and bled and sweat for.
[01:18:26.347 --> 01:18:28.107]  And now we're just throwing it all away.
[01:18:30.080 --> 01:18:38.762]  And I see the general public in a medically-induced, scientifically-induced, behavioral, psychologically-controlled trance.
[01:18:38.762 --> 01:18:43.163]  And I know we're being fed into this globalist meat grinder, and it's so incredibly sad.
[01:18:43.163 --> 01:18:52.846]  But this is the process of birth, and then growth, and then falling apart, and then degenerating and collapsing, and then coming back to life again.
[01:18:53.866 --> 01:19:01.609]  It's just the globalists are actively trying to steer and control this process of decadence and collapse to actually end the species as we know it.
[01:19:01.609 --> 01:19:08.791]  The BioPros are the new non-GMO pollution solution, using eco-friendly products to treat everyday problems while supporting our environment.
[01:19:08.951 --> 01:19:15.695]  For the first time, the BioPros are bringing to the public market a suite of bioremediation products to the everyday consumer.
[01:19:15.695 --> 01:19:22.720]  Their first product they are launching is called BioSeptic Pro, a product specifically designed to establish a healthy septic system.
[01:19:22.720 --> 01:19:27.543]  BioSeptic Pro contains live microorganisms, not traditional enzymes like its competitors.
[01:19:27.543 --> 01:19:29.504]  This stuff lives in your septic system.
[01:19:29.504 --> 01:19:32.105]  It's really like probiotics for your septic tank.
[01:19:32.105 --> 01:19:36.208]  Say goodbye to septic problems, gas buildup, and odor guaranteed.
[01:19:36.468 --> 01:19:40.752]  Bioseptic Pro is light years ahead of traditional septic treatments.
[01:19:40.752 --> 01:19:50.860]  They have a revolutionary patented delivery system that carries live microorganisms to treat the problem at its core, making their products up to 100 times more effective than its competitors.
[01:19:50.860 --> 01:19:54.783]  Bioseptic Pro is safe for plumbing, human, animal, and aquatic life.
[01:19:54.783 --> 01:20:00.288]  Secure your Bioseptic Pro today at TheBiopros.com for anaerobic septic tanks.
[01:20:00.288 --> 01:20:01.489]  TheBiopros.com
[01:20:04.423 --> 01:20:16.835]  You're listening to the Alex Jones Show.
[01:20:16.835 --> 01:20:20.839]  The answer to 1984 is 1776.
[01:20:20.839 --> 01:20:28.727]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[01:20:31.448 --> 01:20:38.392]  I guess it's Monday morning there in Australia, and it's still Sunday here.
[01:20:38.392 --> 01:20:45.255]  Coming up, Monica Schmidt, been a political prisoner arrested for trying to organize businesses that said they would stay open.
[01:20:45.255 --> 01:20:48.557]  Only big corporations are allowed to stay open and consolidate control.
[01:20:48.557 --> 01:20:50.798]  This is economic warfare on so many levels.
[01:20:50.798 --> 01:20:52.679]  Ricardo Bossi is our guest.
[01:20:52.679 --> 01:20:56.962]  He heads up Australia One Party, AustraliaOneParty.com, or Australia One.
[01:20:56.962 --> 01:20:58.683]  And we've got about eight, nine minutes left here.
[01:20:59.403 --> 01:20:59.543]  I don't
[01:21:17.367 --> 01:21:20.689]  We know that they want to push everybody into violent revolution.
[01:21:20.689 --> 01:21:21.829]  That's why they tighten it down.
[01:21:21.829 --> 01:21:23.310]  It's why it gets worse and worse.
[01:21:23.310 --> 01:21:25.431]  We know they've built the emergency centers.
[01:21:25.431 --> 01:21:30.433]  If they were able to trigger a civil war, they say they want a post-industrial world.
[01:21:30.433 --> 01:21:40.698]  They say they want general society to collapse and depopulate, while I guess the globalists sit back in their mountaintop redoubts and roast marshmallows over the flames that consume us.
[01:21:42.039 --> 01:21:46.545]  So you've got a big military background at national, global strategy levels.
[01:21:46.545 --> 01:21:53.513]  What would it look like if they were successfully able to trigger a civil war in Australia?
[01:21:53.513 --> 01:21:54.675]  Civilizational collapse.
[01:21:55.543 --> 01:21:58.486]  Because we're a very dispersed population.
[01:21:58.486 --> 01:22:02.429]  We're centred in our major cities, so it's easy to contain us.
[01:22:02.429 --> 01:22:07.934]  And they've been working hard to strip the rural areas of its population.
[01:22:07.934 --> 01:22:10.596]  And of course, our policy is to reverse that.
[01:22:10.596 --> 01:22:15.360]  But they lock us up in the city, and they'll just kill us.
[01:22:15.360 --> 01:22:16.101]  They will just kill us.
[01:22:16.101 --> 01:22:18.463]  They will just lock us down.
[01:22:18.463 --> 01:22:22.667]  Fast-track it from the actual, let's say there's a violent response, those that take
[01:22:23.291 --> 01:22:23.872]  We're good to go.
[01:22:38.624 --> 01:22:46.253]  The Chinese communists twice killed, I think, up to 40 million of their own people through famine.
[01:22:46.253 --> 01:22:47.695]  So these things are not unusual.
[01:22:47.695 --> 01:22:49.017]  This is not odd.
[01:22:49.017 --> 01:22:50.619]  This is not unexpected.
[01:22:50.619 --> 01:22:51.980]  This is exactly what they do.
[01:22:51.980 --> 01:22:54.223]  And that's why people have to understand their history.
[01:22:54.223 --> 01:22:55.505]  This is not bizarre.
[01:22:56.065 --> 01:22:58.686]  It is not beyond the realms of reality.
[01:22:58.686 --> 01:22:59.186]  Exactly.
[01:22:59.186 --> 01:23:06.328]  This is a communist, great leap forward, cultural revolution playbook that we saw in the Russian Revolution, we've seen everywhere.
[01:23:06.328 --> 01:23:10.269]  And again, financed by the very same banks in Russia, now financing this now.
[01:23:10.269 --> 01:23:11.430]  I mean, you're dead on.
[01:23:11.430 --> 01:23:15.651]  They are actually trying a collapse level event to get full control and depopulate.
[01:23:16.934 --> 01:23:19.075]  And that is exactly correct.
[01:23:19.075 --> 01:23:21.577]  And there is no real war.
[01:23:21.577 --> 01:23:23.257]  Let me just jump quickly.
[01:23:23.257 --> 01:23:24.378]  Beware of the China threat.
[01:23:24.378 --> 01:23:25.639]  Is there going to be a war against China?
[01:23:25.639 --> 01:23:26.459]  Probably.
[01:23:26.459 --> 01:23:27.480]  Is it going to be a real war?
[01:23:27.480 --> 01:23:28.460]  Absolutely.
[01:23:28.460 --> 01:23:29.521]  Is it going to be necessary?
[01:23:29.521 --> 01:23:30.441]  No, it's a distraction.
[01:23:30.441 --> 01:23:32.482]  There's absolutely no requirement.
[01:23:32.482 --> 01:23:35.084]  It was just like World War I, World War II.
[01:23:35.084 --> 01:23:36.444]  It's good business.
[01:23:36.444 --> 01:23:37.265]  It's great business.
[01:23:38.506 --> 01:23:41.227]  The whole thing was set up that way, and we're going to go through it all again.
[01:23:41.227 --> 01:23:46.049]  So again, if people knew their real history, they would recognize this for what it is.
[01:23:46.049 --> 01:23:47.510]  It is a lie.
[01:23:47.510 --> 01:23:51.871]  Everything they've been taught is a lie, and I understand the difficulty of accepting that.
[01:23:51.871 --> 01:23:53.472]  It is hard.
[01:23:53.472 --> 01:23:57.173]  But the fact is, we've got to, you said, you know, what can the world do?
[01:23:57.173 --> 01:24:05.156]  Reveal the truth, reveal the truth, and communicate with each other internationally, and share each other, share with each other the stories.
[01:24:07.216 --> 01:24:08.776]  Paramount importance.
[01:24:08.776 --> 01:24:09.236]  It really is.
[01:24:09.236 --> 01:24:13.077]  There's one other thing the US can do particularly because you've got the capability.
[01:24:13.077 --> 01:24:21.779]  And that is we're going to have some elections coming up shortly and I'll bet my left marble that it will be corrupted.
[01:24:21.779 --> 01:24:22.559]  We know that.
[01:24:22.559 --> 01:24:28.860]  It'll either be a fake postal election or it'll just be fraudulent.
[01:24:28.860 --> 01:24:29.300]  We know that.
[01:24:29.300 --> 01:24:33.521]  We haven't had an honest election in Australia for decades and we've got the data on that as well.
[01:24:33.521 --> 01:24:35.042]  Books have been written about it.
[01:24:35.042 --> 01:24:37.062]  There's nothing unusual about that statement.
[01:24:37.876 --> 01:24:42.217]  So there will be a war, there will be an election.
[01:24:42.217 --> 01:24:42.697]  Monitoring.
[01:24:42.697 --> 01:24:49.219]  Now we have, knowing that it's going to be a crooked election, we have our own strategies and plans of what we're going to do.
[01:24:49.219 --> 01:24:50.699]  We expect it to be crooked.
[01:24:50.699 --> 01:24:59.661]  We expect to have, like you have in the US, an audit and we expect the audit to reveal exactly what your audits have revealed in Arizona and elsewhere.
[01:24:59.661 --> 01:25:05.803]  And so this is part of that slow process of legitimately demonstrating the lies of the globalists.
[01:25:07.310 --> 01:25:12.531]  The US, because you've got the capability, track and monitor our elections when they're coming up.
[01:25:12.531 --> 01:25:17.613]  Now, the next federal election is due in May next year, May 2022.
[01:25:17.613 --> 01:25:21.534]  It may be held sooner than that, but that's it.
[01:25:21.534 --> 01:25:25.335]  If we can get as honest an election as possible.
[01:25:26.243 --> 01:25:27.103]  We've got a chance.
[01:25:27.103 --> 01:25:33.206]  Even if it's crooked, then we'll go through the same patient process as you have done and we'll audit, audit, audit.
[01:25:33.206 --> 01:25:34.646]  And so keep an eye on each other.
[01:25:34.646 --> 01:25:36.487]  We're like a family.
[01:25:36.487 --> 01:25:41.489]  The Australians are looking at the Americans, the Americans are looking at the Australians, we're all looking at the Canadians, the Europe.
[01:25:41.489 --> 01:25:48.732]  This is, as you said at the very beginning, this is one human race and we are fighting for our collective survival.
[01:25:48.732 --> 01:25:52.173]  We have the same adversary applying exactly the same tactics.
[01:25:52.173 --> 01:25:53.613]  Australia is lucky.
[01:25:53.613 --> 01:25:54.894]  We're the first ones through the door.
[01:25:55.848 --> 01:26:04.536]  And as you know, the first one through the door always gets a blood nose, but as long as we've got a lot of people behind us, we'll eventually, we'll take the room.
[01:26:04.536 --> 01:26:05.657]  And so that's what we need to do.
[01:26:05.657 --> 01:26:15.866]  We need to come together as a global community and understand that whatever apparent differences we have, that the great majority of people are good people.
[01:26:15.866 --> 01:26:16.747]  They're decent people.
[01:26:16.747 --> 01:26:20.571]  We're not a cancer on the planet as the lunatic greens would have us believe.
[01:26:22.210 --> 01:26:29.233]  Well that's right, we need to educate everybody that the Greens are a depopulationist elite movement.
[01:26:29.233 --> 01:26:35.216]  All of it is right out of Davos, right out of the Globalist, and is the enemy of humanity.
[01:26:35.216 --> 01:26:39.458]  And they've got to be stopped, they will be stopped.
[01:26:39.458 --> 01:26:45.760]  That's it, and we've only got a couple of minutes left, but I'd like to just finish on this because I'm a good student of the U.S.
[01:26:47.679 --> 01:26:49.541]  War of Independence, the Revolutionary War.
[01:26:49.541 --> 01:26:51.143]  A couple of points.
[01:26:51.143 --> 01:26:54.607]  Washington, at one point, had no more than 20% support.
[01:26:54.607 --> 01:26:58.312]  So four out of five of the colonists were telling the Brits exactly where he was.
[01:26:58.312 --> 01:26:59.413]  And he still won.
[01:26:59.413 --> 01:27:03.798]  The point, the reason I tell that story is because we don't need everybody, we just need enough.
[01:27:03.798 --> 01:27:05.721]  We just need enough and we can win this war.
[01:27:06.414 --> 01:27:08.375]  In Australia, that translates to 20%.
[01:27:08.375 --> 01:27:09.675]  That's 5 million people.
[01:27:09.675 --> 01:27:10.836]  We get 5 million.
[01:27:10.836 --> 01:27:11.576]  We win.
[01:27:11.576 --> 01:27:14.958]  Davos loses and they'll never come back because we know exactly what we're going to do.
[01:27:14.958 --> 01:27:16.358]  Day one, we get control.
[01:27:16.358 --> 01:27:17.799]  We know exactly what our plan is.
[01:27:17.799 --> 01:27:19.519]  We've got it ready to go.
[01:27:19.519 --> 01:27:23.581]  The next point is, and I'll finish on this and I'll let you wrap it up.
[01:27:23.581 --> 01:27:29.223]  The opening lines to your Declaration of Independence, the most beautiful political lines ever written.
[01:27:29.223 --> 01:27:30.824]  We hold these truths to be self-evident.
[01:27:32.279 --> 01:27:33.659]  And you know the rest.
[01:27:33.659 --> 01:27:37.700]  But those opening lines, as beautiful as they were, were irrelevant.
[01:27:37.700 --> 01:27:41.501]  They only had meaning and effect because of the last line.
[01:27:41.501 --> 01:27:45.021]  And this is what Australians have to understand for the first time in their lives.
[01:27:45.021 --> 01:27:49.522]  Because we are fighting for our country for the first time in our lives on our own land.
[01:27:49.522 --> 01:27:53.723]  And here's the last line which everybody should remember.
[01:27:53.723 --> 01:27:57.604]  We collectively commit our lives
[01:27:58.766 --> 01:28:01.549]  Our fortunes and our sacred honour.
[01:28:01.549 --> 01:28:03.131]  And that's what we have to commit.
[01:28:03.131 --> 01:28:08.456]  That is the price of freedom that we must pay, that our fathers and forefathers before us paid.
[01:28:08.456 --> 01:28:10.519]  We have to be ready to do the same.
[01:28:10.519 --> 01:28:12.561]  We have to commit everything to this fight.
[01:28:12.561 --> 01:28:13.021]  Everything.
[01:28:13.021 --> 01:28:15.724]  Leave nothing on the table.
[01:28:15.724 --> 01:28:18.167]  Our lives, our wealth and our sacred honour.
[01:28:19.406 --> 01:28:23.007]  And we are blessed and honored, as you said, to be in this position.
[01:28:23.007 --> 01:28:24.507]  This is a great turning.
[01:28:24.507 --> 01:28:26.568]  This only happens every three or four or five generations.
[01:28:26.568 --> 01:28:28.588]  This is a very special time to be out live.
[01:28:28.588 --> 01:28:31.569]  We are all brothers and sisters together around the world in this fight.
[01:28:31.569 --> 01:28:35.750]  And I want to thank you, Ricardo Bossi from AustraliaOneParty.com for joining us.
[01:28:35.750 --> 01:28:40.472]  Please give us updates as this develops and you're welcome to file reports and send them to us.
[01:28:40.472 --> 01:28:41.892]  We'll air them here as well.
[01:28:41.892 --> 01:28:45.013]  And so God bless you and thank you so much.
[01:28:45.013 --> 01:28:45.533]  Thank you, Alex.
[01:28:46.954 --> 01:28:47.754]  Extremely powerful.
[01:28:47.754 --> 01:28:53.698]  We're going to talk to more folks in Australia straight ahead because the tyranny of Australia today is the tyranny here tomorrow.
[01:28:53.698 --> 01:28:54.719]  But we're going to win.
[01:28:54.719 --> 01:28:56.300]  This is a great opportunity.
[01:28:56.300 --> 01:28:57.701]  Great job to the crew.
[01:28:57.701 --> 01:28:58.461]  I'll be right back.
[01:28:58.461 --> 01:29:01.223]  And then, Owen Schroyer is live in studio for two hours.
[01:29:01.223 --> 01:29:12.670]  So if you understand that this is not FDA approved, it's totally experimental, it's never been given to human beings before, some of the ingredients inside of these
[01:29:13.530 --> 01:29:17.736]  of these shots have never been injected in human beings before.
[01:29:17.736 --> 01:29:20.159]  There are no long-term studies.
[01:29:20.159 --> 01:29:29.572]  We don't know what's going to happen inside your body somewhere four to six weeks after your second injection or four to six months or even two years.
[01:29:29.572 --> 01:29:30.673]  We have no idea.
[01:29:31.809 --> 01:29:38.470]  Whether it's going to cause infertility, whether it's going to cause cancer, how bad your autoimmune disease is going to be.
[01:29:38.470 --> 01:29:52.033]  My conclusion after looking at this for a long time and listening to the arguments for these masks, I've determined that if you believe, if you're a medical doctor or a scientist that's spouting, using these masks, you're either being played or you're being paid.
[01:29:52.033 --> 01:29:55.814]  Secure your copy of COVIDland today at covidland.com.
[01:29:55.814 --> 01:29:59.595]  If you order by October 6th, you get a free copy of Endgame, Blueprint for Global Enslavement.
[01:30:03.160 --> 01:30:06.943]  Biden and his corporate controllers are lying to you.
[01:30:06.943 --> 01:30:10.425]  This is not a pandemic of the unvaccinated.
[01:30:10.425 --> 01:30:18.470]  This is an engineered virus in a lab that they then injected into the public using their poison vaccine.
[01:30:18.470 --> 01:30:24.394]  So the body then created mutations that actually spread even worse, like the Delta variant.
[01:30:24.394 --> 01:30:26.696]  That is scientifically admitted.
[01:30:26.696 --> 01:30:29.558]  That is mainline science and not even debated.
[01:30:29.558 --> 01:30:32.740]  But the general public does not even know that.
[01:30:33.240 --> 01:30:46.466]  So when that criminal with his pedophile crackhead son gets up there on television and tells you that you are to blame because you didn't take your poison shot, that is a giant lie.
[01:30:46.466 --> 01:30:54.970]  Countries like Israel and Singapore with the highest vaccine rate have the highest death and highest illness rates.
[01:30:54.970 --> 01:30:56.351]  That is the facts.
[01:30:56.351 --> 01:31:01.033]  Get that information out to your friends, family, and strangers like your life depends on it because it does.
[01:31:01.713 --> 01:31:04.095]  You know, it's crazy to get to this point.
[01:31:04.095 --> 01:31:05.816]  It's very bittersweet.
[01:31:05.816 --> 01:31:08.778]  Everything we've talked about has happened just like we said it would.
[01:31:08.778 --> 01:31:10.019]  And now we have a lot of credibility.
[01:31:10.019 --> 01:31:10.939]  But I don't care about that.
[01:31:10.939 --> 01:31:13.001]  I care about beating the New World Order.
[01:31:13.001 --> 01:31:17.704]  And it's because we have so much credibility, they can't allow us to stay on air much longer.
[01:31:17.704 --> 01:31:21.046]  And I don't have time to tell you all the stuff they're doing to us for a lot of reasons.
[01:31:21.046 --> 01:31:22.567]  I can't tell you what's going on.
[01:31:22.567 --> 01:31:23.768]  But let's just say this.
[01:31:23.768 --> 01:31:25.089]  We're going to see this through to the end.
[01:31:25.089 --> 01:31:28.191]  We're going to stay on air as long as we can.
[01:31:28.191 --> 01:31:31.493]  So please pray for us and please buy the products at InfoWareStore.com.
[01:31:31.633 --> 01:31:32.013]  We're good to go.
[01:32:01.913 --> 01:32:04.456]  We're already halfway through September 2021.
[01:32:04.456 --> 01:32:07.259]  It's just incredible.
[01:32:07.259 --> 01:32:12.205]  And now the world is waking up that InfoWars was the tip of the spear and was dead on.
[01:32:12.205 --> 01:32:14.628]  That's why it's more important than ever to keep us on air.
[01:32:14.628 --> 01:32:16.430]  And I thank you all for your support, your prayers.
[01:32:16.690 --> 01:32:17.010]  I think so.
[01:32:44.758 --> 01:32:46.819]  Knockout, back in stock, InfoWarStore.com.
[01:32:46.819 --> 01:32:48.520]  And the hair and beard formula for men.
[01:32:48.520 --> 01:32:49.441]  It's also great for women.
[01:32:49.441 --> 01:32:50.541]  It's really a multivitamin.
[01:32:50.541 --> 01:32:51.322]  Back in stock.
[01:32:51.322 --> 01:32:55.104]  All 50% off at InfoWarStore.com.
[01:32:55.104 --> 01:32:56.945]  We can't stay on air without you.
[01:32:56.945 --> 01:32:58.326]  Please continue to support us.
[01:32:58.326 --> 01:32:59.827]  I want to thank you from the bottom of my heart.
[01:32:59.827 --> 01:33:00.747]  Plus, these are great products.
[01:33:00.747 --> 01:33:04.469]  Please take action.
[01:33:04.469 --> 01:33:07.111]  You're listening to the Alex Jones Show.
[01:33:25.161 --> 01:33:43.435]  I've just been pulled over by the cops probably because I'm outside of my 5k's but um we'll see what happens so I just thought I'd put the live stream on just in case I don't know why I just took my seatbelt off that was stupid
[01:33:57.887 --> 01:33:58.888]  Hi Monica, how are you doing?
[01:33:58.888 --> 01:33:59.608]  Good, you?
[01:33:59.608 --> 01:34:02.730]  We're just from the Springvale Police Statement.
[01:34:02.730 --> 01:34:08.113]  At the moment, we need to have a chat with you about a matter of incitement, so I need to place you under arrest for that, okay?
[01:34:08.113 --> 01:34:09.174]  Pardon?
[01:34:09.174 --> 01:34:11.615]  At the moment, you're under arrest for incitement.
[01:34:11.615 --> 01:34:12.836]  Have you guys been following me?
[01:34:12.836 --> 01:34:15.137]  You do not have to say it directly, but I need you to say that you may report a commitment.
[01:34:15.137 --> 01:34:18.239]  Do you understand that?
[01:34:18.239 --> 01:34:19.019]  Do you understand that, Monica?
[01:34:19.019 --> 01:34:20.040]  No comment.
[01:34:20.040 --> 01:34:20.520]  Okay.
[01:34:20.520 --> 01:34:22.401]  Please share this video as much as possible.
[01:34:22.401 --> 01:34:24.082]  Monica Smith has just been arrested for incitement.
[01:34:24.082 --> 01:34:25.303]  Can you turn the camera off for me, please?
[01:34:31.238 --> 01:34:34.501]  So, here is another clip of her, what she was arrested for.
[01:34:34.501 --> 01:34:39.966]  Here is the thought crime in the once free country, now known as, not Australia, but New North Korea.
[01:34:39.966 --> 01:34:40.327]  Here it is.
[01:35:02.884 --> 01:35:07.626]  And so she tried to speak, they tried to arrest her, people stood up to thugs trying to assault a woman.
[01:35:07.626 --> 01:35:13.149]  They call that incitement because she made them beat up that man and take him to jail.
[01:35:13.149 --> 01:35:13.670]  Incredible.
[01:35:13.670 --> 01:35:18.772]  Joining us again in the middle of the early morning is the lady, Monica Schmidt.
[01:35:18.772 --> 01:35:21.594]  Here's the headline out of the biggest newspaper in Australia.
[01:35:21.594 --> 01:35:25.256]  Anti-vax leader reveals engagement after release from jail.
[01:35:25.256 --> 01:35:31.058]  News.com.au, Australia's leading news site, reports she's been released after the Supreme Court said
[01:35:32.216 --> 01:35:40.004]  That she's being basically held for too long without bail, but she still faces time in prison.
[01:35:40.004 --> 01:35:42.867]  So we really appreciate Monica Schmidt.
[01:35:42.867 --> 01:35:44.068]  We really appreciate her joining us.
[01:35:44.068 --> 01:35:45.529]  Wow, just amazing times.
[01:35:45.529 --> 01:35:48.112]  Thank you so much for coming on with us.
[01:35:48.112 --> 01:35:49.233]  Oh, it's an absolute honor.
[01:35:49.233 --> 01:35:50.835]  I'm so excited to be on here.
[01:35:50.835 --> 01:35:51.996]  Thank you so much for having me.
[01:35:53.308 --> 01:36:02.681]  Well, they tried to silence you and it's not worked, so you've got the floor right now to just tell us what's happened in prison, where your country is, where this is going, and just everything that's happened.
[01:36:04.130 --> 01:36:04.370]  Sure.
[01:36:04.370 --> 01:36:07.030]  Well, I will just set the record straight, Alex.
[01:36:07.030 --> 01:36:11.731]  I was in prison for 22 days, not six months, although it did feel like six months.
[01:36:11.731 --> 01:36:14.912]  But I had a great legal team, so it wasn't too, too long.
[01:36:14.912 --> 01:36:24.173]  But basically, the bail conditions, Alex, well, I have a website with almost 70,000 subscribers, which in Australia is really quite significant.
[01:36:24.173 --> 01:36:27.954]  And I'm also the vice president of a newly formed political party.
[01:36:27.954 --> 01:36:33.535]  Now, they actually wanted me to delete my entire website in the bail conditions.
[01:36:34.275 --> 01:36:39.862]  So I was absolutely, it wasn't even a question whether or not I could sign those bail conditions.
[01:36:39.862 --> 01:36:41.724]  The wording was really interesting, it said...
[01:36:42.987 --> 01:36:52.255]  You must delete everything that incites opposition to the Chief Health Officer's directions, which is anything that is to do with COVID.
[01:36:52.255 --> 01:37:04.787]  So basically what they were saying is not that I was inciting people to break show directions, but that I was inciting opposition, which is literally just me speaking out that I don't agree with things.
[01:37:05.527 --> 01:37:13.073]  I don't know about what you think about political parties, but it's pretty much a political party's job to oppose the current government.
[01:37:13.073 --> 01:37:24.982]  So if I had signed that bail conditions, my whole year of work, the 70,000 subscribers, the seven staff that I had, would have all been absolutely just deleted off the face of
[01:37:25.952 --> 01:37:26.933]  The website.
[01:37:26.933 --> 01:37:28.135]  So I didn't sign it.
[01:37:28.135 --> 01:37:34.561]  On top of that, there was curfews in place for myself, personally, above any show directions.
[01:37:34.561 --> 01:37:43.130]  So I would have to be in my home at 7pm till 6am every single day until my actual hearing, which could be two years away.
[01:37:43.130 --> 01:37:46.132]  So I was absolutely not willing to sign that.
[01:37:46.132 --> 01:37:47.394]  So it was a really easy decision.
[01:37:47.934 --> 01:37:55.598]  But then, you know, when I was on my way to prison in a prison transport truck, I realised what I had signed myself up for.
[01:37:55.598 --> 01:38:00.481]  But look, it worked out really well and I wouldn't, I wouldn't, I don't regret anything and I wouldn't take it back.
[01:38:00.481 --> 01:38:03.263]  And it's been really great for the movement here in Australia.
[01:38:03.263 --> 01:38:04.804]  It's woken a lot of people up.
[01:38:04.804 --> 01:38:06.845]  It's given a lot of people courage because
[01:38:07.285 --> 01:38:15.229]  You know, not everyone can do the same thing because we all have different states in life and different abilities, but everyone can do probably more than what they're doing.
[01:38:15.229 --> 01:38:17.550]  And that was my calling at that moment.
[01:38:17.550 --> 01:38:23.874]  I don't have children, so I was able to go to prison for 22 days and no one was seriously traumatised by that.
[01:38:23.874 --> 01:38:30.457]  So that was something that I could do for Australia to bring awareness internationally and locally to what's going on.
[01:38:30.457 --> 01:38:33.759]  The fact that someone like me, who has never been in trouble with the police,
[01:38:34.559 --> 01:38:52.515]  I'm very well networked in the political scene in Australia and so forth and so for someone like me to go to prison, I think it was a shock for Australia and internationally and I'm glad to have been given the opportunity to stand up for my rights because I would rather be in prison
[01:38:53.456 --> 01:38:58.202]  Why do you think they picked Australia?
[01:38:58.202 --> 01:39:02.867]  Because this is all scripted.
[01:39:02.867 --> 01:39:04.509]  It's all a global Great Reset rollout.
[01:39:04.509 --> 01:39:07.954]  They admit it is in the Davos Group announcements.
[01:39:09.255 --> 01:39:14.997]  We played a clip before he came on of John Kerry, the climate czar, saying, oh, this is a global corporate takeover.
[01:39:14.997 --> 01:39:16.277]  This is about carbon.
[01:39:16.277 --> 01:39:17.318]  This is about cutting carbon.
[01:39:17.318 --> 01:39:19.018]  We're going to have carbon lockdowns.
[01:39:19.018 --> 01:39:23.459]  And so it's all official that this was just using the virus to train you to live under a police state.
[01:39:23.459 --> 01:39:27.661]  The corporations of the world are establishing a Chinese style dictatorship.
[01:39:27.661 --> 01:39:29.821]  Why do you think they chose Australia?
[01:39:29.821 --> 01:39:31.862]  And then after you comment, Simon can pop in on this.
[01:39:31.862 --> 01:39:33.723]  You guys are free for all.
[01:39:33.723 --> 01:39:38.224]  And why do you think they picked the South to be the most draconian of the most oppressive area?
[01:39:39.804 --> 01:39:46.710]  Well, it's obvious that Australia was picked because Australians are generally very laid-back people.
[01:39:46.710 --> 01:39:50.853]  Australians are very friendly and they're very trusting to their government.
[01:39:50.853 --> 01:39:55.176]  Now, the Australian people could never have prepared for this.
[01:39:55.176 --> 01:39:58.239]  They don't have guns, firstly, like they do in America.
[01:39:58.239 --> 01:39:59.760]  They're unarmed.
[01:39:59.760 --> 01:40:01.482]  And they trust their government.
[01:40:01.482 --> 01:40:04.604]  We've got this, she'll be right, mate, attitude in Australia.
[01:40:06.692 --> 01:40:14.115]  People here, they're more interested in watching the rugby or the football or the cricket on TV than getting involved in politics.
