[00:00:03.086 --> 00:00:04.287]  You found it!
[03:02:58.317 --> 03:02:59.898]  Opioids, number one.
[03:02:59.898 --> 03:03:02.560]  But hey, it's like the same thing.
[03:03:03.991 --> 03:03:12.398]  Hey, it's okay that opioids are the number one cause of death through drugs because it's government mandated, baby.
[03:03:12.398 --> 03:03:13.218]  It's all good.
[03:03:13.218 --> 03:03:19.784]  The government said it's okay, so no worries.
[03:03:19.784 --> 03:03:30.192]  But no, oh, that illegal drug, like marijuana, that you just maybe smoke and veg out in your parents' basement playing video games, that's the big crime.
[03:03:31.616 --> 03:03:35.358]  That guy that sold it to you, that's the guy that needs to get brought down.
[03:03:35.358 --> 03:03:46.143]  Not the billions and billions of dollars Big Pharmaceutical is raking in every year with the most deadly drugs out there, mandated through government insurance.
[03:03:46.143 --> 03:03:47.484]  No, no, no, no, no.
[03:03:47.484 --> 03:03:52.747]  You gotta stop that guy from selling that plant that grows out of the ground.
[03:03:52.747 --> 03:03:56.029]  That's the problem.
[03:03:56.029 --> 03:04:00.531]  Of course, that's just one example, but that's how the story goes.
[03:04:03.168 --> 03:04:06.569]  But I think that the story is not going to go that way much longer.
[03:04:06.569 --> 03:04:10.890]  And by the way, you notice something too.
[03:04:10.890 --> 03:04:14.791]  Again, it's like, where is the logical thinking here amongst the public?
[03:04:14.791 --> 03:04:18.872]  We have more drugs out there, pharmaceutical drugs out there, than ever before.
[03:04:18.872 --> 03:04:21.393]  I mean, you can get prescribed anything.
[03:04:21.393 --> 03:04:21.813]  For anything.
[03:04:21.813 --> 03:04:22.913]  You got anxiety.
[03:04:22.913 --> 03:04:23.494]  Prescription.
[03:04:23.494 --> 03:04:26.234]  You got a weird thought in your head.
[03:04:26.234 --> 03:04:26.654]  Prescription.
[03:04:26.654 --> 03:04:28.255]  Everything prescription, prescription, prescription.
[03:04:30.779 --> 03:04:33.821]  But notice, mental health is getting worse.
[03:04:33.821 --> 03:04:35.463]  General health is getting worse.
[03:04:35.463 --> 03:04:44.670]  So as big pharmaceutical companies get bigger and bigger and bigger and more distributed to the average citizen, notice that the health is getting worse.
[03:04:44.670 --> 03:04:47.492]  So health goes down, big pharmaceutical goes up.
[03:04:47.492 --> 03:04:51.676]  I think Americans are finally starting to see the picture and the lawsuits are coming.
[03:04:54.682 --> 03:04:56.644]  Robert Moritz, what has Big Tech become?
[03:04:56.644 --> 03:04:58.666]  Big Tech are big babies that have become big bullies.
[03:04:58.666 --> 03:05:05.173]  And the way they did so is because they faced no consequence, social, economic, political, or legal, for their illicit activities over two decades.
[03:05:05.173 --> 03:05:17.265]  And because of that, that's why the courts, the judges, the juries, the members of the independent free press that care about this, the ordinary members of the public and the audience that care about this, have to bring real social, political, economic consequence to their course of conduct.
[03:05:17.265 --> 03:05:18.446]  Otherwise, they will never change.
[03:05:18.706 --> 03:05:28.371]  And they'll become the big tech oligarchs, the equivalent to the big trusts of the 19th century, who ran American politics and ran American economy almost into the ground until we were able to recover after the Great Depression.
[03:05:28.371 --> 03:05:33.374]  The Infowars audience is the fuel that flames the light of liberty across the world.
[03:05:33.374 --> 03:05:45.801]  To make real the actions of independent free speech, to make real the original promise of an independent free press, real collusion is big tech and big media manipulating and working with each other to try to meddle with elections, to try to shake people's thoughts.
[03:05:46.942 --> 03:05:50.450]  It's the ultimate form of gaslighting.
[03:05:50.450 --> 03:05:52.375]  What you just saw isn't what you just saw.
[03:05:52.375 --> 03:05:53.618]  Even it is what you just saw.
[03:05:59.426 --> 03:06:02.247]  The answer to 1984 is 1776.
[03:06:02.247 --> 03:06:08.129]  You're listening to The Alex Jones Show.
[03:06:08.129 --> 03:06:12.411]  And now, your host, Owen Troyer.
[03:06:12.411 --> 03:06:19.474]  And I'm joined by Count Dankula in studio now for the remainder of The Alex Jones Show.
[03:06:19.474 --> 03:06:22.175]  We've got an hour left and we're going to open up the phone lines right now.
[03:06:23.377 --> 03:06:23.797]  1-877-789-ALEX.
[03:06:23.797 --> 03:06:24.038]  877-789-2539.
[03:06:24.038 --> 03:06:30.162]  Any questions you have for Count Dankula, we will take your calls for our guest, who is staying in town in Austin.
[03:06:40.956 --> 03:06:44.699]  And we got a lot more content coming out with him.
[03:07:11.376 --> 03:07:13.118]  Jeffrey Epstein is dead.
[03:07:13.118 --> 03:07:15.880]  His victims still deserve justice.
[03:07:15.880 --> 03:07:17.101]  This had to come out today, guys.
[03:07:17.101 --> 03:07:19.483]  I don't know why this... Sometimes printing is weird.
[03:07:19.483 --> 03:07:20.884]  They put wrong dates on here.
[03:07:20.884 --> 03:07:34.816]  Anyway, the point is, as we were saying yesterday, this Epstein story seems to kind of transcend the lines of politics, the two-party partisan politics that everybody's been divided on.
[03:07:34.816 --> 03:07:39.740]  People want the truth about Epstein's pedophile island, and they want these victims to have justice.
[03:07:40.260 --> 03:07:40.801]  Absolutely.
[03:07:40.801 --> 03:07:48.947]  This was one of the few things that's happened in the last few years that actually unified everyone regardless of their political persuasion.
[03:07:48.947 --> 03:07:54.151]  Everyone was united in this and no one's buying for a second that he committed suicide.
[03:07:54.151 --> 03:07:55.753]  I'm not buying it.
[03:07:55.753 --> 03:08:00.777]  Yeah, there's just no possible way and all the informed people are saying so.
[03:08:00.777 --> 03:08:01.057]  In fact,
[03:08:02.335 --> 03:08:11.864]  Justice Department's Inspector General is still trying to investigate the quote-unquote circumstances of Mr. Epstein's death in federal custody.
[03:08:11.864 --> 03:08:25.358]  Yeah, we both agreed either they switched him out, faked his death, put him in witness protection, or somehow, some way, some shadow powerful group was able to get people from inside and outside to just cover the whole thing up and kill him.
[03:08:25.698 --> 03:08:26.498]  Yeah, exactly.
[03:08:26.498 --> 03:08:30.820]  And it was done to protect other people that were connected to Epstein.
[03:08:30.820 --> 03:08:34.041]  They knew their fat was about to go in the fryer.
[03:08:34.041 --> 03:08:35.882]  So they wanted rid of him.
[03:08:35.882 --> 03:08:38.323]  And a lot of people want to blame the Clintons.
[03:08:38.323 --> 03:08:41.024]  I'm not saying that... I mean, the Clinton body count is a real thing.
[03:08:41.024 --> 03:08:45.145]  All the weird coincidences with all the suicides of people they know.
[03:08:45.145 --> 03:08:49.807]  I don't think I have one friend that's committed suicide.
[03:08:49.807 --> 03:08:50.527]  So the Clintons have 20, but...
[03:08:53.109 --> 03:08:57.132]  This story, to me, we cannot let it go away.
[03:08:57.132 --> 03:09:03.036]  And I just don't see enough energy coming from the Trump administration.
[03:09:03.036 --> 03:09:07.039]  Because to me, I mean, who pulls this off, right?
[03:09:07.039 --> 03:09:08.620]  Who has the means?
[03:09:08.620 --> 03:09:12.342]  Who has the whereabouts, the power, the will?
[03:09:13.502 --> 03:09:21.628]  To be able to murder this guy in front of everyone's face in a max security prison and then have the media say, oh it was suicide, don't ask any questions.
[03:09:21.628 --> 03:09:24.470]  Like seriously, people need to know, who has that kind of power?
[03:09:24.470 --> 03:09:26.952]  What is this shadow government that's able to pull this off?
[03:09:27.847 --> 03:09:29.307]  I have absolutely no idea.
[03:09:29.307 --> 03:09:35.849]  I just know it was... There was people that had a huge invested interest on getting him out of the picture, shutting him up.
[03:09:35.849 --> 03:09:49.493]  There was people that absolutely wanted him gone, and the fact that he was taken off, even though it was, I think it was three weeks beforehand he attempted suicide, and then just three weeks later, three days before it actually happened, I think he was taken off Suicide Watch.
[03:09:49.493 --> 03:09:50.873]  That, that stinks.
[03:09:50.873 --> 03:09:53.274]  That, that absolutely stinks.
[03:09:53.274 --> 03:09:54.394]  Yeah.
[03:09:54.394 --> 03:09:56.955]  And here's the thing too, even if he's taken off Suicide Watch,
[03:09:58.493 --> 03:10:08.679]  I mean, you would think somebody inside of this jail has enough brains to say, hey, this is still a guy that people want dead?
[03:10:08.679 --> 03:10:09.359]  Yeah.
[03:10:09.359 --> 03:10:18.004]  This is still a guy who is going to be in a very important piece of a major investigation into a huge industrial sex trafficking pedophile ring.
[03:10:18.004 --> 03:10:19.805]  Let's keep an eye on this individual.
[03:10:19.805 --> 03:10:21.185]  Cameras all go out.
[03:10:21.185 --> 03:10:23.627]  Every camera in the building goes out apparently now.
[03:10:23.627 --> 03:10:25.568]  Every security guard on site sleeping.
[03:10:25.568 --> 03:10:27.769]  I mean, it's just like, who buys that?
[03:10:28.429 --> 03:10:38.772]  One of the things as well, don't quote me on this, but I believe I read somewhere that one of the lawyers who was representing Epstein's victims actually came out and says, I believe he's going to be killed.
[03:10:38.772 --> 03:10:41.713]  Oh yeah, that was about a month before the death too.
[03:10:41.713 --> 03:10:52.397]  They said, yeah, people are... Well, I mean, in his black book you've got multiple royalties, you've got... I mean, in fact, Leo Zegami went through the little black book that got released
[03:10:53.177 --> 03:10:53.577]  We're good to go.
[03:11:24.893 --> 03:11:33.757]  This is the thing, everyone sort of made fun of the whole idea, didn't they, where they say, oh, you know, the elite, Peter Phil rings and stuff like that.
[03:11:33.757 --> 03:11:35.838]  You know, you get Peter Phil rings on every single level.
[03:11:35.838 --> 03:11:40.560]  Just because someone is rich doesn't mean that they're not going to be that way inclined.
[03:11:40.560 --> 03:11:43.921]  So I don't understand why so many people were scoffing at the idea.
[03:11:43.921 --> 03:11:45.862]  I mean, we had an extreme case as well.
[03:11:45.862 --> 03:11:47.363]  You obviously heard about Jimmy Savile.
[03:11:48.223 --> 03:11:48.983]  Yeah, right.
[03:11:48.983 --> 03:11:55.785]  Yeah, we had something like that and it turns out there was even people who were like kids TV presenters that were kind of connected to that as well.
[03:11:55.785 --> 03:12:06.628]  We had like Rolf Harris and all that and these are the type of people that people would usually scoff and laugh at the idea of you accusing them of that but then it all came out unfortunately after Savile died that all of it was true.
[03:12:06.628 --> 03:12:06.748]  Yeah.
[03:12:07.412 --> 03:12:10.195]  So I don't understand why people are scoffing at it yet.
[03:12:10.195 --> 03:12:16.560]  Almost every year now we have a new scandal involving powerful people being involved in paedophile rings.
[03:12:16.560 --> 03:12:19.162]  It's almost like it's so nasty.
[03:12:19.162 --> 03:12:20.403]  It's almost like it's so...
[03:12:21.607 --> 03:12:24.791]  Harmful to just humanity that people just want to deny it.
[03:12:24.791 --> 03:12:28.516]  You know, it's like denying you have cancer or something.
[03:12:28.516 --> 03:12:38.829]  I'm more annoyed for the girls, Epstein's victims, because they are not going to get justice and a lot of them possibly wouldn't have been victims if the police had intervened sooner.
[03:12:39.489 --> 03:12:44.435]  If the police had actually done their job and intervened sooner, then the victim list would not be anywhere near as big.
[03:12:44.435 --> 03:12:47.538]  And look at the lack of coverage from the mainstream media.
[03:12:47.538 --> 03:12:54.505]  I mean, they made a big deal out of a helium balloon head, Christine Blasey Ford, making up stories about Judge Kavanaugh.
[03:12:54.505 --> 03:12:56.007]  Literally, it was like a whole week or two.
[03:12:57.128 --> 03:13:05.231]  Total mainstream media focus and real victims with a convicted pedophile don't get a minute of TV coverage today.
[03:13:05.231 --> 03:13:09.232]  Yeah, they're not interested in speaking to them because they're not interested in what they have to say.
[03:13:09.232 --> 03:13:16.895]  This is the funny thing is Epstein would probably be considered the original Me Too movement because you were getting underage girls coming out all the time.
[03:13:17.695 --> 03:13:22.600]  All the time, accusing this man of, he molested me, I was underage, I was pressured into sex.
[03:13:22.600 --> 03:13:23.560]  Nobody done anything about it.
[03:13:23.560 --> 03:13:30.486]  Now, whenever there's a modern Me Too, you know, if it involves, you know, some great big Hollywood person, or some other actor, you know, the media are all over it.
[03:13:30.486 --> 03:13:35.491]  The media wants to always talk to these victims, you know, her voice should be heard, and that's what you hear all the time.
[03:13:35.491 --> 03:13:41.676]  But when it comes to Epstein's victims, that apparently doesn't apply anymore, and they're not interested in speaking to them.
[03:13:41.676 --> 03:13:42.157]  That's weird.
[03:13:42.777 --> 03:13:45.099]  And Harvey Weinstein's case is getting delayed.
[03:13:45.099 --> 03:13:48.281]  It looks like he may even get out of all those charges.
[03:13:48.281 --> 03:14:00.048]  You just had the Motion Pictures Association of America, one of their top executives, I forget his name, he just got charged with child sex abuse.
[03:14:00.048 --> 03:14:02.309]  So I mean, it continues to come out of Hollywood.
[03:14:02.309 --> 03:14:02.910]  But again, it's like,
[03:14:04.016 --> 03:14:08.740]  I'm just confused because the media doesn't want to touch it unless somehow they can put the name Trump in there.
[03:14:08.740 --> 03:14:12.744]  Like, that's the only time they want to touch it is if they can somehow get Trump in there.
[03:14:12.744 --> 03:14:17.888]  But if it's outside of Trump, like, oh no, Epstein's victims, eh, if we can't blame Trump, we're not interested.
[03:14:17.888 --> 03:14:26.135]  Oh, the Motion Pictures of America Association that just got accused of child sex abuse, I don't know, we don't want to do that.
[03:14:26.135 --> 03:14:31.640]  Harvey Weinstein looks like he may even get let off, well, let's forget about that too, but we'll find something on Trump eventually.
[03:14:32.119 --> 03:14:33.620]  Yeah, you're right.
[03:14:33.620 --> 03:14:40.827]  The only time that they're interested is, remember when there was pictures of Epstein and Trump together and everyone was, that was the pictures that were all over the media.
[03:14:40.827 --> 03:14:48.533]  You know, and under the ones of all the other people he was with, like the Clintons and all that as well, and I think Trump dissociated himself from them a long time ago.
[03:14:48.533 --> 03:14:49.614]  I don't know the exact story.
[03:14:49.614 --> 03:14:51.496]  Did Trump not kick him out of one of his clubs?
[03:14:51.496 --> 03:14:59.563]  Kicked him out of the club, did multiple interviews talking about how he liked underage women, did another interview saying he thinks the Clintons are going to go down for their connections to Epstein too.
[03:15:00.124 --> 03:15:01.989]  I think one of the biggest unanswered questions is...
[03:15:03.257 --> 03:15:05.358]  What the hell was that painting?
[03:15:05.358 --> 03:15:06.318]  The Bill Clinton painting?
[03:15:06.318 --> 03:15:09.279]  Yeah, what was that about?
[03:15:09.279 --> 03:15:12.280]  So, the blue dress is... there's some debate.
[03:15:12.280 --> 03:15:13.020]  Here's what I figured out.
[03:15:13.020 --> 03:15:24.103]  The blue dress is either literally a dress that Hillary Clinton wore, that I guess he wore as a joke, or maybe it's kind of like a nuanced reference to the dress Monica Lewinsky was wearing.
[03:15:24.103 --> 03:15:29.545]  And then the red high heels is apparently a symbolism of pedophilia.
[03:15:30.485 --> 03:15:31.245]  Right.
[03:15:31.245 --> 03:15:32.906]  I didn't know that.
[03:15:32.906 --> 03:15:34.147]  Yeah.
[03:15:34.147 --> 03:15:34.687]  Yeah.
[03:15:34.687 --> 03:15:37.968]  But let's forget the symbolism.
[03:15:37.968 --> 03:15:41.390]  Why would Epstein even have a portrait of Bill Clinton in a dress to begin with?
[03:15:41.390 --> 03:15:42.711]  Like, what the hell is that?
[03:15:42.711 --> 03:15:43.491]  I don't know.
[03:15:43.491 --> 03:15:46.832]  It's something that I would do to one of my friends if I was just being funny.
[03:15:46.832 --> 03:15:49.874]  But see when there's all this Peter Phil ring stuff in front of him.
[03:15:49.874 --> 03:15:50.494]  I don't know, man.
[03:15:50.494 --> 03:15:52.215]  That just makes it a hundred times weirder.
[03:15:53.475 --> 03:15:54.536]  Hi, I'm Dan Pilla.
[03:15:54.536 --> 03:15:58.459]  I started fighting the IRS over 40 years ago when they tried to seize my mother's house.
[03:15:58.459 --> 03:16:00.001]  I sued the IRS and won.
[03:16:00.001 --> 03:16:02.943]  I beat the IRS then, and I've been beating them ever since.
[03:16:02.943 --> 03:16:08.508]  I wrote the book on tax debt settlement, and I've helped thousands of people deal with tax problems they thought might never be solved.
[03:16:08.508 --> 03:16:09.709]  I can help you, too.
[03:16:09.709 --> 03:16:12.651]  If you owe taxes you can't pay, don't wait another day.
[03:16:12.651 --> 03:16:14.873]  There's no such thing as a hopeless tax case.
[03:16:14.873 --> 03:16:19.316]  Call 800-34-NO-TAX or go to my website, danpilla.com.
[03:16:19.316 --> 03:16:21.618]  That's danpilla.com, danpilla.com.
[03:16:22.859 --> 03:16:29.223]  The United States of Empire is a book that claims the United States is the empire of the world.
[03:16:29.223 --> 03:16:32.265]  George Washington had warned us against foreign wars.
[03:16:32.265 --> 03:16:38.188]  The United States of Empire shows that World Wars I and II left England broken.
[03:16:38.188 --> 03:16:41.971]  Its former colony, the U.S., had to save the empire.
[03:16:41.971 --> 03:16:43.231]  Was there ever a vote?
[03:16:43.231 --> 03:16:44.592]  Who do we fight for?
[03:16:44.592 --> 03:16:50.776]  The deep state began with World War I. The United States of Empire by James Dunn.
[03:16:50.776 --> 03:16:52.217]  Available at Amazon Books.
[03:16:53.464 --> 03:17:04.510]  When you have a pain in the neck, a real pain in the neck, back, shoulder or legs, you now have two convenient choices to get fast relief without taking another pill.
[03:17:04.510 --> 03:17:09.953]  Because now, Sunny Bay Heating Wraps and Pillows are available at both Amazon and Walmart.
[03:17:10.293 --> 03:17:10.954]  Yes.
[03:17:10.954 --> 03:17:17.203]  See Sunny Bay's four and a half to five star customer reviews on Amazon .com or Wal-Mart .com.
[03:17:17.203 --> 03:17:23.692]  Our microwavable heat wraps, heatable neck pillows and extra large body wraps are designed better for perfect support
[03:17:25.635 --> 03:17:34.663]  Even while driving, Sunny Bay wraps will not burn and stay balanced to provide soothing hot or cold therapy to help treat temporary or chronic pain.
[03:17:34.663 --> 03:17:38.906]  And the best part, Sunny Bay quality products start at under 20 dollars.
[03:17:38.906 --> 03:17:46.933]  Join thousands of happy customers and see why Sunny Bay products have a lifetime 100% positive rating on both Amazon and Etsy.
[03:17:46.933 --> 03:17:47.713]  It's easy.
[03:17:47.713 --> 03:17:51.597]  Click Amazon or Walmart and search today for Sunny Bay.
[03:17:54.955 --> 03:18:02.362]  What you have witnessed is the biggest development in free speech in the Western world's history.
[03:18:02.362 --> 03:18:06.626]  This is a digital, AI-enforced, gag order.
[03:18:06.626 --> 03:18:10.349]  Not to say the name Alex Jones or InfoWars.com.
[03:18:16.004 --> 03:18:17.725]  This is Nazi Germany level.
[03:18:17.725 --> 03:18:18.945]  This is racketeering.
[03:18:18.945 --> 03:18:20.045]  This is cartels.
[03:18:20.045 --> 03:18:22.466]  Mr. President, we need your help.
[03:18:22.466 --> 03:18:24.347]  We need it now.
[03:18:24.347 --> 03:18:26.048]  You can take on Big Ten.
[03:18:26.048 --> 03:18:34.971]  They saw Infowars as a dominant, independent, anti-war, pro-human, pro-sovereign, pro-family, populist organization.
[03:18:34.971 --> 03:18:43.014]  So they thought, first they come for Alex Jones, then when people say, okay, take him off the air, everyone else like dominoes would fall.
[03:18:43.014 --> 03:18:43.874]  The way to fight back
[03:18:44.514 --> 03:18:49.361]  ...is to support Infowars now more than ever and make it a standard of freedom and free speech.
[03:18:49.361 --> 03:18:53.126]  Understand that if they believe they can take us down, they'll take everybody else down.
[03:18:53.905 --> 03:19:07.096]  Thomas Jefferson predicted over 240 years ago that when our republic was in trouble in the future, it'd be the farmers that were close to the ground, close to reality, who actually worked for a living, that would end up saving the nation.
[03:19:07.096 --> 03:19:10.019]  And today, the communist Chinese have banned all U.S.
[03:19:10.019 --> 03:19:11.760]  farming goods a week ago.
[03:19:11.760 --> 03:19:15.424]  And we've seen massive increases in polls, support for the president.
[03:19:16.064 --> 03:19:20.606]  And what he's doing in this trade war wants China to put pressure on our farmers.
[03:19:20.606 --> 03:19:21.646]  That's beautiful.
[03:19:21.646 --> 03:19:23.547]  Americans aren't going to be bullied.
[03:19:23.547 --> 03:19:25.148]  And we aren't going to back down.
[03:19:25.148 --> 03:19:32.751]  So to the Joaquin Cruises and the Hillary Clintons of the world that want to intimidate people and tell us to back down, we're never going to give up.
[03:19:32.751 --> 03:19:35.152]  And all you've done is awaken the human spirit.
[03:19:35.152 --> 03:19:39.213]  The human spirit lives at InfoWars.com and NewsWars.com.
[03:19:39.213 --> 03:19:40.174]  And I'm asking listeners,
[03:19:40.954 --> 03:19:45.076]  Whatever you do, spread those links because we are the light in the dark of the night.
[03:19:45.076 --> 03:19:46.176]  We are the resistance.
[03:19:46.176 --> 03:19:57.000]  We are 1776 worldwide.
[03:19:57.000 --> 03:19:59.682]  You're listening to the Alex Jones Show.
[03:20:14.554 --> 03:20:16.238]  You want to stop tyranny?
[03:20:16.238 --> 03:20:17.943]  Well, so does he.
[03:20:17.943 --> 03:20:19.927]  It's Alex Jones.
[03:20:19.927 --> 03:20:22.935]  And now, your host, Owen Troyer.
[03:20:25.791 --> 03:20:31.515]  Well, the Me Too movement was great until they had to stop it at Jeffrey Epstein.
[03:20:31.515 --> 03:20:33.096]  But that's just how the media works.
[03:20:33.096 --> 03:20:34.337]  They're a bunch of frauds.
[03:20:34.337 --> 03:20:35.558]  We're about to take your phone calls.
[03:20:35.558 --> 03:20:36.298]  We've got lines open.
[03:20:36.298 --> 03:20:36.598]  877-789-ALEX.
[03:20:36.598 --> 03:20:36.658]  877-789-2539.
[03:20:36.658 --> 03:20:37.879]  Count Dankula in studio with us.
[03:20:37.879 --> 03:20:39.100]  Any questions you have for our guests?
[03:20:39.100 --> 03:20:39.981]  Ladies and gentlemen...
[03:20:48.655 --> 03:20:57.479]  We have sales happening at InfoWarsStore.com right now on some of our top-selling supplements.
[03:20:57.479 --> 03:21:04.241]  And we've got a brand new supplement, the Super Silver Skin Cream.
[03:21:04.241 --> 03:21:09.523]  The Super Silver Skin Cream, now available at InfoWarsStore.com.
[03:21:09.523 --> 03:21:13.405]  There is a scentless one, or there's a grapefruit scent.
[03:21:14.400 --> 03:21:16.722]  Multiple sizes as well.
[03:21:16.722 --> 03:21:23.449]  So check out the brand new Super Silver Skin Cream from InfoWarsStore.com.
[03:21:23.449 --> 03:21:28.174]  And while you're there, check out all of the other great supplements as well.
[03:21:28.174 --> 03:21:32.018]  The DNA Force Plus, the Brain Force Plus, the Turbo Force.
[03:21:32.018 --> 03:21:33.139]  Read the reviews for yourself!
[03:21:34.403 --> 03:21:36.185]  Read the reviews for yourself.
[03:21:36.185 --> 03:21:38.046]  Don't take my word for it.
[03:21:38.046 --> 03:21:41.249]  People love the supplements at InfoWarsStore.com.
[03:21:41.249 --> 03:21:50.556]  We've also got the documentary, You Can't Watch This, at InfoWarsStore.com, and that's 20% off right now.
[03:21:50.556 --> 03:21:54.279]  So you can get the brand new documentary, You Can't Watch This, at InfoWarsStore.com.
[03:21:55.270 --> 03:21:56.471]  Twenty percent off.
[03:21:56.471 --> 03:22:09.098]  And not only do you support yourself when you shop at InfoWarsStore.com, getting the best books, the best documentaries, the best supplements, the best survival gear and food, you support us and free speech.
[03:22:09.098 --> 03:22:12.380]  As you know, we are under attack every day.
[03:22:12.380 --> 03:22:15.301]  The enemies of free speech want InfoWars shut down.
[03:22:15.301 --> 03:22:19.764]  But thanks to your support at InfoWarsStore.com, we are still here.
[03:22:19.764 --> 03:22:22.626]  And we will not quit.
[03:22:22.626 --> 03:22:22.926]  All right.
[03:22:24.901 --> 03:22:27.683]  We've got callers on the line.
[03:22:27.683 --> 03:22:31.225]  We've got plenty to talk about.
[03:22:31.225 --> 03:22:36.768]  If you have any questions for our in-studio guest, Count Dankula, now is the time.
[03:22:36.768 --> 03:22:40.110]  Let's start with Lana calling in from Utah.
[03:22:40.110 --> 03:22:41.911]  Go ahead, Lana.
[03:22:41.911 --> 03:22:42.191]  Hi.
[03:22:42.191 --> 03:22:45.673]  Good morning, Owen and Count.
[03:22:45.673 --> 03:22:51.736]  I'd like to welcome him to the country, and thanks for being on for us.
[03:22:51.736 --> 03:22:53.017]  I have a couple of comments.
[03:22:53.718 --> 03:22:55.540]  First of all, I do love all the supplements.
[03:22:55.540 --> 03:22:57.202]  We use pretty much everything you have.
[03:22:57.202 --> 03:22:58.944]  I can't wait to get the movie.
[03:22:58.944 --> 03:23:02.048]  So we... I want to put a plug in for that.
[03:23:02.048 --> 03:23:04.210]  And then I have two comments.
[03:23:04.210 --> 03:23:08.235]  First of all, the UN is meeting in Salt Lake City this week.
[03:23:08.235 --> 03:23:09.957]  They're meeting right now.
[03:23:09.957 --> 03:23:10.298]  Why?
[03:23:10.298 --> 03:23:11.279]  I don't know.
[03:23:11.994 --> 03:23:14.676]  We've had military aircraft flying overhead.
[03:23:14.676 --> 03:23:17.478]  Some of them... Yeah, you know what, Lana?
[03:23:17.478 --> 03:23:19.520]  I'm sorry to cut you off, but this is actually important.
[03:23:19.520 --> 03:23:21.341]  I want the crew to try to pull up the story.
[03:23:21.341 --> 03:23:28.466]  This is actually, I believe, I believe it's the biggest domestic UN meeting ever on U.S.
[03:23:28.466 --> 03:23:29.187]  soil.
[03:23:29.187 --> 03:23:32.089]  I believe this is the biggest UN meeting ever on U.S.
[03:23:32.089 --> 03:23:33.630]  soil.
[03:23:33.630 --> 03:23:35.251]  We didn't get much warning about it either.
[03:23:35.251 --> 03:23:38.654]  It wasn't really even reported until late last week.
[03:23:41.115 --> 03:23:44.758]  So, what are people, you're calling in from Utah, are you in Salt Lake?
[03:23:44.758 --> 03:23:45.819]  I am in Salt Lake.
[03:23:45.819 --> 03:23:49.482]  What are people saying about the UN invading you guys there?
[03:23:49.482 --> 03:23:52.224]  You know, I haven't really talked to anyone about it.
[03:23:52.224 --> 03:23:56.607]  Nobody really knew until, like I said, late last week.
[03:23:56.607 --> 03:24:09.558]  And they were doing military functions and things like that to protect the UN from the people, but I don't know that really anybody knew about it until very late last week, so if anybody even could
[03:24:10.712 --> 03:24:19.220]  Yeah, and okay, so there it is.
[03:24:19.220 --> 03:24:21.042]  It's the first time it's been in Utah.
[03:24:21.042 --> 03:24:24.064]  I guess it was the first time they've ever left New York.
[03:24:24.064 --> 03:24:27.047]  I'm not sure of the significance of this.
[03:24:27.047 --> 03:24:29.970]  And it's just, you know, there's so much going on right now.
[03:24:29.970 --> 03:24:32.512]  Things tend to fall through the cracks.
[03:24:33.533 --> 03:24:36.934]  I mean, why is the UN having this meeting?
[03:24:36.934 --> 03:24:38.355]  Why does the UN have to be here?
[03:24:38.355 --> 03:24:39.235]  Who is the UN?
[03:24:39.235 --> 03:24:42.876]  I mean, what is this loyalty that we have to the UN?
[03:24:42.876 --> 03:24:46.798]  I mean, what do people in the UK think about the UN?
[03:24:46.798 --> 03:24:51.079]  I mean, it's pretty much, for the most part, I think people in America don't like the UN.
[03:24:51.079 --> 03:24:52.780]  What about in Scotland and the UK?
[03:24:52.780 --> 03:24:55.041]  We don't even really give it a second thought.
[03:24:55.041 --> 03:25:00.423]  Like, if you ask the average person in the street, they probably wouldn't even be able to tell you what they think the UN does.
[03:25:01.343 --> 03:25:03.944]  Like, really, it's not a big thing over there.
[03:25:03.944 --> 03:25:07.224]  I think that's how little of an effect it actually has.
[03:25:07.224 --> 03:25:09.565]  No one really cares where I'm from.
[03:25:09.565 --> 03:25:11.505]  Some of them don't even know what it actually is.
[03:25:11.505 --> 03:25:13.526]  So it's mostly just kind of ignorance?
[03:25:13.526 --> 03:25:14.866]  Just, what is the UN?
[03:25:14.866 --> 03:25:15.926]  Oh, it's just kind of a thing?
[03:25:15.926 --> 03:25:17.606]  Yeah, just kind of, meh.
[03:25:17.606 --> 03:25:20.127]  That's probably the response you would get.
[03:25:20.127 --> 03:25:24.968]  So, Lana, I mean, I guess it's on day two now.
[03:25:24.968 --> 03:25:27.448]  I believe they have one more day of the conferences.
[03:25:27.448 --> 03:25:30.229]  So people in Salt Lake City are just kind of shocked they didn't even know it was coming?
[03:25:31.087 --> 03:25:32.788]  Well, that's how it was for me.
[03:25:32.788 --> 03:25:37.769]  I'm not sure about others around me, but yeah, I think so.
[03:25:37.769 --> 03:25:38.069]  Wow.
[03:25:38.069 --> 03:25:42.591]  And you're saying you're seeing what kind of military, you're saying drills or like, what are you saying?
[03:25:42.591 --> 03:25:46.912]  No, we saw military aircraft flying over on Saturday, several planes.
[03:25:46.912 --> 03:25:49.033]  Some of them were not United States planes either.
[03:25:49.033 --> 03:25:53.534]  It didn't appear to me, but we were out in our hot tub and we found flying over.
[03:25:53.534 --> 03:25:55.375]  Hmm.
[03:25:56.670 --> 03:26:02.534]  Well, we've got it right here, the 68th United Nations Civil Society Conference.
[03:26:02.534 --> 03:26:02.954]  You know what?
