[00:00:09.608 --> 00:00:13.493]  He's pounding down, loaded up and trucking.
[02:15:47.981 --> 02:15:51.643]  If you look at Roy Moore's lawsuit, I mean, they've got the evidence.
[02:15:51.643 --> 02:15:52.604]  This isn't even a debate.
[02:15:52.604 --> 02:15:54.785]  You see that in any other election, it's a red flag.
[02:15:56.767 --> 02:15:58.388]  Matt in Ohio, you're on the air.
[02:15:58.388 --> 02:15:59.349]  Another Matt, go ahead.
[02:15:59.349 --> 02:16:13.940]  Yeah, hey, listen, I just wanted to say real quick, I'm a longtime listener of InfoWars, and I just wanted to say that the t-shirts that you guys are offering are absolutely fantastic, and that really is a great way to deal with this battle in the InfoWars.
[02:16:13.940 --> 02:16:21.566]  It might seem like a simple thing, but particularly these slogan t-shirts that you guys got up right now are absolutely amazing.
[02:16:21.566 --> 02:16:21.886]  Well, thank you
[02:16:22.046 --> 02:16:26.967]  My favorite new one is the Don't Tread On Me, but instead it says Won't Tread On Me.
[02:16:26.967 --> 02:16:29.928]  And it's a big Dayglo snake, Gadsden snake.
[02:16:29.928 --> 02:16:33.189]  And then it's got the American flag, Infowars.com on the right arm.
[02:16:33.189 --> 02:16:39.451]  I mean, that's a great way just to meet like-minded people and spread the word and also exercise free speech.
[02:16:39.451 --> 02:16:41.872]  And the newest one is Trigger Warning T-shirt.
[02:16:42.612 --> 02:16:49.465]  Trigger warning t-shirt which is the symbol of a trigger with a yield sign and then InfoWars.com on the back.
[02:16:49.465 --> 02:16:53.993]  That is the new shirt of the month available exclusively at InfoWarsStore.com
[02:16:55.867 --> 02:16:57.308]  You developed Living Defense for us.
[02:16:57.308 --> 02:16:58.629]  It took you over a year to do it.
[02:16:58.629 --> 02:16:59.830]  Why is this so good?
[02:16:59.830 --> 02:17:05.113]  Because people are actually waking up to the problem that pretty much scares me the most.
[02:17:05.113 --> 02:17:18.682]  I mean, I try to make sure that I don't put toxins from food and water and beverages in my system, but right now we're dealing with massive parasites, which is anything that's harmful to your body that lives off a host mechanism.
[02:17:18.682 --> 02:17:20.023]  Right now with all the refugees,
[02:17:20.783 --> 02:17:22.444]  Uh, spreading disease around.
[02:17:22.444 --> 02:17:25.026]  We have biological warfare going on everywhere.
[02:17:25.026 --> 02:17:26.327]  These are all parasites.
[02:17:26.327 --> 02:17:27.427]  Tell us about all the stuff that's in it.
[02:17:27.427 --> 02:17:28.768]  There's so many things that are in it.
[02:17:28.768 --> 02:17:33.271]  You have the neem in there, you have the organic clove bud, the organic wormwood.
[02:17:33.271 --> 02:17:36.433]  I recommend doing a parasite cleanse at least twice a year.
[02:17:36.553 --> 02:17:39.595]  All right, well, I'm glad we've got some back in because I'm going back on it today.
[02:17:39.595 --> 02:17:40.656]  It just came back in yesterday.
[02:17:40.656 --> 02:17:42.578]  LivingDefense, InfoWarsLive.com.
[02:17:42.578 --> 02:17:43.619]  And folks, you can't lose.
[02:17:43.619 --> 02:17:46.301]  It's full of stuff that's great for your body, period.
[02:17:46.301 --> 02:17:48.242]  And you support the broadcast.
[02:17:48.242 --> 02:17:49.583]  InfoWarsLive.com.
[02:17:49.583 --> 02:17:51.825]  Thank you, Dr. Group from the Global Healing Center.
[02:17:51.825 --> 02:17:53.787]  Thank you so much for all your work, sir, on this great product.
[02:17:56.189 --> 02:17:59.614]  Introducing CellForce by InfoWars Life.
[02:17:59.614 --> 02:18:03.579]  CellForce focuses on mitochondria efficiency and protection.
[02:18:03.579 --> 02:18:06.923]  Mitochondria produce over 95% of your energy.
[02:18:06.923 --> 02:18:09.467]  They are your body's cellular engines.
[02:18:09.467 --> 02:18:13.813]  CellForce helps promote your cellular energy production by supporting mitochondria.
[02:18:14.173 --> 02:18:23.536]  Much like a cellular engine overhaul, because when your mitochondria don't run at 100% efficiency, then they start producing reactive oxygen species.
[02:18:23.536 --> 02:18:30.699]  Top scientists agree that aging is most likely caused by cellular damage, resulting from these reactive oxygen species.
[02:18:31.719 --> 02:18:36.784]  The antioxidants found in CellForce are some of the most powerful available on the market.
[02:18:36.784 --> 02:18:44.431]  The stronger the antioxidant, the better its ability to scavenge for these reactive oxygen species and other free radicals.
[02:18:44.431 --> 02:18:49.336]  Boost, protect, and adapt with CellForce from InfoWars Life.
[02:18:49.336 --> 02:18:52.259]  Head to InfoWarsLife.com or call 1-888-253-3139.
[02:18:56.127 --> 02:19:06.462]  We have developed with the top firms in the United States powerful 50 billion live organism probiotic flora life that is so critical.
[02:19:07.773 --> 02:19:10.415]  It's having a healthy gut and a healthy life.
[02:19:10.415 --> 02:19:13.738]  And it has changed my life and so many other people's lives.
[02:19:13.738 --> 02:19:23.425]  The other part is a compound like MycoZx that has all these key ingredients of organic herbs and other systems that are known to break down this garbage in the body.
[02:19:23.425 --> 02:19:33.213]  That's why, as we go through Christmas and now into the new year, we're extending the free shipping and 50% off on all our best-selling items while supplies last.
[02:19:33.213 --> 02:19:35.354]  You can also get the two products together
[02:19:36.320 --> 02:19:40.342]  And get them at 50% off when you combo them.
[02:19:40.342 --> 02:19:42.543]  So popular, sold out for more than six months.
[02:19:42.543 --> 02:19:48.366]  Now back in stock for a limited time at InfoWarsStore.com, InfoWarsLive.com, or by calling toll-free, 888-253-3139.
[02:19:48.366 --> 02:19:49.146]  The War Room.
[02:19:49.146 --> 02:19:49.947]  InfoWars.com, Forbes slash show.
[02:20:26.561 --> 02:20:34.424]  It's pretty amazing, I think, what InfoWars was able to do in 2017, live, ten hours a day.
[02:20:34.424 --> 02:20:44.207]  You get the real news with David Knight every morning, Alex Jones Show for four hours every day, and then the War Room here with myself and Roger Stone to close it all out.
[02:20:44.207 --> 02:20:52.270]  Ten hours of live broadcast so that we can bring you all the news as it breaks, in real time, all the different angles, all the different guests.
[02:20:53.170 --> 02:20:59.855]  And it's really just incredible now, 10 hours a day you can tune in to InfoWars and get the hardest hitting news.
[02:20:59.855 --> 02:21:03.257]  And it's all possible with your support.
[02:21:03.257 --> 02:21:07.740]  And not only are we expanding our live broadcast, but we expand...
[02:21:08.721 --> 02:21:11.963]  Our store, it seems like daily as well.
[02:21:11.963 --> 02:21:13.543]  So look at Alpha Power.
[02:21:13.543 --> 02:21:15.264]  That's one of our newest products.
[02:21:15.264 --> 02:21:19.306]  50% off right now at Infowarsstore.com.
[02:21:19.306 --> 02:21:20.967]  Alpha Power, 50% off.
[02:21:20.967 --> 02:21:24.248]  I am about to start taking Alpha Power myself.
[02:21:24.248 --> 02:21:30.411]  I'm actually finishing off my final bottle of Anthroplex and then I'm going to make the switch to Alpha Power.
[02:21:32.123 --> 02:21:36.445]  Both great products, but that's a new product and it's 50% off.
[02:21:36.445 --> 02:21:47.169]  So we bring it to you at the introductory rate of 50% off because we have confidence that when you try our products, you're going to become a repeat customer.
[02:21:47.169 --> 02:21:50.610]  That's why we have such huge discounts right now.
[02:21:50.610 --> 02:21:54.632]  Some of the other new products we have, the Real Red Pill, that's 50% off.
[02:21:54.632 --> 02:21:56.033]  Cell Force is also 50% off.
[02:21:56.033 --> 02:21:56.673]  So those are three
[02:22:00.149 --> 02:22:00.389]  Of course!
[02:22:18.982 --> 02:22:21.524]  Maybe you're not into supplements and nutraceuticals.
[02:22:21.524 --> 02:22:23.805]  Maybe you don't need another t-shirt.
[02:22:23.805 --> 02:22:29.088]  Well, we have household items at InfowarsStore.com, like toothpaste.
[02:22:29.088 --> 02:22:32.350]  You're going to buy a bottle of toothpaste this year, probably two.
[02:22:32.350 --> 02:22:36.213]  Maybe you've got a big family, maybe three, four, five bottles of toothpaste.
[02:22:36.213 --> 02:22:41.116]  Well, why not go to InfowarsStore.com, support the good guys, and get the best toothpaste?
[02:22:41.116 --> 02:22:42.176]  It's a win-win-win.
[02:22:43.417 --> 02:22:46.138]  Super Blue Fluoride Free Toothpaste.
[02:22:46.138 --> 02:22:53.041]  In fact, the entire line of Super Blue products is 50% off right now at InfoWarsStore.com.
[02:22:53.041 --> 02:22:57.763]  There is the highly rated Super Blue Fluoride Free Toothpaste.
[02:22:57.763 --> 02:23:01.645]  I'm telling you, I gave this as a stocking stuffer to many of my family and friends.
[02:23:01.645 --> 02:23:03.026]  They are hooked.
[02:23:03.026 --> 02:23:06.707]  They'll never get another toothpaste again, I'm telling you.
[02:23:06.707 --> 02:23:08.288]  Super Blue Toothpaste.
[02:23:09.221 --> 02:23:12.524]  Let's go back out to the phone lines where we go to Alina in New York City.
[02:23:12.524 --> 02:23:14.486]  She's out there in the public school system.
[02:23:14.486 --> 02:23:14.986]  Go ahead Alina.
[02:23:30.640 --> 02:23:32.480]  Oh, and I'm sorry to call back so soon.
[02:23:32.480 --> 02:23:38.602]  I want to just point out two positive things that happened today, mostly with the kindergarten and first graders.
[02:23:38.602 --> 02:23:45.144]  We took a vote on who wanted to do a YouTube search about learning about our country, USA.
[02:23:45.144 --> 02:23:50.925]  The vote was basically unanimous, so thanks to you, we're connecting there.
[02:23:51.885 --> 02:23:59.287]  And we're going to get the Thump books and I'm going to share them around to try to get President Trump into our public school in West Harlem.
[02:23:59.287 --> 02:24:05.609]  Now are you talking about the book that Alex was talking about today, The Thump?
[02:24:05.609 --> 02:24:06.730]  The Trump Rabbit?
[02:24:06.730 --> 02:24:07.230]  Oh, okay.
[02:24:07.990 --> 02:24:11.113]  So I'm going to go right now and order those.
[02:24:11.113 --> 02:24:14.356]  And that's the positiveness we had because of you.
[02:24:14.356 --> 02:24:15.437]  I wish you could see it.
[02:24:15.437 --> 02:24:16.998]  It's really fun.
[02:24:16.998 --> 02:24:29.609]  You know, that's so awesome, too, because I remember yesterday we talked about the idea where you could expose their double standard by having, you know, liberal books, the anti-conservative books in there, you know, that they would accept.
[02:24:30.349 --> 02:24:32.872]  And then you try to bring in a Trump book and they would reject it.
[02:24:32.872 --> 02:24:34.473]  Yeah, there's the book right there.
[02:24:34.473 --> 02:24:38.456]  Limited Edition Thump Book and Poster Combo at Infowarsstore.com.
[02:24:38.456 --> 02:24:41.980]  Yes, I'm going there right now.
[02:24:41.980 --> 02:24:42.820]  Well, that's so great.
[02:24:42.820 --> 02:24:44.161]  Thank you so much for your support.
[02:24:44.161 --> 02:24:47.184]  Thank you so much for caring about those children's future as well.
[02:24:47.184 --> 02:24:48.505]  And thank you for you, Owen.
[02:24:48.505 --> 02:24:49.006]  God bless.
[02:24:49.704 --> 02:24:50.184]  Hey Owen!
[02:24:50.184 --> 02:24:51.024]  Happy Holidays to you!
[02:24:51.024 --> 02:24:51.884]  I am so happy that
[02:25:18.962 --> 02:25:22.724]  Y'all are on the radio.
[02:25:22.724 --> 02:25:32.668]  I'm concerned that President Trump seems like he's in the dark all the time.
[02:25:32.668 --> 02:25:37.470]  Well I'll tell you what, it's interesting that you, I actually want to talk about that because it's interesting that you bring that up.
[02:25:38.442 --> 02:25:51.529]  Well, one, we use the talk radio format because it allows us to reach out and hear from the audience, and it's teleprompter-free, talking point-free, you know, free thought, critical thinking, critical analysis.
[02:25:51.529 --> 02:26:01.134]  So that's why we go with the talk radio format, which I think is the best and that people are more gravitating towards instead of the canned type of news you see on television.
[02:26:01.134 --> 02:26:02.695]  We don't have a teleprompter here.
[02:26:02.695 --> 02:26:07.358]  Secondly, what you're talking about with the president being shut out is actually very key.
[02:26:08.138 --> 02:26:15.765]  Now, President Trump had multiple dinners at Mar-a-Lago over the holiday season.
[02:26:15.765 --> 02:26:22.891]  And let's just say I happen to be privy about some of what went down at those dinners.
[02:26:22.891 --> 02:26:26.153]  Let's use one example, Michael Savage.
[02:26:26.153 --> 02:26:32.199]  Michael Savage had Donald Trump on his radio show multiple times before the presidential election.
[02:26:33.482 --> 02:26:38.866]  And then even had a direct pipeline to President Trump after he was inaugurated.
[02:26:38.866 --> 02:26:46.651]  And even attended, I believe it was an Easter, I think it was an Easter meal at Mar-a-Lago with President Trump.
[02:26:46.651 --> 02:26:52.075]  And then seemingly, after that dinner, Savage, totally out of touch with Trump.
[02:26:52.075 --> 02:26:52.996]  He doesn't understand.
[02:26:52.996 --> 02:26:54.557]  He complains about it on his radio show.
[02:26:54.557 --> 02:26:56.238]  He's not sure what's going on.
[02:26:56.238 --> 02:26:58.660]  Why isn't Trump listening?
[02:26:58.660 --> 02:27:01.682]  Well, Michael Savage gets invited to
[02:27:03.007 --> 02:27:23.922]  I actually think two of the dinners at Mar-a-Lago, yes, two dinners at Mar-a-Lago over the holiday season, talks to Trump and finds out that indeed someone within Trump's team, I suppose, is keeping certain personalities or people from getting their message to President Trump.
[02:27:23.922 --> 02:27:26.904]  And when he found out about that, he was not happy about it.
[02:27:28.041 --> 02:27:36.747]  Now having said that, just because people are trying to stop things from getting to Trump, they still get to him.
[02:27:36.747 --> 02:27:43.332]  Whether it be his own efforts, or because he's so busy, let's say a Don Jr.
[02:27:43.332 --> 02:27:48.795]  telling him something, or a Hope Hicks or a Stephen Miller floating something across his desk.
[02:27:50.322 --> 02:27:55.045]  He's still able to get some of the intel, but your intuition is right.
[02:27:55.045 --> 02:28:00.849]  There is a filter that people are trying to stop Trump from hearing from some of his biggest supporters.
[02:28:00.849 --> 02:28:01.710]  Absolutely.
[02:28:01.710 --> 02:28:06.894]  You remember how long that Joe Arpaio was languishing out there, too.
[02:28:06.894 --> 02:28:07.754]  Perfect example.
[02:28:07.754 --> 02:28:08.475]  Perfect example.
[02:28:08.475 --> 02:28:09.455]  So what happens?
[02:28:09.455 --> 02:28:11.517]  See, that's the perfect example, and Alex was talking about that today.
[02:28:12.438 --> 02:28:14.299]  Trump doesn't get the information.
[02:28:14.299 --> 02:28:16.139]  For some reason, it's getting blocked.
[02:28:16.139 --> 02:28:17.640]  So we keep hammering it.
[02:28:17.640 --> 02:28:19.360]  Alex Jones keeps filing reports.
[02:28:19.360 --> 02:28:20.700]  Alex Jones keeps reporting on it.
[02:28:20.700 --> 02:28:24.622]  Alex Jones puts out a special report saying, please, President Trump, you need to know about this.
[02:28:24.622 --> 02:28:26.322]  Reaches out with his direct line.
[02:28:26.322 --> 02:28:27.703]  And then what happens?
[02:28:27.703 --> 02:28:31.884]  Trump pardons Sheriff Joe.
[02:28:31.884 --> 02:28:35.565]  And I'll tell you what, and I would say expect something perhaps
[02:28:38.180 --> 02:28:43.652]  Let's just say Trump knows who his friends are, and he will be loyal to those that are loyal to him.
[02:28:43.652 --> 02:28:44.634]  I'll just leave it to you like that.
[02:28:44.634 --> 02:28:48.121]  Larry, if you got something else, we'll hold Larry over, because I was talking over him.
[02:28:48.121 --> 02:28:48.882]  This is The War Room.
[02:28:48.882 --> 02:28:49.484]  We'll be right back.
[02:28:55.404 --> 02:29:01.406]  Climb to the top of the food chain with Alpha Power by Infowars Life.
[02:29:01.406 --> 02:29:05.547]  For those who want to increase testosterone and energy levels.
[02:29:05.547 --> 02:29:13.590]  Most men know that testosterone levels begin to decline starting around 30 at a rate of about 1-2% per year.
[02:29:13.590 --> 02:29:19.912]  This drop can show signs such as fatigue, low energy, low sex drive and muscle loss.
[02:29:20.752 --> 02:29:26.574]  Alpha Power is packed with some of the most potent and clinically tested ingredients on the market.
[02:29:26.574 --> 02:29:45.701]  The secret is in the synergistic blend of ancient ingredients that have been concentrated into their most potent forms, including Uricoma longifolia, originally from Malaysia, Makaroo from Peru, Horny Goatweed from China, and Tribulus from India.
[02:29:45.701 --> 02:29:49.162]  Reach your alpha male potential with Alpha Power.
[02:29:49.642 --> 02:29:56.265]  Get Alpha Power now at 50% off and secure your bottle today.
[02:29:56.265 --> 02:30:08.370]  Top scientists and researchers agree we are being hit by toxic weapons in the food and water supply that are making us fat, sick, and stupid.
[02:30:08.370 --> 02:30:09.730]  So what do we do about it?
[02:30:09.730 --> 02:30:13.071]  Well, for starters, don't just sit there and take it.
[02:30:13.071 --> 02:30:19.154]  Fight back with the all-new Supercharged Brain Force Plus and feel the rush
[02:30:19.554 --> 02:30:20.836]  Without the crash.
[02:30:20.836 --> 02:30:27.165]  RainForce Plus is the next generation of advanced neural activation and nootropics.
[02:30:27.165 --> 02:30:34.976]  And now we've added a brand new ingredient called Black Pepper Fruit Extract that gives you an added kick.
[02:30:35.817 --> 02:30:48.549]  Other ingredients include vitamin B12 and neurological tonic and cognitive enhancers that will allow you to flip the switch and supercharge your state of mind.
[02:30:48.549 --> 02:30:49.871]  It's the real deal.
[02:30:49.871 --> 02:30:51.592]  Brain Force Plus.
[02:30:51.592 --> 02:30:54.956]  Secure your bottle right now at InfoWarsStore.com.
[02:30:57.068 --> 02:31:01.752]  You deserve a deep restful sleep with Knockout by InfoWars Life.
[02:31:01.752 --> 02:31:12.200]  Our organic formula is made from high quality natural ingredients such as valerian root extract, L-tryptophan, lemon balm leaf extract, and melatonin.
[02:31:13.081 --> 02:31:17.884]  Knockout packs a powerful punch to get you through the night and achieve proper sleep.
[02:31:17.884 --> 02:31:26.288]  Millions of people around the world experience daytime drowsiness, but with the rapid speed of life, we need to be able to keep up the pace.
[02:31:26.288 --> 02:31:34.013]  Our natural mixture harnesses the power of 10 known ingredients to let your body relax and get the sleep you need.
[02:31:34.013 --> 02:31:35.954]  Wake up refreshed and take on the day.
[02:31:36.434 --> 02:31:44.381]  InfoWarsLife wants to bring you a sleep support formula that goes above and beyond other leading brands at an affordable price.
[02:31:44.381 --> 02:31:48.065]  Get the sleep you deserve and experience the power of knockout.
[02:31:48.065 --> 02:31:52.449]  Head on over to InfoWarsLife.com and say goodbye to fatigue.
[02:31:52.449 --> 02:31:54.010]  That's InfoWarsLife.com
[02:31:56.195 --> 02:32:02.458]  Choose to take control of your chemistry with Survival Shield X2 and BioTrue Selenium.
[02:32:02.458 --> 02:32:06.820]  This powerful combo is perfect for supporting your thyroid and health.
[02:32:06.820 --> 02:32:14.104]  BioTrue Selenium's formula is far from synthetic and is made from a source of 100% organic mustard seed.
[02:32:14.104 --> 02:32:16.285]  Our super high quality nascent iodine
[02:32:16.525 --> 02:32:22.729]  Is an essential mineral sourced of 99.99% ultra pure deep earth iodine crystals.
[02:32:22.729 --> 02:32:30.513]  This essential mineral is necessary in order to produce thyroid hormones which influence every cell, tissue and organ in the body.
[02:32:30.513 --> 02:32:37.417]  With inadequate thyroid hormones you may experience slow metabolism, lethargy, weight gain and overall brain fog.
[02:32:37.777 --> 02:32:44.021]  Survival Shield X2 and BioTrue Selenium work together to support the systems in your body.
[02:32:44.021 --> 02:32:47.843]  Take control of your chemistry today with this super combo.
[02:32:47.843 --> 02:33:00.531]  Discover the power of Survival Shield X2 and BioTrue Selenium at InfoWarsLife.com.
[02:33:00.531 --> 02:33:02.232]  The War Room.
[02:33:02.232 --> 02:33:04.714]  InfoWars.com forward slash show.
[02:33:07.406 --> 02:33:10.889]  This is the return of the Republic.
[02:33:10.889 --> 02:33:24.119]  And this is The War Room with Owen Schroyer at Infowars.com forward slash show.
[02:33:24.119 --> 02:33:24.599]  Alright, here we go.
[02:33:24.599 --> 02:33:25.660]  We got two segments left.
[02:33:25.660 --> 02:33:28.943]  We're holding Larry over because I was talking over him in the last segment.
[02:33:28.943 --> 02:33:32.105]  So we're going to let Larry finish his thoughts over there in Mississippi.
[02:33:32.105 --> 02:33:32.706]  Go ahead, Larry.
[02:33:33.311 --> 02:33:40.113]  Hey Owen, how about those cowboys out west that are losing the grazing land?
[02:33:40.113 --> 02:33:53.878]  Turns out that one of our congressmen that just retired is going to try to put that together with the Chinese for, what do you call it, the windmill?
[02:33:53.878 --> 02:33:58.179]  You know what, I'm not sure exactly what you're talking about, but I'll kind of go off on a jag.
[02:33:58.179 --> 02:33:59.660]  There's people that think
[02:34:01.385 --> 02:34:13.154]  These fires in California may have been started by, let's just say, a potential land buyer, like a Chinese government, trying to sweep up a bunch of property at a very low price.
[02:34:13.154 --> 02:34:20.279]  I don't doubt that.
[02:34:20.279 --> 02:34:24.062]  I think a lot of those fires in California were definitely started by someone, yes.
[02:34:24.062 --> 02:34:25.443]  Arson, terrorism, yeah.
[02:34:27.110 --> 02:34:33.714]  When the cowboys were out there, they had grazing property for over a hundred years.
[02:34:33.714 --> 02:34:36.035]  Nobody had a problem with it.
[02:34:36.035 --> 02:34:38.797]  And then snipers from the government come in.
[02:34:38.797 --> 02:34:39.097]  Yes.
[02:34:39.097 --> 02:34:44.180]  Well, who was that congressman from Las Vegas?
[02:34:44.180 --> 02:34:45.761]  You're talking about Harry Reid?
[02:34:57.250 --> 02:34:58.815]  Yeah.
[02:34:58.815 --> 02:35:03.710]  Yeah, Harry Reid was trying to do dirty deals with the Chinese and he was using his son as a conduit.
[02:35:03.710 --> 02:35:03.911]  Yeah.
[02:35:04.795 --> 02:35:06.757]  Yeah, so that stuff is definitely a potential.
[02:35:06.757 --> 02:35:09.018]  You've got Chinese agents that have infiltrated the U.S.
[02:35:09.018 --> 02:35:09.359]  government.
[02:35:09.359 --> 02:35:10.460]  Hillary Clinton, probably one of them.
[02:35:10.460 --> 02:35:14.423]  That's why she just has these wide open servers with all these classified documents on it.
[02:35:14.423 --> 02:35:20.688]  You know, you leave a nice little document in there, you tell them it's there, they go hack it and steal it, and then you get a little donation to your foundation.
[02:35:20.688 --> 02:35:21.628]  That's how the Clintons work.
[02:35:21.628 --> 02:35:23.810]  Larry, thank you so much for the call.
[02:35:23.810 --> 02:35:26.772]  Let's go to John calling in from Houston now.
[02:35:26.772 --> 02:35:29.214]  Go ahead, John.
[02:35:29.214 --> 02:35:30.695]  Hey, Owen.
[02:35:30.695 --> 02:35:32.097]  How's it going?
[02:35:32.097 --> 02:35:32.557]  It's going good.
[02:35:33.847 --> 02:35:48.016]  I just wanted to see if you had noticed the revolution in Iran bearing any similarities to the revolution in Syria and the revolution in Ukraine, these color revolutions.
[02:35:48.016 --> 02:35:50.618]  Well, I think they're all tied together.
[02:35:50.618 --> 02:35:53.079]  I don't know about similarities.
[02:35:53.079 --> 02:35:55.341]  I don't know if I could say I noticed similarities.
[02:35:55.341 --> 02:35:56.422]  I mean, this seems to be
[02:35:57.717 --> 02:36:08.403]  At least for now, organic people on the streets uprising, whereas in Saudi Arabia, there was a kind of a royalty purge, if you will.
[02:36:08.403 --> 02:36:10.183]  But I do think they're connected.
[02:36:10.183 --> 02:36:22.450]  Well, there's this group, the People's Nujahideen of Iran, called on Washington, Brussels, and the Security Council to intervene.
[02:36:22.450 --> 02:36:24.651]  They're a CIA-supported group.
[02:36:24.651 --> 02:36:26.612]  So, I mean, you know, it's straight-up just terrorism.
[02:36:29.072 --> 02:36:32.115]  From what side are you saying?
[02:36:32.115 --> 02:36:41.602]  The people revolting against the government, like the main group, it's literally called the people... So are you saying you're pro-Iranian regime right now?
[02:36:41.602 --> 02:36:44.545]  No, anti-Iranian are Sunni extremists.
[02:36:44.545 --> 02:36:49.208]  So they're using Sunni extremists to spearhead the revolution, that's what I'm saying.
[02:36:49.208 --> 02:36:49.789]  So it's like...
[02:36:51.395 --> 02:36:56.819]  Uh, I don't think anyone's actually going to intervene on their behalf, but they, uh, they're asking for help.
[02:36:56.819 --> 02:37:04.905]  So that's kind of similar to what happened in Ukraine when they were, uh, they toppled the, uh, existing government and then asked for help from the West and it pretty much never happened.
[02:37:07.099 --> 02:37:21.865]  Well, it's definitely going to be something to monitor, and Steve Pachenek was on the Alex Jones Show yesterday saying he wants there to be a regime change, which gets a little help from, you know, Western people and, you know, perhaps proxy armies.
[02:37:21.865 --> 02:37:26.307]  I'm not sure if that's actually going on, but I don't know.
[02:37:26.307 --> 02:37:26.407]  To me...
[02:37:28.453 --> 02:37:44.214]  I haven't really wanted to get too much into it because I feel like maybe the people of Iran can settle this for themselves and I'm gonna wait and see kind of the results of all this before I make a judgment about what's actually happening there but you know I mean this story came out of Egypt
[02:37:45.458 --> 02:37:51.304]  Female pop star arrested in Egypt over sexually suggestive music video.
[02:37:51.304 --> 02:37:55.227]  So this is just what you get in these Muslim states.
[02:37:55.227 --> 02:37:57.249]  Women have no rights.
[02:37:57.249 --> 02:37:58.771]  Women have to cover their faces.
[02:37:58.771 --> 02:38:00.652]  Women have to go around with men.
[02:38:00.652 --> 02:38:07.399]  It's the crazy radical... Yeah, so now Saudi Arabia and Iran all of a sudden have tried to liberalize.
[02:38:07.399 --> 02:38:09.441]  I think in Iran they're going to do away with headscarves.
[02:38:11.022 --> 02:38:19.310]  So they're in some kind of PR, you know, battle now to all of a sudden to appear liberal, but I mean, I'm sure no one's buying it, you know what I mean?
[02:38:19.310 --> 02:38:22.814]  Well, it's weird that they don't get any coverage from the liberals.
[02:38:22.814 --> 02:38:25.957]  You know, it's funny that you say that, because the liberals completely ignore this.
[02:38:25.957 --> 02:38:30.741]  I mean, they're the ones for women's rights, and they're the ones ignoring these protests.
[02:38:30.741 --> 02:38:32.183]  Yeah, that's interesting.
[02:38:32.183 --> 02:38:32.963]  No coverage at all.
[02:38:32.963 --> 02:38:33.964]  I'm not sure what to make of that.
[02:38:33.964 --> 02:38:34.245]  Nothing.
[02:38:34.941 --> 02:38:35.942]  Nothing from liberal media.
[02:38:35.942 --> 02:38:36.563]  Yeah.
[02:38:36.563 --> 02:38:37.724]  That's quite odd.
[02:38:37.724 --> 02:38:42.869]  Yeah, I haven't heard about Linda Sarsour going to Iran to join in the protest.
[02:38:42.869 --> 02:38:46.192]  I haven't heard of Linda Sarsour taking the Women's March to Iran ever.
[02:38:46.192 --> 02:38:47.733]  Funny how that works.
[02:38:47.733 --> 02:38:48.994]  That's not a good sign, yeah.
[02:38:48.994 --> 02:38:51.757]  That's not something... That's weird.
[02:38:51.757 --> 02:38:55.380]  Well, that to me says that maybe perhaps it is organic, but it really doesn't matter.
[02:38:55.380 --> 02:38:58.443]  Linda Sarsour isn't putting foot on foreign soil with her message anyway.
[02:38:58.443 --> 02:38:58.984]  She's a fraud.
[02:38:59.898 --> 02:39:00.818]  Yeah, absolutely.
[02:39:00.818 --> 02:39:01.899]  That's right.
[02:39:01.899 --> 02:39:02.339]  Absolutely.
[02:39:02.339 --> 02:39:08.602]  Yeah, the biggest thing to me about the Iranian thing would be the silence from the liberal media.
[02:39:08.602 --> 02:39:16.246]  As far as what's happening there, I'm going to wait and kind of see where some of the leaves fall on the ground before I go and make a judgment there, John.
[02:39:16.246 --> 02:39:17.367]  Thank you so much for calling in.
[02:39:17.367 --> 02:39:19.748]  Let's cram in Eric in Florida.
[02:39:19.748 --> 02:39:21.909]  Go ahead, Eric.
[02:39:21.909 --> 02:39:22.529]  Hey, Owen.
[02:39:22.529 --> 02:39:23.630]  How are you doing?
[02:39:23.630 --> 02:39:23.970]  Doing good.
[02:39:26.886 --> 02:39:27.686]  Pretty good.
[02:39:27.686 --> 02:39:28.787]  Pretty good so far in 2018.
[02:39:28.787 --> 02:39:32.388]  I think Hillary Clinton's freaking out.
[02:39:32.388 --> 02:39:34.989]  Absolutely.
[02:39:34.989 --> 02:39:38.070]  So that brings me to where I'm going.
[02:39:38.070 --> 02:39:49.453]  Do you think maybe they had a bunch of paperwork, 8 1⁄2 by 11, or they had storage facilities over all the years before everything became computerized?
[02:39:49.453 --> 02:39:50.894]  And, you know, they put out fires.
[02:39:52.873 --> 02:39:59.297]  But maybe they didn't know how to put out a real fire that really burned you, your skin and everything.
[02:39:59.297 --> 02:40:02.899]  Maybe they didn't have a chimney sweep.
[02:40:02.899 --> 02:40:05.821]  And they had a chimney fire.
[02:40:05.821 --> 02:40:07.062]  Well, who knows?
[02:40:07.062 --> 02:40:09.223]  Who knows what happened with the fire?
[02:40:09.223 --> 02:40:10.925]  Who knows if we'll ever really know?
[02:40:10.925 --> 02:40:14.267]  But I mean, my goodness, if it isn't a coincidence,
[02:40:15.370 --> 02:40:29.262]  As we see all these developments moving closer and closer to Hillary Clinton finally reaching justice for all her crimes, a fire is reported at their home.
[02:40:29.262 --> 02:40:31.384]  Company, take all the paperwork away.
