[00:00.000 --> 00:11.600]  It's the most wonderful time of the year.
[03:01:43.440 --> 03:01:49.440]  Oh, yeah, big time. And by the way, in different cities also because I've been all over the place here.
[03:01:49.440 --> 03:01:58.440]  And I'm finding the exact opposite of what this Fox News poll is alleging, and that is like overwhelming support for Roy Moore.
[03:01:58.440 --> 03:02:11.440]  In fact, because of the accusations, or at least because of the establishment war against him, the one thing that Alabamians here hate more than anything else is being told what to do.
[03:02:11.440 --> 03:02:19.440]  And they feel that Mitch McConnell, okay, 45 minutes after the Washington Post story comes out, suddenly Mitch McConnell calling for him to resign.
[03:02:19.440 --> 03:02:27.440]  The whole Republican establishment abandoning him, Democrat establishment, of course, pouring millions upon millions into this race.
[03:02:27.440 --> 03:02:31.440]  So they kind of, they feel like they're being told what to do.
[03:02:31.440 --> 03:02:47.440]  And of course, when this election is about policy, it's about, at the end of the day, will the Trump agenda, which will touch every single American on all issues, immigration reform, economy, building the wall,
[03:02:47.440 --> 03:02:55.440]  maybe Obamacare repeal on their place, on and on it goes, that it's critical to have every single vote in the Senate, as we saw.
[03:02:55.440 --> 03:03:12.440]  Well, sure, also, most of this is 35, 40 years old. That's my issue is if there's never one bit of smoke before, like Bill Clinton, there's smoke, fire, explosions, flamethrowers, you know, burning hillsides like California when it comes to women being abused and girls and the rest of it.
[03:03:12.440 --> 03:03:22.440]  With Moore, there's nothing until now, even though he's been in office, a DA, a judge. I mean, this to me is now phony. We've had time to look at it. We've had time to vet it.
[03:03:22.440 --> 03:03:31.440]  And so, again, it goes back to fake polls. They were sampling nine to 15 to 20 points more for Democrats in all these fake polls saying Trump was going to lose.
[03:03:31.440 --> 03:03:38.440]  And it's the same story. I think most folks, you're going to answer the phone with some pollster calling Alabama saying, who are you going to vote for them?
[03:03:38.440 --> 03:03:44.440]  They've got picked Democrat households. They know they're calling for these fake polls. That's what I think.
[03:03:44.440 --> 03:03:55.440]  Well, you know, if this were anything but a media campaign, that they would tell us the truth. They would tell us what I reported, first of all, that one of the accusers at our child taken away from her by William Orr's client.
[03:03:55.440 --> 03:04:12.440]  They would tell us that that accuser, by the way, here's another one they ignored, was convicted. She is a felon for felony fraud against her own family to the point where actually her family member turned her in and she went to jail.
[03:04:12.440 --> 03:04:26.440]  Not exactly credible and a lot of issues with the other accusers. So it's clear there's something else going on because I've seen the way that the news media has ignored, has minimized these major stories.
[03:04:26.440 --> 03:04:36.440]  Erin Klein, amazing. Please join us soon in the aftermath of a special election that we're here. It's now. It's happening very, very soon and we'll be covering it all tomorrow, obviously.
[03:04:36.440 --> 03:04:38.440]  Erin Klein, thank you so much.
[03:04:38.440 --> 03:04:43.440]  Thank you. We'll be back with Matt Dubio. I'm Ryton Shotgun. I'm Alex Jones.
[03:05:09.440 --> 03:05:16.440]  Cardivore is filled with digestive enzymes like those naturally present in the body. Enjoy the full potential of protein rich foods again.
[03:05:16.440 --> 03:05:23.440]  You can eat protein heavy foods now while minimizing the later indigestion and discomfort commonly associated with high meat diets.
[03:05:23.440 --> 03:05:31.440]  Just one pill with every high protein meal helps increase the bioavailability and absorption of amino acids, the building blocks to your muscles.
[03:05:31.440 --> 03:05:38.440]  Cardivore also contains digestive enzymes to help digest fats and carbohydrates so you can fully digest all types of meals.
[03:05:38.440 --> 03:05:42.440]  Don't let a meal go to waste. Use carnivore by InfoWarsLife.
[03:05:42.440 --> 03:06:02.440]  Head to InfoWarsLife.com and secure your bottle now. That's InfoWarsLife.com.
[03:06:12.440 --> 03:06:20.440]  Ladies and gentlemen, I got to tell you, I love having Christmas trees in the studio and to me it's just pretty, you know, lights in the dark of the winter.
[03:06:20.440 --> 03:06:28.440]  That's why the ancient druids and Germanic tribes would bring evergreen trees in during the freezing winter because they believed it was powerful.
[03:06:28.440 --> 03:06:39.440]  Look, it lived in the subzero temperatures that killed them. It always stayed green. They liked the smell of it and they would put little lights and candles on it, literally praying to the sun god to bring the sun back.
[03:06:39.440 --> 03:06:54.440]  So I love how the atheists and occultists and I always see druids and wikens protesting Christmas and I'm just like, you know, and I don't think Jesus gets mad at us as Christians that we think tan and bombs are pretty.
[03:06:54.440 --> 03:06:58.440]  But I mean, if you want to get down to brass tacks, these are big old giant occult symbols in here.
[03:06:58.440 --> 03:07:08.440]  But you know, people say a rising sun behind the planets is symbol of the Illuminati or they say a star on the flag is, no, every symbol has been taken over by occultists.
[03:07:08.440 --> 03:07:19.440]  I like the symbol of a sun rising behind the planet. It's pretty. I, you know, I like Christmas trees. I like, you know, all of it, all of it has, you know, some type of cultural thing.
[03:07:19.440 --> 03:07:29.440]  It's not evil to culturally, you know, sit there and get a piece of mistletoe and have it be an excuse at a party drinking eggnog, you know, lace with rum or whatever.
[03:07:29.440 --> 03:07:39.440]  You know, like that girl and say, oh, everybody has to kiss under the mistletoe. And then it gives the girl, if she likes it, not harassment, the excuse to go under the mistletoe.
[03:07:39.440 --> 03:07:52.440]  You know, these are all rituals, you know, going on that people came up with. And again, the mistletoe was seen as an aphrodisiac and hallucinogen, a lot of other things by the druids and by those tribes.
[03:07:52.440 --> 03:08:04.440]  It just shows how the less trying to get rid of all this and when all it is is a mixture of, you know, Western European winter ritual with Christianity.
[03:08:04.440 --> 03:08:10.440]  People say, well, that's blasphemy. You're going to hell for that. God judges the heart. A pretty tree with lights on it.
[03:08:10.440 --> 03:08:18.440]  Now it's a Christian symbol. The leftists have really made it a Christian symbol because they've said it's Christian.
[03:08:18.440 --> 03:08:26.440]  And again, they're so politically wicked, they just want to dominate all symbols and say we want what you really like Christmas trees.
[03:08:26.440 --> 03:08:31.440]  You remember Grandma with Grandma put up a Christmas tree because she was a devil worshiper.
[03:08:31.440 --> 03:08:36.440]  She was putting up a Christmas tree because it was pretty. So that's what this comes down to.
[03:08:36.440 --> 03:08:55.440]  Matt Dubio. I like that studio with 1530 WCKG our big flagship there in Illinois. The next few weeks kind of a big announcement. It's not just not just the good old 1530, but also the 102.3 that covers much of the city, but it's about to cover it all.
[03:08:55.440 --> 03:09:02.440]  I'm going to leave it at that about fantastic radio station picking up Owen Shore in the war room, David Knight in the real news and so much more.
[03:09:02.440 --> 03:09:05.440]  So tell us my friend what you've got coming up today.
[03:09:05.440 --> 03:09:13.440]  Well, Alex, you know, they were afraid of mistletoe because when you have Joe Biden in the White House for eight years, you get really skittish around the mistletoe.
[03:09:13.440 --> 03:09:16.440]  It's a creepy Uncle Joe gets near the mistletoe.
[03:09:16.440 --> 03:09:18.440]  He's going to rape you under the mistletoe. Yeah.
[03:09:18.440 --> 03:09:19.440]  Watch out.
[03:09:19.440 --> 03:09:29.440]  Coming up, what do what is Chelsea Handler, Keith Oberman and Joy Behar all have in common with Buzz Aldrin.
[03:09:29.440 --> 03:09:48.440]  That's that's one of the things I'm excited to talk about. And as you know, the social media channels are a buzz today with anti bullying cries for a young guy in and the heels of a verdict in Chicago where somebody actually physically harm the human being in a hate crime,
[03:09:48.440 --> 03:09:54.440]  pled guilty and wasn't convicted and or was convicted, but wasn't punished at all.
[03:09:54.440 --> 03:10:00.440]  And so we have that footage of relation. We have that footage believed out. I meant to leave the show with that, but there was another Islamic terror attack.
[03:10:00.440 --> 03:10:11.440]  They said we were liars last year when this happened. You reported on it here. They said it's fake. They're not torturing that white guy cutting part of a scalp out saying we're going to kill you as the mind of a four year old autistic man.
[03:10:11.440 --> 03:10:12.440]  And of course they did.
[03:10:12.440 --> 03:10:19.440]  And the judge said, Hey, they're black. He's white. I'm letting you go just like, Hey, you shoot a white woman, Kate Stanley in the back.
[03:10:19.440 --> 03:10:28.440]  I'm not just going to not send you to jail or give you a give you a manslaughter for this. If you try to have a march for her, we're going to have anti from come out and physically attack you.
[03:10:28.440 --> 03:10:36.440]  I can't even I can't even watch that video, even just you showing me the clip of the video just now. It's it's it's one of the most disgusting things I've ever seen.
[03:10:36.440 --> 03:10:48.440]  And and what I I see are people hurting people. I don't even I didn't even really go to when exactly if I saw six white people with a with a black guy tied up beating him up.
[03:10:48.440 --> 03:10:55.440]  Pissed and I'd be ashamed. But what makes it worse is imagine it was a mentally retarded black man or white guy. Exactly.
[03:10:55.440 --> 03:11:02.440]  I don't see what color they are. What I see is a bunch of crazy racist nuts wound up by the media because they're going screw you, Trump.
[03:11:02.440 --> 03:11:07.440]  You still because it's all about Trump. He's some clean cut mentally retarded guy.
[03:11:07.440 --> 03:11:15.440]  But because he's clean cut because mommy dressing that way, they think they're getting back at whitey when it's somebody that doesn't have half of what they got.
[03:11:15.440 --> 03:11:22.440]  This poor this poor little boy was tortured by other people. I don't know how other people can do that to people.
[03:11:22.440 --> 03:11:31.440]  And and and when that happens, and when judges see that, I tweeted out the judge's name, not for retribution or anything, but people need to know.
[03:11:31.440 --> 03:11:33.440]  Yeah, we've got an article on info wars dot com.
[03:11:33.440 --> 03:11:42.440]  And one of you guys print that or ladies print that for me just so we have that next time because I want to read the judge said, I don't think sending you people you folks to jail.
[03:11:42.440 --> 03:11:48.440]  I mean, that's the quote for doing this. It will help you. So I'm just going to let you go, you know, probation.
[03:11:48.440 --> 03:11:56.440]  And they banned her and the others from social media. That's by the way, that's not a punishment that is actually a service.
[03:11:56.440 --> 03:12:02.440]  It's a gift. Exactly. That is a gift. It's not a punishment that those people need to be punished.
[03:12:02.440 --> 03:12:09.440]  How can because this is kidnapping. They had the guy for much of a day tortured him kept saying we're going to kill you.
[03:12:09.440 --> 03:12:15.440]  I mean, let's just show the video for TV viewers just his face because remember when they said it was fake. Remember?
[03:12:15.440 --> 03:12:22.440]  Yeah. Yeah. I mean, look at this. How was he?
[03:12:22.440 --> 03:12:30.440]  He was a teenager. I don't think they gave his age. I just I suspect under 18. And it's horrible. I mean, it's just the most.
[03:12:30.440 --> 03:12:40.440]  And the young racist black crazy people don't even know that. Why are you doing it live on the Internet, idiots?
[03:12:40.440 --> 03:12:47.440]  You've got a retarded white kid torturing the hell out of him. And then you you you're putting it out on the Internet.
[03:12:47.440 --> 03:12:55.440]  There's a real problem with what people are and aren't doing on the Internet. And the opposite, the polar opposite of this to me is this recent,
[03:12:55.440 --> 03:13:02.440]  this flurry on Twitter with this young guy Keaton who was bullied. And I saw that video to his mother put up a video for people who haven't seen it.
[03:13:02.440 --> 03:13:08.440]  His mother put up a video. There's some kids that have been teasing him. He's got maybe a speech impediment or something going on.
[03:13:08.440 --> 03:13:13.440]  He's got a cleft lip and you know, and I'm sad for him. But I don't wonder if daddy's around because he needs to learn how to.
[03:13:13.440 --> 03:13:15.440]  I mean, I guess you go to jail now if you fight back.
[03:13:15.440 --> 03:13:21.440]  Exactly. So so in my life, in my family, in the world that I'm growing up in or that I grew up in,
[03:13:21.440 --> 03:13:29.440]  you don't air your grievances on social media first to get the world to rally around you in this victim mentality.
[03:13:29.440 --> 03:13:34.440]  You need to teach that young man how to defend himself, how to protect himself, how not to be a victim.
[03:13:34.440 --> 03:13:38.440]  And that seems to be lost in this world today. They don't teach you that.
[03:13:38.440 --> 03:13:40.440]  Because they want victims and it's the number one story in the world.
[03:13:40.440 --> 03:13:43.440]  And I should have led the show. That's why I got a real talk shows like you here, Matt.
[03:13:43.440 --> 03:13:46.440]  By the way, that we got to figure out a home for you every day here.
[03:13:46.440 --> 03:13:51.440]  So I want to launch more shows. And I think, you know, teaming you up with one of the other guys,
[03:13:51.440 --> 03:13:53.440]  it would do you a disjustice because they're great. You're great.
[03:13:53.440 --> 03:13:57.440]  I think you're kind of a one man show and have any guests you went on.
[03:13:57.440 --> 03:13:58.440]  You need to pick your slot with us.
[03:13:58.440 --> 03:14:00.440]  No, I've known you like eight years. I've been carrying the show.
[03:14:00.440 --> 03:14:03.440]  You've come out and visited me. We've been out to dinner, you know, met some of your family.
[03:14:03.440 --> 03:14:07.440]  But you need, you need to start hosting here. You need to come on every day.
[03:14:07.440 --> 03:14:10.440]  No, I'm sick of it. When I listen to you, you do better talk radio than I do.
[03:14:10.440 --> 03:14:14.440]  You always cover the biggest stories, but always tie it in to stuff that's important.
[03:14:14.440 --> 03:14:18.440]  You hijack the big story and then use it to wake people up about bigger issues.
[03:14:18.440 --> 03:14:19.440]  I mean, you're the man.
[03:14:19.440 --> 03:14:24.440]  Oh, it's nice of you. You know what happens is, is you guys are so on the front line every day.
[03:14:24.440 --> 03:14:28.440]  There's so much stuff to cover. As you know, there's so many things going on.
[03:14:28.440 --> 03:14:34.440]  It's tough. And what happens is, is I'm, I'm frankly not as busy as you guys are.
[03:14:34.440 --> 03:14:39.440]  So I end up seeing things and I see these reactions from parents in the pickup line at school
[03:14:39.440 --> 03:14:44.440]  and the way people are reacting and it's, it's mind boggling. And so it's just a little bit of a,
[03:14:44.440 --> 03:14:48.440]  and then it teaches kids to be whiny babies, but, but again, it's not their fault.
[03:14:48.440 --> 03:14:50.440]  They don't let them fight back. They take dads out of the home.
[03:14:50.440 --> 03:14:55.440]  The guys should have a big brother or a cousin. And if somebody really did do that,
[03:14:55.440 --> 03:15:00.440]  you don't beat up the kids that are beating him up. You go find their brother and beat them up.
[03:15:00.440 --> 03:15:04.440]  Exactly. Well, that's one of the things I hear these celebrities saying is on Twitter.
[03:15:04.440 --> 03:15:07.440]  They're, they're, they're saying, well, we should go get these bullies. Okay.
[03:15:07.440 --> 03:15:11.440]  Wait a minute. So your answer to the bullying is to go bully more bullies.
[03:15:11.440 --> 03:15:13.440]  That doesn't make any sense. The answer is,
[03:15:13.440 --> 03:15:16.440]  no, their dads need to be beating their asses. Yes.
[03:15:16.440 --> 03:15:19.440]  And by that, I'm making them run around the block.
[03:15:19.440 --> 03:15:23.440]  They throw up, putting them on, you know, the grounding them, whatever.
[03:15:23.440 --> 03:15:29.440]  Yeah. Matt DeBiel from the WCKG 15 30 a.m.
[03:15:29.440 --> 03:15:38.440]  and 102.3. Ladies and gentlemen in Chicago, spread the word. The revolution will be transmitted
[03:15:38.440 --> 03:15:43.440]  and it will be televised as well. Stay with us. Please spread the word on the live links.
[03:15:43.440 --> 03:15:47.440]  infowords.com, prison blood. I like your coffee cup. Conservatism is a new kind of culture.
[03:15:47.440 --> 03:15:54.440]  Hello, Mr. Anderson. The NSA has noticed how much time you spend on conservative news sites.
[03:15:54.440 --> 03:15:59.440]  We have no choice but to consider you a domestic terrorist.
[03:15:59.440 --> 03:16:03.440]  Tired of your internet activity being monitored by big brother, get virtual shield.com.
[03:16:03.440 --> 03:16:09.440]  The world's easiest to use virtual private network. Browse the web anonymously, leaving pesky advertisers and spies in the dust.
[03:16:09.440 --> 03:16:13.440]  Get started today at virtual shield.com. Take advantage of our free 30 day trial.
[03:16:13.440 --> 03:16:17.440]  Virtual shield.com. You have the right to remain private.
[03:16:17.440 --> 03:16:22.440]  Fully cooked, ready to eat bacon. I'm talking thick meaty, center cut, presidential bacon.
[03:16:22.440 --> 03:16:27.440]  Savory and delicious. I buy some, I use some, I store some. Awesome.
[03:16:27.440 --> 03:16:32.440]  No refrigeration needed with a 10 year shelf life NASA pack technology.
[03:16:32.440 --> 03:16:38.440]  Bacon. Fully cooked, fully hydrated, ready to eat right from the pack bacon or warm and served.
[03:16:38.440 --> 03:16:42.440]  Life saving, ready to eat bacon. 10 year shelf life bacon.
[03:16:42.440 --> 03:16:47.440]  Ships free at fullycookedbacon.com. Fullycookedbacon.com.
[03:16:47.440 --> 03:16:54.440]  Water is the single most important thing your body needs. So you want to be sure it's the best for you and your family.
[03:16:54.440 --> 03:16:58.440]  Since 2005, thousands have depended on Berkey purified water.
[03:16:58.440 --> 03:17:03.440]  The Berkey guy provides the lowest price filtration systems in every size.
[03:17:03.440 --> 03:17:08.440]  For incredibly delicious water now and in an emergency, get to goberkey.com.
[03:17:08.440 --> 03:17:17.440]  Or call 877-886-3653. 877-886-3653. Goberkey.com.
[03:17:17.440 --> 03:17:25.440]  If you or someone you care about loves outdoor adventure, then check out slingbow.com for some unique holiday gift ideas.
[03:17:25.440 --> 03:17:34.440]  That's slingbow.com where we have some innovative new products for the archer, hunter or bow fishing enthusiast in your family.
[03:17:34.440 --> 03:17:40.440]  Now through January, use the promo code holiday to get free shipping in the U.S. or Canada.
[03:17:40.440 --> 03:18:06.440]  And from all of us at Slingbow Industries, have a safe, joyous and peaceful holiday season.
[03:18:06.440 --> 03:18:13.440]  Thank you for watching.
[03:18:36.440 --> 03:18:48.440]  Take control of your chemistry today with this super combo. Discover the power of Survival Shield X2 and Biotru Selenium at infowarslife.com.
[03:19:06.440 --> 03:19:10.440]  You are funding the revolution. I cannot say it any clearer.
[03:19:10.440 --> 03:19:14.440]  And so it is essential that you purchase the products at infowarsstore.com.
[03:19:14.440 --> 03:19:22.440]  I don't want to thank everybody that has, but we've got the best fluoride-free toothpaste with colloidal silver and with high quality atomic iodine in it.
[03:19:22.440 --> 03:19:24.440]  You cannot beat that for children and adults.
[03:19:24.440 --> 03:19:29.440]  We've got the best mouthwash designed by Dr. Jones. That's my dad with colloidal silver and iodine as well.
[03:19:29.440 --> 03:19:38.440]  infowarslife.com or triple-A-253-3139. And your purchase of the products stands with us, stands with America, stands with Trump,
[03:19:38.440 --> 03:19:41.440]  stands against the globalists and their satanic pedophile armies.
[03:19:41.440 --> 03:20:00.440]  And that's who they are, and they know we know who they are, and they're coming back against us so we need your support.
[03:20:12.440 --> 03:20:19.440]  On the front lines of the Information War, it's Alex Jones.
[03:20:19.440 --> 03:20:27.440]  I'm coming to you from deep in the heart of Texas, the ATX, and we've got Matt Vubiel here from Chicago.
[03:20:27.440 --> 03:20:31.440]  We're trying to recapture these Democrat, globalist-held cities.
[03:20:31.440 --> 03:20:37.440]  We do that first by removing the Republican establishment to restore Americana, restore the engine of success.
[03:20:37.440 --> 03:20:43.440]  And here's the article I was mentioning earlier, we just tuned in. Torture of disabled white teens released on probation.
[03:20:43.440 --> 03:20:46.440]  Don't mess this up, says the judge.
[03:20:46.440 --> 03:20:53.440]  And then you see the folks that kidnapped the mentally retarded guy, tortured him, cut part of his scalp off, kept telling him,
[03:20:53.440 --> 03:21:02.440]  we're going to kill you. I mean, this is kidnapping, aggravated with weapons, torturing him, bodily harm, menacing.
[03:21:02.440 --> 03:21:06.440]  And you know what? No jail time, baby.
[03:21:06.440 --> 03:21:11.440]  I mean, it just goes on for hour after hour. We're going to kill you, you white piece of garbage.
[03:21:11.440 --> 03:21:15.440]  And I'm not blaming all black people for this. But where is the media decrying it?
[03:21:15.440 --> 03:21:18.440]  They won't cover it except to say it was fake last year.
[03:21:18.440 --> 03:21:20.440]  That's why Matt Vubiel brought that up.
[03:21:20.440 --> 03:21:24.440]  You see, Kate Stanley shot in the back by an illegal alien who'd been deported five times.
[03:21:24.440 --> 03:21:29.440]  Most of the crime against Hispanics is usually by illegal aliens that come into their own neighborhoods.
[03:21:29.440 --> 03:21:31.440]  So it's hurting Hispanics more than anybody.
[03:21:31.440 --> 03:21:35.440]  But this lady, white lady, got shot in the back, and the jury could not convict him.
[03:21:35.440 --> 03:21:38.440]  Couldn't even give him manslaughter, which just means you did it accidentally.
[03:21:38.440 --> 03:21:45.440]  It's a, you know, license to kill. This guy is 007 because they thought it would hand Trump a victory,
[03:21:45.440 --> 03:21:51.440]  which shows how the left is like a cult that empowered everybody to get Kate's law and all this.
[03:21:51.440 --> 03:21:57.440]  And it creates a backlash on Hispanic Americans that aren't connected to all these illegals and criminals
[03:21:57.440 --> 03:21:59.440]  and mental patients that are coming over the border.
[03:21:59.440 --> 03:22:04.440]  I mean, you can't go to Mexico and just stay there or be a criminal and do whatever you want.
[03:22:04.440 --> 03:22:06.440]  I mean, it's the same thing.
[03:22:06.440 --> 03:22:11.440]  Even though that's where people used to run, but, you know, you see, you had to hide out and not get in trouble and use a fake name.
[03:22:11.440 --> 03:22:15.440]  You didn't get deported. You know, some people like 40 times I've seen.
[03:22:15.440 --> 03:22:19.440]  Matt Vubiel's taken over about one minute just first off because I didn't plug very much stand.
[03:22:19.440 --> 03:22:21.440]  It's just the holiday season. It's Christmas.
[03:22:21.440 --> 03:22:26.440]  It's when we do a lot of our funding to see how we're going to hopefully stay the same size or expand.
[03:22:26.440 --> 03:22:31.440]  Next year, and I've been so focused on news, most people are plugging every segment on talk radio.
[03:22:31.440 --> 03:22:36.440]  There should be. I've been plugging once an hour. So please listen to the deals we've got.
[03:22:36.440 --> 03:22:42.440]  They're great and take action. We're calling this not just Christmas Monday because they have that thing called Green Monday to be environmental.
[03:22:42.440 --> 03:22:45.440]  I say, yeah, don't fight the cars. Don't fight the traffic. Don't fight the lines.
[03:22:45.440 --> 03:22:52.440]  Don't do all that crazy stuff. Buy online or go to mom and pop shops, whatever you do, not the big corporate stores.
[03:22:52.440 --> 03:22:56.440]  But Christmas week, we're launching massive Christmas savings all week long.
[03:22:56.440 --> 03:23:04.440]  And info or store.com plus statewide free shipping and a bunch of the sales we had were extending on the colloidal silver.
[03:23:04.440 --> 03:23:09.440]  67% off and a super male vitality, 50% off and on brain force, 50% off.
[03:23:09.440 --> 03:23:14.440]  Even though a lot of those are closest selling out and on alpha power, the new introductory super products.
[03:23:14.440 --> 03:23:18.440]  Just learn about that folks. Incredible. You want yourself to get this 50% off.
[03:23:18.440 --> 03:23:21.440]  The real red pill brand new 50% off DNA for 33% off.
[03:23:21.440 --> 03:23:26.440]  Well, that's about to sell out survival shield. 50% off knockout. 50% off prospect 50% off out of mineral fusion.
[03:23:26.440 --> 03:23:33.440]  50% off in four selects high quality, swirable food. 50% off plus much more books, T shirts, films.
[03:23:33.440 --> 03:23:37.440]  I've got shirts that say it's okay to be white. It's okay to be black. It's okay to be brown.
[03:23:37.440 --> 03:23:42.440]  It's okay to be red. It's okay to be pink. It's okay.
[03:23:42.440 --> 03:23:46.440]  But at the bottom, it says it's great to be human.
[03:23:46.440 --> 03:23:51.440]  We've got triggering shirts. All lives matter. Oh, those are beautiful.
[03:23:51.440 --> 03:23:55.440]  And there are great ways to just reach out and be called a Nazi for saying that.
[03:23:55.440 --> 03:24:01.440]  But that's only in university areas. A few left to cities and in certain enclaves.
[03:24:01.440 --> 03:24:04.440]  Most places you'll get, you know, Jenner bought for you. Seriously, meet like minded people.
[03:24:04.440 --> 03:24:12.440]  But we've got shirts that aren't as radical either at infowarstore.com. Whatever you do, please commit today to check out the products.
[03:24:12.440 --> 03:24:17.440]  A lot of these are limited edition that are selling out. So check out the ball caps.
[03:24:17.440 --> 03:24:21.440]  We've got a lot of hoodies, a lot of other great stuff at infowarstore.com.
[03:24:21.440 --> 03:24:27.440]  It's Christmas week. It's Christmas week. So thank you all for giving yourself a present and getting high quality products at low prices.
[03:24:27.440 --> 03:24:31.440]  And giving the country and the world a present while you fund info wars.
[03:24:31.440 --> 03:24:36.440]  It gives you cutting edge, fearless news and information in an information warfare era.
[03:24:36.440 --> 03:24:43.440]  Now back to Matt Dubiel and 1315 30 we have telepathy free 1530 WCKG.
[03:24:43.440 --> 03:24:52.440]  And of course, it's also got the FM affiliate as well, 102.3 WCKG back to Matt Dubiel.
[03:24:52.440 --> 03:24:59.440]  Alex, it's dangerous in Chicago, brother. It's 11 out of 11 homicides in the month of December.
[03:24:59.440 --> 03:25:04.440]  And today is what the 10th is today the 10th, the 11th.
[03:25:04.440 --> 03:25:12.440]  So we're one for one every day, which is sad and disgusting for the month of November 39 deaths in Chicago.
[03:25:12.440 --> 03:25:18.440]  And what people don't realize what the media doesn't tell you just like the story about those people that kidnapped somebody.
[03:25:18.440 --> 03:25:32.440]  Could you imagine if you kidnapped, if you went to let's say Singapore or another country in the UK or anywhere abroad and you committed a crime like shoplifting.
[03:25:32.440 --> 03:25:37.440]  Or back in the day, I remember there were kids that spray painted and I think it was in Singapore.
[03:25:37.440 --> 03:25:40.440]  And they ended up, yeah, they ended up getting caned.
[03:25:40.440 --> 03:25:51.440]  And there was this big international to do about these kids because they, I don't know, spray painted something and then they were getting caned or they were going to get caned.
[03:25:51.440 --> 03:25:56.440]  And then, you know, there was, there was diplomatic efforts that had to be taken into account.
[03:25:56.440 --> 03:26:02.440]  In the United States of America, we have citizens kidnapping other citizens.
[03:26:02.440 --> 03:26:14.440]  And, and in what is defined as a hate crime, and the judge in the hate crime, after the person please guilty says, you know what, we're putting people in jail for not paying their child support.
[03:26:14.440 --> 03:26:18.440]  We're putting people in jail for smoking pot when they're dying of cancer.
[03:26:18.440 --> 03:26:28.440]  We're putting people in jail for in debtor's prisons for other white collar crimes, but you committed the act of kidnapping somebody.
[03:26:28.440 --> 03:26:32.440]  You abused the person, you videotaped it and showed it to people.
[03:26:32.440 --> 03:26:34.440]  I'm just going to ban you from social media.
[03:26:34.440 --> 03:26:38.440]  That's all we're going to cut a piece of their scalp out and you tell them you're going to kill them.
[03:26:38.440 --> 03:26:40.440]  This guy thought for hours he was about to die.
[03:26:40.440 --> 03:26:42.440]  You see the sorrow.
[03:26:42.440 --> 03:26:48.440]  It was a disgusting, disgusting display and abuse and torture.
[03:26:48.440 --> 03:26:50.440]  This should never happen, you know.
[03:26:50.440 --> 03:26:57.440]  And by the way, in the meantime, we debate whether we should do stuff similar to this at like Guantanamo for people that are terrorists.
[03:26:57.440 --> 03:27:05.440]  And everybody gets involved and says, oh no, we, we shouldn't, we shouldn't waterboard terrorists to find out when they're going to kill the next 50,000.
[03:27:05.440 --> 03:27:16.440]  Look in that kid's eyes where he, he's like totally confused, he's mentally retarded, and he's just like begging like, why, why, they just keep torturing him.
[03:27:16.440 --> 03:27:19.440]  It's just that's mainstream media created that.
[03:27:19.440 --> 03:27:29.440]  Yeah, you know, I remember right after the election, the internet and Facebook and social media was swelling with the, with the BS storyline of, what am I going to tell my kids?
[03:27:29.440 --> 03:27:32.440]  What am I going to tell my daughter about Hillary not winning?
[03:27:32.440 --> 03:27:34.440]  What am I going to tell my kids about Trump?
[03:27:34.440 --> 03:27:39.440]  What do you tell your kids about this world where this can happen to an innocent child?
[03:27:39.440 --> 03:27:44.440]  And by the way, I think both of us would be saying the same thing if that was a black kid.
[03:27:44.440 --> 03:27:51.440]  Absolutely. Listen, I'm ashamed, even though I'm not at fault, some other white person does nothing, I would be ashamed.
[03:27:51.440 --> 03:27:54.440]  I'm ashamed as a human watching these black people act like this.
[03:27:54.440 --> 03:28:00.440]  I'd feel a lot better if I saw black leaders saying, hey, those kids ought to get thrown in prison for five years, man.
[03:28:00.440 --> 03:28:06.440]  You kidnap somebody, you say you're going to kill them, you torture them. And on top of it, it's a mentally retarded person.
[03:28:06.440 --> 03:28:09.440]  I mean, what's that? That is just, it's crazy.
[03:28:09.440 --> 03:28:21.440]  If Al Sharpton was worth assault, if Reverend, the Reverend Jesse Jackson was worth assault, they would be on television right now saying, you know what, this was a miscarriage of justice and we should be doing better.
[03:28:21.440 --> 03:28:24.440]  These children that did these crimes should be punished.
[03:28:24.440 --> 03:28:27.440]  They don't represent us. They don't represent the black community.
[03:28:27.440 --> 03:28:32.440]  Mothers and grandmothers and fathers in this community should be doing better and this is not us.
[03:28:32.440 --> 03:28:37.440]  Well, that's the excuse is these teenagers are like 15, 16, 19.
[03:28:37.440 --> 03:28:42.440]  I mean, I mean, Brittany Covington, the one that just let off, she's 19, the ring later.
[03:28:42.440 --> 03:28:47.440]  I mean, when do women commit crimes like this? We have women in America now torturing people?
[03:28:47.440 --> 03:28:53.440]  Guys, wouldn't your wife or girlfriend love it if you treated her to the very best this Christmas?
[03:28:53.440 --> 03:28:57.440]  Well, you can and you don't even have to go out of your way.
[03:28:57.440 --> 03:29:03.440]  We're talking about the world's softest pajamas available exclusively at pajamagram.com.
[03:29:03.440 --> 03:29:08.440]  That's pajamagram.com created by a team of dedicated pajama experts.
[03:29:08.440 --> 03:29:15.440]  The world's softest pajamas are lighter than a cloud, softer than a bunny, like cashmere only better.
[03:29:15.440 --> 03:29:20.440]  She'll love the way the world's softest pajamas feel and you'll love the way they look.
