[00:00:09.732 --> 00:00:13.093]  It's Sunday, October 30th, 2022.
[01:19:13.855 --> 01:19:17.357]  They know the truth about their globalist operations is exposed.
[01:19:17.357 --> 01:19:18.218]  It's game over.
[01:19:18.218 --> 01:19:23.920]  And all over the planet, humanity is awakening and peacefully fighting back.
[01:19:23.920 --> 01:19:28.523]  And our main tool is free speech and the truth we promote using free speech.
[01:19:28.523 --> 01:19:34.666]  That's why when you share articles and videos from Band.Video or Infowars.com or Newswars.com, it changes the world.
[01:19:35.146 --> 01:19:47.134]  And that's why when you go to InfoWarsStore.com and get amazing products that empower you and your body and your immune system and that of your family, you're also empowering the tip of the spear in the fight against the globalists.
[01:19:47.134 --> 01:19:53.238]  The fight starts at InfoWars.com and the support of the fight starts at InfoWarsStore.com.
[01:19:53.238 --> 01:19:55.059]  God bless and thank you all for your support.
[01:19:59.355 --> 01:20:17.686]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:20:17.686 --> 01:20:21.889]  We are back here on the Alex Jones Show, Sunday night.
[01:20:21.889 --> 01:20:25.831]  Coming up in 40 minutes, Harrison Smith for two hours live, Sunday live.
[01:20:25.831 --> 01:20:27.853]  Thanks for taking your calls, covering the news and more.
[01:20:28.863 --> 01:20:37.369]  So anybody that turns on mainstream corporate media hears white people are the devil, Tulsi Gabbard says love the Democratic Party because they're race baiting.
[01:20:37.369 --> 01:20:39.250]  It's so incredibly obvious.
[01:20:39.250 --> 01:20:45.515]  And the group mainly running all of this racism and racial division is the new Nazi party in America.
[01:20:45.515 --> 01:20:46.556]  You never expect it.
[01:20:46.556 --> 01:20:48.617]  That's why it showed up that way.
[01:20:48.617 --> 01:20:53.581]  The Anti-Defamation League is now the closest thing to Adolf Hitler's Nazi party we have.
[01:20:54.361 --> 01:20:55.703]  I'm not just saying that for effect.
[01:20:55.703 --> 01:20:56.764]  I mean, think about it.
[01:20:56.764 --> 01:21:10.679]  They use racial politics, they want censorship, they want to take the bank accounts and jobs away of anybody like Tucker Carlson or Alex Jones that disagrees with them, and they want the 45th President of America banned and put in prison.
[01:21:10.679 --> 01:21:16.105]  And what is the outcome of their brainwashing that Obama and the globalists have pushed?
[01:21:18.083 --> 01:21:18.804]  Here's a clip.
[01:21:18.804 --> 01:21:20.005]  Do white lives matter?
[01:21:20.005 --> 01:21:22.227]  This is what New Yorkers had to say.
[01:21:22.227 --> 01:21:28.952]  And this is white people and black people who've been brainwashed into racial identity saying, I don't care about white people.
[01:21:28.952 --> 01:21:31.514]  As if white people get penalized, you get ahead.
[01:21:31.514 --> 01:21:39.381]  But if they can sell one group to hate the other group and take their rights away, we all lose our rights.
[01:21:39.381 --> 01:21:41.403]  And there is the sickening evil.
[01:21:42.563 --> 01:21:52.310]  Evil ADL at the very heart of this with big tech, the Democratic Party ganging up on us, with the Republican leadership sitting there with their thumbs, you know where, doing nothing.
[01:21:52.310 --> 01:21:54.911]  Here's a clip.
[01:21:54.911 --> 01:21:55.692]  Do white lives matter?
[01:21:56.502 --> 01:21:59.725]  White lives?
[01:21:59.725 --> 01:22:01.146]  It's a bit of a tricky question.
[01:22:01.146 --> 01:22:02.207]  Um, no.
[01:22:02.207 --> 01:22:02.848]  Not in the slightest.
[01:22:02.848 --> 01:22:03.328]  Yes!
[01:22:03.328 --> 01:22:04.989]  They're trying to censor the truth!
[01:22:04.989 --> 01:22:05.570]  No.
[01:22:05.570 --> 01:22:06.190]  Why not?
[01:22:06.190 --> 01:22:07.291]  Black lives matter.
[01:22:07.291 --> 01:22:09.673]  I really don't give a f*** about white lives.
[01:22:09.673 --> 01:22:11.335]  We're gonna get really political.
[01:22:11.335 --> 01:22:12.456]  I don't want to go there.
[01:22:12.456 --> 01:22:13.096]  All lives matter.
[01:22:13.096 --> 01:22:16.219]  It's just... No, no, no, no, no, no, no, no, no.
[01:22:16.219 --> 01:22:17.660]  All lives matter.
[01:22:17.660 --> 01:22:22.024]  I'm glad that brother put that out there because he started a whole bunch of constant conversation.
[01:22:22.024 --> 01:22:23.685]  Yeah, you're hard to talk to.
[01:22:23.685 --> 01:22:23.906]  Really?
[01:22:23.906 --> 01:22:24.006]  Why?
[01:22:24.923 --> 01:22:28.364]  Because you're making me think that all my answers are wrong.
[01:22:28.364 --> 01:22:30.705]  There's no right or wrong answer, it's just your opinion.
[01:22:30.705 --> 01:22:32.686]  Is that minute almost up?
[01:22:32.686 --> 01:22:34.846]  So the good news is the ADL's failing.
[01:22:34.846 --> 01:22:39.648]  Only a few of the white people and black people bought their racist garbage.
[01:22:39.648 --> 01:22:44.469]  All lives matter, and if we don't stand together, we fall separate.
[01:22:44.469 --> 01:22:52.032]  As Benjamin Franklin said, nasty, nasty, nasty people that think all of us
[01:22:54.065 --> 01:22:56.746]  Are stupid, but we're not stupid.
[01:22:56.746 --> 01:22:57.646]  And we're coming together.
[01:22:57.646 --> 01:23:00.047]  And we're waking up.
[01:23:00.047 --> 01:23:02.747]  I want to hit the latest COVID tyranny news.
[01:23:02.747 --> 01:23:06.649]  It's really their centerpiece of their takeover.
[01:23:06.649 --> 01:23:10.930]  But first, let's look at it from the angle of control.
[01:23:10.930 --> 01:23:18.372]  And then next segment, I'm going to get into a big article that's up on InfoWars.com.
[01:23:19.721 --> 01:23:24.943]  Dealing with how the globalists plan to use drones to control us.
[01:23:36.590 --> 01:23:42.096]  Infowars.com, QR code, Chinese drone, headline, there it is.
[01:23:42.096 --> 01:23:48.522]  Video, Chinese drone, barks orders and demands QR code scan at checkpoint.
[01:23:48.522 --> 01:23:53.927]  All those the QR code isn't approved are taken away to COVID facilities, which are really death camps.
[01:23:54.676 --> 01:24:03.760]  It's the same run by the UN all over the world, the same beta tests, the same training wheels to get you ready for this system.
[01:24:03.760 --> 01:24:05.941]  And it's not coming, it's here.
[01:24:05.941 --> 01:24:09.363]  So I'm going to be hitting that next segment.
[01:24:09.363 --> 01:24:12.084]  But first, let's hit the Holy Grail.
[01:24:12.084 --> 01:24:13.165]  Why in Canada?
[01:24:13.165 --> 01:24:15.526]  Why in blue cities in the US?
[01:24:15.526 --> 01:24:16.427]  Why in Australia?
[01:24:16.427 --> 01:24:17.607]  Why in New Zealand?
[01:24:17.607 --> 01:24:18.508]  Why in the UK?
[01:24:18.508 --> 01:24:19.148]  Why in Europe?
[01:24:20.282 --> 01:24:26.826]  Do they roll out the exact same program of QR codes to order food, or get on a train or a bus, or any of this?
[01:24:26.826 --> 01:24:34.091]  They're training you for a digital world ID that Bill Gates and the UN are funding.
[01:24:34.091 --> 01:24:49.002]  And in China, they've gone through every major city in the country and done month after month of lockdowns, sometimes six months of lockdowns, where you can't leave your house and people jump out of buildings and commit suicide until you submit when you come back out of your cave
[01:24:49.827 --> 01:24:59.011]  To scan your phone with QR codes to get on a bus, a train, to go in a restaurant, to go in a grocery store, to go anywhere.
[01:24:59.011 --> 01:25:09.176]  And now in China, if you're walking down the street, a drone flies up and says, present your phone with your QR code.
[01:25:09.176 --> 01:25:18.460]  If it doesn't match, you are to get on your knees and the police come or the drone armed with a machine gun kills you.
[01:25:20.063 --> 01:25:23.464]  Or it drops a little robot dog.
[01:25:23.464 --> 01:25:25.664]  I'm going to show you footage of this next segment.
[01:25:25.664 --> 01:25:31.866]  It drops a robot dog with a machine gun that kills you.
[01:25:31.866 --> 01:25:39.507]  I told you 20 years ago this was coming from white papers and documents we read on air that have been leaked and declassified.
[01:25:39.507 --> 01:25:40.868]  And now it's here.
[01:25:40.868 --> 01:25:42.368]  So when you see this, you understand what it's about.
[01:25:42.368 --> 01:25:44.608]  It's slave training.
[01:25:44.608 --> 01:25:46.349]  After you're locked up for two, three, four months,
[01:25:47.571 --> 01:25:55.013]  You'll be happy to come out and now scan to go to the store, scan to walk to your job, scan to go to the park.
[01:25:55.013 --> 01:26:03.516]  And again, if you don't submit, a drone drops a robot dog with a machine gun and it kills you.
[01:26:03.516 --> 01:26:06.277]  And this is all being announced.
[01:26:06.277 --> 01:26:13.819]  On screen is a drone in China, put up with the government, dropping a robot dog with a drum fed
[01:26:17.651 --> 01:26:19.512]  Machine gun.
[01:26:19.512 --> 01:26:20.473]  All right.
[01:26:20.473 --> 01:26:21.473]  This isn't a movie.
[01:26:21.473 --> 01:26:22.734]  This is reality.
[01:26:22.734 --> 01:26:26.156]  This is the year 2022 and the AI global takeover.
[01:26:26.156 --> 01:26:27.818]  And China's a laboratory.
[01:26:27.818 --> 01:26:29.118]  America's a laboratory.
[01:26:29.118 --> 01:26:32.040]  We're all in different laboratories testing this robot.
[01:26:32.040 --> 01:26:40.966]  So Wuhan plunged back into lockdown almost three years after first COVID case with 800,000 in quarantine amid spiking cases.
[01:26:42.930 --> 01:26:48.875]  But China, all total, has 200 million in lockdown right now.
[01:26:48.875 --> 01:26:50.796]  Now, what's really behind it?
[01:26:50.796 --> 01:26:53.918]  Canada launched digital ID together with the World Economic Forum.
[01:26:53.918 --> 01:26:56.400]  The initiative removes the need for physical passports.
[01:26:56.400 --> 01:27:02.405]  It can also be used to combine vaccine passports and will fit well with the CBDC social credit score.
[01:27:03.658 --> 01:27:11.927]  All for your safety, of course, and that is the Canadian Broadcasting Company reporting all of that.
[01:27:11.927 --> 01:27:13.089]  Here's another one.
[01:27:13.089 --> 01:27:20.317]  Rishi Sundak, the new Prime Minister, owns a social credit score company, partially owned by the World Economic Forum.
[01:27:21.400 --> 01:27:29.227]  And he's announced QR codes to buy and sell, and a carbon tax officially as his first act in office.
[01:27:29.227 --> 01:27:35.913]  Another clip of Yuval Noah Harari, advisor for the WAF, saying, total biometric surveillance.
[01:27:35.913 --> 01:27:41.399]  We need not just to monitor people, we need to monitor what is happening under the skin.
[01:27:41.399 --> 01:27:44.982]  Corporations and governments are collecting data, where we go, who we meet.
[01:27:46.255 --> 01:27:50.156]  We will inject you with nanotech and control you.
[01:27:50.156 --> 01:27:55.418]  And all these fools are collaborators going along with this.
[01:27:55.418 --> 01:28:00.120]  So the lockdowns are all dog training to get you ready.
[01:28:00.120 --> 01:28:05.022]  And the tip of the spear of tyranny is Communist China and globalist control by the
[01:28:06.038 --> 01:28:10.460]  King Charles III is an exterminist, a eugenicist, a depopulationist.
[01:28:10.460 --> 01:28:13.921]  He'd make Hitler blush in Australia, New Zealand, and Canada.
[01:28:13.921 --> 01:28:15.782]  They're rolling it all out.
[01:28:15.782 --> 01:28:30.308]  So what you see in China and what you see in Australia and Canada is their admitted plan for you with the UN and the WF in control of the New World ID coming out with the ADL in charge.
[01:28:30.988 --> 01:28:32.589]  Saying, you don't have a job.
[01:28:32.589 --> 01:28:35.491]  You don't, you don't, you don't have a credit card.
[01:28:35.491 --> 01:28:39.334]  You, you're going to go to a forced labor camp, the ADL says.
[01:28:39.334 --> 01:28:40.435]  A literal gulag.
[01:28:40.435 --> 01:28:41.435]  A death camp.
[01:28:41.435 --> 01:28:44.237]  The ADL's setting up death camps.
[01:28:44.237 --> 01:28:46.839]  Death camps for you and your family and they love it.
[01:28:46.839 --> 01:28:48.760]  And they'll put you in them.
[01:28:48.760 --> 01:28:49.661]  Think about that.
[01:28:49.661 --> 01:28:51.342]  My God.
[01:28:51.342 --> 01:28:52.223]  We'll be right back.
[01:28:52.223 --> 01:28:52.763]  Stay with us.
[01:28:52.763 --> 01:28:53.484]  InfoWars.com.
[01:29:00.545 --> 01:29:04.806]  I've been in a 28-year marathon battle with the globalists.
[01:29:04.806 --> 01:29:11.208]  I have come from nowhere, to the very heights of politics, not just in America, but in the world.
[01:29:11.208 --> 01:29:16.330]  We are engaging the globalists at point-blank range in the information war.
[01:29:16.330 --> 01:29:18.050]  But I don't deserve the credit.
[01:29:18.050 --> 01:29:24.472]  Yes, I've persevered, but the listeners and viewers who support Infowars are the real reason we've had this success.
[01:29:25.192 --> 01:29:30.637]  We're having now the greatest victories in the fight against the New World Order we've ever had.
[01:29:30.637 --> 01:29:34.780]  We are now entering the final mile of the marathon.
[01:29:34.780 --> 01:29:44.128]  And that's why, today, it's more important than ever to realize how important you've been in this fight and to continue in the efforts you've been carrying out and to intensify them.
[01:29:44.128 --> 01:29:45.549]  God bless you all.
[01:29:45.549 --> 01:29:46.570]  I salute you.
[01:29:46.570 --> 01:29:47.511]  I thank you.
[01:29:47.511 --> 01:29:53.416]  And I beg you to intensify what you're doing now because we are over the target and history is happening.
[01:29:53.697 --> 01:29:55.000]  The fight is my fight.
[01:29:55.000 --> 01:29:55.642]  It's your fight.
[01:29:55.642 --> 01:29:56.404]  It's our fight.
[01:29:56.404 --> 01:29:57.206]  God bless you all.
[01:30:01.258 --> 01:30:03.079]  X3.
[01:30:03.079 --> 01:30:06.020]  It stands for tri-iodine.
[01:30:06.020 --> 01:30:11.863]  All three types of iodine that the body needs to be healthy and survive and thrive.
[01:30:11.863 --> 01:30:16.285]  It boosts your libido, your energy, your stamina, your immune system.
[01:30:16.285 --> 01:30:19.666]  X3 is the ultimate iodine product on the market.
[01:30:19.666 --> 01:30:25.529]  It's back in stock at Infowarshore.com for 50% off and it funds the InfoWar.
[01:30:26.529 --> 01:30:28.630]  So many of you are on the fence.
[01:30:28.630 --> 01:30:30.030]  You know our information is powerful.
[01:30:30.030 --> 01:30:31.310]  You know it's changed the world.
[01:30:31.310 --> 01:30:40.073]  Try the products at InfoWarsTore.com and start with X3 Tri-Iodine.
[01:30:40.073 --> 01:30:42.354]  50% off InfoWarsTore.com.
[01:30:42.354 --> 01:30:44.374]  It takes about two weeks to kick in.
[01:30:44.374 --> 01:30:47.955]  An aspirin kicks in in 30 minutes, Tylenol kicks in 30 minutes.
[01:30:47.955 --> 01:30:50.676]  This kicks in in about two weeks on average.
[01:30:50.676 --> 01:30:52.457]  You need to experience it.
[01:30:52.457 --> 01:30:52.937]  Don't wait.
[01:30:53.766 --> 01:30:54.887]  You'll be impressed.
[01:30:54.887 --> 01:30:56.448]  Infowarstore.com.
[01:30:56.448 --> 01:30:58.330]  X3.
[01:30:58.330 --> 01:31:09.660]  Once a tragedy reaches a level of national significance, American citizens should be allowed to basically question that event in any way that they deem fit.
[01:31:09.660 --> 01:31:11.562]  The First Amendment is unique in the world.
[01:31:11.562 --> 01:31:13.003]  That's what they want to take away.
[01:31:13.003 --> 01:31:14.525]  Your ability to speak freely.
[01:31:14.525 --> 01:31:16.226]  So they're going to go for Mike Lindell next?
[01:31:16.226 --> 01:31:17.507]  Or are they going to go for Steve Bannon?
[01:31:17.507 --> 01:31:18.909]  Or are they going to go for Tucker Carlson?
[01:31:19.329 --> 01:31:24.173]  I studied the globalists 30 years ago, but on air 28 years, and I knew they were planning all of this.
[01:31:24.173 --> 01:31:26.556]  And I warned the public, as the modern Paul Revere.
[01:31:26.556 --> 01:31:28.577]  But I couldn't have done it without your support.
[01:31:28.577 --> 01:31:35.524]  And now, because we've been so successful warning the population of the planet about East America, we're public enemy number one when it comes to globalists' agenda.
[01:31:36.164 --> 01:31:41.550]  That's why it's more important than ever to realize how successful InfoWars has been because of your past support.
[01:31:41.550 --> 01:31:50.500]  So I salute you and I thank you and I ask you now, at the critical juncture of the battle, to redouble your efforts by visiting InfoWarsStore.com and getting amazing products that keep us on air.
[01:31:50.500 --> 01:31:52.843]  1776 is the promo code.
[01:31:52.843 --> 01:31:56.768]  The destination is InfoWarsStore.com and I thank you all for your support.
[01:31:58.146 --> 01:32:01.627]  Everybody says they want people to stand up and fight tyranny.
[01:32:01.627 --> 01:32:04.768]  But when you fight tyranny, the new world order comes after you.
[01:32:04.768 --> 01:32:06.388]  Now, I knew that.
[01:32:06.388 --> 01:32:10.609]  And for 28 years, I've been on air exposing these people, and together we've had a great effect.
[01:32:10.609 --> 01:32:13.110]  But listen, they're coming after us right now.
[01:32:13.110 --> 01:32:17.391]  They're trying to shut us down, but they can't beat the power of we the people, of you and I together.
[01:32:17.911 --> 01:32:25.278]  So please visit InfoWarsTore.com and get incredible game-changing products while at the same time keeping us on air.
[01:32:25.278 --> 01:32:29.342]  We have the biggest sale of the year running right now at InfoWarsTore.com.
[01:32:29.342 --> 01:32:34.067]  You get an additional 10% off on the deals that are at least 40% off.
[01:32:34.067 --> 01:32:39.372]  Many are 50% off on Vitamin Refusion, X3, DNA Force Plus, you name it.
[01:32:39.372 --> 01:32:40.273]  So on top of 50% off,
[01:32:41.638 --> 01:32:45.099]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[01:33:10.000 --> 01:33:12.281]  Waging war on corruption.
[01:33:12.281 --> 01:33:14.462]  It's Alex Jones.
[01:33:38.280 --> 01:33:54.250]  So, when you look back, the last two and a half years of this total tyranny takeover, and we see all the people that believed blindly in these shots, and now even Ben Shapiro comes out and says, I was lied to!
[01:33:54.250 --> 01:33:54.910]  I'm angry!
[01:33:54.910 --> 01:33:55.711]  I took two shots!
[01:33:55.711 --> 01:33:56.571]  My wife took three!
[01:33:56.571 --> 01:33:57.932]  I was lied to!
[01:33:57.932 --> 01:33:58.773]  It didn't protect me!
[01:33:58.773 --> 01:34:00.314]  It didn't just not protect you!
[01:34:01.690 --> 01:34:11.295]  And you didn't just attack people that refused to take the shot and say we were evil, but it erases your immune system and causes massive blood clots.
[01:34:11.295 --> 01:34:13.657]  But you went with the establishment.
[01:34:13.657 --> 01:34:21.121]  And now I notice the talking point is take Alex Jones off the air, keep him off the air, to keep Donald Trump from being able to communicate.
[01:34:21.121 --> 01:34:24.523]  But oh, let's get Ben Shapiro now, they're saying, because you, Ben,
[01:34:27.113 --> 01:34:38.181]  You are a bootlicking establishment worm, and you thought you'd be protected and you'd be left as the vestigial controller of conservatives, but they don't want anybody having any influence but them, so now they're coming after you.
[01:34:39.844 --> 01:34:43.647]  I could air hours of this, but remember two years ago when the Poison Shots started?
[01:34:43.647 --> 01:34:49.872]  All the celebration and how they were cool and how they were winners?
[01:34:49.872 --> 01:34:50.592]  97% efficacy!
[01:34:50.592 --> 01:35:00.720]  Then it was 80% and 70% and 67% and oh actually it triples your chances of getting it and doubles your chances of dying and on and on and on.
[01:35:00.720 --> 01:35:01.981]  We've got some new numbers on that.
[01:35:01.981 --> 01:35:09.447]  Let's play a few clips of these very sad, empty souls who believe they finally attained their heart.
[01:35:11.204 --> 01:35:15.868]  You know, like the Wizard of Oz.
[01:35:15.868 --> 01:35:23.775]  Or they finally attained their physical body, like Pinocchio, finally a real boy.
[01:35:23.775 --> 01:35:24.195]  Here they are.
[01:35:24.195 --> 01:35:29.640]  I didn't post when I got vaccinated, so technically I didn't get vaccinated.
[01:35:29.640 --> 01:35:32.202]  So I just wanted to tell everyone I am vaccinated.
[01:35:32.202 --> 01:35:36.386]  Here you go.
[01:35:38.757 --> 01:35:39.758]  Vaccination card.
[01:35:39.758 --> 01:35:40.258]  What am I?
[01:35:40.258 --> 01:35:41.519]  What did I get?
[01:35:41.519 --> 01:35:43.901]  I got Pfizer!
[01:35:43.901 --> 01:35:47.744]  I'm a Pfizer girl, and here's my little pin that I got.
[01:35:47.744 --> 01:35:53.989]  So... Here we go!
[01:35:53.989 --> 01:35:59.994]  I'm officially vaccinated!
[01:35:59.994 --> 01:36:04.798]  This girl is on Pfizer!
[01:36:04.798 --> 01:36:07.320]  This girl is on Pfizer!
[01:36:21.890 --> 01:36:28.774]  So the average leftist doesn't just love surveillance and tyranny and war and nuclear war and censorship.
[01:36:28.774 --> 01:36:35.178]  Now they love Big Pharma and the most corrupt pharma company in history, and that's saying a lot, on record, Pfizer.
[01:36:37.489 --> 01:36:40.510]  And that's the sick dichotomy, as you can argue, like the Globals do.
[01:36:40.510 --> 01:36:42.270]  Well, they deserve to die.
[01:36:42.270 --> 01:36:43.071]  We're doing you a favor.
[01:36:43.071 --> 01:36:45.211]  We're getting rid of the dumb people.
[01:36:45.211 --> 01:36:46.872]  Yeah, but you're targeting us, too.
[01:36:46.872 --> 01:36:49.152]  And it's wrong to do that to these people.
[01:36:49.152 --> 01:36:50.473]  But that's the attitude of Bill Gates.
[01:36:50.473 --> 01:36:52.313]  These people deserve to die.
[01:36:52.313 --> 01:36:54.694]  I don't agree with him.
[01:36:54.694 --> 01:36:56.935]  But imagine, Gates knows his target audience.
[01:36:56.935 --> 01:36:59.095]  He knows who he's going after.
[01:36:59.095 --> 01:37:04.197]  Understand, once they've done the voluntary people, they want to make it mandatory, which they're already pushing.
[01:37:06.263 --> 01:37:08.244]  And Bill Gates hedged his bets two years ago.
[01:37:08.244 --> 01:37:09.624]  He said, we don't know if this will work.
[01:37:09.624 --> 01:37:11.604]  It's experimental.
[01:37:11.604 --> 01:37:19.086]  But if you saw the ads of the US and Australia and all over the world, it was, hey, the virus caused the lockdown, but let's beat the virus.
[01:37:19.086 --> 01:37:19.746]  Take the shot.
[01:37:19.746 --> 01:37:22.487]  You can go back to your regular life.
[01:37:22.487 --> 01:37:24.688]  But they were the ones that shut down the regular life.
[01:37:24.688 --> 01:37:26.988]  Locking people down didn't protect people from a virus.
[01:37:26.988 --> 01:37:29.149]  They cooked up in a lab.
[01:37:29.149 --> 01:37:29.749]  So here's a clip.
[01:37:31.508 --> 01:37:37.197]  An Australian government-funded poison shot masquerading as a vaccine commercial.
[01:37:37.197 --> 01:37:37.557]  Here it is.
[01:37:38.447 --> 01:37:41.250]  COVID has affected each and every one of us.
[01:37:41.250 --> 01:37:44.613]  But now we have a shot to get our lives back to normal.
[01:37:44.613 --> 01:37:47.616]  This is our shot to protect our communities.
[01:37:47.616 --> 01:37:49.818]  This is our shot to keep our borders open.
[01:37:49.818 --> 01:37:51.660]  To explore the world again.
[01:37:51.660 --> 01:37:55.003]  To welcome friends back to our shores.
[01:37:55.003 --> 01:37:57.946]  Our shot to get back out there and amongst it.
[01:37:57.946 --> 01:38:00.209]  Our shot to keep the crowds coming.
[01:38:00.209 --> 01:38:01.650]  To fight this thing for good.
[01:38:01.650 --> 01:38:02.411]  To tackle it head on.
[01:38:02.771 --> 01:38:04.633]  To keep live music alive.
[01:38:04.633 --> 01:38:07.296]  This is our shot to look out for each other.
[01:38:07.296 --> 01:38:08.817]  To keep businesses open.
[01:38:08.817 --> 01:38:10.259]  To keep people in jobs.
[01:38:10.259 --> 01:38:11.941]  To keep healthy and safe.
[01:38:11.941 --> 01:38:16.786]  This is our shot to say goodbye to quarantine and to bring Australians home.
[01:38:16.786 --> 01:38:19.448]  Our shot to get everyone together for Christmas.
[01:38:19.448 --> 01:38:20.269]  This is our shot.
[01:38:21.130 --> 01:38:22.411]  To help save lives.
[01:38:22.411 --> 01:38:24.533]  This is our shot.
[01:38:24.533 --> 01:38:25.313]  Our shot.
[01:38:25.313 --> 01:38:26.234]  Our shot.
[01:38:26.234 --> 01:38:27.174]  This is our shot.
[01:38:27.174 --> 01:38:28.355]  I've had my shot.
[01:38:28.355 --> 01:38:29.396]  This is my shot.
[01:38:29.396 --> 01:38:30.377]  This is my shot.
[01:38:30.377 --> 01:38:31.478]  This is my shot.
[01:38:31.478 --> 01:38:34.179]  Come on Australia, let's get the job done.
[01:38:34.179 --> 01:38:37.202]  Start a conversation with your doctor about your shot.
[01:38:38.365 --> 01:38:39.666]  Come on, Australia!
[01:38:39.666 --> 01:38:41.506]  Let's get that job done!
[01:38:41.506 --> 01:38:42.747]  Let's get that blood clot.
[01:38:42.747 --> 01:38:44.087]  Let's get sterilized.
[01:38:44.087 --> 01:38:45.508]  Let's get that cancer.
[01:38:45.508 --> 01:38:51.391]  And once we get old value to sign on, people start dying, people will be part of the cover-up, and now we've fully corrupted them.
[01:38:51.391 --> 01:38:56.293]  Let's do it, Australia!
[01:38:56.293 --> 01:38:58.153]  They don't want you watching those clips now.
[01:38:58.153 --> 01:39:01.555]  They want you to move on from the last attack.
[01:39:01.555 --> 01:39:03.276]  Forget about it.
[01:39:03.276 --> 01:39:06.177]  So they can hit you with the next attack.
[01:39:08.524 --> 01:39:28.286]  And we've got all these clips of world leaders saying, if you take the shot, you're protected, 100%, don't believe the conspiracy theorists, and now you're more likely to get sick, more likely to be hospitalized, more likely to die, on purpose, because the shot gives you, at a much worse level, what COVID does, which I told you almost three years ago with top experts.
[01:39:30.469 --> 01:39:35.292]  But they've got all these media whores they pay to go out and tell you how great it is.
[01:39:35.292 --> 01:39:38.914]  And most of them are getting sugar water shots or saline shots.
[01:39:38.914 --> 01:39:40.515]  But a lot of them aren't and they're dying.
[01:39:40.515 --> 01:39:42.536]  And the numbers are there.
[01:39:42.536 --> 01:39:49.519]  But they feel like they're part of the establishment so they'd probably do it all over again.
[01:39:49.519 --> 01:39:59.165]  So there's one lesson we can take away from this crisis is that the head of the WEF should be arrested and all their different minions they put in political positions of power should be removed.
[01:40:00.253 --> 01:40:05.520]  Here's Klaus Schwab two years ago telling you, take this shot, you will be protected.
[01:40:05.520 --> 01:40:05.841]  Here it is.
[01:40:07.614 --> 01:40:15.461]  I think one lesson which we take out of this crisis is this notion of mutual interdependence.
[01:40:15.461 --> 01:40:22.186]  Because even as individuals, we had to take care not to infect someone else and not to be infected.
[01:40:22.186 --> 01:40:25.809]  It's the same we have to apply now on a global level.
[01:40:25.809 --> 01:40:32.075]  As long as not everybody is vaccinated, nobody will be safe.
[01:40:32.075 --> 01:40:35.538]  You know, I know it's in Chinese, it's in Mandarin, but let's just play
[01:40:36.894 --> 01:40:39.436]  Back to back for TV and radio listeners.
[01:40:39.436 --> 01:40:42.017]  Drones at checkpoints where you've got it in your car.
[01:40:42.017 --> 01:40:43.778]  Put your phone out and scan it.
[01:40:43.778 --> 01:40:46.100]  And if it says stop, they put you in a camp.
[01:40:46.100 --> 01:40:46.920]  If not, you go on.
[01:40:46.920 --> 01:40:53.144]  Whether you're in Australia or the US, whether you're in New Zealand or China, they've built the FEMA camps.
[01:40:53.724 --> 01:41:07.016]  And this is all just beta testing that folks just disappear if the QR code says you've got a problem at the bus station, or the train station, or the subway, or the airport, or walking down the street, just, oh, where'd Bob go?
[01:41:07.016 --> 01:41:10.219]  Well, his QR code said he had something.
[01:41:10.219 --> 01:41:16.204]  It's all fraudulent PCR test to begin with, but, oh, now your QR code says it.
[01:41:16.204 --> 01:41:19.927]  So play clip 16.
[01:41:21.977 --> 01:41:30.482]  And then play back-to-back all the other China tyranny clips.
[01:41:30.482 --> 01:41:32.884]  Because this is important.
[01:41:32.884 --> 01:41:33.724]  And there are a lot of these.
[01:41:34.761 --> 01:41:39.583]  So play clip 16 and the way I sent them to you.
[01:41:39.583 --> 01:41:41.744]  Then it's clip 28, 29, 30, 31 and more.
[01:41:41.744 --> 01:41:43.845]  Just play all the China clips.
[01:41:43.845 --> 01:41:45.266]  These are real clips.
[01:41:45.266 --> 01:41:50.748]  Attack drones dropping robots from the air with machine guns.
[01:41:50.748 --> 01:41:52.429]  Checkpoints.
[01:41:52.429 --> 01:41:54.730]  Scanning the system to get on a train.
[01:41:54.730 --> 01:41:55.390]  All of it.
[01:41:55.390 --> 01:41:56.671]  This is the system.
[01:41:56.671 --> 01:41:57.751]  It's not coming.
[01:41:57.751 --> 01:41:58.192]  It's here.
[01:41:58.192 --> 01:41:58.552]  Here it is.
[01:42:04.003 --> 01:42:21.867]  You know, hit pause, hit pause.
[01:42:21.867 --> 01:42:24.208]  Let's start over on the narrative as we come back.
[01:42:24.208 --> 01:42:26.488]  Train stations, bus stations, highways.
[01:42:26.488 --> 01:42:28.829]  Drones flying over you, hanging a banner.
[01:42:28.829 --> 01:42:29.529]  You scan it.
[01:42:30.410 --> 01:42:35.214]  And it decides whether you can go forward or not, if not, it directs you to a camp.
[01:42:35.214 --> 01:42:36.415]  And then where'd Ching go?
[01:42:36.415 --> 01:42:38.377]  You know, where'd Jones go?
[01:42:38.377 --> 01:42:43.062]  Where'd, uh, where'd Ramirez go?
[01:42:43.062 --> 01:42:43.802]  Oh, we don't know.
[01:42:43.802 --> 01:42:46.284]  They just got sent and they died of COVID.
