[00:00:00.869 --> 00:00:06.991]  I am really honored to have Michael Bagnerik in studio with us for several reasons.
[01:09:52.748 --> 01:09:56.312]  If my constituents tell me that they're concerned about that, yes, I'll bring it up.
[01:09:56.312 --> 01:10:01.218]  Maybe you could start a committee up there and call the people in.
[01:10:01.218 --> 01:10:04.082]  It could be, have you ever or are you ever involved in 9-11?
[01:10:04.082 --> 01:10:10.649]  Yeah, but what I'm really trying to do is just get the base support from, you know... I understand.
[01:10:10.649 --> 01:10:11.651]  You're trying to get step one.
[01:10:11.651 --> 01:10:12.291]  You're trying to win.
[01:10:13.490 --> 01:10:14.531]  I mean, look, it's like Ron Paul.
[01:10:14.531 --> 01:10:28.200]  I've got him here on the show, and he'll say everything up to that point, and he won't say that, because they've already had TV ads with his head floating around Jupiter, saying, he's from outer space, he's a... Just wink at me, and you know it's true.
[01:10:28.200 --> 01:10:29.060]  Oh, we got him!
[01:10:29.060 --> 01:10:31.642]  All right.
[01:10:31.642 --> 01:10:33.703]  We'll be right back, folks.
[01:10:33.703 --> 01:10:35.745]  Listen, do one more five-minute segment with me.
[01:10:35.745 --> 01:10:38.347]  I know you've got to go, but one more, because I've got a few more calls here for you.
[01:10:38.347 --> 01:10:38.687]  Stay with us.
[01:10:41.391 --> 01:10:46.214]  Did you know that heart disease is the number one killer of men and women in the United States?
[01:10:46.214 --> 01:10:55.721]  In fact, the National Cholesterol Education Program has reported that each year more than a million Americans have heart attacks and about a half a million die from heart disease.
[01:10:55.721 --> 01:11:01.685]  Did you also know that the higher your blood cholesterol level, the greater your risk for developing heart disease or having a heart attack?
[01:11:02.285 --> 01:11:21.629]  At ResearchedHerbs.com, we are aware of the controversies surrounding the presumed safety of statin drugs in lowering cholesterol, which is why, as part of our ongoing commitment to your safety and health, we invite you to learn more about Google by Himalaya, a highly effective and extremely safe natural herbal supplement, widely recognized for its cholesterol-regulating properties.
[01:11:22.089 --> 01:11:28.490]  At ResearchedHerbs.com, we work hard to empower you with the resources you need to make informed health decisions.
[01:11:28.490 --> 01:11:32.091]  Visit us online at ResearchedHerbs.com or call 1-800-845-3841 for more information.
[01:11:32.091 --> 01:11:32.411]  That's 1-800-845-3841.
[01:11:32.411 --> 01:11:33.371]  Currency devaluation, inflation.
[01:11:33.371 --> 01:11:34.091]  One and the same.
[01:11:50.134 --> 01:11:54.135]  If you had deposited $100,000 in a bank at 1% in a 30-month period dating from May 24, 2005, here is what happened to your funds.
[01:11:54.135 --> 01:11:56.215]  The dollar lost 33% of its value in that time frame.
[01:11:56.215 --> 01:11:56.756]  The bank paid you 1%.
[01:11:56.756 --> 01:11:58.536]  Your $100,000 now has a net purchasing power of $68,000.
[01:11:58.536 --> 01:11:59.016]  Here is reality.
[01:11:59.016 --> 01:12:01.057]  The devaluation of currency equals real inflation.
[01:12:15.880 --> 01:12:20.104]  Keep in mind how the value of your paper assets are measured in dollars.
[01:12:20.104 --> 01:12:24.307]  Gold in the same time frame increased 35% in value.
[01:12:24.307 --> 01:12:28.030]  Learn how to protect and profit in this truly unstable world economy.
[01:12:28.030 --> 01:12:29.892]  Call Midas Resources at 1-800-686-2237.
[01:12:29.892 --> 01:12:30.132]  That's 1-800-686-2237.
[01:12:40.831 --> 01:12:49.337]  Hello folks, Alex Jones here introducing Prudent Places USA, an interactive CD book that is your premier resource for hard-to-find information.
[01:12:49.337 --> 01:12:59.404]  Find out about everything from job migration to evacuation information, such as major bridges in disrepair and FEMA evacuation time studies for coastal cities.
[01:12:59.884 --> 01:13:05.948]  Zero in on man-made disaster zones, environmental areas of concern, and natural disaster zones.
[01:13:05.948 --> 01:13:10.612]  Find out everything from where to get water in an emergency to geographic income levels.
[01:13:10.612 --> 01:13:16.836]  Housing prices complete with over 3 gigabytes of detailed information on the 3,000 plus counties in the U.S.
[01:13:16.836 --> 01:13:23.601]  Full-color photographs, 550 high-resolution full-color maps, and detailed information and analysis that you need.
[01:13:23.601 --> 01:13:28.945]  Order Prudent Places USA now for only $29 plus shipping by calling New Millennium at
[01:13:28.985 --> 01:13:30.086]  You don't love me anymore?
[01:13:30.086 --> 01:13:31.486]  You used to take such good care of me.
[01:13:31.486 --> 01:13:32.767]  Is that my car talking to me?
[01:13:32.767 --> 01:13:32.987]  Yes.
[01:13:32.987 --> 01:13:33.767]  You neglect me.
[01:13:33.767 --> 01:13:35.408]  Change my oil late most of the time.
[01:13:35.408 --> 01:13:36.609]  Use the cheapest gas.
[01:13:36.609 --> 01:13:37.770]  I'm getting sick.
[01:13:37.770 --> 01:13:40.791]  One of these days, I'm just gonna give up.
[01:13:56.300 --> 01:13:56.880]  Wait a minute.
[01:13:56.880 --> 01:13:58.482]  I've got three more years of payments on you.
[01:13:58.482 --> 01:14:07.755]  If you want me to last forever, you need to add protect to engine treatment, protect to transmission treatment, and especially protect to complete fuel system treatment.
[01:14:07.755 --> 01:14:09.857]  Protect his unique synthetic fortifiers.
[01:14:09.857 --> 01:14:13.182]  Treat the metal and the oil to reduce friction like no other.
[01:14:13.442 --> 01:14:15.984]  Okay, I'll add some Protecta, but you'll have to perform.
[01:14:15.984 --> 01:14:18.185]  How about faster acceleration?
[01:14:18.185 --> 01:14:19.566]  More horsepower?
[01:14:19.566 --> 01:14:20.887]  Longer lasting?
[01:14:20.887 --> 01:14:22.728]  I'll always be there for you.
[01:14:22.728 --> 01:14:26.231]  So if you want more, treat it right with Protecta by SFR.
[01:14:26.231 --> 01:14:30.073]  For a special offer of free shipping, go to www.sfrcorp.com or call 888-USE-SFR1.
[01:14:30.073 --> 01:14:31.975]  That's www.sfrcorp.com or call 888-USE-SFR1.
[01:14:52.555 --> 01:14:58.862]  All right, I'm going to get into Building 7 and I'm going to the new developments there, big developments, and a bunch of other news.
[01:14:58.862 --> 01:15:00.924]  In the last 30 minutes, we won't even take calls.
[01:15:00.924 --> 01:15:04.607]  Well, I might take a few that have been holding, but there's a lot coming up.
[01:15:04.607 --> 01:15:06.990]  But we've kept Michael Bagnerik for one more segment.
[01:15:06.990 --> 01:15:08.071]  We really appreciate him.
[01:15:08.071 --> 01:15:10.033]  And I've been cornering him during the breaks.
[01:15:10.715 --> 01:15:13.940]  I was just talking to his campaign manager saying, I'm telling you, toll roads.
[01:15:13.940 --> 01:15:16.443]  And obviously he's against them, you heard that in the last hour.
[01:15:16.443 --> 01:15:18.947]  But toll roads, toll roads, toll roads.
[01:15:18.947 --> 01:15:24.895]  And the campaign manager was telling me about our good friend Jimmy Vaughn, who's a great friend of the show and a great American who's been fighting it.
[01:15:24.895 --> 01:15:26.958]  You know, the toll roads are even going to take part of his ranch.
[01:15:27.618 --> 01:15:32.603]  And, you know, he was telling me how Jimmy was giving him this hour-long tour of Corridor Watch and Stahl's campaign.
[01:15:32.603 --> 01:15:34.845]  I think you guys need to link up, man.
[01:15:34.845 --> 01:15:41.792]  I mean, I understand you're for the whole Constitution, but I think, I mean, you talk about contributions, support, my two cents.
[01:15:41.792 --> 01:15:47.077]  And I know you're saying you're going to do whatever your constituents are telling you they're most concerned about constitutionally.
[01:15:47.077 --> 01:15:50.120]  I mean, are you getting the feedback that the toll roads of the zeitgeist?
[01:15:50.120 --> 01:15:51.421]  We haven't gotten that feedback yet.
[01:15:51.601 --> 01:15:54.003]  We're going to be starting our... You're just starting or rolling?
[01:15:54.003 --> 01:15:54.683]  You're just rolling?
[01:15:54.683 --> 01:15:56.205]  Yeah, we've been building the infrastructure.
[01:15:56.205 --> 01:15:57.225]  We've got office space.
[01:15:57.225 --> 01:15:58.226]  We've got staff members.
[01:15:58.226 --> 01:15:59.507]  We've got bumper stickers.
[01:15:59.507 --> 01:16:00.048]  I know how it is.
[01:16:00.048 --> 01:16:01.189]  You've got to build the infrastructure.
[01:16:01.189 --> 01:16:03.010]  We've got the infrastructure built.
[01:16:03.010 --> 01:16:08.454]  I couldn't wait to come back from Christmas break to really get into the campaign.
[01:16:08.454 --> 01:16:09.755]  And now we've got 10 months.
[01:16:09.755 --> 01:16:12.137]  We've got, well, just, yeah, 10 months.
[01:16:12.137 --> 01:16:13.899]  We've been working really hard.
[01:16:13.899 --> 01:16:18.302]  My staff works about 10 to 12 hours a day, and this is early in the campaign.
[01:16:18.322 --> 01:16:21.884]  Well, just up front, I'm lobbying you, and you're going to get used to this when you're in Washington.
[01:16:21.884 --> 01:16:22.705]  I'm grabbing your hand.
[01:16:22.705 --> 01:16:23.606]  Give me your hand.
[01:16:23.606 --> 01:16:24.486]  Give me your hand.
[01:16:24.486 --> 01:16:26.608]  Now, Congressman, I just really need this done.
[01:16:26.608 --> 01:16:28.469]  Listen, I don't want those toll roads.
[01:16:28.469 --> 01:16:29.910]  I want the King of Spain kicked out of here.
[01:16:29.910 --> 01:16:31.491]  I want him kicked out of here.
[01:16:31.491 --> 01:16:32.632]  Alright, alright, that's good.
[01:16:32.632 --> 01:16:35.173]  Here, let me take a few calls here.
[01:16:35.173 --> 01:16:39.416]  Now, out of all these callers, who's up next for our guest?
[01:16:39.416 --> 01:16:41.417]  Tim in Florida, you're on the air, and then Andy.
[01:16:41.417 --> 01:16:43.279]  Go ahead, Tim, quickly, sir.
[01:16:43.279 --> 01:16:44.640]  Hey, great show, Alex.
[01:16:44.640 --> 01:16:47.762]  Mike, I want to ask you, are you an attorney?
[01:16:48.943 --> 01:16:50.304]  I am not an attorney.
[01:16:50.304 --> 01:16:51.685]  You've never been an attorney?
[01:16:51.685 --> 01:16:54.066]  I have no desire to be an attorney.
[01:16:54.066 --> 01:16:55.027]  Excellent, okay.
[01:16:55.027 --> 01:16:57.788]  Are you a member of the Square?
[01:16:57.788 --> 01:17:00.030]  He wants to know if you're a Mason.
[01:17:00.030 --> 01:17:02.851]  Oh, I didn't even know what he was talking about.
[01:17:02.851 --> 01:17:04.072]  No, I'm not a member of the...
[01:17:04.998 --> 01:17:08.299]  Have you ever been a member of the Communist Party?
[01:17:08.299 --> 01:17:09.099]  No.
[01:17:09.099 --> 01:17:11.119]  Have you ever been visited by aliens?
[01:17:11.119 --> 01:17:20.642]  Tooth fairies, leprechauns... I've been a Boy Scout, a Scoutmaster, an Advanced First Aid Instructor for the Red Cross, but I've never joined any.
[01:17:20.642 --> 01:17:24.002]  Hey, seriously, anything else, Tim?
[01:17:24.002 --> 01:17:25.703]  That's all I wanted to know.
[01:17:25.703 --> 01:17:26.563]  Well, I hope you'll support him.
[01:17:26.563 --> 01:17:27.163]  Are you going to support him?
[01:17:28.152 --> 01:17:29.893]  I don't vote because I'm not in the system.
[01:17:47.311 --> 01:17:48.132]  Is the way to go.
[01:17:48.132 --> 01:17:52.295]  It's like Private Joker is silly and he's ignorant, but he's got guts and guts is enough.
[01:17:52.295 --> 01:17:54.337]  Alright, let's go ahead, and that's me.
[01:17:54.337 --> 01:17:56.859]  Let's go ahead and talk to Andy in Washington.
[01:17:56.859 --> 01:17:58.440]  Andy, last caller for our guest, go ahead.
[01:17:58.440 --> 01:18:09.088]  Hi Alex, you definitely comment on the abuses of the police in this country, and I've been wanting to bring this up for you for a while, but it seems like a perfect time today considering your guest's constitutional background.
[01:18:09.088 --> 01:18:15.253]  I'm from Washington State and wanted to make a quick comment on the constitutionally protected right to bear arms.
[01:18:15.974 --> 01:18:31.117]  Um, in my state constitution article 1, which is our declaration of rights part section 24, it briefly states, the right to bear arms, the right of the individual citizen to bear arms in defense of himself or the state shall not be impaired, but nothing in this section shall be construed
[01:18:32.008 --> 01:18:44.066]  Yeah, that's because you're a territory, so you're one of the few states that doesn't have it, but under the federal law you do, and under organic law you do.
[01:18:44.066 --> 01:18:46.651]  And so, you know, you've got maximum rights.
[01:18:47.191 --> 01:18:51.595]  Well, and the point that I'm bringing up here, all police in this state work for corporations.
[01:18:51.595 --> 01:18:52.816]  Cities are incorporated.
[01:18:52.816 --> 01:18:57.760]  No, I know, their very law trying to restrict you from having a second amendment actually restricts them.
[01:18:57.760 --> 01:18:59.382]  Michael, do you want to comment on that?
[01:18:59.382 --> 01:19:00.383]  I agree.
[01:19:00.383 --> 01:19:07.189]  During the presidential campaign I was in Missouri and someone wanted me to confirm or deny that the Missouri Constitution
[01:19:08.570 --> 01:19:11.472]  allowed or didn't allow concealed carry weapons.
[01:19:11.472 --> 01:19:21.158]  I said, I don't know what the Missouri Constitution says, but if it tries to limit your right, then the Missouri Constitution is a violation of your rights and is unconstitutional.
[01:19:21.158 --> 01:19:24.800]  Yeah, see, they can't even change the Constitution and then declare that we don't have rights.
[01:19:24.800 --> 01:19:30.143]  In Article 9, in 10, it just keeps restating, no, you, it comes from you.
[01:19:30.143 --> 01:19:32.104]  We're just, we're just codifying it.
[01:19:32.104 --> 01:19:32.805]  Right.
[01:19:32.805 --> 01:19:34.766]  We can alter or abolish
[01:19:35.046 --> 01:19:37.149]  Any government which is in violation of our rights.
[01:19:37.149 --> 01:19:41.534]  So, you know... I mean, let's say Adolf Hitler beat America and took over.
[01:19:41.534 --> 01:19:46.240]  I would, you know, I'm sure our forefathers would have been fighting him from the fence rows.
[01:19:46.240 --> 01:19:51.746]  Just because it's government, you don't have to kneel down and go, oh, oh, oh, and start worshipping it.
[01:19:51.746 --> 01:19:52.087]  That's right.
[01:19:53.165 --> 01:19:59.290]  We need to use your individual thoughts and processes, understand that every individual has rights.
[01:19:59.290 --> 01:20:02.253]  You need to respect other people's rights and then depend on your own.
[01:20:02.253 --> 01:20:06.176]  And you need to get that, you're absolutely right about these cities.
[01:20:06.176 --> 01:20:12.121]  You have these incorporated cities that aren't even really lawful, now trying to absorb the counties that are supreme.
[01:20:12.945 --> 01:20:13.226]  Yes.
[01:20:13.226 --> 01:20:14.366]  And the Sheriff.
[01:20:14.366 --> 01:20:18.049]  Michael, we've got to get you back in here before the campaign ends in ten months.
[01:20:18.049 --> 01:20:20.191]  We'll be watching it, so will the rest of the country.
[01:20:20.191 --> 01:20:20.852]  Thanks for joining us.
[01:20:20.852 --> 01:20:21.812]  Thank you so much, Al.
[01:20:21.812 --> 01:20:22.133]  You bet.
[01:20:22.133 --> 01:20:27.357]  Michael Bagnerik, now running for Congress against Demon McCall in Place 10, deep in the heart of Texas.
[01:20:27.357 --> 01:20:30.619]  Stay with us.
[01:20:30.619 --> 01:20:32.001]  We're on the march.
[01:20:32.001 --> 01:20:34.523]  The Empire's on the run.
[01:20:34.523 --> 01:20:37.205]  Alex Jones and the GCN Radio Network.
