[00:00.000 --> 00:10.000]  Hello, this is Hank Hill, and I'm telling you what, you need to listen to Alex Jones.
[01:25:12.000 --> 01:25:18.000]  I tell you what, brother, you deserve to be there because it's the most beautiful thing I've ever seen.
[01:25:18.000 --> 01:25:22.000]  Well, the problem is I don't go out of fear in a lot of these things.
[01:25:22.000 --> 01:25:27.000]  I've been arrested quite a few times. I get really upset and now I'm so upset about all this.
[01:25:27.000 --> 01:25:31.000]  I just can't be around it anymore. I mean, I see some cop taser woman in the back for no reason.
[01:25:31.000 --> 01:25:37.000]  I mean, I just can't, I just, I have to, I have to run this operation, but I wish I'd have been there.
[01:25:37.000 --> 01:25:40.000]  But look, it doesn't matter. Look at David Knight. Look at you. Look at Josh.
[01:25:40.000 --> 01:25:45.000]  Look at old people there. We salute you. You are the future. You don't need Alex Jones.
[01:25:45.000 --> 01:25:50.000]  They could kill me tomorrow. They look, it's like the V for Vendetta ideas are bulletproof.
[01:25:50.000 --> 01:25:53.000]  And I'm telling you, we can beat these people.
[01:25:53.000 --> 01:25:56.000]  Absolutely. We did yesterday, brother.
[01:25:56.000 --> 01:26:00.000]  What was it like to watch them with their armored vehicles and helicopters pulling out and running?
[01:26:00.000 --> 01:26:04.000]  Cause they pointed guns and said, we're going to kill you and the people didn't care.
[01:26:04.000 --> 01:26:11.000]  That, that was so Mahatma Gandhi, but with the added guns at the side that once you pull the trigger though, bud, get ready.
[01:26:11.000 --> 01:26:17.000]  No, it was, it was Harry and look at the guys looking at us. I was watching the binoculars.
[01:26:17.000 --> 01:26:25.000]  I was waving at the guy with the sniper scope on me and I got to admit I wasn't using all my fingers when I was waving at him.
[01:26:25.000 --> 01:26:28.000]  And let me guess, it didn't scare you to have him aiming that gun at you.
[01:26:28.000 --> 01:26:33.000]  Cause I protested the Klan one time and they were aiming guns at me, the SWAT team in the parking garage.
[01:26:33.000 --> 01:26:38.000]  I laughed at him. It's like, when these cowards aim a gun at you and you've done nothing, it didn't scare you, did it?
[01:26:38.000 --> 01:26:47.000]  No, it didn't. And I was, I was so blown away at the bravery of the people and stuff like, this is the best I felt about America.
[01:26:47.000 --> 01:26:49.000]  This is America.
[01:26:49.000 --> 01:26:51.000]  That's right.
[01:26:51.000 --> 01:26:58.000]  Listen, we were special. The whole world said it. The most patents, the best trailblazers, the best fighters, the most courage.
[01:26:58.000 --> 01:27:06.000]  America was special and that's why the globalists came here and took us over and they've turned us into this fraud and it's time it stops now.
[01:27:06.000 --> 01:27:15.000]  The spirit can spread. The spirit can spread, my friend. I mean, I could feel it Friday. Friday, that's why I got so excited. I could feel it.
[01:27:15.000 --> 01:27:21.000]  I mean, listen, there's a lot of Providence here too. John Baum is here. They all saw it. They wouldn't believe it. 1130. I run around yelling. I go, Harry reads behind it.
[01:27:21.000 --> 01:27:27.000]  Look it up. They go, how do you know? I go, I don't. Harry reads involved. That doesn't usually happen like that, but it happens sometimes.
[01:27:27.000 --> 01:27:29.000]  And guys, they went and looked. It was Harry Reid, wasn't it?
[01:27:29.000 --> 01:27:30.000]  Absolutely.
[01:27:30.000 --> 01:27:33.000]  I mean, did you see me run around screaming Harry Reid?
[01:27:33.000 --> 01:27:39.000]  There's an energy in this building that is filled with Providence. Absolutely.
[01:27:39.000 --> 01:27:48.000]  I mean, folks, it's real. George Washington talked about it. It's real. What, you just think the devil gives tricks to his boys?
[01:27:48.000 --> 01:28:02.000]  I tell you what, Alex, the faith and the spirit was, it was flat out said nobody was beaten around. These are God fearing people, family, community, and the way those people pulled together.
[01:28:02.000 --> 01:28:09.000]  I haven't had my heart strings plucked like that. Honestly, I don't think ever. I've done some family things, but...
[01:28:09.000 --> 01:28:14.000]  Well, you wait till like 300. That's a true story. You wait till they kill a bunch of patriots, folks. It's on.
[01:28:14.000 --> 01:28:22.000]  But I don't want that to happen because the globalists have that as a backup plan. They don't want that, but it's one of their plans to have a civil war where we kill the cops, they kill us.
[01:28:22.000 --> 01:28:29.000]  We do not want that. We want to kill their lives and free the minds of these paramilitary police.
[01:28:29.000 --> 01:28:35.000]  And I'll bet you a lot of money, a lot of those paramilitary police did not like what they were part of there. God bless you.
[01:28:35.000 --> 01:28:38.000]  I salute you. Great job. Anything else, Mark?
[01:28:38.000 --> 01:28:46.000]  I'd like to say this about the militia. I talked to a number of people there, and I tell you what, buddy, everybody I talked to was the real deal.
[01:28:46.000 --> 01:28:49.000]  They were well-balanced. They were there.
[01:28:49.000 --> 01:28:55.000]  We salute the militia. Second Amendment. God bless you. Great job. We salute them. They were key. We're going to come back with more of your calls.
[01:28:55.000 --> 01:28:59.000]  Stay with us. I'm Alex Jones in FullWars.com.
[01:29:26.000 --> 01:29:36.000]  It is more important than ever to realize that we are not the alternative media. We are the true media. The establishment dinosaur press is dying.
[01:29:36.000 --> 01:29:40.000]  We are in an information war, and we are losing that war.
[01:29:40.000 --> 01:29:44.000]  Join us at infowarsnews.com and prisonplanet.tv.
[01:29:44.000 --> 01:29:55.000]  Members can share their memberships with up to 11 people. By subscribing, you will literally be buying war bonds in the Info War to expand our operation in the face of the tyrants.
[01:29:55.000 --> 01:30:16.000]  Join us at prisonplanet.tv.
[01:30:26.000 --> 01:30:35.000]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:30:35.000 --> 01:30:42.000]  Hands down, this is my favorite coffee, and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:30:42.000 --> 01:30:50.000]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed. Available in original or with our immune support infusion blend.
[01:30:50.000 --> 01:30:59.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee. Available at infowarslife.com.
[01:30:59.000 --> 01:31:09.000]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[01:31:09.000 --> 01:31:11.000]  Guess what else is in a halogen family?
[01:31:11.000 --> 01:31:21.000]  Fluoride. Ladies and gentlemen, Alex Jones here. In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[01:31:21.000 --> 01:31:32.000]  It's the good halogen on the periodic table, and the results are on record, reports documented, a 15-point IQ increase in areas that had previously been deficient in iodine.
[01:31:32.000 --> 01:31:41.000]  Bottom line, iodine is important. Unbound, clean, in a glycerin base, nascent iodine was the answer for myself and my family.
[01:31:41.000 --> 01:31:51.000]  You will find Survival Shield nascent iodine exclusively at infowarslife.com. Infowars Life Survival Shield nascent iodine isn't just for emergencies.
[01:31:51.000 --> 01:31:58.000]  I take it every day. That's infowarslife.com, or call toll-free, 888-253-3139.
[01:31:58.000 --> 01:32:03.000]  Why does the United States spend the largest percentage of GDP in the world on healthcare?
[01:32:03.000 --> 01:32:12.000]  Why do we have the highest cancer rates on the planet, the highest rates of diabetes, autism, and every other major disease?
[01:32:12.000 --> 01:32:20.000]  It all comes down to one thing. We are what we eat. Our food is devoid of nutrition and processed with poisons and additives.
[01:32:20.000 --> 01:32:24.000]  Our water is filled with toxic poisons and big pharma runoff.
[01:32:24.000 --> 01:32:29.000]  All of this has been engineered by design. We can turn the tide against the eugenicist.
[01:32:29.000 --> 01:32:33.000]  By giving ourselves the nutrients our body desperately needs.
[01:32:33.000 --> 01:32:43.000]  To learn more, visit infowarslife.com. The site is literally packed with audio and video featuring top health professionals who don't bow down to big pharma.
[01:32:43.000 --> 01:32:51.000]  The fight against the new world order starts with you, and you can't stand against the machine of your sick, tired, and obese when you visit infowarslife.com.
[01:32:51.000 --> 01:32:59.000]  Be sure and check out the catalog with nearly 400 life-changing products, and get free shipping when you sign up for auto-ship.
[01:32:59.000 --> 01:33:26.000]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[01:33:26.000 --> 01:33:39.000]  We now take you live to the Central Texas Command Center in the heart of the resistance. It's Alex Jones.
[01:33:39.000 --> 01:33:51.000]  We are the heart of the resistance right here in Texas, and I say that's beaten as well over there in Nevada and all across little towns and cities throughout this nation.
[01:33:51.000 --> 01:34:02.000]  The globalists want to believe we're failed. It's over. You can't say no to the system. The system tries to project power and oppression so that you just do whatever it says because it's illegitimate on every front.
[01:34:02.000 --> 01:34:20.000]  Let's race through your phone calls now. Dave in Boston, you're on the air watching the feds claiming that they would shoot citizens if they dared go on to the land there in Nevada and then standing down in the face of the citizens walking towards their rifle butts.
[01:34:20.000 --> 01:34:27.000]  And walking towards their rifle muzzles is just directly from V for Vendetta.
[01:34:27.000 --> 01:34:52.000]  Well, Alex, I'll tell you back in April 19 of 1775, the first American Patriots were forced to fight Great Britain and the United Kingdom. But now in April 19 of 2014, the American Patriots are being forced to fight Great Satan and the United Nations.
[01:34:52.000 --> 01:34:57.000]  No, you're right. It's a globalist corporate takeover. Any other points, Dave?
[01:34:57.000 --> 01:35:09.000]  Yeah, it's just, this is Great Britain and the United Kingdom. It's on steroids now. Now we call it Great Satan and the United Nations. But we're going to win, Alex.
[01:35:09.000 --> 01:35:28.000]  Well, for those that don't know, I hear you and I appreciate your call. From Latin America to Asia, from Africa to Europe, they're taking the public lands and signing them over to collateral and the national debt. So people that have grazing rights or who have service rights, which again is a form of property right folks, all over the world it's being ignored.
[01:35:28.000 --> 01:35:41.000]  You wonder why Mexico City's doubled in size the last 30 years? Because they forced most of the indigenous peoples off their ancient land up to the slave factories. And so that's what's going on. And this is what's happening all over the planet.
[01:35:41.000 --> 01:35:51.000]  It's why food prices are going up. It's why beef prices are going up. They want, notice they're arresting people and giving them fines that have lemonade stands. And Forbes says, why is there a war on lemonade stands?
[01:35:51.000 --> 01:35:58.000]  Or why is there a war on farmers markets? Because the big box stores, the system, once you've domesticated.
[01:35:58.000 --> 01:36:03.000]  Let's go to Caleb in Oregon. Thanks for calling in, Caleb.
[01:36:03.000 --> 01:36:20.000]  Hey, Alex, I just wanted to call in and say that my great grandfather, the great, great grandfather immigrated in over from Switzerland and was directed by Brigham Young to go and help settle that land, I'm sure with the Bundy family and many others.
[01:36:20.000 --> 01:36:34.000]  And my great grandfather and grandfather were all born there and were ranchers as well. And I just want to congratulate you and David Knight and the rest of your crew on what a sweet victory this is.
[01:36:34.000 --> 01:36:46.000]  Well, I want to be clear. It's good for us all to congratulate each other because it is a victory and a battle that shows we have the moral authority and shows the mainstream media can't lie anymore and can't blockade us.
[01:36:46.000 --> 01:36:57.000]  And it's an example for the future. But don't commend me. Wild horses couldn't drag me away from this mission. This is what it's all about.
[01:36:57.000 --> 01:37:04.000]  And so I am so honored that we've got a media platform that took 20 years almost to build and that we've gotten to this point.
[01:37:04.000 --> 01:37:11.000]  Again, it shows providence. So thank you so much. But I want to thank you, sir, for your support and the listeners putting up with me over the years.
[01:37:11.000 --> 01:37:20.000]  Because sometimes it's ugly because it's real. You know, this isn't a staged event. This is real. This is down and dirty swinging the muskets at the Alamo.
[01:37:20.000 --> 01:37:27.000]  This is the real thing here. And so it's not going to be perfect. But everybody knows my heart's in the right place. So thank you for your support.
[01:37:27.000 --> 01:37:43.000]  Absolutely. And, you know, Harry Reid is, you know, a Mormon Democrat and it's very sad to see him, you know, push his fellow man off the land that they've been there for generations and generations.
[01:37:43.000 --> 01:37:53.000]  Isn't it the paradox, though, that America is the land of such liberty and freedom, but also the land of so much evil, and that it's mainly Mormon ranchers like Bundy fighting all across the country.
[01:37:53.000 --> 01:38:02.000]  And then it's a Mormon supposed person like Harry Reid at the tip of the spear stealing property. It just shows how it isn't even about blaming a group.
[01:38:02.000 --> 01:38:10.000]  It shows how there's good and bad. There's good and evil out there. You have to judge a tree by its fruits. Clive and Bundy, incredible fruit.
[01:38:10.000 --> 01:38:15.000]  Harry Reid, horrible fruit. See what I'm saying? Absolutely.
[01:38:15.000 --> 01:38:24.000]  Yeah, Harry Reid is a disgrace. And this should destroy him. That's why they shut it down. They want the story over. BLM backed off as soon as this came out.
[01:38:24.000 --> 01:38:41.000]  And then Bundy was smart and escalated it to prove the point and get the full rights back and just not let them sneak off with their tail between their legs because he knew and said in the speeches we carry live at info wars.com that they need to expose Harry Reid and the Chinese government.
[01:38:41.000 --> 01:38:50.000]  Again, if you want to pay people for their land, do it. But don't offer them 10 cents on the dollar like in Connecticut and steal their property.
[01:38:50.000 --> 01:38:57.000]  God bless you. I appreciate your call. You imagine how hard seven generations of Bundy's have worked in the desert.
[01:38:57.000 --> 01:39:13.000]  Their ancestors showing up in the southern Nevada desert in 1877 and raising seven generations of people successfully. I think he has 18 kids. How many is it? And something like 40 something grandkids. I mean, that's a prodigious man right there.
[01:39:13.000 --> 01:39:23.000]  One wife, 18 kids. And I mean, judge a tree by its fruits, folks. That's some good fruit right there. Anyway, slice it. All right, let's go ahead and take another call.
[01:39:23.000 --> 01:39:28.000]  Gary in New Hampshire here on the air. Go ahead. Hey, Alex, how are you?
[01:39:28.000 --> 01:39:38.000]  My brother, I'm very excited. Actually, I know we can win. I just know we got to get our guts back and I've seen it here and it just makes me feel so proud.
[01:39:38.000 --> 01:39:47.000]  I think you're an amazing person and I know you don't want to hear but your parents could not have brought a better son into this world. We are so lucky for the Jones family.
[01:39:47.000 --> 01:39:56.000]  It's amazing what you've been doing. When I saw David Knight live on the Vimeo stream and I think it had about a million viewers when all was then done. This is what we need.
[01:39:56.000 --> 01:40:09.000]  This is probably one of the greatest moments in American history right now. And because of you, Alex, and your crew, David Knight, the Bundy's were spared slaughter by out of control Jack Booth thugs.
[01:40:09.000 --> 01:40:20.000]  That's right, a cornered family, trusted in God, stood up, was the last family they had run out of town. And then you notice the people came to them right at the end, right in the last moment.
[01:40:20.000 --> 01:40:28.000]  That's when God gave them the support by moving the hearts of people everywhere. This is providence. This is how history works. This has happened over and over again.
[01:40:28.000 --> 01:40:36.000]  But we've got to be willing to go all the way. And sometimes we're going to stand up and people are going to get killed. But that will be an example as well.
[01:40:36.000 --> 01:40:39.000]  You see what I'm saying?
[01:41:06.000 --> 01:41:16.000]  It's violating their promise to the creator. My closing point, Alex, is this. In America, as much as the left don't want to hear it, it's one nation under God.
[01:41:16.000 --> 01:41:22.000]  That's right. That's why they hate God because they want to be God. Well, I've seen what their God produces. I don't want any part of it.
[01:41:22.000 --> 01:41:30.000]  Let's go ahead and take a call. JT, one of the writers for Info Wars. They're in Colorado. JT, Kyle, good to have you on.
[01:41:30.000 --> 01:41:40.000]  Hey, Alex, you know, something that should be said to the boys at the BLM. They made the right decision yesterday.
[01:41:40.000 --> 01:41:48.000]  And they should know that they were fighting not for the Constitution. They were fighting for UNESCO.
[01:41:48.000 --> 01:41:52.000]  That's right. United Nations. On record. Yeah, that's the treaty. Yeah.
[01:41:52.000 --> 01:42:04.000]  That's 12906, Executive Order 1994, that turned a bunch of really good guys into a bunch of jackbooted thugs.
[01:42:04.000 --> 01:42:12.000]  And it's time that the boys revisit why they became government servants.
[01:42:12.000 --> 01:42:20.000]  If they were going to honor their oath to protect and defend the Constitution or not.
[01:42:20.000 --> 01:42:34.000]  And to Clive and Bundy, my friend in eternity, you have good grand and tall before God.
[01:42:34.000 --> 01:42:38.000]  That's right. And it's only the beginning. You know, thank you, JT. Good to hear from you.
[01:42:38.000 --> 01:42:46.000]  You know that what the founder of the Texas Rangers said, a man in the wrong can't stand up against a man on the right who keeps on coming.
[01:42:46.000 --> 01:42:52.000]  The key in any fight. George Washington lost almost every battle, but he persevered.
[01:42:52.000 --> 01:42:58.000]  It's the man that keeps on coming. You can't stop that. We got to keep on coming and we will.
[01:42:58.000 --> 01:43:06.000]  From the water table to our soils to the atmosphere itself, our world is becoming more and more toxic each and every day.
[01:43:06.000 --> 01:43:14.000]  But it's not just the air outside that's toxic. Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[01:43:14.000 --> 01:43:19.000]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[01:43:19.000 --> 01:43:22.000]  There are more than 42 million smokers in the United States.
[01:43:22.000 --> 01:43:26.000]  Well over a thousand types of mold in mildew linked to numerous conditions.
[01:43:26.000 --> 01:43:31.000]  And don't forget the fact that 6 million Americans live with pets they're allergic to as well.
[01:43:31.000 --> 01:43:41.000]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[01:43:41.000 --> 01:43:46.000]  Made with organic and wild cultivated herbs and manufactured in the U.S.A.
[01:43:46.000 --> 01:43:52.000]  The new InfoWarsLife Lung Cleans is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[01:43:52.000 --> 01:43:59.000]  Now available exclusively at InfoWarsLife.com or by calling toll 3-888-253-3139.
[01:43:59.000 --> 01:44:05.000]  The globalist social engineers are not just targeting us with propaganda. They are manipulating our genetics.
[01:44:05.000 --> 01:44:13.000]  We are being targeted at every level by estrogen mimickers that lower our testosterone and other hormones and natural compounds that the body needs.
[01:44:13.000 --> 01:44:24.000]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula
[01:44:24.000 --> 01:44:38.000]  sourced from powerful organic herbs and then concentrated for maximum potency. Super male vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[01:44:38.000 --> 01:44:44.000]  Super male vitality by InfoWarsLife is so powerful that I only take half the recommended dose.
[01:44:44.000 --> 01:44:53.000]  For a limited time, we are offering 15% of super male vitality at InfoWarsLife.com to introduce you to this powerful supplement.
[01:44:53.000 --> 01:44:59.000]  Visit InfoWarsLife.com today to secure your super male vitality at InfoWarsLife.com.
[01:44:59.000 --> 01:45:08.000]  Alex Jones here to tell you about how you can help spread liberty worldwide while also enjoying what I have found to be the best tasting 100% organic coffee on the planet.
[01:45:08.000 --> 01:45:16.000]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico where the Chiapas farmers grow their unique shade grown Arabica beans.
[01:45:16.000 --> 01:45:21.000]  We have now managed to secure these sought after beans in a highly customized blend.
[01:45:21.000 --> 01:45:28.000]  Discover and try a bag of the Patriot blend 100% organic coffee at InfoWarsLife.com.
[01:45:28.000 --> 01:45:35.000]  This coffee gives you a long smooth pick me up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:45:35.000 --> 01:45:42.000]  Hands down, this is my favorite coffee and it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:45:42.000 --> 01:45:47.000]  Dropped by the site today, order a bag or two and I don't think you're going to be disappointed.
[01:45:47.000 --> 01:45:50.000]  Available in original or with our immune support infusion blend.
[01:45:50.000 --> 01:45:59.000]  You will be supporting a free press all the while enjoying a truly great tasting cup of my favorite coffee available at InfoWarsLife.com.
[01:45:59.000 --> 01:46:07.000]  The globalists have controlled the mainstream media for a long time but now they're expanding making the weaponization even more vicious and deceptive.
[01:46:07.000 --> 01:46:09.000]  All the major networks are state run.
[01:46:09.000 --> 01:46:12.000]  We are partnering this year with the NFL.
[01:46:12.000 --> 01:46:16.000]  The NFL has become a political weapon against the Second Amendment and pushes Obamacare.
[01:46:16.000 --> 01:46:20.000]  MSNBC tells us that our children belong to the state.
[01:46:20.000 --> 01:46:27.000]  We have to break through our kind of private idea that kids belong to their parents or kids belong to their families and recognize that kids belong to whole communities.
[01:46:27.000 --> 01:46:31.000]  It is more important than ever to realize that we are not the alternative media.
[01:46:31.000 --> 01:46:33.000]  We are the true media.
[01:46:33.000 --> 01:46:36.000]  The establishment dinosaur press is dying.
[01:46:36.000 --> 01:46:40.000]  We are in an information war and we are losing that war.
[01:46:40.000 --> 01:46:44.000]  Join us at infowarsnews.com and prisonplanet.tv.
[01:46:44.000 --> 01:46:47.000]  Members can share their memberships with up to 11 people.
[01:46:47.000 --> 01:46:55.000]  By subscribing you will literally be buying war bonds in the Info War to expand our operation in the face of the tyrants.
[01:46:55.000 --> 01:47:00.000]  Join us at prisonplanet.tv.
[01:47:00.000 --> 01:47:03.000]  Coast to coast, direct from Austin.
[01:47:03.000 --> 01:47:30.000]  You're listening to the Alex Jones Broadcasting Network.
[01:47:30.000 --> 01:47:37.000]  Because they're humans, they're not domesticated.
[01:47:37.000 --> 01:47:41.000]  They're not on welfare.
[01:47:41.000 --> 01:47:55.000]  They haven't been given all the vaccines so they're not mentally ill.
[01:47:55.000 --> 01:48:03.000]  This is why they're attacking anybody that wants to live in a rural area.
[01:48:03.000 --> 01:48:07.000]  Because you can't starve us out.
[01:48:07.000 --> 01:48:12.000]  You can't make us run.
[01:48:12.000 --> 01:48:28.000]  You can't starve us out and you can't make us run.
[01:48:28.000 --> 01:48:31.000]  That's right, you can have your curse civilization.
[01:48:31.000 --> 01:48:34.000]  If you're not into that, we don't give a damn.
[01:48:34.000 --> 01:48:46.000]  I'm the western skies.
[01:48:46.000 --> 01:48:48.000]  All it is is primitive humans.
[01:48:48.000 --> 01:48:51.000]  I'll take primitive over enslaved and modern.
[01:48:51.000 --> 01:49:00.000]  Not knowing they're having a hole in the ground.
[01:49:00.000 --> 01:49:05.000]  We'll be back tomorrow, 11am to 2pm central.
[01:49:05.000 --> 01:49:08.000]  I didn't get into the giant Ukraine-ish.
[01:49:08.000 --> 01:49:15.000]  I didn't get into the IRS now to seize people's money if their family didn't pay taxes as far back as 1960.
[01:49:15.000 --> 01:49:18.000]  Your daddy didn't pay some taxes or something, they're coming.
[01:49:18.000 --> 01:49:19.000]  That's CBS News.
[01:49:19.000 --> 01:49:21.000]  This government is totally illegitimate.
[01:49:21.000 --> 01:49:24.000]  No amount of taxes you pay will ever pay to fix the debt.
[01:49:24.000 --> 01:49:26.000]  They signed you onto derivatives that are impossible to pay back.
[01:49:26.000 --> 01:49:28.000]  I've been telling you that forever.
[01:49:28.000 --> 01:49:43.000]  This is a globalist, hardcore, criminal, cynical takeover of the most dishonorable evil people.
[01:49:43.000 --> 01:49:45.000]  You like being honorable?
[01:49:45.000 --> 01:49:46.000]  You get off on that?
[01:49:46.000 --> 01:49:48.000]  They get off on being dishonorable.
[01:49:48.000 --> 01:49:50.000]  These people are scum.
[01:49:50.000 --> 01:50:01.000]  The minute you realize that is the minute things start shifting back in the right direction.
[01:50:01.000 --> 01:50:03.000]  We're all evil.
[01:50:03.000 --> 01:50:04.000]  We all know we're bad.
[01:50:04.000 --> 01:50:05.000]  Nobody's perfect.
[01:50:05.000 --> 01:50:06.000]  But at least we don't like evil.
[01:50:06.000 --> 01:50:07.000]  We choose good.
[01:50:07.000 --> 01:50:08.000]  We're trying to be good.
[01:50:08.000 --> 01:50:09.000]  That's the difference.
[01:50:09.000 --> 01:50:12.000]  I appreciate all your prayers out there.
[01:50:12.000 --> 01:50:13.000]  Let's just rampage through calls.
[01:50:13.000 --> 01:50:14.000]  One minute each.
[01:50:14.000 --> 01:50:15.000]  Sheila in Texas.
[01:50:15.000 --> 01:50:16.000]  You're on the air.
[01:50:16.000 --> 01:50:17.000]  Thanks for calling.
[01:50:17.000 --> 01:50:20.000]  Hi, Alex. Glad to be on your program.
[01:50:20.000 --> 01:50:23.000]  God bless you and your efforts in sending your crew.
[01:50:23.000 --> 01:50:30.000]  I love David Knight's interview with the spineless sheriff who could have taken care of the situation had you spoken up earlier.
[01:50:30.000 --> 01:50:33.000]  My heart did kind of stop when his live feed went dead.
[01:50:33.000 --> 01:50:36.000]  Right as the cops say, stop moving forward.
[01:50:36.000 --> 01:50:38.000]  We're going to shoot you and the live feed goes out.
[01:50:38.000 --> 01:50:39.000]  I was panicking.
[01:50:39.000 --> 01:50:40.000]  Yeah.
[01:50:40.000 --> 01:50:41.000]  Praying.
[01:50:41.000 --> 01:50:42.000]  Praying big time.
[01:50:42.000 --> 01:50:46.000]  It's easy for us to sit back here in the comfort of our home and think, oh, those poor people out in Nevada.
[01:50:46.000 --> 01:50:56.000]  But Alex, what people don't realize is that they are becoming subject to the International Property Maintenance Code, which has the equal intrusive right.
[01:50:56.000 --> 01:50:57.000]  When you look at that.
[01:50:57.000 --> 01:51:00.000]  No, that's how police go and houses without warrants now on the smart meters.
[01:51:00.000 --> 01:51:03.000]  No, it's all the tyranny is under agenda 21.
[01:51:03.000 --> 01:51:04.000]  The zoning.
[01:51:04.000 --> 01:51:15.000]  Well, what they're doing is that in our community in Brady, they implemented and adopted the International Property Maintenance Code as part of the quote standard, just upgrading the International Fire Code electrical code plumbing code.
[01:51:15.000 --> 01:51:22.000]  What people don't understand is that the fire plumbing and electrical are invoked when you remodel or you have a new bill.
[01:51:22.000 --> 01:51:23.000]  No, I know, I know.
[01:51:23.000 --> 01:51:24.000]  Great point.
[01:51:24.000 --> 01:51:26.000]  I should do a whole show on that we have.
[01:51:26.000 --> 01:51:29.000]  This is the bureaucratic tyranny outside of law that's happening.
[01:51:29.000 --> 01:51:34.000]  I'm going to go to Rashid and others in a moment briefly paying the bills here.
[01:51:34.000 --> 01:51:37.000]  We bring you the best products lower at the very lowest prices.
[01:51:37.000 --> 01:51:47.000]  The pro pure water filtration systems cut out glyphosates fluoride all of it info or store.com promo code water gets you 10% off the entire family.
[01:51:47.000 --> 01:51:49.000]  They've never done a special like this.
[01:51:49.000 --> 01:51:56.000]  So on their traveler smaller stainless steel unit, you can get 25% off until Tuesday.
[01:51:56.000 --> 01:52:05.000]  25% off on the pro pure traveler info or store.com or call toll 38882533139.
[01:52:05.000 --> 01:52:07.000]  This is authorized by the manufacturer.
[01:52:07.000 --> 01:52:09.000]  Nobody else has this.
[01:52:09.000 --> 01:52:14.000]  This is the best gravity fed filter info or store.com or 8882533139.
[01:52:14.000 --> 01:52:21.000]  When you buy books or T shirts or films or any of the great products and info or store.com or info is life.com.
[01:52:21.000 --> 01:52:22.000]  It funds our operation.
[01:52:22.000 --> 01:52:23.000]  You buy your war bonds.
[01:52:23.000 --> 01:52:24.000]  So thank you all for your support.
[01:52:24.000 --> 01:52:27.000]  Moving quickly, Rashid in Pennsylvania, you're on the air.
[01:52:27.000 --> 01:52:29.000]  What do you think of what's happening?
[01:52:29.000 --> 01:52:42.000]  I watched the Clive and Bundy standoff thing yesterday and it was it was crazy.
[01:52:42.000 --> 01:52:45.000]  No, I mean, they were like the feds are saying we're going to shoot you.
[01:52:45.000 --> 01:52:47.000]  These people march into the guns.
[01:52:47.000 --> 01:52:53.000]  I mean, it was like a movie and then in Fox and CNN won't even tell folks what happened.
[01:52:53.000 --> 01:53:05.000]  Yeah, and I'm, I don't know, I've just been feeling like really, I don't know, a sense of dread, I guess.
[01:53:05.000 --> 01:53:07.000]  Well, a lot of bad stuff's happening.
[01:53:07.000 --> 01:53:11.000]  Russia's starting to move into other areas of Ukraine and it's just getting crazy.
[01:53:11.000 --> 01:53:12.000]  God bless you.
[01:53:12.000 --> 01:53:13.000]  Appreciate your call.
[01:53:13.000 --> 01:53:14.000]  Willis in Missouri are on the air.
[01:53:14.000 --> 01:53:16.000]  Hey, Alex, can you hear me okay?
[01:53:16.000 --> 01:53:17.000]  Yes, I can.
[01:53:17.000 --> 01:53:18.000]  Go ahead.
[01:53:18.000 --> 01:53:19.000]  Hey, brother.
[01:53:19.000 --> 01:53:20.000]  Hey, you are doing one heck of a job.
[01:53:20.000 --> 01:53:21.000]  We really appreciate it.
[01:53:21.000 --> 01:53:30.000]  One thing I kept thinking was yesterday watching that live feed, my wife and I were watching it and wanting to be out there and in it.
[01:53:30.000 --> 01:53:32.000]  Boy, did you want to be out there?
[01:53:32.000 --> 01:53:37.000]  I was saying, man, I wish I had gone, but then I thought I bet David did a better job than I would have.
[01:53:37.000 --> 01:53:38.000]  But go ahead.
[01:53:38.000 --> 01:53:39.000]  I don't know.
[01:53:39.000 --> 01:53:41.000]  I like David Knight, but I sure like your attitude, man.
[01:53:41.000 --> 01:53:49.000]  You know, I'm at the point two years ago when my wife and I got woken up listening to your show one night on YouTube.
[01:53:49.000 --> 01:53:51.000]  It was totally blown away.
[01:53:51.000 --> 01:54:01.000]  We have a company of 20 employees and we're getting the feel of how the damn tyranny is tearing our country apart with the taxes.
