[00:00:08.949 --> 00:00:09.390]  Death and taxes.
[02:18:31.968 --> 02:18:41.574]  I mean that's as in the face as you get and it's also very telling because not a single news media source has ever published or even commented on that.
[02:18:41.574 --> 02:18:44.896]  So they're very arrogant about the level of the control.
[02:18:44.896 --> 02:18:49.219]  What I was saying though Alex is that people have to realize that
[02:18:50.299 --> 02:18:58.747]  Even though we have to keep fighting, even though we have to keep waking up the remnant, we have to prepare for resistance, people have to survive what's coming.
[02:18:58.747 --> 02:19:03.392]  They have to survive the war they're planning to bring upon us, which is going to make 9-11 look like a picnic.
[02:19:03.392 --> 02:19:04.413]  No, no, you're right.
[02:19:04.413 --> 02:19:09.077]  And you were saying that years ago, and now my brain is completely shifting into the understanding that this is all...
[02:19:09.798 --> 02:19:12.522]  We're in the hands of pure evil and it's just going to get worse.
[02:19:12.522 --> 02:19:13.163]  God help us.
[02:19:13.163 --> 02:19:15.767]  I mean, we can try to get America to wake up and repent.
[02:19:15.767 --> 02:19:22.618]  We can try to change things, but we're in the hands of absolutely evil people who want to wreck everything.
[02:19:24.827 --> 02:19:26.568]  And so people have to be prepared.
[02:19:26.568 --> 02:19:33.753]  I mean, they've got to... You know, a lot of people, and I do a lot of consultation about strategic relocation, and people say, well, I just can't leave right now.
[02:19:33.753 --> 02:19:35.294]  And I understand that.
[02:19:35.294 --> 02:19:42.899]  The worst thing people can do is get out of the boondocks without any financial lifeline and try to survive because self-sufficiency is expensive.
[02:19:42.899 --> 02:19:44.801]  But they have to look up to reality.
[02:19:44.801 --> 02:19:47.783]  It's not a matter of if you're going to have to get out of the big cities.
[02:19:47.783 --> 02:19:49.444]  It's a matter of when.
[02:19:49.444 --> 02:19:52.206]  So you have to take a certain amount of your resources
[02:19:52.506 --> 02:19:52.827]  That's right.
[02:19:52.827 --> 02:19:53.748]  We're gonna go on a break, Joel.
[02:19:53.748 --> 02:19:54.349]  Come back with that.
[02:19:54.349 --> 02:19:56.392]  It's like Matt Drudge said earlier this year or last year.
[02:19:56.392 --> 02:19:56.772]  I forget.
[02:19:56.772 --> 02:19:58.335]  Might have been five years ago.
[02:19:58.335 --> 02:19:58.755]  Who knows?
[02:19:58.755 --> 02:20:00.318]  He said everybody should have an exit plan.
[02:20:02.395 --> 02:20:07.218]  Summer is here and nothing looks better than tan skin and white teeth.
[02:20:07.218 --> 02:20:10.760]  Hi, I'm Jonathan Greenhut, the CEO of Power Swabs.
[02:20:10.760 --> 02:20:16.343]  And if you want to have whiter teeth in 5 minutes, then try clinically proven Power Swabs.
[02:20:16.343 --> 02:20:22.106]  Power Swabs whitens teeth on average 2 shades in 5 minutes and 6 shades in 7 days.
[02:20:22.106 --> 02:20:26.669]  Better yet, it removes stains on natural teeth as well as caps, crowns, and veneers.
[02:20:26.949 --> 02:20:35.537]  Power Swabs is so effective that thousands of professional dentists have used it nationwide and now you can try it without paying a visit to the dentist.
[02:20:35.537 --> 02:20:38.900]  Call to whiten your teeth in five minutes risk-free.
[02:20:38.900 --> 02:20:41.862]  Plus get free shipping and handling by calling now 1-800-281-6805.
[02:20:41.862 --> 02:20:42.143]  That's 1-800-281-6805.
[02:20:48.428 --> 02:20:53.772]  I guarantee your friends, family, and co-workers will love your new summer white smile.
[02:20:53.772 --> 02:20:58.656]  Get your risk-free order at 1-800-281-6805.
[02:20:58.656 --> 02:20:59.757]  That's 1-800-281-6805.
[02:20:59.757 --> 02:21:04.340]  It's time for a home security quiz.
[02:21:04.340 --> 02:21:17.350]  What effective home security device is smaller than a coffee cup, fakes out burglars into thinking someone is home at your house while you're away, plugs into any wall outlet, is recommended by many police departments, and sells for less than $30?
[02:21:18.391 --> 02:21:20.313]  Yes, it's fake TV.
[02:21:20.313 --> 02:21:22.515]  This year, about one in every 50 U.S.
[02:21:22.515 --> 02:21:28.941]  homes will have a break-in with burglars usually picking the easy target, a dark house that looks like no one is home.
[02:21:28.941 --> 02:21:37.529]  Fake TV is a small electronic security device that makes it look like someone is home watching TV by simulating the light from a real TV.
[02:21:37.529 --> 02:21:42.974]  Fake TV could be the difference between coming home to a secure house or one that's been ransacked.
[02:21:43.214 --> 02:21:50.161]  To get your FAKE TV for only $29.95 with free shipping, go to FAKETV.com or call 1-877-5-FAKE-TV.
[02:21:50.161 --> 02:21:50.541]  That's 877-532-5388.
[02:21:50.541 --> 02:21:51.662]  Or go to FAKETV.com.
[02:21:51.662 --> 02:21:53.303]  FAKE TV, the burglar deterrent.
[02:22:01.551 --> 02:22:05.533]  Hey folks, this is Larry Crisp for BabyBoomerBackupPlan.com.
[02:22:05.533 --> 02:22:08.775]  I'm sure you know, this economy sucks!
[02:22:08.775 --> 02:22:14.678]  We all realize that the American economy is tremendously unstable right now and will likely get much worse.
[02:22:14.678 --> 02:22:23.563]  There's monumental debt, government bailouts, stock and real estate bubbles that are primed to pop at any moment which can flush away most or all of your retirement savings.
[02:22:23.843 --> 02:22:26.705]  This type of movement has enormous consequences.
[02:22:26.705 --> 02:22:32.129]  Virtually zero sectors of the economy are hiring and workforce participation is at record lows.
[02:22:32.129 --> 02:22:35.010]  Financial trouble is right here at our doorstep.
[02:22:35.010 --> 02:22:41.114]  But if you move right now and develop a backup plan immediately, this could be the most profitable time of your life.
[02:22:41.114 --> 02:22:46.358]  Proportionally, more millionaires were created during the Great Depression than at any time in our history.
[02:22:46.698 --> 02:22:55.862]  Get my free report at babyboomerbackupplan.com or call 888-507-8789 for my free report.
[02:22:55.862 --> 02:23:01.324]  888-507-8789 and prepare to profit as history repeats itself.
[02:23:01.324 --> 02:23:08.347]  Silver has always been nature's very own antibiotic and only one system allows you to generate an endless supply of natural silver solutions.
[02:23:08.347 --> 02:23:09.748]  Silverlungs.com.
[02:23:09.748 --> 02:23:15.190]  You'll find no wild claims or pseudoscience, just a lifetime of nano-sized pure silver solutions.
[02:23:15.410 --> 02:23:17.752]  The Silver Lungs Generator allows you to make your own.
[02:23:17.752 --> 02:23:19.654]  So stop paying for Silver Solutions.
[02:23:19.654 --> 02:23:25.240]  The unique lung delivery system targets respiratory infections where other Silver Solutions simply cannot reach.
[02:23:25.240 --> 02:23:29.043]  See the Silver Lungs Generator and Lung Delivery System at SilverLungs.com.
[02:23:29.043 --> 02:23:30.545]  That's SilverLungs.com.
[02:23:30.981 --> 02:23:34.524]  Teenagers like me used to think our parents were just weird.
[02:23:34.524 --> 02:23:38.887]  Because they put their phones and computers inside those flimsy little fake leather cases.
[02:23:38.887 --> 02:23:41.189]  Then my folks both got a Blocket Pocket.
[02:23:41.189 --> 02:23:43.991]  Mom knows it keeps her safe from the phone's radiation.
[02:23:43.991 --> 02:23:46.653]  Dad knows it keeps his information private.
[02:23:46.653 --> 02:23:49.655]  I like my Blocket Pocket because it blocks hacking and tracking.
[02:23:49.655 --> 02:23:50.596]  Awesome!
[02:23:50.596 --> 02:23:52.958]  BlocketPocket.com has other cool stuff too.
[02:23:52.958 --> 02:23:55.500]  Huh, guess my parents aren't so weird.
[02:23:55.500 --> 02:23:57.962]  Get your Blocket Pocket at BlocketPocket.com.
[02:24:25.736 --> 02:24:29.418]  You know, I've been talking about these issues for a long time.
[02:24:31.101 --> 02:24:36.526]  And people say, oh, you're being a fear monger, but you notice how much of this has come true.
[02:24:36.526 --> 02:24:47.375]  And under the North American Union, it basically says in the treaty they'll get rid of the borders with Mexico and Canada, that Bush did up with Vicente Fox in 2005.
[02:24:47.375 --> 02:24:52.800]  But just like Matt Drudge tweeted, and we'll put that up on screen here in a moment, that everybody should have an exit plan,
[02:24:54.569 --> 02:24:59.891]  Back in January of this year, January 28, he said have an exit plan.
[02:24:59.891 --> 02:25:07.253]  Matt Drudge, at Matt Drudge, or at Drudge is actually how you get there on Twitter, the media attacked him for that.
[02:25:07.253 --> 02:25:15.516]  While governments all have exit plans, bodyguards, bunkers, weapons, food, we're not supposed to have backup generators.
[02:25:15.516 --> 02:25:19.618]  In fact, that's in the news all the time, demonizing people that want to be prepared.
[02:25:19.618 --> 02:25:23.379]  No, just be a slob, be on welfare, don't care about anything.
[02:25:24.375 --> 02:25:25.476]  Whatever, it's fine.
[02:25:25.476 --> 02:25:26.516]  Joel Skousen is our guest.
[02:25:26.516 --> 02:25:27.937]  I want to talk more about preparedness.
[02:25:27.937 --> 02:25:33.721]  I don't want to look at things geopolitically, but why would an Anglo-American elite
[02:25:34.898 --> 02:25:40.122]  Want to have a dumbed down servile population, I guess so they'd be pliable.
[02:25:40.122 --> 02:25:42.744]  It's just that I look at all the things they're doing.
[02:25:42.744 --> 02:25:54.872]  What do you think the big strategic plan on 17% of the 60 plus thousand kids or only 17% of the kids that have poured in and the adults that have poured in in the last year?
[02:25:54.872 --> 02:25:58.135]  My concern is that it's meant to get an even bigger wave to come in.
[02:25:58.855 --> 02:26:03.677]  Out of Central and South America, and use that crisis to bring in the next level of control.
[02:26:03.677 --> 02:26:07.279]  What do you think the big picture is about, Joel Skousen, on the border?
[02:26:07.279 --> 02:26:24.766]  Well, ultimately it is about watering down the politics of the United States, watering down conservative values, and also there clearly is going to be more and more draconian federal powers allocated to the government to supposedly take care of this border crisis, which
[02:26:25.686 --> 02:26:26.046]  I don't know.
[02:26:47.574 --> 02:26:49.434]  People, Americans, just aren't safe.
[02:26:49.434 --> 02:26:55.637]  A lot of kidnapping, a lot of execution of businessmen in their cars as they drive to work.
[02:26:55.637 --> 02:26:59.960]  This is, you know, forget about relocation to Central America.
[02:26:59.960 --> 02:27:04.322]  Even Costa Rica now is not going to be exempt over time.
[02:27:04.322 --> 02:27:11.605]  The old expat, live cheap, live safe in Latin America is going to be a thing of the past here within the next five years.
[02:27:13.322 --> 02:27:19.467]  But ultimately, I think it's a combination of things that will add up.
[02:27:19.467 --> 02:27:23.531]  Not that the border crisis will create complete social unrest.
[02:27:23.531 --> 02:27:25.012]  It won't by itself.
[02:27:25.012 --> 02:27:27.514]  It certainly is going to continue to overwhelm the system.
[02:27:27.514 --> 02:27:32.398]  And you know it's purposeful, Alex, when in the Obamacare system, you know, they open the doors to
[02:27:33.955 --> 02:27:34.755]  Illegals.
[02:27:34.755 --> 02:27:40.436]  The TSA opens and doesn't put any requirements on them to need any identification to travel around the country.
[02:27:40.436 --> 02:27:46.277]  And now they're enlisting churches around the country in order to take these poor little orphans in.
[02:27:46.277 --> 02:27:51.318]  I mean, the problem is we need to seal that border and nobody's talking about that.
[02:27:51.318 --> 02:27:53.839]  We can't do any of that with Obama in office.
[02:27:53.839 --> 02:27:56.419]  He obviously won't do it, but we couldn't do it when Bush was in office.
[02:27:56.419 --> 02:28:01.280]  You know, that's when Congress authorized the money and Bush refused to finish the fence.
[02:28:02.040 --> 02:28:11.666]  And what the administration did was increase the parameters of the fence to be so expensive and costly that they simply complained that they didn't have the money to do it.
[02:28:11.666 --> 02:28:23.394]  For less than a billion dollars, you could put a double strand of ten foot high fence with concertina wire on it and believe me, that's going to slow things down to a crawl that you can manage.
[02:28:23.394 --> 02:28:24.215]  But they won't do that.
[02:28:24.215 --> 02:28:31.460]  They want to spend two billion dollars this year and three billion dollars next year on humanitarian crisis that's going to continue to fester.
[02:28:32.160 --> 02:28:47.633]  So I think what's happening is that you take this into consideration with land-use planning, putting everybody into high-density urban areas, making people more dependent on EBT cards through a continued bailout through unemployment compensation and food stamps.
[02:28:48.354 --> 02:28:49.035]  And what have you got?
[02:28:49.035 --> 02:28:52.277]  You've got people totally dependent on the government.
[02:28:52.277 --> 02:28:57.281]  And as you carefully pointed out, they're preparing to get out of the cities.
[02:28:57.281 --> 02:29:01.324]  They have homes with bunkers underneath them.
[02:29:01.324 --> 02:29:04.647]  They have their escape plans.
[02:29:04.647 --> 02:29:07.989]  FEMA doesn't tell anything about fallout shelters.
[02:29:07.989 --> 02:29:09.671]  That's laughed upon by the media.
[02:29:10.351 --> 02:29:19.556]  Even though that's the one thing that the elite know that they're going to need someday because they know this nuclear war is coming on America, at least it's coming to the American military.
[02:29:19.556 --> 02:29:23.078]  I don't think Russia and China are going to strike American cities.
[02:29:23.078 --> 02:29:25.099]  They don't want to be viewed as the bullies of the world.
[02:29:25.099 --> 02:29:28.501]  They're taking down the bully of the world and striking the U.S.
[02:29:28.501 --> 02:29:28.982]  military.
[02:29:29.742 --> 02:29:34.344]  So I think people can survive what's coming, but they really have to prepare.
[02:29:34.344 --> 02:29:36.704]  And the government doesn't want people prepared.
[02:29:36.704 --> 02:29:40.946]  They want as much chaos when the majors strike.
[02:29:40.946 --> 02:29:42.206]  I agree with you, Joel Skousen.
[02:29:42.206 --> 02:29:42.626]  Stay there.
[02:29:42.626 --> 02:29:45.908]  We're gonna come back into a bunch of other news and take calls.
[02:29:45.908 --> 02:29:46.408]  Stay with us.
[02:29:46.408 --> 02:29:48.148]  We got callers from before earlier.
[02:29:48.148 --> 02:29:49.749]  We'll see who wants to talk to Joel.
[02:29:49.749 --> 02:29:51.610]  I'm sure most of them do.
[02:29:51.610 --> 02:29:53.010]  We're on the march.
[02:29:53.010 --> 02:29:55.531]  The empire's on the run.
[02:29:55.531 --> 02:29:58.232]  Alex Jones and the GCN Radio Network.
[02:30:02.836 --> 02:30:05.059]  I've always believed in nutrition and herbs.
[02:30:05.059 --> 02:30:13.109]  Super Mill Vitality was developed to activate your body's own natural processes instead of using synthetic chemicals.
[02:30:13.109 --> 02:30:20.318]  Sourced from powerful organic herbs harvested around the planet and then concentrated for maximum potency.
[02:30:20.638 --> 02:30:25.262]  I just received my male vitality about three days ago and I must say that is good stuff.
[02:30:25.262 --> 02:30:35.890]  After consulting top doctors, nutritionists, pharmacists and others, we have developed what I believe is the ultimate non-GMO organic super male vitality formula.
[02:30:35.890 --> 02:30:42.375]  Super male vitality by InfoWars Life is so powerful that I only take half the recommended dose.
[02:30:42.375 --> 02:30:44.937]  I jump out of bed ready to fight these criminals every day.
[02:30:44.937 --> 02:30:48.580]  I look forward to waking up and taking my super male vitality and get the day started.
[02:30:48.740 --> 02:30:50.702]  It's not just the super male vitality.
[02:30:50.702 --> 02:30:54.867]  All the products in InfoWarsLife.com are simply amazing.
[02:30:54.867 --> 02:31:02.735]  Visit InfoWarsLife.com today to secure your super male vitality and other powerful products from InfoWarsLife.
[02:31:02.735 --> 02:31:09.763]  From the water table, to our soils, to the atmosphere itself, our world is becoming more and more toxic each and every day.
[02:31:09.923 --> 02:31:12.245]  But it's not just the air outside that's toxic.
[02:31:12.245 --> 02:31:17.509]  Indoor air has been shown to have two to five times higher concentrations of pollutants than even outdoor air.
[02:31:17.509 --> 02:31:22.693]  And most Americans spend 90% of their time inside using toxic chemicals within their homes.
[02:31:22.693 --> 02:31:25.736]  There are more than 42 million smokers in the United States.
[02:31:26.016 --> 02:31:30.080]  Well over a thousand types of mold and mildew linked to numerous conditions.
[02:31:30.080 --> 02:31:34.405]  And don't forget the fact that six million Americans live with pets they're allergic to as well.
[02:31:34.405 --> 02:31:44.635]  When I began to research these statistics, it was clear to me it was time to start cleansing my lungs in order to combat the toxic environment that we cannot escape but that we can fight back against.
[02:31:44.635 --> 02:31:47.158]  Made with organic and wild cultivated herbs,
[02:31:47.358 --> 02:31:55.550]  And manufactured in the USA, the new InfoWars Life Lung Cleanse is here in a convenient spray bottle that can be brought with you throughout any toxic environment.
[02:31:55.550 --> 02:31:59.515]  Now available exclusively at InfoWarsLife.com or by calling toll free 888-253-3139.
[02:32:03.647 --> 02:32:05.008]  In the near future.
[02:32:05.008 --> 02:32:09.490]  When you realize how fake it all is, the football, the basketball.
[02:32:09.490 --> 02:32:10.711]  Security alert.
[02:32:10.711 --> 02:32:12.712]  This is Homeland Security.
[02:32:12.712 --> 02:32:16.414]  Analysis, InfoWars, building independent media operations.
[02:32:16.414 --> 02:32:19.015]  You let the worst people get controlled and tell us that we
[02:32:19.275 --> 02:32:21.296]  We are the ones responsible.
[02:32:21.296 --> 02:32:23.877]  Prime Director didn't credit Alex Jones.
[02:32:23.877 --> 02:32:26.738]  Jones is the wildly popular conspiracy theorist.
[02:32:26.738 --> 02:32:29.979]  A popular conspiracy theory talk show called InfoWars.
[02:32:29.979 --> 02:32:32.259]  Alex Jones is now in an Austin jail.
[02:32:32.259 --> 02:32:33.800]  These people are assaulting us.
[02:32:33.800 --> 02:32:36.621]  Targeting of patriots engaged.
[02:32:36.621 --> 02:32:38.581]  They are never going to stop.
[02:32:38.581 --> 02:32:42.643]  They're never going to deviate from their program until we stop them.
[02:32:42.643 --> 02:32:45.404]  Block free iPhone app at InfoWars.com.
[02:32:46.244 --> 02:32:52.970]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[02:33:21.268 --> 02:33:26.930]  We've got your calls coming up.
[02:33:26.930 --> 02:33:28.371]  I appreciate the callers holding.
[02:33:28.371 --> 02:33:31.133]  Some of them were on that I didn't get to in the first hour.
[02:33:31.133 --> 02:33:37.676]  Then another guest came on on basically the same topic we're discussing now, because that's what I'm concerned with, so I just tend to have guests on that
[02:33:38.683 --> 02:33:38.963]  Thank you.
[02:34:03.473 --> 02:34:05.814]  I have storable foods in multiple locations.
[02:34:05.814 --> 02:34:06.914]  This is who I get it from.
[02:34:06.914 --> 02:34:12.917]  It's high-quality, non-GMO, great customer service, last 20 years, in plastic boxes that are easy to move.
[02:34:12.917 --> 02:34:19.199]  866-229-0927, mypatriotsupply.com, forward slash Alex.
[02:34:19.199 --> 02:34:22.920]  I think something's wrong with you if you don't have water filtration and storable food.
[02:34:22.920 --> 02:34:25.921]  I mean, even poor people should be able to stockpile something.
[02:34:27.862 --> 02:34:32.464]  Stuff winds down, and even if it's five years away, ten years away, I think it's a lot closer than that.
[02:34:32.464 --> 02:34:35.545]  Things are just... I mean, the slide is always happening.
[02:34:35.545 --> 02:34:37.466]  Things are degrading.
[02:34:37.466 --> 02:34:39.167]  You don't want to be caught flat-footed.
[02:34:39.167 --> 02:34:43.669]  And also, it's important to support this operation in your own health and yourself.
[02:34:43.669 --> 02:34:52.413]  We have the very best supplements with the highest quality ingredients that we can literally find, whether it's our colloidal silver, silver bullet,
[02:34:53.305 --> 02:35:02.091]  Or whether it's the super male vitality, super female vitality, that just takes natural herbs, that don't mimic testosterone, they just get your glands working again.
[02:35:02.091 --> 02:35:05.534]  According to Dr. Group and others, I know it's done wonders for me.
[02:35:05.534 --> 02:35:12.619]  We've got the lung cleanse with scores of essential oils that are organic, that are just so good for my throat and lungs.
[02:35:12.619 --> 02:35:14.660]  All of it has really been life-changing for myself.
[02:35:14.660 --> 02:35:18.903]  You've heard the rave reviews out there, whether it's the nascent iodine,
[02:35:19.845 --> 02:35:25.185]  The X2 that comes from an ancient underground mind source that nobody else has.
[02:35:26.732 --> 02:35:29.614]  It just does amazing things for my glands personally.
[02:35:29.614 --> 02:35:34.097]  Check out the information behind it at InfoWarsLife.com.
[02:35:34.097 --> 02:35:36.018]  That's InfoWarsLife.com.
[02:35:36.018 --> 02:35:40.321]  Or call toll free 888-253-3139.
[02:35:40.321 --> 02:35:49.928]  You can also find all the great longevity products like Beyond Tangy Tangerine and others at InfoWarsHealth.com.
[02:35:49.928 --> 02:35:56.012]  And you can sign up for free auto shipping, sign up for auto shipping and get the shipping free to be technical at InfoWars.
[02:35:56.312 --> 02:36:01.794]  Health.com and also link through and find the new book by Dr. Joel Wallach, Epigenetics.
[02:36:01.794 --> 02:36:04.956]  And all of those purchases also help fund the operation.
[02:36:04.956 --> 02:36:10.098]  So, InfoWarsHealth.com, InfoWarsLife.com or call toll free 888-253-3139.
[02:36:10.098 --> 02:36:11.538]  And everything is under one umbrella.
[02:36:16.636 --> 02:36:35.096]  The books, the films, the strategic relocation, the patriot apparel to meet like-minded people and spread the word about freedom and anti-communism, anti-socialism, pro-Second Amendment, the Moulin Lambe, all of it made in America right there at madein1776.com or infowarestore.com.
[02:36:35.096 --> 02:36:38.279]  You can also subscribe and get amazing weekly and
[02:36:39.124 --> 02:36:42.745]  Any other points you want to make on that or any other points before we go to phone calls?
[02:37:04.710 --> 02:37:06.331]  Yeah, I do, Alex.
[02:37:06.331 --> 02:37:16.055]  Let me just cover, there's been a lot of hype on the net about BRICS bringing down the dollar with their own $100 billion slush fund for Africa.
[02:37:16.055 --> 02:37:17.756]  That's never going to happen.
[02:37:17.756 --> 02:37:19.276]  That's just propaganda.
[02:37:19.276 --> 02:37:26.059]  They're not putting $100 billion of their own money into something as long as the West is willing to throw in limited funds at Africa.
[02:37:26.059 --> 02:37:27.640]  It's very interesting with all of the
[02:37:28.300 --> 02:37:29.482]  They've all been devaluing.
[02:37:48.004 --> 02:37:49.325]  They've all been devaluated.
[02:37:49.325 --> 02:38:00.971]  They love dollar devaluation or dollar inflation because they can hide their own inflation under that dollar inflation and keep their level inflation relatively the same as the dollar.
[02:38:00.971 --> 02:38:03.592]  But big things have small beginnings.
[02:38:03.592 --> 02:38:09.375]  I mean, down the road, as the dollar is devalued, won't the globalists try to bring out their new digital currency?
[02:38:10.015 --> 02:38:19.863]  I don't think any of that happens until war comes, because you've got to have a global new government in order to have a global currency, whether it's digital or real, etc.
[02:38:19.863 --> 02:38:23.846]  And so that's one of the things they've got tucked into their war package.
[02:38:23.846 --> 02:38:28.530]  As soon as war comes, which war will take out most of the computer systems in the U.S.
[02:38:28.530 --> 02:38:37.438]  because of EMP and other strikes, and they'll have an excuse then to go to a new currency, but you've got to have a world government to govern it, and right now
[02:38:38.143 --> 02:38:45.594]  You know, they've got to put themselves in charge of the world government so that they can manage that new world currency, which won't be any different than the rest.
[02:38:45.594 --> 02:38:50.701]  It'll just be a new beginning and an excuse to manage it on a global level.
[02:38:52.671 --> 02:39:12.540]  Relative to Russia and the Ukraine, I appreciate what you said about the many people on our side of the political spectrum, Paul Craig Roberts and others, who have mistakenly thought Putin's our hero, Putin's the salvation against our globalist warmongers, and he is not.
[02:39:12.540 --> 02:39:17.422]  Putin has just as much of a warmongering agenda as our globalists, and so does China.
[02:39:17.422 --> 02:39:20.404]  There are three major predator centers in the world, not one,
[02:39:21.312 --> 02:39:31.334]  And even though I think the globalists intend to give us this war, Russia's going to be eliminated in the long term, and then it's going to be the globalists versus China.
[02:39:31.334 --> 02:39:32.835]  But that's a different story.
[02:39:32.835 --> 02:39:43.977]  But it's very important for people who understand the globalist threat not to think that Russia is somehow our savior or fighting against the globalists.
[02:39:43.977 --> 02:39:48.378]  He's all more than willing to let the globalists become the bully of the world to justify
[02:39:49.420 --> 02:39:51.395]  China and his strike on the West.
[02:39:51.929 --> 02:39:59.735]  Which is coming, and that's why the probes of the Bear Bombers, which there were 16 of those last month, they're probing our air defense system.
[02:39:59.735 --> 02:40:05.800]  It doesn't mean that war is imminent, but it does mean that there's a long-term agenda towards getting ready.
[02:40:05.800 --> 02:40:13.146]  As I say, Russia and China won't have their top-of-the-line weapon systems coming online until the beginning of the next decade.
[02:40:13.146 --> 02:40:20.612]  That's when I see the war thing loom, and I think they can keep this economy kicking the can down the road till then.
[02:40:21.292 --> 02:40:28.497]  And I fully view their moderate levels of inflation.
[02:40:28.497 --> 02:40:31.198]  That is, and I'm saying moderate, is below 10 percent.
[02:40:31.198 --> 02:40:35.221]  The real inflation rate is 6 to 7 to 8 percent.
[02:40:35.221 --> 02:40:36.882]  But we've lived with that for 20 years.
[02:40:36.882 --> 02:40:40.344]  We can continue to adjust to that as long as they keep it below 10 percent.
[02:40:41.625 --> 02:40:45.728]  And they will continue to bail out the Euro as well during this period.
[02:40:45.728 --> 02:40:50.231]  Well, Joel, for me the big wild card is a human awakening, people repenting.
[02:40:50.231 --> 02:41:04.861]  And I don't mean going to a megachurch and being taught name it and claim it mumbo-jumbo, but really realizing we're in the hands of a maniacal wickedness that just really wants to hurt life and really wants to play God and vandalize God's creation.
[02:41:05.939 --> 02:41:07.020]  Just basic evil.
[02:41:07.020 --> 02:41:08.081]  Even people who don't believe in God.
[02:41:08.081 --> 02:41:11.564]  I mean, you study these people, they are a bunch of devils.
[02:41:11.564 --> 02:41:14.466]  And so the devil's real, whether people believe the devil's real or not.
[02:41:14.466 --> 02:41:19.210]  These globalists operate like, you know, the mythical creature we've all been told about.
[02:41:19.210 --> 02:41:20.411]  And they just really are nasty.
[02:41:20.411 --> 02:41:23.493]  They make Loki look like a good guy from Norse mythology.
[02:41:23.493 --> 02:41:29.478]  I want to go to these phone calls, but I want you to think about this in an answer at the end of the show, because I want you to really mull it over.
[02:41:30.905 --> 02:41:40.900]  If there was a big enough coming back to God, people repenting, seeking God's face, turning from our wicked ways, really realizing how much danger we're in.
[02:41:40.900 --> 02:41:44.145]  And I do see a huge awakening happening, but it's not fast enough.
[02:41:44.145 --> 02:41:46.088]  And people really got what was going on.
[02:41:46.909 --> 02:41:50.651]  That we could change things and we could reverse this.
[02:41:50.651 --> 02:41:54.113]  But there does seem to be like a fatalistic, this is the way it's meant to be.
[02:41:54.113 --> 02:41:56.515]  The big churches just say, get behind it.
[02:41:56.515 --> 02:41:58.696]  It was foreordained.
[02:41:58.696 --> 02:42:01.638]  But then they're not involved politically to fight evil.
[02:42:01.638 --> 02:42:02.658]  So they actually ate it.
[02:42:02.658 --> 02:42:04.940]  So it's adjoining with evil.
[02:42:05.980 --> 02:42:06.160]  Well,
[02:42:33.089 --> 02:42:39.691]  It's a tough question, Alex, because I don't think, in fact, that the world is going to repent, even though there is an awakening.
[02:42:39.691 --> 02:42:40.731]  It's very real.
[02:42:40.731 --> 02:42:42.052]  It's growing on our side.
[02:42:42.052 --> 02:42:44.252]  It's growing even faster on the other side.
[02:42:44.252 --> 02:42:54.535]  The amount of people corrupted, I mean, even conservative children, Christian children, the percentage that we're losing to the world each year is increasing rather than decreasing.
[02:42:54.535 --> 02:42:55.936]  We're not holding our children.
[02:42:56.796 --> 02:43:04.359]  And that's a lot because of the influence of public schooling, the vaccine requirement driving people into public schooling.
[02:43:04.359 --> 02:43:06.460]  All of this is very, very bad.
[02:43:06.460 --> 02:43:11.443]  So I view and also, you know, I've been in this battle since the early 70s and I was
[02:43:13.880 --> 02:43:24.226]  I have watched every single major funder of true conservative, libertarian, Christian causes go by the wayside.
[02:43:24.226 --> 02:43:29.449]  It's almost like the Lord is not supporting those that would have us win.
[02:43:29.449 --> 02:43:32.051]  We're barely getting enough support to stay ahead.
[02:43:32.951 --> 02:43:37.255]  And yet they have tons of money growing on their side.
[02:43:37.255 --> 02:43:39.156]  And it isn't that the Lord agrees with them.
[02:43:39.156 --> 02:43:41.598]  It isn't the Lord doesn't love what we're doing.
[02:43:41.598 --> 02:43:50.045]  I think, though, that he knows that the laws of justice require, because the majority of wickedness in the world, there's got to be retribution for that.
[02:43:50.045 --> 02:43:52.807]  But at the same time, I think he's preparing a remnant to survive.
[02:43:52.807 --> 02:43:56.650]  I think that's why we grow the movement.
[02:43:56.650 --> 02:43:58.992]  I've stopped preaching winning the battle.
[02:44:00.003 --> 02:44:04.386]  The only winning that I think we can do is winning the hearts and minds of good people.
[02:44:04.386 --> 02:44:18.175]  So what I like is the division of society is that the good are getting better in a smaller minority and the evil are getting worse and it's the clash of civilizations that the Lord, I believe, is going to let play out.
[02:44:20.933 --> 02:44:26.356]  Well, undoubtedly, when the depression hits, when the war comes, when whatever, it is going to be hell on earth.
[02:44:26.356 --> 02:44:43.125]  I mean, if 90% of people were self-sufficient, or were rural, most of them self-sufficient, in the depression, and millions starved to death, major university studies show, and that was kind of swept under the rug, if 90% is now flipped, are urban,
[02:44:46.249 --> 02:44:50.791]  And of that, I know you're the big expert on this, correct me if I'm wrong, about half of those are self-sufficient.
[02:44:50.791 --> 02:44:53.752]  So 5% are self-sufficient.
[02:44:53.752 --> 02:44:55.093]  I think about my grandfather.
[02:44:55.093 --> 02:45:04.797]  My dad's dad could literally work on any type of engine, fix roofs, plumb, you know, work on electrical, work 18 hours a day if he needed to.
[02:45:04.797 --> 02:45:07.158]  My dad knows a ton more than I do.
