[00:00.000 --> 00:07.000]  Ladies and gentlemen, it's Wednesday the 21st of December 2016. I'm Alex Jones.
[02:19:41.000 --> 02:19:42.000]  Yeah, that's relatively new.
[02:19:42.000 --> 02:19:43.000]  Get this out of us.
[02:19:43.000 --> 02:19:45.000]  I'm gonna get an InfoWars card right now, folks. Let's get it.
[02:19:45.000 --> 02:19:46.000]  First of all, I already grabbed it.
[02:19:46.000 --> 02:19:47.000]  I can take it away though, folks.
[02:19:47.000 --> 02:19:49.000]  Listen, I appreciate you guys.
[02:19:49.000 --> 02:19:50.000]  Great job.
[02:19:50.000 --> 02:19:51.000]  We also have the cards available.
[02:19:51.000 --> 02:19:52.000]  InfoWarsStore.com.
[02:19:52.000 --> 02:19:53.000]  Have a great Christmas, my friends.
[02:19:53.000 --> 02:19:54.000]  All right, thanks.
[02:19:54.000 --> 02:19:55.000]  You too.
[02:19:55.000 --> 02:19:56.000]  We'll have you back up.
[02:19:56.000 --> 02:19:57.000]  All right.
[02:19:57.000 --> 02:19:58.000]  I want the posters.
[02:19:58.000 --> 02:19:59.000]  That's what looks cool.
[02:19:59.000 --> 02:20:12.000]  Winter has just begun, and are you already tired of being cold?
[02:20:12.000 --> 02:20:16.000]  If you're tired of freezing your butt off, elk hunting, sitting in a tree stand, deer
[02:20:16.000 --> 02:20:22.000]  hunting, winter camping, fishing, ice fishing, no longer fear the cold.
[02:20:22.000 --> 02:20:26.000]  If you snowmobile, ski, snowboard, get fortress.
[02:20:26.000 --> 02:20:29.000]  It's letting with the kids, shoveling the walks, shopping.
[02:20:29.000 --> 02:20:32.000]  Or if you or your spouse get cold feet at home, get fortress.
[02:20:32.000 --> 02:20:37.000]  If you're stuck outside working in the cold, or find yourself in an emergency situation,
[02:20:37.000 --> 02:20:41.000]  get our winter bug out bag, and you will never be cold again.
[02:20:41.000 --> 02:20:45.000]  Fortress is the answer, so quit complaining and go to fortressclothing.com.
[02:20:45.000 --> 02:20:49.000]  It's a mid-layer garment that goes with anything you want to wear.
[02:20:49.000 --> 02:20:53.000]  Enter coupon code radio and get 20% off any item.
[02:20:53.000 --> 02:20:55.000]  Go now while we still have inventory.
[02:20:55.000 --> 02:20:58.000]  Fortressclothing.com
[02:21:25.000 --> 02:21:30.000]  It's the body that's necessary vitamins, minerals, amino acids, enzymes, and phytonutrients,
[02:21:30.000 --> 02:21:32.000]  so the body will heal itself.
[02:21:32.000 --> 02:21:36.000]  And yes, the body does have the ability to balance blood pressure, balance cholesterol,
[02:21:36.000 --> 02:21:38.000]  clean and unclog the arteries.
[02:21:38.000 --> 02:21:42.000]  It can also work on balancing the circulation for diabetics.
[02:21:42.000 --> 02:21:44.000]  So the body is an amazing thing.
[02:21:44.000 --> 02:22:00.000]  And now, three recent financial memories.
[02:22:00.000 --> 02:22:05.000]  Remember the market drops of 02, the financial crisis of 08, the flash crash of 2010.
[02:22:05.000 --> 02:22:07.000]  It's not if, but when.
[02:22:07.000 --> 02:22:09.000]  What do you have in place to protect your profits?
[02:22:09.000 --> 02:22:14.000]  OnTheMarkMoney.com introduces WealthGuard, a complete portfolio monitoring system
[02:22:14.000 --> 02:22:18.000]  that sends out direct alerts when your accounts hit a targeted downside value
[02:22:18.000 --> 02:22:22.000]  and it works with all your retirement accounts, even 401K.
[02:22:22.000 --> 02:22:48.000]  Learn how to get WealthGuard free. Go to OnTheMarkMoney.com.
[02:22:52.000 --> 02:22:57.000]  Ships free at fullycookedbacon.com, fullycookedbacon.com.
[02:23:22.000 --> 02:23:27.000]  No tax on my website, danpilla.com.
[02:23:52.000 --> 02:23:57.000]  Use promo code GCN for your special discount at oneplanetnutrition.com.
[02:24:22.000 --> 02:24:42.000]  I was late getting in here because it just came off the 18-wheeler yesterday.
[02:24:42.000 --> 02:24:46.000]  Two new T-shirts. People keep asking for an M4 Wars crew shirt.
[02:24:46.000 --> 02:24:49.000]  And we've got one for the crew and one for everybody.
[02:24:49.000 --> 02:24:53.000]  It says infowars.com on the back with a big symbol, infowars.com on the right hand shoulder.
[02:24:53.000 --> 02:24:55.000]  And it says crew on the breast.
[02:24:55.000 --> 02:25:01.000]  We also have the Republic Defense Force that says press on it as well because it's an info war.
[02:25:01.000 --> 02:25:08.000]  So very exciting to be seen, to meet like-minded people, to come together at events and to support the info war.
[02:25:08.000 --> 02:25:11.000]  The two new shirts are available at infowarstore.com.
[02:25:11.000 --> 02:25:17.000]  Now, going back to the serious news, and we've got the crew in the TV studio.
[02:25:17.000 --> 02:25:21.000]  We're here in the radio slash news studio, the war room.
[02:25:21.000 --> 02:25:24.000]  Massive cyber attack could trigger NATO response.
[02:25:24.000 --> 02:25:27.000]  This is from Reuters a month ago.
[02:25:27.000 --> 02:25:30.000]  We have Hillary also saying it.
[02:25:30.000 --> 02:25:33.000]  And then now we have this report from infowars.com.
[02:25:33.000 --> 02:25:39.000]  Obama threatened Putin with war over election hacking conspiracy theory.
[02:25:39.000 --> 02:25:42.000]  Of course, Putin said he got a call last week from Obama.
[02:25:42.000 --> 02:25:49.000]  Obama says he gave him a call. President used emergency red phone system to say, quote, armed conflict could ensue.
[02:25:49.000 --> 02:25:52.000]  Now, he goes through NBC reporting this and others.
[02:25:52.000 --> 02:25:53.000]  This is just incredible.
[02:25:53.000 --> 02:25:57.000]  But what's even more amazing is this is now official policy.
[02:25:57.000 --> 02:26:00.000]  So you've got the president basically threatening World War III.
[02:26:00.000 --> 02:26:02.000]  That's where this goes.
[02:26:02.000 --> 02:26:05.000]  Off of some CIA report Congress can't see.
[02:26:05.000 --> 02:26:08.000]  The head of all intelligence, Clapper says it's fake.
[02:26:08.000 --> 02:26:11.000]  I've got CIA sources that are high up and others do as well.
[02:26:11.000 --> 02:26:12.000]  This is bull.
[02:26:12.000 --> 02:26:14.000]  We told you a week before they admitted it was bull.
[02:26:14.000 --> 02:26:15.000]  It was bull.
[02:26:15.000 --> 02:26:17.000]  We told you the exact type of bull it was.
[02:26:17.000 --> 02:26:21.000]  Just like we told you Romney wasn't going to get it when they first announced it.
[02:26:21.000 --> 02:26:23.000]  I don't know who we're talking to.
[02:26:23.000 --> 02:26:28.000]  Anyways, I can't bob with the twilight zone.
[02:26:28.000 --> 02:26:29.000]  This might be the matrix.
[02:26:29.000 --> 02:26:30.000]  This is just too cool.
[02:26:30.000 --> 02:26:31.000]  I'm sitting there with Lee Ann Magnu.
[02:26:31.000 --> 02:26:33.000]  I'm looking at the Christmas tree here in Austin, Texas.
[02:26:33.000 --> 02:26:35.000]  We've built this operation across the enemy.
[02:26:35.000 --> 02:26:36.000]  We're just winning and winning.
[02:26:36.000 --> 02:26:38.000]  There's a total exuberance.
[02:26:38.000 --> 02:26:45.000]  The highest Gallup poll in 100 year history in history for exuberance and confidence in the economy.
[02:26:45.000 --> 02:26:48.000]  I'm just winning, winning, winning, winning Lee Ann.
[02:26:48.000 --> 02:26:49.000]  What is going on here?
[02:26:49.000 --> 02:26:52.000]  And now Obama wants to turn it all over and have a nuclear war.
[02:26:52.000 --> 02:26:54.000]  But it's okay because he's liberal.
[02:26:54.000 --> 02:26:55.000]  So are losers.
[02:26:55.000 --> 02:26:56.000]  I don't know.
[02:26:56.000 --> 02:26:58.000]  Donald Trump said I'm not going to get tired of winning.
[02:26:58.000 --> 02:27:00.000]  Winning feels great.
[02:27:00.000 --> 02:27:05.000]  What do you think about the fact that the sore losers are now saying that no matter how deranged we have to get,
[02:27:05.000 --> 02:27:08.000]  we must do everything we can to delegitimize Trump?
[02:27:08.000 --> 02:27:10.000]  It's just, why don't you do a little soul searching?
[02:27:10.000 --> 02:27:14.000]  Step back, figure out what you did to lose so badly.
[02:27:14.000 --> 02:27:17.000]  This is why we're probably going to have eight years of Trump.
[02:27:17.000 --> 02:27:18.000]  Great.
[02:27:18.000 --> 02:27:20.000]  And what do you think of?
[02:27:20.000 --> 02:27:21.000]  What do you think of?
[02:27:21.000 --> 02:27:22.000]  Have you seen the clip?
[02:27:22.000 --> 02:27:28.000]  You're getting ready for the news where I play where she's on Oprah of the first tranny is on there.
[02:27:28.000 --> 02:27:30.000]  Michelle Obama and she's.
[02:27:30.000 --> 02:27:33.000]  That's what John Rivers was friends with her and said she's a tranny and then they killed her a week later.
[02:27:33.000 --> 02:27:34.000]  Probably probably killed her.
[02:27:34.000 --> 02:27:37.000]  But seriously, make sure you keep saying I first said that.
[02:27:37.000 --> 02:27:38.000]  No, John Rivers did.
[02:27:38.000 --> 02:27:40.000]  What do you think of her saying we're all just dumb toddlers?
[02:27:40.000 --> 02:27:45.000]  You know, I haven't watched her interview yet because it just, it made me sick to my stomach.
[02:27:45.000 --> 02:27:50.000]  Just the highlights that were coming out her saying, oh, well, we brought hope into the White House.
[02:27:50.000 --> 02:27:52.000]  And now that we're leaving, there is no hope.
[02:27:52.000 --> 02:27:53.000]  Please, are you kidding me?
[02:27:53.000 --> 02:27:54.000]  Where is the hope?
[02:27:54.000 --> 02:27:56.000]  The country is in dire straits.
[02:27:56.000 --> 02:27:58.000]  Look, take a look around at the globe.
[02:27:58.000 --> 02:28:07.000]  And basically you're insulting more than half the country that wanted to make America great again and got Trump in office.
[02:28:07.000 --> 02:28:08.000]  We are.
[02:28:08.000 --> 02:28:11.000]  We are filled with hope for the first time in quite a long time.
[02:28:11.000 --> 02:28:12.000]  A lot of people are.
[02:28:12.000 --> 02:28:15.000]  So, you know, to me, the globalists have been trying to demoralize us.
[02:28:15.000 --> 02:28:16.000]  So we give up.
[02:28:16.000 --> 02:28:17.000]  Right.
[02:28:17.000 --> 02:28:19.000]  It's even in the WikiLeaks where they wanted to moralize us.
[02:28:19.000 --> 02:28:21.000]  These people are so creepy.
[02:28:21.000 --> 02:28:22.000]  It's everything is opposite.
[02:28:22.000 --> 02:28:23.000]  It's the double speak.
[02:28:23.000 --> 02:28:25.000]  You know, let me ask you a serious question.
[02:28:25.000 --> 02:28:26.000]  We have hope.
[02:28:26.000 --> 02:28:30.000]  The photos of her in the dresses with the big bulge, with, you know, the Ataconda.
[02:28:30.000 --> 02:28:31.000]  I mean, I'm being serious here.
[02:28:31.000 --> 02:28:33.000]  Do you think she really could be a man?
[02:28:33.000 --> 02:28:35.000]  Because he admits he was raised by training Indonesia.
[02:28:35.000 --> 02:28:36.000]  There's all this weird stuff.
[02:28:36.000 --> 02:28:39.000]  Well, do you think John Reimers said she's a trainee and then died?
[02:28:39.000 --> 02:28:42.000]  I do not believe Michelle Obama has a cot piece.
[02:28:42.000 --> 02:28:43.000]  I don't believe it.
[02:28:43.000 --> 02:28:45.000]  So then what is the giant bulge?
[02:28:45.000 --> 02:28:47.000]  I think it's fake news.
[02:28:47.000 --> 02:28:48.000]  I don't know.
[02:28:48.000 --> 02:28:50.000]  Maybe she has incontinence or something.
[02:28:50.000 --> 02:28:51.000]  I don't know.
[02:28:51.000 --> 02:28:55.000]  Oh, a diaper.
[02:28:55.000 --> 02:28:56.000]  I don't know.
[02:28:56.000 --> 02:28:59.000]  Do you know what I'm doing right now?
[02:28:59.000 --> 02:29:01.000]  I'm unsure.
[02:29:01.000 --> 02:29:02.000]  I am.
[02:29:02.000 --> 02:29:04.000]  I am trolling the MSM.
[02:29:04.000 --> 02:29:05.000]  You understand that?
[02:29:05.000 --> 02:29:07.000]  I want the big story over Christmas to be.
[02:29:07.000 --> 02:29:12.000]  Alex Jones, the fake news guy says she, you know, says she's long gone silver.
[02:29:12.000 --> 02:29:15.000]  Long done.
[02:29:15.000 --> 02:29:16.000]  Family show.
[02:29:16.000 --> 02:29:17.000]  Family show.
[02:29:17.000 --> 02:29:18.000]  What?
[02:29:18.000 --> 02:29:20.000]  I'm talking about Long John Silver.
[02:29:20.000 --> 02:29:21.000]  Yeah.
[02:29:21.000 --> 02:29:22.000]  Ever seen that story?
[02:29:22.000 --> 02:29:23.000]  Treasure Island?
[02:29:23.000 --> 02:29:24.000]  Ever seen that movie?
[02:29:24.000 --> 02:29:25.000]  I'm going to stop.
[02:29:25.000 --> 02:29:26.000]  I'm going to stop.
[02:29:26.000 --> 02:29:27.000]  I'm trolling media.
[02:29:27.000 --> 02:29:28.000]  I apologize.
[02:29:28.000 --> 02:29:29.000]  Lord, I repent.
[02:29:29.000 --> 02:29:30.000]  I'm sorry.
[02:29:30.000 --> 02:29:31.000]  I'm sorry.
[02:29:31.000 --> 02:29:32.000]  They're going to take everything out of context.
[02:29:32.000 --> 02:29:33.000]  Sorry.
[02:29:33.000 --> 02:29:34.000]  Sorry.
[02:29:34.000 --> 02:29:36.000]  I can't wait to get to this actual fake news topic.
[02:29:36.000 --> 02:29:39.000]  That was satire media.
[02:29:39.000 --> 02:29:40.000]  That was satire.
[02:29:40.000 --> 02:29:43.000]  So you don't think Michelle Obama has a cot piece?
[02:29:43.000 --> 02:29:44.000]  No.
[02:29:44.000 --> 02:29:46.000]  She just looks like a man like Rachel Maddow.
[02:29:46.000 --> 02:29:47.000]  We'll be right back.
[02:29:47.000 --> 02:29:48.000]  It's nothing wrong with that.
[02:29:48.000 --> 02:29:49.000]  Mysteries in the universe.
[02:29:49.000 --> 02:29:50.000]  She says we're toddlers.
[02:29:50.000 --> 02:29:51.000]  Okay.
[02:29:51.000 --> 02:29:53.000]  Well, I can say mommy, that looks like a man.
[02:29:53.000 --> 02:29:58.000]  Look, mommy, it has a wee wee.
[02:29:58.000 --> 02:30:02.000]  As reported by the Daily Mail, yet another Russian diplomat is found dead.
[02:30:02.000 --> 02:30:07.000]  This one at his home in Moscow just hours after the reports came of the assassination
[02:30:07.000 --> 02:30:09.000]  of the Russian ambassador in Ankara, Turkey.
[02:30:09.000 --> 02:30:11.000]  Peter Pulsikov, 56 years old.
[02:30:11.000 --> 02:30:14.000]  He was found dead from a gunshot wound in his own home.
[02:30:14.000 --> 02:30:18.000]  He's reported to be a senior figure in Russia for the Latin American Department of Foreign
[02:30:18.000 --> 02:30:19.000]  Ministry.
[02:30:19.000 --> 02:30:20.000]  And here's what we know.
[02:30:20.000 --> 02:30:25.000]  This high-ranking Russian diplomat, he was found with gunshot wounds to the head, 56
[02:30:25.000 --> 02:30:26.000]  years old, in his own home.
[02:30:26.000 --> 02:30:28.000]  The shooting was disclosed by Wren TV.
[02:30:28.000 --> 02:30:32.000]  The news breaking shortly after the report coming of the assassination of the Russian
[02:30:32.000 --> 02:30:34.000]  ambassador to Ankara, Andrei Karlov.
[02:30:34.000 --> 02:30:37.000]  Now, the circumstances of this shooting remain very unclear.
[02:30:37.000 --> 02:30:41.000]  But what we do know is that police are examining all possible motives to his death.
[02:30:41.000 --> 02:30:46.000]  Two empty bullet wounds were found in the apartment in Belosky Prospect, and a gun was
[02:30:46.000 --> 02:30:49.000]  discovered under the sink and the bathroom as reported by Wren TV.
[02:30:49.000 --> 02:30:55.000]  Your latest update on the second assassination of a Russian diplomat in a spade of 48 hours.
[02:30:55.000 --> 02:31:24.000]  I'm Margaret Hall reporting for infowars.com.
[02:31:25.000 --> 02:31:50.000]  Thank you for watching.
[02:31:50.000 --> 02:32:19.000]  Talk to you soon.
[02:32:20.000 --> 02:32:48.000]  We'll be back.
[02:32:48.000 --> 02:33:14.000]  We'll be back.
[02:33:18.000 --> 02:33:44.000]  We'll be back.
[02:33:44.000 --> 02:34:11.000]  We'll be back.
[02:34:11.000 --> 02:34:36.000]  We'll be back.
[02:34:36.000 --> 02:35:02.000]  We'll be back.
[02:35:02.000 --> 02:35:28.000]  We'll be back.
[02:35:28.000 --> 02:35:54.000]  We'll be back.
[02:35:54.000 --> 02:36:20.000]  We'll be back.
[02:36:20.000 --> 02:36:46.000]  We'll be back.
[02:36:46.000 --> 02:37:12.000]  We'll be back.
[02:37:12.000 --> 02:37:38.000]  We'll be back.
[02:37:38.000 --> 02:38:04.000]  We'll be back.
[02:38:04.000 --> 02:38:30.000]  We'll be back.
[02:38:30.000 --> 02:38:56.000]  We'll be back.
[02:38:56.000 --> 02:39:22.000]  We'll be back.
[02:39:22.000 --> 02:39:48.000]  We'll be back.
[02:39:48.000 --> 02:40:14.000]  We'll be back.
[02:40:14.000 --> 02:40:40.000]  We'll be back.
[02:40:40.000 --> 02:41:06.000]  We'll be back.
[02:41:06.000 --> 02:41:32.000]  We'll be back.
[02:41:32.000 --> 02:41:58.000]  We'll be back.
[02:41:58.000 --> 02:42:24.000]  We'll be back.
[02:42:24.000 --> 02:42:50.000]  We'll be back.
[02:42:50.000 --> 02:43:16.000]  We'll be back.
[02:43:16.000 --> 02:43:42.000]  We'll be back.
[02:43:42.000 --> 02:44:02.000]  We'll be back.
[02:44:02.000 --> 02:44:30.000]  We'll be back.
[02:44:30.000 --> 02:44:56.000]  We'll be back.
[02:44:56.000 --> 02:45:22.000]  We'll be back.
[02:45:22.000 --> 02:45:48.000]  We'll be back.
[02:45:48.000 --> 02:46:14.000]  We'll be back.
[02:46:14.000 --> 02:46:40.000]  We'll be back.
[02:46:40.000 --> 02:47:06.000]  We'll be back.
[02:47:06.000 --> 02:47:32.000]  We'll be back.
[02:47:32.000 --> 02:47:58.000]  We'll be back.
[02:47:58.000 --> 02:48:24.000]  We'll be back.
[02:48:24.000 --> 02:48:50.000]  We'll be back.
[02:48:50.000 --> 02:49:16.000]  We'll be back.
[02:49:16.000 --> 02:49:42.000]  We'll be back.
[02:49:42.000 --> 02:50:08.000]  We'll be back.
[02:50:08.000 --> 02:50:34.000]  We'll be back.
[02:50:34.000 --> 02:50:58.000]  We'll be back.
[02:50:58.000 --> 02:51:14.000]  We'll be back.
[02:51:14.000 --> 02:51:28.000]  We'll be back.
[02:51:28.000 --> 02:51:54.000]  We'll be back.
[02:51:54.000 --> 02:52:20.000]  We'll be back.
[02:52:20.000 --> 02:52:46.000]  We'll be back.
[02:52:46.000 --> 02:53:12.000]  We'll be back.
[02:53:12.000 --> 02:53:38.000]  We'll be back.
[02:53:38.000 --> 02:53:58.000]  We'll be back.
[02:54:08.000 --> 02:54:34.000]  We'll be back.
[02:54:34.000 --> 02:55:00.000]  We'll be back.
[02:55:00.000 --> 02:55:26.000]  We'll be back.
[02:55:26.000 --> 02:55:52.000]  We'll be back.
[02:55:52.000 --> 02:56:18.000]  We'll be back.
[02:56:18.000 --> 02:56:46.000]  We'll be back.
[02:56:46.000 --> 02:57:08.000]  We'll be back.
[02:57:08.000 --> 02:57:28.000]  We'll be back.
[02:57:28.000 --> 02:57:56.000]  We'll be back.
[02:57:56.000 --> 02:58:22.000]  We'll be back.
[02:58:22.000 --> 02:58:48.000]  We'll be back.
[02:58:48.000 --> 02:59:14.000]  We'll be back.
[02:59:14.000 --> 02:59:40.000]  We'll be back.
[02:59:40.000 --> 03:00:06.000]  We'll be back.
[03:00:06.000 --> 03:00:28.000]  We'll be back.
[03:00:28.000 --> 03:00:54.000]  We'll be back.
[03:00:54.000 --> 03:01:20.000]  We'll be back.
[03:01:20.000 --> 03:01:46.000]  We'll be back.
[03:01:46.000 --> 03:02:12.000]  We'll be back.
[03:02:12.000 --> 03:02:40.000]  We'll be back.
[03:02:40.000 --> 03:03:06.000]  We'll be back.
[03:03:06.000 --> 03:03:26.000]  We'll be back.
[03:03:26.000 --> 03:03:54.000]  We'll be back.
[03:03:54.000 --> 03:04:16.000]  We'll be back.
[03:04:16.000 --> 03:04:42.000]  We'll be back.
[03:04:42.000 --> 03:04:58.000]  We'll be back.
[03:05:12.000 --> 03:05:38.000]  We'll be back.
[03:05:38.000 --> 03:05:58.000]  We'll be back.
[03:05:58.000 --> 03:06:26.000]  We'll be back.
[03:06:26.000 --> 03:06:52.000]  We'll be back.
[03:06:52.000 --> 03:07:18.000]  We'll be back.
[03:07:18.000 --> 03:07:38.000]  We'll be back.
[03:07:38.000 --> 03:08:00.000]  We'll be back.
[03:08:08.000 --> 03:08:28.000]  We'll be back.
[03:08:28.000 --> 03:08:56.000]  We'll be back.
[03:08:56.000 --> 03:09:18.000]  We'll be back.
[03:09:18.000 --> 03:09:38.000]  We'll be back.
[03:09:38.000 --> 03:10:06.000]  We'll be back.
[03:10:06.000 --> 03:10:28.000]  We'll be back.
[03:10:28.000 --> 03:10:54.000]  We'll be back.
[03:10:54.000 --> 03:11:10.000]  We'll be back.
[03:11:10.000 --> 03:11:38.000]  We'll be back.
[03:11:38.000 --> 03:12:06.000]  We'll be back.
[03:12:06.000 --> 03:12:34.000]  We'll be back.
[03:12:34.000 --> 03:13:00.000]  We'll be back.
[03:13:00.000 --> 03:13:26.000]  We'll be back.
[03:13:26.000 --> 03:13:52.000]  We'll be back.
[03:13:52.000 --> 03:14:20.000]  We'll be back.
[03:14:20.000 --> 03:14:46.000]  We'll be back.
[03:14:46.000 --> 03:15:06.000]  We'll be back.
[03:15:06.000 --> 03:15:34.000]  We'll be back.
[03:15:34.000 --> 03:16:02.000]  We'll be back.
[03:16:02.000 --> 03:16:28.000]  We'll be back.
[03:16:28.000 --> 03:16:54.000]  We'll be back.
[03:16:54.000 --> 03:17:10.000]  We'll be back.
[03:17:10.000 --> 03:17:36.000]  We'll be back.
[03:17:36.000 --> 03:18:02.000]  We'll be back.
[03:18:02.000 --> 03:18:22.000]  We'll be back.
[03:18:22.000 --> 03:18:50.000]  We'll be back.
[03:18:50.000 --> 03:19:18.000]  We'll be back.
[03:19:18.000 --> 03:19:40.000]  We'll be back.
[03:19:40.000 --> 03:20:08.000]  We'll be back.
[03:20:08.000 --> 03:20:36.000]  We'll be back.
[03:20:36.000 --> 03:21:04.000]  We'll be back.
[03:21:04.000 --> 03:21:32.000]  We'll be back.
[03:21:32.000 --> 03:22:00.000]  We'll be back.
[03:22:00.000 --> 03:22:26.000]  We'll be back.
[03:22:26.000 --> 03:22:54.000]  We'll be back.
[03:22:54.000 --> 03:23:22.000]  We'll be back.
[03:23:22.000 --> 03:23:50.000]  We'll be back.
[03:23:50.000 --> 03:24:12.000]  We'll be back.
[03:24:12.000 --> 03:24:34.000]  We'll be back.
[03:24:34.000 --> 03:25:02.000]  We'll be back.
[03:25:02.000 --> 03:25:30.000]  We'll be back.
[03:25:30.000 --> 03:25:52.000]  We'll be back.
[03:25:52.000 --> 03:26:20.000]  We'll be back.
[03:26:20.000 --> 03:26:36.000]  We'll be back.
[03:26:36.000 --> 03:26:58.000]  We'll be back.
[03:26:58.000 --> 03:27:24.000]  We'll be back.
[03:27:24.000 --> 03:27:52.000]  We'll be back.
[03:27:52.000 --> 03:28:14.000]  We'll be back.
[03:28:14.000 --> 03:28:36.000]  We'll be back.
[03:28:36.000 --> 03:29:04.000]  We'll be back.
[03:29:04.000 --> 03:29:26.000]  We'll be back.
[03:29:26.000 --> 03:29:46.000]  We'll be back.
[03:29:46.000 --> 03:29:58.000]  We'll be back.
[03:30:16.000 --> 03:30:38.000]  We'll be back.
[03:30:38.000 --> 03:30:58.000]  We'll be back.
[03:30:58.000 --> 03:31:24.000]  We'll be back.
[03:31:24.000 --> 03:31:28.000]  If you're dealing with a health challenge or if you're healthy and want to maintain your vigor and longevity,
[03:31:28.000 --> 03:31:34.000]  and you're looking for a convenient, easy way to incorporate nutritional raw materials into your day-to-day lives,
[03:31:34.000 --> 03:31:41.000]  to guarantee that your body is getting the fundamental nutrients, the 90 essential vitamins, minerals, fats, and amino acids it needs to do its healing work,
[03:31:41.000 --> 03:31:45.000]  you need to check out infowarsteam.com.
[03:31:45.000 --> 03:31:51.000]  Give your body the gift of good nutrition. Head over to infowarsteam.com. Your body will be very grateful.
[03:31:51.000 --> 03:31:58.000]  On the web at infowarsteam.com. That's infowarsteam.com.
[03:32:21.000 --> 03:32:36.000]  It's a hand-selected blend of saw palmetto, lycopene, plant sterols, zinc, vitamin D3, selenium, and copper.
[03:32:36.000 --> 03:32:47.000]  Prostagard is something that the men on the Infowars crew take every day, and from our research, it's something that men should really be adding to their daily regimen in order to keep their body going at optimal levels.
[03:32:47.000 --> 03:32:58.000]  Now's the time to start naturally supporting your body. Get Prostagard on your side today, exclusively at infowarslife.com. That's infowarslife.com.
[03:33:17.000 --> 03:33:33.000]  Every time I get a chance, I listen to Roger Stowe on Infowars. Roger's a badass MF.
[03:33:33.000 --> 03:33:43.000]  Thank you, that wasn't really the Reverend Al Sharpen, but it sure sounded like him. Thanks for joining me again on Infowars, sitting in for the great Alex Jones.
[03:33:43.000 --> 03:33:56.000]  Two terrific appointments that aren't getting the kind of attention I think it needs, and I think answers the question that there are not loyal Trumpites be appointed to the administration.
[03:33:56.000 --> 03:34:03.000]  One is Monica Crowley, friend of mine of many years, a former top aide to former President Richard Nixon.
[03:34:03.000 --> 03:34:18.000]  A young woman who is a terrific writer, a non-globalist, a Trump supporter from the beginning, now going over to essentially be the director of information for the national security apparatus,
[03:34:18.000 --> 03:34:29.000]  and then also very happy to hear about, there she is, stunning, smart, and enormously capable. This could be one of Donald Trump's greatest hires.
[03:34:29.000 --> 03:34:42.000]  And then the other person, frankly, I'm most excited about is Larry Kudlow. Larry Kudlow played a central role in the formulation of Donald Trump's economic plan to move this country forward.
[03:34:42.000 --> 03:34:48.000]  He is a proponent of growth. He is a proponent of cutting the corporate tax rate.
[03:34:48.000 --> 03:35:04.000]  He understands that the same tactics that President John F. Kennedy and President Ronald Reagan used to move the economy forward through tax reduction can work again, and President Trump should not be talked out of his radical plan to move this economy.
[03:35:04.000 --> 03:35:08.000]  With Larry Kudlow there, I don't believe he will be.
[03:35:08.000 --> 03:35:20.000]  On the downside, I have read about the potential appointment of Richard Haas of the Council on Foreign Relations to the number two position at the State Department for a myriad of reasons.
[03:35:20.000 --> 03:35:26.000]  I think this is a terrible idea. Let's keep an eye on that story and see if that really happens.
[03:35:26.000 --> 03:35:38.000]  Now I want to turn to John Hagerty, who joined me several days ago on the Stone Cold Truth radio show, an incredible interview that I really wanted to go into here.
[03:35:38.000 --> 03:35:45.000]  John Hagerty is among the most respected and knowledgeable experts on election law and recounts.
[03:35:45.000 --> 03:35:57.000]  And it was John Hagerty with a team of others, real professionals, who were sent to Wisconsin to manage the Jill Stein-generated Hillary Clinton-backed George Soros-funded recount.
[03:35:57.000 --> 03:36:01.000]  So John Hagerty, welcome to Infowars. Great to have you today.
[03:36:01.000 --> 03:36:05.000]  Good afternoon, Roger. It's a pleasure to join you again.
[03:36:05.000 --> 03:36:28.000]  So lay out for our listeners exactly what happened in Wisconsin and then give us a taste of Michigan and Pennsylvania, because based on everything I have read, the Clintonites with Jill Stein fronting for them never presented any evidence whatsoever of irregularities or undervotes, overvotes, nothing.
[03:36:28.000 --> 03:36:44.000]  Their entire complaint was based on two incredible arguments, one that the machines could be hacked when I said that before the election, they tried to crucify me, and that the polls didn't match the final results, so the final results must be wrong.
[03:36:44.000 --> 03:36:46.000]  Take it away, John Hagerty.
[03:36:46.000 --> 03:37:03.000]  Well, that is correct, Roger. This was a baseless recount, and let me give you some background before we go to the specific states. So even though it's a federal election, state law controls the conduct of elections in each state, and each state is a little different in how they do things.
[03:37:03.000 --> 03:37:23.000]  So in Wisconsin, Wisconsin allows for a recount for any candidate if they're willing to pay a fee, and the fee is calculated on the number of votes and what the cost would be. So Jill Stein paid a fee of about $4 million to have a recount, even though she was the fourth place candidate in Wisconsin.
[03:37:23.000 --> 03:37:45.000]  And she remained the fourth place candidate even after the recount was over. So what she did was she dragged these hard-working board of elections officials, employees, who had just worked four months on a presidential election, and made them come in during the holiday season and spend 12 to 14 hours a day to recount the election in time for the electoral college.
[03:37:45.000 --> 03:37:58.000]  The election system in Wisconsin is very professional, very professionally run, and in the end of the day, Donald Trump gained 131 votes, and Jill Stein gained about 60 votes.
[03:37:58.000 --> 03:38:09.000]  And to give you an idea, we're talking out of over 3 million votes cast in Wisconsin, which that change translates into.006% change, which is nothing.
