[00:00.000 --> 00:13.000]  Defending the Republic from enemies born and domestic it's Alex Jones
[3:03:15.000 --> 3:03:26.000]  Boris could have said, just like Trump could have said, who is this guy, Neil Ferguson? What is his track record? What has he done?
[3:03:26.000 --> 3:03:39.000]  Would I buy a used car from this man, a light bulb, a box of matches, anything? What do we know about him, Fauci?
[3:03:39.000 --> 3:03:51.000]  Apparently not. Because if Trump had asked Fauci, or if Boris Johnson had asked any number of people, or Merkel, or Macron,
[3:03:51.000 --> 3:03:58.000]  we would have seen a completely different outcome. This is what you have to understand.
[3:03:58.000 --> 3:04:14.000]  We would have seen a completely different outcome. No lockdowns. No lockdowns. Instead, it would have been well, just like Fauci said in February.
[3:04:14.000 --> 3:04:26.000]  It's like a serious season of the flu, and that's about it. We get through it. We always do. Back to work. Here we go.
[3:04:26.000 --> 3:04:39.000]  But instead, this little potato head, Fauci, who pretends to be a scientist, who pretends to be a manager, who pretends to be a supervisor,
[3:04:39.000 --> 3:04:49.000]  he said, Mr. President, two million deaths are on your head unless you lock down the country. We'll be back.
[3:05:10.000 --> 3:05:20.000]  The moment of truth is now here. We are facing the post-human era, and I've been warning you for many years that they would use a global viral crisis
[3:05:20.000 --> 3:05:32.000]  to click, put us in the cage, and then roll out the robot takeover. This is just the beta test. China is moving out of beta and into operational control.
[3:05:32.000 --> 3:05:42.000]  In just a few years, we will be under full globalist control, forced inoculations, total surveillance, and we're all being taught that we are obsolete.
[3:05:42.000 --> 3:06:03.000]  The term they use is non-essential. This is not some dystopian novel. This is reality. This is the New World Order. This is Satanism.
[3:06:03.000 --> 3:06:12.000]  Very exciting and positive has happened. The people of the United States, the people of the UK, the people of Europe and Asia, as well as Latin America,
[3:06:12.000 --> 3:06:22.000]  began to go to local hospitals when they heard that they were all overwhelmed with death and body bags, and then to show that local media was staging events,
[3:06:22.000 --> 3:06:28.000]  was staging photo shoots with actors and people dressed up in hazmat suits.
[3:06:28.000 --> 3:06:37.000]  Now, a few months ago, when we were first exposing that, the media attacked us and said we were fake news, but then more and more citizens went out and documented it for themselves
[3:06:37.000 --> 3:06:42.000]  when they would see a local press conference saying, we're here, there's lines around the block, there's, you know, body bags everywhere.
[3:06:42.000 --> 3:06:48.000]  People would drive sometimes in a few minutes and get there and show that it was almost completely empty and was a hoax.
[3:06:48.000 --> 3:06:59.000]  Project Veritas has now gotten insiders to come out. It's breaking today and show how CBS staged one of these events. This is smoking gun information.
[3:06:59.000 --> 3:07:09.000]  Also, US Intel has come out and said that China has been caught hyping this and working with mainstream media and funding it, and they're afraid that they're going to try to break into the databases
[3:07:09.000 --> 3:07:19.000]  and inflate COVID numbers so we never reopen. It's now confirmed, this has been a CHICOM Deep State NIH WHO operation to bring in panic,
[3:07:19.000 --> 3:07:27.000]  world government and economic collapse to bring the first world into submission and to starve and depopulate the third world.
[3:07:27.000 --> 3:07:33.000]  So here is some of the highlights of this incredible Project Veritas report, and I'll be back with some final words.
[3:07:33.000 --> 3:07:48.000]  You're telling me you're 100% certain that CBS News, CBS News Corporation, National, staged a fake event.
[3:07:48.000 --> 3:07:57.000]  They fake the news. They fake the reality and broadcasted that to all of their audience last Friday on CBS This Morning.
[3:07:57.000 --> 3:08:06.000]  100% absolutely. Only six states have reported more cases than Michigan, but fewer than 2% of its people have been tested for the virus.
[3:08:06.000 --> 3:08:15.000]  In our series on the state of coronavirus testing, Adriana Diaz shows how Michigan is trying to improve a system that has failed some of its people.
[3:08:15.000 --> 3:08:20.000]  But the governor says testing above all else will help determine when to fully reopen.
[3:08:20.000 --> 3:08:30.000]  Apparently, the news crew wanted more people online, because they knew it was COVID.
[3:08:30.000 --> 3:08:36.000]  Well, we knew when they were coming. We had no clue that we were going to have to do fake patients.
[3:08:36.000 --> 3:08:41.000]  Did she tell you guys, like, hey, you're not actually getting tested?
[3:08:41.000 --> 3:08:51.000]  Yeah, yeah, yeah, she just was just to make it look busy.
[3:08:51.000 --> 3:08:52.000]  That's crazy.
[3:08:52.000 --> 3:08:58.000]  Well, I didn't see you guys had to do the swab at all. I just saw you talking with them, and then I was talking with the other girl.
[3:09:02.000 --> 3:09:05.000]  There were a couple of real patients that made it worse.
[3:09:05.000 --> 3:09:08.000]  They probably just wanted to look busy.
[3:09:08.000 --> 3:09:11.000]  Is this the fake lines?
[3:09:11.000 --> 3:09:13.000]  Yes, yep, that's it.
[3:09:13.000 --> 3:09:16.000]  So the people in the cars are not patients?
[3:09:16.000 --> 3:09:31.000]  The majority of them. I do know from talking with the testers that one of them, one or two of them were real patients, which added to their frustration, because this line sat there for a while so they could organize the shot.
[3:09:31.000 --> 3:09:38.000]  So they've made a line of cars with medical personnel on the cars as opposed to patients?
[3:09:38.000 --> 3:09:39.000]  Correct.
[3:09:39.000 --> 3:09:40.000]  And the viewer does not know that?
[3:09:40.000 --> 3:09:48.000]  Correct. You shouldn't be afraid to say the truth, because in the end, you know, truth always wins.
[3:09:48.000 --> 3:09:58.000]  As horrifying as this report is, the good news is grassroots journalists were the first to begin exposing this more than two months ago, and it shows the power of we the people.
[3:09:58.000 --> 3:10:04.000]  And I have friends and I have family that really thought COVID-19 was the end of the world and who really bought it to the hype.
[3:10:04.000 --> 3:10:10.000]  But now they're seeing the numbers, and now they're seeing the medical doctors come out and expose the fact that it's not even as bad as the flu.
[3:10:10.000 --> 3:10:18.000]  And people are really beginning to understand what a monstrous bill of malendigates financed hoax this has all been.
[3:10:18.000 --> 3:10:21.000]  But they're blocking Project Veritas on YouTube.
[3:10:21.000 --> 3:10:24.000]  They're blocking all of our videos on YouTube, Facebook and Twitter.
[3:10:24.000 --> 3:10:38.000]  That's why this is posted at Band.video, and when you get excited and when you promote these band videos, like the doctors that came out and exposed it as a hoax a few weeks ago, the YouTube band, we mirrored it and it got over a million views at Band.video.
[3:10:38.000 --> 3:10:51.000]  So the next part of this equation is you taking action and sharing this video on your email, on your Twitter, on your Facebook, on your YouTube, and by word of mouth, don't let these criminals continue to operate like this.
[3:10:51.000 --> 3:11:02.000]  They think you're stupid. They think I'm stupid. They think we're weak. They think they can override us and tell these incredible lies and stage these events, but they're not going to be able to do it.
[3:11:02.000 --> 3:11:15.000]  So again, ladies and gentlemen, they are taking all the normal deaths of heart attacks, cancer, pneumonia, and putting it in the column of COVID-19 to jack up the numbers because they want to be able to have this lockdown.
[3:11:15.000 --> 3:11:29.000]  So President Trump and President Balasaro and others lose to repudiate nationalism. They admitted they wanted a global depression to stop Donald Trump, and now they're close to doing it, but not close enough because we the people are taking action.
[3:11:29.000 --> 3:11:34.000]  So spread this video now like you've never had before, and I salute you and I thank you.
[3:11:34.000 --> 3:11:37.000]  Band.video!
[3:11:37.000 --> 3:11:57.000]  Alright, John Rathaport back here. So why would they fake reality? Because they don't have the numbers. Because they don't have reality.
[3:11:57.000 --> 3:12:12.000]  I mean, that's why you fake it when you don't have it. If you don't have it, you need to fake it. This is what I've been saying and writing for the past three months, day and night, day and night, day and night.
[3:12:12.000 --> 3:12:28.000]  Why do you think it's the 80 year olds and the 70 year olds and the 95 year olds? They're saying, oh yeah, it was a COVID death, a COVID death, a COVID death. Yeah, he fell off a cliff and on the way down, we tested him and he was positive.
[3:12:28.000 --> 3:12:38.000]  So he's a COVID death because they don't have the numbers because it doesn't add up because it doesn't make sense.
[3:12:38.000 --> 3:12:43.000]  They've been doing this with flu and pneumonia for decades.
[3:12:43.000 --> 3:12:55.000]  CDC putting flu and pneumonia in the same category in the year 2001 as was exposed in the BMJ British Medical Journal online.
[3:12:55.000 --> 3:13:10.000]  If you took down the number of actual flu deaths in the US that you could confirm by finding the virus with a test, you got 18. Not 36,000. Friggin 18.
[3:13:10.000 --> 3:13:21.000]  Oh, he couldn't be right. That's ridiculous. That would never happen. Yeah, well, you've been fooled again. That's all I can say. You've been fooled again.
[3:13:21.000 --> 3:13:36.000]  All these numbers are concocted, flu numbers, COVID numbers. Why? Because they don't have enough numbers that they can blame on a virus.
[3:13:36.000 --> 3:13:44.000]  Because if they can blame it on a virus, they can tell you, you've got to have a vaccine. Get it?
[3:13:44.000 --> 3:13:57.000]  And so this is what this guy, Neil Ferguson, was there for at the Imperial College of London. Tens of millions of dollars go into the Institute from Bill Gates.
[3:13:57.000 --> 3:14:01.000]  That is Ferguson's Institute.
[3:14:01.000 --> 3:14:22.000]  And he is a computer modeler that makes the dire predictions that this psychopath that you're looking at on the screen, Bill Gates, can now use to say, we have to shoot everybody up on the planet with a COVID vaccine before we can end the lockdown.
[3:14:22.000 --> 3:14:25.000]  I mean, wow.
[3:14:25.000 --> 3:14:36.000]  And much, in fact, it's exactly like saying, we have to destroy the village in order to save it. Remember that one?
[3:14:36.000 --> 3:14:46.000]  We have to destroy the village in order to save it. That's what these psychopaths and sociopaths like Gates believe.
[3:14:46.000 --> 3:14:59.000]  We have to start over. Humanity is flawed. But we're the engineers. We can create a perfect technocracy with wall-to-wall surveillance to the Chinese model, as Alex was talking about.
[3:14:59.000 --> 3:15:08.000]  And we can impose that on the entire world. But in order to do that, we have to destroy what we've got in front of us.
[3:15:08.000 --> 3:15:27.000]  So in the succeeding segment, I will go chapter and verse on Neil Ferguson's past failed predictions, where if people were paying attention, anybody, doesn't have to be Trump, Fauci, Boris Johnson,
[3:15:27.000 --> 3:15:44.000]  anybody in any public health status as a bureaucrat was paying attention to what Ferguson has predicted in the past. They would say, well, at best, this guy should be modeling the number of cockroaches and motels.
[3:15:44.000 --> 3:15:52.000]  That's it. And that's it for the moment. But stay because you're going to want to hear this. We'll be back after the break.
[3:15:52.000 --> 3:15:58.000]  You know what's really smart? Wash your hands frequently, practice social distancing, and stay home if told to do so.
[3:15:58.000 --> 3:16:06.000]  You know what's really dumb? To ignore your immune system. Right now, more than ever, your health depends on a strong immune system.
[3:16:06.000 --> 3:16:15.000]  The experts at Immunocorp will give you their seven-step guide to immunity for life, free. Why? Because we want you to be smart and healthy.
[3:16:15.000 --> 3:16:27.000]  Simply call 800-446-3063 or click immunityforlife.com. Immunocorp has been producing the world's leading immune system products for more than two decades.
[3:16:27.000 --> 3:16:36.000]  To get your free seven-step guide to immunity for life, call 800-446-3063. 800-446-3063.
[3:16:36.000 --> 3:16:48.000]  Be smart. Don't ignore your immune system. Your life depends on it. Call 800-446-3063 or click immunityforlife.com. Immunityforlife.com.
[3:17:06.000 --> 3:17:14.000]  NASA PAC technology. Bacon. Fully cooked, fully hydrated, ready to eat right from the PAC bacon, or warm and served.
[3:17:14.000 --> 3:17:23.000]  Life-saving, ready to eat bacon. Ten-year shelf life bacon. Ships free at fullycookedbacon.com. Fullycookedbacon.com.
[3:17:23.000 --> 3:17:32.000]  Maybe not today. Maybe not tomorrow. But soon, you'll need a plan and place to survive. Forget bunkers. You're not a live underground gopher.
[3:17:32.000 --> 3:17:43.000]  You need survivalist camps. The ultimate, fully functional, off-the-grid, mobile survival bug outhouse that's well-equipped and custom-built to outlast any other RV or trailer. Bold statement, you bit.
[3:17:43.000 --> 3:17:52.000]  See them now at survivalistcamps.com. That's survivalistcamps.com. Trust your family survival to survivalistcamps.com.
[3:17:52.000 --> 3:18:06.000]  The America that we've known and loved. The America that was the land of the free home of the brave is dying right now. And everything our enemies are doing is about domesticating us, shutting us down and making us dependent on them.
[3:18:06.000 --> 3:18:13.000]  The food shortages have begun. The depression is going to be long and very, very serious. In fact, it's probably too late now to even turn back.
[3:18:13.000 --> 3:18:22.000]  Trump tried to stop it, but the mainstream media working with the tricom has blocked it. That's why you and myself and everybody else has to get prepared now. Do not wait.
[3:18:22.000 --> 3:18:29.000]  It's not about the virus. It's about the economic chaos that's going to be unleashed in the next six months to a year. Get your high-quality, storeable foods.
[3:18:29.000 --> 3:18:36.000]  And in FullWareShore.com, they're available again. But for a limited time, the food supply is running out. There are major shortages.
[3:18:36.000 --> 3:18:45.000]  This is a globalist siege, a globalist lockdown, globalist terrorism. But we, the people, the patriots, have to be prepared.
[3:18:45.000 --> 3:19:10.000]  We've already been proven right about prepping so far. We'll get ready to be really proven right. Get your storeable foods now at infowarestore.com.
[3:19:15.000 --> 3:19:23.000]  We're looking to support a healthy living or athletic performance. So check out one of the most incredible ingredients today with Bassobeat from Infowars Life.
[3:19:45.000 --> 3:19:55.000]  This groundbreaking, gravity-fed water filtration system is like no other. Make sure your water is up to your standards today with the Alexa Pure Pro.
[3:19:55.000 --> 3:20:02.000]  You're listening to the Alex Jones Show.
[3:20:02.000 --> 3:20:18.000]  We don't get through the game.
[3:20:18.000 --> 3:20:32.000]  But this is why it's important for you to know this, because it's how you've been tricked, scammed, lied to, cheated, etc.
[3:20:32.000 --> 3:20:47.000]  Bill Gates. His money goes to the Institute at Imperial College in London. That institute is run by Neil Ferguson, a scientist, computer modeler.
[3:20:47.000 --> 3:20:59.000]  Neil Ferguson comes up with a computer model saying huge numbers of deaths in the U.K. and U.S. and, by implication, everywhere else, unless we lock down.
[3:20:59.000 --> 3:21:02.000]  Prediction.
[3:21:02.000 --> 3:21:12.000]  Neil Ferguson has a direct line into the World Health Organization, which of course is also heavily funded and basically owned by Bill Gates.
[3:21:12.000 --> 3:21:21.000]  So Ferguson tells the CDC World Health Organization, here's what's going to happen. Here's the horror story.
[3:21:21.000 --> 3:21:35.000]  He's talking for Bill Gates, basically, because he's funded by Bill Gates, and he's giving the justification and the rationale for a COVID vaccine worldwide, which is the plan, the Bill Gates plan.
[3:21:35.000 --> 3:21:45.000]  The terrible number of deaths, unless we lock down, can't end the lockdown until vaccine. Got it?
[3:21:45.000 --> 3:22:01.000]  CDC World Health Organization go to governments like the U.K., like U.S., France, Germany, etc., etc., and say, okay, if you don't want millions of deaths on your head, you've got to lock down the country.
[3:22:01.000 --> 3:22:21.000]  And excuse me for suggesting that political and mathematical idiots run these countries, but they do, because they don't ask questions, because they don't say what you or I would say.
[3:22:21.000 --> 3:22:38.000]  Who's the modeler? Who made the predictions? What's his track record? Why should I just take your word for it and lock down an entire country and bring the economy to a standstill?
[3:22:38.000 --> 3:22:47.000]  Because you are standing in front of me in my office and claiming that millions of people are going to die.
[3:22:47.000 --> 3:22:55.000]  But no, they don't do that. They just say, well, okay, I guess that's what we have to do.
[3:22:55.000 --> 3:23:24.000]  Morons, idiots. Okay, here's the man's track record. 2001, Ferguson, in a computer model, predicted 150,000 people could die from mad cow disease in the U.K., causing the destruction of 6 million animals in the U.K.
[3:23:24.000 --> 3:23:40.000]  Think about that, 6 million. And according to official stats anyway, in the end, 150,000 people died, 200 people died.
[3:23:40.000 --> 3:23:53.000]  6 million animals. Are you ready to wake up tomorrow and say, hey, let's kill 6 million cows and sheep? That was 2001.
[3:23:53.000 --> 3:24:06.000]  Now, Big E came in 2005 with bird flu. When Ferguson predicted, get this, 200 million people could die, right?
[3:24:06.000 --> 3:24:16.000]  The official real number when it was over in the low hundreds. That's the sky's track record.
[3:24:16.000 --> 3:24:25.000]  Now, hey, attention, don't go to sleep. Don't cop out on me. Listen.
[3:24:25.000 --> 3:24:37.000]  This bird flu model was the same basic computer structure model that Ferguson used in 2020 to predict COVID deaths.
[3:24:37.000 --> 3:24:46.000]  He said 200 million could die from bird flu in 2005, and the final official count was in the low hundreds.
[3:24:46.000 --> 3:25:00.000]  Then in 2009, swine flu predicted 65,000 people could die in the U.K., and the final figure was below 500.
[3:25:00.000 --> 3:25:03.000]  Got it?
[3:25:03.000 --> 3:25:18.000]  This is the a-hole, the criminal scientist who is praised to the sky as a genius and whatever that all these governments are following.
[3:25:18.000 --> 3:25:21.000]  He's funded by Bill Gates.
[3:25:21.000 --> 3:25:26.000]  Bill Gates wants a lockdown.
[3:25:26.000 --> 3:25:34.000]  Ferguson provides the rationale for the lockdown. The countries are locked down.
[3:25:34.000 --> 3:25:37.000]  Economies are destroyed.
[3:25:37.000 --> 3:25:49.000]  People become robots walking down the street in masks and gloves like idiots everywhere.
[3:25:49.000 --> 3:25:54.000]  And the whole thing is a fake.
[3:25:54.000 --> 3:25:57.000]  I said it was a fake from the beginning.
[3:25:57.000 --> 3:26:02.000]  I said the whole point was the vaccine from the beginning.
[3:26:02.000 --> 3:26:05.000]  I said everything else was a fake.
[3:26:05.000 --> 3:26:10.000]  I've said they were all fakes since 1987.
[3:26:10.000 --> 3:26:17.000]  I've investigated fake epidemics for 30 years.
[3:26:17.000 --> 3:26:27.000]  Eventually people come around when they see the devastation, the economic devastation that is being brought in the name of a virus.
[3:26:27.000 --> 3:26:32.000]  And they begin to ask questions because they have to.
[3:26:32.000 --> 3:26:34.000]  Because they have to.
[3:26:34.000 --> 3:26:41.000]  Because they say, should I sacrifice myself on the altar of saving my next door neighbor from a virus?
[3:26:41.000 --> 3:26:45.000]  I don't even know whether I have.
[3:26:45.000 --> 3:26:48.000]  I don't even know whether it exists.
[3:26:48.000 --> 3:26:52.000]  I don't even know how the test works or whether it's any good.
[3:26:52.000 --> 3:26:55.000]  Is that what you're asking me to do?
[3:26:55.000 --> 3:26:57.000]  To lose my job?
[3:26:57.000 --> 3:27:00.000]  To lose my livelihood?
[3:27:00.000 --> 3:27:03.000]  To go bankrupt?
[3:27:03.000 --> 3:27:12.000]  To sacrifice myself on the altar of insane psychopaths?
[3:27:12.000 --> 3:27:16.000]  Is that what you want from me?
[3:27:16.000 --> 3:27:18.000]  I don't think so.
[3:27:18.000 --> 3:27:23.000]  I just have a sneaky feeling it's probably not the right thing to do.
[3:27:23.000 --> 3:27:27.000]  Do you know what I mean, listeners, viewers?
[3:27:27.000 --> 3:27:29.000]  Get where I'm going with this.
[3:27:29.000 --> 3:27:41.000]  It's probably not the right thing to do to say, well, gee, if you want me to sacrifice myself for all of that, I guess maybe I will.
[3:27:41.000 --> 3:27:43.000]  Okay, sure, whatever.
[3:27:43.000 --> 3:27:48.000]  I'll become a robot, a pod person, if that's what you want.
[3:27:48.000 --> 3:28:03.000]  You know those ads, I won't name the company, that show somebody like jumping into a pit of fire because supposedly the rain is going to come through a ceremony by which they keep sacrificing people.
[3:28:03.000 --> 3:28:10.000]  And the rain doesn't show up and the idiots keep sacrificing people.
[3:28:10.000 --> 3:28:13.000]  That's what I mean when I say fake.
[3:28:13.000 --> 3:28:17.000]  That's what I mean when I say fake.
[3:28:17.000 --> 3:28:19.000]  It was fake from the beginning.
[3:28:19.000 --> 3:28:25.000]  It was fake in Wuhan, it was fake in Italy, it was fake in other Chinese cities.
[3:28:25.000 --> 3:28:28.000]  The whole thing was based on a fake.
[3:28:28.000 --> 3:28:35.000]  And I'll go into it as we wind down on this segment as to how the whole thing was faked from the beginning.
[3:28:35.000 --> 3:28:50.000]  And why that was, if you were a criminal sociopath, the best way to do this by fake, there it is, rather than by an actual virus.
[3:28:50.000 --> 3:29:16.000]  Fake is my cheese.
[3:29:16.000 --> 3:29:42.000]  Fake is my cheese.
[3:29:42.000 --> 3:29:53.000]  Fake is my cheese.
[3:29:53.000 --> 3:30:13.000]  Globalism is all about making the nation state and the population itself obsolete, non-essential. That's why they position it with economic tariffs, taxes and controls to where family farms and industry that's based in the United States has to shut down or be part of a large corporate conglomerate.
[3:30:13.000 --> 3:30:24.000]  That's part of making us obsolete so that as the human world is phased out, they can simply look at us and say, because again, you are non-essential.
[3:30:24.000 --> 3:30:27.000]  That's what the robots and all of this is about.
[3:30:27.000 --> 3:30:31.000]  It's about setting it up where we're no longer in charge of our lives.
[3:30:31.000 --> 3:30:35.000]  We can be told to stay on our houses, and after all, shut up.
[3:30:35.000 --> 3:30:37.000]  This world doesn't belong to people anyways.
[3:30:37.000 --> 3:30:41.000]  It belongs to the new AI gods, the rich elitists that have merged with machines.
[3:30:41.000 --> 3:30:44.000]  Yeah, that sounds completely insane, doesn't it?
[3:30:44.000 --> 3:30:47.000]  That's actually the public plan they're pushing.
[3:30:47.000 --> 3:31:13.000]  These people are completely psychotic and make Hitler look like a choir boy.
[3:31:18.000 --> 3:31:25.000]  Bill Gates involved are now the ones running the operation to shut down society, create a depression and forcibly inoculate everybody.
[3:31:25.000 --> 3:31:26.000]  This is insane.
[3:31:26.000 --> 3:31:28.000]  Ladies and gentlemen, if they succeed, it's over.
[3:31:28.000 --> 3:31:30.000]  You need to get prepared now.
[3:31:30.000 --> 3:31:34.000]  You need to get high-quality, durable food now back in stock at infowarstore.com.
[3:31:34.000 --> 3:31:38.000]  And you need to get politically active and challenge this verbally everywhere.
[3:31:38.000 --> 3:31:45.000]  Big Tech is trying to censor everyone right now and bully people into saying you can't even challenge verbally social distancing.
[3:31:45.000 --> 3:31:47.000]  This is beyond 1984.
[3:31:47.000 --> 3:31:49.000]  The tyranny of the dual orders here.
[3:31:49.000 --> 3:31:51.000]  Get prepared now and spread the word in the info war.
[3:31:51.000 --> 3:31:53.000]  You are the Paul Revere's.
[3:31:53.000 --> 3:31:56.000]  It doesn't matter how hard I want to fight.
[3:31:56.000 --> 3:32:04.000]  If other human beings don't resonate with what I'm saying, if you don't spread the word, if you don't buy the products to fund our operation, the dog doesn't hunt.
[3:32:04.000 --> 3:32:05.000]  But you get that.
[3:32:05.000 --> 3:32:06.000]  You are patriots.
[3:32:06.000 --> 3:32:11.000]  You are people that live and work in the real world, who erase color and create and understand what's happening.
[3:32:11.000 --> 3:32:15.000]  And that's why when you call in and thank me for what I've done, it's really a sick joke.
[3:32:15.000 --> 3:32:17.000]  Thank you for what you've done.
[3:32:17.000 --> 3:32:18.000]  We're all of this together.
[3:32:18.000 --> 3:32:20.000]  We believe in the rights of the unborn.
[3:32:20.000 --> 3:32:21.000]  We believe in families.
[3:32:21.000 --> 3:32:22.000]  We believe in the right to self-defense.
[3:32:22.000 --> 3:32:26.000]  We believe in capitalism, America, and Jesus Christ, number one.
[3:32:26.000 --> 3:32:28.000]  And we believe in free speech.
[3:32:28.000 --> 3:32:35.000]  And so the fact that you shop with us and the fact that you spread the word about what we're doing does everything in the world.
[3:32:35.000 --> 3:32:42.000]  That's why I salute you and I thank you continually because the globalists thought they'd have this whole planet sewn up by now.
[3:32:42.000 --> 3:32:43.000]  They thought they'd be in charge.
[3:32:43.000 --> 3:32:44.000]  They thought they would have won.
[3:32:44.000 --> 3:32:48.000]  But they didn't count on you and I and others coming together.
[3:32:48.000 --> 3:33:14.000]  God bless you all.
[3:33:14.000 --> 3:33:24.000]  Before I get into more of the fakery, let's just get another thing straight here just between us.
[3:33:24.000 --> 3:33:30.000]  Why do we need to obey people who say we must obey?
[3:33:30.000 --> 3:33:33.000]  Isn't that always a question?
[3:33:33.000 --> 3:33:38.000]  In other words, when you look at people like Bill Gates and Fauci and so forth, you say,
[3:33:38.000 --> 3:33:49.000]  well, who appointed them God such that if they say we have to stay home, we can't do business, we can't open up businesses,
[3:33:49.000 --> 3:33:54.000]  we can't walk out on the street and live our lives, then we have to go along with that.
[3:33:54.000 --> 3:33:56.000]  We just simply do.
[3:33:56.000 --> 3:33:59.000]  No, we don't.
[3:33:59.000 --> 3:34:02.000]  No, we don't.
[3:34:02.000 --> 3:34:05.000]  Why?
[3:34:05.000 --> 3:34:12.000]  Well, because if we tell you to commit economic suicide, you just have to do it in the service of a greater cause.
[3:34:12.000 --> 3:34:14.000]  No, we don't.
[3:34:14.000 --> 3:34:18.000]  No, absolutely not.
[3:34:18.000 --> 3:34:24.000]  So there's the level of protests and we see more and more protests across the country.
[3:34:24.000 --> 3:34:26.000]  Yes.
[3:34:26.000 --> 3:34:31.000]  But there's also the level of people opening up their lives again.
[3:34:31.000 --> 3:34:40.000]  Individually, companies reopening, people saying, I got to do business or I'm going to die.
[3:34:40.000 --> 3:34:47.000]  There's a certain level of economic activity called making a living.
[3:34:47.000 --> 3:34:50.000]  Have you bastards ever heard of that before?
[3:34:50.000 --> 3:35:01.000]  You, whose paychecks are secure, who are living out in the suburbs of Washington, DC, have security, et cetera, et cetera.
[3:35:01.000 --> 3:35:04.000]  Yes, I can work at home.
[3:35:04.000 --> 3:35:09.000]  It's a bit of a sacrifice, but you know, we'll all get through this together.
[3:35:09.000 --> 3:35:12.000]  Uh-huh, uh-huh, uh-huh.
[3:35:12.000 --> 3:35:15.000]  Really, really.
[3:35:15.000 --> 3:35:23.000]  These are the people that we're going to go down in history as having obeyed?
[3:35:23.000 --> 3:35:25.000]  No.
[3:35:25.000 --> 3:35:32.000]  So there's the level of protest, but then there's also the level of just opening up life.
[3:35:32.000 --> 3:35:34.000]  Got to go get stuff.
[3:35:34.000 --> 3:35:37.000]  Got to do business.
[3:35:37.000 --> 3:35:41.000]  People are going to do it.
[3:35:41.000 --> 3:35:43.000]  They are doing it.
[3:35:43.000 --> 3:35:46.000]  They should do it.
[3:35:46.000 --> 3:35:51.000]  Oh, but what about the fear of the virus, the fear of the virus, the fear of the virus?
[3:35:51.000 --> 3:35:59.000]  No, it's the fear of having an opinion that runs contrary to what you're supposed to believe.
[3:35:59.000 --> 3:36:03.000]  It's the state religion that's preaching to you.
[3:36:03.000 --> 3:36:15.000]  They're saying, we are the ones who have the answers and you have to pray to us and get down on your friggin knees and in abject worship of what we say.
[3:36:15.000 --> 3:36:17.000]  No, you don't.
[3:36:17.000 --> 3:36:18.000]  No, you don't.
[3:36:18.000 --> 3:36:22.000]  No, we don't.
[3:36:22.000 --> 3:36:25.000]  No, we're not all in this together.
[3:36:25.000 --> 3:36:31.000]  The robots are, but we're not the robots.
[3:36:31.000 --> 3:36:38.000]  Do business, open up life, bring back life.
[3:36:38.000 --> 3:36:46.000]  Don't listen to what self-appointed authorities tell you you have to believe.
[3:36:46.000 --> 3:36:49.000]  That used to be a cornerstone of education.
[3:36:49.000 --> 3:36:53.000]  That supposedly used to be a cornerstone of the press.
[3:36:53.000 --> 3:36:58.000]  Now the press are the pod people that just go along.
[3:36:58.000 --> 3:37:01.000]  Okay.
[3:37:01.000 --> 3:37:06.000]  So I've been, I guess you could say questioned.
[3:37:06.000 --> 3:37:18.000]  Because, oh, maybe as a reporter, I've gone too far because I said, well, convince me that they ever discovered a new virus in the first place in Wuhan.
[3:37:18.000 --> 3:37:19.000]  No, that's not going too far.
[3:37:19.000 --> 3:37:22.000]  That's not even going far enough.
[3:37:22.000 --> 3:37:24.000]  But let's go there.
[3:37:24.000 --> 3:37:27.000]  Well, how did they discover a new virus?
[3:37:27.000 --> 3:37:29.000]  I don't know.
[3:37:29.000 --> 3:37:35.000]  So in other words, because you don't know, it must be true that they did.
[3:37:35.000 --> 3:37:38.000]  Is that an equation you're happy with?
[3:37:38.000 --> 3:37:40.000]  I don't know.
[3:37:40.000 --> 3:37:43.000]  Therefore, they must have discovered a new virus.
[3:37:43.000 --> 3:37:45.000]  I don't think so.
[3:37:45.000 --> 3:37:47.000]  I don't think so.
[3:37:47.000 --> 3:37:56.000]  Now, I've gone into this in great detail in articles, so I'm not going to try to lay out the entire nine yards here.
[3:37:56.000 --> 3:38:07.000]  I'm simply going to say that the discovery of a virus by traditional, the most reasonable methods would have involved.
[3:38:07.000 --> 3:38:11.000]  And you see my article up there too vital experiments that have never been done.
[3:38:11.000 --> 3:38:16.000]  The use of electron microscopes in a real study.
[3:38:16.000 --> 3:38:18.000]  Not, oh, we got this picture here.
[3:38:18.000 --> 3:38:19.000]  Oh, we got that.
[3:38:19.000 --> 3:38:20.000]  No.
[3:38:20.000 --> 3:38:24.000]  500 patients, 1000 patients, 2000 patients.
[3:38:24.000 --> 3:38:33.000]  With proper procedure ending up with say 1000 side by side photographs taken under electron microscope.
[3:38:33.000 --> 3:38:48.000]  And the question, do we see many, many particles of a virus that we've never seen before in all of these photographs from the 1000 patients that are supposed to have this new disease?
[3:38:48.000 --> 3:38:55.000]  Do all the particles look the same from picture to picture to picture to picture?
[3:38:55.000 --> 3:39:03.000]  And are they all really viral particles that we've never seen before such that we can say there's a new virus?
[3:39:03.000 --> 3:39:05.000]  You show me they've done that?
[3:39:05.000 --> 3:39:07.000]  I'll drink the Kool-Aid.
