[00:00.000 --> 00:24.000]  It's a war, tomorrow's news, today.
[03:08:51.000 --> 03:08:58.000]  And what's important is, I would categorically challenge the Secretary of Defense, who just made that statement,
[03:08:58.000 --> 03:09:08.000]  tell me how you can blame the very people that you are equipping, and oh, by the way, where's $100 billion in weaponry gone?
[03:09:08.000 --> 03:09:14.000]  The point is, this is all the globalists, and the globalists are the Luciferians.
[03:09:14.000 --> 03:09:17.000]  I want to make it clear, when I say globalists, I mean Luciferians.
[03:09:17.000 --> 03:09:24.000]  These are people that swear their allegiance to Lucifer, and they are willing to kill without numbers.
[03:09:24.000 --> 03:09:26.000]  So, back to the false flag.
[03:09:26.000 --> 03:09:33.000]  They knew the minute those S-300 missiles left the launch tubes at where they were coming from.
[03:09:33.000 --> 03:09:39.000]  People, any missile fired, any place in the world is picked up by whatever side satellite is monitoring.
[03:09:39.000 --> 03:09:47.000]  But Zelensky immediately jumped on the bandwagon, wanting to invoke Article 5 of, you know, NATO chartering.
[03:09:47.000 --> 03:09:49.000]  By the way, they're not members of NATO.
[03:09:49.000 --> 03:09:54.000]  It was always, see, Alex, the thing is, it's so plain, this is so scripted.
[03:09:54.000 --> 03:10:05.000]  This is a nuclear war that all of the globalists want in order to destroy, destroy nation states so that the Antichrist,
[03:10:05.000 --> 03:10:08.000]  that means in place of Jesus Christ, comes on the scene.
[03:10:08.000 --> 03:10:15.000]  And I don't know who your next guest is, but COP 27, the thing in Egypt, they supposedly crowned the guy.
[03:10:15.000 --> 03:10:22.000]  They didn't say, look at him, here he is, but the people in the know, and the ones that were there, isn't it interesting?
[03:10:22.000 --> 03:10:28.000]  Everybody who hates mankind enough to say, you've got to get rid of the carbon footprints.
[03:10:28.000 --> 03:10:30.000]  It's just like Soylent Green is people.
[03:10:30.000 --> 03:10:32.000]  Carbon footprints are people.
[03:10:32.000 --> 03:10:38.000]  And ladies and gentlemen, the extinction of the human race, I used to catch a lot of hell from saying that,
[03:10:38.000 --> 03:10:46.000]  because when I called my book Genetic Armageddon, we're watching the footprints leading up to the false Armageddon,
[03:10:46.000 --> 03:10:50.000]  the real Armageddon is the one that appears right before Jesus' second coming,
[03:10:50.000 --> 03:10:55.000]  but they need a false World War III, Alex, to bring upon the man of peace.
[03:10:55.000 --> 03:11:04.000]  And when you control all of the players on the global stage, as Lucifer does, when they all swear allegiance to Lucifer,
[03:11:04.000 --> 03:11:12.000]  as they have, then people are saying, oh gee, we're the cause of global warming, global this, global that.
[03:11:12.000 --> 03:11:14.000]  No, we're not, ladies and gentlemen.
[03:11:14.000 --> 03:11:18.000]  But you can go on geoengineeringwatch.org, and I want to share this, Alex.
[03:11:18.000 --> 03:11:26.000]  In my opinion, that's one of the most important websites on the entire web, Dane Wagington, geoengineeringwatch.org.
[03:11:26.000 --> 03:11:33.000]  All of the absolute science behind weather warfare, weather modification, geoengineering.
[03:11:33.000 --> 03:11:34.000]  And you're a major filmmaker.
[03:11:34.000 --> 03:11:35.000]  Talk about your new film.
[03:11:35.000 --> 03:11:37.000]  You're going to be joining us either tomorrow or Friday.
[03:11:37.000 --> 03:11:40.000]  We're going to talk to you after this break ends.
[03:11:40.000 --> 03:11:42.000]  We've got a break about when that's going to be.
[03:11:42.000 --> 03:11:44.000]  Friday would be better if you can do it.
[03:11:44.000 --> 03:11:48.000]  But they admit they're doing all this in the academic papers.
[03:11:48.000 --> 03:11:52.000]  They admit they're carrying this out towards collapsing the third world.
[03:11:52.000 --> 03:11:53.000]  Talk about the new film.
[03:11:53.000 --> 03:11:57.000]  Well, it's actually not a new film, but it's relevant right now.
[03:11:57.000 --> 03:12:02.000]  More relevant than it was when people won't believe what you warned them about.
[03:12:02.000 --> 03:12:04.000]  And you know this from your own personal experience.
[03:12:04.000 --> 03:12:08.000]  They won't believe what you warned them about until it's on them.
[03:12:08.000 --> 03:12:11.000]  And they say, well, gee, I just didn't believe you then.
[03:12:11.000 --> 03:12:16.000]  Ladies and gentlemen, we're watching the entire world, the biggest rivers in the world.
[03:12:16.000 --> 03:12:20.000]  Mississippi and the United States, obviously you can see the Nile having problems,
[03:12:20.000 --> 03:12:24.000]  the Amazon having problems, the Yangtze River in China having problems.
[03:12:24.000 --> 03:12:30.000]  Water, water that used to be so freely accessible.
[03:12:30.000 --> 03:12:31.000]  And guess what?
[03:12:31.000 --> 03:12:35.000]  The globalists behind the scenes are trying to buy all known aquifers.
[03:12:35.000 --> 03:12:38.000]  And by the way, that's another reason why they're after Russia.
[03:12:38.000 --> 03:12:44.000]  Russia has 25% of the world's fresh water in Lake Baikal, B-A-I-K-A-L.
[03:12:44.000 --> 03:12:47.000]  And again, how are the sanctions working?
[03:12:47.000 --> 03:12:51.000]  Alex, sanctions, and I call them suicidal sanctions.
[03:12:51.000 --> 03:12:56.000]  There's not one person who's better off since our sanctions went on against Russia.
[03:12:56.000 --> 03:12:57.000]  People are starving.
[03:12:57.000 --> 03:13:03.000]  They're being told even in, I think, Sweden, you know, build a tent in your living room and cuddle.
[03:13:03.000 --> 03:13:04.000]  That's insanity.
[03:13:04.000 --> 03:13:11.000]  So how is it that every single western nation is willing to sacrifice the welfare of their people
[03:13:11.000 --> 03:13:17.000]  for this global, globular cluster of snot called the Great Reset?
[03:13:17.000 --> 03:13:21.000]  And they're telling us, kill your children, transgender, euthanize people,
[03:13:21.000 --> 03:13:26.000]  all to get us to go against our life force and decide we're bad so we roll over to die.
[03:13:26.000 --> 03:13:27.000]  This is not the state of the earth.
[03:13:27.000 --> 03:13:32.000]  This is a sick death cult on huge palatial mansions in the states with private jets,
[03:13:32.000 --> 03:13:36.000]  with carbon footprints a thousand times bigger than the average say African,
[03:13:36.000 --> 03:13:38.000]  telling us we should roll over to die.
[03:13:38.000 --> 03:13:41.000]  We need to recognize them as the enemy.
[03:13:41.000 --> 03:13:42.000]  Right.
[03:13:42.000 --> 03:13:45.000]  And I think that there's no way to make it clearer.
[03:13:45.000 --> 03:13:49.000]  I believe only God can open the eyes of people that choose to deny this.
[03:13:49.000 --> 03:13:52.000]  The human race is the target.
[03:13:52.000 --> 03:13:58.000]  Transhumanism, transgenderism, transnationalism.
[03:13:58.000 --> 03:14:04.000]  Everything that is used in the word of prefects of France
[03:14:04.000 --> 03:14:09.000]  means to change from one state to another, one condition to another.
[03:14:09.000 --> 03:14:14.000]  So you're watching what the Obama nation of desolation said,
[03:14:14.000 --> 03:14:17.000]  the transformation of America.
[03:14:17.000 --> 03:14:20.000]  America is the greatest nation in the world and we intend to change all that.
[03:14:20.000 --> 03:14:22.000]  Ladies and gentlemen, it's happening before your eyes.
[03:14:22.000 --> 03:14:25.000]  There is no political solution to a spiritual problem.
[03:14:25.000 --> 03:14:28.000]  On the topic and we'll do it another show Alex,
[03:14:28.000 --> 03:14:31.000]  but weather warfare and weather modification.
[03:14:31.000 --> 03:14:33.000]  There are so many patents.
[03:14:33.000 --> 03:14:37.000]  Again, Dane Wiginton, 300 of them on his website, geoengineeringwatch.org.
[03:14:37.000 --> 03:14:41.000]  And I don't think there's a more important source for everybody, you know,
[03:14:41.000 --> 03:14:43.000]  to go and to see what's going on.
[03:14:43.000 --> 03:14:46.000]  Well, they now admit they're doing weather modification to quote,
[03:14:46.000 --> 03:14:48.000]  same as what they admit the details are secret.
[03:14:48.000 --> 03:14:51.000]  Oh, we're spraying chemicals in the air to block the sun.
[03:14:51.000 --> 03:14:53.000]  So we're vindicated yet again.
[03:14:53.000 --> 03:14:57.000]  Steve quail.com. You written so many books, made so many films.
[03:14:57.000 --> 03:14:59.000]  They're all there. Steve quail.com.
[03:14:59.000 --> 03:15:00.000]  We're going to put you on hold.
[03:15:00.000 --> 03:15:03.000]  I'm going to end this segment and hand the baton to the guest host
[03:15:03.000 --> 03:15:06.000]  and their special guest who was just at the big UN global government meeting
[03:15:06.000 --> 03:15:07.000]  in Egypt.
[03:15:07.000 --> 03:15:10.000]  But again, let us know whether you can join us tomorrow or Friday.
[03:15:10.000 --> 03:15:11.000]  Friday would be preferable.
[03:15:11.000 --> 03:15:13.000]  Thank you so much. Steve quail.com.
[03:15:13.000 --> 03:15:14.000]  Thank you, Alex.
[03:15:14.000 --> 03:15:15.000]  Bye-bye.
[03:15:15.000 --> 03:15:16.000]  Powerful.
[03:15:16.000 --> 03:15:17.000]  Wow.
[03:15:17.000 --> 03:15:18.000]  Guys on fire.
[03:15:18.000 --> 03:15:20.000]  And again, infowarsphone.com.
[03:15:20.000 --> 03:15:22.000]  You can get the satellite phone or you can get the dongle.
[03:15:22.000 --> 03:15:24.000]  The dongle and the phone are free to sign up for the service.
[03:15:24.000 --> 03:15:26.000]  It's the best deal out there. They're great patriots.
[03:15:26.000 --> 03:15:27.000]  And it supports the broadcast.
[03:15:27.000 --> 03:15:28.000]  Even it wasn't the best deal.
[03:15:28.000 --> 03:15:29.000]  And it is about the best deal.
[03:15:29.000 --> 03:15:31.000]  There's some that are almost as good.
[03:15:31.000 --> 03:15:33.000]  It's apples and oranges, but it's as good as you're getting it.
[03:15:33.000 --> 03:15:34.000]  It's a very good deal.
[03:15:34.000 --> 03:15:36.000]  Even if it wasn't the best deal, you're supporting us.
[03:15:36.000 --> 03:15:37.000]  So it'd be a good thing to get.
[03:15:37.000 --> 03:15:38.000]  But it is a great deal.
[03:15:38.000 --> 03:15:39.000]  I win-win.
[03:15:39.000 --> 03:15:40.000]  So go to infowarsphone.com.
[03:15:40.000 --> 03:15:44.000]  infowarsphone.com or 941-955-1020.
[03:15:44.000 --> 03:15:46.000]  All right. Kate Nally's got a big guest on.
[03:15:46.000 --> 03:15:47.000]  She takes over.
[03:15:47.000 --> 03:15:51.000]  And in 45 minutes, Owen Shroyer and the war room.
[03:15:51.000 --> 03:15:52.000]  Great job, crew.
[03:15:52.000 --> 03:15:53.000]  God bless.
[03:15:57.000 --> 03:16:02.000]  I have been in a 28-year marathon battle with the globalist.
[03:16:02.000 --> 03:16:06.000]  I have come from nowhere to the very heights of politics,
[03:16:06.000 --> 03:16:08.000]  not just in America, but the world.
[03:16:08.000 --> 03:16:13.000]  We are engaging the globalists at Point Lake Range in the information war.
[03:16:13.000 --> 03:16:15.000]  But I don't deserve the credit.
[03:16:15.000 --> 03:16:16.000]  Yes, I've persevered.
[03:16:16.000 --> 03:16:22.000]  But the listeners and viewers who support info wars are the real reason you've had this success.
[03:16:22.000 --> 03:16:27.000]  We're having now the greatest victories in the fight against the new order you've ever had.
[03:16:27.000 --> 03:16:32.000]  We are now entering the final mile of the marathon.
[03:16:32.000 --> 03:16:37.000]  And that's why today it's more important than ever to realize how important you've been in this fight
[03:16:37.000 --> 03:16:41.000]  and to continue in the efforts you've been carrying out and to intensify them.
[03:16:41.000 --> 03:16:42.000]  God bless you all.
[03:16:42.000 --> 03:16:43.000]  I salute you.
[03:16:43.000 --> 03:16:44.000]  I thank you.
[03:16:44.000 --> 03:16:50.000]  And I beg you to intensify what you're doing now because we are over the target and this
[03:16:50.000 --> 03:16:51.000]  victory is happening.
[03:16:51.000 --> 03:16:52.000]  The fight is my fight.
[03:16:52.000 --> 03:16:53.000]  It's your fight.
[03:16:53.000 --> 03:16:54.000]  It's our fight.
[03:16:54.000 --> 03:16:56.000]  God bless you all.
[03:16:56.000 --> 03:17:02.000]  In Arizona, I think we watched the election be stolen, slowly stolen, day by day, counting
[03:17:02.000 --> 03:17:04.000]  these mail-in ballots.
[03:17:04.000 --> 03:17:11.000]  And it's absolutely absurd for anyone to take our election seriously when we just, it's
[03:17:11.000 --> 03:17:12.000]  election month, Alex.
[03:17:12.000 --> 03:17:14.000]  It's not election day.
[03:17:14.000 --> 03:17:16.000]  And that's the problem.
[03:17:16.000 --> 03:17:19.000]  And everything changed after COVID-19.
[03:17:19.000 --> 03:17:26.000]  They illegally changed state elections, mailing ballots to anyone and everyone, and sometimes
[03:17:26.000 --> 03:17:28.000]  mailing multiple ballots to people.
[03:17:28.000 --> 03:17:30.000]  Well, this isn't any way to run an election.
[03:17:30.000 --> 03:17:34.000]  We're in a serious country when we have elections that can be stolen like this.
[03:17:34.000 --> 03:17:39.000]  And I believe that just like I believe the election was stolen in 2020, and I have no
[03:17:39.000 --> 03:17:45.000]  problem saying that, and it is so absurd for the media and the Democrats to attack us that
[03:17:45.000 --> 03:17:51.300]  question our election integrity and question the fact that elections shouldn't be run the
[03:17:51.300 --> 03:17:52.300]  way they are.
[03:17:52.300 --> 03:17:55.000]  We're not election deniers, we're election realists.
[03:17:55.000 --> 03:18:01.680]  I'm Dr. Peter McCullough, and it's an absolute pleasure to introduce to you the Wellness
[03:18:01.680 --> 03:18:09.080]  Company, an alternative healthcare system for this COVID and post-COVID world where trust
[03:18:09.080 --> 03:18:14.120]  has been lost in doctors and healthcare systems.
[03:18:14.120 --> 03:18:23.200]  This new online virtual platform is nationwide providing uncensored content, virtual appointments,
[03:18:23.200 --> 03:18:31.320]  laboratory testing, diagnostics, prescriptions, treatment packages specifically for COVID
[03:18:31.320 --> 03:18:37.200]  post-COVID, vaccine injury syndromes, and all the usual things that are seen in primary
[03:18:37.200 --> 03:18:39.000]  care.
[03:18:39.000 --> 03:18:45.960]  And then we have an entire array of holistic products, an online store, media, and health
[03:18:45.960 --> 03:18:47.200]  advice.
[03:18:47.200 --> 03:18:56.440]  Come see the Wellness Company and go to onlinehealthnow.com as a conduit to the Wellness Company.
[03:18:56.440 --> 03:19:02.360]  Once a tragedy reaches a level of national significance, American citizens should be
[03:19:02.360 --> 03:19:07.720]  allowed to basically question that event in any way that they deem fit.
[03:19:07.720 --> 03:19:11.560]  The First Amendment is unique in the world, that's what they want to take away, your ability
[03:19:11.560 --> 03:19:12.560]  to speak freely.
[03:19:12.560 --> 03:19:15.760]  So they're going to go for Mike Lindell next, or they're going to go for Steve Bannon, or
[03:19:15.760 --> 03:19:17.240]  they're going to go for Tucker Carlson.
[03:19:17.240 --> 03:19:21.400]  I studied the globalist 30 years ago, but only 28 years, and I knew they were planning
[03:19:21.400 --> 03:19:25.720]  all of this, and I warned the public as a modern Paul Revere, but I couldn't have done it without
[03:19:25.720 --> 03:19:26.720]  your support.
[03:19:26.720 --> 03:19:29.840]  And now, because we've been so successful warning the population of the planet, not
[03:19:29.840 --> 03:19:34.320]  just America, we're public enemy number one when it comes to the globalist agenda.
[03:19:34.320 --> 03:19:37.960]  That's why it's more important than ever to realize how successful InfoWars has been
[03:19:37.960 --> 03:19:39.640]  because of your past support.
[03:19:39.640 --> 03:19:43.480]  So I salute you and I thank you, and I ask you now, the critical juncture of the battle,
[03:19:43.480 --> 03:19:47.880]  free double your efforts of visiting InfoWarsStore.com and getting amazing products that keep us
[03:19:47.880 --> 03:19:48.880]  on air.
[03:19:48.880 --> 03:19:54.320]  1776 is the promo code, the destination is InfoWarsStore.com, and I thank you all for
[03:19:54.320 --> 03:19:57.480]  your support.
[03:19:57.480 --> 03:20:06.320]  Leading a frontal assault on the lies of the New World Order, it's Alex Jones.
[03:20:06.320 --> 03:20:13.880]  Hey, everybody, welcome back to the Alex Jones show.
[03:20:13.880 --> 03:20:16.560]  I'm Kate Dally, your guest host, so glad to be with you.
[03:20:16.560 --> 03:20:19.960]  Alex Newman, my guest, had to run, he'll be with me next week.
[03:20:19.960 --> 03:20:27.040]  We met with the religious leaders over at that climate summit, Extravaganza, give me
[03:20:27.040 --> 03:20:34.160]  a break, and Alex has a lot to tell us about next week because I'm sure, I'm sure, even
[03:20:34.160 --> 03:20:38.400]  after he asked, John carries some questions, I'm sure he's got a lot of info for us.
[03:20:38.400 --> 03:20:42.400]  I cannot wait to hear, but let me just tell you, I've got a couple of things on my mind.
[03:20:42.400 --> 03:20:46.800]  So apparently really big new developments this week as you're well aware, you've been
[03:20:46.800 --> 03:20:55.240]  listening to this show today, but I am a proud election denier, is that really the new phrase?
[03:20:55.240 --> 03:21:02.600]  And I'm a climate center, I'm a real climate center, I am, I sin all the time, don't have
[03:21:02.600 --> 03:21:08.200]  my paper bags, don't have my straws, I'm just a horrible, horrible steward of the earth,
[03:21:08.200 --> 03:21:09.200]  right?
[03:21:09.200 --> 03:21:14.320]  But we're told that we're going to be looking at Mother Earth in a whole new way, so I do
[03:21:14.320 --> 03:21:17.720]  want to talk about that, I do want to talk a little bit about their 10 Commandments.
[03:21:17.720 --> 03:21:20.480]  I also want to talk about the Marriage Act.
[03:21:20.480 --> 03:21:25.640]  This is a big one, and I don't think we realize what's coming out of this Marriage Act, but
[03:21:25.640 --> 03:21:26.640]  wow.
[03:21:26.640 --> 03:21:30.520]  And then of course, digital currency is on my mind, so is election fraud, of course.
[03:21:30.520 --> 03:21:34.200]  But you know what, it's been on my mind a long time, we've had a lot of election fraud,
[03:21:34.200 --> 03:21:38.120]  it's just getting more obvious, that's the deal.
[03:21:38.120 --> 03:21:42.360]  And we're the new conspiracy theorists, I guess, and instead of being a conspiracy
[03:21:42.360 --> 03:21:45.440]  theorist, now you are the, I don't want to talk about what's going on right in front
[03:21:45.440 --> 03:21:49.800]  of my face, I want to talk about it, but I can't because of persecution.
[03:21:49.800 --> 03:21:56.520]  That's the next step in this whole phase is to persecute those who bring up anything regarding
[03:21:56.520 --> 03:21:57.520]  any race.
[03:21:57.520 --> 03:22:01.360]  You're supposed to just shut up and take it and never mention it again.
[03:22:01.360 --> 03:22:05.160]  So election fraud, election fraud, election fraud.
[03:22:05.160 --> 03:22:09.000]  And you know what, I'm looking at that race with Carrie Lake, I'm looking at all these
[03:22:09.000 --> 03:22:15.560]  races, and it's so obvious to me that they basically strung it out for a week.
[03:22:15.560 --> 03:22:16.560]  So we'll start here.
[03:22:16.560 --> 03:22:21.160]  They strung it out for a week because they could have done what they were going to do
[03:22:21.160 --> 03:22:22.160]  very quickly.
[03:22:22.160 --> 03:22:23.160]  Why did they do that?
[03:22:23.160 --> 03:22:29.320]  Well, I think it was definitely because they wanted to really, I don't know, they wanted
[03:22:29.320 --> 03:22:36.240]  it to be so obvious and really look like they wanted you to know they were stealing it.
[03:22:36.240 --> 03:22:42.440]  So why not have it so that you realize that all the rest of the votes are coming in from
[03:22:42.440 --> 03:22:46.320]  red cities, red counties, and then what?
[03:22:46.320 --> 03:22:47.320]  And then what happens?
[03:22:47.320 --> 03:22:50.360]  Oh my gosh, election stolen.
[03:22:50.360 --> 03:22:55.960]  That way you absolutely, without a doubt, know that the election was stolen.
[03:22:55.960 --> 03:22:57.680]  So why do they want it so obvious?
[03:22:57.680 --> 03:22:58.680]  What's the point?
[03:22:58.680 --> 03:23:05.760]  Obviously, well last week I said, you know, this is going to be whether if they turn this
[03:23:05.760 --> 03:23:11.840]  to obvious, obvious fraud, it means they're ready for more chaos.
[03:23:11.840 --> 03:23:14.320]  And I was right because look at what they're doing.
[03:23:14.320 --> 03:23:17.600]  They're about to roll out the pilot program for digital currency.
[03:23:17.600 --> 03:23:18.760]  They were ready.
[03:23:18.760 --> 03:23:23.040]  If they wanted to placate us a little bit, they would have just, you know, made it seem
[03:23:23.040 --> 03:23:25.080]  like there's no election fraud.
[03:23:25.080 --> 03:23:28.560]  And then of course, we would have had a little more complacency.
[03:23:28.560 --> 03:23:30.360]  Maybe this is a good thing.
[03:23:30.360 --> 03:23:33.800]  And when I was interviewing Chris Ann Hall, the constitutional expert and attorney, she
[03:23:33.800 --> 03:23:35.120]  made a great point.
[03:23:35.120 --> 03:23:38.960]  Maybe there's a very, very big liberty undertow at foot right now.
[03:23:38.960 --> 03:23:40.400]  Maybe there is.
[03:23:40.400 --> 03:23:45.080]  And maybe this will kind of cause people to finally come to grips with what's right in
[03:23:45.080 --> 03:23:46.080]  front of our face.
[03:23:46.080 --> 03:23:50.200]  And that is the stealing of the elections, but this has been going on.
[03:23:50.200 --> 03:23:54.080]  This has really been well documented throughout time, right?
[03:23:54.080 --> 03:23:58.960]  In every kind of race you could ever imagine, even a student body president race, there's
[03:23:58.960 --> 03:23:59.960]  a lot of rigging.
[03:23:59.960 --> 03:24:02.800]  And you have to kind of look at it this way.
[03:24:02.800 --> 03:24:10.280]  Has our voting done us any good in the direction of liberty for the last, say, 40 years?
[03:24:10.280 --> 03:24:11.400]  Has it done any good?
[03:24:11.400 --> 03:24:12.880]  You get the same players.
[03:24:12.880 --> 03:24:18.000]  You get the same people running the same excuses and the same nonsense and the same BS.
[03:24:18.000 --> 03:24:20.800]  So is it going to do any good?
[03:24:20.800 --> 03:24:21.800]  Probably not.
[03:24:21.800 --> 03:24:23.560]  So where should the focus be?
[03:24:23.560 --> 03:24:29.480]  The focus should then be locally, because local people, they don't hide as much as our
[03:24:29.480 --> 03:24:32.280]  Congress, our Senate, and those in DC.
[03:24:32.280 --> 03:24:35.240]  We concentrate way too much on the federal races.
[03:24:35.240 --> 03:24:37.640]  When you're local, you can put feet to the fire.
[03:24:37.640 --> 03:24:38.640]  They're your neighbor.
[03:24:38.640 --> 03:24:39.640]  They live among you.
[03:24:39.640 --> 03:24:41.880]  They don't live in DC.
[03:24:41.880 --> 03:24:46.120]  They're right there to make sure that you realize what's going on.
[03:24:46.120 --> 03:24:52.280]  So what we need to do as a people is to make sure that we are every single day holding those
[03:24:52.280 --> 03:24:59.080]  feet to the fire and firing them, actually firing them if they don't do what's right.
[03:24:59.080 --> 03:25:03.320]  Not what we want, because that's mob rule, but if they don't do what's right and they
[03:25:03.320 --> 03:25:09.800]  don't stand by and execute our own constitutions of our state, right?
[03:25:09.800 --> 03:25:15.000]  So if we concentrate locally and kind of forget about some of these bigger races, they want
[03:25:15.000 --> 03:25:16.280]  you to think there's fraud.
[03:25:16.280 --> 03:25:17.760]  They want you discouraged.
[03:25:17.760 --> 03:25:18.840]  Don't be discouraged.
[03:25:18.840 --> 03:25:19.840]  It's that simple.
[03:25:19.840 --> 03:25:20.840]  Just don't be.
[03:25:20.840 --> 03:25:21.840]  And you know what?
[03:25:21.840 --> 03:25:27.440]  We just need to be a lot more vigilant in looking at local, our local issues, because locally,
[03:25:27.440 --> 03:25:29.200]  think about the lockdowns.
[03:25:29.200 --> 03:25:35.920]  Locally that is where your life was either majorly screwed or you had some freedom, right?
[03:25:35.920 --> 03:25:37.320]  And so they honored that.
[03:25:37.320 --> 03:25:39.840]  And I happened to live in a place where they honored that.
[03:25:39.840 --> 03:25:45.040]  In fact, Fox News did a story on this and said, oh my gosh, they're the only county in America
[03:25:45.040 --> 03:25:48.320]  that doesn't know that a plague is happening, right?
[03:25:48.320 --> 03:25:53.240]  Anyway, so make sure you're one of those counties early on.
[03:25:53.240 --> 03:25:57.360]  I also wanted to talk about that whole FTX thing too.
[03:25:57.360 --> 03:26:00.640]  The FTX thing to me was a major diversion.
[03:26:00.640 --> 03:26:05.360]  If money was channeled and we all know money laundering happens in the Ukraine, I think
[03:26:05.360 --> 03:26:06.880]  that's kind of a well-known fact, right?
[03:26:06.880 --> 03:26:07.880]  Right?
[03:26:07.880 --> 03:26:08.880]  Okay.
[03:26:08.880 --> 03:26:09.880]  So here's the deal with that.
[03:26:09.880 --> 03:26:15.880]  It was a diversion to tell you that money was the reason that these elections were won.
[03:26:15.880 --> 03:26:17.280]  Oh, they were well-funded.
[03:26:17.280 --> 03:26:18.440]  It was money laundering.
[03:26:18.440 --> 03:26:20.840]  So we have a place to direct our anger.
[03:26:20.840 --> 03:26:24.280]  The problem with that is it was still fraud.
[03:26:24.280 --> 03:26:28.400]  It was still F-R-A-U-D fraud.
[03:26:28.400 --> 03:26:31.800]  It was not money, but they're going to tell you that.
[03:26:31.800 --> 03:26:35.400]  Or they're going to tell you it was Mitch McConnell not doing his part.
[03:26:35.400 --> 03:26:39.400]  Does anyone care if Mitch McConnell gets behind somebody?
[03:26:39.400 --> 03:26:40.400]  No.
[03:26:40.400 --> 03:26:43.000]  Does money really win races at this point?
[03:26:43.000 --> 03:26:44.000]  Not really.
[03:26:44.000 --> 03:26:45.000]  No.
[03:26:45.000 --> 03:26:50.600]  In fact, they have to conduct so much fraud that in order to win, that's why it's so
[03:26:50.600 --> 03:26:55.520]  obvious is because I don't think the majority of this country loves the way this country
[03:26:55.520 --> 03:26:58.360]  is going right now and voted to keep all of that in.
[03:26:58.360 --> 03:27:03.000]  So we know that there's just obviously immense amount of fraud happening.
[03:27:03.000 --> 03:27:09.240]  So they met at that climate summit and I have to say that it was really interesting to see
[03:27:09.240 --> 03:27:12.840]  what they chose as the statue at that climate summit.
[03:27:12.840 --> 03:27:18.920]  I'll talk about this more when I come back and then I'll get into the religious, well,
[03:27:18.920 --> 03:27:24.880]  it really is religious or not, respect for marriage, give me a break.
[03:27:24.880 --> 03:27:26.960]  But listen to this.
[03:27:26.960 --> 03:27:33.080]  They had the statue that was the Hindu Vishnu statue, right?
[03:27:33.080 --> 03:27:34.080]  And it's a hybrid.
[03:27:34.080 --> 03:27:35.960]  It's a hybrid.
[03:27:35.960 --> 03:27:37.160]  Hmm.
[03:27:37.160 --> 03:27:38.160]  What's wrong with that?
[03:27:38.160 --> 03:27:44.560]  A mix of eagle and human features prominently displayed, prominently displayed.
[03:27:44.560 --> 03:27:48.880]  All of them walking in on the red carpet was rather creepy, actually.
[03:27:48.880 --> 03:27:51.240]  And so why that statue?
[03:27:51.240 --> 03:27:56.480]  Well, I have my, I have my thoughts on that as you can probably imagine.
[03:27:56.480 --> 03:27:57.480]  But you know what?
[03:27:57.480 --> 03:27:59.440]  They came up with their 10 commandments.
[03:27:59.440 --> 03:28:03.400]  They of course spit in the face of God, wanted to do it on Mount Sinai.
[03:28:03.400 --> 03:28:06.840]  And they came up with some commandments of their own.
[03:28:06.840 --> 03:28:07.840]  I know.
[03:28:07.840 --> 03:28:10.800]  You're probably wondering, gee, what would they come up with?
[03:28:10.800 --> 03:28:15.400]  Well, um, worshiping Mother Earth, God has nothing to do with it, right?
[03:28:15.400 --> 03:28:19.640]  They're going to spit in God's face, changes commandments and make the first commandment
[03:28:19.640 --> 03:28:21.840]  about worshiping Mother Earth.
[03:28:21.840 --> 03:28:23.720]  That's exactly what they're doing.
[03:28:23.720 --> 03:28:24.720]  Okay.
[03:28:24.720 --> 03:28:28.600]  So, uh, I'll get back to that and I'll talk about those commandments that they came up
[03:28:28.600 --> 03:28:29.680]  with.
[03:28:29.680 --> 03:28:31.400]  It's unbelievable, actually.
[03:28:31.400 --> 03:28:34.160]  And also what this group is all about.
[03:28:34.160 --> 03:28:41.040]  Then I want to tackle the marriage debacle right now, because I know that you're probably
[03:28:41.040 --> 03:28:44.840]  wondering what in the world there's a lot of churches getting behind it.
[03:28:44.840 --> 03:28:46.600]  They shouldn't be behind it.
[03:28:46.600 --> 03:28:48.800]  There's so many issues with this.
[03:28:48.800 --> 03:28:53.040]  So, of course, I'll be right back on the Alex Jones show.
[03:28:53.040 --> 03:28:56.360]  I'm Kay Dally, your guest host for the rest of the hour.
[03:28:56.360 --> 03:29:02.520]  I am extremely honored to be seen by the globalists as their number one enemy.
[03:29:02.520 --> 03:29:08.160]  I am blessed to know that our information is so hardcore that the enemies of humanity
[03:29:08.160 --> 03:29:11.800]  are obsessed with silencing us.
[03:29:11.800 --> 03:29:15.320]  They know the truth about their globalist operations is exposed.
[03:29:15.320 --> 03:29:16.320]  It's came over.
[03:29:16.320 --> 03:29:21.320]  And all over the planet, humanity is awakening and peacefully fighting back.
[03:29:21.320 --> 03:29:26.560]  And our main tool is free speech and the truth we promote using free speech.
[03:29:26.560 --> 03:29:31.920]  That's why when you share articles and videos from man.video or infowars.com or newswars.com,
[03:29:31.920 --> 03:29:32.920]  it changes the world.
[03:29:32.920 --> 03:29:37.960]  And that's why when you go to infowarsstore.com and get amazing products that empower you and
[03:29:37.960 --> 03:29:42.480]  your body and your immune system and that of your family, you're also empowering the
[03:29:42.480 --> 03:29:45.040]  tip of the spear in the fight against the globalist.
