[00:00:00.611 --> 00:00:00.871]  SIREN
[03:19:11.867 --> 03:19:13.288]  I said, this is Alex Jones.
[03:19:13.288 --> 03:19:16.649]  And she just got, her eyes got wide open and she says, really?
[03:19:16.649 --> 03:19:17.730]  I thought he was off the air.
[03:19:18.110 --> 03:19:23.237]  And I said no, and I told her, I explained, you know, the whole situation and told her where to go.
[03:19:23.237 --> 03:19:28.103]  She wrote down, you know, band.video and also infowards.com and just said she's still on.
[03:19:28.103 --> 03:19:33.711]  I run into people at the grocery store, at the mall, on the hike and bike trail, and they go, oh Alex, I used to love you.
[03:19:33.711 --> 03:19:34.852]  I wish you were still on air.
[03:19:34.852 --> 03:19:35.793]  Are you ever going to go back on air?
[03:19:35.793 --> 03:19:36.194]  And I'm like,
[03:19:36.254 --> 03:19:39.295]  We're on hundreds of radio stations, over a hundred TV stations and cable stations.
[03:19:39.295 --> 03:19:41.576]  We have our own streams at InfoWars.com and Man.TV.
[03:19:41.576 --> 03:19:42.437]  And they go, really?
[03:19:42.437 --> 03:19:47.059]  They said you were off the air because they took the deplatforming as off the air.
[03:19:47.059 --> 03:19:48.720]  No, we have our own platform.
[03:19:48.720 --> 03:19:49.680]  InfoWars!
[03:19:49.680 --> 03:19:50.520]  InfoWars!
[03:19:50.520 --> 03:19:55.323]  InfoWars!
[03:19:55.323 --> 03:19:58.004]  You're listening to the Alex Jones Show.
[03:20:06.383 --> 03:20:15.406]  You're listening to Summit.News with Paul Joseph Watson.
[03:20:15.406 --> 03:20:19.067]  We're live and we continue to track the latest with the coronavirus.
[03:20:19.067 --> 03:20:27.869]  I put up an article last night on Summit.News headlined, Russia in January has coronavirus under control.
[03:20:27.869 --> 03:20:33.671]  So my question now, what do you think possibly could happen with Russia
[03:20:34.195 --> 03:20:37.979]  With only 20 cases of the coronavirus.
[03:20:37.979 --> 03:20:44.086]  Now... ...for the country.
[03:20:44.086 --> 03:20:51.514]  Of course, Singapore, last three days, coronavirus cases have dropped day by day to basically less than 100.
[03:20:51.514 --> 03:20:53.437]  Today, I think the latest numbers were.
[03:20:53.437 --> 03:20:54.458]  They've got it under control.
[03:20:55.066 --> 03:21:07.371]  Now, Russia, which closed its border ports back in January, at least most of them, has registered just 20 coronavirus cases, many of them Russians returning from Italy, and zero deaths.
[03:21:07.371 --> 03:21:10.712]  This is being tracked by the Moscow Times.
[03:21:10.712 --> 03:21:18.215]  At the end of January, Russia announced it had closed the entirety of its 2,600-mile border with China.
[03:21:18.215 --> 03:21:21.356]  Moscow also asked all returning citizens to self-quarantine
[03:21:21.809 --> 03:21:25.892]  ...and banned Chinese citizens from entering the country.
[03:21:25.892 --> 03:21:31.335]  The result of that is that Russia avoided the kind of panic that has gripped many of the European countries.
[03:21:31.335 --> 03:21:37.739]  I haven't seen any footage out of Russia of people squabbling over hand sanitiser or toilet roll.
[03:21:37.739 --> 03:21:47.986]  Compare that to Italy, of course, ruled by a government which is vehemently left-wing now, pro-open borders, after they threw out Salvini back about six months ago.
[03:21:49.315 --> 03:21:51.717]  So Russia's got 20 coronavirus cases.
[03:21:51.717 --> 03:21:56.260]  Italy has over 10,000 today, and I think they've surpassed 500 deaths.
[03:21:56.260 --> 03:21:59.943]  In fact, I think it's now up to 600 deaths in Italy.
[03:21:59.943 --> 03:22:17.617]  They've had to place the entire country under de facto quarantine, because for the past three, four weeks, and in fact before that as well, of course they had people fleeing in and out of their porous borders, people fleeing to the south of the country before that quarantine was in place.
[03:22:17.617 --> 03:22:18.938]  Contrast that with Russia,
[03:22:19.679 --> 03:22:31.989]  Which again, thanks to its strong border measures, only 20 coronavirus cases, most of them Russians returning from Italy, and most of those cases already fully recovered.
[03:22:31.989 --> 03:22:35.072]  Of course, zero people have died in Russia.
[03:22:35.072 --> 03:22:41.978]  You compare that to Germany, Spain, France, even the UK, which has escaped most of it up until this point.
[03:22:41.978 --> 03:22:45.961]  Russia has fared the best because it had the strongest border controls.
[03:22:45.961 --> 03:22:47.022]  I know also today,
[03:22:47.543 --> 03:22:58.192]  Mongolia, which closed its border at the same time that Russia did back at the end of January, only just recorded its first coronavirus case just today.
[03:22:58.192 --> 03:23:06.158]  Meanwhile, for the past three weeks plus, we've had European leaders repeatedly insisting that no border controls will be implemented.
[03:23:06.158 --> 03:23:15.486]  And of course, Russia firmly ignored the World Health Organization's demands that profiling be avoided in order to reduce stigmatization.
[03:23:16.015 --> 03:23:25.744]  Because as we highlighted in another story last month, they actually had Moscow police and subway workers checking passengers believed to be Chinese.
[03:23:25.744 --> 03:23:28.707]  Yes, they actually did profile Chinese people.
[03:23:28.707 --> 03:23:40.258]  For signs of coronavirus, that actually led to, ridiculously, Beijing filing an official complaint, like they haven't imposed draconian quarantine measures themselves.
[03:23:41.189 --> 03:23:50.973]  And unlike other major European countries such as Italy, Germany and France, whatever Russia is doing appears to be working and Moscow certainly won't be making any apologies for being politically incorrect.
[03:23:50.973 --> 03:24:04.880]  So all the major countries that impose the strongest border controls the earliest have escaped the worst of the coronavirus epidemic, almost like border controls work.
[03:24:04.880 --> 03:24:10.022]  Meanwhile in America, and I think this is still the same in the UK, we've still got people
[03:24:10.765 --> 03:24:23.572]  Flying in from Italy, up until yesterday at least, to Heathrow, to Gatwick, to major airports in the United Kingdom, coming straight back into the country, they're not even testing them when they land at the airport.
[03:24:23.572 --> 03:24:25.934]  We have this story out of Summit News.
[03:24:25.934 --> 03:24:33.858]  The airport says DHS is not screening people coming into the US from coronavirus-stricken Italy or South Korea.
[03:24:33.858 --> 03:24:37.320]  The major airport in Atlanta has admitted that neither its own officials
[03:24:37.952 --> 03:24:46.674]  Nor the Department of Homeland Security are screening travellers arriving from Italy or South Korea, two countries where the coronavirus has hit the hardest outside of China.
[03:24:46.674 --> 03:25:03.178]  Hartsfield-Jackson Atlanta International Airport announced that while the CDC has demanded screening of passengers from China and Iran, no such screening is taking place for those coming in from Italy or South Korea, because they claim those countries are doing exit screenings.
[03:25:03.178 --> 03:25:03.958]  Of course, they don't know
[03:25:04.462 --> 03:25:13.189]  The proficiency to which they're performing those exit screenings, particularly in Italy, which is completely overwhelmed at this point.
[03:25:13.189 --> 03:25:20.274]  So essentially, officials in the US are relying on the word of their foreign counterparts that sufficient screening is happening before people leave.
[03:25:20.274 --> 03:25:31.223]  So again, no tests in many major airports in both the United Kingdom and the United States from people arriving from those corona-hit countries.
[03:25:32.423 --> 03:25:37.304]  And this connects with another article, and we've got the video clip, which we'll play here in a second.
[03:25:37.304 --> 03:25:41.485]  Dr Drew slams media for hurting people with coronavirus panic.
[03:25:41.485 --> 03:25:54.428]  This is not the first time that he's sounded the alarm bell that the bigger problem is not the virus itself, but maybe the hysteria, the panic that we've seen plunge financial markets over the past week or so.
[03:25:54.428 --> 03:26:02.090]  Dr Drew has once again spoke out regarding the media's handling of the coronavirus outbreak, urging that panic being generated is hurting people,
[03:26:02.549 --> 03:26:04.931]  No spreading it should be held accountable.
[03:26:04.931 --> 03:26:06.913]  Here's the clip.
[03:26:22.347 --> 03:26:24.128]  100 versus 18,000.
[03:26:24.128 --> 03:26:25.909]  It's not a trick question.
[03:26:25.909 --> 03:26:34.374]  And look, everything that's going on with New York cleaning the subways and everyone using Clorox wipes and get your flu shot, which should be the other message, that's good.
[03:26:34.374 --> 03:26:35.194]  That's a good thing.
[03:26:35.194 --> 03:26:36.895]  So I have no problem with the behaviors.
[03:26:36.895 --> 03:26:43.839]  What I have a problem with is the panic and the fact that businesses are getting destroyed and people's lives are being upended, not by the virus, but by the panic.
[03:26:43.839 --> 03:26:44.860]  The panic must stop.
[03:26:44.860 --> 03:26:49.002]  And the press, they really somehow need to be held accountable because they are hurting people.
[03:26:49.142 --> 03:26:51.244]  So where do you think the panic started?
[03:26:51.244 --> 03:26:54.767]  Besides the press, what was the impetus in terms of mass hysteria?
[03:26:54.767 --> 03:26:55.428]  I saw it.
[03:26:55.428 --> 03:27:00.793]  There's a footage of me on a show called The Daily Blast Live a month ago going, shouldn't we be scared about this?
[03:27:00.793 --> 03:27:05.156]  And me going, no, there's going to be this potential for panic here.
[03:27:05.156 --> 03:27:06.157]  Shut up, everybody.
[03:27:06.157 --> 03:27:06.938]  Stop talking about it.
[03:27:06.938 --> 03:27:08.459]  I could see the panic brewing.
[03:27:08.459 --> 03:27:10.601]  And I could just see it the way the innuendo and the
[03:27:11.843 --> 03:27:16.972]  Every opportunity for drama by the press was twisted in that direction.
[03:27:16.972 --> 03:27:18.816]  Let me give you an example.
[03:27:18.816 --> 03:27:23.244]  So the World Health Organization is out now saying the fatality rate from the virus is 3.4%, right?
[03:27:25.843 --> 03:27:35.046]  Every, every publication from the WHO says 3.4% and we expect it to fall dramatically once we understand the full extent of the illness.
[03:27:35.046 --> 03:27:38.107]  No one ever reports the actual statement.
[03:27:38.107 --> 03:27:38.527]  Right.
[03:27:38.527 --> 03:27:44.329]  You go 3.4% that's 10 times more than the, whatever, five times more than the flu virus.
[03:27:44.329 --> 03:27:49.250]  And yeah, it's going to be a little more flu probably.
[03:27:49.250 --> 03:27:55.212]  So they have Dr. Drew once again speaking out about a panic whipped up by the media, which of course is Trump's angle on all this.
[03:27:55.874 --> 03:27:58.777]  Meanwhile, we have this story out of Sky News.
[03:27:58.777 --> 03:28:03.000]  Coronavirus worldwide peak will come next winter, scientific model predicts.
[03:28:03.000 --> 03:28:10.827]  They're saying that it's going to come back, and it's going to come back in force, even worse than it is now, next winter.
[03:28:10.827 --> 03:28:18.754]  Scientists are warning that even if coronavirus transmissions dip as we head into the spring and summer, such a reduction shouldn't be mistaken for an end to the outbreak.
[03:28:19.525 --> 03:28:31.636]  Instead, a reduction of cases during the summer should be seen as a precious opportunity to prepare for next winter, when a new model suggests the virus could infect 100 times more people.
[03:28:31.636 --> 03:28:40.824]  And in the next segment, I'm going to get into another article which talks about why there's been so few cases in Africa, and if that tells us something about how warm weather
[03:28:41.533 --> 03:28:42.794]  Heart disease is on the rise.
[03:28:42.794 --> 03:28:46.176]  Clogged arteries, high blood pressure and high cholesterol levels may not be fully detected by you.
[03:28:46.176 --> 03:28:48.078]  But the symptoms are there.
[03:28:48.078 --> 03:28:50.300]  Loss of energy, blood sugar spikes and drops.
[03:29:03.109 --> 03:29:08.813]  Poor circulation and irregular heartbeat are just a few of these that can alert you that something is wrong.
[03:29:08.813 --> 03:29:14.577]  Hear how heart and body extract is making a difference in thousands of people's lives across America.
[03:29:14.577 --> 03:29:16.499]  My blood pressure has normalized.
[03:29:16.499 --> 03:29:18.780]  My diabetes has totally improved.
[03:29:18.780 --> 03:29:23.184]  Everyone is telling me now how much healthier I look and I'm telling everyone how much healthier I feel.
[03:29:23.184 --> 03:29:25.145]  I recommend heart and body extract to everyone.
[03:29:25.345 --> 03:29:33.269]  Anybody over 40 in the North American continent should be using this product as a preventative to keep their cardiovascular system healthy.
[03:29:33.269 --> 03:29:35.850]  Order your two-month supply today by calling 866-295-5305.
[03:29:35.850 --> 03:29:36.211]  That's 866-295-5305.
[03:29:36.211 --> 03:29:37.972]  Or order online at hbextract.com.
[03:29:37.972 --> 03:29:40.653]  Heart and body extract 866-295-5305 or hbextract.com.
[03:29:52.429 --> 03:30:02.375]  Six weeks ago, we warned you that the choreographed nature of the global media and governments concerning coronavirus told us it was a major globalist operation.
[03:30:02.375 --> 03:30:12.982]  Now, whether it's super deadly or not, the issue is it's being used by the globalists as a weapon against the world economy and against nation states and against the populist movement here in America.
[03:30:13.562 --> 03:30:14.823]  And against M4s.
[03:30:14.823 --> 03:30:16.324]  And that means against you.
[03:30:16.324 --> 03:30:24.389]  So however you're going to do it, now is the time to get ready and to get prepared with emergency supplies and items that are known to boost your immune system.
[03:30:25.421 --> 03:30:27.462]  They're all at InfoWarsTore.com.
[03:30:27.462 --> 03:30:30.384]  High quality, storable food when nobody else has got it.
[03:30:30.384 --> 03:30:40.070]  Super powerful formulas like DNA Force Plus, X2, X3, Body's Ultimate Turmeric Formula, and our Nano Silver line of products.
[03:30:40.070 --> 03:30:45.073]  A bunch of which has been sold out, but a bunch of which is coming back in later this week.
[03:30:45.073 --> 03:30:48.215]  So check it all out at InfoWarsTore.com and get prepared!
[03:30:53.663 --> 03:30:56.928]  This should really be easier than it is.
[03:30:56.928 --> 03:30:59.071]  I'm not here giving you a sales pitch.
[03:30:59.071 --> 03:31:01.534]  I'm pointing out the way forward.
[03:31:01.534 --> 03:31:08.645]  Things that I've discovered that I absolutely know work, that if you listen to me and try them out for yourself, you will see
[03:31:09.045 --> 03:31:18.247]  How amazing it is and then your support of the product we're selling will help you and will help us and it's symbiotic.
[03:31:18.247 --> 03:31:23.289]  My friends, I harp and harp and harp about iodine because it's the good halogen.
[03:31:23.289 --> 03:31:31.411]  Fluoride's the bad halogen and people told me about it for years and I didn't listen and I'm so thankful that finally I listened to Dr. Groot like
[03:31:32.091 --> 03:31:37.094]  Eight years ago, I started taking True Iodine, Atomic Iodine.
[03:31:37.094 --> 03:31:44.780]  We've got it back in stock, X2, 40% off right now at InfoWareStore.com, and I'm telling you folks, get it.
[03:31:44.780 --> 03:31:45.941]  It's amazing.
[03:31:45.941 --> 03:31:49.523]  Discover the benefits, and it funds the InfoWare, a 360 win.
[03:31:49.523 --> 03:31:50.924]  You can't lose unless you don't take action.
[03:31:53.078 --> 03:31:57.060]  It's really smart to get high quality, storable food at InfoWareStore.com.
[03:31:57.060 --> 03:32:00.822]  It's also smart to drink filtered water with an Alexa Pure system.
[03:32:00.822 --> 03:32:03.883]  It's one of the highest rated out there and extremely affordable.
[03:32:03.883 --> 03:32:08.746]  And it's just as important to have your immune system boosted during times like this.
[03:32:08.746 --> 03:32:16.830]  And DNA Force Plus with PQQ, CoQ10, and so many other amazing ingredients is the base foundation for your entire body.
[03:32:16.830 --> 03:32:21.492]  Your mitochondrial output inside your cells, your telomeres, and so much more.
[03:32:22.052 --> 03:32:29.157]  DNA Force is now, after four months of being sold out, back in stock, 40% off.
[03:32:29.157 --> 03:32:31.238]  This is our flagship product.
[03:32:31.238 --> 03:32:34.400]  I'm so proud of it, and I had run out of it as well.
[03:32:34.400 --> 03:32:37.823]  So when I got it last week, when it came back in, I was so excited.
[03:32:37.823 --> 03:32:40.464]  It's now available at Infowarsstore.com.
[03:32:40.464 --> 03:32:48.670]  You're getting a wonderful formula, and it funds the information war with the important fight that we're carrying out for not just the American people, but the people of the world.
[03:32:48.670 --> 03:32:51.792]  So please get your DNA Force Plus today at Infowarsstore.com.
[03:32:54.854 --> 03:33:06.781]  You're listening to The Alex Jones Show.
[03:33:06.781 --> 03:33:13.806]  Live from London, England, it's Paul Joseph Watson with Summit.News.
[03:33:17.947 --> 03:33:20.508]  And we are back talking about the coronavirus.
[03:33:20.508 --> 03:33:22.068]  It's not going to be the coronavirus show.
[03:33:22.068 --> 03:33:29.071]  We are going to talk about some other subjects here coming up, including what's going on down at the border with Greece and Turkey.
[03:33:29.071 --> 03:33:31.952]  You heard Dr Drew there before the break.
[03:33:31.952 --> 03:33:35.813]  Talking about coronavirus panic, is the hysteria worse than the virus itself?
[03:33:35.813 --> 03:33:42.135]  We've got speculation that warmer weather is going to defeat this to some extent.
[03:33:43.007 --> 03:33:46.330]  Then you've got other models that show it's going to come roaring back in winter.
[03:33:46.330 --> 03:33:49.092]  There's a headline here from Information Liberation.
[03:33:49.092 --> 03:33:54.697]  It says, Chinese studies suggest coronavirus spreads slower in warmer climates.
[03:33:54.697 --> 03:34:07.107]  It says, comparing official meteorological data with the locations of all coronavirus infections suggests the virus spreads fastest at 48 degrees Fahrenheit and drops off at higher temperatures, according to Chinese researchers.
[03:34:08.072 --> 03:34:15.295]  They cite the South China Morning Post coronavirus highly sensitive to high temperatures, but don't bank on summer killing it off.
[03:34:15.295 --> 03:34:23.239]  So they're suggesting that it does have an impact in dropping the rate of coronavirus infections.
[03:34:23.239 --> 03:34:28.862]  Because Africa has been relatively untouched by the virus.
[03:34:28.862 --> 03:34:33.244]  One week ago, France 24 reported that health experts were puzzled by their low rates.
[03:34:34.102 --> 03:34:40.286]  Only three officially recorded coronavirus cases in Africa as of a few days ago.
[03:34:40.286 --> 03:34:41.947]  It's probably a few more now.
[03:34:41.947 --> 03:34:48.011]  But in comparison to the rest of the world, Africa has almost escaped the virus entirely.
[03:34:48.011 --> 03:34:56.777]  Meanwhile, Florida has 16 confirmed cases, but Governor DeSantis said Florida has not had community spread of the virus.
[03:34:57.509 --> 03:35:02.311]  So does the warmer temperature have an impact in stopping its spread?
[03:35:02.311 --> 03:35:04.232]  That's what is being asked.
[03:35:04.232 --> 03:35:15.218]  What's also being asked by MSNBC journalist David Gora, headline up here on summit.news, MSNBC journalist claims, Colin, coronavirus, Wuhan virus is racist.
[03:35:15.218 --> 03:35:16.218]  Is it bigoted?
[03:35:16.218 --> 03:35:20.040]  Is it racist to refer to it as the Wuhan virus?
[03:35:20.040 --> 03:35:27.124]  Well, Jack Posobiec tweeted a list of other viruses that the world has experienced in the past few decades.
[03:35:27.734 --> 03:35:40.898]  Including West Nile virus, Zika virus, Ebola virus, German measles, Spanish flu, Marburg virus, Rocky Mountain spotted fever, Stockholm syndrome, Lyme disease, Wuhan virus.
[03:35:40.898 --> 03:35:53.602]  A lot of other viruses have been named after geographic locations, so it's suggested it's racist to call it the Wuhan virus when that is, according to many people, the source, the origin of the coronavirus.
[03:35:53.602 --> 03:35:55.182]  Not really racist, is it?
[03:35:55.908 --> 03:36:08.732]  And then also in this article, there's a video embedded where for weeks, and in fact now months on end, CNN and other mainstream media networks directly referred to it as the Wuhan virus.
[03:36:08.732 --> 03:36:16.274]  And in fact Chinese news sources themselves have repeatedly referred to it as the Wuhan virus.
[03:36:16.274 --> 03:36:18.575]  But of course the World Health Organization says that
[03:36:19.491 --> 03:36:25.355]  Choosing the words that we use to talk about it is just as important as stopping the pandemic itself.
[03:36:25.355 --> 03:36:32.540]  Well, no, patrolling language isn't as important as stopping a global pandemic, I would argue.
[03:36:32.540 --> 03:36:39.245]  Meanwhile, AFP reports, French mayor defends Smurf rally after outcry over virus.
[03:36:39.245 --> 03:36:45.349]  A small French town decided to hold a gathering of 3,500 people dressed as Smurfs this past weekend.
[03:36:50.103 --> 03:36:57.249]  Probably not the best idea, given that France is one of the worst-hit countries in Europe now with the coronavirus.
[03:36:57.249 --> 03:37:05.115]  The gathering came a day before France banned all gatherings of more than 1,000 in a bid to contain the spread of the virus.
[03:37:05.115 --> 03:37:19.066]  And again, the day before that, they had a gathering of 3,500 people, because having 3,500 people dress up as Smurfs was obviously very crucial and important, despite the fact that coronavirus has infected
[03:37:20.022 --> 03:37:22.064]  1,400 people and killed 25.
[03:37:22.064 --> 03:37:27.047]  Those numbers are probably even bigger now in France.
[03:37:27.047 --> 03:37:30.009]  We're going to move on now because I don't want this to be the coronavirus show.
[03:37:30.009 --> 03:37:32.310]  We've talked about it in the entire show.
[03:37:32.310 --> 03:37:39.514]  Let's talk about what's happening down at the border between Greece and Turkey because, of course, what is it now?
[03:37:39.514 --> 03:37:48.580]  A couple of weeks ago we had Erdogan come out, the leader of Turkey, the Islamist leader of Turkey, and basically he's trying to support the Al-Qaeda jihadists
[03:37:48.996 --> 03:37:53.757]  Rebels in Syria to depose the Syrian government Bashar al-Assad.
[03:37:53.757 --> 03:37:59.358]  And because Russia has been interfering with that, once again he opened the floodgates.
[03:37:59.358 --> 03:38:10.101]  He's basically a mafia boss now saying that he's going to remove his protection from those potentially millions of migrants flooding into Europe from the Middle East.
[03:38:10.101 --> 03:38:11.881]  Well, the Greeks are standing up to it.
[03:38:11.881 --> 03:38:18.443]  Specifically, the Greek people headline video Greek farmer on tractor uses water cannon to repel migrants.
[03:38:19.480 --> 03:38:26.083]  Video out of Greece shows a farmer on a tractor using a water cannon to repel migrants who are trying to break through the border.
[03:38:26.083 --> 03:38:35.867]  They've been setting fire to the metal fencing down there on the border with Turkey, so they can try and weaken it and sneak through the border.
[03:38:35.867 --> 03:38:49.052]  So this ingenious farmer got on his tractor and started spraying them all with water, not only to get them back away from the fence, but also to make the ground wet, making it harder for the migrants to start the fires.
[03:38:49.636 --> 03:38:52.717]  They've been burning down refugee centres.
[03:38:52.717 --> 03:38:59.020]  They've been beating up NGO workers who are trying to help the migrants illegally get across the border.
[03:38:59.020 --> 03:39:01.701]  Of course, we disavow that completely.
[03:39:01.701 --> 03:39:07.683]  But now the farmers are there in their tractors literally spraying the border and getting the migrants away from them.
[03:39:07.683 --> 03:39:14.866]  Because again, they were completely subsumed by hundreds of thousands of these people from 2015 onwards.
[03:39:14.866 --> 03:39:19.148]  And it basically wrecked their country for a significant amount of time.
[03:39:19.815 --> 03:39:23.517]  They're taking measures against it and we fully support them.
[03:39:23.517 --> 03:39:30.179]  Breitbart reports, demanding more cash, Erdogan walks out of EU meeting over migrant crisis.
[03:39:30.179 --> 03:39:40.264]  The Islamist leader of Turkey walked out of his meeting with European Union officials after the two sides failed to reach an agreement on the migrant crisis at the Greek border Monday night.
[03:39:40.264 --> 03:39:43.765]  He had a meeting with EU officials in Brussels, Erdogan
[03:39:44.500 --> 03:39:50.984]  And he demanded that the EU send more financial support in return for halting the flow of migration into the bloc.
[03:39:50.984 --> 03:40:03.871]  Bearing in mind they already sent, what was it, six billion in aid in 2016 simply as mafia protection money for Erdogan to keep that promise to hold the migrants back.
[03:40:03.871 --> 03:40:05.432]  And it again goes back to the argument.
[03:40:06.451 --> 03:40:13.735]  We've been told in the West for the past five years that diversity is a strength, that we can absorb these millions and millions of migrants.
[03:40:13.735 --> 03:40:17.697]  Anyone who complains about it is a racist bigot, hates refugees.
[03:40:17.697 --> 03:40:27.883]  Meanwhile, Erdogan is literally using them as a weapon, literally using them as an intimidation tool for the EU to give him more money.
[03:40:27.883 --> 03:40:29.203]  Is diversity a strength?
[03:40:29.203 --> 03:40:34.046]  Doesn't really appear so, given that Erdogan's literally using them as a weapon.
[03:40:35.071 --> 03:40:42.833]  Meanwhile, Breitbart also reports EU-funded Turkish armored vehicle rips down Greek border fence.
[03:40:42.833 --> 03:40:50.635]  Greek government has released a night vision video which they claim shows a Turkish armored vehicle obtained through European Union funding.
[03:40:50.635 --> 03:41:00.877]  So they're actually using that protection blackmail money they got from the European Union to rip down the border and allow more of these migrants to cross.
[03:41:01.994 --> 03:41:07.456]  The video shows them trying to rip down border fencing and allow illegal migrants to penetrate the Greek border.
[03:41:07.456 --> 03:41:16.980]  The statement released with the video said it depicts a Turkish armoured border surveillance vehicle which tries to pull down part of the border fence with a rope.
[03:41:16.980 --> 03:41:22.362]  That's according to the Greek newspaper Katamarini and the Associated Press.
[03:41:22.362 --> 03:41:30.425]  So they're literally using the money that was given to them by the EU to prevent the migrants from coming across, to help the migrants come across.
[03:41:31.496 --> 03:41:48.209]  That's Erdogan, that's the mafia boss, the Islamist boss of Turkey, who is so upset that he's losing the battle in Syria and that his jihadist rebel army are getting killed, that he's now using these migrants as a weapon and using European Union funding to do so.
[03:41:48.209 --> 03:41:56.015]  Another headline here, Greek government only 4% of refugees reaching border are Syrian.
[03:41:56.015 --> 03:41:58.657]  Well, what a surprise, of course, throughout the 2015-16 migrant crisis,
[03:42:00.751 --> 03:42:06.334]  Again, we were sold the lie that these were Syrian refugees when that was a tiny proportion of them.
[03:42:06.334 --> 03:42:08.515]  Well, that once again is the case.
[03:42:08.515 --> 03:42:16.498]  Just 4% of the supposed refugees who have breached the Greek border in recent days are Syrians, according to the Greek government.
[03:42:16.498 --> 03:42:21.941]  And they did an analysis of this, found that 64% are from Afghanistan, 19% are from Pakistan, 2.6% Somalian,
[03:42:27.699 --> 03:42:37.687]  And in fact, the latest figures show that there are more coming across from North Africa and just 4% of them are Syrian migrants or refugees.
[03:42:37.687 --> 03:42:38.868]  So they're not refugees.
[03:42:38.868 --> 03:42:46.234]  Once again, they're economic migrants trying to penetrate the border, trying to flee to those northern European welfare havens.
[03:42:46.684 --> 03:42:51.326]  Trying to cause much of the problems that we've seen across Europe over the past five years.
[03:42:51.326 --> 03:42:51.866]  Don't go away.
[03:42:51.866 --> 03:42:52.666]  Rich in Alabama.
[03:42:52.666 --> 03:42:53.687]  Rich, thanks for calling.
[03:42:53.687 --> 03:42:54.527]  Hey, Mr. Jones.
[03:42:54.527 --> 03:42:55.307]  Appreciate it.
[03:42:55.307 --> 03:42:57.988]  First thing, I love the turbo force.
[03:42:57.988 --> 03:43:01.529]  I drive truck for a living, and it's amazing.
[03:43:01.529 --> 03:43:06.191]  Coffee kind of gives you a little crash there at the end, but that turbo force is amazing.
[03:43:06.371 --> 03:43:08.933]  How is Turbo Force different than coffee?
[03:43:08.933 --> 03:43:13.857]  I'll tell you what, it's sustainable anywhere from 18 hours.
[03:43:13.857 --> 03:43:17.400]  I don't feel the jitters like I do drinking coffee.
[03:43:17.400 --> 03:43:21.223]  And it's just, you know, at the end of the day, I don't need anything to go to bed.
[03:43:21.223 --> 03:43:24.586]  I'll, you know, I'll pop a knockout, boom, I'm out cold.
[03:43:25.086 --> 03:43:32.091]  Well, that's when we went out to a top developer who didn't want his name on it, and I said, what would the ultimate long, say, 10-hour energy be?
[03:43:32.091 --> 03:43:33.392]  Is that possible?
[03:43:33.392 --> 03:43:39.276]  That's good and clean and strong and has a bunch of different forms of energy that are healthy and natural that are time-released.
[03:43:39.276 --> 03:43:42.598]  And there's more money in it than anybody else puts in their product.
[03:43:42.598 --> 03:43:45.920]  So that's why TurboForce has such a great effect.
[03:43:45.920 --> 03:43:48.582]  And so I really appreciate you, and I'm glad that you like TurboForce.
[03:43:52.116 --> 03:43:54.577]  We know that the globalists are in trouble.
[03:43:54.577 --> 03:44:01.579]  Humanity's waking up to their tyranny, how they run their scams, their Ponzi schemes, how they're building a post-human world.
[03:44:01.579 --> 03:44:03.460]  But we know they're going to strike back.
[03:44:03.460 --> 03:44:18.605]  And the UN has said that they're going to absolutely implode third-world countries and then use those giant populations as weaponized hordes to come in and overwhelm the West and collapse our social services in a giant Cloward and Piven program.
[03:44:19.085 --> 03:44:26.951]  The UN also has said they'll use mass plagues to make us capitulate to world government, inner coronavirus.
[03:44:26.951 --> 03:44:34.036]  This is a critical year and it's a critical time to stay informed and to be spreading the word because people
[03:44:34.036 --> 03:44:34.356]  I don't know.
[03:44:53.177 --> 03:44:53.958]  Real stuff, man.
[03:44:53.958 --> 03:44:55.119]  We're talking about the real deal here.
[03:44:55.119 --> 03:45:00.603]  And I love Trump all day long, but man, I tell you, he sits there and lets these big tech people keep running roughshod over him.
[03:45:00.603 --> 03:45:03.465]  Everybody, I mean, I've got a problem.
[03:45:03.465 --> 03:45:05.166]  And we'll just take the Trump rallies over.
[03:45:05.166 --> 03:45:08.409]  That said, about two months ago, I came up with a plan that I haven't launched yet.
[03:45:08.949 --> 03:45:12.813]  We have a warehouse full of hundreds of thousands of stickers.
[03:45:12.813 --> 03:45:14.054]  20 different stickers.
[03:45:14.054 --> 03:45:15.675]  Impeach the Democrats.
[03:45:15.675 --> 03:45:16.736]  Save the Second Amendment.
[03:45:16.736 --> 03:45:17.837]  Defend the First Amendment.
[03:45:17.837 --> 03:45:19.158]  Infowars.com.
[03:45:19.158 --> 03:45:20.600]  And it looks like duct tape.
[03:45:20.600 --> 03:45:21.340]  It's just a regular sticker.
[03:45:21.340 --> 03:45:22.361]  You put it over your mouth.
[03:45:22.361 --> 03:45:23.662]  You go to a Trump rally.
[03:45:23.662 --> 03:45:26.125]  And you instantly take over without even disrupting things.
[03:45:26.125 --> 03:45:27.706]  People say, why are you doing this?
[03:45:27.706 --> 03:45:28.227]  What's happening?
[03:45:28.227 --> 03:45:29.768]  Well, you go, well, we're being censored.
[03:45:29.768 --> 03:45:31.990]  You know, Trump won't do anything about it.
[03:45:31.990 --> 03:45:33.892]  And Dr. Pachinic, let me just ask you what you think.
