[00:00:01.050 --> 00:00:03.591]  The Information War continues.
[01:13:07.245 --> 01:13:13.249]  Right now, Midas Resources is offering the 2005 edition of the Red Book along with a silver dollar for only $22.95.
[01:13:13.249 --> 01:13:14.009]  Call them today at 1-800-686-2237.
[01:13:14.009 --> 01:13:14.509]  That's 800-686-2237.
[01:13:14.509 --> 01:13:17.451]  I can tell you there'll be storms ahead, but with real money as your base, liberty will be your fate.
[01:13:26.816 --> 01:13:33.682]  Leave the fiat currency behind and call Midas Resources to get your Red Book along with that silver dollar for only $22.95.
[01:13:33.682 --> 01:13:34.383]  Get the map.
[01:13:34.383 --> 01:13:36.985]  Start your journey to financial independence today.
[01:13:36.985 --> 01:13:38.346]  The time is now.
[01:13:38.346 --> 01:13:41.228]  Call 800-686-2237.
[01:13:41.228 --> 01:13:44.351]  Get your Red Book now and you'll weather any storm that comes your way.
[01:13:45.575 --> 01:13:50.417]  Diabetics worldwide are experiencing tremendous success in lowering blood sugar and blood pressure.
[01:13:50.417 --> 01:13:54.800]  Attention diabetics and health conscious Americans, your body is starving for nutrients.
[01:13:54.800 --> 01:13:59.522]  And now there's an exciting new scientific breakthrough making inorganic vitamins and minerals obsolete.
[01:13:59.522 --> 01:14:05.105]  Food Matrix technology is breakthrough science, achieving dramatic results for thousands of people.
[01:14:05.105 --> 01:14:06.145]  100% money back guarantee.
[01:14:06.145 --> 01:14:09.507]  Food Matrix will help improve your health, especially diabetics.
[01:14:09.867 --> 01:14:14.369]  See the Toxic Conspiracy video at www.sugarbalance.org.
[01:14:14.369 --> 01:14:16.010]  Sugarbalance.org.
[01:14:16.010 --> 01:14:16.710]  The U.S.
[01:14:16.710 --> 01:14:22.813]  9th District Court ruled that Food Matrix is better for maintaining vibrant health than our present inorganic vitamin and mineral supplements.
[01:14:22.813 --> 01:14:28.696]  The Nobel Prize winning science of Food Matrix has created an organic formula providing you the vital nutrients you need.
[01:14:28.696 --> 01:14:33.438]  Diabetics worldwide are experiencing lower blood sugar and blood pressure, but it's not just for diabetics.
[01:14:33.778 --> 01:14:37.820]  Young and old can experience the power of organic food matrix supplements.
[01:14:37.820 --> 01:14:39.021]  100% money-back guarantee.
[01:14:39.021 --> 01:14:43.343]  See the Toxic Conspiracy video at www.sugarbalance.org.
[01:14:43.343 --> 01:14:48.645]  Sugarbalance.org.
[01:14:48.645 --> 01:14:54.688]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:14:54.688 --> 01:14:58.230]  It's Alex Jones and the GCN Radio Network.
[01:15:00.276 --> 01:15:01.577]  Alright, let's go quickly.
[01:15:01.577 --> 01:15:03.237]  Dave in Texas, you're on the air.
[01:15:03.237 --> 01:15:04.498]  Welcome.
[01:15:04.498 --> 01:15:14.963]  Hi Alex, I just wanted to say I have a sister that worked for Cantor Fitzgerald in Dallas and on 9-11 they were able to hear the screams of all the people in the building.
[01:15:14.963 --> 01:15:16.904]  It was terrible.
[01:15:16.904 --> 01:15:18.485]  How were they able to hear the screams?
[01:15:18.485 --> 01:15:22.647]  They had a telephone link that was set up with their office in the Dallas office.
[01:15:25.031 --> 01:15:26.071]  From New York.
[01:15:26.071 --> 01:15:34.334]  Hey, you think it's another coincidence that they had another drill with men with box cutters and the exact targets in 1976 funded by the Pentagon?
[01:15:34.334 --> 01:15:35.415]  Alex, it was all set up.
[01:15:35.415 --> 01:15:39.176]  You know that, and I know that, but not too many people do.
[01:15:39.176 --> 01:15:44.338]  The one thing that got me researching 9-11 was the fall of Building No.
[01:15:44.338 --> 01:15:44.398]  7.
[01:15:44.398 --> 01:15:48.139]  When I saw that happen live on television, I said, this isn't right.
[01:15:48.139 --> 01:15:49.740]  This looks like controlled demolition.
[01:15:49.740 --> 01:15:52.781]  Van Rether, Peter Jennings, all say the same thing.
[01:15:53.780 --> 01:15:58.585]  And they did a lot of independent research and found out a lot of things.
[01:15:58.585 --> 01:16:01.188]  I was just thoroughly convinced that they let it happen.
[01:16:01.188 --> 01:16:06.413]  And then after more research, I'm of the conclusion that they not only let it happen, they made it happen.
[01:16:06.413 --> 01:16:10.117]  Well they count on us being naive suckers and they laugh at us, Greg.
[01:16:10.117 --> 01:16:17.004]  Yes, and I would just say to the caller to basically tell as many people as you can
[01:16:17.739 --> 01:16:25.564]  To research it and do the same thing you did, the same process, because this is the only way that we're ever going to get any accountability.
[01:16:25.564 --> 01:16:30.187]  And I applaud you for your efforts.
[01:16:30.187 --> 01:16:35.590]  Alex, actually, I stayed away from your website because I thought you were a New World Order nut.
[01:16:35.590 --> 01:16:41.053]  And the more research I did, the more I said, maybe there's something to this Alex Jones guy.
[01:16:41.053 --> 01:16:42.815]  And I've come to respect a lot of your work.
[01:16:42.815 --> 01:16:43.655]  Well, thank you, Dave.
[01:16:43.655 --> 01:16:44.996]  Look, Dave, I wish I was wrong.
[01:16:45.703 --> 01:16:46.704]  Every day I wish it.
[01:16:46.704 --> 01:16:55.327]  I mean, this whole weekend I just thought about how sad it is that there's so many good, decent people and such beautiful communities and so much good in the world.
[01:16:55.327 --> 01:16:59.889]  I don't like focusing on the negative, but the evil is in control at the top.
[01:16:59.889 --> 01:17:01.510]  It controls all the political parties.
[01:17:01.510 --> 01:17:02.891]  It's in command.
[01:17:02.891 --> 01:17:06.012]  And none of us are safe until we face what it's really doing.
[01:17:06.012 --> 01:17:07.213]  Thanks, Dave.
[01:17:07.213 --> 01:17:08.093]  Any comments on that?
[01:17:09.644 --> 01:17:12.025]  Yeah, Alex, I couldn't have said it any better.
[01:17:12.025 --> 01:17:20.049]  I believe that we have to really, really now fight back.
[01:17:20.049 --> 01:17:31.855]  Because our country is basically in jeopardy because of a small group of people who want to push along their agenda, which I believe is not the agenda that most Americans would agree with.
[01:17:31.855 --> 01:17:34.296]  And that's basically what a democracy is all about.
[01:17:34.296 --> 01:17:36.737]  I do not consider America a democracy anymore.
[01:17:37.481 --> 01:17:40.444]  Well, we're a republic, and we've certainly gotten away from that.
[01:17:40.444 --> 01:17:43.466]  And I would just tell people, look, we're in danger, folks.
[01:17:43.466 --> 01:17:49.031]  We've got people running things that'll kill 3,000 of us just like that.
[01:17:49.031 --> 01:17:50.672]  I mean, they're ruthless.
[01:17:50.672 --> 01:17:52.854]  Let's talk to Steve in Kansas City.
[01:17:52.854 --> 01:17:53.515]  Steve, go ahead.
[01:17:53.515 --> 01:17:54.536]  You're on the air.
[01:17:54.536 --> 01:17:55.396]  Hello, Mr. Jones.
[01:17:55.396 --> 01:17:56.737]  Mr. Skaminski.
[01:17:56.737 --> 01:18:00.220]  I appreciate you taking my call.
[01:18:00.220 --> 01:18:04.084]  There may not be as small a people that are running this country as what you said.
[01:18:06.785 --> 01:18:23.798]  My comment is, or question is, what do you know about the papacy, the Pope running all the political aspects and controlling these things in the Jesuit society?
[01:18:23.798 --> 01:18:27.762]  You know, I hear that all the time, and I just don't see the evidence.
[01:18:27.762 --> 01:18:30.384]  Well, I mean, there's a couple of books out there.
[01:18:30.384 --> 01:18:31.905]  I know, I know there are.
[01:18:32.483 --> 01:18:37.086]  I mean, yeah, that could open up a can of worms, you know, put a target on your back.
[01:18:37.086 --> 01:18:38.287]  Well, no, it's not that.
[01:18:38.287 --> 01:18:40.608]  I mean, I'll say it if I believe it's true.
[01:18:40.608 --> 01:18:42.570]  I mean, is the Catholic Church controlled?
[01:18:42.570 --> 01:18:43.250]  Yes.
[01:18:43.250 --> 01:18:44.691]  Is the Protestant Church controlled?
[01:18:44.691 --> 01:18:45.712]  Yes.
[01:18:45.712 --> 01:18:46.852]  Are the Democrats controlled?
[01:18:46.852 --> 01:18:47.393]  Yes.
[01:18:47.393 --> 01:18:49.254]  Are the big Jewish groups controlled?
[01:18:49.254 --> 01:18:50.194]  Yes.
[01:18:50.194 --> 01:18:56.959]  I mean, the globalists have got the money, they've got the printing presses, they've been able to buy and take control of everything.
[01:18:56.959 --> 01:19:01.842]  Well, that's in 19, you know, all the way back, you know, when they tried to start the Central Bank.
[01:19:02.951 --> 01:19:31.768]  uh... what became the federal reserve that was all and I'm just saying whenever you put one label on one group what it does is it balkanizes people I mean look if we're against evil and we're against corruption what does it matter if it's jews or germans or whatever evil people can't we all agree we're gonna fight evil well no there's good there's good jews there's good germans there's good you know communists there's there's good people out there but I was just wondering you know what you or Mr.
[01:19:33.041 --> 01:19:35.603]  Kaminsky has learned about this.
[01:19:35.603 --> 01:19:37.846]  Okay, let me get a comment from Greg.
[01:19:37.846 --> 01:19:46.994]  Well, you know, again, I think you have to call it, the rest of the caller, you have to look at, I don't think you can focus on just one society or one organization.
[01:19:46.994 --> 01:19:58.625]  I think what you have to look at when you talk about who controls the moves of our government, I think basically you look towards a more or less a global group of very wealthy people.
[01:19:59.225 --> 01:20:07.969]  Whether you want to call them the Build-A-Bird Society, which is an interesting place to start researching who basically does make the decisions.
[01:20:07.969 --> 01:20:15.892]  And I think you have such a corporate and governmental mesh now that one is the same as the other.
[01:20:15.892 --> 01:20:18.873]  So when you say, yes, our country is run by someone else,
[01:20:19.446 --> 01:20:25.328]  Yes, who it is, I think, is something that you look to, you follow the money.
[01:20:25.328 --> 01:20:27.569]  Greg, I want to thank you for coming on.
[01:20:27.569 --> 01:20:28.749]  Steve, stay there, we'll talk more.
[01:20:28.749 --> 01:20:30.550]  We'll have you back on soon, sir.
[01:20:30.550 --> 01:20:31.771]  Okay, thank you very much.
[01:20:31.771 --> 01:20:32.871]  Thank you, bye-bye.
[01:20:32.871 --> 01:20:36.572]  We'll be right back, folks.
[01:20:36.572 --> 01:20:40.494]  We're on the march, the empire's on the run.
[01:20:40.494 --> 01:20:43.195]  Alex Jones and the GCN Radio Network.
[01:20:47.256 --> 01:20:52.918]  JLS Research, founders of a revolutionary new all-natural deodorant, wants to get up close and personal with you.
[01:20:52.918 --> 01:20:54.098]  You wear deodorant, right?
[01:20:54.098 --> 01:20:55.098]  Well, let's hope you do.
[01:20:55.098 --> 01:20:58.119]  You obviously wear it to cover up that embarrassing underarm odor.
[01:20:58.119 --> 01:21:03.201]  Well, why mask the odor when you can completely eliminate the bacteria which causes the odor in the first place?
[01:21:03.201 --> 01:21:04.481]  Check out this new product.
[01:21:04.481 --> 01:21:07.742]  It's called No-B-O, and you won't believe how effectively it works.
[01:21:07.742 --> 01:21:11.623]  I know, you're wondering, how can you trust No-B-O to eliminate your embarrassing body odor?
[01:21:11.623 --> 01:21:14.104]  Look, the creator of No-B-O understands what you're going through.
[01:21:14.344 --> 01:21:19.468]  She knows you want a safe deodorant that contains no aluminum, preservatives, chemicals, or petroleum based products.
[01:21:19.468 --> 01:21:22.711]  She also knows that while you want it all natural, you want it very effective.
[01:21:22.711 --> 01:21:28.215]  That's why she had to search 40 years to find this all natural product that actually soothes the skin while it attacks bacteria.
[01:21:28.215 --> 01:21:29.095]  Trinobio.
[01:21:29.095 --> 01:21:30.076]  It comes with a 100% money back offer.
[01:21:31.237 --> 01:21:34.319]  No-BO is so highly concentrated, a little goes a long way.
[01:21:34.319 --> 01:21:37.381]  Give them a call at 888-881-NO-BO.
[01:21:37.381 --> 01:21:40.002]  Check out their website at No-BO.com.
[01:21:40.002 --> 01:21:43.664]  Come on, it's time for you to enjoy the sweet smell of success with No-BO at No-BO.com.
[01:21:46.730 --> 01:21:48.491]  Hello folks, Alex Jones here.
[01:21:48.491 --> 01:21:52.733]  You know murky water filters have been removing pathogenic bacteria for years.
[01:21:52.733 --> 01:21:55.694]  But what about those unhealthy chemicals and heavy metals in your water?
[01:21:55.694 --> 01:22:02.597]  The powerful black murky purification elements fit most gravity filters and dramatically increase their power to extract waterborne contaminants.
[01:22:02.597 --> 01:22:05.799]  Best of all, they filter much faster than ordinary gravity elements.
[01:22:05.799 --> 01:22:08.320]  This means it takes much less time to filter your water.
[01:22:08.320 --> 01:22:13.042]  Black murky elements not only remove pathogenic bacteria, cysts and parasites, but also remove
[01:22:13.462 --> 01:22:14.082]  We're good to go!
[01:22:37.756 --> 01:22:38.016]  803-4438.
[01:22:38.016 --> 01:22:38.497]  That's 808-803-4438.
[01:22:38.497 --> 01:22:39.817]  Or order on the web at Berkeywater.com.
[01:22:48.524 --> 01:22:54.426]  Why continue to suffer from pain, illness and disease when natural health and wellness therapies are within your reach?
[01:22:54.426 --> 01:22:58.887]  Hundreds of people report improved health and wellness using Rife Frequency Technology.
[01:22:58.887 --> 01:23:06.309]  In the 1920s, research scientist Royal Raymond Rife discovered that disease organisms can be destroyed using resonant frequencies.
[01:23:06.309 --> 01:23:12.551]  The BioSolutions Frequency Instrument uses this same technology for relief or elimination of pain and disease conditions.
[01:23:12.551 --> 01:23:13.751]  There are no side effects.
[01:23:14.111 --> 01:23:17.214]  Join others in discovering a return to natural health and wellness.
[01:23:17.214 --> 01:23:18.195]  Eliminate the cost.
[01:23:18.195 --> 01:23:19.557]  Don't just treat symptoms.
[01:23:19.557 --> 01:23:27.084]  BioSolutions has over 450 pre-programmed auto-sequences for various health conditions and is very easy to use.
[01:23:27.084 --> 01:23:30.448]  It comes with a 30-day return policy and a one-year limited warranty.
[01:23:30.888 --> 01:23:34.009]  For more information, call Alternative Technologies toll free.
[01:23:34.009 --> 01:23:34.069]  866-885-6625.
[01:23:34.069 --> 01:23:34.189]  866-885-6625.
[01:23:34.189 --> 01:23:35.350]  One more time, that's 866-885-6625.
[01:23:35.350 --> 01:23:35.650]  Call today.
[01:23:35.650 --> 01:23:37.130]  Waging war on corruption.
[01:23:37.130 --> 01:23:38.851]  Alex Jones on the GCN Radio Network.
[01:24:06.205 --> 01:24:09.328]  Alright, Steve, Jim, Chris, many others, your calls are coming up.
[01:24:09.328 --> 01:24:16.634]  I do have some other important news I want to hit on here.
[01:24:16.634 --> 01:24:23.580]  Before I go back to Steve, let me just first get this out, then I'll have him comment on what I say.
[01:24:23.580 --> 01:24:33.848]  You know, I got into fighting the New World Order just because I'd read a lot of history books, a lot of alternative history, I'd studied human systems, just a little bit.
[01:24:34.679 --> 01:24:47.145]  But again, most people don't even know who their congressman is, or... Basic, basic human history, so I guess I'm a little unusual in that I know something about it.
[01:24:47.145 --> 01:24:51.007]  Which is almost Greek to everybody else.
[01:24:51.007 --> 01:25:01.552]  And when you look at, you know, the Catholics and the Jews and the Protestants and the Chinese and the Japanese and the South Africans and
[01:25:02.788 --> 01:25:29.184]  Arab traitors, and when you begin looking at the Inquisition, or you look at the Crusades, or you look at mercantilism, looking at all these different periods and different individuals, different things that happened, basically, you do have these global elites, these different power groups, fighting with each other.
[01:25:29.184 --> 01:25:30.665]  And it's all cloak and dagger.
[01:25:30.665 --> 01:25:32.326]  It's covert.
[01:25:33.169 --> 01:25:42.032]  Secret societies were simply the old term for what is an intelligence agency today.
[01:25:42.032 --> 01:25:53.377]  The Mafia, the Italian Mafia, grew out of the different Sicilian families in Sicily and then in Italy proper.
[01:25:53.377 --> 01:26:01.160]  And they'll admit that above them is an even more secret Masonic group that is one of the most powerful in the world.
[01:26:03.106 --> 01:26:14.471]  And then you hear that supposedly Catholics and Masons are at odds with each other, but then you find out at higher levels that basically Masons have gotten control of the Catholic Church.
[01:26:14.471 --> 01:26:19.513]  And then you argue with the local Masons who are low-level, who think, hey, my group's good.
[01:26:19.513 --> 01:26:22.714]  We're here to help humanity, because they're not higher level.
[01:26:22.714 --> 01:26:29.277]  They're compartmentalized, like the cops, like the bureaucrats, like the school teachers.
[01:26:29.277 --> 01:26:32.818]  It's about compartmentalization, and I have studied it.
[01:26:33.559 --> 01:26:35.380]  I have looked at it.
[01:26:35.380 --> 01:26:41.222]  My new film, Martial Law, really answers the question.
[01:26:41.222 --> 01:26:50.785]  The whole last hour, it's a two and a half hour plus film, deals with the death societies.
[01:26:50.785 --> 01:26:51.965]  The orders of death.
[01:26:54.449 --> 01:27:01.511]  Because when you get right down to it, folks, you've got groups that will tell you how they're Jewish and they're going to take care of the Jews of the Jews.
[01:27:01.511 --> 01:27:02.472]  Just follow them.
[01:27:02.472 --> 01:27:04.713]  And you've got the Catholic groups.
[01:27:04.713 --> 01:27:09.394]  Oh, just be those little Catholics and follow your leaders and you'll be fine.
[01:27:09.394 --> 01:27:12.255]  You've got the Protestant leaders doing the same thing.
[01:27:12.255 --> 01:27:14.316]  And folks, they all go.
[01:27:14.316 --> 01:27:16.437]  They all meet.
[01:27:16.437 --> 01:27:18.237]  Just like a mafia commission.
[01:27:18.237 --> 01:27:20.318]  Just like you'd think of, you know, the classical mafia.
[01:27:21.423 --> 01:27:35.411]  They all go, that's what a Bilderberg group meeting is, you got the top Arabs there from the House of Saud, you got the top Jews there, you got the top Nazis there, you got them all there.
[01:27:35.411 --> 01:27:37.813]  And they all like the same stuff.
[01:27:37.813 --> 01:27:48.139]  Death, machine guns, black masks, terror attacks, secret arrests, tiny elites consolidating wealth through government control.
[01:27:50.012 --> 01:27:56.135]  And so if I go out and I say the Catholics are bad, well that turns off a lot of Catholics.
[01:27:56.135 --> 01:28:05.600]  Now, if Catholics themselves were bad, I would get on the air and say Catholics are bad.
[01:28:05.600 --> 01:28:11.603]  But if the average Catholic person you talk to is a good, nice, hard-working person,
[01:28:12.645 --> 01:28:16.987]  You know, the way to wake them up to something isn't to go, you are the spawn of Satan!
[01:28:16.987 --> 01:28:18.988]  You are possessed by the devil!
[01:28:18.988 --> 01:28:29.712]  Or to, you know, go and say, because there's... Now see, if I go and I approach it like this, and by the way, that means approaching it through fact, the truth is always the way to approach it.
[01:28:29.712 --> 01:28:31.633]  It's strange.
[01:28:31.633 --> 01:28:42.337]  If I went on the air and I said, the Jews are the seed of the devil, the Jews are seeming ways to enslave you,
[01:28:45.282 --> 01:28:47.403]  Well, I'd turn off all the Jews, number one.
[01:28:47.403 --> 01:28:50.803]  Number two, I'd turn off a lot of other people.
[01:28:50.803 --> 01:28:59.626]  But see, by not mincing words and telling the truth, I get all the Jews who are good people to be fans of the broadcast.
[01:28:59.626 --> 01:29:04.807]  Just like I can get all the Catholics who are good people to listen to the show.
[01:29:04.807 --> 01:29:06.287]  The bad Catholics aren't going to listen.
[01:29:06.287 --> 01:29:10.188]  People that know, who are on the inside of it, who like defrauding people.
[01:29:10.188 --> 01:29:11.429]  It's the same thing.
[01:29:11.429 --> 01:29:12.349]  I'm a Protestant.
[01:29:13.180 --> 01:29:17.102]  But I don't defend Pat Robertson when he says forced abortion is good.
[01:29:17.102 --> 01:29:19.503]  Oh yeah.
[01:29:19.503 --> 01:29:23.485]  I don't defend Pat Robertson when he says, oh, the implantable chip isn't the mark of the beast.
[01:29:23.485 --> 01:29:25.166]  Go ahead and take it.
[01:29:25.166 --> 01:29:26.867]  A lot of people get mad at me.
[01:29:26.867 --> 01:29:32.290]  But I mean, he did say those things, so I gotta talk about it.
[01:29:32.290 --> 01:29:34.831]  Jay Succulos done a lot of good work.
[01:29:34.831 --> 01:29:36.932]  Now suddenly he's out promoting the Patriot Act.
[01:29:36.932 --> 01:29:40.654]  I gotta say that's wrong.
[01:29:40.654 --> 01:29:41.134]  But, but,
[01:29:42.287 --> 01:29:46.129]  This is so important.
[01:29:46.129 --> 01:29:50.131]  I'm against organized crime.
[01:29:50.131 --> 01:30:05.320]  And folks, there was organized crime in China 2,000 years ago, before a single Jew ever took a step there, before a single Vatican assassin ever showed up there.
[01:30:06.661 --> 01:30:15.549]  There was evil, there was all the same secret societies, suffrage, backstabbing, assassinations, all of it.
[01:30:15.549 --> 01:30:22.855]  Long before a Westerner touched in Japan, same stuff was going on.
[01:30:22.855 --> 01:30:30.622]  Before a white man ever took a step into Africa, all the slave trading, the murdering, the killing, it was all going on.
[01:30:35.018 --> 01:30:37.801]  I'm against Jewish organized crime.
[01:30:37.801 --> 01:30:43.986]  And Jewish organized crime, that's what the ADL was set up for, by the way.
[01:30:43.986 --> 01:30:52.053]  This is admitted in different court cases of prominent gangsters.
[01:30:52.053 --> 01:30:57.298]  They would just go and really go after people and call them names and smear them if they stood up to them.
[01:30:57.298 --> 01:31:02.002]  Well, I mean, if you want to go after Jewish mafia, don't go after them because they're Jewish, go after them because they're mafia.
[01:31:02.757 --> 01:31:07.301]  It's like if you go after the Italian Mafia, you don't go after Italians.
[01:31:07.301 --> 01:31:13.506]  What, you got about 10 million Italians in this country and maybe 3,000 of them are in the Mafia?
[01:31:13.506 --> 01:31:19.451]  So, I mean, it's like a lot of black folks think all white people don't like them or are racist.
[01:31:19.451 --> 01:31:23.194]  Again, they're stereotyping.
[01:31:23.194 --> 01:31:30.901]  But again, the Italian Mafia, the WASP Mafia, which by the way is the biggest, runs things down here in Texas, I've heard it tell ya.
[01:31:32.311 --> 01:31:35.593]  The WASP Mafia.
[01:31:35.593 --> 01:31:39.855]  They're so establishment that they own all the big banks and they're in all the big power positions.
[01:31:39.855 --> 01:31:41.076]  Teamed up with the Jewish Mafia.
[01:31:41.076 --> 01:31:45.338]  You don't even know there was ever a WASP Mafia.
[01:31:45.338 --> 01:31:48.340]  Or it's little subgroups, the Irish-German Mafia.
[01:31:48.340 --> 01:31:49.641]  Because they own the newspapers.
[01:31:49.641 --> 01:31:53.823]  They're not going to tattle on themselves.
[01:31:53.823 --> 01:31:57.685]  And so you've got all these mafias and they meet in commission meetings.
[01:31:57.685 --> 01:31:58.886]  That's what Bilderberg Group is.
[01:32:00.791 --> 01:32:14.777]  And the helicopters and the troops guard it, and the armored limousines drive in, and you got the head Saudis who are into the same degenerate stuff the Jewish Mafia's in, that the Protestant Mafia's in, that the... They're all just mafias.
[01:32:14.777 --> 01:32:15.958]  They operate the same way.
[01:32:15.958 --> 01:32:17.899]  These are models of control.
[01:32:17.899 --> 01:32:24.402]  And they all sit around their big commission meetings, and they say, well, we all agree to keep the slaves in the dark.
[01:32:24.402 --> 01:32:27.323]  We all agree to continue our programs of putting biometrics in.
[01:32:28.712 --> 01:32:34.373]  They agree on the baseball diamond, or on the gridiron, on the board, how the board is set up.
[01:32:34.373 --> 01:32:35.693]  They maintain the board.
[01:32:35.693 --> 01:32:37.774]  They cut the grass.
[01:32:37.774 --> 01:32:38.734]  That's the New World Order.
[01:32:38.734 --> 01:32:40.474]  That's the controlled media.
[01:32:40.474 --> 01:32:45.735]  You know, they paint the turnstiles.
[01:32:45.735 --> 01:32:50.616]  Looking at this suede grid as some type of sports stadium is the analogy.
[01:32:50.616 --> 01:32:56.017]  They all agree on maintaining that and expanding it and doing that.
[01:32:56.017 --> 01:32:57.157]  On conning the suckers,
[01:32:58.624 --> 01:33:01.806]  But they do fight with each other.
[01:33:01.806 --> 01:33:03.328]  They do assassinate each other.
[01:33:03.328 --> 01:33:04.869]  They do squabble.
[01:33:04.869 --> 01:33:08.231]  And it's all who can calculate the best.
[01:33:08.231 --> 01:33:10.253]  It's all who can manipulate the best.
[01:33:10.253 --> 01:33:16.017]  It's all who can hold the most dirt over other people's heads.
[01:33:16.017 --> 01:33:18.559]  And that's what they do.
[01:33:18.559 --> 01:33:19.980]  And they don't make cars.
[01:33:19.980 --> 01:33:21.642]  I mean, they own companies that do.
[01:33:21.642 --> 01:33:22.802]  They don't make computers.
[01:33:22.802 --> 01:33:23.103]  They don't...
[01:33:25.217 --> 01:33:26.978]  They own other people.
[01:33:26.978 --> 01:33:28.639]  What they do make is tyranny.
[01:33:28.639 --> 01:33:34.483]  What they are experts in, generationally, is control and manipulation and spin.
[01:33:34.483 --> 01:33:40.126]  They are the great-great-great-great-great-grandchildren of snake oil salesmen.
[01:33:40.126 --> 01:33:43.468]  They are the great-great-great-great-great-grandchildren of warrior kings.
[01:33:43.468 --> 01:33:47.030]  They are the great-great-great-great-great-grandchildren of mafia dons.
[01:33:48.473 --> 01:33:53.656]  And they know what they're doing and they just call you a bunch of idiots and laugh at you and they're predators.
[01:33:53.656 --> 01:33:56.497]  A normal person couldn't do what they do if they had a conscience.
[01:33:56.497 --> 01:33:58.558]  They see conscience as a weakness.
[01:33:58.558 --> 01:34:02.440]  They see conscience as something bad.
[01:34:02.440 --> 01:34:06.882]  They see you and I as weak because we have soft hearts.
[01:34:06.882 --> 01:34:13.406]  They think it's their right to rule over us in a social Darwin type view because
[01:34:14.221 --> 01:34:19.644]  Well, that's survival of the fittest, and because we are these cattle, we deserve to be fed on.
[01:34:19.644 --> 01:34:23.026]  And that's the view that the elite Japanese had.
[01:34:23.026 --> 01:34:27.729]  That's the view that the elite Germans had when they were living in huts.
[01:34:27.729 --> 01:34:29.710]  That's the view that the Jews had.
[01:34:29.710 --> 01:34:34.613]  That's the view that the Comanche had against the other Native Americans.
[01:34:34.613 --> 01:34:41.157]  The dominant group over their region always says they're the best, and always says they have the right to enslave everybody.
[01:34:44.617 --> 01:34:47.659]  And I say these groups are cancers!
[01:34:47.659 --> 01:34:51.561]  These ruling elites were always cancers over their own group.
[01:34:51.561 --> 01:34:53.562]  That's the group that's always the most abused.
[01:34:53.562 --> 01:34:55.162]  And then they're cancers to everybody else.
[01:34:55.162 --> 01:35:00.265]  And now they've all linked up and teamed up to bring in this new world order.
[01:35:00.265 --> 01:35:03.647]  And they're going like gangbusters, folks!
[01:35:03.647 --> 01:35:05.788]  Trillions missing from the Pentagon.
[01:35:05.788 --> 01:35:07.829]  Poisons in the water by design.
[01:35:07.829 --> 01:35:11.050]  We get the government documents where they're going to do it to us on purpose.
[01:35:11.050 --> 01:35:14.052]  You show people they're so dumb now that they don't even know how to read it.
[01:35:17.446 --> 01:35:20.967]  And so, listen, I studied it.
[01:35:20.967 --> 01:35:24.207]  I cover what I can document, and I'm here to tell you.
[01:35:24.207 --> 01:35:30.088]  The elite aren't Jews, they aren't Catholics, they aren't Protestants, they aren't black, they aren't Chinese.
[01:35:30.088 --> 01:35:34.509]  They are Luciferians.
[01:35:34.509 --> 01:35:35.649]  It's true.
[01:35:35.649 --> 01:35:37.750]  The Bible's true.
[01:35:37.750 --> 01:35:45.271]  Every time I research it, I run smack dab at the end of the day into Satanism.
[01:35:45.271 --> 01:35:46.131]  That's what they are.
[01:35:47.071 --> 01:35:50.135]  That's what binds them in their commission meetings.
[01:35:50.135 --> 01:35:51.216]  That's what they're into.
[01:35:51.216 --> 01:35:58.484]  And look, even if you're an atheist, which I think is foolish, but let's look at things in a scientific way the way you would look at it.
[01:35:58.484 --> 01:36:06.714]  If you're a predator class that's into dehumanization and control and enjoys what they're doing, wouldn't you have a religion of do as thou wilt?
[01:36:07.341 --> 01:36:08.721]  That is the whole of the law?
[01:36:08.721 --> 01:36:13.443]  Wouldn't your religion be that of darkness and destruction?
[01:36:13.443 --> 01:36:15.003]  Look at the Aztecs' gods.
[01:36:15.003 --> 01:36:15.964]  Satanic.
[01:36:15.964 --> 01:36:17.444]  Look at the Babylonians' gods.
[01:36:17.444 --> 01:36:18.524]  Satanic.
[01:36:18.524 --> 01:36:19.945]  Look at the Egyptians' gods.
[01:36:19.945 --> 01:36:21.085]  Only way you can describe it.
[01:36:21.085 --> 01:36:22.005]  Satanic.
[01:36:22.005 --> 01:36:23.746]  Based on enslavement.
[01:36:23.746 --> 01:36:25.206]  The Nazis' gods.
[01:36:25.206 --> 01:36:26.387]  Skull and crossbones.
[01:36:26.387 --> 01:36:27.127]  Death.
[01:36:27.127 --> 01:36:27.847]  Blackness.
[01:36:27.847 --> 01:36:33.649]  Darkness.
[01:36:33.649 --> 01:36:34.849]  That's what we're dealing with here.
[01:36:36.465 --> 01:36:37.805]  And people fixate on this.
[01:36:37.805 --> 01:36:40.886]  They think when they call in, and I don't discourage it.
[01:36:40.886 --> 01:36:42.026]  Do it if you want.
[01:36:42.026 --> 01:36:45.747]  And talk about the Jews, that that somehow wounds the evil Jews.
[01:36:45.747 --> 01:36:48.348]  And I put that in quotes, New York Times.
[01:36:48.348 --> 01:36:51.048]  You know, they're saying the Jews are evil.
[01:36:51.048 --> 01:36:53.589]  Or when they say the Catholics, that it wounds them.
